石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
これは失礼、どうかご容赦を……。では、さっそくですが……今回の作戦の概要を説明します。			これは失礼、どうかご容赦を……。では、さっそくですが……今回の作戦の概要を説明します。			昏き微睡みの果つる刻							
今回の討滅目標は、三闘神の一柱、魔神「セフィロト」です。かつて南方の大陸に棲んでいた、樹状種族の主神ですが……幾多の激戦を経たのち、古代アラグ帝国の手に落ちました。			今回の討滅目標は、三闘神の一柱、魔神「セフィロト」です。かつて南方の大陸に棲んでいた、樹状種族の主神ですが……幾多の激戦を経たのち、古代アラグ帝国の手に落ちました。			昏き微睡みの果つる刻							
アラグでは捕らえた蛮神を、動力源として用いていました。セフィロトは現在も、生かさず殺さずの「半覚醒状態」……夢うつつで微睡んだまま、その能力を利用されています。			アラグでは捕らえた蛮神を、動力源として用いていました。セフィロトは現在も、生かさず殺さずの「半覚醒状態」……夢うつつで微睡んだまま、その能力を利用されています。			昏き微睡みの果つる刻							
蛮神が消滅しないのは、修復装置を兼ねた拘束具によって、強制的に顕現を維持されているからです。すなわち……			蛮神が消滅しないのは、修復装置を兼ねた拘束具によって、強制的に顕現を維持されているからです。すなわち……			昏き微睡みの果つる刻							
要するに、その拘束具があるかぎり、蛮神を討滅することができないということでしょう？ところが拘束具を解けば、制御を失って暴れはじめる……と。			要するに、その拘束具があるかぎり、蛮神を討滅することができないということでしょう？ところが拘束具を解けば、制御を失って暴れはじめる……と。			昏き微睡みの果つる刻							
だったら、二手にわかれるしかない……。管制部に踏み込んで、拘束具の機能を停止させる役と、解放された魔神と戦って、討滅する役……違うかしら？			だったら、二手にわかれるしかない……。管制部に踏み込んで、拘束具の機能を停止させる役と、解放された魔神と戦って、討滅する役……違うかしら？			昏き微睡みの果つる刻							
……そのとおりです。驚きました……貴方は心の壁を「超える力」を持つそうですが、まさかこれほど的確に、心中を読まれるとは……。			……そのとおりです。驚きました……貴方は心の壁を「超える力」を持つそうですが、まさかこれほど的確に、心中を読まれるとは……。			昏き微睡みの果つる刻							
そんな細かいことまでわかるほど、便利な力じゃないわ。命がけの任務だから、必死に予習しただけよ。結局、蛮神に近づく役は、わたしや彼女なんでしょ？			そんな細かいことまでわかるほど、便利な力じゃないわ。命がけの任務だから、必死に予習しただけよ。結局、蛮神に近づく役は、わたしや彼女なんでしょ？			昏き微睡みの果つる刻							
たしかに、私やウリエンジェが蛮神に近づけば、魅入られて「テンパード」にされるリスクがある……。作戦を完遂しうるのは……「超える力」を持つ者だけ。			たしかに、私やウリエンジェが蛮神に近づけば、魅入られて「テンパード」にされるリスクがある……。作戦を完遂しうるのは……「超える力」を持つ者だけ。			昏き微睡みの果つる刻							
わたしが拘束具を解いて、セフィロトを覚醒させ、Forenameさん率いる部隊がそれを叩く。……どちらも替えのきかない、盤上の駒ってわけね。			わたしが拘束具を解いて、セフィロトを覚醒させ、Forenameさん率いる部隊がそれを叩く。……どちらも替えのきかない、盤上の駒ってわけね。			昏き微睡みの果つる刻							
さて、と……。ここの出入口を管理してるのは…………「あの子」ね？			さて、と……。ここの出入口を管理してるのは…………「あの子」ね？			昏き微睡みの果つる刻							
ブゥン……「認証システム」起動……。「三闘神制御区」の入場ゲートをアンロック。解錠申請……承認……。			ブゥン……「認証システム」起動……。「三闘神制御区」の入場ゲートをアンロック。解錠申請……承認……。			昏き微睡みの果つる刻							
こうも簡単に古代の機器を操るとは……さすがは、バルデシオン委員会に名を連ねる方だ。蛮神の封印解除はおまかせしましょう……道中は僕もお供します。			こうも簡単に古代の機器を操るとは……さすがは、バルデシオン委員会に名を連ねる方だ。蛮神の封印解除はおまかせしましょう……道中は僕もお供します。			昏き微睡みの果つる刻							
……さっきの話を聞いていなかったの？警備網を突破するために、クルルの護衛は欲しいところだけど、「超える力」のない者が、あそこに立ち入れば……			……さっきの話を聞いていなかったの？警備網を突破するために、クルルの護衛は欲しいところだけど、「超える力」のない者が、あそこに立ち入れば……			昏き微睡みの果つる刻							
気遣いは無用です。僕がテンパードになる可能性はない……とだけ、お答えしておきましょう。			気遣いは無用です。僕がテンパードになる可能性はない……とだけ、お答えしておきましょう。			昏き微睡みの果つる刻							
ブゥン……「認証システム」より緊急警報……。防空識別エリアにて、接近中の飛翔体を多数感知。現在、迎撃システムが対応中。			ブゥン……「認証システム」より緊急警報……。防空識別エリアにて、接近中の飛翔体を多数感知。現在、迎撃システムが対応中。			昏き微睡みの果つる刻							
帝国軍のお出ましね……陽動はまかせて。ウリエンジェ、行くわよ！			帝国軍のお出ましね……陽動はまかせて。ウリエンジェ、行くわよ！			昏き微睡みの果つる刻							
じゃあ、わたしたちは先に向かうわね。怖くないって言えば、嘘になるけど……。あなたたちだけに、危険な役回りを押しつけてはおけないもの。			じゃあ、わたしたちは先に向かうわね。怖くないって言えば、嘘になるけど……。あなたたちだけに、危険な役回りを押しつけてはおけないもの。			昏き微睡みの果つる刻							
敵は、あのアラグ帝国軍の猛攻を幾度も退けた、強大な蛮神だと記録されているわ。一瞬でも気を抜けば、命を危険にさらすことになる……。			敵は、あのアラグ帝国軍の猛攻を幾度も退けた、強大な蛮神だと記録されているわ。一瞬でも気を抜けば、命を危険にさらすことになる……。			昏き微睡みの果つる刻							
わたしも蛮神の力を、できるだけ抑えた状態で解放するつもり。そうね……おじいちゃんに教わった、「寝起きが悪い子の起こし方」を、試してみようかしら？			わたしも蛮神の力を、できるだけ抑えた状態で解放するつもり。そうね……おじいちゃんに教わった、「寝起きが悪い子の起こし方」を、試してみようかしら？			昏き微睡みの果つる刻							
魔神「セフィロト」を、決して侮ってはいけません。もっとも「油断」など、貴方のような英雄にとって、無縁の言でありましょうが……。			魔神「セフィロト」を、決して侮ってはいけません。もっとも「油断」など、貴方のような英雄にとって、無縁の言でありましょうが……。			昏き微睡みの果つる刻							
ブゥン……「認証システム」起動……。識別コードを確認中……承認済み……。あなたは「三闘神制御区」への入場を許可されています。			ブゥン……「認証システム」起動……。識別コードを確認中……承認済み……。あなたは「三闘神制御区」への入場を許可されています。			昏き微睡みの果つる刻							
ごくろうさま！あなたが戦う姿を見るのは、これが初めてじゃないけど……すべての次元が違う……見ていて、震えが止まらなかったわ！			ごくろうさま！あなたが戦う姿を見るのは、これが初めてじゃないけど……すべての次元が違う……見ていて、震えが止まらなかったわ！			昏き微睡みの果つる刻							
これが、真の「英雄」の力……。あのときの僕に……なかったもの……。			これが、真の「英雄」の力……。あのときの僕に……なかったもの……。			昏き微睡みの果つる刻							
クルルです……あ、ヤ・シュトラさん？Forenameさんの活躍で、任務は無事完了！……はい、みんな無事ですよ！			クルルです……あ、ヤ・シュトラさん？Forenameさんの活躍で、任務は無事完了！……はい、みんな無事ですよ！			昏き微睡みの果つる刻							
……そちらも、ごくろうさまでした！おかげさまで、帝国軍の邪魔も入らなかったわ。ええ……了解……では、「石の家」で合流しましょう！			……そちらも、ごくろうさまでした！おかげさまで、帝国軍の邪魔も入らなかったわ。ええ……了解……では、「石の家」で合流しましょう！			昏き微睡みの果つる刻							
管制部に向かう道中では、テンパードたちの身体が、奇妙な機械で保存されていましたが、彼らは今も眠ったまま……。よって、再召喚の儀式が行われる危険はありません。			管制部に向かう道中では、テンパードたちの身体が、奇妙な機械で保存されていましたが、彼らは今も眠ったまま……。よって、再召喚の儀式が行われる危険はありません。			昏き微睡みの果つる刻							
魔神「セフィロト」復活の可能性は、消えたわけね。じゃ、意気揚々と引き揚げましょ！			魔神「セフィロト」復活の可能性は、消えたわけね。じゃ、意気揚々と引き揚げましょ！			昏き微睡みの果つる刻							
フッ……よい勘をしているな、少年。			フッ……よい勘をしているな、少年。			昏き微睡みの果つる刻							
帝国軍第VI軍団を預かりし、このレグラ・ヴァン・ヒュドルス……どうやらあの蛮族の女に、一杯喰わされたようだ。まんまと陽動に乗せられ、貴様らに先を越されるとはな……。			帝国軍第VI軍団を預かりし、このレグラ・ヴァン・ヒュドルス……どうやらあの蛮族の女に、一杯喰わされたようだ。まんまと陽動に乗せられ、貴様らに先を越されるとはな……。			昏き微睡みの果つる刻							
貴方がたの狙いは、アラグの蛮神制御技術でしたね……。僕から見れば、蛮神を利用しようなどという発想自体が、「蛮族」の浅知恵です……！			貴方がたの狙いは、アラグの蛮神制御技術でしたね……。僕から見れば、蛮神を利用しようなどという発想自体が、「蛮族」の浅知恵です……！			昏き微睡みの果つる刻							
悪いが、子どもを殺める趣味はない。我が敵にふさわしい強さを身につけるまで、生き延びることだな。			悪いが、子どもを殺める趣味はない。我が敵にふさわしい強さを身につけるまで、生き延びることだな。			昏き微睡みの果つる刻							
大丈夫？……何かあったの！？			大丈夫？……何かあったの！？			昏き微睡みの果つる刻							
なんでもありません……少し、怪しい気配を感じたまで。			なんでもありません……少し、怪しい気配を感じたまで。			昏き微睡みの果つる刻							
……本当？その冷静な仮面の下にあるのは……希望へのあこがれ……力への渇望……そして、深い後悔。			……本当？その冷静な仮面の下にあるのは……希望へのあこがれ……力への渇望……そして、深い後悔。			昏き微睡みの果つる刻							
もしかして……いつかその呪具で、真の「英雄」を相手に、自分の力を試してみたい……そんな想いを秘めてもいたり……？			もしかして……いつかその呪具で、真の「英雄」を相手に、自分の力を試してみたい……そんな想いを秘めてもいたり……？			昏き微睡みの果つる刻							
「超える力」で…………僕の心を……？			「超える力」で…………僕の心を……？			昏き微睡みの果つる刻							
……あてずっぽうよ。わたしの言葉のどこかに、思いあたるフシがあったのかしら？			……あてずっぽうよ。わたしの言葉のどこかに、思いあたるフシがあったのかしら？			昏き微睡みの果つる刻							
図星みたいね。			図星みたいね。			昏き微睡みの果つる刻							
……あのね、わたしにわかるのは、相手が「伝えたい」ことだけ。「言葉の壁」は超えられても、「心」が読めるわけではないの。だから心の内側にまで、仮面をつける必要はないわよ。			……あのね、わたしにわかるのは、相手が「伝えたい」ことだけ。「言葉の壁」は超えられても、「心」が読めるわけではないの。だから心の内側にまで、仮面をつける必要はないわよ。			昏き微睡みの果つる刻							
かまをかけられた、というわけですか。エオルゼアの人たちは、みんな手強い……。			かまをかけられた、というわけですか。エオルゼアの人たちは、みんな手強い……。			昏き微睡みの果つる刻							
どうでしたか……魔神「セフィロト」を討った感想は？「暁」の面々も、まもなくこの部屋にいらっしゃいます。			どうでしたか……魔神「セフィロト」を討った感想は？「暁」の面々も、まもなくこの部屋にいらっしゃいます。			昏き微睡みの果つる刻							
感謝します……あなたという「光」を迎え入れることで、魔大陸に封じられし、アラグの負の遺産……「三闘神」の討滅計画は、第一歩を踏み出すことができました。			感謝します……あなたという「光」を迎え入れることで、魔大陸に封じられし、アラグの負の遺産……「三闘神」の討滅計画は、第一歩を踏み出すことができました。			昏き微睡みの果つる刻							
残る闘神は、あと二柱……。されどその力はセフィロトと同等か、それ以上とも伝えられます。今は戦いの疲れを癒し、慎重に事を進めてゆきましょう……。			残る闘神は、あと二柱……。されどその力はセフィロトと同等か、それ以上とも伝えられます。今は戦いの疲れを癒し、慎重に事を進めてゆきましょう……。			昏き微睡みの果つる刻							
それは、帝国軍の動きしだいですね。彼らは彼らなりの理想を掲げていますが……蛮神制御は、ひとつの次元を滅ぼしうる、禁断の技術だと理解していません。			それは、帝国軍の動きしだいですね。彼らは彼らなりの理想を掲げていますが……蛮神制御は、ひとつの次元を滅ぼしうる、禁断の技術だと理解していません。			昏き微睡みの果つる刻							
我が主によれば、もともとは魔神「セフィロト」も、この世界で最初の聖樹が、神格化された存在だったとのこと。純粋な信仰心、崇高な理想こそ……最も恐るべき力なのです。			我が主によれば、もともとは魔神「セフィロト」も、この世界で最初の聖樹が、神格化された存在だったとのこと。純粋な信仰心、崇高な理想こそ……最も恐るべき力なのです。			昏き微睡みの果つる刻							
…………。「ひとつの次元」に……「この世界」ね……。			…………。「ひとつの次元」に……「この世界」ね……。			昏き微睡みの果つる刻							
お気になさらず……ただの言葉のあやですよ。			お気になさらず……ただの言葉のあやですよ。			昏き微睡みの果つる刻							
うーん……この前会ったときは、少しだけ、あなたの素顔が垣間みえた気がしたんだけど……何だかまた、もとに戻ってしまったみたいね。			うーん……この前会ったときは、少しだけ、あなたの素顔が垣間みえた気がしたんだけど……何だかまた、もとに戻ってしまったみたいね。			昏き微睡みの果つる刻							
あのときは何かがあって、余裕をなくしていたのかな？もしかして、あなたのいう「我が主」に関係すること……？			あのときは何かがあって、余裕をなくしていたのかな？もしかして、あなたのいう「我が主」に関係すること……？			昏き微睡みの果つる刻							
……僕のことなど、どうだっていいでしょう。			……僕のことなど、どうだっていいでしょう。			昏き微睡みの果つる刻							
ごめんね、興味本位で聞いたわけじゃないの。ただ、これからいっしょに戦う仲間のことを何も知らなかったら、安心して背中を預けられないでしょ？			ごめんね、興味本位で聞いたわけじゃないの。ただ、これからいっしょに戦う仲間のことを何も知らなかったら、安心して背中を預けられないでしょ？			昏き微睡みの果つる刻							
前に、かまをかけるような真似をしたことは、謝るわ。わたしたちと同じような心の持ち主か、確かめてみたかったのよ。……年相応の少年の反応だったから、お姉さん、少し安心したけどね。			前に、かまをかけるような真似をしたことは、謝るわ。わたしたちと同じような心の持ち主か、確かめてみたかったのよ。……年相応の少年の反応だったから、お姉さん、少し安心したけどね。			昏き微睡みの果つる刻							
それじゃ、また事態に進展があったら、呼んでちょうだいね？			それじゃ、また事態に進展があったら、呼んでちょうだいね？			昏き微睡みの果つる刻							
「仲間」か……。			「仲間」か……。			昏き微睡みの果つる刻							
石の家のウヌクアルハイは、「三闘神」討滅計画について、ある懸念を抱いている。			石の家のウヌクアルハイは、「三闘神」討滅計画について、ある懸念を抱いている。			星の命運を懸けて							
前回までの冒険録：魔大陸アジス・ラーで、古代アラグ帝国が封じた蛮神「三闘神」が、覚醒の兆候を見せはじめた。冒険者は、謎の少年ウヌクアルハイに導かれ、その一柱である魔神「セフィロト」を討滅。「暁の血盟」のヤ・シュトラ、ウリエンジェ、クルルの協力のもと、三闘神すべてを討滅する計画に参加することになった。一方、魔大陸の周辺では、ガレマール帝国軍が不穏な動きを続けていた。彼らの狙いは、アラグの蛮神制御技術であるらしかった……。　　　　　　　　　　　　*　*　*ヤ・シュトラから急報がもたらされた。アジス・ラーの魔科学研究所付近にいる「ウヌクアルハイ」と合流しよう。			前回までの冒険録：魔大陸アジス・ラーで、古代アラグ帝国が封じた蛮神「三闘神」が、覚醒の兆候を見せはじめた。冒険者は、謎の少年ウヌクアルハイに導かれ、その一柱である魔神「セフィロト」を討滅。「暁の血盟」のヤ・シュトラ、ウリエンジェ、クルルの協力のもと、三闘神すべてを討滅する計画に参加することになった。一方、魔大陸の周辺では、ガレマール帝国軍が不穏な動きを続けていた。彼らの狙いは、アラグの蛮神制御技術であるらしかった……。　　　　　　　　　　　　*　*　*ヤ・シュトラから急報がもたらされた。アジス・ラーの魔科学研究所付近にいる「ウヌクアルハイ」と合流しよう。			星の命運を懸けて							
魔科学研究所に帝国軍が侵入した。蛮神制御に関する最重要機密を守るため、「暁」の仲間とともに帝国軍を追うことになった。戦いの準備を整え、アジス・ラーの魔科学研究所付近にある「魔科学研究所の端末」を操作しよう。			魔科学研究所に帝国軍が侵入した。蛮神制御に関する最重要機密を守るため、「暁」の仲間とともに帝国軍を追うことになった。戦いの準備を整え、アジス・ラーの魔科学研究所付近にある「魔科学研究所の端末」を操作しよう。			星の命運を懸けて							
帝国軍との戦闘に挑んだ。魔科学研究所で行われる帝国軍第VI軍団との戦闘にて、勝利を収めよう。			帝国軍との戦闘に挑んだ。魔科学研究所で行われる帝国軍第VI軍団との戦闘にて、勝利を収めよう。			星の命運を懸けて							
帝国軍との激戦を制し、蛮神制御技術の入手を阻止した。だが敵将レグラ・ヴァン・ヒュドルスも、あきらめるつもりはなさそうだ。魔科学研究所付近にいる「ウヌクアルハイ」と話そう。			帝国軍との激戦を制し、蛮神制御技術の入手を阻止した。だが敵将レグラ・ヴァン・ヒュドルスも、あきらめるつもりはなさそうだ。魔科学研究所付近にいる「ウヌクアルハイ」と話そう。			星の命運を懸けて							
魔科学研究所の封印を解いたのは、実はウヌクアルハイ自身だった。少年の狙いは帝国軍を罠にかけることであり、「暁」に害をなすつもりはなかったという。最後に石の家に戻り、「ウヌクアルハイ」と話そう。			魔科学研究所の封印を解いたのは、実はウヌクアルハイ自身だった。少年の狙いは帝国軍を罠にかけることであり、「暁」に害をなすつもりはなかったという。最後に石の家に戻り、「ウヌクアルハイ」と話そう。			星の命運を懸けて							
ウヌクアルハイと話した。少年が蛮神利用の思想を激しく拒絶する理由は、彼自身の隠された過去に秘密があるようだ。残る二柱の闘神を討ち果たすべく、彼の進める討滅計画に協力していこう。			ウヌクアルハイと話した。少年が蛮神利用の思想を激しく拒絶する理由は、彼自身の隠された過去に秘密があるようだ。残る二柱の闘神を討ち果たすべく、彼の進める討滅計画に協力していこう。			星の命運を懸けて							
魔科学研究所付近のウヌクアルハイと合流			魔科学研究所付近のウヌクアルハイと合流			星の命運を懸けて							
魔科学研究所の端末を操作			魔科学研究所の端末を操作			星の命運を懸けて							
魔科学研究所付近のウヌクアルハイと話す			魔科学研究所付近のウヌクアルハイと話す			星の命運を懸けて							
石の家のウヌクアルハイと話す			石の家のウヌクアルハイと話す			星の命運を懸けて							
光の戦士よ、貴方は気になりませんか？アラグの技術を狙う、帝国軍第VI軍団のことです……。			光の戦士よ、貴方は気になりませんか？アラグの技術を狙う、帝国軍第VI軍団のことです……。			星の命運を懸けて							
セフィロト討滅の折には、交戦を避けることができましたが、敵はまだ、かなりの戦力を温存しているようです。このまま放置しておけば、いずれまた…………おや？			セフィロト討滅の折には、交戦を避けることができましたが、敵はまだ、かなりの戦力を温存しているようです。このまま放置しておけば、いずれまた…………おや？			星の命運を懸けて							
失礼、「暁」の方からのリンクパール通信です。その声は……ヤ・シュトラ殿ですね？			失礼、「暁」の方からのリンクパール通信です。その声は……ヤ・シュトラ殿ですね？			星の命運を懸けて							
なんですって…………帝国軍が……！？わかりました、すぐに向かいます。			なんですって…………帝国軍が……！？わかりました、すぐに向かいます。			星の命運を懸けて							
……懸念していたことが、現実になってしまいました。魔科学研究所に施された封印が破られ、帝国軍が侵入したとのこと。このままでは、蛮神制御の技術が奪われてしまいます！			……懸念していたことが、現実になってしまいました。魔科学研究所に施された封印が破られ、帝国軍が侵入したとのこと。このままでは、蛮神制御の技術が奪われてしまいます！			星の命運を懸けて							
ウリエンジェをはじめ、賢人の方々にも招集がかかりました。「魔科学研究所」の入口で合流しましょう。「暁」の方々と連絡が取れしだい、僕も急行します。			ウリエンジェをはじめ、賢人の方々にも招集がかかりました。「魔科学研究所」の入口で合流しましょう。「暁」の方々と連絡が取れしだい、僕も急行します。			星の命運を懸けて							
ウリエンジェをはじめ、賢人の方々にも招集がかかりました。「魔科学研究所」の入口で合流しましょう。「暁」の方々と連絡が取れしだい、僕も急行します。			ウリエンジェをはじめ、賢人の方々にも招集がかかりました。「魔科学研究所」の入口で合流しましょう。「暁」の方々と連絡が取れしだい、僕も急行します。			星の命運を懸けて							
「暁」の方々とは、ここで合流予定です。彼らは帝国軍を警戒し、この空域を監視していたのですが……			「暁」の方々とは、ここで合流予定です。彼らは帝国軍を警戒し、この空域を監視していたのですが……			星の命運を懸けて							
不審な動きありとの報告を受け、ヤ・シュトラ殿らが赴いたところ、研究所に帝国軍が侵入した形跡が見つかったとのこと。手後れにならなければよいのですが……。			不審な動きありとの報告を受け、ヤ・シュトラ殿らが赴いたところ、研究所に帝国軍が侵入した形跡が見つかったとのこと。手後れにならなければよいのですが……。			星の命運を懸けて							
急に呼び立ててごめんなさい、Forename。これから、帝国軍と事をかまえることになりそうよ。			急に呼び立ててごめんなさい、Forename。これから、帝国軍と事をかまえることになりそうよ。			星の命運を懸けて							
魔科学研究所は、アラグの技術の粋を集めた施設……。帝国軍が簡単に近づけないよう、ウリエンジェが、内部に強力な封印を施していたのだけど……			魔科学研究所は、アラグの技術の粋を集めた施設……。帝国軍が簡単に近づけないよう、ウリエンジェが、内部に強力な封印を施していたのだけど……			星の命運を懸けて							
それが、破られてしまったのよ！敵はもう、中枢に迫っていてもおかしくないわ。			それが、破られてしまったのよ！敵はもう、中枢に迫っていてもおかしくないわ。			星の命運を懸けて							
予想外でありました……封印にもちいたのは、シャーレアンに伝わる秘術のひとつ……。			予想外でありました……封印にもちいたのは、シャーレアンに伝わる秘術のひとつ……。			星の命運を懸けて							
対する帝国は、主要民族「ガレアン族」が魔法を不得手とするため、魔法学の知識に乏しい。まさか、あれほど高度な封印魔法を突破されるとは……。			対する帝国は、主要民族「ガレアン族」が魔法を不得手とするため、魔法学の知識に乏しい。まさか、あれほど高度な封印魔法を突破されるとは……。			星の命運を懸けて							
どうやったのかは気になるところだけど、謎解きをしている時間はないわ。			どうやったのかは気になるところだけど、謎解きをしている時間はないわ。			星の命運を懸けて							
おっしゃるとおりです。研究所には、蛮神制御の核心となる理論が保管されています。特に重要なのは、無から有を生みだすための「変換式」……。			おっしゃるとおりです。研究所には、蛮神制御の核心となる理論が保管されています。特に重要なのは、無から有を生みだすための「変換式」……。			星の命運を懸けて							
帝国軍の狙いは、その「変換式」ということ？……それも、あなたのいう「我が主」からの情報かしら？			帝国軍の狙いは、その「変換式」ということ？……それも、あなたのいう「我が主」からの情報かしら？			星の命運を懸けて							
……ご明察です。ただこの状況は、我々にとって好機と捉えることもできますね。帝国軍を一網打尽にし、殲滅(せんめつ)すればよいのですよ。			……ご明察です。ただこの状況は、我々にとって好機と捉えることもできますね。帝国軍を一網打尽にし、殲滅(せんめつ)すればよいのですよ。			星の命運を懸けて							
ずいぶんと、過激な主張をするのね？今は敵の殲滅よりも、機密を守るのが最優先のはずよ。			ずいぶんと、過激な主張をするのね？今は敵の殲滅よりも、機密を守るのが最優先のはずよ。			星の命運を懸けて							
クルルのいうとおりね。その上で、敵に極力大きな打撃を与えたい、ということなら、私も反対はしないけれど……どうかしら、ウリエンジェ？			クルルのいうとおりね。その上で、敵に極力大きな打撃を与えたい、ということなら、私も反対はしないけれど……どうかしら、ウリエンジェ？			星の命運を懸けて							
……ウリエンジェさん？			……ウリエンジェさん？			星の命運を懸けて							
これは失礼…………しばし独想にふけっておりました。ヤ・シュトラ嬢、あなたの判断に従いましょう。それでは、突入を開始しましょうか。			これは失礼…………しばし独想にふけっておりました。ヤ・シュトラ嬢、あなたの判断に従いましょう。それでは、突入を開始しましょうか。			星の命運を懸けて							
転送機能を使えるようにしたわ。これで、研究所内に入れるようになったはずよ。			転送機能を使えるようにしたわ。これで、研究所内に入れるようになったはずよ。			星の命運を懸けて							
……ウリエンジェ。封印が破られたことが、よほど気になっているのね？			……ウリエンジェ。封印が破られたことが、よほど気になっているのね？			星の命運を懸けて							
あれはバルデシオン委員長が考案した、最上級の封印魔法。破るには、賢人クラスでも数ヶ月を要するでしょう。……「超える力」のごとき、異能を持つ者でもないかぎりは。			あれはバルデシオン委員長が考案した、最上級の封印魔法。破るには、賢人クラスでも数ヶ月を要するでしょう。……「超える力」のごとき、異能を持つ者でもないかぎりは。			星の命運を懸けて							
魔科学研究所の内部には、蛮神を制御するために不可欠な、「変換式」が保管されています。帝国軍が動いたのは、これを奪取するためかと……！			魔科学研究所の内部には、蛮神を制御するために不可欠な、「変換式」が保管されています。帝国軍が動いたのは、これを奪取するためかと……！			星の命運を懸けて							
古代の操作端末が作動し、「魔科学研究所」内への転送準備が整った……！			古代の操作端末が作動し、「魔科学研究所」内への転送準備が整った……！			星の命運を懸けて							
敵将を追うわよ！			敵将を追うわよ！			星の命運を懸けて							
くっ……まだいたの！？			くっ……まだいたの！？			星の命運を懸けて							
……ひとりで充分。Forename、私を信じて！			……ひとりで充分。Forename、私を信じて！			星の命運を懸けて							
あのなかに、アラグの魔科学の神髄が……。			あのなかに、アラグの魔科学の神髄が……。			星の命運を懸けて							
どこまでも、我が途(みち)に立ちふさがるか……。よかろう……皇帝陛下への献上品に、貴様の雁首を添えてくれるわ！			どこまでも、我が途(みち)に立ちふさがるか……。よかろう……皇帝陛下への献上品に、貴様の雁首を添えてくれるわ！			星の命運を懸けて							
Forename！			Forename！			星の命運を懸けて							
あの機械に、アラグの「変換式」が……？			あの機械に、アラグの「変換式」が……？			星の命運を懸けて							
……クルル！			……クルル！			星の命運を懸けて							
手負いだろうとも、貴様らごときに後れは……。			手負いだろうとも、貴様らごときに後れは……。			星の命運を懸けて							
わたしを殺せば、あなたも死ぬわ。			わたしを殺せば、あなたも死ぬわ。			星の命運を懸けて							
なぜ邪魔をする……エオルゼアの蛮人ども！皇帝陛下の欲するは、星を蝕む蛮神どもを封じる力……。貴様らとて、星の滅びを望むわけではなかろう！			なぜ邪魔をする……エオルゼアの蛮人ども！皇帝陛下の欲するは、星を蝕む蛮神どもを封じる力……。貴様らとて、星の滅びを望むわけではなかろう！			星の命運を懸けて							
それは巨大すぎる力を、ただひとりの権力者に託すということ。抑え込まれた蛮神の力は、いつの日か大きな反動をもたらします！			それは巨大すぎる力を、ただひとりの権力者に託すということ。抑え込まれた蛮神の力は、いつの日か大きな反動をもたらします！			星の命運を懸けて							
現にかの「第七霊災」は、アラグの秘術を手にした、貴国のただひとりの将が引き起こしたもの……。			現にかの「第七霊災」は、アラグの秘術を手にした、貴国のただひとりの将が引き起こしたもの……。			星の命運を懸けて							
世界の命運をゆだねてしまうには、「人」の心は、あまりにも未熟なのです！			世界の命運をゆだねてしまうには、「人」の心は、あまりにも未熟なのです！			星の命運を懸けて							
その言葉……陛下への侮辱と受け取るぞ、少年。			その言葉……陛下への侮辱と受け取るぞ、少年。			星の命運を懸けて							
だが、陛下のためならばこそ……ここは…………			だが、陛下のためならばこそ……ここは…………			星の命運を懸けて							
逃げられたみたいね。もう一戦、覚悟してたけど……			逃げられたみたいね。もう一戦、覚悟してたけど……			星の命運を懸けて							
……あうッ！			……あうッ！			星の命運を懸けて							
大丈夫……！？			大丈夫……！？			星の命運を懸けて							
平気です……ホッとして、力が抜けただけ。			平気です……ホッとして、力が抜けただけ。			星の命運を懸けて							
無事で済んだのは彼のおかげです。クルル嬢を守って……なかなかの奮戦だったとか。			無事で済んだのは彼のおかげです。クルル嬢を守って……なかなかの奮戦だったとか。			星の命運を懸けて							
……巻き込んだのは、僕ですから。			……巻き込んだのは、僕ですから。			星の命運を懸けて							
さて……どうにか「変換式」を守ることはできましたが、あれほどまでに皇帝を崇める敵将なれば、献上する品なくして、本国まで撤退するとは思えません……。			さて……どうにか「変換式」を守ることはできましたが、あれほどまでに皇帝を崇める敵将なれば、献上する品なくして、本国まで撤退するとは思えません……。			星の命運を懸けて							
今度こそ突破されないように、封印を施しなおすしかないわね。私とクルルも手伝うから、封印魔法を多重化させてみましょう。			今度こそ突破されないように、封印を施しなおすしかないわね。私とクルルも手伝うから、封印魔法を多重化させてみましょう。			星の命運を懸けて							
Forenameさん、ウヌクアルハイくん。			Forenameさん、ウヌクアルハイくん。			星の命運を懸けて							
おかげで、命拾いしたわ。…………ありがとう。			おかげで、命拾いしたわ。…………ありがとう。			星の命運を懸けて							
……どうってことないです。			……どうってことないです。			星の命運を懸けて							
あのね、人生の先輩として言わせてもらうと……そういうときは「どういたしまして」って言うのよ。			あのね、人生の先輩として言わせてもらうと……そういうときは「どういたしまして」って言うのよ。			星の命運を懸けて							
どう…………いたしまして。			どう…………いたしまして。			星の命運を懸けて							
早かったですね。封印の仕事は、もう終わりですか？			早かったですね。封印の仕事は、もう終わりですか？			星の命運を懸けて							
ヤ・シュトラ嬢らの目を忍んで、抜けてきたのですよ。あなたにお尋ねしたいことがあったものですから。			ヤ・シュトラ嬢らの目を忍んで、抜けてきたのですよ。あなたにお尋ねしたいことがあったものですから。			星の命運を懸けて							
……僕にですか？			……僕にですか？			星の命運を懸けて							
