レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
まずい、ソフィーを狙っているようだぞ！Forenameも来てくれ！			まずい、ソフィーを狙っているようだぞ！Forenameも来てくれ！			真のガンブレイカー							
よくやった、君たちの力は想像以上だったよ。しかし……これでもう終わりにしよう。			よくやった、君たちの力は想像以上だったよ。しかし……これでもう終わりにしよう。			真のガンブレイカー							
これは……！奴がとてつもない技を放ってくるぞ！			これは……！奴がとてつもない技を放ってくるぞ！			真のガンブレイカー							
障壁を展開する！ソフィー、援護を頼む！			障壁を展開する！ソフィー、援護を頼む！			真のガンブレイカー							
任せてちょうだい！			任せてちょうだい！			真のガンブレイカー							
ハァ、ハァ……すまない、魔力を使い切ってしまったようだ。			ハァ、ハァ……すまない、魔力を使い切ってしまったようだ。			真のガンブレイカー							
信じられん、我が奥義を耐えしのいだだと？これがガンブレイカーの技だというのか……。			信じられん、我が奥義を耐えしのいだだと？これがガンブレイカーの技だというのか……。			真のガンブレイカー							
Forename、まだ闘えるか？奴に、真のガンブレイカーの力を思い知らせてくれ！			Forename、まだ闘えるか？奴に、真のガンブレイカーの力を思い知らせてくれ！			真のガンブレイカー							
ウォォォォォォォォッッッ！！！			ウォォォォォォォォッッッ！！！			真のガンブレイカー							
ご、ごめんなさい、Forename。せめて、最後の魔力でキミを……！			ご、ごめんなさい、Forename。せめて、最後の魔力でキミを……！			真のガンブレイカー							
フン、くだらん。君ひとりとなったいま、さっさと片付けてくれるわ！			フン、くだらん。君ひとりとなったいま、さっさと片付けてくれるわ！			真のガンブレイカー							
チッ、しぶとい奴だ。これを使うはめになるとはな……。			チッ、しぶとい奴だ。これを使うはめになるとはな……。			真のガンブレイカー							
クソッ、この蛮族めが！私は貴様の首をとって軍団長になるのだ！			クソッ、この蛮族めが！私は貴様の首をとって軍団長になるのだ！			真のガンブレイカー							
これで最後だ！エオルゼアの英雄よ、私のために死ね……！！			これで最後だ！エオルゼアの英雄よ、私のために死ね……！！			真のガンブレイカー							
こ、この私が……蛮族ごときに……こんなこと……断じてあっては……ならんのだ！			こ、この私が……蛮族ごときに……こんなこと……断じてあっては……ならんのだ！			真のガンブレイカー							
見事だった。やはり、君こそ真のガンブレイカーだ。			見事だった。やはり、君こそ真のガンブレイカーだ。			真のガンブレイカー							
これまで姿を消していたこと、改めて謝ろう……すまなかった。			これまで姿を消していたこと、改めて謝ろう……すまなかった。			真のガンブレイカー							
まったく、大事な護衛を投げだして、いったい、いままで何をしてたっていうの……？			まったく、大事な護衛を投げだして、いったい、いままで何をしてたっていうの……？			真のガンブレイカー							
実をいうと、Forenameが、我が過ちを止めてくれた直後、私は崖の上に、ヴィトゥスら、アラウダエがいることに気づいたのだ……。			実をいうと、Forenameが、我が過ちを止めてくれた直後、私は崖の上に、ヴィトゥスら、アラウダエがいることに気づいたのだ……。			真のガンブレイカー							
だが、一向に襲ってくる様子のない彼らに疑問を持った。そこで、私はアラウダエを泳がせることにした。			だが、一向に襲ってくる様子のない彼らに疑問を持った。そこで、私はアラウダエを泳がせることにした。			真のガンブレイカー							
ひとり、離脱したように見せかけて、彼らを尾行し、その動向を探ることにしたのだ。そして、ヴィトゥスの標的が、君に変わったことを知った。			ひとり、離脱したように見せかけて、彼らを尾行し、その動向を探ることにしたのだ。そして、ヴィトゥスの標的が、君に変わったことを知った。			真のガンブレイカー							
しかし、ヴィトゥスと隊員たちの戦力を合わせれば、こちらに勝ち目がないこともわかった。そこで、カトに部下を無力化する発信機を作ってもらった。			しかし、ヴィトゥスと隊員たちの戦力を合わせれば、こちらに勝ち目がないこともわかった。そこで、カトに部下を無力化する発信機を作ってもらった。			真のガンブレイカー							
君たちに接触せず単独行動したのは、慎重なヴィトゥスに、こちらの作戦を読ませないため。発信機の完成に時間がかかったが、間一髪で間に合ってよかった。			君たちに接触せず単独行動したのは、慎重なヴィトゥスに、こちらの作戦を読ませないため。発信機の完成に時間がかかったが、間一髪で間に合ってよかった。			真のガンブレイカー							
なんだ……てっきり、自分の過ちに打ちひしがれて、ひとりで落ち込んでるんだと思ってた……。			なんだ……てっきり、自分の過ちに打ちひしがれて、ひとりで落ち込んでるんだと思ってた……。			真のガンブレイカー							
いや……正直それもある。あんな間違いを犯してしまったのだ、彼女彼に合わせる顔もなかった……。			いや……正直それもある。あんな間違いを犯してしまったのだ、彼女彼に合わせる顔もなかった……。			真のガンブレイカー							
だからこそ、なんとか挽回したかった。Forename、私の過ちを正してくれて、本当に感謝している、どうもありがとう……。			だからこそ、なんとか挽回したかった。Forename、私の過ちを正してくれて、本当に感謝している、どうもありがとう……。			真のガンブレイカー							
これにて、アラウダエは壊滅した。さあ、カトにこの朗報を伝えにいこう……。			これにて、アラウダエは壊滅した。さあ、カトにこの朗報を伝えにいこう……。			真のガンブレイカー							
安心してくれ……。このとおり、私はカトをもう恨んではいない。			安心してくれ……。このとおり、私はカトをもう恨んではいない。			真のガンブレイカー							
今回はオッサンにしてやられたみたいで、なんだか癪だな……。			今回はオッサンにしてやられたみたいで、なんだか癪だな……。			真のガンブレイカー							
アラウダエを倒してくれて、ありがとうございます。特殊な信号のため、発信機の製作に手間取りましたが、間に合ったようで本当によかった。			アラウダエを倒してくれて、ありがとうございます。特殊な信号のため、発信機の製作に手間取りましたが、間に合ったようで本当によかった。			真のガンブレイカー							
カト……。こちらこそ、あなたのおかげで、Forenameを助けることができた。			カト……。こちらこそ、あなたのおかげで、Forenameを助けることができた。			真のガンブレイカー							
アラウダエの兵士どもまで相手にしていたら、さすがに勝つことはできなかっただろう。本当に感謝している、どうもありがとう……。			アラウダエの兵士どもまで相手にしていたら、さすがに勝つことはできなかっただろう。本当に感謝している、どうもありがとう……。			真のガンブレイカー							
いえいえ……。あなたのお役に立てたのならば幸いです。			いえいえ……。あなたのお役に立てたのならば幸いです。			真のガンブレイカー							
これで、安心してイシュガルドの暖房設備の事業に打ち込めます。今後はこの街の人々のため、精一杯尽くす所存です。			これで、安心してイシュガルドの暖房設備の事業に打ち込めます。今後はこの街の人々のため、精一杯尽くす所存です。			真のガンブレイカー							
さて……Forenameは、私も及ばない、真のガンブレイカーとなった。			さて……Forenameは、私も及ばない、真のガンブレイカーとなった。			真のガンブレイカー							
祖国、シタデル・ボズヤは消滅し、我が一族も消えてしまったが、ガンブレイカーの技は絶やすことなく、継承することができた。ここらで、君を護衛稼業に巻き込むのも終わりにしよう。			祖国、シタデル・ボズヤは消滅し、我が一族も消えてしまったが、ガンブレイカーの技は絶やすことなく、継承することができた。ここらで、君を護衛稼業に巻き込むのも終わりにしよう。			真のガンブレイカー							
アタシたちも、エオルゼアの土地勘がついたし、ほかにも忙しそうなキミを、そろそろ解放してあげないとね。			アタシたちも、エオルゼアの土地勘がついたし、ほかにも忙しそうなキミを、そろそろ解放してあげないとね。			真のガンブレイカー							
だがその前に、君に頼みがある。冒険者が集う、レヴナンツトールという街があると聞いた。			だがその前に、君に頼みがある。冒険者が集う、レヴナンツトールという街があると聞いた。			真のガンブレイカー							
そこで、君に代わるガンブレイカーの後継者を探し、我らは護衛稼業を続けようと思う。どうか、かの街へと案内してもらえないか？			そこで、君に代わるガンブレイカーの後継者を探し、我らは護衛稼業を続けようと思う。どうか、かの街へと案内してもらえないか？			真のガンブレイカー							
たくさんの冒険者たちが、行き交っているね。			たくさんの冒険者たちが、行き交っているね。			真のガンブレイカー							
案内を、どうもありがとう。この街で、私とソフィーは再出発することになる。君ほどの逸材は、なかなかいないだろうが、気長に探してみるよ。			案内を、どうもありがとう。この街で、私とソフィーは再出発することになる。君ほどの逸材は、なかなかいないだろうが、気長に探してみるよ。			真のガンブレイカー							
冒険者の街だったら、アタシたちのような余所者でも、すぐに馴染めて、居心地もよさそうだね。さっそく、いい店を見つけちゃった。			冒険者の街だったら、アタシたちのような余所者でも、すぐに馴染めて、居心地もよさそうだね。さっそく、いい店を見つけちゃった。			真のガンブレイカー							
最後に私から、ガンブレイカーの後継者となった君に、伝えておきたいことがある。			最後に私から、ガンブレイカーの後継者となった君に、伝えておきたいことがある。			真のガンブレイカー							
女王の護衛から発祥した我らの技は、あくまで人を護るためのもの。決して、古代アラグ帝国や、ガレマール帝国のように、人を支配し苦しめるような悪行には使われたくない。			女王の護衛から発祥した我らの技は、あくまで人を護るためのもの。決して、古代アラグ帝国や、ガレマール帝国のように、人を支配し苦しめるような悪行には使われたくない。			真のガンブレイカー							
我が一族が長い間、ガンブレイカーの技を、一族以外の者に授けなかったのも、それを恐れてのことだ。			我が一族が長い間、ガンブレイカーの技を、一族以外の者に授けなかったのも、それを恐れてのことだ。			真のガンブレイカー							
だが、私は君と初めて出会ったとき、この者ならば、技を正しく使ってくれると直感した。そして、ともに護衛稼業をすることで、それを確信できた。			だが、私は君と初めて出会ったとき、この者ならば、技を正しく使ってくれると直感した。そして、ともに護衛稼業をすることで、それを確信できた。			真のガンブレイカー							
Forename、真のガンブレイカーよ……今後とも、その技で誰かを護ることに努めてくれ！			Forename、真のガンブレイカーよ……今後とも、その技で誰かを護ることに努めてくれ！			真のガンブレイカー							
「ガンブレイカー」の物語が、ひとつの区切りを迎えました！次の「ガンブレイカー」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「ガンブレイカー」の物語が、ひとつの区切りを迎えました！次の「ガンブレイカー」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			真のガンブレイカー							
1.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			1.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。			真のガンブレイカー							
2.TANKロールの、　「ロールクエスト 漆黒編」を完了する。			2.TANKロールの、　「ロールクエスト 漆黒編」を完了する。			真のガンブレイカー							
条件を満たし、レヴナンツトールの「ラドヴァン」に話しかけ、新たなジョブクエストを開始しましょう！			条件を満たし、レヴナンツトールの「ラドヴァン」に話しかけ、新たなジョブクエストを開始しましょう！			真のガンブレイカー							
聖バルロアイアン広場のラドヴァンは、何やらしんみりしている。			聖バルロアイアン広場のラドヴァンは、何やらしんみりしている。			強敵襲来？ 亡命した魔導技師を護れ！							
ラドヴァンは護衛の依頼を受けたようだ。イシュガルドのスカイスチール機工房付近の「リース」と話そう。			ラドヴァンは護衛の依頼を受けたようだ。イシュガルドのスカイスチール機工房付近の「リース」と話そう。			強敵襲来？ 亡命した魔導技師を護れ！							
リースと話し、懲罰部隊アラウダエから、魔導技師を護衛することになった。クルザス中央高地のアドネール占星台の屋上で「リース」と話そう。			リースと話し、懲罰部隊アラウダエから、魔導技師を護衛することになった。クルザス中央高地のアドネール占星台の屋上で「リース」と話そう。			強敵襲来？ 亡命した魔導技師を護れ！							
リースと話し、護衛するカト・マムラと対面した。アドネール占星台前の「ラドヴァン」と話そう。			リースと話し、護衛するカト・マムラと対面した。アドネール占星台前の「ラドヴァン」と話そう。			強敵襲来？ 亡命した魔導技師を護れ！							
早くもアラウダエが現れたようだ。冒険者は先に進んで敵を倒すことになった。クルザス中央高地のアートボルグ砦群にある「指定地点」で見渡し、現れたアラウダエの囚人兵たちを討伐しよう。			早くもアラウダエが現れたようだ。冒険者は先に進んで敵を倒すことになった。クルザス中央高地のアートボルグ砦群にある「指定地点」で見渡し、現れたアラウダエの囚人兵たちを討伐しよう。			強敵襲来？ 亡命した魔導技師を護れ！							
アラウダエの囚人兵たちを討伐した。ラドヴァンたちと合流するため、キャンプ・ドラゴンヘッドの「指定地点」で待機しよう。			アラウダエの囚人兵たちを討伐した。ラドヴァンたちと合流するため、キャンプ・ドラゴンヘッドの「指定地点」で待機しよう。			強敵襲来？ 亡命した魔導技師を護れ！							
ラドヴァンは敵が想定以上に危険なので、ひとりでカト・マムラを護衛すると行ってしまった。そこへ、ソフィーがやって来て、カト・マムラがラドヴァンの故郷、シタデル・ボズヤを消滅させた元凶だと聞かされる。ラドヴァンがカト・マムラに復讐する恐れがあるので、彼を探すことになった。クルザス中央高地のベヒーモスの縄張り付近の「指定地点」で見渡そう。			ラドヴァンは敵が想定以上に危険なので、ひとりでカト・マムラを護衛すると行ってしまった。そこへ、ソフィーがやって来て、カト・マムラがラドヴァンの故郷、シタデル・ボズヤを消滅させた元凶だと聞かされる。ラドヴァンがカト・マムラに復讐する恐れがあるので、彼を探すことになった。クルザス中央高地のベヒーモスの縄張り付近の「指定地点」で見渡そう。			強敵襲来？ 亡命した魔導技師を護れ！							
ラドヴァンが、カト・マムラを暗殺しようとしていたので、冒険者が間一髪で止めた。ラドヴァンは、自身がガンブレイカー失格だと言って去っていった。ソフィーとふたりでカト・マムラを護衛した。聖バルロアイアン広場の「ソフィー」と話そう。			ラドヴァンが、カト・マムラを暗殺しようとしていたので、冒険者が間一髪で止めた。ラドヴァンは、自身がガンブレイカー失格だと言って去っていった。ソフィーとふたりでカト・マムラを護衛した。聖バルロアイアン広場の「ソフィー」と話そう。			強敵襲来？ 亡命した魔導技師を護れ！							
ソフィーと話し、護衛を完了した。ラドヴァンはまだ戻らないが、腕を上げてまた彼女のもとを訪れよう。※ガンブレイカーのレベルが70以上になると、聖バルロアイアン広場のソフィーから次のガンブレイカークエストを受注することができます。			ソフィーと話し、護衛を完了した。ラドヴァンはまだ戻らないが、腕を上げてまた彼女のもとを訪れよう。※ガンブレイカーのレベルが70以上になると、聖バルロアイアン広場のソフィーから次のガンブレイカークエストを受注することができます。			強敵襲来？ 亡命した魔導技師を護れ！							
リースと話す			リースと話す			強敵襲来？ 亡命した魔導技師を護れ！							
アドネール占星台のリースと話す			アドネール占星台のリースと話す			強敵襲来？ 亡命した魔導技師を護れ！							
アドネール占星台前でラドヴァンと話す			アドネール占星台前でラドヴァンと話す			強敵襲来？ 亡命した魔導技師を護れ！							
指定地点で見渡しアラウダエの囚人兵たちを討伐			指定地点で見渡しアラウダエの囚人兵たちを討伐			強敵襲来？ 亡命した魔導技師を護れ！							
指定地点で待機			指定地点で待機			強敵襲来？ 亡命した魔導技師を護れ！							
指定地点で見渡す			指定地点で見渡す			強敵襲来？ 亡命した魔導技師を護れ！							
イシュガルドのソフィーと話す			イシュガルドのソフィーと話す			強敵襲来？ 亡命した魔導技師を護れ！							
とにかく寒いイシュガルドだけど、貴族のドレスは本当に優雅で素敵だね。アタシも舞踏会に行ってみたいな……。			とにかく寒いイシュガルドだけど、貴族のドレスは本当に優雅で素敵だね。アタシも舞踏会に行ってみたいな……。			強敵襲来？ 亡命した魔導技師を護れ！							
よく来た、Forename……。この街の寒さは、ときに人を死に至らしめてしまうのだな。先ほど、眠ったまま凍死してしまった貧民が運ばれていった。			よく来た、Forename……。この街の寒さは、ときに人を死に至らしめてしまうのだな。先ほど、眠ったまま凍死してしまった貧民が運ばれていった。			強敵襲来？ 亡命した魔導技師を護れ！							
かわいそうに、まだ未来ある若者だったよ。帝国に支配されずとも、過酷な環境なんだね……。			かわいそうに、まだ未来ある若者だったよ。帝国に支配されずとも、過酷な環境なんだね……。			強敵襲来？ 亡命した魔導技師を護れ！							
さて、神殿騎士団リーヴから護衛の依頼を受けた。依頼はかの亡命帝国人、シド・ガーロンドが設立した、ガーロンド・アイアンワークス社からだ。			さて、神殿騎士団リーヴから護衛の依頼を受けた。依頼はかの亡命帝国人、シド・ガーロンドが設立した、ガーロンド・アイアンワークス社からだ。			強敵襲来？ 亡命した魔導技師を護れ！							
まずは、スカイスチール機工房の近くにいる、ガーロンド社の社員「リース」さんに、話を聞きに行こう。			まずは、スカイスチール機工房の近くにいる、ガーロンド社の社員「リース」さんに、話を聞きに行こう。			強敵襲来？ 亡命した魔導技師を護れ！							
ガーロンド社のリースさんから、依頼の概要を聞こう。			ガーロンド社のリースさんから、依頼の概要を聞こう。			強敵襲来？ 亡命した魔導技師を護れ！							
そういえば、エオルゼアに魔導技術をもたらしたのは、亡命帝国人のシド・ガーロンドだったね……。			そういえば、エオルゼアに魔導技術をもたらしたのは、亡命帝国人のシド・ガーロンドだったね……。			強敵襲来？ 亡命した魔導技師を護れ！							
どうも、ガーロンド・アイアンワークス社のリースです。護衛してほしいのは、最近、帝国から亡命してきた魔導技師です。			どうも、ガーロンド・アイアンワークス社のリースです。護衛してほしいのは、最近、帝国から亡命してきた魔導技師です。			強敵襲来？ 亡命した魔導技師を護れ！							
凍死者も多いイシュガルドに、青燐機関を応用した暖房設備を築くため、この度、技術顧問として招くことになりました。			凍死者も多いイシュガルドに、青燐機関を応用した暖房設備を築くため、この度、技術顧問として招くことになりました。			強敵襲来？ 亡命した魔導技師を護れ！							
それはよい事業だな。先ほど、痛ましい犠牲者を見たばかりだ。暖房設備が整えば、そんな悲劇もなくせるだろう。			それはよい事業だな。先ほど、痛ましい犠牲者を見たばかりだ。暖房設備が整えば、そんな悲劇もなくせるだろう。			強敵襲来？ 亡命した魔導技師を護れ！							
問題なのは、魔導技師は帝国の名門の出身であり、身内の裏切りを恥と考えた当主が、刺客を送ったこと……。それも、情報によると「アラウダエ」という部隊だそうです。			問題なのは、魔導技師は帝国の名門の出身であり、身内の裏切りを恥と考えた当主が、刺客を送ったこと……。それも、情報によると「アラウダエ」という部隊だそうです。			強敵襲来？ 亡命した魔導技師を護れ！							
アラウダエだと……！？帝国の囚人を集めた、悪名高き懲罰部隊ではないか……！！			アラウダエだと……！？帝国の囚人を集めた、悪名高き懲罰部隊ではないか……！！			強敵襲来？ 亡命した魔導技師を護れ！							
アタシも聞いたことがある。隊員たちは成果を上げれば減刑されるからってんで、それこそ死に物狂いで戦う、恐ろしい部隊だって……。			アタシも聞いたことがある。隊員たちは成果を上げれば減刑されるからってんで、それこそ死に物狂いで戦う、恐ろしい部隊だって……。			強敵襲来？ 亡命した魔導技師を護れ！							
ああ……そのなかでも危険なのが、隊長である「ヴィトゥス・クォ・メッサラ」だ……。			ああ……そのなかでも危険なのが、隊長である「ヴィトゥス・クォ・メッサラ」だ……。			強敵襲来？ 亡命した魔導技師を護れ！							
奴は帝国軍で千人隊長まで務めた人物だったが、無辜の市民を虐殺した容疑で逮捕され、収監された。			奴は帝国軍で千人隊長まで務めた人物だったが、無辜の市民を虐殺した容疑で逮捕され、収監された。			強敵襲来？ 亡命した魔導技師を護れ！							
ヴィトゥスは人望こそ皆無だったものの、ひとりの武人としては、あのガイウスよりも強いと噂される猛者。その腕を見込まれて懲罰部隊に入り、隊長まで上りつめたのだ。			ヴィトゥスは人望こそ皆無だったものの、ひとりの武人としては、あのガイウスよりも強いと噂される猛者。その腕を見込まれて懲罰部隊に入り、隊長まで上りつめたのだ。			強敵襲来？ 亡命した魔導技師を護れ！							
実をいうと、私は収監中にヴィトゥスから、アラウダエに入隊するよう、執拗に勧誘されていた。悪党の仲間になりたくないので、断固として断り続けたがな。			実をいうと、私は収監中にヴィトゥスから、アラウダエに入隊するよう、執拗に勧誘されていた。悪党の仲間になりたくないので、断固として断り続けたがな。			強敵襲来？ 亡命した魔導技師を護れ！							
その際に「説得」と称して、以前に話した、魔導仕掛けの首輪に、何度も雷気を流されるはめになったのだ……。			その際に「説得」と称して、以前に話した、魔導仕掛けの首輪に、何度も雷気を流されるはめになったのだ……。			強敵襲来？ 亡命した魔導技師を護れ！							
ゾッとするね。ヴィトゥスに、人望がなかったわけだ……。			ゾッとするね。ヴィトゥスに、人望がなかったわけだ……。			強敵襲来？ 亡命した魔導技師を護れ！							
なるほど、かなり危険な相手のようですが、どうか、アラウダエから魔導技師を護っていただきたい……。			なるほど、かなり危険な相手のようですが、どうか、アラウダエから魔導技師を護っていただきたい……。			強敵襲来？ 亡命した魔導技師を護れ！							
魔導技師は、飛空艇でクルザスに向かっていますが、イシュガルド・ランディングだと、待ち伏せされる恐れがある。そのため、アドネール占星台の屋上に飛空艇を着けます。			魔導技師は、飛空艇でクルザスに向かっていますが、イシュガルド・ランディングだと、待ち伏せされる恐れがある。そのため、アドネール占星台の屋上に飛空艇を着けます。			強敵襲来？ 亡命した魔導技師を護れ！							
そこから徒歩で、イシュガルドへ向かうので、その間の護衛を、あなた方にお願いしたいのです。			そこから徒歩で、イシュガルドへ向かうので、その間の護衛を、あなた方にお願いしたいのです。			強敵襲来？ 亡命した魔導技師を護れ！							
イシュガルドの人々を寒さから救うためだ、もちろん、お護りしよう！			イシュガルドの人々を寒さから救うためだ、もちろん、お護りしよう！			強敵襲来？ 亡命した魔導技師を護れ！							
だが、今回ばかりは、いままでとは相手が違う……。ソフィーには、街で待機していてほしい。			だが、今回ばかりは、いままでとは相手が違う……。ソフィーには、街で待機していてほしい。			強敵襲来？ 亡命した魔導技師を護れ！							
ええー！なにそれ、アタシじゃ力不足てことぉ？			ええー！なにそれ、アタシじゃ力不足てことぉ？			強敵襲来？ 亡命した魔導技師を護れ！							
はっきり言って、そのとおりだ……。お前はきっと、足手まといになってしまう。			はっきり言って、そのとおりだ……。お前はきっと、足手まといになってしまう。			強敵襲来？ 亡命した魔導技師を護れ！							
あっそう！じゃあ、アタシは買い物でもしとくよ……！			あっそう！じゃあ、アタシは買い物でもしとくよ……！			強敵襲来？ 亡命した魔導技師を護れ！							
それでは、そろそろ飛空艇が到着する頃合いなので、アドネール占星台へ向かいましょう。			それでは、そろそろ飛空艇が到着する頃合いなので、アドネール占星台へ向かいましょう。			強敵襲来？ 亡命した魔導技師を護れ！							
ふう……ソフィーには悪いことをした。ああは言ったが、彼女の実力はなかなかのものだ。だが、今回は相手が相手ゆえ、危険な目に合わせたくなかった。			ふう……ソフィーには悪いことをした。ああは言ったが、彼女の実力はなかなかのものだ。だが、今回は相手が相手ゆえ、危険な目に合わせたくなかった。			強敵襲来？ 亡命した魔導技師を護れ！							
誤解しないでくれよ、ソフィーとは男女の関係ではない。しかし、種族も違い、親子ほども年が離れていても、彼女は固い絆で結ばれた、大事な人なのだ。			誤解しないでくれよ、ソフィーとは男女の関係ではない。しかし、種族も違い、親子ほども年が離れていても、彼女は固い絆で結ばれた、大事な人なのだ。			強敵襲来？ 亡命した魔導技師を護れ！							
ソフィーと共に脱獄し、家族の死を知ったときのこと……私は絶望に苛まれ、命を絶とうとした。			ソフィーと共に脱獄し、家族の死を知ったときのこと……私は絶望に苛まれ、命を絶とうとした。			強敵襲来？ 亡命した魔導技師を護れ！							
そんなとき、ソフィーは必死で説得してくれて、私に護衛稼業という、新たな生きがいまで提案してくれた。彼女自身も、家族を失っているというのにな……。			そんなとき、ソフィーは必死で説得してくれて、私に護衛稼業という、新たな生きがいまで提案してくれた。彼女自身も、家族を失っているというのにな……。			強敵襲来？ 亡命した魔導技師を護れ！							
それからというもの、ソフィーは私にとって、新たな家族ともいえる、かけがえのない存在となったのだ。			それからというもの、ソフィーは私にとって、新たな家族ともいえる、かけがえのない存在となったのだ。			強敵襲来？ 亡命した魔導技師を護れ！							
すまない、長く語りすぎたな。早いところ、アドネール占星台の屋上へ向かおう。			すまない、長く語りすぎたな。早いところ、アドネール占星台の屋上へ向かおう。			強敵襲来？ 亡命した魔導技師を護れ！							
飛空艇が到着したようだな。リースさんと話して、護衛を開始しよう。			飛空艇が到着したようだな。リースさんと話して、護衛を開始しよう。			強敵襲来？ 亡命した魔導技師を護れ！							
先ほど、飛空艇が到着しました。こちらが、護衛してもらう魔導技師です……。			先ほど、飛空艇が到着しました。こちらが、護衛してもらう魔導技師です……。			強敵襲来？ 亡命した魔導技師を護れ！							
私は魔導技師のカト・ナン・マムラ……いや、今は帝国式の階級などない「カト・マムラ」、そう名乗るべきですね、よろしくお願いします。			私は魔導技師のカト・ナン・マムラ……いや、今は帝国式の階級などない「カト・マムラ」、そう名乗るべきですね、よろしくお願いします。			強敵襲来？ 亡命した魔導技師を護れ！							
どうしました、ラドヴァンさん……？			どうしました、ラドヴァンさん……？			強敵襲来？ 亡命した魔導技師を護れ！							
い、いや……なんでもない……。			い、いや……なんでもない……。			強敵襲来？ 亡命した魔導技師を護れ！							
カトさんは、弊社によるオメガ調査のため、危険を冒して、帝国から貴重なデータを持ち出してくれました。その恩を返すためにも、必ず無事に届けたい。			カトさんは、弊社によるオメガ調査のため、危険を冒して、帝国から貴重なデータを持ち出してくれました。その恩を返すためにも、必ず無事に届けたい。			強敵襲来？ 亡命した魔導技師を護れ！							
それでは、アドネール占星台の入口で、辺りに怪しい者がいないか、確認してみましょう。			それでは、アドネール占星台の入口で、辺りに怪しい者がいないか、確認してみましょう。			強敵襲来？ 亡命した魔導技師を護れ！							
早くも敵に嗅ぎつけられるとは……！			早くも敵に嗅ぎつけられるとは……！			強敵襲来？ 亡命した魔導技師を護れ！							
どうか、お気をつけて……！			どうか、お気をつけて……！			強敵襲来？ 亡命した魔導技師を護れ！							
アラウダエが襲ってきた！ここに飛空艇を着けたことを、嗅ぎつけられたようだ……！			アラウダエが襲ってきた！ここに飛空艇を着けたことを、嗅ぎつけられたようだ……！			強敵襲来？ 亡命した魔導技師を護れ！							
私たちでカトさんを護衛するので、君は先に進んで、敵を片付けてくれ！「キャンプ・ドラゴンヘッド」で、合流しよう……！			私たちでカトさんを護衛するので、君は先に進んで、敵を片付けてくれ！「キャンプ・ドラゴンヘッド」で、合流しよう……！			強敵襲来？ 亡命した魔導技師を護れ！							
私たちでカトさんを護衛するので、君は先に進んで、敵を片付けてくれ！「キャンプ・ドラゴンヘッド」で、合流しよう……！			私たちでカトさんを護衛するので、君は先に進んで、敵を片付けてくれ！「キャンプ・ドラゴンヘッド」で、合流しよう……！			強敵襲来？ 亡命した魔導技師を護れ！							
邪魔者は殺す！			邪魔者は殺す！			強敵襲来？ 亡命した魔導技師を護れ！							
護衛を始末しろ！			護衛を始末しろ！			強敵襲来？ 亡命した魔導技師を護れ！							
奴を片付けるんだ！			奴を片付けるんだ！			強敵襲来？ 亡命した魔導技師を護れ！							
うう……不覚でした……。			うう……不覚でした……。			強敵襲来？ 亡命した魔導技師を護れ！							
リースさんが、怪我を負ってしまった。奴らの実力は想定以上……いままでの相手とは桁違いだぞ！			リースさんが、怪我を負ってしまった。奴らの実力は想定以上……いままでの相手とは桁違いだぞ！			強敵襲来？ 亡命した魔導技師を護れ！							
ここまでは、何とかなったが、隊長のヴィトゥスが前面に出てきたら、脅威は更に高まる。			ここまでは、何とかなったが、隊長のヴィトゥスが前面に出てきたら、脅威は更に高まる。			強敵襲来？ 亡命した魔導技師を護れ！							
そうなると、リースさんはおろか、Forenameですら危険だ……。ここからは、私ひとりでカトさんを護衛させてくれ。			そうなると、リースさんはおろか、Forenameですら危険だ……。ここからは、私ひとりでカトさんを護衛させてくれ。			強敵襲来？ 亡命した魔導技師を護れ！							
何と言う？			何と言う？			強敵襲来？ 亡命した魔導技師を護れ！							
自分もいく！			自分もいく！			強敵襲来？ 亡命した魔導技師を護れ！							
任せた……			任せた……			強敵襲来？ 亡命した魔導技師を護れ！							
君の気持ちはありがたいが、ヴィトゥスは本当に危険なのだ……。どうか、わかってくれ。			君の気持ちはありがたいが、ヴィトゥスは本当に危険なのだ……。どうか、わかってくれ。			強敵襲来？ 亡命した魔導技師を護れ！							
それでは、いってくる……。			それでは、いってくる……。			強敵襲来？ 亡命した魔導技師を護れ！							
ふう……確かに、私の手に負える相手ではなさそうです。ここで、無事に到着したという連絡を待ちましょう。私は怪我の治療をしてきます。			ふう……確かに、私の手に負える相手ではなさそうです。ここで、無事に到着したという連絡を待ちましょう。私は怪我の治療をしてきます。			強敵襲来？ 亡命した魔導技師を護れ！							
Forename！誰もイシュガルドに来ないから、心配してアドネール占星台に向かう途中だったんだけど……。			Forename！誰もイシュガルドに来ないから、心配してアドネール占星台に向かう途中だったんだけど……。			強敵襲来？ 亡命した魔導技師を護れ！							
あれ？オッサンや、護衛する魔導技師の人は……？			あれ？オッサンや、護衛する魔導技師の人は……？			強敵襲来？ 亡命した魔導技師を護れ！							
