ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
随分と評判の悪い王だったようだね。史上最悪の暴君であったと伝えられているそうだが……。			随分と評判の悪い王だったようだね。史上最悪の暴君であったと伝えられているそうだが……。			冒険の誘い							
ああ、そのとおりだ。国教だったラールガー星導教のモンクたちと対立し、ラールガーズリーチを焼き討ちしたのも、廃王テオドリックだ。			ああ、そのとおりだ。国教だったラールガー星導教のモンクたちと対立し、ラールガーズリーチを焼き討ちしたのも、廃王テオドリックだ。			冒険の誘い							
そのうえ、晩年には自分の王位が狙われているのではないかと、極度の疑心暗鬼におちいったそうでな……。片っ端から、王位継承権を持つ王族たちを処刑していったらしい。			そのうえ、晩年には自分の王位が狙われているのではないかと、極度の疑心暗鬼におちいったそうでな……。片っ端から、王位継承権を持つ王族たちを処刑していったらしい。			冒険の誘い							
その際、処刑の対象となった王族たちの財産は、王に没収され、アラミゴ王宮に持ち去られたと言われている。これが「廃王の黄金」伝説だ。			その際、処刑の対象となった王族たちの財産は、王に没収され、アラミゴ王宮に持ち去られたと言われている。これが「廃王の黄金」伝説だ。			冒険の誘い							
なるほど……。君が言っていた冒険とやらの正体が見えてきたぞ。消えた「廃王の黄金」を探そうというんだね？			なるほど……。君が言っていた冒険とやらの正体が見えてきたぞ。消えた「廃王の黄金」を探そうというんだね？			冒険の誘い							
そのとおり！			そのとおり！			冒険の誘い							
でも、待ってくれ。その伝説というのは、アラミゴでは有名な話なんだろう？だったらすでに、探している人だって……			でも、待ってくれ。その伝説というのは、アラミゴでは有名な話なんだろう？だったらすでに、探している人だって……			冒険の誘い							
もちろん、俺たちより先に動いていた連中は大勢いたさ。アラミゴが奪還された直後、かなりの人数の闘士たちが、財宝を手に入れようと王宮内を捜索したらしい。			もちろん、俺たちより先に動いていた連中は大勢いたさ。アラミゴが奪還された直後、かなりの人数の闘士たちが、財宝を手に入れようと王宮内を捜索したらしい。			冒険の誘い							
ところが、夜通しの家捜しにもかかわらず、何も発見されず、「廃王の黄金」伝説は、あっという間に萎んでしまったのさ。			ところが、夜通しの家捜しにもかかわらず、何も発見されず、「廃王の黄金」伝説は、あっという間に萎んでしまったのさ。			冒険の誘い							
そう言う割に、君の目は期待に満ちているようだが？			そう言う割に、君の目は期待に満ちているようだが？			冒険の誘い							
それが冒険心ってやつだろう？なっ、俺たち三人で「廃王の黄金」を探してみようぜ！			それが冒険心ってやつだろう？なっ、俺たち三人で「廃王の黄金」を探してみようぜ！			冒険の誘い							
エモートアクション「格闘訓練」を覚えた！			エモートアクション「格闘訓練」を覚えた！			冒険の誘い							
ソルトリーのアルフィノは、ワットへの説明を終えたようだ。			ソルトリーのアルフィノは、ワットへの説明を終えたようだ。			波乱の徴候							
指定地点で待機			指定地点で待機			波乱の徴候							
ラウバーンと話す			ラウバーンと話す			波乱の徴候							
リセと話す			リセと話す			波乱の徴候							
祖父さんたちが、頑張ろうとしているんだ。俺たちの世代だって、負けちゃいられないだろ？			祖父さんたちが、頑張ろうとしているんだ。俺たちの世代だって、負けちゃいられないだろ？			波乱の徴候							
どうやら魔物の問題は、解決に向かいそうだね。こちらも、ワットさんへの説明と、ソルトリーの現状把握が、あらかた終わったところさ。			どうやら魔物の問題は、解決に向かいそうだね。こちらも、ワットさんへの説明と、ソルトリーの現状把握が、あらかた終わったところさ。			波乱の徴候							
集落をひとまわりしてきたが、使えそうな建物もあってね。これなら、難民たちも呼び込むことができそうだ。			集落をひとまわりしてきたが、使えそうな建物もあってね。これなら、難民たちも呼び込むことができそうだ。			波乱の徴候							
お話中のところ、失礼しますッ！			お話中のところ、失礼しますッ！			波乱の徴候							
Forename様に、ラウバーン局長より伝言を預かって参りました！ぜひ直接、お会いして、報告したいことがあるとのことです！			Forename様に、ラウバーン局長より伝言を預かって参りました！ぜひ直接、お会いして、報告したいことがあるとのことです！			波乱の徴候							
実務面での細かな仕事は、私がワットさんたちと進めておこう。ウルダハ側との連絡も、任せてくれて構わないよ。だから、君は遠慮なく行ってきてくれ。			実務面での細かな仕事は、私がワットさんたちと進めておこう。ウルダハ側との連絡も、任せてくれて構わないよ。だから、君は遠慮なく行ってきてくれ。			波乱の徴候							
ありがとうございますッ！それでは、アラミガン・クォーターの主門前でお待ちください！失礼しますッ！			ありがとうございますッ！それでは、アラミガン・クォーターの主門前でお待ちください！失礼しますッ！			波乱の徴候							
しかし、アルフィノ君の賢さには驚かされるの。あっという間に、工房の修復に必要な予算を計算してしもうた。			しかし、アルフィノ君の賢さには驚かされるの。あっという間に、工房の修復に必要な予算を計算してしもうた。			波乱の徴候							
ソルトリーの住人が塩や魚を獲る場所を、解放軍の仲間と巡回できるよう、リセ隊長とも相談してみるさ。			ソルトリーの住人が塩や魚を獲る場所を、解放軍の仲間と巡回できるよう、リセ隊長とも相談してみるさ。			波乱の徴候							
細かな仕事は、私に任せてくれ。君はラウバーン局長との待ち合わせ場所に向かってくれよ。			細かな仕事は、私に任せてくれ。君はラウバーン局長との待ち合わせ場所に向かってくれよ。			波乱の徴候							
ここにいたのか、探したぞ！			ここにいたのか、探したぞ！			波乱の徴候							
ところで、慌てた様子で彼が駆けつけて来たのだが、いったいどうしたというのだ？			ところで、慌てた様子で彼が駆けつけて来たのだが、いったいどうしたというのだ？			波乱の徴候							
予想以上に時間をとらせてしまったな。だが、話ができてよかった。			予想以上に時間をとらせてしまったな。だが、話ができてよかった。			波乱の徴候							
ところで……アレンヴァルドよ、我らを探していたようだが、何事か起こったとでもいうのか？			ところで……アレンヴァルドよ、我らを探していたようだが、何事か起こったとでもいうのか？			波乱の徴候							
ラウバーン局長……Forenameもいっしょにいたとは好都合です。			ラウバーン局長……Forenameもいっしょにいたとは好都合です。			波乱の徴候							
実は、正門前にアナンタ族の一団が来ましてね。それも、解放軍に協力していたウィルラ派ではなく、蛮神召喚を行った、カリヤナ派だっていうから大騒ぎで……。			実は、正門前にアナンタ族の一団が来ましてね。それも、解放軍に協力していたウィルラ派ではなく、蛮神召喚を行った、カリヤナ派だっていうから大騒ぎで……。			波乱の徴候							
例の代表者会議に、出席したいと主張しているらしいです。今、リセたちが対応していますが……。			例の代表者会議に、出席したいと主張しているらしいです。今、リセたちが対応していますが……。			波乱の徴候							
確かに代表者会議には、獣人種族も招かれている……。人との接触を嫌うカリヤナ派は、出席しないものとばかり、思い込んでいたが……。			確かに代表者会議には、獣人種族も招かれている……。人との接触を嫌うカリヤナ派は、出席しないものとばかり、思い込んでいたが……。			波乱の徴候							
ともかく、我々も現地に行ってみるしかあるまい。ピピンは、ただちに同盟軍部隊と合流し、警戒態勢に入れ。			ともかく、我々も現地に行ってみるしかあるまい。ピピンは、ただちに同盟軍部隊と合流し、警戒態勢に入れ。			波乱の徴候							
Forenameよ、吾輩に同行してもらえるか？連中と相対したことのある貴様がいてくれると助かる。			Forenameよ、吾輩に同行してもらえるか？連中と相対したことのある貴様がいてくれると助かる。			波乱の徴候							
来てくれたんだね、Forename、ラウバーン！			来てくれたんだね、Forename、ラウバーン！			波乱の徴候							
シュー……お前は、あの時の……！			シュー……お前は、あの時の……！			波乱の徴候							
美神ラクシュミに刃を向けたこと、忘れてはおらぬが、それでも、我らは戦いに来たのではない……。			美神ラクシュミに刃を向けたこと、忘れてはおらぬが、それでも、我らは戦いに来たのではない……。			波乱の徴候							
ギラバニアの地で生きるすべての者が、集い協力すべしとの理念に嘘偽りがないのであれば、我らをアナンタ族の代表として、受け入れるがいい！			ギラバニアの地で生きるすべての者が、集い協力すべしとの理念に嘘偽りがないのであれば、我らをアナンタ族の代表として、受け入れるがいい！			波乱の徴候							
もちろん、偽りはないわ。ただ、アタシたちが蛮神の召喚を認められないということだけは、わかってもらいたいの……。			もちろん、偽りはないわ。ただ、アタシたちが蛮神の召喚を認められないということだけは、わかってもらいたいの……。			波乱の徴候							
アラミゴの王宮へ入る前に、クリスタルの装飾具を預からせてもらうことが条件よ。もちろん、会議が終わった後に返却させてもらうから……。			アラミゴの王宮へ入る前に、クリスタルの装飾具を預からせてもらうことが条件よ。もちろん、会議が終わった後に返却させてもらうから……。			波乱の徴候							
シュー……遺憾ではあるが、認めよう。だが、護衛の者たちの武器までは、渡しはせぬぞ。お前たちヒトの子を、完全に信用したわけではないのでな……。			シュー……遺憾ではあるが、認めよう。だが、護衛の者たちの武器までは、渡しはせぬぞ。お前たちヒトの子を、完全に信用したわけではないのでな……。			波乱の徴候							
……妥当な条件に思えます。我々の護衛も、武器は携行することになりますし……。			……妥当な条件に思えます。我々の護衛も、武器は携行することになりますし……。			波乱の徴候							
致し方あるまい。			致し方あるまい。			波乱の徴候							
シュー……交渉は成立した。我らを議場に案内するがいい。			シュー……交渉は成立した。我らを議場に案内するがいい。			波乱の徴候							
やれやれ、開催直前になって、波乱の徴候ありと言ったところか……。			やれやれ、開催直前になって、波乱の徴候ありと言ったところか……。			波乱の徴候							
ラールガーズリーチのリセは、冒険者に報告があるようだ。			ラールガーズリーチのリセは、冒険者に報告があるようだ。			風雲急を告げる報せ							
前回までの冒険録：アルフィノ、アレンヴァルドとともに発見した「廃王の黄金」。これをアラミゴ側の資本として、ウルダハと共同でソルトリーの製塩業を興すことにより、難民の帰還支援策は、ようやくの目処が立つことになった。そんな中で開かれた、アラミゴ国内の体制を決める代表者会議で、カリヤナ派のアナンタ族が美神「ラクシュミ」を召喚。会議の場はいっとき混乱に包まれるも、冒険者とアレンヴァルド、牢から駆けつけたフォルドラにより、「ラクシュミ」は討伐される。会議も無事に終了し、アラミゴは民に選ばれた代表による議会制へと移行することになった。新たな未来へと歩み始めたアラミゴ。その道をともに歩む者として、ラウバーンがアラミゴ解放軍へと加わるのだった。　　　　　　　　　　　　*　*　*リセから、アラミゴの近況を聞いているところに、アルフィノとアリゼーがやって来た。タタルから緊急の報せが届いたらしい。クガネの「ウルダハ商館応接室」に向かおう。「東アルデナード商会の使用人」に話しかければ、応接室のタタルとハンコックに取り次いでくれるようだ。			前回までの冒険録：アルフィノ、アレンヴァルドとともに発見した「廃王の黄金」。これをアラミゴ側の資本として、ウルダハと共同でソルトリーの製塩業を興すことにより、難民の帰還支援策は、ようやくの目処が立つことになった。そんな中で開かれた、アラミゴ国内の体制を決める代表者会議で、カリヤナ派のアナンタ族が美神「ラクシュミ」を召喚。会議の場はいっとき混乱に包まれるも、冒険者とアレンヴァルド、牢から駆けつけたフォルドラにより、「ラクシュミ」は討伐される。会議も無事に終了し、アラミゴは民に選ばれた代表による議会制へと移行することになった。新たな未来へと歩み始めたアラミゴ。その道をともに歩む者として、ラウバーンがアラミゴ解放軍へと加わるのだった。　　　　　　　　　　　　*　*　*リセから、アラミゴの近況を聞いているところに、アルフィノとアリゼーがやって来た。タタルから緊急の報せが届いたらしい。クガネの「ウルダハ商館応接室」に向かおう。「東アルデナード商会の使用人」に話しかければ、応接室のタタルとハンコックに取り次いでくれるようだ。			風雲急を告げる報せ							
東アルデナード商会の使用人に応接室へと取り次いでもらった。ウルダハ商館応接室に向かい、ハンコックたちの話を聞こう。			東アルデナード商会の使用人に応接室へと取り次いでもらった。ウルダハ商館応接室に向かい、ハンコックたちの話を聞こう。			風雲急を告げる報せ							
クガネで、ゴウセツとヨツユらしい二人組が目撃されたらしい。ハンコックが雇った情報屋との合流地点である、クガネの三条花街に向かい、「アリゼー」と話そう。			クガネで、ゴウセツとヨツユらしい二人組が目撃されたらしい。ハンコックが雇った情報屋との合流地点である、クガネの三条花街に向かい、「アリゼー」と話そう。			風雲急を告げる報せ							
情報屋とは、ナマズオのギョドウのことだった。帝国人と接触するというギョドウと、手分けをして情報収集をすることになった。ゴウセツらしき侍が刀を質入れしたという質屋にあたってみよう。			情報屋とは、ナマズオのギョドウのことだった。帝国人と接触するというギョドウと、手分けをして情報収集をすることになった。ゴウセツらしき侍が刀を質入れしたという質屋にあたってみよう。			風雲急を告げる報せ							
クガネのウルダハ商館応接室に向かう			クガネのウルダハ商館応接室に向かう			風雲急を告げる報せ							
三条花街のアリゼーと話す			三条花街のアリゼーと話す			風雲急を告げる報せ							
あっ、Forename！ちょうど、報告したいことがあって、「暁」に連絡を取ろうとしていたんだよね。			あっ、Forename！ちょうど、報告したいことがあって、「暁」に連絡を取ろうとしていたんだよね。			風雲急を告げる報せ							
代表者会議で議論した結果、アラミゴ解放軍が、正式な国軍に昇格することに決まったんだ。初代総指揮官に選ばれたのは、アラミゴの猛牛、ラウバーン！			代表者会議で議論した結果、アラミゴ解放軍が、正式な国軍に昇格することに決まったんだ。初代総指揮官に選ばれたのは、アラミゴの猛牛、ラウバーン！			風雲急を告げる報せ							
彼が復興の陣頭に立つってことで、みんな沸き立ってるんだ。それもこれも、あなたとナナモ様が、ラウバーンの決断を後押ししてくれたおかげだね。			彼が復興の陣頭に立つってことで、みんな沸き立ってるんだ。それもこれも、あなたとナナモ様が、ラウバーンの決断を後押ししてくれたおかげだね。			風雲急を告げる報せ							
ここラールガーズリーチも、正式に維持することに決まりました。リセも、改めて辺境地帯方面の部隊長に就任して、ずいぶん張り切っているんですよ？			ここラールガーズリーチも、正式に維持することに決まりました。リセも、改めて辺境地帯方面の部隊長に就任して、ずいぶん張り切っているんですよ？			風雲急を告げる報せ							
ラクシュミ再召喚の一件があったばかりだし、カリヤナ派の監視も緩めるわけにはいかないからね。……それで、いくつかわかったこともあるんだ。			ラクシュミ再召喚の一件があったばかりだし、カリヤナ派の監視も緩めるわけにはいかないからね。……それで、いくつかわかったこともあるんだ。			風雲急を告げる報せ							
ラウバーンに斬られた族長のかわりに、その娘が、カリヤナ派の新族長になったらしいんだけどさ……。あの子、魂のない人形のような状態が続いているみたいで。			ラウバーンに斬られた族長のかわりに、その娘が、カリヤナ派の新族長になったらしいんだけどさ……。あの子、魂のない人形のような状態が続いているみたいで。			風雲急を告げる報せ							
指導者が、そんな様子だから、かなり混乱していてね。今は対話に応じる余裕もないみたいだけど……手を取り合える日が来るよう、呼びかけを続けていくつもり。			指導者が、そんな様子だから、かなり混乱していてね。今は対話に応じる余裕もないみたいだけど……手を取り合える日が来るよう、呼びかけを続けていくつもり。			風雲急を告げる報せ							
あっ、対話といえば……牢にいるフォルドラのところにも、たまに話しに行ってるんだ。			あっ、対話といえば……牢にいるフォルドラのところにも、たまに話しに行ってるんだ。			風雲急を告げる報せ							
彼女も彼女で、うつむいて全然アタシを見てくれないんだけどさ。少しずつ、言葉だけは返してくれるようになってきたの。いずれ、こっちを振り向かせてみせるからねっ。			彼女も彼女で、うつむいて全然アタシを見てくれないんだけどさ。少しずつ、言葉だけは返してくれるようになってきたの。いずれ、こっちを振り向かせてみせるからねっ。			風雲急を告げる報せ							
ここにいたのか、Forename！			ここにいたのか、Forename！			風雲急を告げる報せ							
アルフィノ！　それに、アリゼーも！……何かあったの？			アルフィノ！　それに、アリゼーも！……何かあったの？			風雲急を告げる報せ							
クガネにいるタタルから、報せが届いたの。ハンコックが、緊急性の高い重要情報を掴んだとかで、急いで来てほしいそうよ。			クガネにいるタタルから、報せが届いたの。ハンコックが、緊急性の高い重要情報を掴んだとかで、急いで来てほしいそうよ。			風雲急を告げる報せ							
そこで私が、君と一緒に現地へ赴こうかと思ったのだが……。アリゼーも、どうしても行くと譲らなくてね。			そこで私が、君と一緒に現地へ赴こうかと思ったのだが……。アリゼーも、どうしても行くと譲らなくてね。			風雲急を告げる報せ							
いいじゃない、だいぶ怪我も治ってきたし、なまっている身体を動かしたかったところなのよ。それに急ぎの事態なら、人手は多いほうがいいでしょ？			いいじゃない、だいぶ怪我も治ってきたし、なまっている身体を動かしたかったところなのよ。それに急ぎの事態なら、人手は多いほうがいいでしょ？			風雲急を告げる報せ							
……やれやれ、言い出したら聞かないからな。			……やれやれ、言い出したら聞かないからな。			風雲急を告げる報せ							
ともかく、すぐにでも出発したいところなんだが……今から同行を頼めるかい？			ともかく、すぐにでも出発したいところなんだが……今から同行を頼めるかい？			風雲急を告げる報せ							
……こういうとき、一緒に行けないのは寂しいけどさ。応援してるから、みんながんばってね！			……こういうとき、一緒に行けないのは寂しいけどさ。応援してるから、みんながんばってね！			風雲急を告げる報せ							
ありがとう、リセ。もし、アラミゴにも関係しそうな内容だったら、すぐ君に報せることにするよ。			ありがとう、リセ。もし、アラミゴにも関係しそうな内容だったら、すぐ君に報せることにするよ。			風雲急を告げる報せ							
それでは、クガネの商館へ向かおう。「東アルデナード商会の使用人」に話しかければ、ハンコックに取り次いでくれるはずだ。			それでは、クガネの商館へ向かおう。「東アルデナード商会の使用人」に話しかければ、ハンコックに取り次いでくれるはずだ。			風雲急を告げる報せ							
アラミゴの自由は、アタシたちで守ってみせるから。タタルやハンコックに、よろしく伝えてね！			アラミゴの自由は、アタシたちで守ってみせるから。タタルやハンコックに、よろしく伝えてね！			風雲急を告げる報せ							
クガネからの呼び出し……。どのような内容かはわかりませんが、皆さんのご無事をお祈りしております！			クガネからの呼び出し……。どのような内容かはわかりませんが、皆さんのご無事をお祈りしております！			風雲急を告げる報せ							
ようこそ、お客様。「ウルダハ商館応接室」に入られますか？			ようこそ、お客様。「ウルダハ商館応接室」に入られますか？			風雲急を告げる報せ							
「ウルダハ商館応接室」へ入りますか？			「ウルダハ商館応接室」へ入りますか？			風雲急を告げる報せ							
情報屋とは、「三条花街」の裏路地で落ち合えるはずデス。クガネの隅々に精通した、ずる賢い……いえ、優秀な情報屋に、協力をお願いしておきマシタ～！			情報屋とは、「三条花街」の裏路地で落ち合えるはずデス。クガネの隅々に精通した、ずる賢い……いえ、優秀な情報屋に、協力をお願いしておきマシタ～！			風雲急を告げる報せ							
クガネの、ずる賢くて優秀な情報屋ねえ……。どうも、いつぞや会ったナマズオが頭に浮かぶんだけど……まあ、とにかく向かってみましょうか。			クガネの、ずる賢くて優秀な情報屋ねえ……。どうも、いつぞや会ったナマズオが頭に浮かぶんだけど……まあ、とにかく向かってみましょうか。			風雲急を告げる報せ							
それじゃ、オイラも協力するよぉ～。Forenameに頼み事があったんだけど、まずは、そっちの話を片付けたほうがよさそうだからねぇ～。			それじゃ、オイラも協力するよぉ～。Forenameに頼み事があったんだけど、まずは、そっちの話を片付けたほうがよさそうだからねぇ～。			風雲急を告げる報せ							
もしも、尋ね人がクガネの外に出ていた場合、移動のための足が必要だろぉ～？港で用意しておくから、いつでも声をかけてねぇ～。			もしも、尋ね人がクガネの外に出ていた場合、移動のための足が必要だろぉ～？港で用意しておくから、いつでも声をかけてねぇ～。			風雲急を告げる報せ							
それなら、私もソロバンさんのお手伝いをするでっす！出港準備を整えておくので、情報収集が終わったら、ひとまず第二波止場で合流でっす！			それなら、私もソロバンさんのお手伝いをするでっす！出港準備を整えておくので、情報収集が終わったら、ひとまず第二波止場で合流でっす！			風雲急を告げる報せ							
ありがたい！では、船のことはふたりに任せることにして、私たちは、情報屋に会いに「三条花街」へ向かうとしよう。			ありがたい！では、船のことはふたりに任せることにして、私たちは、情報屋に会いに「三条花街」へ向かうとしよう。			風雲急を告げる報せ							
情報屋とは、「三条花街」に行けば落ち合えるはずデス。その手腕については、ばっちり保証しマ～ス！……人格はさておき、デスがね。			情報屋とは、「三条花街」に行けば落ち合えるはずデス。その手腕については、ばっちり保証しマ～ス！……人格はさておき、デスがね。			風雲急を告げる報せ							
帝国の動きを考えるに、その二人組がゴウセツ殿とヨツユである可能性は高いだろう。しかし、何故ともに行動を……？			帝国の動きを考えるに、その二人組がゴウセツ殿とヨツユである可能性は高いだろう。しかし、何故ともに行動を……？			風雲急を告げる報せ							
そういえば貴殿たちは、クガネで情報収集を行うのは初めてではないのだったな。情報屋に、心当たりは？			そういえば貴殿たちは、クガネで情報収集を行うのは初めてではないのだったな。情報屋に、心当たりは？			風雲急を告げる報せ							
情報屋と落ち合うのは、ここでいいのよね？さて、いったいどんな相手がやってくるのやら……。			情報屋と落ち合うのは、ここでいいのよね？さて、いったいどんな相手がやってくるのやら……。			風雲急を告げる報せ							
(-？？？？-)ぺっぺっぺっ……。姐御旦那たち、お久しぶりだっぺな。到着を、首を長くしてお待ちしていたっペよ～！			(-？？？？-)ぺっぺっぺっ……。姐御旦那たち、お久しぶりだっぺな。到着を、首を長くしてお待ちしていたっペよ～！			風雲急を告げる報せ							
……その短い首が、どう長くなるのかはさておき、情報屋って、やっぱりあなただったのね、ギョドウ。			……その短い首が、どう長くなるのかはさておき、情報屋って、やっぱりあなただったのね、ギョドウ。			風雲急を告げる報せ							
今日のところは、リセがいっしょじゃないけど……また嘘の情報を教えたりしたらどうなるか、わかってるわよね？			今日のところは、リセがいっしょじゃないけど……また嘘の情報を教えたりしたらどうなるか、わかってるわよね？			風雲急を告げる報せ							
いやいや、そんなことしないっペ！この足で仕入れた、確かな情報をお届けするっペな！ただ～し……払うものは、払ってもらうっぺよ～？			いやいや、そんなことしないっペ！この足で仕入れた、確かな情報をお届けするっペな！ただ～し……払うものは、払ってもらうっぺよ～？			風雲急を告げる報せ							
……まったく、どうせそんなこと言って、ハンコックからも、しっかり代金を受け取ってるんでしょう！？セコいことしてるんじゃないわよ！			……まったく、どうせそんなこと言って、ハンコックからも、しっかり代金を受け取ってるんでしょう！？セコいことしてるんじゃないわよ！			風雲急を告げる報せ							
う、うぺぺぺ……！　その冷たい眼で見られただけで、急に、お腹がムチュムチュしてきたっぺな……！特別にタダで教えてやるから、勘弁してほしいっぺよ！			う、うぺぺぺ……！　その冷たい眼で見られただけで、急に、お腹がムチュムチュしてきたっぺな……！特別にタダで教えてやるから、勘弁してほしいっぺよ！			風雲急を告げる報せ							
帝国人は、ヨツユのことを血眼で探しているっぺな……！オレにも、二人組の行方を掴んだら賞金を差し出すと、頭を下げて頼んできたっぺよ！			帝国人は、ヨツユのことを血眼で探しているっぺな……！オレにも、二人組の行方を掴んだら賞金を差し出すと、頭を下げて頼んできたっぺよ！			風雲急を告げる報せ							
ふむ……そもそもだが、目撃されたという二人組が、ゴウセツ殿とヨツユだという証拠はあるのかい？			ふむ……そもそもだが、目撃されたという二人組が、ゴウセツ殿とヨツユだという証拠はあるのかい？			風雲急を告げる報せ							
あいにくオレは、ふたりを見てないっぺよ……。ただ、賞金の額や市中を走り回る兵隊の数からして、帝国人たちは、そう確信してると思うっぺな。			あいにくオレは、ふたりを見てないっぺよ……。ただ、賞金の額や市中を走り回る兵隊の数からして、帝国人たちは、そう確信してると思うっぺな。			風雲急を告げる報せ							
そして、ここからが、とびっきりの情報っぺよ！小金通りの質屋に、ルガディン族の侍が女連れで現れて、業物の刀を質草に出したという噂があるっぺな！			そして、ここからが、とびっきりの情報っぺよ！小金通りの質屋に、ルガディン族の侍が女連れで現れて、業物の刀を質草に出したという噂があるっぺな！			風雲急を告げる報せ							
へぇ、いい情報じゃない。でも、その噂……ちゃんと裏を取ったんでしょうね？			へぇ、いい情報じゃない。でも、その噂……ちゃんと裏を取ったんでしょうね？			風雲急を告げる報せ							
う、うぺぺぺぺ……あの質屋……「招福質店」の主とオレは、運命的に相性が悪いっぺよ……。			う、うぺぺぺぺ……あの質屋……「招福質店」の主とオレは、運命的に相性が悪いっぺよ……。			風雲急を告げる報せ							
……どうせ、借金踏み倒したとか何だとかで、顔を合わせるのもはばかられるってだけでしょう？			……どうせ、借金踏み倒したとか何だとかで、顔を合わせるのもはばかられるってだけでしょう？			風雲急を告げる報せ							
うぺぺ、とにかく質屋の件は任せるっぺよ！その間、オレも帝国人に接触して、新しい情報がないか探ってみることにするっぺな！			うぺぺ、とにかく質屋の件は任せるっぺよ！その間、オレも帝国人に接触して、新しい情報がないか探ってみることにするっぺな！			風雲急を告げる報せ							
質屋に行って、刀を検分すれば、ゴウセツの物かどうかはわかるだろう……。だが、こやつを帝国人のところに向かわせていいものか……？			質屋に行って、刀を検分すれば、ゴウセツの物かどうかはわかるだろう……。だが、こやつを帝国人のところに向かわせていいものか……？			風雲急を告げる報せ							
何と答える？			何と答える？			風雲急を告げる報せ							
仕方ない			仕方ない			風雲急を告げる報せ							
裏切りそうだ			裏切りそうだ			風雲急を告げる報せ							
…………			…………			風雲急を告げる報せ							
さっすが、姐御旦那は話がわかるっぺ～！いくらオレでも、ふたつの情報を同時には追えないっぺな。素早く情報を掴むために、オレと姐御旦那たちで連携するっぺよ！			さっすが、姐御旦那は話がわかるっぺ～！いくらオレでも、ふたつの情報を同時には追えないっぺな。素早く情報を掴むために、オレと姐御旦那たちで連携するっぺよ！			風雲急を告げる報せ							
ぺぺっ、信じてほしいっぺよ～。いくらオレでも、ふたつの情報を同時には追えないっぺな。素早く情報を掴むために、オレと姐御旦那たちで連携するっぺ！			ぺぺっ、信じてほしいっぺよ～。いくらオレでも、ふたつの情報を同時には追えないっぺな。素早く情報を掴むために、オレと姐御旦那たちで連携するっぺ！			風雲急を告げる報せ							
そ、その冷たい目をやめてほしいっぺ……。いくらオレでも、ふたつの情報を同時には追えないっぺな。素早く情報を掴むために、オレと姐御旦那たちで連携するっぺよ！			そ、その冷たい目をやめてほしいっぺ……。いくらオレでも、ふたつの情報を同時には追えないっぺな。素早く情報を掴むために、オレと姐御旦那たちで連携するっぺよ！			風雲急を告げる報せ							
状況が状況だし、分担することには私も賛成よ。……ただ、私はギョドウに同行することにするわ。目付役がいたほうが、よく働いてくれそうだし……ね？			状況が状況だし、分担することには私も賛成よ。……ただ、私はギョドウに同行することにするわ。目付役がいたほうが、よく働いてくれそうだし……ね？			風雲急を告げる報せ							
も、ももも、もちろんだっぺよ～……！姉御がついてきてくれるなら、ひゃ、百人力っぺな……！！			も、ももも、もちろんだっぺよ～……！姉御がついてきてくれるなら、ひゃ、百人力っぺな……！！			風雲急を告げる報せ							
じゃあ、そういうことだから質屋の調査は任せるわね。あとで第二波止場で合流しましょう。			じゃあ、そういうことだから質屋の調査は任せるわね。あとで第二波止場で合流しましょう。			風雲急を告げる報せ							
……まぁ、アリゼーに任せておけば大丈夫だろう。私たちは、質屋に流されたという刀をあたってみるとしようか。			……まぁ、アリゼーに任せておけば大丈夫だろう。私たちは、質屋に流されたという刀をあたってみるとしようか。			風雲急を告げる報せ							
エモートアクション「挨拶する」を覚えた！			エモートアクション「挨拶する」を覚えた！			風雲急を告げる報せ							
モル・イローのヤ・シュトラは、調査に向かいたいようだ。			モル・イローのヤ・シュトラは、調査に向かいたいようだ。			楔石の虚							
ヤ・シュトラとヒエンは「楔石の虚」の調査に向かっていった。アジムステップの楔石の虚に向かい、「ヤ・シュトラ」と話そう。			ヤ・シュトラとヒエンは「楔石の虚」の調査に向かっていった。アジムステップの楔石の虚に向かい、「ヤ・シュトラ」と話そう。			楔石の虚							
ヤ・シュトラの調査によると、楔石は十分なエーテル密度があるようだ。モル・イローの「シリナ」と話そう。			ヤ・シュトラの調査によると、楔石は十分なエーテル密度があるようだ。モル・イローの「シリナ」と話そう。			楔石の虚							
楔石の虚を、月神の力の根源として崇めているのは、サドゥ率いるドタール族だそうだ。アジムステップのドタール・カーで「サドゥ」と話そう。			楔石の虚を、月神の力の根源として崇めているのは、サドゥ率いるドタール族だそうだ。アジムステップのドタール・カーで「サドゥ」と話そう。			楔石の虚							
サドゥから、楔石の力を使う条件として、冒険者と一対一での対決を申し込まれた。アジムステップのナーマ砂漠北端の「指定地点」で待機しよう。			サドゥから、楔石の力を使う条件として、冒険者と一対一での対決を申し込まれた。アジムステップのナーマ砂漠北端の「指定地点」で待機しよう。			楔石の虚							
サドゥとの対決中にマグナイ、ダイドゥクルが乱入してきたが、ヤ・シュトラとヒエンが相手取り勝利を収めた。アジムステップで、サドゥとの決着をつけよう。			サドゥとの対決中にマグナイ、ダイドゥクルが乱入してきたが、ヤ・シュトラとヒエンが相手取り勝利を収めた。アジムステップで、サドゥとの決着をつけよう。			楔石の虚							
