レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
(-姿なき声-)ここから東の、プラウドクリークにある広場に心ばかりの品を置いとくぜ。亡者どもに踏み潰される前に持ってけよ！			(-姿なき声-)ここから東の、プラウドクリークにある広場に心ばかりの品を置いとくぜ。亡者どもに踏み潰される前に持ってけよ！			霊砂と過去を記す者							
(-姿なき声-)へへっ、ちょっとは驚いたか？ウルズの恵みにあった石を砕いた「清水の霊砂」だ。遠慮なく、あんたの懐にしまってくれ。			(-姿なき声-)へへっ、ちょっとは驚いたか？ウルズの恵みにあった石を砕いた「清水の霊砂」だ。遠慮なく、あんたの懐にしまってくれ。			霊砂と過去を記す者							
(-姿なき声-)別に、今までからかってたわけじゃないぜ。奮戦の見物料って言っただろ？あんたにならやってもいい……そう思ったから譲るだけだ。			(-姿なき声-)別に、今までからかってたわけじゃないぜ。奮戦の見物料って言っただろ？あんたにならやってもいい……そう思ったから譲るだけだ。			霊砂と過去を記す者							
(-姿なき声-)オレの仕事は、人の作る歴史を記録することでね。とりわけ、あんたみたいな強い奴の作る歴史が好きなのさ。			(-姿なき声-)オレの仕事は、人の作る歴史を記録することでね。とりわけ、あんたみたいな強い奴の作る歴史が好きなのさ。			霊砂と過去を記す者							
(-姿なき声-)っつーことで、これからもカッコいー活躍してくれよ？また会おうぜ、冒険者！			(-姿なき声-)っつーことで、これからもカッコいー活躍してくれよ？また会おうぜ、冒険者！			霊砂と過去を記す者							
残り2つの「霊砂」は見つかったか？キミには手間をかけるが、どうにか調達してほしい。			残り2つの「霊砂」は見つかったか？キミには手間をかけるが、どうにか調達してほしい。			霊砂と過去を記す者							
おお、「薫風の霊砂」と「清水の霊砂」を確保したか！助かった、さっそくシドに加工を始めてもらおう。			おお、「薫風の霊砂」と「清水の霊砂」を確保したか！助かった、さっそくシドに加工を始めてもらおう。			霊砂と過去を記す者							
やったぞ、完成だ……！			やったぞ、完成だ……！			霊砂と過去を記す者							
おお、これが「クリスタルタワー」への路を拓くもの……すなわち、防衛機構を打ち砕く「牙」だな！			おお、これが「クリスタルタワー」への路を拓くもの……すなわち、防衛機構を打ち砕く「牙」だな！			霊砂と過去を記す者							
ああ、Forenameのおかげで準備は整った。これで入口に立つことができる！			ああ、Forenameのおかげで準備は整った。これで入口に立つことができる！			霊砂と過去を記す者							
(-？？？？-)待ってください、親方ぁ～！			(-？？？？-)待ってください、親方ぁ～！			霊砂と過去を記す者							
ビッグス！　ウェッジ！来てくれたのか！			ビッグス！　ウェッジ！来てくれたのか！			霊砂と過去を記す者							
へへ……古代アラグ文明の技術といえば、今の帝国ですら及ばない、神の域に達していたと聞きます。この機会に学ばない手はないですよ。			へへ……古代アラグ文明の技術といえば、今の帝国ですら及ばない、神の域に達していたと聞きます。この機会に学ばない手はないですよ。			霊砂と過去を記す者							
お前たち……。その志は買うが、俺はここで得た知識を自分のものにするつもりはないんだ。			お前たち……。その志は買うが、俺はここで得た知識を自分のものにするつもりはないんだ。			霊砂と過去を記す者							
強すぎる力、行きすぎた技術は、世界に混乱を招く……。ガレマール帝国がアルテマウェポンを利用して、三国に降伏を迫ったようにな。			強すぎる力、行きすぎた技術は、世界に混乱を招く……。ガレマール帝国がアルテマウェポンを利用して、三国に降伏を迫ったようにな。			霊砂と過去を記す者							
ウェッジ、うちの社訓は何だ？			ウェッジ、うちの社訓は何だ？			霊砂と過去を記す者							
ハ、ハイッス！ええっと……技術は自由のために……ッス？			ハ、ハイッス！ええっと……技術は自由のために……ッス？			霊砂と過去を記す者							
……そうだ。俺たちは決して、人の脅威となる技術を……第二のアルテマウェポンを生み出してはいけない。			……そうだ。俺たちは決して、人の脅威となる技術を……第二のアルテマウェポンを生み出してはいけない。			霊砂と過去を記す者							
だからこそクリスタルタワーを調査し、必要なら封印する。……それが、俺がこの調査に参加した理由だ。			だからこそクリスタルタワーを調査し、必要なら封印する。……それが、俺がこの調査に参加した理由だ。			霊砂と過去を記す者							
(-聞き覚えのある声-)面白いこと言うじゃねーか。人の歴史を動かしてきたのは、そういう強い意志なんだ。			(-聞き覚えのある声-)面白いこと言うじゃねーか。人の歴史を動かしてきたのは、そういう強い意志なんだ。			霊砂と過去を記す者							
あなたは……やっと帰ってきましたか。今まで連絡もよこさず、何をしていたのです。			あなたは……やっと帰ってきましたか。今まで連絡もよこさず、何をしていたのです。			霊砂と過去を記す者							
(-聞き覚えのある声-)ちゃんと「霊砂」を探してたぜ？もっとも、面白い奴がいたから渡しちまったけどな！			(-聞き覚えのある声-)ちゃんと「霊砂」を探してたぜ？もっとも、面白い奴がいたから渡しちまったけどな！			霊砂と過去を記す者							
(-聞き覚えのある声-)よっ！約束どおり……また会ったな、冒険者！			(-聞き覚えのある声-)よっ！約束どおり……また会ったな、冒険者！			霊砂と過去を記す者							
オレの名前は、グ・ラハ・ティア。シャーレアンのバルデシオン委員会から来た。今回の調査、立ち合わせてもらうぜ！			オレの名前は、グ・ラハ・ティア。シャーレアンのバルデシオン委員会から来た。今回の調査、立ち合わせてもらうぜ！			霊砂と過去を記す者							
……こんな人だが、間違いなく私たちの目付役だ。仲間として迎えてあげてほしい。			……こんな人だが、間違いなく私たちの目付役だ。仲間として迎えてあげてほしい。			霊砂と過去を記す者							
よっしゃ！これでついに「ノア」始動ってことだな！			よっしゃ！これでついに「ノア」始動ってことだな！			霊砂と過去を記す者							
……ノア？			……ノア？			霊砂と過去を記す者							
オレたち「クリスタルタワー調査団」の名前だよ。もう聖コイナク財団だけの任務じゃないだろ？			オレたち「クリスタルタワー調査団」の名前だよ。もう聖コイナク財団だけの任務じゃないだろ？			霊砂と過去を記す者							
……かといって、ただの「調査団」じゃ歴史に残ったときカッコがつかねー。だから、アラグ帝国時代の大魔道士「ノア」の名を借りた！			……かといって、ただの「調査団」じゃ歴史に残ったときカッコがつかねー。だから、アラグ帝国時代の大魔道士「ノア」の名を借りた！			霊砂と過去を記す者							
大魔道士……なんかカッコいいッス！！			大魔道士……なんかカッコいいッス！！			霊砂と過去を記す者							
では、私たち「ノア」は、これより、防衛機構を破ってクリスタルタワーの調査に乗り出す。……準備はいいな？			では、私たち「ノア」は、これより、防衛機構を破ってクリスタルタワーの調査に乗り出す。……準備はいいな？			霊砂と過去を記す者							
(-ノアの仲間たち-)おうッ！			(-ノアの仲間たち-)おうッ！			霊砂と過去を記す者							
敵の気配を感じた！！			敵の気配を感じた！！			霊砂と過去を記す者							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			霊砂と過去を記す者							
グ・ラハ・ティアは、クリスタルタワーへの突入を試みるようだ。			グ・ラハ・ティアは、クリスタルタワーへの突入を試みるようだ。			古代の民の迷宮							
グ・ラハ・ティアの号令の元、ついにクリスタルタワーへ突入することとなった。聖コイナク財団の調査地の南東にある、扉の前の「指定地点」で待機しよう。			グ・ラハ・ティアの号令の元、ついにクリスタルタワーへ突入することとなった。聖コイナク財団の調査地の南東にある、扉の前の「指定地点」で待機しよう。			古代の民の迷宮							
クリスタルタワーの入口を守っていた防衛機構は「牙」によって砕かれた。内部に突入し、塔を取りまく遺構「古代の民の迷宮」を掃討しよう。※コンテンツファインダーから攻略に参加できます。			クリスタルタワーの入口を守っていた防衛機構は「牙」によって砕かれた。内部に突入し、塔を取りまく遺構「古代の民の迷宮」を掃討しよう。※コンテンツファインダーから攻略に参加できます。			古代の民の迷宮							
冒険者たちは「古代の民の迷宮」にひしめく衛士を見事に打ち破った。駆けつけたノアの仲間と共に見たのは、迷宮の奥にそびえる「シルクスの塔」だった。モードゥナに戻ろう。			冒険者たちは「古代の民の迷宮」にひしめく衛士を見事に打ち破った。駆けつけたノアの仲間と共に見たのは、迷宮の奥にそびえる「シルクスの塔」だった。モードゥナに戻ろう。			古代の民の迷宮							
モードゥナに戻った。聖コイナク財団の調査地に戻り、グ・ラハ・ティアと話そう。			モードゥナに戻った。聖コイナク財団の調査地に戻り、グ・ラハ・ティアと話そう。			古代の民の迷宮							
グ・ラハ・ティアに帰還の報告をした。今後の活動のために、作戦会議をする必要がありそうだ。			グ・ラハ・ティアに帰還の報告をした。今後の活動のために、作戦会議をする必要がありそうだ。			古代の民の迷宮							
指定地点で待機			指定地点で待機			古代の民の迷宮							
「クリスタルタワー：古代の民の迷宮」を攻略			「クリスタルタワー：古代の民の迷宮」を攻略			古代の民の迷宮							
聖コイナク財団の調査地のグ・ラハ・ティアと話す			聖コイナク財団の調査地のグ・ラハ・ティアと話す			古代の民の迷宮							
よっしゃ！準備も整ったことだし、クリスタルタワーに乗り込むぞ！			よっしゃ！準備も整ったことだし、クリスタルタワーに乗り込むぞ！			古代の民の迷宮							
まずはあんたとオレ、それから技師連中でクリスタルタワーの入り口を守る防衛機構の突破を試みる。			まずはあんたとオレ、それから技師連中でクリスタルタワーの入り口を守る防衛機構の突破を試みる。			古代の民の迷宮							
ラムブルースは、この調査地に残って状況の統括だ。よって、現地での指示はオレが預かる。……ガラじゃねーけどな。			ラムブルースは、この調査地に残って状況の統括だ。よって、現地での指示はオレが預かる。……ガラじゃねーけどな。			古代の民の迷宮							
ってなわけで、南東にあるデカい扉の前で待機してくれ。その先が、待望のクリスタルタワーだぜ！			ってなわけで、南東にあるデカい扉の前で待機してくれ。その先が、待望のクリスタルタワーだぜ！			古代の民の迷宮							
この扉の先がクリスタルタワーだ。いよいよだな……。			この扉の先がクリスタルタワーだ。いよいよだな……。			古代の民の迷宮							
シド、この先に立ち入ったことがあるのは、あんただけだ。先導を頼んだぜ。			シド、この先に立ち入ったことがあるのは、あんただけだ。先導を頼んだぜ。			古代の民の迷宮							
何だ？この気味わりぃ石像は……。			何だ？この気味わりぃ石像は……。			古代の民の迷宮							
これが、俺たちの手を焼いてくれた防衛機構さ。侵入者から、奥の転送装置を守っているらしい。			これが、俺たちの手を焼いてくれた防衛機構さ。侵入者から、奥の転送装置を守っているらしい。			古代の民の迷宮							
……なるほど。こりゃあ、飛び込んだらひとたまりもねーや。			……なるほど。こりゃあ、飛び込んだらひとたまりもねーや。			古代の民の迷宮							
だが、この「牙」さえあれば攻撃を反射できるはずだ。……最初は俺が行こう。			だが、この「牙」さえあれば攻撃を反射できるはずだ。……最初は俺が行こう。			古代の民の迷宮							
お、親方ッ！？いきなりは危険すぎですぜ！			お、親方ッ！？いきなりは危険すぎですぜ！			古代の民の迷宮							
だからこそ、だ。自分で作ったものの成果くらい、自分で確かめないとな。			だからこそ、だ。自分で作ったものの成果くらい、自分で確かめないとな。			古代の民の迷宮							
成功だッ……！			成功だッ……！			古代の民の迷宮							
オレたちも続くぞ。「牙」を掲げろ！			オレたちも続くぞ。「牙」を掲げろ！			古代の民の迷宮							
……最後はお前に任せた。			……最後はお前に任せた。			古代の民の迷宮							
フッフー！防衛機構、突破ッス！			フッフー！防衛機構、突破ッス！			古代の民の迷宮							
さて……。今度こそ内部に乗りこむってわけだな。久々に腕が鳴るぜ！			さて……。今度こそ内部に乗りこむってわけだな。久々に腕が鳴るぜ！			古代の民の迷宮							
それなんだが……提案がある。			それなんだが……提案がある。			古代の民の迷宮							
クリスタルタワーの中に入るのは、Forenameが率いる、冒険者たちに任せたい。			クリスタルタワーの中に入るのは、Forenameが率いる、冒険者たちに任せたい。			古代の民の迷宮							
はぁっ！？　なんでだ？クリスタルタワーを調査するんじゃねーの！？			はぁっ！？　なんでだ？クリスタルタワーを調査するんじゃねーの！？			古代の民の迷宮							
もちろんするさ。だが、調査には適材適所ってものがある。			もちろんするさ。だが、調査には適材適所ってものがある。			古代の民の迷宮							
外壁にすら、これだけ強力な防衛機構があったんだ。内部に脅威が潜んでいたとして、突破できるのは歴戦の冒険者だけだろう。			外壁にすら、これだけ強力な防衛機構があったんだ。内部に脅威が潜んでいたとして、突破できるのは歴戦の冒険者だけだろう。			古代の民の迷宮							
このForenameは、それにふさわしい実力の持ち主だ。			このForenameは、それにふさわしい実力の持ち主だ。			古代の民の迷宮							
その間、俺たちは防衛機構の残骸を調査して、クリスタルタワーそのものの仕掛けを解き明かす必要がある。			その間、俺たちは防衛機構の残骸を調査して、クリスタルタワーそのものの仕掛けを解き明かす必要がある。			古代の民の迷宮							
そのためには……お前の知識がいるんだ。賢人、グ・ラハ・ティア。			そのためには……お前の知識がいるんだ。賢人、グ・ラハ・ティア。			古代の民の迷宮							
……ったく、ズルイおっさんだぜ！			……ったく、ズルイおっさんだぜ！			古代の民の迷宮							
おい、Forename。今回はひとまず塔を取りまく遺構……通称「古代の民の迷宮」を掃討し、安全を確保してくれ。			おい、Forename。今回はひとまず塔を取りまく遺構……通称「古代の民の迷宮」を掃討し、安全を確保してくれ。			古代の民の迷宮							
終わったら、リンクシェルで連絡を頼む。ソッコーで駆けつけるからな！			終わったら、リンクシェルで連絡を頼む。ソッコーで駆けつけるからな！			古代の民の迷宮							
そんじゃ頼んだぞ。相手が古代の文明だろうが関係ねー。思う存分、蹴散らしてやれ！			そんじゃ頼んだぞ。相手が古代の文明だろうが関係ねー。思う存分、蹴散らしてやれ！			古代の民の迷宮							
すまん、待たせたな！			すまん、待たせたな！			古代の民の迷宮							
ハハッ、お手柄じゃねーか！クリスタルタワー解明の歴史に、あんたの名前が刻まれたってわけだ。			ハハッ、お手柄じゃねーか！クリスタルタワー解明の歴史に、あんたの名前が刻まれたってわけだ。			古代の民の迷宮							
それにしても、なんて広さだ……。さすがは栄華を極めた大帝国の名残だな。			それにしても、なんて広さだ……。さすがは栄華を極めた大帝国の名残だな。			古代の民の迷宮							
委員会の調べによると、クリスタルタワーは「太陽の力」を集積するために築かれたらしい。まったく、規模のでかい話だぜ。			委員会の調べによると、クリスタルタワーは「太陽の力」を集積するために築かれたらしい。まったく、規模のでかい話だぜ。			古代の民の迷宮							
それで、内部の防衛機構はどうだった？あんたの様子を見る限り、かなりの激戦があったらしいが。			それで、内部の防衛機構はどうだった？あんたの様子を見る限り、かなりの激戦があったらしいが。			古代の民の迷宮							
輝く曲刀を持った巨躯の男と戦っただと？……なるほど、アラグ帝国革命の英雄「ティターン」か。			輝く曲刀を持った巨躯の男と戦っただと？……なるほど、アラグ帝国革命の英雄「ティターン」か。			古代の民の迷宮							
すごいな、それだけでわかるのか。			すごいな、それだけでわかるのか。			古代の民の迷宮							
歴史には、それなりに詳しいモンでね。特にアラグ帝国については、知識と……因縁があるのさ。			歴史には、それなりに詳しいモンでね。特にアラグ帝国については、知識と……因縁があるのさ。			古代の民の迷宮							
まあ、古くせぇ文献の受け売りだよ。クリスタルタワーを守るのは、過去の偉人や英雄なんだと。アラグの「魔科学」で蘇生され、強化されているらしい。			まあ、古くせぇ文献の受け売りだよ。クリスタルタワーを守るのは、過去の偉人や英雄なんだと。アラグの「魔科学」で蘇生され、強化されているらしい。			古代の民の迷宮							
親方ぁ、あれを見てください！			親方ぁ、あれを見てください！			古代の民の迷宮							
あれは……クリスタルタワーの基部……？いよいよ、噂に聞く「シルクスの塔」のお出ましか！			あれは……クリスタルタワーの基部……？いよいよ、噂に聞く「シルクスの塔」のお出ましか！			古代の民の迷宮							
前門たる「古代の民の迷宮」の踏破は、ノアにとって掛けがえのない第一歩だな。よくやってくれたぜ、Forename。			前門たる「古代の民の迷宮」の踏破は、ノアにとって掛けがえのない第一歩だな。よくやってくれたぜ、Forename。			古代の民の迷宮							
ひとまず、聖コイナク財団の調査地に戻ろうぜ？先が長いならなおさら、休息がてら作戦会議だ。……お疲れさん！			ひとまず、聖コイナク財団の調査地に戻ろうぜ？先が長いならなおさら、休息がてら作戦会議だ。……お疲れさん！			古代の民の迷宮							
おっ、待ってたぜ！あんたの報告を聞かなきゃ、実地調査の結果はまとめられねーからな。			おっ、待ってたぜ！あんたの報告を聞かなきゃ、実地調査の結果はまとめられねーからな。			古代の民の迷宮							
疲れてんだろうが、今後のこともある。一息ついたら、すぐに作戦会議を開くぞ。			疲れてんだろうが、今後のこともある。一息ついたら、すぐに作戦会議を開くぞ。			古代の民の迷宮							
グ・ラハ・ティアは、ノアの作戦会議を始めたいようだ。			グ・ラハ・ティアは、ノアの作戦会議を始めたいようだ。			ノアの調査記録							
「古代の民の迷宮」の調査を受け、ノアの作戦会議を開くことになった。聖コイナク財団の調査地の「ラムブルース」に、帰還したことを告げよう。			「古代の民の迷宮」の調査を受け、ノアの作戦会議を開くことになった。聖コイナク財団の調査地の「ラムブルース」に、帰還したことを告げよう。			ノアの調査記録							
今回の調査で判明したのは、クリスタルタワーが数千年の時を経て再起動したということだった。その真相を確かめるため、ノアは塔の中へ向かうことを決断。当面は、シドを中心に塔への侵入経路を探すことになるという。次回の調査に備え、鍛錬を続けていこう。			今回の調査で判明したのは、クリスタルタワーが数千年の時を経て再起動したということだった。その真相を確かめるため、ノアは塔の中へ向かうことを決断。当面は、シドを中心に塔への侵入経路を探すことになるという。次回の調査に備え、鍛錬を続けていこう。			ノアの調査記録							
ラムブルースと話す			ラムブルースと話す			ノアの調査記録							
それじゃ、さっそく「ノア」の仲間を集めて、作戦会議を始めるとしようぜ！			それじゃ、さっそく「ノア」の仲間を集めて、作戦会議を始めるとしようぜ！			ノアの調査記録							
……っと、こっから先はラムブルースの役目だな。全員帰還したことを、あんたから伝えてやってくれ。			……っと、こっから先はラムブルースの役目だな。全員帰還したことを、あんたから伝えてやってくれ。			ノアの調査記録							
おかえり、よくぞ無事で戻ってきてくれた。「古代の民の迷宮」を掃討したという報告は受けているぞ。			おかえり、よくぞ無事で戻ってきてくれた。「古代の民の迷宮」を掃討したという報告は受けているぞ。			ノアの調査記録							
君が持ち帰った情報は、私の備考とあわせてクリスタルタワーの調査記録にまとめておく。知りたいことがあったら、いつでも声をかけてくれ。			君が持ち帰った情報は、私の備考とあわせてクリスタルタワーの調査記録にまとめておく。知りたいことがあったら、いつでも声をかけてくれ。			ノアの調査記録							
さて……さっそくだが、今回の調査について総括しよう。			さて……さっそくだが、今回の調査について総括しよう。			ノアの調査記録							
今回の調査で、我々ノアは転送装置に至る道を確保し、塔を取りまく「古代の民の迷宮」を踏破した。			今回の調査で、我々ノアは転送装置に至る道を確保し、塔を取りまく「古代の民の迷宮」を踏破した。			ノアの調査記録							
内部を探索したSurname君の証言によると、迷宮の防衛機構は生きており、アラグの衛士たちも活動していたという……。			内部を探索したSurname君の証言によると、迷宮の防衛機構は生きており、アラグの衛士たちも活動していたという……。			ノアの調査記録							
やはり危惧していた通りか……。クリスタルタワーは地形の変動で現れただけじゃない。何らかの理由で、数千年の時を経て「再起動」したんだ。			やはり危惧していた通りか……。クリスタルタワーは地形の変動で現れただけじゃない。何らかの理由で、数千年の時を経て「再起動」したんだ。			ノアの調査記録							
復活の真相は、恐らく塔の中……。封印するにしても、そいつを確かめておく必要があるな。			復活の真相は、恐らく塔の中……。封印するにしても、そいつを確かめておく必要があるな。			ノアの調査記録							
そうは言っても、簡単にはいかねーぜ？「古代の民の迷宮」の先には、どんな防衛機構が待ち構えてるやら。			そうは言っても、簡単にはいかねーぜ？「古代の民の迷宮」の先には、どんな防衛機構が待ち構えてるやら。			ノアの調査記録							
ならば当面は、塔への侵入経路を確保するためにも、防衛機構の解析を最優先としよう。……シド、引き続き君に頼めるかい？			ならば当面は、塔への侵入経路を確保するためにも、防衛機構の解析を最優先としよう。……シド、引き続き君に頼めるかい？			ノアの調査記録							
ああ、任せてくれ。			ああ、任せてくれ。			ノアの調査記録							
オイラたちも手伝うッス！			オイラたちも手伝うッス！			ノアの調査記録							
親方が社訓のために戦うってんだ。これはもう、ガーロンド・アイアンワークスの総力を上げて協力させてもらいますよ。			親方が社訓のために戦うってんだ。これはもう、ガーロンド・アイアンワークスの総力を上げて協力させてもらいますよ。			ノアの調査記録							
お前たち……。ああ、頼りにしてるぞ！			お前たち……。ああ、頼りにしてるぞ！			ノアの調査記録							
それじゃ、オレはしばらく旅に出るぜ。久々に修行して、次こそクリスタルタワーに乗り込むんだ。やっぱ武勇伝は生で見ないとな！			それじゃ、オレはしばらく旅に出るぜ。久々に修行して、次こそクリスタルタワーに乗り込むんだ。やっぱ武勇伝は生で見ないとな！			ノアの調査記録							
あなたもシドを手伝うのです、グ・ラハ・ティア。それとも、今までの勝手を委員会に報告しましょうか？			あなたもシドを手伝うのです、グ・ラハ・ティア。それとも、今までの勝手を委員会に報告しましょうか？			ノアの調査記録							
…………オレの方がえらいっつーの。			…………オレの方がえらいっつーの。			ノアの調査記録							
まぁ、何にせよ、あんたの代わりはできねーんだ。Forename、しばらく出番はなさそうだが、ナマクラになるなよ？			まぁ、何にせよ、あんたの代わりはできねーんだ。Forename、しばらく出番はなさそうだが、ナマクラになるなよ？			ノアの調査記録							
次回の調査も必ず成功させようぜ。そしていつか、アラグ帝国にまつわるすべての歴史を暴く。「ノア」として……絶対にな。			次回の調査も必ず成功させようぜ。そしていつか、アラグ帝国にまつわるすべての歴史を暴く。「ノア」として……絶対にな。			ノアの調査記録							
では、今回の会議はここまで。次回の調査に備え、それぞれ自分の役目を果たしてくれ。……解散！			では、今回の会議はここまで。次回の調査に備え、それぞれ自分の役目を果たしてくれ。……解散！			ノアの調査記録							
こりゃあ派手に壊したもンだ。おかげさまで、正々堂々と中に入れる。冒険者ってのは、なかなか使い勝手がいいじゃないか。			こりゃあ派手に壊したもンだ。おかげさまで、正々堂々と中に入れる。冒険者ってのは、なかなか使い勝手がいいじゃないか。			ノアの調査記録							
オレたちにとっちゃ、光の戦士様っていうよりは、略奪者様って感じだけどな。……まぁ、お前が頼りたくなるのもわかったぜ。			オレたちにとっちゃ、光の戦士様っていうよりは、略奪者様って感じだけどな。……まぁ、お前が頼りたくなるのもわかったぜ。			ノアの調査記録							
古代アラグ文明の遺産……か。			古代アラグ文明の遺産……か。			ノアの調査記録							
塔の上から検出された未知の力は、あのアルテマウエポンと同等……いや、それ以上。			塔の上から検出された未知の力は、あのアルテマウエポンと同等……いや、それ以上。			ノアの調査記録							
くく……面白そうな「玩具」を見つけたぜ。			くく……面白そうな「玩具」を見つけたぜ。			ノアの調査記録							
……すべてを奪われたと思っていたが、悪運だけはオレのもンらしい。			……すべてを奪われたと思っていたが、悪運だけはオレのもンらしい。			ノアの調査記録							
オレの野望は尽きない……この夢は終わらせない……。付き合ってくれるよなぁ、ガーロンドォ……！			オレの野望は尽きない……この夢は終わらせない……。付き合ってくれるよなぁ、ガーロンドォ……！			ノアの調査記録							
調査団「ノア」のラムブルースは、頭を悩ませているようだ。			調査団「ノア」のラムブルースは、頭を悩ませているようだ。			シルクスの塔							
前回までの冒険録：異国風の男に導かれ、聖コイナク財団の調査地へとやってきた冒険者。そこでは「古代アラグ文明」の調査の一環として、第七霊災を機に姿を現したアラグの遺産「クリスタルタワー」の調査計画が進行していた。計画の中核を担うシドとラムブルースに加え、ガーロンド・アイアンワークスのビッグスとウェッジ、そしてバルデシオン委員会の賢人グ・ラハ・ティアも合流し、調査団「ノア」を結成。塔を取りまく遺構「古代の民の迷宮」の調査を経て、クリスタルタワーが数千年の時を経て「再起動」していることを知る。太陽の力を集めるために築かれたクリスタルタワーが、なぜ現代に蘇ったのか……。そして、クリスタルタワーは封印すべき脅威なのか……。答えを求め、「ノア」は更なる調査へと乗り出す。　　　　　　　　　　　　*　*　*クリスタルタワーの中枢である「シルクスの塔」の調査に行き詰まっていたラムブルース。そこに現れたのは、古代アラグ文明の専門家を名乗るウネとドーガだった。モードゥナの八剣士の前庭にいる「ビッグス」に話しかけ、彼らとともにシルクスの塔に向かおう。			前回までの冒険録：異国風の男に導かれ、聖コイナク財団の調査地へとやってきた冒険者。そこでは「古代アラグ文明」の調査の一環として、第七霊災を機に姿を現したアラグの遺産「クリスタルタワー」の調査計画が進行していた。計画の中核を担うシドとラムブルースに加え、ガーロンド・アイアンワークスのビッグスとウェッジ、そしてバルデシオン委員会の賢人グ・ラハ・ティアも合流し、調査団「ノア」を結成。塔を取りまく遺構「古代の民の迷宮」の調査を経て、クリスタルタワーが数千年の時を経て「再起動」していることを知る。太陽の力を集めるために築かれたクリスタルタワーが、なぜ現代に蘇ったのか……。そして、クリスタルタワーは封印すべき脅威なのか……。答えを求め、「ノア」は更なる調査へと乗り出す。　　　　　　　　　　　　*　*　*クリスタルタワーの中枢である「シルクスの塔」の調査に行き詰まっていたラムブルース。そこに現れたのは、古代アラグ文明の専門家を名乗るウネとドーガだった。モードゥナの八剣士の前庭にいる「ビッグス」に話しかけ、彼らとともにシルクスの塔に向かおう。			シルクスの塔							
シルクスの塔にて、ウネとドーガが入口の扉を開いた。事の真相を知るべく、八剣士の前庭にいる「ドーガ」と話そう。			シルクスの塔にて、ウネとドーガが入口の扉を開いた。事の真相を知るべく、八剣士の前庭にいる「ドーガ」と話そう。			シルクスの塔							
ドーガたちから、アラグ帝国の始皇帝ザンデにまつわる話を聞いた。八剣士の前庭にいる「グ・ラハ・ティア」に声をかけよう。			ドーガたちから、アラグ帝国の始皇帝ザンデにまつわる話を聞いた。八剣士の前庭にいる「グ・ラハ・ティア」に声をかけよう。			シルクスの塔							
グ・ラハ・ティアと話し、いよいよ「シルクスの塔」に突入することとなった。シルクスの塔で待つザンデを倒し、クリスタルタワーを封印しよう。※コンテンツファインダーから攻略に参加できます。			グ・ラハ・ティアと話し、いよいよ「シルクスの塔」に突入することとなった。シルクスの塔で待つザンデを倒し、クリスタルタワーを封印しよう。※コンテンツファインダーから攻略に参加できます。			シルクスの塔							
シルクスの塔へ突入し、ザンデを倒した。しかし、「暗闇の雲」を名乗る存在によって、ウネとドーガ、ネロが攫われてしまった。モードゥナに戻ろう。			シルクスの塔へ突入し、ザンデを倒した。しかし、「暗闇の雲」を名乗る存在によって、ウネとドーガ、ネロが攫われてしまった。モードゥナに戻ろう。			シルクスの塔							
モードゥナに戻った。聖コイナク財団の調査地に戻り、「ラムブルース」に報告しよう。			モードゥナに戻った。聖コイナク財団の調査地に戻り、「ラムブルース」に報告しよう。			シルクスの塔							
ラムブルースによると、ネロたちは異界ヴォイドに連れ込まれた可能性が高いらしい。アラグの人々に「闇の世界」と呼ばれたその場所まで、3人を助けに行くことを決断したノアの一行。異界ヴォイドへの突入の方法を調べる間、次回の調査に備え、鍛錬を続けていこう。			ラムブルースによると、ネロたちは異界ヴォイドに連れ込まれた可能性が高いらしい。アラグの人々に「闇の世界」と呼ばれたその場所まで、3人を助けに行くことを決断したノアの一行。異界ヴォイドへの突入の方法を調べる間、次回の調査に備え、鍛錬を続けていこう。			シルクスの塔							
八剣士の前庭のビッグスと話してシルクスの塔に行く			八剣士の前庭のビッグスと話してシルクスの塔に行く			シルクスの塔							
八剣士の前庭のドーガと話す			八剣士の前庭のドーガと話す			シルクスの塔							
八剣士の前庭のグ・ラハ・ティアと話す			八剣士の前庭のグ・ラハ・ティアと話す			シルクスの塔							
「クリスタルタワー：シルクスの塔」を攻略			「クリスタルタワー：シルクスの塔」を攻略			シルクスの塔							
ラムブルースと話す			ラムブルースと話す			シルクスの塔							
ああ、君か……クリスタルタワーの調査状況の確認に？			ああ、君か……クリスタルタワーの調査状況の確認に？			シルクスの塔							
そうか……。残念だが、まだ良い報告はないんだ。無駄足を踏ませてすまない。			そうか……。残念だが、まだ良い報告はないんだ。無駄足を踏ませてすまない。			シルクスの塔							
前回の調査で突破した「古代の民の迷宮」については、その後も調査が進んでいるのだがね。さらに先……「シルクスの塔」への侵入方法が、さっぱりだ。			前回の調査で突破した「古代の民の迷宮」については、その後も調査が進んでいるのだがね。さらに先……「シルクスの塔」への侵入方法が、さっぱりだ。			シルクスの塔							
ほら、クリスタルタワーの前に、侵入者を殲滅する「八剣士の前庭」があったろ？			ほら、クリスタルタワーの前に、侵入者を殲滅する「八剣士の前庭」があったろ？			シルクスの塔							
