オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			オールド・シャーレアンのネミングウェイは、周囲の様子を窺っているようだ。			再会と、新たな計画！							
もちろん、いろんな場所や風景を見て、名前も付けたんだよー！Forenameさんにも紹介したいけど……どうかな、一緒にきてくれない？			もちろん、いろんな場所や風景を見て、名前も付けたんだよー！Forenameさんにも紹介したいけど……どうかな、一緒にきてくれない？			未知待つ宙へ焦がれて							
おっ、それはよい提案ッスね！オイラはここで待ってるんで、ぜひ行ってくるといいッス！			おっ、それはよい提案ッスね！オイラはここで待ってるんで、ぜひ行ってくるといいッス！			未知待つ宙へ焦がれて							
ネミングウェイが、きっとステキな命名をしてくれたはずッスよ！			ネミングウェイが、きっとステキな命名をしてくれたはずッスよ！			未知待つ宙へ焦がれて							
ネミングウェイは、さっそくあちこちに行って、いろんなものを名付けてくれたみたいッス！オイラはここで待ってるから、見てくるといいッス～！			ネミングウェイは、さっそくあちこちに行って、いろんなものを名付けてくれたみたいッス！オイラはここで待ってるから、見てくるといいッス～！			未知待つ宙へ焦がれて							
Forenameさん、それじゃあ一緒に行こう！まずそこの宇宙船へ……名付けた場所はボクのお気に入りだから、紹介するの、ワクワクだよーっ！			Forenameさん、それじゃあ一緒に行こう！まずそこの宇宙船へ……名付けた場所はボクのお気に入りだから、紹介するの、ワクワクだよーっ！			未知待つ宙へ焦がれて							
このクエストを進行させるには、ネミングウェイが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ネミングウェイが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			未知待つ宙へ焦がれて							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			未知待つ宙へ焦がれて							
何をする？			何をする？			未知待つ宙へ焦がれて							
話す			話す			未知待つ宙へ焦がれて							
同行状態を解除する			同行状態を解除する			未知待つ宙へ焦がれて							
キャンセル			キャンセル			未知待つ宙へ焦がれて							
よーし、どんどん見に行こう！			よーし、どんどん見に行こう！			未知待つ宙へ焦がれて							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			未知待つ宙へ焦がれて							
ありゃ、何か用事を思い出したの？サーチングウェイのところで待ってるから、また声をかけてね！			ありゃ、何か用事を思い出したの？サーチングウェイのところで待ってるから、また声をかけてね！			未知待つ宙へ焦がれて							
ボクと一緒に行けそうかなー？よぉし、それじゃ再出発だーっ！			ボクと一緒に行けそうかなー？よぉし、それじゃ再出発だーっ！			未知待つ宙へ焦がれて							
これが完成した新しい宇宙船！カッコいいよねぇ、みんなの努力の結晶だよー！			これが完成した新しい宇宙船！カッコいいよねぇ、みんなの努力の結晶だよー！			未知待つ宙へ焦がれて							
聞いた話だと、宇宙の果てへ行ったラグナロク号より小型ながら、そのデータを活用して、宇宙空間を巡るエーテルの流れ……「宙脈(ちゅうみゃく)」を利用した、新たな安定的光速航行ができるんだって！			聞いた話だと、宇宙の果てへ行ったラグナロク号より小型ながら、そのデータを活用して、宇宙空間を巡るエーテルの流れ……「宙脈(ちゅうみゃく)」を利用した、新たな安定的光速航行ができるんだって！			未知待つ宙へ焦がれて							
その名も……エッヘン、「ギャラクティックウェイ号」！星々の輝く流れのなかを進む宙船(そらふね)さ！			その名も……エッヘン、「ギャラクティックウェイ号」！星々の輝く流れのなかを進む宙船(そらふね)さ！			未知待つ宙へ焦がれて							
この船と一緒に遥か彼方へと旅して、もっとも～っと、新しいものをたくさん見つけたいね！			この船と一緒に遥か彼方へと旅して、もっとも～っと、新しいものをたくさん見つけたいね！			未知待つ宙へ焦がれて							
よぉし、一番大事なものを紹介できたぞっ！次は基地の外へ……そうだな、「グリーミングマウンテン」に向かってみようよー！			よぉし、一番大事なものを紹介できたぞっ！次は基地の外へ……そうだな、「グリーミングマウンテン」に向かってみようよー！			未知待つ宙へ焦がれて							
「セントラルクリスタル」について話す			「セントラルクリスタル」について話す			未知待つ宙へ焦がれて							
基地の中央には「セントラルクリスタル」が設置されてるんだ！ベストウェイ・バローにあるものと見た目はちょっと違うけど、あれも、昔ボクが名前を付けたんだよー！			基地の中央には「セントラルクリスタル」が設置されてるんだ！ベストウェイ・バローにあるものと見た目はちょっと違うけど、あれも、昔ボクが名前を付けたんだよー！			未知待つ宙へ焦がれて							
クリスタルが一帯の属性の力を制御して、重力や大気とか、生物の生存に適した環境を保ってるんだ。他の星でも使えるように、機能をカスタムしてあるみたい！			クリスタルが一帯の属性の力を制御して、重力や大気とか、生物の生存に適した環境を保ってるんだ。他の星でも使えるように、機能をカスタムしてあるみたい！			未知待つ宙へ焦がれて							
「コスモライナー発着場」について話す			「コスモライナー発着場」について話す			未知待つ宙へ焦がれて							
これはジップライン「コスモライナー」！ここのクレーター、焦がれの入江全域の磁場の影響で、地脈や風脈を捉えることが難しいから、これで移動するんだよね。			これはジップライン「コスモライナー」！ここのクレーター、焦がれの入江全域の磁場の影響で、地脈や風脈を捉えることが難しいから、これで移動するんだよね。			未知待つ宙へ焦がれて							
最初にボードに乗ったときは少しドキドキしたけど、慣れちゃえばスピード感と月の風がきもちよく感じられるかも！			最初にボードに乗ったときは少しドキドキしたけど、慣れちゃえばスピード感と月の風がきもちよく感じられるかも！			未知待つ宙へ焦がれて							
この山にはトンネルが開通したけど大変だったみたいだねぇ……！あえて魔法を使わずに重機だけで掘削したのは、エーテルが薄い惑星を見据えた実験でもあったみたい。			この山にはトンネルが開通したけど大変だったみたいだねぇ……！あえて魔法を使わずに重機だけで掘削したのは、エーテルが薄い惑星を見据えた実験でもあったみたい。			未知待つ宙へ焦がれて							
この「グリーミングマウンテン」は、キラッと輝く山、って意味の名前なんだ！水晶の大きな塊が、キラキラしてるでしょ？			この「グリーミングマウンテン」は、キラッと輝く山、って意味の名前なんだ！水晶の大きな塊が、キラキラしてるでしょ？			未知待つ宙へ焦がれて							
小さな月の僅かな光だけど、どこか遠くの星へも届くかもしれない……。ボクらがこれから旅立つ星のほうからも、観測できたらいいよね。			小さな月の僅かな光だけど、どこか遠くの星へも届くかもしれない……。ボクらがこれから旅立つ星のほうからも、観測できたらいいよね。			未知待つ宙へ焦がれて							
ここからいっぱいに見える星々への憧れ……。その気持ちを叶えるための基地や実験場が集まった土地だから、このクレーターのことは「焦がれの入江」って名付けたんだ！			ここからいっぱいに見える星々への憧れ……。その気持ちを叶えるための基地や実験場が集まった土地だから、このクレーターのことは「焦がれの入江」って名付けたんだ！			未知待つ宙へ焦がれて							
えへへ、それじゃあもうちょっと一緒に来てくれる？もっと伝えたい風景と名前がまだまだあるから、「ウェディングウェイの式園」のほうに向かおうー！			えへへ、それじゃあもうちょっと一緒に来てくれる？もっと伝えたい風景と名前がまだまだあるから、「ウェディングウェイの式園」のほうに向かおうー！			未知待つ宙へ焦がれて							
この辺りが「ウェディングウェイの式園」だよー！いろんな植物をかけ合わせたりするのが大好きな仲間、ウェディングウェイが、いろんな実験をしてるんだ！			この辺りが「ウェディングウェイの式園」だよー！いろんな植物をかけ合わせたりするのが大好きな仲間、ウェディングウェイが、いろんな実験をしてるんだ！			未知待つ宙へ焦がれて							
セントラルクリスタルを使った環境安定技術を使って、他の惑星でも栽培できるように研究中なんだって。その辺りから、あちこちを観察してみてね！			セントラルクリスタルを使った環境安定技術を使って、他の惑星でも栽培できるように研究中なんだって。その辺りから、あちこちを観察してみてね！			未知待つ宙へ焦がれて							
ウェディングウェイの式園のあちこちを、観察してみてね！			ウェディングウェイの式園のあちこちを、観察してみてね！			未知待つ宙へ焦がれて							
このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			未知待つ宙へ焦がれて							
ウェディングウェイの式園周辺を観察しますか？			ウェディングウェイの式園周辺を観察しますか？			未知待つ宙へ焦がれて							
いろいろあってすごいよねぇ、元々は、のっぺりした荒野だった場所なんだよ！			いろいろあってすごいよねぇ、元々は、のっぺりした荒野だった場所なんだよ！			未知待つ宙へ焦がれて							
気になるものがあったらボクが名前や由来を説明するから、じっくり観察して選んでみてねー！			気になるものがあったらボクが名前や由来を説明するから、じっくり観察して選んでみてねー！			未知待つ宙へ焦がれて							
すごいよね～、立派な木みたいだけど、キノコなんだよ！嘆きの海から持ち込んだ菌類を繁殖させたんだ。その名も「ミケナ・インセンディウム」！			すごいよね～、立派な木みたいだけど、キノコなんだよ！嘆きの海から持ち込んだ菌類を繁殖させたんだ。その名も「ミケナ・インセンディウム」！			未知待つ宙へ焦がれて							
下から見上げると、夜空に打ち上がった花火みたいでしょ？「花火のキノコ」っていう意味の名前で命名したのは、アーテリスで花火というものを見てきた、ボクならではなのさっ！			下から見上げると、夜空に打ち上がった花火みたいでしょ？「花火のキノコ」っていう意味の名前で命名したのは、アーテリスで花火というものを見てきた、ボクならではなのさっ！			未知待つ宙へ焦がれて							
キノコだから、実際は傘にあたる部分なんだけど……そこを発達させるときは、花火みたいにポンッて弾けるんだ。星空を背景にすると、とっても綺麗だよね～！			キノコだから、実際は傘にあたる部分なんだけど……そこを発達させるときは、花火みたいにポンッて弾けるんだ。星空を背景にすると、とっても綺麗だよね～！			未知待つ宙へ焦がれて							
あの遠くに見える、あの大きく増殖したキノコは、「ラヴィング・パフ」！嘆きの海の、ラヴィングウェイの花園にもある種だよねー！			あの遠くに見える、あの大きく増殖したキノコは、「ラヴィング・パフ」！嘆きの海の、ラヴィングウェイの花園にもある種だよねー！			未知待つ宙へ焦がれて							
いかにも菌類って感じで危険に見えるけど、実はとっても友好的なキノコなんだ！生き物が近づくと、パフパフっと胞子を吹いて挨拶するんだよ！			いかにも菌類って感じで危険に見えるけど、実はとっても友好的なキノコなんだ！生き物が近づくと、パフパフっと胞子を吹いて挨拶するんだよ！			未知待つ宙へ焦がれて							
無害だけど繁殖力が強いから、こっちには持ち込まないつもりだったって聞いたけど……。体を胞子だらけにしてた誰かが、連れてきちゃったのかな？			無害だけど繁殖力が強いから、こっちには持ち込まないつもりだったって聞いたけど……。体を胞子だらけにしてた誰かが、連れてきちゃったのかな？			未知待つ宙へ焦がれて							
青いモジャモジャでフサフサな茂みが揺れているよね。だけど、これも実はキノコの一種なんだ！名前は、「ターコイズ・シャグ」！			青いモジャモジャでフサフサな茂みが揺れているよね。だけど、これも実はキノコの一種なんだ！名前は、「ターコイズ・シャグ」！			未知待つ宙へ焦がれて							
宇宙空間を飛び交う様々な電磁パルスを受け止めて、澄んだ青緑色の光に変換しているらしいんだって。見えない強力なエネルギーが可視化されてるなんて、面白いよね！			宇宙空間を飛び交う様々な電磁パルスを受け止めて、澄んだ青緑色の光に変換しているらしいんだって。見えない強力なエネルギーが可視化されてるなんて、面白いよね！			未知待つ宙へ焦がれて							
「月面のキノコ自体が、高度な情報を受け取っているとしたら、　人に感知できない高次の情報網が存在する可能性を感じるよ」……って、シャーレアンの研究者さんが呟いてたんだー！			「月面のキノコ自体が、高度な情報を受け取っているとしたら、　人に感知できない高次の情報網が存在する可能性を感じるよ」……って、シャーレアンの研究者さんが呟いてたんだー！			未知待つ宙へ焦がれて							
レゴリスって呼ばれる月の表土は、粒子が細かすぎて、そのままだと植物は根づきにくいんだ。そこで、特殊な錬金薬を撒いて土壌改良実験をしてるんだって！			レゴリスって呼ばれる月の表土は、粒子が細かすぎて、そのままだと植物は根づきにくいんだ。そこで、特殊な錬金薬を撒いて土壌改良実験をしてるんだって！			未知待つ宙へ焦がれて							
うっすらとだけど、桃色の苔が地表を覆ってきてるでしょ？こんな風に植物を育てられたら、いつか他の惑星でも、アーテリスの農作物を育てたりできるかも！			うっすらとだけど、桃色の苔が地表を覆ってきてるでしょ？こんな風に植物を育てられたら、いつか他の惑星でも、アーテリスの農作物を育てたりできるかも！			未知待つ宙へ焦がれて							
というわけで、改良が進みつつあるこの桃色に茂る土壌を、「ベターメント・レゴリス」って呼ぶことにしたんだー！焦がれの入江ではこの一帯だけだから、よく目立ってるよね！			というわけで、改良が進みつつあるこの桃色に茂る土壌を、「ベターメント・レゴリス」って呼ぶことにしたんだー！焦がれの入江ではこの一帯だけだから、よく目立ってるよね！			未知待つ宙へ焦がれて							
あの薄水色の茎節に、てっぺんに咲いた花……どこかで見覚えがあると思わないかな～？そう、ルナテンダーだよ！			あの薄水色の茎節に、てっぺんに咲いた花……どこかで見覚えがあると思わないかな～？そう、ルナテンダーだよ！			未知待つ宙へ焦がれて							
そもそも、アーテリスのサボテンダーの種子が月に飛来して、月面に適応したのがルナテンダーじゃないかって説があるんだ。このサボテンは、その特徴を持つ新種かも！			そもそも、アーテリスのサボテンダーの種子が月に飛来して、月面に適応したのがルナテンダーじゃないかって説があるんだ。このサボテンは、その特徴を持つ新種かも！			未知待つ宙へ焦がれて							
魔物としての自我を宿さず、植物として月に定着したサボテン……名付けて、「サボッテンダー」！サボテンダーが、活動と自律を諦めた姿っていうわけさ！			魔物としての自我を宿さず、植物として月に定着したサボテン……名付けて、「サボッテンダー」！サボテンダーが、活動と自律を諦めた姿っていうわけさ！			未知待つ宙へ焦がれて							
どうかな、いっぱい観察できた？もう一度よく見てみたかったら、教えてね！			どうかな、いっぱい観察できた？もう一度よく見てみたかったら、教えてね！			未知待つ宙へ焦がれて							
何と言う？			何と言う？			未知待つ宙へ焦がれて							
いーっぱい見た！			いーっぱい見た！			未知待つ宙へ焦がれて							
もう少し見たいかも			もう少し見たいかも			未知待つ宙へ焦がれて							
よかったよー！ボクたちが見つけた、新しい月の植生をばっちり紹介できたしね！			よかったよー！ボクたちが見つけた、新しい月の植生をばっちり紹介できたしね！			未知待つ宙へ焦がれて							
ボクも名前をつける前には、いっぱい観察をするんだ！見た目の違うものでも、名前で共通点がわかったり、姿形からはわからない正体を伝えられたりするでしょ？			ボクも名前をつける前には、いっぱい観察をするんだ！見た目の違うものでも、名前で共通点がわかったり、姿形からはわからない正体を伝えられたりするでしょ？			未知待つ宙へ焦がれて							
「名前をつけること」は、未知を既知に変えていく第一歩！発見した新しいモノを他の誰かに教える、大事な方法なんだー！			「名前をつけること」は、未知を既知に変えていく第一歩！発見した新しいモノを他の誰かに教える、大事な方法なんだー！			未知待つ宙へ焦がれて							
そうして名前を教わったヒトが、さらに詳しく調べ、危険を知り、活用法を編み出す。その繰り返しで、自分たちの世界を広げていくってわけだね。			そうして名前を教わったヒトが、さらに詳しく調べ、危険を知り、活用法を編み出す。その繰り返しで、自分たちの世界を広げていくってわけだね。			未知待つ宙へ焦がれて							
だからボクは「名前」が好きだし、名付けることにも、喜びを感じちゃうんだ……。「ネミングウェイ」って名前も、いまじゃ最高にお気に入りさ！			だからボクは「名前」が好きだし、名付けることにも、喜びを感じちゃうんだ……。「ネミングウェイ」って名前も、いまじゃ最高にお気に入りさ！			未知待つ宙へ焦がれて							
ここへサーチングウェイたちが最初に来たときのことを思うんだ。きっとムーンローバーで走ってきた途中の土地みたいな、何も無い、何も知らない場所だったはず。			ここへサーチングウェイたちが最初に来たときのことを思うんだ。きっとムーンローバーで走ってきた途中の土地みたいな、何も無い、何も知らない場所だったはず。			未知待つ宙へ焦がれて							
だけど、キミやボクが来て、この風景には今や、たくさんの名前が付いている！もう、知らない土地ではなくなったってことだねー！			だけど、キミやボクが来て、この風景には今や、たくさんの名前が付いている！もう、知らない土地ではなくなったってことだねー！			未知待つ宙へ焦がれて							
宇宙にはまだ、きっと「知らないもの」が沢山ある！コスモエクスプローラー計画に協力して、これからも、いーっぱいのはじめてと出会えたらいいな！			宇宙にはまだ、きっと「知らないもの」が沢山ある！コスモエクスプローラー計画に協力して、これからも、いーっぱいのはじめてと出会えたらいいな！			未知待つ宙へ焦がれて							
よぉし、それじゃあキミに紹介したかった場所は、ひととおり巡れたから、基地のほうへ戻っちゃおう！「サーチングウェイ」が待ってるはずだよっ！			よぉし、それじゃあキミに紹介したかった場所は、ひととおり巡れたから、基地のほうへ戻っちゃおう！「サーチングウェイ」が待ってるはずだよっ！			未知待つ宙へ焦がれて							
オッケー、好きなだけ観察していってねー！もう大丈夫ってなったら、ボクに教えて！			オッケー、好きなだけ観察していってねー！もう大丈夫ってなったら、ボクに教えて！			未知待つ宙へ焦がれて							
あちこちをよく見てくれてありがとー！ボクは名付けただけだけど、景色を楽しんでくれたならいいな！もう十分に、いっぱい観察できたかなー？			あちこちをよく見てくれてありがとー！ボクは名付けただけだけど、景色を楽しんでくれたならいいな！もう十分に、いっぱい観察できたかなー？			未知待つ宙へ焦がれて							
何と言う？			何と言う？			未知待つ宙へ焦がれて							
いーっぱい観察した！			いーっぱい観察した！			未知待つ宙へ焦がれて							
もーっと見たい！			もーっと見たい！			未知待つ宙へ焦がれて							
たくさん付き合ってくれて、ありがとーっ！サーチングウェイにも報告だね！			たくさん付き合ってくれて、ありがとーっ！サーチングウェイにも報告だね！			未知待つ宙へ焦がれて							
おっ、戻ってきたッス！どうッスか、なかなか悪くない感じッスよね！			おっ、戻ってきたッス！どうッスか、なかなか悪くない感じッスよね！			未知待つ宙へ焦がれて							
うんうんっ！ボクが名前を付けた場所を巡ってさ、知らないものを知っていくって素敵だねって話したんだー！			うんうんっ！ボクが名前を付けた場所を巡ってさ、知らないものを知っていくって素敵だねって話したんだー！			未知待つ宙へ焦がれて							
それは何よりッス！そしたら、オイラの「とっておき」のビュースポットも、おふたりに知ってもらってもいいッス？			それは何よりッス！そしたら、オイラの「とっておき」のビュースポットも、おふたりに知ってもらってもいいッス？			未知待つ宙へ焦がれて							
サーチングウェイの！？もちろんだよ、ボクも見てみたいっ！			サーチングウェイの！？もちろんだよ、ボクも見てみたいっ！			未知待つ宙へ焦がれて							
Forenameさんも、いいでしょ？			Forenameさんも、いいでしょ？			未知待つ宙へ焦がれて							
じゃじゃーん！ここがオイラのお気に入りッス！			じゃじゃーん！ここがオイラのお気に入りッス！			未知待つ宙へ焦がれて							
うわぁー……！基地を一望できて、いい感じだね！			うわぁー……！基地を一望できて、いい感じだね！			未知待つ宙へ焦がれて							
そうそう！ここから活き活きと働くみんなを見ると、自然と元気が湧いてくるッス！			そうそう！ここから活き活きと働くみんなを見ると、自然と元気が湧いてくるッス！			未知待つ宙へ焦がれて							
終末現象が解決してからというもの……レポリットの中には、喜びながらも目的を失って、無気力になる者も少なくなかったッス。			終末現象が解決してからというもの……レポリットの中には、喜びながらも目的を失って、無気力になる者も少なくなかったッス。			未知待つ宙へ焦がれて							
そんななかで、オイラの助けになったのは、まだ見ぬ世界を「知りたい」という知的探究心ッス。			そんななかで、オイラの助けになったのは、まだ見ぬ世界を「知りたい」という知的探究心ッス。			未知待つ宙へ焦がれて							
オイラのそれは、おそらく星外脱出時に、移住先をサーチするという役目のため、個体へ与えられた性質。だから、そのままに行動していいか戸惑いもあったッスけど……			オイラのそれは、おそらく星外脱出時に、移住先をサーチするという役目のため、個体へ与えられた性質。だから、そのままに行動していいか戸惑いもあったッスけど……			未知待つ宙へ焦がれて							
地上を訪ねて、魔法大学の研究発表を聞く機会があったッス。そこで「深宇宙探査学」の誕生に立ち会えたことで、オイラの知的探究心は、ビシバシ刺激を受けたッス！			地上を訪ねて、魔法大学の研究発表を聞く機会があったッス。そこで「深宇宙探査学」の誕生に立ち会えたことで、オイラの知的探究心は、ビシバシ刺激を受けたッス！			未知待つ宙へ焦がれて							
そんな頃、魔法大学の研究者たちの噂を聞いたッス。彼らは世界が終末に向かう中も、ただ知と向き合っていたと……。オイラの知的探究心は、ビシバシ刺激を受けたッス！			そんな頃、魔法大学の研究者たちの噂を聞いたッス。彼らは世界が終末に向かう中も、ただ知と向き合っていたと……。オイラの知的探究心は、ビシバシ刺激を受けたッス！			未知待つ宙へ焦がれて							
それでオイラ、気付くことができたッス！移住という目的から離れて、ただ「知りたい」との想いのために行動してもいいんだって……！			それでオイラ、気付くことができたッス！移住という目的から離れて、ただ「知りたい」との想いのために行動してもいいんだって……！			未知待つ宙へ焦がれて							
そう、知りたいから、行きたいから！その探究心のために宇宙を目指しても、いいはずッス！			そう、知りたいから、行きたいから！その探究心のために宇宙を目指しても、いいはずッス！			未知待つ宙へ焦がれて							
そんなサーチングウェイの想いが起点になって、計画が動き出して、こんな立派な基地が完成したんだねぇー！			そんなサーチングウェイの想いが起点になって、計画が動き出して、こんな立派な基地が完成したんだねぇー！			未知待つ宙へ焦がれて							
さぁ、ギャラクティックウェイ号の発着設備も完成した今、あとは目標星の座標を計算して、セットするだけッスよ！			さぁ、ギャラクティックウェイ号の発着設備も完成した今、あとは目標星の座標を計算して、セットするだけッスよ！			未知待つ宙へ焦がれて							
旅立ちの準備が整ったら、そのときは、また一緒に来てくれるッスか？			旅立ちの準備が整ったら、そのときは、また一緒に来てくれるッスか？			未知待つ宙へ焦がれて							
コスモエクスプローラー計画に積極的に参加し、計画実績の、「月面のコスモミッションを100回達成する」を取得済みのため、新たなサブクエストを受注することができます。			コスモエクスプローラー計画に積極的に参加し、計画実績の、「月面のコスモミッションを100回達成する」を取得済みのため、新たなサブクエストを受注することができます。			未知待つ宙へ焦がれて							
ムーンゲート基地にいる「ムムッコ」から、コスモエクスプローラー計画にまつわる話を聞いてみましょう！			ムーンゲート基地にいる「ムムッコ」から、コスモエクスプローラー計画にまつわる話を聞いてみましょう！			未知待つ宙へ焦がれて							
コスモエクスプローラー計画に積極的に参加し、計画実績の、「月面のコスモミッションを100回達成する」を取得することで、新たなサブクエストを受注できます。			コスモエクスプローラー計画に積極的に参加し、計画実績の、「月面のコスモミッションを100回達成する」を取得することで、新たなサブクエストを受注できます。			未知待つ宙へ焦がれて							
エクスプローラータブレットからミッションを確認し、計画実績の取得を目指していきましょう！			エクスプローラータブレットからミッションを確認し、計画実績の取得を目指していきましょう！			未知待つ宙へ焦がれて							
ムーンゲート基地のサーチングウェイは、コスモエクスプローラー計画の新たな段階について伝えたいようだ。			ムーンゲート基地のサーチングウェイは、コスモエクスプローラー計画の新たな段階について伝えたいようだ。			新たなる未知へ！							
サーチングウェイと話し、新たな惑星「UL96」へと向かう準備が整ったことを聞いた。ムーンゲート基地でコスモポート前にいるクルージングウェイと話し、ギャラクティックウェイ号へ乗り込もう。			サーチングウェイと話し、新たな惑星「UL96」へと向かう準備が整ったことを聞いた。ムーンゲート基地でコスモポート前にいるクルージングウェイと話し、ギャラクティックウェイ号へ乗り込もう。			新たなる未知へ！							
クルージングウェイと話し、宇宙船ギャラクティックウェイ号へ案内された。いざ、新たな惑星へと向かおう。			クルージングウェイと話し、宇宙船ギャラクティックウェイ号へ案内された。いざ、新たな惑星へと向かおう。			新たなる未知へ！							
クルージングウェイの操縦するギャラクティックウェイ号に乗り込み、惑星「UL96」、改めネミングウェイが新たに名付けた「惑星パエンナ」へとやってきた。グラスブロワーズ基地の「サーチングウェイ」に声をかけ、この星での今後の計画について尋ねよう。			クルージングウェイの操縦するギャラクティックウェイ号に乗り込み、惑星「UL96」、改めネミングウェイが新たに名付けた「惑星パエンナ」へとやってきた。グラスブロワーズ基地の「サーチングウェイ」に声をかけ、この星での今後の計画について尋ねよう。			新たなる未知へ！							
サーチングウェイから、「惑星パエンナ」においてコスモエクスプローラー計画が目指す新たな目的について聞いた。計画にまつわる新たな情報は、エクスプローラータブレットに追加されているようだ。新星を探索して回ったり、エクスプローラータブレットの情報に触れたりしながら、計画の今後に寄り添っていこう。			サーチングウェイから、「惑星パエンナ」においてコスモエクスプローラー計画が目指す新たな目的について聞いた。計画にまつわる新たな情報は、エクスプローラータブレットに追加されているようだ。新星を探索して回ったり、エクスプローラータブレットの情報に触れたりしながら、計画の今後に寄り添っていこう。			新たなる未知へ！							
クルージングウェイと話す			クルージングウェイと話す			新たなる未知へ！							
惑星パエンナのサーチングウェイと話す			惑星パエンナのサーチングウェイと話す			新たなる未知へ！							
サーチングウェイがボクたちに、何か話したいことがあるみたいだよーっ！			サーチングウェイがボクたちに、何か話したいことがあるみたいだよーっ！			新たなる未知へ！							
ちょうどいいところに来てくれたッス～！ネミングウェイとForenameさんに、伝えたいことがあるッスよ！			ちょうどいいところに来てくれたッス～！ネミングウェイとForenameさんに、伝えたいことがあるッスよ！			新たなる未知へ！							
知ってのとおり、計画に協力してくれているみんなのおかげで、ムーンゲート基地が、こんな立派に完成したッス！			知ってのとおり、計画に協力してくれているみんなのおかげで、ムーンゲート基地が、こんな立派に完成したッス！			新たなる未知へ！							
あれから、本格的な宇宙探索の準備に着手して、宇宙船「ギャラクティックウェイ号」の無人飛行試験にも成功！			あれから、本格的な宇宙探索の準備に着手して、宇宙船「ギャラクティックウェイ号」の無人飛行試験にも成功！			新たなる未知へ！							
そしてついに、最初の探査目標に設定した惑星「UL96」にも到着したッスよ！現地では、すでに先遣隊が……			そしてついに、最初の探査目標に設定した惑星「UL96」にも到着したッスよ！現地では、すでに先遣隊が……			新たなる未知へ！							
ちょ、ちょちょ、ちょっとまって！！「UL96」……だって！？			ちょ、ちょちょ、ちょっとまって！！「UL96」……だって！？			新たなる未知へ！							
なんて、なんて味気ない名前なんだっ……！信じられないほど記号的で、泣きたくなるほど無機質、砂粒ひとつほどのロマンの欠片さえ感じられないよーっ！？			なんて、なんて味気ない名前なんだっ……！信じられないほど記号的で、泣きたくなるほど無機質、砂粒ひとつほどのロマンの欠片さえ感じられないよーっ！？			新たなる未知へ！							
ネミングウェイ、だからこそ君の出番ッス！さっそくオイラと一緒に、惑星「UL96」へ来てほしいッスよ！			ネミングウェイ、だからこそ君の出番ッス！さっそくオイラと一緒に、惑星「UL96」へ来てほしいッスよ！			新たなる未知へ！							
さっき言いかけたけど、すでに先遣隊による拠点の設営が始まってるッス。現地に急行し、星にふさわしい名前をつけてほしいッス！			さっき言いかけたけど、すでに先遣隊による拠点の設営が始まってるッス。現地に急行し、星にふさわしい名前をつけてほしいッス！			新たなる未知へ！							
……「星」の命名も、ボクに！？			……「星」の命名も、ボクに！？			新たなる未知へ！							
これまで、いろいろなものに名付けてきたけど……その中でも、ダントツに大きな命名対象だよーっ！			これまで、いろいろなものに名付けてきたけど……その中でも、ダントツに大きな命名対象だよーっ！			新たなる未知へ！							
よぉっし、今回も気持ちをこめて名付けるね！新しい星の姿を見るのが、とっても楽しみだなー！			よぉっし、今回も気持ちをこめて名付けるね！新しい星の姿を見るのが、とっても楽しみだなー！			新たなる未知へ！							
もちろん、Forenameさんも！ぜひオイラたちに同行して、これからのコスモエクスプローラー計画にも協力してほしいッス！			もちろん、Forenameさんも！ぜひオイラたちに同行して、これからのコスモエクスプローラー計画にも協力してほしいッス！			新たなる未知へ！							
惑星「UL96」には、ほかのレポリットや、ヒトの協力者の皆さんも、順次送迎していく予定ッスよ！みんなで協力して探索施設を造営したり、ガンガンいこうッス！			惑星「UL96」には、ほかのレポリットや、ヒトの協力者の皆さんも、順次送迎していく予定ッスよ！みんなで協力して探索施設を造営したり、ガンガンいこうッス！			新たなる未知へ！							
ふたりとも、出発の準備ができたら、宇宙船が待機するコスモポートまで来てほしいッス！操縦士の「クルージングウェイ」が、船内まで案内するッスよ～！			ふたりとも、出発の準備ができたら、宇宙船が待機するコスモポートまで来てほしいッス！操縦士の「クルージングウェイ」が、船内まで案内するッスよ～！			新たなる未知へ！							
いよいよ、この時がやってきたッスね～！			いよいよ、この時がやってきたッスね～！			新たなる未知へ！							
星の名前、星の名前……！！ちょっと緊張するけど、星を目にして名付けるのが楽しみだよー！			星の名前、星の名前……！！ちょっと緊張するけど、星を目にして名付けるのが楽しみだよー！			新たなる未知へ！							
ようこそ、Forename殿。ワタシはクルージングウェイ、宇宙船「ギャラクティックウェイ号」のキャプテンです。			ようこそ、Forename殿。ワタシはクルージングウェイ、宇宙船「ギャラクティックウェイ号」のキャプテンです。			新たなる未知へ！							
