シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			超常の力、宿りし祭器							
ですが、そのためには辛く厳しい審査を受けねばなりません。心の準備はよろしいですか？			ですが、そのためには辛く厳しい審査を受けねばなりません。心の準備はよろしいですか？			2期生オーディションの真相							
素晴らしい！それでは会場までご案内しましょう……。			素晴らしい！それでは会場までご案内しましょう……。			2期生オーディションの真相							
準備はよろしいですか？それでは会場までご案内しましょう……。			準備はよろしいですか？それでは会場までご案内しましょう……。			2期生オーディションの真相							
オーディションは、こちらの部屋で行われます。とても厳しい審査だと、悪の界隈でも評判ですが、あなたに乗り越えられるかどうか……。			オーディションは、こちらの部屋で行われます。とても厳しい審査だと、悪の界隈でも評判ですが、あなたに乗り越えられるかどうか……。			2期生オーディションの真相							
(-男性の声-)どうぞ。			(-男性の声-)どうぞ。			2期生オーディションの真相							
(-？？？？-)聞こえるか。憚り知らぬ、子の泣き声。			(-？？？？-)聞こえるか。憚り知らぬ、子の泣き声。			2期生オーディションの真相							
(-？？？？-)見えるだろう。蒼穹翔る、鳥の翼が。			(-？？？？-)見えるだろう。蒼穹翔る、鳥の翼が。			2期生オーディションの真相							
(-？？？？-)腐ったルール打ち壊し、手にしてみせよう、あるべき姿。			(-？？？？-)腐ったルール打ち壊し、手にしてみせよう、あるべき姿。			2期生オーディションの真相							
(-？？？？-)明日への路が開かれている。あの「自由の扉」の向こうに！			(-？？？？-)明日への路が開かれている。あの「自由の扉」の向こうに！			2期生オーディションの真相							
(-？？？？-)コホン……。それでは、幹部2期生のオーディションを始めるぞ。人事部一同、席につけー。			(-？？？？-)コホン……。それでは、幹部2期生のオーディションを始めるぞ。人事部一同、席につけー。			2期生オーディションの真相							
何をキョロキョロとしているのかね？			何をキョロキョロとしているのかね？			2期生オーディションの真相							
はは～ん。さては、ここで首領に会えるとでも思っていたんだろう？残念だが、あの御方はそう簡単に対面できる存在ではない。			はは～ん。さては、ここで首領に会えるとでも思っていたんだろう？残念だが、あの御方はそう簡単に対面できる存在ではない。			2期生オーディションの真相							
さて、お前の名前を聞こうか。			さて、お前の名前を聞こうか。			2期生オーディションの真相							
どうする？			どうする？			2期生オーディションの真相							
正直に名乗る			正直に名乗る			2期生オーディションの真相							
名は伏せておく			名は伏せておく			2期生オーディションの真相							
Forename Surname、だと……？			Forename Surname、だと……？			2期生オーディションの真相							
フン、どこぞの英雄の名を騙る偽物か？1期生のサミダレのように擬態できるわけじゃあるまいし、つまらんマネはやめておけ。			フン、どこぞの英雄の名を騙る偽物か？1期生のサミダレのように擬態できるわけじゃあるまいし、つまらんマネはやめておけ。			2期生オーディションの真相							
ほう、わかってるじゃないか。「自由の扉」は悪の秘密組織……ここぞという見せ場まで、真の名は伏せておくべきものだ。			ほう、わかってるじゃないか。「自由の扉」は悪の秘密組織……ここぞという見せ場まで、真の名は伏せておくべきものだ。			2期生オーディションの真相							
……では、次だ。志望動機について聞こうか。			……では、次だ。志望動機について聞こうか。			2期生オーディションの真相							
何と言う？			何と言う？			2期生オーディションの真相							
世界を変えたいと思って			世界を変えたいと思って			2期生オーディションの真相							
先輩幹部に憧れて			先輩幹部に憧れて			2期生オーディションの真相							
友達の付き添いで			友達の付き添いで			2期生オーディションの真相							
そう思ったんなら、すでに行動を起こしていて然るべきだ。実績もないド新人を幹部には推せんなあ。			そう思ったんなら、すでに行動を起こしていて然るべきだ。実績もないド新人を幹部には推せんなあ。			2期生オーディションの真相							
それは下っ端の発想だな……。むしろ、組織を自分色に染め上げるくらいの気持ちでなくては。			それは下っ端の発想だな……。むしろ、組織を自分色に染め上げるくらいの気持ちでなくては。			2期生オーディションの真相							
ほう、偶然のチャンスに勝機を見出したか。いいぞ、幹部にはそういう才も求められるものだ。			ほう、偶然のチャンスに勝機を見出したか。いいぞ、幹部にはそういう才も求められるものだ。			2期生オーディションの真相							
で？オメェ、実際問題何ができんの？			で？オメェ、実際問題何ができんの？			2期生オーディションの真相							
何と言う？			何と言う？			2期生オーディションの真相							
戦闘では誰にも負けない			戦闘では誰にも負けない			2期生オーディションの真相							
製作や採集は匠の腕前だ			製作や採集は匠の腕前だ			2期生オーディションの真相							
ドマ式麻雀！			ドマ式麻雀！			2期生オーディションの真相							
普通かよ……アタイらが相手にするのは国家だってわかってる？むしろ、個人としての力は弱くてもいいから、集団を率いて勝利に導く統率力が欲しいね。			普通かよ……アタイらが相手にするのは国家だってわかってる？むしろ、個人としての力は弱くてもいいから、集団を率いて勝利に導く統率力が欲しいね。			2期生オーディションの真相							
後方支援をするだけなら、下っ端でもいいだろ。たとえば1期生のエルレットみたいに、技量を活かして前線に出るくらいじゃないとさあ。			後方支援をするだけなら、下っ端でもいいだろ。たとえば1期生のエルレットみたいに、技量を活かして前線に出るくらいじゃないとさあ。			2期生オーディションの真相							
おっ、いいねえ、わかってるじゃん！先を見通す眼力、相手を欺く戦術、勝負を挑む度胸……ドマ式麻雀に勝つ力こそ、幹部に必要だってね。			おっ、いいねえ、わかってるじゃん！先を見通す眼力、相手を欺く戦術、勝負を挑む度胸……ドマ式麻雀に勝つ力こそ、幹部に必要だってね。			2期生オーディションの真相							
モグモグ、さて、質問はこのくらいにして……キミに、幹部として国家を敵に回す覚悟があるかが見たいな。			モグモグ、さて、質問はこのくらいにして……キミに、幹部として国家を敵に回す覚悟があるかが見たいな。			2期生オーディションの真相							
そいつは、組織の情報を国家に売ろうとした裏切者だよ。だからキミが、ここで処刑してみせて？			そいつは、組織の情報を国家に売ろうとした裏切者だよ。だからキミが、ここで処刑してみせて？			2期生オーディションの真相							
モグモグ、どうしたの？まさか、できないの……？			モグモグ、どうしたの？まさか、できないの……？			2期生オーディションの真相							
どうする？			どうする？			2期生オーディションの真相							
決意して武器を手に取る			決意して武器を手に取る			2期生オーディションの真相							
静かに首を横に振る			静かに首を横に振る			2期生オーディションの真相							
うおおおお、すごい迫力！やる気は伝わったからもう大丈夫、これはお芝居だよ～！			うおおおお、すごい迫力！やる気は伝わったからもう大丈夫、これはお芝居だよ～！			2期生オーディションの真相							
どうやら芝居だとお見通しだったみたいだね。なかなかの洞察力だ。			どうやら芝居だとお見通しだったみたいだね。なかなかの洞察力だ。			2期生オーディションの真相							
そっちの人、裏切者役ご苦労さま！もう帰っていいよ～。			そっちの人、裏切者役ご苦労さま！もう帰っていいよ～。			2期生オーディションの真相							
モグモグ、えっと……それじゃ最後に、一番キミらしいと思う、キメポーズを取ってみて！			モグモグ、えっと……それじゃ最後に、一番キミらしいと思う、キメポーズを取ってみて！			2期生オーディションの真相							
どうする？			どうする？			2期生オーディションの真相							
美しさをアピールする			美しさをアピールする			2期生オーディションの真相							
逞しさをアピールする			逞しさをアピールする			2期生オーディションの真相							
踊ってみる			踊ってみる			2期生オーディションの真相							
ウッ、なんだこの自信に満ち溢れた様は？オーラすら感じるよ……！			ウッ、なんだこの自信に満ち溢れた様は？オーラすら感じるよ……！			2期生オーディションの真相							
それでは、審査結果の発表を行う……			それでは、審査結果の発表を行う……			2期生オーディションの真相							
お前には、ほかの者にはないノリとセンスを感じる。よって、1次審査は合格だ！			お前には、ほかの者にはないノリとセンスを感じる。よって、1次審査は合格だ！			2期生オーディションの真相							
1期生の合格者でもシャルトフィットなんかは、ストレス耐性がなく、我らの圧迫に苦しんでいたのだが……お前は堂々と最後まで己を表現してみせたな！			1期生の合格者でもシャルトフィットなんかは、ストレス耐性がなく、我らの圧迫に苦しんでいたのだが……お前は堂々と最後まで己を表現してみせたな！			2期生オーディションの真相							
次のことは、外で案内してくれた構成員に聞いてくれ。			次のことは、外で案内してくれた構成員に聞いてくれ。			2期生オーディションの真相							
えっ、これで終わりじゃないのかって？……そう簡単に幹部にはなれませんよ。			えっ、これで終わりじゃないのかって？……そう簡単に幹部にはなれませんよ。			2期生オーディションの真相							
ちなみに、ここで落ちていたら、末端の戦闘員育成コースに案内されるところでしたから。1次審査を通過しただけでも大したものです。			ちなみに、ここで落ちていたら、末端の戦闘員育成コースに案内されるところでしたから。1次審査を通過しただけでも大したものです。			2期生オーディションの真相							
次もこの調子でがんばってください！			次もこの調子でがんばってください！			2期生オーディションの真相							
ゴールドコートの自由の扉の構成員は、次の審査について話してくれるようだ。			ゴールドコートの自由の扉の構成員は、次の審査について話してくれるようだ。			縛られざる者							
次の審査は、首領直々に行うらしい。南ザナラーンのサゴリー砂漠の「指定地点」で見渡そう。			次の審査は、首領直々に行うらしい。南ザナラーンのサゴリー砂漠の「指定地点」で見渡そう。			縛られざる者							
祭器を扱うアパーヒを発見した。サゴリー砂漠にいる「アパーヒ」と話そう。			祭器を扱うアパーヒを発見した。サゴリー砂漠にいる「アパーヒ」と話そう。			縛られざる者							
アパーヒと話した。サゴリー砂漠にいる「アパーヒ」と再度話し、敵に襲われたら討伐しよう。			アパーヒと話した。サゴリー砂漠にいる「アパーヒ」と再度話し、敵に襲われたら討伐しよう。			縛られざる者							
サンドドレイクを討伐し、己の力を見せつけた。サゴリー砂漠にいる「アパーヒ」とさらに話そう。			サンドドレイクを討伐し、己の力を見せつけた。サゴリー砂漠にいる「アパーヒ」とさらに話そう。			縛られざる者							
アパーヒと話した。サゴリー砂漠にいる「アパーヒ」ともう一度話そう。			アパーヒと話した。サゴリー砂漠にいる「アパーヒ」ともう一度話そう。			縛られざる者							
最終審査に合格し、祭器の入手経路について教えてもらった。サゴリー砂漠にいる「アパーヒ」と改めて話そう。			最終審査に合格し、祭器の入手経路について教えてもらった。サゴリー砂漠にいる「アパーヒ」と改めて話そう。			縛られざる者							
組織で用いる奇妙なポーズを教わった。アパーヒから、今後について聞き出そう。			組織で用いる奇妙なポーズを教わった。アパーヒから、今後について聞き出そう。			縛られざる者							
サゴリー砂漠の指定地点で見渡す			サゴリー砂漠の指定地点で見渡す			縛られざる者							
アパーヒと話す			アパーヒと話す			縛られざる者							
アパーヒと再度話し、敵に襲われたら討伐			アパーヒと再度話し、敵に襲われたら討伐			縛られざる者							
アパーヒとさらに話す			アパーヒとさらに話す			縛られざる者							
アパーヒともう一度話す			アパーヒともう一度話す			縛られざる者							
アパーヒと改めて話す			アパーヒと改めて話す			縛られざる者							
次の審査で終わりですから、ご安心ください。その代わり、最終審査は首領直々に行います。			次の審査で終わりですから、ご安心ください。その代わり、最終審査は首領直々に行います。			縛られざる者							
ちょっと前までこちらにいらしたんですが、突然、南ザナラーンのサゴリー砂漠に行ってしまわれました。相変わらず自由奔放なお方だ……。			ちょっと前までこちらにいらしたんですが、突然、南ザナラーンのサゴリー砂漠に行ってしまわれました。相変わらず自由奔放なお方だ……。			縛られざる者							
あなたも現地に向かい、探してみてください。大丈夫、本当に幹部にふさわしい人間なら、出会える運命にあるはずですよ。			あなたも現地に向かい、探してみてください。大丈夫、本当に幹部にふさわしい人間なら、出会える運命にあるはずですよ。			縛られざる者							
首領は南ザナラーンのサゴリー砂漠に出かけてしまいました。あなたも現地に向かい、探してみてください。			首領は南ザナラーンのサゴリー砂漠に出かけてしまいました。あなたも現地に向かい、探してみてください。			縛られざる者							
待て！			待て！			縛られざる者							
お手！			お手！			縛られざる者							
おまわり！			おまわり！			縛られざる者							
おいで～。			おいで～。			縛られざる者							
よーしよし、いいコね～！			よーしよし、いいコね～！			縛られざる者							
久々に使ったけど、バッチリね。この祭器なら、どんな魔物も私の思うがまま……			久々に使ったけど、バッチリね。この祭器なら、どんな魔物も私の思うがまま……			縛られざる者							
あら……？こんな砂漠のど真ん中で、奇遇ね。			あら……？こんな砂漠のど真ん中で、奇遇ね。			縛られざる者							
……それとも、偶然じゃないのかしら？			……それとも、偶然じゃないのかしら？			縛られざる者							
ああ、あなた、2期生の候補だったの。			ああ、あなた、2期生の候補だったの。			縛られざる者							
ふーん……？			ふーん……？			縛られざる者							
では、自己紹介をしましょう……。			では、自己紹介をしましょう……。			縛られざる者							
私こそが！			私こそが！			縛られざる者							
「自由の扉」の首領！			「自由の扉」の首領！			縛られざる者							
アパーヒよ！			アパーヒよ！			縛られざる者							
さて、私が幹部に求める条件はただひとつ……。それは、カリスマ性！			さて、私が幹部に求める条件はただひとつ……。それは、カリスマ性！			縛られざる者							
もしあなたが常人離れした力を持っていたとしても、人を惹きつける魅力を持っていなければ、誰も後には続かない。			もしあなたが常人離れした力を持っていたとしても、人を惹きつける魅力を持っていなければ、誰も後には続かない。			縛られざる者							
けれど、悪のカリスマとしての資質があるなら、あなたが語る理想に人々は共感し、立ち上がるはず……！そして、自ら望んで過酷な戦いに身を投じさえするでしょう！			けれど、悪のカリスマとしての資質があるなら、あなたが語る理想に人々は共感し、立ち上がるはず……！そして、自ら望んで過酷な戦いに身を投じさえするでしょう！			縛られざる者							
その点、1期生たちは逸材揃いだったわ。憚ることなく自分の願望にどこまでも忠実なその姿は、この私ですら感動を禁じえなかった……！			その点、1期生たちは逸材揃いだったわ。憚ることなく自分の願望にどこまでも忠実なその姿は、この私ですら感動を禁じえなかった……！			縛られざる者							
つまり、祭器を手にするにふさわしい。私にそう思わせれば合格よ。			つまり、祭器を手にするにふさわしい。私にそう思わせれば合格よ。			縛られざる者							
さて……あなたについて聞かせてちょうだい。			さて……あなたについて聞かせてちょうだい。			縛られざる者							
あなたはどうして国家を転覆させたいのかしら？			あなたはどうして国家を転覆させたいのかしら？			縛られざる者							
何と言う？			何と言う？			縛られざる者							
力を求めて			力を求めて			縛られざる者							
名誉を求めて			名誉を求めて			縛られざる者							
富を求めて			富を求めて			縛られざる者							
答えない			答えない			縛られざる者							
充分な力を備えているように見えるけれど……あくまでも貪欲に高みを目指してるのね。悪を貫きとおすには、必要な資質だわ。			充分な力を備えているように見えるけれど……あくまでも貪欲に高みを目指してるのね。悪を貫きとおすには、必要な資質だわ。			縛られざる者							
ああ、やっぱり！承認欲求の塊みたいな顔してるものね。悪として名を馳せるには、必要な資質だわ。			ああ、やっぱり！承認欲求の塊みたいな顔してるものね。悪として名を馳せるには、必要な資質だわ。			縛られざる者							
そうね、この世は金がすべて……。富める者こそ自由を行使できるというのも現実だけれど、私たちはその仕組みを破壊したいと思っているのよね。			そうね、この世は金がすべて……。富める者こそ自由を行使できるというのも現実だけれど、私たちはその仕組みを破壊したいと思っているのよね。			縛られざる者							
秘めた想いを察してくれるほど、まわりは優しくはないわよ？叶えたい望みがあるのなら、臆せず発しておきなさい。			秘めた想いを察してくれるほど、まわりは優しくはないわよ？叶えたい望みがあるのなら、臆せず発しておきなさい。			縛られざる者							
かくいう私が求めているものは……ずばり「自由」！			かくいう私が求めているものは……ずばり「自由」！			縛られざる者							
私の故郷の森には厳格な掟がいくつもあって、各人の役職が、生まれたときから定められていたの。ある者は狩りを、ある者は機織りを、本人の意思とは無関係にね。			私の故郷の森には厳格な掟がいくつもあって、各人の役職が、生まれたときから定められていたの。ある者は狩りを、ある者は機織りを、本人の意思とは無関係にね。			縛られざる者							
従っているかぎりは何不自由なく暮らせたけれど、私は自分に課せられた仕事をどうしても受け容れられなかった。			従っているかぎりは何不自由なく暮らせたけれど、私は自分に課せられた仕事をどうしても受け容れられなかった。			縛られざる者							
それで、あるとき掟を破って狩りに出かけ、ほかの誰も仕留めたことがないような大物を倒してみせた。そんな私を待っていたのは、里からの追放だったわ……。			それで、あるとき掟を破って狩りに出かけ、ほかの誰も仕留めたことがないような大物を倒してみせた。そんな私を待っていたのは、里からの追放だったわ……。			縛られざる者							
けれど、そのとき初めて、束縛から解放された自由な生き方があると知ったの。掟なんて守らなくても生きていけるんだ、って！			けれど、そのとき初めて、束縛から解放された自由な生き方があると知ったの。掟なんて守らなくても生きていけるんだ、って！			縛られざる者							
かつての私と同じような人々は多い。だからこそ、私自身が手本となって知らしめたいのよ、自由な生き方があると！			かつての私と同じような人々は多い。だからこそ、私自身が手本となって知らしめたいのよ、自由な生き方があると！			縛られざる者							
ま、自分語りはこれくらいにして、ちょっと行きたいところがあるから、ついてきてちょうだい。このあたり、魔物が多いから気をつけてね。			ま、自分語りはこれくらいにして、ちょっと行きたいところがあるから、ついてきてちょうだい。このあたり、魔物が多いから気をつけてね。			縛られざる者							
あら、魔物ね。私がやっつけてもいいんだけれど……			あら、魔物ね。私がやっつけてもいいんだけれど……			縛られざる者							
ちょうどいいわ、実技審査といきましょう。あなたの得意な戦法で倒してみてちょうだい。			ちょうどいいわ、実技審査といきましょう。あなたの得意な戦法で倒してみてちょうだい。			縛られざる者							
へぇ、なかなか面白い戦い方じゃない。他者を惹きつけるものがあるわ。			へぇ、なかなか面白い戦い方じゃない。他者を惹きつけるものがあるわ。			縛られざる者							
実技は申し分ないようね。それじゃあ、先に進みましょう。			実技は申し分ないようね。それじゃあ、先に進みましょう。			縛られざる者							
さあ、目的地に到着したわ！			さあ、目的地に到着したわ！			縛られざる者							
このあたりなら、星が綺麗に見えると聞いたのよ。ウルダハでは眺望のいい場所に入場料を取られるから……あんな国、さっさとなくすべきね。			このあたりなら、星が綺麗に見えると聞いたのよ。ウルダハでは眺望のいい場所に入場料を取られるから……あんな国、さっさとなくすべきね。			縛られざる者							
それじゃ、見頃の時間まで待ちましょう。			それじゃ、見頃の時間まで待ちましょう。			縛られざる者							
まあ、なんて綺麗な星空！わざわざ来た甲斐があったわね……。			まあ、なんて綺麗な星空！わざわざ来た甲斐があったわね……。			縛られざる者							
これらの光は、遥か天の果てから、何者にも遮られることなく、この星に辿り着いた自由の証。			これらの光は、遥か天の果てから、何者にも遮られることなく、この星に辿り着いた自由の証。			縛られざる者							
ならば、地上で暮らす私たちひとりひとりの命の輝きもまた、彼方の星々へと届いているのかも……。私は、そんな風に考えているの。			ならば、地上で暮らす私たちひとりひとりの命の輝きもまた、彼方の星々へと届いているのかも……。私は、そんな風に考えているの。			縛られざる者							
あ、そうそう。……あなた、合格よ。			あ、そうそう。……あなた、合格よ。			縛られざる者							
ちょっと話しただけでもわかるわ。普段から、自然と周囲に仲間が集まるタイプだってね。			ちょっと話しただけでもわかるわ。普段から、自然と周囲に仲間が集まるタイプだってね。			縛られざる者							
というわけで、さっそく幹部2期生の就任祝いに、祭器をプレゼントしまーーーーす！！			というわけで、さっそく幹部2期生の就任祝いに、祭器をプレゼントしまーーーーす！！			縛られざる者							
……って言えればよかったのだけれど。余分な祭器は持ってないので、あげられませーん。			……って言えればよかったのだけれど。余分な祭器は持ってないので、あげられませーん。			縛られざる者							
あらあら、意外と欲しがり屋さんなのね。欲望に忠実な姿勢、大事よー。			あらあら、意外と欲しがり屋さんなのね。欲望に忠実な姿勢、大事よー。			縛られざる者							
祭器とは、トラル大陸の各地に祀られし超常の魔具。1期生たちが持っていたものは、少し前に彼らが、現地の集落から奪ってきたものよ。			祭器とは、トラル大陸の各地に祀られし超常の魔具。1期生たちが持っていたものは、少し前に彼らが、現地の集落から奪ってきたものよ。			縛られざる者							
けれど、実を言うとね……。私の祭器は、もっとずーっと前に手に入れたものなの。			けれど、実を言うとね……。私の祭器は、もっとずーっと前に手に入れたものなの。			縛られざる者							
故郷を追放された後、国家というものに失望した私は、自由を求め、世界中を旅していた。海を越え、トラル大陸に渡ったのも当然の成り行きね。			故郷を追放された後、国家というものに失望した私は、自由を求め、世界中を旅していた。海を越え、トラル大陸に渡ったのも当然の成り行きね。			縛られざる者							
そして、サカ・トラルの辺境で見つけた遺跡で、出会ってしまった……「賢き者(ワイズマン)」と名乗る巨人の亡霊に！			そして、サカ・トラルの辺境で見つけた遺跡で、出会ってしまった……「賢き者(ワイズマン)」と名乗る巨人の亡霊に！			縛られざる者							
で、自由を手にできる場所を知らないかと尋ねたら、彼は突然、こんな話を始めたの。……あー、コホン、コホン。			で、自由を手にできる場所を知らないかと尋ねたら、彼は突然、こんな話を始めたの。……あー、コホン、コホン。			縛られざる者							
(-ワイズマンを熱演するアパーヒ-)「私が存命だったころォ……　ヨカフイ族はこのサカ・トラルに進出したが、　病に見舞われ、皆命を落としていったァ」			(-ワイズマンを熱演するアパーヒ-)「私が存命だったころォ……　ヨカフイ族はこのサカ・トラルに進出したが、　病に見舞われ、皆命を落としていったァ」			縛られざる者							
(-ワイズマンを熱演するアパーヒ-)「そこで私は、病を克服する目的でェ、　強大な生物の力を借り受け、行使できる道具……　『祭器』を生み出したのだァ」			(-ワイズマンを熱演するアパーヒ-)「そこで私は、病を克服する目的でェ、　強大な生物の力を借り受け、行使できる道具……　『祭器』を生み出したのだァ」			縛られざる者							
(-ワイズマンを熱演するアパーヒ-)「結局ゥ、仲間たちを救うには間に合わなかったァ。　だが、同じような危機に瀕している部族がいるはずだと思い、　私は各地をめぐって、祭器を授けていったのだァ……」			(-ワイズマンを熱演するアパーヒ-)「結局ゥ、仲間たちを救うには間に合わなかったァ。　だが、同じような危機に瀕している部族がいるはずだと思い、　私は各地をめぐって、祭器を授けていったのだァ……」			縛られざる者							
(-妙に勇ましい声色のアパーヒ-)私は、寄る辺ない人々が自由に暮らせる場所を作りたい。その祭器なら、私の理想を実現できる！			(-妙に勇ましい声色のアパーヒ-)私は、寄る辺ない人々が自由に暮らせる場所を作りたい。その祭器なら、私の理想を実現できる！			縛られざる者							
(-ワイズマンを熱演するアパーヒ-)「その意気やよし……。　だが、すでに5つの祭器が継承され、残るはわずかひとつのみ。　危険すぎるがゆえ、誰にも渡せず封印していたものなのだァ」			(-ワイズマンを熱演するアパーヒ-)「その意気やよし……。　だが、すでに5つの祭器が継承され、残るはわずかひとつのみ。　危険すぎるがゆえ、誰にも渡せず封印していたものなのだァ」			縛られざる者							
(-妙に勇ましい声色のアパーヒ-)危険な力こそ、志ある者が持つべきよ！最後の祭器は、この私が継承する！			(-妙に勇ましい声色のアパーヒ-)危険な力こそ、志ある者が持つべきよ！最後の祭器は、この私が継承する！			縛られざる者							
私の言葉に満足したのか、祭器を渡すとワイズマンの霊はすぐに消えてしまったわ。			私の言葉に満足したのか、祭器を渡すとワイズマンの霊はすぐに消えてしまったわ。			縛られざる者							
そうして委ねられた超常の力を使って、つまらないルールを壊し、人が自由に暮らせる世界を作る。それが私の最終目的にして、組織を作った動機よ。			そうして委ねられた超常の力を使って、つまらないルールを壊し、人が自由に暮らせる世界を作る。それが私の最終目的にして、組織を作った動機よ。			縛られざる者							
さあ、これであなたも「自由の扉」の幹部。私と一緒に、誰もが自由に生きられる世界を作りましょう！			さあ、これであなたも「自由の扉」の幹部。私と一緒に、誰もが自由に生きられる世界を作りましょう！			縛られざる者							
すっかり長居してしまったわね……。			すっかり長居してしまったわね……。			縛られざる者							
あ、私が見せたキメポーズ、あなたもマスターしておきなさいね。今のところ私しかやってないけど、ゆくゆくは組織のポーズとして採用するつもりだから。			あ、私が見せたキメポーズ、あなたもマスターしておきなさいね。今のところ私しかやってないけど、ゆくゆくは組織のポーズとして採用するつもりだから。			縛られざる者							
これを覚えれば、あなたも今日から「自由の扉」の一員よ！			これを覚えれば、あなたも今日から「自由の扉」の一員よ！			縛られざる者							
エモートアクション「自由のポーズ」を覚えた！			エモートアクション「自由のポーズ」を覚えた！			縛られざる者							
サゴリー砂漠のアパーヒは、何かを企んでいるようだ。			サゴリー砂漠のアパーヒは、何かを企んでいるようだ。			祭器が結んだ縁							
「自由の扉」の次の攻撃目標はトライヨラだった。トライヨラのシャバーブチェにいる「ラマジュン」と話そう。			「自由の扉」の次の攻撃目標はトライヨラだった。トライヨラのシャバーブチェにいる「ラマジュン」と話そう。			祭器が結んだ縁							
ラマジュンと話した。調査の方針について、シャバーブチェ付近にいる「クイーキ」と話そう。			ラマジュンと話した。調査の方針について、シャバーブチェ付近にいる「クイーキ」と話そう。			祭器が結んだ縁							
クイーキと話した。シャーローニ荒野のフーサタイ宿場町にいる「クイーキ」と話そう。			クイーキと話した。シャーローニ荒野のフーサタイ宿場町にいる「クイーキ」と話そう。			祭器が結んだ縁							
アゲハの祭器の力で、アパーヒの姿に変身した。変身状態で、フーサタイ宿場町にいる「ノリの良いゴロツキ」と話そう。※変身状態が解除された場合、再度「クイーキ」に話しかけることで「変身状態」になれます。			アゲハの祭器の力で、アパーヒの姿に変身した。変身状態で、フーサタイ宿場町にいる「ノリの良いゴロツキ」と話そう。※変身状態が解除された場合、再度「クイーキ」に話しかけることで「変身状態」になれます。			祭器が結んだ縁							
ノリの良いゴロツキは冒険者のことを怪しんでいる。変身状態で、フーサタイ宿場町にいる「ノリの良いゴロツキ」にエモート「自由のポーズ」をしよう。			ノリの良いゴロツキは冒険者のことを怪しんでいる。変身状態で、フーサタイ宿場町にいる「ノリの良いゴロツキ」にエモート「自由のポーズ」をしよう。			祭器が結んだ縁							
襲撃計画の詳細について聞き出すことに成功した。フーサタイ宿場町にいる「セートジャ」と話そう。			襲撃計画の詳細について聞き出すことに成功した。フーサタイ宿場町にいる「セートジャ」と話そう。			祭器が結んだ縁							
セートジャと話した。フーサタイ宿場町付近にいる「テントーワ」と話そう。			セートジャと話した。フーサタイ宿場町付近にいる「テントーワ」と話そう。			祭器が結んだ縁							
テントーワと話した。シャバーブチェの「ラマジュン」と話そう。			テントーワと話した。シャバーブチェの「ラマジュン」と話そう。			祭器が結んだ縁							
襲撃計画の詳細や、祭器の能力について把握することができた。ラマジュンと協力して、襲撃について備えておこう。			襲撃計画の詳細や、祭器の能力について把握することができた。ラマジュンと協力して、襲撃について備えておこう。			祭器が結んだ縁							
トライヨラのラマジュンと話す			トライヨラのラマジュンと話す			祭器が結んだ縁							
クイーキと話す			クイーキと話す			祭器が結んだ縁							
フーサタイ宿場町のクイーキと話す			フーサタイ宿場町のクイーキと話す			祭器が結んだ縁							
変身状態でノリの良いゴロツキと話す			変身状態でノリの良いゴロツキと話す			祭器が結んだ縁							
変身状態でノリの良いゴロツキに「自由のポーズ」をする			変身状態でノリの良いゴロツキに「自由のポーズ」をする			祭器が結んだ縁							
セートジャと話す			セートジャと話す			祭器が結んだ縁							
テントーワと話す			テントーワと話す			祭器が結んだ縁							
トライヨラのラマジュンと話す			トライヨラのラマジュンと話す			祭器が結んだ縁							
さーて、素敵な星空を観て英気を養ったところで、そろそろ開始する頃合いね……国家転覆を！			さーて、素敵な星空を観て英気を養ったところで、そろそろ開始する頃合いね……国家転覆を！			祭器が結んだ縁							
先日、1期生を連れてトライヨラを訪れたとき、ずいぶん雰囲気が変わったなと感じたのよ。			先日、1期生を連れてトライヨラを訪れたとき、ずいぶん雰囲気が変わったなと感じたのよ。			祭器が結んだ縁							
私がワイズマンと出会った当時、トラル大陸は、まだ連王による統一は成されていなくて。だからこそ、混沌としてはいたけど自由の気風を感じられたわ。			私がワイズマンと出会った当時、トラル大陸は、まだ連王による統一は成されていなくて。だからこそ、混沌としてはいたけど自由の気風を感じられたわ。			祭器が結んだ縁							
お気に入りの場所だったと言ってもいいくらい。自分の名を、現地のシャトナ族風に改めちゃうほどに、ね。			お気に入りの場所だったと言ってもいいくらい。自分の名を、現地のシャトナ族風に改めちゃうほどに、ね。			祭器が結んだ縁							
なのに今では、国家の支配体制が確立し、不自由さと堅苦しさが日を追うごとに増している。			なのに今では、国家の支配体制が確立し、不自由さと堅苦しさが日を追うごとに増している。			祭器が結んだ縁							
だから私は、かつての自由を取り戻すため、トライヨラを転覆させることに決めたの。			だから私は、かつての自由を取り戻すため、トライヨラを転覆させることに決めたの。			祭器が結んだ縁							
1期生は自由を体現したけれど、国家転覆の理念を、真に理解できてはいなかった。だから、2期生には私が手本を示そうと思うの。			1期生は自由を体現したけれど、国家転覆の理念を、真に理解できてはいなかった。だから、2期生には私が手本を示そうと思うの。			祭器が結んだ縁							
あなたも是非、トラル大陸まで見学しに来て。集合場所は……シャーローニ荒野のフーサタイ宿場町、酒場で組織の戦闘員と合流してちょうだい。			あなたも是非、トラル大陸まで見学しに来て。集合場所は……シャーローニ荒野のフーサタイ宿場町、酒場で組織の戦闘員と合流してちょうだい。			祭器が結んだ縁							
