円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			始まりの「楽園」							
それによってわかったこともあるので、改めて、今後のことを相談させてください！			それによってわかったこともあるので、改めて、今後のことを相談させてください！			飛来する闇							
エデンコアのリーンは、わかったことについて話したいようだ。			エデンコアのリーンは、わかったことについて話したいようだ。			渦動、再戦							
リーンと話した。彼女によると、エデンは環境エーテルに強く干渉する力を持つらしい。その力を使えば、世界を取り戻せるかもしれない。話を聞いたウリエンジェは、具体的な案を思いついたようだ。無の大地の「ウリエンジェ」と話そう			リーンと話した。彼女によると、エデンは環境エーテルに強く干渉する力を持つらしい。その力を使えば、世界を取り戻せるかもしれない。話を聞いたウリエンジェは、具体的な案を思いついたようだ。無の大地の「ウリエンジェ」と話そう			渦動、再戦							
ウリエンジェと話した。彼の話だと、世界を取り戻すためには、エデンの力を使い属性の力を励起する必要があるそうだ。そのためには、属性との結び付きが強い場所で、擬似的な蛮神召喚を行わなければならない。そして、現れた蛮神を討滅する必要がある。まずは水属性の励起から始めることになった。エデンコアの「リーン」と話そう。			ウリエンジェと話した。彼の話だと、世界を取り戻すためには、エデンの力を使い属性の力を励起する必要があるそうだ。そのためには、属性との結び付きが強い場所で、擬似的な蛮神召喚を行わなければならない。そして、現れた蛮神を討滅する必要がある。まずは水属性の励起から始めることになった。エデンコアの「リーン」と話そう。			渦動、再戦							
「リーン」と話した。しっかりと準備を整えて、エデンで大海溝へ向かい、現れたリヴァイアサンを討滅しよう！※コンテンツファインダーから攻略に参加できます。			「リーン」と話した。しっかりと準備を整えて、エデンで大海溝へ向かい、現れたリヴァイアサンを討滅しよう！※コンテンツファインダーから攻略に参加できます。			渦動、再戦							
リヴァイアサンを討滅し、水属性を励起した。エデンコアの「リーン」と話そう。			リヴァイアサンを討滅し、水属性を励起した。エデンコアの「リーン」と話そう。			渦動、再戦							
リーンと話した。拠点にいるサンクレッドに呼ばれて戻ってみると、水が湧き出し、湖ができていた。水属性の励起はうまくいったようだ。この調子で残りの属性の励起を進めていこう。			リーンと話した。拠点にいるサンクレッドに呼ばれて戻ってみると、水が湧き出し、湖ができていた。水属性の励起はうまくいったようだ。この調子で残りの属性の励起を進めていこう。			渦動、再戦							
無の大地のウリエンジェと話す			無の大地のウリエンジェと話す			渦動、再戦							
エデンコアのリーンと話す			エデンコアのリーンと話す			渦動、再戦							
「希望の園エデン：覚醒編3」を攻略			「希望の園エデン：覚醒編3」を攻略			渦動、再戦							
リーンと話す			リーンと話す			渦動、再戦							
ふむ、リーンは何を察知したのでしょうか……？			ふむ、リーンは何を察知したのでしょうか……？			渦動、再戦							
それじゃあ、気を取り直して、本来の目的の話を……。エデンによる、「無の大地」の再生について、相談させてください。			それじゃあ、気を取り直して、本来の目的の話を……。エデンによる、「無の大地」の再生について、相談させてください。			渦動、再戦							
もちろんです。エデンの制御によって知ったことを、私たちにも教えてください。			もちろんです。エデンの制御によって知ったことを、私たちにも教えてください。			渦動、再戦							
はい……。制御のためにエデンと繋がることで、その力の本質が、わかってきたんです。			はい……。制御のためにエデンと繋がることで、その力の本質が、わかってきたんです。			渦動、再戦							
では、「光の氾濫」の真相も……？			では、「光の氾濫」の真相も……？			渦動、再戦							
……間違いありません。私たちの推測どおり、エデンが放った力によって、あらゆる環境エーテルが停滞してしまった状態です。			……間違いありません。私たちの推測どおり、エデンが放った力によって、あらゆる環境エーテルが停滞してしまった状態です。			渦動、再戦							
それを、元に戻すことは……可能そうなのですか？			それを、元に戻すことは……可能そうなのですか？			渦動、再戦							
できる、と思います……。活発と停滞は、盛る火と籠る熱があるように、すべての属性がもともと有している要素……でしたよね。			できる、と思います……。活発と停滞は、盛る火と籠る熱があるように、すべての属性がもともと有している要素……でしたよね。			渦動、再戦							
エデンの力は、厳密には、その加減を強引に変えてしまうものみたいなんです。			エデンの力は、厳密には、その加減を強引に変えてしまうものみたいなんです。			渦動、再戦							
何も命じなければ、「光の氾濫」のときのように、すべてを停滞の極致へと変えていきますが……私たちの制御下なら、バランスを整える役目も担えるかと……。			何も命じなければ、「光の氾濫」のときのように、すべてを停滞の極致へと変えていきますが……私たちの制御下なら、バランスを整える役目も担えるかと……。			渦動、再戦							
……ですが、その力をどう使えば、「無の大地」を再生していけるのか、私では考えつかなくて……。			……ですが、その力をどう使えば、「無の大地」を再生していけるのか、私では考えつかなくて……。			渦動、再戦							
ウリエンジェ、Forenameさん、どうか知恵を貸してもらえませんか……！			ウリエンジェ、Forenameさん、どうか知恵を貸してもらえませんか……！			渦動、再戦							
もちろんです。大人というものは、そうして頼られ伝えていくために、あなた方の前を歩いているものなのですから……。			もちろんです。大人というものは、そうして頼られ伝えていくために、あなた方の前を歩いているものなのですから……。			渦動、再戦							
私も、あなたが悩んでいるとおり、乱暴に停滞を取り払うだけでは、再生は成し得ないと考えます。			私も、あなたが悩んでいるとおり、乱暴に停滞を取り払うだけでは、再生は成し得ないと考えます。			渦動、再戦							
火を起こすのに、適度な風が要るように……物事は緻密に関与しているものですから。			火を起こすのに、適度な風が要るように……物事は緻密に関与しているものですから。			渦動、再戦							
だったら、どうすれば……？			だったら、どうすれば……？			渦動、再戦							
続きは、拠点にてお話ししましょう。サンクレッドだけ除け者にするわけには、いきませんからね。			続きは、拠点にてお話ししましょう。サンクレッドだけ除け者にするわけには、いきませんからね。			渦動、再戦							
テントの中に、黒い鎧の……あの人がいるんですよね。気にはなりますが、今は話の続きを聞かなくっちゃ……。			テントの中に、黒い鎧の……あの人がいるんですよね。気にはなりますが、今は話の続きを聞かなくっちゃ……。			渦動、再戦							
例の襲撃者は、まだ中でグッスリだ。しばらくは目を覚ましそうもない。			例の襲撃者は、まだ中でグッスリだ。しばらくは目を覚ましそうもない。			渦動、再戦							
さて、私たちは、にわかに世界再生の可能性を得た……これをいかにして使うべきか、検討するといたしましょう。			さて、私たちは、にわかに世界再生の可能性を得た……これをいかにして使うべきか、検討するといたしましょう。			渦動、再戦							
エデンの力については、俺も聞いたが……ウリエンジェ大先生には、すでに作戦の方針まで見えてるのか？			エデンの力については、俺も聞いたが……ウリエンジェ大先生には、すでに作戦の方針まで見えてるのか？			渦動、再戦							
そうですね……計画の全容とまではいきませんが、まず試してみるべきことは、提示できるでしょう。			そうですね……計画の全容とまではいきませんが、まず試してみるべきことは、提示できるでしょう。			渦動、再戦							
……当然のことですが、「無の大地」は広大です。そんな中で、無暗に環境エーテルを停滞から解き放っても、砂漠に水滴を落とすが如く、即座に霧散するだけでしょう。			……当然のことですが、「無の大地」は広大です。そんな中で、無暗に環境エーテルを停滞から解き放っても、砂漠に水滴を落とすが如く、即座に霧散するだけでしょう。			渦動、再戦							
大地を永続的に復活させるとするならば、属性をひとつずつ……互いの存在を引き立てるような順で、励起(れいき)させていくのが有効かと。			大地を永続的に復活させるとするならば、属性をひとつずつ……互いの存在を引き立てるような順で、励起(れいき)させていくのが有効かと。			渦動、再戦							
そっか……さっき言っていた、火には風が必要という話のようなものですね。確かに、うまくいけば自然がずっと循環していけそうです……。			そっか……さっき言っていた、火には風が必要という話のようなものですね。確かに、うまくいけば自然がずっと循環していけそうです……。			渦動、再戦							
でも、特定の属性だけ励起させるなんて、エデンにできるかな……。			でも、特定の属性だけ励起させるなんて、エデンにできるかな……。			渦動、再戦							
励起させる属性に深く結びついた土地に移動し、エデンの力を発動させれば、自ずとそうなるでしょう。			励起させる属性に深く結びついた土地に移動し、エデンの力を発動させれば、自ずとそうなるでしょう。			渦動、再戦							
そのときに大事なのが、一度、極限まで停滞を取り除き、属性を、もっとも活発な状態にすることです。			そのときに大事なのが、一度、極限まで停滞を取り除き、属性を、もっとも活発な状態にすることです。			渦動、再戦							
さすれば、活性化された属性のエーテルが、地脈を伝い、瞬く間に各地へと広まってくれることでしょう。			さすれば、活性化された属性のエーテルが、地脈を伝い、瞬く間に各地へと広まってくれることでしょう。			渦動、再戦							
そんなことをして大丈夫なのか？どんな属性であれ、活発にしすぎたら災害をもたらすのが節理だろう。			そんなことをして大丈夫なのか？どんな属性であれ、活発にしすぎたら災害をもたらすのが節理だろう。			渦動、再戦							
ええ、おっしゃるとおり……。ですので、目的を達したのちに、ある程度まで鎮める必要がある……。			ええ、おっしゃるとおり……。ですので、目的を達したのちに、ある程度まで鎮める必要がある……。			渦動、再戦							
……ときに、Forenameさん。属性のもっとも活発な状態……すなわち、荒々しい姿を想像してみてください。			……ときに、Forenameさん。属性のもっとも活発な状態……すなわち、荒々しい姿を想像してみてください。			渦動、再戦							
風ならば嵐、水ならば海嘯……それらを象徴するような姿を、あなたならば思い浮かべることができるのでは？			風ならば嵐、水ならば海嘯……それらを象徴するような姿を、あなたならば思い浮かべることができるのでは？			渦動、再戦							
何と言う？			何と言う？			渦動、再戦							
もしかして……			もしかして……			渦動、再戦							
蛮神……？			蛮神……？			渦動、再戦							
そう……嵐神、水神、焔神などの異名をとる蛮神たちです。			そう……嵐神、水神、焔神などの異名をとる蛮神たちです。			渦動、再戦							
エデンが属性のエーテルを励起させると同時に、師ルイゾワが用いた、神降ろしの術式を展開し、あなたがそれらの蛮神を強く思い浮かべる……。			エデンが属性のエーテルを励起させると同時に、師ルイゾワが用いた、神降ろしの術式を展開し、あなたがそれらの蛮神を強く思い浮かべる……。			渦動、再戦							
さすれば、励起した属性は、蛮神に近しい姿で現れます。あとは……荒れ狂う彼らを、倒すのみ。活性化された属性が適度に霧散し、良い環境となるでしょう。			さすれば、励起した属性は、蛮神に近しい姿で現れます。あとは……荒れ狂う彼らを、倒すのみ。活性化された属性が適度に霧散し、良い環境となるでしょう。			渦動、再戦							
た、倒すのみ……？倒せるんですか……それ……？			た、倒すのみ……？倒せるんですか……それ……？			渦動、再戦							
何と言う？			何と言う？			渦動、再戦							
もちろん倒せる！			もちろん倒せる！			渦動、再戦							
お、大人だからね……			お、大人だからね……			渦動、再戦							
自信はない……			自信はない……			渦動、再戦							
無論、此度の神降ろしは、力に形を与える程度の疑似的なものです。弊害についても、ご心配には及びません……。			無論、此度の神降ろしは、力に形を与える程度の疑似的なものです。弊害についても、ご心配には及びません……。			渦動、再戦							
あなたが「自分はこれに勝ったことがある」と、強く思いさえすれば、いかに強大な自然の力であれ、あなたの倒し得る存在になるでしょう。			あなたが「自分はこれに勝ったことがある」と、強く思いさえすれば、いかに強大な自然の力であれ、あなたの倒し得る存在になるでしょう。			渦動、再戦							
俺も、Forenameならば勝利を疑わないさ。……で、肝心の、最初の属性はどうするつもりだ？			俺も、Forenameならば勝利を疑わないさ。……で、肝心の、最初の属性はどうするつもりだ？			渦動、再戦							
すべての生命の源たる力、水属性から始めるべきと考えます。			すべての生命の源たる力、水属性から始めるべきと考えます。			渦動、再戦							
そして、水属性との結びつきが強い土地は、かつてノルヴラントの西方に存在した大海溝……。世界で最も深い……いえ、深かった場所です。			そして、水属性との結びつきが強い土地は、かつてノルヴラントの西方に存在した大海溝……。世界で最も深い……いえ、深かった場所です。			渦動、再戦							
……わかりました。その場所までは、エデンで翔んでいきましょう。光を調節し、属性を励起させる役目も……やってみます。			……わかりました。その場所までは、エデンで翔んでいきましょう。光を調節し、属性を励起させる役目も……やってみます。			渦動、再戦							
お願いします。私は、神降ろしの術式の展開を……できるだけ力を抑えた姿にできるよう、善処いたしましょう。			お願いします。私は、神降ろしの術式の展開を……できるだけ力を抑えた姿にできるよう、善処いたしましょう。			渦動、再戦							
サンクレッドは、襲撃者の監視を続けていただけますか……？目覚めた際に事情を聴取するのであれば、私には荷が重い。			サンクレッドは、襲撃者の監視を続けていただけますか……？目覚めた際に事情を聴取するのであれば、私には荷が重い。			渦動、再戦							
……了解だ。何か進展があったら、すぐに連絡を入れる。「無の大地」再生の第一歩……必ず踏み出してくれ。			……了解だ。何か進展があったら、すぐに連絡を入れる。「無の大地」再生の第一歩……必ず踏み出してくれ。			渦動、再戦							
しかし、これまで数々の蛮神を屠ってきたお前が、まさか今回はその召喚者になるとはな……。			しかし、これまで数々の蛮神を屠ってきたお前が、まさか今回はその召喚者になるとはな……。			渦動、再戦							
お前のことだから心配はしてないが、自身の想像力が生み出す蛮神には、興味がないでもない。……健闘を、だ。			お前のことだから心配はしてないが、自身の想像力が生み出す蛮神には、興味がないでもない。……健闘を、だ。			渦動、再戦							
最初に励起する属性は水。然れば「水神リヴァイアサン」をイメージすべきでしょう。現地についたら、よろしくお願いいたします。			最初に励起する属性は水。然れば「水神リヴァイアサン」をイメージすべきでしょう。現地についたら、よろしくお願いいたします。			渦動、再戦							
お前に対して心配は不要だろう。そしてお前が立っているかぎり、その背を見ているリーンも、必死に食らいつくだろうさ。			お前に対して心配は不要だろう。そしてお前が立っているかぎり、その背を見ているリーンも、必死に食らいつくだろうさ。			渦動、再戦							
大海溝までの移動は、お任せください。自由に翔ばせるようになったエデンで、あっという間に到着です……！			大海溝までの移動は、お任せください。自由に翔ばせるようになったエデンで、あっという間に到着です……！			渦動、再戦							
……目的地に到達。環境エーテルを停滞から解放し、水属性の励起を開始……！			……目的地に到達。環境エーテルを停滞から解放し、水属性の励起を開始……！			渦動、再戦							
Forenameさん、現れるべき蛮神のイメージを！よろしくお願いします……！			Forenameさん、現れるべき蛮神のイメージを！よろしくお願いします……！			渦動、再戦							
水の荒々しき姿……水神リヴァイアサンとの激闘を、強く想起した……！			水の荒々しき姿……水神リヴァイアサンとの激闘を、強く想起した……！			渦動、再戦							
疑似神降ろし、成功しております。あなたの念じた姿で、水属性が具現化しているはずです……！			疑似神降ろし、成功しております。あなたの念じた姿で、水属性が具現化しているはずです……！			渦動、再戦							
エデンの制御も安定しています。大海溝に足場を生成しますので、転送陣から移動を……！荒れ狂う水の化身を、倒してください……！			エデンの制御も安定しています。大海溝に足場を生成しますので、転送陣から移動を……！荒れ狂う水の化身を、倒してください……！			渦動、再戦							
疑似リヴァイアサンの討滅、大変おつかれさまでした。しかし、あの姿は……。			疑似リヴァイアサンの討滅、大変おつかれさまでした。しかし、あの姿は……。			渦動、再戦							
水属性の励起は終わったのか？今のところ変化はないようだが……。			水属性の励起は終わったのか？今のところ変化はないようだが……。			渦動、再戦							
ご無事で何よりです……！エデンを介して視ていましたが、すごい戦いでした……。あれが、原初世界の「蛮神」なんですね……。			ご無事で何よりです……！エデンを介して視ていましたが、すごい戦いでした……。あれが、原初世界の「蛮神」なんですね……。			渦動、再戦							
……前に戦ったリヴァイアサンと、少し違っていた？それは……どうしてでしょうか……？			……前に戦ったリヴァイアサンと、少し違っていた？それは……どうしてでしょうか……？			渦動、再戦							
元となった水神リヴァイアサンは、サハギン族の信仰と願いによって顕現したもの……。その要素がなく、水の荒々しさのみが反映されたためでしょう。			元となった水神リヴァイアサンは、サハギン族の信仰と願いによって顕現したもの……。その要素がなく、水の荒々しさのみが反映されたためでしょう。			渦動、再戦							
また、Forenameさんが見てきた水属性の力は、かの水神のみ、というわけではないはずです。それらのイメージが、混入した可能性もありましょう……。			また、Forenameさんが見てきた水属性の力は、かの水神のみ、というわけではないはずです。それらのイメージが、混入した可能性もありましょう……。			渦動、再戦							
その結果、原初世界の水神とは似て非なる、別のリヴァイアサンが形作られたと、考えられます。			その結果、原初世界の水神とは似て非なる、別のリヴァイアサンが形作られたと、考えられます。			渦動、再戦							
なるほど……。			なるほど……。			渦動、再戦							
でも、Forenameさんのおかげで、水属性の励起と調整は成功したはずです。			でも、Forenameさんのおかげで、水属性の励起と調整は成功したはずです。			渦動、再戦							
「無の大地」にも、何か変化は起きたでしょうか……？			「無の大地」にも、何か変化は起きたでしょうか……？			渦動、再戦							
(-サンクレッドの声-)Forename、聞こえるか。……そっちは片付いたみたいだな。			(-サンクレッドの声-)Forename、聞こえるか。……そっちは片付いたみたいだな。			渦動、再戦							
(-サンクレッドの声-)なら、皆で拠点へ戻ってきてくれないか？話……というか、見せたいものがある。			(-サンクレッドの声-)なら、皆で拠点へ戻ってきてくれないか？話……というか、見せたいものがある。			渦動、再戦							
サンクレッドが見せたいもの……？いったい何でしょうか……？			サンクレッドが見せたいもの……？いったい何でしょうか……？			渦動、再戦							
ともかく拠点に戻ってみましょう。リーン、至急、エデンを翔ばしていただけますか？			ともかく拠点に戻ってみましょう。リーン、至急、エデンを翔ばしていただけますか？			渦動、再戦							
Forenameさん、水が！			Forenameさん、水が！			渦動、再戦							
地脈を伝って、この地にも恩恵がもたらされたようですね。虚ろなる大地を満たす、命の水……これは、大きな成果と言えましょう。			地脈を伝って、この地にも恩恵がもたらされたようですね。虚ろなる大地を満たす、命の水……これは、大きな成果と言えましょう。			渦動、再戦							
やりました、Forenameさん！まずは一歩、前進です……！			やりました、Forenameさん！まずは一歩、前進です……！			渦動、再戦							
この調子で行けば、「無の大地」を元通りに……人が新たに生きていく、理想郷にすることだってできるはず。次も、必ず成功させましょう……！			この調子で行けば、「無の大地」を元通りに……人が新たに生きていく、理想郷にすることだってできるはず。次も、必ず成功させましょう……！			渦動、再戦							
無の大地のリーンは、次なる属性の励起に向かいたいようだ。			無の大地のリーンは、次なる属性の励起に向かいたいようだ。			憤怒、再来							
リーンと話した。次に励起するのは土属性となった。エデンコアの「リーン」と話そう。			リーンと話した。次に励起するのは土属性となった。エデンコアの「リーン」と話そう。			憤怒、再来							
リーンと話した。次の目的地はアトラス山、そして呼び出すべき蛮神はタイタンだ。しっかりと準備を整えて、エデンでアトラス山へ向かい、現れたタイタンを討滅しよう！※コンテンツファインダーから攻略に参加できます。			リーンと話した。次の目的地はアトラス山、そして呼び出すべき蛮神はタイタンだ。しっかりと準備を整えて、エデンでアトラス山へ向かい、現れたタイタンを討滅しよう！※コンテンツファインダーから攻略に参加できます。			憤怒、再来							
タイタンを討滅し、土属性を励起した。エデンコアの「リーン」と話そう。			タイタンを討滅し、土属性を励起した。エデンコアの「リーン」と話そう。			憤怒、再来							
リーンと話した。土属性が励起した結果を確かめるために拠点へ戻ると、大地が復活していた。この結果に、手応えを感じていると、リーンが倒れ込んでしまう。いったいどうしたのだろうか？			リーンと話した。土属性が励起した結果を確かめるために拠点へ戻ると、大地が復活していた。この結果に、手応えを感じていると、リーンが倒れ込んでしまう。いったいどうしたのだろうか？			憤怒、再来							
エデンコアのリーンと話す			エデンコアのリーンと話す			憤怒、再来							
「希望の園エデン：覚醒編4」を攻略			「希望の園エデン：覚醒編4」を攻略			憤怒、再来							
リーンと話す			リーンと話す			憤怒、再来							
かなり遠くはありますが、対岸が見えますね……。つまり、この拠点から離れた場所には、まだ水がもたらされていない……ふむ……。			かなり遠くはありますが、対岸が見えますね……。つまり、この拠点から離れた場所には、まだ水がもたらされていない……ふむ……。			憤怒、再来							
いきなり大地が輝いたかと思うと、クリスタルが現れて、水が湧き出したんだ。これが属性を励起させるということかと、妙に納得したよ。			いきなり大地が輝いたかと思うと、クリスタルが現れて、水が湧き出したんだ。これが属性を励起させるということかと、妙に納得したよ。			憤怒、再来							
水が戻って、とても嬉しいです。だからこそ……これを維持するためにも、次に進まなければいけませんね……！			水が戻って、とても嬉しいです。だからこそ……これを維持するためにも、次に進まなければいけませんね……！			憤怒、再来							
次に励起させるのは、土属性にいたしましょう。水と土は、互いを育みあい、命を成す……作戦を行う場所についても、目星をつけておきました。			次に励起させるのは、土属性にいたしましょう。水と土は、互いを育みあい、命を成す……作戦を行う場所についても、目星をつけておきました。			憤怒、再来							
ありがとうございます……！では、次は土属性を取り戻すことを目標にしたいと思います。			ありがとうございます……！では、次は土属性を取り戻すことを目標にしたいと思います。			憤怒、再来							
ところで、サンクレッド……襲撃者の様子は、どうですか……？			ところで、サンクレッド……襲撃者の様子は、どうですか……？			憤怒、再来							
一向に目を覚ます気配がなくてな……兜を取って、顔を確認させてもらった。……リーンより少しだけ年上に見える、女の子だったよ。			一向に目を覚ます気配がなくてな……兜を取って、顔を確認させてもらった。……リーンより少しだけ年上に見える、女の子だったよ。			憤怒、再来							
あの奇妙な魔物を使役していたとは思えないほど、本当に、普通の「人」の容姿をしているんだ。思わず拍子抜けしたくらいにな。			あの奇妙な魔物を使役していたとは思えないほど、本当に、普通の「人」の容姿をしているんだ。思わず拍子抜けしたくらいにな。			憤怒、再来							
女の子……そうだったんだ……。早く事情を聞きたいですが、目覚める気配がないなら、属性の励起を優先させた方がよさそうですね……。			女の子……そうだったんだ……。早く事情を聞きたいですが、目覚める気配がないなら、属性の励起を優先させた方がよさそうですね……。			憤怒、再来							
俺は、襲撃者の監視を続けよう。エデンから戻ったらいなくなっていた、では話にならないからな。			俺は、襲撃者の監視を続けよう。エデンから戻ったらいなくなっていた、では話にならないからな。			憤怒、再来							
……Forename、次は殊更に、お前の健闘を祈っておこう。土属性となれば、思い起こすのは、当然あの強敵だ……。			……Forename、次は殊更に、お前の健闘を祈っておこう。土属性となれば、思い起こすのは、当然あの強敵だ……。			憤怒、再来							
疑似神降ろしをするときに、あまり「落ちる」ことは考えるなよ……。その想像は、お前に災難として返ってくるわけだからな……。			疑似神降ろしをするときに、あまり「落ちる」ことは考えるなよ……。その想像は、お前に災難として返ってくるわけだからな……。			憤怒、再来							
それでは……私たちは、エデンコアへ向かいましょう。			それでは……私たちは、エデンコアへ向かいましょう。			憤怒、再来							
では、土属性を励起するため、エデンによる旅を再開いたしましょう……。			では、土属性を励起するため、エデンによる旅を再開いたしましょう……。			憤怒、再来							
ウリエンジェ、場所の目星はつけてあると言っていましたが……土属性と結びつきが強い土地は、どこなんですか？			ウリエンジェ、場所の目星はつけてあると言っていましたが……土属性と結びつきが強い土地は、どこなんですか？			憤怒、再来							
向かうべきは、ノルヴラントのはるか東……。世界最大規模の峨々たる山脈が横たわっていた地域で、ひときわ高くそびえていた「アトラス山」です。			向かうべきは、ノルヴラントのはるか東……。世界最大規模の峨々たる山脈が横たわっていた地域で、ひときわ高くそびえていた「アトラス山」です。			憤怒、再来							
そして、励起した土属性に与えるべき姿は……必然、岩神「タイタン」となりましょう。			そして、励起した土属性に与えるべき姿は……必然、岩神「タイタン」となりましょう。			憤怒、再来							
岩神タイタン……。それは、どんな存在だったんですか……？			岩神タイタン……。それは、どんな存在だったんですか……？			憤怒、再来							
何と答える？			何と答える？			憤怒、再来							
コボルド族の神			コボルド族の神			憤怒、再来							
突き落としてくる奴……			突き落としてくる奴……			憤怒、再来							
コボルド族……原初世界の、モルド族に似た種族ですよね？彼らの祀る神だなんて……ううん……うまく想像できませんが……。			コボルド族……原初世界の、モルド族に似た種族ですよね？彼らの祀る神だなんて……ううん……うまく想像できませんが……。			憤怒、再来							
そういえば、さっきサンクレッドも、落ちるとかなんとか……。今回も山の上が戦場になりそうですし、少し不安ですね……。			そういえば、さっきサンクレッドも、落ちるとかなんとか……。今回も山の上が戦場になりそうですし、少し不安ですね……。			憤怒、再来							
ああでも……リヴァイアサンのときのように、原初世界でForenameさんが戦ったものとは、違う存在になるんでしょうか……？			ああでも……リヴァイアサンのときのように、原初世界でForenameさんが戦ったものとは、違う存在になるんでしょうか……？			憤怒、再来							
ええ、完全に同じ存在ではなく、似て非なるものになる可能性は高いかと……。			ええ、完全に同じ存在ではなく、似て非なるものになる可能性は高いかと……。			憤怒、再来							
とはいえ、荒ぶる土属性の化身となれば、強敵であることは、まず間違いがありません。			とはいえ、荒ぶる土属性の化身となれば、強敵であることは、まず間違いがありません。			憤怒、再来							
私の助言など、不要かもしれませんが……どうかご注意を。あなたの知る岩神と同じだと思っていると、不意を突かれるかもしれません……。			私の助言など、不要かもしれませんが……どうかご注意を。あなたの知る岩神と同じだと思っていると、不意を突かれるかもしれません……。			憤怒、再来							
それでは、エデンを翔ばします。目指すはアトラス山、全速力で向かいます……！			それでは、エデンを翔ばします。目指すはアトラス山、全速力で向かいます……！			憤怒、再来							
……目的地に到達。環境エーテルを停滞から解放し、土属性の励起を開始……！			……目的地に到達。環境エーテルを停滞から解放し、土属性の励起を開始……！			憤怒、再来							
Forenameさん、現れるべき蛮神のイメージを！よろしくお願いします……！			Forenameさん、現れるべき蛮神のイメージを！よろしくお願いします……！			憤怒、再来							
土の荒々しき姿……岩神タイタンとの激闘を、強く想起した……！			土の荒々しき姿……岩神タイタンとの激闘を、強く想起した……！			憤怒、再来							
此度の疑似神降ろしも成功しております。新たに創造されし岩神の討伐、よろしくお願いいたします……！			此度の疑似神降ろしも成功しております。新たに創造されし岩神の討伐、よろしくお願いいたします……！			憤怒、再来							
土属性が励起したことで、山脈が隆起したようです。これは……ど、どうやって足場を作りましょう……！とにかく、やってみます！			土属性が励起したことで、山脈が隆起したようです。これは……ど、どうやって足場を作りましょう……！とにかく、やってみます！			憤怒、再来							
無事のご帰還、何よりです……。こちらは今しがた、サンクレッドから連絡がありました。			無事のご帰還、何よりです……。こちらは今しがた、サンクレッドから連絡がありました。			憤怒、再来							
曰く、「例の襲撃者に変化なし」とのこと……。いつになれば、彼女は目覚めるのでしょうか……？			曰く、「例の襲撃者に変化なし」とのこと……。いつになれば、彼女は目覚めるのでしょうか……？			憤怒、再来							
Forenameさん……！あの……あの……っ！			Forenameさん……！あの……あの……っ！			憤怒、再来							
す、すごい戦いでした……！真剣な戦いに、こんなこと言うのはいけないかもしれませんが、とても……とっても、ドキドキして……！			す、すごい戦いでした……！真剣な戦いに、こんなこと言うのはいけないかもしれませんが、とても……とっても、ドキドキして……！			憤怒、再来							
……やっぱり、Forenameさんは英雄です。私も、もっとがんばろう……あんなところで戦うことになっても、動じないように……！			……やっぱり、Forenameさんは英雄です。私も、もっとがんばろう……あんなところで戦うことになっても、動じないように……！			憤怒、再来							
何と言う？			何と言う？			憤怒、再来							
全力で追いかけてこい！			全力で追いかけてこい！			憤怒、再来							
それで、作戦の状況は？			それで、作戦の状況は？			憤怒、再来							
……はいっ！とても大変な役目をお任せしてしまっていますが、やっぱり、一緒に来ていただいてよかったです……！			……はいっ！とても大変な役目をお任せしてしまっていますが、やっぱり、一緒に来ていただいてよかったです……！			憤怒、再来							
わわっ……そうでした……！ごめんなさい、気を引き締めていきますね。			わわっ……そうでした……！ごめんなさい、気を引き締めていきますね。			憤怒、再来							
おかげさまで、土属性の励起と調整は、無事に完了しています。水属性のときと同じなら、拠点周辺の「無の大地」にも、何か変化が起きているかもしれません。			おかげさまで、土属性の励起と調整は、無事に完了しています。水属性のときと同じなら、拠点周辺の「無の大地」にも、何か変化が起きているかもしれません。			憤怒、再来							
さっそく帰還して、確かめてみましょう！急いでエデンを翔ばしますね……！			さっそく帰還して、確かめてみましょう！急いでエデンを翔ばしますね……！			憤怒、再来							
こ、これは……！			こ、これは……！			憤怒、再来							
土属性の力が活発になった影響でしょうか……。鉱物を含む豊かな土壌が、蘇っているようです。しかし……。			土属性の力が活発になった影響でしょうか……。鉱物を含む豊かな土壌が、蘇っているようです。しかし……。			憤怒、再来							
どうやら今回も、変化があったのは、拠点周辺のみのようですね……。			どうやら今回も、変化があったのは、拠点周辺のみのようですね……。			憤怒、再来							
確かに、戻ってくる途中に見た風景も、大半の場所はまだ、もとの「無の大地」のままでした……。何か問題があるのでしょうか……？			確かに、戻ってくる途中に見た風景も、大半の場所はまだ、もとの「無の大地」のままでした……。何か問題があるのでしょうか……？			憤怒、再来							
いいえ、むしろこれは、喜ぶべき再生への一歩が、きちんと踏み出せている証拠だと思います……。			いいえ、むしろこれは、喜ぶべき再生への一歩が、きちんと踏み出せている証拠だと思います……。			憤怒、再来							
おそらく、ここは元来、地脈の結節点だったのでしょう。エーテルの流れが集中する場所だけに、ほかよりも顕著に変化が表れたのです……。			おそらく、ここは元来、地脈の結節点だったのでしょう。エーテルの流れが集中する場所だけに、ほかよりも顕著に変化が表れたのです……。			憤怒、再来							
つまり、世界各地に点在する同様の結節点でも、似た現象が起きているものと推測されます。			つまり、世界各地に点在する同様の結節点でも、似た現象が起きているものと推測されます。			憤怒、再来							
