モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			やっと、また会えたね							
数年前から、アム・アレーン一帯に現れるようになり、奇妙な魔法によって、少なくない人々の命を奪っているそうだ。結果、当地の商人たちが懸賞金をかけたわけさ……。			数年前から、アム・アレーン一帯に現れるようになり、奇妙な魔法によって、少なくない人々の命を奪っているそうだ。結果、当地の商人たちが懸賞金をかけたわけさ……。			すべてを呑み込む穴							
むろん、俺も件の賞金を狙ってる訳だが……それを半額譲ってでも、仲間が必要な状況でね。			むろん、俺も件の賞金を狙ってる訳だが……それを半額譲ってでも、仲間が必要な状況でね。			すべてを呑み込む穴							
……さて、ナリから見るに、お前も腕に覚えがあるんだろう？ただし、俺が考えている策に必要な能力を持っているかは、別問題だ。			……さて、ナリから見るに、お前も腕に覚えがあるんだろう？ただし、俺が考えている策に必要な能力を持っているかは、別問題だ。			すべてを呑み込む穴							
もし、俺と組んで賞金を山分けするのに興味があるなら、「アム・アレーン」まで来てくれないか？そこで軽く、お前さんの戦い方を見せてくれや。			もし、俺と組んで賞金を山分けするのに興味があるなら、「アム・アレーン」まで来てくれないか？そこで軽く、お前さんの戦い方を見せてくれや。			すべてを呑み込む穴							
おーし、来てくれたな。手数をかけてすまないが、さっそく始めようや。			おーし、来てくれたな。手数をかけてすまないが、さっそく始めようや。			すべてを呑み込む穴							
折よく、西の方角ではぐれ罪喰いが目撃されたらしい。そいつを討伐して、戦い方を見せてもらうとしようかね。			折よく、西の方角ではぐれ罪喰いが目撃されたらしい。そいつを討伐して、戦い方を見せてもらうとしようかね。			すべてを呑み込む穴							
はぐれ罪喰いは、このあたりにいるはずだ。ちょいと、周囲を「見渡し」て見つけ出し、倒してくれや。お前の戦い方、じっくり確認させてもらうぜ。			はぐれ罪喰いは、このあたりにいるはずだ。ちょいと、周囲を「見渡し」て見つけ出し、倒してくれや。お前の戦い方、じっくり確認させてもらうぜ。			すべてを呑み込む穴							
お見事！結構な腕前だろうと思っちゃいたが……予想以上だぜ！			お見事！結構な腕前だろうと思っちゃいたが……予想以上だぜ！			すべてを呑み込む穴							
これは、いい仲間を得られたもんだ。ともにプロネーシスを倒して、賞金を山分けにしようや！			これは、いい仲間を得られたもんだ。ともにプロネーシスを倒して、賞金を山分けにしようや！			すべてを呑み込む穴							
それじゃ、説明の続きといこうじゃないか。俺は、「モルド・スーク」を狩りの拠点にしているんだ。そっちに移動しよう。			それじゃ、説明の続きといこうじゃないか。俺は、「モルド・スーク」を狩りの拠点にしているんだ。そっちに移動しよう。			すべてを呑み込む穴							
ここは、各地から商人が集まる商取引の重要拠点。アム・アレーンを徘徊するプロネーシスは、大きな脅威だ。がめつい商人が、賞金をかけてでも退治したいほどにな……。			ここは、各地から商人が集まる商取引の重要拠点。アム・アレーンを徘徊するプロネーシスは、大きな脅威だ。がめつい商人が、賞金をかけてでも退治したいほどにな……。			すべてを呑み込む穴							
しかし……いまだに奴が狩られていないことが、退治が容易じゃないってのを証明している。			しかし……いまだに奴が狩られていないことが、退治が容易じゃないってのを証明している。			すべてを呑み込む穴							
厄介なのは、奴が生み出す、すべてを吸い込む謎の「穴」だ。誰がつけたか、その名も「虚ろ」……。			厄介なのは、奴が生み出す、すべてを吸い込む謎の「穴」だ。誰がつけたか、その名も「虚ろ」……。			すべてを呑み込む穴							
目撃者の話によれば、プロネーシスが現れると、突如として空中にポッカリと「穴」が開くんだとか。そして、文字通り「すべて」を飲み込む……。			目撃者の話によれば、プロネーシスが現れると、突如として空中にポッカリと「穴」が開くんだとか。そして、文字通り「すべて」を飲み込む……。			すべてを呑み込む穴							
近くにいた者はもちろん、荷車を引いたアマロまで吸い込み、チリひとつ残らなかったって話だ。			近くにいた者はもちろん、荷車を引いたアマロまで吸い込み、チリひとつ残らなかったって話だ。			すべてを呑み込む穴							
ある魔道士が提唱した説によれば、次元の壁に穴を開けているとか、いないとか……。いずれにせよ、「虚ろ」に飲み込まれ助かった者はいない。			ある魔道士が提唱した説によれば、次元の壁に穴を開けているとか、いないとか……。いずれにせよ、「虚ろ」に飲み込まれ助かった者はいない。			すべてを呑み込む穴							
プロネーシスは、自分から積極的に人や集落を襲ったりはしないんだが、出くわした相手には、容赦なく「虚ろ」を放ってくる。			プロネーシスは、自分から積極的に人や集落を襲ったりはしないんだが、出くわした相手には、容赦なく「虚ろ」を放ってくる。			すべてを呑み込む穴							
立ち向かおうにも、近づいての攻撃は自殺行為。過去には、遠距離から矢を射掛けた者もいたが……矢を「虚ろ」に飲み込まれて、手出しできなかったとよ。			立ち向かおうにも、近づいての攻撃は自殺行為。過去には、遠距離から矢を射掛けた者もいたが……矢を「虚ろ」に飲み込まれて、手出しできなかったとよ。			すべてを呑み込む穴							
とまあ、手の打ちようがないってんで、プロネーシスに挑もうとする賞金稼ぎもいなくなってな。年々、賞金だけが釣り上がっている状態だったんだ。			とまあ、手の打ちようがないってんで、プロネーシスに挑もうとする賞金稼ぎもいなくなってな。年々、賞金だけが釣り上がっている状態だったんだ。			すべてを呑み込む穴							
しかし、逆に言えば、「虚ろ」の対抗策さえ見つければ、勝機があるということ。俺は、そう考え腕のいい魔道士を探していたのさ。			しかし、逆に言えば、「虚ろ」の対抗策さえ見つければ、勝機があるということ。俺は、そう考え腕のいい魔道士を探していたのさ。			すべてを呑み込む穴							
「虚ろ」が魔法的な現象である以上、その対策を練るには、高度な魔法学の知識が必要だからな。俺に足りない知識を補うため、その頭脳を貸してくれや！			「虚ろ」が魔法的な現象である以上、その対策を練るには、高度な魔法学の知識が必要だからな。俺に足りない知識を補うため、その頭脳を貸してくれや！			すべてを呑み込む穴							
専門的な部分を受け持ってもらう分、情報収集は任せてくれ。これでも、下調べはじっくりと行うタチなんだ。			専門的な部分を受け持ってもらう分、情報収集は任せてくれ。これでも、下調べはじっくりと行うタチなんだ。			すべてを呑み込む穴							
プロネーシスについて情報を仕入れておくから、「虚ろ」対策に取り組む段になったら手を貸してくれ。そんじゃ、これからよろしくな！			プロネーシスについて情報を仕入れておくから、「虚ろ」対策に取り組む段になったら手を貸してくれ。そんじゃ、これからよろしくな！			すべてを呑み込む穴							
モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
ケリッグは、テイナーに実戦経験を積ませたいらしい。修行のため、レイクランドの迷える羊飼いの森で「ケリッグ」と話そう。			ケリッグは、テイナーに実戦経験を積ませたいらしい。修行のため、レイクランドの迷える羊飼いの森で「ケリッグ」と話そう。			がんばれ、テイナー							
テイナーに、魔道士の先輩として手本をみせることになった。迷える羊飼いの森の「指定地点」で見渡し、現れた「獰猛なウルヴァリン」を討伐しよう。			テイナーに、魔道士の先輩として手本をみせることになった。迷える羊飼いの森の「指定地点」で見渡し、現れた「獰猛なウルヴァリン」を討伐しよう。			がんばれ、テイナー							
獰猛なウルヴァリンを討伐した。迷える羊飼いの森で「テイナー」と話そう。			獰猛なウルヴァリンを討伐した。迷える羊飼いの森で「テイナー」と話そう。			がんばれ、テイナー							
テイナーが魔物に苦戦しているのを見て、ケリッグが手を出してしまった。迷える羊飼いの森で「テイナー」と再度話そう。			テイナーが魔物に苦戦しているのを見て、ケリッグが手を出してしまった。迷える羊飼いの森で「テイナー」と再度話そう。			がんばれ、テイナー							
ふたたび冒険者がアドバイスすることで、テイナーは見事に魔物を討伐してみせた。迷える羊飼いの森で「テイナー」ともう一度話そう。			ふたたび冒険者がアドバイスすることで、テイナーは見事に魔物を討伐してみせた。迷える羊飼いの森で「テイナー」ともう一度話そう。			がんばれ、テイナー							
テイナーにとって、いい修行になったようだ。モルド・スークに戻り、「ケリッグ」と話そう。			テイナーにとって、いい修行になったようだ。モルド・スークに戻り、「ケリッグ」と話そう。			がんばれ、テイナー							
テイナーはさらなる修行にと走っていった。テイナーのため、アム・アレーンに生きる人々のため、そして報酬のため、プロネーシスを討伐できるよう、冒険者も修行を積んでおこう。※いずれかのソーサラー系DPSジョブのレベルが80以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			テイナーはさらなる修行にと走っていった。テイナーのため、アム・アレーンに生きる人々のため、そして報酬のため、プロネーシスを討伐できるよう、冒険者も修行を積んでおこう。※いずれかのソーサラー系DPSジョブのレベルが80以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			がんばれ、テイナー							
迷える羊飼いの森でケリッグと話す			迷える羊飼いの森でケリッグと話す			がんばれ、テイナー							
指定地点で見渡して、獰猛なウルヴァリンを討伐			指定地点で見渡して、獰猛なウルヴァリンを討伐			がんばれ、テイナー							
テイナーと話す			テイナーと話す			がんばれ、テイナー							
テイナーと再度話す			テイナーと再度話す			がんばれ、テイナー							
テイナーともう一度話す			テイナーともう一度話す			がんばれ、テイナー							
モルド・スークのケリッグと話す			モルド・スークのケリッグと話す			がんばれ、テイナー							
プロネーシスが、ナイルベルトの「心残り」に従って行動しているとすれば、ぼくだけは、対峙しても攻撃されないかもしれません。			プロネーシスが、ナイルベルトの「心残り」に従って行動しているとすれば、ぼくだけは、対峙しても攻撃されないかもしれません。			がんばれ、テイナー							
そう、ケリッグさんに言ってみたんですけど……。「罪喰いは、理性ではなく本能のままに動く虫のような存在だ、　温情を期待できる相手じゃない」って……。			そう、ケリッグさんに言ってみたんですけど……。「罪喰いは、理性ではなく本能のままに動く虫のような存在だ、　温情を期待できる相手じゃない」って……。			がんばれ、テイナー							
想像して、ゾッとしました……。ぼく、まだ考えが甘かったです。			想像して、ゾッとしました……。ぼく、まだ考えが甘かったです。			がんばれ、テイナー							
お前も腕を上げたようだな。テイナーの修行も順調にいっているぜ。「虚ろ」に吸い込まれる前に持っていた力を取り戻しつつある。			お前も腕を上げたようだな。テイナーの修行も順調にいっているぜ。「虚ろ」に吸い込まれる前に持っていた力を取り戻しつつある。			がんばれ、テイナー							
100年以上の時間の断絶も、本人にとっては、ついこの間だからな。勘所を取り戻すのも、比較的容易だったんだろう。			100年以上の時間の断絶も、本人にとっては、ついこの間だからな。勘所を取り戻すのも、比較的容易だったんだろう。			がんばれ、テイナー							
だが、それでも足りないものがある。テイナーが、これまで行ったことのないこと……ずばり、実戦経験だ。			だが、それでも足りないものがある。テイナーが、これまで行ったことのないこと……ずばり、実戦経験だ。			がんばれ、テイナー							
冷静に、かつ全力を尽くさないと、プロネーシスの「虚ろ」を封じることは不可能です。でも初の実戦で、それができるか不安で……。			冷静に、かつ全力を尽くさないと、プロネーシスの「虚ろ」を封じることは不可能です。でも初の実戦で、それができるか不安で……。			がんばれ、テイナー							
そこで、先んじて戦闘を経験してもらおうと思うんだ。テイナーの魔力を、さらに高める修行にもなるしな。			そこで、先んじて戦闘を経験してもらおうと思うんだ。テイナーの魔力を、さらに高める修行にもなるしな。			がんばれ、テイナー							
ただし……プロネーシスに見つからないよう、奴の出没地帯である、アム・アレーンでの修行は避けよう。			ただし……プロネーシスに見つからないよう、奴の出没地帯である、アム・アレーンでの修行は避けよう。			がんばれ、テイナー							
というわけで、遠方に出向いての修行となる。指導役として同行を頼めるか？			というわけで、遠方に出向いての修行となる。指導役として同行を頼めるか？			がんばれ、テイナー							
よし！　そうだな……レイクランドの魔物なら手頃だろう。俺たちは、安全なクリスタリウム側から向かうんで、「迷える羊飼いの森」で合流しようぜ。			よし！　そうだな……レイクランドの魔物なら手頃だろう。俺たちは、安全なクリスタリウム側から向かうんで、「迷える羊飼いの森」で合流しようぜ。			がんばれ、テイナー							
似合って、ますか……？			似合って、ますか……？			がんばれ、テイナー							
よし、それじゃあ、テイナーの修行を…………なんだよ、気になることでもあるってか？			よし、それじゃあ、テイナーの修行を…………なんだよ、気になることでもあるってか？			がんばれ、テイナー							
この魔道士装備、ケリッグさんが買ってくれました！力も湧いてくるし……すごい、かっこいいです。			この魔道士装備、ケリッグさんが買ってくれました！力も湧いてくるし……すごい、かっこいいです。			がんばれ、テイナー							
……テイナーの魔力を高めるための、必要経費だ。			……テイナーの魔力を高めるための、必要経費だ。			がんばれ、テイナー							
……ほれ、さっさと修行に移るぞ！俺にできることは、装備を買ってやることくらいだ。魔道士の先輩として、指導はお前が行ってくれ。			……ほれ、さっさと修行に移るぞ！俺にできることは、装備を買ってやることくらいだ。魔道士の先輩として、指導はお前が行ってくれ。			がんばれ、テイナー							
といっても、実戦経験のないテイナーに、いきなり敵に向かっていけというのは、ハードルが高いだろう。			といっても、実戦経験のないテイナーに、いきなり敵に向かっていけというのは、ハードルが高いだろう。			がんばれ、テイナー							
まずはお前が、この辺りの魔物……そうだな、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			まずはお前が、この辺りの魔物……そうだな、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			がんばれ、テイナー							
こいつが弓使いなら、俺も指導できたんだがな。お前が、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			こいつが弓使いなら、俺も指導できたんだがな。お前が、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			がんばれ、テイナー							
敵を目の前にしているときは、どう魔法を使えばいいか……しっかりと見て勉強します！			敵を目の前にしているときは、どう魔法を使えばいいか……しっかりと見て勉強します！			がんばれ、テイナー							
お見事！　テイナーにコツなんぞ伝えてやってくれ。			お見事！　テイナーにコツなんぞ伝えてやってくれ。			がんばれ、テイナー							
すごい、早業ですね！魔法の威力はもちろん、瞬時の使い分けも……。なにか秘訣はあるんですか？			すごい、早業ですね！魔法の威力はもちろん、瞬時の使い分けも……。なにか秘訣はあるんですか？			がんばれ、テイナー							
何と答える？			何と答える？			がんばれ、テイナー							
最強の破壊力をブチ込むこと！			最強の破壊力をブチ込むこと！			がんばれ、テイナー							
使う魔法の順序をしっかり組み立てること			使う魔法の順序をしっかり組み立てること			がんばれ、テイナー							
なるほど……よしっ！アドバイスを参考に、挑戦してみます！			なるほど……よしっ！アドバイスを参考に、挑戦してみます！			がんばれ、テイナー							
くっ……！魔法が、うまく……どこを狙えば……！？			くっ……！魔法が、うまく……どこを狙えば……！？			がんばれ、テイナー							
ああっ、そうじゃない！威力はすごいんだが……判断が遅い……！			ああっ、そうじゃない！威力はすごいんだが……判断が遅い……！			がんばれ、テイナー							
コイツ、強い……う、うわあ！			コイツ、強い……う、うわあ！			がんばれ、テイナー							
くそっ……辛抱たまらん！			くそっ……辛抱たまらん！			がんばれ、テイナー							
すまん……体が、勝手に……。			すまん……体が、勝手に……。			がんばれ、テイナー							
はぁはぁ……。修行なのに助けてもらって、すみません……！			はぁはぁ……。修行なのに助けてもらって、すみません……！			がんばれ、テイナー							
いや、俺の方こそ……思わず手を出しちまった。すまん……。			いや、俺の方こそ……思わず手を出しちまった。すまん……。			がんばれ、テイナー							
やっぱり、見るのとやるのじゃ大違いですね。自分に向かってくる敵を前に、慌ててしまって……。			やっぱり、見るのとやるのじゃ大違いですね。自分に向かってくる敵を前に、慌ててしまって……。			がんばれ、テイナー							
そうだな……魔法の威力は十分に見えたぞ。後は、うまく命中させるだけなんだが……。			そうだな……魔法の威力は十分に見えたぞ。後は、うまく命中させるだけなんだが……。			がんばれ、テイナー							
Forenameさんから見て、どうでした？ぼくの戦い方は……。			Forenameさんから見て、どうでした？ぼくの戦い方は……。			がんばれ、テイナー							
テイナーに何とアドバイスする？			テイナーに何とアドバイスする？			がんばれ、テイナー							
最初は、そんなものだ			最初は、そんなものだ			がんばれ、テイナー							
自信を持てば、大丈夫！			自信を持てば、大丈夫！			がんばれ、テイナー							
ありがとうございます……。一度の失敗くらいで、へこたれていられませんものね。もう一回、挑戦してみます！			ありがとうございます……。一度の失敗くらいで、へこたれていられませんものね。もう一回、挑戦してみます！			がんばれ、テイナー							
我慢……我慢だぞ、俺。テイナーなら、大丈夫……！			我慢……我慢だぞ、俺。テイナーなら、大丈夫……！			がんばれ、テイナー							
やった……やりました、ぼく！			やった……やりました、ぼく！			がんばれ、テイナー							
おお、見事に倒せたな！初勝利……しっかり見届けたぜ！			おお、見事に倒せたな！初勝利……しっかり見届けたぜ！			がんばれ、テイナー							
えへへ……嬉しい。Forenameさんのアドバイスのおかげです。			えへへ……嬉しい。Forenameさんのアドバイスのおかげです。			がんばれ、テイナー							
よし、この調子で、もう何戦かこなして、戦闘の感覚を染み込ませるぞ！			よし、この調子で、もう何戦かこなして、戦闘の感覚を染み込ませるぞ！			がんばれ、テイナー							
だいぶ落ち着いて戦えるようになってきたな。これなら、本番も大丈夫だろう！			だいぶ落ち着いて戦えるようになってきたな。これなら、本番も大丈夫だろう！			がんばれ、テイナー							
……ふぅ、たくさん苦戦しました。でも、ぼくだって立ち向かえるんだとわかって、自信がつきました……！			……ふぅ、たくさん苦戦しました。でも、ぼくだって立ち向かえるんだとわかって、自信がつきました……！			がんばれ、テイナー							
ああ、最後の方なんか、俺から見ても見事な戦いだった。そいじゃ、「モルド・スーク」へ戻ろうか。			ああ、最後の方なんか、俺から見ても見事な戦いだった。そいじゃ、「モルド・スーク」へ戻ろうか。			がんばれ、テイナー							
修行って、すごいですね！実力も自信もつくし、いつまでもやってられそうです。			修行って、すごいですね！実力も自信もつくし、いつまでもやってられそうです。			がんばれ、テイナー							
おかげで、テイナーの修行もはかどった。いい師匠ぶりだったぜ！　……邪魔した俺と違ってな。			おかげで、テイナーの修行もはかどった。いい師匠ぶりだったぜ！　……邪魔した俺と違ってな。			がんばれ、テイナー							
まあ、戦闘における魔道士の立ち振る舞いは、お前が伝えてくれた。ここからは、教わったことを完璧に発揮できるよう、俺がテイナーの指導を引き継ごう。			まあ、戦闘における魔道士の立ち振る舞いは、お前が伝えてくれた。ここからは、教わったことを完璧に発揮できるよう、俺がテイナーの指導を引き継ごう。			がんばれ、テイナー							
ふたりの足手まといにならないよう、がんばります！ぼく、先に向こうで、修行の内容を復習していますね。			ふたりの足手まといにならないよう、がんばります！ぼく、先に向こうで、修行の内容を復習していますね。			がんばれ、テイナー							
あんなに走っちゃって、まあ……。あの熱心さは、生来の性格かね。			あんなに走っちゃって、まあ……。あの熱心さは、生来の性格かね。			がんばれ、テイナー							
……俺たちのため、ナイルベルトのため、あいつは、プロネーシスを倒そうとしている。			……俺たちのため、ナイルベルトのため、あいつは、プロネーシスを倒そうとしている。			がんばれ、テイナー							
でも、プロネーシス討伐は、テイナーが過去を清算し、未来へと目を向けるためにも、必要なことだと思うんだ。			でも、プロネーシス討伐は、テイナーが過去を清算し、未来へと目を向けるためにも、必要なことだと思うんだ。			がんばれ、テイナー							
俺たちも、アム・アレーンに生きる奴らのため、テイナーのため……なんとしてもプロネーシスを倒そうぜ。			俺たちも、アム・アレーンに生きる奴らのため、テイナーのため……なんとしてもプロネーシスを倒そうぜ。			がんばれ、テイナー							
……おっと、ひとつ忘れてた。それと、俺とお前が手にする賞金のため……だな！これだけ背負っちまったんだ、俺らも万全を期しておこうぜ。			……おっと、ひとつ忘れてた。それと、俺とお前が手にする賞金のため……だな！これだけ背負っちまったんだ、俺らも万全を期しておこうぜ。			がんばれ、テイナー							
モルド・スークのケリッグは、冒険者に伝えたい情報があるようだ。			モルド・スークのケリッグは、冒険者に伝えたい情報があるようだ。			「虚ろ」からの呼び声							
ケリッグは機械人形をけしかけて、「虚ろ」の危険範囲を測る実験を行いたいようだ。機械人形を動かすために必要な素材を集めるため、アム・アレーンのアンバーフィールドにある「指定地点」で見渡して、現れた「サンドスキン・シビルス」を倒し「シビルスの腱」を入手しよう。			ケリッグは機械人形をけしかけて、「虚ろ」の危険範囲を測る実験を行いたいようだ。機械人形を動かすために必要な素材を集めるため、アム・アレーンのアンバーフィールドにある「指定地点」で見渡して、現れた「サンドスキン・シビルス」を倒し「シビルスの腱」を入手しよう。			「虚ろ」からの呼び声							
シビルスの腱を入手した。モルド・スークの「ケリッグ」に「シビルスの腱」を渡そう。			シビルスの腱を入手した。モルド・スークの「ケリッグ」に「シビルスの腱」を渡そう。			「虚ろ」からの呼び声							
ケリッグは、機械人形を修理してから向かうという。目撃情報があったアンバーフィールドの「指定地点」で待機しよう。			ケリッグは、機械人形を修理してから向かうという。目撃情報があったアンバーフィールドの「指定地点」で待機しよう。			「虚ろ」からの呼び声							
プロネーシスの生み出した「虚ろ」から、謎の少年が現れた。モルド・スークの「ケリッグ」と話そう。			プロネーシスの生み出した「虚ろ」から、謎の少年が現れた。モルド・スークの「ケリッグ」と話そう。			「虚ろ」からの呼び声							
ケリッグは、少年が目覚めたら、何故「虚ろ」の中で生きていられたのかを聞きたいようだ。少年が目覚めた頃に、また訪ねよう。※いずれかのソーサラー系DPSジョブのレベルが74以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			ケリッグは、少年が目覚めたら、何故「虚ろ」の中で生きていられたのかを聞きたいようだ。少年が目覚めた頃に、また訪ねよう。※いずれかのソーサラー系DPSジョブのレベルが74以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			「虚ろ」からの呼び声							
指定地点で見渡して、サンドスキン・シビルスからシビルスの腱を入手			指定地点で見渡して、サンドスキン・シビルスからシビルスの腱を入手			「虚ろ」からの呼び声							
ケリッグにシビルスの腱を渡す			ケリッグにシビルスの腱を渡す			「虚ろ」からの呼び声							
指定地点で待機			指定地点で待機			「虚ろ」からの呼び声							
ケリッグと話す			ケリッグと話す			「虚ろ」からの呼び声							
おお、いいタイミングで現れたな！先ほど、プロネーシスの目撃情報が舞い込んできたんだよ。			おお、いいタイミングで現れたな！先ほど、プロネーシスの目撃情報が舞い込んできたんだよ。			「虚ろ」からの呼び声							
とはいえ今回は、奴と戦うつもりはない。尾行して、「虚ろ」を生み出す様子を確認したいんだ。			とはいえ今回は、奴と戦うつもりはない。尾行して、「虚ろ」を生み出す様子を確認したいんだ。			「虚ろ」からの呼び声							
その上で、予めクリスタリウムの商人から購入しておいた、古ぼけた機械人形を「虚ろ」に近づけ、吸引させる……。つまり、危険範囲を測る実験ってわけさ。			その上で、予めクリスタリウムの商人から購入しておいた、古ぼけた機械人形を「虚ろ」に近づけ、吸引させる……。つまり、危険範囲を測る実験ってわけさ。			「虚ろ」からの呼び声							
だが、問題があってな……。かなりの骨董品だったもんで、まだ修理が終わっていないんだ。急ぎの状況だ、すまんが必要な素材集めを手伝ってくれるか？			だが、問題があってな……。かなりの骨董品だったもんで、まだ修理が終わっていないんだ。急ぎの状況だ、すまんが必要な素材集めを手伝ってくれるか？			「虚ろ」からの呼び声							
助かるぜ！必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。			助かるぜ！必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。			「虚ろ」からの呼び声							
必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。俺は、ほかに必要な品を探しておく。			必要なのは、「サンドスキン・シビルス」の腱だ。東の方角にいるはずだから、倒して調達してきてくれ。俺は、ほかに必要な品を探しておく。			「虚ろ」からの呼び声							
まったく……あの流れの商人、吹っかけてきやがって。まあ、こっちは、なんとか歯車になりそうなもんを調達できた。そっちの首尾はどうだ？			まったく……あの流れの商人、吹っかけてきやがって。まあ、こっちは、なんとか歯車になりそうなもんを調達できた。そっちの首尾はどうだ？			「虚ろ」からの呼び声							
おお、伸縮性もあるし、ばっちりだ！こいつなら、切れちまった駆動ベルトの代用になるだろう。俺は、さっそく修理に取り掛からせてもらうぜ！			おお、伸縮性もあるし、ばっちりだ！こいつなら、切れちまった駆動ベルトの代用になるだろう。俺は、さっそく修理に取り掛からせてもらうぜ！			「虚ろ」からの呼び声							
お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			「虚ろ」からの呼び声							
お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			お前は、先にプロネーシスが目撃された現場、集落の南東側に行って、身を隠せそうな場所を探しておいてくれ。そこで奴を待ち伏せしようじゃないか。			「虚ろ」からの呼び声							
よう、待たせたな！このとおり、機械人形の修理も済んだ。プロネーシスの姿を見つけるまで、交代で見張りといこう。			よう、待たせたな！このとおり、機械人形の修理も済んだ。プロネーシスの姿を見つけるまで、交代で見張りといこう。			「虚ろ」からの呼び声							
おい……こっちへ来い！プロネーシスが現れたぞ……！			おい……こっちへ来い！プロネーシスが現れたぞ……！			「虚ろ」からの呼び声							
機械人形は、もう向かわせている。さあ、あっちだ、いまに「虚ろ」を生み出すぜ……！			機械人形は、もう向かわせている。さあ、あっちだ、いまに「虚ろ」を生み出すぜ……！			「虚ろ」からの呼び声							
いま機械人形をけしかけても、「虚ろ」に近づく前に、破壊されちまうかもしれん……。確実に吸い込ませられるよう、奴が立ち去るのを待とう。			いま機械人形をけしかけても、「虚ろ」に近づく前に、破壊されちまうかもしれん……。確実に吸い込ませられるよう、奴が立ち去るのを待とう。			「虚ろ」からの呼び声							
……よし、行ったな。「虚ろ」へ接近するよう、機械人形に指示を出すぞ！			……よし、行ったな。「虚ろ」へ接近するよう、機械人形に指示を出すぞ！			「虚ろ」からの呼び声							
跡形もなく……ってか。あっという間に消えちまったな。なるほど、あそこまで近づくとヤラレちまうのか。			跡形もなく……ってか。あっという間に消えちまったな。なるほど、あそこまで近づくとヤラレちまうのか。			「虚ろ」からの呼び声							
よーし、よし……「虚ろ」の効果範囲は掴めた。危険だが、俺たちも少し近づいてみよう。できるだけ、多くの情報を集めておきたいからな。			よーし、よし……「虚ろ」の効果範囲は掴めた。危険だが、俺たちも少し近づいてみよう。できるだけ、多くの情報を集めておきたいからな。			「虚ろ」からの呼び声							
風が渦を巻いて……「内側」へ吸い込まれていってるんだな。あの真っ暗な穴の中に、自分が放り込まれたらと思うと、ゾッとするぜ。			風が渦を巻いて……「内側」へ吸い込まれていってるんだな。あの真っ暗な穴の中に、自分が放り込まれたらと思うと、ゾッとするぜ。			「虚ろ」からの呼び声							
(-少年らしき声-)もどり、た……ここ、は……暗い……！			(-少年らしき声-)もどり、た……ここ、は……暗い……！			「虚ろ」からの呼び声							
ん……どうした？			ん……どうした？			「虚ろ」からの呼び声							
なっ、声が聞こえただと！？まさか、穴の中に人がいるってのか？			なっ、声が聞こえただと！？まさか、穴の中に人がいるってのか？			「虚ろ」からの呼び声							
(-少年らしき声-)だれ、も……いないの？……どっち……進めば、ここか……出られ……。			(-少年らしき声-)だれ、も……いないの？……どっち……進めば、ここか……出られ……。			「虚ろ」からの呼び声							
声に対して、何と答える？			声に対して、何と答える？			「虚ろ」からの呼び声							
こっちだ！			こっちだ！			「虚ろ」からの呼び声							
生きているのか……？			生きているのか……？			「虚ろ」からの呼び声							
(-少年らしき声-)……いまの声！　そっち……いるんだね……。おね、がい……助けて！			(-少年らしき声-)……いまの声！　そっち……いるんだね……。おね、がい……助けて！			「虚ろ」からの呼び声							
(-少年らしき声-)道が、なく……どっちに進め……いい、か……。ここには……地脈も風脈も……せめて、エーテルの流れ……辿れれば……！			(-少年らしき声-)道が、なく……どっちに進め……いい、か……。ここには……地脈も風脈も……せめて、エーテルの流れ……辿れれば……！			「虚ろ」からの呼び声							
おい……声とやらは、何と言っているんだ？			おい……声とやらは、何と言っているんだ？			「虚ろ」からの呼び声							
エーテルの流れが見つからない、だって……？まるで、エーテライトを失った漂流者みたいじゃないか。			エーテルの流れが見つからない、だって……？まるで、エーテライトを失った漂流者みたいじゃないか。			「虚ろ」からの呼び声							
