玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
これからは、もう途中で投げ出したりはしないよ。			これからは、もう途中で投げ出したりはしないよ。			クロバナ、雑草むしりに挑む！							
おや、旅の方にクロバナとは、これまた奇妙な組み合わせだが……いったい何の用かな？			おや、旅の方にクロバナとは、これまた奇妙な組み合わせだが……いったい何の用かな？			クロバナ、雑草むしりに挑む！							
ほう、クロバナが雑草むしりを手伝ってくれると……。そいつは、ありがたい。			ほう、クロバナが雑草むしりを手伝ってくれると……。そいつは、ありがたい。			クロバナ、雑草むしりに挑む！							
ここらの水田では、油断していると、あっという間に「ナマイ」が茂ってしまうからね。			ここらの水田では、油断していると、あっという間に「ナマイ」が茂ってしまうからね。			クロバナ、雑草むしりに挑む！							
稲を傷つけないように、足下に注意しながら、ナマイだけを、引き抜いていってくれよ。			稲を傷つけないように、足下に注意しながら、ナマイだけを、引き抜いていってくれよ。			クロバナ、雑草むしりに挑む！							
……そうだ！せっかくだから、旅の方もナマイ村に来た記念にどうです？地味な作業も、仲間とやると楽しいものですよ！			……そうだ！せっかくだから、旅の方もナマイ村に来た記念にどうです？地味な作業も、仲間とやると楽しいものですよ！			クロバナ、雑草むしりに挑む！							
何と答える？			何と答える？			クロバナ、雑草むしりに挑む！							
すでに経験済みだから、任せてよ！			すでに経験済みだから、任せてよ！			クロバナ、雑草むしりに挑む！							
根っこから引き抜くのがコツだったはず……！			根っこから引き抜くのがコツだったはず……！			クロバナ、雑草むしりに挑む！							
なんと、もう別の田でやったことがあったんですか！？それなら話は早い、ぜひ腕前を見せてくださいよ！			なんと、もう別の田でやったことがあったんですか！？それなら話は早い、ぜひ腕前を見せてくださいよ！			クロバナ、雑草むしりに挑む！							
そうそう、よくご存知で！上の方だけ引きちぎるんじゃなくて、ちゃんと根の方から抜いてくださいね！			そうそう、よくご存知で！上の方だけ引きちぎるんじゃなくて、ちゃんと根の方から抜いてくださいね！			クロバナ、雑草むしりに挑む！							
それじゃあ、さっそくやってみるとしよう！この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			それじゃあ、さっそくやってみるとしよう！この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			クロバナ、雑草むしりに挑む！							
この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			この坂を登っていった上にある水田で、青々としたナマイを抜いてくださいね！			クロバナ、雑草むしりに挑む！							
なんだか、違う臭いがする気がするな……気のせいか……？			なんだか、違う臭いがする気がするな……気のせいか……？			クロバナ、雑草むしりに挑む！							
どうです？雑草むしりは、終わりましたか？			どうです？雑草むしりは、終わりましたか？			クロバナ、雑草むしりに挑む！							
どれどれ……おぉ、旅の方もいい感じですね！上の方だけ千切っちゃうんじゃなくて、ちゃんと根っこから抜けていて、上出来ですよ！			どれどれ……おぉ、旅の方もいい感じですね！上の方だけ千切っちゃうんじゃなくて、ちゃんと根っこから抜けていて、上出来ですよ！			クロバナ、雑草むしりに挑む！							
俺も、抜いた雑草を見てもらったけど、大丈夫みたいだよ。これなら、ちゃんとやっていけそうだ。			俺も、抜いた雑草を見てもらったけど、大丈夫みたいだよ。これなら、ちゃんとやっていけそうだ。			クロバナ、雑草むしりに挑む！							
……ところで、雑草を抜いていて気になったんだけれど、ここの田は、ほかの田とは少し違った臭いがしないかい？			……ところで、雑草を抜いていて気になったんだけれど、ここの田は、ほかの田とは少し違った臭いがしないかい？			クロバナ、雑草むしりに挑む！							
違う臭いがする、だって！？そんなことはないはずだよ、手入れだってこまめにしてるし！			違う臭いがする、だって！？そんなことはないはずだよ、手入れだってこまめにしてるし！			クロバナ、雑草むしりに挑む！							
せっかく作業の仕方とかを教えてあげたのに、我が子、同然の田んぼを、よりによって臭いだなんて！			せっかく作業の仕方とかを教えてあげたのに、我が子、同然の田んぼを、よりによって臭いだなんて！			クロバナ、雑草むしりに挑む！							
さては、地味な仕事を押しつけた腹いせだね？作業が気にくわないからといって、侮辱するなんて……雑草むしりが終わったのなら、もう帰ってくれ！			さては、地味な仕事を押しつけた腹いせだね？作業が気にくわないからといって、侮辱するなんて……雑草むしりが終わったのなら、もう帰ってくれ！			クロバナ、雑草むしりに挑む！							
ご、ごめん！言いがかりをつけたつもりではなかったんだけど……。			ご、ごめん！言いがかりをつけたつもりではなかったんだけど……。			クロバナ、雑草むしりに挑む！							
……いろいろ教えてくれてありがとう、ハヤブサさん。失礼するよ。それじゃあ、旅の方、「フクド」さんのところに戻ろうか。			……いろいろ教えてくれてありがとう、ハヤブサさん。失礼するよ。それじゃあ、旅の方、「フクド」さんのところに戻ろうか。			クロバナ、雑草むしりに挑む！							
まったく、違う臭いがするだなんて……！そんなことはないはずだよ、手入れだってこまめにしてるし！			まったく、違う臭いがするだなんて……！そんなことはないはずだよ、手入れだってこまめにしてるし！			クロバナ、雑草むしりに挑む！							
言いがかりをつけたつもりではなかったんだ。たしかに、少し違った臭いがしたんだよ……。			言いがかりをつけたつもりではなかったんだ。たしかに、少し違った臭いがしたんだよ……。			クロバナ、雑草むしりに挑む！							
雑草抜きはどうだった？続けていけそうな仕事だったかい？			雑草抜きはどうだった？続けていけそうな仕事だったかい？			クロバナ、雑草むしりに挑む！							
それが……。			それが……。			クロバナ、雑草むしりに挑む！							
なんだって！？せっかく、続けていけそうな仕事だったのに、ハヤブサのやつを怒らせてしまっただって？			なんだって！？せっかく、続けていけそうな仕事だったのに、ハヤブサのやつを怒らせてしまっただって？			クロバナ、雑草むしりに挑む！							
なんて勿体無いことを……。どうして、そんなことを口走ったんだい？			なんて勿体無いことを……。どうして、そんなことを口走ったんだい？			クロバナ、雑草むしりに挑む！							
怒らせる気はなかったんだよ。ただ、たしかにハヤブサさんの田からは、俺が知ってる、ほかの田の臭いとは違う臭いがしたんだ、それでつい……。			怒らせる気はなかったんだよ。ただ、たしかにハヤブサさんの田からは、俺が知ってる、ほかの田の臭いとは違う臭いがしたんだ、それでつい……。			クロバナ、雑草むしりに挑む！							
ううむ……まぁ、ハヤブサも悪いやつじゃない。田に愛情を注いでいるからこそ、怒っただけだろう。私からも詫びを入れておくとしようか……。			ううむ……まぁ、ハヤブサも悪いやつじゃない。田に愛情を注いでいるからこそ、怒っただけだろう。私からも詫びを入れておくとしようか……。			クロバナ、雑草むしりに挑む！							
ユヅカ代官屋敷のギョクは、ヒトに頼みたいことがあるようだ。			ユヅカ代官屋敷のギョクは、ヒトに頼みたいことがあるようだ。			お茶は飲んでも飲まれるな							
酔っ払ったナマズオに濁った泥水を使う			酔っ払ったナマズオに濁った泥水を使う			お茶は飲んでも飲まれるな							
ギョクに報告			ギョクに報告			お茶は飲んでも飲まれるな							
おめぇさん、よう来たっぺなぁ。この屋敷には、ヒト好きのナマズオが集まってるから、お客さんは、いつでも大歓迎っぺよ。			おめぇさん、よう来たっぺなぁ。この屋敷には、ヒト好きのナマズオが集まってるから、お客さんは、いつでも大歓迎っぺよ。			お茶は飲んでも飲まれるな							
それに、ちょうどいいところに、いらしてくれたっぺよ。実は、ヒトに頼みたいことがあるんだっぺな。			それに、ちょうどいいところに、いらしてくれたっぺよ。実は、ヒトに頼みたいことがあるんだっぺな。			お茶は飲んでも飲まれるな							
この屋敷はなぁ、むかし、お代官様が住んでいらして、うちらはその方の、家来ってやつだったんだっぺよ……。家来つっても、友だちみたいによくしてくれてたっぺな。			この屋敷はなぁ、むかし、お代官様が住んでいらして、うちらはその方の、家来ってやつだったんだっぺよ……。家来つっても、友だちみたいによくしてくれてたっぺな。			お茶は飲んでも飲まれるな							
そんなもんで、ヒトのやることに興味津々なナマズオもいて、真似たりするやつも多いんだけど、ちょいと困ったことが起きてるんだっぺよ。			そんなもんで、ヒトのやることに興味津々なナマズオもいて、真似たりするやつも多いんだけど、ちょいと困ったことが起きてるんだっぺよ。			お茶は飲んでも飲まれるな							
お茶を飲むことに、ハマっちまった奴らがいるっぺな。ヒトは平気でも、ナマズオには刺激が強いのか、お茶を飲むと酔っ払って、ぺーろぺろになっちまうっぺよ。			お茶を飲むことに、ハマっちまった奴らがいるっぺな。ヒトは平気でも、ナマズオには刺激が強いのか、お茶を飲むと酔っ払って、ぺーろぺろになっちまうっぺよ。			お茶は飲んでも飲まれるな							
今も3匹ばかし、漁に行ってからというもの、帰ってこないやつらがいるんだっぺな。きっと隠れて、お茶を飲んでるに違いないっぺよ！			今も3匹ばかし、漁に行ってからというもの、帰ってこないやつらがいるんだっぺな。きっと隠れて、お茶を飲んでるに違いないっぺよ！			お茶は飲んでも飲まれるな							
見つけたら、この「濁った泥水」をブッかけてくれんか？うちらは匂いだけでも酔っ払っちまうから、ヒトに頼みたいんだっぺよ。			見つけたら、この「濁った泥水」をブッかけてくれんか？うちらは匂いだけでも酔っ払っちまうから、ヒトに頼みたいんだっぺよ。			お茶は飲んでも飲まれるな							
お茶に酔った3匹が、どこかにいるはずっぺな。この「濁った泥水」をブッかけて、目を覚ましてやってくれっぺよ。			お茶に酔った3匹が、どこかにいるはずっぺな。この「濁った泥水」をブッかけて、目を覚ましてやってくれっぺよ。			お茶は飲んでも飲まれるな							
ぺーろぺろ！いい気分だっぺな～。			ぺーろぺろ！いい気分だっぺな～。			お茶は飲んでも飲まれるな							
つ、冷たいっぺ！しかも、この匂いは……なんだか、シャキっとしてきたっぺよ。			つ、冷たいっぺ！しかも、この匂いは……なんだか、シャキっとしてきたっぺよ。			お茶は飲んでも飲まれるな							
でも、もうちょっどだけ……ゆっくりしていくっぺな。いきなりは、立ち上がれんっぺよ……。			でも、もうちょっどだけ……ゆっくりしていくっぺな。いきなりは、立ち上がれんっぺよ……。			お茶は飲んでも飲まれるな							
もうちょっどだけ……ゆっくりしていくっぺな。いきなりは、立ち上がれんっぺよ……。			もうちょっどだけ……ゆっくりしていくっぺな。いきなりは、立ち上がれんっぺよ……。			お茶は飲んでも飲まれるな							
ぺーろぺろ！もう、飲めないっぺ……。			ぺーろぺろ！もう、飲めないっぺ……。			お茶は飲んでも飲まれるな							
こ、この匂いは……。なんだか、泥ん中にいたときの記憶が、蘇るっぺよ。			こ、この匂いは……。なんだか、泥ん中にいたときの記憶が、蘇るっぺよ。			お茶は飲んでも飲まれるな							
あぁ……泥の中は、ヌクヌクで気持ちいいっぺなぁ。もう一眠り、させてくれっぺ……。			あぁ……泥の中は、ヌクヌクで気持ちいいっぺなぁ。もう一眠り、させてくれっぺ……。			お茶は飲んでも飲まれるな							
あぁ……泥の中は、ヌクヌクで気持ちいいっぺなぁ。もう一眠り、させてくれっぺ……。			あぁ……泥の中は、ヌクヌクで気持ちいいっぺなぁ。もう一眠り、させてくれっぺ……。			お茶は飲んでも飲まれるな							
ぺーろぺろ！なんだか……気持ち悪いっぺ……。			ぺーろぺろ！なんだか……気持ち悪いっぺ……。			お茶は飲んでも飲まれるな							
うわっぷ！泥が口の中に入ったっぺよ！			うわっぷ！泥が口の中に入ったっぺよ！			お茶は飲んでも飲まれるな							
目は覚めたけど、気持ちは悪いままだっぺな。もうちょっど休んでから……戻るっぺよ。			目は覚めたけど、気持ちは悪いままだっぺな。もうちょっど休んでから……戻るっぺよ。			お茶は飲んでも飲まれるな							
目は覚めたけど、気持ちは悪いままだっぺな。もうちょっど休んでから……戻るっぺよ。			目は覚めたけど、気持ちは悪いままだっぺな。もうちょっど休んでから……戻るっぺよ。			お茶は飲んでも飲まれるな							
助かったっぺな。しばらくすりゃ、酔いも醒めて、みんな戻ってくるっぺよ。			助かったっぺな。しばらくすりゃ、酔いも醒めて、みんな戻ってくるっぺよ。			お茶は飲んでも飲まれるな							
しっかし、お茶ってのは、魅惑の飲み物っぺなぁ。痺れるような喉越しの後、力が抜けていって、思わず、ぺーろぺろな気分になるっぺよ。			しっかし、お茶ってのは、魅惑の飲み物っぺなぁ。痺れるような喉越しの後、力が抜けていって、思わず、ぺーろぺろな気分になるっぺよ。			お茶は飲んでも飲まれるな							
仕事に手が付かなくなるまで飲むもんだから、禁止にしてみたっぺど、かえって逆効果っぺな……。			仕事に手が付かなくなるまで飲むもんだから、禁止にしてみたっぺど、かえって逆効果っぺな……。			お茶は飲んでも飲まれるな							
……そういえば、お代官様も、酒を飲んだヒトと、そっくりだっちゅうて、笑っとったぺな。そう言ったときの優しい顔を、ふと思い出したっぺよ……。			……そういえば、お代官様も、酒を飲んだヒトと、そっくりだっちゅうて、笑っとったぺな。そう言ったときの優しい顔を、ふと思い出したっぺよ……。			お茶は飲んでも飲まれるな							
おめぇさん、ありがとっぺな。手伝ってもらったついでに、お代官様のことも思い出せて、楽しかったっぺよ！			おめぇさん、ありがとっぺな。手伝ってもらったついでに、お代官様のことも思い出せて、楽しかったっぺよ！			お茶は飲んでも飲まれるな							
ナマイ村のクロバナは、冒険者に相談したいことがあるようだ。			ナマイ村のクロバナは、冒険者に相談したいことがあるようだ。			スゴい仲介人							
クロバナと話した。なんでも、次に魔物が現れたときのために、手頃な武器を売ってくれる商人を探しているのだという。ユヅカ代官屋敷にいるギョリンのことを紹介すると、仲介してほしいと言うクロバナ。クロバナたちナマイ村の人たちを仲介するため、無二江流域の「ギョリン」と話そう。			クロバナと話した。なんでも、次に魔物が現れたときのために、手頃な武器を売ってくれる商人を探しているのだという。ユヅカ代官屋敷にいるギョリンのことを紹介すると、仲介してほしいと言うクロバナ。クロバナたちナマイ村の人たちを仲介するため、無二江流域の「ギョリン」と話そう。			スゴい仲介人							
ギョリンと話した。ギョリンの持っている武器を気に入ったクロバナだが、10年暮らせるくらいのお金をほしいと話すギョリンに、出せるわけがないと語るクロバナ。そんなところへ、村に魔物が現れて田んぼを踏み荒らしているとの報せが届く。交渉を後回しにして、武器を貸してもらうクロバナ。無二江流域にいる「ギョリン」と話そう。			ギョリンと話した。ギョリンの持っている武器を気に入ったクロバナだが、10年暮らせるくらいのお金をほしいと話すギョリンに、出せるわけがないと語るクロバナ。そんなところへ、村に魔物が現れて田んぼを踏み荒らしているとの報せが届く。交渉を後回しにして、武器を貸してもらうクロバナ。無二江流域にいる「ギョリン」と話そう。			スゴい仲介人							
ギョリンと話した。お代の交渉はしっかりやらせてもらうと語りながら、ナマイ村へ向かったギョリン。魔物退治に向かった、ナマイ村の「ハヤブサ」と話そう。			ギョリンと話した。お代の交渉はしっかりやらせてもらうと語りながら、ナマイ村へ向かったギョリン。魔物退治に向かった、ナマイ村の「ハヤブサ」と話そう。			スゴい仲介人							
ハヤブサと話した。彼いわく、クロバナが銃を用いて、物凄い腕で魔物をすべて撃退してしまったという。ギョリンもやってきて、お代交渉を始めることとなった。ナマイ村の「ギョリン」と話そう。			ハヤブサと話した。彼いわく、クロバナが銃を用いて、物凄い腕で魔物をすべて撃退してしまったという。ギョリンもやってきて、お代交渉を始めることとなった。ナマイ村の「ギョリン」と話そう。			スゴい仲介人							
ギョリンと話した。お代について悩むクロバナたちだったが、村に置いてあった柿に惹かれるギョリン。柿と銃を交換してくれればいいと語るギョリンに、驚きながらも、その提案を受け入れるクロバナたちナマイ村の人々。こうして、ナマイ村の人々とギョリンの、互いに喜ばしい形となる交渉が成立したのであった。			ギョリンと話した。お代について悩むクロバナたちだったが、村に置いてあった柿に惹かれるギョリン。柿と銃を交換してくれればいいと語るギョリンに、驚きながらも、その提案を受け入れるクロバナたちナマイ村の人々。こうして、ナマイ村の人々とギョリンの、互いに喜ばしい形となる交渉が成立したのであった。			スゴい仲介人							
ギョリンと話す			ギョリンと話す			スゴい仲介人							
ギョリンと再度話す			ギョリンと再度話す			スゴい仲介人							
ハヤブサと話す			ハヤブサと話す			スゴい仲介人							
ギョリンと話す			ギョリンと話す			スゴい仲介人							
おや、世話になった旅の方じゃないか。旅の調子はどうだい？			おや、世話になった旅の方じゃないか。旅の調子はどうだい？			スゴい仲介人							
俺の方は、あれからというもの、草むしりの手伝いをしながら、田んぼに異変がないか、見回りをさせてもらっているよ。おかげで村のみんなとの関係も、少しずつよくなっててね。			俺の方は、あれからというもの、草むしりの手伝いをしながら、田んぼに異変がないか、見回りをさせてもらっているよ。おかげで村のみんなとの関係も、少しずつよくなっててね。			スゴい仲介人							
ただ最近、ある問題に頭を悩ませているんだ……。この前は旅の方が、魔物を倒してくれたから、よかったけど、次に同じことがあったら、どうなるんだろうって……。			ただ最近、ある問題に頭を悩ませているんだ……。この前は旅の方が、魔物を倒してくれたから、よかったけど、次に同じことがあったら、どうなるんだろうって……。			スゴい仲介人							
村人の中には、槍働きの経験がある者もいるにはいる。ただ、ちゃんとした武器もなく、農具で戦うには限度があるだろう？どこかに、手頃な武器を売ってくれる商人を知らないかい？			村人の中には、槍働きの経験がある者もいるにはいる。ただ、ちゃんとした武器もなく、農具で戦うには限度があるだろう？どこかに、手頃な武器を売ってくれる商人を知らないかい？			スゴい仲介人							
えっ、帝国の武器を手に入れたナマズオがいて、買い手を探しているはずだって？品と値段にもよるけど、見てみる価値はありそうだ……。			えっ、帝国の武器を手に入れたナマズオがいて、買い手を探しているはずだって？品と値段にもよるけど、見てみる価値はありそうだ……。			スゴい仲介人							
旅の方、よかったら仲介してくれないかい？ハヤブサさんを連れて、向かうことにするから、ユヅカ代官屋敷の前の倉とやらで、件の商人と待っていてよ！			旅の方、よかったら仲介してくれないかい？ハヤブサさんを連れて、向かうことにするから、ユヅカ代官屋敷の前の倉とやらで、件の商人と待っていてよ！			スゴい仲介人							
ハヤブサさんを連れて、向かうことにするから、ユヅカ代官屋敷の前の倉とやらで、件の商人と待っていてよ！			ハヤブサさんを連れて、向かうことにするから、ユヅカ代官屋敷の前の倉とやらで、件の商人と待っていてよ！			スゴい仲介人							
Forename！どうしたのん、ボクに会いに来てくれたのん？			Forename！どうしたのん、ボクに会いに来てくれたのん？			スゴい仲介人							
こないだ手に入れた武器が、まだあるか知りたいのん？残念だけど……まだ、買ってくれるヒトが見つからなくて、倉にしまったままだよん……。			こないだ手に入れた武器が、まだあるか知りたいのん？残念だけど……まだ、買ってくれるヒトが見つからなくて、倉にしまったままだよん……。			スゴい仲介人							
ドマ町人地に行って売ろうとしたら、帝国製の武器なんて見たくもないって、怒って断られちゃったし、ひどい話だよねん。			ドマ町人地に行って売ろうとしたら、帝国製の武器なんて見たくもないって、怒って断られちゃったし、ひどい話だよねん。			スゴい仲介人							
ギョフさんもお墨付きのいい武器で、品質はいいはずなんだけど、なんで売れないのか、とっても謎なんだよねん……。			ギョフさんもお墨付きのいい武器で、品質はいいはずなんだけど、なんで売れないのか、とっても謎なんだよねん……。			スゴい仲介人							
ナマズオが出入りしてるって噂は聞いてたけど、まさか、あんなに大量に棲みついていたなんて……。			ナマズオが出入りしてるって噂は聞いてたけど、まさか、あんなに大量に棲みついていたなんて……。			スゴい仲介人							
ようこそ！はじめまして……ですかねん？いったい、どんなご用ですのん？			ようこそ！はじめまして……ですかねん？いったい、どんなご用ですのん？			スゴい仲介人							
実は、武器を手に入れたナマズオがいるという話を、そちらの旅の方から聞いて、よければ見せてもらいたくて来たのですが……。			実は、武器を手に入れたナマズオがいるという話を、そちらの旅の方から聞いて、よければ見せてもらいたくて来たのですが……。			スゴい仲介人							
それはきっと、成金屋の主人であるボクのことですよん！武器に興味がお有りですのん！？持ってくるから、少しお待ちくださいね～ん♪			それはきっと、成金屋の主人であるボクのことですよん！武器に興味がお有りですのん！？持ってくるから、少しお待ちくださいね～ん♪			スゴい仲介人							
こ、これは……帝国製の銃じゃないか！これなら剣や槍を扱ったことのない村人でも、扱えるかもしれないな……。			こ、これは……帝国製の銃じゃないか！これなら剣や槍を扱ったことのない村人でも、扱えるかもしれないな……。			スゴい仲介人							
お客さま、お目が高いですね～んっ！気に入りましたら、お買い上げいただいても大丈夫ですよん♪			お客さま、お目が高いですね～んっ！気に入りましたら、お買い上げいただいても大丈夫ですよん♪			スゴい仲介人							
よし、もらうとしよう。いくらで譲ってくれるかい？			よし、もらうとしよう。いくらで譲ってくれるかい？			スゴい仲介人							
そうですねーん……じゃあ特別に、割引しまして……ええっと……10年暮らせるくらいのお金でどうですのん？			そうですねーん……じゃあ特別に、割引しまして……ええっと……10年暮らせるくらいのお金でどうですのん？			スゴい仲介人							
10年の生活費だって！？そんなに出せるわけないだろう！			10年の生活費だって！？そんなに出せるわけないだろう！			スゴい仲介人							
クロバナ、ハヤブサさん、一大事だ！			クロバナ、ハヤブサさん、一大事だ！			スゴい仲介人							
た、大変だ！魔物が現れて、田んぼを踏み荒らしてるんだよ！			た、大変だ！魔物が現れて、田んぼを踏み荒らしてるんだよ！			スゴい仲介人							
な、なんだって！？			な、なんだって！？			スゴい仲介人							
すまない！交渉は後でさせてもらうとして、ひとまずこいつらを貸してくれないか！？			すまない！交渉は後でさせてもらうとして、ひとまずこいつらを貸してくれないか！？			スゴい仲介人							
えぇ、そんなこと言われても、困っちゃいますよん……。			えぇ、そんなこと言われても、困っちゃいますよん……。			スゴい仲介人							
何と言って説得する？			何と言って説得する？			スゴい仲介人							
後払いだ！			後払いだ！			スゴい仲介人							
商品のお試しだ！			商品のお試しだ！			スゴい仲介人							
ほ、ほんとに払ってくれるのん？信用して大丈夫かな～ん……。			ほ、ほんとに払ってくれるのん？信用して大丈夫かな～ん……。			スゴい仲介人							
なるほど、使ってくれれば、いい武器だってわかって、買ってくれるってことなのねん？いやぁ、Forenameは商売の才能もあるのねんっ♪			なるほど、使ってくれれば、いい武器だってわかって、買ってくれるってことなのねん？いやぁ、Forenameは商売の才能もあるのねんっ♪			スゴい仲介人							
わかったよん！親友のForenameが言うことだし、貸してあげるよん！でも、あとで絶対にお代はもらうからねんっ！			わかったよん！親友のForenameが言うことだし、貸してあげるよん！でも、あとで絶対にお代はもらうからねんっ！			スゴい仲介人							
ありがとう、さっそく村に戻らせてもらうよ！ふたりとも、あとでナマイ村に来てくれ！			ありがとう、さっそく村に戻らせてもらうよ！ふたりとも、あとでナマイ村に来てくれ！			スゴい仲介人							
Forenameに説得されたから、ひとまず貸してあげたけれど、お代の交渉は、ちゃんとやらせてもらうのねん！			Forenameに説得されたから、ひとまず貸してあげたけれど、お代の交渉は、ちゃんとやらせてもらうのねん！			スゴい仲介人							
さっそく、ナマイ村まで行くとするのねん！Forenameも付いてくるのねん、ボクの成り上がりっぷりを、見せつけてあげるよん！			さっそく、ナマイ村まで行くとするのねん！Forenameも付いてくるのねん、ボクの成り上がりっぷりを、見せつけてあげるよん！			スゴい仲介人							
お、俺が魔物を……！？			お、俺が魔物を……！？			スゴい仲介人							
おや、旅の方じゃないか！こいつを見てくれよ！			おや、旅の方じゃないか！こいつを見てくれよ！			スゴい仲介人							
こいつら全部、クロバナのやつが倒しちまったんだぜ！？			こいつら全部、クロバナのやつが倒しちまったんだぜ！？			スゴい仲介人							
まるで、敵がどこにいるか全部わかってるみてぇに、次々と弾を命中させていってよ！ありゃあ凄かったぜ！			まるで、敵がどこにいるか全部わかってるみてぇに、次々と弾を命中させていってよ！ありゃあ凄かったぜ！			スゴい仲介人							
これなら魔物退治の用心棒としても働けるじゃねぇか！？お前にも、兄貴のように戦う才能があったんだな！			これなら魔物退治の用心棒としても働けるじゃねぇか！？お前にも、兄貴のように戦う才能があったんだな！			スゴい仲介人							
無我夢中でやっただけだ……。ただ、こんな俺でも銃を扱えるだなんて、思ってもみなかったよ……。			無我夢中でやっただけだ……。ただ、こんな俺でも銃を扱えるだなんて、思ってもみなかったよ……。			スゴい仲介人							
でも、この銃があれば、ハクロウ兄さんのように、村の用心棒も務まるかもしれないな……。			でも、この銃があれば、ハクロウ兄さんのように、村の用心棒も務まるかもしれないな……。			スゴい仲介人							
こ、こ、この魔物たちは、いったいなんですのん！？			こ、こ、この魔物たちは、いったいなんですのん！？			スゴい仲介人							
おや、成金屋のナマズオさんか……。あなたの銃のおかげで、ご覧のとおり、魔物を退治できたよ。貸してくれて、どうもありがとう！			おや、成金屋のナマズオさんか……。あなたの銃のおかげで、ご覧のとおり、魔物を退治できたよ。貸してくれて、どうもありがとう！			スゴい仲介人							
ボクが貸してあげた武器のよさが、わかっていただけましたかねん？気にいってもらえたなら何よりですよん、んふっ♪			ボクが貸してあげた武器のよさが、わかっていただけましたかねん？気にいってもらえたなら何よりですよん、んふっ♪			スゴい仲介人							
さてさて……それじゃ、お代の交渉を始めるとしましょうよん♪転魂塔の側で、お話しするとしましょうかねん！			さてさて……それじゃ、お代の交渉を始めるとしましょうよん♪転魂塔の側で、お話しするとしましょうかねん！			スゴい仲介人							
交渉にあたって、フクドさんにも声をかけておいたよ。それにしても、ナマズオさんの銃があれば、ハクロウ兄さんのように、村の用心棒も務まるかもしれないな……。			交渉にあたって、フクドさんにも声をかけておいたよ。それにしても、ナマズオさんの銃があれば、ハクロウ兄さんのように、村の用心棒も務まるかもしれないな……。			スゴい仲介人							
クロバナのやつにも、兄貴のように戦う才能があったんだな！やっぱり兄弟は似るもんなんだよ！			クロバナのやつにも、兄貴のように戦う才能があったんだな！やっぱり兄弟は似るもんなんだよ！			スゴい仲介人							
さてと、みなさん揃ったところで……。			さてと、みなさん揃ったところで……。			スゴい仲介人							
お代についてですが、どうしましょうかねん？払えるだけのお金がないなら、代わりに何か、別の物でも提案してもらいたいですよん♪			お代についてですが、どうしましょうかねん？払えるだけのお金がないなら、代わりに何か、別の物でも提案してもらいたいですよん♪			スゴい仲介人							
10年分の生活費に当たるものなんて、とてもじゃないけど、この村には……。			10年分の生活費に当たるものなんて、とてもじゃないけど、この村には……。			スゴい仲介人							
ボクが命がけで取ってきた武器だから、それなりのブツを用意していただきたいのですよん、んふっ♪			ボクが命がけで取ってきた武器だから、それなりのブツを用意していただきたいのですよん、んふっ♪			スゴい仲介人							
す、少し考える時間をもらえるかい？			す、少し考える時間をもらえるかい？			スゴい仲介人							
仕方ないですのん……。			仕方ないですのん……。			スゴい仲介人							
ところで、さっきから気になっているんだけど、アレはいったい、何ですのん？			ところで、さっきから気になっているんだけど、アレはいったい、何ですのん？			スゴい仲介人							
ん……あれは柿だが、どうかしたかな？			ん……あれは柿だが、どうかしたかな？			スゴい仲介人							
あれを使って、染められるようにすれば、最高にシブくてかっこいい前掛けが作れるんじゃ……そうだよ、そうに違いないのねんっ！			あれを使って、染められるようにすれば、最高にシブくてかっこいい前掛けが作れるんじゃ……そうだよ、そうに違いないのねんっ！			スゴい仲介人							
あの柿でいいのねん！柿を100個と、銃ひとそろえ交換でどうですのん？			あの柿でいいのねん！柿を100個と、銃ひとそろえ交換でどうですのん？			スゴい仲介人							
ほ、本当に柿と交換でいいのかい……？			ほ、本当に柿と交換でいいのかい……？			スゴい仲介人							
大丈夫ですよん！それじゃあ、交渉成立ってことで、いいですかねん！？			大丈夫ですよん！それじゃあ、交渉成立ってことで、いいですかねん！？			スゴい仲介人							
こ、こちらとしては、何の問題もない。それじゃあ、交渉成立ということで……。			こ、こちらとしては、何の問題もない。それじゃあ、交渉成立ということで……。			スゴい仲介人							
Forenameのお陰で、食料なんかより、ずーっとスゴいものを手に入れられたのねん！いいヒトたちを紹介してくれて、ありがとなのねん♪			Forenameのお陰で、食料なんかより、ずーっとスゴいものを手に入れられたのねん！いいヒトたちを紹介してくれて、ありがとなのねん♪			スゴい仲介人							
ユヅカ代官屋敷のギョボクは、腕利きのヒトを探しているようだ。			ユヅカ代官屋敷のギョボクは、腕利きのヒトを探しているようだ。			音を頼りに							
ナマズオの鈴を使い、怯えたナマズオを探す			ナマズオの鈴を使い、怯えたナマズオを探す			音を頼りに							
指定地点で見渡してナマズイーターを討伐			指定地点で見渡してナマズイーターを討伐			音を頼りに							
怯えたナマズオと話す			怯えたナマズオと話す			音を頼りに							
ギョボクに報告			ギョボクに報告			音を頼りに							
