マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
北側の戦場跡で回収したものと合わせて、「マエヌ」隊長に渡してください！			北側の戦場跡で回収したものと合わせて、「マエヌ」隊長に渡してください！			手負いの竜騎士							
冒険者さん！冒険者さんがいない間に、マエヌ隊長が……！			冒険者さん！冒険者さんがいない間に、マエヌ隊長が……！			手負いの竜騎士							
はぁ、はぁ……Forename殿か……。敵の襲撃で不覚を取ったが……案ずるな、死にはせん。……で、そちらの首尾は？			はぁ、はぁ……Forename殿か……。敵の襲撃で不覚を取ったが……案ずるな、死にはせん。……で、そちらの首尾は？			手負いの竜騎士							
なるほどエーテル計測は、無事に完了したか……。ありがたい……が、見てのとおりの状況でな。			なるほどエーテル計測は、無事に完了したか……。ありがたい……が、見てのとおりの状況でな。			手負いの竜騎士							
悪いが「エーテル計測器」は、そちらの「竜騎士団の荷箱」に入れておいてくれ。			悪いが「エーテル計測器」は、そちらの「竜騎士団の荷箱」に入れておいてくれ。			手負いの竜騎士							
悪いが「エーテル計測器」は、そちらの「竜騎士団の荷箱」に入れておいてくれ。			悪いが「エーテル計測器」は、そちらの「竜騎士団の荷箱」に入れておいてくれ。			手負いの竜騎士							
すまない、手数をかけたな。それにしても、あの怪物はいったい……。			すまない、手数をかけたな。それにしても、あの怪物はいったい……。			手負いの竜騎士							
白亜の宮殿のモグクルは、邪竜の眷属の狙いがわからず悩んでいるようだ。			白亜の宮殿のモグクルは、邪竜の眷属の狙いがわからず悩んでいるようだ。			ヤツらの狙い							
モグクルと話した。邪竜の眷属の狙いは、ヒトと竜の友好を示す「仲良しの象徴」……すなわち、白亜の宮殿の「シンボル」なのではないかと、彼らは思いあたった。ドラヴァニア雲海の白亜の宮殿にいる敵の親玉を探し、襲われたら討伐しよう。			モグクルと話した。邪竜の眷属の狙いは、ヒトと竜の友好を示す「仲良しの象徴」……すなわち、白亜の宮殿の「シンボル」なのではないかと、彼らは思いあたった。ドラヴァニア雲海の白亜の宮殿にいる敵の親玉を探し、襲われたら討伐しよう。			ヤツらの狙い							
エンシェント・ヴィーヴルを倒した。仲間とともに重傷を負って倒れている、白亜の宮殿の「モグクル」に報告しよう。			エンシェント・ヴィーヴルを倒した。仲間とともに重傷を負って倒れている、白亜の宮殿の「モグクル」に報告しよう。			ヤツらの狙い							
モグクルから、白亜の宮殿について聞いた。白亜の宮殿の風化が進んでいる、維持・修理に必要な技術をモーグリ族は持っていないらしい。そのことを聖竜がどう思っているかはわからないが、それでもモーグリ族は盟約を破ることなく、白亜の宮殿を守り続けるつもりのようだ。モグモグホームの「モグルン」に報告しよう。			モグクルから、白亜の宮殿について聞いた。白亜の宮殿の風化が進んでいる、維持・修理に必要な技術をモーグリ族は持っていないらしい。そのことを聖竜がどう思っているかはわからないが、それでもモーグリ族は盟約を破ることなく、白亜の宮殿を守り続けるつもりのようだ。モグモグホームの「モグルン」に報告しよう。			ヤツらの狙い							
モグルンに報告した。モグルンは協力してくれた冒険者に礼を述べた。そして、白亜の宮殿を守り切ったモグクルたちを褒めるつもりだ、と語るのだった……。			モグルンに報告した。モグルンは協力してくれた冒険者に礼を述べた。そして、白亜の宮殿を守り切ったモグクルたちを褒めるつもりだ、と語るのだった……。			ヤツらの狙い							
敵の親玉を探し、襲われたら討伐			敵の親玉を探し、襲われたら討伐			ヤツらの狙い							
モグクルに報告			モグクルに報告			ヤツらの狙い							
モグモグホームのモグルンに報告			モグモグホームのモグルンに報告			ヤツらの狙い							
くぽぽ、モグたち、見回り完了くぽ！			くぽぽ、モグたち、見回り完了くぽ！			ヤツらの狙い							
ほかには、邪竜様の眷属は見かけなかったくぽ。もう大丈夫くぽ？			ほかには、邪竜様の眷属は見かけなかったくぽ。もう大丈夫くぽ？			ヤツらの狙い							
くぽぽ……なんとかここまで来れたくぽ……。			くぽぽ……なんとかここまで来れたくぽ……。			ヤツらの狙い							
冒険者さん！モグオクとモグッカから、話を聞いたくぽ。詳細を教えてほしいくぽ！			冒険者さん！モグオクとモグッカから、話を聞いたくぽ。詳細を教えてほしいくぽ！			ヤツらの狙い							
……やはり、邪竜様の眷属がいたくぽ。でも、ヤツらはなぜ早く宮殿を破壊しようとしないくぽ？モグたちのことを狙ってばかりくぽ。			……やはり、邪竜様の眷属がいたくぽ。でも、ヤツらはなぜ早く宮殿を破壊しようとしないくぽ？モグたちのことを狙ってばかりくぽ。			ヤツらの狙い							
モグクル副長、そもそも何で邪竜様の眷属たちは、白亜の宮殿を荒らそうとするくぽ？			モグクル副長、そもそも何で邪竜様の眷属たちは、白亜の宮殿を荒らそうとするくぽ？			ヤツらの狙い							
モグレオは護衛団に入ったばかりだから、まだ、ちゃんと話をしてなかったくぽね……。			モグレオは護衛団に入ったばかりだから、まだ、ちゃんと話をしてなかったくぽね……。			ヤツらの狙い							
ここは、「竜詩戦争」が起こる前……千年の昔に、竜とヒトとが協力して建てた宮殿くぽ。つまりは「仲良しの象徴」ってことくぽ。			ここは、「竜詩戦争」が起こる前……千年の昔に、竜とヒトとが協力して建てた宮殿くぽ。つまりは「仲良しの象徴」ってことくぽ。			ヤツらの狙い							
戦いが起こると、邪竜様の眷属たちは、ヒトが遺した建物を、徹底的に壊して回ったくぽ。今に残るのは、聖竜様が大切にしてきた宮殿だけくぽ……。			戦いが起こると、邪竜様の眷属たちは、ヒトが遺した建物を、徹底的に壊して回ったくぽ。今に残るのは、聖竜様が大切にしてきた宮殿だけくぽ……。			ヤツらの狙い							
「仲良しの象徴」くぽ……。じゃあ、邪竜様の眷属たちが、いちばん壊したいのは、「象徴の象徴」に違いないくぽ！			「仲良しの象徴」くぽ……。じゃあ、邪竜様の眷属たちが、いちばん壊したいのは、「象徴の象徴」に違いないくぽ！			ヤツらの狙い							
象徴の象徴？モグレオ、何を言って……くぽ？			象徴の象徴？モグレオ、何を言って……くぽ？			ヤツらの狙い							
くぽぽぽぽ！　象徴の象徴くぽ！ヤツら、この宮殿の「シンボル」を狙っているくぽ！			くぽぽぽぽ！　象徴の象徴くぽ！ヤツら、この宮殿の「シンボル」を狙っているくぽ！			ヤツらの狙い							
シンボルは、ここのちょうど真上にあるくぽ！大変くぽ、モグオク、モグッカ、急いで向かうくぽ！モグレオ、お前はここで身を隠すくぽ！			シンボルは、ここのちょうど真上にあるくぽ！大変くぽ、モグオク、モグッカ、急いで向かうくぽ！モグレオ、お前はここで身を隠すくぽ！			ヤツらの狙い							
副長、みんな……！うぅ、こんな大事なときにケガで動けないなんて…………情けないくぽ！			副長、みんな……！うぅ、こんな大事なときにケガで動けないなんて…………情けないくぽ！			ヤツらの狙い							
モグの代わりに、と言うのも変かもしれないけれど……。お願いくぽ、みんなと一緒に宮殿を守ってくぽ！みんなのことを、助けてあげてくぽ！			モグの代わりに、と言うのも変かもしれないけれど……。お願いくぽ、みんなと一緒に宮殿を守ってくぽ！みんなのことを、助けてあげてくぽ！			ヤツらの狙い							
うぅ、こんな大事なときにケガで動けないなんて……。お願いくぽ、みんなと一緒に宮殿を守ってくぽ！みんなのことを、助けてあげてくぽ！			うぅ、こんな大事なときにケガで動けないなんて……。お願いくぽ、みんなと一緒に宮殿を守ってくぽ！みんなのことを、助けてあげてくぽ！			ヤツらの狙い							
こいつ……今までのとケタ違いに強いくぽ。気をつけるくぽ……。			こいつ……今までのとケタ違いに強いくぽ。気をつけるくぽ……。			ヤツらの狙い							
うぅ……こいつ、やるくぽ……。			うぅ……こいつ、やるくぽ……。			ヤツらの狙い							
し、死にたくないくぽぉ……。			し、死にたくないくぽぉ……。			ヤツらの狙い							
ヒトまでも紛れ込んでおったか……。宮殿の周囲にオトリとして配置した眷属に惑わされず、ここまでたどり着いたことは褒めてやろう……ククク……。			ヒトまでも紛れ込んでおったか……。宮殿の周囲にオトリとして配置した眷属に惑わされず、ここまでたどり着いたことは褒めてやろう……ククク……。			ヤツらの狙い							
ここで「ヒトの名残の象徴」と「ヒト」をまとめて始末すれば、私の手柄は、より大きなものとなろう……！さぁ、死ねい！			ここで「ヒトの名残の象徴」と「ヒト」をまとめて始末すれば、私の手柄は、より大きなものとなろう……！さぁ、死ねい！			ヤツらの狙い							
やられてしまって、かたじけなかったくぽ……。モグ、もっともっと強くなってみせるくぽ……！			やられてしまって、かたじけなかったくぽ……。モグ、もっともっと強くなってみせるくぽ……！			ヤツらの狙い							
うぅ……あいつ、強かったくぽ。でも、倒してしまうなんて、冒険者はさすがくぽ！			うぅ……あいつ、強かったくぽ。でも、倒してしまうなんて、冒険者はさすがくぽ！			ヤツらの狙い							
い、生き延びれてよかったくぽ……。冒険者のおかげくぽ、ありがとうくぽ～！			い、生き延びれてよかったくぽ……。冒険者のおかげくぽ、ありがとうくぽ～！			ヤツらの狙い							
とても、手強いやつだったくぽ……冒険者のお陰くぽ！これでやつらの計画も、失敗くぽ！なんとか、宮殿を守れたくぽ！			とても、手強いやつだったくぽ……冒険者のお陰くぽ！これでやつらの計画も、失敗くぽ！なんとか、宮殿を守れたくぽ！			ヤツらの狙い							
ま、守ったくぽー！守れたから、ちょっと叫びたくなってしまったくぽ♪			ま、守ったくぽー！守れたから、ちょっと叫びたくなってしまったくぽ♪			ヤツらの狙い							
……ようやく気がぬけるくぽ。落ち着いて見ると、本当に立派な宮殿くぽ……。とってもキレイで、うっとりしちゃうくぽ……。			……ようやく気がぬけるくぽ。落ち着いて見ると、本当に立派な宮殿くぽ……。とってもキレイで、うっとりしちゃうくぽ……。			ヤツらの狙い							
昔は、もっとキレイだったくぽ。この宮殿は、だんだん荒れて、風化が進んでるくぽ……。			昔は、もっとキレイだったくぽ。この宮殿は、だんだん荒れて、風化が進んでるくぽ……。			ヤツらの狙い							
モグたち、壊れた部分を直すことはできないくぽ……。宮殿の姿を見て、聖竜様は悲しんでいるくぽ……？			モグたち、壊れた部分を直すことはできないくぽ……。宮殿の姿を見て、聖竜様は悲しんでいるくぽ……？			ヤツらの狙い							
聖竜様のお心はわからないくぽ。それでも、モグたちはご先祖様が交わした盟約に従い、宮殿をお掃除して、守り続けるだけくぽ。			聖竜様のお心はわからないくぽ。それでも、モグたちはご先祖様が交わした盟約に従い、宮殿をお掃除して、守り続けるだけくぽ。			ヤツらの狙い							
……そう、盟約くぽ。むかしむかし、悲しみにくれる聖竜様と、モグたちのご先祖様が交わした大切な約束くぽ……。			……そう、盟約くぽ。むかしむかし、悲しみにくれる聖竜様と、モグたちのご先祖様が交わした大切な約束くぽ……。			ヤツらの狙い							
モーグリ族は、聖竜様の思い出を守り、聖竜様は、モーグリ族の未来を守る……。			モーグリ族は、聖竜様の思い出を守り、聖竜様は、モーグリ族の未来を守る……。			ヤツらの狙い							
ひとつの裏切りによって、とても悲しい想いをした聖竜様を、モグたちは、絶対に裏切ってはいけないくぽ……。雲海を覆う悲しみが晴れる、そのときまでくぽ。			ひとつの裏切りによって、とても悲しい想いをした聖竜様を、モグたちは、絶対に裏切ってはいけないくぽ……。雲海を覆う悲しみが晴れる、そのときまでくぽ。			ヤツらの狙い							
くぽぽ……何だか湿っぽくなってしまったくぽ。助けてもらったのに、申し訳ないくぽ！			くぽぽ……何だか湿っぽくなってしまったくぽ。助けてもらったのに、申し訳ないくぽ！			ヤツらの狙い							
大丈夫、困ったときのための、モグたち護衛団くぽ！がんばるから、安心してほしいくぽ！……みんなで、これからもがんばるくぽー！			大丈夫、困ったときのための、モグたち護衛団くぽ！がんばるから、安心してほしいくぽ！……みんなで、これからもがんばるくぽー！			ヤツらの狙い							
モグたちは、ひととおり巡回してから、モグレオと帰るくぽ！だから、冒険者さんお願いくぽ！モグルン様に、今回のことを報告してほしいくぽ～！			モグたちは、ひととおり巡回してから、モグレオと帰るくぽ！だから、冒険者さんお願いくぽ！モグルン様に、今回のことを報告してほしいくぽ～！			ヤツらの狙い							
シンボルを守れたくぽ！？ありがとうくぽ～！			シンボルを守れたくぽ！？ありがとうくぽ～！			ヤツらの狙い							
なんと、白亜の宮殿に、そんなやつがいたくぽ……！でも、倒してくれたくぽ？ありがとうくぽ！			なんと、白亜の宮殿に、そんなやつがいたくぽ……！でも、倒してくれたくぽ？ありがとうくぽ！			ヤツらの狙い							
モグオクの言うとおり、モグたちは、ご先祖様が交わした盟約に従うだけくぽ。宮殿をお掃除して、ずっと守り続けるくぽ。			モグオクの言うとおり、モグたちは、ご先祖様が交わした盟約に従うだけくぽ。宮殿をお掃除して、ずっと守り続けるくぽ。			ヤツらの狙い							
もちろん、風化を止められるような技術が、モグたちにもあればいいけど、くぽ……。			もちろん、風化を止められるような技術が、モグたちにもあればいいけど、くぽ……。			ヤツらの狙い							
まあ、ないものねだりくぽ。それにしても、護衛団はよくがんばったくぽ！戻ってきたら、みんなを褒めてあげるくぽ～！			まあ、ないものねだりくぽ。それにしても、護衛団はよくがんばったくぽ！戻ってきたら、みんなを褒めてあげるくぽ～！			ヤツらの狙い							
オール・ターンの「ズンズン戦闘団」は、魔物に囲まれて怯えている。			オール・ターンの「ズンズン戦闘団」は、魔物に囲まれて怯えている。			「ズンズン戦闘団」危機一髪！							
魔物たちに囲まれていた「ズンズン戦闘団」は、冒険者を囮にして逃げ出した。しかし、魔物たちは冒険者を無視して「ズンズン戦闘団」を追っていった……。妨害を退けて、ドラヴァニア雲海の飛竜泊に散らばった「ズンズン戦闘団」の3人を救助しよう。			魔物たちに囲まれていた「ズンズン戦闘団」は、冒険者を囮にして逃げ出した。しかし、魔物たちは冒険者を無視して「ズンズン戦闘団」を追っていった……。妨害を退けて、ドラヴァニア雲海の飛竜泊に散らばった「ズンズン戦闘団」の3人を救助しよう。			「ズンズン戦闘団」危機一髪！							
「ズンズン戦闘団」を救助した。飛竜泊の「モグズン」と話そう。			「ズンズン戦闘団」を救助した。飛竜泊の「モグズン」と話そう。			「ズンズン戦闘団」危機一髪！							
モグズンと話した。今回の件でモグズンたちは、自分たちが戦いに向いていないと自覚したようだ。「ズンズン戦闘団」を解散し、冒険者に礼を言って去っていった。			モグズンと話した。今回の件でモグズンたちは、自分たちが戦いに向いていないと自覚したようだ。「ズンズン戦闘団」を解散し、冒険者に礼を言って去っていった。			「ズンズン戦闘団」危機一髪！							
ズンズン戦闘団を救助する			ズンズン戦闘団を救助する			「ズンズン戦闘団」危機一髪！							
モグズンに報告			モグズンに報告			「ズンズン戦闘団」危機一髪！							
あわわわ……無力くぽ……。			あわわわ……無力くぽ……。			「ズンズン戦闘団」危機一髪！							
恐ろしいくぽ……。			恐ろしいくぽ……。			「ズンズン戦闘団」危機一髪！							
ま、魔物たちが突然、モグたちを囲んできたんだくぽ……。なんだか怒ってるみたいくぽ。教官、説得してみてほしいくぽ……。			ま、魔物たちが突然、モグたちを囲んできたんだくぽ……。なんだか怒ってるみたいくぽ。教官、説得してみてほしいくぽ……。			「ズンズン戦闘団」危機一髪！							
いまくぽ！！　逃げるくぽー！！助けてくぽーーー！！			いまくぽ！！　逃げるくぽー！！助けてくぽーーー！！			「ズンズン戦闘団」危機一髪！							
教官がいなかったら大変だったくぽ……。ありがとうくぽ……。			教官がいなかったら大変だったくぽ……。ありがとうくぽ……。			「ズンズン戦闘団」危機一髪！							
詠唱が……詠唱が……お、終わったくぽ……？怖かったくぽ……助かったくぽ……。			詠唱が……詠唱が……お、終わったくぽ……？怖かったくぽ……助かったくぽ……。			「ズンズン戦闘団」危機一髪！							
なかなか……やばかったくぽ……。教官……恩人くぽ……。			なかなか……やばかったくぽ……。教官……恩人くぽ……。			「ズンズン戦闘団」危機一髪！							
あわわわ……無力くぽ……。			あわわわ……無力くぽ……。			「ズンズン戦闘団」危機一髪！							
恐ろしいくぽ……。			恐ろしいくぽ……。			「ズンズン戦闘団」危機一髪！							
みんなから話を聞いたくぽ……。どうもさっきの魔物たちは、教官が倒した魔物の一部の匂いに、引き寄せられ、猛り狂っていたみたいくぽ……。			みんなから話を聞いたくぽ……。どうもさっきの魔物たちは、教官が倒した魔物の一部の匂いに、引き寄せられ、猛り狂っていたみたいくぽ……。			「ズンズン戦闘団」危機一髪！							
きっとズルしてたから、聖竜様が怒ったに違いないくぽ……。今回のことで、よくわかったくぽ。モグたちは、戦うのに向いていないくぽ……。			きっとズルしてたから、聖竜様が怒ったに違いないくぽ……。今回のことで、よくわかったくぽ。モグたちは、戦うのに向いていないくぽ……。			「ズンズン戦闘団」危機一髪！							
教官になってくれた冒険者には、感謝してるくぽ。本日をもって、攻めの姿勢の「ズンズン戦闘団」は解散くぽ！終わりのないディフェンスでもいいくぽ♪			教官になってくれた冒険者には、感謝してるくぽ。本日をもって、攻めの姿勢の「ズンズン戦闘団」は解散くぽ！終わりのないディフェンスでもいいくぽ♪			「ズンズン戦闘団」危機一髪！							
白亜の宮殿のモグオクは、不穏な視線を感じているようだ。			白亜の宮殿のモグオクは、不穏な視線を感じているようだ。			モグオクの予感							
モグオクは、不穏な視線を感じているようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			モグオクは、不穏な視線を感じているようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			モグオクの予感							
現れた敵を討伐した。白亜の宮殿の「モグオク」に報告しよう。			現れた敵を討伐した。白亜の宮殿の「モグオク」に報告しよう。			モグオクの予感							
モグオクは、ここにも邪竜の眷属が現れたと聞いて驚きつつも、冒険者に感謝した。モグオクは引き続き、宮殿内の見回りを続けるようだ。小さな護衛団員の勇気に応えるためにも、一緒に白亜の宮殿を守り抜こう。			モグオクは、ここにも邪竜の眷属が現れたと聞いて驚きつつも、冒険者に感謝した。モグオクは引き続き、宮殿内の見回りを続けるようだ。小さな護衛団員の勇気に応えるためにも、一緒に白亜の宮殿を守り抜こう。			モグオクの予感							
白亜の宮殿を見回り、敵が現れたら討伐			白亜の宮殿を見回り、敵が現れたら討伐			モグオクの予感							
モグオクに報告			モグオクに報告			モグオクの予感							
おぉ、冒険者くぽ～。今のところ異常はないくぽ！			おぉ、冒険者くぽ～。今のところ異常はないくぽ！			モグオクの予感							
くぽぽ！すでに「白亜の宮殿」内に、敵が侵入してるくぽ……！？確かに、何だか視線を感じる気がしてきたくぽ。			くぽぽ！すでに「白亜の宮殿」内に、敵が侵入してるくぽ……！？確かに、何だか視線を感じる気がしてきたくぽ。			モグオクの予感							
このあたりは、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			このあたりは、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			モグオクの予感							
この橋の手前は、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			この橋の手前は、モグが見張るくぽ。階段の上の見回りを、頼みたいくぽ！			モグオクの予感							
本当に、邪竜様の眷属がいたくぽ！？冒険者がいてくれて助かったくぽ、ありがとうくぽー！			本当に、邪竜様の眷属がいたくぽ！？冒険者がいてくれて助かったくぽ、ありがとうくぽー！			モグオクの予感							
モグは、引き続き見回りをするくぽ。また後ほど、会おうくぽ！			モグは、引き続き見回りをするくぽ。また後ほど、会おうくぽ！			モグオクの予感							
白亜の宮殿のモグッカは、少し怯えているようだ。			白亜の宮殿のモグッカは、少し怯えているようだ。			モグッカの不安							
宮殿内が制圧されたことを、「モグモグ護衛団」のモグッカに伝えた。モグッカは、冒険者に見回りを代わってほしいようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			宮殿内が制圧されたことを、「モグモグ護衛団」のモグッカに伝えた。モグッカは、冒険者に見回りを代わってほしいようだ。ドラヴァニア雲海の白亜の宮殿を見回り、敵が現れたら討伐しよう。			モグッカの不安							
現れた敵を討伐した。白亜の宮殿の「モグッカ」に報告しよう。			現れた敵を討伐した。白亜の宮殿の「モグッカ」に報告しよう。			モグッカの不安							
モグッカは引き続き、宮殿内の見回りを続けるようだ。モグッカは、護衛団の仲間であるモグオクのことが気がかりなようだ。白亜の宮殿付近で「モグオク」を見かけたら、注意するよう伝えてあげよう。			モグッカは引き続き、宮殿内の見回りを続けるようだ。モグッカは、護衛団の仲間であるモグオクのことが気がかりなようだ。白亜の宮殿付近で「モグオク」を見かけたら、注意するよう伝えてあげよう。			モグッカの不安							
白亜の宮殿を見回り、敵が現れたら討伐			白亜の宮殿を見回り、敵が現れたら討伐			モグッカの不安							
モグッカに報告			モグッカに報告			モグッカの不安							
……くぽっ！なんだ冒険者か、びっくりしたくぽ～。			……くぽっ！なんだ冒険者か、びっくりしたくぽ～。			モグッカの不安							
くぽぽっ！？もう宮殿の内部に、邪竜様の眷属が侵入しているくぽ？そ、それは大変くぽ～！			くぽぽっ！？もう宮殿の内部に、邪竜様の眷属が侵入しているくぽ？そ、それは大変くぽ～！			モグッカの不安							
じ、じゃあ、この先にも、もしかして……くぽ？なんだか気味が悪くなってきたくぽ……。			じ、じゃあ、この先にも、もしかして……くぽ？なんだか気味が悪くなってきたくぽ……。			モグッカの不安							
口に出して言ってみたら、ちょっと怖くなってきたくぽ……。この先の様子、ちょっと見てきてくれないくぽ？			口に出して言ってみたら、ちょっと怖くなってきたくぽ……。この先の様子、ちょっと見てきてくれないくぽ？			モグッカの不安							
この先の様子、ちょっと見てきてくれないくぽ？			この先の様子、ちょっと見てきてくれないくぽ？			モグッカの不安							
ほ、ほんとうに邪竜様の眷属がいたくぽ！？くぽぽ、モグの予想は的中くぽ！			ほ、ほんとうに邪竜様の眷属がいたくぽ！？くぽぽ、モグの予想は的中くぽ！			モグッカの不安							
モグだったら、やられてたくぽ……ありがとうくぽ！じゃあ、モグは気をつけながら見回りをしてくるくぽ～。			モグだったら、やられてたくぽ……ありがとうくぽ！じゃあ、モグは気をつけながら見回りをしてくるくぽ～。			モグッカの不安							
そうだ、護衛団のモグオクも、近くにいるはずくぽ。「モグオク」を見かけたら、注意するよう伝えてほしいくぽ！			そうだ、護衛団のモグオクも、近くにいるはずくぽ。「モグオク」を見かけたら、注意するよう伝えてほしいくぽ！			モグッカの不安							
グロン・レイのモグズンは、辺りの様子を伺っているようだ。			グロン・レイのモグズンは、辺りの様子を伺っているようだ。			モグズンの見学							
モグズンはナールド・メリアエの討伐を目標としているようだ。グロン・レイの「ナールド・メリアエ」から「メリアエの枝」を3個入手しよう。			モグズンはナールド・メリアエの討伐を目標としているようだ。グロン・レイの「ナールド・メリアエ」から「メリアエの枝」を3個入手しよう。			モグズンの見学							
メリアエの枝を入手した。グロン・レイの「モグズン」に報告しよう。			メリアエの枝を入手した。グロン・レイの「モグズン」に報告しよう。			モグズンの見学							
モグズンにメリアエの枝を渡した。冒険者の戦いは参考になったようだが、見学に集中して疲れたと言って帰ってしまった。			モグズンにメリアエの枝を渡した。冒険者の戦いは参考になったようだが、見学に集中して疲れたと言って帰ってしまった。			モグズンの見学							
ナールド・メリアエからメリアエの枝を入手			ナールド・メリアエからメリアエの枝を入手			モグズンの見学							
モグズンにメリアエの枝を渡す			モグズンにメリアエの枝を渡す			モグズンの見学							
あそこにナールド・メリアエがいるくぽ？モグの目標は、あいつを倒すことくぽ！			あそこにナールド・メリアエがいるくぽ？モグの目標は、あいつを倒すことくぽ！			モグズンの見学							
参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			モグズンの見学							
参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			モグズンの見学							
参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			参考にしたいから、教官から戦ってほしいくぽ。ナールド・メリアエから「メリアエの枝」を3個、持ってくるところが見たいくぽ！			モグズンの見学							
おお、間違いなくメリアエの枝くぽ！教官の戦い、とっても参考になったくぽ！			おお、間違いなくメリアエの枝くぽ！教官の戦い、とっても参考になったくぽ！			モグズンの見学							
でも、今日は見学に集中しすぎて疲れたくぽ。無理するのは良くないくぽ！適度に休むのも仕事くぽ、訓練終了くぽ！			でも、今日は見学に集中しすぎて疲れたくぽ。無理するのは良くないくぽ！適度に休むのも仕事くぽ、訓練終了くぽ！			モグズンの見学							
オール・ターンのモグートは、辺りの様子を伺っているようだ。			オール・ターンのモグートは、辺りの様子を伺っているようだ。			モグートの勉強							
モグートはライムゴーレムの討伐を目標としているようだ。オール・ターンの「ライムゴーレム」から「ライムゴーレムの心核」を3個入手しよう。			モグートはライムゴーレムの討伐を目標としているようだ。オール・ターンの「ライムゴーレム」から「ライムゴーレムの心核」を3個入手しよう。			モグートの勉強							
ライムゴーレムを入手した。オール・ターンの「モグート」に報告しよう。			ライムゴーレムを入手した。オール・ターンの「モグート」に報告しよう。			モグートの勉強							
モグートにライムゴーレムの心核を渡した。冒険者の実力はわかったが、同じように戦うのは無理と言って帰ってしまった。			モグートにライムゴーレムの心核を渡した。冒険者の実力はわかったが、同じように戦うのは無理と言って帰ってしまった。			モグートの勉強							
ライムゴーレムからライムゴーレムの心核を入手			ライムゴーレムからライムゴーレムの心核を入手			モグートの勉強							
モグートにライムゴーレムの心核を渡す			モグートにライムゴーレムの心核を渡す			モグートの勉強							
今、目標の敵を……観察しているくぽ……。あのライムゴーレムはモグの眼から逃れられないくぽ。			今、目標の敵を……観察しているくぽ……。あのライムゴーレムはモグの眼から逃れられないくぽ。			モグートの勉強							
ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			モグートの勉強							
ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			モグートの勉強							
ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			ところで……教官の実力が気になるくぽ。モグの教官にふさわしいかどうか……見せてほしいくぽ……。……「ライムゴーレムの心核」を3個……持ってくるくぽ。			モグートの勉強							
さすが……教官くぽ、認めるくぽ。見事な戦い……同じように戦うのは、モグには無理くぽ……。とても勉強になった……訓練終了くぽ！			さすが……教官くぽ、認めるくぽ。見事な戦い……同じように戦うのは、モグには無理くぽ……。とても勉強になった……訓練終了くぽ！			モグートの勉強							
オール・ターンのモグコンは、辺りの様子を伺っているようだ。			オール・ターンのモグコンは、辺りの様子を伺っているようだ。			モグコンの成長							
モグコンはミスト・ドレイクの討伐を目標としているようだ。オール・ターンの「ミスト・ドレイク」から「ドレイクの尾」を3個入手しよう。			モグコンはミスト・ドレイクの討伐を目標としているようだ。オール・ターンの「ミスト・ドレイク」から「ドレイクの尾」を3個入手しよう。			モグコンの成長							
ドレイクの尾を入手した。オール・ターンの「モグコン」に報告しよう。			ドレイクの尾を入手した。オール・ターンの「モグコン」に報告しよう。			モグコンの成長							
モグコンにドレイクの尾を渡した。モグコンは、もう少し訓練してから挑戦すると言って帰ってしまった。			モグコンにドレイクの尾を渡した。モグコンは、もう少し訓練してから挑戦すると言って帰ってしまった。			モグコンの成長							
ミスト・ドレイクからドレイクの尾を入手			ミスト・ドレイクからドレイクの尾を入手			モグコンの成長							
モグコンにドレイクの尾を渡す			モグコンにドレイクの尾を渡す			モグコンの成長							
