シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			海都を騒がす毒の果実							
Surname殿～！			Surname殿～！			駆け出し冒険者の毒薬騒動							
例の犯人について、情報が入りましたよ！果物売りの行商人と目されるララフェル族の男性が、ヒューラン族の女性を伴って、都市を出る姿が目撃されたのです！			例の犯人について、情報が入りましたよ！果物売りの行商人と目されるララフェル族の男性が、ヒューラン族の女性を伴って、都市を出る姿が目撃されたのです！			駆け出し冒険者の毒薬騒動							
ふたりはエールポート方面に向かったとのこと。我々イエロージャケットや市民が警戒を強めていたので、リムサ・ロミンサでは動きづらくなったのかもしれませんね！			ふたりはエールポート方面に向かったとのこと。我々イエロージャケットや市民が警戒を強めていたので、リムサ・ロミンサでは動きづらくなったのかもしれませんね！			駆け出し冒険者の毒薬騒動							
エールポート……？それも、この島にある場所なのかしら。			エールポート……？それも、この島にある場所なのかしら。			駆け出し冒険者の毒薬騒動							
あ、そうです！西ラノシアにある港町で、徒歩で向かうこともできますけど、漁師ギルド近くから出ている船便でも行けますよ。			あ、そうです！西ラノシアにある港町で、徒歩で向かうこともできますけど、漁師ギルド近くから出ている船便でも行けますよ。			駆け出し冒険者の毒薬騒動							
むろん、我々も引き続き警戒を続けていきますが、経験豊富な冒険者でもあられるSurname殿に、犯人を追跡していただけるのなら心強いというもの……。			むろん、我々も引き続き警戒を続けていきますが、経験豊富な冒険者でもあられるSurname殿に、犯人を追跡していただけるのなら心強いというもの……。			駆け出し冒険者の毒薬騒動							
事件の調査を続けられるのであれば、ぜひ、エールポートに向かってみてください！			事件の調査を続けられるのであれば、ぜひ、エールポートに向かってみてください！			駆け出し冒険者の毒薬騒動							
Surname殿、ご一緒できて光栄でした！おふたりとも、どうかお気をつけて！			Surname殿、ご一緒できて光栄でした！おふたりとも、どうかお気をつけて！			駆け出し冒険者の毒薬騒動							
イエロージャケットというのは、ここを守る人たちなのよね？そういう人から頼りにされてるなんて、Forenameはすごいわ。			イエロージャケットというのは、ここを守る人たちなのよね？そういう人から頼りにされてるなんて、Forenameはすごいわ。			駆け出し冒険者の毒薬騒動							
遠い異国の地で祭器を取り戻せるか不安だったけど、アナタと、さっきの彼女のおかげで一歩前進よ！			遠い異国の地で祭器を取り戻せるか不安だったけど、アナタと、さっきの彼女のおかげで一歩前進よ！			駆け出し冒険者の毒薬騒動							
犯人たちがさらに移動してしまう前に、さっそくその港町へ出発しましょう！			犯人たちがさらに移動してしまう前に、さっそくその港町へ出発しましょう！			駆け出し冒険者の毒薬騒動							
ワタシは、船でエールポートへ向かうわね。アナタも追跡の準備を整えたら、現地に来てくれると助かるわ。			ワタシは、船でエールポートへ向かうわね。アナタも追跡の準備を整えたら、現地に来てくれると助かるわ。			駆け出し冒険者の毒薬騒動							
ああ、Forename！初めての場所で心配だったけど、無事に合流できてよかった。			ああ、Forename！初めての場所で心配だったけど、無事に合流できてよかった。			駆け出し冒険者の毒薬騒動							
移動中、船頭といろいろとお話しして、エールポート周辺の地理についても教わっておいたわ。犯人の追跡中に、道に迷ったら大変だからね。			移動中、船頭といろいろとお話しして、エールポート周辺の地理についても教わっておいたわ。犯人の追跡中に、道に迷ったら大変だからね。			駆け出し冒険者の毒薬騒動							
あと、行商人の二人組を乗せなかったか聞いてみたけど、珍しい種族の組み合わせではないから、わからないって。			あと、行商人の二人組を乗せなかったか聞いてみたけど、珍しい種族の組み合わせではないから、わからないって。			駆け出し冒険者の毒薬騒動							
そのかわりに、耳寄りな情報をもらったわ。エールポートで長らく働いている商人がいるそうでね、港に出入りしている人のことなら知ってるかもしれないと。			そのかわりに、耳寄りな情報をもらったわ。エールポートで長らく働いている商人がいるそうでね、港に出入りしている人のことなら知ってるかもしれないと。			駆け出し冒険者の毒薬騒動							
相変わらず、手がかりは多くないけど、なんとか犯人の尻尾を掴みたいわね……。			相変わらず、手がかりは多くないけど、なんとか犯人の尻尾を掴みたいわね……。			駆け出し冒険者の毒薬騒動							
ひとまず、その「エールポートの商人」と話してみましょう。この時間なら、スカルバレー側の門の近くで、お仕事をしているそうよ。			ひとまず、その「エールポートの商人」と話してみましょう。この時間なら、スカルバレー側の門の近くで、お仕事をしているそうよ。			駆け出し冒険者の毒薬騒動							
船頭が言っていた「エールポートの商人」は、この人みたいね。			船頭が言っていた「エールポートの商人」は、この人みたいね。			駆け出し冒険者の毒薬騒動							
おや、何か入用か？			おや、何か入用か？			駆け出し冒険者の毒薬騒動							
ララフェル族の男と、ヒューラン族の女……ああ、その組み合わせの行商人だったらさっき見たぞ。知らない顔だったから、印象に残ってなぁ。			ララフェル族の男と、ヒューラン族の女……ああ、その組み合わせの行商人だったらさっき見たぞ。知らない顔だったから、印象に残ってなぁ。			駆け出し冒険者の毒薬騒動							
駆け出しの冒険者相手に、安価で錬金薬を売っていた。新米の支援がてら、必需品を安く売るヤツがたまにいるんだ。			駆け出しの冒険者相手に、安価で錬金薬を売っていた。新米の支援がてら、必需品を安く売るヤツがたまにいるんだ。			駆け出し冒険者の毒薬騒動							
錬金薬を……？その行商人がワタシたちの追っている人だとしたら、薬に何か仕込んでいる可能性があるわ。			錬金薬を……？その行商人がワタシたちの追っている人だとしたら、薬に何か仕込んでいる可能性があるわ。			駆け出し冒険者の毒薬騒動							
おいおい、それは本当なのか？薬を買った冒険者……斧術士のウィスルムと幻術士のゼリグなら、農民の護衛を引き受けて、ここを発ったところだぞ。			おいおい、それは本当なのか？薬を買った冒険者……斧術士のウィスルムと幻術士のゼリグなら、農民の護衛を引き受けて、ここを発ったところだぞ。			駆け出し冒険者の毒薬騒動							
たしか、スウィフトパーチ入植地まで行くと言っていた。彼らはとても気のいいヤツらなんだ……追いかけてやってもらえないか？			たしか、スウィフトパーチ入植地まで行くと言っていた。彼らはとても気のいいヤツらなんだ……追いかけてやってもらえないか？			駆け出し冒険者の毒薬騒動							
ええ、わかったわ！			ええ、わかったわ！			駆け出し冒険者の毒薬騒動							
たしか、「スウィフトパーチ入植地」はここから南東よね？Forename、急いで追いかけましょう！			たしか、「スウィフトパーチ入植地」はここから南東よね？Forename、急いで追いかけましょう！			駆け出し冒険者の毒薬騒動							
俺は商談でここを離れてしまうが、「スウィフトパーチ入植地」へ向かったふたりを、どうか頼む。			俺は商談でここを離れてしまうが、「スウィフトパーチ入植地」へ向かったふたりを、どうか頼む。			駆け出し冒険者の毒薬騒動							
Forename、どこからかわからないけど、視線を感じるわ。今もまだ、何かに「見られている」ような……。			Forename、どこからかわからないけど、視線を感じるわ。今もまだ、何かに「見られている」ような……。			駆け出し冒険者の毒薬騒動							
しゃっくりが、ひっく、止まらなっ……。「ウィスルム」を、ひっく、助けてやって……ひっく！			しゃっくりが、ひっく、止まらなっ……。「ウィスルム」を、ひっく、助けてやって……ひっく！			駆け出し冒険者の毒薬騒動							
あ、危ないところでした……。助けてくださって、ありがとうございます！			あ、危ないところでした……。助けてくださって、ありがとうございます！			駆け出し冒険者の毒薬騒動							
ふぅ……。ありがとよ、もう大丈夫だ！			ふぅ……。ありがとよ、もう大丈夫だ！			駆け出し冒険者の毒薬騒動							
エールポートで買った錬金薬が不良品だったのか、相棒が飲んだら、しゃっくりが止まんなくなっちまってな。魔法も唱えられなくなって、焦ったぜ……。			エールポートで買った錬金薬が不良品だったのか、相棒が飲んだら、しゃっくりが止まんなくなっちまってな。魔法も唱えられなくなって、焦ったぜ……。			駆け出し冒険者の毒薬騒動							
ひっく……。			ひっく……。			駆け出し冒険者の毒薬騒動							
そのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。			そのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。			駆け出し冒険者の毒薬騒動							
毒だぁ！？……いやいやっ、その話は後回しだな！			毒だぁ！？……いやいやっ、その話は後回しだな！			駆け出し冒険者の毒薬騒動							
助けてもらったってのに、さらに図々しいこと言っちまうが、こいつ……ゼリグに「エスナ」を頼めねぇか？			助けてもらったってのに、さらに図々しいこと言っちまうが、こいつ……ゼリグに「エスナ」を頼めねぇか？			駆け出し冒険者の毒薬騒動							
助けてもらっておいて図々しいこと言っちまうけど、ゼリグに「エスナ」を頼めねぇか？			助けてもらっておいて図々しいこと言っちまうけど、ゼリグに「エスナ」を頼めねぇか？			駆け出し冒険者の毒薬騒動							
ゼリグのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。周囲の警戒はワタシに任せて、アナタは彼を癒やしてあげて。			ゼリグのしゃっくりが毒によるものだとしたら、リムサ・ロミンサのときと同じで、エスナで治せるはずよ。周囲の警戒はワタシに任せて、アナタは彼を癒やしてあげて。			駆け出し冒険者の毒薬騒動							
ひっく……。			ひっく……。			駆け出し冒険者の毒薬騒動							
ゼリグは、しゃっくりが止まらず困っているようだ。「エスナ」を使って治そう。			ゼリグは、しゃっくりが止まらず困っているようだ。「エスナ」を使って治そう。			駆け出し冒険者の毒薬騒動							
すまない、助かった。			すまない、助かった。			駆け出し冒険者の毒薬騒動							
ったく、どうして魔法人形なんかがいやがったんだ？それにあの行商人……妙な錬金薬を売りつけやがって！			ったく、どうして魔法人形なんかがいやがったんだ？それにあの行商人……妙な錬金薬を売りつけやがって！			駆け出し冒険者の毒薬騒動							
そこにいるのは、誰？			そこにいるのは、誰？			駆け出し冒険者の毒薬騒動							
(-？？？？-)えぇ、怖ぁ～い！どうして気づくかなぁ……？			(-？？？？-)えぇ、怖ぁ～い！どうして気づくかなぁ……？			駆け出し冒険者の毒薬騒動							
あっ、てめぇ！俺らに錬金薬を売った行商人じゃねえか！			あっ、てめぇ！俺らに錬金薬を売った行商人じゃねえか！			駆け出し冒険者の毒薬騒動							
(-ヒューラン族の女-)薬に沈黙の毒を仕込んだはずなのに、しゃっくりし始めるから、笑っちゃったわ！			(-ヒューラン族の女-)薬に沈黙の毒を仕込んだはずなのに、しゃっくりし始めるから、笑っちゃったわ！			駆け出し冒険者の毒薬騒動							
(-ララフェル族の男-)毒が薬の成分と混ざって、変な風に作用したのでは？まあ、面白かったからいいんじゃないですかね。			(-ララフェル族の男-)毒が薬の成分と混ざって、変な風に作用したのでは？まあ、面白かったからいいんじゃないですかね。			駆け出し冒険者の毒薬騒動							
毒……！やっぱり、アナタたちが祭器を奪った「自由の扉」の一味ね！			毒……！やっぱり、アナタたちが祭器を奪った「自由の扉」の一味ね！			駆け出し冒険者の毒薬騒動							
(-ヒューラン族の女-)ふぅん、その名前を知ってるんだ！それなら、ここは名乗りを上げておこうかなぁ～？			(-ヒューラン族の女-)ふぅん、その名前を知ってるんだ！それなら、ここは名乗りを上げておこうかなぁ～？			駆け出し冒険者の毒薬騒動							
私は自由の扉の一員にして、腕利きの錬金術師「エルレット」よ！			私は自由の扉の一員にして、腕利きの錬金術師「エルレット」よ！			駆け出し冒険者の毒薬騒動							
どうも、お姉さんたち。エルレットの助手をやっている、彫金師の「ココノワ」です。			どうも、お姉さんたち。エルレットの助手をやっている、彫金師の「ココノワ」です。			駆け出し冒険者の毒薬騒動							
あ、もしかしてお姉さんってば、あの部族の人？祭器を取り返すために、わざわざ長旅ご苦労さま～！			あ、もしかしてお姉さんってば、あの部族の人？祭器を取り返すために、わざわざ長旅ご苦労さま～！			駆け出し冒険者の毒薬騒動							
祭器で毒を盛るなんて、目的は何……？これも、自由の扉が狙っている「国家転覆」のためだというの？			祭器で毒を盛るなんて、目的は何……？これも、自由の扉が狙っている「国家転覆」のためだというの？			駆け出し冒険者の毒薬騒動							
あっは、たしかにウチの組織はそんな目標掲げてるけど、正直言って、そういうの興味なくって～。			あっは、たしかにウチの組織はそんな目標掲げてるけど、正直言って、そういうの興味なくって～。			駆け出し冒険者の毒薬騒動							
私はただ、趣味の「イタズラ」を楽しんでるだけ！この祭器って、扱いに慣れてくると、使える毒の種類も強度も増えるし、ほんと面白いよねぇ！			私はただ、趣味の「イタズラ」を楽しんでるだけ！この祭器って、扱いに慣れてくると、使える毒の種類も強度も増えるし、ほんと面白いよねぇ！			駆け出し冒険者の毒薬騒動							
お姉さんのお友だちは腕のいい癒やし手みたいだけど……もう少し練習すれば、簡単には解毒できない強烈なヤツも、使えるようになったりして～！			お姉さんのお友だちは腕のいい癒やし手みたいだけど……もう少し練習すれば、簡単には解毒できない強烈なヤツも、使えるようになったりして～！			駆け出し冒険者の毒薬騒動							
さてと、イタズラも成功したことだし、そろそろ帰ろ～っと！それじゃあ、またねぇ～！			さてと、イタズラも成功したことだし、そろそろ帰ろ～っと！それじゃあ、またねぇ～！			駆け出し冒険者の毒薬騒動							
待ちなさい！			待ちなさい！			駆け出し冒険者の毒薬騒動							
くっせえ！煙幕もひでえ臭いとか、嫌がらせにもほどがあんだろ！			くっせえ！煙幕もひでえ臭いとか、嫌がらせにもほどがあんだろ！			駆け出し冒険者の毒薬騒動							
ああ、つらい……心も体もつらい……。黒衣森の清らかな空気が恋しい……。			ああ、つらい……心も体もつらい……。黒衣森の清らかな空気が恋しい……。			駆け出し冒険者の毒薬騒動							
おいおい、しっかりしてくれよ相棒！ヤツらもいなくなったし、依頼人を送り届けてやんねぇと。			おいおい、しっかりしてくれよ相棒！ヤツらもいなくなったし、依頼人を送り届けてやんねぇと。			駆け出し冒険者の毒薬騒動							
護衛の最中だったからよ、俺らはそろそろ出発するわ。助けてくれて感謝してるぜ、えーっと……。			護衛の最中だったからよ、俺らはそろそろ出発するわ。助けてくれて感謝してるぜ、えーっと……。			駆け出し冒険者の毒薬騒動							
ワタシはローシュカナで、こちらはForename。お仕事、がんばってね。			ワタシはローシュカナで、こちらはForename。お仕事、がんばってね。			駆け出し冒険者の毒薬騒動							
彼女たちもさすがに警戒はするだろうから、ここで悪事を続けるとは考えにくいわ。ひとまず「リムサ・ロミンサ」へ戻りましょうか。			彼女たちもさすがに警戒はするだろうから、ここで悪事を続けるとは考えにくいわ。ひとまず「リムサ・ロミンサ」へ戻りましょうか。			駆け出し冒険者の毒薬騒動							
おかえりなさい、Forename。今回もアナタが同行してくれたおかげで助かったわ。			おかえりなさい、Forename。今回もアナタが同行してくれたおかげで助かったわ。			駆け出し冒険者の毒薬騒動							
彼女……エルレットは「イタズラ」と言っていたけど、毒を使うなんて度が過ぎてる。			彼女……エルレットは「イタズラ」と言っていたけど、毒を使うなんて度が過ぎてる。			駆け出し冒険者の毒薬騒動							
祭器をおもちゃのように扱うなんて……故郷の子どもたちのほうが、よほど分別があるわ。まったく、腹立たしい人たちね。			祭器をおもちゃのように扱うなんて……故郷の子どもたちのほうが、よほど分別があるわ。まったく、腹立たしい人たちね。			駆け出し冒険者の毒薬騒動							
祭器を取り戻すことはできなかったものの、名前と容姿を把握できたから、格段に追いやすくなるはずよ。			祭器を取り戻すことはできなかったものの、名前と容姿を把握できたから、格段に追いやすくなるはずよ。			駆け出し冒険者の毒薬騒動							
これを手がかりに、また情報を探っておくから、どうかまた、力を貸してね。			これを手がかりに、また情報を探っておくから、どうかまた、力を貸してね。			駆け出し冒険者の毒薬騒動							
八分儀広場南のローシュカナは、浮かない顔をしている。			八分儀広場南のローシュカナは、浮かない顔をしている。			毒と暮らす人々							
ローシュカナと話した。エルレットたちの行方を探るため、低地ラノシアのモラビー造船廠で「ローシュカナ」と話そう。			ローシュカナと話した。エルレットたちの行方を探るため、低地ラノシアのモラビー造船廠で「ローシュカナ」と話そう。			毒と暮らす人々							
ローシュカナたちと話した。弟がいなくなって困っている船大工の青年を手助けすることになった。モラビー造船廠で「赤髪の少年」を探そう。			ローシュカナたちと話した。弟がいなくなって困っている船大工の青年を手助けすることになった。モラビー造船廠で「赤髪の少年」を探そう。			毒と暮らす人々							
赤髪の少年と話した。モラビー造船廠の「船大工の青年」と話そう。			赤髪の少年と話した。モラビー造船廠の「船大工の青年」と話そう。			毒と暮らす人々							
船大工の青年と話した。モラビー造船廠の「ローシュカナ」と話そう。			船大工の青年と話した。モラビー造船廠の「ローシュカナ」と話そう。			毒と暮らす人々							
ローシュカナと話した。彼女の集落での暮らしぶりや、部族がどのように祭器を扱ってきたのかなど、いろいろな話を聞いた。故郷のことを話しているうちに、彼女も元気を取り戻せたようだ。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			ローシュカナと話した。彼女の集落での暮らしぶりや、部族がどのように祭器を扱ってきたのかなど、いろいろな話を聞いた。故郷のことを話しているうちに、彼女も元気を取り戻せたようだ。リムサ・ロミンサへ戻り、八分儀広場南の「ローシュカナ」と話そう。			毒と暮らす人々							
ローシュカナたちと話した。エールポートで助けたウィスルムとゼリグが、エルレットたちの捜索に協力してくれるという。新たな情報が入るのを待って、再びローシュカナのもとを訪ねよう。※いずれかのHEALERジョブのレベルが96以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナたちと話した。エールポートで助けたウィスルムとゼリグが、エルレットたちの捜索に協力してくれるという。新たな情報が入るのを待って、再びローシュカナのもとを訪ねよう。※いずれかのHEALERジョブのレベルが96以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			毒と暮らす人々							
モラビー造船廠のローシュカナと話す			モラビー造船廠のローシュカナと話す			毒と暮らす人々							
赤髪の少年を探す			赤髪の少年を探す			毒と暮らす人々							
船大工の青年と話す			船大工の青年と話す			毒と暮らす人々							
ローシュカナと話す			ローシュカナと話す			毒と暮らす人々							
リムサ・ロミンサのローシュカナと話す			リムサ・ロミンサのローシュカナと話す			毒と暮らす人々							
ああ、Forename……。			ああ、Forename……。			毒と暮らす人々							
祭器を盗んだ犯人の容姿と名前がわかって、これで追跡しやすくなったと思ったんだけど……。			祭器を盗んだ犯人の容姿と名前がわかって、これで追跡しやすくなったと思ったんだけど……。			毒と暮らす人々							
西ラノシアでの一件以来、エルレットたちの目撃情報がまったくないの！			西ラノシアでの一件以来、エルレットたちの目撃情報がまったくないの！			毒と暮らす人々							
祭器を取り戻しに来たワタシと遭遇したから、この都市の外で、身を潜めているのかもしれないわ……。			祭器を取り戻しに来たワタシと遭遇したから、この都市の外で、身を潜めているのかもしれないわ……。			毒と暮らす人々							
街の人に聞いたんだけど、この近くに「モラビー造船廠」って場所があるのよね？調べたことがない場所だから、今度はそこで探ってみましょう。			街の人に聞いたんだけど、この近くに「モラビー造船廠」って場所があるのよね？調べたことがない場所だから、今度はそこで探ってみましょう。			毒と暮らす人々							
うう、困ったなぁ……。			うう、困ったなぁ……。			毒と暮らす人々							
Forename！アナタを待ってたら急に声をかけられたんだけど、この人、なんだか困ってるみたいなのよ。			Forename！アナタを待ってたら急に声をかけられたんだけど、この人、なんだか困ってるみたいなのよ。			毒と暮らす人々							
いきなり、すみません！どなたかを待っているようなご様子だったので、少しでもお時間があれば、人探しを手伝ってほしかったんです。			いきなり、すみません！どなたかを待っているようなご様子だったので、少しでもお時間があれば、人探しを手伝ってほしかったんです。			毒と暮らす人々							
その、探してほしいのは俺の弟なんです。船を造っているところを見たいと言うので連れてきたのですが、気づいたら姿が見えなくなっていて……。			その、探してほしいのは俺の弟なんです。船を造っているところを見たいと言うので連れてきたのですが、気づいたら姿が見えなくなっていて……。			毒と暮らす人々							
Forename、予定変更になっちゃうけど、彼の弟さんを探すお手伝いをしてあげてもいいかしら……？			Forename、予定変更になっちゃうけど、彼の弟さんを探すお手伝いをしてあげてもいいかしら……？			毒と暮らす人々							
ありがとう！さっそく手分けして、弟さんの行方を追いましょう。			ありがとう！さっそく手分けして、弟さんの行方を追いましょう。			毒と暮らす人々							
ああ、本当にありがとうございます……！弟は怖がりな子なので、街の外には出ていないはずです。俺と同じ「赤色の髪」を目印に探してもらえると助かります！			ああ、本当にありがとうございます……！弟は怖がりな子なので、街の外には出ていないはずです。俺と同じ「赤色の髪」を目印に探してもらえると助かります！			毒と暮らす人々							
わかったわ！もしかしたら弟さんが戻ってくるかもしれないし、お兄さんはここで待っててもらえる？			わかったわ！もしかしたら弟さんが戻ってくるかもしれないし、お兄さんはここで待っててもらえる？			毒と暮らす人々							
それじゃあ、Forename。この造船廠の中で「赤髪の少年」を探してみましょう。			それじゃあ、Forename。この造船廠の中で「赤髪の少年」を探してみましょう。			毒と暮らす人々							
弟は怖がりな子なので、街の外には出ていないはずです。「赤髪の少年」がいたら弟かもしれないので、声をかけてみてもらえると助かります……！			弟は怖がりな子なので、街の外には出ていないはずです。「赤髪の少年」がいたら弟かもしれないので、声をかけてみてもらえると助かります……！			毒と暮らす人々							
ううっ……。お兄ちゃん……どこなのぉ……。			ううっ……。お兄ちゃん……どこなのぉ……。			毒と暮らす人々							
お、お兄ちゃんに頼まれて、僕のこと、迎えにきてくれたの……？			お、お兄ちゃんに頼まれて、僕のこと、迎えにきてくれたの……？			毒と暮らす人々							
よかった、見つかったのね！怪我もないみたいだし、なによりだわ。			よかった、見つかったのね！怪我もないみたいだし、なによりだわ。			毒と暮らす人々							
僕、もっと高いところに行ったら、お兄ちゃんが造ってる船がよく見えるかもって……。でも、思ってた場所に行けなくて、迷っちゃったんだ。			僕、もっと高いところに行ったら、お兄ちゃんが造ってる船がよく見えるかもって……。でも、思ってた場所に行けなくて、迷っちゃったんだ。			毒と暮らす人々							
あら、それは大冒険だったわね！			あら、それは大冒険だったわね！			毒と暮らす人々							
実はお姉さんもね、初めての場所はよく迷子になるのよ！道は歩いて覚えるほうだから、地図を見ておいても、どこがどこだか、わからなくなっちゃって！			実はお姉さんもね、初めての場所はよく迷子になるのよ！道は歩いて覚えるほうだから、地図を見ておいても、どこがどこだか、わからなくなっちゃって！			毒と暮らす人々							
お姉ちゃんも、迷子になるの……？			お姉ちゃんも、迷子になるの……？			毒と暮らす人々							
大人なのに、迷子になっちゃうんだ。僕と一緒だね！			大人なのに、迷子になっちゃうんだ。僕と一緒だね！			毒と暮らす人々							
ふふ、元気が出たみたいでよかった。でもね、アナタのお兄さんがすっごく心配してたから、今後はひとりでふらっといなくなっちゃダメよ？			ふふ、元気が出たみたいでよかった。でもね、アナタのお兄さんがすっごく心配してたから、今後はひとりでふらっといなくなっちゃダメよ？			毒と暮らす人々							
うん、ごめんなさい……。お兄ちゃんにも、ちゃんと謝らないと。			うん、ごめんなさい……。お兄ちゃんにも、ちゃんと謝らないと。			毒と暮らす人々							
それじゃあ、「船大工の青年」のところに戻りましょう。			それじゃあ、「船大工の青年」のところに戻りましょう。			毒と暮らす人々							
海に落ちたりしていなくて、本当に安心したわ。			海に落ちたりしていなくて、本当に安心したわ。			毒と暮らす人々							
お兄ちゃん、ここにいたんだ……！			お兄ちゃん、ここにいたんだ……！			毒と暮らす人々							
急なお願いにもかかわらず、弟を見つけてくださって、ありがとうございます！何かお礼を……ああでも、持ち合わせが……。			急なお願いにもかかわらず、弟を見つけてくださって、ありがとうございます！何かお礼を……ああでも、持ち合わせが……。			毒と暮らす人々							
それなら、情報をもらいたいわ。もともと人を探しにここへ来たから、手がかりがほしいの。			それなら、情報をもらいたいわ。もともと人を探しにここへ来たから、手がかりがほしいの。			毒と暮らす人々							
最近ここで、動く人形を連れたトナワータ族……ではなくて、ヒューラン族の女性とララフェル族の男性の二人組を見ていない？			最近ここで、動く人形を連れたトナワータ族……ではなくて、ヒューラン族の女性とララフェル族の男性の二人組を見ていない？			毒と暮らす人々							
もしくは、何かを食べたり飲んだりしたとき、体に異常が起きた、なんて話を聞いたりは……？			もしくは、何かを食べたり飲んだりしたとき、体に異常が起きた、なんて話を聞いたりは……？			毒と暮らす人々							
うーん……心当たりはないですね。すみません、お役に立てなくて。			うーん……心当たりはないですね。すみません、お役に立てなくて。			毒と暮らす人々							
いいのよ、気にしないで！ここにはいないって情報がもらえただけでも十分よ。			いいのよ、気にしないで！ここにはいないって情報がもらえただけでも十分よ。			毒と暮らす人々							
おふたりが探している人が、はやく見つかることを祈っています。			おふたりが探している人が、はやく見つかることを祈っています。			毒と暮らす人々							
おっと、そろそろ家に戻らないと……。それでは、本当にお世話になりました！			おっと、そろそろ家に戻らないと……。それでは、本当にお世話になりました！			毒と暮らす人々							
ふぅ……。エルレットたちの足取りはつかめなかったけど、迷子になっていた弟さんが見つかってよかったわ。			ふぅ……。エルレットたちの足取りはつかめなかったけど、迷子になっていた弟さんが見つかってよかったわ。			毒と暮らす人々							
小さい子はしっかり見ていても、好奇心の赴くままに、ふらっといなくなるから……。お兄さんもずいぶん心配したでしょうね。			小さい子はしっかり見ていても、好奇心の赴くままに、ふらっといなくなるから……。お兄さんもずいぶん心配したでしょうね。			毒と暮らす人々							
何と言う？			何と言う？			毒と暮らす人々							
ローシュカナは、子どもが好きなの？			ローシュカナは、子どもが好きなの？			毒と暮らす人々							
その話しぶり、年下の世話に慣れていそうだ			その話しぶり、年下の世話に慣れていそうだ			毒と暮らす人々							
そうね、好きだし世話を焼きたくなっちゃう！お節介にならないようにって、いつも戒めているぐらいよ。			そうね、好きだし世話を焼きたくなっちゃう！お節介にならないようにって、いつも戒めているぐらいよ。			毒と暮らす人々							
なんといっても、ワタシは長女だからね！弟妹たちの扱いには慣れているわよ。			なんといっても、ワタシは長女だからね！弟妹たちの扱いには慣れているわよ。			毒と暮らす人々							
そういえば、あまり自分のことや部族のことを、アナタに話していなかったわね……。			そういえば、あまり自分のことや部族のことを、アナタに話していなかったわね……。			毒と暮らす人々							
せっかくだから、海でも眺めながら、少しお話ししましょうか。			せっかくだから、海でも眺めながら、少しお話ししましょうか。			毒と暮らす人々							
ワタシたちの部族は、サカ・トラルの辺境で動物を狩りながら暮らしていてね。			ワタシたちの部族は、サカ・トラルの辺境で動物を狩りながら暮らしていてね。			毒と暮らす人々							
集落で生まれた子どもは、歩くことを覚えるより前に自分の槍を与えられる。そうして幼いころから、狩人としての鍛錬が始まるの。			集落で生まれた子どもは、歩くことを覚えるより前に自分の槍を与えられる。そうして幼いころから、狩人としての鍛錬が始まるの。			毒と暮らす人々							
ふふ、アナタもそんな顔をするのね。ワタシにとっては、それが当たり前だったから、ここに来ていろいろな生き方があると知って、本当に驚いた。			ふふ、アナタもそんな顔をするのね。ワタシにとっては、それが当たり前だったから、ここに来ていろいろな生き方があると知って、本当に驚いた。			毒と暮らす人々							
でもね、厳しい鍛錬には理由があるの。ワタシたちが暮らす土地には、毒性のある動植物が多くて、狩りで負った、ちょっとした怪我が死に繋がってしまうのよ。			でもね、厳しい鍛錬には理由があるの。ワタシたちが暮らす土地には、毒性のある動植物が多くて、狩りで負った、ちょっとした怪我が死に繋がってしまうのよ。			毒と暮らす人々							
とはいえ、どんなに鍛錬しても怪我を負うことはある。そこで役立つのが「サソリの祭器」よ。			とはいえ、どんなに鍛錬しても怪我を負うことはある。そこで役立つのが「サソリの祭器」よ。			毒と暮らす人々							
あの祭器には、毒を付与するだけではなく、逆に「無毒化」するという神秘の力が備わってる……。			あの祭器には、毒を付与するだけではなく、逆に「無毒化」するという神秘の力が備わってる……。			毒と暮らす人々							
毒に冒された人を救えるだけじゃないわ。食べたら確実に死ぬと言われている「石虫」の触手ですら、無毒化して食料とすることができるほどよ。			毒に冒された人を救えるだけじゃないわ。食べたら確実に死ぬと言われている「石虫」の触手ですら、無毒化して食料とすることができるほどよ。			毒と暮らす人々							
つまり、故郷で暮らせるのは祭器のおかげ。その恩恵を受けているワタシたち以外は寄り付かない土地だから、よその部族との戦とは無縁の場所だったわ。			つまり、故郷で暮らせるのは祭器のおかげ。その恩恵を受けているワタシたち以外は寄り付かない土地だから、よその部族との戦とは無縁の場所だったわ。			毒と暮らす人々							
だから、エルレットたちのような異国の民が、祭器を盗みに来るなんて、思ってもみなくって……。			だから、エルレットたちのような異国の民が、祭器を盗みに来るなんて、思ってもみなくって……。			毒と暮らす人々							
