流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			死に鎖された森							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			救いを求める声							
何をする？			何をする？			救いを求める声							
話す			話す			救いを求める声							
同行状態を解除する			同行状態を解除する			救いを求める声							
キャンセル			キャンセル			救いを求める声							
皆、普段通りの生活を続けてはいるようですが、不安を隠しきれていない様子。少しでも和らげることができれば良いのですが……。			皆、普段通りの生活を続けてはいるようですが、不安を隠しきれていない様子。少しでも和らげることができれば良いのですが……。			救いを求める声							
やはり人々とじかに対話してみると、人づてに聞いたときとは、ずいぶん違います。より差し迫った印象を強く受けます。			やはり人々とじかに対話してみると、人づてに聞いたときとは、ずいぶん違います。より差し迫った印象を強く受けます。			救いを求める声							
角尊が聞いた精霊の声を、人々に伝える場合にも、同じような印象のずれは起こるのでしょうね。できるだけ、正確に伝達できると良いのですが……。			角尊が聞いた精霊の声を、人々に伝える場合にも、同じような印象のずれは起こるのでしょうね。できるだけ、正確に伝達できると良いのですが……。			救いを求める声							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			救いを求める声							
どこか立ち寄りたいところがあるのですね。では、私は「根渡り沼」で待っております。			どこか立ち寄りたいところがあるのですね。では、私は「根渡り沼」で待っております。			救いを求める声							
用事はもう済んだのでしょうか。それでは、「集落の人々」の不安を解消するため、直接話しにいくとしましょう。			用事はもう済んだのでしょうか。それでは、「集落の人々」の不安を解消するため、直接話しにいくとしましょう。			救いを求める声							
森の奥で、大きな角を持つ恐ろしい獣を見かけたんです。集落までやって来るのも、時間の問題でしょう。そうしたら、みんな殺されてしまうかもしれません……。			森の奥で、大きな角を持つ恐ろしい獣を見かけたんです。集落までやって来るのも、時間の問題でしょう。そうしたら、みんな殺されてしまうかもしれません……。			救いを求める声							
いいえ、そのようなことにはなりません。グレイプニルは、私たちが倒します。だから、絶望に呑まれず、気を強く持ってください。			いいえ、そのようなことにはなりません。グレイプニルは、私たちが倒します。だから、絶望に呑まれず、気を強く持ってください。			救いを求める声							
ああ、カヌ・エ様……！あなたのお言葉なら、信じましょう。どうか、一日も早く、森に静寂を取り戻してください。			ああ、カヌ・エ様……！あなたのお言葉なら、信じましょう。どうか、一日も早く、森に静寂を取り戻してください。			救いを求める声							
ええ、必ず……！			ええ、必ず……！			救いを求める声							
森に出没してる獣に襲われて、怪我してしまったら、絶対助からないって、本当なの？それでもう何人も死んでるって……！			森に出没してる獣に襲われて、怪我してしまったら、絶対助からないって、本当なの？それでもう何人も死んでるって……！			救いを求める声							
恐れていても、何も解決はしません。私たちが、必ず治療法を見つけます。あなた方は、それを信じていてください。			恐れていても、何も解決はしません。私たちが、必ず治療法を見つけます。あなた方は、それを信じていてください。			救いを求める声							
……そうね、カヌ・エ様も危険を冒してるんだもの。安全なところに隠れてる私たちが、騒いでも仕方ないわ。無事に事態が収束するよう、祈っております……！			……そうね、カヌ・エ様も危険を冒してるんだもの。安全なところに隠れてる私たちが、騒いでも仕方ないわ。無事に事態が収束するよう、祈っております……！			救いを求める声							
ありがとうございます。その祈り、決して無駄にはしません……！			ありがとうございます。その祈り、決して無駄にはしません……！			救いを求める声							
幻術皇……つまり角尊は、俺たち普通のヒューラン族とは違う。きっと獣に襲われて怪我をしても、平気なんだ。だから対処が遅いんだよ。			幻術皇……つまり角尊は、俺たち普通のヒューラン族とは違う。きっと獣に襲われて怪我をしても、平気なんだ。だから対処が遅いんだよ。			救いを求める声							
そんな連中に命を預けるなんて、馬鹿のすることだ。もうグリダニアは捨てて、よその国に行こうぜ！			そんな連中に命を預けるなんて、馬鹿のすることだ。もうグリダニアは捨てて、よその国に行こうぜ！			救いを求める声							
あっ、カヌ・エ様！？今の話は、その……。			あっ、カヌ・エ様！？今の話は、その……。			救いを求める声							
……事態の収拾に手間取っているのは事実です。私の至らなさが、あなた方を不安にさせてしまっており、本当に申し訳なく思います。			……事態の収拾に手間取っているのは事実です。私の至らなさが、あなた方を不安にさせてしまっており、本当に申し訳なく思います。			救いを求める声							
……ですが、どうか、もう少しだけ、私を信じてはいただけませんか？皆が愛する平和な森を、必ず取り戻してみせます！			……ですが、どうか、もう少しだけ、私を信じてはいただけませんか？皆が愛する平和な森を、必ず取り戻してみせます！			救いを求める声							
……わかりました。俺だって、本当は生まれ育った国を捨てたくはありません。もう少し、様子を見てみます……もう少しだけ。			……わかりました。俺だって、本当は生まれ育った国を捨てたくはありません。もう少し、様子を見てみます……もう少しだけ。			救いを求める声							
仰る通り、怯えていてもいいことはないですよね。自分が率先して、みんなを励ましてまわろうと思います！			仰る通り、怯えていてもいいことはないですよね。自分が率先して、みんなを励ましてまわろうと思います！			救いを求める声							
死ぬのが怖いのは、みんな一緒……。どうか、十分に気をつけてくださいね！			死ぬのが怖いのは、みんな一緒……。どうか、十分に気をつけてくださいね！			救いを求める声							
つい感情的になって、失礼なこと言っちまいました……。森の民として、角尊を尊敬する気持ちに変わりはありません。どうか、俺たちをお救いください……！			つい感情的になって、失礼なこと言っちまいました……。森の民として、角尊を尊敬する気持ちに変わりはありません。どうか、俺たちをお救いください……！			救いを求める声							
おや、カヌ・エ様はご一緒ではないのですか？			おや、カヌ・エ様はご一緒ではないのですか？			救いを求める声							
カヌ・エ様、もうよろしいのですか？			カヌ・エ様、もうよろしいのですか？			救いを求める声							
はい、これで動揺が収まってくれればよいのですが……。一刻も早く、グレイプニルを倒さねばならないというときに、今はまだ、この程度のことしかできません。			はい、これで動揺が収まってくれればよいのですが……。一刻も早く、グレイプニルを倒さねばならないというときに、今はまだ、この程度のことしかできません。			救いを求める声							
何と言う？			何と言う？			救いを求める声							
精霊だけじゃなく、人の声を聞くことも大事だ			精霊だけじゃなく、人の声を聞くことも大事だ			救いを求める声							
このやり方では解決に至らないと？			このやり方では解決に至らないと？			救いを求める声							
ええ、私もそう信じております。これは回り道ではなく、必要なことなのだと。			ええ、私もそう信じております。これは回り道ではなく、必要なことなのだと。			救いを求める声							
いいえ、進むべき道は決まっています。ただ、長い道のりなのだなと、改めて思い知っただけです。			いいえ、進むべき道は決まっています。ただ、長い道のりなのだなと、改めて思い知っただけです。			救いを求める声							
とにかく、幻術皇が森の奥にこもっていては、人々の不安は募るばかり……。			とにかく、幻術皇が森の奥にこもっていては、人々の不安は募るばかり……。			救いを求める声							
護衛のあなたには負担をかけてしまいますが、今は、外に出て偽神獣の対策に当たることを許してくださいね。			護衛のあなたには負担をかけてしまいますが、今は、外に出て偽神獣の対策に当たることを許してくださいね。			救いを求める声							
とんでもない。御身がそこにいらっしゃるからこそ、私はあの時……カルテノーの地で、命を救われたのです。			とんでもない。御身がそこにいらっしゃるからこそ、私はあの時……カルテノーの地で、命を救われたのです。			救いを求める声							
そうでしたね……。			そうでしたね……。			救いを求める声							
そういえば……私は子どもの時分も、よく修行の合間に幼馴染とともに抜け出して、師から怒られていました。			そういえば……私は子どもの時分も、よく修行の合間に幼馴染とともに抜け出して、師から怒られていました。			救いを求める声							
これはもう、一生治らない、癖のようなものですね。			これはもう、一生治らない、癖のようなものですね。			救いを求める声							
カヌ・エ様、国境付近を警備している隊士から報せが……少々……いえ、クソ面倒なことが生じているようです。			カヌ・エ様、国境付近を警備している隊士から報せが……少々……いえ、クソ面倒なことが生じているようです。			救いを求める声							
何事です？			何事です？			救いを求める声							
偽神獣を恐れた者たちが、東ザナラーンへと、避難しようとしているそうです。			偽神獣を恐れた者たちが、東ザナラーンへと、避難しようとしているそうです。			救いを求める声							
どうやら、鎖死病に感染すると信じきっていて、不安が限界に達している様子で……。			どうやら、鎖死病に感染すると信じきっていて、不安が限界に達している様子で……。			救いを求める声							
絶望から獣に転じる危険がある……ということですか。			絶望から獣に転じる危険がある……ということですか。			救いを求める声							
誤った情報が広まるのも避けたいところです。私が直接、病に感染する危険はないと話し、不安を和らげるようにしましょう。			誤った情報が広まるのも避けたいところです。私が直接、病に感染する危険はないと話し、不安を和らげるようにしましょう。			救いを求める声							
恐れ入ります。ロウアーパスで「鬼哭隊の隊士」が応対しています。急ぎ向かってください。			恐れ入ります。ロウアーパスで「鬼哭隊の隊士」が応対しています。急ぎ向かってください。			救いを求める声							
ザナラーンへと続く国境は、ロウアーパスにあります。「鬼哭隊の隊士」が避難希望者の応対をしていますので、急ぎ向かってください。			ザナラーンへと続く国境は、ロウアーパスにあります。「鬼哭隊の隊士」が避難希望者の応対をしていますので、急ぎ向かってください。			救いを求める声							
かなり興奮しているようですね。刺激しないよう、なんとか説得してみましょう。			かなり興奮しているようですね。刺激しないよう、なんとか説得してみましょう。			救いを求める声							
カヌ・エ様のお言葉なら、きっと……！			カヌ・エ様のお言葉なら、きっと……！			救いを求める声							
どうして通してくれない！？このまま黒衣森に留まっていたら、鎖死病になっちまう！俺たちに死ねって言うのかッ！？			どうして通してくれない！？このまま黒衣森に留まっていたら、鎖死病になっちまう！俺たちに死ねって言うのかッ！？			救いを求める声							
だから、それは誤解だと。今はカヌ・エ様を筆頭に、原因の究明を優先している。ましてや、獣と鎖死病との関連性は今も調査中なのだ。			だから、それは誤解だと。今はカヌ・エ様を筆頭に、原因の究明を優先している。ましてや、獣と鎖死病との関連性は今も調査中なのだ。			救いを求める声							
不正確な情報を他国にまで広めるわけにはいかない。どうか、落ち着いてほしい。			不正確な情報を他国にまで広めるわけにはいかない。どうか、落ち着いてほしい。			救いを求める声							
不正確だって？何人も死んでるのは事実だろうが！			不正確だって？何人も死んでるのは事実だろうが！			救いを求める声							
あなたのお気持ちはわかります。しかし、偽神獣の毒気は、鎖死病とは性質が異なります。直接怪我を負わされない限り、危険はないでしょう。			あなたのお気持ちはわかります。しかし、偽神獣の毒気は、鎖死病とは性質が異なります。直接怪我を負わされない限り、危険はないでしょう。			救いを求める声							
そ、それじゃあ、やっぱり危険じゃねぇか！あの化物はもう、すぐそこまで来てるんだから、ここから離れた方が、確実に安全だ！			そ、それじゃあ、やっぱり危険じゃねぇか！あの化物はもう、すぐそこまで来てるんだから、ここから離れた方が、確実に安全だ！			救いを求める声							
なんだって！？もしかして、あなた方はすでに偽神獣……グレイプニルと遭遇を？			なんだって！？もしかして、あなた方はすでに偽神獣……グレイプニルと遭遇を？			救いを求める声							
……ああ、そうだよ。俺たちは森の奥で、大きな角がある鎖模様の獣に襲われ、一目散に逃げてきたんだ。			……ああ、そうだよ。俺たちは森の奥で、大きな角がある鎖模様の獣に襲われ、一目散に逃げてきたんだ。			救いを求める声							
おっと、安心してくれ。俺たちは、そのグレイなんとかって獣と接触しちゃあいない。だから、あんたたちにまで感染する心配はないぜ。			おっと、安心してくれ。俺たちは、そのグレイなんとかって獣と接触しちゃあいない。だから、あんたたちにまで感染する心配はないぜ。			救いを求める声							
なぁ……。接触するって、具体的にどういうことを指すんだ？			なぁ……。接触するって、具体的にどういうことを指すんだ？			救いを求める声							
遭遇しただけでは、問題ないと考えられています。ただし、角や爪で傷を負わされると、傷口から毒気が入るらしく、鎖死病に似た症状が現れるのです。			遭遇しただけでは、問題ないと考えられています。ただし、角や爪で傷を負わされると、傷口から毒気が入るらしく、鎖死病に似た症状が現れるのです。			救いを求める声							
ただの……かすり傷でも……？			ただの……かすり傷でも……？			救いを求める声							
くそっ、だとしたら、もう手遅れってことなのか？……さっきから……身体中が死ぬほど、痛ぇんだ……！			くそっ、だとしたら、もう手遅れってことなのか？……さっきから……身体中が死ぬほど、痛ぇんだ……！			救いを求める声							
お前、それ……逃げるときに樹の根っこに足をひっかけて、転んでできた傷だって言ってたじゃねぇか！まさか、あの獣にやられたのか！？			お前、それ……逃げるときに樹の根っこに足をひっかけて、転んでできた傷だって言ってたじゃねぇか！まさか、あの獣にやられたのか！？			救いを求める声							
天駆ける風、力の根源へと我を導き、そを与えたまえ……！			天駆ける風、力の根源へと我を導き、そを与えたまえ……！			救いを求める声							
全然、効かねぇ……。もっとだ……もっと頼む……！			全然、効かねぇ……。もっとだ……もっと頼む……！			救いを求める声							
痛ぇ……いてぇよぉ……。			痛ぇ……いてぇよぉ……。			救いを求める声							
解毒の魔法が効かない……！これは、やはり偽神獣の毒気……。			解毒の魔法が効かない……！これは、やはり偽神獣の毒気……。			救いを求める声							
だめです、絶望してはいけません！			だめです、絶望してはいけません！			救いを求める声							
い、いやだ、死にたくない……。誰か、助けて……。			い、いやだ、死にたくない……。誰か、助けて……。			救いを求める声							
うがあぁぁぁぁ！！			うがあぁぁぁぁ！！			救いを求める声							
危険です、下がって！			危険です、下がって！			救いを求める声							
う、嘘だろ……？まさか、俺の身体も……？			う、嘘だろ……？まさか、俺の身体も……？			救いを求める声							
もう誰も信じねぇ……何も信じられねぇ！俺は死にたくねぇぞおおぉぉ……！			もう誰も信じねぇ……何も信じられねぇ！俺は死にたくねぇぞおおぉぉ……！			救いを求める声							
……！これが、獣への転化……。こうなっては、もう元に戻す術は……？			……！これが、獣への転化……。こうなっては、もう元に戻す術は……？			救いを求める声							
……止むを得ません。			……止むを得ません。			救いを求める声							
残念ながら、止むを得ません……。			残念ながら、止むを得ません……。			救いを求める声							
これが、終末の獣……！			これが、終末の獣……！			救いを求める声							
民のことは我々に任せてくれ！			民のことは我々に任せてくれ！			救いを求める声							
あ、ああ、アイツが化け物に……！？			あ、ああ、アイツが化け物に……！？			救いを求める声							
そ、そんな、ウソでしょ！なにが起きてるの……！？			そ、そんな、ウソでしょ！なにが起きてるの……！？			救いを求める声							
絶望によって、人が獣へと転じる……。初めて目の当たりにしましたが、これほど無惨なものだとは。			絶望によって、人が獣へと転じる……。初めて目の当たりにしましたが、これほど無惨なものだとは。			救いを求める声							
こんな、こんなのって……。病で死ぬよりひどいじゃないか……！			こんな、こんなのって……。病で死ぬよりひどいじゃないか……！			救いを求める声							
い、イヤよ、私はイヤ……！死ぬのも、獣になるのも、何もかもイヤッ……！			い、イヤよ、私はイヤ……！死ぬのも、獣になるのも、何もかもイヤッ……！			救いを求める声							
すでに襲われていたとは……。やりきれませんね。			すでに襲われていたとは……。やりきれませんね。			救いを求める声							
また、救うことができなかった……！なんと無力なのでしょう……。			また、救うことができなかった……！なんと無力なのでしょう……。			救いを求める声							
カヌ・エ様……。			カヌ・エ様……。			救いを求める声							
あの……私たちもあのようになってしまうんでしょうか？これからいったい、どうすれば……。			あの……私たちもあのようになってしまうんでしょうか？これからいったい、どうすれば……。			救いを求める声							
……ご覧になったとおり、獣への転化は、襲われた傷が直接の原因ではなく、深い絶望に囚われたことによって起こります。			……ご覧になったとおり、獣への転化は、襲われた傷が直接の原因ではなく、深い絶望に囚われたことによって起こります。			救いを求める声							
グレイプニルと毒気の問題は、私が必ず解決します。ですからあなた方は、何があっても絶望しないで、希望を持ち続けてください。			グレイプニルと毒気の問題は、私が必ず解決します。ですからあなた方は、何があっても絶望しないで、希望を持ち続けてください。			救いを求める声							
……わかりました。			……わかりました。			救いを求める声							
どうやら、グレイプニルは、もうこの周辺にはいないようです。どうか、このまま戻っていただけないでしょうか。			どうやら、グレイプニルは、もうこの周辺にはいないようです。どうか、このまま戻っていただけないでしょうか。			救いを求める声							
はい……。			はい……。			救いを求める声							
……この場は収まりましたが、根本的な問題は、何も解決していません。			……この場は収まりましたが、根本的な問題は、何も解決していません。			救いを求める声							
死への恐怖は、これからも人々の心に広まり続け、グレイプニルに襲われずして、獣に堕ちる者が現れかねない。それほどまでに、事態はひっ迫していたのです。			死への恐怖は、これからも人々の心に広まり続け、グレイプニルに襲われずして、獣に堕ちる者が現れかねない。それほどまでに、事態はひっ迫していたのです。			救いを求める声							
精霊の声は、私たちに獣を退治せよと告げていますが、このままでは、犠牲者が増えるばかり……。			精霊の声は、私たちに獣を退治せよと告げていますが、このままでは、犠牲者が増えるばかり……。			救いを求める声							
ここはラヤ・オの言うとおり、森の大精霊に語りかけ、その力を借りるしかありません。			ここはラヤ・オの言うとおり、森の大精霊に語りかけ、その力を借りるしかありません。			救いを求める声							
私は対話に備え、身を清めに不語仙の座卓に向かいます。あなた方は、「双蛇党：統合司令部」に戻り、私の準備が整うまで、待っていていただけますか？			私は対話に備え、身を清めに不語仙の座卓に向かいます。あなた方は、「双蛇党：統合司令部」に戻り、私の準備が整うまで、待っていていただけますか？			救いを求める声							
国境でのことは聞いたわ。あたしだって、角尊が無力だなんて、思いたくないけど……今は、精霊の力を頼るしかなさそう。			国境でのことは聞いたわ。あたしだって、角尊が無力だなんて、思いたくないけど……今は、精霊の力を頼るしかなさそう。			救いを求める声							
前回に続き、今回もまた、犠牲者を出してしまいました。命を救うとは、なんと難しいことか……。			前回に続き、今回もまた、犠牲者を出してしまいました。命を救うとは、なんと難しいことか……。			救いを求める声							
それでも我々は、前に進まなければなりません。一刻も早く、グレイプニルの脅威に終止符を打たねば……！			それでも我々は、前に進まなければなりません。一刻も早く、グレイプニルの脅威に終止符を打たねば……！			救いを求める声							
英雄殿は、カヌ・エ様の御準備が整うまで、今しばらく待機をお願いいたします。			英雄殿は、カヌ・エ様の御準備が整うまで、今しばらく待機をお願いいたします。			救いを求める声							
双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
白蛇の守人と話した。グレイプニルが中央森林に出現したらしい。中央森林のスカンポの安息所の、「指定地点」で見渡し、カヌ・エ・センナと合流しよう。			白蛇の守人と話した。グレイプニルが中央森林に出現したらしい。中央森林のスカンポの安息所の、「指定地点」で見渡し、カヌ・エ・センナと合流しよう。			偽りの角							
獣の群れに襲われ、討伐した。「損耗した装備」を調べよう。			獣の群れに襲われ、討伐した。「損耗した装備」を調べよう。			偽りの角							
どうやら、鬼哭隊の隊士たちは、グレイプニルと交戦し、負傷した末、絶望から獣へと転じてしまったらしい。付近の「指定地点」で見渡して、終末の獣が出現したら討伐しよう。			どうやら、鬼哭隊の隊士たちは、グレイプニルと交戦し、負傷した末、絶望から獣へと転じてしまったらしい。付近の「指定地点」で見渡して、終末の獣が出現したら討伐しよう。			偽りの角							
付近の獣を討伐した。中央森林のエバーシェイドの「指定地点」で待機し、カヌ・エ・センナと合流しよう。			付近の獣を討伐した。中央森林のエバーシェイドの「指定地点」で待機し、カヌ・エ・センナと合流しよう。			偽りの角							
カヌ・エ・センナが、森の大精霊との対話を試みたが、失敗に終わったようだ。直後、グレイプニルが出現、交戦の末、カヌ・エが昏倒してしまう。冒険者が超える力でグレイプニルの過去を垣間見ると、グレイプニルは何処かへと去っていくのだった。負傷したカヌ・エを治療するため、一旦戻ることになった。双蛇党：統合司令部にいる「白蛇の守人」と話そう。			カヌ・エ・センナが、森の大精霊との対話を試みたが、失敗に終わったようだ。直後、グレイプニルが出現、交戦の末、カヌ・エが昏倒してしまう。冒険者が超える力でグレイプニルの過去を垣間見ると、グレイプニルは何処かへと去っていくのだった。負傷したカヌ・エを治療するため、一旦戻ることになった。双蛇党：統合司令部にいる「白蛇の守人」と話そう。			偽りの角							
白蛇の守人と話した。カヌ・エ・センナの治療が終わるまで、今は待機していよう。※いずれかのTANKジョブのレベルが88以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			白蛇の守人と話した。カヌ・エ・センナの治療が終わるまで、今は待機していよう。※いずれかのTANKジョブのレベルが88以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			偽りの角							
スカンポの安息所の指定地点で見渡す			スカンポの安息所の指定地点で見渡す			偽りの角							
損耗した装備を調べる			損耗した装備を調べる			偽りの角							
指定地点で見渡して終末の獣が出現したら討伐			指定地点で見渡して終末の獣が出現したら討伐			偽りの角							
指定地点で待機する			指定地点で待機する			偽りの角							
双蛇党：統合司令部の白蛇の守人と話す			双蛇党：統合司令部の白蛇の守人と話す			偽りの角							
黒衣森の各地で、グレイプニルの被害者が増えているようです。幻術士ギルドが人員を派遣し、対処に当たっていますが、いまだ治療に成功したという話はありません……。			黒衣森の各地で、グレイプニルの被害者が増えているようです。幻術士ギルドが人員を派遣し、対処に当たっていますが、いまだ治療に成功したという話はありません……。			偽りの角							
毒気がもたらす症状が不治であることから、まだ体力がある負傷者も、絶望から獣に転じてしまうそうで……。			毒気がもたらす症状が不治であることから、まだ体力がある負傷者も、絶望から獣に転じてしまうそうで……。			偽りの角							
さらには、その身内や縁者までも、愛する人を喪った絶望から獣となってしまい、今度は「人が獣になる噂」が広まっているとか。			さらには、その身内や縁者までも、愛する人を喪った絶望から獣となってしまい、今度は「人が獣になる噂」が広まっているとか。			偽りの角							
まさに悪循環。もはやカヌ・エ様が直接対話されたところで、人々の混乱は収まらないかもしれません……。			まさに悪循環。もはやカヌ・エ様が直接対話されたところで、人々の混乱は収まらないかもしれません……。			偽りの角							
何と言う？			何と言う？			偽りの角							
一刻も早く、グレイプニルを倒さなければ！			一刻も早く、グレイプニルを倒さなければ！			偽りの角							
毒気を浄化する方法さえ見つかれば……			毒気を浄化する方法さえ見つかれば……			偽りの角							
はい。現在カヌ・エ様が、浄化の力を増すための手段として、大精霊に助力を仰ぐべく、対話の準備を進めてるのですが……。			はい。現在カヌ・エ様が、浄化の力を増すための手段として、大精霊に助力を仰ぐべく、対話の準備を進めてるのですが……。			偽りの角							
英雄殿、大変です！グレイプニルが出現したとの報せが……！すでに鬼哭隊が交戦中とのことです。			英雄殿、大変です！グレイプニルが出現したとの報せが……！すでに鬼哭隊が交戦中とのことです。			偽りの角							
しかも、よりによってグレイプニルが暴れているのは、大精霊が宿る中央森林の「長老の木」付近……！			しかも、よりによってグレイプニルが暴れているのは、大精霊が宿る中央森林の「長老の木」付近……！			偽りの角							
長老の木になにかあれば、大精霊との対話も不可能に……。それだけは絶対に阻止しなければなりません！			長老の木になにかあれば、大精霊との対話も不可能に……。それだけは絶対に阻止しなければなりません！			偽りの角							
私は至急カヌ・エ様に報せてまいりますので、「スカンポの安息所」で合流しましょう！			私は至急カヌ・エ様に報せてまいりますので、「スカンポの安息所」で合流しましょう！			偽りの角							
周囲に、損耗した装備が散乱している。グレイプニルと戦った跡だろうか？衛士たちの姿は見えないようだが……。			周囲に、損耗した装備が散乱している。グレイプニルと戦った跡だろうか？衛士たちの姿は見えないようだが……。			偽りの角							
これは……ここで何があったのです？			これは……ここで何があったのです？			偽りの角							
鬼哭隊の姿は無く、装備だけが見つかり、そこに獣が襲ってきた、と……。			鬼哭隊の姿は無く、装備だけが見つかり、そこに獣が襲ってきた、と……。			偽りの角							
グレイプニルが相手であったとしても、鬼哭隊の精鋭が装備を捨てて逃げ出すはずはありません。つまり……。			グレイプニルが相手であったとしても、鬼哭隊の精鋭が装備を捨てて逃げ出すはずはありません。つまり……。			偽りの角							
みな、グレイプニルと交戦した際に手傷を負い、毒気に身体を蝕まれてしまった。そして、その絶望から獣に……そういうことでしょう。			みな、グレイプニルと交戦した際に手傷を負い、毒気に身体を蝕まれてしまった。そして、その絶望から獣に……そういうことでしょう。			偽りの角							
それで、グレイプニルはどこに？まだ遠くには行っていないはず……！			それで、グレイプニルはどこに？まだ遠くには行っていないはず……！			偽りの角							
周辺一帯から、淀んだ絶望の気配を感じます。迎撃にあたった鬼哭隊が全滅したとすると、周辺には相当な数の獣が出現しているのでしょう。			周辺一帯から、淀んだ絶望の気配を感じます。迎撃にあたった鬼哭隊が全滅したとすると、周辺には相当な数の獣が出現しているのでしょう。			偽りの角							
グレイプニルとの決戦に備え、大精霊の助力を得ておきたかったのですが……。さりとて危険な獣たちを、放置しておくわけにもまいりません。			グレイプニルとの決戦に備え、大精霊の助力を得ておきたかったのですが……。さりとて危険な獣たちを、放置しておくわけにもまいりません。			偽りの角							
ここは二手に分かれ、周囲の獣を探し討伐してから、長老の木のもとで落ち合うことに致しましょう。			ここは二手に分かれ、周囲の獣を探し討伐してから、長老の木のもとで落ち合うことに致しましょう。			偽りの角							
これほど多くの異物が森に溢れていると、大精霊も呼びかけに応じてはくれないでしょう。先に、鬼哭隊が転じた獣たちを討伐してからでなくては……。			これほど多くの異物が森に溢れていると、大精霊も呼びかけに応じてはくれないでしょう。先に、鬼哭隊が転じた獣たちを討伐してからでなくては……。			偽りの角							
鬼哭隊をはじめとする護り手たちが獣に転じてしまえば、残された民には、自らを護る力がありません。早くこの連鎖を断ち切らねば……！			鬼哭隊をはじめとする護り手たちが獣に転じてしまえば、残された民には、自らを護る力がありません。早くこの連鎖を断ち切らねば……！			偽りの角							
どうやらこの周辺には、獣はいないようだ。ほかの場所を探そう。			どうやらこの周辺には、獣はいないようだ。ほかの場所を探そう。			偽りの角							
この周辺の獣は、すべて討伐できたようだ。「エバーシェイド」へ向かおう。			この周辺の獣は、すべて討伐できたようだ。「エバーシェイド」へ向かおう。			偽りの角							
この周辺には、もう獣はいないようですね……。			この周辺には、もう獣はいないようですね……。			偽りの角							
痛ましいことですが、今は悲しみに浸ってもいられません。			痛ましいことですが、今は悲しみに浸ってもいられません。			偽りの角							
さっそく、森の大精霊との対話に挑みましょう。			さっそく、森の大精霊との対話に挑みましょう。			偽りの角							
ああっ……！			ああっ……！			偽りの角							
カヌ・エ様！どうされたのですか！？			カヌ・エ様！どうされたのですか！？			偽りの角							
……どうやら、大精霊は私たちの想像以上に、偽神獣がもたらす脅威に怯えているようです。			……どうやら、大精霊は私たちの想像以上に、偽神獣がもたらす脅威に怯えているようです。			偽りの角							
こちらからの呼びかけに応えるどころか、ただただ、強く繰り返すばかりでした。「異物を排除せよ」と……。			こちらからの呼びかけに応えるどころか、ただただ、強く繰り返すばかりでした。「異物を排除せよ」と……。			偽りの角							
毒気の脅威を払うためには、まずは精霊の混乱を鎮めなくては……。			毒気の脅威を払うためには、まずは精霊の混乱を鎮めなくては……。			偽りの角							
そんな、カヌ・エ様のお言葉も届かないだなんて……。　			そんな、カヌ・エ様のお言葉も届かないだなんて……。　			偽りの角							
……来ます！			……来ます！			偽りの角							
間違いありません。これが、黒衣森を害する偽神獣、グレイプニル……！			間違いありません。これが、黒衣森を害する偽神獣、グレイプニル……！			偽りの角							
みなさん、下がってください！			みなさん、下がってください！			偽りの角							
グレイプニルの狙いは、長老の木！？これ以上、森を傷つけさせるわけには……！			グレイプニルの狙いは、長老の木！？これ以上、森を傷つけさせるわけには……！			偽りの角							
角の先端から毒気が……！危険です、離れてください！			角の先端から毒気が……！危険です、離れてください！			偽りの角							
くっ……！やはり……私の力では、抑えきれない……！？			くっ……！やはり……私の力では、抑えきれない……！？			偽りの角							
我々、角尊は、盟約によって精霊より祝福を賜りし存在。この大地に生まれし時より、自然と人々の架け橋となる責務を担っています。			我々、角尊は、盟約によって精霊より祝福を賜りし存在。この大地に生まれし時より、自然と人々の架け橋となる責務を担っています。			偽りの角							
特に秀でた者は、幻術皇の位に就き、森都グリダニアを導いていくことになります。			特に秀でた者は、幻術皇の位に就き、森都グリダニアを導いていくことになります。			偽りの角							
おふたりのうちの、どちらかが……いえ、おふたり揃って幻術皇になれるよう、願っております。			おふたりのうちの、どちらかが……いえ、おふたり揃って幻術皇になれるよう、願っております。			偽りの角							
(-角尊の少女-)私、幻術皇になんかなりたくない。角尊にだって、なりたくてなったわけじゃないもん。			(-角尊の少女-)私、幻術皇になんかなりたくない。角尊にだって、なりたくてなったわけじゃないもん。			偽りの角							
(-角尊の少女-)普通に生まれて、みんなと一緒に年をとりたかった。こんなヘンテコな角、大っ嫌い。			(-角尊の少女-)普通に生まれて、みんなと一緒に年をとりたかった。こんなヘンテコな角、大っ嫌い。			偽りの角							
