鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
聞けば鍛冶師どのは、冒険者としてもご高名なお方とか！クルザス西部高地、「ファルコンネスト」北までご足労いただき、ロリス様と会えましたら、武具周りの世話をお願いできませぬか？			聞けば鍛冶師どのは、冒険者としてもご高名なお方とか！クルザス西部高地、「ファルコンネスト」北までご足労いただき、ロリス様と会えましたら、武具周りの世話をお願いできませぬか？			令嬢と盗賊							
あなた、たしか鍛冶師の……どうしてここに？さてはじいに頼まれて、様子を見にきたのね？			あなた、たしか鍛冶師の……どうしてここに？さてはじいに頼まれて、様子を見にきたのね？			令嬢と盗賊							
心配には及ばないわ。デュランデル家の騎兵団が募兵していたから、腕試しがてら、哨戒任務を志願したのよ。			心配には及ばないわ。デュランデル家の騎兵団が募兵していたから、腕試しがてら、哨戒任務を志願したのよ。			令嬢と盗賊							
こいつらは皇都で盗みを働いた、ならず者……。たったいま見つけて、縛りあげたところよ。			こいつらは皇都で盗みを働いた、ならず者……。たったいま見つけて、縛りあげたところよ。			令嬢と盗賊							
……何よ？私の姿に、何かおかしなところでも？			……何よ？私の姿に、何かおかしなところでも？			令嬢と盗賊							
ロリスの姿におかしな点がある？			ロリスの姿におかしな点がある？			令嬢と盗賊							
防具が変わった			防具が変わった			令嬢と盗賊							
特にない			特にない			令嬢と盗賊							
……さすがに鍛冶師の眼はごまかせないわね。いつもの鎧を着けていないのは、装甲を留めていたリベットが壊れたせいよ。			……さすがに鍛冶師の眼はごまかせないわね。いつもの鎧を着けていないのは、装甲を留めていたリベットが壊れたせいよ。			令嬢と盗賊							
……別に、気を遣わなくてもいいのよ？いつもの鎧を着けていないのは、装甲を留めていたリベットが壊れたせいよ。			……別に、気を遣わなくてもいいのよ？いつもの鎧を着けていないのは、装甲を留めていたリベットが壊れたせいよ。			令嬢と盗賊							
大事な上覧試合までには、直しておきたいけど……任務の給金くらいじゃ、修繕費用も出せないわね。あなたに、無償でリベットを作ってもらうわけにはいかないし。			大事な上覧試合までには、直しておきたいけど……任務の給金くらいじゃ、修繕費用も出せないわね。あなたに、無償でリベットを作ってもらうわけにはいかないし。			令嬢と盗賊							
ま、心配しないで……亡きお父様も、よく言っていたもの。勝負で大切なのは「必ず勝つ」という気持ちだって！			ま、心配しないで……亡きお父様も、よく言っていたもの。勝負で大切なのは「必ず勝つ」という気持ちだって！			令嬢と盗賊							
じいに伝えておいて、私はこのとおり無事だと。……ほら、そこの悪党ども！　さっさと行くわよ！			じいに伝えておいて、私はこのとおり無事だと。……ほら、そこの悪党ども！　さっさと行くわよ！			令嬢と盗賊							
鍛冶師どの！どうでした、ロリスお嬢様とはお会いできましたか？			鍛冶師どの！どうでした、ロリスお嬢様とはお会いできましたか？			令嬢と盗賊							
……なんと募兵に応じて、哨戒任務を！？その上、一張羅の鎧が壊れてしまったですと？			……なんと募兵に応じて、哨戒任務を！？その上、一張羅の鎧が壊れてしまったですと？			令嬢と盗賊							
ふむ……ロリス様いわく、勝負で大切なのは気持ちだ、と。たしかにそれは、先代のお館様の言葉の一部ですが……			ふむ……ロリス様いわく、勝負で大切なのは気持ちだ、と。たしかにそれは、先代のお館様の言葉の一部ですが……			令嬢と盗賊							
亡き先代の口癖は、正確にはこうでございます！「勝負で大切なのは、着慣れた鎧と、必ず勝つという気持ちだ」さてはお嬢様、強がって肝心なところを端折りましたな！			亡き先代の口癖は、正確にはこうでございます！「勝負で大切なのは、着慣れた鎧と、必ず勝つという気持ちだ」さてはお嬢様、強がって肝心なところを端折りましたな！			令嬢と盗賊							
ロリス様が上覧試合を勝ち進むには、あの甲冑が不可欠。破損したリベットを、3袋ほど製作してはいただけぬでしょうか？品名はたしか、「ミスライトリベット」……。			ロリス様が上覧試合を勝ち進むには、あの甲冑が不可欠。破損したリベットを、3袋ほど製作してはいただけぬでしょうか？品名はたしか、「ミスライトリベット」……。			令嬢と盗賊							
先に申しあげたとおり、お約束できる報酬は「名誉」だけですが……お家再興のため、何卒、お頼み申し上げまする！			先に申しあげたとおり、お約束できる報酬は「名誉」だけですが……お家再興のため、何卒、お頼み申し上げまする！			令嬢と盗賊							
いかがでしょう……？「ミスライトリベット」を3袋、お持ちいただけましたか？			いかがでしょう……？「ミスライトリベット」を3袋、お持ちいただけましたか？			令嬢と盗賊							
おお、これは恐悦至極！これを打ちつければ、ロリス様の鎧も、もとどおり！その程度ならば、私の手でも修繕が可能です。			おお、これは恐悦至極！これを打ちつければ、ロリス様の鎧も、もとどおり！その程度ならば、私の手でも修繕が可能です。			令嬢と盗賊							
……いまひとつ、まことに厚かましいお願いですが。どうか、鍛冶師どのに無償でお世話になっておることは、お嬢様には、くれぐれも内密にお願いいたします。			……いまひとつ、まことに厚かましいお願いですが。どうか、鍛冶師どのに無償でお世話になっておることは、お嬢様には、くれぐれも内密にお願いいたします。			令嬢と盗賊							
いま、お嬢様の胸中を占めるのは、上覧試合のみ。余計な心配など召されず、修行に励んでいただきたいゆえ……。			いま、お嬢様の胸中を占めるのは、上覧試合のみ。余計な心配など召されず、修行に励んでいただきたいゆえ……。			令嬢と盗賊							
鍛冶師ギルドのブリサエルは、冒険者に重要な仕事を任せたいようだ。			鍛冶師ギルドのブリサエルは、冒険者に重要な仕事を任せたいようだ。			想い乗せ羽ばたく剣							
ブリサエルから依頼を受けた。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」と話そう。			ブリサエルから依頼を受けた。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」と話そう。			想い乗せ羽ばたく剣							
フェーズアールと話した。リムサ・ロミンサの冒険者ギルドを囲む橋梁にいる「古風なミコッテ族」と話そう。			フェーズアールと話した。リムサ・ロミンサの冒険者ギルドを囲む橋梁にいる「古風なミコッテ族」と話そう。			想い乗せ羽ばたく剣							
古風なミコッテ族と話した。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」に「雄略のマテリダ」のついた「ウィングレット」を1個納品しよう。			古風なミコッテ族と話した。リムサ・ロミンサの鍛冶師ギルドにいる「フェーズアール」に「雄略のマテリダ」のついた「ウィングレット」を1個納品しよう。			想い乗せ羽ばたく剣							
フェーズアールにウィングレットを納品した。リムサ・ロミンサの鍛冶師ギルドにいる「古風なミコッテ族」と話そう。			フェーズアールにウィングレットを納品した。リムサ・ロミンサの鍛冶師ギルドにいる「古風なミコッテ族」と話そう。			想い乗せ羽ばたく剣							
古風なミコッテ族と話した。リミサ・ロミンサの鍛冶師ギルドにいる「ブリサエル」に報告しよう。			古風なミコッテ族と話した。リミサ・ロミンサの鍛冶師ギルドにいる「ブリサエル」に報告しよう。			想い乗せ羽ばたく剣							
ブリサエルに報告した。ブリサエルは、今回の難しい仕事は、冒険者でなくては果たせなかったろうと感心した。冒険者の腕前は、もはや鍛冶師ギルドの看板職人といっても過言ではないと、ブリサエルは絶賛してくれた。冒険者の業績は、鍛冶師ギルドで語り継がれるだろう。伝説化する己の業績に押し潰されないよう、鍛冶師として努力をし続けよう。※以下の条件を満たすと、鍛冶師ギルドのブリサエルから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			ブリサエルに報告した。ブリサエルは、今回の難しい仕事は、冒険者でなくては果たせなかったろうと感心した。冒険者の腕前は、もはや鍛冶師ギルドの看板職人といっても過言ではないと、ブリサエルは絶賛してくれた。冒険者の業績は、鍛冶師ギルドで語り継がれるだろう。伝説化する己の業績に押し潰されないよう、鍛冶師として努力をし続けよう。※以下の条件を満たすと、鍛冶師ギルドのブリサエルから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			想い乗せ羽ばたく剣							
フェーズアールと話す			フェーズアールと話す			想い乗せ羽ばたく剣							
冒険者ギルドを囲む橋梁にいる古風なミコッテ族と話す			冒険者ギルドを囲む橋梁にいる古風なミコッテ族と話す			想い乗せ羽ばたく剣							
フェーズアールに「雄略のマテリダ」のついたウィングレットを納品			フェーズアールに「雄略のマテリダ」のついたウィングレットを納品			想い乗せ羽ばたく剣							
古風なミコッテ族と話す			古風なミコッテ族と話す			想い乗せ羽ばたく剣							
ブリサエルに報告			ブリサエルに報告			想い乗せ羽ばたく剣							
先日のミュリエルさん、ウルダハのコロセウムで大活躍してらっしゃるそうですよ。言わば、戦う広告塔になってくださってます。			先日のミュリエルさん、ウルダハのコロセウムで大活躍してらっしゃるそうですよ。言わば、戦う広告塔になってくださってます。			想い乗せ羽ばたく剣							
おかげで、巷ではキミとギルドの評判は、うなぎのぼり。最近では、僕も胃薬知らずです！			おかげで、巷ではキミとギルドの評判は、うなぎのぼり。最近では、僕も胃薬知らずです！			想い乗せ羽ばたく剣							
ひっきりなしに依頼が入るものですから、どれをキミに回すかという、別の悩みができましたが……重要な案件は、キミに任せるしかありません。			ひっきりなしに依頼が入るものですから、どれをキミに回すかという、別の悩みができましたが……重要な案件は、キミに任せるしかありません。			想い乗せ羽ばたく剣							
……また、キミにしかできない依頼がきています。詳しいことは、仲介役の「フェーズアール」氏に聞いてください。			……また、キミにしかできない依頼がきています。詳しいことは、仲介役の「フェーズアール」氏に聞いてください。			想い乗せ羽ばたく剣							
あの方が……今までと少し雰囲気の違う、深刻そうな顔をしていました。気を引き締めて、依頼に取りかかってください。			あの方が……今までと少し雰囲気の違う、深刻そうな顔をしていました。気を引き締めて、依頼に取りかかってください。			想い乗せ羽ばたく剣							
む、ヌシか……待っておったぞ。いまやヌシはリムサ・ロミンサで一番の鍛冶師じゃ。その腕を見込んで、ぜひとも頼みたいシゴトがある。			む、ヌシか……待っておったぞ。いまやヌシはリムサ・ロミンサで一番の鍛冶師じゃ。その腕を見込んで、ぜひとも頼みたいシゴトがある。			想い乗せ羽ばたく剣							
……ヌシの評判、遠くグリダニアでも鳴り響いておる。ヌシの作ったものならば、鉄器嫌いの偏屈なあの連中が、喜んで買ってくれるほどにのう。			……ヌシの評判、遠くグリダニアでも鳴り響いておる。ヌシの作ったものならば、鉄器嫌いの偏屈なあの連中が、喜んで買ってくれるほどにのう。			想い乗せ羽ばたく剣							
この評判を聞き、ヌシを紹介してほしいという依頼が来た。今でこそ、グリダニアに身を隠しているが、昔、ウルダハのコロセウムで準優勝している方だ。			この評判を聞き、ヌシを紹介してほしいという依頼が来た。今でこそ、グリダニアに身を隠しているが、昔、ウルダハのコロセウムで準優勝している方だ。			想い乗せ羽ばたく剣							
……詳しい事情や、依頼については、本人の口から聞いてみてくれい。			……詳しい事情や、依頼については、本人の口から聞いてみてくれい。			想い乗せ羽ばたく剣							
冒険者ギルドを囲む橋梁にて、「古風なミコッテ族」を探すのだ。人目を忍びつつ、ヌシを待っているぞ。			冒険者ギルドを囲む橋梁にて、「古風なミコッテ族」を探すのだ。人目を忍びつつ、ヌシを待っているぞ。			想い乗せ羽ばたく剣							
Forenameさまで、ございやすね？わざわざご足労いただき、まっこと恐悦至極に存じやす。故あって名前は明かせぬ失礼……なにとぞご容赦のほどを。			Forenameさまで、ございやすね？わざわざご足労いただき、まっこと恐悦至極に存じやす。故あって名前は明かせぬ失礼……なにとぞご容赦のほどを。			想い乗せ羽ばたく剣							
此度の身勝手なお願いは、あなたさまを見込んでのことと、どうか大目に見てくだせえと、お願い申し上げやす。			此度の身勝手なお願いは、あなたさまを見込んでのことと、どうか大目に見てくだせえと、お願い申し上げやす。			想い乗せ羽ばたく剣							
とはいえ、こちらの頼みは難しいことじゃあございやせん。ある御仁のため、剣を打っていただきたいのでございやす。			とはいえ、こちらの頼みは難しいことじゃあございやせん。ある御仁のため、剣を打っていただきたいのでございやす。			想い乗せ羽ばたく剣							
その御仁の名は……ブロンズ・ブル。かつて、コロセウムで私に勝利し、私を生かしてくれた、偉大なる闘士でございやす。			その御仁の名は……ブロンズ・ブル。かつて、コロセウムで私に勝利し、私を生かしてくれた、偉大なる闘士でございやす。			想い乗せ羽ばたく剣							
故あって、故郷ウルダハを離れておいででしたが、近ごろ舞い戻り、コロセウムの闘士をやっておられるとか。			故あって、故郷ウルダハを離れておいででしたが、近ごろ舞い戻り、コロセウムの闘士をやっておられるとか。			想い乗せ羽ばたく剣							
その仕儀からすれば、称えられてしかるべき御仁。なれど、顔を隠し一介の闘士として、故郷に戻った彼に、私は朋友としての気持ちを、贈りたいのでございやす。			その仕儀からすれば、称えられてしかるべき御仁。なれど、顔を隠し一介の闘士として、故郷に戻った彼に、私は朋友としての気持ちを、贈りたいのでございやす。			想い乗せ羽ばたく剣							
打ってほしい品は、「雄略のマテリダ」をつけた「ウィングレット」をひと振り。鍔に翼持つこの剣に、我が思いを託したいのでござんす。			打ってほしい品は、「雄略のマテリダ」をつけた「ウィングレット」をひと振り。鍔に翼持つこの剣に、我が思いを託したいのでござんす。			想い乗せ羽ばたく剣							
私のように過去に縛られるな、羽ばたけ、と。			私のように過去に縛られるな、羽ばたけ、と。			想い乗せ羽ばたく剣							
完成したら、「鍛冶師ギルド」にいる「フェーズアール」殿に、お渡しくださいやすか？後のことは、あの方にお任せしてございやす。			完成したら、「鍛冶師ギルド」にいる「フェーズアール」殿に、お渡しくださいやすか？後のことは、あの方にお任せしてございやす。			想い乗せ羽ばたく剣							
話は依頼人から聞いておる。気持ちを込めた「雄略のマテリダ」つきの「ウィングレット」を頼むぞい。			話は依頼人から聞いておる。気持ちを込めた「雄略のマテリダ」つきの「ウィングレット」を頼むぞい。			想い乗せ羽ばたく剣							
うむ、「ウィングレット」は確かに預かった。それでじゃな、ひとつだけ頼みがあるそうじゃ。			うむ、「ウィングレット」は確かに預かった。それでじゃな、ひとつだけ頼みがあるそうじゃ。			想い乗せ羽ばたく剣							
なんでも依頼人は、ブロンズ・ブルに品を渡すのを、目の前でやってほしいんじゃと。本人は物陰に隠れ、姿を見せぬそうじゃが……			なんでも依頼人は、ブロンズ・ブルに品を渡すのを、目の前でやってほしいんじゃと。本人は物陰に隠れ、姿を見せぬそうじゃが……			想い乗せ羽ばたく剣							
なに、段取りはワガハイに任せておくがええ。心配せず、ヌシは早う支度に入ってくれ。			なに、段取りはワガハイに任せておくがええ。心配せず、ヌシは早う支度に入ってくれ。			想い乗せ羽ばたく剣							
よお！俺っちに用があるんだって、フェーズアールの旦那？一体全体、何なんだい？			よお！俺っちに用があるんだって、フェーズアールの旦那？一体全体、何なんだい？			想い乗せ羽ばたく剣							
おうおう、よう来てくれたのうブロンズ・ブル。なぁに、ヌシにとっても悪い話じゃない。むしろ良い話じゃ。			おうおう、よう来てくれたのうブロンズ・ブル。なぁに、ヌシにとっても悪い話じゃない。むしろ良い話じゃ。			想い乗せ羽ばたく剣							
良い話？			良い話？			想い乗せ羽ばたく剣							
左様、ヌシに差し入れしたいという方がおっての。ワガハイが届ける役目を請け負ったんじゃよ。			左様、ヌシに差し入れしたいという方がおっての。ワガハイが届ける役目を請け負ったんじゃよ。			想い乗せ羽ばたく剣							
プレゼント？　俺っちにかい？いや、気持ちはありがてぇがさ……。今はそういうの受け取る気分じゃねぇんだがな。			プレゼント？　俺っちにかい？いや、気持ちはありがてぇがさ……。今はそういうの受け取る気分じゃねぇんだがな。			想い乗せ羽ばたく剣							
負けが、かさんでおるからかの？			負けが、かさんでおるからかの？			想い乗せ羽ばたく剣							
それは……！			それは……！			想い乗せ羽ばたく剣							
まぁ、そう渋い顔するでない。そんなヌシだからこそ、この場に来てもらったんじゃ。ホレ、ヌシのために作った剣じゃ。			まぁ、そう渋い顔するでない。そんなヌシだからこそ、この場に来てもらったんじゃ。ホレ、ヌシのために作った剣じゃ。			想い乗せ羽ばたく剣							
こいつは……すごい、な……！なあ、この剣はあんたが作ったのか？			こいつは……すごい、な……！なあ、この剣はあんたが作ったのか？			想い乗せ羽ばたく剣							
いやすごいな、すごい剣だぜこれは。本当に、もらっちまってもいいのかい？			いやすごいな、すごい剣だぜこれは。本当に、もらっちまってもいいのかい？			想い乗せ羽ばたく剣							
うむ、依頼主はそう望んでおるとも。ヌシへの贈り物だそうじゃよ。			うむ、依頼主はそう望んでおるとも。ヌシへの贈り物だそうじゃよ。			想い乗せ羽ばたく剣							
あ、ああ、そうかい。ありがたいけどよ……でも、なんで俺っちにこれを？			あ、ああ、そうかい。ありがたいけどよ……でも、なんで俺っちにこれを？			想い乗せ羽ばたく剣							
陰ながらヌシを応援している御仁が、その翼持つ剣に、自分の気持ちを託したそうじゃ。			陰ながらヌシを応援している御仁が、その翼持つ剣に、自分の気持ちを託したそうじゃ。			想い乗せ羽ばたく剣							
過去に縛られるな、羽ばたけとな。			過去に縛られるな、羽ばたけとな。			想い乗せ羽ばたく剣							
そうか……残念だな。……でも、ありがたく使わせてもらう。			そうか……残念だな。……でも、ありがたく使わせてもらう。			想い乗せ羽ばたく剣							
姿を見せてくれなくてもいい。俺っちにこんな贈り物をしてくれる奴なんてもう今は一人しか心当たりがねぇしな。			姿を見せてくれなくてもいい。俺っちにこんな贈り物をしてくれる奴なんてもう今は一人しか心当たりがねぇしな。			想い乗せ羽ばたく剣							
ほほう、そうなのかいの？			ほほう、そうなのかいの？			想い乗せ羽ばたく剣							
元気でいてくれたことが分かっただけで十分。霊災以来、連絡が取れなかったからな。			元気でいてくれたことが分かっただけで十分。霊災以来、連絡が取れなかったからな。			想い乗せ羽ばたく剣							
もう何も、昔のことに心配はなくなった。ならばこの剣のごとく、未来に羽ばたいてみせるぜ！			もう何も、昔のことに心配はなくなった。ならばこの剣のごとく、未来に羽ばたいてみせるぜ！			想い乗せ羽ばたく剣							
……俺っちは誓うぜ。この剣と、そしてこの剣を贈ってくれた盟友に。今度こそ、実力でコロセウムのテッペン取ってやるってな。			……俺っちは誓うぜ。この剣と、そしてこの剣を贈ってくれた盟友に。今度こそ、実力でコロセウムのテッペン取ってやるってな。			想い乗せ羽ばたく剣							
この剣があれば、絶対にやってみせる！そのことを、奴によろしく伝えてくれ。			この剣があれば、絶対にやってみせる！そのことを、奴によろしく伝えてくれ。			想い乗せ羽ばたく剣							
やれやれ、バレておりやしたか。さすがに、あの方は何でもお見通しでございやすな……。			やれやれ、バレておりやしたか。さすがに、あの方は何でもお見通しでございやすな……。			想い乗せ羽ばたく剣							
……しかし、お互い、おおっぴらに会うことはできない身の上。これでいいのでございやすよ。			……しかし、お互い、おおっぴらに会うことはできない身の上。これでいいのでございやすよ。			想い乗せ羽ばたく剣							
あなたさまのおかげで、私の心を彼に届けられやした。感謝の言葉もございやせん。			あなたさまのおかげで、私の心を彼に届けられやした。感謝の言葉もございやせん。			想い乗せ羽ばたく剣							
……おあしについてでございやすが、すでに「ギルドマスター」へ、お渡ししておきやした。それでは、私はこれで失礼しやす。			……おあしについてでございやすが、すでに「ギルドマスター」へ、お渡ししておきやした。それでは、私はこれで失礼しやす。			想い乗せ羽ばたく剣							
お疲れ様でした、仕事は完璧にこなしていただけたようで。紹介した僕も鼻が高いですよ。			お疲れ様でした、仕事は完璧にこなしていただけたようで。紹介した僕も鼻が高いですよ。			想い乗せ羽ばたく剣							
キミが来てから僕はずいぶんと助けられてますね。おかげで胃痛の完治も見えてきました！			キミが来てから僕はずいぶんと助けられてますね。おかげで胃痛の完治も見えてきました！			想い乗せ羽ばたく剣							
ですが僕の体調以上にキミという鍛冶師を得られたことが僕は嬉しい。			ですが僕の体調以上にキミという鍛冶師を得られたことが僕は嬉しい。			想い乗せ羽ばたく剣							
あの「ウィングレット」に込められた気持ち……僕でさえ、感じ入るものがありました。			あの「ウィングレット」に込められた気持ち……僕でさえ、感じ入るものがありました。			想い乗せ羽ばたく剣							
己のみならず、お客の心さえも品物へと込める……これこそまさに、超一流の鍛冶師のシゴトです。			己のみならず、お客の心さえも品物へと込める……これこそまさに、超一流の鍛冶師のシゴトです。			想い乗せ羽ばたく剣							
胸を張ってください、Forename。今のキミはまぎれもなく……ギルドいちの名工なんですよ。			胸を張ってください、Forename。今のキミはまぎれもなく……ギルドいちの名工なんですよ。			想い乗せ羽ばたく剣							
キミの作った品々の輝きは……まさに別格。キミのような職人がいたことは末永くギルドで語り継がれることでしょう。			キミの作った品々の輝きは……まさに別格。キミのような職人がいたことは末永くギルドで語り継がれることでしょう。			想い乗せ羽ばたく剣							
「鍛冶師」の物語が、ひとつの区切りを迎えました！次の「鍛冶師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「鍛冶師」の物語が、ひとつの区切りを迎えました！次の「鍛冶師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			想い乗せ羽ばたく剣							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			想い乗せ羽ばたく剣							
条件を満たし、鍛冶師ギルドの、「ブリサエル」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、鍛冶師ギルドの、「ブリサエル」に話しかけ、新たなクラスクエストを開始しましょう！			想い乗せ羽ばたく剣							
鍛冶師ギルドのブリサエルのもとに、奇妙な依頼が入ったようだ。			鍛冶師ギルドのブリサエルのもとに、奇妙な依頼が入ったようだ。			直情娘、震える							
ひんがしの国からの来訪者が、ギルド一番の職人に依頼をしたいと頼んできた。だが、何故か、依頼人のことをセッカには秘密にしておかねばならないらしい。船着場：リムサ・ロミンサで依頼人の「シントウ」に、詳しい依頼内容を聞こう。			ひんがしの国からの来訪者が、ギルド一番の職人に依頼をしたいと頼んできた。だが、何故か、依頼人のことをセッカには秘密にしておかねばならないらしい。船着場：リムサ・ロミンサで依頼人の「シントウ」に、詳しい依頼内容を聞こう。			直情娘、震える							
シントウから、「錆びだらけのクズ鉄」を渡され、可能な限り斬れ味のいい刀を打ってほしいと頼まれた。依頼人のことを秘密にしておけば、セッカに相談してもいいらしい。リムサ・ロミンサのアンカーヤードにいる「セッカ」に「錆びだらけのクズ鉄」を渡して相談しよう。			シントウから、「錆びだらけのクズ鉄」を渡され、可能な限り斬れ味のいい刀を打ってほしいと頼まれた。依頼人のことを秘密にしておけば、セッカに相談してもいいらしい。リムサ・ロミンサのアンカーヤードにいる「セッカ」に「錆びだらけのクズ鉄」を渡して相談しよう。			直情娘、震える							
セッカから、頑丈さに主眼を置いた刀を提案された。セッカに預けた「錆だらけのクズ鉄」をもとに「太身の打刀」を製作し、船着場：リムサ・ロミンサ付近の「シントウ」に納品しよう。※「錆だらけのクズ鉄」を失った場合は、セッカに話しかけましょう。材料を入手し、再挑戦が可能になります。			セッカから、頑丈さに主眼を置いた刀を提案された。セッカに預けた「錆だらけのクズ鉄」をもとに「太身の打刀」を製作し、船着場：リムサ・ロミンサ付近の「シントウ」に納品しよう。※「錆だらけのクズ鉄」を失った場合は、セッカに話しかけましょう。材料を入手し、再挑戦が可能になります。			直情娘、震える							
シントウは「太身の打刀」の出来栄えに満足してくれたようだ。鍛冶師ギルドの「ブリサエル」に報告しよう。			シントウは「太身の打刀」の出来栄えに満足してくれたようだ。鍛冶師ギルドの「ブリサエル」に報告しよう。			直情娘、震える							
シントウの正体は、セッカの父親だった。シントウの言葉に憤慨したブリサエルは、彼を見返すためセッカに力を貸すことを決断する。どうすればセッカを認めてもらえるか、ブリサエルの考えがまとまるのを待とう。※鍛冶師のレベルが68以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			シントウの正体は、セッカの父親だった。シントウの言葉に憤慨したブリサエルは、彼を見返すためセッカに力を貸すことを決断する。どうすればセッカを認めてもらえるか、ブリサエルの考えがまとまるのを待とう。※鍛冶師のレベルが68以上になると、鍛冶師ギルドのブリサエルから、次の鍛冶師クエストを受注することができます。			直情娘、震える							
船着場：リムサ・ロミンサ付近のシントウと話す			船着場：リムサ・ロミンサ付近のシントウと話す			直情娘、震える							
アンカーヤードのセッカに錆びだらけのクズ鉄を渡して相談する			アンカーヤードのセッカに錆びだらけのクズ鉄を渡して相談する			直情娘、震える							
製作手帳 クラスクエスト：太身の打刀を製作船着場：リムサ・ロミンサのシントウに太身の打刀を納品			製作手帳 クラスクエスト：太身の打刀を製作船着場：リムサ・ロミンサのシントウに太身の打刀を納品			直情娘、震える							
鍛冶師ギルドのブリサエルに報告			鍛冶師ギルドのブリサエルに報告			直情娘、震える							
あ、Forename……。セッカさん、多少はマシになってきましたよ。ギルド員との衝突も、段々と減ってきてますし……。			あ、Forename……。セッカさん、多少はマシになってきましたよ。ギルド員との衝突も、段々と減ってきてますし……。			直情娘、震える							
このままギルドも僕の胃も、落ち着いてほしいのですが……どうやら、そうもいかないようです。若干、奇妙な依頼が入りまして。			このままギルドも僕の胃も、落ち着いてほしいのですが……どうやら、そうもいかないようです。若干、奇妙な依頼が入りまして。			直情娘、震える							
セッカさん同様、ひんがしの国から来た方の依頼で、ギルドで一番の腕利きに武器を用立ててほしい、と……。まあ、それだけなら普通の依頼と言えるでしょう。			セッカさん同様、ひんがしの国から来た方の依頼で、ギルドで一番の腕利きに武器を用立ててほしい、と……。まあ、それだけなら普通の依頼と言えるでしょう。			直情娘、震える							
しかし、今回の依頼人は、更に条件を出してきたんです。現在ギルドに身を寄せている、東方よりの刀鍛冶……セッカさんに、依頼人の素性を喋ってはならない、と。			しかし、今回の依頼人は、更に条件を出してきたんです。現在ギルドに身を寄せている、東方よりの刀鍛冶……セッカさんに、依頼人の素性を喋ってはならない、と。			直情娘、震える							
ね、奇妙な依頼じゃありません……？同郷のセッカさんに、依頼人のことを秘密にしておけなんて。そもそも、何故セッカさんのことを知っているんでしょう……。			ね、奇妙な依頼じゃありません……？同郷のセッカさんに、依頼人のことを秘密にしておけなんて。そもそも、何故セッカさんのことを知っているんでしょう……。			直情娘、震える							
……相手の意図は不明ですが、うちで一番の職人はキミです。件の依頼人「シントウ」さんは「船着場」付近で待つとのこと。ちょっと、話を聞いてみてくれませんか？			……相手の意図は不明ですが、うちで一番の職人はキミです。件の依頼人「シントウ」さんは「船着場」付近で待つとのこと。ちょっと、話を聞いてみてくれませんか？			直情娘、震える							
同郷のセッカさんには秘密にしておけって……この東方からの依頼人は、彼女の知り合いなんでしょうか。「船着場」付近の「シントウ」さんに、話を聞いてみてください。			同郷のセッカさんには秘密にしておけって……この東方からの依頼人は、彼女の知り合いなんでしょうか。「船着場」付近の「シントウ」さんに、話を聞いてみてください。			直情娘、震える							
……出迎えに感謝する、そなたがギルド一番の鍛冶師か。そなたには、東方の侍が使う「刀」を打ってもらいたい。どうだ、「刀」を打った経験はあるか？			……出迎えに感謝する、そなたがギルド一番の鍛冶師か。そなたには、東方の侍が使う「刀」を打ってもらいたい。どうだ、「刀」を打った経験はあるか？			直情娘、震える							
「刀」を打ったことはある？			「刀」を打ったことはある？			直情娘、震える							
それは頼もしい……。なにせ、私が用意した素材は「これ」だからな……。			それは頼もしい……。なにせ、私が用意した素材は「これ」だからな……。			直情娘、震える							
では、多少厳しい依頼となるやもしれんぞ。なにせ、私が用意した素材は「これ」だからな……。			では、多少厳しい依頼となるやもしれんぞ。なにせ、私が用意した素材は「これ」だからな……。			直情娘、震える							
後で見ればわかるが、ろくな使いみちもないクズ鉄だ……。だがそれで、可能なかぎり出来のいい、東方の侍が使う「刀」を打ってもらいたい。			後で見ればわかるが、ろくな使いみちもないクズ鉄だ……。だがそれで、可能なかぎり出来のいい、東方の侍が使う「刀」を打ってもらいたい。			直情娘、震える							
何故、そんな素材を渡すのかという顔だな……。ふむ……しばし待て……。			何故、そんな素材を渡すのかという顔だな……。ふむ……しばし待て……。			直情娘、震える							
旅の途中で路銀が尽き、クズ鉄しか調達できなかった。そちらに素材を用立ててもらっても、見合う報酬は渡せない。すまんが、これで頼む……といったところか。			旅の途中で路銀が尽き、クズ鉄しか調達できなかった。そちらに素材を用立ててもらっても、見合う報酬は渡せない。すまんが、これで頼む……といったところか。			直情娘、震える							
