ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			秘められし民の想い							
(-野太い男のような声-)うう……ううう……く……苦しい……助け……て……。			(-野太い男のような声-)うう……ううう……く……苦しい……助け……て……。			黄泉神降臨							
親父、どうしたんだッ！？			親父、どうしたんだッ！？			黄泉神降臨							
そなたの父は苦しんでおる……。			そなたの父は苦しんでおる……。			黄泉神降臨							
それもこれも、死すべき者たちが誤って生き延びたため。黄泉国の亡者が足りぬことで、責め苦を受けておるのだ。			それもこれも、死すべき者たちが誤って生き延びたため。黄泉国の亡者が足りぬことで、責め苦を受けておるのだ。			黄泉神降臨							
そ、そんな……。じゃあ、どうしたら親父は救われるんだ……？			そ、そんな……。じゃあ、どうしたら親父は救われるんだ……？			黄泉神降臨							
安心するがいい。我らのもとに、黄泉神イザナミ様が現れてくださった。			安心するがいい。我らのもとに、黄泉神イザナミ様が現れてくださった。			黄泉神降臨							
イザナミ様が死すべき者たちを黄泉国へと送ることで、そなたの父も含め、すべての亡者が安らかに眠れるであろう。			イザナミ様が死すべき者たちを黄泉国へと送ることで、そなたの父も含め、すべての亡者が安らかに眠れるであろう。			黄泉神降臨							
お、俺の父ちゃんとも話をさせてくれ！			お、俺の父ちゃんとも話をさせてくれ！			黄泉神降臨							
私の夫の霊魂も口寄せして！			私の夫の霊魂も口寄せして！			黄泉神降臨							
俺も頼む！			俺も頼む！			黄泉神降臨							
死者の口寄せ……。果たしてそんなことが可能なのだろうか……？			死者の口寄せ……。果たしてそんなことが可能なのだろうか……？			黄泉神降臨							
ふたりとも、ご苦労だった。して、集会の様子は？			ふたりとも、ご苦労だった。して、集会の様子は？			黄泉神降臨							
死んだ男の魂を口寄せして、息子と会話させた、と……。にわかには信じがたい話ではあるな……。			死んだ男の魂を口寄せして、息子と会話させた、と……。にわかには信じがたい話ではあるな……。			黄泉神降臨							
しかし、村人たちは信じ切っている様子でした。			しかし、村人たちは信じ切っている様子でした。			黄泉神降臨							
……わしは、先日の一件のあと、各地を巡る中で、幾人もの遺族と対面してきた。			……わしは、先日の一件のあと、各地を巡る中で、幾人もの遺族と対面してきた。			黄泉神降臨							
だが、いずれの者も心に負った傷は深く、そう簡単に癒せるものではないと実感させられるばかりでな。わしは無力感に苛まれてさえいたのだ。			だが、いずれの者も心に負った傷は深く、そう簡単に癒せるものではないと実感させられるばかりでな。わしは無力感に苛まれてさえいたのだ。			黄泉神降臨							
ところが、どういうわけかトンボの兄の件以来、獣化する者が、ぱたりと姿を消している……。			ところが、どういうわけかトンボの兄の件以来、獣化する者が、ぱたりと姿を消している……。			黄泉神降臨							
ともすると、キセイの口寄せとやらが、人々の絶望を和らげ、救いの一助となっているのやもしれん。死した愛する者との対話は、大きな慰めとなろうからな。			ともすると、キセイの口寄せとやらが、人々の絶望を和らげ、救いの一助となっているのやもしれん。死した愛する者との対話は、大きな慰めとなろうからな。			黄泉神降臨							
だが、偽神獣をイザナミと見立て、死すべき者たちを黄泉国へ送るという話は、聞き捨てならん。			だが、偽神獣をイザナミと見立て、死すべき者たちを黄泉国へ送るという話は、聞き捨てならん。			黄泉神降臨							
(-怯えた叫び声-)イ、イザナミ様が現れたー！！			(-怯えた叫び声-)イ、イザナミ様が現れたー！！			黄泉神降臨							
まさか偽神獣が！？急ぎ向かおう……！！			まさか偽神獣が！？急ぎ向かおう……！！			黄泉神降臨							
イザナミ様が……イザナミ様が現れてその人を……！			イザナミ様が……イザナミ様が現れてその人を……！			黄泉神降臨							
ひと足遅かったか……。			ひと足遅かったか……。			黄泉神降臨							
何と言う？			何と言う？			黄泉神降臨							
先程、聞き込みをした村人のひとりだ！			先程、聞き込みをした村人のひとりだ！			黄泉神降臨							
たしか捕虜交換で戻ってきた元徴用兵だったはず……。			たしか捕虜交換で戻ってきた元徴用兵だったはず……。			黄泉神降臨							
そうか、この男と話をしたばかりだったと……。			そうか、この男と話をしたばかりだったと……。			黄泉神降臨							
しかし……彼も、そして偽神獣が最初に殺めた者も、どちらも元徴用兵というのは、偶然にしては出来すぎている。もしや偽神獣の狙いは……			しかし……彼も、そして偽神獣が最初に殺めた者も、どちらも元徴用兵というのは、偶然にしては出来すぎている。もしや偽神獣の狙いは……			黄泉神降臨							
(-？？？？-)偽神獣などの仕業ではありませぬ。これはイザナミ様の御業にございまする……！			(-？？？？-)偽神獣などの仕業ではありませぬ。これはイザナミ様の御業にございまする……！			黄泉神降臨							
ドマの殿様とお見受け致します。偽神獣なる化物が現れたと御触れを出されておりますが、それは大間違いであると、忠告させていただきまする。			ドマの殿様とお見受け致します。偽神獣なる化物が現れたと御触れを出されておりますが、それは大間違いであると、忠告させていただきまする。			黄泉神降臨							
私はこの目でしかと見たのです。我が義娘、ミナトの身体を依り代にして、黄泉神イザナミ様が現世に降臨されるところを……。			私はこの目でしかと見たのです。我が義娘、ミナトの身体を依り代にして、黄泉神イザナミ様が現世に降臨されるところを……。			黄泉神降臨							
ミナト！早まってはいけないよ！			ミナト！早まってはいけないよ！			黄泉神降臨							
とめないでお義母さん！私はもう辛くて辛くて生きていけないッ！			とめないでお義母さん！私はもう辛くて辛くて生きていけないッ！			黄泉神降臨							
夫は帝国軍に徴兵され、戻らぬまま。だというのに、連れ去った張本人のヨツユは赦され、ヒエン様に庇い立てられる始末……！			夫は帝国軍に徴兵され、戻らぬまま。だというのに、連れ去った張本人のヨツユは赦され、ヒエン様に庇い立てられる始末……！			黄泉神降臨							
このままでは、私……捕虜交換で戻ってきた人たちのことも、恨めしく思ってしまう。			このままでは、私……捕虜交換で戻ってきた人たちのことも、恨めしく思ってしまう。			黄泉神降臨							
私の恨みは決して晴らされず、嘆きの声も届かない。だったらいっそ、私もあの人のもとへ……！			私の恨みは決して晴らされず、嘆きの声も届かない。だったらいっそ、私もあの人のもとへ……！			黄泉神降臨							
きっと、黄泉神イザナミ様が現れて、我らをお救いくださるはずだよ！			きっと、黄泉神イザナミ様が現れて、我らをお救いくださるはずだよ！			黄泉神降臨							
そうだとしたら……良いですね……。			そうだとしたら……良いですね……。			黄泉神降臨							
イザナミ様は亡者を苦しみから救うため、死すべき者たちを黄泉国に送っているのでございます。ゆえに、殿様といえど手出しは許されませぬぞ……！			イザナミ様は亡者を苦しみから救うため、死すべき者たちを黄泉国に送っているのでございます。ゆえに、殿様といえど手出しは許されませぬぞ……！			黄泉神降臨							
犠牲者は捕虜交換で戻ってきた者たちばかりだ。それが死すべき者たちだったというなら……とても受け入れるわけにはいかんな。			犠牲者は捕虜交換で戻ってきた者たちばかりだ。それが死すべき者たちだったというなら……とても受け入れるわけにはいかんな。			黄泉神降臨							
私の夫と息子は徴兵され、戻ってはきませなんだ。なれど、ヒエン様……貴方はヨツユを裁かずお赦しになった。			私の夫と息子は徴兵され、戻ってはきませなんだ。なれど、ヒエン様……貴方はヨツユを裁かずお赦しになった。			黄泉神降臨							
民を守ると誓いを立てた国の長が、仇を見逃したとき、遺された私と義娘の心を、誰が救うのでありましょうや……？			民を守ると誓いを立てた国の長が、仇を見逃したとき、遺された私と義娘の心を、誰が救うのでありましょうや……？			黄泉神降臨							
我らは民の心を踏みにじる殿様よりも、お救いくださる黄泉神の御心に従いまする。			我らは民の心を踏みにじる殿様よりも、お救いくださる黄泉神の御心に従いまする。			黄泉神降臨							
頭を押さえていたようだが、まさか過去視を……？			頭を押さえていたようだが、まさか過去視を……？			黄泉神降臨							
犠牲者の遺体は、先ほどの村人に、丁重に弔うようにと頼んでおいた。			犠牲者の遺体は、先ほどの村人に、丁重に弔うようにと頼んでおいた。			黄泉神降臨							
ところで、キセイと話しておるときに、何やらふらついておったようだが？			ところで、キセイと話しておるときに、何やらふらついておったようだが？			黄泉神降臨							
そうか、キセイの過去を……義娘が偽神獣化するところを視たと……。			そうか、キセイの過去を……義娘が偽神獣化するところを視たと……。			黄泉神降臨							
……目の前で人が、よりによって義娘が、異形と化すのを目の当たりにすれば、どうにか己の知識で解釈しようとするのも無理はない。			……目の前で人が、よりによって義娘が、異形と化すのを目の当たりにすれば、どうにか己の知識で解釈しようとするのも無理はない。			黄泉神降臨							
そのキセイという者は、もとより信心深かったと言ったな。ならば理屈を説いたところで、簡単に心を変えはすまい。偽神獣討伐の障害とならなければよいのだが……。			そのキセイという者は、もとより信心深かったと言ったな。ならば理屈を説いたところで、簡単に心を変えはすまい。偽神獣討伐の障害とならなければよいのだが……。			黄泉神降臨							
ともかくドマ町人地に戻ることにしよう。手痛い犠牲は出たが、これから成すべきことはわかった。			ともかくドマ町人地に戻ることにしよう。手痛い犠牲は出たが、これから成すべきことはわかった。			黄泉神降臨							
ヒエン様は何を成そうとしているのだろうか……。			ヒエン様は何を成そうとしているのだろうか……。			黄泉神降臨							
犠牲者を出してしまったことは痛恨事ではあるが、そなたが視た過去から、偽神獣の発生要因と狙いが判明した。			犠牲者を出してしまったことは痛恨事ではあるが、そなたが視た過去から、偽神獣の発生要因と狙いが判明した。			黄泉神降臨							
偽神獣へと転化したミナトという女は、心根の優しい者だったのだろう。			偽神獣へと転化したミナトという女は、心根の優しい者だったのだろう。			黄泉神降臨							
夫を喪った一方で、帰還を果たした隣人たちを……そして何より、仇であるヨツユを処断しなかったわしを見て、彼女は絶望を深めてしまった。			夫を喪った一方で、帰還を果たした隣人たちを……そして何より、仇であるヨツユを処断しなかったわしを見て、彼女は絶望を深めてしまった。			黄泉神降臨							
それが最善と信じて取った行動であっても、己が決断で、獣に転じるほどの絶望を抱いた者がいたという事実。わしは、これを受け止め、背負って、生きてゆかねばならん。			それが最善と信じて取った行動であっても、己が決断で、獣に転じるほどの絶望を抱いた者がいたという事実。わしは、これを受け止め、背負って、生きてゆかねばならん。			黄泉神降臨							
無事に戻った者たちを恨めしく思いたくない。そう言って身投げしようとした、ミナトのためにも……これ以上、偽神獣に殺しをさせてはならん。			無事に戻った者たちを恨めしく思いたくない。そう言って身投げしようとした、ミナトのためにも……これ以上、偽神獣に殺しをさせてはならん。			黄泉神降臨							
ゆえにわしは、捕虜交換の帰還者たちが襲われぬよう、できる限り、帰燕館に匿おうと思う。			ゆえにわしは、捕虜交換の帰還者たちが襲われぬよう、できる限り、帰燕館に匿おうと思う。			黄泉神降臨							
その上であらためて、偽神獣討伐のための策を練るのだ。Forename、此度も助かった。また、折を見て訪ねてくれ。			その上であらためて、偽神獣討伐のための策を練るのだ。Forename、此度も助かった。また、折を見て訪ねてくれ。			黄泉神降臨							
ドマ町人地のユウギリは、冒険者に頼みがあるようだ。			ドマ町人地のユウギリは、冒険者に頼みがあるようだ。			ユウギリの帰郷							
ユウギリはキセイの正体を調査するためスイの里に向かうという。冒険者はそれに同行することになった。紅玉海の筋違砦にいる「ユウギリ」と話そう。			ユウギリはキセイの正体を調査するためスイの里に向かうという。冒険者はそれに同行することになった。紅玉海の筋違砦にいる「ユウギリ」と話そう。			ユウギリの帰郷							
ユウギリと話し、彼女の故郷への想いを聞いた。紅玉海のスイの里にいる「ユウギリ」と話そう。			ユウギリと話し、彼女の故郷への想いを聞いた。紅玉海のスイの里にいる「ユウギリ」と話そう。			ユウギリの帰郷							
年配の者からキセイの話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。※同行状態が解除された場合、再度「ユウギリ」に話しかけることで同行を再開できます。			年配の者からキセイの話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。※同行状態が解除された場合、再度「ユウギリ」に話しかけることで同行を再開できます。			ユウギリの帰郷							
ほかの年配の者から話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。			ほかの年配の者から話を聞くことになった。ユウギリと同行して、スイの里の年配者と話そう。			ユウギリの帰郷							
ユウナギから話を聞くことになった。ユウギリと同行して、スイの里の「ユウナギ」と話そう。			ユウナギから話を聞くことになった。ユウギリと同行して、スイの里の「ユウナギ」と話そう。			ユウギリの帰郷							
ユウナギと話し、キセイが幼い頃から不思議な才を持っていたことを聞いた。筋違砦にいる「ユウギリ」と話そう。			ユウナギと話し、キセイが幼い頃から不思議な才を持っていたことを聞いた。筋違砦にいる「ユウギリ」と話そう。			ユウギリの帰郷							
ユウギリと話し、ヒエンに報告することになった。ドマ町人地に戻り「ヒエン」と話そう。			ユウギリと話し、ヒエンに報告することになった。ドマ町人地に戻り「ヒエン」と話そう。			ユウギリの帰郷							
ヒエンと話した。彼は帰還者を匿っている帰燕館の護りを固めたという。鍛錬を積んで、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが88以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話した。彼は帰還者を匿っている帰燕館の護りを固めたという。鍛錬を積んで、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが88以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ユウギリの帰郷							
筋違砦のユウギリと話す			筋違砦のユウギリと話す			ユウギリの帰郷							
ユウギリと話して同行させる			ユウギリと話して同行させる			ユウギリの帰郷							
ユウギリを連れてスイの里の年配者と話す			ユウギリを連れてスイの里の年配者と話す			ユウギリの帰郷							
ユウギリを連れて再度スイの里の年配者と話す			ユウギリを連れて再度スイの里の年配者と話す			ユウギリの帰郷							
ユウギリを連れてユウナギと話す			ユウギリを連れてユウナギと話す			ユウギリの帰郷							
筋違砦のユウギリと話す			筋違砦のユウギリと話す			ユウギリの帰郷							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			ユウギリの帰郷							
Forename殿。面目ないことに、相変わらず偽神獣は発見できていない。			Forename殿。面目ないことに、相変わらず偽神獣は発見できていない。			ユウギリの帰郷							
しかし、標的とされていた捕虜交換の帰還者たちを、帰燕館に匿ったことで、新たな犠牲者は出さずに済んでいる。ヒエン様は、偽神獣捜索の指揮に奔走中だ。			しかし、標的とされていた捕虜交換の帰還者たちを、帰燕館に匿ったことで、新たな犠牲者は出さずに済んでいる。ヒエン様は、偽神獣捜索の指揮に奔走中だ。			ユウギリの帰郷							
獣化についても、あれからずっと抑え込まれていて、状況は膠着している。			獣化についても、あれからずっと抑え込まれていて、状況は膠着している。			ユウギリの帰郷							
この間に、私はできることをしておきたい。実は、偽神獣をイザナミであると触れ回っている、キセイについて気になることがあるのだ。			この間に、私はできることをしておきたい。実は、偽神獣をイザナミであると触れ回っている、キセイについて気になることがあるのだ。			ユウギリの帰郷							
イサリ村で暮らし、息子を儲けていたようだが、彼女は、私と同じスイの民であるように見えてな……。			イサリ村で暮らし、息子を儲けていたようだが、彼女は、私と同じスイの民であるように見えてな……。			ユウギリの帰郷							
とはいえ、私はスイの里を追放された身……。まずは里との連絡役を務めてくれているコウジン族を介して、情報提供を求めてみたのだ。			とはいえ、私はスイの里を追放された身……。まずは里との連絡役を務めてくれているコウジン族を介して、情報提供を求めてみたのだ。			ユウギリの帰郷							
ここ最近は紅玉姫も開明的になり、明るい兆しもあったのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ここ最近は紅玉姫も開明的になり、明るい兆しもあったのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ユウギリの帰郷							
ここ最近は最低限のやりとりこそできていたのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ここ最近は最低限のやりとりこそできていたのだが……どういうわけか、キセイの名を出したとたん、音信不通になってしまった。			ユウギリの帰郷							
こうなれば里の者から直接話を聞くしかない。とはいえ、追放者がひとりで里に赴くというのは、いかにも具合が悪い。			こうなれば里の者から直接話を聞くしかない。とはいえ、追放者がひとりで里に赴くというのは、いかにも具合が悪い。			ユウギリの帰郷							
十数年、帰郷していないゆえ、頭巾で顔を隠せば、ある程度ごまかせるとは思うが……里と交流がある貴殿の同行があれば、より安心なのだ。			十数年、帰郷していないゆえ、頭巾で顔を隠せば、ある程度ごまかせるとは思うが……里と交流がある貴殿の同行があれば、より安心なのだ。			ユウギリの帰郷							
かたじけない、恩に着る。それでは、まずは紅玉海の「筋違砦」まで向かおう。			かたじけない、恩に着る。それでは、まずは紅玉海の「筋違砦」まで向かおう。			ユウギリの帰郷							
この装束、もはや懐かしさすら感じる。ドマの難民を引き連れて、エオルゼアに向かったときのものだ。久しく身につけてはいなかったが、正体を隠すには丁度いい。			この装束、もはや懐かしさすら感じる。ドマの難民を引き連れて、エオルゼアに向かったときのものだ。久しく身につけてはいなかったが、正体を隠すには丁度いい。			ユウギリの帰郷							
スイの里に戻るのは、追放を言い渡されたとき以来なのだが、その件で、少し頼みたいことがある。			スイの里に戻るのは、追放を言い渡されたとき以来なのだが、その件で、少し頼みたいことがある。			ユウギリの帰郷							
以前にも話したが、私はドマの忍びではありつつ、根底には、故郷を戦乱から護りたいという想いが常にあった。			以前にも話したが、私はドマの忍びではありつつ、根底には、故郷を戦乱から護りたいという想いが常にあった。			ユウギリの帰郷							
それが芽生えたのは、幼少の頃。好奇心ゆえに幼馴染らと里を抜け出し、ドマの城下へと物見遊山にでかけたときのことだ。			それが芽生えたのは、幼少の頃。好奇心ゆえに幼馴染らと里を抜け出し、ドマの城下へと物見遊山にでかけたときのことだ。			ユウギリの帰郷							
だが、町で目にしたのは民が帝国兵に暴行される陰惨な光景でな。皆、怖れてたちまち逃げ出したのだが、私だけはぐれ、竹藪に迷い込んでしまった……。			だが、町で目にしたのは民が帝国兵に暴行される陰惨な光景でな。皆、怖れてたちまち逃げ出したのだが、私だけはぐれ、竹藪に迷い込んでしまった……。			ユウギリの帰郷							
そこで出会ったのが、まだ元服前のヒエン様だ。あの方は、汗水を流しながら木刀で素振りをされていた。「民を護るために力をつけている」とな。			そこで出会ったのが、まだ元服前のヒエン様だ。あの方は、汗水を流しながら木刀で素振りをされていた。「民を護るために力をつけている」とな。			ユウギリの帰郷							
私は己より年若い少年が、帝国から人々を護ろうと考えていることに衝撃を受けた。そして交流を深めるうちに、その想いに感化されていったのだ。			私は己より年若い少年が、帝国から人々を護ろうと考えていることに衝撃を受けた。そして交流を深めるうちに、その想いに感化されていったのだ。			ユウギリの帰郷							
だが、所詮は幼子……。戦に備えるようにと説く私の言葉は、里の大人たちに無視された。結局、武器を手に取る道を選んだのは私ひとり。			だが、所詮は幼子……。戦に備えるようにと説く私の言葉は、里の大人たちに無視された。結局、武器を手に取る道を選んだのは私ひとり。			ユウギリの帰郷							
そうとなれば、スイの里で孤立するのも当然のこと。やがて戦乱をもたらす者だとして、追放されることになるのだが、私は後悔しておらぬし、里への想いも変わっていない。			そうとなれば、スイの里で孤立するのも当然のこと。やがて戦乱をもたらす者だとして、追放されることになるのだが、私は後悔しておらぬし、里への想いも変わっていない。			ユウギリの帰郷							
むろん里を恋しく想う気持ちはある。だが、追放令を破って里に立ち入ったことが露見すれば、父様と母様の穏やかな暮らしを、乱すことにもなろう。			むろん里を恋しく想う気持ちはある。だが、追放令を破って里に立ち入ったことが露見すれば、父様と母様の穏やかな暮らしを、乱すことにもなろう。			ユウギリの帰郷							
ゆえに今回は、あくまで貴殿の同行者を務める、名もなき忍びとして扱ってもらいたい。			ゆえに今回は、あくまで貴殿の同行者を務める、名もなき忍びとして扱ってもらいたい。			ユウギリの帰郷							
恩に着る……。とりとめのない話を聞かせてすまなかった。それでは、スイの里に向かうとしよう。			恩に着る……。とりとめのない話を聞かせてすまなかった。それでは、スイの里に向かうとしよう。			ユウギリの帰郷							
客人とは珍しいのう……。			客人とは珍しいのう……。			ユウギリの帰郷							
外から来たのかい？まあゆっくりしておいき。でも、争いごとだけは持ち込まないでおくれよ。			外から来たのかい？まあゆっくりしておいき。でも、争いごとだけは持ち込まないでおくれよ。			ユウギリの帰郷							
里を飛び出したときから何も変わっていない。まるで、十数年の歳月が嘘のようだ……。			里を飛び出したときから何も変わっていない。まるで、十数年の歳月が嘘のようだ……。			ユウギリの帰郷							
いや、感傷に浸っている場合ではないな。さっそく、キセイに関する調査を始めよう。			いや、感傷に浸っている場合ではないな。さっそく、キセイに関する調査を始めよう。			ユウギリの帰郷							
彼女が里を出たのはおそらく数十年前、ここは年配の者から話を聞くのがいいだろう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			彼女が里を出たのはおそらく数十年前、ここは年配の者から話を聞くのがいいだろう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			ユウギリの帰郷							
何をする？			何をする？			ユウギリの帰郷							
話す			話す			ユウギリの帰郷							
同行状態を解除する			同行状態を解除する			ユウギリの帰郷							
キャンセル			キャンセル			ユウギリの帰郷							
何もかもが懐かしい……。			何もかもが懐かしい……。			ユウギリの帰郷							
すまぬ、また感傷に浸ってしまった。先を急ごう。			すまぬ、また感傷に浸ってしまった。先を急ごう。			ユウギリの帰郷							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			ユウギリの帰郷							
急用があるようだな。では、私はスイの里の入口で待っていよう。			急用があるようだな。では、私はスイの里の入口で待っていよう。			ユウギリの帰郷							
用は済んだようだな。それでは、キセイについて年配の者から話を聞こう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			用は済んだようだな。それでは、キセイについて年配の者から話を聞こう。私は怪しまれぬよう控えているゆえ、先導を頼みたい。			ユウギリの帰郷							
このクエストを進行させるには、ユウギリが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ユウギリが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			ユウギリの帰郷							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			ユウギリの帰郷							
キセイ？はて、ずいぶん前に聞いたことがあるような……。			キセイ？はて、ずいぶん前に聞いたことがあるような……。			ユウギリの帰郷							
うーむ、思い出せん。最近は、物忘れが激しくてのう……。			うーむ、思い出せん。最近は、物忘れが激しくてのう……。			ユウギリの帰郷							
別のご老人から話を聞いてみよう。			別のご老人から話を聞いてみよう。			ユウギリの帰郷							
そういえば飯はまだかのう……？			そういえば飯はまだかのう……？			ユウギリの帰郷							
キセイとは、また懐かしい名前だ。昔、そういう名の巫女がいたのだけど、先代紅玉姫様の怒りを買って、里から追放されてね……。			キセイとは、また懐かしい名前だ。昔、そういう名の巫女がいたのだけど、先代紅玉姫様の怒りを買って、里から追放されてね……。			ユウギリの帰郷							
外の世界で、いま頃どうしているのやら……。			外の世界で、いま頃どうしているのやら……。			ユウギリの帰郷							
キセイのこと、どうかもっと詳しく教えてもらえないだろうか？			キセイのこと、どうかもっと詳しく教えてもらえないだろうか？			ユウギリの帰郷							
それ以上のことは、私には……。そんなにキセイのことが知りたいなら、彼女と仲のよかったユウナギさんに聞いてみるといい。			それ以上のことは、私には……。そんなにキセイのことが知りたいなら、彼女と仲のよかったユウナギさんに聞いてみるといい。			ユウギリの帰郷							
貴殿も会ったことがあると思うが、ユウナギは私の母だ。親に会うつもりは毛頭なかったが、こうなっては致し方ない。母様に、キセイのことを尋ねてもらえるだろうか？			貴殿も会ったことがあると思うが、ユウナギは私の母だ。親に会うつもりは毛頭なかったが、こうなっては致し方ない。母様に、キセイのことを尋ねてもらえるだろうか？			ユウギリの帰郷							
キセイのことを知りたいというなら、彼女と仲がよかった、ユウナギさんに聞いてみるといい、いろいろ教えてくれるはずさ。			キセイのことを知りたいというなら、彼女と仲がよかった、ユウナギさんに聞いてみるといい、いろいろ教えてくれるはずさ。			ユウギリの帰郷							
いつぞやの旅のお方ではありませんか。ドマの解放が成し遂げられたようで、心よりお祝い申しあげます。			いつぞやの旅のお方ではありませんか。ドマの解放が成し遂げられたようで、心よりお祝い申しあげます。			ユウギリの帰郷							
あなたは、娘を救ってくださった方ではありませんか。			あなたは、娘を救ってくださった方ではありませんか。			ユウギリの帰郷							
これはこれは、お久しぶりです。此度は、私に何用でしょうか？			これはこれは、お久しぶりです。此度は、私に何用でしょうか？			ユウギリの帰郷							
確かに彼女とは、幼馴染の間柄でしたが……			確かに彼女とは、幼馴染の間柄でしたが……			ユウギリの帰郷							
いえ、娘の恩人であるあなたの頼みとあらば、無下にするわけにもまいりませんね。わかりました、私の知るところを、お話しいたしましょう。			いえ、娘の恩人であるあなたの頼みとあらば、無下にするわけにもまいりませんね。わかりました、私の知るところを、お話しいたしましょう。			ユウギリの帰郷							
キセイは、神事を司る家系の生まれでした。幼き頃より、才の豊かな子でしたが……あるとき、「死者の霊魂を口寄せできる」と言い出したのです。			キセイは、神事を司る家系の生まれでした。幼き頃より、才の豊かな子でしたが……あるとき、「死者の霊魂を口寄せできる」と言い出したのです。			ユウギリの帰郷							
最初は誰も信じておりませんでした。しかし、キセイが知り得ない過去の出来事を語ったことで、その能力を信じる者が出てきました。			最初は誰も信じておりませんでした。しかし、キセイが知り得ない過去の出来事を語ったことで、その能力を信じる者が出てきました。			ユウギリの帰郷							
たちまち里中で評判となって、先代の紅玉姫様の耳にまで入り、キセイは紫水宮に呼ばれることになります。			たちまち里中で評判となって、先代の紅玉姫様の耳にまで入り、キセイは紫水宮に呼ばれることになります。			ユウギリの帰郷							
ところが、これが災いとなりました。誰を口寄せ、何を語ったのかは定かではありませんが、紅玉姫様の逆鱗に触れてしまい、追放を言い渡されたのです。			ところが、これが災いとなりました。誰を口寄せ、何を語ったのかは定かではありませんが、紅玉姫様の逆鱗に触れてしまい、追放を言い渡されたのです。			ユウギリの帰郷							
姫様の過去の過ちを暴くようなことを発言したとか、あるいは嘘が露見したのだとか、噂はいろいろ囁かれましたが……。			姫様の過去の過ちを暴くようなことを発言したとか、あるいは嘘が露見したのだとか、噂はいろいろ囁かれましたが……。			ユウギリの帰郷							
そもそもキセイの口寄せは、当たることもある一方で、事実と異なる発言をすることもあり、その真偽は定かではなかったのです。			そもそもキセイの口寄せは、当たることもある一方で、事実と異なる発言をすることもあり、その真偽は定かではなかったのです。			ユウギリの帰郷							
私自身、彼女の口寄せが本物だったのかどうか……。ただ確かなのは、キセイの口寄せによって救いを感じた者が、少なからずいたのだという事実です。			私自身、彼女の口寄せが本物だったのかどうか……。ただ確かなのは、キセイの口寄せによって救いを感じた者が、少なからずいたのだという事実です。			ユウギリの帰郷							
追放された後のことは、私にはわかりません。これでお望みのことがわかったのなら、よいのですが……。			追放された後のことは、私にはわかりません。これでお望みのことがわかったのなら、よいのですが……。			ユウギリの帰郷							
ところで、そちらの方……以前にお連れしていたお仲間とは違うようですが……？			ところで、そちらの方……以前にお連れしていたお仲間とは違うようですが……？			ユウギリの帰郷							
何と言う？			何と言う？			ユウギリの帰郷							
任務で同行している名もなき忍びです……			任務で同行している名もなき忍びです……			ユウギリの帰郷							
ユウギリです			ユウギリです			ユウギリの帰郷							
そうですか、背格好が娘によく似ています。			そうですか、背格好が娘によく似ています。			ユウギリの帰郷							
ち、違う……！ドマの「隠れ里」より派遣された名もなき忍びだ……！			ち、違う……！ドマの「隠れ里」より派遣された名もなき忍びだ……！			ユウギリの帰郷							
では、名もなき忍びさん。娘のユウギリに会うことがあれば、どうかお伝えください。			では、名もなき忍びさん。娘のユウギリに会うことがあれば、どうかお伝えください。			ユウギリの帰郷							
父母は、ドマ解放を成し遂げたあなたを誇りに思っている。これからも、思うままに生きなさい、と……。			父母は、ドマ解放を成し遂げたあなたを誇りに思っている。これからも、思うままに生きなさい、と……。			ユウギリの帰郷							
必ず……必ず伝えましょう。			必ず……必ず伝えましょう。			ユウギリの帰郷							
ただ、私が知っているユウギリなら、きっとこう言うはずです。どこにいても、あなた方の娘は、父様と母様を想っている、と。どうか、お元気で……。			ただ、私が知っているユウギリなら、きっとこう言うはずです。どこにいても、あなた方の娘は、父様と母様を想っている、と。どうか、お元気で……。			ユウギリの帰郷							
も、目的は果たした。ひとまず、ともに筋違砦まで戻ることにしよう。			も、目的は果たした。ひとまず、ともに筋違砦まで戻ることにしよう。			ユウギリの帰郷							
