不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
そのとおりです。すでに、各種族から次々と会談への参加表明が届いております。ぜひ「暁の血盟」の皆様にも……。			そのとおりです。すでに、各種族から次々と会談への参加表明が届いております。ぜひ「暁の血盟」の皆様にも……。			エオルゼアの名の下に							
その会談の実現に、どれほどの苦難が伴ったことか……。			その会談の実現に、どれほどの苦難が伴ったことか……。			エオルゼアの名の下に							
同盟加盟国すべてに敬意を表するとともに、喜んで参加をさせていただきます。			同盟加盟国すべてに敬意を表するとともに、喜んで参加をさせていただきます。			エオルゼアの名の下に							
ありがとうございます……。それでは、アラミゴ王宮にてお待ちしております。			ありがとうございます……。それでは、アラミゴ王宮にてお待ちしております。			エオルゼアの名の下に							
さて、受けたはいいが誰が行く？			さて、受けたはいいが誰が行く？			エオルゼアの名の下に							
これは、文字通り歴史的な会談になるだろう。長年、蛮神問題に関わってきたサンクレッドとヤ・シュトラには、是非とも参加してもらいたい。			これは、文字通り歴史的な会談になるだろう。長年、蛮神問題に関わってきたサンクレッドとヤ・シュトラには、是非とも参加してもらいたい。			エオルゼアの名の下に							
これまでの経緯を考えれば、俺たちふたりだけ、というわけにもいかないだろう。とくにForename、お前は立ち会うべきだ。			これまでの経緯を考えれば、俺たちふたりだけ、というわけにもいかないだろう。とくにForename、お前は立ち会うべきだ。			エオルゼアの名の下に							
なればいっそのこと、皆さんで行くのがよろしいかと。私が留守をお預かりし、蛮神対策の方も滞りのないようにいたしましょう……。			なればいっそのこと、皆さんで行くのがよろしいかと。私が留守をお預かりし、蛮神対策の方も滞りのないようにいたしましょう……。			エオルゼアの名の下に							
俺も残らせてもらうぞ。アイメリクあたりに、あれこれ聞かれるのも面倒だからな。重要な情報だけ、あとで聞く。			俺も残らせてもらうぞ。アイメリクあたりに、あれこれ聞かれるのも面倒だからな。重要な情報だけ、あとで聞く。			エオルゼアの名の下に							
了解した。それじゃあ、さっそくアラミゴ王宮に向けて出発するか。「アラミゴ解放軍の衛兵」に話しかければ案内してくれるだろう。			了解した。それじゃあ、さっそくアラミゴ王宮に向けて出発するか。「アラミゴ解放軍の衛兵」に話しかければ案内してくれるだろう。			エオルゼアの名の下に							
アラミゴ王宮まで、行ってらっしゃいでっす！			アラミゴ王宮まで、行ってらっしゃいでっす！			エオルゼアの名の下に							
留守番同士、エスティニアンと親睦を深めるといたしましょう。同族で年齢も近いとなれば、私こそ、氏が「暁」に馴染むために一肌脱ぐべきかと……。			留守番同士、エスティニアンと親睦を深めるといたしましょう。同族で年齢も近いとなれば、私こそ、氏が「暁」に馴染むために一肌脱ぐべきかと……。			エオルゼアの名の下に							
彼は、天竜の化身ともなった身であり、竜と言えば竜詩です。そして詩については、幸い私も少しばかり嗜んできました。自作の詩について語らえば、きっと……。			彼は、天竜の化身ともなった身であり、竜と言えば竜詩です。そして詩については、幸い私も少しばかり嗜んできました。自作の詩について語らえば、きっと……。			エオルゼアの名の下に							
心配するな、しばらく逃げ出すつもりはない。また追い回されるのも御免だしな……。			心配するな、しばらく逃げ出すつもりはない。また追い回されるのも御免だしな……。			エオルゼアの名の下に							
パガルザンの戦いでは、迅速な派兵が叶ったとはいえ、それでも、アマルジャ族はじめ……多くの被害が出た。互いの連携を強固にするためにも、協力関係の構築は必須だ。			パガルザンの戦いでは、迅速な派兵が叶ったとはいえ、それでも、アマルジャ族はじめ……多くの被害が出た。互いの連携を強固にするためにも、協力関係の構築は必須だ。			エオルゼアの名の下に							
参加できることになって、よかったわね。歴史的な会談なんて、あなたの大好物じゃない？			参加できることになって、よかったわね。歴史的な会談なんて、あなたの大好物じゃない？			エオルゼアの名の下に							
テンパード化を治療する方法が編み出されたことが、会談の開催に一役買ったのは間違いない。そりゃあ、思い入れも深くなるさ。			テンパード化を治療する方法が編み出されたことが、会談の開催に一役買ったのは間違いない。そりゃあ、思い入れも深くなるさ。			エオルゼアの名の下に							
異形の蛮神による攻撃は、各地で発生している。……信仰していた神とおなじ姿をした蛮神によって、被害を受けた種族もいるかもな。			異形の蛮神による攻撃は、各地で発生している。……信仰していた神とおなじ姿をした蛮神によって、被害を受けた種族もいるかもな。			エオルゼアの名の下に							
どの種族も、完全に一枚岩というわけではないでしょうね。だからこそ、彼らとの完全な融和を実現するためにも、この会談が成功に終わることを願うわ。			どの種族も、完全に一枚岩というわけではないでしょうね。だからこそ、彼らとの完全な融和を実現するためにも、この会談が成功に終わることを願うわ。			エオルゼアの名の下に							
「暁の血盟」の皆様ですね。すでに各国盟主の方々も王宮に集っております。			「暁の血盟」の皆様ですね。すでに各国盟主の方々も王宮に集っております。			エオルゼアの名の下に							
ですが、それ以外の……参加を要請した各種族の代表は、まだ、数名が到着なさったのみでして……。申し訳ありませんが、会談の場でしばしお待ちください。			ですが、それ以外の……参加を要請した各種族の代表は、まだ、数名が到着なさったのみでして……。申し訳ありませんが、会談の場でしばしお待ちください。			エオルゼアの名の下に							
ティアマットの話にあったメラシディア大陸に暮らしていた民や、第一世界のクリスタリウムのように、エオルゼアでも、たくさんの人が手を取り合えたら……。			ティアマットの話にあったメラシディア大陸に暮らしていた民や、第一世界のクリスタリウムのように、エオルゼアでも、たくさんの人が手を取り合えたら……。			エオルゼアの名の下に							
アルフィノ、パガルザンでの戦いからこっち、ずっと考え込んでたみたいなんだ。やっと話せるっていうなら、聞いてやらなきゃな。			アルフィノ、パガルザンでの戦いからこっち、ずっと考え込んでたみたいなんだ。やっと話せるっていうなら、聞いてやらなきゃな。			エオルゼアの名の下に							
リオルたち、クリスタルブレイブに参加していた連中にも、「グランドカンパニー・エオルゼア」結成は意義深いだろう。あいつらは、その先駆けだったんだからな。			リオルたち、クリスタルブレイブに参加していた連中にも、「グランドカンパニー・エオルゼア」結成は意義深いだろう。あいつらは、その先駆けだったんだからな。			エオルゼアの名の下に							
各種族の中には、未だ敵対姿勢を崩さない者もいるでしょう。でも、ミンフィリアと蛮神対策に取り組み始めたころを思えば、大いなる前進と言えるわね。			各種族の中には、未だ敵対姿勢を崩さない者もいるでしょう。でも、ミンフィリアと蛮神対策に取り組み始めたころを思えば、大いなる前進と言えるわね。			エオルゼアの名の下に							
話というのは、ほかでもない。融和を実現させる過程で、犠牲が生まれる現実に対して……ただ受け入れるしかないのかと、私は今も悩み続けている。			話というのは、ほかでもない。融和を実現させる過程で、犠牲が生まれる現実に対して……ただ受け入れるしかないのかと、私は今も悩み続けている。			エオルゼアの名の下に							
だが、それでも……たしかに一歩ずつ、目指すところに近づいている。さきほどの会談で、そう実感したんだ。			だが、それでも……たしかに一歩ずつ、目指すところに近づいている。さきほどの会談で、そう実感したんだ。			エオルゼアの名の下に							
かつて夢みた「グランドカンパニー・エオルゼア」が、エオルゼアすべての種族に支えられ、立ち上がった。その支柱のひとつになるとしたら、これほど嬉しいことはないよ。			かつて夢みた「グランドカンパニー・エオルゼア」が、エオルゼアすべての種族に支えられ、立ち上がった。その支柱のひとつになるとしたら、これほど嬉しいことはないよ。			エオルゼアの名の下に							
(-？？？？-)その頼もしいお言葉に、甘えてもよろしいでしょうか？			(-？？？？-)その頼もしいお言葉に、甘えてもよろしいでしょうか？			エオルゼアの名の下に							
カヌ・エ様！わざわざ御自ら……どういった、ご用件でしょう？			カヌ・エ様！わざわざ御自ら……どういった、ご用件でしょう？			エオルゼアの名の下に							
アルフィノ殿に、ぜひ力添えを頼みたいことがあるのです。グリダニアでは、すでに協力関係を築いていたシルフ族と、ある計画を進めておりまして……。			アルフィノ殿に、ぜひ力添えを頼みたいことがあるのです。グリダニアでは、すでに協力関係を築いていたシルフ族と、ある計画を進めておりまして……。			エオルゼアの名の下に							
ご存知かもしれませんが、シルフ族は、「アッシュクラウン商会」なる、クリスタルの流通を行う組織を運営しています。			ご存知かもしれませんが、シルフ族は、「アッシュクラウン商会」なる、クリスタルの流通を行う組織を運営しています。			エオルゼアの名の下に							
その取引相手は多岐にわたり、かつてはエオルゼア諸国のみならず、多くの種族とも、商いを行ってきました。			その取引相手は多岐にわたり、かつてはエオルゼア諸国のみならず、多くの種族とも、商いを行ってきました。			エオルゼアの名の下に							
つまりシルフ族には、国家に属していない種族とも、商取引を行うだけの繋がりがあるということですね？			つまりシルフ族には、国家に属していない種族とも、商取引を行うだけの繋がりがあるということですね？			エオルゼアの名の下に							
話が早くて、助かります。我々は、グランドカンパニー・エオルゼアの組織作りにあたり、彼らシルフ族に、連絡役を担っていただこうと考えています。			話が早くて、助かります。我々は、グランドカンパニー・エオルゼアの組織作りにあたり、彼らシルフ族に、連絡役を担っていただこうと考えています。			エオルゼアの名の下に							
しかし、国や種族の垣根を超えた統一組織となると、クリスタル流通のような商取引とは、必要なノウハウも異なります。各国からも、組織運営に関する専門家を募っていますが……。			しかし、国や種族の垣根を超えた統一組織となると、クリスタル流通のような商取引とは、必要なノウハウも異なります。各国からも、組織運営に関する専門家を募っていますが……。			エオルゼアの名の下に							
既存の国家主体のグランドカンパニーとは、明らかに性格が異なり、求められるべき組織像も違う。しかし、かつて同じ目標を掲げた組織がありましたね。			既存の国家主体のグランドカンパニーとは、明らかに性格が異なり、求められるべき組織像も違う。しかし、かつて同じ目標を掲げた組織がありましたね。			エオルゼアの名の下に							
「クリスタルブレイブ」……その総帥であったアルフィノ殿には、統一組織の運営について計画があったのではありませんか？			「クリスタルブレイブ」……その総帥であったアルフィノ殿には、統一組織の運営について計画があったのではありませんか？			エオルゼアの名の下に							
たしかに、かの組織には、エオルゼア統一先行組織としての役割があり、先を見据えた組織設計も進めていました……。			たしかに、かの組織には、エオルゼア統一先行組織としての役割があり、先を見据えた組織設計も進めていました……。			エオルゼアの名の下に							
しかし、私が理想だけを求めて拙速に立ち上げた組織は、ご存知のとおり、利用されてあえなく崩壊したのです。真のグランドカンパニーに、その轍を踏んでほしくはありません。			しかし、私が理想だけを求めて拙速に立ち上げた組織は、ご存知のとおり、利用されてあえなく崩壊したのです。真のグランドカンパニーに、その轍を踏んでほしくはありません。			エオルゼアの名の下に							
では、ご協力はいただけない、と？			では、ご協力はいただけない、と？			エオルゼアの名の下に							
……いえ、むしろ私から、お願いしたいと考えていました。かつて描いた無謀な計画案ではなく、私が犯した失敗と、その改善案について共有させていただきたい、と。			……いえ、むしろ私から、お願いしたいと考えていました。かつて描いた無謀な計画案ではなく、私が犯した失敗と、その改善案について共有させていただきたい、と。			エオルゼアの名の下に							
……ありがとうございます。手数をおかけしますが、ぜひご意見をまとめて、仮宿のシルフたちに共有していただければと思います。			……ありがとうございます。手数をおかけしますが、ぜひご意見をまとめて、仮宿のシルフたちに共有していただければと思います。			エオルゼアの名の下に							
私も、必ずやこの組織を結実させて脅威に打ち勝ち、その先にあるはずの、より良き未来に繋げましょう。……それでは、失礼いたします。			私も、必ずやこの組織を結実させて脅威に打ち勝ち、その先にあるはずの、より良き未来に繋げましょう。……それでは、失礼いたします。			エオルゼアの名の下に							
Forename、よければ手を貸してもらえないか？シルフたちに届けるべき意見書をまとめる前に、話を聞いておくべき人がいると思うんだ。			Forename、よければ手を貸してもらえないか？シルフたちに届けるべき意見書をまとめる前に、話を聞いておくべき人がいると思うんだ。			エオルゼアの名の下に							
何と言う？			何と言う？			エオルゼアの名の下に							
よろこんで協力しよう			よろこんで協力しよう			エオルゼアの名の下に							
自分の意見も必要？			自分の意見も必要？			エオルゼアの名の下に							
ありがとう……。かの組織についてよく知る君がいてくれると、心強いよ。			ありがとう……。かの組織についてよく知る君がいてくれると、心強いよ。			エオルゼアの名の下に							
君には、言葉よりも行動で、範を示してもらっているさ。だから今は、聞き込みの手助けをしてもらいたいんだ。			君には、言葉よりも行動で、範を示してもらっているさ。だから今は、聞き込みの手助けをしてもらいたいんだ。			エオルゼアの名の下に							
全員が石の家まで報告に戻る必要もなさそうだし、何人かに聞き込みをするなら、もう少し、人手があったほうがいいんじゃない？			全員が石の家まで報告に戻る必要もなさそうだし、何人かに聞き込みをするなら、もう少し、人手があったほうがいいんじゃない？			エオルゼアの名の下に							
それなら、私とサンクレッドが石の家に戻ろうかしら。グ・ラハ・ティアも、アルフィノたちに手を貸してあげたら？その手のレポートやら書類仕事は得意でしょう？			それなら、私とサンクレッドが石の家に戻ろうかしら。グ・ラハ・ティアも、アルフィノたちに手を貸してあげたら？その手のレポートやら書類仕事は得意でしょう？			エオルゼアの名の下に							
助かるよ……。これだけの協力が得られれば、資料もすぐに完成しそうだ。			助かるよ……。これだけの協力が得られれば、資料もすぐに完成しそうだ。			エオルゼアの名の下に							
シルフ族といえば、自由気ままなことで有名な種族だろ？組織運営のノウハウを集めて、理解を深めてもらえば、カヌ・エ様も、より安心だろうな。			シルフ族といえば、自由気ままなことで有名な種族だろ？組織運営のノウハウを集めて、理解を深めてもらえば、カヌ・エ様も、より安心だろうな。			エオルゼアの名の下に							
当時の記憶を掘り起こすと、つらい気持ちにもなるが……だからこそ、糧にして進んでいかなければね。			当時の記憶を掘り起こすと、つらい気持ちにもなるが……だからこそ、糧にして進んでいかなければね。			エオルゼアの名の下に							
……で、資料作成のための聞き込みって、アルフィノは、いったい誰を当たるつもりだったの？			……で、資料作成のための聞き込みって、アルフィノは、いったい誰を当たるつもりだったの？			エオルゼアの名の下に							
実は、クリスタルブレイブの組織運営については、失敗点をまとめた論文を、すでに書き溜めているんだ。自戒の意味を込めてね。			実は、クリスタルブレイブの組織運営については、失敗点をまとめた論文を、すでに書き溜めているんだ。自戒の意味を込めてね。			エオルゼアの名の下に							
立ち上げの経緯から、組織の長所と短所、改善策……そして何より、いかにして瓦解に至ったのかについて。私の視点から書けることは、ほぼ執筆済みさ。			立ち上げの経緯から、組織の長所と短所、改善策……そして何より、いかにして瓦解に至ったのかについて。私の視点から書けることは、ほぼ執筆済みさ。			エオルゼアの名の下に							
足りないのは、組織が崩れ行く中で、離れていった者たちと、それでも志を共にしてくれた者たちが、何をその決め手としたのか、だ。			足りないのは、組織が崩れ行く中で、離れていった者たちと、それでも志を共にしてくれた者たちが、何をその決め手としたのか、だ。			エオルゼアの名の下に							
……そうね。新しく仲間になってくれた種族との結びつきも、今はまだ、とても細い糸のようなもの。			……そうね。新しく仲間になってくれた種族との結びつきも、今はまだ、とても細い糸のようなもの。			エオルゼアの名の下に							
その糸がほつれかけたとき、彼らを繋ぎ止めるためにも、知っておいた方がいいと思うわ。			その糸がほつれかけたとき、彼らを繋ぎ止めるためにも、知っておいた方がいいと思うわ。			エオルゼアの名の下に							
そのとおりだ。だが、組織を離れた者に、元総帥である私が接触したとて、正直な思いの丈を聞けるとは思えない……。			そのとおりだ。だが、組織を離れた者に、元総帥である私が接触したとて、正直な思いの丈を聞けるとは思えない……。			エオルゼアの名の下に							
なら、こうしましょう。離脱者については、私とラハが捜索して話を聴く。			なら、こうしましょう。離脱者については、私とラハが捜索して話を聴く。			エオルゼアの名の下に							
「暁」に参加してくれた人たちからは、あなたたちふたりで話を聞いてきてちょうだい。			「暁」に参加してくれた人たちからは、あなたたちふたりで話を聞いてきてちょうだい。			エオルゼアの名の下に							
助かるよ。それならこちらは、リオルとアリアヌに話を聞いてこよう。ふたりも道中、気をつけて。			助かるよ。それならこちらは、リオルとアリアヌに話を聞いてこよう。ふたりも道中、気をつけて。			エオルゼアの名の下に							
たしか、リオルとアリアヌは、同盟軍との情報交換のため、「カストルム・オリエンス」に向かうと言っていたはずだ。さっそく行ってみよう。			たしか、リオルとアリアヌは、同盟軍との情報交換のため、「カストルム・オリエンス」に向かうと言っていたはずだ。さっそく行ってみよう。			エオルゼアの名の下に							
今後、協力の輪が広がるほどに、情報共有の重要度は、上がってくるはずだ。普段から、その役割を担ってくれる彼らは、本当に頼もしいよ。			今後、協力の輪が広がるほどに、情報共有の重要度は、上がってくるはずだ。普段から、その役割を担ってくれる彼らは、本当に頼もしいよ。			エオルゼアの名の下に							
あら、あなたも何か情報を求めてきたのかしら？この拠点は、元から各国の兵が集まっていたこともあって、今じゃ、諜報部隊同士の情報交換所みたいになっているのよ。			あら、あなたも何か情報を求めてきたのかしら？この拠点は、元から各国の兵が集まっていたこともあって、今じゃ、諜報部隊同士の情報交換所みたいになっているのよ。			エオルゼアの名の下に							
よう、わざわざここに来たってことは、アラミゴでの会談で、何かあったかい？			よう、わざわざここに来たってことは、アラミゴでの会談で、何かあったかい？			エオルゼアの名の下に							
さすが、会談のことも、もう聞いていたか……。実は、クリスタルブレイブに所属していた君たちに、折り入って聞きたいことがあるんだ。			さすが、会談のことも、もう聞いていたか……。実は、クリスタルブレイブに所属していた君たちに、折り入って聞きたいことがあるんだ。			エオルゼアの名の下に							
何故、お前たちについていこうと思ったか……か。改めて口に出すとなると、こっ恥ずかしいものがあるな。			何故、お前たちについていこうと思ったか……か。改めて口に出すとなると、こっ恥ずかしいものがあるな。			エオルゼアの名の下に							
Forenameには話したことがあったね。当時、私は組織に内通者がいることを察しながら、判断ミスで、事態を伝えられず拘束されてしまったわ……。			Forenameには話したことがあったね。当時、私は組織に内通者がいることを察しながら、判断ミスで、事態を伝えられず拘束されてしまったわ……。			エオルゼアの名の下に							
私にとっては、苦い記憶よ。当時、私は組織に内通者がいることを察しながら、判断ミスで、事態を伝えられず拘束されてしまった……。			私にとっては、苦い記憶よ。当時、私は組織に内通者がいることを察しながら、判断ミスで、事態を伝えられず拘束されてしまった……。			エオルゼアの名の下に							
あの悔しさは、1日だって忘れたことはないわ。私自身が、当時のことを挽回できたと思えるまでは、あなたたちと活動していくつもり。			あの悔しさは、1日だって忘れたことはないわ。私自身が、当時のことを挽回できたと思えるまでは、あなたたちと活動していくつもり。			エオルゼアの名の下に							
それが、「暁」に加わった理由のひとつ。もうひとつは……アルフィノ、あなたの言葉よ。			それが、「暁」に加わった理由のひとつ。もうひとつは……アルフィノ、あなたの言葉よ。			エオルゼアの名の下に							
石の家で再会した私たちに向けて、あなたは「すべて、自分の失態だ」と責任を認めてみせた。私たちが何かを語るよりも早く、ね。			石の家で再会した私たちに向けて、あなたは「すべて、自分の失態だ」と責任を認めてみせた。私たちが何かを語るよりも早く、ね。			エオルゼアの名の下に							
そして、再び仲間にしてほしいと望む私たちを、何ら躊躇することなく、受け入れると決断した……。手ひどい裏切りにあった直後だというのに。			そして、再び仲間にしてほしいと望む私たちを、何ら躊躇することなく、受け入れると決断した……。手ひどい裏切りにあった直後だというのに。			エオルゼアの名の下に							
そこまで、まっすぐに信じられちゃったら……全力でこの人の力になりたいって、思っちゃうわよねえ？			そこまで、まっすぐに信じられちゃったら……全力でこの人の力になりたいって、思っちゃうわよねえ？			エオルゼアの名の下に							
俺は元はといえば、「海雄旅団」って傭兵団の一員だ。その旅団が掲げた「強き力は弱き者のために」ってモットーが、今も俺を支えている。			俺は元はといえば、「海雄旅団」って傭兵団の一員だ。その旅団が掲げた「強き力は弱き者のために」ってモットーが、今も俺を支えている。			エオルゼアの名の下に							
お前たちや賢人はもとより、タタルの嬢ちゃんや、ホーリー・ボルダーたちだって、「暁」に属してる奴らは、本当に才能豊かで実力も確かだ。			お前たちや賢人はもとより、タタルの嬢ちゃんや、ホーリー・ボルダーたちだって、「暁」に属してる奴らは、本当に才能豊かで実力も確かだ。			エオルゼアの名の下に							
そんな連中が、自分たちだけのためでなく、世界の救済なんて大きな目標のため、全力を尽くしている。なら、俺だって……そう思っちまったんだよ。			そんな連中が、自分たちだけのためでなく、世界の救済なんて大きな目標のため、全力を尽くしている。なら、俺だって……そう思っちまったんだよ。			エオルゼアの名の下に							
アリアヌ……リオル……。……まっすぐな気持ちを聞かせてくれて、ありがとう。			アリアヌ……リオル……。……まっすぐな気持ちを聞かせてくれて、ありがとう。			エオルゼアの名の下に							
Forenameからも、質問はあるかい？			Forenameからも、質問はあるかい？			エオルゼアの名の下に							
何と言う？			何と言う？			エオルゼアの名の下に							
クリスタルブレイブはどうだった？			クリスタルブレイブはどうだった？			エオルゼアの名の下に							
組織が失敗した要因は何だったと思う？			組織が失敗した要因は何だったと思う？			エオルゼアの名の下に							
クリスタルブレイブには、誇るべき理念があった。俺は、それを信じて参加を決めたわけだが……残念ながら全員が同じだったわけじゃない。			クリスタルブレイブには、誇るべき理念があった。俺は、それを信じて参加を決めたわけだが……残念ながら全員が同じだったわけじゃない。			エオルゼアの名の下に							
理想に燃える奴と、カネや名誉を求める奴らに温度差があって、組織としてのまとまりには欠けていたのさ。			理想に燃える奴と、カネや名誉を求める奴らに温度差があって、組織としてのまとまりには欠けていたのさ。			エオルゼアの名の下に							
イルベルドのことは、いっさい許せないけれど……。あのとき、にわか作りの組織がなんとか運営できていたのは、正直いって、彼の尽力が大きいわよね。			イルベルドのことは、いっさい許せないけれど……。あのとき、にわか作りの組織がなんとか運営できていたのは、正直いって、彼の尽力が大きいわよね。			エオルゼアの名の下に							
奴には奴の思惑があったわけだがな。「暁」に一体感があるのは、タタル嬢が徹底した下調べで、勧誘対象をふるいにかけていたのが、大きいだろう。			奴には奴の思惑があったわけだがな。「暁」に一体感があるのは、タタル嬢が徹底した下調べで、勧誘対象をふるいにかけていたのが、大きいだろう。			エオルゼアの名の下に							
なるほど。すべての国家と種族とが、ともに掲げられる理念や目標を据え、各々が重んじていく……それが大切ということか……。			なるほど。すべての国家と種族とが、ともに掲げられる理念や目標を据え、各々が重んじていく……それが大切ということか……。			エオルゼアの名の下に							
貴重な意見に感謝するよ。意見書に反映させてもらうとともに……自分への戒めとして、心に刻んでおこう。			貴重な意見に感謝するよ。意見書に反映させてもらうとともに……自分への戒めとして、心に刻んでおこう。			エオルゼアの名の下に							
ウルダハ・ランディングのアルフィノは、パガルザンでの戦果を報告に向かいたいようだ。			ウルダハ・ランディングのアルフィノは、パガルザンでの戦果を報告に向かいたいようだ。			戦いと犠牲							
ナナモが現れ、アレンヴァルドの負傷を伝えられた。ウルダハのフロンデール歩廊で「薬学院の治癒師」と話そう。			ナナモが現れ、アレンヴァルドの負傷を伝えられた。ウルダハのフロンデール歩廊で「薬学院の治癒師」と話そう。			戦いと犠牲							
アレンヴァルドの容態を聞いた。フォルドラは、悔やむアルフィノの考えを否定し去っていった。フロンデール歩廊の「アルフィノ」と話そう。			アレンヴァルドの容態を聞いた。フォルドラは、悔やむアルフィノの考えを否定し去っていった。フロンデール歩廊の「アルフィノ」と話そう。			戦いと犠牲							
香煙の間に通され、ナナモと今後の対策について話し合った。世界各地に「異形の蛮神」が出現しているらしい。ウルダハのロイヤル・プロムナードで「アリゼー」と話そう。			香煙の間に通され、ナナモと今後の対策について話し合った。世界各地に「異形の蛮神」が出現しているらしい。ウルダハのロイヤル・プロムナードで「アリゼー」と話そう。			戦いと犠牲							
クルルの要請で、エスティニアンも一緒に石の家に戻ることになった。モードゥナのレヴナンツトールにある「石の家」に向かおう。			クルルの要請で、エスティニアンも一緒に石の家に戻ることになった。モードゥナのレヴナンツトールにある「石の家」に向かおう。			戦いと犠牲							
シャーレアンに旅立つことを決めたクルルの頼みで、エスティニアンも「暁」に力を貸してくれることになった。石の家の「タタル」と話そう。			シャーレアンに旅立つことを決めたクルルの頼みで、エスティニアンも「暁」に力を貸してくれることになった。石の家の「タタル」と話そう。			戦いと犠牲							
「暁」の仲間たちもみな、各国との連絡や蛮神対策に動いているらしい。仲間の活動を頼りにしながら、状況に進展があるまで備えておこう。			「暁」の仲間たちもみな、各国との連絡や蛮神対策に動いているらしい。仲間の活動を頼りにしながら、状況に進展があるまで備えておこう。			戦いと犠牲							
薬学院の治癒師と話す			薬学院の治癒師と話す			戦いと犠牲							
アルフィノと話す			アルフィノと話す			戦いと犠牲							
アリゼーと話す			アリゼーと話す			戦いと犠牲							
石の家に向かう			石の家に向かう			戦いと犠牲							
タタルと話す			タタルと話す			戦いと犠牲							
遠目に見たかぎりでは、「終末の塔」周辺で戦闘は起きていなかったけど……アレンヴァルドとフォルドラは……。			遠目に見たかぎりでは、「終末の塔」周辺で戦闘は起きていなかったけど……アレンヴァルドとフォルドラは……。			戦いと犠牲							
ティアマットはこれから、世界中の空を飛ぶんだろうな。同胞である、メラシディアのドラゴン族を護るために。			ティアマットはこれから、世界中の空を飛ぶんだろうな。同胞である、メラシディアのドラゴン族を護るために。			戦いと犠牲							
願わくは、二度とルナバハムートが現れることがなきよう……。此度の戦では、我らは勝利を得ることができました。このままテロフォロイに肉薄できればよいのですが。			願わくは、二度とルナバハムートが現れることがなきよう……。此度の戦では、我らは勝利を得ることができました。このままテロフォロイに肉薄できればよいのですが。			戦いと犠牲							
人とともに戦うアマルジャ族の姿は、クリスタリウムの住人だったズン族と重なって見えたわ。本来、ああして手を取り合える種族だったということよ。			人とともに戦うアマルジャ族の姿は、クリスタリウムの住人だったズン族と重なって見えたわ。本来、ああして手を取り合える種族だったということよ。			戦いと犠牲							
憎み合ってきた関係すべてが過去になることはない。だが、一部とでも手を取り合うことができれば、互いの未来を紡ぐための大きな一歩になるはずだ。			憎み合ってきた関係すべてが過去になることはない。だが、一部とでも手を取り合うことができれば、互いの未来を紡ぐための大きな一歩になるはずだ。			戦いと犠牲							
……トドメは、お前たちに任せることになってしまったな。おかげで、ティアマットの願いを叶えることができた。			……トドメは、お前たちに任せることになってしまったな。おかげで、ティアマットの願いを叶えることができた。			戦いと犠牲							
ルナバハムートの討伐、感謝いたします……。			ルナバハムートの討伐、感謝いたします……。			戦いと犠牲							
……ここで案じていても仕方ない、やるべきことをやろうか。ピピン殿も戻っておられるだろうから、彼と合流して、ナナモ陛下へ報告を……。			……ここで案じていても仕方ない、やるべきことをやろうか。ピピン殿も戻っておられるだろうから、彼と合流して、ナナモ陛下へ報告を……。			戦いと犠牲							
(-？？？？-)Forename、アルフィノ……！それに、「暁」の皆よ……！			(-？？？？-)Forename、アルフィノ……！それに、「暁」の皆よ……！			戦いと犠牲							
本来なら、いの一番に参戦の礼を述べねばならぬところじゃが、それよりも、今は急ぎフロンデール薬学院へ……！			本来なら、いの一番に参戦の礼を述べねばならぬところじゃが、それよりも、今は急ぎフロンデール薬学院へ……！			戦いと犠牲							
ナナモ陛下！？薬学院へ……とは……いったい……？			ナナモ陛下！？薬学院へ……とは……いったい……？			戦いと犠牲							
先ほど帰還したピピンより報告が……。撤収の際に、負傷したアレンヴァルドを抱えた、フォルドラを発見し、保護したと！			先ほど帰還したピピンより報告が……。撤収の際に、負傷したアレンヴァルドを抱えた、フォルドラを発見し、保護したと！			戦いと犠牲							
…………ッ！			…………ッ！			戦いと犠牲							
陛下、御自らのご伝達、感謝の言葉もありません。申し訳ありませんが……失礼いたします……！			陛下、御自らのご伝達、感謝の言葉もありません。申し訳ありませんが……失礼いたします……！			戦いと犠牲							
アレンヴァルドの容態をお伺いしても……？			アレンヴァルドの容態をお伺いしても……？			戦いと犠牲							
帰還後、すぐに薬学院へと運び込まれたのでな。仔細がわかり次第、報告が来ることになっておるが……今はただ、一刻を争う、と。			帰還後、すぐに薬学院へと運び込まれたのでな。仔細がわかり次第、報告が来ることになっておるが……今はただ、一刻を争う、と。			戦いと犠牲							
みんなで押しかけても、治療の邪魔になるわ。Forename、エスティニアン、アルフィノの側にいてあげて……？			みんなで押しかけても、治療の邪魔になるわ。Forename、エスティニアン、アルフィノの側にいてあげて……？			戦いと犠牲							
……わかった、俺たちで薬学院へと向かおう。			……わかった、俺たちで薬学院へと向かおう。			戦いと犠牲							
お願い……。パガルザンでのことは、私たちで報告しておくわ。			お願い……。パガルザンでのことは、私たちで報告しておくわ。			戦いと犠牲							
……それじゃあ、相棒。俺たちは、「フロンデール薬学院」へ行くぞ。			……それじゃあ、相棒。俺たちは、「フロンデール薬学院」へ行くぞ。			戦いと犠牲							
アルフィノの様子から察するに、負傷して運び込まれたって奴とは仲が良かったんだろう？			アルフィノの様子から察するに、負傷して運び込まれたって奴とは仲が良かったんだろう？			戦いと犠牲							
