イディルシャイアのロウェナは、帰り支度をしているようだ。			イディルシャイアのロウェナは、帰り支度をしているようだ。			その名をアニマウェポン							
クエスト「煌めくアニマウェポン」にて入手できる武器は、現在のジョブ「[Job]」のアニマウェポンとなります。「煌めくアニマウェポン」を「[Job]」で受けますか？			クエスト「煌めくアニマウェポン」にて入手できる武器は、現在のジョブ「[Job]」のアニマウェポンとなります。「煌めくアニマウェポン」を「[Job]」で受けますか？			煌めくアニマウェポン							
[Job]のアニマウェポンを創造しますか？			[Job]のアニマウェポンを創造しますか？			煌めくアニマウェポン							
もう少し悩んでみる			もう少し悩んでみる			煌めくアニマウェポン							
[Job]のアニマウェポンを創造する			[Job]のアニマウェポンを創造する			煌めくアニマウェポン							
「煌めくアニマウェポン」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのジョブで「煌めくアニマウェポン」を受注できません。			「煌めくアニマウェポン」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのジョブで「煌めくアニマウェポン」を受注できません。			煌めくアニマウェポン							
創造したいアニマウェポンに応じたジョブとなり、再度、アルダシールに声をかけてください。			創造したいアニマウェポンに応じたジョブとなり、再度、アルダシールに声をかけてください。			煌めくアニマウェポン							
「[???]」および、「[???]」を、所持または装備していないと、クエスト「煌めくアニマウェポン」を受注することができません。			「[???]」および、「[???]」を、所持または装備していないと、クエスト「煌めくアニマウェポン」を受注することができません。			煌めくアニマウェポン							
「[???]」を、所持または装備していないと、クエスト「煌めくアニマウェポン」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「煌めくアニマウェポン」を受注することができません。			煌めくアニマウェポン							
「[???]」および、「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			「[???]」および、「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			煌めくアニマウェポン							
「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			煌めくアニマウェポン							
Forenameさんと旅をすることで、「人造精霊」は劇的な成長を遂げました。言葉を放ったのも、その成果と言えます。			Forenameさんと旅をすることで、「人造精霊」は劇的な成長を遂げました。言葉を放ったのも、その成果と言えます。			煌めくアニマウェポン							
ですが、急すぎる成長は、諸刃の剣……。「人造精霊」の核であるソウルストーンにも、容量に限界はあるはずですから……。			ですが、急すぎる成長は、諸刃の剣……。「人造精霊」の核であるソウルストーンにも、容量に限界はあるはずですから……。			煌めくアニマウェポン							
つまりなんだ、「人造精霊」がそのまま成長を続ければ、魂が大きくなって、ソウルストーンが砕けちまうってことか？おいガキ、解決策は考えてあるンだろうな……？			つまりなんだ、「人造精霊」がそのまま成長を続ければ、魂が大きくなって、ソウルストーンが砕けちまうってことか？おいガキ、解決策は考えてあるンだろうな……？			煌めくアニマウェポン							
……俺を誰だと思っているんですか？こんな事例は初めてですが、ソウルストーンを補強して、総容量を増やしてやればおそらく……。			……俺を誰だと思っているんですか？こんな事例は初めてですが、ソウルストーンを補強して、総容量を増やしてやればおそらく……。			煌めくアニマウェポン							
補強の方法は、すでに考えてあります。必要な材料をロウェナさんに掛けあって集めてきますよ。			補強の方法は、すでに考えてあります。必要な材料をロウェナさんに掛けあって集めてきますよ。			煌めくアニマウェポン							
ほぉ……クソガキにしては、上出来じゃねェか。……さってと、そンじゃあオレは……。			ほぉ……クソガキにしては、上出来じゃねェか。……さってと、そンじゃあオレは……。			煌めくアニマウェポン							
おっと、酒場に行っているヒマなんてありませんよ？ゲロルトさんには、武器を新調していただきますから。			おっと、酒場に行っているヒマなんてありませんよ？ゲロルトさんには、武器を新調していただきますから。			煌めくアニマウェポン							
なンでオレが、そんなことを……！「アニマウェポン」は「アウォーク」に強化したばかりじゃねェか。			なンでオレが、そんなことを……！「アニマウェポン」は「アウォーク」に強化したばかりじゃねェか。			煌めくアニマウェポン							
魂の大きさに応じた、新しい身体が必要だってことです。人だって、成長に合わせて身体が大きくなるでしょう？あなただって、ムダにガタイがいいじゃないですか。			魂の大きさに応じた、新しい身体が必要だってことです。人だって、成長に合わせて身体が大きくなるでしょう？あなただって、ムダにガタイがいいじゃないですか。			煌めくアニマウェポン							
チッ、面倒なことを次から次へと。仕方ねぇ、借金返済に近づくと思えばいいか…………わかった、新しい武器を造ってやンよ。			チッ、面倒なことを次から次へと。仕方ねぇ、借金返済に近づくと思えばいいか…………わかった、新しい武器を造ってやンよ。			煌めくアニマウェポン							
Forename、テメェも協力しろ。ソウルストーンと武器の接合部には、エーテル伝導率の高い素材を使う必要があるが、手持ちがねェ。			Forename、テメェも協力しろ。ソウルストーンと武器の接合部には、エーテル伝導率の高い素材を使う必要があるが、手持ちがねェ。			煌めくアニマウェポン							
「エンチャントラバー」と「アラグの上級硬化薬」……それから「アラグの上級魔触媒」に「神聖水」の4つだ。			「エンチャントラバー」と「アラグの上級硬化薬」……それから「アラグの上級魔触媒」に「神聖水」の4つだ。			煌めくアニマウェポン							
ロウェナの手下の「クリスティアナ」から入手してこい。いつも、ロウェナ記念会館の隅っこにいる、面倒くさい奴だ。交渉はテメェに任せたぜ。			ロウェナの手下の「クリスティアナ」から入手してこい。いつも、ロウェナ記念会館の隅っこにいる、面倒くさい奴だ。交渉はテメェに任せたぜ。			煌めくアニマウェポン							
Forenameさんと旅することで、「人造精霊」は劇的な成長を遂げました。それに応じるため、今回もソウルストーンの補強が必要です。			Forenameさんと旅することで、「人造精霊」は劇的な成長を遂げました。それに応じるため、今回もソウルストーンの補強が必要です。			煌めくアニマウェポン							
ってことは、例によって新しい武器が必要なンだな？だったら、Forename……テメェのやることは、もう決まっているわけだ。			ってことは、例によって新しい武器が必要なンだな？だったら、Forename……テメェのやることは、もう決まっているわけだ。			煌めくアニマウェポン							
「エンチャントラバー」と「アラグの上級硬化薬」……それから「アラグの上級魔触媒」に「神聖水」の4つ。さくっと揃えてきやがれ。			「エンチャントラバー」と「アラグの上級硬化薬」……それから「アラグの上級魔触媒」に「神聖水」の4つ。さくっと揃えてきやがれ。			煌めくアニマウェポン							
ロウェナの手下の「クリスティアナ」なら、相変わらず、ロウェナ記念会館の隅っこにいるだろうさ。交渉はテメェに任せたぜ。			ロウェナの手下の「クリスティアナ」なら、相変わらず、ロウェナ記念会館の隅っこにいるだろうさ。交渉はテメェに任せたぜ。			煌めくアニマウェポン							
隅っこって、なんでこんなにステキなのかしら……隅っこ……ハッ、こんなところに冒険者が！いったい何の用！　ア、アタイの聖域に何の用なの……！？			隅っこって、なんでこんなにステキなのかしら……隅っこ……ハッ、こんなところに冒険者が！いったい何の用！　ア、アタイの聖域に何の用なの……！？			煌めくアニマウェポン							
……ふ、ふぅん、エーテル伝導率の高い素材ね。確かにお望みの品なら、アタイが扱っているわよ。だけど、もちろんタダじゃ渡せない！			……ふ、ふぅん、エーテル伝導率の高い素材ね。確かにお望みの品なら、アタイが扱っているわよ。だけど、もちろんタダじゃ渡せない！			煌めくアニマウェポン							
この倉庫にある品は、どれも売れ筋じゃないけど、それでも、アタイは大儲けしなきゃならないの……！自由と聖域を得るために！			この倉庫にある品は、どれも売れ筋じゃないけど、それでも、アタイは大儲けしなきゃならないの……！自由と聖域を得るために！			煌めくアニマウェポン							
ア、アタイが望む商品を持ってきてちょうだい！サクっと大金に化けるような、おいしい商品たちをね！そしたら、アンタの望みを叶えてあげるわ！			ア、アタイが望む商品を持ってきてちょうだい！サクっと大金に化けるような、おいしい商品たちをね！そしたら、アンタの望みを叶えてあげるわ！			煌めくアニマウェポン							
隅っこ……隅っこ……最高……ハッ、またアンタなの！いったい何の用！　ア、アタイの聖域に何の用なの……！？			隅っこ……隅っこ……最高……ハッ、またアンタなの！いったい何の用！　ア、アタイの聖域に何の用なの……！？			煌めくアニマウェポン							
……な、なんだ、前回と同じ品がほしいのね。だったら、条件も同じ！ア、アタイが望む商品を持ってきてちょうだい！			……な、なんだ、前回と同じ品がほしいのね。だったら、条件も同じ！ア、アタイが望む商品を持ってきてちょうだい！			煌めくアニマウェポン							
クリスティアナが求めているアイテムを入手するには、インスタンスダンジョン、友好部族クエスト、クラフターの製作など、さまざまな手段を用いる必要があります。			クリスティアナが求めているアイテムを入手するには、インスタンスダンジョン、友好部族クエスト、クラフターの製作など、さまざまな手段を用いる必要があります。			煌めくアニマウェポン							
プレイヤー同士で情報交換し、アイテムの入手方法を探してみましょう。			プレイヤー同士で情報交換し、アイテムの入手方法を探してみましょう。			煌めくアニマウェポン							
おう、頼んだブツは仕入れてきたのか？だったら、さっさとよこしやがれ。「アニマウェポン・アウォーク」と一緒にな！			おう、頼んだブツは仕入れてきたのか？だったら、さっさとよこしやがれ。「アニマウェポン・アウォーク」と一緒にな！			煌めくアニマウェポン							
クソガキは、ソウルストーンの補強を終えたらしくて、さっきから早くしろってうるせェんだ……。こっちも、さっさと終わらせるぞ！			クソガキは、ソウルストーンの補強を終えたらしくて、さっきから早くしろってうるせェんだ……。こっちも、さっさと終わらせるぞ！			煌めくアニマウェポン							
……テメェ、材料が足らねェぞ！			……テメェ、材料が足らねェぞ！			煌めくアニマウェポン							
必要なのは、「エンチャントラバー」と「アラグの上級硬化薬」、それから「アラグの上級魔触媒」に「神聖水」の4つだ。ロウェナの手下の「クリスティアナ」から入手してこい！			必要なのは、「エンチャントラバー」と「アラグの上級硬化薬」、それから「アラグの上級魔触媒」に「神聖水」の4つだ。ロウェナの手下の「クリスティアナ」から入手してこい！			煌めくアニマウェポン							
……よし、全部揃ったな！それじゃ、さっそく始めるぞ！			……よし、全部揃ったな！それじゃ、さっそく始めるぞ！			煌めくアニマウェポン							
はぁ、はぁ、はぁ……完成したぜ……。「人造精霊」の成長に合わせて新たに生み出された、第二世代の「アニマウェポン」……！			はぁ、はぁ、はぁ……完成したぜ……。「人造精霊」の成長に合わせて新たに生み出された、第二世代の「アニマウェポン」……！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「アルマス」……そして、「アンキレー」だ！			テメェの新たな相棒の姿を見やがれ！その名も「アルマス」……そして、「アンキレー」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「ウルスラグナ」だ！			テメェの新たな相棒の姿を見やがれ！その名も「ウルスラグナ」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「ウコンバサラ」だ！			テメェの新たな相棒の姿を見やがれ！その名も「ウコンバサラ」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「ロンゴミアント」だ！			テメェの新たな相棒の姿を見やがれ！その名も「ロンゴミアント」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「ガーンデーヴァ」だ！			テメェの新たな相棒の姿を見やがれ！その名も「ガーンデーヴァ」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「マジェスタス」だ！			テメェの新たな相棒の姿を見やがれ！その名も「マジェスタス」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「フヴェルゲルミル」だ！			テメェの新たな相棒の姿を見やがれ！その名も「フヴェルゲルミル」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「ドラコノミコン」だ！			テメェの新たな相棒の姿を見やがれ！その名も「ドラコノミコン」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「テトラビブロス」だ！			テメェの新たな相棒の姿を見やがれ！その名も「テトラビブロス」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「神無」だ！			テメェの新たな相棒の姿を見やがれ！その名も「神無」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「ノートゥング」だ！			テメェの新たな相棒の姿を見やがれ！その名も「ノートゥング」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「アルマゲドン」だ！			テメェの新たな相棒の姿を見やがれ！その名も「アルマゲドン」だ！			煌めくアニマウェポン							
テメェの新たな相棒の姿を見やがれ！その名も「デネブ」だ！			テメェの新たな相棒の姿を見やがれ！その名も「デネブ」だ！			煌めくアニマウェポン							
(-？？？？-)……ッタ……ヤッタァ？			(-？？？？-)……ッタ……ヤッタァ？			煌めくアニマウェポン							
ククク……我ながら惚れ惚れするような逸品だぜ。オレの腕も、まだまだ捨てたもンじゃねぇな！			ククク……我ながら惚れ惚れするような逸品だぜ。オレの腕も、まだまだ捨てたもンじゃねぇな！			煌めくアニマウェポン							
最初は、この飲んだくれに何ができるかと心配しましたが、腐っても名工と呼ばれただけありますね！			最初は、この飲んだくれに何ができるかと心配しましたが、腐っても名工と呼ばれただけありますね！			煌めくアニマウェポン							
そして、Forenameさん……。「人造精霊」がここまで成長できたのは、あなたのお陰です。あなたの力を借りられて、本当に良かったと思っています！			そして、Forenameさん……。「人造精霊」がここまで成長できたのは、あなたのお陰です。あなたの力を借りられて、本当に良かったと思っています！			煌めくアニマウェポン							
……ったく、可愛げのねぇクソガキだぜ。			……ったく、可愛げのねぇクソガキだぜ。			煌めくアニマウェポン							
な、なんですって……！Forenameさんの武器から、「人造精霊」が飛び出してきた！？			な、なんですって……！Forenameさんの武器から、「人造精霊」が飛び出してきた！？			煌めくアニマウェポン							
……そのうえ、俺たちの目の前まで浮遊して来たのですか！？「人造精霊」の姿なんて、まったく見えませんでしたよ……。			……そのうえ、俺たちの目の前まで浮遊して来たのですか！？「人造精霊」の姿なんて、まったく見えませんでしたよ……。			煌めくアニマウェポン							
なんということだ……。Forenameさんには見えて、俺たちには見えない理由とはいったい……。			なんということだ……。Forenameさんには見えて、俺たちには見えない理由とはいったい……。			煌めくアニマウェポン							
やれやれ……。可愛げのねぇクソガキは、ひとりじゃねえってことか。			やれやれ……。可愛げのねぇクソガキは、ひとりじゃねえってことか。			煌めくアニマウェポン							
成長した「人造精霊」の姿を見られなかったのは残念ですが、研究を進めることで、いつか見える日がくるかもしれません。これからも、がんばりますよ！			成長した「人造精霊」の姿を見られなかったのは残念ですが、研究を進めることで、いつか見える日がくるかもしれません。これからも、がんばりますよ！			煌めくアニマウェポン							
……かつて、古の英雄たちは、「ゾディアックウェポン」と呼ばれる、伝説の武器を持っていたといいます。			……かつて、古の英雄たちは、「ゾディアックウェポン」と呼ばれる、伝説の武器を持っていたといいます。			煌めくアニマウェポン							
この「アニマウェポン」は、現代の英雄であるあなたにとって、後の世に語り継がれる「新しい伝説」になるかもしれない！			この「アニマウェポン」は、現代の英雄であるあなたにとって、後の世に語り継がれる「新しい伝説」になるかもしれない！			煌めくアニマウェポン							
ヘッ、浮かれやがって……。その武器……「新たなアニマウェポン」には、まだ強化の余地が残っている。			ヘッ、浮かれやがって……。その武器……「新たなアニマウェポン」には、まだ強化の余地が残っている。			煌めくアニマウェポン							
……それに、「人造精霊」の成長ってのも、まだまだ、こんなモンじゃねぇンだろ？			……それに、「人造精霊」の成長ってのも、まだまだ、こんなモンじゃねぇンだろ？			煌めくアニマウェポン							
も、もちろん……！言われるまでもありませんよ！			も、もちろん……！言われるまでもありませんよ！			煌めくアニマウェポン							
俺は研究を続けて、必ず、「人造精霊」を成長させる方法を突き止めてみせます！			俺は研究を続けて、必ず、「人造精霊」を成長させる方法を突き止めてみせます！			煌めくアニマウェポン							
そうだ……「人造精霊」の創造者として、これまでの研究過程を日誌にまとめてみたんです。Forenameさんも、よかったらご覧になってください。			そうだ……「人造精霊」の創造者として、これまでの研究過程を日誌にまとめてみたんです。Forenameさんも、よかったらご覧になってください。			煌めくアニマウェポン							
……クックックッ、いいぞ、クソガキ。その調子で研究を完成させりゃ、俺も晴れて借金生活とオサラバ……自由の身になれるンだ！			……クックックッ、いいぞ、クソガキ。その調子で研究を完成させりゃ、俺も晴れて借金生活とオサラバ……自由の身になれるンだ！			煌めくアニマウェポン							
Forenameさん！今回も無事に「新たなアニマウェポン」は完成しました！			Forenameさん！今回も無事に「新たなアニマウェポン」は完成しました！			煌めくアニマウェポン							
おお！またもや、「人造精霊」の姿を見たのですね！			おお！またもや、「人造精霊」の姿を見たのですね！			煌めくアニマウェポン							
今回も、その姿を見ることはできませんでしたが……いつかきっと見ることができると信じています！			今回も、その姿を見ることはできませんでしたが……いつかきっと見ることができると信じています！			煌めくアニマウェポン							
そのためにも俺は研究を進めて、必ず、「人造精霊」を成長させる方法を突き止めてみせます！			そのためにも俺は研究を進めて、必ず、「人造精霊」を成長させる方法を突き止めてみせます！			煌めくアニマウェポン							
「アニマウェポン・アウォーク」は強化され、「新たなアニマウェポン」になりました！			「アニマウェポン・アウォーク」は強化され、「新たなアニマウェポン」になりました！			煌めくアニマウェポン							
特殊ルール： クラス・ジョブ固定アルダシールは、人造精霊の研究の続きを行いたいようだ。			特殊ルール： クラス・ジョブ固定アルダシールは、人造精霊の研究の続きを行いたいようだ。			人造精霊の声							
※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。アルダシールは、人造精霊に冒険者のエーテルを伝えやすくするため、アニマウェポンの改良を提案した。そのためには、ゲロルトが使用している道具を絶霊化しなければならないという。ゲロルトから、絶霊化に必要な「アラグの絶霊油」を集めてくるよう頼まれた。クエストを受注した際のジョブとなり、「アニマウェポン」を装備から外し所持した状態で、ポート・ヘリックスのアルダシールに、「アラグの絶霊油」を5つ渡そう。			※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。アルダシールは、人造精霊に冒険者のエーテルを伝えやすくするため、アニマウェポンの改良を提案した。そのためには、ゲロルトが使用している道具を絶霊化しなければならないという。ゲロルトから、絶霊化に必要な「アラグの絶霊油」を集めてくるよう頼まれた。クエストを受注した際のジョブとなり、「アニマウェポン」を装備から外し所持した状態で、ポート・ヘリックスのアルダシールに、「アラグの絶霊油」を5つ渡そう。			人造精霊の声							
アルダシールに、アラグの絶霊油を渡した。冒険者のエーテルが人造精霊に伝わったことの証として、武器は美しく輝いた。人造精霊にも、変化が表れたようだが……。次なる研究に備えて、「アニマウェポン・コンダクト」とともに成長しよう。			アルダシールに、アラグの絶霊油を渡した。冒険者のエーテルが人造精霊に伝わったことの証として、武器は美しく輝いた。人造精霊にも、変化が表れたようだが……。次なる研究に備えて、「アニマウェポン・コンダクト」とともに成長しよう。			人造精霊の声							
アルマスとアンキレーウルスラグナウコンバサラロンゴミアントガーンデーヴァマジェスタスフヴェルゲルミルドラコノミコンテトラビブロス神無アルマゲドンノートゥングデネブを所持し、ポート・ヘリックスのアルダシールにアラグの絶霊油を渡す			アルマスとアンキレーウルスラグナウコンバサラロンゴミアントガーンデーヴァマジェスタスフヴェルゲルミルドラコノミコンテトラビブロス神無アルマゲドンノートゥングデネブを所持し、ポート・ヘリックスのアルダシールにアラグの絶霊油を渡す			人造精霊の声							
クエスト「人造精霊の声」にて入手できる武器は、現在のジョブ「[Job]」のアニマウェポンとなります。「人造精霊の声」を「[Job]」で受けますか？			クエスト「人造精霊の声」にて入手できる武器は、現在のジョブ「[Job]」のアニマウェポンとなります。「人造精霊の声」を「[Job]」で受けますか？			人造精霊の声							
[Job]のアニマウェポンを創造しますか？			[Job]のアニマウェポンを創造しますか？			人造精霊の声							
もう少し悩んでみる			もう少し悩んでみる			人造精霊の声							
[Job]のアニマウェポンを創造する			[Job]のアニマウェポンを創造する			人造精霊の声							
「人造精霊の声」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのジョブで「人造精霊の声」を受注できません。			「人造精霊の声」を受注した場合、クエストを完了、あるいは破棄するまで、ほかのジョブで「人造精霊の声」を受注できません。			人造精霊の声							
創造したいアニマウェポンに応じたジョブとなり、再度、アルダシールに声をかけてください。			創造したいアニマウェポンに応じたジョブとなり、再度、アルダシールに声をかけてください。			人造精霊の声							
「[???]」および、「[???]」を、所持または装備していないと、クエスト「人造精霊の声」を受注することができません。			「[???]」および、「[???]」を、所持または装備していないと、クエスト「人造精霊の声」を受注することができません。			人造精霊の声							
「[???]」を、所持または装備していないと、クエスト「人造精霊の声」を受注することができません。			「[???]」を、所持または装備していないと、クエスト「人造精霊の声」を受注することができません。			人造精霊の声							
「[???]」および、「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			「[???]」および、「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			人造精霊の声							
「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			「[???]」はすでに取得済みです。ほかのジョブとなり、再度アルダシールに話しかけてください。			人造精霊の声							
前回までの制作過程で……人造精霊は、Forenameさんに、一方的ですが意思の疎通を行いました。			前回までの制作過程で……人造精霊は、Forenameさんに、一方的ですが意思の疎通を行いました。			人造精霊の声							
しかし、自ら思考する武器を実現するためには、一方通行ではない対話を、成立させなければなりません！			しかし、自ら思考する武器を実現するためには、一方通行ではない対話を、成立させなければなりません！			人造精霊の声							
今回は、人造精霊にあなたを主だと認識させ、自然に対話することを目標としましょう……！			今回は、人造精霊にあなたを主だと認識させ、自然に対話することを目標としましょう……！			人造精霊の声							
しかし何故、Forenameさんだけが、人造精霊の姿を目視できたのか……。			しかし何故、Forenameさんだけが、人造精霊の姿を目視できたのか……。			人造精霊の声							
きっと、俺たちとForenameさんでは、決定的に違う何かがあるはず……。そう思い、勝手ながらあなたを少しだけ調べさせてもらいました。			きっと、俺たちとForenameさんでは、決定的に違う何かがあるはず……。そう思い、勝手ながらあなたを少しだけ調べさせてもらいました。			人造精霊の声							
……Forenameさん。あなたには、「超える力」という異能があるそうですね？			……Forenameさん。あなたには、「超える力」という異能があるそうですね？			人造精霊の声							
「言葉の壁」や「心の壁」さえ超える、その異能によって、人造精霊の姿を見て、声を聞くことができた……俺は、そう仮説を立てました。			「言葉の壁」や「心の壁」さえ超える、その異能によって、人造精霊の姿を見て、声を聞くことができた……俺は、そう仮説を立てました。			人造精霊の声							
つまり、このままじゃ、こいつの異能を頼らねェかぎりは、人造精霊を見ることさえできねェってことだろ？			つまり、このままじゃ、こいつの異能を頼らねェかぎりは、人造精霊を見ることさえできねェってことだろ？			人造精霊の声							
ンな人を選ぶ、ハンパなもンを創り続けても意味がねェ！！誰でも扱えるようにする方法を、きっちり考えてあるンだろうな？			ンな人を選ぶ、ハンパなもンを創り続けても意味がねェ！！誰でも扱えるようにする方法を、きっちり考えてあるンだろうな？			人造精霊の声							
ええ、もちろんです！！			ええ、もちろんです！！			人造精霊の声							
この人造精霊は、Forenameさんが集めてくれた、「星極」と「霊極」のクリスタルのエーテルから創られた、一種の魔法生物です。			この人造精霊は、Forenameさんが集めてくれた、「星極」と「霊極」のクリスタルのエーテルから創られた、一種の魔法生物です。			人造精霊の声							
ゴーレムのように単純な魔法生物なら、最初に与えられた魔力だけで存続し得るでしょうが、意思の疎通を行うまでに「成長」することなど不可能……。			ゴーレムのように単純な魔法生物なら、最初に与えられた魔力だけで存続し得るでしょうが、意思の疎通を行うまでに「成長」することなど不可能……。			人造精霊の声							
裏を返せば、人造精霊が霧散せずに「成長」したということは、何らかのエーテルを、持続的に得ていたことになる……。そう、ともに旅をしていた、あなたのエーテルですよ。			裏を返せば、人造精霊が霧散せずに「成長」したということは、何らかのエーテルを、持続的に得ていたことになる……。そう、ともに旅をしていた、あなたのエーテルですよ。			人造精霊の声							
人造精霊に、あなたのエーテルをもっと吸収させられれば、さらなる「成長」を促し、意思の疎通をするための力も、育まれるに違いありません。			人造精霊に、あなたのエーテルをもっと吸収させられれば、さらなる「成長」を促し、意思の疎通をするための力も、育まれるに違いありません。			人造精霊の声							
その仕組みを確立することで、いずれ異能に頼らずとも、意思の疎通をすることが可能になるはず！汎用性の問題も解決できて、一石二鳥ですね。			その仕組みを確立することで、いずれ異能に頼らずとも、意思の疎通をすることが可能になるはず！汎用性の問題も解決できて、一石二鳥ですね。			人造精霊の声							
そこで、ゲロルトさん……あなたの技術の出番です。Forenameさんのエーテルを、効率よく人造精霊に流せるように、武器を改良できませんか？			そこで、ゲロルトさん……あなたの技術の出番です。Forenameさんのエーテルを、効率よく人造精霊に流せるように、武器を改良できませんか？			人造精霊の声							
もちろんできないこたァねえ。アニマウェポンを打ち直して、エーテル伝導率を上げりゃあいいンだが……。			もちろんできないこたァねえ。アニマウェポンを打ち直して、エーテル伝導率を上げりゃあいいンだが……。			人造精霊の声							
Forenameのエーテルだけを伝えてェとなると、ちっとばかし厄介だな……。			Forenameのエーテルだけを伝えてェとなると、ちっとばかし厄介だな……。			人造精霊の声							
武器のエーテル伝導率を上げると、必然的に、作業をするオレのエーテルが流れ込ンじまう。つまり、オレと人造精霊のエーテルが近くなるってこった。			武器のエーテル伝導率を上げると、必然的に、作業をするオレのエーテルが流れ込ンじまう。つまり、オレと人造精霊のエーテルが近くなるってこった。			人造精霊の声							
オレは人造精霊の主になるつもりはねェし、そもそも、人造精霊がオレに似ちまったら、テメェ……互いの才能に嫉妬しちまうだろ？			オレは人造精霊の主になるつもりはねェし、そもそも、人造精霊がオレに似ちまったら、テメェ……互いの才能に嫉妬しちまうだろ？			人造精霊の声							
……はい、そんな気味が悪い大惨事は、決して起こしてはいけませんね！何か、対処方法はあるのですか……？			……はい、そんな気味が悪い大惨事は、決して起こしてはいけませんね！何か、対処方法はあるのですか……？			人造精霊の声							
アァ！？　本当にテメェは、いちいち癪に障るヤツだな！……まあ、対処方法はある。オレのエーテルを断絶して作業すりゃいいのさ。			アァ！？　本当にテメェは、いちいち癪に障るヤツだな！……まあ、対処方法はある。オレのエーテルを断絶して作業すりゃいいのさ。			人造精霊の声							
そのためには、オレの鍛冶道具が、エーテルを通さない状態になっていること……つまり、「絶霊化」されている必要がある。			そのためには、オレの鍛冶道具が、エーテルを通さない状態になっていること……つまり、「絶霊化」されている必要がある。			人造精霊の声							
ここ魔大陸で、アラグの知識を紐解いていたら見つけたンだが、かつて「アラグの絶霊油」っていうもンがあったらしい。ソイツさえありゃ、オレの道具を一時的に「絶霊化」できる。			ここ魔大陸で、アラグの知識を紐解いていたら見つけたンだが、かつて「アラグの絶霊油」っていうもンがあったらしい。ソイツさえありゃ、オレの道具を一時的に「絶霊化」できる。			人造精霊の声							
どこで手に入るかわからンが、幾度となくいろんなもンを取引したことがあるテメェなら、「アラグの絶霊油」だって持ってこれンだろ？			どこで手に入るかわからンが、幾度となくいろんなもンを取引したことがあるテメェなら、「アラグの絶霊油」だって持ってこれンだろ？			人造精霊の声							
よし……Forename！！いままで取引してきた商人やらなんやらをあたって、金床用とハンマー用に「アラグの絶霊油」を5つ持ってこい！			よし……Forename！！いままで取引してきた商人やらなんやらをあたって、金床用とハンマー用に「アラグの絶霊油」を5つ持ってこい！			人造精霊の声							
……アラグの知識を調べていたことは評価します。しかし、どこで入手できるかにまで考えが至らなかったとは、さすがゲロルトさん……気の回らない残念な大人だ。			……アラグの知識を調べていたことは評価します。しかし、どこで入手できるかにまで考えが至らなかったとは、さすがゲロルトさん……気の回らない残念な大人だ。			人造精霊の声							
Forenameさん……。俺とゲロルトさんは、今後の調整に向けて、もう一度、関係しそうなアラグの知識を洗いざらい調べます。			Forenameさん……。俺とゲロルトさんは、今後の調整に向けて、もう一度、関係しそうなアラグの知識を洗いざらい調べます。			人造精霊の声							
すみませんが、あなたはその間に、「アラグの絶霊油」を5つ集めてきてください！			すみませんが、あなたはその間に、「アラグの絶霊油」を5つ集めてきてください！			人造精霊の声							
では、前回と同様、Forenameさんと人造精霊が自然に対話できるよう、武器の改良を行いましょう。			では、前回と同様、Forenameさんと人造精霊が自然に対話できるよう、武器の改良を行いましょう。			人造精霊の声							
