格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			格闘士ギルドのハモンは、強くなった冒険者と共に修行したいようだ。			拳の聖人							
Forename！　ウォーハウンドに気をつけて！そいつは先に仕留めたほうがいいわ！			Forename！　ウォーハウンドに気をつけて！そいつは先に仕留めたほうがいいわ！			燃える明星、駆ける流星							
チッ……こうなったらバステト！　Forenameを殺せ！！			チッ……こうなったらバステト！　Forenameを殺せ！！			燃える明星、駆ける流星							
バステト！？　アンタ、なんてもん連れてくんのよ！！			バステト！？　アンタ、なんてもん連れてくんのよ！！			燃える明星、駆ける流星							
そいつのカオティックアイは、こちらの力を奪うわ！目を合わせないように気をつけてっ！			そいつのカオティックアイは、こちらの力を奪うわ！目を合わせないように気をつけてっ！			燃える明星、駆ける流星							
くっ……ルルクタ、腕を上げたわね……！			くっ……ルルクタ、腕を上げたわね……！			燃える明星、駆ける流星							
ごめん、Forename……私……守れなかった……。			ごめん、Forename……私……守れなかった……。			燃える明星、駆ける流星							
格闘士ギルドのハモンはすっかり意気消沈しているようだ。			格闘士ギルドのハモンはすっかり意気消沈しているようだ。			闘魂に火をつけろ							
ハモンは冒険者に指導をする元気はない。「チュチュト」から新たな課題をもらおう。			ハモンは冒険者に指導をする元気はない。「チュチュト」から新たな課題をもらおう。			闘魂に火をつけろ							
昔、ハモンが修行したことをやり遂げれば、彼の闘争心を煽れるかもしれない。「ドライボーン」の南方にある「拳撃の痕跡」に「連撃」を叩きこんで、現れた「ホーネット・クラウド」の「ホーネットの毒針」を集めてこよう。			昔、ハモンが修行したことをやり遂げれば、彼の闘争心を煽れるかもしれない。「ドライボーン」の南方にある「拳撃の痕跡」に「連撃」を叩きこんで、現れた「ホーネット・クラウド」の「ホーネットの毒針」を集めてこよう。			闘魂に火をつけろ							
ホーネットの毒針を入手することができた。「格闘士ギルド」の「ハモン」に「ホーネットの毒針」を渡しにいこう。			ホーネットの毒針を入手することができた。「格闘士ギルド」の「ハモン」に「ホーネットの毒針」を渡しにいこう。			闘魂に火をつけろ							
ホーネットの毒針を見て、昔の修行を思い出し闘魂を取り戻すことができたようだ。準備ができたら「ハモン」に話しかけよう。			ホーネットの毒針を見て、昔の修行を思い出し闘魂を取り戻すことができたようだ。準備ができたら「ハモン」に話しかけよう。			闘魂に火をつけろ							
「大斧のヴェッグファル」と部下になったというルルクタが現れた。彼はもし、ハモンが復活を果たした時には、決闘を申し込むという。もう一度、「ハモン」に話しかけよう。			「大斧のヴェッグファル」と部下になったというルルクタが現れた。彼はもし、ハモンが復活を果たした時には、決闘を申し込むという。もう一度、「ハモン」に話しかけよう。			闘魂に火をつけろ							
話によるとヴェッグファルは以前、ハモンに負けているようだ。決闘で負ければ、格闘士ギルドはヴェッグファルのものになってしまう。「拳聖ハモン」の復活に協力するため、冒険者も修行に励もう。※格闘士のレベルが25以上になると、ハモンから次の格闘士クエストを受注することができます。			話によるとヴェッグファルは以前、ハモンに負けているようだ。決闘で負ければ、格闘士ギルドはヴェッグファルのものになってしまう。「拳聖ハモン」の復活に協力するため、冒険者も修行に励もう。※格闘士のレベルが25以上になると、ハモンから次の格闘士クエストを受注することができます。			闘魂に火をつけろ							
チュチュトと話す			チュチュトと話す			闘魂に火をつけろ							
拳撃の痕跡に連撃を加えてホーネットの毒針を入手			拳撃の痕跡に連撃を加えてホーネットの毒針を入手			闘魂に火をつけろ							
格闘士ギルドのハモンにホーネットの毒針を渡す			格闘士ギルドのハモンにホーネットの毒針を渡す			闘魂に火をつけろ							
ハモンと修行する			ハモンと修行する			闘魂に火をつけろ							
ハモンと話す			ハモンと話す			闘魂に火をつけろ							
ハモンを倒せ！			ハモンを倒せ！			闘魂に火をつけろ							
はぁ……Forenameか……。わざわざ来てもらってすまないが……。今日はチュチュトに指導をしてもらってくれ……。			はぁ……Forenameか……。わざわざ来てもらってすまないが……。今日はチュチュトに指導をしてもらってくれ……。			闘魂に火をつけろ							
ふーむ、強くなったForenameを見ても、まだ師匠はやる気を起こさないみたいね……。もっともーっと闘争心を煽らないと……。			ふーむ、強くなったForenameを見ても、まだ師匠はやる気を起こさないみたいね……。もっともーっと闘争心を煽らないと……。			闘魂に火をつけろ							
……そうだ！　Forenameが、師匠が若いころ苦労した修行を楽々やり遂げちゃえば、闘争心を煽られるんじゃないかしら？			……そうだ！　Forenameが、師匠が若いころ苦労した修行を楽々やり遂げちゃえば、闘争心を煽られるんじゃないかしら？			闘魂に火をつけろ							
師匠は昔、連続攻撃を磨くために、わざわざ怒らせて凶暴になった魔物と戦って、修行をしたって言ってた。			師匠は昔、連続攻撃を磨くために、わざわざ怒らせて凶暴になった魔物と戦って、修行をしたって言ってた。			闘魂に火をつけろ							
例えば、ドライボーン南方にある蜂の住む木に「連撃」を使って、怒った蜂の群れを倒してたみたい。今でもそこには「拳撃の痕跡」が残ってるらしいわ。			例えば、ドライボーン南方にある蜂の住む木に「連撃」を使って、怒った蜂の群れを倒してたみたい。今でもそこには「拳撃の痕跡」が残ってるらしいわ。			闘魂に火をつけろ							
あなたがそこで同じ修行をして、師匠に「ホーネットの毒針」を見せつければ、師匠は当時の闘魂を思い出すはずよ！			あなたがそこで同じ修行をして、師匠に「ホーネットの毒針」を見せつければ、師匠は当時の闘魂を思い出すはずよ！			闘魂に火をつけろ							
「拳撃の痕跡」に「連撃」を使い、現れた「ホーネット・クラウド」から、「ホーネットの毒針」を入手しよう。			「拳撃の痕跡」に「連撃」を使い、現れた「ホーネット・クラウド」から、「ホーネットの毒針」を入手しよう。			闘魂に火をつけろ							
なんじゃぁ……。ワシのことは、放っといてくれんかのう……。			なんじゃぁ……。ワシのことは、放っといてくれんかのう……。			闘魂に火をつけろ							
こっこれは……ホーネットの毒針！？まさか、あの木を使って修行をしたのか！？			こっこれは……ホーネットの毒針！？まさか、あの木を使って修行をしたのか！？			闘魂に火をつけろ							
Forenameがやり遂げたのか……！お主が、若い頃のワシの修行を軽々と……！			Forenameがやり遂げたのか……！お主が、若い頃のワシの修行を軽々と……！			闘魂に火をつけろ							
ぐぬぬ……ワシだって……ワシだってまた……かつてのスタミナを！！　闘魂を取り戻したい！！！			ぐぬぬ……ワシだって……ワシだってまた……かつてのスタミナを！！　闘魂を取り戻したい！！！			闘魂に火をつけろ							
Forename、Forenameよ！手合わせをしようぞ！この熱い想いを忘れぬうちにじゃ！！			Forename、Forenameよ！手合わせをしようぞ！この熱い想いを忘れぬうちにじゃ！！			闘魂に火をつけろ							
クエスト「ClsPgl200」のバトルを開始しますか？			クエスト「ClsPgl200」のバトルを開始しますか？			闘魂に火をつけろ							
はい			はい			闘魂に火をつけろ							
いいえ			いいえ			闘魂に火をつけろ							
ヒョッヒョッヒョ！　Forenameと戦うと、昔の自分と戦っているような気持ちになる……この調子で修行を続ければ、昔のワシのように……！			ヒョッヒョッヒョ！　Forenameと戦うと、昔の自分と戦っているような気持ちになる……この調子で修行を続ければ、昔のワシのように……！			闘魂に火をつけろ							
(-？？？？-)ぶぁーっはっはっはっは！！老いぼれジジイが、ヨチヨチ歩きの練習かい！？			(-？？？？-)ぶぁーっはっはっはっは！！老いぼれジジイが、ヨチヨチ歩きの練習かい！？			闘魂に火をつけろ							
き、貴様……。もしや「大斧のヴェッグファル」か！？			き、貴様……。もしや「大斧のヴェッグファル」か！？			闘魂に火をつけろ							
懐かしいねぇ、表舞台にいた時の通名だ。拳聖だった頃のお前に負けてから、俺をその名で呼ぶ奴はいなくなったよ。			懐かしいねぇ、表舞台にいた時の通名だ。拳聖だった頃のお前に負けてから、俺をその名で呼ぶ奴はいなくなったよ。			闘魂に火をつけろ							
今は天下の「アラクラン」で、商売をやってるのさ。そうそう、ルルクタも俺の部下だ。まぁ、お前の元弟子とは知らなかったがな。			今は天下の「アラクラン」で、商売をやってるのさ。そうそう、ルルクタも俺の部下だ。まぁ、お前の元弟子とは知らなかったがな。			闘魂に火をつけろ							
かつての拳聖も老いぼれちまって、不安で夜も眠れないんじゃないか？ソムヌス香があれば、安心して眠れるぞ？			かつての拳聖も老いぼれちまって、不安で夜も眠れないんじゃないか？ソムヌス香があれば、安心して眠れるぞ？			闘魂に火をつけろ							
まぁ、老いぼれジジイがつかったら、眠ったままポックリ死んじゃうかもしれねーがな！ぶぁーっはっはっはっは！！			まぁ、老いぼれジジイがつかったら、眠ったままポックリ死んじゃうかもしれねーがな！ぶぁーっはっはっはっは！！			闘魂に火をつけろ							
余計なお世話じゃ！あと僅かで「拳聖のハモン」は完全復活するからのう！			余計なお世話じゃ！あと僅かで「拳聖のハモン」は完全復活するからのう！			闘魂に火をつけろ							
ぶぁーっはっはっはっは！老いぼれたジジイが、復活？　笑わせるぜ！その復活とやらができたら、観衆の前で対決でもするか？			ぶぁーっはっはっはっは！老いぼれたジジイが、復活？　笑わせるぜ！その復活とやらができたら、観衆の前で対決でもするか？			闘魂に火をつけろ							
ただし、俺が勝ったら格闘士ギルドをいただくがな。ソムヌス香をウルダハ市民に売りさばくにゃ、もってこいの場所じゃねぇか！			ただし、俺が勝ったら格闘士ギルドをいただくがな。ソムヌス香をウルダハ市民に売りさばくにゃ、もってこいの場所じゃねぇか！			闘魂に火をつけろ							
そ、そんなのダメに決まってるでしょ！？			そ、そんなのダメに決まってるでしょ！？			闘魂に火をつけろ							
お、後ろの可愛い子ちゃんは店の看板娘にしてやろうか？そんじゃあ、決闘の日を楽しみにしてるぜ！ぶぁーっはっはっはっは！！			お、後ろの可愛い子ちゃんは店の看板娘にしてやろうか？そんじゃあ、決闘の日を楽しみにしてるぜ！ぶぁーっはっはっはっは！！			闘魂に火をつけろ							
ほ、本気で戦うつもり……？			ほ、本気で戦うつもり……？			闘魂に火をつけろ							
チュチュトよ、安心しろ……。			チュチュトよ、安心しろ……。			闘魂に火をつけろ							
し、師匠……。			し、師匠……。			闘魂に火をつけろ							
Forenameわかっているな……？格闘士ギルドが奪われてしまうかどうかは……			Forenameわかっているな……？格闘士ギルドが奪われてしまうかどうかは……			闘魂に火をつけろ							
Forenameにかかっている！！			Forenameにかかっている！！			闘魂に火をつけろ							
く、クソジジイ……！			く、クソジジイ……！			闘魂に火をつけろ							
Forenameが強くなればいいんじゃよ！強くなったForenameと戦えば、また、若き日の闘魂を思い出すことができるのじゃい！			Forenameが強くなればいいんじゃよ！強くなったForenameと戦えば、また、若き日の闘魂を思い出すことができるのじゃい！			闘魂に火をつけろ							
敵の気配を感じた！			敵の気配を感じた！			闘魂に火をつけろ							
……不安か？確かに、ワシは今とんでもなく弱い。今のまま奴と戦ったら、一瞬で負けるじゃろう。			……不安か？確かに、ワシは今とんでもなく弱い。今のまま奴と戦ったら、一瞬で負けるじゃろう。			闘魂に火をつけろ							
……じゃが、ワシはまだ、これからじゃ！！Forenameのおかげで、闘魂に火がついたからのう！			……じゃが、ワシはまだ、これからじゃ！！Forenameのおかげで、闘魂に火がついたからのう！			闘魂に火をつけろ							
ヒョーっヒョッヒョッヒョ！ワシも久しぶりに修行をして、スタミナを上げねば！お主も腕を磨いたら、またここに来るのじゃよ！			ヒョーっヒョッヒョッヒョ！ワシも久しぶりに修行をして、スタミナを上げねば！お主も腕を磨いたら、またここに来るのじゃよ！			闘魂に火をつけろ							
ヒョッヒョッヒョ！いっくぞーい！！			ヒョッヒョッヒョ！いっくぞーい！！			闘魂に火をつけろ							
拳聖のハモンの拳を、しかと目に焼き付けるが良い！			拳聖のハモンの拳を、しかと目に焼き付けるが良い！			闘魂に火をつけろ							
ぐふぅっ！ジジイに向かって、容赦無いのう……。			ぐふぅっ！ジジイに向かって、容赦無いのう……。			闘魂に火をつけろ							
よ、予定通り！拳の感覚を思い出してきたぞい！			よ、予定通り！拳の感覚を思い出してきたぞい！			闘魂に火をつけろ							
次こそワシの真の力を出す！覚悟するんじゃよ！			次こそワシの真の力を出す！覚悟するんじゃよ！			闘魂に火をつけろ							
それそれ！拳聖のハモンは止まらんぞい！！			それそれ！拳聖のハモンは止まらんぞい！！			闘魂に火をつけろ							
師匠……ああっもう、見てらんないわね……。			師匠……ああっもう、見てらんないわね……。			闘魂に火をつけろ							
おほぅっ！も、もうちょっと優しくして……。			おほぅっ！も、もうちょっと優しくして……。			闘魂に火をつけろ							
け、計画通りじゃのう！力がみなぎってきよったわい！			け、計画通りじゃのう！力がみなぎってきよったわい！			闘魂に火をつけろ							
もう一戦！最後にもう一戦やるぞい！！			もう一戦！最後にもう一戦やるぞい！！			闘魂に火をつけろ							
し、師匠……まだやるのぉ！？			し、師匠……まだやるのぉ！？			闘魂に火をつけろ							
今度こそ……真の最強の超凄い拳聖の力、見せてくれる！			今度こそ……真の最強の超凄い拳聖の力、見せてくれる！			闘魂に火をつけろ							
まだじゃ……まだワシは戦えるっ！			まだじゃ……まだワシは戦えるっ！			闘魂に火をつけろ							
Forenameの拳の痛み……気持ちいい……！			Forenameの拳の痛み……気持ちいい……！			闘魂に火をつけろ							
ぐはぁっ！わ、ワシ……なんだか目覚めちゃいそう……！			ぐはぁっ！わ、ワシ……なんだか目覚めちゃいそう……！			闘魂に火をつけろ							
格闘士ギルドのハモンは、冒険者に新たな課題を与えたい。			格闘士ギルドのハモンは、冒険者に新たな課題を与えたい。			闘魂の行方							
ハモンから、大きな敵を倒すときの秘訣を教わった。「アンホーリエアー」の「トキシックトード」を倒し、「トキシックトードのモモ肉」を5個入手しよう。			ハモンから、大きな敵を倒すときの秘訣を教わった。「アンホーリエアー」の「トキシックトード」を倒し、「トキシックトードのモモ肉」を5個入手しよう。			闘魂の行方							
トキシックトードのモモ肉を手にいれた。「ブラックブラッシュ停留所」で待っている「ハモン」に報告しよう。			トキシックトードのモモ肉を手にいれた。「ブラックブラッシュ停留所」で待っている「ハモン」に報告しよう。			闘魂の行方							
ブラックブラッシュ停留所の辺りで「ソムヌス香」の密売が横行しているらしい。ハモンは冒険者に密売人を捕まえる課題を与えた。まずは、「ブラックブラッシュ停留所」で聞き込みをして、情報を集めよう。			ブラックブラッシュ停留所の辺りで「ソムヌス香」の密売が横行しているらしい。ハモンは冒険者に密売人を捕まえる課題を与えた。まずは、「ブラックブラッシュ停留所」で聞き込みをして、情報を集めよう。			闘魂の行方							
有力な情報を集めることができた。一旦「ブラックブラッシュ停留所」の「ハモン」に報告しよう。			有力な情報を集めることができた。一旦「ブラックブラッシュ停留所」の「ハモン」に報告しよう。			闘魂の行方							
酒房「コッファー＆コフィン」の西にある、キキルン盗賊団のアジト跡に人影が目撃されたようだ。「キキルン盗賊団のアジト跡」の指定地点で待機し、密売人を待ち伏せしよう。			酒房「コッファー＆コフィン」の西にある、キキルン盗賊団のアジト跡に人影が目撃されたようだ。「キキルン盗賊団のアジト跡」の指定地点で待機し、密売人を待ち伏せしよう。			闘魂の行方							
見つけた密売人のひとりは、失踪したハモンの弟子、ルルクタだった。彼は、ハモンが弱くなってしまったのを見て格闘士ギルドを去ったらしい。「ハモン」に事情を聞こう。			見つけた密売人のひとりは、失踪したハモンの弟子、ルルクタだった。彼は、ハモンが弱くなってしまったのを見て格闘士ギルドを去ったらしい。「ハモン」に事情を聞こう。			闘魂の行方							
ハモンが弱くなっていたのは事実だった。歳をとったことで、スタミナと闘魂が失われているのだという。一度「格闘士ギルド」に戻り、「チュチュト」と相談しよう。			ハモンが弱くなっていたのは事実だった。歳をとったことで、スタミナと闘魂が失われているのだという。一度「格闘士ギルド」に戻り、「チュチュト」と相談しよう。			闘魂の行方							
チュチュトは師匠の真実を知っても嫌いにはならないという。寧ろ、昔の自分を思い出してほしいと考えていて、冒険者にはそれの手伝いをしてほしいようだ。彼女に手を貸せるよう、一層修行にはげもう。※格闘士のレベルが20以上になると、ハモンから次の格闘士クエストを受注することができます。			チュチュトは師匠の真実を知っても嫌いにはならないという。寧ろ、昔の自分を思い出してほしいと考えていて、冒険者にはそれの手伝いをしてほしいようだ。彼女に手を貸せるよう、一層修行にはげもう。※格闘士のレベルが20以上になると、ハモンから次の格闘士クエストを受注することができます。			闘魂の行方							
トキシックトードからトキシックトードのモモ肉を入手			トキシックトードからトキシックトードのモモ肉を入手			闘魂の行方							
ブラックブラッシュ停留所のハモンにトキシックトードのモモ肉を渡す			ブラックブラッシュ停留所のハモンにトキシックトードのモモ肉を渡す			闘魂の行方							
ブラックブラッシュ停留所で情報を集める			ブラックブラッシュ停留所で情報を集める			闘魂の行方							
ハモンに報告			ハモンに報告			闘魂の行方							
指定地点で待機する			指定地点で待機する			闘魂の行方							
ハモンの話を聞いてあげる			ハモンの話を聞いてあげる			闘魂の行方							
格闘士ギルドのチュチュトと話す			格闘士ギルドのチュチュトと話す			闘魂の行方							
アラクランの賊たちを倒せ！			アラクランの賊たちを倒せ！			闘魂の行方							
フォッフォッ、鍛錬をきちんと続けているようじゃのう。さて、今回は「アンホーリーエアー」に棲みついておる、「トキシックトード」を5体倒すのじゃ。			フォッフォッ、鍛錬をきちんと続けているようじゃのう。さて、今回は「アンホーリーエアー」に棲みついておる、「トキシックトード」を5体倒すのじゃ。			闘魂の行方							
でかい相手でも怯むでないぞ！相手の隙を見つけたら、すぐさま拳をうちこむのじゃ！			でかい相手でも怯むでないぞ！相手の隙を見つけたら、すぐさま拳をうちこむのじゃ！			闘魂の行方							
そうじゃ、トキシックトードを倒した証として、「トキシックトードのモモ肉」を持ってくるんじゃよ。ゆめゆめ忘れぬようにな。			そうじゃ、トキシックトードを倒した証として、「トキシックトードのモモ肉」を持ってくるんじゃよ。ゆめゆめ忘れぬようにな。			闘魂の行方							
その後の修行も、付近で行う予定じゃ。「ブラックブラッシュ停留所」でチュチュトと共に、お主の報告を待っておるぞ？			その後の修行も、付近で行う予定じゃ。「ブラックブラッシュ停留所」でチュチュトと共に、お主の報告を待っておるぞ？			闘魂の行方							
Forenameよ、トキシックトードを5体倒し、「トキシックトードのモモ肉」を手に入れるのじゃ！			Forenameよ、トキシックトードを5体倒し、「トキシックトードのモモ肉」を手に入れるのじゃ！			闘魂の行方							
今日の修行は、私も参加するんだ！一緒に頑張ろうね、Forename！			今日の修行は、私も参加するんだ！一緒に頑張ろうね、Forename！			闘魂の行方							
トキシックトードのモモ肉は、手に入れることができたかのう？			トキシックトードのモモ肉は、手に入れることができたかのう？			闘魂の行方							
さすが、新鮮なトキシックトードのモモ肉じゃ！じっくりバターで炒めて、サンレモンを一振りすれば……じゅるり。			さすが、新鮮なトキシックトードのモモ肉じゃ！じっくりバターで炒めて、サンレモンを一振りすれば……じゅるり。			闘魂の行方							
……師匠？			……師匠？			闘魂の行方							
……と、当然Forenameの修行のためじゃ。別に、今晩のおかずが欲しかったわけじゃないぞ？さ、さぁ次はチュチュトと共に、スタミナを競い合う……			……と、当然Forenameの修行のためじゃ。別に、今晩のおかずが欲しかったわけじゃないぞ？さ、さぁ次はチュチュトと共に、スタミナを競い合う……			闘魂の行方							
あんた、もしかして「拳聖のハモン」か！？ハモンがいるって噂を聞いたから駆けつけたけど、まさか本当だったとは……！			あんた、もしかして「拳聖のハモン」か！？ハモンがいるって噂を聞いたから駆けつけたけど、まさか本当だったとは……！			闘魂の行方							
フォーッフォッフォ！いかにも、ワシが「拳聖のハモン」じゃ！有名なのも困りものじゃのう。			フォーッフォッフォ！いかにも、ワシが「拳聖のハモン」じゃ！有名なのも困りものじゃのう。			闘魂の行方							
俺ぁ生ける伝説「拳聖のハモン」に頼みたいことがある！……「ソムヌス香」の密売を止めてほしいんだ！			俺ぁ生ける伝説「拳聖のハモン」に頼みたいことがある！……「ソムヌス香」の密売を止めてほしいんだ！			闘魂の行方							
ソムヌス香……夢想花って植物から作られる怪しい安眠薬ね。吸い過ぎると眠ったまま起きられなくなるっていう……。			ソムヌス香……夢想花って植物から作られる怪しい安眠薬ね。吸い過ぎると眠ったまま起きられなくなるっていう……。			闘魂の行方							
俺の友達も、ソムヌス香で死んじまった……。だから、密売人を捕まえて流通を阻止したいんだが、奴らなかなか尻尾をださねぇ。			俺の友達も、ソムヌス香で死んじまった……。だから、密売人を捕まえて流通を阻止したいんだが、奴らなかなか尻尾をださねぇ。			闘魂の行方							
フォッフォッフォ！そんなこと、この「拳聖のハモン」に任せなさい！			フォッフォッフォ！そんなこと、この「拳聖のハモン」に任せなさい！			闘魂の行方							
さっすが「拳聖のハモン」！わざわざここまで来たかいがあったぜ！			さっすが「拳聖のハモン」！わざわざここまで来たかいがあったぜ！			闘魂の行方							
フォッフォッフォ！今回は元々実戦が目的じゃからのう。Forenameの修行を、密売人の捕縛に変更じゃ！			フォッフォッフォ！今回は元々実戦が目的じゃからのう。Forenameの修行を、密売人の捕縛に変更じゃ！			闘魂の行方							
Forename、チュチュトよ、まずは付近で情報収集をしようかのう！人々に聞き周りをして、密売人の情報を集めるのじゃ！			Forename、チュチュトよ、まずは付近で情報収集をしようかのう！人々に聞き周りをして、密売人の情報を集めるのじゃ！			闘魂の行方							
まずは情報収集じゃ！格闘士たるもの、情報収集は足で稼ぐのじゃ！			まずは情報収集じゃ！格闘士たるもの、情報収集は足で稼ぐのじゃ！			闘魂の行方							
ソムヌス香を密売してるのは、犯罪組織「アラクラン」の構成員らしい。奴らは常に複数人で動いているそうだな。			ソムヌス香を密売してるのは、犯罪組織「アラクラン」の構成員らしい。奴らは常に複数人で動いているそうだな。			闘魂の行方							
ここから西に行った所に、無人になったキキルン盗賊団が昔使っていたアジト跡がある！念のため、近づく時は気をつけるよう！			ここから西に行った所に、無人になったキキルン盗賊団が昔使っていたアジト跡がある！念のため、近づく時は気をつけるよう！			闘魂の行方							
……銀髪のララフェルが、ついさっき不審な動きをしていたらしいわ。大きな荷物を持って、西の方に向かったって……。			……銀髪のララフェルが、ついさっき不審な動きをしていたらしいわ。大きな荷物を持って、西の方に向かったって……。			闘魂の行方							
銀髪のララフェルって……まさか、ね。			銀髪のララフェルって……まさか、ね。			闘魂の行方							
アラクラン……無人のアジト跡の人影……そして銀髪のララフェル……か。どうも嫌な予感がするのう。			アラクラン……無人のアジト跡の人影……そして銀髪のララフェル……か。どうも嫌な予感がするのう。			闘魂の行方							
さっそく、酒房「コッファー＆コフィン」の西にあるというキキルン盗賊団のアジト跡に向かうぞい。密売人を待ち伏せするんじゃ！			さっそく、酒房「コッファー＆コフィン」の西にあるというキキルン盗賊団のアジト跡に向かうぞい。密売人を待ち伏せするんじゃ！			闘魂の行方							
酒房「コッファー＆コフィン」の西にあるというキキルン盗賊団のアジト跡に向かうのじゃ！密売人を待ち伏せするぞい！			酒房「コッファー＆コフィン」の西にあるというキキルン盗賊団のアジト跡に向かうのじゃ！密売人を待ち伏せするぞい！			闘魂の行方							
キキルン盗賊団のアジト跡に行きましょう！銀髪のララフェル……この目で確認しなきゃ！			キキルン盗賊団のアジト跡に行きましょう！銀髪のララフェル……この目で確認しなきゃ！			闘魂の行方							
あ、あれは……！			あ、あれは……！			闘魂の行方							
へっへっへ……ルルクタよぉ、今回もたんまり仕込めたなぁ。ヴェッグファル様がお喜びになるだろう。			へっへっへ……ルルクタよぉ、今回もたんまり仕込めたなぁ。ヴェッグファル様がお喜びになるだろう。			闘魂の行方							
(-銀髪のララフェル-)御託はいい……さっさと、運ぶぞ。			(-銀髪のララフェル-)御託はいい……さっさと、運ぶぞ。			闘魂の行方							
……ルルクタ！ルルクタ、あんた何やってんの！？			……ルルクタ！ルルクタ、あんた何やってんの！？			闘魂の行方							
……チュチュト、随分久しぶり。それに、師匠……か。			……チュチュト、随分久しぶり。それに、師匠……か。			闘魂の行方							
ねぇ、あんた本当に「アラクラン」に入ったの？なぜ格闘士ギルドをやめてしまったの？心配してたのに……こんな「ソムヌス香」の密売なんて！			ねぇ、あんた本当に「アラクラン」に入ったの？なぜ格闘士ギルドをやめてしまったの？心配してたのに……こんな「ソムヌス香」の密売なんて！			闘魂の行方							
のぅ、ルルクタよ。ワシは、お前を闇の世界で生かすために、格闘術を教えた訳じゃなかったんじゃがなあ……。			のぅ、ルルクタよ。ワシは、お前を闇の世界で生かすために、格闘術を教えた訳じゃなかったんじゃがなあ……。			闘魂の行方							
アラクランの密売人ごとき、ワシが手を下すまでもない。チュチュト、Forenameよ、お主らに課題じゃ。アラクランの密売人を捕らえてみせい！			アラクランの密売人ごとき、ワシが手を下すまでもない。チュチュト、Forenameよ、お主らに課題じゃ。アラクランの密売人を捕らえてみせい！			闘魂の行方							
お前ら……相手にしてやれ！			お前ら……相手にしてやれ！			闘魂の行方							
(-アラクランの一味-)「拳聖のハモン」か……クソッ！			(-アラクランの一味-)「拳聖のハモン」か……クソッ！			闘魂の行方							
いかにも、ワシが拳聖のハモンじゃ。さぁ、観念しなさい。			いかにも、ワシが拳聖のハモンじゃ。さぁ、観念しなさい。			闘魂の行方							
「拳聖のハモン」か……。チュチュト、お前も騙されているんだ。			「拳聖のハモン」か……。チュチュト、お前も騙されているんだ。			闘魂の行方							
師匠に騙されている……？何を言っているの？			師匠に騙されている……？何を言っているの？			闘魂の行方							
まだ、格闘士ギルドにいたころ……。俺が深夜に、外で修行をしていた時だ。			まだ、格闘士ギルドにいたころ……。俺が深夜に、外で修行をしていた時だ。			闘魂の行方							
酒場から出てきた師匠を、偶然見かけ、俺は呼び止めようと思って、その後を追った……。その時マーモットが師匠に……俺は見てしまった。			酒場から出てきた師匠を、偶然見かけ、俺は呼び止めようと思って、その後を追った……。その時マーモットが師匠に……俺は見てしまった。			闘魂の行方							
フ……一体何のつもりじゃ？技の無限地獄と恐れられた「拳聖のハモン」を、バカにしておるのか？			フ……一体何のつもりじゃ？技の無限地獄と恐れられた「拳聖のハモン」を、バカにしておるのか？			闘魂の行方							
チョアーーーーーーーーーーーーーーッ！！！！！！			チョアーーーーーーーーーーーーーーッ！！！！！！			闘魂の行方							
…………師匠？			…………師匠？			闘魂の行方							
ハァハァ……。わしの拳を見きるとは、できるマーモッ……			ハァハァ……。わしの拳を見きるとは、できるマーモッ……			闘魂の行方							
し、師匠ぉーーーーーーーーーーー！！			し、師匠ぉーーーーーーーーーーー！！			闘魂の行方							
グフッ……逝く時は……セクシーなギャルに囲まれていたかった……。			グフッ……逝く時は……セクシーなギャルに囲まれていたかった……。			闘魂の行方							
師匠！　くそジジイ！どういうことか説明しなさーーーーいっ！！			師匠！　くそジジイ！どういうことか説明しなさーーーーいっ！！			闘魂の行方							
師匠は……師匠は俺たちを騙してたんだ。拳聖のハモンなんて、マーモットより弱かったんだよ。			師匠は……師匠は俺たちを騙してたんだ。拳聖のハモンなんて、マーモットより弱かったんだよ。			闘魂の行方							
(-アラクランの一味-)あの「拳聖のハモン」が、弱くなっていたとは！ヴェッグファル様に面白い報告ができるぜ！			(-アラクランの一味-)あの「拳聖のハモン」が、弱くなっていたとは！ヴェッグファル様に面白い報告ができるぜ！			闘魂の行方							
……すまぬチュチュト、そしてForenameよ。騙すつもりはなかったんじゃ……。			……すまぬチュチュト、そしてForenameよ。騙すつもりはなかったんじゃ……。			闘魂の行方							
あらゆる強豪には勝ってきたワシじゃが……寄る年波には勝てなんだ……。連続攻撃を繋げるスタミナが、闘魂が……。			あらゆる強豪には勝ってきたワシじゃが……寄る年波には勝てなんだ……。連続攻撃を繋げるスタミナが、闘魂が……。			闘魂の行方							
……一度ギルドに帰ろう。後の指示はチュチュトに任せよう……。			……一度ギルドに帰ろう。後の指示はチュチュトに任せよう……。			闘魂の行方							
し、師匠が……あんなに弱かったなんて……。			し、師匠が……あんなに弱かったなんて……。			闘魂の行方							
……一度ギルドに帰ろう。後の指示はチュチュトに任せよう……。			……一度ギルドに帰ろう。後の指示はチュチュトに任せよう……。			闘魂の行方							
はぁ、もう全っ然だめ。師匠ったら凄い落ち込んじゃったみたい。			はぁ、もう全っ然だめ。師匠ったら凄い落ち込んじゃったみたい。			闘魂の行方							
