流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
遺族たちを集めて保護すべきという意見も出たんだが、それこそ、差別を助長してしまいかねないだろ？何が最善なのか、難しいところだよ……。			遺族たちを集めて保護すべきという意見も出たんだが、それこそ、差別を助長してしまいかねないだろ？何が最善なのか、難しいところだよ……。			髑髏の処刑人							
「白羽根の会」の面々も、遺族たちの支援に回ってくれているが、それでも獣化が疑われるような事例が、数件出てしまっている。ゆえに、吾輩と手分けして対処にあたってもらいたい。			「白羽根の会」の面々も、遺族たちの支援に回ってくれているが、それでも獣化が疑われるような事例が、数件出てしまっている。ゆえに、吾輩と手分けして対処にあたってもらいたい。			髑髏の処刑人							
この件に関しては、新たに協力を志願してくれた人物がいてね。Forenameもよく知っている奴だぜ？まあ、なんだ……少し愛想は悪いが……			この件に関しては、新たに協力を志願してくれた人物がいてね。Forenameもよく知っている奴だぜ？まあ、なんだ……少し愛想は悪いが……			髑髏の処刑人							
(-？？？？-)何か言ったか？			(-？？？？-)何か言ったか？			髑髏の処刑人							
……お前と組むようにとの指示だ。ひとりで十分だと言ったが、監視が必要らしい。			……お前と組むようにとの指示だ。ひとりで十分だと言ったが、監視が必要らしい。			髑髏の処刑人							
そう卑屈になるなよ、フォルドラ。Forenameに同行してもらうのは、癒し手として、フォローしてもらうためなんだ。			そう卑屈になるなよ、フォルドラ。Forenameに同行してもらうのは、癒し手として、フォローしてもらうためなんだ。			髑髏の処刑人							
ああ、その通りだ。お前のことを信用していないわけではない。			ああ、その通りだ。お前のことを信用していないわけではない。			髑髏の処刑人							
だったら、この囚人用の首輪を外してもらいたいところだが。……まあいい、そいつなら足手まといにはならないだろうからな。			だったら、この囚人用の首輪を外してもらいたいところだが。……まあいい、そいつなら足手まといにはならないだろうからな。			髑髏の処刑人							
ふたりには協力要請があったアラガーナへ向かってもらいたい。あの辺りは「白羽根の会」の本拠地があることもあって、支援対象となる遺族も集まっているのだ。			ふたりには協力要請があったアラガーナへ向かってもらいたい。あの辺りは「白羽根の会」の本拠地があることもあって、支援対象となる遺族も集まっているのだ。			髑髏の処刑人							
……髑髏連隊に関わることなら、なにがあろうと、私がこの手で始末をつける。			……髑髏連隊に関わることなら、なにがあろうと、私がこの手で始末をつける。			髑髏の処刑人							
……行くぞ。			……行くぞ。			髑髏の処刑人							
……フォルドラのこと、どうか頼んだよ。今回の一件で、最も自責の念を感じているのは、髑髏連隊の隊長であった彼女のはずなんだ……。			……フォルドラのこと、どうか頼んだよ。今回の一件で、最も自責の念を感じているのは、髑髏連隊の隊長であった彼女のはずなんだ……。			髑髏の処刑人							
そのうえ、フォルドラは超越者としての強化の副作用で、頻繁に過去視が発生する体質になっている。彼女自身が望んだ任務とはいえ、心配なんだ。			そのうえ、フォルドラは超越者としての強化の副作用で、頻繁に過去視が発生する体質になっている。彼女自身が望んだ任務とはいえ、心配なんだ。			髑髏の処刑人							
本当だったら俺だって……！			本当だったら俺だって……！			髑髏の処刑人							
……いや、すまない。俺は俺にしかできないことを探すって、決めたんだ。必ず、前に進んでみせるさ。			……いや、すまない。俺は俺にしかできないことを探すって、決めたんだ。必ず、前に進んでみせるさ。			髑髏の処刑人							
「アラガーナ」でフォルドラと落ち合ってくれ。頼むぞ、Forename。			「アラガーナ」でフォルドラと落ち合ってくれ。頼むぞ、Forename。			髑髏の処刑人							
フォルドラのこと、よろしく頼む。俺は俺で、できることを探すからさ。			フォルドラのこと、よろしく頼む。俺は俺で、できることを探すからさ。			髑髏の処刑人							
……め、珍しい組み合わせだな。			……め、珍しい組み合わせだな。			髑髏の処刑人							
……。			……。			髑髏の処刑人							
Forenameに、フォルドラ……？め、珍しい組み合わせだな。解放軍に協力を要請したものの、まさかお前たちが来るとは……。			Forenameに、フォルドラ……？め、珍しい組み合わせだな。解放軍に協力を要請したものの、まさかお前たちが来るとは……。			髑髏の処刑人							
……獣はどこにいる？			……獣はどこにいる？			髑髏の処刑人							
ああ、もちろん伝えるが、その前にフォルドラ……。代表者会議以来だったかな。ええと……あのときは……お前のおかげで……。			ああ、もちろん伝えるが、その前にフォルドラ……。代表者会議以来だったかな。ええと……あのときは……お前のおかげで……。			髑髏の処刑人							
……終わったことはもういい。			……終わったことはもういい。			髑髏の処刑人							
そ、そうか……では本題に入ろう。実は、この近辺で活動していた「白羽根の会」の同志から、髑髏連隊の遺族ら数名と連絡が取れなくなったと、報告があった。			そ、そうか……では本題に入ろう。実は、この近辺で活動していた「白羽根の会」の同志から、髑髏連隊の遺族ら数名と連絡が取れなくなったと、報告があった。			髑髏の処刑人							
件の遺族は、祖父、祖母、母の3人暮らしのはずだが、巡回担当が自宅を訪ねたところ、ひとりの姿もなかった。室内は荒れ果て、鋭い爪で引っ掻かれたような傷があったそうだ。			件の遺族は、祖父、祖母、母の3人暮らしのはずだが、巡回担当が自宅を訪ねたところ、ひとりの姿もなかった。室内は荒れ果て、鋭い爪で引っ掻かれたような傷があったそうだ。			髑髏の処刑人							
……獣に堕ちた可能性があるということか。			……獣に堕ちた可能性があるということか。			髑髏の処刑人							
名前を伝えておくので、3人を捜索してもらいたい。万が一、獣化しているようだったら……人を襲ってしまう前に……どうか楽にしてやってほしい。			名前を伝えておくので、3人を捜索してもらいたい。万が一、獣化しているようだったら……人を襲ってしまう前に……どうか楽にしてやってほしい。			髑髏の処刑人							
手分けして探す方が早いだろう。私は西側を……お前は東側の捜索を頼む。			手分けして探す方が早いだろう。私は西側を……お前は東側の捜索を頼む。			髑髏の処刑人							
フォルドラの過去の行いを水に流すことなどできないが、彼女だけが悪いのではないと、今は考えを改めたのでな……。その後の彼女の活躍も、アレンヴァルドからきいている。			フォルドラの過去の行いを水に流すことなどできないが、彼女だけが悪いのではないと、今は考えを改めたのでな……。その後の彼女の活躍も、アレンヴァルドからきいている。			髑髏の処刑人							
しかし……いざ彼女を前にすると、どう接していいものやら、迷いが生じてしまうな。			しかし……いざ彼女を前にすると、どう接していいものやら、迷いが生じてしまうな。			髑髏の処刑人							
開封済みの手紙だ。何度も読まれたものなのか、端がボロボロになっている。宛名は依頼された捜索対象者のものだ。			開封済みの手紙だ。何度も読まれたものなのか、端がボロボロになっている。宛名は依頼された捜索対象者のものだ。			髑髏の処刑人							
中身を読みますか？			中身を読みますか？			髑髏の処刑人							
(-遺族宛の手紙-)お母さん、今までなにも親孝行できなくてごめんなさい。自由を勝ち取ったら、必ず迎えにいきます。それまでどうか身体に気を付けて、元気でいてください。			(-遺族宛の手紙-)お母さん、今までなにも親孝行できなくてごめんなさい。自由を勝ち取ったら、必ず迎えにいきます。それまでどうか身体に気を付けて、元気でいてください。			髑髏の処刑人							
……残りの遺族を探そう。			……残りの遺族を探そう。			髑髏の処刑人							
指輪が落ちている。名前らしき文字と日付が刻まれている。結婚指輪だろうか……捜索対象者のひとりと名前が一致した。			指輪が落ちている。名前らしき文字と日付が刻まれている。結婚指輪だろうか……捜索対象者のひとりと名前が一致した。			髑髏の処刑人							
この辺りには、もう手がかりはないようだ。ラガンフリッドに報告しよう……。			この辺りには、もう手がかりはないようだ。ラガンフリッドに報告しよう……。			髑髏の処刑人							
……その様子では、すでに獣化していたようだな。			……その様子では、すでに獣化していたようだな。			髑髏の処刑人							
捜索ご苦労だった。そちらも、遺族は見つかっただろうか？			捜索ご苦労だった。そちらも、遺族は見つかっただろうか？			髑髏の処刑人							
そうか……手遅れだったか……。またしても力が及ばなかった。			そうか……手遅れだったか……。またしても力が及ばなかった。			髑髏の処刑人							
こちらも別の獣を始末した。……それから、この指輪は遺品だろう。			こちらも別の獣を始末した。……それから、この指輪は遺品だろう。			髑髏の処刑人							
ふたりともありがとう。この遺品だけでも、丁重に弔ってやらねばな。彼らがこのアラミゴで、立派に生きた証だ。			ふたりともありがとう。この遺品だけでも、丁重に弔ってやらねばな。彼らがこのアラミゴで、立派に生きた証だ。			髑髏の処刑人							
……。			……。			髑髏の処刑人							
お前の目には偽善行為に見えるかもしれぬが、帝国に勝った今、我らはみな故郷を同じとするアラミゴ人だ。こんな悲しい最期があってはならないだろう……。			お前の目には偽善行為に見えるかもしれぬが、帝国に勝った今、我らはみな故郷を同じとするアラミゴ人だ。こんな悲しい最期があってはならないだろう……。			髑髏の処刑人							
ひとりでも多くの同胞を救いたい。今は地道に、絶望せぬよう対話を続けるしかないのだ。			ひとりでも多くの同胞を救いたい。今は地道に、絶望せぬよう対話を続けるしかないのだ。			髑髏の処刑人							
とにもかくにも、遺族たちの行方はわかったわけだ。ふたりとも、今回は嫌な役回りをさせてしまい、すまなかったな。			とにもかくにも、遺族たちの行方はわかったわけだ。ふたりとも、今回は嫌な役回りをさせてしまい、すまなかったな。			髑髏の処刑人							
(-？？？？-)ラガンフリッドさん、検品終わりましたよ！			(-？？？？-)ラガンフリッドさん、検品終わりましたよ！			髑髏の処刑人							
ああ、エヴラット君……！ご苦労だったね、疲れただろう。			ああ、エヴラット君……！ご苦労だったね、疲れただろう。			髑髏の処刑人							
紹介しよう。彼もまた「白羽根の会」の支援対象者で、髑髏連隊の遺族のひとりだ。			紹介しよう。彼もまた「白羽根の会」の支援対象者で、髑髏連隊の遺族のひとりだ。			髑髏の処刑人							
当初は、支援を拒んでいたのだが、辛抱強く接するうちに、心をひらいてくれるようになったのだ。今は我々の仲介によって、ここで仕事に就いたところでな……			当初は、支援を拒んでいたのだが、辛抱強く接するうちに、心をひらいてくれるようになったのだ。今は我々の仲介によって、ここで仕事に就いたところでな……			髑髏の処刑人							
おっ、お前は……髑髏の処刑人！！			おっ、お前は……髑髏の処刑人！！			髑髏の処刑人							
そうか……そうだった……許されていいはずがないんだ……。俺は、やっぱり、薄汚い裏切り者なんだ……。身内から同胞殺しを出した、売国奴……売国奴……売国奴ォォ……。			そうか……そうだった……許されていいはずがないんだ……。俺は、やっぱり、薄汚い裏切り者なんだ……。身内から同胞殺しを出した、売国奴……売国奴……売国奴ォォ……。			髑髏の処刑人							
皆そいつから離れろ！獣化するぞ！！			皆そいつから離れろ！獣化するぞ！！			髑髏の処刑人							
私の子どもに近付かないで！！！			私の子どもに近付かないで！！！			髑髏の処刑人							
彼女は子どもの命を守ったのだぞ！			彼女は子どもの命を守ったのだぞ！			髑髏の処刑人							
ご、ごめんなさい……。つい……。			ご、ごめんなさい……。つい……。			髑髏の処刑人							
なんて……なんてことだ……。ようやく心を開いてくれた、エヴラット君が…………。			なんて……なんてことだ……。ようやく心を開いてくれた、エヴラット君が…………。			髑髏の処刑人							
いや、私が迂闊だったのだ……。遺族たちが負った心の傷は、想像よりもずっと深い……。それなのに……すまない、本当にすまない……。			いや、私が迂闊だったのだ……。遺族たちが負った心の傷は、想像よりもずっと深い……。それなのに……すまない、本当にすまない……。			髑髏の処刑人							
とはいえ、今は生き残った者のことも考えなければ……。すまんが、フォルドラの傷を手当てしてやってくれぬか？私はここの者たちに、事情を説明しよう。			とはいえ、今は生き残った者のことも考えなければ……。すまんが、フォルドラの傷を手当てしてやってくれぬか？私はここの者たちに、事情を説明しよう。			髑髏の処刑人							
気が動転してしまって……。娘の命の恩人だというのに、私は酷いことを……。			気が動転してしまって……。娘の命の恩人だというのに、私は酷いことを……。			髑髏の処刑人							
すごくこわかったけど、あのお姉ちゃんが助けてくれたの。きちんとお礼が言いたかったのに……。			すごくこわかったけど、あのお姉ちゃんが助けてくれたの。きちんとお礼が言いたかったのに……。			髑髏の処刑人							
……あの母親の態度とて、責められまいよ。根底にあるのは、相手をよく知らぬがゆえの恐怖なのだ……。それにしても、ああ……エヴラット君……本当にすまない……。			……あの母親の態度とて、責められまいよ。根底にあるのは、相手をよく知らぬがゆえの恐怖なのだ……。それにしても、ああ……エヴラット君……本当にすまない……。			髑髏の処刑人							
……大した傷じゃない、大丈夫だ。お前は先に戻っていろ。			……大した傷じゃない、大丈夫だ。お前は先に戻っていろ。			髑髏の処刑人							
……放っておいてくれッ！			……放っておいてくれッ！			髑髏の処刑人							
何と言う？			何と言う？			髑髏の処刑人							
フォルドラが心配だ			フォルドラが心配だ			髑髏の処刑人							
癒し手として放っておけない			癒し手として放っておけない			髑髏の処刑人							
チッ……。どいつもこいつもお節介だな……好きにしろ。			チッ……。どいつもこいつもお節介だな……好きにしろ。			髑髏の処刑人							
チッ……。存外強引だな……わかったから、早くしてくれ。			チッ……。存外強引だな……わかったから、早くしてくれ。			髑髏の処刑人							
……あの母親の態度を見ただろう？表面上は取り繕ったって、結局腹の底は皆同じさ。			……あの母親の態度を見ただろう？表面上は取り繕ったって、結局腹の底は皆同じさ。			髑髏の処刑人							
なぜ、そんな顔をする？私はお前のような英雄が救うに値しない、ただの罪人だ。多くの命を奪い、仲間まで手にかけた……！			なぜ、そんな顔をする？私はお前のような英雄が救うに値しない、ただの罪人だ。多くの命を奪い、仲間まで手にかけた……！			髑髏の処刑人							
共に育ち、共に苦しみ、共に自由を夢見てきた仲間を、私はッ、殺したんだ……！			共に育ち、共に苦しみ、共に自由を夢見てきた仲間を、私はッ、殺したんだ……！			髑髏の処刑人							
これは……さっきの男と同じ靄……！？			これは……さっきの男と同じ靄……！？			髑髏の処刑人							
クソ……クソッ！！！			クソ……クソッ！！！			髑髏の処刑人							
何と言う？			何と言う？			髑髏の処刑人							
気をしっかり持て			気をしっかり持て			髑髏の処刑人							
大丈夫、自分がそばにいる			大丈夫、自分がそばにいる			髑髏の処刑人							
ハァ……ハァッ…………。			ハァ……ハァッ…………。			髑髏の処刑人							
視たんだ……あの男の過去を……。私が、死なせた……あいつの家族を……！			視たんだ……あの男の過去を……。私が、死なせた……あいつの家族を……！			髑髏の処刑人							
すまない……落ち着く時間をくれ。それまで、少しでいい……近くにいてほしい……。			すまない……落ち着く時間をくれ。それまで、少しでいい……近くにいてほしい……。			髑髏の処刑人							
……私は髑髏連隊で戦ったことを後悔などしていない。後悔は、同胞の自由につながると信じて戦い、死んでいった仲間たちを侮辱するに等しい。			……私は髑髏連隊で戦ったことを後悔などしていない。後悔は、同胞の自由につながると信じて戦い、死んでいった仲間たちを侮辱するに等しい。			髑髏の処刑人							
だが、ときどき自分の運命を呪うことがある。生まれた土地、時代、境遇がほんの少し違っただけで、死ななくて済んだ命が、無数にあっただろう。			だが、ときどき自分の運命を呪うことがある。生まれた土地、時代、境遇がほんの少し違っただけで、死ななくて済んだ命が、無数にあっただろう。			髑髏の処刑人							
私たちは皆平等に、同じ命だというのにな。			私たちは皆平等に、同じ命だというのにな。			髑髏の処刑人							
もちろん私にだって、違う道を歩めた可能性はあっただろう。			もちろん私にだって、違う道を歩めた可能性はあっただろう。			髑髏の処刑人							
……私の幼馴染に、ある兄弟がいてな。直情型の兄は、私と共に帝国軍に入り、心根の優しい弟は、戦いを嫌って志願を取りやめたんだ。			……私の幼馴染に、ある兄弟がいてな。直情型の兄は、私と共に帝国軍に入り、心根の優しい弟は、戦いを嫌って志願を取りやめたんだ。			髑髏の処刑人							
結果、兄の方は……私が命じた砲撃で死んだ。弟の方は今も生きているはずだが、とても顔向けはできない。私と違う道で、せめて自由を得ていてくれたならと、願っている。			結果、兄の方は……私が命じた砲撃で死んだ。弟の方は今も生きているはずだが、とても顔向けはできない。私と違う道で、せめて自由を得ていてくれたならと、願っている。			髑髏の処刑人							
何と言う？			何と言う？			髑髏の処刑人							
フルドルフという名の青年に出会った			フルドルフという名の青年に出会った			髑髏の処刑人							
砲撃から奇跡的に生還した青年を知っている			砲撃から奇跡的に生還した青年を知っている			髑髏の処刑人							
フルドルフが……！？そうか、あいつは生きていたのか……！			フルドルフが……！？そうか、あいつは生きていたのか……！			髑髏の処刑人							
まさか……！詳しく話を聞かせてくれ……！			まさか……！詳しく話を聞かせてくれ……！			髑髏の処刑人							
実は他にも、生還した昔馴染みがいるんだ。名をフルドルフと言ってな……。偶然にも、生還した事実を過去視で知ることになった。			実は他にも、生還した昔馴染みがいるんだ。名をフルドルフと言ってな……。偶然にも、生還した事実を過去視で知ることになった。			髑髏の処刑人							
……必死に生き延びた仲間たちがいる。偽神獣に髑髏連隊が関わっている可能性があるのなら、最後は私が……この手でカタをつけたいんだ……。			……必死に生き延びた仲間たちがいる。偽神獣に髑髏連隊が関わっている可能性があるのなら、最後は私が……この手でカタをつけたいんだ……。			髑髏の処刑人							
チッ……今日の私は喋りすぎだな。さっきは迷惑をかけた、もう大丈夫だ。			チッ……今日の私は喋りすぎだな。さっきは迷惑をかけた、もう大丈夫だ。			髑髏の処刑人							
私はアラミガン・クォーターに戻る。「ラウバーン」隊長へは、お前からも報告を頼む。			私はアラミガン・クォーターに戻る。「ラウバーン」隊長へは、お前からも報告を頼む。			髑髏の処刑人							
戻ったか、礼を言う。フォルドラから簡単な報告は受けてはいるが、貴様から見た今回の一件を聞かせてくれぬだろうか。			戻ったか、礼を言う。フォルドラから簡単な報告は受けてはいるが、貴様から見た今回の一件を聞かせてくれぬだろうか。			髑髏の処刑人							
そうか……。フォルドラが危うく獣化を……。			そうか……。フォルドラが危うく獣化を……。			髑髏の処刑人							
任務続行が可能かどうかは、慎重に検討しよう。			任務続行が可能かどうかは、慎重に検討しよう。			髑髏の処刑人							
Forenameたちの活躍のおかげもあり、獣の被害は最小限に食い止められている。だが、依然として髑髏連隊の遺族を中心に獣化は続いている状況だ。			Forenameたちの活躍のおかげもあり、獣の被害は最小限に食い止められている。だが、依然として髑髏連隊の遺族を中心に獣化は続いている状況だ。			髑髏の処刑人							
「白羽根の会」の報告では、遺族たちは集落を避け、辺境の地で身を隠して生活している者もいるらしい。中には、ザナラーンに移住した者さえいるのだとか……。			「白羽根の会」の報告では、遺族たちは集落を避け、辺境の地で身を隠して生活している者もいるらしい。中には、ザナラーンに移住した者さえいるのだとか……。			髑髏の処刑人							
解放軍はウルダハの不滅隊と共同戦線を張っているが、さらに連携を強化し、対策を講じる必要があるだろう。			解放軍はウルダハの不滅隊と共同戦線を張っているが、さらに連携を強化し、対策を講じる必要があるだろう。			髑髏の処刑人							
そういうわけで、ナナモ女王陛下への謁見を申請しようと思う。謁見の際には、貴様も共に来てくれると助かる。許可が下りるまでは、しばし待っていてくれ。			そういうわけで、ナナモ女王陛下への謁見を申請しようと思う。謁見の際には、貴様も共に来てくれると助かる。許可が下りるまでは、しばし待っていてくれ。			髑髏の処刑人							
おかえりなさいませ！お怪我はありませんでしたか？			おかえりなさいませ！お怪我はありませんでしたか？			髑髏の処刑人							
アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			アラミガン・クォーターの偽神獣対策部隊の闘士は、冒険者に伝えたいことがあるようだ。			剣なき英雄							
ラウバーンとアレンヴァルドと共に、ウルダハのナナモに協力を求めに行くことになった。ウルダハの政庁層で、「ラウバーン」と話そう。			ラウバーンとアレンヴァルドと共に、ウルダハのナナモに協力を求めに行くことになった。ウルダハの政庁層で、「ラウバーン」と話そう。			剣なき英雄							
ラウバーンと話した。パパシャンによると、ナナモは商家の娘リリラに扮し、街へ出ているようだ。ナナモを探すため、サファイアアベニュー国際市場付近で「ラウバーン」と話そう。			ラウバーンと話した。パパシャンによると、ナナモは商家の娘リリラに扮し、街へ出ているようだ。ナナモを探すため、サファイアアベニュー国際市場付近で「ラウバーン」と話そう。			剣なき英雄							
ラウバーンは、ナナモが訪れていそうな場所を案内してくれるようだ。ラウバーンの先導に従って移動し、サファイアアベニュー国際市場でリリラに扮したナナモを探そう。※先導状態が解除された場合、再度「ラウバーン」に話しかけることで再開できます。			ラウバーンは、ナナモが訪れていそうな場所を案内してくれるようだ。ラウバーンの先導に従って移動し、サファイアアベニュー国際市場でリリラに扮したナナモを探そう。※先導状態が解除された場合、再度「ラウバーン」に話しかけることで再開できます。			剣なき英雄							
ナナモは見つからなかった。偽神獣の件でナナモが行動しているのならば、路地裏を探すのがいいだろう。サファイアアベニュー国際市場で「ラウバーン」と話そう。			ナナモは見つからなかった。偽神獣の件でナナモが行動しているのならば、路地裏を探すのがいいだろう。サファイアアベニュー国際市場で「ラウバーン」と話そう。			剣なき英雄							
引き続き、ナナモを探すことになった。ラウバーンと同行した状態でリリラに扮したナナモを探し、パールレーンの目ぼしい場所で「ラウバーン」と話そう。※同行状態が解除された場合、再度「ラウバーン」に話しかけることで同行を再開できます。			引き続き、ナナモを探すことになった。ラウバーンと同行した状態でリリラに扮したナナモを探し、パールレーンの目ぼしい場所で「ラウバーン」と話そう。※同行状態が解除された場合、再度「ラウバーン」に話しかけることで同行を再開できます。			剣なき英雄							
ナナモを見つけた。政庁層に戻り、「ラウバーン」と話そう。			ナナモを見つけた。政庁層に戻り、「ラウバーン」と話そう。			剣なき英雄							
ナナモは、かつての帝国市民がアラミゴから逃れてきたとしても、他の難民同様、平等に支援することを快諾した。アレンヴァルドは、非常事態だからこそ、立場の異なる相手の話に耳を傾け、対話をすることが大事なのだと語るナナモの言葉に感銘を受けたようだ。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			ナナモは、かつての帝国市民がアラミゴから逃れてきたとしても、他の難民同様、平等に支援することを快諾した。アレンヴァルドは、非常事態だからこそ、立場の異なる相手の話に耳を傾け、対話をすることが大事なのだと語るナナモの言葉に感銘を受けたようだ。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			剣なき英雄							
ラウバーンと話した。アレンヴァルドが提案した慰霊祭の開催に向けて、準備を進めるようだ。進展がある頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが88以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			ラウバーンと話した。アレンヴァルドが提案した慰霊祭の開催に向けて、準備を進めるようだ。進展がある頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが88以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			剣なき英雄							
ウルダハのラウバーンと話す			ウルダハのラウバーンと話す			剣なき英雄							
サファイアアベニュー国際市場付近のラウバーンと話す			サファイアアベニュー国際市場付近のラウバーンと話す			剣なき英雄							
ラウバーンと話し、先導に従って移動			ラウバーンと話し、先導に従って移動			剣なき英雄							
ラウバーンと話して同行させる			ラウバーンと話して同行させる			剣なき英雄							
連れているラウバーンと指定地点で話す			連れているラウバーンと指定地点で話す			剣なき英雄							
政庁層のラウバーンと話す			政庁層のラウバーンと話す			剣なき英雄							
アラミガン・クォーターのラウバーンと話す			アラミガン・クォーターのラウバーンと話す			剣なき英雄							
今日もおつかれさまです！例のごとくラウバーン隊長がお呼びですよ！ではでは、ご案内いたしますね！			今日もおつかれさまです！例のごとくラウバーン隊長がお呼びですよ！ではでは、ご案内いたしますね！			剣なき英雄							
よく来てくれたな。件のナナモ女王陛下への謁見許可が下りたのだが、出立する前に、手短に現状の報告だけさせてくれ。			よく来てくれたな。件のナナモ女王陛下への謁見許可が下りたのだが、出立する前に、手短に現状の報告だけさせてくれ。			剣なき英雄							
偽神獣については、相変わらず足取りが途絶えたままだ。捜索範囲を広げると同時に、その身元の確認も急いでいる。			偽神獣については、相変わらず足取りが途絶えたままだ。捜索範囲を広げると同時に、その身元の確認も急いでいる。			剣なき英雄							
以前にも言ったとおり、偽神獣の行動は、転化前の人となりの影響を受けるらしいからな。そこから行方を割り出すことも可能かもしれないのだ。			以前にも言ったとおり、偽神獣の行動は、転化前の人となりの影響を受けるらしいからな。そこから行方を割り出すことも可能かもしれないのだ。			剣なき英雄							
これまでの獣化は、やはり遺族にかぎって発生している。ということは、偽神獣も遺族の可能性が高いってことだろ？だから、「白羽根の会」で関係者を洗い出してるところなんだ。			これまでの獣化は、やはり遺族にかぎって発生している。ということは、偽神獣も遺族の可能性が高いってことだろ？だから、「白羽根の会」で関係者を洗い出してるところなんだ。			剣なき英雄							
それから、髑髏連隊といえば……前回の任務で、獣化しかけたっていうフォルドラが心配だ。正直なところ、この件から手を引いてもらいたいところだが……。			それから、髑髏連隊といえば……前回の任務で、獣化しかけたっていうフォルドラが心配だ。正直なところ、この件から手を引いてもらいたいところだが……。			剣なき英雄							
何と言う？			何と言う？			剣なき英雄							
彼女の意思を尊重すべきだ			彼女の意思を尊重すべきだ			剣なき英雄							
自分の罪と向き合うべきだ			自分の罪と向き合うべきだ			剣なき英雄							
Forenameと同意見だ。幸い、あれからフォルドラに獣化の兆候は見られない。であれば、己の過去と向き合おうとする、彼女の意思を尊重したい。			Forenameと同意見だ。幸い、あれからフォルドラに獣化の兆候は見られない。であれば、己の過去と向き合おうとする、彼女の意思を尊重したい。			剣なき英雄							
くそっ……！こんなときに俺はなにもできないなんてな……。			くそっ……！こんなときに俺はなにもできないなんてな……。			剣なき英雄							
そう言うな、アレンヴァルド。ナナモ様との謁見には、貴様にも同行してもらうつもりだ。			そう言うな、アレンヴァルド。ナナモ様との謁見には、貴様にも同行してもらうつもりだ。			剣なき英雄							
民と同じ目線に立ち、その言葉に耳を傾ける。ナナモ様は剣こそ持たないが、あの方なりの方法で戦っておられる。きっと貴様にも得るものがあるだろう。			民と同じ目線に立ち、その言葉に耳を傾ける。ナナモ様は剣こそ持たないが、あの方なりの方法で戦っておられる。きっと貴様にも得るものがあるだろう。			剣なき英雄							
ウルダハのナナモ女王陛下……。わかりました、俺も一緒に行かせてください。			ウルダハのナナモ女王陛下……。わかりました、俺も一緒に行かせてください。			剣なき英雄							
では吾輩はアレンヴァルドの移送を手配する。「政庁層」で落ち合おう。			では吾輩はアレンヴァルドの移送を手配する。「政庁層」で落ち合おう。			剣なき英雄							
ここに来るのは、あのとき以来だな……。あとで薬学院の人たちには、改めて礼を言ってこなくちゃな。			ここに来るのは、あのとき以来だな……。あとで薬学院の人たちには、改めて礼を言ってこなくちゃな。			剣なき英雄							
私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			剣なき英雄							
パパシャン殿の話では、ナナモ様は、「リリラ」という偽名を使い、お忍びで街に出ておられるそうだ。			パパシャン殿の話では、ナナモ様は、「リリラ」という偽名を使い、お忍びで街に出ておられるそうだ。			剣なき英雄							
私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			私が目を離したすきに……面目ございませぬ。約束の時間までにはお戻りになるはずですが……。			剣なき英雄							
偽神獣が各国を騒がせている一大事だというのに、お忍びで街へ……？			偽神獣が各国を騒がせている一大事だというのに、お忍びで街へ……？			剣なき英雄							
一大事だからこそ、ですな。こんなときだからこそ、民との交流を大切にされているのでしょう。			一大事だからこそ、ですな。こんなときだからこそ、民との交流を大切にされているのでしょう。			剣なき英雄							
とはいえ、護衛もつけずに街へ出られたのは感心できぬ。我々で探しにいくとしよう。			とはいえ、護衛もつけずに街へ出られたのは感心できぬ。我々で探しにいくとしよう。			剣なき英雄							
いやいや、客人であるお主たちに、迷惑をかけるわけには……。			いやいや、客人であるお主たちに、迷惑をかけるわけには……。			剣なき英雄							
何を言うか、パパシャン殿。アラミゴに帰郷したとはいえ、急に余所者扱いはよしてくれ。それに、「リリラお嬢様」を見つけるのは吾輩も得意なのでな！			何を言うか、パパシャン殿。アラミゴに帰郷したとはいえ、急に余所者扱いはよしてくれ。それに、「リリラお嬢様」を見つけるのは吾輩も得意なのでな！			剣なき英雄							
そ、そこまでおっしゃるなら……。では、お言葉に甘えてお願いしますぞ。			そ、そこまでおっしゃるなら……。では、お言葉に甘えてお願いしますぞ。			剣なき英雄							
そういうことなら、俺は少し、あたりを回ってこようと思う。ウルダハの現状をこの目で見ておきたいからな。			そういうことなら、俺は少し、あたりを回ってこようと思う。ウルダハの現状をこの目で見ておきたいからな。			剣なき英雄							
