再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
……ほう、無知な愚か者と思っていたが、いつの間にか、余計な知恵を仕込んでいたようだな。			……ほう、無知な愚か者と思っていたが、いつの間にか、余計な知恵を仕込んでいたようだな。			言葉がなくても							
我らの虚言に気づいた以上、甘言はここまでだ……。「爆弾」という武器があれば、我らの部族はより強くなれる！さあ、お前の荷をよこせ！			我らの虚言に気づいた以上、甘言はここまでだ……。「爆弾」という武器があれば、我らの部族はより強くなれる！さあ、お前の荷をよこせ！			言葉がなくても							
さあ、「爆弾」をよこすんだ！！			さあ、「爆弾」をよこすんだ！！			言葉がなくても							
ひ、ひぃぃぃ！！！			ひ、ひぃぃぃ！！！			言葉がなくても							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			言葉がなくても							
す、すみませんでした……。彼らに、秘密の交渉を持ちかけられたのですが、ひとりで来るのが条件だと言われて……。			す、すみませんでした……。彼らに、秘密の交渉を持ちかけられたのですが、ひとりで来るのが条件だと言われて……。			言葉がなくても							
(-？？？？-)くそっ……ジェベイどもめ……！まさか本当に、こんな凶行に走ろうとするとは！！			(-？？？？-)くそっ……ジェベイどもめ……！まさか本当に、こんな凶行に走ろうとするとは！！			言葉がなくても							
すまない、あんたには手間をかけさせたな……。だが、おかげで再会の市に危険をもたらすのを、食い止めることができたよ。			すまない、あんたには手間をかけさせたな……。だが、おかげで再会の市に危険をもたらすのを、食い止めることができたよ。			言葉がなくても							
急ぎ、事態をゲシ族の族長に伝えないとな。先に暴走したのは、ジェベイどもだから、あちらの族長も穏便にすませようとするだろうが……。			急ぎ、事態をゲシ族の族長に伝えないとな。先に暴走したのは、ジェベイどもだから、あちらの族長も穏便にすませようとするだろうが……。			言葉がなくても							
ど、どうして、こんな事態に。彼らは何故、こうまでして爆薬を求めたのです……？			ど、どうして、こんな事態に。彼らは何故、こうまでして爆薬を求めたのです……？			言葉がなくても							
……やつらゲシ族は、狩りや戦いにも道具を用いる部族だ。だが、いくらゲシ族が道具の扱いに長けていようと、アジムステップで手に入る物資には限りがある……。			……やつらゲシ族は、狩りや戦いにも道具を用いる部族だ。だが、いくらゲシ族が道具の扱いに長けていようと、アジムステップで手に入る物資には限りがある……。			言葉がなくても							
草原の外には、様々な素材や技術で造られた、強力な武器が大量にあるんだろう……？ジェベイどもが求めたのは、それらの武器による「力」だ。			草原の外には、様々な素材や技術で造られた、強力な武器が大量にあるんだろう……？ジェベイどもが求めたのは、それらの武器による「力」だ。			言葉がなくても							
ジェベイどもは、ゲシ族の中でも過激な一派でね。アダルキム族やジュンギド族のような大規模部族を嫌っていた。数に物を言わせるだけの能無し部族だと……。			ジェベイどもは、ゲシ族の中でも過激な一派でね。アダルキム族やジュンギド族のような大規模部族を嫌っていた。数に物を言わせるだけの能無し部族だと……。			言葉がなくても							
様々な道具の扱いに長けた自分たちが「武器」を持てば、そうしたほかの部族を、上回れると思ったんだろう……。			様々な道具の扱いに長けた自分たちが「武器」を持てば、そうしたほかの部族を、上回れると思ったんだろう……。			言葉がなくても							
そんな……私はただ、日々の生活を豊かにするため、そう、良かれと思って、道具を持ち込んだだけです……！決して、戦いを加速させるような物を売りたいわけでは……。			そんな……私はただ、日々の生活を豊かにするため、そう、良かれと思って、道具を持ち込んだだけです……！決して、戦いを加速させるような物を売りたいわけでは……。			言葉がなくても							
……あんたは、やはり愚か者だ。何故、自分がケスティル族や市の者に嫌われていたのか、全然わかっていないのか。			……あんたは、やはり愚か者だ。何故、自分がケスティル族や市の者に嫌われていたのか、全然わかっていないのか。			言葉がなくても							
街道を照らしたくば、獣を狩って油をとればいいこと。あんたが爆薬を持ち込めば、それは道ではなく、敵対する部族を焼く炎となるんだよ……！			街道を照らしたくば、獣を狩って油をとればいいこと。あんたが爆薬を持ち込めば、それは道ではなく、敵対する部族を焼く炎となるんだよ……！			言葉がなくても							
で、では、皆さんが私に冷たい目線を向けていたのは、すべて、私が持ち込んだ商品のせい……！			で、では、皆さんが私に冷たい目線を向けていたのは、すべて、私が持ち込んだ商品のせい……！			言葉がなくても							
……コトタさんは、わかってらしたんですね。外の道具を、無闇に持ち込んで商売することは、この土地に争いをもたらす危険があると。			……コトタさんは、わかってらしたんですね。外の道具を、無闇に持ち込んで商売することは、この土地に争いをもたらす危険があると。			言葉がなくても							
私が持ってきた商品の中には、このアジムステップの暮らしに、悪影響をもたらすものがある。だから、あなたは、私に商売の許可を出さなかった……。			私が持ってきた商品の中には、このアジムステップの暮らしに、悪影響をもたらすものがある。だから、あなたは、私に商売の許可を出さなかった……。			言葉がなくても							
何故、再会の市での出店許可を得られなかったのか、はっきりわかった以上、ここに留まる理由はありませんね……。今まで……本当にすみませんでした……。			何故、再会の市での出店許可を得られなかったのか、はっきりわかった以上、ここに留まる理由はありませんね……。今まで……本当にすみませんでした……。			言葉がなくても							
…………。			…………。			言葉がなくても							
妙な印が描かれた羊皮紙を渡された。どうやら、ケスティル族を表す印が記されているらしい。			妙な印が描かれた羊皮紙を渡された。どうやら、ケスティル族を表す印が記されているらしい。			言葉がなくても							
「ガスコット」が去っていった方向を指さされた……。どうやらこの紙を、彼に渡してほしいようだ。			「ガスコット」が去っていった方向を指さされた……。どうやらこの紙を、彼に渡してほしいようだ。			言葉がなくても							
あんたが、再会の市を訪れてくれていてよかったよ。俺たちだけじゃ、ジェベイどもの暴走を止めるのに、相当、苦労しただろうからな。			あんたが、再会の市を訪れてくれていてよかったよ。俺たちだけじゃ、ジェベイどもの暴走を止めるのに、相当、苦労しただろうからな。			言葉がなくても							
…………？			…………？			言葉がなくても							
「印の押された羊皮紙」を、「ガスコット」に渡したか気にしているようだ……。			「印の押された羊皮紙」を、「ガスコット」に渡したか気にしているようだ……。			言葉がなくても							
…………。			…………。			言葉がなくても							
ジェベイの暴走を止めてくれたことを、感謝しているようだ……。			ジェベイの暴走を止めてくれたことを、感謝しているようだ……。			言葉がなくても							
おや、冒険者さんじゃないですか。今、再会の市への別れを済ませたところですよ……。ところで、まだなにか私に用でも……？			おや、冒険者さんじゃないですか。今、再会の市への別れを済ませたところですよ……。ところで、まだなにか私に用でも……？			言葉がなくても							
こ、これは……！再会の市での商売が認められた者に渡される証紙……！ほら、ここにケスティル族を示す印が記されていますよ！			こ、これは……！再会の市での商売が認められた者に渡される証紙……！ほら、ここにケスティル族を示す印が記されていますよ！			言葉がなくても							
でも、コトタさんは、何故いまさら私にこれを……。先ほども、危うく争いの火種をばら撒くところだったのに……。			でも、コトタさんは、何故いまさら私にこれを……。先ほども、危うく争いの火種をばら撒くところだったのに……。			言葉がなくても							
何と答える？			何と答える？			言葉がなくても							
自分の過ちに気づいたからだ			自分の過ちに気づいたからだ			言葉がなくても							
彼らに爆薬を売らなかったからだ			彼らに爆薬を売らなかったからだ			言葉がなくても							
…………			…………			言葉がなくても							
そうですね……。便利になるのは、すべての人が喜ぶことだと思っていました。彼らの風習や文化も理解せずに……。			そうですね……。便利になるのは、すべての人が喜ぶことだと思っていました。彼らの風習や文化も理解せずに……。			言葉がなくても							
……そりゃ、売れませんよ。楽に採掘するためにと、持ち込んだ爆薬が、危うく血なまぐさいことに使われるところだったんですから。			……そりゃ、売れませんよ。楽に採掘するためにと、持ち込んだ爆薬が、危うく血なまぐさいことに使われるところだったんですから。			言葉がなくても							
ふふ、そうでした、言葉は嘘の温床でしたね。大事なのは、彼らが、私にこれを渡してくれたという、その「行動」の事実のみ……。			ふふ、そうでした、言葉は嘘の温床でしたね。大事なのは、彼らが、私にこれを渡してくれたという、その「行動」の事実のみ……。			言葉がなくても							
……この紙をもらえたことで、こうも心弾むとは。言葉ではなく真の気持ちがこもった「行動」で示されるって、こんなにも嬉しいことなんですね。			……この紙をもらえたことで、こうも心弾むとは。言葉ではなく真の気持ちがこもった「行動」で示されるって、こんなにも嬉しいことなんですね。			言葉がなくても							
……冒険者さん、私は決めました。この証紙をもらえたことは、飛び上がるほど嬉しい。でも、やはり私は一度、クガネのウルダハ商館に戻ります。			……冒険者さん、私は決めました。この証紙をもらえたことは、飛び上がるほど嬉しい。でも、やはり私は一度、クガネのウルダハ商館に戻ります。			言葉がなくても							
そして、自分の商品を見直すことにしますよ。食品や調味料、この風土にあった食物の種など……。そういった物なら、彼らの需要にも応えられるでしょう。			そして、自分の商品を見直すことにしますよ。食品や調味料、この風土にあった食物の種など……。そういった物なら、彼らの需要にも応えられるでしょう。			言葉がなくても							
きっと、コトタさんもそれを望んでいるはず……。そうして準備を整えたら、必ずまた再会の市に戻ってきます！			きっと、コトタさんもそれを望んでいるはず……。そうして準備を整えたら、必ずまた再会の市に戻ってきます！			言葉がなくても							
この土地は、とても異質で……そして、興味深い。ですが、それを理解できない者も数多くいるでしょう。そう、これまでの私のような商人が、数多くね……。			この土地は、とても異質で……そして、興味深い。ですが、それを理解できない者も数多くいるでしょう。そう、これまでの私のような商人が、数多くね……。			言葉がなくても							
ケスティル族の者たちも、大挙して押し寄せてきた商人を御する術は知りますまい。彼らの聖域を守るため、私はここに戻ってきます……！			ケスティル族の者たちも、大挙して押し寄せてきた商人を御する術は知りますまい。彼らの聖域を守るため、私はここに戻ってきます……！			言葉がなくても							
こう思えるようになったのは、ケスティル族と……そして、あなたのおかげだ。いつか、また、再会の市で会いましょう！			こう思えるようになったのは、ケスティル族と……そして、あなたのおかげだ。いつか、また、再会の市で会いましょう！			言葉がなくても							
再会の市のガスコットは、ケスティル族と親睦を深める方法を考えているようだ。			再会の市のガスコットは、ケスティル族と親睦を深める方法を考えているようだ。			ゲシ族による提案							
ガスコットから、ケスティル族ではなく、その周辺にいる者たちに売り込もうと提案された。再会の市に到着したばかりの人を探して話しかけよう。			ガスコットから、ケスティル族ではなく、その周辺にいる者たちに売り込もうと提案された。再会の市に到着したばかりの人を探して話しかけよう。			ゲシ族による提案							
ゲシ族のジェベイが興味を示し、案を出してくれた。ケスティル族に取り入るため、アジムステップの刃の海にいる「ステップ・ガーダン」を倒して、「ベタついた獣脂」を入手しよう。			ゲシ族のジェベイが興味を示し、案を出してくれた。ケスティル族に取り入るため、アジムステップの刃の海にいる「ステップ・ガーダン」を倒して、「ベタついた獣脂」を入手しよう。			ゲシ族による提案							
「ステップ・ガーダン」を倒して、「ベタついた獣脂」を入手した。再会の市に戻り、「ガスコット」に「ベタついた獣脂」を渡そう。			「ステップ・ガーダン」を倒して、「ベタついた獣脂」を入手した。再会の市に戻り、「ガスコット」に「ベタついた獣脂」を渡そう。			ゲシ族による提案							
ガスコットは、先ほどのジェベイから助言を受けていたらしい。ケスティル族に取り入るため、再会の市にある族長の天幕に向かい、「コトタ」に「ベタついた獣脂」を渡そう。			ガスコットは、先ほどのジェベイから助言を受けていたらしい。ケスティル族に取り入るため、再会の市にある族長の天幕に向かい、「コトタ」に「ベタついた獣脂」を渡そう。			ゲシ族による提案							
コトタに「ベタついた獣脂」を渡して説明したところ、ひどく驚愕された。ジェベイが、ガスコットに助言をしていたのが、彼女の驚きの原因のようだが……？			コトタに「ベタついた獣脂」を渡して説明したところ、ひどく驚愕された。ジェベイが、ガスコットに助言をしていたのが、彼女の驚きの原因のようだが……？			ゲシ族による提案							
再会の市に到着したばかりの人を探す			再会の市に到着したばかりの人を探す			ゲシ族による提案							
ステップ・ガーダンからまれに得られるベタついた獣脂を入手			ステップ・ガーダンからまれに得られるベタついた獣脂を入手			ゲシ族による提案							
ガスコットにベタついた獣脂を渡す			ガスコットにベタついた獣脂を渡す			ゲシ族による提案							
コトタにベタついた獣脂を渡す			コトタにベタついた獣脂を渡す			ゲシ族による提案							
ふーむ、身体を動かしてアピールしても無駄だというなら、少しばかり、手法を変える必要がありそうですねえ……。			ふーむ、身体を動かしてアピールしても無駄だというなら、少しばかり、手法を変える必要がありそうですねえ……。			ゲシ族による提案							
……そうだ、ケスティル族に直接訴えかけるのではなく、ほかの部族の信頼を得ることで、評判を高めましょう！			……そうだ、ケスティル族に直接訴えかけるのではなく、ほかの部族の信頼を得ることで、評判を高めましょう！			ゲシ族による提案							
異国から持ち込んだ、数々の便利な品物があると、再会の市で宣伝をして、私の出店を望む人を増やすんです！きっと、興味を示す人がいるはず！			異国から持ち込んだ、数々の便利な品物があると、再会の市で宣伝をして、私の出店を望む人を増やすんです！きっと、興味を示す人がいるはず！			ゲシ族による提案							
あなたは、市に到着したばかりの人に売り込んでもらえますか？私は、先ほど踊りを見てくれた人に声をかけましょう。今なら、私への親しみも増しているでしょうから！			あなたは、市に到着したばかりの人に売り込んでもらえますか？私は、先ほど踊りを見てくれた人に声をかけましょう。今なら、私への親しみも増しているでしょうから！			ゲシ族による提案							
さて、私のボム踊りを見ていた人は誰だったか……。あ、冒険者さんも私の商品を売り込んでもらえますか？再会の市に到着したばかりの人がいいですね！			さて、私のボム踊りを見ていた人は誰だったか……。あ、冒険者さんも私の商品を売り込んでもらえますか？再会の市に到着したばかりの人がいいですね！			ゲシ族による提案							
……異国の、様々な道具を持ち込んだ商人がいるだと。ふむ……それは、確かに興味深い話だ……。だが、何故、それを俺に話す？			……異国の、様々な道具を持ち込んだ商人がいるだと。ふむ……それは、確かに興味深い話だ……。だが、何故、それを俺に話す？			ゲシ族による提案							
……なんと、ケスティル族から出店を断られているのか！確かに、扱う商品からすると、奴らもそういう判断を……。それは都合がいい……いや、大変だな。			……なんと、ケスティル族から出店を断られているのか！確かに、扱う商品からすると、奴らもそういう判断を……。それは都合がいい……いや、大変だな。			ゲシ族による提案							
俺たちゲシ族は、狩りを得意とする部族。特に手槍を投げさせたら、草原でいちばんの腕だろう。だからこそ、ほかの部族より道具の有用性を理解しているつもりだ。			俺たちゲシ族は、狩りを得意とする部族。特に手槍を投げさせたら、草原でいちばんの腕だろう。だからこそ、ほかの部族より道具の有用性を理解しているつもりだ。			ゲシ族による提案							
ぜひ、ガスコットの店を俺も利用させてもらいたい。彼が商売できるように、俺が助言してやろうじゃないか。			ぜひ、ガスコットの店を俺も利用させてもらいたい。彼が商売できるように、俺が助言してやろうじゃないか。			ゲシ族による提案							
見たところ、お前は相当に腕がたちそうだ。……そうだな、俺がガスコットと話してみてやるから、お前は、ケスティル族に少しでも取り入ってくるといい。			見たところ、お前は相当に腕がたちそうだ。……そうだな、俺がガスコットと話してみてやるから、お前は、ケスティル族に少しでも取り入ってくるといい。			ゲシ族による提案							
彼らは、市の維持のため、常に火を絶やさぬようにしている。そのため、油が不足がちのはずだ……。			彼らは、市の維持のため、常に火を絶やさぬようにしている。そのため、油が不足がちのはずだ……。			ゲシ族による提案							
周囲の「ステップ・ガーダン」を狩ってまわり、奴らの「ベタついた獣脂」を取ってきてやるといい……。ケスティル族は、きっと喜ぶだろう……。			周囲の「ステップ・ガーダン」を狩ってまわり、奴らの「ベタついた獣脂」を取ってきてやるといい……。ケスティル族は、きっと喜ぶだろう……。			ゲシ族による提案							
その間に、俺はその「ガスコット」という商人に、ここで商売をするための知恵を貸してやるとするか……。お前の狩りが終わるまで、ゆっくりとな……。			その間に、俺はその「ガスコット」という商人に、ここで商売をするための知恵を貸してやるとするか……。お前の狩りが終わるまで、ゆっくりとな……。			ゲシ族による提案							
協力してくれそうな人が現れたんですか！いやー、幸先がいいですねえ！			協力してくれそうな人が現れたんですか！いやー、幸先がいいですねえ！			ゲシ族による提案							
「ステップ・ガーダン」を狩ってまわり、「ベタついた獣脂」を取ってこい。お前が戻る頃には、「ガスコット」との話も終わってるだろう。			「ステップ・ガーダン」を狩ってまわり、「ベタついた獣脂」を取ってこい。お前が戻る頃には、「ガスコット」との話も終わってるだろう。			ゲシ族による提案							
無事に戻ってくるあたり、やはりお前は腕が立つ。こいつと話している間、お前を遠ざけておいて正解だったぜ。いや、なんでもないさ……くくく……。			無事に戻ってくるあたり、やはりお前は腕が立つ。こいつと話している間、お前を遠ざけておいて正解だったぜ。いや、なんでもないさ……くくく……。			ゲシ族による提案							
…………あ、冒険者さん。この人から、話は聞きましたよ……。なんでも、「ベタついた獣脂」を取りに出ていたとか。			…………あ、冒険者さん。この人から、話は聞きましたよ……。なんでも、「ベタついた獣脂」を取りに出ていたとか。			ゲシ族による提案							
なるほど、必需品の獣脂をケスティル族に贈り、彼らに、こちらの誠意を見せるという作戦ですね……？ジェベイさんの発案のようですが……。			なるほど、必需品の獣脂をケスティル族に贈り、彼らに、こちらの誠意を見せるという作戦ですね……？ジェベイさんの発案のようですが……。			ゲシ族による提案							
そのとおり、俺の助言を聞いておけば間違いない。お前は、ここで商売がしたいんだろう……？俺の話に乗るかどうか、よく考えておけ……。			そのとおり、俺の助言を聞いておけば間違いない。お前は、ここで商売がしたいんだろう……？俺の話に乗るかどうか、よく考えておけ……。			ゲシ族による提案							
……えっ、彼と何を話したのかって？いえ、別に大したことじゃありませんよ……。商売の許可をもらうための助言をされただけで……。			……えっ、彼と何を話したのかって？いえ、別に大したことじゃありませんよ……。商売の許可をもらうための助言をされただけで……。			ゲシ族による提案							
……あ、「ベタついた獣脂」、ありがとうございます。すみませんが、「コトタ」さんに渡してきてもらえませんか？私は、ちょっと考えたいことがあるので……。			……あ、「ベタついた獣脂」、ありがとうございます。すみませんが、「コトタ」さんに渡してきてもらえませんか？私は、ちょっと考えたいことがあるので……。			ゲシ族による提案							
すみませんが、「ベタついた獣脂」を、「コトタ」さんに渡してきてもらえませんか？私は、ちょっと考えたいことがあるので……。			すみませんが、「ベタついた獣脂」を、「コトタ」さんに渡してきてもらえませんか？私は、ちょっと考えたいことがあるので……。			ゲシ族による提案							
…………？			…………？			ゲシ族による提案							
冒険者が何をしに来たのか計りかねているようだ。コトタに、「ベタついた獣脂」を渡して、意図を伝えよう。			冒険者が何をしに来たのか計りかねているようだ。コトタに、「ベタついた獣脂」を渡して、意図を伝えよう。			ゲシ族による提案							
…………！！！？			…………！！！？			ゲシ族による提案							
コトタは驚愕しているようだ。ゲシ族の青年、ジェベイが、ガスコットに助言をしていたのが、彼女の驚きの原因のようだが……？			コトタは驚愕しているようだ。ゲシ族の青年、ジェベイが、ガスコットに助言をしていたのが、彼女の驚きの原因のようだが……？			ゲシ族による提案							
再会の市のカイシャンは、心配事があるようだ。			再会の市のカイシャンは、心配事があるようだ。			不言実行							
刃の海で異変を探す			刃の海で異変を探す			不言実行							
襲撃された商人と話す			襲撃された商人と話す			不言実行							
カイシャンに報告			カイシャンに報告			不言実行							
心配そうな表情で、こちらを見てきた。どうやら、冒険者に頼みたいことがあるようだ。			心配そうな表情で、こちらを見てきた。どうやら、冒険者に頼みたいことがあるようだ。			不言実行							
…………。			…………。			不言実行							
心配そうな表情で、北の方角を指さした。どうやら、なにか助けが必要な事態が起きているらしい。様子を見に行こう。			心配そうな表情で、北の方角を指さした。どうやら、なにか助けが必要な事態が起きているらしい。様子を見に行こう。			不言実行							
…………。			…………。			不言実行							
助かったよ……ありがとう。あの魔物に足止めを食らって、連絡もできなかったが、救援を寄こすとは、さすがカイシャンだな。			助かったよ……ありがとう。あの魔物に足止めを食らって、連絡もできなかったが、救援を寄こすとは、さすがカイシャンだな。			不言実行							
あいつ、あまりに無口でびっくりしたろ？ケスティル族には、言葉は嘘の源だって考え方があるらしくてな、口を開いたところなんて、見たこともないんだ。			あいつ、あまりに無口でびっくりしたろ？ケスティル族には、言葉は嘘の源だって考え方があるらしくてな、口を開いたところなんて、見たこともないんだ。			不言実行							
だが、口数は少なくても、誠実で、仕事は早い。そんな奴らだから、彼らのもとには人と物が集まるのさ。			だが、口数は少なくても、誠実で、仕事は早い。そんな奴らだから、彼らのもとには人と物が集まるのさ。			不言実行							
さて、あいつらを追い払ってくれたなら、もう大丈夫だ。荷物を積み直したらすぐに向かうと、「カイシャン」に伝えてくれないか？			さて、あいつらを追い払ってくれたなら、もう大丈夫だ。荷物を積み直したらすぐに向かうと、「カイシャン」に伝えてくれないか？			不言実行							
こっちはもう大丈夫だ。荷物を積み直したらすぐに向かうと、「カイシャン」に伝えてくれないか？			こっちはもう大丈夫だ。荷物を積み直したらすぐに向かうと、「カイシャン」に伝えてくれないか？			不言実行							
…………。			…………。			不言実行							
カイシャンは、安堵した表情でこちらを見ている。商人を助けた冒険者に、感謝しているようだ。差し出された礼を受け取ろう。			カイシャンは、安堵した表情でこちらを見ている。商人を助けた冒険者に、感謝しているようだ。差し出された礼を受け取ろう。			不言実行							
再会の市のオロニル族の青年は、頼みたいことがあるようだ。			再会の市のオロニル族の青年は、頼みたいことがあるようだ。			沈黙は金							
バイドゥルと話してカコール族の食材を入手			バイドゥルと話してカコール族の食材を入手			沈黙は金							
チャンブイと話してダズカル族の食材を入手			チャンブイと話してダズカル族の食材を入手			沈黙は金							
ウトウと話してイサリ村の食材を入手			ウトウと話してイサリ村の食材を入手			沈黙は金							
オロニル族の青年に食材を渡す			オロニル族の青年に食材を渡す			沈黙は金							
おい、そこのお前。暇なら、ちょっと手伝ってくれ。			おい、そこのお前。暇なら、ちょっと手伝ってくれ。			沈黙は金							
この再会の市は、物流や経済を担うだけでなく、辺り一帯の部族の交流の場でもある。そこで、市をつくったケスティル族を労おうと思ってな。			この再会の市は、物流や経済を担うだけでなく、辺り一帯の部族の交流の場でもある。そこで、市をつくったケスティル族を労おうと思ってな。			沈黙は金							
出店者に協力を募り、彼らに料理を振る舞ってやることにしたが、まだ食材を届けにきていない連中がいてな……。そいつらから、食材を受け取ってきてくれ。			出店者に協力を募り、彼らに料理を振る舞ってやることにしたが、まだ食材を届けにきていない連中がいてな……。そいつらから、食材を受け取ってきてくれ。			沈黙は金							
カコール族の「バイドゥル」とダズカル族の「チャンブイ」、イサリ村の「ウトウ」の3人から貰ってきてほしい。食材の件だと言えば、伝わるはずだ。			カコール族の「バイドゥル」とダズカル族の「チャンブイ」、イサリ村の「ウトウ」の3人から貰ってきてほしい。食材の件だと言えば、伝わるはずだ。			沈黙は金							
カコール族の「バイドゥル」とダズカル族の「チャンブイ」、イサリ村の「ウトウ」の3人から貰ってきてほしい。食材の件だと言えば、伝わるはずだ。			カコール族の「バイドゥル」とダズカル族の「チャンブイ」、イサリ村の「ウトウ」の3人から貰ってきてほしい。食材の件だと言えば、伝わるはずだ。			沈黙は金							
ありゃ、手間かけさせて、すまないなぁ。カコールは新興部族で、人手も足りないから、少し手間取っちゃったんだー。			ありゃ、手間かけさせて、すまないなぁ。カコールは新興部族で、人手も足りないから、少し手間取っちゃったんだー。			沈黙は金							
けど、時間がかかったぶん、いいものを持ってきたよ。ケスティル族には、感謝しているからね。うちらみたいな弱小部族のため、市を作ってくれてさ。			けど、時間がかかったぶん、いいものを持ってきたよ。ケスティル族には、感謝しているからね。うちらみたいな弱小部族のため、市を作ってくれてさ。			沈黙は金							
ああ、食材の件だね？用意はしてたんだが、客の相手をしていて、渡しに行くヒマがなかったんだよ。			ああ、食材の件だね？用意はしてたんだが、客の相手をしていて、渡しに行くヒマがなかったんだよ。			沈黙は金							
ダズカルの女は、大草原いちの狩人でね。狩りが上手くいきすぎて、食えないほど肉が手に入ることもある。大地の恵みを無駄にしないため、市を作ってくれて大助かりだよ。			ダズカルの女は、大草原いちの狩人でね。狩りが上手くいきすぎて、食えないほど肉が手に入ることもある。大地の恵みを無駄にしないため、市を作ってくれて大助かりだよ。			沈黙は金							
渡しに行くのを忘れてたわ、ごめんなさい。でも、極上の干物をイサリ村から運んであるよ。			渡しに行くのを忘れてたわ、ごめんなさい。でも、極上の干物をイサリ村から運んであるよ。			沈黙は金							
うちの祖母がつくった干物は、絶品よ。やっぱりケスティル族の人たちには、一番いい物を食べてもらいたいからね。			うちの祖母がつくった干物は、絶品よ。やっぱりケスティル族の人たちには、一番いい物を食べてもらいたいからね。			沈黙は金							
彼らは、私みたいな異国の人にも分け隔てなく接してくれる。なんでも、外の人と交流するために、この市を開いたそうよ。大草原の品々と、外の特産品を交換するためにね。			彼らは、私みたいな異国の人にも分け隔てなく接してくれる。なんでも、外の人と交流するために、この市を開いたそうよ。大草原の品々と、外の特産品を交換するためにね。			沈黙は金							
例の3人から、食材は受け取ったか？すべてそろったのなら、俺に渡せ。			例の3人から、食材は受け取ったか？すべてそろったのなら、俺に渡せ。			沈黙は金							
ふむ、皆それぞれ、自慢の一品を持ってきたようだな。我らオロニル族ほどではないとはいえ、ケスティル族の人望も、なかなかのものだ。			ふむ、皆それぞれ、自慢の一品を持ってきたようだな。我らオロニル族ほどではないとはいえ、ケスティル族の人望も、なかなかのものだ。			沈黙は金							
その昔、彼らの子どもが病気で倒れた際、薬師を探し出せず、亡くなるという悲しい出来事があった。この市は、その後悔から作られたそうだが、知っていたか？			その昔、彼らの子どもが病気で倒れた際、薬師を探し出せず、亡くなるという悲しい出来事があった。この市は、その後悔から作られたそうだが、知っていたか？			沈黙は金							
なんと、それぞれ違う理由を話していたのか！……ケスティル族は無口ゆえ、みな勝手に解釈しているだけなのかもしれないな。			なんと、それぞれ違う理由を話していたのか！……ケスティル族は無口ゆえ、みな勝手に解釈しているだけなのかもしれないな。			沈黙は金							
まぁ、市が作られた理由は、もはや気にすることではない。我々は受けた恩を、必ず返すだけだ。お前にも、きちんと報酬は出すから、安心しろ。			まぁ、市が作られた理由は、もはや気にすることではない。我々は受けた恩を、必ず返すだけだ。お前にも、きちんと報酬は出すから、安心しろ。			沈黙は金							
再会の市のバイドゥルは、商品の売れ行きに悩んでいるようだ。			再会の市のバイドゥルは、商品の売れ行きに悩んでいるようだ。			一日店主							
バイドゥルと話す			バイドゥルと話す			一日店主							
はぁ……どうやったら、商品が売れるんだろうなぁー。市で一旗揚げようと思ったのに、うまくいかないや……。			はぁ……どうやったら、商品が売れるんだろうなぁー。市で一旗揚げようと思ったのに、うまくいかないや……。			一日店主							
……あれぇ？そこの旅人さん、すっごい自信ありげな顔してるねー？もしかして、取引とか得意なの？			……あれぇ？そこの旅人さん、すっごい自信ありげな顔してるねー？もしかして、取引とか得意なの？			一日店主							
それならさー、ちょっとこの店、手伝ってもらえないかなぁ？いろいろ揃えたのに、おいらの売り方が悪いのか、全然売れないんだー……。			それならさー、ちょっとこの店、手伝ってもらえないかなぁ？いろいろ揃えたのに、おいらの売り方が悪いのか、全然売れないんだー……。			一日店主							
君ならどうするのか、参考にさせてほしいなぁ。もし、引き受けてくれるなら、また声をかけてよぉー。			君ならどうするのか、参考にさせてほしいなぁ。もし、引き受けてくれるなら、また声をかけてよぉー。			一日店主							
お店番を、手伝ってくれるのー？			お店番を、手伝ってくれるのー？			一日店主							
店番には数分の時間がかかりますので、コンテンツファインダー申請中の場合などは、ご注意ください。			店番には数分の時間がかかりますので、コンテンツファインダー申請中の場合などは、ご注意ください。			一日店主							
店番を手伝う？			店番を手伝う？			一日店主							
そっかぁー。時間があったら、よろしく頼むよぉー。			そっかぁー。時間があったら、よろしく頼むよぉー。			一日店主							
本当ー！？おいら、しっかり旅人さんの売り方を見て学ぶよー！			本当ー！？おいら、しっかり旅人さんの売り方を見て学ぶよー！			一日店主							
うちの自慢は、たくさんの商品を扱ってることでさ。どんなお客さんが来ても、きっと期待に応えられるよー！近くで見てるから、よろしくお願いねぇ。			うちの自慢は、たくさんの商品を扱ってることでさ。どんなお客さんが来ても、きっと期待に応えられるよー！近くで見てるから、よろしくお願いねぇ。			一日店主							
訪れた客の会話をヒントに、一番適した商品を薦め、購入してもらいましょう。			訪れた客の会話をヒントに、一番適した商品を薦め、購入してもらいましょう。			一日店主							
あら、いろいろ売ってるのね。食べ盛りの子どもたちに、なにか買っていかないと……。昨日はお魚だったから、今日は何にしようかしら？			あら、いろいろ売ってるのね。食べ盛りの子どもたちに、なにか買っていかないと……。昨日はお魚だったから、今日は何にしようかしら？			一日店主							
どの商品をオススメする？			どの商品をオススメする？			一日店主							
大魚の焼干し			大魚の焼干し			一日店主							
