裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
裁縫師さんだけでも、私の出陣を見送ってくれませんか？準備ができたら、フレスキンと「聖徒門」に向かいます。後ほど、そこでお会いしましょう。			裁縫師さんだけでも、私の出陣を見送ってくれませんか？準備ができたら、フレスキンと「聖徒門」に向かいます。後ほど、そこでお会いしましょう。			戦場の勝負服							
わざわざ、ありがとうございます。何事もなく、帰ることができればいいのですが、もしものときは……			わざわざ、ありがとうございます。何事もなく、帰ることができればいいのですが、もしものときは……			戦場の勝負服							
母に、娘は最後に夢を叶えて幸せだったと、お伝えください。……それでは、行ってきます！			母に、娘は最後に夢を叶えて幸せだったと、お伝えください。……それでは、行ってきます！			戦場の勝負服							
……あら、オシャレして、どこへ行くっていうの？			……あら、オシャレして、どこへ行くっていうの？			戦場の勝負服							
ああ、僕らこれから戦争……。			ああ、僕らこれから戦争……。			戦場の勝負服							
彼とデートに行くんです！この服、オシャレでしょう？裁縫師さんに作ってもらったんですよ！			彼とデートに行くんです！この服、オシャレでしょう？裁縫師さんに作ってもらったんですよ！			戦場の勝負服							
あらそう……。アヴェリル、悪いんだけど、あなたに今すぐ、修道士のローブを作ってもらいたいの。			あらそう……。アヴェリル、悪いんだけど、あなたに今すぐ、修道士のローブを作ってもらいたいの。			戦場の勝負服							
だ、だから、デートに行くって言ってるじゃないですか……。			だ、だから、デートに行くって言ってるじゃないですか……。			戦場の勝負服							
あなたが先日作った物が、意外と好評だったのよ。急ぎで100着ほど欲しいんだけど……できるわよね？			あなたが先日作った物が、意外と好評だったのよ。急ぎで100着ほど欲しいんだけど……できるわよね？			戦場の勝負服							
……わかりました、ごまかすのはもうやめます。私は好きな人を助けるため、騎兵団の治療師として、これから戦争へ行くのです！			……わかりました、ごまかすのはもうやめます。私は好きな人を助けるため、騎兵団の治療師として、これから戦争へ行くのです！			戦場の勝負服							
だから、裁縫なんてもうできません！私には、家で好きな人の無事を祈るだけなんて、耐えられないんです！			だから、裁縫なんてもうできません！私には、家で好きな人の無事を祈るだけなんて、耐えられないんです！			戦場の勝負服							
……やっと、言葉に出してくれたわね。私に何も告げずに戦争へ行かせたくなかったから、無理な注文をして、あなたを試したのよ。			……やっと、言葉に出してくれたわね。私に何も告げずに戦争へ行かせたくなかったから、無理な注文をして、あなたを試したのよ。			戦場の勝負服							
あなたのその装束を見ればわかります。これでも、かつては騎兵団の治療師だったのだもの。……あなたには、そうなってほしくなかったけれど。			あなたのその装束を見ればわかります。これでも、かつては騎兵団の治療師だったのだもの。……あなたには、そうなってほしくなかったけれど。			戦場の勝負服							
あなたが生まれる前、私も戦場に出ていたのよ。騎兵だった、あなたのお父さんを助けるためにね……。			あなたが生まれる前、私も戦場に出ていたのよ。騎兵だった、あなたのお父さんを助けるためにね……。			戦場の勝負服							
でも、私はあなたを身ごもったことを隠して、無理をして、戦場に出てしまった……。私の動きが鈍ったせいで、お父さんを死なせてしまったの。			でも、私はあなたを身ごもったことを隠して、無理をして、戦場に出てしまった……。私の動きが鈍ったせいで、お父さんを死なせてしまったの。			戦場の勝負服							
私は幻術の道を捨て、あなたを産み育てたわ。それから、私は女が戦場に立つことを否定することで、自分の過ちを忘れようとした……。			私は幻術の道を捨て、あなたを産み育てたわ。それから、私は女が戦場に立つことを否定することで、自分の過ちを忘れようとした……。			戦場の勝負服							
あなたにもそれを強いて、家に縛り付けたのよ。でも、その人と幻術の修行をしているところを見てしまったわ。			あなたにもそれを強いて、家に縛り付けたのよ。でも、その人と幻術の修行をしているところを見てしまったわ。			戦場の勝負服							
なんとかして、止めようとしたけれど……無駄だったようね。			なんとかして、止めようとしたけれど……無駄だったようね。			戦場の勝負服							
そのダブレット、とてもよく似合ってるわよ。好きな人を助けたいという、純粋な気持ち……。ふふふ、私も思い出してしまったわ。			そのダブレット、とてもよく似合ってるわよ。好きな人を助けたいという、純粋な気持ち……。ふふふ、私も思い出してしまったわ。			戦場の勝負服							
行きなさい……！そのかわり、必ず好きな人と支え合い、あなたも生きて帰ってくることを誓って！			行きなさい……！そのかわり、必ず好きな人と支え合い、あなたも生きて帰ってくることを誓って！			戦場の勝負服							
はい、必ず帰ってきます！ありがとう、お母さん……。そして……Forenameさん！！			はい、必ず帰ってきます！ありがとう、お母さん……。そして……Forenameさん！！			戦場の勝負服							
「裁縫師」の物語が、ひとつの区切りを迎えました！次の「裁縫師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「裁縫師」の物語が、ひとつの区切りを迎えました！次の「裁縫師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			戦場の勝負服							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			戦場の勝負服							
条件を満たし、裁縫師ギルドの「レドレント・ローズ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、裁縫師ギルドの「レドレント・ローズ」に話しかけ、新たなクラスクエストを開始しましょう！			戦場の勝負服							
イシュガルドのアヴェリルは、冒険者にぜひとも頼みたいことがあるようだ。			イシュガルドのアヴェリルは、冒険者にぜひとも頼みたいことがあるようだ。			お転婆お嬢さん							
アヴェリルは、茶会に行きたいが、グレンダにドレスを隠されてしまったようだ。アヴェリルがドレスを探している間、イシュガルドの聖レマノ―教会にいる「グレンダ」と話し、足止めしよう。			アヴェリルは、茶会に行きたいが、グレンダにドレスを隠されてしまったようだ。アヴェリルがドレスを探している間、イシュガルドの聖レマノ―教会にいる「グレンダ」と話し、足止めしよう。			お転婆お嬢さん							
グレンダと話して、足止めした。尊者の凱旋門の「アヴェリル」に報告しよう。			グレンダと話して、足止めした。尊者の凱旋門の「アヴェリル」に報告しよう。			お転婆お嬢さん							
アヴェリルに報告した。ドレスは見つかったようだが、ドレスグローブがなかったようだ。「ホーリーレインボー・ドレスグローブ」を製作し、尊者の凱旋門の「アヴェリル」に納品しよう。			アヴェリルに報告した。ドレスは見つかったようだが、ドレスグローブがなかったようだ。「ホーリーレインボー・ドレスグローブ」を製作し、尊者の凱旋門の「アヴェリル」に納品しよう。			お転婆お嬢さん							
アヴェリルにホーリーレインボー・ドレスグローブを納品した。冒険者の裁縫の腕で、アヴェリルが明るくなってきたようだ。これを励みに裁縫の腕を磨こう。※裁縫師のレベルが55以上になると、尊者の凱旋門のアヴェリルから次の裁縫師クエストを受注することができます。			アヴェリルにホーリーレインボー・ドレスグローブを納品した。冒険者の裁縫の腕で、アヴェリルが明るくなってきたようだ。これを励みに裁縫の腕を磨こう。※裁縫師のレベルが55以上になると、尊者の凱旋門のアヴェリルから次の裁縫師クエストを受注することができます。			お転婆お嬢さん							
グレンダと話す			グレンダと話す			お転婆お嬢さん							
アヴェリルに報告			アヴェリルに報告			お転婆お嬢さん							
ホーリーレインボー・ドレスグローブを製作アヴェリルにホーリーレインボー・ドレスグローブを納品			ホーリーレインボー・ドレスグローブを製作アヴェリルにホーリーレインボー・ドレスグローブを納品			お転婆お嬢さん							
裁縫師さん、ぜひとも頼みたいことがあります。といっても、製作依頼ではありません。……大聖堂にいる母の足止めを、お願いしたいのです。			裁縫師さん、ぜひとも頼みたいことがあります。といっても、製作依頼ではありません。……大聖堂にいる母の足止めを、お願いしたいのです。			お転婆お嬢さん							
今度、幻術をともに学んだ友人たちとの茶会があるのですが、母は私を行かせたくないようで……お気に入りのドレスを隠してしまったのです。			今度、幻術をともに学んだ友人たちとの茶会があるのですが、母は私を行かせたくないようで……お気に入りのドレスを隠してしまったのです。			お転婆お嬢さん							
でも、どうしても茶会には出席したい。なぜなら……私の初恋の人が来るから……。あの人と会うのに、ドレスなしなんて考えられない！			でも、どうしても茶会には出席したい。なぜなら……私の初恋の人が来るから……。あの人と会うのに、ドレスなしなんて考えられない！			お転婆お嬢さん							
……失礼、取り乱してしまいました。とにかく、私は家で隠されたドレスを探し出したいのです。			……失礼、取り乱してしまいました。とにかく、私は家で隠されたドレスを探し出したいのです。			お転婆お嬢さん							
そこで、私がドレスを探している間、「聖レマノー大聖堂」にいる母の「グレンダ」と立ち話でもして、時間稼ぎをしてほしいのです。			そこで、私がドレスを探している間、「聖レマノー大聖堂」にいる母の「グレンダ」と立ち話でもして、時間稼ぎをしてほしいのです。			お転婆お嬢さん							
私がドレスを探している間、「聖レマノー大聖堂」にいる母の「グレンダ」と立ち話でもして、時間稼ぎをしてほしいのです。			私がドレスを探している間、「聖レマノー大聖堂」にいる母の「グレンダ」と立ち話でもして、時間稼ぎをしてほしいのです。			お転婆お嬢さん							
あら、なんであなたがここにいるのかしら……？もしかして……。			あら、なんであなたがここにいるのかしら……？もしかして……。			お転婆お嬢さん							
あなたも祈りにきたのかしら？			あなたも祈りにきたのかしら？			お転婆お嬢さん							
はい			はい			お転婆お嬢さん							
いいえ			いいえ			お転婆お嬢さん							
うそおっしゃい……。どうせ、あの子からの注文がなくてヒマなのでしょう。……困った娘だわ。			うそおっしゃい……。どうせ、あの子からの注文がなくてヒマなのでしょう。……困った娘だわ。			お転婆お嬢さん							
でしょうね……。どうせ、あの子からの注文がなくてヒマなのでしょう。……困った娘だわ。			でしょうね……。どうせ、あの子からの注文がなくてヒマなのでしょう。……困った娘だわ。			お転婆お嬢さん							
アヴェリルには、早く裁縫を上達してもらって、治療師になるなんていう変な考えを忘れてほしいのに。あなたにはわからないでしょうが、娘は私の生きがいなの。			アヴェリルには、早く裁縫を上達してもらって、治療師になるなんていう変な考えを忘れてほしいのに。あなたにはわからないでしょうが、娘は私の生きがいなの。			お転婆お嬢さん							
夫を失って絶望していた私に、娘は生きる希望をくれた。あの子だけは失いたくないの、戦争なんて絶対に行かせない。……そもそも、女は戦場で足手まといになるだけですから。			夫を失って絶望していた私に、娘は生きる希望をくれた。あの子だけは失いたくないの、戦争なんて絶対に行かせない。……そもそも、女は戦場で足手まといになるだけですから。			お転婆お嬢さん							
大体、最近の若い娘は………………。			大体、最近の若い娘は………………。			お転婆お嬢さん							
………………なのよ。あらやだ、ついつい、しゃべり過ぎたわね。私はもう帰りますわ。			………………なのよ。あらやだ、ついつい、しゃべり過ぎたわね。私はもう帰りますわ。			お転婆お嬢さん							
あら裁縫師さん、ありがとうございます。時間稼ぎをしてくれたお陰で、ドレスが見つかりました！地味なのですが母に買ってもらった、私の大事な一張羅なんです。			あら裁縫師さん、ありがとうございます。時間稼ぎをしてくれたお陰で、ドレスが見つかりました！地味なのですが母に買ってもらった、私の大事な一張羅なんです。			お転婆お嬢さん							
……でも、ドレスグローブだけ見つかりませんでした。とても古いものでしたから、おそらく捨てられてしまったのでしょう。			……でも、ドレスグローブだけ見つかりませんでした。とても古いものでしたから、おそらく捨てられてしまったのでしょう。			お転婆お嬢さん							
裁縫師さん、ドレスグローブを作ってもらうことはできますか？地味なドレスにも合うような落ち着きのある、「ホーリーレインボー・ドレスグローブ」がほしいのですが……。			裁縫師さん、ドレスグローブを作ってもらうことはできますか？地味なドレスにも合うような落ち着きのある、「ホーリーレインボー・ドレスグローブ」がほしいのですが……。			お転婆お嬢さん							
茶会が待ち遠しくて、仕方がありません……。「ホーリーレインボー・ドレスグローブ」を、作っていただけました？			茶会が待ち遠しくて、仕方がありません……。「ホーリーレインボー・ドレスグローブ」を、作っていただけました？			お転婆お嬢さん							
……なんて綺麗なドレスグローブなんでしょう！滑らかで深い光沢に、細やかな縫い目……。きっと、私のドレスにも合います！			……なんて綺麗なドレスグローブなんでしょう！滑らかで深い光沢に、細やかな縫い目……。きっと、私のドレスにも合います！			お転婆お嬢さん							
ありがとうございます、とても私には作れません……！熟練の裁縫師さんって、物づくりで、人を幸せにすることができるんですね。			ありがとうございます、とても私には作れません……！熟練の裁縫師さんって、物づくりで、人を幸せにすることができるんですね。			お転婆お嬢さん							
茶会が、ますます楽しみになりました……。私が会いたい初恋の相手は、貧民が多い雲霧街出身なので、母に仲を裂かれてずっと会えなかったのです。			茶会が、ますます楽しみになりました……。私が会いたい初恋の相手は、貧民が多い雲霧街出身なので、母に仲を裂かれてずっと会えなかったのです。			お転婆お嬢さん							
その人ったらドジで頼りないんですが、なぜだか、放っとけないんです。			その人ったらドジで頼りないんですが、なぜだか、放っとけないんです。			お転婆お嬢さん							
それにしても、裁縫師さんの技術を目の当たりにすると、作ってほしいものが切りなく出てきちゃいそうです。ぜひまた、お願いしますね！			それにしても、裁縫師さんの技術を目の当たりにすると、作ってほしいものが切りなく出てきちゃいそうです。ぜひまた、お願いしますね！			お転婆お嬢さん							
裁縫師ギルドのレドレント・ローズは、冒険者に噂話を聞かせたいようだ。			裁縫師ギルドのレドレント・ローズは、冒険者に噂話を聞かせたいようだ。			恋愛戦士の戦闘服							
レドレント・ローズから依頼を受けた。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に「パトリシアンコーティー」「パトリシアンボトム」「パトリシアンウェッジキャップ」を1個ずつ納品しよう。			レドレント・ローズから依頼を受けた。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に「パトリシアンコーティー」「パトリシアンボトム」「パトリシアンウェッジキャップ」を1個ずつ納品しよう。			恋愛戦士の戦闘服							
レドレント・ローズにパトリシアンコーティー、パトリシアンボトム、パトリシアンウェッジキャップを納品した。ウルダハのゴールドコートにいる「ワワルッカ」と話そう。			レドレント・ローズにパトリシアンコーティー、パトリシアンボトム、パトリシアンウェッジキャップを納品した。ウルダハのゴールドコートにいる「ワワルッカ」と話そう。			恋愛戦士の戦闘服							
ワワルッカと話した。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に報告しよう。			ワワルッカと話した。ウルダハの裁縫師ギルドにいる「レドレント・ローズ」に報告しよう。			恋愛戦士の戦闘服							
レドレント・ローズに報告した。ワワルッカとココモの様子を聞いて、レドレント・ローズも安心したようだ。裁縫師の仕事とは、着る人の魅力を、最大限引き出して幸せにする服を作ること。これを達成した冒険者は、最高の裁縫師として、これからも多くの洋服を作り、多くの人を幸せにするだろう。一人でも多くの人に幸せを受け取ってもらうために、これからも裁縫師の仕事に励もう。※以下の条件を満たすと、裁縫師ギルドのレドレント・ローズから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			レドレント・ローズに報告した。ワワルッカとココモの様子を聞いて、レドレント・ローズも安心したようだ。裁縫師の仕事とは、着る人の魅力を、最大限引き出して幸せにする服を作ること。これを達成した冒険者は、最高の裁縫師として、これからも多くの洋服を作り、多くの人を幸せにするだろう。一人でも多くの人に幸せを受け取ってもらうために、これからも裁縫師の仕事に励もう。※以下の条件を満たすと、裁縫師ギルドのレドレント・ローズから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			恋愛戦士の戦闘服							
レドレント・ローズに依頼品を納品			レドレント・ローズに依頼品を納品			恋愛戦士の戦闘服							
ワワルッカと話す			ワワルッカと話す			恋愛戦士の戦闘服							
レドレント・ローズに報告			レドレント・ローズに報告			恋愛戦士の戦闘服							
いらっしゃい、Forenameちゃん、今日は、まだあなた向きのお仕事がないのよ。			いらっしゃい、Forenameちゃん、今日は、まだあなた向きのお仕事がないのよ。			恋愛戦士の戦闘服							
それより、ちょっと聞いて！ホラ！　ママジャルぼっちゃまって覚えてる？マテリアつきのアクトンを依頼してきたおぼっちゃんよ。			それより、ちょっと聞いて！ホラ！　ママジャルぼっちゃまって覚えてる？マテリアつきのアクトンを依頼してきたおぼっちゃんよ。			恋愛戦士の戦闘服							
彼とココモちゃんがね……			彼とココモちゃんがね……			恋愛戦士の戦闘服							
Forenameはいるか？！			Forenameはいるか？！			恋愛戦士の戦闘服							
お願いだ！　俺に……洋服を作ってくれ！！			お願いだ！　俺に……洋服を作ってくれ！！			恋愛戦士の戦闘服							
ワワルッカちゃん？あなた……もしかして、あの話を聞いたの？			ワワルッカちゃん？あなた……もしかして、あの話を聞いたの？			恋愛戦士の戦闘服							
ココモさんの結婚話が進んでいるそうなんだ。相手は、この前一緒に歩いていた男……ママジャルっていう金持ちらしい。			ココモさんの結婚話が進んでいるそうなんだ。相手は、この前一緒に歩いていた男……ママジャルっていう金持ちらしい。			恋愛戦士の戦闘服							
ココモさんの幸せを考えたら……俺は何も言うべきじゃないのかもしれない。でも……諦めきれないんだ！			ココモさんの幸せを考えたら……俺は何も言うべきじゃないのかもしれない。でも……諦めきれないんだ！			恋愛戦士の戦闘服							
最後に一度だけでいい！あの人に、俺の気持ちを伝えたいんだ……！でも今の俺じゃ……あの色男と並んだだけで負けちまう。			最後に一度だけでいい！あの人に、俺の気持ちを伝えたいんだ……！でも今の俺じゃ……あの色男と並んだだけで負けちまう。			恋愛戦士の戦闘服							
頼む、俺が胸をはって、あの人の前に立てるような最高の洋服を作ってくれないか！？			頼む、俺が胸をはって、あの人の前に立てるような最高の洋服を作ってくれないか！？			恋愛戦士の戦闘服							
ここまで頼まれるなんて、裁縫師冥利につきるわね。ワワルッカちゃんの魅力を、めいっぱい引き出すとびっきりのお洋服を作ってあげましょうよ！			ここまで頼まれるなんて、裁縫師冥利につきるわね。ワワルッカちゃんの魅力を、めいっぱい引き出すとびっきりのお洋服を作ってあげましょうよ！			恋愛戦士の戦闘服							
そうね……ママジャルぼっちゃまに対抗するなら「パトリシアンコーティー」に、「パトリシアンボトム」をあわせて……			そうね……ママジャルぼっちゃまに対抗するなら「パトリシアンコーティー」に、「パトリシアンボトム」をあわせて……			恋愛戦士の戦闘服							
「パトリシアンウェッジキャップ」をかぶってもらいましょ！靴や手袋は、私が用意するから。あなたは、最高のお洋服を全力で作ってちょうだい！			「パトリシアンウェッジキャップ」をかぶってもらいましょ！靴や手袋は、私が用意するから。あなたは、最高のお洋服を全力で作ってちょうだい！			恋愛戦士の戦闘服							
Forename……頼んだぞ……俺を……男にしてくれっ！！			Forename……頼んだぞ……俺を……男にしてくれっ！！			恋愛戦士の戦闘服							
Forename……頼んだぞ……俺を男にしてくれ！！			Forename……頼んだぞ……俺を男にしてくれ！！			恋愛戦士の戦闘服							
「パトリシアンコーティー」に、「パトリシアンボトム」をあわせて「パトリシアンウェッジキャップ」をかぶってもらいましょ。			「パトリシアンコーティー」に、「パトリシアンボトム」をあわせて「パトリシアンウェッジキャップ」をかぶってもらいましょ。			恋愛戦士の戦闘服							
さあ、ワワルッカちゃん、着てみてちょうだい。			さあ、ワワルッカちゃん、着てみてちょうだい。			恋愛戦士の戦闘服							
これが……俺？			これが……俺？			恋愛戦士の戦闘服							
……はあ、ほれぼれしちゃう、こんなに素敵なお洋服、初めて見たわ。ワワルッカちゃん、とっても格好いいわよ。			……はあ、ほれぼれしちゃう、こんなに素敵なお洋服、初めて見たわ。ワワルッカちゃん、とっても格好いいわよ。			恋愛戦士の戦闘服							
すごいな、俺じゃないみたいだ……。			すごいな、俺じゃないみたいだ……。			恋愛戦士の戦闘服							
ワワルッカちゃんが素敵だから、お洋服が似合うのよ！			ワワルッカちゃんが素敵だから、お洋服が似合うのよ！			恋愛戦士の戦闘服							
ありがとう。俺、早速ココモさんのところに行って……			ありがとう。俺、早速ココモさんのところに行って……			恋愛戦士の戦闘服							
あ、言っておくけどココモちゃんは、お店にいないわよ。			あ、言っておくけどココモちゃんは、お店にいないわよ。			恋愛戦士の戦闘服							
ええ？！　ど、どこに？			ええ？！　ど、どこに？			恋愛戦士の戦闘服							
「ゴールドコート」で、ママジャルぼっちゃまとデート中よ。ワワルッカちゃん、ふたりの邪魔する勇気はある？			「ゴールドコート」で、ママジャルぼっちゃまとデート中よ。ワワルッカちゃん、ふたりの邪魔する勇気はある？			恋愛戦士の戦闘服							
だ……大丈夫だっ！それでも、俺は、ココモさんに想いを伝える！！			だ……大丈夫だっ！それでも、俺は、ココモさんに想いを伝える！！			恋愛戦士の戦闘服							
Forenameちゃん彼の後を追ってちょうだい。結果はどうあれ……見届けたら、必ず私に教えてね！			Forenameちゃん彼の後を追ってちょうだい。結果はどうあれ……見届けたら、必ず私に教えてね！			恋愛戦士の戦闘服							
……でさ、オレは言ったわけ。オレは修行なんかしなくっても商売できるんだって。			……でさ、オレは言ったわけ。オレは修行なんかしなくっても商売できるんだって。			恋愛戦士の戦闘服							
はあ……。			はあ……。			恋愛戦士の戦闘服							
なんだよ、オレの話をちゃんと聞けよ。お前は、オレの妻になるんだろ？おとなしく従ってろ！！			なんだよ、オレの話をちゃんと聞けよ。お前は、オレの妻になるんだろ？おとなしく従ってろ！！			恋愛戦士の戦闘服							
きゃっ！			きゃっ！			恋愛戦士の戦闘服							
何てことをするんだ！			何てことをするんだ！			恋愛戦士の戦闘服							
ココモさん、大丈夫ですか？			ココモさん、大丈夫ですか？			恋愛戦士の戦闘服							
あなた……は？			あなた……は？			恋愛戦士の戦闘服							
俺です、ワワルッカです。お父さんの店に原石を納品している……			俺です、ワワルッカです。お父さんの店に原石を納品している……			恋愛戦士の戦闘服							
嘘、ワワルッカさん？どうしてこんな……。			嘘、ワワルッカさん？どうしてこんな……。			恋愛戦士の戦闘服							
あなたに想いを伝えたくて、それで、必死に自分を変えようと……。			あなたに想いを伝えたくて、それで、必死に自分を変えようと……。			恋愛戦士の戦闘服							
オレを無視するな！このっ……！			オレを無視するな！このっ……！			恋愛戦士の戦闘服							
……オレに逆らって、タダですむと思うなよ！			……オレに逆らって、タダですむと思うなよ！			恋愛戦士の戦闘服							
ありがとうございます。あなたは、私のために……こんなに変わってくれたんですね。			ありがとうございます。あなたは、私のために……こんなに変わってくれたんですね。			恋愛戦士の戦闘服							
はい……俺、ずっと前から、ココモさんと話したくて。			はい……俺、ずっと前から、ココモさんと話したくて。			恋愛戦士の戦闘服							
私も、ずっと前からあなたとお話がしたいって思ってたんです。			私も、ずっと前からあなたとお話がしたいって思ってたんです。			恋愛戦士の戦闘服							
あなたのこと……聞かせてくれますか？			あなたのこと……聞かせてくれますか？			恋愛戦士の戦闘服							
も、もちろん！			も、もちろん！			恋愛戦士の戦闘服							
どうだった、ワワルッカちゃんの告白は？そう……なんとか、うまくいきそうね。			どうだった、ワワルッカちゃんの告白は？そう……なんとか、うまくいきそうね。			恋愛戦士の戦闘服							
うふふ、ワワルッカちゃんが、告白する気になったときのために、お得意様からデートコースを聞き出しておいてよかったわ。			うふふ、ワワルッカちゃんが、告白する気になったときのために、お得意様からデートコースを聞き出しておいてよかったわ。			恋愛戦士の戦闘服							
いい仕事をしたわね、Forename。ワワルッカちゃんが告白できたのはあなたの作った服のおかげよ。			いい仕事をしたわね、Forename。ワワルッカちゃんが告白できたのはあなたの作った服のおかげよ。			恋愛戦士の戦闘服							
立派な服に勇気をもらったから、ココモちゃんに自信をもって声をかけられたの。			立派な服に勇気をもらったから、ココモちゃんに自信をもって声をかけられたの。			恋愛戦士の戦闘服							
あのふたりは、もう大丈夫でしょ。この先、お父さんの反対とか、色々ありそうだけど……あなたの作った服が、乗り越える強さを与えるはずよ。			あのふたりは、もう大丈夫でしょ。この先、お父さんの反対とか、色々ありそうだけど……あなたの作った服が、乗り越える強さを与えるはずよ。			恋愛戦士の戦闘服							
お洋服を着た人の魅力を最大限引き出して幸せにする……それが裁縫師の一番大事な仕事なの。			お洋服を着た人の魅力を最大限引き出して幸せにする……それが裁縫師の一番大事な仕事なの。			恋愛戦士の戦闘服							
私からも、お礼を言わせてちょうだい。ありがとう、あなたは最高の裁縫師よ！！			私からも、お礼を言わせてちょうだい。ありがとう、あなたは最高の裁縫師よ！！			恋愛戦士の戦闘服							
こんにちは～			こんにちは～			恋愛戦士の戦闘服							
こんにちは～			こんにちは～			恋愛戦士の戦闘服							
「裁縫師」の物語が、ひとつの区切りを迎えました！次の「裁縫師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「裁縫師」の物語が、ひとつの区切りを迎えました！次の「裁縫師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			恋愛戦士の戦闘服							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			恋愛戦士の戦闘服							
条件を満たし、裁縫師ギルドの、「レドレント・ローズ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、裁縫師ギルドの、「レドレント・ローズ」に話しかけ、新たなクラスクエストを開始しましょう！			恋愛戦士の戦闘服							
クガネのケイメイは、新しい贈り物を用意したいようだ。			クガネのケイメイは、新しい贈り物を用意したいようだ。			花咲く季節の「どれす」どす							
ケイメイから、「開港をどり」という催しでコトチョウがまとうドレス製作の依頼を受けた。衣装について打ち合わせるため、三条花街の「コトチョウ」と話そう。			ケイメイから、「開港をどり」という催しでコトチョウがまとうドレス製作の依頼を受けた。衣装について打ち合わせるため、三条花街の「コトチョウ」と話そう。			花咲く季節の「どれす」どす							
コトチョウと話して、衣装の要望を聞いた。楽座街の「ケイメイ」に報告しよう。			コトチョウと話して、衣装の要望を聞いた。楽座街の「ケイメイ」に報告しよう。			花咲く季節の「どれす」どす							
ケイメイに報告して、ドレス製作が始まった。楽座街の「ヤギリ」と話し、裁縫師ギルドから輸出された材料「スプリングドレスの材料」を受け取ろう。			ケイメイに報告して、ドレス製作が始まった。楽座街の「ヤギリ」と話し、裁縫師ギルドから輸出された材料「スプリングドレスの材料」を受け取ろう。			花咲く季節の「どれす」どす							
ヤギリから、必要な材料を受け取った。「高級スプリングドレス」を製作して、楽座街の「ケイメイ」に納品しよう。※「スプリングドレスの材料」を失った場合は、ヤギリに話しかけましょう。材料を入手し、再挑戦が可能になります。			ヤギリから、必要な材料を受け取った。「高級スプリングドレス」を製作して、楽座街の「ケイメイ」に納品しよう。※「スプリングドレスの材料」を失った場合は、ヤギリに話しかけましょう。材料を入手し、再挑戦が可能になります。			花咲く季節の「どれす」どす							
ケイメイに、高級スプリングドレスを納品した。コトチョウは、このドレスを身にまとい、異国にも新たな旋風を巻き起こそうとしている。勢いに乗るコトチョウへの新たな贈り物を製作する日に備え、腕を磨いておこう。※裁縫師のレベルが68以上になると、クガネのケイメイから、次の裁縫師クエストを受注することができます。			ケイメイに、高級スプリングドレスを納品した。コトチョウは、このドレスを身にまとい、異国にも新たな旋風を巻き起こそうとしている。勢いに乗るコトチョウへの新たな贈り物を製作する日に備え、腕を磨いておこう。※裁縫師のレベルが68以上になると、クガネのケイメイから、次の裁縫師クエストを受注することができます。			花咲く季節の「どれす」どす							
コトチョウと話す			コトチョウと話す			花咲く季節の「どれす」どす							
ケイメイに報告			ケイメイに報告			花咲く季節の「どれす」どす							
ヤギリと話してスプリングドレスの材料を入手			ヤギリと話してスプリングドレスの材料を入手			花咲く季節の「どれす」どす							
製作手帳 クラスクエスト：高級スプリングドレスを製作ケイメイに高級スプリングドレスを納品			製作手帳 クラスクエスト：高級スプリングドレスを製作ケイメイに高級スプリングドレスを納品			花咲く季節の「どれす」どす							
Forenameさん、ようこそ！貴方が製作したドレスの格調高さが、富裕層に大受けで、コトチョウの人気も沸騰していますよ。			Forenameさん、ようこそ！貴方が製作したドレスの格調高さが、富裕層に大受けで、コトチョウの人気も沸騰していますよ。			花咲く季節の「どれす」どす							
この人気を裏付けるかのごとく、芸子の舞を一般公開する「開港をどり」という催しに、なんと、コトチョウが異例の抜擢を受けたのです！			この人気を裏付けるかのごとく、芸子の舞を一般公開する「開港をどり」という催しに、なんと、コトチョウが異例の抜擢を受けたのです！			花咲く季節の「どれす」どす							
催しの目的は、異国の要人に座敷遊びの文化を伝えること。そのため、演者に選ばれるのは芸達者や人気芸子に限られます。			催しの目的は、異国の要人に座敷遊びの文化を伝えること。そのため、演者に選ばれるのは芸達者や人気芸子に限られます。			花咲く季節の「どれす」どす							
