ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			ユールモアのカイ・シルは冒険者に話を聞いてほしいようだ。			お得意様カイ・シル							
鋼材や木材、帆布にグリスなんかは当然としても、座席用のクッションなんかも必要だって書いてありますね。			鋼材や木材、帆布にグリスなんかは当然としても、座席用のクッションなんかも必要だって書いてありますね。			カイ・シルのインバウンド戦略							
俺は、ヴェンモント造船所の職人たちと掛け合って、部材の調達を始めてみます。でもきっと、彼らの不得手とする技術も必要になる……。			俺は、ヴェンモント造船所の職人たちと掛け合って、部材の調達を始めてみます。でもきっと、彼らの不得手とする技術も必要になる……。			カイ・シルのインバウンド戦略							
Forenameさん、改めて、協力をお願いできませんか？			Forenameさん、改めて、協力をお願いできませんか？			カイ・シルのインバウンド戦略							
ありがとうございます！それじゃ、「飛空艇改装必需品」の調達を、よろしくお願いします！			ありがとうございます！それじゃ、「飛空艇改装必需品」の調達を、よろしくお願いします！			カイ・シルのインバウンド戦略							
キャバレー・ビーハイヴのアンフリッグは、定期便の利用について話があるようだ。			キャバレー・ビーハイヴのアンフリッグは、定期便の利用について話があるようだ。			定期便を使うには？							
レレベルドと話す			レレベルドと話す			定期便を使うには？							
ああ、職人さん。飛空艇改装へのご協力、おつかれさまでした。			ああ、職人さん。飛空艇改装へのご協力、おつかれさまでした。			定期便を使うには？							
あなたの尽力によって、クリスタリウムとの定期便、その第一便が、いままさに飛び立とうとしています。			あなたの尽力によって、クリスタリウムとの定期便、その第一便が、いままさに飛び立とうとしています。			定期便を使うには？							
よければ、職人さんも定期便を利用してみませんか？ザイレムリフトの「レレベルド」さんに声をかければ、説明をしてくれるはずですよ。			よければ、職人さんも定期便を利用してみませんか？ザイレムリフトの「レレベルド」さんに声をかければ、説明をしてくれるはずですよ。			定期便を使うには？							
定期便を利用するなら、ザイレムリフトの、「レレベルド」さんに声をかけてみてください。説明をしてくれるはずです。			定期便を利用するなら、ザイレムリフトの、「レレベルド」さんに声をかけてみてください。説明をしてくれるはずです。			定期便を使うには？							
定期便について聞きたいと？了解した、説明も私の仕事のひとつだからな。			定期便について聞きたいと？了解した、説明も私の仕事のひとつだからな。			定期便を使うには？							
ザイレムリフトは、自由市民の居住区へ繋がっているのだが、定期便の就航に際して最上階を改装し、飛空艇ランディングを建造したのだ。			ザイレムリフトは、自由市民の居住区へ繋がっているのだが、定期便の就航に際して最上階を改装し、飛空艇ランディングを建造したのだ。			定期便を使うには？							
そのため、搭乗手続きが済んだ者にかぎり、最上階への立ち入りが解禁されている。なお、他の階は居住区のままなので、立ち入りは控えてほしい。			そのため、搭乗手続きが済んだ者にかぎり、最上階への立ち入りが解禁されている。なお、他の階は居住区のままなので、立ち入りは控えてほしい。			定期便を使うには？							
それと、受付の設置が間に合わなかったため、一時的に、その業務を私が受け持つこととなった。定期便の利用を希望する場合は、私に声をかけてくれ。			それと、受付の設置が間に合わなかったため、一時的に、その業務を私が受け持つこととなった。定期便の利用を希望する場合は、私に声をかけてくれ。			定期便を使うには？							
……簡単だが、説明は以上だ。定期便の利用を待っている。			……簡単だが、説明は以上だ。定期便の利用を待っている。			定期便を使うには？							
廃船街の貧相な労役市民は、冒険者に教えたい訓練場があるそうだ。			廃船街の貧相な労役市民は、冒険者に教えたい訓練場があるそうだ。			力を試す訓練場							
ユールモアの民が復活させた古い訓練場があるらしい。コルシア島の歓迎の門付近に立つ「物腰柔らかな元兵士」と話そう。			ユールモアの民が復活させた古い訓練場があるらしい。コルシア島の歓迎の門付近に立つ「物腰柔らかな元兵士」と話そう。			力を試す訓練場							
物腰柔らかな元兵士から、木人相手に己の実力を測る訓練場の存在を聞いた。今はまだユールモア市民の利用者は少なく、旅人の利用も歓迎のようだ。冒険者も、力試しをしたくなったら、再び物腰柔らかな元兵士に声をかけよう。			物腰柔らかな元兵士から、木人相手に己の実力を測る訓練場の存在を聞いた。今はまだユールモア市民の利用者は少なく、旅人の利用も歓迎のようだ。冒険者も、力試しをしたくなったら、再び物腰柔らかな元兵士に声をかけよう。			力を試す訓練場							
歓迎の門付近にいる物腰柔らかな元兵士と話す			歓迎の門付近にいる物腰柔らかな元兵士と話す			力を試す訓練場							
あんた、世界に夜の闇を取り戻した「闇の戦士」だよな……？ちょうどいいや、あんたを見かけたら、「あの場所」を案内しようって、みんなで話していたんだ。			あんた、世界に夜の闇を取り戻した「闇の戦士」だよな……？ちょうどいいや、あんたを見かけたら、「あの場所」を案内しようって、みんなで話していたんだ。			力を試す訓練場							
ヴァウスリーが去り、ランジート将軍も行方不明のまま。今や、ユールモア軍はなかば崩壊状態でさ……。			ヴァウスリーが去り、ランジート将軍も行方不明のまま。今や、ユールモア軍はなかば崩壊状態でさ……。			力を試す訓練場							
これまで、都市の守りはヴァウスリー頼みだった。でも、今後は自分たちの身は自分で守らなくちゃならない……。そこで、沖合の小島にあった古い訓練場を復活させたんだ。			これまで、都市の守りはヴァウスリー頼みだった。でも、今後は自分たちの身は自分で守らなくちゃならない……。そこで、沖合の小島にあった古い訓練場を復活させたんだ。			力を試す訓練場							
戦いなんてしたことない俺みたいな貧弱な者や、協力してくれた元ユールモア軍の兵士なんかが集まり、そこで、実力を向上させるべく訓練している……。			戦いなんてしたことない俺みたいな貧弱な者や、協力してくれた元ユールモア軍の兵士なんかが集まり、そこで、実力を向上させるべく訓練している……。			力を試す訓練場							
気になるなら、あんたも好きに使ってくれて構わない。「歓迎の門」を出た先で、「物腰柔らかな元兵士」が、案内してくれるはずだよ。			気になるなら、あんたも好きに使ってくれて構わない。「歓迎の門」を出た先で、「物腰柔らかな元兵士」が、案内してくれるはずだよ。			力を試す訓練場							
自分たちでユールモアを守れるよう、コルシア島にあった古い訓練場を復活させたんだ。「歓迎の門」にいる「物腰柔らかな元兵士」が案内してくれるよ。			自分たちでユールモアを守れるよう、コルシア島にあった古い訓練場を復活させたんだ。「歓迎の門」にいる「物腰柔らかな元兵士」が案内してくれるよ。			力を試す訓練場							
旅人さん、訓練場を利用したいのかい？そいつは大歓迎だ、まだ利用者も少なくて暇だったんでね。			旅人さん、訓練場を利用したいのかい？そいつは大歓迎だ、まだ利用者も少なくて暇だったんでね。			力を試す訓練場							
ユールモアの騒乱で、あの都市の生活や身分制度は崩壊した。しかし、いきなり全員が意識を切り替えられるものじゃない。			ユールモアの騒乱で、あの都市の生活や身分制度は崩壊した。しかし、いきなり全員が意識を切り替えられるものじゃない。			力を試す訓練場							
もちろん、今後もあの都市を生活の場として守ろうという、気概のあるユールモア市民だっているが……残念ながら、数としてはどうしても少なくなる。			もちろん、今後もあの都市を生活の場として守ろうという、気概のあるユールモア市民だっているが……残念ながら、数としてはどうしても少なくなる。			力を試す訓練場							
というわけで、市民以外にも君のような、純粋に己の実力を測ろうとする旅人の利用も大歓迎さ。			というわけで、市民以外にも君のような、純粋に己の実力を測ろうとする旅人の利用も大歓迎さ。			力を試す訓練場							
ただ訓練場は、歩いて渡れる場所じゃないんでね。私に声をかけてくれれば、アマロで運んであげるよ。			ただ訓練場は、歩いて渡れる場所じゃないんでね。私に声をかけてくれれば、アマロで運んであげるよ。			力を試す訓練場							
そこには、訓練用の木人が設置されている。君が、今後挑まんとする強敵を撃破するに足る実力があるか、測るには打って付けの施設だろう。			そこには、訓練用の木人が設置されている。君が、今後挑まんとする強敵を撃破するに足る実力があるか、測るには打って付けの施設だろう。			力を試す訓練場							
……ん？　似たような訓練場を知っているって？そうか、コルシア島以外にもこうした施設があるのか。			……ん？　似たような訓練場を知っているって？そうか、コルシア島以外にもこうした施設があるのか。			力を試す訓練場							
まあ、強敵に挑む前に、木人で腕試しをするのは、別段珍しいことじゃない。同じような訓練場を考えた者が他所にいたって不思議はないさ！			まあ、強敵に挑む前に、木人で腕試しをするのは、別段珍しいことじゃない。同じような訓練場を考えた者が他所にいたって不思議はないさ！			力を試す訓練場							
「木人討滅戦」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、「物腰柔らかな元兵士」に話しかけることで開始できます。			「木人討滅戦」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、「物腰柔らかな元兵士」に話しかけることで開始できます。			力を試す訓練場							
廃船街の困り果てたオンド族は、冒険者を探していたようだ。			廃船街の困り果てたオンド族は、冒険者を探していたようだ。			創造機関 アナイダアカデミア							
困り果てたオンド族と話した。オンド族は、大口の巨大獣の存在に脅かされているらしい。出どころを探るため、アーモロートの「人民管理局の受付」と話そう。			困り果てたオンド族と話した。オンド族は、大口の巨大獣の存在に脅かされているらしい。出どころを探るため、アーモロートの「人民管理局の受付」と話そう。			創造機関 アナイダアカデミア							
「人民管理局の受付」と話した。大口の巨大獣は、アナイダアカデミアで創造された新たな生物らしい。創造物の管理について詳しい、アナイダアカデミア支部の「アカデミアの職員」に話を聞こう。			「人民管理局の受付」と話した。大口の巨大獣は、アナイダアカデミアで創造された新たな生物らしい。創造物の管理について詳しい、アナイダアカデミア支部の「アカデミアの職員」に話を聞こう。			創造機関 アナイダアカデミア							
アナイダアカデミア支部のアカデミアの職員は、「アナイダアカデミア」を見学することを許可してくれた。構内の様子を探ろう。※コンテンツファインダーから攻略に参加できます。			アナイダアカデミア支部のアカデミアの職員は、「アナイダアカデミア」を見学することを許可してくれた。構内の様子を探ろう。※コンテンツファインダーから攻略に参加できます。			創造機関 アナイダアカデミア							
「アナイダアカデミア」を攻略した。アナイダアカデミア支部にいる、アカデミアの職員に見学を終えたことを報告しよう。			「アナイダアカデミア」を攻略した。アナイダアカデミア支部にいる、アカデミアの職員に見学を終えたことを報告しよう。			創造機関 アナイダアカデミア							
アカデミアの職員と話した。アナイダアカデミアでは人知を超えた研究がおこなわれていたようだが、大口の巨大獣の具体的な対策は練られないようだ。ユールモアの廃船街の困り果てたオンド族に、そのことを報告しよう。			アカデミアの職員と話した。アナイダアカデミアでは人知を超えた研究がおこなわれていたようだが、大口の巨大獣の具体的な対策は練られないようだ。ユールモアの廃船街の困り果てたオンド族に、そのことを報告しよう。			創造機関 アナイダアカデミア							
困り果てたオンド族は、大口な巨大獣を自力で対策することにしたようだ。消えた研究者の影や、何者かが侵入していた形跡など、謎が残るが果たして……。			困り果てたオンド族は、大口な巨大獣を自力で対策することにしたようだ。消えた研究者の影や、何者かが侵入していた形跡など、謎が残るが果たして……。			創造機関 アナイダアカデミア							
人民管理局の受付と話す			人民管理局の受付と話す			創造機関 アナイダアカデミア							
アカデミアの職員と話す			アカデミアの職員と話す			創造機関 アナイダアカデミア							
「創造機関 アナイダアカデミア」を攻略			「創造機関 アナイダアカデミア」を攻略			創造機関 アナイダアカデミア							
アカデミアの職員と話す			アカデミアの職員と話す			創造機関 アナイダアカデミア							
廃船街の困り果てたオンド族に報告			廃船街の困り果てたオンド族に報告			創造機関 アナイダアカデミア							
ああ！　あなた、いにしえの人の、使い！よかった、深海、来られるヒト、探してました！どうか、助けて！			ああ！　あなた、いにしえの人の、使い！よかった、深海、来られるヒト、探してました！どうか、助けて！			創造機関 アナイダアカデミア							
いにしえの都、突然できてから、見慣れない巨大な獣、現れるよう、なりました。我らの潮溜まり、脅かす、おぞましい獣です。			いにしえの都、突然できてから、見慣れない巨大な獣、現れるよう、なりました。我らの潮溜まり、脅かす、おぞましい獣です。			創造機関 アナイダアカデミア							
大口で、凶暴で、なんでも食い荒らす。あんな獣、今まで、見たことも、聞いたこともなかった。破滅を呼ぶものだと、年かさのアースたち、恐れています。			大口で、凶暴で、なんでも食い荒らす。あんな獣、今まで、見たことも、聞いたこともなかった。破滅を呼ぶものだと、年かさのアースたち、恐れています。			創造機関 アナイダアカデミア							
いにしえの人、怒っているのでしょうか？でも我ら、それ確かめるすべ、ありません。いにしえの都、導きあるまで、立ち入れないから。			いにしえの人、怒っているのでしょうか？でも我ら、それ確かめるすべ、ありません。いにしえの都、導きあるまで、立ち入れないから。			創造機関 アナイダアカデミア							
だから、以前潮溜まり来たヒトたち、探しに、ヒトの都、やってきたんです。そしたらあなた、来てくれた！			だから、以前潮溜まり来たヒトたち、探しに、ヒトの都、やってきたんです。そしたらあなた、来てくれた！			創造機関 アナイダアカデミア							
あなたなら、都、行けますよね？いにしえの人へ、どうか怒らないでと、伝えてください。どうか、お願いします。			あなたなら、都、行けますよね？いにしえの人へ、どうか怒らないでと、伝えてください。どうか、お願いします。			創造機関 アナイダアカデミア							
オンド族は、未知の獣に脅かされているようだ……。ひとまず、アーモロートにいる「人民管理局の受付」に、話を聞いてみよう。			オンド族は、未知の獣に脅かされているようだ……。ひとまず、アーモロートにいる「人民管理局の受付」に、話を聞いてみよう。			創造機関 アナイダアカデミア							
あなたなら、都、行けますよね？いにしえの人へ、どうか怒らないでと、伝えてください。どうか、お願いします。			あなたなら、都、行けますよね？いにしえの人へ、どうか怒らないでと、伝えてください。どうか、お願いします。			創造機関 アナイダアカデミア							
本日は、いかがされましたか？			本日は、いかがされましたか？			創造機関 アナイダアカデミア							
ふむ……見慣れない「大口の巨大な獣」、ですか……。おそらく、学術機関であるアナイダアカデミアで創造された、新たな生物だと考えられますね。			ふむ……見慣れない「大口の巨大な獣」、ですか……。おそらく、学術機関であるアナイダアカデミアで創造された、新たな生物だと考えられますね。			創造機関 アナイダアカデミア							
申し訳ございませんが、創造物の管理は、アナイダアカデミアや創造物管理局に、一任しております。お手数ですが、現地にて話を通していただけますか？			申し訳ございませんが、創造物の管理は、アナイダアカデミアや創造物管理局に、一任しております。お手数ですが、現地にて話を通していただけますか？			創造機関 アナイダアカデミア							
この施設の南に、「アナイダアカデミア支部」があります。そこで、「アカデミアの職員」に問い合わせると良いでしょう。詳しい事情は、そちらで把握しているはずですので。			この施設の南に、「アナイダアカデミア支部」があります。そこで、「アカデミアの職員」に問い合わせると良いでしょう。詳しい事情は、そちらで把握しているはずですので。			創造機関 アナイダアカデミア							
ご説明いただいた創造物に関しては、「アナイダアカデミア支部」が把握していると思われます。そちらの「アカデミアの職員」にお声かけくださいませ。			ご説明いただいた創造物に関しては、「アナイダアカデミア支部」が把握していると思われます。そちらの「アカデミアの職員」にお声かけくださいませ。			創造機関 アナイダアカデミア							
こちらはアナイダアカデミア支部です。高度な学術機関である当アカデミアでは、関係者以外の構内への立ち入りを制限させていただいております。			こちらはアナイダアカデミア支部です。高度な学術機関である当アカデミアでは、関係者以外の構内への立ち入りを制限させていただいております。			創造機関 アナイダアカデミア							
おや……あなたは……エメトセルク様が直々に、住民登録を要請されたお方ですね？これは、失礼いたしました。			おや……あなたは……エメトセルク様が直々に、住民登録を要請されたお方ですね？これは、失礼いたしました。			創造機関 アナイダアカデミア							
あなたには、特別な市民権が付与されており、もちろん構内への立ち入りも、許可されております。アナイダアカデミアに、なにかご用でしょうか？			あなたには、特別な市民権が付与されており、もちろん構内への立ち入りも、許可されております。アナイダアカデミアに、なにかご用でしょうか？			創造機関 アナイダアカデミア							
ふむ、お話はわかりました。おっしゃった生物は、確かにこちらで管理しております。			ふむ、お話はわかりました。おっしゃった生物は、確かにこちらで管理しております。			創造機関 アナイダアカデミア							
その創造物が気になるのなら、構内を見学されてみてはいかがですか？内部には担当の研究者がおりますし、話が聞けるかもしれません。			その創造物が気になるのなら、構内を見学されてみてはいかがですか？内部には担当の研究者がおりますし、話が聞けるかもしれません。			創造機関 アナイダアカデミア							
こんなに小さいのに勉強熱心で、偉いですね。でも危ないですから、無理したり、研究者の方の邪魔をしてはいけませんよ？			こんなに小さいのに勉強熱心で、偉いですね。でも危ないですから、無理したり、研究者の方の邪魔をしてはいけませんよ？			創造機関 アナイダアカデミア							
では、アカデミアまでご案内いたします。心配ですから、帰ってきたら報告をお願いしますね。			では、アカデミアまでご案内いたします。心配ですから、帰ってきたら報告をお願いしますね。			創造機関 アナイダアカデミア							
「創造機関 アナイダアカデミア」構内へ、向かわれなくていいのですか？			「創造機関 アナイダアカデミア」構内へ、向かわれなくていいのですか？			創造機関 アナイダアカデミア							
おかえりなさい。見学は有意義なものとなりましたか？なにか興味深いことなど、あったでしょうか？			おかえりなさい。見学は有意義なものとなりましたか？なにか興味深いことなど、あったでしょうか？			創造機関 アナイダアカデミア							
何と答える？			何と答える？			創造機関 アナイダアカデミア							
人が魔物に変身した			人が魔物に変身した			創造機関 アナイダアカデミア							
魔物が逃げ出し、混乱していた			魔物が逃げ出し、混乱していた			創造機関 アナイダアカデミア							
ラハブレアが研究者だったとは……			ラハブレアが研究者だったとは……			創造機関 アナイダアカデミア							
報告することはない			報告することはない			創造機関 アナイダアカデミア							
それは、おそらく変身魔法ではありませんね。現在研究中の、新たな創造魔法の研究結果でしょう。			それは、おそらく変身魔法ではありませんね。現在研究中の、新たな創造魔法の研究結果でしょう。			創造機関 アナイダアカデミア							
変身とは、あくまで一時的なもの。その創造魔法は自身の命を、エーテルに変換して消費し、強靭で偉大なイデアを具現化することができるのですよ。			変身とは、あくまで一時的なもの。その創造魔法は自身の命を、エーテルに変換して消費し、強靭で偉大なイデアを具現化することができるのですよ。			創造機関 アナイダアカデミア							
複数人のエーテルを用いれば、さらに偉大なる存在を創造できるようになるかもしれません。現在、方法論を確立するために目下研究中なのです。			複数人のエーテルを用いれば、さらに偉大なる存在を創造できるようになるかもしれません。現在、方法論を確立するために目下研究中なのです。			創造機関 アナイダアカデミア							
他にも、聞きたいことはございますか？私でお答えできるものなら、いくらでもお付き合いしますよ。			他にも、聞きたいことはございますか？私でお答えできるものなら、いくらでもお付き合いしますよ。			創造機関 アナイダアカデミア							
なんですって？この星随一の、最新設備と技術を誇るアカデミアで、そんなこと、起こり得るはずが……			なんですって？この星随一の、最新設備と技術を誇るアカデミアで、そんなこと、起こり得るはずが……			創造機関 アナイダアカデミア							
たしかに、海向こうの都市に現れた「獣」について、サンプルを捕縛し、研究がおこなわれていましたが……。その強大さが、我々の想像を上回っていた……？			たしかに、海向こうの都市に現れた「獣」について、サンプルを捕縛し、研究がおこなわれていましたが……。その強大さが、我々の想像を上回っていた……？			創造機関 アナイダアカデミア							
とはいえ、優秀な研究者たちのことです。当代のラハブレア様もいらっしゃることですし、事態はすぐに収束するでしょう。			とはいえ、優秀な研究者たちのことです。当代のラハブレア様もいらっしゃることですし、事態はすぐに収束するでしょう。			創造機関 アナイダアカデミア							
あなたのような小さな子は、心配しなくても大丈夫ですよ。ただ、そのせいで研究者と話せなかったのなら、残念でしたね。懲りずにまた見学にきてくれたら、会える機会もあるはずです。			あなたのような小さな子は、心配しなくても大丈夫ですよ。ただ、そのせいで研究者と話せなかったのなら、残念でしたね。懲りずにまた見学にきてくれたら、会える機会もあるはずです。			創造機関 アナイダアカデミア							
他にも、聞きたいことはございますか？私でお答えできるものなら、いくらでもお付き合いしますよ。			他にも、聞きたいことはございますか？私でお答えできるものなら、いくらでもお付き合いしますよ。			創造機関 アナイダアカデミア							
ええ、もちろんです。ラハブレア様は幻想生物の創造に長けた、ご高名な研究者でいらっしゃいますからね。			ええ、もちろんです。ラハブレア様は幻想生物の創造に長けた、ご高名な研究者でいらっしゃいますからね。			創造機関 アナイダアカデミア							
彼が管轄するラハブレア院の見学は、おそらく、もっとも有意義だったのではありませんか？創造のための参考資料など、目を引くものが多かったでしょう。			彼が管轄するラハブレア院の見学は、おそらく、もっとも有意義だったのではありませんか？創造のための参考資料など、目を引くものが多かったでしょう。			創造機関 アナイダアカデミア							
他にも、聞きたいことはございますか？私にお答えできるものなら、いくらでもお付き合いしますよ。			他にも、聞きたいことはございますか？私にお答えできるものなら、いくらでもお付き合いしますよ。			創造機関 アナイダアカデミア							
ふむ、そうですか。あなたにとって、この見学が、有意義なものになっていれば幸いです。			ふむ、そうですか。あなたにとって、この見学が、有意義なものになっていれば幸いです。			創造機関 アナイダアカデミア							
脱走した疑惑のある生物については、今後、こちらでも調査を進めておきましょう。あなたは構内で、その姿を確認していないのですね？			脱走した疑惑のある生物については、今後、こちらでも調査を進めておきましょう。あなたは構内で、その姿を確認していないのですね？			創造機関 アナイダアカデミア							
万が一「アルケオタニア」が脱走していたとしたら……中にいる研究者たちは、無事なのか……？			万が一「アルケオタニア」が脱走していたとしたら……中にいる研究者たちは、無事なのか……？			創造機関 アナイダアカデミア							
いえ、こちらの話です。あなたも、ここへはお友達に言われてきたのでしょう？早く戻ってあげたほうが、良いのではありませんか？			いえ、こちらの話です。あなたも、ここへはお友達に言われてきたのでしょう？早く戻ってあげたほうが、良いのではありませんか？			創造機関 アナイダアカデミア							
未知の獣の情報は、これ以上得られないようだ……。「困り果てたオンド族」へ報告しに、「廃船街」に戻ろう。			未知の獣の情報は、これ以上得られないようだ……。「困り果てたオンド族」へ報告しに、「廃船街」に戻ろう。			創造機関 アナイダアカデミア							
脱走した疑惑のある生物については、今後、こちらでも調査を進めておきましょう。あなたはお友達のもとへ戻ってあげたほうが良いのでは？			脱走した疑惑のある生物については、今後、こちらでも調査を進めておきましょう。あなたはお友達のもとへ戻ってあげたほうが良いのでは？			創造機関 アナイダアカデミア							
ああ、いにしえの人の、使い！いにしえの人、様子、どうでした？怒り鎮めてくれた、でしょうか？			ああ、いにしえの人の、使い！いにしえの人、様子、どうでした？怒り鎮めてくれた、でしょうか？			創造機関 アナイダアカデミア							
なるほど……かの獣、「あないだあかでみあ」なる施設、から、逃げ出したが、いにしえの人でも、打つ手、ないのですね……。			なるほど……かの獣、「あないだあかでみあ」なる施設、から、逃げ出したが、いにしえの人でも、打つ手、ないのですね……。			創造機関 アナイダアカデミア							
でも、それわかっただけ、充分です。いにしえの人、我らの行い、怒ってるわけじゃないこと、わかりましたから。			でも、それわかっただけ、充分です。いにしえの人、我らの行い、怒ってるわけじゃないこと、わかりましたから。			創造機関 アナイダアカデミア							
俺、海底帰って、仲間たちと、対策、考えてみます。			俺、海底帰って、仲間たちと、対策、考えてみます。			創造機関 アナイダアカデミア							
大口のかの獣、すぐに姿、隠します。だから、もし、痕跡探してるオンド、見つけたら、いにしえの人の使いも、協力してくれると、嬉しいです。			大口のかの獣、すぐに姿、隠します。だから、もし、痕跡探してるオンド、見つけたら、いにしえの人の使いも、協力してくれると、嬉しいです。			創造機関 アナイダアカデミア							
あなた、ヒトながら、海底来られる。潮なき海底では、重要な戦力。どうか、お願いしますね！			あなた、ヒトながら、海底来られる。潮なき海底では、重要な戦力。どうか、お願いしますね！			創造機関 アナイダアカデミア							
特殊ルール： レベルアジャストジョイアスホールの哀しげな自由市民は、途方に暮れているようだ。			特殊ルール： レベルアジャストジョイアスホールの哀しげな自由市民は、途方に暮れているようだ。			主の想い、従の想い							
廃船街でミステル族の元召使いを探す			廃船街でミステル族の元召使いを探す			主の想い、従の想い							
哀しげな自由市民と話す			哀しげな自由市民と話す			主の想い、従の想い							
こんな愚かな私の前で、足を止めてくださるとは……。実は、以前に私が雇っていた召使いのことで悩んでいまして……。とてもよく働き、素直で誠実な青年だったのですが……。			こんな愚かな私の前で、足を止めてくださるとは……。実は、以前に私が雇っていた召使いのことで悩んでいまして……。とてもよく働き、素直で誠実な青年だったのですが……。			主の想い、従の想い							
それなのに……ほんの些細な粗相を、私は許すことができず、彼を海へ突き落してしまったのです……！			それなのに……ほんの些細な粗相を、私は許すことができず、彼を海へ突き落してしまったのです……！			主の想い、従の想い							
頭の霞が晴れた今、なぜそんな残酷なことをしたのかと……一言でも、謝罪したいと考えたのです……。			頭の霞が晴れた今、なぜそんな残酷なことをしたのかと……一言でも、謝罪したいと考えたのです……。			主の想い、従の想い							
そこで、彼を探し声をかけようとしたのですが……なんと私は……彼の名すら覚えていなかったのです……！自分の愚かさに愕然とし、その場から動けませんでした……。			そこで、彼を探し声をかけようとしたのですが……なんと私は……彼の名すら覚えていなかったのです……！自分の愚かさに愕然とし、その場から動けませんでした……。			主の想い、従の想い							
旅のお方、どうか「廃船街」で彼を探し、戻ってきてほしいと、伝えていただきたいのです。報酬は必ずお支払いします……！			旅のお方、どうか「廃船街」で彼を探し、戻ってきてほしいと、伝えていただきたいのです。報酬は必ずお支払いします……！			主の想い、従の想い							
槍術が得意な、長身で髪の長いミステル族の青年です！どうか……どうか、お願いします……！			槍術が得意な、長身で髪の長いミステル族の青年です！どうか……どうか、お願いします……！			主の想い、従の想い							
「廃船街」で、どうか彼を探してきてください。槍術が得意な、長身で髪の長いミステル族の青年です！			「廃船街」で、どうか彼を探してきてください。槍術が得意な、長身で髪の長いミステル族の青年です！			主の想い、従の想い							
はい、僕に何か御用でしょうか？			はい、僕に何か御用でしょうか？			主の想い、従の想い							
え……ご主人様が、僕を……！？			え……ご主人様が、僕を……！？			主の想い、従の想い							
確かに、僕に間違いありません……。海に落ちたものの幸運にも一命をとりとめた上、心優しきオンド族に救われ、ここに戻ってこれたのです。			確かに、僕に間違いありません……。海に落ちたものの幸運にも一命をとりとめた上、心優しきオンド族に救われ、ここに戻ってこれたのです。			主の想い、従の想い							
ですが、助けてくれたお礼に、唯一の財産だった槍を、オンド族の彼に渡してしまいました。だからもう……ご主人様をお守りすることは叶いません……！			ですが、助けてくれたお礼に、唯一の財産だった槍を、オンド族の彼に渡してしまいました。だからもう……ご主人様をお守りすることは叶いません……！			主の想い、従の想い							
わざわざ来てくださったのに、すみません。ご主人様に、どうかお体を大事にと……父のように慕っておりましたと、お伝えください……。			わざわざ来てくださったのに、すみません。ご主人様に、どうかお体を大事にと……父のように慕っておりましたと、お伝えください……。			主の想い、従の想い							
自分は、上層に足を踏み入れたこともない。……南東にいる奴のことじゃないか？			自分は、上層に足を踏み入れたこともない。……南東にいる奴のことじゃないか？			主の想い、従の想い							
あぁ？　たしかに槍術は得意だが、見ての通り俺は長髪じゃないぜ。……そんな優しい主に探されて、そいつは幸せもんだな。はぁ、現役時代に俺も巡り合いたかったぜ。			あぁ？　たしかに槍術は得意だが、見ての通り俺は長髪じゃないぜ。……そんな優しい主に探されて、そいつは幸せもんだな。はぁ、現役時代に俺も巡り合いたかったぜ。			主の想い、従の想い							
ご主人様に、どうかお体を大事にと……父のように慕っておりましたと、お伝えください……。			ご主人様に、どうかお体を大事にと……父のように慕っておりましたと、お伝えください……。			主の想い、従の想い							
彼は見つかりましたか！？			彼は見つかりましたか！？			主の想い、従の想い							
なんということだ……。私の癇癪で、彼の財産を失わせてしまっていたとは！槍くらい、私がすぐに用立てましょう。			なんということだ……。私の癇癪で、彼の財産を失わせてしまっていたとは！槍くらい、私がすぐに用立てましょう。			主の想い、従の想い							
本当に、ありがとうございました。これはお礼です、受け取ってください。			本当に、ありがとうございました。これはお礼です、受け取ってください。			主の想い、従の想い							
さあ、こうしちゃいられませんね！私を父のようだと言ってくれた彼に、会いに行ってきます。……今度は、自己紹介から始めなければいけませんね。			さあ、こうしちゃいられませんね！私を父のようだと言ってくれた彼に、会いに行ってきます。……今度は、自己紹介から始めなければいけませんね。			主の想い、従の想い							
特殊ルール： レベルアジャストメインステイのユールモア軍の兵士は、炊き出しを行いたいようだ。			特殊ルール： レベルアジャストメインステイのユールモア軍の兵士は、炊き出しを行いたいようだ。			メオルに代えて							
ユールモアで話題を集める			ユールモアで話題を集める			メオルに代えて							
ユールモア軍司令本部のユールモア軍の兵士と話す			ユールモア軍司令本部のユールモア軍の兵士と話す			メオルに代えて							
あれ、あんた……！この間の騒動のとき、暴れまくってた人じゃないか！			あれ、あんた……！この間の騒動のとき、暴れまくってた人じゃないか！			メオルに代えて							
あの騒動の後、市民たちのために俺には何ができるのかって、ずっと考えててよ……んで、出した結論が「炊き出し」なんだ。ここで、俺が唯一褒められたことが料理だったからな！			あの騒動の後、市民たちのために俺には何ができるのかって、ずっと考えててよ……んで、出した結論が「炊き出し」なんだ。ここで、俺が唯一褒められたことが料理だったからな！			メオルに代えて							
