園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			彼女はダメダメ園芸師							
園芸師ギルドのフフチャと話す			園芸師ギルドのフフチャと話す			連載最終回「種は国境を越えて」							
クルザス西部高地でカベイジの野菜を草刈イシュガルドのマルティノーにカベイジの野菜を見せる			クルザス西部高地でカベイジの野菜を草刈イシュガルドのマルティノーにカベイジの野菜を見せる			連載最終回「種は国境を越えて」							
キャンプ・クラウドトップのバジールにカベイジの野菜を納品			キャンプ・クラウドトップのバジールにカベイジの野菜を納品			連載最終回「種は国境を越えて」							
バジールに園芸師ギルドの野菜とマルティノーの書状を渡す			バジールに園芸師ギルドの野菜とマルティノーの書状を渡す			連載最終回「種は国境を越えて」							
バジールと話す			バジールと話す			連載最終回「種は国境を越えて」							
イシュガルドのムジ・ミュリラーと話す			イシュガルドのムジ・ミュリラーと話す			連載最終回「種は国境を越えて」							
園芸師ギルドのフフチャに報告			園芸師ギルドのフフチャに報告			連載最終回「種は国境を越えて」							
おおっ、訪ねてきてくださり、ありがとうございます！でも、まだバジールさんから依頼は……おや？			おおっ、訪ねてきてくださり、ありがとうございます！でも、まだバジールさんから依頼は……おや？			連載最終回「種は国境を越えて」							
おおっ！　噂をすれば、バジールさんじゃないですか～！			おおっ！　噂をすれば、バジールさんじゃないですか～！			連載最終回「種は国境を越えて」							
バジールさん、お元気ですか～。……………………って、ええええええええっ！！			バジールさん、お元気ですか～。……………………って、ええええええええっ！！			連載最終回「種は国境を越えて」							
たた、大変です……！わたしの書いた記事が、お偉方の目に留まって、バジールさんが罪に問われているそうなんです！			たた、大変です……！わたしの書いた記事が、お偉方の目に留まって、バジールさんが罪に問われているそうなんです！			連載最終回「種は国境を越えて」							
機密に関わるような部分は伏せていたので、そのあたりの罪に問われてはいないようですが……。			機密に関わるような部分は伏せていたので、そのあたりの罪に問われてはいないようですが……。			連載最終回「種は国境を越えて」							
背景には、貴族たちの利権争いがあるみたいです……！あの浮島を管理しているのは、アインハルト家。対立するゼーメル家が、お偉方を焚きつけたみたいで……。			背景には、貴族たちの利権争いがあるみたいです……！あの浮島を管理しているのは、アインハルト家。対立するゼーメル家が、お偉方を焚きつけたみたいで……。			連載最終回「種は国境を越えて」							
「バジール」さんから、お話を伺ってきてもらえませんか？わたしも何かできないか、探ってみます！			「バジール」さんから、お話を伺ってきてもらえませんか？わたしも何かできないか、探ってみます！			連載最終回「種は国境を越えて」							
「バジール」さんから、お話を伺ってきてもらえませんか？わたしも何かできないか、探ってみます！			「バジール」さんから、お話を伺ってきてもらえませんか？わたしも何かできないか、探ってみます！			連載最終回「種は国境を越えて」							
他国の作物を植えるなど、軽率が過ぎたな……。			他国の作物を植えるなど、軽率が過ぎたな……。			連載最終回「種は国境を越えて」							
ふん、たかが園芸師が、勝手をしおってからに！			ふん、たかが園芸師が、勝手をしおってからに！			連載最終回「種は国境を越えて」							
とんでもないことになりました……。園芸師ギルドの協力を得ていたことを問題にして、ヴァンクトロワ卿という神殿騎士様がやってきて……。			とんでもないことになりました……。園芸師ギルドの協力を得ていたことを問題にして、ヴァンクトロワ卿という神殿騎士様がやってきて……。			連載最終回「種は国境を越えて」							
……なんだ、貴様は？バジールのところに出入りしている園芸師か。			……なんだ、貴様は？バジールのところに出入りしている園芸師か。			連載最終回「種は国境を越えて」							
バジール、そこらで栽培しているギサールの野菜……！聞けば、グリダニアから取り寄せたものと言うではないか。我らが領内に、なんとおぞましい株を植えたものだ！			バジール、そこらで栽培しているギサールの野菜……！聞けば、グリダニアから取り寄せたものと言うではないか。我らが領内に、なんとおぞましい株を植えたものだ！			連載最終回「種は国境を越えて」							
此度の件は、教皇庁でも大きな問題となっている……。司祭であるオビエロ神父にも来ていただいた。神父から、事の重大さを伺うといい！			此度の件は、教皇庁でも大きな問題となっている……。司祭であるオビエロ神父にも来ていただいた。神父から、事の重大さを伺うといい！			連載最終回「種は国境を越えて」							
イシュガルドにおいては、常識に属する話だが……。一般的に「ギサールの野菜」と呼ばれる葉物には、クルザス原産種と近東原産種のふたつが存在している。			イシュガルドにおいては、常識に属する話だが……。一般的に「ギサールの野菜」と呼ばれる葉物には、クルザス原産種と近東原産種のふたつが存在している。			連載最終回「種は国境を越えて」							
近東原産種が、エオルゼア各地で栽培されたため、共通語の「ギサールの野菜」という呼び名が有名だ……。しかし、古エレゼン語では異なる名で呼ばれていた。			近東原産種が、エオルゼア各地で栽培されたため、共通語の「ギサールの野菜」という呼び名が有名だ……。しかし、古エレゼン語では異なる名で呼ばれていた。			連載最終回「種は国境を越えて」							
いくら他国において、近東原産種が主流になろうとも、イシュガルドではクルザスの恵みたる古来の純粋種を守りとおす。……それが、我が国の伝統であり、誇りだったはず。			いくら他国において、近東原産種が主流になろうとも、イシュガルドではクルザスの恵みたる古来の純粋種を守りとおす。……それが、我が国の伝統であり、誇りだったはず。			連載最終回「種は国境を越えて」							
貴様は、我が国の誇りに泥を塗った。口先だけの言い訳などは不要……。抗弁があるなら、確かな証拠とともに示してみよ。			貴様は、我が国の誇りに泥を塗った。口先だけの言い訳などは不要……。抗弁があるなら、確かな証拠とともに示してみよ。			連載最終回「種は国境を越えて」							
我々は、そこで待たせてもらう。証拠を用意できないときは、わかっているだろうな。決闘裁判にかけられることを覚悟しておけ！			我々は、そこで待たせてもらう。証拠を用意できないときは、わかっているだろうな。決闘裁判にかけられることを覚悟しておけ！			連載最終回「種は国境を越えて」							
け、決闘裁判だなんて、そんな……。私は、ここを開拓して、ゆくゆくは、イシュガルドを豊かにしようとしていただけなのに……。			け、決闘裁判だなんて、そんな……。私は、ここを開拓して、ゆくゆくは、イシュガルドを豊かにしようとしていただけなのに……。			連載最終回「種は国境を越えて」							
私が罪を免れるには、反論の論拠が必要なようです……。お手数をおかけしますが、ギサールの野菜を提供してくれた、園芸師ギルドの「フフチャ」さんに相談していただけませんか？			私が罪を免れるには、反論の論拠が必要なようです……。お手数をおかけしますが、ギサールの野菜を提供してくれた、園芸師ギルドの「フフチャ」さんに相談していただけませんか？			連載最終回「種は国境を越えて」							
私が罪を免れるには、反論の論拠が必要なようです……。お手数をおかけしますが、ギサールの野菜を提供してくれた、園芸師ギルドの「フフチャ」さんに相談していただけませんか？			私が罪を免れるには、反論の論拠が必要なようです……。お手数をおかけしますが、ギサールの野菜を提供してくれた、園芸師ギルドの「フフチャ」さんに相談していただけませんか？			連載最終回「種は国境を越えて」							
……まぁ、そんなことが！なんと頭の堅い人たちでしょう！自然界に、自分たちの理屈を無理矢理あてはめるなんて。			……まぁ、そんなことが！なんと頭の堅い人たちでしょう！自然界に、自分たちの理屈を無理矢理あてはめるなんて。			連載最終回「種は国境を越えて」							
ええ、証明することは可能です。だって、私がバジールさんに提供したギサールの野菜のほうが、彼らのいう「純粋種」に近いんですもの！			ええ、証明することは可能です。だって、私がバジールさんに提供したギサールの野菜のほうが、彼らのいう「純粋種」に近いんですもの！			連載最終回「種は国境を越えて」							
あのギサールの野菜は、近東産ではありません。数代前のギルドマスターが持ち帰ったクルザス産の品種を、こちらで保管してきたものなんです……！			あのギサールの野菜は、近東産ではありません。数代前のギルドマスターが持ち帰ったクルザス産の品種を、こちらで保管してきたものなんです……！			連載最終回「種は国境を越えて」							
そして、彼らの知らない事実がもうひとつ……。現在、イシュガルドで栽培されている「純粋種」の多くは、近東原産種に取って替わられているという研究があるのです。			そして、彼らの知らない事実がもうひとつ……。現在、イシュガルドで栽培されている「純粋種」の多くは、近東原産種に取って替わられているという研究があるのです。			連載最終回「種は国境を越えて」							
この説が正しければ、私が提供したギサールの野菜の方が、彼らが心酔する「クルザス原産の純粋種」に近いことになる。			この説が正しければ、私が提供したギサールの野菜の方が、彼らが心酔する「クルザス原産の純粋種」に近いことになる。			連載最終回「種は国境を越えて」							
この「園芸師ギルドの野菜」を持っていきなさい。バジールさんに提供した、ギサールの野菜と同じものです。			この「園芸師ギルドの野菜」を持っていきなさい。バジールさんに提供した、ギサールの野菜と同じものです。			連載最終回「種は国境を越えて」							
こちらのほうこそ、本当の意味での「純粋種」……。クルザスの野生種「カベイジの野菜」を改良した種です。一流の専門家なら、同じ系統の品種とわかるはずだけど……。			こちらのほうこそ、本当の意味での「純粋種」……。クルザスの野生種「カベイジの野菜」を改良した種です。一流の専門家なら、同じ系統の品種とわかるはずだけど……。			連載最終回「種は国境を越えて」							
……なんと、高名なマルティノー博士と面識があると！？でしたら、彼に証明してもらったらどうでしょう！野生の「カベイジの野菜」を採集し、比較してもらうんです。			……なんと、高名なマルティノー博士と面識があると！？でしたら、彼に証明してもらったらどうでしょう！野生の「カベイジの野菜」を採集し、比較してもらうんです。			連載最終回「種は国境を越えて」							
発表された学説によると、「クルザス西部高地」の、あまり人が足を踏み入れていない地域になら、当時のままの純粋種が現存する可能性はあるそうです。			発表された学説によると、「クルザス西部高地」の、あまり人が足を踏み入れていない地域になら、当時のままの純粋種が現存する可能性はあるそうです。			連載最終回「種は国境を越えて」							
なんとか「カベイジの野菜」を探し出して、イシュガルドの本草学者「マルティノー」さんに見せるのです。比較のためには、3つほどあれば大丈夫なはず……！			なんとか「カベイジの野菜」を探し出して、イシュガルドの本草学者「マルティノー」さんに見せるのです。比較のためには、3つほどあれば大丈夫なはず……！			連載最終回「種は国境を越えて」							
発表された学説によると、「クルザス西部高地」の、あまり人が足を踏み入れていない地域になら、当時のままの純粋種が現存する可能性はあるそうです。			発表された学説によると、「クルザス西部高地」の、あまり人が足を踏み入れていない地域になら、当時のままの純粋種が現存する可能性はあるそうです。			連載最終回「種は国境を越えて」							
なんとか「カベイジの野菜」を探し出して、イシュガルドの本草学者「マルティノー」さんに見せるのです。比較のためには、3つほどあれば大丈夫なはず……！			なんとか「カベイジの野菜」を探し出して、イシュガルドの本草学者「マルティノー」さんに見せるのです。比較のためには、3つほどあれば大丈夫なはず……！			連載最終回「種は国境を越えて」							
……おや、ずいぶんと切羽詰まった顔だな。今度は、どんな難題に直面しているのだ？			……おや、ずいぶんと切羽詰まった顔だな。今度は、どんな難題に直面しているのだ？			連載最終回「種は国境を越えて」							
ほう、「カベイジの野菜」ではないか！これはまた、貴重な野草を持ち込んだものだ……。……ふむ、私にもうひとつ見せたいものがあると？			ほう、「カベイジの野菜」ではないか！これはまた、貴重な野草を持ち込んだものだ……。……ふむ、私にもうひとつ見せたいものがあると？			連載最終回「種は国境を越えて」							
おお、こちらのギサールの野菜も素晴らしい。しかし、これらの品を、ただ見せにきたわけではなかろう……。さて、何をお望みかな……？			おお、こちらのギサールの野菜も素晴らしい。しかし、これらの品を、ただ見せにきたわけではなかろう……。さて、何をお望みかな……？			連載最終回「種は国境を越えて」							
……そういうことか。まったく、古い慣習に縛られている連中ほど、質の悪いものはない。			……そういうことか。まったく、古い慣習に縛られている連中ほど、質の悪いものはない。			連載最終回「種は国境を越えて」							
外葉に隠れて見えにくいが、中身の色合いは瓜ふたつだ。……このふたつは、間違いなく同系統のものだな。			外葉に隠れて見えにくいが、中身の色合いは瓜ふたつだ。……このふたつは、間違いなく同系統のものだな。			連載最終回「種は国境を越えて」							
私からも、書状をしたためてやろう……。頭の固まった連中に、しっかりと叩きつけてやるといい。			私からも、書状をしたためてやろう……。頭の固まった連中に、しっかりと叩きつけてやるといい。			連載最終回「種は国境を越えて」							
私からも、書状をしたためてやろう……。頭の固まった連中に、しっかりと叩きつけてやるといい。			私からも、書状をしたためてやろう……。頭の固まった連中に、しっかりと叩きつけてやるといい。			連載最終回「種は国境を越えて」							
……どうでしょう、反論の論拠を示せそうですか？今は、あなただけが頼りなのです……。			……どうでしょう、反論の論拠を示せそうですか？今は、あなただけが頼りなのです……。			連載最終回「種は国境を越えて」							
……どうでしょう、反論の論拠を示せそうですか？今は、あなただけが頼りなのです……。			……どうでしょう、反論の論拠を示せそうですか？今は、あなただけが頼りなのです……。			連載最終回「種は国境を越えて」							
これは……ギサールの野菜……でしょうか？しかし、このような品種は見たことがない……これはいったい？……まだあるというのですか？			これは……ギサールの野菜……でしょうか？しかし、このような品種は見たことがない……これはいったい？……まだあるというのですか？			連載最終回「種は国境を越えて」							
あなたが持ってきてくださった、この野菜……。私が、今まで見たことのない品種です。これが、私を救う論拠となるのですか……？			あなたが持ってきてくださった、この野菜……。私が、今まで見たことのない品種です。これが、私を救う論拠となるのですか……？			連載最終回「種は国境を越えて」							
……ギサールの野菜が、もうひとつ？それに、この書状は……？			……ギサールの野菜が、もうひとつ？それに、この書状は……？			連載最終回「種は国境を越えて」							
………………こ、これは！まさか、こんな事実があったなんて！さっそく、彼らに申し開きを行いましょう！			………………こ、これは！まさか、こんな事実があったなんて！さっそく、彼らに申し開きを行いましょう！			連載最終回「種は国境を越えて」							
純粋なクルザス原産種は、もうイシュガルドには存在せず、グリダニアの園芸師にのみ伝わっている……。そう簡単に、信じられる話ではないな。			純粋なクルザス原産種は、もうイシュガルドには存在せず、グリダニアの園芸師にのみ伝わっている……。そう簡単に、信じられる話ではないな。			連載最終回「種は国境を越えて」							
ふん、何を根拠にそのような戯言を……！			ふん、何を根拠にそのような戯言を……！			連載最終回「種は国境を越えて」							
ここにある、ふたつのギサールの野菜のうち、ひとつは、グリダニアの園芸ギルドより、取り寄せたもの。			ここにある、ふたつのギサールの野菜のうち、ひとつは、グリダニアの園芸ギルドより、取り寄せたもの。			連載最終回「種は国境を越えて」							
そして、もうひとつが、Forenameさんが探しだしてくれた、クルザスの野生種……「カベイジの野菜」です。			そして、もうひとつが、Forenameさんが探しだしてくれた、クルザスの野生種……「カベイジの野菜」です。			連載最終回「種は国境を越えて」							
皇都における本草学の権威、マルティノー様の鑑定によれば、このふたつは間違いなく、同じ系統に属するとのこと。			皇都における本草学の権威、マルティノー様の鑑定によれば、このふたつは間違いなく、同じ系統に属するとのこと。			連載最終回「種は国境を越えて」							
その証拠に、グリダニアからもたらされたギサールの野菜は、冷涼な浮島の大地にも、しっかりと馴染んでおります……。			その証拠に、グリダニアからもたらされたギサールの野菜は、冷涼な浮島の大地にも、しっかりと馴染んでおります……。			連載最終回「種は国境を越えて」							
マルティノー様からの書状には、こうも書かれています。「種とは、鳥や人の手により広まるもの。　いかに都の門扉を閉じようとも、広まりゆくのが道理」と。			マルティノー様からの書状には、こうも書かれています。「種とは、鳥や人の手により広まるもの。　いかに都の門扉を閉じようとも、広まりゆくのが道理」と。			連載最終回「種は国境を越えて」							
……貴様、今の発言、マルティノーともども、イシュガルドの政策を揶揄したものと受け取るぞ。			……貴様、今の発言、マルティノーともども、イシュガルドの政策を揶揄したものと受け取るぞ。			連載最終回「種は国境を越えて」							
国策を侮蔑する気は毛頭ございません。お聞き願いたいのは、イシュガルドが門を閉ざすはるか前、優に100年以上も昔のことです……。			国策を侮蔑する気は毛頭ございません。お聞き願いたいのは、イシュガルドが門を閉ざすはるか前、優に100年以上も昔のことです……。			連載最終回「種は国境を越えて」							
交易により、近東原産の「ギサールの野菜」が流入……。旺盛な繁殖力が、エオルゼアでの栽培に適していたこともあり、瞬く間に、土着の野菜を駆逐しました。			交易により、近東原産の「ギサールの野菜」が流入……。旺盛な繁殖力が、エオルゼアでの栽培に適していたこともあり、瞬く間に、土着の野菜を駆逐しました。			連載最終回「種は国境を越えて」							
イシュガルドで、クルザス原産種が絶えたのもそのため。ですが、園芸師ギルドでは、冷涼な高地に適した品種として、冷害に備えて栽培を続けていたのです。			イシュガルドで、クルザス原産種が絶えたのもそのため。ですが、園芸師ギルドでは、冷涼な高地に適した品種として、冷害に備えて栽培を続けていたのです。			連載最終回「種は国境を越えて」							
クルザスの「カベイジの野菜」から品種改良された種は、遠きグリダニアの地に住む園芸師の手によって、新たな故郷を見出しました……。			クルザスの「カベイジの野菜」から品種改良された種は、遠きグリダニアの地に住む園芸師の手によって、新たな故郷を見出しました……。			連載最終回「種は国境を越えて」							
「一粒の種に国境なし。　野菜の種は、国土ではなく、黒土に芽吹くもの」……マルティノー様の書状は、そう結ばれています。			「一粒の種に国境なし。　野菜の種は、国土ではなく、黒土に芽吹くもの」……マルティノー様の書状は、そう結ばれています。			連載最終回「種は国境を越えて」							
係争中の案件なので、今まで黙っていたのだが……実は、グリダニアの園芸師ギルドのギルドマスター、フフチャ殿から、手紙をいただいていたのだよ。			係争中の案件なので、今まで黙っていたのだが……実は、グリダニアの園芸師ギルドのギルドマスター、フフチャ殿から、手紙をいただいていたのだよ。			連載最終回「種は国境を越えて」							
「1000年後の子孫の繁栄のためにお使いください」と、多数の種の寄付を申し出る手紙をな。			「1000年後の子孫の繁栄のためにお使いください」と、多数の種の寄付を申し出る手紙をな。			連載最終回「種は国境を越えて」							
他国の民の、1000年後の子孫の幸福……。我々は、そのような遠大な視点で、物事を考えたことがあっただろうか……。			他国の民の、1000年後の子孫の幸福……。我々は、そのような遠大な視点で、物事を考えたことがあっただろうか……。			連載最終回「種は国境を越えて」							
オビエロ神父……！よもや、バジールの処分を撤回されるおつもりですか！？			オビエロ神父……！よもや、バジールの処分を撤回されるおつもりですか！？			連載最終回「種は国境を越えて」							
我々が望む「クルザス原産の純粋種」は目の前にあった。……ならば、何の問題もあるまい？			我々が望む「クルザス原産の純粋種」は目の前にあった。……ならば、何の問題もあるまい？			連載最終回「種は国境を越えて」							
バジールよ、我々がいささか狭量だったようだ。これ以上、貴様を罪に問うことはすまい。心ゆくまで、やってみるがいい……。			バジールよ、我々がいささか狭量だったようだ。これ以上、貴様を罪に問うことはすまい。心ゆくまで、やってみるがいい……。			連載最終回「種は国境を越えて」							
Forenameさん。本当に、あなたには感謝の念しかありません。			Forenameさん。本当に、あなたには感謝の念しかありません。			連載最終回「種は国境を越えて」							
あなたからいただいた数々の助言を胸に、今後は、私たちだけで、なんとかがんばってみます！そしていつか、ヴァンクトロワ卿も納得させてみせますよ！			あなたからいただいた数々の助言を胸に、今後は、私たちだけで、なんとかがんばってみます！そしていつか、ヴァンクトロワ卿も納得させてみせますよ！			連載最終回「種は国境を越えて」							
そうだ、「ムジ・ミュリラー」さんにも、顛末をお伝えくださいますか？これまで、本当にありがとうございました……！			そうだ、「ムジ・ミュリラー」さんにも、顛末をお伝えくださいますか？これまで、本当にありがとうございました……！			連載最終回「種は国境を越えて」							
……ええ～！　そんな展開になったんですか！「一粒の種に国境なし」……素晴らしい言葉ですね！ふふふ、この騒動を記事にすれば、大反響間違いなし！			……ええ～！　そんな展開になったんですか！「一粒の種に国境なし」……素晴らしい言葉ですね！ふふふ、この騒動を記事にすれば、大反響間違いなし！			連載最終回「種は国境を越えて」							
……って、冗談です！　記事になんてしませんよ！バジールさんの真摯な努力や、園芸師の交流などをまとめて、最終回とするつもりです。			……って、冗談です！　記事になんてしませんよ！バジールさんの真摯な努力や、園芸師の交流などをまとめて、最終回とするつもりです。			連載最終回「種は国境を越えて」							
あーあ……それにしても、これで一文無しだなぁ。連載が好評で、特別ボーナスまで出たのに、種を送るのに全部使っちゃったし……。			あーあ……それにしても、これで一文無しだなぁ。連載が好評で、特別ボーナスまで出たのに、種を送るのに全部使っちゃったし……。			連載最終回「種は国境を越えて」							
…………あっ！あの……今のは、えっと……。な、内緒ですよう……？			…………あっ！あの……今のは、えっと……。な、内緒ですよう……？			連載最終回「種は国境を越えて」							
迷惑をかけたお詫びにと、園芸師ギルド名義で、種の寄付をしておいたんです……。えへへ、少しは役にたちましたかね？			迷惑をかけたお詫びにと、園芸師ギルド名義で、種の寄付をしておいたんです……。えへへ、少しは役にたちましたかね？			連載最終回「種は国境を越えて」							
Forenameさん。今日まで取材させていただいて、ありがとうございました！			Forenameさん。今日まで取材させていただいて、ありがとうございました！			連載最終回「種は国境を越えて」							
週刊レイヴンの中でも、これまでの私の記者人生の中でも、いっちばんステキな連載になりました！一文無しだけど、私は今、とっても幸せですよ！			週刊レイヴンの中でも、これまでの私の記者人生の中でも、いっちばんステキな連載になりました！一文無しだけど、私は今、とっても幸せですよ！			連載最終回「種は国境を越えて」							
そうだ、今回の報酬は、園芸師ギルドに送ってあります。報告も兼ねて、「フフチャ」さんを訪ねてくださいね！			そうだ、今回の報酬は、園芸師ギルドに送ってあります。報告も兼ねて、「フフチャ」さんを訪ねてくださいね！			連載最終回「種は国境を越えて」							
そうだ、今回の報酬は、園芸師ギルドに送ってあります。報告も兼ねて、「フフチャ」さんを訪ねてくださいね！			そうだ、今回の報酬は、園芸師ギルドに送ってあります。報告も兼ねて、「フフチャ」さんを訪ねてくださいね！			連載最終回「種は国境を越えて」							
……無事に終わったようですね。こちらも、いい報告がありますよ。ムジ・ミュリラーさんの記事が大反響なんです！			……無事に終わったようですね。こちらも、いい報告がありますよ。ムジ・ミュリラーさんの記事が大反響なんです！			連載最終回「種は国境を越えて」							
記事に惹かれて、園芸師を目指してみたいという人や、一度、園芸師の夢を諦めたような人が、ギルドを訪れたりして。ふたりのおかげで、素晴らしい効果がありましたね！			記事に惹かれて、園芸師を目指してみたいという人や、一度、園芸師の夢を諦めたような人が、ギルドを訪れたりして。ふたりのおかげで、素晴らしい効果がありましたね！			連載最終回「種は国境を越えて」							
それから、イシュガルドから書状が届いたのですよ。「貴重な御寄付を賜り、誠にありがとうございます」という……。……ただ、心当たりがないのですよね。			それから、イシュガルドから書状が届いたのですよ。「貴重な御寄付を賜り、誠にありがとうございます」という……。……ただ、心当たりがないのですよね。			連載最終回「種は国境を越えて」							
誰の仕業だと伝える？			誰の仕業だと伝える？			連載最終回「種は国境を越えて」							
どこかの篤志家			どこかの篤志家			連載最終回「種は国境を越えて」							
どこかの奇特な記者			どこかの奇特な記者			連載最終回「種は国境を越えて」							
篤志家だとしても、園芸師ギルドの名義にするなんて、変わった人もいたものですね……。ああ、引き止めてしまってすみません。			篤志家だとしても、園芸師ギルドの名義にするなんて、変わった人もいたものですね……。ああ、引き止めてしまってすみません。			連載最終回「種は国境を越えて」							
記者って……ははあ、なるほど。ふふふ、世の中には素直になれない人もいるものですね。ああ、引き止めてしまってすみません。			記者って……ははあ、なるほど。ふふふ、世の中には素直になれない人もいるものですね。ああ、引き止めてしまってすみません。			連載最終回「種は国境を越えて」							
ムジ・ミュリラーさんから預かった報酬です。園芸師として、とてつもない難題をこなしたあなたが、以前よりも輝いて見えますよ！			ムジ・ミュリラーさんから預かった報酬です。園芸師として、とてつもない難題をこなしたあなたが、以前よりも輝いて見えますよ！			連載最終回「種は国境を越えて」							
「園芸師」の物語が、ひとつの区切りを迎えました！次の「園芸師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「園芸師」の物語が、ひとつの区切りを迎えました！次の「園芸師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			連載最終回「種は国境を越えて」							
1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。			連載最終回「種は国境を越えて」							
条件を満たし、園芸師ギルドの「フフチャ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、園芸師ギルドの「フフチャ」に話しかけ、新たなクラスクエストを開始しましょう！			連載最終回「種は国境を越えて」							
グリーングラブ菜園のエドギスは、冒険者に頼みたいことがあるようだ。			グリーングラブ菜園のエドギスは、冒険者に頼みたいことがあるようだ。			求めるは野生種の恩恵							
エドギスから、フフチャの話を一緒に聞いてほしいと頼まれた。グリダニアのエーテライト・プラザ付近にいるエドギスと合流しよう。			エドギスから、フフチャの話を一緒に聞いてほしいと頼まれた。グリダニアのエーテライト・プラザ付近にいるエドギスと合流しよう。			求めるは野生種の恩恵							
エドギスと合流した。園芸師ギルドのフフチャと話そう。			エドギスと合流した。園芸師ギルドのフフチャと話そう。			求めるは野生種の恩恵							
フフチャと話した。彼女はポポトの品種改良を行い、イディルシャイアの特産品を作りだすことにした。冒険者には、そのために必要なワイルドポポトを採集してほしいという。ギラバニア辺境地帯のイーストエンド混交林にいる「エドギス」と合流しよう。			フフチャと話した。彼女はポポトの品種改良を行い、イディルシャイアの特産品を作りだすことにした。冒険者には、そのために必要なワイルドポポトを採集してほしいという。ギラバニア辺境地帯のイーストエンド混交林にいる「エドギス」と合流しよう。			求めるは野生種の恩恵							
エドギスと合流した。イーストエンド混交林の「エドギス」に「ワイルドポポト」を20個納品しよう。「ワイルドポポト」はギラバニア辺境地帯のイーストエンド混交林にある草刈場で草刈できる。			エドギスと合流した。イーストエンド混交林の「エドギス」に「ワイルドポポト」を20個納品しよう。「ワイルドポポト」はギラバニア辺境地帯のイーストエンド混交林にある草刈場で草刈できる。			求めるは野生種の恩恵							
エドギスにワイルドポポトを納品した。イディルシャイアのグリーングラブ菜園にいる「エドギス」と話そう。			エドギスにワイルドポポトを納品した。イディルシャイアのグリーングラブ菜園にいる「エドギス」と話そう。			求めるは野生種の恩恵							
エドギスと話して、種芋を植えつけた。彼女は冒険者の手際に感激し、冒険者のような園芸師になりたいと語った。植えつけたポポトの世話や交雑は、フフチャの指導を受けたエドギスがするそうなので、しばらくしたら様子を見に来よう。※園芸師のレベルが65以上になると、イディルシャイアのグリーングラブ菜園にいるエドギスから次の園芸師クエストを受注することができます。			エドギスと話して、種芋を植えつけた。彼女は冒険者の手際に感激し、冒険者のような園芸師になりたいと語った。植えつけたポポトの世話や交雑は、フフチャの指導を受けたエドギスがするそうなので、しばらくしたら様子を見に来よう。※園芸師のレベルが65以上になると、イディルシャイアのグリーングラブ菜園にいるエドギスから次の園芸師クエストを受注することができます。			求めるは野生種の恩恵							
グリダニアのエドギスと合流			グリダニアのエドギスと合流			求めるは野生種の恩恵							
園芸師ギルドのフフチャと話す			園芸師ギルドのフフチャと話す			求めるは野生種の恩恵							
イーストエンド混交林のエドギスと合流			イーストエンド混交林のエドギスと合流			求めるは野生種の恩恵							
ワイルドポポトを草刈エドギスにワイルドポポトを納品			ワイルドポポトを草刈エドギスにワイルドポポトを納品			求めるは野生種の恩恵							
イディルシャイアのエドギスと話す			イディルシャイアのエドギスと話す			求めるは野生種の恩恵							
冒険者さん、冒険者さん、お待ちしてました！ついにフフチャ様から、連絡がきたんですよ！ああ……フフチャ様……。			冒険者さん、冒険者さん、お待ちしてました！ついにフフチャ様から、連絡がきたんですよ！ああ……フフチャ様……。			求めるは野生種の恩恵							
……はっ！　ぼうっとしてる場合じゃありませんね！連絡によると、フフチャ様の調べ物に進展があったそうなので、話を聞くために、グリダニアへ行くところだったんです。			……はっ！　ぼうっとしてる場合じゃありませんね！連絡によると、フフチャ様の調べ物に進展があったそうなので、話を聞くために、グリダニアへ行くところだったんです。			求めるは野生種の恩恵							
そこで、冒険者さんにお願いが……。ウチ、グリダニアは初めてなので、街の中を案内してもらえませんか？			そこで、冒険者さんにお願いが……。ウチ、グリダニアは初めてなので、街の中を案内してもらえませんか？			求めるは野生種の恩恵							
ありがとうございます！それでは、「グリダニア」の、「エーテライト・プラザ」付近で合流しましょう！			ありがとうございます！それでは、「グリダニア」の、「エーテライト・プラザ」付近で合流しましょう！			求めるは野生種の恩恵							
……「エドギス」さんが、話を聞きに来るとのことですが、まだいらっしゃる気配はありませんね。どこかで迷っているのでしょうか？			……「エドギス」さんが、話を聞きに来るとのことですが、まだいらっしゃる気配はありませんね。どこかで迷っているのでしょうか？			求めるは野生種の恩恵							
ここがグリダニア！自然に満ち溢れた、園芸師の聖地！ああ、なんて素敵な街なんでしょう！			ここがグリダニア！自然に満ち溢れた、園芸師の聖地！ああ、なんて素敵な街なんでしょう！			求めるは野生種の恩恵							
さあ、冒険者さん、「園芸師ギルド」へ向かいましょう！たしか旧市街でしたよね！早く行きましょう！　すぐ行きましょう！			さあ、冒険者さん、「園芸師ギルド」へ向かいましょう！たしか旧市街でしたよね！早く行きましょう！　すぐ行きましょう！			求めるは野生種の恩恵							
