砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			砂の家のウリエンジェは、冒険者に「新たな蛮神」の話をしたいようだ。			新たな蛮神							
前回までの冒険録：「新たな蛮神」が顕現した兆候をうけ、冒険者とアリゼーは、カストルム・オクシデンスの地下にある「メテオの傷跡」へと侵入した。その深部で見つけたのは、傷つきながらも再生中と思われる、古の蛮神「バハムート」と、5年前の戦いで「バハムート」と相打ちになったはずのアリゼーの祖父「ルイゾワ」だった。アリゼーは蛮神「バハムート」の復活を阻止し、ルイゾワを救い出そうと決意する……。　　　　　　　　　　　　*　*　*ウリエンジェたちの推論によると、大迷宮の深層にある「拘束艦」をすべて停止させることができれば、蛮神「バハムート」を消滅させることができるらしい。黒衣森のダラガブの破片に侵攻するため、北部森林のフォールゴウドで待機しているアリゼーの配下、「アナエル中牙士」に話しかけよう。			前回までの冒険録：「新たな蛮神」が顕現した兆候をうけ、冒険者とアリゼーは、カストルム・オクシデンスの地下にある「メテオの傷跡」へと侵入した。その深部で見つけたのは、傷つきながらも再生中と思われる、古の蛮神「バハムート」と、5年前の戦いで「バハムート」と相打ちになったはずのアリゼーの祖父「ルイゾワ」だった。アリゼーは蛮神「バハムート」の復活を阻止し、ルイゾワを救い出そうと決意する……。　　　　　　　　　　　　*　*　*ウリエンジェたちの推論によると、大迷宮の深層にある「拘束艦」をすべて停止させることができれば、蛮神「バハムート」を消滅させることができるらしい。黒衣森のダラガブの破片に侵攻するため、北部森林のフォールゴウドで待機しているアリゼーの配下、「アナエル中牙士」に話しかけよう。			再び深き淵へ							
アナエル中牙士と話した。北部森林のアルダースプリングスにいる「眼光鋭い二等牙兵」からも話を聞こう。			アナエル中牙士と話した。北部森林のアルダースプリングスにいる「眼光鋭い二等牙兵」からも話を聞こう。			再び深き淵へ							
眼光鋭い二等牙兵によると、ダラガブの破片の手前まで道が拓かれているらしい。フォールゴウドに戻り、「アナエル中牙士」のもとでアリゼーと合流しよう。			眼光鋭い二等牙兵によると、ダラガブの破片の手前まで道が拓かれているらしい。フォールゴウドに戻り、「アナエル中牙士」のもとでアリゼーと合流しよう。			再び深き淵へ							
アナエル中牙士に報告をしていると、やってきたのはアルフィノだった。アルフィノは、アリゼーに自分自身の「戦う意味」を見出してほしいようだ。アリゼーのことを頼まれた冒険者。しっかりと準備を整えて、仲間と共に迷宮に挑もう。※コンテンツファインダーから攻略に参加できます。			アナエル中牙士に報告をしていると、やってきたのはアルフィノだった。アルフィノは、アリゼーに自分自身の「戦う意味」を見出してほしいようだ。アリゼーのことを頼まれた冒険者。しっかりと準備を整えて、仲間と共に迷宮に挑もう。※コンテンツファインダーから攻略に参加できます。			再び深き淵へ							
フォールゴウドのアナエル中牙士と話す			フォールゴウドのアナエル中牙士と話す			再び深き淵へ							
眼光鋭い二等牙兵と話す			眼光鋭い二等牙兵と話す			再び深き淵へ							
アナエル中牙士と話す			アナエル中牙士と話す			再び深き淵へ							
カルテノー平原の地下に広がる大迷宮……。古の蛮神眠りし地より、新たな真実がもたらされました。すべては、あなたの功績によるもの……。			カルテノー平原の地下に広がる大迷宮……。古の蛮神眠りし地より、新たな真実がもたらされました。すべては、あなたの功績によるもの……。			再び深き淵へ							
ですが、真実は新たな謎を呼び、探求者を深き淵へと誘っている……。今こそ「メテオの傷跡」に挑み、調査すべき刻……。			ですが、真実は新たな謎を呼び、探求者を深き淵へと誘っている……。今こそ「メテオの傷跡」に挑み、調査すべき刻……。			再び深き淵へ							
まもなく、アリゼー様がいらっしゃいます。再び世界の真理を求めて……探求の旅を、はじめましょう。			まもなく、アリゼー様がいらっしゃいます。再び世界の真理を求めて……探求の旅を、はじめましょう。			再び深き淵へ							
ごめんなさい、待たせたわね。			ごめんなさい、待たせたわね。			再び深き淵へ							
……Surname。引き続きの協力に感謝するわ。			……Surname。引き続きの協力に感謝するわ。			再び深き淵へ							
さっそくだけど、「メテオの傷跡」の……そう……「大迷宮バハムート」についての話をしましょう。わかっている事実と、今回の作戦についてね。			さっそくだけど、「メテオの傷跡」の……そう……「大迷宮バハムート」についての話をしましょう。わかっている事実と、今回の作戦についてね。			再び深き淵へ							
私たちは前回の調査で、新たな蛮神の反応を探るため、「メテオの傷跡」……すなわち月の衛星「ダラガブ」の落下跡へと侵入したわ。			私たちは前回の調査で、新たな蛮神の反応を探るため、「メテオの傷跡」……すなわち月の衛星「ダラガブ」の落下跡へと侵入したわ。			再び深き淵へ							
それは、地中に広がる巨大な迷宮……。その深層では、蛮神「バハムート」が傷つきながらも顕現しつづけていた。			それは、地中に広がる巨大な迷宮……。その深層では、蛮神「バハムート」が傷つきながらも顕現しつづけていた。			再び深き淵へ							
……それだけじゃない。私たちはそこで、5年前に奴と相打ちになったはずのルイゾワお祖父様の姿を見た……。			……それだけじゃない。私たちはそこで、5年前に奴と相打ちになったはずのルイゾワお祖父様の姿を見た……。			再び深き淵へ							
ダラガブは、古代アラグ文明の遺産……。そこで私は、学術研究機関「聖コイナク財団」に在籍する同志ラムブルース氏に、情報の提供を呼びかけました……。			ダラガブは、古代アラグ文明の遺産……。そこで私は、学術研究機関「聖コイナク財団」に在籍する同志ラムブルース氏に、情報の提供を呼びかけました……。			再び深き淵へ							
氏によれば……ダラガブとは「太陽の力」を集め、かのクリスタルタワーへ注ぐため、建造されたのだとか。			氏によれば……ダラガブとは「太陽の力」を集め、かのクリスタルタワーへ注ぐため、建造されたのだとか。			再び深き淵へ							
伝説の豪炎「メガフレア」を易々と操るほどの、蛮神「バハムート」の力……それを核として利用すべく、ダラガブの内へと封じたのだと推測されます……。			伝説の豪炎「メガフレア」を易々と操るほどの、蛮神「バハムート」の力……それを核として利用すべく、ダラガブの内へと封じたのだと推測されます……。			再び深き淵へ							
あなたは、最深部で見た光景を覚えてる？……再生中と思われる蛮神「バハムート」は、古代アラグ文明の巨大な装置に囲まれていた。			あなたは、最深部で見た光景を覚えてる？……再生中と思われる蛮神「バハムート」は、古代アラグ文明の巨大な装置に囲まれていた。			再び深き淵へ							
私たちは「聖コイナク財団」からの情報にそって、あの装置を、ラグナロク級「拘束艦」と呼称することにしたわ。			私たちは「聖コイナク財団」からの情報にそって、あの装置を、ラグナロク級「拘束艦」と呼称することにしたわ。			再び深き淵へ							
「拘束艦」の役目は、2つあると推論立てているの。……ひとつは、「太陽の力」を集積するための核として、蛮神「バハムート」を捕らえておくこと。			「拘束艦」の役目は、2つあると推論立てているの。……ひとつは、「太陽の力」を集積するための核として、蛮神「バハムート」を捕らえておくこと。			再び深き淵へ							
そして、もうひとつは……核である「バハムート」が消滅しないよう維持することよ。生かさず、殺さずってわけね。			そして、もうひとつは……核である「バハムート」が消滅しないよう維持することよ。生かさず、殺さずってわけね。			再び深き淵へ							
蛮神「バハムート」が封印されたのは、数千年の昔……。それが、今もなお顕現し続けられるのは……。			蛮神「バハムート」が封印されたのは、数千年の昔……。それが、今もなお顕現し続けられるのは……。			再び深き淵へ							
……そう、信者なき蛮神である「バハムート」を、何らかの方法で維持していたから。			……そう、信者なき蛮神である「バハムート」を、何らかの方法で維持していたから。			再び深き淵へ							
再生に使われている装置……おそらく、あれがその役目をしている。			再生に使われている装置……おそらく、あれがその役目をしている。			再び深き淵へ							
つまり、「拘束艦」をすべて停止させることができれば、蛮神「バハムート」は、消滅するはずよ。			つまり、「拘束艦」をすべて停止させることができれば、蛮神「バハムート」は、消滅するはずよ。			再び深き淵へ							
前回の侵入時に確認した、稼働中の「拘束艦」は3つ……。……うちひとつは、方角的に黒衣森へと落着した、ダラガブの残骸と通じているとみられます……。			前回の侵入時に確認した、稼働中の「拘束艦」は3つ……。……うちひとつは、方角的に黒衣森へと落着した、ダラガブの残骸と通じているとみられます……。			再び深き淵へ							
北部森林にあるダラガブの破片……追加調査の結果、ようやく侵入方法をみつけたの。今回は、そこから第二の「拘束艦」への侵攻を試みる。			北部森林にあるダラガブの破片……追加調査の結果、ようやく侵入方法をみつけたの。今回は、そこから第二の「拘束艦」への侵攻を試みる。			再び深き淵へ							
そのためには、エオルゼアの剣たるあなたに、もう一度、調査部隊の指揮を任せたいの。			そのためには、エオルゼアの剣たるあなたに、もう一度、調査部隊の指揮を任せたいの。			再び深き淵へ							
……もちろん、私も一緒に行くわよ。			……もちろん、私も一緒に行くわよ。			再び深き淵へ							
ダラガブの破片に近い「フォールゴウド」に、私の手の者を送り込んでいるわ。準備ができたら、そこで合流しましょう。			ダラガブの破片に近い「フォールゴウド」に、私の手の者を送り込んでいるわ。準備ができたら、そこで合流しましょう。			再び深き淵へ							
……すべての「拘束艦」を停止させて、必ず、お祖父様を救い出すのよ……。			……すべての「拘束艦」を停止させて、必ず、お祖父様を救い出すのよ……。			再び深き淵へ							
Surname様ですね。……お待ちしておりました。			Surname様ですね。……お待ちしておりました。			再び深き淵へ							
お静かに……私はアリゼー様の手の者。今は、双蛇党の一員として、この黒衣森での活動を補佐しております。			お静かに……私はアリゼー様の手の者。今は、双蛇党の一員として、この黒衣森での活動を補佐しております。			再び深き淵へ							
お嬢様からお聞きになっているでしょうが、今回の作戦で突入していただくのは、「アルダースプリングス」にあるダラガブの破片です。			お嬢様からお聞きになっているでしょうが、今回の作戦で突入していただくのは、「アルダースプリングス」にあるダラガブの破片です。			再び深き淵へ							
おそらく、内部はラノシアの破片と同様に、変異した凶暴な魔物が巣食っていると思われます。			おそらく、内部はラノシアの破片と同様に、変異した凶暴な魔物が巣食っていると思われます。			再び深き淵へ							
ここより南西、ダラガブの破片のそばに、我々の同志が待機しています。彼から詳しい状況を聞くと良いでしょう。			ここより南西、ダラガブの破片のそばに、我々の同志が待機しています。彼から詳しい状況を聞くと良いでしょう。			再び深き淵へ							
冒険者か……こんな場所に何の用だ？ここは、主を失ったゴーレムが彷徨う危険な地。用がないなら、早々に立ち去ることだな。			冒険者か……こんな場所に何の用だ？ここは、主を失ったゴーレムが彷徨う危険な地。用がないなら、早々に立ち去ることだな。			再び深き淵へ							
し、失礼いたしましたっ！あなたがSurname様ですね。お嬢様より、話は伺っております。			し、失礼いたしましたっ！あなたがSurname様ですね。お嬢様より、話は伺っております。			再び深き淵へ							
ご覧ください。この先が、今回調査していただくダラガブの破片……「大迷宮バハムート」の「第二突入口」となります。			ご覧ください。この先が、今回調査していただくダラガブの破片……「大迷宮バハムート」の「第二突入口」となります。			再び深き淵へ							
ここは、帝国の手もついていない場所。厄介な帝国軍の介入はございませんが、破片への道もまた、開拓されていない状態でした。			ここは、帝国の手もついていない場所。厄介な帝国軍の介入はございませんが、破片への道もまた、開拓されていない状態でした。			再び深き淵へ							
私たちが、何とか突入口までの道のりを切り拓きましたが、それも破片の手前まで……。……内部となると、完全に未知の領域です。			私たちが、何とか突入口までの道のりを切り拓きましたが、それも破片の手前まで……。……内部となると、完全に未知の領域です。			再び深き淵へ							
作戦目的となる「拘束艦の制御装置」は、迷宮の如き地下空間の、最深部にあると思われます。			作戦目的となる「拘束艦の制御装置」は、迷宮の如き地下空間の、最深部にあると思われます。			再び深き淵へ							
……私からご説明できるのは、これだけです。			……私からご説明できるのは、これだけです。			再び深き淵へ							
そろそろ、フォールゴウドにお嬢様が到着なさっているはず。アナエル中牙士のもとで合流なさるといいでしょう。			そろそろ、フォールゴウドにお嬢様が到着なさっているはず。アナエル中牙士のもとで合流なさるといいでしょう。			再び深き淵へ							
……侵攻作戦は困難なものになると予想されます。準備を万全に整えてください。そして、くれぐれもお気をつけて……。			……侵攻作戦は困難なものになると予想されます。準備を万全に整えてください。そして、くれぐれもお気をつけて……。			再び深き淵へ							
フォールゴウドへ戻り、アナエル中牙士のもとでアリゼー様と合流なさってください。侵攻作戦、くれぐれもお気をつけて……。			フォールゴウドへ戻り、アナエル中牙士のもとでアリゼー様と合流なさってください。侵攻作戦、くれぐれもお気をつけて……。			再び深き淵へ							
Surname様。ダラガブの破片は、ご覧になれましたか？			Surname様。ダラガブの破片は、ご覧になれましたか？			再び深き淵へ							
……突入口の確保ですら、我々は苦戦を強いられました。迷宮侵攻に伴う危険は、計り知れません。どうか、お気をつけて……。			……突入口の確保ですら、我々は苦戦を強いられました。迷宮侵攻に伴う危険は、計り知れません。どうか、お気をつけて……。			再び深き淵へ							
お嬢……いえ、ア、アルフィノ様！？ど、どうしてこちらに！？			お嬢……いえ、ア、アルフィノ様！？ど、どうしてこちらに！？			再び深き淵へ							
ウリエンジェから、新たな作戦が始まると聞いたのでね。彼女彼と、少し話をしにきたのさ。			ウリエンジェから、新たな作戦が始まると聞いたのでね。彼女彼と、少し話をしにきたのさ。			再び深き淵へ							
Surname……。君なら察しているかもしれないが、妹……アリゼーは、私以上に祖父を慕っていてね。			Surname……。君なら察しているかもしれないが、妹……アリゼーは、私以上に祖父を慕っていてね。			再び深き淵へ							
……それゆえ、祖父のことになると無理をする。今も代行者として、エオルゼアを守ろうとしているように。			……それゆえ、祖父のことになると無理をする。今も代行者として、エオルゼアを守ろうとしているように。			再び深き淵へ							
しかし、頑なな想いは、時に諸刃の剣と化す……。闇雲に祖父を追いかけているだけでは、彼女自身が「バハムート」に魅入られる可能性すらあろう。			しかし、頑なな想いは、時に諸刃の剣と化す……。闇雲に祖父を追いかけているだけでは、彼女自身が「バハムート」に魅入られる可能性すらあろう。			再び深き淵へ							
彼女には、戦う意味が必要なのさ。この世界のために、何を目指し、何を賭すのか……いずれ、そのための大きな「決断」を迫られる。			彼女には、戦う意味が必要なのさ。この世界のために、何を目指し、何を賭すのか……いずれ、そのための大きな「決断」を迫られる。			再び深き淵へ							
ルイゾワではない、アリゼーによる決断をね。……祖父はもう、いないのだから。			ルイゾワではない、アリゼーによる決断をね。……祖父はもう、いないのだから。			再び深き淵へ							
Surname。妹のことを、よろしく頼む。			Surname。妹のことを、よろしく頼む。			再び深き淵へ							
彼女が、戦う意味を見出すとしたら……きっとそれは、ほかならぬ君との冒険の中でだろう。……兄である私が、そうであったようにね。			彼女が、戦う意味を見出すとしたら……きっとそれは、ほかならぬ君との冒険の中でだろう。……兄である私が、そうであったようにね。			再び深き淵へ							
では、私は行くとしよう。作戦の無事を祈っているぞ！			では、私は行くとしよう。作戦の無事を祈っているぞ！			再び深き淵へ							
……ああ、君。私がここに来たことは、くれぐれもアリゼーに黙っておいてくれたまえよ。			……ああ、君。私がここに来たことは、くれぐれもアリゼーに黙っておいてくれたまえよ。			再び深き淵へ							
ま、間もなく、お嬢様も到着なさるはず……。Surname様。作戦成功の吉報をお待ちしております！			ま、間もなく、お嬢様も到着なさるはず……。Surname様。作戦成功の吉報をお待ちしております！			再び深き淵へ							
「大迷宮バハムート：侵攻編」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、アナエル中牙士に話しかけることで開始できます。			「大迷宮バハムート：侵攻編」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、アナエル中牙士に話しかけることで開始できます。			再び深き淵へ							
なお、「大迷宮バハムート：侵攻編」の詳しい開始条件は、アナエル中牙士から聞くことができます。			なお、「大迷宮バハムート：侵攻編」の詳しい開始条件は、アナエル中牙士から聞くことができます。			再び深き淵へ							
……景色が変わった。なるほど、これが本当の姿というわけ……。			……景色が変わった。なるほど、これが本当の姿というわけ……。			再び深き淵へ							
あれほど大きなダラガブの破片が大地を貫いているんですもの。傷の証である、偏属性クリスタルがない方が不自然だわ。			あれほど大きなダラガブの破片が大地を貫いているんですもの。傷の証である、偏属性クリスタルがない方が不自然だわ。			再び深き淵へ							
恐らく、この周辺に漂うあまりに濃いエーテルが、風景を歪めて見せていたのね。			恐らく、この周辺に漂うあまりに濃いエーテルが、風景を歪めて見せていたのね。			再び深き淵へ							
……やはり、平穏な作戦にはならないみたいよ。Surname、十分に気をつけて。			……やはり、平穏な作戦にはならないみたいよ。Surname、十分に気をつけて。			再び深き淵へ							
私たちは必ず最深部に到達し、蛮神「バハムート」を修復している拘束艦を止める。お祖父様を助けるためにも……必ず。			私たちは必ず最深部に到達し、蛮神「バハムート」を修復している拘束艦を止める。お祖父様を助けるためにも……必ず。			再び深き淵へ							
ひとまず、ふもとの方へ進みましょう。あそこに見えている亀裂から、破片の内部に入ることができそうだわ。			ひとまず、ふもとの方へ進みましょう。あそこに見えている亀裂から、破片の内部に入ることができそうだわ。			再び深き淵へ							
あれは……？あの「白銀の鎧」は、まさか……！			あれは……？あの「白銀の鎧」は、まさか……！			再び深き淵へ							
Surname、気をつけて！にわかには信じがたいけど……私の知る限り、あれを鎧う者はただひとりよ。			Surname、気をつけて！にわかには信じがたいけど……私の知る限り、あれを鎧う者はただひとりよ。			再び深き淵へ							
漆黒の王狼……ガイウス・ヴァン・バエサルと、権衡する力を持つといわれた、ガレマール帝国第VII軍団長……。			漆黒の王狼……ガイウス・ヴァン・バエサルと、権衡する力を持つといわれた、ガレマール帝国第VII軍団長……。			再び深き淵へ							
そして5年前、エオルゼア侵略のために、「メテオ計劃」を主導した人物……。			そして5年前、エオルゼア侵略のために、「メテオ計劃」を主導した人物……。			再び深き淵へ							
白銀の凶鳥……ネール・ヴァン・ダーナス！第七霊災の元凶よ！			白銀の凶鳥……ネール・ヴァン・ダーナス！第七霊災の元凶よ！			再び深き淵へ							
(-？？？？-)ネール……ヴァン……ダーナス…………。			(-？？？？-)ネール……ヴァン……ダーナス…………。			再び深き淵へ							
(-？？？？-)嗚呼……それは七度目の終焉の折、戦に敗れた弱者の名。我のふるき名は、この神域にいささか似合わぬ……。			(-？？？？-)嗚呼……それは七度目の終焉の折、戦に敗れた弱者の名。我のふるき名は、この神域にいささか似合わぬ……。			再び深き淵へ							
我は「彼の御方」の……偉大な「神」の忠実なる下僕……。ネール・デウス・ダーナスである。			我は「彼の御方」の……偉大な「神」の忠実なる下僕……。ネール・デウス・ダーナスである。			再び深き淵へ							
神……まさか、蛮神「バハムート」のこと……？奴は、バハムートのテンパードだというの！？			神……まさか、蛮神「バハムート」のこと……？奴は、バハムートのテンパードだというの！？			再び深き淵へ							
バハムート！　おお、バハムート！大いなる神の御名……！その衛士となった悦びに、我が身はうち震えて止まぬッ！			バハムート！　おお、バハムート！大いなる神の御名……！その衛士となった悦びに、我が身はうち震えて止まぬッ！			再び深き淵へ							
この地は御神と、その「愛し子ら」を抱くゆりかご。愚かなヒトよ、我のある限り神域は侵せぬと知れ。決して……決してだ…………。			この地は御神と、その「愛し子ら」を抱くゆりかご。愚かなヒトよ、我のある限り神域は侵せぬと知れ。決して……決してだ…………。			再び深き淵へ							
……なぜ、ネールがこんなところに。兄が言っていたわ、5年前にあなたが討ったと。……なぜ、ネールがこんなところに。兄の話によれば、第七霊災時に死亡したはず……。			……なぜ、ネールがこんなところに。兄が言っていたわ、5年前にあなたが討ったと。……なぜ、ネールがこんなところに。兄の話によれば、第七霊災時に死亡したはず……。			再び深き淵へ							
ともかく、油断せずに進みましょう。テンパードになっているなら、まともな対話は望めない。……厄介な相手が現れたわね。			ともかく、油断せずに進みましょう。テンパードになっているなら、まともな対話は望めない。……厄介な相手が現れたわね。			再び深き淵へ							
カストルム・オクシデンスの地下と似ている……。どうやら、かなり地中深くまで来たようね。			カストルム・オクシデンスの地下と似ている……。どうやら、かなり地中深くまで来たようね。			再び深き淵へ							
見て、あの筒状の装置。上の階層にあったのと同じものだわ。でも、こんな場所にまで……？			見て、あの筒状の装置。上の階層にあったのと同じものだわ。でも、こんな場所にまで……？			再び深き淵へ							
中はよく見えないけれど……あの中には「キメラ」が入っているのかもしれないわ。あなたが倒してきたような、ね。			中はよく見えないけれど……あの中には「キメラ」が入っているのかもしれないわ。あなたが倒してきたような、ね。			再び深き淵へ							
古代アラグ文明は、キメラの生成に長けていたと言うわ。……ゆえにダラガブ内には、無数の化物が巣喰っていた。蛮神「バハムート」の封印を外敵から守るためにね。			古代アラグ文明は、キメラの生成に長けていたと言うわ。……ゆえにダラガブ内には、無数の化物が巣喰っていた。蛮神「バハムート」の封印を外敵から守るためにね。			再び深き淵へ							
装置の中で生き続けるキメラ……。……ネールの言った「愛し子ら」とは、キメラのことなのかしら……。			装置の中で生き続けるキメラ……。……ネールの言った「愛し子ら」とは、キメラのことなのかしら……。			再び深き淵へ							
考えをまとめるのは、無事に帰還してからね。……今は先へ進みましょう。			考えをまとめるのは、無事に帰還してからね。……今は先へ進みましょう。			再び深き淵へ							
あ、あれは……ダラガブ！？そんな……ありえない！　この場所はいったい……！？			あ、あれは……ダラガブ！？そんな……ありえない！　この場所はいったい……！？			再び深き淵へ							
よもや忘れてはいまい……ここは墓場だ。その方に討たれた、ネール・ヴァン・ダーナスの墓場。ここは墓場だ……。かつて英雄に討たれた、ネール・ヴァン・ダーナスの墓場。			よもや忘れてはいまい……ここは墓場だ。その方に討たれた、ネール・ヴァン・ダーナスの墓場。ここは墓場だ……。かつて英雄に討たれた、ネール・ヴァン・ダーナスの墓場。			再び深き淵へ							
……我が計劃に呑まれた弱者の墓場。			……我が計劃に呑まれた弱者の墓場。			再び深き淵へ							
神域に踏み入りし、愚かな「けだもの」の墓場であるッ！			神域に踏み入りし、愚かな「けだもの」の墓場であるッ！			再び深き淵へ							
まずい……ッ！			まずい……ッ！			再び深き淵へ							
あの時、エーテルと散った我が身は、「彼の御方」の御手により、時世に新生を果たしたのだ。			あの時、エーテルと散った我が身は、「彼の御方」の御手により、時世に新生を果たしたのだ。			再び深き淵へ							
そして……神は、深淵で仰せになった。			そして……神は、深淵で仰せになった。			再び深き淵へ							
ヒトには敗北を！　ヒトには絶望を！あの終焉を、いまひとたび再演せよとッ！			ヒトには敗北を！　ヒトには絶望を！あの終焉を、いまひとたび再演せよとッ！			再び深き淵へ							
……まさか、蛮神「バハムート」の力を得たというの！？そんな……嘘でしょ……。			……まさか、蛮神「バハムート」の力を得たというの！？そんな……嘘でしょ……。			再び深き淵へ							
嗚呼……神よッ！このネールめに貴方様の役をくださるとは、恐悦至極！必ずや素晴らしき饗宴といたしましょう！			嗚呼……神よッ！このネールめに貴方様の役をくださるとは、恐悦至極！必ずや素晴らしき饗宴といたしましょう！			再び深き淵へ							
さあ……「けだもの」よ、牙を剥け！			さあ……「けだもの」よ、牙を剥け！			再び深き淵へ							
真の第七霊災の幕開けであるッ！			真の第七霊災の幕開けであるッ！			再び深き淵へ							
そうか……。……あなたは、とっくに「死んでいた」のね。			そうか……。……あなたは、とっくに「死んでいた」のね。			再び深き淵へ							
あなたは肉体を失い、エーテルとなった。でも、そのエーテルは何らかの理由でバハムートに囚われ、「エーテル体」として「生かされて」いた……。			あなたは肉体を失い、エーテルとなった。でも、そのエーテルは何らかの理由でバハムートに囚われ、「エーテル体」として「生かされて」いた……。			再び深き淵へ							
……でも、もう終わり。あなたの神は、あなたを見放したのよ。			……でも、もう終わり。あなたの神は、あなたを見放したのよ。			再び深き淵へ							
神だと……？違う……余が信ずるのは、己の力のみ……。ましてや、蛮神にすがるなど、余のすることか！			神だと……？違う……余が信ずるのは、己の力のみ……。ましてや、蛮神にすがるなど、余のすることか！			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)余は……ガレマール帝国第VII軍団長、ネール・ヴァン・ダーナスぞ……。			(-ネール・ヴァン・ダーナス-)余は……ガレマール帝国第VII軍団長、ネール・ヴァン・ダーナスぞ……。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)嗚呼……なるほど……。余は知らぬ間に魅入られていたのだな。ダラガブに封じられし、古の蛮神「バハムート」に……。			(-ネール・ヴァン・ダーナス-)嗚呼……なるほど……。余は知らぬ間に魅入られていたのだな。ダラガブに封じられし、古の蛮神「バハムート」に……。			再び深き淵へ							
あなた、まさか正気が！？蛮神「バハムート」の支配が解けたの……！？			あなた、まさか正気が！？蛮神「バハムート」の支配が解けたの……！？			再び深き淵へ							
そう……もうテンパードにしておく理由がないのね……。今度こそ、エーテル界へと還るから……。			そう……もうテンパードにしておく理由がないのね……。今度こそ、エーテル界へと還るから……。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)ふふ……皮肉ではないか。偉大なるアラグの遺産で、不浄な蛮神を滅さんとした余が、当の蛮神に利用されようとは……。			(-ネール・ヴァン・ダーナス-)ふふ……皮肉ではないか。偉大なるアラグの遺産で、不浄な蛮神を滅さんとした余が、当の蛮神に利用されようとは……。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)しかし、それがすべてだと思わぬことだ、小娘。メテオ計劃を進めたのは、まごうことなき余の意志である。			(-ネール・ヴァン・ダーナス-)しかし、それがすべてだと思わぬことだ、小娘。メテオ計劃を進めたのは、まごうことなき余の意志である。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)所詮は、余も俗物であったということか……。挙句に死まで奪われて……まこと滑稽な話よ……。			(-ネール・ヴァン・ダーナス-)所詮は、余も俗物であったということか……。挙句に死まで奪われて……まこと滑稽な話よ……。			再び深き淵へ							
……私たちは、第七霊災の真実を探しているの。答えて……あのときルイゾワお祖父様に……世界に何があったの？			……私たちは、第七霊災の真実を探しているの。答えて……あのときルイゾワお祖父様に……世界に何があったの？			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)ほう、賢人ルイゾワの孫娘であったか。ふふ……かように無情な宿命があろうとはな。			(-ネール・ヴァン・ダーナス-)ほう、賢人ルイゾワの孫娘であったか。ふふ……かように無情な宿命があろうとはな。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)小娘よ、知りたければ進め……。その方の欲する真実は、大迷宮の果てにある。だが、それは絶望へ至る道……真実こそが、残酷なのだ。			(-ネール・ヴァン・ダーナス-)小娘よ、知りたければ進め……。その方の欲する真実は、大迷宮の果てにある。だが、それは絶望へ至る道……真実こそが、残酷なのだ。			再び深き淵へ							
どういうこと……？蛮神「バハムート」の復活を阻止すればお祖父様も助かる……そうではないの！？			どういうこと……？蛮神「バハムート」の復活を阻止すればお祖父様も助かる……そうではないの！？			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)……覚悟せよ。志が挫ければ進むにあたわず、力なくば生きるにあたわず……先を拓くは、ただ、穢れなき強さのみ。			(-ネール・ヴァン・ダーナス-)……覚悟せよ。志が挫ければ進むにあたわず、力なくば生きるにあたわず……先を拓くは、ただ、穢れなき強さのみ。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)弱き者は悲嘆に暮れ、涙に濡れるほかあるまい。かつて……弱き少女であった余が、そうであったように……。			(-ネール・ヴァン・ダーナス-)弱き者は悲嘆に暮れ、涙に濡れるほかあるまい。かつて……弱き少女であった余が、そうであったように……。			再び深き淵へ							
(-？？？？-)……滅せよ、堕ちた凶鳥。まったくもって期待はずれよ。			(-？？？？-)……滅せよ、堕ちた凶鳥。まったくもって期待はずれよ。			再び深き淵へ							
(-ネール・ヴァン・ダーナス-)ああ……余の赤き月……余の力…………。なんて…………眩しい………………。			(-ネール・ヴァン・ダーナス-)ああ……余の赤き月……余の力…………。なんて…………眩しい………………。			再び深き淵へ							
ネールを消した者の、あの声……。……いいえ、まさかね。			ネールを消した者の、あの声……。……いいえ、まさかね。			再び深き淵へ							
……このまま拘束艦を止めに行きましょう。大丈夫……拘束艦をすべて止めれば、お祖父様を救えるわ。ええ、きっとよ……。			……このまま拘束艦を止めに行きましょう。大丈夫……拘束艦をすべて止めれば、お祖父様を救えるわ。ええ、きっとよ……。			再び深き淵へ							
思ったより、蛮神「バハムート」の再生が進んでる……。早く、この拘束艦を停止させましょう。			思ったより、蛮神「バハムート」の再生が進んでる……。早く、この拘束艦を停止させましょう。			再び深き淵へ							
この拘束艦の制御装置……。うん、様子は違うけど、仕組みはラノシアの拘束艦と同じね。……私が止めるわ。			この拘束艦の制御装置……。うん、様子は違うけど、仕組みはラノシアの拘束艦と同じね。……私が止めるわ。			再び深き淵へ							
