カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
ガーロンド・アイアンワークス社と連携して、調査についても、慎重に進めることにしよう。			ガーロンド・アイアンワークス社と連携して、調査についても、慎重に進めることにしよう。			魔導兵器は暴走する							
無人兵器の撃破に成功したようですね。「ルーツキルツ大甲士」に、報告をお願いします！			無人兵器の撃破に成功したようですね。「ルーツキルツ大甲士」に、報告をお願いします！			魔導兵器は暴走する							
カストルム・オリエンスのスウェスリク大牙将は、再び冒険者に頼みたいことがあるようだ。			カストルム・オリエンスのスウェスリク大牙将は、再び冒険者に頼みたいことがあるようだ。			鵜の目、鷹の目							
ドドグン闘軍曹と話す			ドドグン闘軍曹と話す			鵜の目、鷹の目							
双蛇党の兵卒を探し、敵が現れたら討伐			双蛇党の兵卒を探し、敵が現れたら討伐			鵜の目、鷹の目							
双蛇党の兵卒と話す			双蛇党の兵卒と話す			鵜の目、鷹の目							
スウェスリク大牙将と話す			スウェスリク大牙将と話す			鵜の目、鷹の目							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameか。ちょうどよい所に来てくれた。緊急で、君の手を借りたい。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameか。ちょうどよい所に来てくれた。緊急で、君の手を借りたい。			鵜の目、鷹の目							
さきほど、哨戒部隊から応援要請が入ったのだが、別件の任務に人手を取られ、すぐに動ける兵力がない。			さきほど、哨戒部隊から応援要請が入ったのだが、別件の任務に人手を取られ、すぐに動ける兵力がない。			鵜の目、鷹の目							
東の高台で、要請を出した「ドドグン闘軍曹」が待っている。急ぎ、向かってくれ。			東の高台で、要請を出した「ドドグン闘軍曹」が待っている。急ぎ、向かってくれ。			鵜の目、鷹の目							
東の高台で、要請を出した「ドドグン闘軍曹」が待っている。急ぎ、向かってくれ。			東の高台で、要請を出した「ドドグン闘軍曹」が待っている。急ぎ、向かってくれ。			鵜の目、鷹の目							
応援って、君のことだったのか。グレイテスト・モルボルの一件では、世話になったね。まあいいや、とりあえず状況の説明をするよ。			応援って、君のことだったのか。グレイテスト・モルボルの一件では、世話になったね。まあいいや、とりあえず状況の説明をするよ。			鵜の目、鷹の目							
少し前、ここからサトヤ・マガを監視していたら、解放軍とアナンタ族が、小競り合いをしているのが見えたんだ。同盟軍は、現地民同士の争いには関与しないのが前提だけど……。			少し前、ここからサトヤ・マガを監視していたら、解放軍とアナンタ族が、小競り合いをしているのが見えたんだ。同盟軍は、現地民同士の争いには関与しないのが前提だけど……。			鵜の目、鷹の目							
でも、あそこはカリヤナ・ニリヤとウィルラ・ニリヤを結ぶ裏道で、本来、人の往来がない場所だから、解放軍がいること自体おかしい。念のため、偵察に行かせた新兵も、戻ってこなくてね。			でも、あそこはカリヤナ・ニリヤとウィルラ・ニリヤを結ぶ裏道で、本来、人の往来がない場所だから、解放軍がいること自体おかしい。念のため、偵察に行かせた新兵も、戻ってこなくてね。			鵜の目、鷹の目							
君は「サトヤ・マガ」に行って、「双蛇党の兵卒」を探して。何かあったら、リンクパールで連絡するから。じゃあ、頼んだよ。			君は「サトヤ・マガ」に行って、「双蛇党の兵卒」を探して。何かあったら、リンクパールで連絡するから。じゃあ、頼んだよ。			鵜の目、鷹の目							
「サトヤ・マガ」に行って、「双蛇党の兵卒」を探してね。頼んだよ。			「サトヤ・マガ」に行って、「双蛇党の兵卒」を探してね。頼んだよ。			鵜の目、鷹の目							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			鵜の目、鷹の目							
た、助かりました。アナンタ族が怒り猛っていたため、説得も交渉も……会話すら、ろくにできませんでした。			た、助かりました。アナンタ族が怒り猛っていたため、説得も交渉も……会話すら、ろくにできませんでした。			鵜の目、鷹の目							
唯一理解できた内容は、そこで死んでいる解放軍の兵士が、奴らの砦から、クリスタルを盗み出したということだけです。蛮神召喚に使われるのを、防ぐためだったのでしょうか？			唯一理解できた内容は、そこで死んでいる解放軍の兵士が、奴らの砦から、クリスタルを盗み出したということだけです。蛮神召喚に使われるのを、防ぐためだったのでしょうか？			鵜の目、鷹の目							
(-ドドグン闘軍曹の声-)話はリンクパールを通じて聞いていた。まず、そいつらは正規の解放軍ではない可能性が高い。装備に統一性がないのは、多分、戦場で死体から盗んだものだから。			(-ドドグン闘軍曹の声-)話はリンクパールを通じて聞いていた。まず、そいつらは正規の解放軍ではない可能性が高い。装備に統一性がないのは、多分、戦場で死体から盗んだものだから。			鵜の目、鷹の目							
(-ドドグン闘軍曹の声-)戦後の混乱を狙った、野盗ってとこかな。確かに、クリスタルが目的のように偽装してるけど、見てみなよ……懐から宝飾品が、はみ出してるよ。			(-ドドグン闘軍曹の声-)戦後の混乱を狙った、野盗ってとこかな。確かに、クリスタルが目的のように偽装してるけど、見てみなよ……懐から宝飾品が、はみ出してるよ。			鵜の目、鷹の目							
そ、そんな遠くから、見えるのですか？			そ、そんな遠くから、見えるのですか？			鵜の目、鷹の目							
(-ドドグン闘軍曹の声-)視力がいいのは知ってるだろう？怪我がないのなら、お前はすぐに戻ってこい。「スウェスリク大牙将」への報告は、冒険者君に任せるよ。			(-ドドグン闘軍曹の声-)視力がいいのは知ってるだろう？怪我がないのなら、お前はすぐに戻ってこい。「スウェスリク大牙将」への報告は、冒険者君に任せるよ。			鵜の目、鷹の目							
私は、ひとりでも戻れます。冒険者殿、ありがとうございました。			私は、ひとりでも戻れます。冒険者殿、ありがとうございました。			鵜の目、鷹の目							
相変わらず、鮮やかな手並みだったね。ああいう輩がいなくならない限り、暇になることはないだろうなぁ。残念だけど、君に酒を奢るのは、また次の機会かな。			相変わらず、鮮やかな手並みだったね。ああいう輩がいなくならない限り、暇になることはないだろうなぁ。残念だけど、君に酒を奢るのは、また次の機会かな。			鵜の目、鷹の目							
戻ったようだな。報告を頼む、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。			戻ったようだな。報告を頼む、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。			鵜の目、鷹の目							
ふむ、ドドグン闘軍曹は、野盗の仕業だと思っているようだが、正規の解放軍闘士である可能性も、考慮するべきだろう。解放軍といっても、実態は、さまざまな組織の寄せ集めだ。			ふむ、ドドグン闘軍曹は、野盗の仕業だと思っているようだが、正規の解放軍闘士である可能性も、考慮するべきだろう。解放軍といっても、実態は、さまざまな組織の寄せ集めだ。			鵜の目、鷹の目							
ラールガーズリーチの駐留部隊は、士気も高く、共に戦った戦友でもあり、信用はおける。しかし、別組織の中には、野盗同然の者もいると聞く。			ラールガーズリーチの駐留部隊は、士気も高く、共に戦った戦友でもあり、信用はおける。しかし、別組織の中には、野盗同然の者もいると聞く。			鵜の目、鷹の目							
ラールガーズリーチに伝令を送り、死体の身元を調べさせよう。報告如何によっては、組織を見直さねばならんな。やれやれ……優秀な部下がいなければ、途方に暮れているところだ。			ラールガーズリーチに伝令を送り、死体の身元を調べさせよう。報告如何によっては、組織を見直さねばならんな。やれやれ……優秀な部下がいなければ、途方に暮れているところだ。			鵜の目、鷹の目							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。また、なにかあったら頼むぞ。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname。また、なにかあったら頼むぞ。			鵜の目、鷹の目							
カストルム・オリエンスのルシヌ准牙士は、再び冒険者に頼みたいことがあるようだ。			カストルム・オリエンスのルシヌ准牙士は、再び冒険者に頼みたいことがあるようだ。			流星の尾							
指定地点から土壌サンプルを入手			指定地点から土壌サンプルを入手			流星の尾							
指定地点から水質サンプルを入手			指定地点から水質サンプルを入手			流星の尾							
ルシヌ准牙士に土壌サンプルと水質サンプルを渡す			ルシヌ准牙士に土壌サンプルと水質サンプルを渡す			流星の尾							
あ、この前の冒険者さん。ちょうど、いいところに来てくれました。また、私のお願いを聞いていただけませんか？			あ、この前の冒険者さん。ちょうど、いいところに来てくれました。また、私のお願いを聞いていただけませんか？			流星の尾							
以前採ってきていただいたサンプルは、現在、分析を進めているところです。それとは別に、新たに調査を行いたい場所がありまして……。			以前採ってきていただいたサンプルは、現在、分析を進めているところです。それとは別に、新たに調査を行いたい場所がありまして……。			流星の尾							
ここから南東に、「流星の尾」と呼ばれる洞窟があります。壁や天井を、輝く鉱石が覆い尽くす窟内は大変美しく、まるで、星の瞬く夜空を閉じ込めたようだと、伝えられています。			ここから南東に、「流星の尾」と呼ばれる洞窟があります。壁や天井を、輝く鉱石が覆い尽くす窟内は大変美しく、まるで、星の瞬く夜空を閉じ込めたようだと、伝えられています。			流星の尾							
しかし、その内部が汚染されているという噂があるのです。その調査のため、「土壌サンプル」を3つと、「水質サンプル」を1つ、採ってきていただけませんか？			しかし、その内部が汚染されているという噂があるのです。その調査のため、「土壌サンプル」を3つと、「水質サンプル」を1つ、採ってきていただけませんか？			流星の尾							
ここから南東に、「流星の尾」と呼ばれる洞窟があります。調査のため、「土壌サンプル」を3つと、「水質サンプル」を1つ、採ってきていただけませんか。			ここから南東に、「流星の尾」と呼ばれる洞窟があります。調査のため、「土壌サンプル」を3つと、「水質サンプル」を1つ、採ってきていただけませんか。			流星の尾							
サンプルは、採ってきていただけましたか？			サンプルは、採ってきていただけましたか？			流星の尾							
ありがとうございます。これで、分析が進められます。			ありがとうございます。これで、分析が進められます。			流星の尾							
そういえば……あの洞窟には、次のような逸話があるんですよ。流星の尾は、第六霊災の際に人々を大洪水から救った、導きの星。壊神ラールガーが民を導くために放った、彗星の軌跡である……と。			そういえば……あの洞窟には、次のような逸話があるんですよ。流星の尾は、第六霊災の際に人々を大洪水から救った、導きの星。壊神ラールガーが民を導くために放った、彗星の軌跡である……と。			流星の尾							
神を奉る地として、アラミゴ人は内部に祭壇を設け、供物を捧げ、大切にしてきたそうです。しかし、帝国軍は祭壇を撤去し、立ち入り禁止を徹底しました。			神を奉る地として、アラミゴ人は内部に祭壇を設け、供物を捧げ、大切にしてきたそうです。しかし、帝国軍は祭壇を撤去し、立ち入り禁止を徹底しました。			流星の尾							
信仰が心の拠り所となることを、恐れたためでしょう。しかし、別の狙いがあるのではないか、と考える者もいました。内部で、兵器の実験が行われていた、という……噂です。			信仰が心の拠り所となることを、恐れたためでしょう。しかし、別の狙いがあるのではないか、と考える者もいました。内部で、兵器の実験が行われていた、という……噂です。			流星の尾							
この噂の真相を確かめ、必要とあらば汚染を取り除き、かつてのような素朴な信仰の場へと戻す……。そのためにも調査を進めたいと思います。			この噂の真相を確かめ、必要とあらば汚染を取り除き、かつてのような素朴な信仰の場へと戻す……。そのためにも調査を進めたいと思います。			流星の尾							
ありがとうございました……冒険者さん。度重なる協力に感謝します！			ありがとうございました……冒険者さん。度重なる協力に感謝します！			流星の尾							
カストルム・オリエンスの悲しげな女性は、冒険者の助けを必要としているようだ。			カストルム・オリエンスの悲しげな女性は、冒険者の助けを必要としているようだ。			戻るべき場所							
悲しげな女性と話す			悲しげな女性と話す			戻るべき場所							
悲しげな女性と再度話す			悲しげな女性と再度話す			戻るべき場所							
悲しげな女性とさらに話す			悲しげな女性とさらに話す			戻るべき場所							
悲しげな女性ともう一度話す			悲しげな女性ともう一度話す			戻るべき場所							
ラールガーズリーチの悲しげな女性と話す			ラールガーズリーチの悲しげな女性と話す			戻るべき場所							
あの、あなたは冒険者ですよね。すみませんが、私の護衛をお願いできませんか？			あの、あなたは冒険者ですよね。すみませんが、私の護衛をお願いできませんか？			戻るべき場所							
私はグリダニアから、解放軍に入った兄を捜してここまで来ました。許可を取らずに基地に入ってしまったため、そこの兵士の方に、今は身柄を拘束されているところで……。			私はグリダニアから、解放軍に入った兄を捜してここまで来ました。許可を取らずに基地に入ってしまったため、そこの兵士の方に、今は身柄を拘束されているところで……。			戻るべき場所							
拘束じゃなくて保護だと、何度言えばわかる。この辺りは、まだ安全じゃない。冒険者でもない女性を、ひとりで放り出すわけにはいかないんだ。			拘束じゃなくて保護だと、何度言えばわかる。この辺りは、まだ安全じゃない。冒険者でもない女性を、ひとりで放り出すわけにはいかないんだ。			戻るべき場所							
冒険者さんが護衛してくれるのでしたら、問題ありませんよね？			冒険者さんが護衛してくれるのでしたら、問題ありませんよね？			戻るべき場所							
……わかった、わかった。冒険者のアンタがいいっていうなら、引き留める理由はない。だが、気をつけて進めよ。			……わかった、わかった。冒険者のアンタがいいっていうなら、引き留める理由はない。だが、気をつけて進めよ。			戻るべき場所							
さて、話もついたので、さっそく参りましょうか。兄のいるラールガーズリーチは遠いので、まずは、南のベロジナ大橋を目指しましょう。			さて、話もついたので、さっそく参りましょうか。兄のいるラールガーズリーチは遠いので、まずは、南のベロジナ大橋を目指しましょう。			戻るべき場所							
あの女性……時々、どこか思い詰めたような顔をするんだ。それが心配で、しばらくここで引き留めていたんだが……。アンタがちゃんと守ってくれるなら、それでいい。			あの女性……時々、どこか思い詰めたような顔をするんだ。それが心配で、しばらくここで引き留めていたんだが……。アンタがちゃんと守ってくれるなら、それでいい。			戻るべき場所							
……だから、駄目だと言っているだろう。ひとりで行かせるわけには、いかないんだ。			……だから、駄目だと言っているだろう。ひとりで行かせるわけには、いかないんだ。			戻るべき場所							
あれは……帝国軍の……。そういえば、さっきの兵隊さんが言ってました。橋の上に基地を建てて、呼び方まで帝国風に変えてしまったって。			あれは……帝国軍の……。そういえば、さっきの兵隊さんが言ってました。橋の上に基地を建てて、呼び方まで帝国風に変えてしまったって。			戻るべき場所							
そうやって、少しずつ、アラミゴの人たちの心まで、変えていってしまうつもりなんでしょう。それが帝国のやりかたなんだって、兄も言っていました。			そうやって、少しずつ、アラミゴの人たちの心まで、変えていってしまうつもりなんでしょう。それが帝国のやりかたなんだって、兄も言っていました。			戻るべき場所							
まだ、先も長いことですし、そろそろ行きましょうか。次は、ここから北東にある迷悟橋を目指しましょう。			まだ、先も長いことですし、そろそろ行きましょうか。次は、ここから北東にある迷悟橋を目指しましょう。			戻るべき場所							
私と兄は、帝国の支配から逃れるため、グリダニアに移住した、アラミゴ人です。			私と兄は、帝国の支配から逃れるため、グリダニアに移住した、アラミゴ人です。			戻るべき場所							
ギラバニアで暮らしたのは、幼い頃のわずかな期間でしたから、未練はありません。あの村も、逃げる際に一度だけ立ち寄っただけで……。			ギラバニアで暮らしたのは、幼い頃のわずかな期間でしたから、未練はありません。あの村も、逃げる際に一度だけ立ち寄っただけで……。			戻るべき場所							
ですが、兄はアラミゴ解放軍の噂を聞くと、すぐに入隊を決めて、家を出てしまいました。			ですが、兄はアラミゴ解放軍の噂を聞くと、すぐに入隊を決めて、家を出てしまいました。			戻るべき場所							
祖国って、いったい何なのですか？生まれた国？それとも、育った国？			祖国って、いったい何なのですか？生まれた国？それとも、育った国？			戻るべき場所							
どう答える？			どう答える？			戻るべき場所							
生まれた国が祖国			生まれた国が祖国			戻るべき場所							
育った国が祖国			育った国が祖国			戻るべき場所							
両方とも祖国			両方とも祖国			戻るべき場所							
兄と同じ考えなんですね。私は、そうは思えなかったけど……。			兄と同じ考えなんですね。私は、そうは思えなかったけど……。			戻るべき場所							
私も、そう思います。でも兄にとっては、違ったんですね……。			私も、そう思います。でも兄にとっては、違ったんですね……。			戻るべき場所							
……そう言われたのは、初めてです。あなたのような考え方をする人も、いるんですね。			……そう言われたのは、初めてです。あなたのような考え方をする人も、いるんですね。			戻るべき場所							
正解なんて、人それぞれなのかもしれませんね。兄妹である私たちですら、感じ方も、その想いも違ったんですから。			正解なんて、人それぞれなのかもしれませんね。兄妹である私たちですら、感じ方も、その想いも違ったんですから。			戻るべき場所							
次は、東にあるというラールガー星導教の寺院、「スキズム開山堂」の方角を目指しましょう。			次は、東にあるというラールガー星導教の寺院、「スキズム開山堂」の方角を目指しましょう。			戻るべき場所							
ここは……何度か両親に連れてこられたことがあるので、少しだけ覚えています。			ここは……何度か両親に連れてこられたことがあるので、少しだけ覚えています。			戻るべき場所							
兄は戦いのあと、この場所でひとり祈ることで心を落ち着け、自分自身を見つめ直していたと、手紙に書いてありました。きっと、大事な場所だったんでしょう。			兄は戦いのあと、この場所でひとり祈ることで心を落ち着け、自分自身を見つめ直していたと、手紙に書いてありました。きっと、大事な場所だったんでしょう。			戻るべき場所							
あなたにも、心が落ち着く場所はありますか？			あなたにも、心が落ち着く場所はありますか？			戻るべき場所							
どう答える？			どう答える？			戻るべき場所							
ある			ある			戻るべき場所							
ない			ない			戻るべき場所							
答えない			答えない			戻るべき場所							
それは、あなたの帰るべき場所ですか？それとも、帰りを待ってくれている人がいる場所？			それは、あなたの帰るべき場所ですか？それとも、帰りを待ってくれている人がいる場所？			戻るべき場所							
あなたには、帰る場所はないのですか？帰りを待ってくれている人も……。			あなたには、帰る場所はないのですか？帰りを待ってくれている人も……。			戻るべき場所							
……すみません、変な質問をしてしまって。			……すみません、変な質問をしてしまって。			戻るべき場所							
私には、待ってくれている人がいます。そして、ふたりがいるからこそ、そこは大切な場所で……。			私には、待ってくれている人がいます。そして、ふたりがいるからこそ、そこは大切な場所で……。			戻るべき場所							
いえ……感傷もここまでにして、「ミラージュクリーク」沿いの街道へと向かいましょう。ラールガーズリーチは、そのすぐ先です。			いえ……感傷もここまでにして、「ミラージュクリーク」沿いの街道へと向かいましょう。ラールガーズリーチは、そのすぐ先です。			戻るべき場所							
この先が、ラールガーズリーチ……。兄がいた場所。			この先が、ラールガーズリーチ……。兄がいた場所。			戻るべき場所							
すみません、最後にもう一カ所だけ。ラールガーズリーチの北西にある「代価の墓地」へ……。			すみません、最後にもう一カ所だけ。ラールガーズリーチの北西にある「代価の墓地」へ……。			戻るべき場所							
ここが兄の眠る、お墓のようです……。死亡通知が届けられた後、ここに来ることを決心するまでに、ずいぶん長い時間が経ってしまいました。			ここが兄の眠る、お墓のようです……。死亡通知が届けられた後、ここに来ることを決心するまでに、ずいぶん長い時間が経ってしまいました。			戻るべき場所							
兄の死を受け入れる心の準備は、できていたつもりでしたが、今はただ、悲しくて……。			兄の死を受け入れる心の準備は、できていたつもりでしたが、今はただ、悲しくて……。			戻るべき場所							
私にとって、アラミゴは過去の場所です。移住した後、私は結婚して、男の子も生まれました。今までも、これからも……私が生きる場所はグリダニアなんです。			私にとって、アラミゴは過去の場所です。移住した後、私は結婚して、男の子も生まれました。今までも、これからも……私が生きる場所はグリダニアなんです。			戻るべき場所							
私と兄では、何が違ったんでしょうか。祖国への想いでしょうか？でも私にとって、祖国はここではなかった……。			私と兄では、何が違ったんでしょうか。祖国への想いでしょうか？でも私にとって、祖国はここではなかった……。			戻るべき場所							
私はもう少しだけ、兄が命を捧げた、このアラミゴの地を、歩いて回ってみたいと思います。冒険者さん、ありがとうございました。			私はもう少しだけ、兄が命を捧げた、このアラミゴの地を、歩いて回ってみたいと思います。冒険者さん、ありがとうございました。			戻るべき場所							
カストルム・オリエンスのカカライ闘曹長は、冒険者に頼みたいことがあるようだ。			カストルム・オリエンスのカカライ闘曹長は、冒険者に頼みたいことがあるようだ。			戦下に咲く花							
アサラに愛の手紙を渡す			アサラに愛の手紙を渡す			戦下に咲く花							
カカライ闘曹長にストックの花を渡す			カカライ闘曹長にストックの花を渡す			戦下に咲く花							
冒険者の方ですよね。私の話を聞いてもらえませんか？軍や任務とは無関係なため、仲間には話しづらくて……。			冒険者の方ですよね。私の話を聞いてもらえませんか？軍や任務とは無関係なため、仲間には話しづらくて……。			戦下に咲く花							
私は、帝国との戦いの中、運命の出会いをしました。彼女はアラミゴ解放軍の闘士で、今は橋を越えた向こう岸の野営地にいるそうです。			私は、帝国との戦いの中、運命の出会いをしました。彼女はアラミゴ解放軍の闘士で、今は橋を越えた向こう岸の野営地にいるそうです。			戦下に咲く花							
私も彼女も、いつまた前線にかり出され、命を落とすかわかりません。だから今、どうしても想いを伝えたいんです。			私も彼女も、いつまた前線にかり出され、命を落とすかわかりません。だから今、どうしても想いを伝えたいんです。			戦下に咲く花							
この「愛の手紙」を、ヴィルジャラの涸れ谷の野営地にいる彼女……「アサラ」に届けていただけますか？			この「愛の手紙」を、ヴィルジャラの涸れ谷の野営地にいる彼女……「アサラ」に届けていただけますか？			戦下に咲く花							
この「愛の手紙」を、ヴィルジャラの涸れ谷の野営地にいる彼女……「アサラ」に届けていただけますか？			この「愛の手紙」を、ヴィルジャラの涸れ谷の野営地にいる彼女……「アサラ」に届けていただけますか？			戦下に咲く花							
あら、何か用ですか？			あら、何か用ですか？			戦下に咲く花							
この手紙……あのときの剣士様からですか？ああ、信じられない……。			この手紙……あのときの剣士様からですか？ああ、信じられない……。			戦下に咲く花							
聞いてくださいますか？私とあの人の、運命とも呼べる出会いを……。			聞いてくださいますか？私とあの人の、運命とも呼べる出会いを……。			戦下に咲く花							
どうする？			どうする？			戦下に咲く花							
適当に聞き流す			適当に聞き流す			戦下に咲く花							
我慢して聞く			我慢して聞く			戦下に咲く花							
あのときの私は、戦場で怯えているだけの、小さな存在でした。帝国軍に強襲され、部隊は壊滅し、生き残ったのは私だけ……。鈍く輝く剣を構えた帝国兵が目の前に迫り、私は思ったのです。			あのときの私は、戦場で怯えているだけの、小さな存在でした。帝国軍に強襲され、部隊は壊滅し、生き残ったのは私だけ……。鈍く輝く剣を構えた帝国兵が目の前に迫り、私は思ったのです。			戦下に咲く花							
ただ、生きたい……と。幻術士として、私が直接手を下したことはありません。しかし間接的に、より卑怯な方法で、私は帝国兵を殺してきました。			ただ、生きたい……と。幻術士として、私が直接手を下したことはありません。しかし間接的に、より卑怯な方法で、私は帝国兵を殺してきました。			戦下に咲く花							
天秤に乗せられた生と死は、等しく振り分けられるもの。ついに、私の順番が来ただけのこと……。ですが私は、死にたくないと、心から思いました。			天秤に乗せられた生と死は、等しく振り分けられるもの。ついに、私の順番が来ただけのこと……。ですが私は、死にたくないと、心から思いました。			戦下に咲く花							
無慈悲な刃が振り下ろされそうになった、その時……。彼が颯爽と現れ、帝国兵の剣を防ぎ、返す剣で斬り伏せたのです。返り血を拭うことすらせず、彼は次の敵へと向かっていきました。			無慈悲な刃が振り下ろされそうになった、その時……。彼が颯爽と現れ、帝国兵の剣を防ぎ、返す剣で斬り伏せたのです。返り血を拭うことすらせず、彼は次の敵へと向かっていきました。			戦下に咲く花							
私は彼の後ろから、回復魔法を唱え続けることしかできず、その背中を、ずっと見つめておりました。			私は彼の後ろから、回復魔法を唱え続けることしかできず、その背中を、ずっと見つめておりました。			戦下に咲く花							
やがて……戦場に静寂が訪れました。存在する音は、二人の呼吸の音と、鎧のこすれる金属音だけ。ほんの一瞬のはずが、永遠にも感じられる、そんな時間でした。			やがて……戦場に静寂が訪れました。存在する音は、二人の呼吸の音と、鎧のこすれる金属音だけ。ほんの一瞬のはずが、永遠にも感じられる、そんな時間でした。			戦下に咲く花							
そして彼は一度だけ振り返り、再び戦いへと戻っていったのです。それはたった一瞬の出来事……でも、視線が絡みあった瞬間に、私は恋に落ちました。			そして彼は一度だけ振り返り、再び戦いへと戻っていったのです。それはたった一瞬の出来事……でも、視線が絡みあった瞬間に、私は恋に落ちました。			戦下に咲く花							
あの方が、生きていてくださった。それだけじゃなく、こんな心のこもった手紙を私に……。			あの方が、生きていてくださった。それだけじゃなく、こんな心のこもった手紙を私に……。			戦下に咲く花							
20年前の戦争で両親を失った後、私はただ帝国を憎み、解放軍へと入りました。それからは、幸せなど望んではいけないと、そう考えていました。			20年前の戦争で両親を失った後、私はただ帝国を憎み、解放軍へと入りました。それからは、幸せなど望んではいけないと、そう考えていました。			戦下に咲く花							
ですが、復讐だけの人生は終わりにします。あの方に、この「ストックの花」を渡してください。……これが、私の偽りない気持ちです。			ですが、復讐だけの人生は終わりにします。あの方に、この「ストックの花」を渡してください。……これが、私の偽りない気持ちです。			戦下に咲く花							
あの方に、「ストックの花」を渡してください。			あの方に、「ストックの花」を渡してください。			戦下に咲く花							
愛の手紙を、彼女に渡していただけましたか？			愛の手紙を、彼女に渡していただけましたか？			戦下に咲く花							
え？　彼女がこの花を、私に……。			え？　彼女がこの花を、私に……。			戦下に咲く花							
ストックの花の、花言葉を知っていますか。永遠の絆……です。			ストックの花の、花言葉を知っていますか。永遠の絆……です。			戦下に咲く花							
彼女に会ったら、ひとつだけ訂正しなければなりませんね。恥ずかしい話ですが、聞いてもらえますか？			彼女に会ったら、ひとつだけ訂正しなければなりませんね。恥ずかしい話ですが、聞いてもらえますか？			戦下に咲く花							
どうする？			どうする？			戦下に咲く花							
適当に聞き流す			適当に聞き流す			戦下に咲く花							
我慢して聞く			我慢して聞く			戦下に咲く花							
私はあのとき、部隊を壊滅させた無人兵器から逃げていたんです。助けようと割って入ったのではなく、無我夢中だっただけ……。目の前に現れた敵兵を、とっさに斬り伏せられたのは幸運でした。			私はあのとき、部隊を壊滅させた無人兵器から逃げていたんです。助けようと割って入ったのではなく、無我夢中だっただけ……。目の前に現れた敵兵を、とっさに斬り伏せられたのは幸運でした。			戦下に咲く花							
しかし、視線の先には、さらに数人の敵兵の姿……。敵意の感じられない無人兵器から逃げ続けるのにも、生きるのにも疲れ切っていた私は、敵に突っ込みました。			しかし、視線の先には、さらに数人の敵兵の姿……。敵意の感じられない無人兵器から逃げ続けるのにも、生きるのにも疲れ切っていた私は、敵に突っ込みました。			戦下に咲く花							
何度も死に至るような傷を受けながら、同時に私は、背後からの癒しの風を感じていました。やがて、すべての敵を打ち倒した後、私は振り返って……。			何度も死に至るような傷を受けながら、同時に私は、背後からの癒しの風を感じていました。やがて、すべての敵を打ち倒した後、私は振り返って……。			戦下に咲く花							
そこに、女神の姿を見ました。エーテルの光をまとった姿はあまりに神々しく、私は一瞬で恋に落ちたのです！			そこに、女神の姿を見ました。エーテルの光をまとった姿はあまりに神々しく、私は一瞬で恋に落ちたのです！			戦下に咲く花							
しかし、敵の無人兵器が、まだ私を追っています。絶対に、彼女を死なせてはならない……。その思いで、私は再び走り出しました。			しかし、敵の無人兵器が、まだ私を追っています。絶対に、彼女を死なせてはならない……。その思いで、私は再び走り出しました。			戦下に咲く花							
その先で、敵兵器を破壊した応援部隊に拾われ、私は九死に一生を得たのです。			その先で、敵兵器を破壊した応援部隊に拾われ、私は九死に一生を得たのです。			戦下に咲く花							
私が彼女を助けたんじゃなく、私が彼女に助けられたんです。だから、この花のお返しは、自分の手で渡しに行きます。次の給金で、誓いの指輪を買ってから……。			私が彼女を助けたんじゃなく、私が彼女に助けられたんです。だから、この花のお返しは、自分の手で渡しに行きます。次の給金で、誓いの指輪を買ってから……。			戦下に咲く花							
ありがとうございました、冒険者さん。			ありがとうございました、冒険者さん。			戦下に咲く花							
カストルム・オリエンスのスウェスリク大牙将は、実戦経験の豊富な冒険者を探しているようだ。			カストルム・オリエンスのスウェスリク大牙将は、実戦経験の豊富な冒険者を探しているようだ。			冒険者に学べ							
トレーサー・アントリオンを討伐			トレーサー・アントリオンを討伐			冒険者に学べ							
双蛇党の新兵と話す			双蛇党の新兵と話す			冒険者に学べ							
スウェスリク大牙将と話す			スウェスリク大牙将と話す			冒険者に学べ							
[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameか。君は、経験、実力ともに冒険者部隊でも指折りの存在だ。			[GC Rank]Surname[GC Rank]Surname[GC Rank]Surnameか。君は、経験、実力ともに冒険者部隊でも指折りの存在だ。			冒険者に学べ							
我々は、森での戦い方は熟知しているが、ギラバニアのような、開けた土地での実戦経験は浅い。			我々は、森での戦い方は熟知しているが、ギラバニアのような、開けた土地での実戦経験は浅い。			冒険者に学べ							
付近の魔物は存外に手強く、最前線に配置されたばかりの、新兵たちの手には余るようだ。そこで君の実力を見込んで頼みたい。			付近の魔物は存外に手強く、最前線に配置されたばかりの、新兵たちの手には余るようだ。そこで君の実力を見込んで頼みたい。			冒険者に学べ							
