リサーチA4のジャミングウェイは、考えごとをしているようだ。			リサーチA4のジャミングウェイは、考えごとをしているようだ。			希望と夢をカートに詰めて							
(-N-7000-)ガガガ……通信機との接続を確認。毛むくじゃら有機生命体3名の接近を検知したため、経緯を聴取、カフェの顧客にもレースの件を共有済みです。			(-N-7000-)ガガガ……通信機との接続を確認。毛むくじゃら有機生命体3名の接近を検知したため、経緯を聴取、カフェの顧客にもレースの件を共有済みです。			希望と夢をカートに詰めて							
おお、それは助かりますデス！オイラの仲間へのウェルカムドリンクは、ぜひ「特製キャロットジュース」を振る舞ってあげてください！			おお、それは助かりますデス！オイラの仲間へのウェルカムドリンクは、ぜひ「特製キャロットジュース」を振る舞ってあげてください！			希望と夢をカートに詰めて							
それからレースの件デスけど、Forename殿のおかげで目途が立ちました！			それからレースの件デスけど、Forename殿のおかげで目途が立ちました！			希望と夢をカートに詰めて							
(-N-7000-)ガガガ……承知し……			(-N-7000-)ガガガ……承知し……			希望と夢をカートに詰めて							
あれ……通信が途切れちゃいました？おーい、もしもーし？			あれ……通信が途切れちゃいました？おーい、もしもーし？			希望と夢をカートに詰めて							
(-N-7000-)ガガガ……カフェ運営戦線に異状を確認。対応を優先するため通信を切断。			(-N-7000-)ガガガ……カフェ運営戦線に異状を確認。対応を優先するため通信を切断。			希望と夢をカートに詰めて							
えっ、ちょっと！こらーっ、一方的に切断するな、このポンコツ！			えっ、ちょっと！こらーっ、一方的に切断するな、このポンコツ！			希望と夢をカートに詰めて							
……完全に通信を切られちゃいました。何か問題でも起きたのでしょうか？			……完全に通信を切られちゃいました。何か問題でも起きたのでしょうか？			希望と夢をカートに詰めて							
スワルナの大蔵のジャミングウェイは、心配そうにしている。			スワルナの大蔵のジャミングウェイは、心配そうにしている。			宇宙の果てで最高のレースを！							
ジャミングウェイと話した。先にカフェ「ラストレムナント」の様子を確認しに戻ることになった。ウルティマ・トゥーレのカフェ「ラストレムナント」で「N-7000」と話そう。			ジャミングウェイと話した。先にカフェ「ラストレムナント」の様子を確認しに戻ることになった。ウルティマ・トゥーレのカフェ「ラストレムナント」で「N-7000」と話そう。			宇宙の果てで最高のレースを！							
N-7000たちと話した。ウルティマ・トゥーレのオミクロンベースで「インベンティングウェイ」と話そう。			N-7000たちと話した。ウルティマ・トゥーレのオミクロンベースで「インベンティングウェイ」と話そう。			宇宙の果てで最高のレースを！							
インベンティングウェイと話し、レースへ参加することになった。ウルティマ・トゥーレのリサーチA4で「N-7000」と話そう。			インベンティングウェイと話し、レースへ参加することになった。ウルティマ・トゥーレのリサーチA4で「N-7000」と話そう。			宇宙の果てで最高のレースを！							
N-7000たちと話した。ウルティマ・トゥーレの「魔導船ラグナロク」へ向かい、「指定地点」で待機しよう。			N-7000たちと話した。ウルティマ・トゥーレの「魔導船ラグナロク」へ向かい、「指定地点」で待機しよう。			宇宙の果てで最高のレースを！							
指定地点で待機してレースに挑み、優勝をつかみ取った。カフェ「ラストレムナント」で「ジャミングウェイ」と話そう。			指定地点で待機してレースに挑み、優勝をつかみ取った。カフェ「ラストレムナント」で「ジャミングウェイ」と話そう。			宇宙の果てで最高のレースを！							
ジャミングウェイたちと話し、優勝トロフィーを受け取った。そして、ドリーミングウェイの計らいで、カフェ「ラストレムナント」とスワルナの大蔵にラジオの受信機が贈られた。いつかまた、みんなでレースを開催するのを楽しみにしておこう。			ジャミングウェイたちと話し、優勝トロフィーを受け取った。そして、ドリーミングウェイの計らいで、カフェ「ラストレムナント」とスワルナの大蔵にラジオの受信機が贈られた。いつかまた、みんなでレースを開催するのを楽しみにしておこう。			宇宙の果てで最高のレースを！							
カフェ「ラストレムナント」でN-7000と話す			カフェ「ラストレムナント」でN-7000と話す			宇宙の果てで最高のレースを！							
インベンティングウェイと話す			インベンティングウェイと話す			宇宙の果てで最高のレースを！							
N-7000と話す			N-7000と話す			宇宙の果てで最高のレースを！							
指定地点で待機			指定地点で待機			宇宙の果てで最高のレースを！							
ジャミングウェイと話す			ジャミングウェイと話す			宇宙の果てで最高のレースを！							
あっ、Forenameさん！トルナさんの説得、きっと大丈夫だろうと思って、さっそくこっちに来ちゃいました～っ！			あっ、Forenameさん！トルナさんの説得、きっと大丈夫だろうと思って、さっそくこっちに来ちゃいました～っ！			宇宙の果てで最高のレースを！							
トーキングウェイとインベンティングウェイも来てるけど、今はあちこち見学しにいってて……ほかの仲間が合流したら、みんなで設営がんばりますねぇ～！			トーキングウェイとインベンティングウェイも来てるけど、今はあちこち見学しにいってて……ほかの仲間が合流したら、みんなで設営がんばりますねぇ～！			宇宙の果てで最高のレースを！							
やれやれ、降参だ、降参！マルルゥとガーサに、仕事の調整を相談してみるよ。			やれやれ、降参だ、降参！マルルゥとガーサに、仕事の調整を相談してみるよ。			宇宙の果てで最高のレースを！							
トルナと走る、楽しみ。説得、ありがとう。			トルナと走る、楽しみ。説得、ありがとう。			宇宙の果てで最高のレースを！							
要するに、島の外でレースをするってことだろ？面白そうだし、私も護衛としてついていこうかなぁ……。			要するに、島の外でレースをするってことだろ？面白そうだし、私も護衛としてついていこうかなぁ……。			宇宙の果てで最高のレースを！							
N-7000の通信が切れちゃいましたけど、どうしたんでしょう？こっちから連絡しても、反応ないデスし……。			N-7000の通信が切れちゃいましたけど、どうしたんでしょう？こっちから連絡しても、反応ないデスし……。			宇宙の果てで最高のレースを！							
この期に及んでトラブルなんてことはないと思いたいデスが、念のため、先にカフェへ戻って様子を見てもらえませんか？			この期に及んでトラブルなんてことはないと思いたいデスが、念のため、先にカフェへ戻って様子を見てもらえませんか？			宇宙の果てで最高のレースを！							
オイラはトルナ殿たちの準備が整ったら、ウルティマ・トゥーレまでご案内しますので……！向こうへ着いたら、「N-7000」に話を聞いてみてほしいデス！			オイラはトルナ殿たちの準備が整ったら、ウルティマ・トゥーレまでご案内しますので……！向こうへ着いたら、「N-7000」に話を聞いてみてほしいデス！			宇宙の果てで最高のレースを！							
トルナ殿たちの準備ができたら、ウルティマ・トゥーレまで、魔導船でご案内します！アナタは先に戻って、「N-7000」に話を聞いてみてほしいデス！			トルナ殿たちの準備ができたら、ウルティマ・トゥーレまで、魔導船でご案内します！アナタは先に戻って、「N-7000」に話を聞いてみてほしいデス！			宇宙の果てで最高のレースを！							
ガガガ……同盟者の帰還を確認。ジャミングウェイの姿が見えないようですが……？			ガガガ……同盟者の帰還を確認。ジャミングウェイの姿が見えないようですが……？			宇宙の果てで最高のレースを！							
なるほど、状況は理解しました。ドリーミングウェイたちにはオーダーどおり、特製キャロットジュースを提供済みです。			なるほど、状況は理解しました。ドリーミングウェイたちにはオーダーどおり、特製キャロットジュースを提供済みです。			宇宙の果てで最高のレースを！							
えへへ、ご馳走になっちゃいました～っ！			えへへ、ご馳走になっちゃいました～っ！			宇宙の果てで最高のレースを！							
ガガガ……同盟者もお気づきかと思いますが、現在カフェ「ラストレムナント」は、開店休業中。再現体の顧客たちは、不在となっています。			ガガガ……同盟者もお気づきかと思いますが、現在カフェ「ラストレムナント」は、開店休業中。再現体の顧客たちは、不在となっています。			宇宙の果てで最高のレースを！							
というのも……			というのも……			宇宙の果てで最高のレースを！							
はいはーい、目的地に到着！ここがオイラたちのカフェ「ラストレムナント」デスよ！			はいはーい、目的地に到着！ここがオイラたちのカフェ「ラストレムナント」デスよ！			宇宙の果てで最高のレースを！							
ああ、Forename！新型エーテライトを使って酷い目に遭ったりしたけどよ、無事におまえと合流できて、ホッとしたぜ。			ああ、Forename！新型エーテライトを使って酷い目に遭ったりしたけどよ、無事におまえと合流できて、ホッとしたぜ。			宇宙の果てで最高のレースを！							
やい、ポンコツ！オイラとの通信を一方的に切断したうえに、カフェにお客さんがいないって、どういうことデスか！？			やい、ポンコツ！オイラとの通信を一方的に切断したうえに、カフェにお客さんがいないって、どういうことデスか！？			宇宙の果てで最高のレースを！							
ガガガ……毛むくじゃら有機生命体の表面温度上昇を検知。速やかな冷却水の摂取を推奨します。			ガガガ……毛むくじゃら有機生命体の表面温度上昇を検知。速やかな冷却水の摂取を推奨します。			宇宙の果てで最高のレースを！							
顧客たちにレースの説明をしたところ、参加を望む声が多発……一時的にカフェを離れ、各自で準備を進めているところです。			顧客たちにレースの説明をしたところ、参加を望む声が多発……一時的にカフェを離れ、各自で準備を進めているところです。			宇宙の果てで最高のレースを！							
カレルアンたちは、かつて使用していた乗り物をサルベージし、再現するよう、スティグマ・フォーに要請。世界連邦兵と自由連盟兵が手を組み、試運転に向かいました。			カレルアンたちは、かつて使用していた乗り物をサルベージし、再現するよう、スティグマ・フォーに要請。世界連邦兵と自由連盟兵が手を組み、試運転に向かいました。			宇宙の果てで最高のレースを！							
グレビュオフもまたレースに興味を示し、参加を希望……。以前よりミゥ・ミーシュの中で泳ぎたかった、などと発言のうえ、イーアに協力を求め、ともにエリュシオンへ行っている模様。			グレビュオフもまたレースに興味を示し、参加を希望……。以前よりミゥ・ミーシュの中で泳ぎたかった、などと発言のうえ、イーアに協力を求め、ともにエリュシオンへ行っている模様。			宇宙の果てで最高のレースを！							
以上のやり取りを聞いていたドラゴン族までもが、参加を表明。エリュシオンの霊峰に刺激を受け、宙域を飛んで回りたいと考えていたようです。			以上のやり取りを聞いていたドラゴン族までもが、参加を表明。エリュシオンの霊峰に刺激を受け、宙域を飛んで回りたいと考えていたようです。			宇宙の果てで最高のレースを！							
なぁーんだ、そういうことなのデスか……。思っていたよりもオオゴトになってますけど、それはそれとして、楽しむことに積極的なのは良い傾向デス！			なぁーんだ、そういうことなのデスか……。思っていたよりもオオゴトになってますけど、それはそれとして、楽しむことに積極的なのは良い傾向デス！			宇宙の果てで最高のレースを！							
我がアルファトロン文明も、走行性能の高い機体で参戦予定。レースをさらに盛り上げるため、妨害用砲台の設置も検討中です。			我がアルファトロン文明も、走行性能の高い機体で参戦予定。レースをさらに盛り上げるため、妨害用砲台の設置も検討中です。			宇宙の果てで最高のレースを！							
砲……台……？			砲……台……？			宇宙の果てで最高のレースを！							
オデ、砲撃、避ける！レース楽しみ、負けない！			オデ、砲撃、避ける！レース楽しみ、負けない！			宇宙の果てで最高のレースを！							
アジムステップのバルダム覇道も相当だけど、ここはもっとヤバそうだなぁ……。			アジムステップのバルダム覇道も相当だけど、ここはもっとヤバそうだなぁ……。			宇宙の果てで最高のレースを！							
ガガガ……なお、ニビラーンにも参加を提案しましたが、明確な承諾を得ることはできていません。ですが、参加希望者の様子を見に行っているようです。			ガガガ……なお、ニビラーンにも参加を提案しましたが、明確な承諾を得ることはできていません。ですが、参加希望者の様子を見に行っているようです。			宇宙の果てで最高のレースを！							
ふむふむ……。それじゃあ、ニビラーンの参加も期待しつつ、ひとまずオイラたちは、レースの準備をすすめますか。			ふむふむ……。それじゃあ、ニビラーンの参加も期待しつつ、ひとまずオイラたちは、レースの準備をすすめますか。			宇宙の果てで最高のレースを！							
ガガガ……同盟者に伝言を預かっています。来訪者である「インベンティングウェイ」が、話をしたいとのことです。			ガガガ……同盟者に伝言を預かっています。来訪者である「インベンティングウェイ」が、話をしたいとのことです。			宇宙の果てで最高のレースを！							
当該の毛むくじゃら有機生命体は、オミクロンベースを見学中。現地で合流することを推奨します。			当該の毛むくじゃら有機生命体は、オミクロンベースを見学中。現地で合流することを推奨します。			宇宙の果てで最高のレースを！							
当機はスティグマ・フォーと連携して準備を進めるため、リサーチA4へ戻ることにします。			当機はスティグマ・フォーと連携して準備を進めるため、リサーチA4へ戻ることにします。			宇宙の果てで最高のレースを！							
「インベンティングウェイ」の話ってなんでしょうね？オミクロンベースにいるようなので、お話ししてみてください。			「インベンティングウェイ」の話ってなんでしょうね？オミクロンベースにいるようなので、お話ししてみてください。			宇宙の果てで最高のレースを！							
オイラはトルナ殿たちのもてなしを……ウェルカムドリンクは、何がいいデスかね？チャイに必要な素材は……むむむ！			オイラはトルナ殿たちのもてなしを……ウェルカムドリンクは、何がいいデスかね？チャイに必要な素材は……むむむ！			宇宙の果てで最高のレースを！							
こんなところに食事処があるなんて、驚きだぜ。マルルゥが喜びそうだし、何か持って帰るか。			こんなところに食事処があるなんて、驚きだぜ。マルルゥが喜びそうだし、何か持って帰るか。			宇宙の果てで最高のレースを！							
レースまで、飯食う！			レースまで、飯食う！			宇宙の果てで最高のレースを！							
ばあちゃんが「他部族を知るにはまず食から」って言ってたし、ラカシールへの土産話に料理を食べてみたいけど……宇宙スパイスって、何だ……？			ばあちゃんが「他部族を知るにはまず食から」って言ってたし、ラカシールへの土産話に料理を食べてみたいけど……宇宙スパイスって、何だ……？			宇宙の果てで最高のレースを！							
レースを楽しく盛り上げられるように、ぼくたちもラジオの放送、がんばりますねぇ～！			レースを楽しく盛り上げられるように、ぼくたちもラジオの放送、がんばりますねぇ～！			宇宙の果てで最高のレースを！							
お、来たか！なぁ、カフェの客連中がレースに参加するって話は、お前さんも聞いてるよな？			お、来たか！なぁ、カフェの客連中がレースに参加するって話は、お前さんも聞いてるよな？			宇宙の果てで最高のレースを！							
つまり、このレースは見て楽しむものから、種族の名誉をかけた、壮大な戦いの場となったわけだ！			つまり、このレースは見て楽しむものから、種族の名誉をかけた、壮大な戦いの場となったわけだ！			宇宙の果てで最高のレースを！							
それなら、アルカソーダラの連中も出場するとはいえ、アーテリスの人類代表としてお前さんも出るべきじゃないか！？			それなら、アルカソーダラの連中も出場するとはいえ、アーテリスの人類代表としてお前さんも出るべきじゃないか！？			宇宙の果てで最高のレースを！							
幸い、物資運搬用に持ってきたムーンホッパーがここにある。オレっちがお前さんを全力でサポートするから、一緒に優勝を目指そうぜ！			幸い、物資運搬用に持ってきたムーンホッパーがここにある。オレっちがお前さんを全力でサポートするから、一緒に優勝を目指そうぜ！			宇宙の果てで最高のレースを！							
何と言う？			何と言う？			宇宙の果てで最高のレースを！							
出場したいと思ってた！			出場したいと思ってた！			宇宙の果てで最高のレースを！							
勝てるかなあ……？			勝てるかなあ……？			宇宙の果てで最高のレースを！							
よっしゃあ、いい返事だっ！ナーッハッハッハ！！			よっしゃあ、いい返事だっ！ナーッハッハッハ！！			宇宙の果てで最高のレースを！							
勝てるかな、じゃねぇ！オレっちがお前さんを絶対に勝たせてみせる！			勝てるかな、じゃねぇ！オレっちがお前さんを絶対に勝たせてみせる！			宇宙の果てで最高のレースを！							
このムーンホッパーは、オレっちが改良しておいたから、いつもの「ホップステップ！」は特別仕様だし、「ブーストシステム」もついてる！			このムーンホッパーは、オレっちが改良しておいたから、いつもの「ホップステップ！」は特別仕様だし、「ブーストシステム」もついてる！			宇宙の果てで最高のレースを！							
ただ、どっちもそれなりにエネルギーを食うから、使いどころはちゃんと見極めてくれよな！			ただ、どっちもそれなりにエネルギーを食うから、使いどころはちゃんと見極めてくれよな！			宇宙の果てで最高のレースを！							
そんなわけで、オレっちはこいつの最終調整を進めておく！「N-7000」にレースへの参加申請をしておいてくれ！			そんなわけで、オレっちはこいつの最終調整を進めておく！「N-7000」にレースへの参加申請をしておいてくれ！			宇宙の果てで最高のレースを！							
こいつのメンテナンスはオレっちに任せとけ！お前さんは「N-7000」に出場するって伝えておいてくれ！			こいつのメンテナンスはオレっちに任せとけ！お前さんは「N-7000」に出場するって伝えておいてくれ！			宇宙の果てで最高のレースを！							
あ、インベンティングウェイとのお話、終わったんデスね！			あ、インベンティングウェイとのお話、終わったんデスね！			宇宙の果てで最高のレースを！							
このトンデモレースで、どうやって勝つか悩ましいな……。			このトンデモレースで、どうやって勝つか悩ましいな……。			宇宙の果てで最高のレースを！							
腹ごしらえ、済んだ！あとは、レース、勝つだけ！			腹ごしらえ、済んだ！あとは、レース、勝つだけ！			宇宙の果てで最高のレースを！							
前にレースのスターターをやったことを話したら、ジャミングウェイから一緒にやらないかって言われてさ！ちょっと手伝うことにしたんだ～！			前にレースのスターターをやったことを話したら、ジャミングウェイから一緒にやらないかって言われてさ！ちょっと手伝うことにしたんだ～！			宇宙の果てで最高のレースを！							
ガガガ……レースの準備は順調に進行。毛むくじゃら有機生命体から提供された機材の配置を検討中……。同盟者は、インベンティングウェイと合流できましたか？			ガガガ……レースの準備は順調に進行。毛むくじゃら有機生命体から提供された機材の配置を検討中……。同盟者は、インベンティングウェイと合流できましたか？			宇宙の果てで最高のレースを！							
えーっ！？レポリットお手製のムーンホッパーに乗って、アナタも出場してくれるだなんて……すっごく嬉しいデス！			えーっ！？レポリットお手製のムーンホッパーに乗って、アナタも出場してくれるだなんて……すっごく嬉しいデス！			宇宙の果てで最高のレースを！							
ガガガ……同盟者の参加申請を受理。他参加者とともに、コース説明の聴取を推奨します。			ガガガ……同盟者の参加申請を受理。他参加者とともに、コース説明の聴取を推奨します。			宇宙の果てで最高のレースを！							
それでは、当宙域の地形データ上に、配備予定のレース用戦略物資を仮想展開……。出力した映像をご覧ください。			それでは、当宙域の地形データ上に、配備予定のレース用戦略物資を仮想展開……。出力した映像をご覧ください。			宇宙の果てで最高のレースを！							
本レースの開始地点は、オストラコン・デカオクト……「魔導船ラグナロク」前を想定。			本レースの開始地点は、オストラコン・デカオクト……「魔導船ラグナロク」前を想定。			宇宙の果てで最高のレースを！							
ジャミングウェイとオグルの合図でレースを開始後、リア・ターラ上空を抜けてオストラコン・トゥリアへ。通過ポイントとなるリングをくぐりながら進んでください。			ジャミングウェイとオグルの合図でレースを開始後、リア・ターラ上空を抜けてオストラコン・トゥリアへ。通過ポイントとなるリングをくぐりながら進んでください。			宇宙の果てで最高のレースを！							
えっ、上空を抜けてって言ってたけど、トルナとアチャラのヒッポカート、飛べたっけ……？			えっ、上空を抜けてって言ってたけど、トルナとアチャラのヒッポカート、飛べたっけ……？			宇宙の果てで最高のレースを！							
ウルティマ・トゥーレは「想いだけが真実となる宙域」デス！おふたりが望めば、飛ぶことだってできちゃいますよ！			ウルティマ・トゥーレは「想いだけが真実となる宙域」デス！おふたりが望めば、飛ぶことだってできちゃいますよ！			宇宙の果てで最高のレースを！							
おいおい、マジか。とんでもねぇとこに来ちまったな。			おいおい、マジか。とんでもねぇとこに来ちまったな。			宇宙の果てで最高のレースを！							
ガガガ……オストラコン・トゥリア西域からイーアの里までを、アルファトロン文明の砲台による妨害ゾーンと設定。参加者は砲撃をかいくぐり、南東へ進行……。			ガガガ……オストラコン・トゥリア西域からイーアの里までを、アルファトロン文明の砲台による妨害ゾーンと設定。参加者は砲撃をかいくぐり、南東へ進行……。			宇宙の果てで最高のレースを！							
さっきも言ってたけどよ、砲撃って冗談じゃないのな！？アタイのシャオリリヤが怪我しちまったらどうすんだよ。			さっきも言ってたけどよ、砲撃って冗談じゃないのな！？アタイのシャオリリヤが怪我しちまったらどうすんだよ。			宇宙の果てで最高のレースを！							
四足つるぴか有機生命体に配慮し、殺傷能力を有さない砲台の生産をスティグマ・フォーに要請中。被弾対象をコースからそらす程度の妨害工作を想定しています。			四足つるぴか有機生命体に配慮し、殺傷能力を有さない砲台の生産をスティグマ・フォーに要請中。被弾対象をコースからそらす程度の妨害工作を想定しています。			宇宙の果てで最高のレースを！							
ガガガ……オストラコン・デカークシ到達後、オミクロンベースを通過……。			ガガガ……オストラコン・デカークシ到達後、オミクロンベースを通過……。			宇宙の果てで最高のレースを！							
オストラコン・エーナのカフェ「ラストレムナント」が、本レースのゴール地点となります。			オストラコン・エーナのカフェ「ラストレムナント」が、本レースのゴール地点となります。			宇宙の果てで最高のレースを！							
カフェがゴール、わかった！オデ、ぶっちぎりで、駆け込んでやる！			カフェがゴール、わかった！オデ、ぶっちぎりで、駆け込んでやる！			宇宙の果てで最高のレースを！							
ガガガ……コースの説明を終了。なお、レース中にはあらゆる機器、魔法、技能の使用を認め、妨害行為も許容とします。			ガガガ……コースの説明を終了。なお、レース中にはあらゆる機器、魔法、技能の使用を認め、妨害行為も許容とします。			宇宙の果てで最高のレースを！							
お、それなら虹色粉を投げて、シャオリリヤの機嫌をとって加速させるのも問題ねぇな。			お、それなら虹色粉を投げて、シャオリリヤの機嫌をとって加速させるのも問題ねぇな。			宇宙の果てで最高のレースを！							
トルナ、ずるい。オデも投げる！			トルナ、ずるい。オデも投げる！			宇宙の果てで最高のレースを！							
おいおい、おまえのヒッポは虹色が好きってわけじゃないだろ。あれは、シャオリリヤだからこそ効果があるんだぜ？			おいおい、おまえのヒッポは虹色が好きってわけじゃないだろ。あれは、シャオリリヤだからこそ効果があるんだぜ？			宇宙の果てで最高のレースを！							
オイラはN-7000とレースの打ち合わせをしたら、オグル殿と一緒にスタート地点へ向かう予定デス。			オイラはN-7000とレースの打ち合わせをしたら、オグル殿と一緒にスタート地点へ向かう予定デス。			宇宙の果てで最高のレースを！							
そのときに、ムーンホッパーも運んでおきます！Forename殿は準備ができたら、その身ひとつで「魔導船ラグナロク」前まで来てくださいデス！			そのときに、ムーンホッパーも運んでおきます！Forename殿は準備ができたら、その身ひとつで「魔導船ラグナロク」前まで来てくださいデス！			宇宙の果てで最高のレースを！							
ムーンホッパーを運んで、オイラもあとから向かうので、「魔導船ラグナロク」前で落ち合いましょう！			ムーンホッパーを運んで、オイラもあとから向かうので、「魔導船ラグナロク」前で落ち合いましょう！			宇宙の果てで最高のレースを！							
だから、おまえは自分のヒッポが好きなもので、機嫌をとってやりゃあいいんだっての。			だから、おまえは自分のヒッポが好きなもので、機嫌をとってやりゃあいいんだっての。			宇宙の果てで最高のレースを！							
ズルい、虹色粉、オデも投げる！オデ、ハデな色、好き！			ズルい、虹色粉、オデも投げる！オデ、ハデな色、好き！			宇宙の果てで最高のレースを！							
Forename、またあとでなー！			Forename、またあとでなー！			宇宙の果てで最高のレースを！							
これより物語が大きく進展するため、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			これより物語が大きく進展するため、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			宇宙の果てで最高のレースを！							
ここで待機してレースをはじめますか？			ここで待機してレースをはじめますか？			宇宙の果てで最高のレースを！							
ハロー、ハロー……みなさん、聞こえていますでしょうか？			ハロー、ハロー……みなさん、聞こえていますでしょうか？			宇宙の果てで最高のレースを！							
今回は宇宙の果てで行われるレースの様子を、ドリーミングウェイと一緒にお届けしようと思います。			今回は宇宙の果てで行われるレースの様子を、ドリーミングウェイと一緒にお届けしようと思います。			宇宙の果てで最高のレースを！							
よろしくねぇ～！			よろしくねぇ～！			宇宙の果てで最高のレースを！							
レースの開始地点は、「魔導船ラグナロク」前……。宙域内に配置されたリングをすべて通過して、ゴールのカフェ「ラストレムナント」を目指していきます！			レースの開始地点は、「魔導船ラグナロク」前……。宙域内に配置されたリングをすべて通過して、ゴールのカフェ「ラストレムナント」を目指していきます！			宇宙の果てで最高のレースを！							
どんなレースになるか、楽しみだねぇ～！それじゃあさっそく宇宙各地から集まったレーサーたちと、ご自慢のマシンを紹介するよぉ～！			どんなレースになるか、楽しみだねぇ～！それじゃあさっそく宇宙各地から集まったレーサーたちと、ご自慢のマシンを紹介するよぉ～！			宇宙の果てで最高のレースを！							
まずは、サベネア島のスピードクイーン！ヒッポライダーズのトルナがヒッポカートで登場だぁ～！			まずは、サベネア島のスピードクイーン！ヒッポライダーズのトルナがヒッポカートで登場だぁ～！			宇宙の果てで最高のレースを！							
これに対抗するはガジャースラ族の暴れん坊、アチャラ！大舞台でのリベンジなるかぁ～！？			これに対抗するはガジャースラ族の暴れん坊、アチャラ！大舞台でのリベンジなるかぁ～！？			宇宙の果てで最高のレースを！							
続いて登場、カレルアン！最終戦争で戦ったふたりが、まさかの統一チームで参戦だぁ～！マシンはピースキーパー、平和的に走ってねぇ～！			続いて登場、カレルアン！最終戦争で戦ったふたりが、まさかの統一チームで参戦だぁ～！マシンはピースキーパー、平和的に走ってねぇ～！			宇宙の果てで最高のレースを！							
お次は新星「エリュシオン」生まれのミゥ・ミーシュ！グレビュオフも、かわいいねぇ～！			お次は新星「エリュシオン」生まれのミゥ・ミーシュ！グレビュオフも、かわいいねぇ～！			宇宙の果てで最高のレースを！							
アルファトロン文明からの出走は、走行性能がウリのラムダクラス……！			アルファトロン文明からの出走は、走行性能がウリのラムダクラス……！			宇宙の果てで最高のレースを！							
注目株は威風堂々、ドラゴン族！参加してくれて、ありがとぉ～！			注目株は威風堂々、ドラゴン族！参加してくれて、ありがとぉ～！			宇宙の果てで最高のレースを！							
そして、ムーンホッパーで参戦するのは、希望の光、Forename！がんばってぇ～！			そして、ムーンホッパーで参戦するのは、希望の光、Forename！がんばってぇ～！			宇宙の果てで最高のレースを！							
おやおや、こちらのニビラーンさんは、乗り物が見えないようだけど……？			おやおや、こちらのニビラーンさんは、乗り物が見えないようだけど……？			宇宙の果てで最高のレースを！							
よかった、アナタも来てくれたんデスね！			よかった、アナタも来てくれたんデスね！			宇宙の果てで最高のレースを！							
ところで、乗り物は何を……？			ところで、乗り物は何を……？			宇宙の果てで最高のレースを！							
当個体に騎乗物は不要だ。この体を、走行に適した形態にするまでのこと。			当個体に騎乗物は不要だ。この体を、走行に適した形態にするまでのこと。			宇宙の果てで最高のレースを！							
おいおい、また妙なのが増えやがったぞ！こちとら動力は普通の動物だってのに、このレースおかしいだろ。			おいおい、また妙なのが増えやがったぞ！こちとら動力は普通の動物だってのに、このレースおかしいだろ。			宇宙の果てで最高のレースを！							
まぁまぁ、さっきも説明したとおり、ここは「想いだけが真実となる宙域」……！ヒッポのやる気が満ちていれば、むしろ有利デスよ！			まぁまぁ、さっきも説明したとおり、ここは「想いだけが真実となる宙域」……！ヒッポのやる気が満ちていれば、むしろ有利デスよ！			宇宙の果てで最高のレースを！							
あー、難しいことはよくわからねぇけど、「虹色粉」の加速が跳ね上がるかも、ってことか……？			あー、難しいことはよくわからねぇけど、「虹色粉」の加速が跳ね上がるかも、ってことか……？			宇宙の果てで最高のレースを！							
さて、そろそろレースを始めるぞ！みんな、準備はいいかーーっ！？			さて、そろそろレースを始めるぞ！みんな、準備はいいかーーっ！？			宇宙の果てで最高のレースを！							
スタート地点の準備が整ったようです！このレース、いったい誰が優勝するのでしょうか！？			スタート地点の準備が整ったようです！このレース、いったい誰が優勝するのでしょうか！？			宇宙の果てで最高のレースを！							
(-ジャミングウェイとオグル-)レディ～……			(-ジャミングウェイとオグル-)レディ～……			宇宙の果てで最高のレースを！							
(-ジャミングウェイとオグル-)ゴ～～～～ッ！			(-ジャミングウェイとオグル-)ゴ～～～～ッ！			宇宙の果てで最高のレースを！							
ジャミングウェイたちの合図で、レースがスタートしました！飛び出したラーラーが、先頭を軽やかに跳ねていきます！			ジャミングウェイたちの合図で、レースがスタートしました！飛び出したラーラーが、先頭を軽やかに跳ねていきます！			宇宙の果てで最高のレースを！							
わぁ～っ！ミゥ・ミーシュの雷撃で、ラムダが止まっちゃったよ！			わぁ～っ！ミゥ・ミーシュの雷撃で、ラムダが止まっちゃったよ！			宇宙の果てで最高のレースを！							
最初の脱落者を出しながらも、レースは次のエリアへ……！この先は、砲撃による妨害もあるそうです！			最初の脱落者を出しながらも、レースは次のエリアへ……！この先は、砲撃による妨害もあるそうです！			宇宙の果てで最高のレースを！							
ここで、ピースキーパーが果敢にも飛び出しました！「この程度の対空砲火は、最終戦争で経験済みだ！」と、カレルアンチームの方々が啖呵を切っています。			ここで、ピースキーパーが果敢にも飛び出しました！「この程度の対空砲火は、最終戦争で経験済みだ！」と、カレルアンチームの方々が啖呵を切っています。			宇宙の果てで最高のレースを！							
ピースキーパーに砲撃がヒット～ッ！吹き飛ばされて、コースから大きく外れちゃったけど、カレルアンのおふたり、大丈夫かなぁ～？			ピースキーパーに砲撃がヒット～ッ！吹き飛ばされて、コースから大きく外れちゃったけど、カレルアンのおふたり、大丈夫かなぁ～？			宇宙の果てで最高のレースを！							
