ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			獣医師ベスリク							
いい感じです！このまま「ヴォレクドルフ」まで向かいましょう！			いい感じです！このまま「ヴォレクドルフ」まで向かいましょう！			生きるべき場所							
ここが……ここが……ヴォレクドルフ！まるでアマロの楽園！素晴らしい、素晴らしいッ！！！			ここが……ここが……ヴォレクドルフ！まるでアマロの楽園！素晴らしい、素晴らしいッ！！！			生きるべき場所							
おや？ラグ……ラグ＝ラグじゃないか！ヒトの里に向かうと言って出ていったのに、もう戻って来たのかい？			おや？ラグ……ラグ＝ラグじゃないか！ヒトの里に向かうと言って出ていったのに、もう戻って来たのかい？			生きるべき場所							
………………。			………………。			生きるべき場所							
ラグ＝ラグ？それが、スキップのこの場所での呼び名なのですね！ということは、ヴォレクドルフこそ、この子が過ごした場所……！			ラグ＝ラグ？それが、スキップのこの場所での呼び名なのですね！ということは、ヴォレクドルフこそ、この子が過ごした場所……！			生きるべき場所							
……なぜ、喋らないんだい？もしかして、悪いヒトに舌を引っこ抜かれてしまったのかい？			……なぜ、喋らないんだい？もしかして、悪いヒトに舌を引っこ抜かれてしまったのかい？			生きるべき場所							
え、なぜって…………この子は、喋れないアマロでは……。			え、なぜって…………この子は、喋れないアマロでは……。			生きるべき場所							
………………。			………………。			生きるべき場所							
ふうむ……なにか複雑な事情がありそうだねぇ。説明してくれるかい？我らの友であるヒトの子よ。			ふうむ……なにか複雑な事情がありそうだねぇ。説明してくれるかい？我らの友であるヒトの子よ。			生きるべき場所							
なるほどね……事情はよくわかったよ。			なるほどね……事情はよくわかったよ。			生きるべき場所							
この子は、何を望んでいますか？			この子は、何を望んでいますか？			生きるべき場所							
……ラグは今、葛藤しているよ。ヒトを信じたい気持ちと、疑い恐れる気持ちとの間で……。			……ラグは今、葛藤しているよ。ヒトを信じたい気持ちと、疑い恐れる気持ちとの間で……。			生きるべき場所							
この子はね、100年余りの間、ずっと寂しかったのさ。たまたま、当時の主とノルヴラントを旅していたために、「光の氾濫」からは生き延びたが、故郷は消えてしまったからね。			この子はね、100年余りの間、ずっと寂しかったのさ。たまたま、当時の主とノルヴラントを旅していたために、「光の氾濫」からは生き延びたが、故郷は消えてしまったからね。			生きるべき場所							
そして、主もまた寿命で喪ってしまった。だというのに、古の血が覚醒してしまったこの子は、トゥパク・アマロとして長い時を生きることになったのさ……。			そして、主もまた寿命で喪ってしまった。だというのに、古の血が覚醒してしまったこの子は、トゥパク・アマロとして長い時を生きることになったのさ……。			生きるべき場所							
ここに流れ着いてからも、異郷のアマロと馴染めなかったのか、勝手に周りを恐れて拒絶して……。本当に世話の焼ける、可愛い子さね。			ここに流れ着いてからも、異郷のアマロと馴染めなかったのか、勝手に周りを恐れて拒絶して……。本当に世話の焼ける、可愛い子さね。			生きるべき場所							
孤独なこの子は、子供の頃にヒトに優しくしてもらった記憶が忘れられず、ヒトが恋しくて、寂しくて、仕方なかったんだろうよ。			孤独なこの子は、子供の頃にヒトに優しくしてもらった記憶が忘れられず、ヒトが恋しくて、寂しくて、仕方なかったんだろうよ。			生きるべき場所							
そんなとき、心惹かれる波長を感じ取ったみたいでね。ついこの間、ヴォレクドルフを飛び出していったのさ。			そんなとき、心惹かれる波長を感じ取ったみたいでね。ついこの間、ヴォレクドルフを飛び出していったのさ。			生きるべき場所							
スキップ……その心惹かれた波長の主はきっと、Forenameさんですね……。			スキップ……その心惹かれた波長の主はきっと、Forenameさんですね……。			生きるべき場所							
その矢先に悪いヒトに襲われるとは、この子もツイてないねえ。			その矢先に悪いヒトに襲われるとは、この子もツイてないねえ。			生きるべき場所							
ラグ……お前さんたちは、スキップと呼んでいるようだが、この子のことは、ひとまず私たちに任せておくれ。ありがとう、親切なヒトたちよ。			ラグ……お前さんたちは、スキップと呼んでいるようだが、この子のことは、ひとまず私たちに任せておくれ。ありがとう、親切なヒトたちよ。			生きるべき場所							
……………………。			……………………。			生きるべき場所							
ううっ……スキップ……また会いに来ますからね。他のアマロとも仲良く、元気に暮らすのですよ。ここなら、悪い人に襲われる心配もありません……。			ううっ……スキップ……また会いに来ますからね。他のアマロとも仲良く、元気に暮らすのですよ。ここなら、悪い人に襲われる心配もありません……。			生きるべき場所							
さあ、Forenameさん！この子を託して、「ミーン工芸館」に戻りましょう……！別れは寂しいですが、スキップの安全と幸せのためです……！			さあ、Forenameさん！この子を託して、「ミーン工芸館」に戻りましょう……！別れは寂しいですが、スキップの安全と幸せのためです……！			生きるべき場所							
キュル………………。			キュル………………。			生きるべき場所							
本当に、いいのかい？			本当に、いいのかい？			生きるべき場所							
その様子、さぞ怖い目にあったのだろう……。でも、すべてのヒトが悪いわけではないよ。それは、お前もよくわかっているだろう？			その様子、さぞ怖い目にあったのだろう……。でも、すべてのヒトが悪いわけではないよ。それは、お前もよくわかっているだろう？			生きるべき場所							
焦ることはない。どうしたいのか、よく考えてごらん？			焦ることはない。どうしたいのか、よく考えてごらん？			生きるべき場所							
……………………。			……………………。			生きるべき場所							
キュル…………………………。			キュル…………………………。			生きるべき場所							
おかえりなさい、Forenameさん、……不思議なことが起こりました。驚かずに聞いてください。			おかえりなさい、Forenameさん、……不思議なことが起こりました。驚かずに聞いてください。			生きるべき場所							
ヴォレクドルフに残してきたはずのラグ＝ラグ……いえ、私たちのスキップが、牧場にいたんです！			ヴォレクドルフに残してきたはずのラグ＝ラグ……いえ、私たちのスキップが、牧場にいたんです！			生きるべき場所							
そそ、それとも、妖精に化かされて幻でも見ていたのでしょうか？す、少し落ち着くとしましょう……。			そそ、それとも、妖精に化かされて幻でも見ていたのでしょうか？す、少し落ち着くとしましょう……。			生きるべき場所							
ヴォレクドルフに残してきたと聞いていたが……先ほど、戻ってきたのだ。いったい、どういうことだろうか？			ヴォレクドルフに残してきたと聞いていたが……先ほど、戻ってきたのだ。いったい、どういうことだろうか？			生きるべき場所							
………………！			………………！			生きるべき場所							
次の納品依頼は、「錬金術師／調理師」のいずれかがレベル78以上になると、ミーン工芸館の「ベスリク」から受注可能です。			次の納品依頼は、「錬金術師／調理師」のいずれかがレベル78以上になると、ミーン工芸館の「ベスリク」から受注可能です。			生きるべき場所							
ミーン工芸館のベスリクは、冒険者を待っているようだ。			ミーン工芸館のベスリクは、冒険者を待っているようだ。			古傷を癒して							
ベスリクと話した。スキップをクリスタリウムに受け入れることについて、厩務員のネム・シェリミンから話があるそうだ。テメノスルカリー牧場にいる「ベスリク」と話そう。			ベスリクと話した。スキップをクリスタリウムに受け入れることについて、厩務員のネム・シェリミンから話があるそうだ。テメノスルカリー牧場にいる「ベスリク」と話そう。			古傷を癒して							
ベスリクと話した。ネム・シェリミンは、スキップがクリスタリウムのアマロとして人と支え合っていくために、スキップに克服してほしい試練がふたつあるのだという。ひとつ目の試練として、他のアマロとの連帯感を強めるため、ズン族伝統の草団子を食べることが言い渡された。毒入りの草団子を食べてしまったことを思い出して怯えるスキップのために、協力してあげよう。「草団子の材料」をもとに「ズン族の草団子」を製作し、テメノスルカリー牧場の「ベスリク」に納品しよう。※「草団子の材料」を失った場合は、テメノスルカリー牧場のネム・シェリミンに話しかけましょう。材料を入手し、再挑戦が可能になります。			ベスリクと話した。ネム・シェリミンは、スキップがクリスタリウムのアマロとして人と支え合っていくために、スキップに克服してほしい試練がふたつあるのだという。ひとつ目の試練として、他のアマロとの連帯感を強めるため、ズン族伝統の草団子を食べることが言い渡された。毒入りの草団子を食べてしまったことを思い出して怯えるスキップのために、協力してあげよう。「草団子の材料」をもとに「ズン族の草団子」を製作し、テメノスルカリー牧場の「ベスリク」に納品しよう。※「草団子の材料」を失った場合は、テメノスルカリー牧場のネム・シェリミンに話しかけましょう。材料を入手し、再挑戦が可能になります。			古傷を癒して							
ベスリクに「ズン族の草団子」を渡した。冒険者が草団子を製作したことで、スキップは無事にひとつ目の試練を克服することができた。ネム・シェリミンは次の試練として、ベスリクを背に乗せた状態でジョッブ砦あたりから飛行し、クリスタリウムのアマロ桟橋に着陸することを条件として伝えた。クリスタリウムで暮らす者は、種族を問わず都市に貢献できる必要があるようだ。レイクランドの帯の道付近にいる「ベスリク」と話そう。			ベスリクに「ズン族の草団子」を渡した。冒険者が草団子を製作したことで、スキップは無事にひとつ目の試練を克服することができた。ネム・シェリミンは次の試練として、ベスリクを背に乗せた状態でジョッブ砦あたりから飛行し、クリスタリウムのアマロ桟橋に着陸することを条件として伝えた。クリスタリウムで暮らす者は、種族を問わず都市に貢献できる必要があるようだ。レイクランドの帯の道付近にいる「ベスリク」と話そう。			古傷を癒して							
ベスリクと話した。試練を開始しようとした直後、スキップを襲った「アマロの舌」を狙う野盗が現れた。野盗たちを前に怯え切ってしまったスキップだったが、冒険者の励ましで勇気を振り絞り、空に飛び上がることができた。ベスリクの機転により、無事に野盗の撃退に成功した一行。最終試練もこなすことができそうだ。クリスタリウムのアマロ桟橋にいる「ベスリク」と話そう。			ベスリクと話した。試練を開始しようとした直後、スキップを襲った「アマロの舌」を狙う野盗が現れた。野盗たちを前に怯え切ってしまったスキップだったが、冒険者の励ましで勇気を振り絞り、空に飛び上がることができた。ベスリクの機転により、無事に野盗の撃退に成功した一行。最終試練もこなすことができそうだ。クリスタリウムのアマロ桟橋にいる「ベスリク」と話そう。			古傷を癒して							
ベスリクと話した。ベスリクを乗せたスキップは、無事にアマロ桟橋に着陸できたようだ。テメノスルカリー牧場の「ベスリク」と話そう。			ベスリクと話した。ベスリクを乗せたスキップは、無事にアマロ桟橋に着陸できたようだ。テメノスルカリー牧場の「ベスリク」と話そう。			古傷を癒して							
ベスリクと話した。ふたつの試練を克服できたスキップは、正式にクリスタリウムのアマロとして認められたようだ。ベスリクも、スキップを治療し救ったことで、相棒を自分の手で死なせてしまった辛い過去を乗り越えることができたようだ。ミーン工芸館の「ベスリク」と話そう。			ベスリクと話した。ふたつの試練を克服できたスキップは、正式にクリスタリウムのアマロとして認められたようだ。ベスリクも、スキップを治療し救ったことで、相棒を自分の手で死なせてしまった辛い過去を乗り越えることができたようだ。ミーン工芸館の「ベスリク」と話そう。			古傷を癒して							
ベスリクは、冒険者に心からの感謝の気持ちを伝えた。これからは薬餌の製作技術も習得し、自らの手で牧場の仲間たちを守り抜くと強く誓ってみせた。成長したベスリクや、冒険者が大好きなスキップに会いに、再び足を運んでみるのもいいだろう。			ベスリクは、冒険者に心からの感謝の気持ちを伝えた。これからは薬餌の製作技術も習得し、自らの手で牧場の仲間たちを守り抜くと強く誓ってみせた。成長したベスリクや、冒険者が大好きなスキップに会いに、再び足を運んでみるのもいいだろう。			古傷を癒して							
テメノスルカリー牧場のベスリクと話す			テメノスルカリー牧場のベスリクと話す			古傷を癒して							
製作手帳 ミーン工芸館取引：ズン族の草団子を製作ベスリクにズン族の草団子を納品			製作手帳 ミーン工芸館取引：ズン族の草団子を製作ベスリクにズン族の草団子を納品			古傷を癒して							
帯の道付近のベスリクと話す			帯の道付近のベスリクと話す			古傷を癒して							
アマロ桟橋のベスリクと話す			アマロ桟橋のベスリクと話す			古傷を癒して							
テメノスルカリー牧場のベスリクと話す			テメノスルカリー牧場のベスリクと話す			古傷を癒して							
ミーン工芸館のベスリクと話す			ミーン工芸館のベスリクと話す			古傷を癒して							
Forenameさん、準備はよろしいですか？スキップの受け入れの件でネム・シェリミンから話があるそうです。			Forenameさん、準備はよろしいですか？スキップの受け入れの件でネム・シェリミンから話があるそうです。			古傷を癒して							
Forenameさんにも、ぜひ、ご一緒に聞いていただきたいと思いましてね。さあ、「テメノスルカリー牧場」まで向かいましょう！			Forenameさんにも、ぜひ、ご一緒に聞いていただきたいと思いましてね。さあ、「テメノスルカリー牧場」まで向かいましょう！			古傷を癒して							
よく来てくれた。キミたちに伝えるべきことがある。			よく来てくれた。キミたちに伝えるべきことがある。			古傷を癒して							
Forenameのおかげで、僕にも友達ができた……！			Forenameのおかげで、僕にも友達ができた……！			古傷を癒して							
そうそう、本題の前に……Forenameさんの「ベルベ風の餌」のおかげで、スキップも他のアマロと打ち解けはじめたようですよ！			そうそう、本題の前に……Forenameさんの「ベルベ風の餌」のおかげで、スキップも他のアマロと打ち解けはじめたようですよ！			古傷を癒して							
キュルルルル！Forenameが作ったごはん、みんな美味しいって言ってるよ！			キュルルルル！Forenameが作ったごはん、みんな美味しいって言ってるよ！			古傷を癒して							
ンッフフ、ではあらためて紹介させてください。彼女はネム・シェリミン……厩務員の長であり、テメノスルカリー牧場の責任者です。			ンッフフ、ではあらためて紹介させてください。彼女はネム・シェリミン……厩務員の長であり、テメノスルカリー牧場の責任者です。			古傷を癒して							
まずは回復おめでとう、スキップ。そして、よく戻ってきてくれた。			まずは回復おめでとう、スキップ。そして、よく戻ってきてくれた。			古傷を癒して							
人語を話すアマロ、我々も喜んで受け入れたいと考えている。			人語を話すアマロ、我々も喜んで受け入れたいと考えている。			古傷を癒して							
キュルル！じゃあ、ここに居てもいいんだね！			キュルル！じゃあ、ここに居てもいいんだね！			古傷を癒して							
うむ、それは問題ない。			うむ、それは問題ない。			古傷を癒して							
だが、クリスタリウムのアマロとして人と支え合うために、スキップにも、克服してほしい試練がある。無論追い出すことはしないが、クリアできるまで挑戦してもらう。			だが、クリスタリウムのアマロとして人と支え合うために、スキップにも、克服してほしい試練がある。無論追い出すことはしないが、クリアできるまで挑戦してもらう。			古傷を癒して							
試練ですって……！？			試練ですって……！？			古傷を癒して							
うむ、試練はふたつ……。ひとつ目は、ほかのアマロたちと同じく、栄養補給のための「草団子」を食べることだ。			うむ、試練はふたつ……。ひとつ目は、ほかのアマロたちと同じく、栄養補給のための「草団子」を食べることだ。			古傷を癒して							
キュル……草団子？			キュル……草団子？			古傷を癒して							
思い出したくもないだろうが、スキップが口にしてしまった毒入りの餌……あれは、ズン族伝統の草団子を利用したものだった。			思い出したくもないだろうが、スキップが口にしてしまった毒入りの餌……あれは、ズン族伝統の草団子を利用したものだった。			古傷を癒して							
そんな……！スキップにとっては、見たくもないもののはず！それを食べろだなんて、あまりに酷というものでしょう！			そんな……！スキップにとっては、見たくもないもののはず！それを食べろだなんて、あまりに酷というものでしょう！			古傷を癒して							
スキップが辛い思いをしたのは知っている。だが、アマロたちは、同じ餌を共有することで、群れとしての連帯感を強める習性があるのだ。			スキップが辛い思いをしたのは知っている。だが、アマロたちは、同じ餌を共有することで、群れとしての連帯感を強める習性があるのだ。			古傷を癒して							
ということで、ひとつ目の試練は草団子を食べること。ふたつ目については、それが出来てから伝えるとしよう。			ということで、ひとつ目の試練は草団子を食べること。ふたつ目については、それが出来てから伝えるとしよう。			古傷を癒して							
キュルゥ……わかった！思い出すと怖いけど……頑張ってみる！			キュルゥ……わかった！思い出すと怖いけど……頑張ってみる！			古傷を癒して							
偉いですよ、スキップ！			偉いですよ、スキップ！			古傷を癒して							
Forenameさん、あなたが作ったものならば、スキップも安心することでしょう。「ズン族の草団子」、ぜひ作ってあげてくれませんか？			Forenameさん、あなたが作ったものならば、スキップも安心することでしょう。「ズン族の草団子」、ぜひ作ってあげてくれませんか？			古傷を癒して							
協力感謝するぞ。			協力感謝するぞ。			古傷を癒して							
完成品は、「ベスリク」に渡してくれればいい。もし材料が不足するようであれば、我に声をかけてくれ。			完成品は、「ベスリク」に渡してくれればいい。もし材料が不足するようであれば、我に声をかけてくれ。			古傷を癒して							
慌てることはない。材料が不足したら、こちらを使ってくれ。			慌てることはない。材料が不足したら、こちらを使ってくれ。			古傷を癒して							
思い出すと怖いけど……Forenameが一生懸命作ってくれるなら、頑張って食べてみるよ……！			思い出すと怖いけど……Forenameが一生懸命作ってくれるなら、頑張って食べてみるよ……！			古傷を癒して							
見事な「ズン族の草団子」だ……！さあ、ベスリクに渡してやってくれ。			見事な「ズン族の草団子」だ……！さあ、ベスリクに渡してやってくれ。			古傷を癒して							
「ズン族の草団子」の製作、よろしくお願いします！			「ズン族の草団子」の製作、よろしくお願いします！			古傷を癒して							
ありがとうございます！おお、これぞまさしく、「ズン族の草団子」！栄養満点、味もなかなか、素朴でおいしいんですよ！			ありがとうございます！おお、これぞまさしく、「ズン族の草団子」！栄養満点、味もなかなか、素朴でおいしいんですよ！			古傷を癒して							
うむ、さすがの腕前だ。我らズン族でも、これほどの草団子は、かなりの年月修行しなければ作れまい……。			うむ、さすがの腕前だ。我らズン族でも、これほどの草団子は、かなりの年月修行しなければ作れまい……。			古傷を癒して							
キュルウゥゥ……。毒なんか無いとわかっているんだ。でも、やっぱり怖いよ……。			キュルウゥゥ……。毒なんか無いとわかっているんだ。でも、やっぱり怖いよ……。			古傷を癒して							
大丈夫ですよ、スキップ。Forenameさんが、あなたのために腕によりをかけて作ってくださったのです。			大丈夫ですよ、スキップ。Forenameさんが、あなたのために腕によりをかけて作ってくださったのです。			古傷を癒して							
お……おいしい！			お……おいしい！			古傷を癒して							
すごくおいしい……！コレ、こんなにおいしかったのか……。			すごくおいしい……！コレ、こんなにおいしかったのか……。			古傷を癒して							
ありがとう、Forename！			ありがとう、Forename！			古傷を癒して							
スキップ、よく頑張りました！きっと、もう仲間と同じものを食べることができるでしょう。			スキップ、よく頑張りました！きっと、もう仲間と同じものを食べることができるでしょう。			古傷を癒して							
うむ、ひとつ目の試練は合格だ。とはいえ、試練は全部でふたつ……忘れてはいないだろうね？			うむ、ひとつ目の試練は合格だ。とはいえ、試練は全部でふたつ……忘れてはいないだろうね？			古傷を癒して							
キュル！も、もちろんだ！それで、試練の内容は？			キュル！も、もちろんだ！それで、試練の内容は？			古傷を癒して							
人を背に乗せた状態で、交通量の多い「従者の門」の先、「帯の道」あたりから飛行し、クリスタリウムのアマロ桟橋に着陸することだ。			人を背に乗せた状態で、交通量の多い「従者の門」の先、「帯の道」あたりから飛行し、クリスタリウムのアマロ桟橋に着陸することだ。			古傷を癒して							
なるほど……クリスタリウムで暮らす者は種族を問わず、誰もが、それぞれの得意分野で都市に貢献している。アマロも騎獣として、それを果たせと……。			なるほど……クリスタリウムで暮らす者は種族を問わず、誰もが、それぞれの得意分野で都市に貢献している。アマロも騎獣として、それを果たせと……。			古傷を癒して							
そのとおりだ……。牧場で糧を得るからには、スキップも運搬任務などで働いてもらいたい。			そのとおりだ……。牧場で糧を得るからには、スキップも運搬任務などで働いてもらいたい。			古傷を癒して							
「光の氾濫」が起きてから、一度もヒトを背に乗せたことはないけど……僕はアマロ、そんなこと朝飯前さ！			「光の氾濫」が起きてから、一度もヒトを背に乗せたことはないけど……僕はアマロ、そんなこと朝飯前さ！			古傷を癒して							
Forename、僕の背中に乗って！			Forename、僕の背中に乗って！			古傷を癒して							
待て。乗るのは、ベスリクのほうがいい。			待て。乗るのは、ベスリクのほうがいい。			古傷を癒して							
私……ですか？			私……ですか？			古傷を癒して							
Forenameとスキップの絆はわかっている。だが、彼女彼はずっとクリスタリウムにいるわけではない。スキップと共に働くのは、ここの住人になるのだからな。			Forenameとスキップの絆はわかっている。だが、彼女彼はずっとクリスタリウムにいるわけではない。スキップと共に働くのは、ここの住人になるのだからな。			古傷を癒して							
で、ですが……私はしばらくアマロに乗っていません！スキップは病み上がりですから、騎乗術に慣れている、Forenameさんの方が……！			で、ですが……私はしばらくアマロに乗っていません！スキップは病み上がりですから、騎乗術に慣れている、Forenameさんの方が……！			古傷を癒して							
そう簡単に感覚を忘れるものではない。とにかく、試練はベスリクを背に乗せてやってもらう。			そう簡単に感覚を忘れるものではない。とにかく、試練はベスリクを背に乗せてやってもらう。			古傷を癒して							
Forenameには、ふたりの試練を見守る役を務めてほしい。スキップもベスリクも、お前がいれば安心するだろう。			Forenameには、ふたりの試練を見守る役を務めてほしい。スキップもベスリクも、お前がいれば安心するだろう。			古傷を癒して							
よーし、頑張って試練をクリアするぞ！Forename、見ていて！			よーし、頑張って試練をクリアするぞ！Forename、見ていて！			古傷を癒して							
こうなったら、私も覚悟を決めます……！			こうなったら、私も覚悟を決めます……！			古傷を癒して							
アマロ桟橋は、思ったよりも幅が狭く着地は難しいですが、安心してください……何があっても、必ず守ってみせます！			アマロ桟橋は、思ったよりも幅が狭く着地は難しいですが、安心してください……何があっても、必ず守ってみせます！			古傷を癒して							
Forenameさん、レイクランドの「帯の道」付近でお待ちしていますね！			Forenameさん、レイクランドの「帯の道」付近でお待ちしていますね！			古傷を癒して							
レイクランドの「帯の道」付近に向かい、試練を見守るためにベスリクたちと合流してほしい。			レイクランドの「帯の道」付近に向かい、試練を見守るためにベスリクたちと合流してほしい。			古傷を癒して							
キュルル……。この辺りで悪いヒトに会ったんだ……。			キュルル……。この辺りで悪いヒトに会ったんだ……。			古傷を癒して							
さあ、いよいよ最終試練です！心の準備はいいですか？			さあ、いよいよ最終試練です！心の準備はいいですか？			古傷を癒して							
ここに来ると、襲われたときのことを思い出して足がすくむ……。でも、クリスタリウムでみんなと暮らすために、勇気を振り絞って飛んでみせる！			ここに来ると、襲われたときのことを思い出して足がすくむ……。でも、クリスタリウムでみんなと暮らすために、勇気を振り絞って飛んでみせる！			古傷を癒して							
あれあれぇ？			あれあれぇ？			古傷を癒して							
そいつは、この間舌を切り損ねた、マヌケで愚鈍な、喋るアマロじゃあないか！今日は最高についてるぜえ！			そいつは、この間舌を切り損ねた、マヌケで愚鈍な、喋るアマロじゃあないか！今日は最高についてるぜえ！			古傷を癒して							
あ……あ……あの時の…………！			あ……あ……あの時の…………！			古傷を癒して							
一緒にいるやつらも動くんじゃないよ！こっちは武装しているんだ！			一緒にいるやつらも動くんじゃないよ！こっちは武装しているんだ！			古傷を癒して							
喋るアマロの舌を使えば、どんな病も治るって噂があるんだってよお！その効果が確かなら、ユールモアの連中が飛びつくってもんだ！			喋るアマロの舌を使えば、どんな病も治るって噂があるんだってよお！その効果が確かなら、ユールモアの連中が飛びつくってもんだ！			古傷を癒して							
喋るアマロの舌が万病に効くという事実はありません！そんなデマに踊らされてはいけません……！			喋るアマロの舌が万病に効くという事実はありません！そんなデマに踊らされてはいけません……！			古傷を癒して							
うるさいッ！！効くかどうかなんて関係ない、儲かればいいんだよ！金持ちどもの前で喋らせてからなら、高値が付くこと間違いなしさ！			うるさいッ！！効くかどうかなんて関係ない、儲かればいいんだよ！金持ちどもの前で喋らせてからなら、高値が付くこと間違いなしさ！			古傷を癒して							
ここは一度退いて、衛兵団に奴らのアジトを突き止めさせることが得策でしょう。問題は、この場を全員で切り抜ける方法ですが……			ここは一度退いて、衛兵団に奴らのアジトを突き止めさせることが得策でしょう。問題は、この場を全員で切り抜ける方法ですが……			古傷を癒して							
私に策があります。ここは私に任せていただけますか？			私に策があります。ここは私に任せていただけますか？			古傷を癒して							
スキップ、私を乗せて上空に飛び上がれますか？			スキップ、私を乗せて上空に飛び上がれますか？			古傷を癒して							
あ、足が……翼が……震えて……。動けない…………。			あ、足が……翼が……震えて……。動けない…………。			古傷を癒して							
何ごちゃごちゃ喋ってるか知らねえけどよ！喋る腰抜けアマロなんて、傑作じゃねえか～！捕まえてくれって言ってるようなもんだ！			何ごちゃごちゃ喋ってるか知らねえけどよ！喋る腰抜けアマロなんて、傑作じゃねえか～！捕まえてくれって言ってるようなもんだ！			古傷を癒して							
何と言う？			何と言う？			古傷を癒して							
仲間を信じて！			仲間を信じて！			古傷を癒して							
顔を上げろ！			顔を上げろ！			古傷を癒して							
そうだ……僕には頼れる仲間たちがいる！絶対にくじけないぞ、みんなで帰るんだ！みんなが治してくれたこの体で、ピンチを切り抜けてみせる！			そうだ……僕には頼れる仲間たちがいる！絶対にくじけないぞ、みんなで帰るんだ！みんなが治してくれたこの体で、ピンチを切り抜けてみせる！			古傷を癒して							
Forename……！そうだ……こんなところでくじけちゃいけない！みんなが治してくれたこの体で、ピンチを切り抜けてみせる！			Forename……！そうだ……こんなところでくじけちゃいけない！みんなが治してくれたこの体で、ピンチを切り抜けてみせる！			古傷を癒して							
さあ！おじさん、僕の背中に乗って！！			さあ！おじさん、僕の背中に乗って！！			古傷を癒して							
Forename、見ていて！			Forename、見ていて！			古傷を癒して							
クソッ！行かせるか……！			クソッ！行かせるか……！			古傷を癒して							
チッ、邪魔だよ！てめえに用はない！			チッ、邪魔だよ！てめえに用はない！			古傷を癒して							
撃ち落としてやる！			撃ち落としてやる！			古傷を癒して							
コラァ！！！んなモンきくわけねぇだろうが！			コラァ！！！んなモンきくわけねぇだろうが！			古傷を癒して							
大事な仲間を危険に晒したこと、後悔させてやるぜえ！！！			大事な仲間を危険に晒したこと、後悔させてやるぜえ！！！			古傷を癒して							
ヒッ……なんだあいつ……			ヒッ……なんだあいつ……			古傷を癒して							
特製の「落雷玉」をお見舞いしてやる！いくぜぇぇぇ、相棒！！			特製の「落雷玉」をお見舞いしてやる！いくぜぇぇぇ、相棒！！			古傷を癒して							
お、おじさんの様子がおかしくなっちゃったけど……わかった……！しっかり捕まって！			お、おじさんの様子がおかしくなっちゃったけど……わかった……！しっかり捕まって！			古傷を癒して							
ぎゃあああああ……！し、痺れるぅぅぅぅぅぅぅぅぅぅ……！			ぎゃあああああ……！し、痺れるぅぅぅぅぅぅぅぅぅぅ……！			古傷を癒して							
Forenameさーーん！！うまく避けてくださいねーーー！！！			Forenameさーーん！！うまく避けてくださいねーーー！！！			古傷を癒して							
クソッ……！覚えてやがれ！！			クソッ……！覚えてやがれ！！			古傷を癒して							
ふぅ……どうにか窮地を脱しましたね！お怪我はありませんか？			ふぅ……どうにか窮地を脱しましたね！お怪我はありませんか？			古傷を癒して							
みんな無事だったのは、スキップのおかげですよ。よく、恐怖を克服しましたね。			みんな無事だったのは、スキップのおかげですよ。よく、恐怖を克服しましたね。			古傷を癒して							
Forenameが勇気をくれたから！それに……僕には大好きな仲間たちがいるから！			Forenameが勇気をくれたから！それに……僕には大好きな仲間たちがいるから！			古傷を癒して							
このまま試練もクリアするよ！クリスタリウムに帰ろう！			このまま試練もクリアするよ！クリスタリウムに帰ろう！			古傷を癒して							
やったあ！ちゃんと飛べたよ、Forename！			やったあ！ちゃんと飛べたよ、Forename！			古傷を癒して							
無事にアマロ桟橋に着陸することができましたよ！ネム・シェリミンにも、きちんと見届けてもらいました！			無事にアマロ桟橋に着陸することができましたよ！ネム・シェリミンにも、きちんと見届けてもらいました！			古傷を癒して							
一時はどうなることかと思いましたが、あなたが勇気づけてくれたおかげで、スキップは恐怖を克服することができたのです。			一時はどうなることかと思いましたが、あなたが勇気づけてくれたおかげで、スキップは恐怖を克服することができたのです。			古傷を癒して							
キュルルルルゥ！Forename、やったよ！これで僕も、クリスタリウムの仲間になれるよね！			キュルルルルゥ！Forename、やったよ！これで僕も、クリスタリウムの仲間になれるよね！			古傷を癒して							
野盗たちの特徴や出没範囲については、私から衛兵団に説明しておきます。			野盗たちの特徴や出没範囲については、私から衛兵団に説明しておきます。			古傷を癒して							
さあ、「テメノスルカリー牧場」に戻りましょう！			さあ、「テメノスルカリー牧場」に戻りましょう！			古傷を癒して							
これで僕も、クリスタリウムの仲間だよね！			これで僕も、クリスタリウムの仲間だよね！			古傷を癒して							
おかえり！よく無事に帰ってきてくれた！			おかえり！よく無事に帰ってきてくれた！			古傷を癒して							
ベスリクから報告を受け、野盗たちは衛兵団が追っている。これ以上の被害が出ないように必ずアジトを突き止めよう。			ベスリクから報告を受け、野盗たちは衛兵団が追っている。これ以上の被害が出ないように必ずアジトを突き止めよう。			古傷を癒して							
お待ちしていました、Forenameさん！			お待ちしていました、Forenameさん！			古傷を癒して							
本当に、みんなよく頑張った。スキップはこれで一人前の、クリスタリウムのアマロとして認められよう。			本当に、みんなよく頑張った。スキップはこれで一人前の、クリスタリウムのアマロとして認められよう。			古傷を癒して							
ありがとう！みんなのおかげだ！			ありがとう！みんなのおかげだ！			古傷を癒して							
