エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
アルドってのは「天晶堂」っていう、会員制の商業組織のリーダーでさ。以前、世界の命運に関わる、ある事件にも手を貸してくれたんだ。			アルドってのは「天晶堂」っていう、会員制の商業組織のリーダーでさ。以前、世界の命運に関わる、ある事件にも手を貸してくれたんだ。			すべての起こりは「石」							
何と言う？			何と言う？			すべての起こりは「石」							
賢人たちみたいな人だ			賢人たちみたいな人だ			すべての起こりは「石」							
会ってみたかったな			会ってみたかったな			すべての起こりは「石」							
賢人……ってのはよくわからねぇが、頼りになるやつを想像してるなら、間違いないぜ。ともかく、天晶堂は閉店中ってこったな。			賢人……ってのはよくわからねぇが、頼りになるやつを想像してるなら、間違いないぜ。ともかく、天晶堂は閉店中ってこったな。			すべての起こりは「石」							
ああ、機会があったら会わせてやるって。ともかく、天晶堂は閉店中ってこったな。			ああ、機会があったら会わせてやるって。ともかく、天晶堂は閉店中ってこったな。			すべての起こりは「石」							
話を聞いたやつらも、異変が起こってることには気づいていても、原因まではわからねぇみたいだったな。仕方ねぇ、バクージャジャのところに戻ろうぜ。			話を聞いたやつらも、異変が起こってることには気づいていても、原因まではわからねぇみたいだったな。仕方ねぇ、バクージャジャのところに戻ろうぜ。			すべての起こりは「石」							
(-戦のバクージャジャ-)おう、戻ったか。それで、この状況について何かわかったか？			(-戦のバクージャジャ-)おう、戻ったか。それで、この状況について何かわかったか？			すべての起こりは「石」							
(-魔のバクージャジャ-)お嬢ちゃんが言ってたとおり、ここがジュノという国なのは間違いないみたいだねェ？			(-魔のバクージャジャ-)お嬢ちゃんが言ってたとおり、ここがジュノという国なのは間違いないみたいだねェ？			すべての起こりは「石」							
(-戦のバクージャジャ-)けどよ、ジュノにしろ、サンドリア王国にしろ、そんな国、トラル大陸じゃ聞いたことがねェぜ。			(-戦のバクージャジャ-)けどよ、ジュノにしろ、サンドリア王国にしろ、そんな国、トラル大陸じゃ聞いたことがねェぜ。			すべての起こりは「石」							
トラル大陸……？何言ってんだ、マムージャ族の国があるのはエラジア大陸……			トラル大陸……？何言ってんだ、マムージャ族の国があるのはエラジア大陸……			すべての起こりは「石」							
(-甲冑姿の男性-)プリッシュ、無事だったんだね。			(-甲冑姿の男性-)プリッシュ、無事だったんだね。			すべての起こりは「石」							
(-甲冑姿の男性-)ありがとう、Forename。君がいてくれてよかったよ。			(-甲冑姿の男性-)ありがとう、Forename。君がいてくれてよかったよ。			すべての起こりは「石」							
あ、ああ……ありがとよ、心配してくれて。……それで、おまえは誰なんだ？			あ、ああ……ありがとよ、心配してくれて。……それで、おまえは誰なんだ？			すべての起こりは「石」							
何と言う？			何と言う？			すべての起こりは「石」							
知り合いではなかったのか？			知り合いではなかったのか？			すべての起こりは「石」							
プリッシュを助けるよう頼んだ人物だ			プリッシュを助けるよう頼んだ人物だ			すべての起こりは「石」							
全っ然知らねぇ。そりゃ、心配してくれるのはありがてぇが……。			全っ然知らねぇ。そりゃ、心配してくれるのはありがてぇが……。			すべての起こりは「石」							
そりゃありがてぇけど、なんで知り合いでもねぇのに、そんなことを頼んだんだ？			そりゃありがてぇけど、なんで知り合いでもねぇのに、そんなことを頼んだんだ？			すべての起こりは「石」							
(-甲冑姿の男性-)私のことを、知らない……？			(-甲冑姿の男性-)私のことを、知らない……？			すべての起こりは「石」							
おまえ、冒険者っぽいけど……うーん、やっぱり会ったことないと思うぜ。ちなみに聞くが、名前はなんて言うんだ？			おまえ、冒険者っぽいけど……うーん、やっぱり会ったことないと思うぜ。ちなみに聞くが、名前はなんて言うんだ？			すべての起こりは「石」							
(-甲冑姿の男性-)名前は、わからない……。			(-甲冑姿の男性-)名前は、わからない……。			すべての起こりは「石」							
(-戦のバクージャジャ-)オマエ、天深きセノーテの辺りで倒れてた男だろ？めんどくせェから、オレサマが仮の名をくれてやるぜ。			(-戦のバクージャジャ-)オマエ、天深きセノーテの辺りで倒れてた男だろ？めんどくせェから、オレサマが仮の名をくれてやるぜ。			すべての起こりは「石」							
(-戦のバクージャジャ-)「アルシャール」……ひとまずそう名乗れ。			(-戦のバクージャジャ-)「アルシャール」……ひとまずそう名乗れ。			すべての起こりは「石」							
(-魔のバクージャジャ-)マムージャ族の言葉で、あてどなく各地を彷徨う者……「漂泊者」って意味だよ。			(-魔のバクージャジャ-)マムージャ族の言葉で、あてどなく各地を彷徨う者……「漂泊者」って意味だよ。			すべての起こりは「石」							
(-魔のバクージャジャ-)キミたちの感覚でなら冒険者って意味にも取れるかな。兄者はさすがだね、ピッタリの名前だよ。			(-魔のバクージャジャ-)キミたちの感覚でなら冒険者って意味にも取れるかな。兄者はさすがだね、ピッタリの名前だよ。			すべての起こりは「石」							
(-甲冑姿の男性-)「アルシャール」……か。わかった、そう名乗らせてもらうよ。			(-甲冑姿の男性-)「アルシャール」……か。わかった、そう名乗らせてもらうよ。			すべての起こりは「石」							
しかし、この街はいったい……？			しかし、この街はいったい……？			すべての起こりは「石」							
少し様子が違っちゃいるが、ジュノだよ。おまえも冒険者なのに、知らねぇのか？			少し様子が違っちゃいるが、ジュノだよ。おまえも冒険者なのに、知らねぇのか？			すべての起こりは「石」							
ジュノ……そうだ……。私は、以前もこの街に来たことがある……。			ジュノ……そうだ……。私は、以前もこの街に来たことがある……。			すべての起こりは「石」							
(-戦のバクージャジャ-)結局、この街は何なんだ？それに、オレサマが戦った幻影はどこに行きやがった？いい加減、わけがわからなすぎて頭にくるぜ。			(-戦のバクージャジャ-)結局、この街は何なんだ？それに、オレサマが戦った幻影はどこに行きやがった？いい加減、わけがわからなすぎて頭にくるぜ。			すべての起こりは「石」							
(-聞き覚えのある声-)ホッホッホ、随分とお悩みのようですね！			(-聞き覚えのある声-)ホッホッホ、随分とお悩みのようですね！			すべての起こりは「石」							
あっ、あいつ！俺に幻惑魔法をかけてきたやつだ、間違いねぇ！			あっ、あいつ！俺に幻惑魔法をかけてきたやつだ、間違いねぇ！			すべての起こりは「石」							
(-戦のバクージャジャ-)てめェはサレージャ！「友の試練」以来見てねェと思ったが、ブネワの腰巾着が、どうしてここにいやがる……！			(-戦のバクージャジャ-)てめェはサレージャ！「友の試練」以来見てねェと思ったが、ブネワの腰巾着が、どうしてここにいやがる……！			すべての起こりは「石」							
ちょっとした親切心で答えを教えて差し上げようと思いましてね。この街が何なのか、これまで戦ってきた相手が何者なのか……知りたいのでしょう？			ちょっとした親切心で答えを教えて差し上げようと思いましてね。この街が何なのか、これまで戦ってきた相手が何者なのか……知りたいのでしょう？			すべての起こりは「石」							
この場所は「ジュノ下層」……異界「ヴァナ・ディール」に存在する都市国家、ジュノ大公国の街路です。			この場所は「ジュノ下層」……異界「ヴァナ・ディール」に存在する都市国家、ジュノ大公国の街路です。			すべての起こりは「石」							
本当に、ここはジュノだったのか……。しかし、ぬぐえないこの違和感はなんだ……？			本当に、ここはジュノだったのか……。しかし、ぬぐえないこの違和感はなんだ……？			すべての起こりは「石」							
当然でしょうな。この街は、観測した異界の記憶を基に、私が創り上げた虚像に過ぎないのですから……。			当然でしょうな。この街は、観測した異界の記憶を基に、私が創り上げた虚像に過ぎないのですから……。			すべての起こりは「石」							
(-魔のバクージャジャ-)創り上げた、だって……？			(-魔のバクージャジャ-)創り上げた、だって……？			すべての起こりは「石」							
ええ、あなたがたが継承式に参列しているころ、私はゾラージャ王子とともに、黄金郷の扉の前にいました。起死回生の力を手に入れようとして、ね。			ええ、あなたがたが継承式に参列しているころ、私はゾラージャ王子とともに、黄金郷の扉の前にいました。起死回生の力を手に入れようとして、ね。			すべての起こりは「石」							
継承の儀に敗れた王子を、今度こそ真なる王へと仕立てるため、王宮の宝物庫より「鍵」を盗み出し、渡してやったのです。			継承の儀に敗れた王子を、今度こそ真なる王へと仕立てるため、王宮の宝物庫より「鍵」を盗み出し、渡してやったのです。			すべての起こりは「石」							
ところが私は、手酷い裏切りに遭った。背中からバッサリ斬られたのですよ、王子に……。			ところが私は、手酷い裏切りに遭った。背中からバッサリ斬られたのですよ、王子に……。			すべての起こりは「石」							
しかし九死に一生を得た私は、残った力でなんとか開かれた扉へと向かい……天地もわからぬ空間へと落ちていった。			しかし九死に一生を得た私は、残った力でなんとか開かれた扉へと向かい……天地もわからぬ空間へと落ちていった。			すべての起こりは「石」							
そして、時と空間が入り交じる世界と世界の狭間で、私は異界を垣間見たのです。			そして、時と空間が入り交じる世界と世界の狭間で、私は異界を垣間見たのです。			すべての起こりは「石」							
その世界の名は、「ヴァナ・ディール」。			その世界の名は、「ヴァナ・ディール」。			すべての起こりは「石」							
よくわかんねぇことを、ペラペラと……つまり、この街の全部が幻だってのか！？信じられるわけあるか、そんなこと！			よくわかんねぇことを、ペラペラと……つまり、この街の全部が幻だってのか！？信じられるわけあるか、そんなこと！			すべての起こりは「石」							
石になっちまった……！？			石になっちまった……！？			すべての起こりは「石」							
言ったでしょう。この街は、私が創った虚像であると……。			言ったでしょう。この街は、私が創った虚像であると……。			すべての起こりは「石」							
私が観測した異界「ヴァナ・ディール」の記憶を、マムークに伝わる呪法を用いて、虚像として紡いだのです。			私が観測した異界「ヴァナ・ディール」の記憶を、マムークに伝わる呪法を用いて、虚像として紡いだのです。			すべての起こりは「石」							
もっとも、この呪法で紡いだ幻影は、せいぜい一戦交えるのが限界で、すぐに霧散してしまう、が……			もっとも、この呪法で紡いだ幻影は、せいぜい一戦交えるのが限界で、すぐに霧散してしまう、が……			すべての起こりは「石」							
(-魔のバクージャジャ-)サレージャが幻影を呼び出した犯人だったみたいだね。そして、あの石は……エレクトロープ？			(-魔のバクージャジャ-)サレージャが幻影を呼び出した犯人だったみたいだね。そして、あの石は……エレクトロープ？			すべての起こりは「石」							
ほう、そんな名で呼ばれているのか。			ほう、そんな名で呼ばれているのか。			すべての起こりは「石」							
この石には、膨大なエーテルを溜め込む性質がありましてな。核として使えば幻影を長持ちさせられると気づいたのですよ。			この石には、膨大なエーテルを溜め込む性質がありましてな。核として使えば幻影を長持ちさせられると気づいたのですよ。			すべての起こりは「石」							
狭間には、黄金郷の一部と思しき、この不可思議な石で築かれた街が漂流しておりましてねぇ。虚像の材料には、事欠かないというわけです。			狭間には、黄金郷の一部と思しき、この不可思議な石で築かれた街が漂流しておりましてねぇ。虚像の材料には、事欠かないというわけです。			すべての起こりは「石」							
あっ！ここがヴァナ・ディールじゃなくてジュノが虚像ってんなら、まさか、俺も……なのか？			あっ！ここがヴァナ・ディールじゃなくてジュノが虚像ってんなら、まさか、俺も……なのか？			すべての起こりは「石」							
では、私も……ということか。			では、私も……ということか。			すべての起こりは「石」							
あなたは、はて……？まあいいでしょう、これから行う大業の前では、些末なこと。			あなたは、はて……？まあいいでしょう、これから行う大業の前では、些末なこと。			すべての起こりは「石」							
重要なのは、私が異界「ヴァナ・ディール」のいくつもの可能性、「ウォーク オブ エコーズ」を観測し、その記憶を得たということ……！			重要なのは、私が異界「ヴァナ・ディール」のいくつもの可能性、「ウォーク オブ エコーズ」を観測し、その記憶を得たということ……！			すべての起こりは「石」							
これらの記憶を利用すれば、自在に虚像を……いわば「エコーズの残滓」を実体化できるのです！			これらの記憶を利用すれば、自在に虚像を……いわば「エコーズの残滓」を実体化できるのです！			すべての起こりは「石」							
もはや、私を棄てた出来損ないの王子などどうでもいい……今となっては、この手で「最強の王」を創り出せるのだから！			もはや、私を棄てた出来損ないの王子などどうでもいい……今となっては、この手で「最強の王」を創り出せるのだから！			すべての起こりは「石」							
ホッホッホ、そう焦らないでください。今戦っても構いませんが、楽しみは先にとっておくもの……。			ホッホッホ、そう焦らないでください。今戦っても構いませんが、楽しみは先にとっておくもの……。			すべての起こりは「石」							
ヴァナ・ディールを観測して集めた、つわものたちの残滓から、世界を統べる力を持つ最強の王を生みだしてみせましょう。			ヴァナ・ディールを観測して集めた、つわものたちの残滓から、世界を統べる力を持つ最強の王を生みだしてみせましょう。			すべての起こりは「石」							
ふたつの世界のマムージャ族の王を融合した、こやつを素体にすることで、ね……。			ふたつの世界のマムージャ族の王を融合した、こやつを素体にすることで、ね……。			すべての起こりは「石」							
何と言う？			何と言う？			すべての起こりは「石」							
お前の野望は打ち砕く！			お前の野望は打ち砕く！			すべての起こりは「石」							
ヴァナ・ディールの記憶を穢させはしない			ヴァナ・ディールの記憶を穢させはしない			すべての起こりは「石」							
面倒だが、仕方ない……			面倒だが、仕方ない……			すべての起こりは「石」							
よろしい、それでは次の戦いの準備が整いましたら、招待状をお送りいたしますよ。そのときを心待ちにしていてください。			よろしい、それでは次の戦いの準備が整いましたら、招待状をお送りいたしますよ。そのときを心待ちにしていてください。			すべての起こりは「石」							
(-戦のバクージャジャ-)待ちやがれッ！			(-戦のバクージャジャ-)待ちやがれッ！			すべての起こりは「石」							
…………。			…………。			すべての起こりは「石」							
プリッシュ……。			プリッシュ……。			すべての起こりは「石」							
(-戦のバクージャジャ-)チッ……逃げやがって……！			(-戦のバクージャジャ-)チッ……逃げやがって……！			すべての起こりは「石」							
(-戦のバクージャジャ-)にしても、まさか異界とはなァ……さすがに驚いたぜェ。つまりヴァナ・ディールって世界は、ヤースラニ荒野に現れた、アレクサンドリアだかって国より遠い場所にあるってことだろ？			(-戦のバクージャジャ-)にしても、まさか異界とはなァ……さすがに驚いたぜェ。つまりヴァナ・ディールって世界は、ヤースラニ荒野に現れた、アレクサンドリアだかって国より遠い場所にあるってことだろ？			すべての起こりは「石」							
(-戦のバクージャジャ-)で、プリッシュの嬢ちゃんやアルシャールは、そのヴァナ・ディールの生まれって話だが……			(-戦のバクージャジャ-)で、プリッシュの嬢ちゃんやアルシャールは、そのヴァナ・ディールの生まれって話だが……			すべての起こりは「石」							
(-戦のバクージャジャ-)だいぶ堪えてるみてェだな。サレージャの言うことだから本当かは怪しいもんだが、自分が創り物だなんて言われたら、無理もねェ。			(-戦のバクージャジャ-)だいぶ堪えてるみてェだな。サレージャの言うことだから本当かは怪しいもんだが、自分が創り物だなんて言われたら、無理もねェ。			すべての起こりは「石」							
ジュノ下層のアルシャールは、プリッシュのことを気遣っているようだ。			ジュノ下層のアルシャールは、プリッシュのことを気遣っているようだ。			異界「ヴァナ・ディール」							
ジュノ下層を離れることになった。ヤクテル樹海のマムークへと向かった「バクージャジャ」と話そう。			ジュノ下層を離れることになった。ヤクテル樹海のマムークへと向かった「バクージャジャ」と話そう。			異界「ヴァナ・ディール」							
バクージャジャと話した。トライヨラにある気球発着場の「指定地点」で待機しよう。			バクージャジャと話した。トライヨラにある気球発着場の「指定地点」で待機しよう。			異界「ヴァナ・ディール」							
プリッシュたちがトライヨラへ到着した。プリッシュと話そう。			プリッシュたちがトライヨラへ到着した。プリッシュと話そう。			異界「ヴァナ・ディール」							
プリッシュとアルシャールにトライヨラを案内することになった。ふたりを連れてトライヨラの「タコスのチーちゃん」へと向かい、連れているプリッシュと話そう。※同行状態が解除された場合、再度「プリッシュ」か「アルシャール」に話しかけることで同行を再開できます。			プリッシュとアルシャールにトライヨラを案内することになった。ふたりを連れてトライヨラの「タコスのチーちゃん」へと向かい、連れているプリッシュと話そう。※同行状態が解除された場合、再度「プリッシュ」か「アルシャール」に話しかけることで同行を再開できます。			異界「ヴァナ・ディール」							
タコスのチーちゃんで食事をした。プリッシュと話そう。			タコスのチーちゃんで食事をした。プリッシュと話そう。			異界「ヴァナ・ディール」							
プリッシュと話した。再びジュノ下層へ向かうというバクージャジャについていこう。			プリッシュと話した。再びジュノ下層へ向かうというバクージャジャについていこう。			異界「ヴァナ・ディール」							
マムークのバクージャジャと話す			マムークのバクージャジャと話す			異界「ヴァナ・ディール」							
トライヨラの指定地点で待機			トライヨラの指定地点で待機			異界「ヴァナ・ディール」							
プリッシュと話して同行させる			プリッシュと話して同行させる			異界「ヴァナ・ディール」							
同行者ふたりを連れてタコスのチーちゃんへ向かい指定地点でプリッシュと話す			同行者ふたりを連れてタコスのチーちゃんへ向かい指定地点でプリッシュと話す			異界「ヴァナ・ディール」							
プリッシュと話す			プリッシュと話す			異界「ヴァナ・ディール」							
…………。			…………。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)にしても、サレージャの野郎……ゾラージャの次は、その父親……それも幻影の腰巾着とはな。どこまでも情けねェ野郎だぜ。			(-戦のバクージャジャ-)にしても、サレージャの野郎……ゾラージャの次は、その父親……それも幻影の腰巾着とはな。どこまでも情けねェ野郎だぜ。			異界「ヴァナ・ディール」							
今の私は、まがい物と否定されるような過去を、思い出すことすらできない。			今の私は、まがい物と否定されるような過去を、思い出すことすらできない。			異界「ヴァナ・ディール」							
だが、プリッシュの場合は、そうもいかないだろう。これまで進んできた路に刻まれた思い出が、「彼女自身」のものではないと言われたのだから……。			だが、プリッシュの場合は、そうもいかないだろう。これまで進んできた路に刻まれた思い出が、「彼女自身」のものではないと言われたのだから……。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)落ち込むにしても場所を移さねェとな。ここはあのサレージャが創り上げた空間なんだ、長居しねェ方がいいだろう。			(-戦のバクージャジャ-)落ち込むにしても場所を移さねェとな。ここはあのサレージャが創り上げた空間なんだ、長居しねェ方がいいだろう。			異界「ヴァナ・ディール」							
(-魔のバクージャジャ-)……あそこから出られるかもしれないねェ。			(-魔のバクージャジャ-)……あそこから出られるかもしれないねェ。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)このふたりはオレサマが連れていく。ヤクテル樹海へ戻れたら、マムークで落ち合おうぜ。母上にも事情を説明しておきてェしよ。			(-戦のバクージャジャ-)このふたりはオレサマが連れていく。ヤクテル樹海へ戻れたら、マムークで落ち合おうぜ。母上にも事情を説明しておきてェしよ。			異界「ヴァナ・ディール」							
…………。			…………。			異界「ヴァナ・ディール」							
あらためて見ると、たしかにヴァナ・ディールのマムークではないようだ。			あらためて見ると、たしかにヴァナ・ディールのマムークではないようだ。			異界「ヴァナ・ディール」							
あなたもバクージャジャも無事のようで安心したわ。ところで、この女の子は……？			あなたもバクージャジャも無事のようで安心したわ。ところで、この女の子は……？			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)おう、来てくれたな。母上にオマエからも事情を説明してもらえるか？			(-戦のバクージャジャ-)おう、来てくれたな。母上にオマエからも事情を説明してもらえるか？			異界「ヴァナ・ディール」							
外つ国どころか、異なる世界から来た人だなんて……どうりで話が通じないわけだわ。			外つ国どころか、異なる世界から来た人だなんて……どうりで話が通じないわけだわ。			異界「ヴァナ・ディール」							
その節は迷惑をかけてすまなかった。そして、倒れていた私を保護してくれたこと……深く感謝する。			その節は迷惑をかけてすまなかった。そして、倒れていた私を保護してくれたこと……深く感謝する。			異界「ヴァナ・ディール」							
異なる世界にありながら、「マムーク」や「マムージャ族」など、我々の世界の間には、いくつもの共通点がある。			異なる世界にありながら、「マムーク」や「マムージャ族」など、我々の世界の間には、いくつもの共通点がある。			異界「ヴァナ・ディール」							
もしかすると、この世界とヴァナ・ディールは、なにか特別な繋がりがあるのかもしれない。			もしかすると、この世界とヴァナ・ディールは、なにか特別な繋がりがあるのかもしれない。			異界「ヴァナ・ディール」							
別の世界にもマムージャ族がいるなんて驚きだわ。あなたの世界では、私たちはどんな部族なの？			別の世界にもマムージャ族がいるなんて驚きだわ。あなたの世界では、私たちはどんな部族なの？			異界「ヴァナ・ディール」							
姿形は同じでも、君たちとは似ても似つかぬ存在だよ。			姿形は同じでも、君たちとは似ても似つかぬ存在だよ。			異界「ヴァナ・ディール」							
かつて、私たちの世界でも、人とマムージャ族は共存関係にあったらしい。			かつて、私たちの世界でも、人とマムージャ族は共存関係にあったらしい。			異界「ヴァナ・ディール」							
しかし、絶対的な力を持つ僭主が誕生すると奴らは反旗を翻し、私たちに対して侵略戦争を仕掛けるようになったのだ。			しかし、絶対的な力を持つ僭主が誕生すると奴らは反旗を翻し、私たちに対して侵略戦争を仕掛けるようになったのだ。			異界「ヴァナ・ディール」							
……ある意味では、私たちも同じよ。少し前までは、他部族より優位に立つために、双頭という力にすがって生きていたのだもの。			……ある意味では、私たちも同じよ。少し前までは、他部族より優位に立つために、双頭という力にすがって生きていたのだもの。			異界「ヴァナ・ディール」							
(-魔のバクージャジャ-)だけど、変わろうとしてる。今はそれでいいんじゃないかな。			(-魔のバクージャジャ-)だけど、変わろうとしてる。今はそれでいいんじゃないかな。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)だが、サレージャみてェな輩がこの国の玉座に就けば、それが台無しになっちまう。何としても、奴を止めなきゃならねェ。			(-戦のバクージャジャ-)だが、サレージャみてェな輩がこの国の玉座に就けば、それが台無しになっちまう。何としても、奴を止めなきゃならねェ。			異界「ヴァナ・ディール」							
変化の路を進まんとする君たちの障害となるんだな。そうと聞いたら、私も放っておくことはできない。			変化の路を進まんとする君たちの障害となるんだな。そうと聞いたら、私も放っておくことはできない。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)ヘッ、覚悟が決まったってツラだな。			(-戦のバクージャジャ-)ヘッ、覚悟が決まったってツラだな。			異界「ヴァナ・ディール」							
ああ。私を形作る記憶がなくとも、やるべきことは魂が教えてくれる。			ああ。私を形作る記憶がなくとも、やるべきことは魂が教えてくれる。			異界「ヴァナ・ディール」							
サレージャの陰謀を食い止めるため、私も戦おう！ヴァナ・ディールの冒険者として！			サレージャの陰謀を食い止めるため、私も戦おう！ヴァナ・ディールの冒険者として！			異界「ヴァナ・ディール」							
冒険者として……か。もしこの場に「あいつ」がいたら、アルシャールと同じように、誰かのために戦うことを選んだかもしれねぇな……。			冒険者として……か。もしこの場に「あいつ」がいたら、アルシャールと同じように、誰かのために戦うことを選んだかもしれねぇな……。			異界「ヴァナ・ディール」							
よし！			よし！			異界「ヴァナ・ディール」							
自分が本物かどうかなんて、考えたってわからねぇ！それよりも、今の自分が何をするかだ！			自分が本物かどうかなんて、考えたってわからねぇ！それよりも、今の自分が何をするかだ！			異界「ヴァナ・ディール」							
俺と同じヴァナ・ディールで生まれた奴らの記憶が、サレージャの野郎に良いように利用されるのは我慢ならねぇ！			俺と同じヴァナ・ディールで生まれた奴らの記憶が、サレージャの野郎に良いように利用されるのは我慢ならねぇ！			異界「ヴァナ・ディール」							
だから、俺も協力するぜ！Forename、アルシャール！			だから、俺も協力するぜ！Forename、アルシャール！			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)おいおい、オレサマのことを忘れてもらっちゃ困るぜェ？ヤクテル樹海で起こった異変を解決するのは、勇連隊士であるバクージャジャ様の仕事だからなァ！			(-戦のバクージャジャ-)おいおい、オレサマのことを忘れてもらっちゃ困るぜェ？ヤクテル樹海で起こった異変を解決するのは、勇連隊士であるバクージャジャ様の仕事だからなァ！			異界「ヴァナ・ディール」							
(-魔のバクージャジャ-)現状、オイラたちがサレージャの尻尾を掴む方法はないけど、いずれForenameの前に姿を現すはず。「エコーズの残滓」を選定するためにねェ。			(-魔のバクージャジャ-)現状、オイラたちがサレージャの尻尾を掴む方法はないけど、いずれForenameの前に姿を現すはず。「エコーズの残滓」を選定するためにねェ。			異界「ヴァナ・ディール」							
(-魔のバクージャジャ-)そのときがきたら迷わず行動できるように、キミたちふたりには、この世界に慣れておいてもらわないと。			(-魔のバクージャジャ-)そのときがきたら迷わず行動できるように、キミたちふたりには、この世界に慣れておいてもらわないと。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)なら、弟よ。コイツラをトライヨラまで連れていってやるとするか。戦いへの備えも必要だろうしなァ。			(-戦のバクージャジャ-)なら、弟よ。コイツラをトライヨラまで連れていってやるとするか。戦いへの備えも必要だろうしなァ。			異界「ヴァナ・ディール」							
(-魔のバクージャジャ-)ふたりの案内はオイラと兄者に任せて、キミは、トライヨラの「気球発着場」で待っててくれるかい？			(-魔のバクージャジャ-)ふたりの案内はオイラと兄者に任せて、キミは、トライヨラの「気球発着場」で待っててくれるかい？			異界「ヴァナ・ディール」							
ふー、やっと着いたか。飛空艇に慣れてると、気球のふわふわした乗り心地は新鮮だな！			ふー、やっと着いたか。飛空艇に慣れてると、気球のふわふわした乗り心地は新鮮だな！			異界「ヴァナ・ディール」							
ここがトライヨラかぁ！			ここがトライヨラかぁ！			異界「ヴァナ・ディール」							
そういや、聞きそびれてたんだけどよ。おまえ、俺のこと知ってるような口ぶりだったよな。何か思い出したのか？			そういや、聞きそびれてたんだけどよ。おまえ、俺のこと知ってるような口ぶりだったよな。何か思い出したのか？			異界「ヴァナ・ディール」							
ああ、私にとって君は……。			ああ、私にとって君は……。			異界「ヴァナ・ディール」							
……いや、やはり気のせいのようだ。君が私を知らない以上、面識はなかったのだろう。どこかで噂話でも聞いて、名を知っていたのかもしれないな。			……いや、やはり気のせいのようだ。君が私を知らない以上、面識はなかったのだろう。どこかで噂話でも聞いて、名を知っていたのかもしれないな。			異界「ヴァナ・ディール」							
うーん……そうか。なら、今はそういうことにしとくぜ。			うーん……そうか。なら、今はそういうことにしとくぜ。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)んじゃ、どこから案内するか……			(-戦のバクージャジャ-)んじゃ、どこから案内するか……			異界「ヴァナ・ディール」							
(-魔のバクージャジャ-)待って、兄者！その前に、一連の出来事を勇連隊に報告するのを忘れてたよ！遅くなったら、あとで理王様になんて言われるかッ……！！			(-魔のバクージャジャ-)待って、兄者！その前に、一連の出来事を勇連隊に報告するのを忘れてたよ！遅くなったら、あとで理王様になんて言われるかッ……！！			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)チッ……コーナ王に理詰めで説教されるのだけはカンベンだぜ。仕方ねェ、詰め所に寄るとするか。			(-戦のバクージャジャ-)チッ……コーナ王に理詰めで説教されるのだけはカンベンだぜ。仕方ねェ、詰め所に寄るとするか。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)そういうわけで、わりィがこいつらとメシでも食いながら待っててくれや。			(-戦のバクージャジャ-)そういうわけで、わりィがこいつらとメシでも食いながら待っててくれや。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)……そういや、前にタコスをダメにしちまったことがあったな。詫びってわけじゃねェけどよ、今回はオレサマのおごりだ。			(-戦のバクージャジャ-)……そういや、前にタコスをダメにしちまったことがあったな。詫びってわけじゃねェけどよ、今回はオレサマのおごりだ。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)過去のことを許してもらおうなんざ思っちゃいねェし、この先いくら善行を積み重ねても、オレの罪を覆い隠せはしねェ。それでも……まだ路が続いてるなら、進むだけだ。			(-戦のバクージャジャ-)過去のことを許してもらおうなんざ思っちゃいねェし、この先いくら善行を積み重ねても、オレの罪を覆い隠せはしねェ。それでも……まだ路が続いてるなら、進むだけだ。			異界「ヴァナ・ディール」							
(-戦のバクージャジャ-)さて、「タコスのチーちゃん」なら顔が利く。オレサマの名前を出して注文するといい。んじゃ、またあとでな。			(-戦のバクージャジャ-)さて、「タコスのチーちゃん」なら顔が利く。オレサマの名前を出して注文するといい。んじゃ、またあとでな。			異界「ヴァナ・ディール」							
彼女は私を知らない……ならば、「この私」はいったい……。			彼女は私を知らない……ならば、「この私」はいったい……。			異界「ヴァナ・ディール」							
察しのいい俺様はわかっちまったぜ……。その「タコスのチーちゃん」ってのは、タコスの店なんだろ！？			察しのいい俺様はわかっちまったぜ……。その「タコスのチーちゃん」ってのは、タコスの店なんだろ！？			異界「ヴァナ・ディール」							
やっぱりそうか、食ってみてえなー！俺の故郷でも、タコスはよく食べてたんだ。わりぃが、案内してもらえるか？			やっぱりそうか、食ってみてえなー！俺の故郷でも、タコスはよく食べてたんだ。わりぃが、案内してもらえるか？			異界「ヴァナ・ディール」							
