スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
ひゅ～、やっぱりその構え、かっこいいな。海賊時代はその構えで、活躍してたんだろ！？どうして封印しちゃったんだ？			ひゅ～、やっぱりその構え、かっこいいな。海賊時代はその構えで、活躍してたんだろ！？どうして封印しちゃったんだ？			工房の救世主							
海賊のいやしい撃ち方だからだ。それに、筋が悪い奴には、指導する気などない。			海賊のいやしい撃ち方だからだ。それに、筋が悪い奴には、指導する気などない。			工房の救世主							
ってことは……つまり、筋がよければ、指導してくれるってことだよな！？			ってことは……つまり、筋がよければ、指導してくれるってことだよな！？			工房の救世主							
喜べ、Forename！君が望んでた銃術の指導を受けられる好機だ！			喜べ、Forename！君が望んでた銃術の指導を受けられる好機だ！			工房の救世主							
「機工士」の商売道具、「銃」と「機工兵装」を君に預ける。指南役にいいところを見せて、連れ戻してくれ！			「機工士」の商売道具、「銃」と「機工兵装」を君に預ける。指南役にいいところを見せて、連れ戻してくれ！			工房の救世主							
……貴様、どこかで……いや、人違いか。			……貴様、どこかで……いや、人違いか。			工房の救世主							
……このあたりで名を挙げた冒険者だな？			……このあたりで名を挙げた冒険者だな？			工房の救世主							
……外から来た冒険者か。			……外から来た冒険者か。			工房の救世主							
よかろう、一度だけ付き合ってやる。お前の筋を見るためにも、基本だけは教えてやろう。まずは、受け取った「カービン」を装備してみせろ。			よかろう、一度だけ付き合ってやる。お前の筋を見るためにも、基本だけは教えてやろう。まずは、受け取った「カービン」を装備してみせろ。			工房の救世主							
「スカイスチール機工房」……いや……「機工士の未来」が、今、君に託された……！君の銃で、「機工士」の限界を撃ちぬいてくれ！！			「スカイスチール機工房」……いや……「機工士の未来」が、今、君に託された……！君の銃で、「機工士」の限界を撃ちぬいてくれ！！			工房の救世主							
新しいジョブを修得しました！受け取った武器を装備することで、ジョブチェンジができます。			新しいジョブを修得しました！受け取った武器を装備することで、ジョブチェンジができます。			工房の救世主							
ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			ジョブチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			工房の救世主							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			工房の救世主							
スカイスチール機工房のステファニヴィアンは、ロスティンスタルを心配している。			スカイスチール機工房のステファニヴィアンは、ロスティンスタルを心配している。			慚愧！ 錆びた鉄の罪							
姿を消していたロスティンスタルが発見されたという。イシュガルド上層の「ロスティンスタル」と話そう。			姿を消していたロスティンスタルが発見されたという。イシュガルド上層の「ロスティンスタル」と話そう。			慚愧！ 錆びた鉄の罪							
ロスティンスタルは、自首を辞める気がないようだ。イシュガルド上層の「ロスティンスタル」に「スラッグショット」をしよう。※スラッグショットを使用できない場合は「ヒートスラッグショット」でも進行が可能です。			ロスティンスタルは、自首を辞める気がないようだ。イシュガルド上層の「ロスティンスタル」に「スラッグショット」をしよう。※スラッグショットを使用できない場合は「ヒートスラッグショット」でも進行が可能です。			慚愧！ 錆びた鉄の罪							
ロスティンスタルの説得に成功した。スカイスチール機工房の「ステファニヴィアン」と話そう。			ロスティンスタルの説得に成功した。スカイスチール機工房の「ステファニヴィアン」と話そう。			慚愧！ 錆びた鉄の罪							
ステファニヴィアンと話した。ロスティンスタルの参戦をもってしても、スカイスチール機工房に課せられた「ヴェリシェレン」討伐の審査は過酷な戦いとなりそうだ。審査で勝利するため、可能な限り、腕を磨いておこう。※機工士のレベルが60以上になると、スカイスチール機工房のステファニヴィアンから次の機工士クエストを受注することができます。			ステファニヴィアンと話した。ロスティンスタルの参戦をもってしても、スカイスチール機工房に課せられた「ヴェリシェレン」討伐の審査は過酷な戦いとなりそうだ。審査で勝利するため、可能な限り、腕を磨いておこう。※機工士のレベルが60以上になると、スカイスチール機工房のステファニヴィアンから次の機工士クエストを受注することができます。			慚愧！ 錆びた鉄の罪							
上層のロスティンスタルと話す			上層のロスティンスタルと話す			慚愧！ 錆びた鉄の罪							
ロスティンスタルにスラッグショットをする			ロスティンスタルにスラッグショットをする			慚愧！ 錆びた鉄の罪							
スカイスチール機工房のステファニヴィアンと話す			スカイスチール機工房のステファニヴィアンと話す			慚愧！ 錆びた鉄の罪							
Forename、指南役が見つかったと連絡があった！今、ジョイたちが、彼を足止めしているらしい。君も合流して、ロスティンスタルを説得してくれ。			Forename、指南役が見つかったと連絡があった！今、ジョイたちが、彼を足止めしているらしい。君も合流して、ロスティンスタルを説得してくれ。			慚愧！ 錆びた鉄の罪							
今、ジョイたちが、彼を足止めしているらしい。君も合流して、ロスティンスタルを説得してくれ。			今、ジョイたちが、彼を足止めしているらしい。君も合流して、ロスティンスタルを説得してくれ。			慚愧！ 錆びた鉄の罪							
Forename様！いっしょに指南役を止めてください！			Forename様！いっしょに指南役を止めてください！			慚愧！ 錆びた鉄の罪							
お前も来たのか……俺から離れろ！でないと、こいつの頭をぶち抜くぞ。			お前も来たのか……俺から離れろ！でないと、こいつの頭をぶち抜くぞ。			慚愧！ 錆びた鉄の罪							
ジョイも下がって、道を空けろ！			ジョイも下がって、道を空けろ！			慚愧！ 錆びた鉄の罪							
お言葉ですが、どきません！Forename様……「スラッグショット」で指南役の抵抗を止めてください！			お言葉ですが、どきません！Forename様……「スラッグショット」で指南役の抵抗を止めてください！			慚愧！ 錆びた鉄の罪							
フン、ひかないつもりか。俺と早撃ちで勝負するってんなら、受けて立つぞ！			フン、ひかないつもりか。俺と早撃ちで勝負するってんなら、受けて立つぞ！			慚愧！ 錆びた鉄の罪							
現在「スラッグショット」を使用できないため、「ヒートスラッグショット」を使用することで、クエスト進行が可能となります。			現在「スラッグショット」を使用できないため、「ヒートスラッグショット」を使用することで、クエスト進行が可能となります。			慚愧！ 錆びた鉄の罪							
俺から離れろ！でないと、こいつの頭をぶち抜くぞ。			俺から離れろ！でないと、こいつの頭をぶち抜くぞ。			慚愧！ 錆びた鉄の罪							
くっ……腕を上げたな、想定以上の銃さばきだ。			くっ……腕を上げたな、想定以上の銃さばきだ。			慚愧！ 錆びた鉄の罪							
指南役が、皇都に伝えた銃術が花開いたのさ。			指南役が、皇都に伝えた銃術が花開いたのさ。			慚愧！ 錆びた鉄の罪							
それにForenameのおかげで、新機能も実現できた。			それにForenameのおかげで、新機能も実現できた。			慚愧！ 錆びた鉄の罪							
噂の「ヴェリシェレン」にだって、負けるものか！もう少し、弟子たちを信じてやってくれよ。			噂の「ヴェリシェレン」にだって、負けるものか！もう少し、弟子たちを信じてやってくれよ。			慚愧！ 錆びた鉄の罪							
そもそも、指南役が身代わりになってくれたところで、テダルグランシュの妨害が収まることはないさ。			そもそも、指南役が身代わりになってくれたところで、テダルグランシュの妨害が収まることはないさ。			慚愧！ 錆びた鉄の罪							
……確かに、そいつは否定できんか。			……確かに、そいつは否定できんか。			慚愧！ 錆びた鉄の罪							
お言葉ですが、否定できないのはそれだけではありません。指南役は、私たち「機工士」の志を、見くびっておられます。			お言葉ですが、否定できないのはそれだけではありません。指南役は、私たち「機工士」の志を、見くびっておられます。			慚愧！ 錆びた鉄の罪							
はっはっはっ。お前たちが皇都の伝統に挑むほど、頑固なのを忘れてた。			はっはっはっ。お前たちが皇都の伝統に挑むほど、頑固なのを忘れてた。			慚愧！ 錆びた鉄の罪							
いいだろう……先の発砲騒ぎの犯人として、名乗り出るのは止めよう。だが、その代わり条件がある。			いいだろう……先の発砲騒ぎの犯人として、名乗り出るのは止めよう。だが、その代わり条件がある。			慚愧！ 錆びた鉄の罪							
工房の命運を決める「ヴェリシェレン」討伐には、俺も参加させてほしい。もちろん、指南役の契約は関係なしだ。			工房の命運を決める「ヴェリシェレン」討伐には、俺も参加させてほしい。もちろん、指南役の契約は関係なしだ。			慚愧！ 錆びた鉄の罪							
……今まで工房の連中とは距離を取ろうとしていたのに、どういう風の吹き回しだ？			……今まで工房の連中とは距離を取ろうとしていたのに、どういう風の吹き回しだ？			慚愧！ 錆びた鉄の罪							
個人的な問題ってやつだ……。かつてバラクーダ騎士だったころ、己が育て上げた部下を、自分の無謀な作戦に付き合わせたことがあった。			個人的な問題ってやつだ……。かつてバラクーダ騎士だったころ、己が育て上げた部下を、自分の無謀な作戦に付き合わせたことがあった。			慚愧！ 錆びた鉄の罪							
だが、作戦は失敗……多くの犠牲を出しちまった。こうして騎士団を追われ、錆ついた俺は、斧を振り回し海賊の真似事をするまでに、落ちぶれたんだ。			だが、作戦は失敗……多くの犠牲を出しちまった。こうして騎士団を追われ、錆ついた俺は、斧を振り回し海賊の真似事をするまでに、落ちぶれたんだ。			慚愧！ 錆びた鉄の罪							
キャンプ・オーバールックで、面会を断られた兵士も、その時に、割を食らわせちまった部下だ。			キャンプ・オーバールックで、面会を断られた兵士も、その時に、割を食らわせちまった部下だ。			慚愧！ 錆びた鉄の罪							
そいつらに償いたくて、集めた金をずっと送っているが、俺の気は晴れやしなかった……。当然だ、問題は俺の後悔なんだからな。			そいつらに償いたくて、集めた金をずっと送っているが、俺の気は晴れやしなかった……。当然だ、問題は俺の後悔なんだからな。			慚愧！ 錆びた鉄の罪							
今、また指導した者たちが無謀な戦いに挑もうとしている。今度こそ、見逃すわけにはいかない……。俺も行って、今度こそ、全員を生還させる！			今、また指導した者たちが無謀な戦いに挑もうとしている。今度こそ、見逃すわけにはいかない……。俺も行って、今度こそ、全員を生還させる！			慚愧！ 錆びた鉄の罪							
もちろん大歓迎だ！			もちろん大歓迎だ！			慚愧！ 錆びた鉄の罪							
指南役、早速、特訓をお願いします！			指南役、早速、特訓をお願いします！			慚愧！ 錆びた鉄の罪							
君の銃の腕に助けられたな。やっぱり君は、工房の救世主だよ。さあ、俺たちの工房に帰ろう。			君の銃の腕に助けられたな。やっぱり君は、工房の救世主だよ。さあ、俺たちの工房に帰ろう。			慚愧！ 錆びた鉄の罪							
来てくれたか、Forename。先ほど、審査を受けるとテダルグランシュに連絡した。			来てくれたか、Forename。先ほど、審査を受けるとテダルグランシュに連絡した。			慚愧！ 錆びた鉄の罪							
だが、現状では、指南役の加勢を考慮しても、勝敗は五分五分といったところ……。			だが、現状では、指南役の加勢を考慮しても、勝敗は五分五分といったところ……。			慚愧！ 錆びた鉄の罪							
指南役は、消したい過去を明かしてまで、参戦の決意を伝えてくれた……。俺たちも時間の許すかぎり、ギリギリまで足掻いてやろう！			指南役は、消したい過去を明かしてまで、参戦の決意を伝えてくれた……。俺たちも時間の許すかぎり、ギリギリまで足掻いてやろう！			慚愧！ 錆びた鉄の罪							
雲霧街のヒルダは、冒険者にヘムロックの調査結果を報告したいようだ。			雲霧街のヒルダは、冒険者にヘムロックの調査結果を報告したいようだ。			強襲、銃士隊							
銃士隊の調査により、宝剣フルンティングの売買契約書らしき物が発見された。その契約書に名前が載っていた商人がクルザス入りしたため、銃士隊で監視することになった。クルザス中央高地の巨石の丘付近にいる「ヒルダ」と合流しよう。			銃士隊の調査により、宝剣フルンティングの売買契約書らしき物が発見された。その契約書に名前が載っていた商人がクルザス入りしたため、銃士隊で監視することになった。クルザス中央高地の巨石の丘付近にいる「ヒルダ」と合流しよう。			強襲、銃士隊							
ヒルダと合流した。監視中の商人が、誰かと商談しているようで、状況を偵察することになった。巨石の丘の「シム」と話そう。			ヒルダと合流した。監視中の商人が、誰かと商談しているようで、状況を偵察することになった。巨石の丘の「シム」と話そう。			強襲、銃士隊							
シムと話した。偵察により確信を得たヒルダは、商人と野盗の取引現場に突入。商人と野盗の頭目を逃したものの、宝剣フルンティングの奪還に成功した。クルザス中央高地に向かおう。			シムと話した。偵察により確信を得たヒルダは、商人と野盗の取引現場に突入。商人と野盗の頭目を逃したものの、宝剣フルンティングの奪還に成功した。クルザス中央高地に向かおう。			強襲、銃士隊							
ウデスタンたちは、追っていた野盗の頭目に逃げられてしまったようだ。巨石の丘の「ロスティンスタル」と話そう。			ウデスタンたちは、追っていた野盗の頭目に逃げられてしまったようだ。巨石の丘の「ロスティンスタル」と話そう。			強襲、銃士隊							
ロスティンスタルと話した。彼は野盗の使っていた銃について何か気がついたらしく、調べてみるそうだ。雲霧街の「ヒルダ」と話そう。			ロスティンスタルと話した。彼は野盗の使っていた銃について何か気がついたらしく、調べてみるそうだ。雲霧街の「ヒルダ」と話そう。			強襲、銃士隊							
雲霧街のヒルダと話した。ロスティンスタルの調査結果がわかるころに、また顔を出してみよう。※機工士のレベルが68以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます			雲霧街のヒルダと話した。ロスティンスタルの調査結果がわかるころに、また顔を出してみよう。※機工士のレベルが68以上になると、イシュガルドの雲霧街にいるヒルダから次の機工士クエストを受注することができます			強襲、銃士隊							
巨石の丘付近のヒルダと合流			巨石の丘付近のヒルダと合流			強襲、銃士隊							
シムと話す			シムと話す			強襲、銃士隊							
ロスティンスタルと話す			ロスティンスタルと話す			強襲、銃士隊							
雲霧街のヒルダと話す			雲霧街のヒルダと話す			強襲、銃士隊							
銃士隊を援護して野盗を倒せ			銃士隊を援護して野盗を倒せ			強襲、銃士隊							
ヘムロックがらみの調査は、俺が面倒を見よう。この際だ、バラクーダ騎士団仕込みの捜査術を、じっくり教えてやるさ。			ヘムロックがらみの調査は、俺が面倒を見よう。この際だ、バラクーダ騎士団仕込みの捜査術を、じっくり教えてやるさ。			強襲、銃士隊							
どうやら、アンタを失望させずに済みそうだ。ヘムロック近辺の調査で発見した焚き火跡から、焼け残った紙切れを発見したんだが、驚きの内容でね。			どうやら、アンタを失望させずに済みそうだ。ヘムロック近辺の調査で発見した焚き火跡から、焼け残った紙切れを発見したんだが、驚きの内容でね。			強襲、銃士隊							
リムサ・ロミンサの商人に対して、「歴史的に価値の高い名剣」を売り渡す契約書だったのさ。これ、どう考えても宝剣フルンティングのことだろ。			リムサ・ロミンサの商人に対して、「歴史的に価値の高い名剣」を売り渡す契約書だったのさ。これ、どう考えても宝剣フルンティングのことだろ。			強襲、銃士隊							
相手の商人は、霊災以降、急速に業績を伸ばした貿易商だ。きな臭い噂は聞いていたが、盗品売買に手を染めていたとはな……。			相手の商人は、霊災以降、急速に業績を伸ばした貿易商だ。きな臭い噂は聞いていたが、盗品売買に手を染めていたとはな……。			強襲、銃士隊							
で、ソイツが、国境付近の網に引っかかった。宝剣の持ち出しを警戒していた神殿騎士団のお手柄だよ。クルザス入りしたあとは、巨石の丘へ向かったみたいだ。			で、ソイツが、国境付近の網に引っかかった。宝剣の持ち出しを警戒していた神殿騎士団のお手柄だよ。クルザス入りしたあとは、巨石の丘へ向かったみたいだ。			強襲、銃士隊							
どうだい、発見した契約書の真実味が増すってもんだろ？だから、アタシらで商人の行動を監視して、取引相手……犯人たちが現れたら、その首根っこを押さえるつもりさ。			どうだい、発見した契約書の真実味が増すってもんだろ？だから、アタシらで商人の行動を監視して、取引相手……犯人たちが現れたら、その首根っこを押さえるつもりさ。			強襲、銃士隊							
でだ、ここからが本題。その作戦に、アンタと指南役も参加してもらえないか？			でだ、ここからが本題。その作戦に、アンタと指南役も参加してもらえないか？			強襲、銃士隊							
待て、その要請は俺も初耳だぞ。お前たちへの指南は請け負ったが、強制捜査の手伝いなんざ、受けた覚えはない！			待て、その要請は俺も初耳だぞ。お前たちへの指南は請け負ったが、強制捜査の手伝いなんざ、受けた覚えはない！			強襲、銃士隊							
アタシは、手伝えなんて一言も言ってないよ。やってほしいのは、現場での指南さ。……ま、自衛する必要はあるかもしれないけどな。			アタシは、手伝えなんて一言も言ってないよ。やってほしいのは、現場での指南さ。……ま、自衛する必要はあるかもしれないけどな。			強襲、銃士隊							
ったく、口だけは達者だな……。まあ海都がらみの不祥事でもあるし、手伝ってやるか。Forename、お前も付き合え。			ったく、口だけは達者だな……。まあ海都がらみの不祥事でもあるし、手伝ってやるか。Forename、お前も付き合え。			強襲、銃士隊							
よし、これで百人力だ！準備が整ったら、巨石の丘近くで合流しよう。よろしく頼んだよ、ふたりとも！			よし、これで百人力だ！準備が整ったら、巨石の丘近くで合流しよう。よろしく頼んだよ、ふたりとも！			強襲、銃士隊							
実戦でどこまでやれるか、確認する必要もあったしな、これも給料のうちだと、諦めてやるか。まあ、俺とお前がいるなら、滅多なことにはならんだろう。			実戦でどこまでやれるか、確認する必要もあったしな、これも給料のうちだと、諦めてやるか。まあ、俺とお前がいるなら、滅多なことにはならんだろう。			強襲、銃士隊							
へへへっ……銃士隊としての初の実戦だ。腕が鳴るぜ！			へへへっ……銃士隊としての初の実戦だ。腕が鳴るぜ！			強襲、銃士隊							
穏便に済めばいいが、どう考えても鉄火場になるだろう。指南役にしごかれた結果、どこまでやれるか確かめてみるさ。			穏便に済めばいいが、どう考えても鉄火場になるだろう。指南役にしごかれた結果、どこまでやれるか確かめてみるさ。			強襲、銃士隊							
アタシらの士気は十分さ。「イシュガルド銃士隊」の実力を、存分に見せつけてやるよ。さあ、準備が終わったら、巨石の丘で合流だ。			アタシらの士気は十分さ。「イシュガルド銃士隊」の実力を、存分に見せつけてやるよ。さあ、準備が終わったら、巨石の丘で合流だ。			強襲、銃士隊							
このあと、強制捜査になる可能性は高い。得物の最終確認は、しっかりやっておけ。			このあと、強制捜査になる可能性は高い。得物の最終確認は、しっかりやっておけ。			強襲、銃士隊							
べ、べ別に、きき緊張なんてしてねーし。ここここ、こいつは、む、武者震いってヤツだからな！			べ、べ別に、きき緊張なんてしてねーし。ここここ、こいつは、む、武者震いってヤツだからな！			強襲、銃士隊							
雲霧街での鉄火場とは、雰囲気が違う。柄にもなく、緊張している……。			雲霧街での鉄火場とは、雰囲気が違う。柄にもなく、緊張している……。			強襲、銃士隊							
……当たりだよ、Forename。この先で、件の商人が、誰かと取引してやがる。相手は宝剣窃盗犯だろうが……状況を確認しておきたいな。			……当たりだよ、Forename。この先で、件の商人が、誰かと取引してやがる。相手は宝剣窃盗犯だろうが……状況を確認しておきたいな。			強襲、銃士隊							
シム。お前はもうひとり連れて、偵察に行ってこい。宝剣の取引が確認できたら、突入して確保するよ！			シム。お前はもうひとり連れて、偵察に行ってこい。宝剣の取引が確認できたら、突入して確保するよ！			強襲、銃士隊							
念のためだ。Forename、シムの偵察に同行して支援を頼む。			念のためだ。Forename、シムの偵察に同行して支援を頼む。			強襲、銃士隊							
悪いね、Forename。シムがしくじったら、容赦なく尻を引っぱたいてくれ。			悪いね、Forename。シムがしくじったら、容赦なく尻を引っぱたいてくれ。			強襲、銃士隊							
偵察に出た「シム」を頼む……。しくじったときは、容赦なく尻を引っぱたいてくれ。			偵察に出た「シム」を頼む……。しくじったときは、容赦なく尻を引っぱたいてくれ。			強襲、銃士隊							
……武者震いはなんとか治まったぜ。大丈夫、アイツらを確認すればいいんだろ？あの訓練を乗りこえた俺ならやれるさ。			……武者震いはなんとか治まったぜ。大丈夫、アイツらを確認すればいいんだろ？あの訓練を乗りこえた俺ならやれるさ。			強襲、銃士隊							
……しかし、よろしかったのですかな？「教皇庁から譲り受けた名剣」は、発注元へ納品する予定だと、記憶しておりましたが。			……しかし、よろしかったのですかな？「教皇庁から譲り受けた名剣」は、発注元へ納品する予定だと、記憶しておりましたが。			強襲、銃士隊							
ああ、そのはずだったんだがな。納品したはいいが、先方の手違いだってんで返品よ。物が物だけに処分に困ったが、お前なら扱えるだろ？			ああ、そのはずだったんだがな。納品したはいいが、先方の手違いだってんで返品よ。物が物だけに処分に困ったが、お前なら扱えるだろ？			強襲、銃士隊							
ええ、ええ、私とお客様の仲ですから、最大限、お勉強させていただきますとも！			ええ、ええ、私とお客様の仲ですから、最大限、お勉強させていただきますとも！			強襲、銃士隊							
……うっす……「教皇庁から譲り受けた名剣」だと……。宝剣は取引相手が腰に差してました……はい……。了解っす。			……うっす……「教皇庁から譲り受けた名剣」だと……。宝剣は取引相手が腰に差してました……はい……。了解っす。			強襲、銃士隊							
姐さんが、確認できたから突入するとさ。俺たちは本隊を待って、一緒に突入するぜ。			姐さんが、確認できたから突入するとさ。俺たちは本隊を待って、一緒に突入するぜ。			強襲、銃士隊							
これが、長らく国を閉ざしていたイシュガルドの宝剣……。ふふふ……素晴らしいですねえ……。これほど魅力的な商材は久しぶりですよ！			これが、長らく国を閉ざしていたイシュガルドの宝剣……。ふふふ……素晴らしいですねえ……。これほど魅力的な商材は久しぶりですよ！			強襲、銃士隊							
そいつぁ、よかった。品質に納得したところで、支払いを……。			そいつぁ、よかった。品質に納得したところで、支払いを……。			強襲、銃士隊							
そいつはちょいと待ちな。			そいつはちょいと待ちな。			強襲、銃士隊							
てめえら……ナニモンだ？			てめえら……ナニモンだ？			強襲、銃士隊							
アタシらは、泣く子も黙る「イシュガルド銃士隊」。覚悟しろよ、犯罪者ども。宝剣窃盗の疑いで、全員確保だ。			アタシらは、泣く子も黙る「イシュガルド銃士隊」。覚悟しろよ、犯罪者ども。宝剣窃盗の疑いで、全員確保だ。			強襲、銃士隊							
い、イシュガルドの……！？ひえ～～っ！			い、イシュガルドの……！？ひえ～～っ！			強襲、銃士隊							
あ、逃げんな、てめえ！？くそ、なんで取引がバレたかわからねえが、こうなりゃ全員ぶっ殺すまでよ！			あ、逃げんな、てめえ！？くそ、なんで取引がバレたかわからねえが、こうなりゃ全員ぶっ殺すまでよ！			強襲、銃士隊							
逃げた頭目以外は、全員確保できたよ。部下たちに皇都へ移送をさせて、事情聴取。そのあとは、ミュースカダンの野郎に任せるつもりさ。			逃げた頭目以外は、全員確保できたよ。部下たちに皇都へ移送をさせて、事情聴取。そのあとは、ミュースカダンの野郎に任せるつもりさ。			強襲、銃士隊							
宝剣、奪還できちまったよ……。アタシらも、やれるってことだよな。Forename、アンタから見てどうだった？			宝剣、奪還できちまったよ……。アタシらも、やれるってことだよな。Forename、アンタから見てどうだった？			強襲、銃士隊							
何と答える？			何と答える？			強襲、銃士隊							
よくやった			よくやった			強襲、銃士隊							
まだまだだ			まだまだだ			強襲、銃士隊							
……そうだよな、ああ、そうだろ！アタシらにだって、力があるってことさ。へへっ、アンタに認められて、かなり嬉しいよ。			……そうだよな、ああ、そうだろ！アタシらにだって、力があるってことさ。へへっ、アンタに認められて、かなり嬉しいよ。			強襲、銃士隊							
まあ、俺が指南してやってるんだ。この程度は当然だな。			まあ、俺が指南してやってるんだ。この程度は当然だな。			強襲、銃士隊							
アンタから見たら、未熟もいいところ、か。……ああ、自分でもわかってるさ。だけど見てな、すぐに一人前になってやるよ！			アンタから見たら、未熟もいいところ、か。……ああ、自分でもわかってるさ。だけど見てな、すぐに一人前になってやるよ！			強襲、銃士隊							
腕はまだまだだが、その意気は合格だ。この調子なら、すぐに鼻をあかせるだろう。			腕はまだまだだが、その意気は合格だ。この調子なら、すぐに鼻をあかせるだろう。			強襲、銃士隊							
すみません姐さん、頭目の野郎をとり逃がしました。チョコボを近くに隠していたようで、人の足では追いきれず……。			すみません姐さん、頭目の野郎をとり逃がしました。チョコボを近くに隠していたようで、人の足では追いきれず……。			強襲、銃士隊							
ちっ、用意のいい奴だ。とはいえ、宝剣は奪還できたし十分さ。撤収するよ！			ちっ、用意のいい奴だ。とはいえ、宝剣は奪還できたし十分さ。撤収するよ！			強襲、銃士隊							
Forename、すまんが時間をくれ。話しておきたいことがある。			Forename、すまんが時間をくれ。話しておきたいことがある。			強襲、銃士隊							
どうだ、俺たちだってやれるんだ！これからの皇都は、銃士隊が守ってやるぜ！			どうだ、俺たちだってやれるんだ！これからの皇都は、銃士隊が守ってやるぜ！			強襲、銃士隊							
無事に作戦が成功して、ホッとしているよ。これも、あの思い出したくもない訓練のおかげだな。……しかし、シムは調子にのりすぎじゃないか？			無事に作戦が成功して、ホッとしているよ。これも、あの思い出したくもない訓練のおかげだな。……しかし、シムは調子にのりすぎじゃないか？			強襲、銃士隊							
……「ロスティンスタル」はどうした？アンタと一緒だと思ったんだが。			……「ロスティンスタル」はどうした？アンタと一緒だと思ったんだが。			強襲、銃士隊							
野盗どもと戦って、気になったことがある。頭目が使っていた銃だ。アレの出処はおそらく……。			野盗どもと戦って、気になったことがある。頭目が使っていた銃だ。アレの出処はおそらく……。			強襲、銃士隊							
とはいえ、確たる証拠があるわけではないのでな。裏を取るためにも、別行動をとって調べてみようと思う。なんというか……元バラクーダ騎士の意地というやつだ。			とはいえ、確たる証拠があるわけではないのでな。裏を取るためにも、別行動をとって調べてみようと思う。なんというか……元バラクーダ騎士の意地というやつだ。			強襲、銃士隊							
すまんが、しばらく指南役を休業すると「ヒルダ」に伝えてくれ。よろしく頼んだぞ。			すまんが、しばらく指南役を休業すると「ヒルダ」に伝えてくれ。よろしく頼んだぞ。			強襲、銃士隊							
戻ったか、Forename……って、指南役はどうした？一緒にいたんじゃ、なかったのかい？			戻ったか、Forename……って、指南役はどうした？一緒にいたんじゃ、なかったのかい？			強襲、銃士隊							
はあ？　指南役を休業する？アイツは、何を考えているんだ？まあ、野盗が使っていた銃はアタシも気になるが……。			はあ？　指南役を休業する？アイツは、何を考えているんだ？まあ、野盗が使っていた銃はアタシも気になるが……。			強襲、銃士隊							
うーん……ここは指南役に任せるしかないか。アタシたちはそれまで、叙任式に向けて、自主訓練に励むとするよ。			うーん……ここは指南役に任せるしかないか。アタシたちはそれまで、叙任式に向けて、自主訓練に励むとするよ。			強襲、銃士隊							
Forenameも、指南役の調査は気になるだろ？結果がわかったらアンタにも伝えるから、たまに顔を出してくれ。			Forenameも、指南役の調査は気になるだろ？結果がわかったらアンタにも伝えるから、たまに顔を出してくれ。			強襲、銃士隊							
来やがれ、野郎ども！イシュガルドの犬どもをぶち殺せっ！			来やがれ、野郎ども！イシュガルドの犬どもをぶち殺せっ！			強襲、銃士隊							
銃士隊、訓練の成果を示せ！指南役たちに情けないところを見せるんじゃないよ！			銃士隊、訓練の成果を示せ！指南役たちに情けないところを見せるんじゃないよ！			強襲、銃士隊							
さて……まだ抵抗するかい？			さて……まだ抵抗するかい？			強襲、銃士隊							
ち、ちくしょう、コイツら強すぎる……。仕方ねえ、「アレ」を連れてこい！			ち、ちくしょう、コイツら強すぎる……。仕方ねえ、「アレ」を連れてこい！			強襲、銃士隊							
へへっ、後の相手は「アレ」がしてくれるぜ。それじゃあばよっ！			へへっ、後の相手は「アレ」がしてくれるぜ。それじゃあばよっ！			強襲、銃士隊							
テメエ、部下を見捨てて、自分だけ逃げる気か！シム、ウデスタン、頭目を追え！			テメエ、部下を見捨てて、自分だけ逃げる気か！シム、ウデスタン、頭目を追え！			強襲、銃士隊							
了解っす、姐さん！			了解っす、姐さん！			強襲、銃士隊							
あの獣は……くそっ、面倒なものを！ヤツの放つ雷気にやられると、痺れて動けなくなるぞ！			あの獣は……くそっ、面倒なものを！ヤツの放つ雷気にやられると、痺れて動けなくなるぞ！			強襲、銃士隊							
こっちはギリギリだってのに……っ！すまねえForename、大技の妨害は任せた！			こっちはギリギリだってのに……っ！すまねえForename、大技の妨害は任せた！			強襲、銃士隊							
チッ……ここで……終わり、かよ……。			チッ……ここで……終わり、かよ……。			強襲、銃士隊							
くっ、すまん……俺はここまでだ……。			くっ、すまん……俺はここまでだ……。			強襲、銃士隊							
うそだろ……姐さん……俺は……。			うそだろ……姐さん……俺は……。			強襲、銃士隊							
こんなところで……すみません、姐さん……。			こんなところで……すみません、姐さん……。			強襲、銃士隊							
キャンプ・オーバールックのロスティンスタルは、冒険者の銃の素質を見抜こうとしている。			キャンプ・オーバールックのロスティンスタルは、冒険者の銃の素質を見抜こうとしている。			指南役の試練							
