双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			仮宿を訪ねて							
(-うっかりシルフ-)ええっ？　それはオマエの任務でふっち？ジョキシアだったら、さっきオヤビンと一緒にいたでふっち。			(-うっかりシルフ-)ええっ？　それはオマエの任務でふっち？ジョキシアだったら、さっきオヤビンと一緒にいたでふっち。			「御子ちゃま」奪取計画							
何を言ってるでふっち！あたぴじゃないでふっち！			何を言ってるでふっち！あたぴじゃないでふっち！			「御子ちゃま」奪取計画							
(-うっかりシルフ-)……………………。			(-うっかりシルフ-)……………………。			「御子ちゃま」奪取計画							
……じゃあ、「ゆりかご」は放置したままでふっち～！？あわわわわ……大変でふっち～！「ゆりかご」はどこにいったのでふっち～？			……じゃあ、「ゆりかご」は放置したままでふっち～！？あわわわわ……大変でふっち～！「ゆりかご」はどこにいったのでふっち～？			「御子ちゃま」奪取計画							
(-うっかりシルフ-)知らないでふっち！　オマエが隠したんでふっち！もぴかして、隠ち場所を忘れちゃったでふっち！？この、おバカでふっちー！			(-うっかりシルフ-)知らないでふっち！　オマエが隠したんでふっち！もぴかして、隠ち場所を忘れちゃったでふっち！？この、おバカでふっちー！			「御子ちゃま」奪取計画							
（カット）			（カット）			「御子ちゃま」奪取計画							
清らかな空気により疲れが癒され、運搬状態の効果時間が延長された！			清らかな空気により疲れが癒され、運搬状態の効果時間が延長された！			「御子ちゃま」奪取計画							
指定された運搬状態でなければ効果はありません。開始地点に戻ると、再び運搬状態になります。			指定された運搬状態でなければ効果はありません。開始地点に戻ると、再び運搬状態になります。			「御子ちゃま」奪取計画							
「御子ちゃまのゆりかご」の運搬では、道中の「ゲッコウソウ」に触れることで、運搬の効果時間を延長できます。			「御子ちゃまのゆりかご」の運搬では、道中の「ゲッコウソウ」に触れることで、運搬の効果時間を延長できます。			「御子ちゃま」奪取計画							
……こ、これが「シルフのゆりかご」ですか！しかも「伝説の御子」のゆりかご……。			……こ、これが「シルフのゆりかご」ですか！しかも「伝説の御子」のゆりかご……。			「御子ちゃま」奪取計画							
うわー、初めて見ます！いやぁ、これが噂に聞く、シルフのゆりかごかぁ！想像していたより、ずっと大きいですね！			うわー、初めて見ます！いやぁ、これが噂に聞く、シルフのゆりかごかぁ！想像していたより、ずっと大きいですね！			「御子ちゃま」奪取計画							
冒険者どの、でかちたのでぶっち！悪い子シルフたちから、ゆりかごを奪い取ったのは、値千金の大手柄でぶっち！			冒険者どの、でかちたのでぶっち！悪い子シルフたちから、ゆりかごを奪い取ったのは、値千金の大手柄でぶっち！			「御子ちゃま」奪取計画							
御子ちゃまが、悪い子シルフの手によって「羽化」され、育てられるようなことがあったら、エオルゼアが破滅していたかもちれなかったのでぶっち！			御子ちゃまが、悪い子シルフの手によって「羽化」され、育てられるようなことがあったら、エオルゼアが破滅していたかもちれなかったのでぶっち！			「御子ちゃま」奪取計画							
またまたぁ、長ちゃまさん、それは大げさですよ～。伝説の御子といえど、まだ赤ん坊じゃないですか。			またまたぁ、長ちゃまさん、それは大げさですよ～。伝説の御子といえど、まだ赤ん坊じゃないですか。			「御子ちゃま」奪取計画							
……何もわかってないでぶっち。お前さんは、ホントにヘッポコなのでぶっち！			……何もわかってないでぶっち。お前さんは、ホントにヘッポコなのでぶっち！			「御子ちゃま」奪取計画							
御子ちゃまは、シルフ族の指導者となるだけでなく、生まれながらにして絶大な魔力を持っているのでぶっち。			御子ちゃまは、シルフ族の指導者となるだけでなく、生まれながらにして絶大な魔力を持っているのでぶっち。			「御子ちゃま」奪取計画							
その魔力は「神ちゃま」の召喚の依童(よりわら)となり、世界のどこでも神ちゃまを呼べるようになるのでぶっち。			その魔力は「神ちゃま」の召喚の依童(よりわら)となり、世界のどこでも神ちゃまを呼べるようになるのでぶっち。			「御子ちゃま」奪取計画							
……つまり、お前さんが住んでるグリダニアのど真ん中でも、ラムウちゃまを神降ろしできるようになるのでぶっち！そしたら街は、雷バリバリ大壊滅でぶっち！			……つまり、お前さんが住んでるグリダニアのど真ん中でも、ラムウちゃまを神降ろしできるようになるのでぶっち！そしたら街は、雷バリバリ大壊滅でぶっち！			「御子ちゃま」奪取計画							
市街地に蛮神を召喚だって！？そ、そんなことになったら……街は全滅じゃないか！たたた大変だっ！！			市街地に蛮神を召喚だって！？そ、そんなことになったら……街は全滅じゃないか！たたた大変だっ！！			「御子ちゃま」奪取計画							
……だから、そう言っているのでぶっち。まったく物分かりの悪いヤツでぶっち。			……だから、そう言っているのでぶっち。まったく物分かりの悪いヤツでぶっち。			「御子ちゃま」奪取計画							
でも今の御子ちゃまは、まだ善も悪も知らない無垢の存在……この仮宿で育てれば、きっと平和を愛する、やさしい指導者に成長するでぶっち。			でも今の御子ちゃまは、まだ善も悪も知らない無垢の存在……この仮宿で育てれば、きっと平和を愛する、やさしい指導者に成長するでぶっち。			「御子ちゃま」奪取計画							
この「御子ちゃまのゆりかご」は、ワチシが責任もって、この仮宿で保護するでぶっち。			この「御子ちゃまのゆりかご」は、ワチシが責任もって、この仮宿で保護するでぶっち。			「御子ちゃま」奪取計画							
冒険者どの、悪い子シルフたちは御子ちゃまを奪われ、きっとカンカンでぶっち！これからしばらくは、ヤツラの反撃に備えるでぶっち！			冒険者どの、悪い子シルフたちは御子ちゃまを奪われ、きっとカンカンでぶっち！これからしばらくは、ヤツラの反撃に備えるでぶっち！			「御子ちゃま」奪取計画							
仮宿でシルフ族のみなさんの生態を見ていると、いろいろな発見をして、とても興味深いです。書物に書かれたことだけが、真実ではないんですね。			仮宿でシルフ族のみなさんの生態を見ていると、いろいろな発見をして、とても興味深いです。書物に書かれたことだけが、真実ではないんですね。			「御子ちゃま」奪取計画							
は～つかれた、ニンム完了でふっち。んん？　なんだオマエはでふっち？シッシッ！　シルフ領に入ってくるなでふっち！			は～つかれた、ニンム完了でふっち。んん？　なんだオマエはでふっち？シッシッ！　シルフ領に入ってくるなでふっち！			「御子ちゃま」奪取計画							
「シルフ族：仮宿のシルフ」との友好関係が「認定」になりました。冒険者の働きは、彼らも大いに認めているようです。			「シルフ族：仮宿のシルフ」との友好関係が「認定」になりました。冒険者の働きは、彼らも大いに認めているようです。			「御子ちゃま」奪取計画							
これ以降、シルフの仮宿にいる「ポニシア」より、新たな「友好部族デイリークエスト」を受注することができます。			これ以降、シルフの仮宿にいる「ポニシア」より、新たな「友好部族デイリークエスト」を受注することができます。			「御子ちゃま」奪取計画							
また、「シルフ族のよろず屋」より、「友好関係：認定」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「シルフ族のよろず屋」より、「友好関係：認定」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			「御子ちゃま」奪取計画							
シルフの仮宿のオルムシオは、冒険者に聞いてほしいことがあるようだ。			シルフの仮宿のオルムシオは、冒険者に聞いてほしいことがあるようだ。			悪い子シルフの意趣返し							
前回までの冒険録：「シルフの仮宿」に「伝説の御子」に関する有益な情報がもたらされた。伝説の御子は、現在「ゆりかご」の状態となって、シルフ領の「悪い子シルフ」たちに保護されているらしい。もし、彼らよって伝説の御子が「羽化」してしまったら、世界の脅威となってしまう。冒険者はシルフ領に潜入し、伝説の御子のゆりかごを奪取する。これで一件落着か……と胸をなでおろす仮宿のシルフ族たち。しかし悪い子シルフたちは、密かに反撃の機会を狙っているのだった……。　　　　　　　　　　　　*　*　*オルムシオは、暇そうなヴォイスに雑用をさせているらしい。シルフの仮宿の「ナトハシオ」と話して、サボっていないか確認しよう。			前回までの冒険録：「シルフの仮宿」に「伝説の御子」に関する有益な情報がもたらされた。伝説の御子は、現在「ゆりかご」の状態となって、シルフ領の「悪い子シルフ」たちに保護されているらしい。もし、彼らよって伝説の御子が「羽化」してしまったら、世界の脅威となってしまう。冒険者はシルフ領に潜入し、伝説の御子のゆりかごを奪取する。これで一件落着か……と胸をなでおろす仮宿のシルフ族たち。しかし悪い子シルフたちは、密かに反撃の機会を狙っているのだった……。　　　　　　　　　　　　*　*　*オルムシオは、暇そうなヴォイスに雑用をさせているらしい。シルフの仮宿の「ナトハシオ」と話して、サボっていないか確認しよう。			悪い子シルフの意趣返し							
ヴォイスは、大宿り木の葉を採るために森の中へ行かされたようだ。シルフ領の入口へ向かい「ヴォイス」を救助しよう。			ヴォイスは、大宿り木の葉を採るために森の中へ行かされたようだ。シルフ領の入口へ向かい「ヴォイス」を救助しよう。			悪い子シルフの意趣返し							
ヴォイスは間一髪、無事だったようだ。シルフの仮宿に戻り、「オルムシオ」に報告しよう。			ヴォイスは間一髪、無事だったようだ。シルフの仮宿に戻り、「オルムシオ」に報告しよう。			悪い子シルフの意趣返し							
ヴォイスを探していたはずの時間に、オルムシオはシルフの仮宿で冒険者の姿を見たらしい。急いで、シルフの仮宿の「フリクシオ」に話そう。			ヴォイスを探していたはずの時間に、オルムシオはシルフの仮宿で冒険者の姿を見たらしい。急いで、シルフの仮宿の「フリクシオ」に話そう。			悪い子シルフの意趣返し							
冒険者に化けたディルシオ率いる悪い子シルフの手によって、御子ちゃまのゆりかごは奪い返されてしまった。シルフの仮宿の「オルムシオ」に報告しよう。			冒険者に化けたディルシオ率いる悪い子シルフの手によって、御子ちゃまのゆりかごは奪い返されてしまった。シルフの仮宿の「オルムシオ」に報告しよう。			悪い子シルフの意趣返し							
オルムシオたちは、伝説の御子を取り戻すつもりのようだ。彼らを助けるため、シルフの仮宿の依頼をひきうけていこう。			オルムシオたちは、伝説の御子を取り戻すつもりのようだ。彼らを助けるため、シルフの仮宿の依頼をひきうけていこう。			悪い子シルフの意趣返し							
ナトハシオと話す			ナトハシオと話す			悪い子シルフの意趣返し							
シルフ領の入口のヴォイスを救助			シルフ領の入口のヴォイスを救助			悪い子シルフの意趣返し							
シルフの仮宿のオルムシオと話す			シルフの仮宿のオルムシオと話す			悪い子シルフの意趣返し							
フリクシオと話す			フリクシオと話す			悪い子シルフの意趣返し							
オルムシオに報告			オルムシオに報告			悪い子シルフの意趣返し							
アナタ、こんにちは～なのでふっち。ちょっと聞いてほしいのでふっち。			アナタ、こんにちは～なのでふっち。ちょっと聞いてほしいのでふっち。			悪い子シルフの意趣返し							
例のヘッポコ学者のことでふっち。いつも暇そうにちているから、ためしに、お裁縫の手伝いをさせたのでふっち。			例のヘッポコ学者のことでふっち。いつも暇そうにちているから、ためしに、お裁縫の手伝いをさせたのでふっち。			悪い子シルフの意趣返し							
……でも、全然ダメなのでふっち！いきなり針で指を刺ちて、半泣きでふっち。驚くほどヘッポコでふっち。			……でも、全然ダメなのでふっち！いきなり針で指を刺ちて、半泣きでふっち。驚くほどヘッポコでふっち。			悪い子シルフの意趣返し							
あまりにヘッポコだから、雑用をさせているのでふっち。仮宿の「ナトハシオ」にカントクちてもらってるから、サボってないか見てきてほしいでふっち。			あまりにヘッポコだから、雑用をさせているのでふっち。仮宿の「ナトハシオ」にカントクちてもらってるから、サボってないか見てきてほしいでふっち。			悪い子シルフの意趣返し							
……おやや、ヘッポコ学者をお探ちでふっち？アイツなら、棲家を直す「大宿り木の葉」を「シルフ領」の入口まで採りに行かせたでふっち。			……おやや、ヘッポコ学者をお探ちでふっち？アイツなら、棲家を直す「大宿り木の葉」を「シルフ領」の入口まで採りに行かせたでふっち。			悪い子シルフの意趣返し							
だってアイツ、何やってもダメなのでふっち。ホントにヘッポコでふっち！だからツカイパシリにさせたでふっち、げひひ。			だってアイツ、何やってもダメなのでふっち。ホントにヘッポコでふっち！だからツカイパシリにさせたでふっち、げひひ。			悪い子シルフの意趣返し							
でも、ずいぶんと帰ってくるのが遅いでふっち。もちかして、かけてやった「隠れ身のおまぢない」が切れたのかもでふっち……。			でも、ずいぶんと帰ってくるのが遅いでふっち。もちかして、かけてやった「隠れ身のおまぢない」が切れたのかもでふっち……。			悪い子シルフの意趣返し							
……さすがに心配になってきたでふっち。ヘッポコだから、魔物に食べられちゃうかもちれないでふっち。ちょっと森へ行って、探ちてきてほぴいでふっち。			……さすがに心配になってきたでふっち。ヘッポコだから、魔物に食べられちゃうかもちれないでふっち。ちょっと森へ行って、探ちてきてほぴいでふっち。			悪い子シルフの意趣返し							
はぁ……助かった……。冒険者さん、また助けられちゃいましたね。何度も何度もすみません……。			はぁ……助かった……。冒険者さん、また助けられちゃいましたね。何度も何度もすみません……。			悪い子シルフの意趣返し							
ここに来る前に、シルフさんから「隠れ身のおまぢない」をかけてもらったのですが……もたついていたら、あっという間に効果がきれてしまって……。			ここに来る前に、シルフさんから「隠れ身のおまぢない」をかけてもらったのですが……もたついていたら、あっという間に効果がきれてしまって……。			悪い子シルフの意趣返し							
う～ん、ボク、やっぱりヘッポコなのかなぁ。なんだか自信なくなってきました……帰りましょう……。			う～ん、ボク、やっぱりヘッポコなのかなぁ。なんだか自信なくなってきました……帰りましょう……。			悪い子シルフの意趣返し							
あらアナタ、さっき会ったばかりなのに、何か用でふっち？……ええっ？　ヘッポコ学者を助けるために、今まで森に行っていたのでふっち？			あらアナタ、さっき会ったばかりなのに、何か用でふっち？……ええっ？　ヘッポコ学者を助けるために、今まで森に行っていたのでふっち？			悪い子シルフの意趣返し							
またまた～、ジョーダンでふっち？ついさっきまで仮宿をウロウロしていたでふっち。……それって、アナタがふたりいたってことでふっち？			またまた～、ジョーダンでふっち？ついさっきまで仮宿をウロウロしていたでふっち。……それって、アナタがふたりいたってことでふっち？			悪い子シルフの意趣返し							
………………。アナタがふたり……？も、も、もちかして……。			………………。アナタがふたり……？も、も、もちかして……。			悪い子シルフの意趣返し							
ふっちっち！嫌な予感がするでふっち！今すぐ、長ちゃまの所へ行くでふっち！			ふっちっち！嫌な予感がするでふっち！今すぐ、長ちゃまの所へ行くでふっち！			悪い子シルフの意趣返し							
うわわわわわ、大変でぶっち！緊急事態でぶっち！			うわわわわわ、大変でぶっち！緊急事態でぶっち！			悪い子シルフの意趣返し							
天幕の中に、大事に大事に寝かせておいた、「御子ちゃまのゆりかご」が、なくなっているのでぶっち！！			天幕の中に、大事に大事に寝かせておいた、「御子ちゃまのゆりかご」が、なくなっているのでぶっち！！			悪い子シルフの意趣返し							
ぼ、冒険者どの！？お前さんが持ち出したでぶっち！？何のためにでぶっち！？			ぼ、冒険者どの！？お前さんが持ち出したでぶっち！？何のためにでぶっち！？			悪い子シルフの意趣返し							
(-？？？？-)ふあーっはっはっはっはぁでふっち！			(-？？？？-)ふあーっはっはっはっはぁでふっち！			悪い子シルフの意趣返し							
ぼ、冒険者さんが、ふたり……！？			ぼ、冒険者さんが、ふたり……！？			悪い子シルフの意趣返し							
(-？？？？-)ふふふ、バカめでふっち！もちろん、このオレちゃまでふっち！			(-？？？？-)ふふふ、バカめでふっち！もちろん、このオレちゃまでふっち！			悪い子シルフの意趣返し							
御子ちゃまっ！			御子ちゃまっ！			悪い子シルフの意趣返し							
御子ちゃまのゆりかごは、返ちてもらったでふっち！このオレちゃまを出し抜くなんて、千年早いでふっち！			御子ちゃまのゆりかごは、返ちてもらったでふっち！このオレちゃまを出し抜くなんて、千年早いでふっち！			悪い子シルフの意趣返し							
……むっ！？			……むっ！？			悪い子シルフの意趣返し							
おおっ！　この胎動はっ！ふふふふ、御子ちゃま誕生のときは間近でふっち！			おおっ！　この胎動はっ！ふふふふ、御子ちゃま誕生のときは間近でふっち！			悪い子シルフの意趣返し							
御子ちゃま誕生のあかつきには、このオレちゃまが育ての親となって、たっぷりと教育をしてやるでふっち！			御子ちゃま誕生のあかつきには、このオレちゃまが育ての親となって、たっぷりと教育をしてやるでふっち！			悪い子シルフの意趣返し							
御子ちゃまとラムウちゃまの力が合わされば、お前らと「テイコク」……。両方まとめて根絶やしにすることも可能でふっち！			御子ちゃまとラムウちゃまの力が合わされば、お前らと「テイコク」……。両方まとめて根絶やしにすることも可能でふっち！			悪い子シルフの意趣返し							
ふぁーっはっはっはっはぁでふーっち！！			ふぁーっはっはっはっはぁでふーっち！！			悪い子シルフの意趣返し							
た、大変でふっち……。ディルシオたちを探し出して、もう一度、御子ちゃまを取り戻さなくてはいけないでふっち！			た、大変でふっち……。ディルシオたちを探し出して、もう一度、御子ちゃまを取り戻さなくてはいけないでふっち！			悪い子シルフの意趣返し							
……でも「ジョーホー」がフソクしてるでふっち。御子ちゃまとディルシオの行方は、あたぴらとヘッポコ学者で調べてみるでふっち。			……でも「ジョーホー」がフソクしてるでふっち。御子ちゃまとディルシオの行方は、あたぴらとヘッポコ学者で調べてみるでふっち。			悪い子シルフの意趣返し							
アナタはそれまで、いままでどおり、悪い子シルフの反撃に警戒しといてほしいでふっち！よろしくお願いするでふっち！			アナタはそれまで、いままでどおり、悪い子シルフの反撃に警戒しといてほしいでふっち！よろしくお願いするでふっち！			悪い子シルフの意趣返し							
敵の気配を感じた！！			敵の気配を感じた！！			悪い子シルフの意趣返し							
た……大変でぶっち……。えらいことになったでぶっち……！！			た……大変でぶっち……。えらいことになったでぶっち……！！			悪い子シルフの意趣返し							
ああ、冒険者さん、お帰りなさい。何度も命を救われ、なんとお礼を言っていいか……。……ん？　なんだか仮宿が騒がしいですね。			ああ、冒険者さん、お帰りなさい。何度も命を救われ、なんとお礼を言っていいか……。……ん？　なんだか仮宿が騒がしいですね。			悪い子シルフの意趣返し							
み、御子ちゃまが……。ボクのせいだ……ボクがシルフ領に行かなければ、こんなことには……うう、ごめんなさい……。			み、御子ちゃまが……。ボクのせいだ……ボクがシルフ領に行かなければ、こんなことには……うう、ごめんなさい……。			悪い子シルフの意趣返し							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			悪い子シルフの意趣返し							
「シルフ族：仮宿のシルフ」との友好関係が「友好」になりました。冒険者は大切な「おともだち」として迎えられているようです。			「シルフ族：仮宿のシルフ」との友好関係が「友好」になりました。冒険者は大切な「おともだち」として迎えられているようです。			悪い子シルフの意趣返し							
これ以降、シルフの仮宿にいる「モキシア」より、新たな「友好部族デイリークエスト」を受注することができます。			これ以降、シルフの仮宿にいる「モキシア」より、新たな「友好部族デイリークエスト」を受注することができます。			悪い子シルフの意趣返し							
また、「シルフ族のよろず屋」より、「友好関係：友好」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「シルフ族のよろず屋」より、「友好関係：友好」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			悪い子シルフの意趣返し							
シルフの仮宿のオルムシオは、冒険者に伝えたい事があるようだ。			シルフの仮宿のオルムシオは、冒険者に伝えたい事があるようだ。			奇跡の目撃者							
前回までの冒険録：冒険者の活躍により、無事に「シルフの仮宿」に保護された「伝説の御子」のゆりかご。しかし、ヘッポコ学者の「ヴォイス」の失態による冒険者の不在に乗じ、「悪い子シルフ」の「ディルシオ」は、伝説の御子のゆりかごを再び「シルフ領」に奪い去ってしまう。伝説の御子の羽化まで、もう時間がない……！緊急事態に際し、シルフの仮宿の長「フリクシオ」は、冒険者に対し最後のお願いを依頼する……。　　　　　　　　　　　　*　*　*悪い子シルフのディルシオが、ついに伝説の御子の誕生の儀式を始めたようだ。儀式を阻止するため、シルフの仮宿の「フリクシオ」と相談しよう。			前回までの冒険録：冒険者の活躍により、無事に「シルフの仮宿」に保護された「伝説の御子」のゆりかご。しかし、ヘッポコ学者の「ヴォイス」の失態による冒険者の不在に乗じ、「悪い子シルフ」の「ディルシオ」は、伝説の御子のゆりかごを再び「シルフ領」に奪い去ってしまう。伝説の御子の羽化まで、もう時間がない……！緊急事態に際し、シルフの仮宿の長「フリクシオ」は、冒険者に対し最後のお願いを依頼する……。　　　　　　　　　　　　*　*　*悪い子シルフのディルシオが、ついに伝説の御子の誕生の儀式を始めたようだ。儀式を阻止するため、シルフの仮宿の「フリクシオ」と相談しよう。			奇跡の目撃者							
伝説の御子奪還作戦に、ヘッポコ学者ヴォイスが無理やりついてくることになった。シルフ領の入口付近にいる「チョコヴォイス」に話しかけ、彼を護衛しよう。			伝説の御子奪還作戦に、ヘッポコ学者ヴォイスが無理やりついてくることになった。シルフ領の入口付近にいる「チョコヴォイス」に話しかけ、彼を護衛しよう。			奇跡の目撃者							
「チョコヴォイス」と一緒に、ゆりかごの大樹の「目標地点」へ行こう。チョコヴォイスとはぐれてしまった場合は、シルフ領入口付近の護衛開始地点に戻って、再度チョコヴォイスと話せばいいようだ。			「チョコヴォイス」と一緒に、ゆりかごの大樹の「目標地点」へ行こう。チョコヴォイスとはぐれてしまった場合は、シルフ領入口付近の護衛開始地点に戻って、再度チョコヴォイスと話せばいいようだ。			奇跡の目撃者							
伝説の御子のいる場所にたどりついた。ゆりかごの大樹の「チョコヴォイス」と話そう。			伝説の御子のいる場所にたどりついた。ゆりかごの大樹の「チョコヴォイス」と話そう。			奇跡の目撃者							
ヴォイスの活躍によって、伝説の御子を奪い返すことに成功した。ゆりかごの大樹の東方面に逃げていった「ヴォイス」を探し、追手のディルシオ一味を倒してヴォイスを救助しよう。			ヴォイスの活躍によって、伝説の御子を奪い返すことに成功した。ゆりかごの大樹の東方面に逃げていった「ヴォイス」を探し、追手のディルシオ一味を倒してヴォイスを救助しよう。			奇跡の目撃者							
ヴォイスは、もう走ることができないようだ。彼の運んできた「御子ちゃまのゆりかご」を持ち上げよう。			ヴォイスは、もう走ることができないようだ。彼の運んできた「御子ちゃまのゆりかご」を持ち上げよう。			奇跡の目撃者							
御子ちゃまのゆりかごを持ち上げた。「シルフの仮宿」まで運び、「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。「ゲッコウソウ」に触れることで、運搬状態の効果時間を延長できます。			御子ちゃまのゆりかごを持ち上げた。「シルフの仮宿」まで運び、「指定地点」に置こう。※運搬状態は、一定時間が過ぎると効果を失います。「ゲッコウソウ」に触れることで、運搬状態の効果時間を延長できます。			奇跡の目撃者							
御子ちゃまのゆりかごを指定地点に置いた。シルフの仮宿の「オルムシオ」に話しかけよう。			御子ちゃまのゆりかごを指定地点に置いた。シルフの仮宿の「オルムシオ」に話しかけよう。			奇跡の目撃者							
伝説の御子は無事、心ある者の元に生まれることができた。グリダニアの「双蛇党：統合司令部」にいる「ボルセル大牙佐」に報告しよう。			伝説の御子は無事、心ある者の元に生まれることができた。グリダニアの「双蛇党：統合司令部」にいる「ボルセル大牙佐」に報告しよう。			奇跡の目撃者							
冒険者の活躍によって、シルフの仮宿の騒動は解決した。近い将来、成長した伝説の御子が、新たな指導者としてシルフ族を率いる日が来るだろう。			冒険者の活躍によって、シルフの仮宿の騒動は解決した。近い将来、成長した伝説の御子が、新たな指導者としてシルフ族を率いる日が来るだろう。			奇跡の目撃者							
フリクシオと話す			フリクシオと話す			奇跡の目撃者							
シルフ領の入口のチョコヴォイスと話す			シルフ領の入口のチョコヴォイスと話す			奇跡の目撃者							
ゆりかごの大樹の目標地点までチョコヴォイスを護衛			ゆりかごの大樹の目標地点までチョコヴォイスを護衛			奇跡の目撃者							
チョコヴォイスと話す			チョコヴォイスと話す			奇跡の目撃者							
ヴォイスを救助			ヴォイスを救助			奇跡の目撃者							
御子ちゃまのゆりかごを持ち上げる			御子ちゃまのゆりかごを持ち上げる			奇跡の目撃者							
シルフの仮宿の指定地点に御子ちゃまのゆりかごを置く			シルフの仮宿の指定地点に御子ちゃまのゆりかごを置く			奇跡の目撃者							
オルムシオと話す			オルムシオと話す			奇跡の目撃者							
双蛇党：統合司令部のボルセル大牙佐に報告			双蛇党：統合司令部のボルセル大牙佐に報告			奇跡の目撃者							
アナタ！　良い報せと悪い報せがあるのでふっち！ちなみに良い報せは、そんなに良くはないでふっち。悪い報せは、ものすご～く悪いでふっち！			アナタ！　良い報せと悪い報せがあるのでふっち！ちなみに良い報せは、そんなに良くはないでふっち。悪い報せは、ものすご～く悪いでふっち！			奇跡の目撃者							
最初に、良い報せでふっち。仮宿の仲間が、「御子ちゃまのゆりかご」を奪った、憎きディルシオの行方をつきとめたでふっち！			最初に、良い報せでふっち。仮宿の仲間が、「御子ちゃまのゆりかご」を奪った、憎きディルシオの行方をつきとめたでふっち！			奇跡の目撃者							
そして悪い報せは、そのディルシオが、ついに御子ちゃま誕生の儀式を始めたらしいのでふっち！			そして悪い報せは、そのディルシオが、ついに御子ちゃま誕生の儀式を始めたらしいのでふっち！			奇跡の目撃者							
ゆりかごから羽化したシルフ族の幼体は、初めて見たシルフを「養い親」だと思い込むのでふっち。このままだと、ディルシオが御子ちゃまの親になるでふっち！			ゆりかごから羽化したシルフ族の幼体は、初めて見たシルフを「養い親」だと思い込むのでふっち。このままだと、ディルシオが御子ちゃまの親になるでふっち！			奇跡の目撃者							
もしそんなことになったら、すべてはおちまいでふっち！……時間がないでふっち！長ちゃまに相談するでふっち！			もしそんなことになったら、すべてはおちまいでふっち！……時間がないでふっち！長ちゃまに相談するでふっち！			奇跡の目撃者							
……事情は聞いたでぶっち。こうなったら、最後の手段でぶっち。直接、シルフ領に乗り込むでぶっち！			……事情は聞いたでぶっち。こうなったら、最後の手段でぶっち。直接、シルフ領に乗り込むでぶっち！			奇跡の目撃者							
そして「御子ちゃまのゆりかご」を奪い返ちて、ディルシオの野望を阻止するのでぶっち！			そして「御子ちゃまのゆりかご」を奪い返ちて、ディルシオの野望を阻止するのでぶっち！			奇跡の目撃者							
ボ、ボクも行きます！			ボ、ボクも行きます！			奇跡の目撃者							
今までずっと冒険者さんに助けられ、仮宿のシルフ族のみなさんにも迷惑をかけっぱなし……このままじゃボク、単なるダメな人です！			今までずっと冒険者さんに助けられ、仮宿のシルフ族のみなさんにも迷惑をかけっぱなし……このままじゃボク、単なるダメな人です！			奇跡の目撃者							
単なるダメな人じゃなかったのでふっち……？			単なるダメな人じゃなかったのでふっち……？			奇跡の目撃者							
ダメじゃないです！ボクもボクなりに、皆の役に立ちたいんです！汚名挽回！　名誉返上！			ダメじゃないです！ボクもボクなりに、皆の役に立ちたいんです！汚名挽回！　名誉返上！			奇跡の目撃者							
汚名を挽回してどうするでふっち……あと、名誉は返上しちゃダメでふっち……。			汚名を挽回してどうするでふっち……あと、名誉は返上しちゃダメでふっち……。			奇跡の目撃者							
……ヘッポコ学者どの、あきらめるでぶっち。アンタがいたら、冒険者の足手まといになるでぶっち。悪いことは言わないから、仮宿で大人しくちてるのでぶっち。			……ヘッポコ学者どの、あきらめるでぶっち。アンタがいたら、冒険者の足手まといになるでぶっち。悪いことは言わないから、仮宿で大人しくちてるのでぶっち。			奇跡の目撃者							
くううううううーーっ！			くううううううーーっ！			奇跡の目撃者							
泣いちゃったでふっち……。			泣いちゃったでふっち……。			奇跡の目撃者							
……冒険者どの、用意はいいでぶっち？ディルシオたちが儀式をしている場所は、シルフ領の最奥「ゆりかごの大樹」でぶっち！			……冒険者どの、用意はいいでぶっち？ディルシオたちが儀式をしている場所は、シルフ領の最奥「ゆりかごの大樹」でぶっち！			奇跡の目撃者							
(-？？？？-)みなさーーーん！！見てくださーーーい！！			(-？？？？-)みなさーーーん！！見てくださーーーい！！			奇跡の目撃者							
(-チョコヴォイス-)どうです？　このカッコウ！完璧すぎるほどチョコボでしょう？これならヤツらの目を欺くこと間違いなし！			(-チョコヴォイス-)どうです？　このカッコウ！完璧すぎるほどチョコボでしょう？これならヤツらの目を欺くこと間違いなし！			奇跡の目撃者							
(-チョコヴォイス-)鳴き声も密かに練習してたんです！クエーーッ！ホラ、そっくりでしょ？　クエックエッ！			(-チョコヴォイス-)鳴き声も密かに練習してたんです！クエーーッ！ホラ、そっくりでしょ？　クエックエッ！			奇跡の目撃者							
……………………ふ、ふっちっち……。			……………………ふ、ふっちっち……。			奇跡の目撃者							
……………………ぶ、ぶっちっち……。			……………………ぶ、ぶっちっち……。			奇跡の目撃者							
