シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
……正直、会うのは祭器を使うときだけで。ほとんどアイツの寝顔しか見てないんだ。			……正直、会うのは祭器を使うときだけで。ほとんどアイツの寝顔しか見てないんだ。			眠らずの勇士							
ずっと起きてるのって、自由かもしれないけれど、まわりが寝てたら全然楽しくないんだよな。			ずっと起きてるのって、自由かもしれないけれど、まわりが寝てたら全然楽しくないんだよな。			眠らずの勇士							
って、話が長くなっちゃったけど。本来祭器の力は、自己鍛錬の時間を手に入れるためのものだったんだ。			って、話が長くなっちゃったけど。本来祭器の力は、自己鍛錬の時間を手に入れるためのものだったんだ。			眠らずの勇士							
けれど使い方によっちゃ、相手に害を及ぼすこともできる。……さっきみたいに。			けれど使い方によっちゃ、相手に害を及ぼすこともできる。……さっきみたいに。			眠らずの勇士							
オレたちの大事な祭器を、悪事に使われちゃたまらない。次こそはレオフィーヌの尻尾を掴むぞ！			オレたちの大事な祭器を、悪事に使われちゃたまらない。次こそはレオフィーヌの尻尾を掴むぞ！			眠らずの勇士							
聖バルロアイアン広場のテントーワは、なにやら悩んでいるようだ。			聖バルロアイアン広場のテントーワは、なにやら悩んでいるようだ。			死と眠りの境界							
テントーワと話した。レオフィーヌは神殿騎士団を狙っている可能性がある。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			テントーワと話した。レオフィーヌは神殿騎士団を狙っている可能性がある。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			死と眠りの境界							
レッドワルドと話した。クルザス西部高地のゴルガニュ牧場付近にいる「テントーワ」と話そう。			レッドワルドと話した。クルザス西部高地のゴルガニュ牧場付近にいる「テントーワ」と話そう。			死と眠りの境界							
テントーワと話した。見張りの神殿騎士が眠らされているのを発見した。ゴルガニュ牧場の建物の中に入り、自由の戦士を討伐しよう。			テントーワと話した。見張りの神殿騎士が眠らされているのを発見した。ゴルガニュ牧場の建物の中に入り、自由の戦士を討伐しよう。			死と眠りの境界							
自由の戦士を討伐した。ゴルガニュ牧場にいる「デュランデル家の哨兵」を救助しよう。			自由の戦士を討伐した。ゴルガニュ牧場にいる「デュランデル家の哨兵」を救助しよう。			死と眠りの境界							
デュランデル家の哨兵を救助した。建物の外に出たところで、戻ってきたレオフィーヌと遭遇。テントーワが立ち向かうも、イッカクの祭器によって眠りに落ちてしまった。ゴルガニュ牧場付近にいる「自由の戦士」たちを討伐しよう。			デュランデル家の哨兵を救助した。建物の外に出たところで、戻ってきたレオフィーヌと遭遇。テントーワが立ち向かうも、イッカクの祭器によって眠りに落ちてしまった。ゴルガニュ牧場付近にいる「自由の戦士」たちを討伐しよう。			死と眠りの境界							
自由の戦士たちを討伐した。ゴルガニュ牧場付近にいる「テントーワ」を救助しよう。			自由の戦士たちを討伐した。ゴルガニュ牧場付近にいる「テントーワ」を救助しよう。			死と眠りの境界							
テントーワは深い眠りに落ちてしまったようだ。イシュガルドの神殿騎士団本部にいる「フィルマルベル」と話そう。			テントーワは深い眠りに落ちてしまったようだ。イシュガルドの神殿騎士団本部にいる「フィルマルベル」と話そう。			死と眠りの境界							
フィルマルベルと話した。テントーワは神殿騎士団本部の2階に運ばれたようだ。彼の目覚めを待とう。※いずれかのTANKジョブのレベルが96以上になると、神殿騎士団本部のフィルマルベルから次のTANKロールクエストを受注することができます。			フィルマルベルと話した。テントーワは神殿騎士団本部の2階に運ばれたようだ。彼の目覚めを待とう。※いずれかのTANKジョブのレベルが96以上になると、神殿騎士団本部のフィルマルベルから次のTANKロールクエストを受注することができます。			死と眠りの境界							
ファルコンネストのレッドワルドと話す			ファルコンネストのレッドワルドと話す			死と眠りの境界							
テントーワと話す			テントーワと話す			死と眠りの境界							
ゴルガニュ牧場を探索し、敵に襲われたら討伐			ゴルガニュ牧場を探索し、敵に襲われたら討伐			死と眠りの境界							
デュランデル家の哨兵を救助			デュランデル家の哨兵を救助			死と眠りの境界							
自由の戦士を討伐			自由の戦士を討伐			死と眠りの境界							
テントーワを救助			テントーワを救助			死と眠りの境界							
イシュガルドのフィルマルベルと話す			イシュガルドのフィルマルベルと話す			死と眠りの境界							
補給部隊を襲ったのは、さらなる作戦の準備段階とも考えられますね。引き続き警戒を強めてまいります！			補給部隊を襲ったのは、さらなる作戦の準備段階とも考えられますね。引き続き警戒を強めてまいります！			死と眠りの境界							
ああ、Forename。ちょっと相談に乗ってもらえないか？			ああ、Forename。ちょっと相談に乗ってもらえないか？			死と眠りの境界							
その、新しい情報がないからさぁ、トライヨラにいるローデニケへの手紙に書くことがなくて。最近ちょっと連絡が滞ってるんだよ。			その、新しい情報がないからさぁ、トライヨラにいるローデニケへの手紙に書くことがなくて。最近ちょっと連絡が滞ってるんだよ。			死と眠りの境界							
何と言う？			何と言う？			死と眠りの境界							
元気だと伝えるだけでいい			元気だと伝えるだけでいい			死と眠りの境界							
手紙がないと心配するぞ			手紙がないと心配するぞ			死と眠りの境界							
……それもそうか。元気じゃなかったら、伝えることすらできないもんな。			……それもそうか。元気じゃなかったら、伝えることすらできないもんな。			死と眠りの境界							
だよなぁ……。進展がないとガッカリするかもって思ったけど、心配させるよりマシか。			だよなぁ……。進展がないとガッカリするかもって思ったけど、心配させるよりマシか。			死と眠りの境界							
よーし、あとでチャチャっと書くぞ。早くしないと、オレもそろそろ危ないもんな……。			よーし、あとでチャチャっと書くぞ。早くしないと、オレもそろそろ危ないもんな……。			死と眠りの境界							
オレはこれまでずっと、イッカクの祭器を使ってたわけだろ？それこそ、盗まれる直前までさ。			オレはこれまでずっと、イッカクの祭器を使ってたわけだろ？それこそ、盗まれる直前までさ。			死と眠りの境界							
だから幸い、まだ眠りに落ちずに済んでいるけど、そろそろ効果が完全に切れて、普通に眠っちゃうはずなんだ。			だから幸い、まだ眠りに落ちずに済んでいるけど、そろそろ効果が完全に切れて、普通に眠っちゃうはずなんだ。			死と眠りの境界							
オレが寝てる間、レオフィーヌは昼夜問わず自由に行動する。眠らぬケモノほど厄介な相手はいない……そうなる前に捕まえなきゃ。			オレが寝てる間、レオフィーヌは昼夜問わず自由に行動する。眠らぬケモノほど厄介な相手はいない……そうなる前に捕まえなきゃ。			死と眠りの境界							
Forename殿、テントーワ殿。例の祭器が原因とみられる、神殿騎士の不祥事がまた起こりました。			Forename殿、テントーワ殿。例の祭器が原因とみられる、神殿騎士の不祥事がまた起こりました。			死と眠りの境界							
フショージっていうと……もしかして、また護衛中に居眠り？			フショージっていうと……もしかして、また護衛中に居眠り？			死と眠りの境界							
ええ、それも複数の現場で。			ええ、それも複数の現場で。			死と眠りの境界							
騎士にとって、護衛任務を全うできないということは、それだけでも不名誉極まりないもの。			騎士にとって、護衛任務を全うできないということは、それだけでも不名誉極まりないもの。			死と眠りの境界							
しかし今回は、それに加えて、発見されたときの状態が、屈辱的なものだったというのです。			しかし今回は、それに加えて、発見されたときの状態が、屈辱的なものだったというのです。			死と眠りの境界							
幸い人命に関わるような事態は発生していませんが、神殿騎士団に対する信用も損なわれはじめていまして……。上層部も、頭を悩ませております。			幸い人命に関わるような事態は発生していませんが、神殿騎士団に対する信用も損なわれはじめていまして……。上層部も、頭を悩ませております。			死と眠りの境界							
とはいえ、そもそもこの程度で皇都が揺らぐはずもない。国家転覆を標榜する「自由の扉」にしては、いささか疑問の残る行動です。			とはいえ、そもそもこの程度で皇都が揺らぐはずもない。国家転覆を標榜する「自由の扉」にしては、いささか疑問の残る行動です。			死と眠りの境界							
レオフィーヌの襲撃の真意がどこにあるのか。そこが読めないと、我々も安易に動けません……。			レオフィーヌの襲撃の真意がどこにあるのか。そこが読めないと、我々も安易に動けません……。			死と眠りの境界							
何と言う？			何と言う？			死と眠りの境界							
ただの愉快犯？			ただの愉快犯？			死と眠りの境界							
祭器を使う練習をしているのかも			祭器を使う練習をしているのかも			死と眠りの境界							
実は……騎士団内でも、それが有力な説です。ヤツが組織の一員として従順に行動するとは考えづらい……手に入れた力で、ただただ楽しんでいるだけなのではないか、と。			実は……騎士団内でも、それが有力な説です。ヤツが組織の一員として従順に行動するとは考えづらい……手に入れた力で、ただただ楽しんでいるだけなのではないか、と。			死と眠りの境界							
平和を護るための祭器を、ただ自分が楽しむためだけに使うだなんて……サイテーなヤツだな！			平和を護るための祭器を、ただ自分が楽しむためだけに使うだなんて……サイテーなヤツだな！			死と眠りの境界							
つまり、ほかに大規模な作戦の計画があって、現在は下準備に過ぎない、と……。その可能性も見越して警戒を続けるべきでしょうね。			つまり、ほかに大規模な作戦の計画があって、現在は下準備に過ぎない、と……。その可能性も見越して警戒を続けるべきでしょうね。			死と眠りの境界							
あちこちで、祭器を使われたら、被害がどこまで拡大するかわからない。大事になる前に取り返さないと……！			あちこちで、祭器を使われたら、被害がどこまで拡大するかわからない。大事になる前に取り返さないと……！			死と眠りの境界							
いや、ちょっと待てよ？アイツの目的がそうだったとして、どうして神殿騎士ばかりを狙うんだ？			いや、ちょっと待てよ？アイツの目的がそうだったとして、どうして神殿騎士ばかりを狙うんだ？			死と眠りの境界							
言われてみれば妙ですね。キャンプ・ドラゴンヘッドのフォルタン家をはじめ、ほかにも騎兵団はあるのに。			言われてみれば妙ですね。キャンプ・ドラゴンヘッドのフォルタン家をはじめ、ほかにも騎兵団はあるのに。			死と眠りの境界							
レオフィーヌは元神殿騎士ですから、警備の振る舞いについても熟知しているはず。それで、翻弄しやすい我々を……？			レオフィーヌは元神殿騎士ですから、警備の振る舞いについても熟知しているはず。それで、翻弄しやすい我々を……？			死と眠りの境界							
なら、神殿騎士が出向いている場所に行けば、アイツを見つけられるかもな。			なら、神殿騎士が出向いている場所に行けば、アイツを見つけられるかもな。			死と眠りの境界							
ふむ……今、作戦に出ているのはクルザス西部高地ですね。			ふむ……今、作戦に出ているのはクルザス西部高地ですね。			死と眠りの境界							
異端者の巣窟となっていたゴルガニュ牧場を、覚えておいででしょうか。			異端者の巣窟となっていたゴルガニュ牧場を、覚えておいででしょうか。			死と眠りの境界							
あの場所が不埒な輩に狙われぬよう保全するため、現地の騎兵たちと共同で巡回を行う予定なのです。ファルコンネストで「レッドワルド」卿に会ってみてください。			あの場所が不埒な輩に狙われぬよう保全するため、現地の騎兵たちと共同で巡回を行う予定なのです。ファルコンネストで「レッドワルド」卿に会ってみてください。			死と眠りの境界							
ファルコンネストを護っているのは、デュランデル家の騎兵団です。現地で指揮官の「レッドワルド」卿に話を聞いてみてください。			ファルコンネストを護っているのは、デュランデル家の騎兵団です。現地で指揮官の「レッドワルド」卿に話を聞いてみてください。			死と眠りの境界							
む、Surname殿ではないか。それに、見慣れぬ御仁だが……？			む、Surname殿ではないか。それに、見慣れぬ御仁だが……？			死と眠りの境界							
ふむ、最近の神殿騎士たちの悪評は、ここにも届いている。彼らが居眠りをするなど、にわかには信じられなかったのだが、真であったか……。			ふむ、最近の神殿騎士たちの悪評は、ここにも届いている。彼らが居眠りをするなど、にわかには信じられなかったのだが、真であったか……。			死と眠りの境界							
寝てたのは確かなんだけど、実はそれ、敵の攻撃で眠らされた可能性が高いんだ。			寝てたのは確かなんだけど、実はそれ、敵の攻撃で眠らされた可能性が高いんだ。			死と眠りの境界							
なんと、護衛についた者を眠らせる敵とは。であれば、この拠点も警戒する必要がありそうだな。			なんと、護衛についた者を眠らせる敵とは。であれば、この拠点も警戒する必要がありそうだな。			死と眠りの境界							
もっとも、誰かが倒れても、その穴を埋められる体制がすでに整っている。ひとり眠らされた程度で揺らぎはしないだろうが。			もっとも、誰かが倒れても、その穴を埋められる体制がすでに整っている。ひとり眠らされた程度で揺らぎはしないだろうが。			死と眠りの境界							
仲間が戦えなくなる前提で備えてるのか。「眠らずの勇士」がひとりで里を護り抜くオレの部族とは、考え方がずいぶん違うみたいだ。			仲間が戦えなくなる前提で備えてるのか。「眠らずの勇士」がひとりで里を護り抜くオレの部族とは、考え方がずいぶん違うみたいだ。			死と眠りの境界							
仲間の腕前を信じていないわけではないぞ。互いに信頼しあっているからこそ、己が倒れた後のことを安心して任せられるのだ。			仲間の腕前を信じていないわけではないぞ。互いに信頼しあっているからこそ、己が倒れた後のことを安心して任せられるのだ。			死と眠りの境界							
安心して倒れる、か……。オレなら絶対悔しがっちゃうからダメだな。			安心して倒れる、か……。オレなら絶対悔しがっちゃうからダメだな。			死と眠りの境界							
ああ、そうだ、ゴルガニュ牧場の件について……巡回にあたる一行は、すでに現地へ向けて出発している。ファルコンネストからは、哨兵が数名。			ああ、そうだ、ゴルガニュ牧場の件について……巡回にあたる一行は、すでに現地へ向けて出発している。ファルコンネストからは、哨兵が数名。			死と眠りの境界							
そこに同行する神殿騎士たちが護衛を務めているのだが、敵の襲撃を受けるかもしれないのだな？ならば、現場まで様子を見にいってくれまいか。			そこに同行する神殿騎士たちが護衛を務めているのだが、敵の襲撃を受けるかもしれないのだな？ならば、現場まで様子を見にいってくれまいか。			死と眠りの境界							
ゴルガニュ牧場は、このまま北へ向かって進み、ブラックアイアン・ブリッジを渡った先だ。一行は、そろそろ現地に到着する頃だろう。			ゴルガニュ牧場は、このまま北へ向かって進み、ブラックアイアン・ブリッジを渡った先だ。一行は、そろそろ現地に到着する頃だろう。			死と眠りの境界							
レオフィーヌが狙ってるかもしれない。すぐに追いかけよう！			レオフィーヌが狙ってるかもしれない。すぐに追いかけよう！			死と眠りの境界							
何も起こらなければよいのだが……。すまないが、現場の様子を見にいってきてほしい。			何も起こらなければよいのだが……。すまないが、現場の様子を見にいってきてほしい。			死と眠りの境界							
遅かった……全員、眠らされてしまってる！			遅かった……全員、眠らされてしまってる！			死と眠りの境界							
けど、数が少ない。ここにいるのは、見張りをしてた神殿騎士だけみたいだ。			けど、数が少ない。ここにいるのは、見張りをしてた神殿騎士だけみたいだ。			死と眠りの境界							
オレは周囲を警戒しながら、皆を目覚めさせてみる。オマエは建物の中を調べてみてくれ！			オレは周囲を警戒しながら、皆を目覚めさせてみる。オマエは建物の中を調べてみてくれ！			死と眠りの境界							
なに、すでに神殿騎士たちが眠らされていたと……！？急ぎ、応援部隊を組織するので、貴公には、引き続き現地周辺の警戒を頼みたい！			なに、すでに神殿騎士たちが眠らされていたと……！？急ぎ、応援部隊を組織するので、貴公には、引き続き現地周辺の警戒を頼みたい！			死と眠りの境界							
ヘンテコな恰好で眠らされてはいなかったけど……レオフィーヌの仕業なのは間違いなさそうだ。			ヘンテコな恰好で眠らされてはいなかったけど……レオフィーヌの仕業なのは間違いなさそうだ。			死と眠りの境界							
オレは周囲を警戒しながら、皆を目覚めさせてみる。オマエは建物の中を調べてみてくれ！			オレは周囲を警戒しながら、皆を目覚めさせてみる。オマエは建物の中を調べてみてくれ！			死と眠りの境界							
(-男の叫び声-)ぬぬっ、貴様たちは何者だ！？表で見張りをしていた神殿騎士たちはどうしたのだ……！			(-男の叫び声-)ぬぬっ、貴様たちは何者だ！？表で見張りをしていた神殿騎士たちはどうしたのだ……！			死と眠りの境界							
えっ、地下でショーヘーたちが襲われてた？無事かどうか、ちゃんと確かめてみてくれ！			えっ、地下でショーヘーたちが襲われてた？無事かどうか、ちゃんと確かめてみてくれ！			死と眠りの境界							
あ、あなたは英雄殿……！？助かりました、地下を調べていたら、いきなりゴロツキどもに襲われたのです……。			あ、あなたは英雄殿……！？助かりました、地下を調べていたら、いきなりゴロツキどもに襲われたのです……。			死と眠りの境界							
牧場の外で、神殿騎士たちが見張りをしていたはずですが、彼らはやられてしまったのでしょうか？			牧場の外で、神殿騎士たちが見張りをしていたはずですが、彼らはやられてしまったのでしょうか？			死と眠りの境界							
眠っていた、ですと……！？よもや神殿騎士を手玉に取るような輩がいるとは……。			眠っていた、ですと……！？よもや神殿騎士を手玉に取るような輩がいるとは……。			死と眠りの境界							
あなたが来てくださって本当に助かりました。私は傷を癒やしつつ、もう少し内部を調査しておきますので、上に戻って騎士たちと合流してください。			あなたが来てくださって本当に助かりました。私は傷を癒やしつつ、もう少し内部を調査しておきますので、上に戻って騎士たちと合流してください。			死と眠りの境界							
(-額に傷のある女-)これはこれは……もう引き上げようとしてたのに、な～んか見覚えのある奴が牧場に近寄ってくからさぁ。ついつい確かめに戻ってきてみれば。			(-額に傷のある女-)これはこれは……もう引き上げようとしてたのに、な～んか見覚えのある奴が牧場に近寄ってくからさぁ。ついつい確かめに戻ってきてみれば。			死と眠りの境界							
やっと見つけたぞ……！祭器を返せ、このクズ女！			やっと見つけたぞ……！祭器を返せ、このクズ女！			死と眠りの境界							
(-額に傷のある女-)あんた、たしか「眠らずの勇士」だっけ？トラル大陸からこんなとこまで、ご苦労なこった。			(-額に傷のある女-)あんた、たしか「眠らずの勇士」だっけ？トラル大陸からこんなとこまで、ご苦労なこった。			死と眠りの境界							
気をつけろ、Forename！コイツが祭器を盗んだ犯人、レオフィーヌだ！			気をつけろ、Forename！コイツが祭器を盗んだ犯人、レオフィーヌだ！			死と眠りの境界							
そこのいけ好かない足の短い尻尾生やした妙にゴツいモフモフしたすらっとしたカノジョカレも、こいつが目当てなわけ？			そこのいけ好かない足の短い尻尾生やした妙にゴツいモフモフしたすらっとしたカノジョカレも、こいつが目当てなわけ？			死と眠りの境界							
ひとつ忠告しておいてやろう。みんな、もっと自分の人生を大事にした方がいいぞー。			ひとつ忠告しておいてやろう。みんな、もっと自分の人生を大事にした方がいいぞー。			死と眠りの境界							
人間ってのは、とかく不自由な生き物なんだ。やりたいうちにやれることをやっておかないと、あっという間に永眠のお時間。			人間ってのは、とかく不自由な生き物なんだ。やりたいうちにやれることをやっておかないと、あっという間に永眠のお時間。			死と眠りの境界							
だからさ、掟だ使命だなんて綺麗サッパリ忘れて、あんたも好きに生きなよ。他人のために身体張って戦うなんて、馬鹿げてるって。			だからさ、掟だ使命だなんて綺麗サッパリ忘れて、あんたも好きに生きなよ。他人のために身体張って戦うなんて、馬鹿げてるって。			死と眠りの境界							
うるさい、余計なお世話だ！			うるさい、余計なお世話だ！			死と眠りの境界							
かくいうあたしも、辺境で好き勝手暴れてたときに、首領のアパーヒと出会い、組織を立ち上げるって話を聞いてね。今じゃ、幹部のひとりというわけだ。			かくいうあたしも、辺境で好き勝手暴れてたときに、首領のアパーヒと出会い、組織を立ち上げるって話を聞いてね。今じゃ、幹部のひとりというわけだ。			死と眠りの境界							
けれど、イシュガルドをはじめ、世界中の国家を転覆させて、それから……なんて、あいつの「最終目的」には興味がないんだよねー。			けれど、イシュガルドをはじめ、世界中の国家を転覆させて、それから……なんて、あいつの「最終目的」には興味がないんだよねー。			死と眠りの境界							
ただ、高慢ちきな神殿騎士どもの鼻っ柱を折るのは悪くない。だから祭器を使いこなす練習ついでに、連中の評判を落とそうとしてるってところ。			ただ、高慢ちきな神殿騎士どもの鼻っ柱を折るのは悪くない。だから祭器を使いこなす練習ついでに、連中の評判を落とそうとしてるってところ。			死と眠りの境界							
悪趣味な真似しやがって！だったら、オレも好きにやらせてもらう！			悪趣味な真似しやがって！だったら、オレも好きにやらせてもらう！			死と眠りの境界							
オマエをやっつけて、祭器を取り戻す……			オマエをやっつけて、祭器を取り戻す……			死と眠りの境界							
それが、今オレのやりたい……			それが、今オレのやりたい……			死と眠りの境界							
こと、だ……。			こと、だ……。			死と眠りの境界							
あたしを捕まえたきゃ、寝込みでも襲わないと。もっとも、フルパワーで眠気を移しておいたから、当分眠ることなんてないだろうけどね！			あたしを捕まえたきゃ、寝込みでも襲わないと。もっとも、フルパワーで眠気を移しておいたから、当分眠ることなんてないだろうけどね！			死と眠りの境界							
しっかし、眠気が綺麗サッパリなくなっただけで、こんなにも力がみなぎるものなのか？これじゃまるで……。			しっかし、眠気が綺麗サッパリなくなっただけで、こんなにも力がみなぎるものなのか？これじゃまるで……。			死と眠りの境界							
祭器を全開で使うと、連発もできないみたいだね。練習としては上出来、そろそろ「本番」に移る頃合いかな……。			祭器を全開で使うと、連発もできないみたいだね。練習としては上出来、そろそろ「本番」に移る頃合いかな……。			死と眠りの境界							
あんたたち、後の始末は任せたよ。自由にしてやったんだから、少しは働いてみせて。			あんたたち、後の始末は任せたよ。自由にしてやったんだから、少しは働いてみせて。			死と眠りの境界							
なっ、敵襲ですと……！？私のことは放っておいて、英雄殿は応戦を！			なっ、敵襲ですと……！？私のことは放っておいて、英雄殿は応戦を！			死と眠りの境界							
敵襲を退けたのですね、さすがは英雄殿……。私はもう大丈夫ですから、お仲間の救助を！			敵襲を退けたのですね、さすがは英雄殿……。私はもう大丈夫ですから、お仲間の救助を！			死と眠りの境界							
深い眠りに落ちているようだ……。声をかけ、身体を揺すっても、一向に目覚める様子がない。			深い眠りに落ちているようだ……。声をかけ、身体を揺すっても、一向に目覚める様子がない。			死と眠りの境界							
どうやら、襲撃者は撃退できたようですね。			どうやら、襲撃者は撃退できたようですね。			死と眠りの境界							
そちらの方は……？			そちらの方は……？			死と眠りの境界							
どうも、眠っているらしい。これはまさか、フィルマルベルの報告にあった……？			どうも、眠っているらしい。これはまさか、フィルマルベルの報告にあった……？			死と眠りの境界							
……やはり、そうか。祭器による、人為的な昏倒だと確証が取れたのは幸いだ。			……やはり、そうか。祭器による、人為的な昏倒だと確証が取れたのは幸いだ。			死と眠りの境界							
朦朧としていてよく見えなかったのだが、人を喰ったようなあの語り口は、たしかにレオフィーヌだった。かつての同胞に手をかけるとは、どこまでも性根の腐った女よ。			朦朧としていてよく見えなかったのだが、人を喰ったようなあの語り口は、たしかにレオフィーヌだった。かつての同胞に手をかけるとは、どこまでも性根の腐った女よ。			死と眠りの境界							
ヤツの奸計であるにせよ、我らが皆を危険に晒したことは事実。この汚名、甘んじて受けねばなるまい……。			ヤツの奸計であるにせよ、我らが皆を危険に晒したことは事実。この汚名、甘んじて受けねばなるまい……。			死と眠りの境界							
貴公と、こちらのテントーワ殿のおかげで助かった。眠っている彼は、神殿騎士団本部まで我々に運ばせてください。			貴公と、こちらのテントーワ殿のおかげで助かった。眠っている彼は、神殿騎士団本部まで我々に運ばせてください。			死と眠りの境界							
連中はもう近くにはいないでしょうから、私も彼らとともにファルコンネストへ戻ります。英雄殿も、皇都にお戻りを。			連中はもう近くにはいないでしょうから、私も彼らとともにファルコンネストへ戻ります。英雄殿も、皇都にお戻りを。			死と眠りの境界							
牧場での一件は、帰投した哨兵から聞いた。犯人の行方がわかったら、貴公にも共有しよう。			牧場での一件は、帰投した哨兵から聞いた。犯人の行方がわかったら、貴公にも共有しよう。			死と眠りの境界							
Forename殿。ついにレオフィーヌと遭遇したそうですね！			Forename殿。ついにレオフィーヌと遭遇したそうですね！			死と眠りの境界							
テントーワ殿は、本部の2階に運び込まれました。彼が目覚めるまで、我々が責任をもって傍に控えております。			テントーワ殿は、本部の2階に運び込まれました。彼が目覚めるまで、我々が責任をもって傍に控えております。			死と眠りの境界							
ただ眠っているだけなのであれば、心配することもないのかもしれませんが……気になるようでしたら、様子を見にいかれるとよろしいかと。			ただ眠っているだけなのであれば、心配することもないのかもしれませんが……気になるようでしたら、様子を見にいかれるとよろしいかと。			死と眠りの境界							
そしてもうひとつ報せが……。貴殿らがゴルガニュ牧場へ向かうよりも前に、別の事件が起きていたことが発覚しました。			そしてもうひとつ報せが……。貴殿らがゴルガニュ牧場へ向かうよりも前に、別の事件が起きていたことが発覚しました。			死と眠りの境界							
さる牢獄に収監されていた不穏分子たちが、集団脱獄したのです。看守が眠らされていたことから、手引きしたのはレオフィーヌに間違いありません。			さる牢獄に収監されていた不穏分子たちが、集団脱獄したのです。看守が眠らされていたことから、手引きしたのはレオフィーヌに間違いありません。			死と眠りの境界							
ご報告にあった取り巻きは、おそらくこの不穏分子たち。ヤツは、神殿騎士団に恨みを持つゴロツキどもを誘い、己の手駒としているのでしょう。			ご報告にあった取り巻きは、おそらくこの不穏分子たち。ヤツは、神殿騎士団に恨みを持つゴロツキどもを誘い、己の手駒としているのでしょう。			死と眠りの境界							
いずれにせよ、今回のことでレオフィーヌの関与は確定。また、我々神殿騎士団を標的にしているという見立ても、正しいとわかりました。			いずれにせよ、今回のことでレオフィーヌの関与は確定。また、我々神殿騎士団を標的にしているという見立ても、正しいとわかりました。			死と眠りの境界							
それを受け、上層部で協議した結果……祭器の存在については、外部に漏らさぬよう箝口令が敷かれることになりました。			それを受け、上層部で協議した結果……祭器の存在については、外部に漏らさぬよう箝口令が敷かれることになりました。			死と眠りの境界							
「自由の扉」の目的は国家転覆。であるならば、いたずらに民の不安を煽り、国中に混乱を招くのは得策ではないという判断です。			「自由の扉」の目的は国家転覆。であるならば、いたずらに民の不安を煽り、国中に混乱を招くのは得策ではないという判断です。			死と眠りの境界							
「自由の扉」の目的は国家転覆。であるならば、かの偽神獣のように、いたずらに民の不安を煽り、国中に混乱を招くのは得策ではないという判断です。			「自由の扉」の目的は国家転覆。であるならば、かの偽神獣のように、いたずらに民の不安を煽り、国中に混乱を招くのは得策ではないという判断です。			死と眠りの境界							
一連の事件が、我々の失態に過ぎないと思われているうちは、まだ何とかなるでしょう。皇都の平穏のためならば、敢えて汚名を受けることも辞しません！			一連の事件が、我々の失態に過ぎないと思われているうちは、まだ何とかなるでしょう。皇都の平穏のためならば、敢えて汚名を受けることも辞しません！			死と眠りの境界							
ヤツを捕まえるのが先か、我らの権威が地に落ちるのが先か……。今はレオフィーヌの行方を探りつつ、テントーワ殿の目覚めを待ちましょう。			ヤツを捕まえるのが先か、我らの権威が地に落ちるのが先か……。今はレオフィーヌの行方を探りつつ、テントーワ殿の目覚めを待ちましょう。			死と眠りの境界							
神殿騎士団本部のフィルマルベルは、警戒を続けている。			神殿騎士団本部のフィルマルベルは、警戒を続けている。			夢に見た光景							
フィルマルベルと話した。テントーワを心配したローデニケがトラル大陸からやって来た。春陽の雫という秘薬を作れば、彼を目覚めさせられるかもしれない。まずはドラヴァニア雲海のフォーアームズ付近で、「燦々と輝くダンデライオン」を集めよう。			フィルマルベルと話した。テントーワを心配したローデニケがトラル大陸からやって来た。春陽の雫という秘薬を作れば、彼を目覚めさせられるかもしれない。まずはドラヴァニア雲海のフォーアームズ付近で、「燦々と輝くダンデライオン」を集めよう。			夢に見た光景							
燦々と輝くダンデライオンを集めた。低地ドラヴァニアのシャーレアン学士街の「指定地点」で見渡し、現れた魔物を討伐して、熟成されたモルボルの唾液を手に入れよう。			燦々と輝くダンデライオンを集めた。低地ドラヴァニアのシャーレアン学士街の「指定地点」で見渡し、現れた魔物を討伐して、熟成されたモルボルの唾液を手に入れよう。			夢に見た光景							
スティンク・モルボルグレートを倒し、熟成されたモルボルの唾液を手に入れた。集めた素材を、神殿騎士団本部にいる「ローデニケ」に渡そう。			スティンク・モルボルグレートを倒し、熟成されたモルボルの唾液を手に入れた。集めた素材を、神殿騎士団本部にいる「ローデニケ」に渡そう。			夢に見た光景							
ローデニケが作った春陽の雫で、テントーワが深い眠りから覚めた。イシュガルドの聖バルロアイアン広場の「テントーワ」と話そう。			ローデニケが作った春陽の雫で、テントーワが深い眠りから覚めた。イシュガルドの聖バルロアイアン広場の「テントーワ」と話そう。			夢に見た光景							
テントーワと話した。どうやらイッカクの祭器は、相手の生命力を吸い取るのが本来の能力だったようだ。※いずれかのTANKジョブのレベルが98以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			テントーワと話した。どうやらイッカクの祭器は、相手の生命力を吸い取るのが本来の能力だったようだ。※いずれかのTANKジョブのレベルが98以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			夢に見た光景							
フォーアームズで燦々と輝くダンデライオンを集める			フォーアームズで燦々と輝くダンデライオンを集める			夢に見た光景							
シャーレアン学士街の指定地点で見渡してスティンク・モルボルグレートから熟成されたモルボルの唾液を入手			シャーレアン学士街の指定地点で見渡してスティンク・モルボルグレートから熟成されたモルボルの唾液を入手			夢に見た光景							
