ミーン工芸館のケシ・レイは、調達科の受付をしているようだ。			ミーン工芸館のケシ・レイは、調達科の受付をしているようだ。			幻の巨大生物を追え！							
次の納品依頼は、「採掘師／園芸師」のいずれかがレベル78以上になると、ミーン工芸館の「ケシ・レイ」から受注可能です。			次の納品依頼は、「採掘師／園芸師」のいずれかがレベル78以上になると、ミーン工芸館の「ケシ・レイ」から受注可能です。			幻の生物シムーンは実在した！？							
ミーン工芸館のケシ・レイは、冒険者を待ち構えているようだ。			ミーン工芸館のケシ・レイは、冒険者を待ち構えているようだ。			幻の生物シムーンの真相に迫る！							
ケシ・レイと話した。シムーンは幻影で姿を隠し、生息地がコルシア島であることが判明したようだ。捜索隊一行とともにコルシア島へ向かい、スクリー山地の「ケシ・レイ」と話そう。			ケシ・レイと話した。シムーンは幻影で姿を隠し、生息地がコルシア島であることが判明したようだ。捜索隊一行とともにコルシア島へ向かい、スクリー山地の「ケシ・レイ」と話そう。			幻の生物シムーンの真相に迫る！							
コルシア島のケシ・レイと話した。シムーンの幻影を解除するには、粉末ミラージュディスペラーが必要なようだ。スクリー山地付近で、材料となる「薄闇の霊砂」を集めよう。			コルシア島のケシ・レイと話した。シムーンの幻影を解除するには、粉末ミラージュディスペラーが必要なようだ。スクリー山地付近で、材料となる「薄闇の霊砂」を集めよう。			幻の生物シムーンの真相に迫る！							
ケシ・レイに薄闇の霊砂を渡した。「指定地点」で、彼女が製作した「粉末ミラージュディスペラー」を使おう。			ケシ・レイに薄闇の霊砂を渡した。「指定地点」で、彼女が製作した「粉末ミラージュディスペラー」を使おう。			幻の生物シムーンの真相に迫る！							
粉末ミラージュディスペラーを使い、巨大なシムーンの姿を確認した。幼体を連れている様子を見たケシ・レイは、コルシア島でシムーンが繁殖していることを確信した。子連れの生物は気性が荒いため、ひとまずは撤退したほうがよさそうだ。クリスタリウムのミーン工芸館に戻って、「ケシ・レイ」と話そう。			粉末ミラージュディスペラーを使い、巨大なシムーンの姿を確認した。幼体を連れている様子を見たケシ・レイは、コルシア島でシムーンが繁殖していることを確信した。子連れの生物は気性が荒いため、ひとまずは撤退したほうがよさそうだ。クリスタリウムのミーン工芸館に戻って、「ケシ・レイ」と話そう。			幻の生物シムーンの真相に迫る！							
ケシ・レイと話した。シムーンの存在が証明されたことで、シムーン捜索隊は晴れて解散となった。今後もケシ・レイたちは資源調達の傍ら、シムーンの研究を続けるようだ。また不思議な生物や鉱物を発見したら、彼女たちに伝えることにしよう。			ケシ・レイと話した。シムーンの存在が証明されたことで、シムーン捜索隊は晴れて解散となった。今後もケシ・レイたちは資源調達の傍ら、シムーンの研究を続けるようだ。また不思議な生物や鉱物を発見したら、彼女たちに伝えることにしよう。			幻の生物シムーンの真相に迫る！							
スクリー山地北東のケシ・レイと話す			スクリー山地北東のケシ・レイと話す			幻の生物シムーンの真相に迫る！							
スクリー山地で薄闇の霊砂を採集薄闇の霊砂をケシ・レイに納品			スクリー山地で薄闇の霊砂を採集薄闇の霊砂をケシ・レイに納品			幻の生物シムーンの真相に迫る！							
指定地点で粉末ミラージュディスペラーを使う			指定地点で粉末ミラージュディスペラーを使う			幻の生物シムーンの真相に迫る！							
ミーン工芸館のケシ・レイと話す			ミーン工芸館のケシ・レイと話す			幻の生物シムーンの真相に迫る！							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「高き場所より見る景色」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「高き場所より見る景色」を完了する必要があります。			幻の生物シムーンの真相に迫る！							
よく来たね、Forenameくん！さあ、コルシア島へ向かうよ！			よく来たね、Forenameくん！さあ、コルシア島へ向かうよ！			幻の生物シムーンの真相に迫る！							
科長、説明を省きすぎです！Forenameさんが、困ってるじゃないですか！			科長、説明を省きすぎです！Forenameさんが、困ってるじゃないですか！			幻の生物シムーンの真相に迫る！							
Forenameさん、すみません。脱皮片から、シムーンたちの生息地が絞り込めたんですよ。あなたが来たら、みんなで捜索に行こうとしていたんです。			Forenameさん、すみません。脱皮片から、シムーンたちの生息地が絞り込めたんですよ。あなたが来たら、みんなで捜索に行こうとしていたんです。			幻の生物シムーンの真相に迫る！							
入手してもらった脱皮片を分析したところ、表面に塩分が付着していたことが判明しました。おそらく、なんらかの理由で海を渡ってきたのでしょう。			入手してもらった脱皮片を分析したところ、表面に塩分が付着していたことが判明しました。おそらく、なんらかの理由で海を渡ってきたのでしょう。			幻の生物シムーンの真相に迫る！							
海の向こう、かつシムーンほどの巨大生物を養い得る土地、となると、もはやコルシア島しか存在しません！			海の向こう、かつシムーンほどの巨大生物を養い得る土地、となると、もはやコルシア島しか存在しません！			幻の生物シムーンの真相に迫る！							
それにね、それにね！すごーいことがわかったんだよ！シムーンたちが、容易に見つからなかった理由さ！！			それにね、それにね！すごーいことがわかったんだよ！シムーンたちが、容易に見つからなかった理由さ！！			幻の生物シムーンの真相に迫る！							
なんと脱皮片には、クリスタルと同じ成分が含有されていて……組成がミラージュプリズムの構造と類似していたんだ！			なんと脱皮片には、クリスタルと同じ成分が含有されていて……組成がミラージュプリズムの構造と類似していたんだ！			幻の生物シムーンの真相に迫る！							
水晶公と同郷の誰だったかが、クリスタリウムに持ち込んだ、幻影を投射するヤツね！つまり、幻影で姿を隠していたってことさ！			水晶公と同郷の誰だったかが、クリスタリウムに持ち込んだ、幻影を投射するヤツね！つまり、幻影で姿を隠していたってことさ！			幻の生物シムーンの真相に迫る！							
僕たちの見た、あの大きさの巨体を隠すなんて……膨大な魔力を使っているはずです！すごいです！			僕たちの見た、あの大きさの巨体を隠すなんて……膨大な魔力を使っているはずです！すごいです！			幻の生物シムーンの真相に迫る！							
そうそう、そして彼らの幻影を解く触媒さえあれば、生息地とおぼしき場所で大気中に散布することで、シムーンを発見できるかもしれないんだ！			そうそう、そして彼らの幻影を解く触媒さえあれば、生息地とおぼしき場所で大気中に散布することで、シムーンを発見できるかもしれないんだ！			幻の生物シムーンの真相に迫る！							
ただ、その触媒にはちょーっと厄介な素材が必要でね。だから、素材の調達とシムーンの生息地を探すのを兼ねて、シムーン捜索隊の出番というわけさ！			ただ、その触媒にはちょーっと厄介な素材が必要でね。だから、素材の調達とシムーンの生息地を探すのを兼ねて、シムーン捜索隊の出番というわけさ！			幻の生物シムーンの真相に迫る！							
素材について詳しいことは現地で話すから……ひとまず、コルシア島の「スクリー山地」に行こう！早くシムーンに会いたいよ！			素材について詳しいことは現地で話すから……ひとまず、コルシア島の「スクリー山地」に行こう！早くシムーンに会いたいよ！			幻の生物シムーンの真相に迫る！							
シムーンが、まさか海を渡ってきていたなんて……。あなたの採集してくれた脱皮片がなければ、想像もできませんでした。			シムーンが、まさか海を渡ってきていたなんて……。あなたの採集してくれた脱皮片がなければ、想像もできませんでした。			幻の生物シムーンの真相に迫る！							
ここがシムーンの生息地なんですね……！いまも、実はすぐ近くにシムーンがいるかも……！			ここがシムーンの生息地なんですね……！いまも、実はすぐ近くにシムーンがいるかも……！			幻の生物シムーンの真相に迫る！							
よし、このあたりでいいかな。この土地には「薄闇の霊砂」があるはずなんだ！幻影を解除する、粉末ミラージュディスペラーの材料だよ！			よし、このあたりでいいかな。この土地には「薄闇の霊砂」があるはずなんだ！幻影を解除する、粉末ミラージュディスペラーの材料だよ！			幻の生物シムーンの真相に迫る！							
それを、君に採ってきてほしいんだよ。そしたら私がちょちょいっと、粉末ミラージュディスペラーを作っちゃうからさ！			それを、君に採ってきてほしいんだよ。そしたら私がちょちょいっと、粉末ミラージュディスペラーを作っちゃうからさ！			幻の生物シムーンの真相に迫る！							
その間に私たちは、このあたりを探索して、生息地の当たりをつけておくよ！どこにいるかなぁ……うぇへへへへ……。			その間に私たちは、このあたりを探索して、生息地の当たりをつけておくよ！どこにいるかなぁ……うぇへへへへ……。			幻の生物シムーンの真相に迫る！							
見えない生物を探すのは骨が折れますが……目を皿のようにして、痕跡を見つけてみせます！			見えない生物を探すのは骨が折れますが……目を皿のようにして、痕跡を見つけてみせます！			幻の生物シムーンの真相に迫る！							
Forenameさんは、粉末ミラージュディスペラーの素材をお願いしますね！			Forenameさんは、粉末ミラージュディスペラーの素材をお願いしますね！			幻の生物シムーンの真相に迫る！							
そういえば、僕たちがシムーンを見つけたときは、どうして姿が見えたんでしょうね……？粉末ミラージュディスペラーなんて、使ってないのに……。			そういえば、僕たちがシムーンを見つけたときは、どうして姿が見えたんでしょうね……？粉末ミラージュディスペラーなんて、使ってないのに……。			幻の生物シムーンの真相に迫る！							
どうだい？「薄闇の霊砂」は見つかったかな？さあさあ、はやくシムーンのご尊顔を拝みたいよ！			どうだい？「薄闇の霊砂」は見つかったかな？さあさあ、はやくシムーンのご尊顔を拝みたいよ！			幻の生物シムーンの真相に迫る！							
ふむふむ……量、質ともに充分だ！これなら粉末ミラージュディスペラーが作れるよ！ちょっと待ってね！			ふむふむ……量、質ともに充分だ！これなら粉末ミラージュディスペラーが作れるよ！ちょっと待ってね！			幻の生物シムーンの真相に迫る！							
よし、これで完成だよ！その昔、ちょいとかじった錬金術の知識が、役立つ日がくるとはね……。			よし、これで完成だよ！その昔、ちょいとかじった錬金術の知識が、役立つ日がくるとはね……。			幻の生物シムーンの真相に迫る！							
まあでも、素材がいいおかげかな。Forenameくん、調達科専属になってくれたらいいのに。			まあでも、素材がいいおかげかな。Forenameくん、調達科専属になってくれたらいいのに。			幻の生物シムーンの真相に迫る！							
何と答える？			何と答える？			幻の生物シムーンの真相に迫る！							
なってあげてもいい			なってあげてもいい			幻の生物シムーンの真相に迫る！							
ほかにやるべきことがある			ほかにやるべきことがある			幻の生物シムーンの真相に迫る！							
嬉しいこと言ってくれちゃって！でも、君を独り占めにしたら、みんなに怒られてしまうな。			嬉しいこと言ってくれちゃって！でも、君を独り占めにしたら、みんなに怒られてしまうな。			幻の生物シムーンの真相に迫る！							
君がいつも忙しそうに、クリスタリウムを駆け回っているのをよく見かけるもの。それなのに、いつも手を貸してくれてありがとね。			君がいつも忙しそうに、クリスタリウムを駆け回っているのをよく見かけるもの。それなのに、いつも手を貸してくれてありがとね。			幻の生物シムーンの真相に迫る！							
そうだよね。君には、何かに隷属する暮らしはもったいないな。			そうだよね。君には、何かに隷属する暮らしはもったいないな。			幻の生物シムーンの真相に迫る！							
過酷な自然で暮らしている生物は、みな一様に美しい。きっと、何にも縛られずに、自由に生きているからだろうな。君からも、そんな生物たちと同じ雰囲気を感じるよ。			過酷な自然で暮らしている生物は、みな一様に美しい。きっと、何にも縛られずに、自由に生きているからだろうな。君からも、そんな生物たちと同じ雰囲気を感じるよ。			幻の生物シムーンの真相に迫る！							
「粉末ミラージュディスペラー」は、そんな君に託そうね！この近くにシムーンがいるらしいから、そこの高台で使ってみて！			「粉末ミラージュディスペラー」は、そんな君に託そうね！この近くにシムーンがいるらしいから、そこの高台で使ってみて！			幻の生物シムーンの真相に迫る！							
はやく「粉末ミラージュディスペラー」を使ってみてよ！高台で使ったほうが風に乗って遠くまで広がるから、どうか頼むね！			はやく「粉末ミラージュディスペラー」を使ってみてよ！高台で使ったほうが風に乗って遠くまで広がるから、どうか頼むね！			幻の生物シムーンの真相に迫る！							
きっと、このあたりにシムーンがいるはずです……！さっきまた、爪の破片を見つけましたから！			きっと、このあたりにシムーンがいるはずです……！さっきまた、爪の破片を見つけましたから！			幻の生物シムーンの真相に迫る！							
なんとなくシムーンの気配を感じませんか？シムーンは姿を幻影させても、実体はあるはずですから……匂いや物音はするはずなんですよね。			なんとなくシムーンの気配を感じませんか？シムーンは姿を幻影させても、実体はあるはずですから……匂いや物音はするはずなんですよね。			幻の生物シムーンの真相に迫る！							
いままでの「生あたたかい風が吹いた」とか、「突如現れる大きな水たまり」とか……そういう噂は、もしかしたらシムーンが原因なのかも。			いままでの「生あたたかい風が吹いた」とか、「突如現れる大きな水たまり」とか……そういう噂は、もしかしたらシムーンが原因なのかも。			幻の生物シムーンの真相に迫る！							
科長！　Forenameさん！こっちを見てください！！			科長！　Forenameさん！こっちを見てください！！			幻の生物シムーンの真相に迫る！							
すごい……！やっぱりシムーンは実在していたんだ！想像以上の大きさだよ……！			すごい……！やっぱりシムーンは実在していたんだ！想像以上の大きさだよ……！			幻の生物シムーンの真相に迫る！							
科長のおっしゃっていた、魔力で幻影を投射しているという仮説も、当たっていましたね！粉末ミラージュディスペラーは、正しく作用しているようです！			科長のおっしゃっていた、魔力で幻影を投射しているという仮説も、当たっていましたね！粉末ミラージュディスペラーは、正しく作用しているようです！			幻の生物シムーンの真相に迫る！							
うんうん、しかも幼体がいるね！ここはもしかして繁殖地なのかな……！？島は外的な要因を受けにくいから、充分に考えられる……！			うんうん、しかも幼体がいるね！ここはもしかして繁殖地なのかな……！？島は外的な要因を受けにくいから、充分に考えられる……！			幻の生物シムーンの真相に迫る！							
姿を見せないまま群れで行動できるということは……彼らは、私たちには聞こえない音域の鳴き声で、意思疎通をとっているのかもしれないな……！			姿を見せないまま群れで行動できるということは……彼らは、私たちには聞こえない音域の鳴き声で、意思疎通をとっているのかもしれないな……！			幻の生物シムーンの真相に迫る！							
ではなぜ……僕が姿を見かけたときは、幻影投影を解除していたのでしょう……？姿を消したまま生活できるなら、なおさら……。			ではなぜ……僕が姿を見かけたときは、幻影投影を解除していたのでしょう……？姿を消したまま生活できるなら、なおさら……。			幻の生物シムーンの真相に迫る！							
ふむ、そうだね……。これは私の仮説にすぎないけれど……			ふむ、そうだね……。これは私の仮説にすぎないけれど……			幻の生物シムーンの真相に迫る！							
あのシムーンは、恋をしていたんじゃないかな！			あのシムーンは、恋をしていたんじゃないかな！			幻の生物シムーンの真相に迫る！							
こ、恋…………ですか？			こ、恋…………ですか？			幻の生物シムーンの真相に迫る！							
うん、すなわち繁殖期の求愛行動だよ！自分がつがいにふさわしいと、相手に知ってもらうためには、体躯や健康状態を見せつける必要があると思わないかい？			うん、すなわち繁殖期の求愛行動だよ！自分がつがいにふさわしいと、相手に知ってもらうためには、体躯や健康状態を見せつける必要があると思わないかい？			幻の生物シムーンの真相に迫る！							
なるほど……！外敵に見つかる危険を承知で求愛行動なんて、なんだかロマンチックですねぇ……！			なるほど……！外敵に見つかる危険を承知で求愛行動なんて、なんだかロマンチックですねぇ……！			幻の生物シムーンの真相に迫る！							
じゃあ、近くに別のシムーンがいた可能性も……？それに交尾の際はどうしているのでしょうね……！？姿を現すのでしょうか……！			じゃあ、近くに別のシムーンがいた可能性も……？それに交尾の際はどうしているのでしょうね……！？姿を現すのでしょうか……！			幻の生物シムーンの真相に迫る！							
重い体重を支えるために、水中で行っていたことも考えられるね！いやぁ、いつか検証してみたいなぁ……！			重い体重を支えるために、水中で行っていたことも考えられるね！いやぁ、いつか検証してみたいなぁ……！			幻の生物シムーンの真相に迫る！							
どちらにせよ、本格的な研究はこれからだね。もちろん通常の資源研究と併せてだけど……研究対象が多いのは嬉しいねぇ、うぇっへっへ……！			どちらにせよ、本格的な研究はこれからだね。もちろん通常の資源研究と併せてだけど……研究対象が多いのは嬉しいねぇ、うぇっへっへ……！			幻の生物シムーンの真相に迫る！							
おやっ、気づかれてしまったかな！			おやっ、気づかれてしまったかな！			幻の生物シムーンの真相に迫る！							
子連れの生き物は気性が荒いし、あまり警戒されちゃうと、今後の研究に障りそうだ。			子連れの生き物は気性が荒いし、あまり警戒されちゃうと、今後の研究に障りそうだ。			幻の生物シムーンの真相に迫る！							
そろそろ粉末ミラージュディスペラーの効果も切れるだろうし、いったん「ミーン工芸館」へ戻ろうか！博物学の大成は一日にしてならず、だからね。			そろそろ粉末ミラージュディスペラーの効果も切れるだろうし、いったん「ミーン工芸館」へ戻ろうか！博物学の大成は一日にしてならず、だからね。			幻の生物シムーンの真相に迫る！							
本物のシムーンを見ることができて……感無量です！あなたがいなかったら私はきっと、いまもシムーンの存在すら疑ったままでした……！			本物のシムーンを見ることができて……感無量です！あなたがいなかったら私はきっと、いまもシムーンの存在すら疑ったままでした……！			幻の生物シムーンの真相に迫る！							
あの小さい子どものシムーン、可愛かったですね……！無事に大きくなってほしいなぁ……！			あの小さい子どものシムーン、可愛かったですね……！無事に大きくなってほしいなぁ……！			幻の生物シムーンの真相に迫る！							
いやぁ、少しの間だけだったけど、いいものが見れたねぇ！これから生態を調査するのも楽しみだ！			いやぁ、少しの間だけだったけど、いいものが見れたねぇ！これから生態を調査するのも楽しみだ！			幻の生物シムーンの真相に迫る！							
研究もいいですけど、資源の出納管理の仕事もちゃんとやってくださいね！			研究もいいですけど、資源の出納管理の仕事もちゃんとやってくださいね！			幻の生物シムーンの真相に迫る！							
うぇへへ、わかってるよう～。			うぇへへ、わかってるよう～。			幻の生物シムーンの真相に迫る！							
でもヤラーナだって、シムーンの研究楽しみなんでしょ？さっき、これからの研究計画をぶつぶつ呟いてるの、僕聞いたんだから。			でもヤラーナだって、シムーンの研究楽しみなんでしょ？さっき、これからの研究計画をぶつぶつ呟いてるの、僕聞いたんだから。			幻の生物シムーンの真相に迫る！							
そりゃあ、楽しみに決まってるじゃないですか！あんな巨大生物、食性や代謝はどうなっているのか……。調べてみないと気が済みません！			そりゃあ、楽しみに決まってるじゃないですか！あんな巨大生物、食性や代謝はどうなっているのか……。調べてみないと気が済みません！			幻の生物シムーンの真相に迫る！							
シムーンが生存していたのは、奇跡としか言いようがないよ。なにせ100年前、世界のほとんどが光に飲み込まれた結果、生態系は崩壊し、多くの生物が絶滅したからね。			シムーンが生存していたのは、奇跡としか言いようがないよ。なにせ100年前、世界のほとんどが光に飲み込まれた結果、生態系は崩壊し、多くの生物が絶滅したからね。			幻の生物シムーンの真相に迫る！							
私を含め、「光の氾濫」以降に生まれた世代は……人も、本も、生物も、土地も、自然も、いま残っているだけしか知らないんだ。			私を含め、「光の氾濫」以降に生まれた世代は……人も、本も、生物も、土地も、自然も、いま残っているだけしか知らないんだ。			幻の生物シムーンの真相に迫る！							
でも……そんな崖っぷちの世界でなお、前を向くのが、このクリスタリウムの住民の信条さ。			でも……そんな崖っぷちの世界でなお、前を向くのが、このクリスタリウムの住民の信条さ。			幻の生物シムーンの真相に迫る！							
私は、信じてるんだ。いつかあの白い大地に、もういちど命が宿ることを。この世界が再び、生命で満ち溢れる世界になることを。			私は、信じてるんだ。いつかあの白い大地に、もういちど命が宿ることを。この世界が再び、生命で満ち溢れる世界になることを。			幻の生物シムーンの真相に迫る！							
だからこそ、資源の把握と保護が重要なのさ。いつかの遠い未来で花咲く、多様な生命たちのルーツは、いま現在の、この世界にあるんだから。			だからこそ、資源の把握と保護が重要なのさ。いつかの遠い未来で花咲く、多様な生命たちのルーツは、いま現在の、この世界にあるんだから。			幻の生物シムーンの真相に迫る！							
今回発見されたシムーンについても、これから慎重に研究して、生息地を守るよう努めるよ。彼らとともに、未来に向かって進んでいくためにね。			今回発見されたシムーンについても、これから慎重に研究して、生息地を守るよう努めるよ。彼らとともに、未来に向かって進んでいくためにね。			幻の生物シムーンの真相に迫る！							
ヤラーナとマオにも、また分析を手伝ってもらわないとな！			ヤラーナとマオにも、また分析を手伝ってもらわないとな！			幻の生物シムーンの真相に迫る！							
まったく、すぐに仕事を押しつけるんだから……。			まったく、すぐに仕事を押しつけるんだから……。			幻の生物シムーンの真相に迫る！							
それでもまぁ、ついていきますけど！まったく、ケシ・レイ科長は私が見てないと、すぐにサボりますからね！			それでもまぁ、ついていきますけど！まったく、ケシ・レイ科長は私が見てないと、すぐにサボりますからね！			幻の生物シムーンの真相に迫る！							
シムーンが発見されたことで、いままで不可解だった事象も、いろいろ説明がつくようになるかもしれません！今後が楽しみです！			シムーンが発見されたことで、いままで不可解だった事象も、いろいろ説明がつくようになるかもしれません！今後が楽しみです！			幻の生物シムーンの真相に迫る！							
Forenameくんも、協力してくれて、本当にありがとう！晴れてシムーン捜索隊は解散だ！			Forenameくんも、協力してくれて、本当にありがとう！晴れてシムーン捜索隊は解散だ！			幻の生物シムーンの真相に迫る！							
君はこれからも自由に旅を続けるだろうけど、不思議な生物や鉱物の話を見聞きしたら、教えてね！そのときには、また仕事を放りだして探しにでかけよう！			君はこれからも自由に旅を続けるだろうけど、不思議な生物や鉱物の話を見聞きしたら、教えてね！そのときには、また仕事を放りだして探しにでかけよう！			幻の生物シムーンの真相に迫る！							
調達科の貢献ランクが上昇しました！ケシ・レイはあなたの事を、「シムーン捜索隊の名誉隊長」と感じているようです！			調達科の貢献ランクが上昇しました！ケシ・レイはあなたの事を、「シムーン捜索隊の名誉隊長」と感じているようです！			幻の生物シムーンの真相に迫る！							
また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			幻の生物シムーンの真相に迫る！							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			幻の生物シムーンの真相に迫る！							
メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			幻の生物シムーンの真相に迫る！							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			幻の生物シムーンの真相に迫る！							
「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			幻の生物シムーンの真相に迫る！							
