キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
「オク・グンド」の偵察に向かった部隊の様子を、見てきてはもらえないだろうか？			「オク・グンド」の偵察に向かった部隊の様子を、見てきてはもらえないだろうか？			廃村で待つもの							
バ、バヌバヌ族が……急に襲ってきてっ……。			バ、バヌバヌ族が……急に襲ってきてっ……。			廃村で待つもの							
くそっ……。廃村の偵察だからと油断しちまった……。			くそっ……。廃村の偵察だからと油断しちまった……。			廃村で待つもの							
……た、助けが来たのか。			……た、助けが来たのか。			廃村で待つもの							
まさかバヌバヌ族が潜んでいたとは……。助かった、ありがとう。			まさかバヌバヌ族が潜んでいたとは……。助かった、ありがとう。			廃村で待つもの							
恐かった……。キャンプに戻るとするよ。			恐かった……。キャンプに戻るとするよ。			廃村で待つもの							
大きな怪我はない、油断さえしてなければ……。今回は助けられちまったな。			大きな怪我はない、油断さえしてなければ……。今回は助けられちまったな。			廃村で待つもの							
まさかバヌバヌ族が潜んでいたとは……。助かった、ありがとう。			まさかバヌバヌ族が潜んでいたとは……。助かった、ありがとう。			廃村で待つもの							
恐かった……。キャンプに戻るとするよ。			恐かった……。キャンプに戻るとするよ。			廃村で待つもの							
大きな怪我はない、油断さえしてなければ……。今回は助けられちまったな。			大きな怪我はない、油断さえしてなければ……。今回は助けられちまったな。			廃村で待つもの							
戻られたか、Surname殿。偵察に向かった部隊は、無事だっただろうか？			戻られたか、Surname殿。偵察に向かった部隊は、無事だっただろうか？			廃村で待つもの							
……そうか、部下の命が無事でよかった。元々「オク・グンド」は、グンド族という、友好的なバヌバヌの氏族が暮らす集落だったのだ。			……そうか、部下の命が無事でよかった。元々「オク・グンド」は、グンド族という、友好的なバヌバヌの氏族が暮らす集落だったのだ。			廃村で待つもの							
だが、強硬派のブンド族が台頭し、連中を武力で支配した。以後、グンド族は、我らと敵対するようになってな……。ともかく、部下が無事でよかった、感謝するぞ。			だが、強硬派のブンド族が台頭し、連中を武力で支配した。以後、グンド族は、我らと敵対するようになってな……。ともかく、部下が無事でよかった、感謝するぞ。			廃村で待つもの							
キャンプ・クラウドトップのファブルレーは、悩んでいるようだ。			キャンプ・クラウドトップのファブルレーは、悩んでいるようだ。			食糧危機の救い主							
ファブルレーから仕事を依頼された。アバラシア雲海のラストステップにいる「ウィセント」から「ウィセントの肉」を4個入手しよう。			ファブルレーから仕事を依頼された。アバラシア雲海のラストステップにいる「ウィセント」から「ウィセントの肉」を4個入手しよう。			食糧危機の救い主							
ウィセントの肉を4個手に入れた。キャンプ・クラウドトップの「ファブルレー」に「ウィセントの肉」を渡そう。			ウィセントの肉を4個手に入れた。キャンプ・クラウドトップの「ファブルレー」に「ウィセントの肉」を渡そう。			食糧危機の救い主							
ウィセントの肉をファブルレーに渡した。ウィセントの肉は美味しくないらしいが、羊の飼育が落ち着くまでは、頼りにすることが続きそうだ。			ウィセントの肉をファブルレーに渡した。ウィセントの肉は美味しくないらしいが、羊の飼育が落ち着くまでは、頼りにすることが続きそうだ。			食糧危機の救い主							
ウィセントからウィセントの肉を入手			ウィセントからウィセントの肉を入手			食糧危機の救い主							
ファブルレーにウィセントの肉を渡す			ファブルレーにウィセントの肉を渡す			食糧危機の救い主							
これは……やばいな。お前さん、手を貸してくれないか？食料が結構ギリギリになっちまったんだ。			これは……やばいな。お前さん、手を貸してくれないか？食料が結構ギリギリになっちまったんだ。			食糧危機の救い主							
「ラストステップ」辺りにいる「ウィセント」から、「ウィセントの肉」を4頭ぶん取ってきてくれ。さして美味い肉じゃないが、贅沢はいってられないからな。			「ラストステップ」辺りにいる「ウィセント」から、「ウィセントの肉」を4頭ぶん取ってきてくれ。さして美味い肉じゃないが、贅沢はいってられないからな。			食糧危機の救い主							
「ラストステップ」辺りにいる「ウィセント」から、「ウィセントの肉」を4頭ぶん取ってきてくれ。さして美味い肉じゃないが、贅沢はいってられないからな。			「ラストステップ」辺りにいる「ウィセント」から、「ウィセントの肉」を4頭ぶん取ってきてくれ。さして美味い肉じゃないが、贅沢はいってられないからな。			食糧危機の救い主							
「ラストステップ」辺りにいる「ウィセント」から、「ウィセントの肉」を4頭ぶん取ってきてくれ。さして美味い肉じゃないが、贅沢はいってられないからな。			「ラストステップ」辺りにいる「ウィセント」から、「ウィセントの肉」を4頭ぶん取ってきてくれ。さして美味い肉じゃないが、贅沢はいってられないからな。			食糧危機の救い主							
……おお、助かった！これで少しの間、食糧にも余裕ができる。ウィセントがこの地に適応したことに感謝しないとな。			……おお、助かった！これで少しの間、食糧にも余裕ができる。ウィセントがこの地に適応したことに感謝しないとな。			食糧危機の救い主							
奴らは最初にここに来た部隊が、連れ込んだものでね。浮島の草のせいなのか、肉の味は微妙だけど、おかげで新鮮な肉が手に入る……すばらしいと思わないか？			奴らは最初にここに来た部隊が、連れ込んだものでね。浮島の草のせいなのか、肉の味は微妙だけど、おかげで新鮮な肉が手に入る……すばらしいと思わないか？			食糧危機の救い主							
最近じゃ、羊の飼育も始めてるんだが、雲海の特殊な環境に適応させるのに苦労していてな。そっちが落ち着くまで、ウィセント頼みは続きそうだ。			最近じゃ、羊の飼育も始めてるんだが、雲海の特殊な環境に適応させるのに苦労していてな。そっちが落ち着くまで、ウィセント頼みは続きそうだ。			食糧危機の救い主							
キャンプ・クラウドトップのファブルレーは、何かを思いついたようだ。			キャンプ・クラウドトップのファブルレーは、何かを思いついたようだ。			卵の未来							
ファブルレーからガストルニスの大卵を取ってくるよう頼まれた。アバラシア雲海のウィセントヘッドにある「ガストルニスの巣」を調べ、「ガストルニスの大卵」を入手しよう。			ファブルレーからガストルニスの大卵を取ってくるよう頼まれた。アバラシア雲海のウィセントヘッドにある「ガストルニスの巣」を調べ、「ガストルニスの大卵」を入手しよう。			卵の未来							
ガストルニスの大卵を入手した。キャンプ・クラウドトップの「ファブルレー」に「ガストルニスの大卵」を渡そう。			ガストルニスの大卵を入手した。キャンプ・クラウドトップの「ファブルレー」に「ガストルニスの大卵」を渡そう。			卵の未来							
ファブルレーにガストルニスの大卵を渡した。彼はこの卵を孵して育て、産ませた卵を取るつもりのようだ。			ファブルレーにガストルニスの大卵を渡した。彼はこの卵を孵して育て、産ませた卵を取るつもりのようだ。			卵の未来							
ガストルニスの巣からガストルニスの大卵を入手			ガストルニスの巣からガストルニスの大卵を入手			卵の未来							
ファブルレーにガストルニスの大卵を渡す			ファブルレーにガストルニスの大卵を渡す			卵の未来							
これは……いいこと思いついてしまったぞ！「ウィセントヘッド」で、ガストルニスの巣を見つけたんだ。			これは……いいこと思いついてしまったぞ！「ウィセントヘッド」で、ガストルニスの巣を見つけたんだ。			卵の未来							
巣の中に卵があれば、もうけものだ！巣を調べて、「ガストルニスの大卵」をひとつ、取ってきてくれないか？			巣の中に卵があれば、もうけものだ！巣を調べて、「ガストルニスの大卵」をひとつ、取ってきてくれないか？			卵の未来							
巣の中に卵があれば、もうけものだ！巣を調べて、「ガストルニスの大卵」をひとつ、取ってきてくれないか？			巣の中に卵があれば、もうけものだ！巣を調べて、「ガストルニスの大卵」をひとつ、取ってきてくれないか？			卵の未来							
「ガストルニスの大卵」は見つからなかった……。			「ガストルニスの大卵」は見つからなかった……。			卵の未来							
巣の中に卵があれば、もうけものだ！巣を調べて、「ガストルニスの大卵」をひとつ、取ってきてくれないか？			巣の中に卵があれば、もうけものだ！巣を調べて、「ガストルニスの大卵」をひとつ、取ってきてくれないか？			卵の未来							
おお！　まだあったかいな！ありがとうよ！			おお！　まだあったかいな！ありがとうよ！			卵の未来							
……え？　いやいや、食べるんじゃない。この卵を孵して、育ててやるのさ。そうすりゃ将来は、毎日卵が食べられるだろ？			……え？　いやいや、食べるんじゃない。この卵を孵して、育ててやるのさ。そうすりゃ将来は、毎日卵が食べられるだろ？			卵の未来							
キャンプ・クラウドトップのカリボーは、畑を眺めているようだ。			キャンプ・クラウドトップのカリボーは、畑を眺めているようだ。			黒くて柔らかいあいつ							
カリボーから、柔らかな黒土を集めてくるよう頼まれた。アバラシア雲海のウィセントヘッドで「柔らかな黒土」を入手しよう。			カリボーから、柔らかな黒土を集めてくるよう頼まれた。アバラシア雲海のウィセントヘッドで「柔らかな黒土」を入手しよう。			黒くて柔らかいあいつ							
柔らかな黒土を集めた。キャンプ・クラウドトップの「カリボー」に「柔らかな黒土」を渡そう。			柔らかな黒土を集めた。キャンプ・クラウドトップの「カリボー」に「柔らかな黒土」を渡そう。			黒くて柔らかいあいつ							
カリボーに柔らかな黒土を渡した。雲海の土には栄養が少ないため、このような黒土を畑にまく必要があるらしい。……あとで、しっかり手を洗ったほうが良さそうだ。			カリボーに柔らかな黒土を渡した。雲海の土には栄養が少ないため、このような黒土を畑にまく必要があるらしい。……あとで、しっかり手を洗ったほうが良さそうだ。			黒くて柔らかいあいつ							
柔らかな黒土を入手			柔らかな黒土を入手			黒くて柔らかいあいつ							
カリボーに柔らかな黒土を渡す			カリボーに柔らかな黒土を渡す			黒くて柔らかいあいつ							
冒険者さん、「柔らかな黒土」を5つ集めてきてほしい。東のウィセントが生息する場所にあるはずだ。畑に必要なものでね、よろしく頼むよ。			冒険者さん、「柔らかな黒土」を5つ集めてきてほしい。東のウィセントが生息する場所にあるはずだ。畑に必要なものでね、よろしく頼むよ。			黒くて柔らかいあいつ							
冒険者さん、「柔らかな黒土」を5つ集めてきてほしい。東のウィセントが生息する場所にあるはずだ。畑に必要なものでね、よろしく頼むよ。			冒険者さん、「柔らかな黒土」を5つ集めてきてほしい。東のウィセントが生息する場所にあるはずだ。畑に必要なものでね、よろしく頼むよ。			黒くて柔らかいあいつ							
冒険者さん、「柔らかな黒土」を5つ集めてきてほしい。東のウィセントが生息する場所にあるはずだ。畑に必要なものでね、よろしく頼むよ。			冒険者さん、「柔らかな黒土」を5つ集めてきてほしい。東のウィセントが生息する場所にあるはずだ。畑に必要なものでね、よろしく頼むよ。			黒くて柔らかいあいつ							
……そう、これこれ。ありがとう、助かったよ。			……そう、これこれ。ありがとう、助かったよ。			黒くて柔らかいあいつ							
ほら、雲海の土って養分が少ないからさ。畑で作物を実らせるには、ウィセントのフ……じゃなくて、こういった黒土が必要なのさ！　ハハハ！			ほら、雲海の土って養分が少ないからさ。畑で作物を実らせるには、ウィセントのフ……じゃなくて、こういった黒土が必要なのさ！　ハハハ！			黒くて柔らかいあいつ							
ローズハウスのギルドンは、なにやら困っている。			ローズハウスのギルドンは、なにやら困っている。			雲海の騎兵と悲しい決断							
ギルドンから、ダルメルの討伐を頼まれた。アバラシア雲海のラストステップにいる「ダルメル」を4体討伐しよう。			ギルドンから、ダルメルの討伐を頼まれた。アバラシア雲海のラストステップにいる「ダルメル」を4体討伐しよう。			雲海の騎兵と悲しい決断							
ダルメルを討伐した。ローズハウスの「ギルドン」に報告しよう。			ダルメルを討伐した。ローズハウスの「ギルドン」に報告しよう。			雲海の騎兵と悲しい決断							
ギルドンに報告をした。ギルドンによれば、ダルメルは戯れているつもりらしい。しかし、命の危機も感じるほどになれば、討伐するしかないようだ。			ギルドンに報告をした。ギルドンによれば、ダルメルは戯れているつもりらしい。しかし、命の危機も感じるほどになれば、討伐するしかないようだ。			雲海の騎兵と悲しい決断							
ダルメルを討伐			ダルメルを討伐			雲海の騎兵と悲しい決断							
ギルドンに報告			ギルドンに報告			雲海の騎兵と悲しい決断							
……警戒任務がなければ自分が駆除してやるものを！むむっ、またもや、ちょうど良いところに！あなたにお願いしたいことがあ～る！			……警戒任務がなければ自分が駆除してやるものを！むむっ、またもや、ちょうど良いところに！あなたにお願いしたいことがあ～る！			雲海の騎兵と悲しい決断							
ローズハウスに、「ダルメル」がやってくるのだが、数が多く、我らの任務に支障が出ているのだ。4匹ほど討伐し、間引いてほしいのであ～る！			ローズハウスに、「ダルメル」がやってくるのだが、数が多く、我らの任務に支障が出ているのだ。4匹ほど討伐し、間引いてほしいのであ～る！			雲海の騎兵と悲しい決断							
ローズハウスに、「ダルメル」がやってくるのだが、数が多く、我らの任務に支障が出ているのだ。4匹ほど討伐し、間引いてほしいのであ～る！			ローズハウスに、「ダルメル」がやってくるのだが、数が多く、我らの任務に支障が出ているのだ。4匹ほど討伐し、間引いてほしいのであ～る！			雲海の騎兵と悲しい決断							
ダルメルを間引いてくれたか！感謝するのである！最近は、増えすぎて命の危機を感じていたの～だ！			ダルメルを間引いてくれたか！感謝するのである！最近は、増えすぎて命の危機を感じていたの～だ！			雲海の騎兵と悲しい決断							
奴らは、少し前からやってくるようになってな。おそらく戯れているつもりなのだろうが……。かわいそうだが、被害が出れば討伐するしかないのであ～る。			奴らは、少し前からやってくるようになってな。おそらく戯れているつもりなのだろうが……。かわいそうだが、被害が出れば討伐するしかないのであ～る。			雲海の騎兵と悲しい決断							
ローズハウスのギルドンは、バヌバヌ族の斥候に関して冒険者に頼みがあるようだ。			ローズハウスのギルドンは、バヌバヌ族の斥候に関して冒険者に頼みがあるようだ。			雲海の騎兵と奇妙な偵察							
冒険者がバヌバヌ族の斥候を倒した高台では、過去にも同じようにバヌバヌ族が現れていたそうだ。ギルドンはそこに理由があると感じ、冒険者に調査を頼んだ。アバラシア雲海のクラウドトップで「バヌバヌ族」を探し、襲われたら討伐しよう。			冒険者がバヌバヌ族の斥候を倒した高台では、過去にも同じようにバヌバヌ族が現れていたそうだ。ギルドンはそこに理由があると感じ、冒険者に調査を頼んだ。アバラシア雲海のクラウドトップで「バヌバヌ族」を探し、襲われたら討伐しよう。			雲海の騎兵と奇妙な偵察							
高台にいたバヌバヌ族の斥候を倒すと、動物の骨らしきものを落とした。「傷だらけの骨」を拾おう。			高台にいたバヌバヌ族の斥候を倒すと、動物の骨らしきものを落とした。「傷だらけの骨」を拾おう。			雲海の騎兵と奇妙な偵察							
傷だらけの骨を入手した。ローズハウスのギルドンに「傷だらけの骨」を渡そう。			傷だらけの骨を入手した。ローズハウスのギルドンに「傷だらけの骨」を渡そう。			雲海の騎兵と奇妙な偵察							
ギルドンに傷だらけの骨を渡した。バヌバヌ族が高台で偵察するのには理由があると、彼は確信したようだ。その理由を探るため、受けとった傷だらけの骨を調べていくという。			ギルドンに傷だらけの骨を渡した。バヌバヌ族が高台で偵察するのには理由があると、彼は確信したようだ。その理由を探るため、受けとった傷だらけの骨を調べていくという。			雲海の騎兵と奇妙な偵察							
バヌバヌ族を探し、襲われたら討伐			バヌバヌ族を探し、襲われたら討伐			雲海の騎兵と奇妙な偵察							
傷だらけの骨を拾う			傷だらけの骨を拾う			雲海の騎兵と奇妙な偵察							
ギルドンに傷だらけの骨を渡す			ギルドンに傷だらけの骨を渡す			雲海の騎兵と奇妙な偵察							
おお、御客人、よいところに来た！あなたが発見した高台のバヌバヌ族について、とある巡察兵の報告書を思い出したのであ～る！			おお、御客人、よいところに来た！あなたが発見した高台のバヌバヌ族について、とある巡察兵の報告書を思い出したのであ～る！			雲海の騎兵と奇妙な偵察							
バヌバヌ族は何度も高台に現れ、その都度、巡察兵に追い払われているそうだ！報告書では「定期的な偵察」と結論づけられてい～る！			バヌバヌ族は何度も高台に現れ、その都度、巡察兵に追い払われているそうだ！報告書では「定期的な偵察」と結論づけられてい～る！			雲海の騎兵と奇妙な偵察							
……しかし、奇妙だとは思わぬか？なぜ、バヌバヌ族はあの高台にこだわるの～か！？			……しかし、奇妙だとは思わぬか？なぜ、バヌバヌ族はあの高台にこだわるの～か！？			雲海の騎兵と奇妙な偵察							
調べに行きたいが、歩哨を抜けるわけにはいかぬ。すまぬが、再び高台に赴いてバヌバヌ族を探し、奴らの企みを暴くカギを見つけてほし～い！			調べに行きたいが、歩哨を抜けるわけにはいかぬ。すまぬが、再び高台に赴いてバヌバヌ族を探し、奴らの企みを暴くカギを見つけてほし～い！			雲海の騎兵と奇妙な偵察							
調べに行きたいが、歩哨を抜けるわけにはいかぬ。すまぬが、再び高台に赴いてバヌバヌ族を探し、奴らの企みを暴くカギを見つけてほし～い！			調べに行きたいが、歩哨を抜けるわけにはいかぬ。すまぬが、再び高台に赴いてバヌバヌ族を探し、奴らの企みを暴くカギを見つけてほし～い！			雲海の騎兵と奇妙な偵察							
変化はなくとも、苔生す岩のごとく、偵察を続けねば。……ムッ、何奴！？			変化はなくとも、苔生す岩のごとく、偵察を続けねば。……ムッ、何奴！？			雲海の騎兵と奇妙な偵察							
待っていたぞ！！バヌバヌ族の企みを暴くカギは見つけた～か！？			待っていたぞ！！バヌバヌ族の企みを暴くカギは見つけた～か！？			雲海の騎兵と奇妙な偵察							
これは……動物の骨だな。文字には見えぬが、模様のような傷跡が、ビッシリとつけられているようだが……。			これは……動物の骨だな。文字には見えぬが、模様のような傷跡が、ビッシリとつけられているようだが……。			雲海の騎兵と奇妙な偵察							
意味するところはわからぬが、高台から見える「何か」を記していた証拠であ～る！			意味するところはわからぬが、高台から見える「何か」を記していた証拠であ～る！			雲海の騎兵と奇妙な偵察							
これはもしかすると、武勲に繋がるかもしれぬ！骨について、引き続き調べてみよ～う！			これはもしかすると、武勲に繋がるかもしれぬ！骨について、引き続き調べてみよ～う！			雲海の騎兵と奇妙な偵察							
ローズハウスのギルドンは、武勲を立てるために手を貸してほしいようだ。			ローズハウスのギルドンは、武勲を立てるために手を貸してほしいようだ。			雲海の騎兵と迫る危機							
ギルドンから、ドラゴン族がいないか調べてほしいと頼まれた。アバラシア雲海のキャンプ・クラウドトップでドラゴン族の情報を集めよう。			ギルドンから、ドラゴン族がいないか調べてほしいと頼まれた。アバラシア雲海のキャンプ・クラウドトップでドラゴン族の情報を集めよう。			雲海の騎兵と迫る危機							
クラウドトップに、ドラゴン族が潜んでいるかもしれないとの情報を得た。アバラシア雲海のクラウドトップで怪しい魔物を探し、襲われたら討伐しよう。			クラウドトップに、ドラゴン族が潜んでいるかもしれないとの情報を得た。アバラシア雲海のクラウドトップで怪しい魔物を探し、襲われたら討伐しよう。			雲海の騎兵と迫る危機							
高台にいたバヌバヌ族の斥候を倒した。ローズハウスの「ギルドン」に報告しよう。			高台にいたバヌバヌ族の斥候を倒した。ローズハウスの「ギルドン」に報告しよう。			雲海の騎兵と迫る危機							
ギルドンに報告した。バヌバヌ族の斥候は、何を見ていたのだろうか？ギルドンは、プロテクトゥール号を見ていたのではと言うが……。			ギルドンに報告した。バヌバヌ族の斥候は、何を見ていたのだろうか？ギルドンは、プロテクトゥール号を見ていたのではと言うが……。			雲海の騎兵と迫る危機							
キャンプ・クラウドトップで情報を集める			キャンプ・クラウドトップで情報を集める			雲海の騎兵と迫る危機							
怪しい魔物を探し、襲われたら討伐			怪しい魔物を探し、襲われたら討伐			雲海の騎兵と迫る危機							
ギルドンに報告			ギルドンに報告			雲海の騎兵と迫る危機							
食事の改善が見込めないのであれば、もはや、自ら立ち上がるほかあるまい……！そう……自分が武勲を立て、皆に刺激をあたえるのであ～る！			食事の改善が見込めないのであれば、もはや、自ら立ち上がるほかあるまい……！そう……自分が武勲を立て、皆に刺激をあたえるのであ～る！			雲海の騎兵と迫る危機							
武勲といったら……ひとつしかない！そう、大きい大きい、ドラゴン族を倒すことの～み！			武勲といったら……ひとつしかない！そう、大きい大きい、ドラゴン族を倒すことの～み！			雲海の騎兵と迫る危機							
この辺りには、ドラゴン族は飛来せんと言われているが、1匹くらい、紛れ込んでいるヤツがいるかもしれ～ん！			この辺りには、ドラゴン族は飛来せんと言われているが、1匹くらい、紛れ込んでいるヤツがいるかもしれ～ん！			雲海の騎兵と迫る危機							
しかし、まことに遺憾ながら、歩哨任務の最中ゆえ、持ち場は離れられん！自分の代わりに、ドラゴン族を探してくれないだろ～か！？			しかし、まことに遺憾ながら、歩哨任務の最中ゆえ、持ち場は離れられん！自分の代わりに、ドラゴン族を探してくれないだろ～か！？			雲海の騎兵と迫る危機							
まずは「キャンプ・クラウドトップ」で聞き込みをするといい！ああ、見つけた獲物がドラゴン族でなければ、あなたが倒してしまってく～れ、ハッハッハ！！			まずは「キャンプ・クラウドトップ」で聞き込みをするといい！ああ、見つけた獲物がドラゴン族でなければ、あなたが倒してしまってく～れ、ハッハッハ！！			雲海の騎兵と迫る危機							
まずは「キャンプ・クラウドトップ」で聞き込みをするといい！ああ、見つけた獲物がドラゴン族でなければ、あなたが倒してしまってく～れ、ハッハッハ！！			まずは「キャンプ・クラウドトップ」で聞き込みをするといい！ああ、見つけた獲物がドラゴン族でなければ、あなたが倒してしまってく～れ、ハッハッハ！！			雲海の騎兵と迫る危機							
……え？　ドラゴン族を見かけてないかって？馬鹿言っちゃいけないよ。こんなところまで、ドラゴン族が来るわけないさ。			……え？　ドラゴン族を見かけてないかって？馬鹿言っちゃいけないよ。こんなところまで、ドラゴン族が来るわけないさ。			雲海の騎兵と迫る危機							
馬鹿言っちゃいけないよ。こんなところまで、ドラゴン族が来るわけないさ。			馬鹿言っちゃいけないよ。こんなところまで、ドラゴン族が来るわけないさ。			雲海の騎兵と迫る危機							
ドラゴン族が来るような場所が、「左遷の地」なんて呼ばれるわけがないでしょう？この辺りの敵らしい敵といえば、バヌバヌ族くらいよ。			ドラゴン族が来るような場所が、「左遷の地」なんて呼ばれるわけがないでしょう？この辺りの敵らしい敵といえば、バヌバヌ族くらいよ。			雲海の騎兵と迫る危機							
ああ、でも「クラウドトップ」の高台の辺りで、魔物のものらしき食事跡を見つけたことがあるわ。……ま、まさか、ドラゴン族じゃないわよね？			ああ、でも「クラウドトップ」の高台の辺りで、魔物のものらしき食事跡を見つけたことがあるわ。……ま、まさか、ドラゴン族じゃないわよね？			雲海の騎兵と迫る危機							
ああ、でも「クラウドトップ」の高台の辺りで、魔物のものらしき食事跡を見つけたことがあるわ。……ま、まさか、ドラゴン族じゃないわよね？			ああ、でも「クラウドトップ」の高台の辺りで、魔物のものらしき食事跡を見つけたことがあるわ。……ま、まさか、ドラゴン族じゃないわよね？			雲海の騎兵と迫る危機							
うむ……正体はわからぬが、「プロテクトゥール号」の整備中、妙な視線を感じたことがある。対ドラゴン用の飛空艇を監視するとは、何者なのだろうな……。			うむ……正体はわからぬが、「プロテクトゥール号」の整備中、妙な視線を感じたことがある。対ドラゴン用の飛空艇を監視するとは、何者なのだろうな……。			雲海の騎兵と迫る危機							
「プロテクトゥール号」の整備中、妙な視線を感じたことがある。対ドラゴン用の飛空艇を監視するとは、何者なのだろうな……。			「プロテクトゥール号」の整備中、妙な視線を感じたことがある。対ドラゴン用の飛空艇を監視するとは、何者なのだろうな……。			雲海の騎兵と迫る危機							
本日も、眼下に広がる雲海のごとく変化なし。…………ハッ！？			本日も、眼下に広がる雲海のごとく変化なし。…………ハッ！？			雲海の騎兵と迫る危機							
目撃者は生かしておけぬ！			目撃者は生かしておけぬ！			雲海の騎兵と迫る危機							
どうだ、ドラゴン族の情報は掴めた～か！？			どうだ、ドラゴン族の情報は掴めた～か！？			雲海の騎兵と迫る危機							
見つけたのはドラゴン族ではなく、バヌバヌ族か……。はぁ、やはりこの近辺までは、飛来せんようだな。まさしく「左遷の地」であ～る。			見つけたのはドラゴン族ではなく、バヌバヌ族か……。はぁ、やはりこの近辺までは、飛来せんようだな。まさしく「左遷の地」であ～る。			雲海の騎兵と迫る危機							
しかし、そのバヌバヌ族は何を見ていたのであろうか……？高台から見えるのは、「プロテクトゥール号」くらい。ふむ、故障続きで動かない船も、彼らには脅威ということ～か。			しかし、そのバヌバヌ族は何を見ていたのであろうか……？高台から見えるのは、「プロテクトゥール号」くらい。ふむ、故障続きで動かない船も、彼らには脅威ということ～か。			雲海の騎兵と迫る危機							
少し気にはなるが、相手がバヌバヌ族では、大した武勲に繋がらんであろう！自分は諦めず、輝かしい武勲を求めるのであ～る！			少し気にはなるが、相手がバヌバヌ族では、大した武勲に繋がらんであろう！自分は諦めず、輝かしい武勲を求めるのであ～る！			雲海の騎兵と迫る危機							
ローズハウスのギルドンは、冒険者の力を見込んで、頼みたいことがあるようだ。			ローズハウスのギルドンは、冒険者の力を見込んで、頼みたいことがあるようだ。			雲海の騎兵と届かぬ熱意							
ギルドンは、食事の改善をするよう補給係のファブルレーを説得してほしいと頼んできた。アバラシア雲海のキャンプ・クラウドトップにいる「ファブルレー」と話そう。			ギルドンは、食事の改善をするよう補給係のファブルレーを説得してほしいと頼んできた。アバラシア雲海のキャンプ・クラウドトップにいる「ファブルレー」と話そう。			雲海の騎兵と届かぬ熱意							
ファブルレーに食事の改善を持ちかけるも、断られた。さらに、ギルドンを諦めさせるため、クラウドマッシュルームを採取して渡すよう頼まれた。アバラシア雲海のクラウドトップにある「クラウドマッシュルーム」を入手しよう。			ファブルレーに食事の改善を持ちかけるも、断られた。さらに、ギルドンを諦めさせるため、クラウドマッシュルームを採取して渡すよう頼まれた。アバラシア雲海のクラウドトップにある「クラウドマッシュルーム」を入手しよう。			雲海の騎兵と届かぬ熱意							
クラウドマッシュルームを入手した。ローズハウスの「ギルドン」に「クラウドマッシュルーム」を渡そう。			クラウドマッシュルームを入手した。ローズハウスの「ギルドン」に「クラウドマッシュルーム」を渡そう。			雲海の騎兵と届かぬ熱意							
クラウドマッシュルームをギルドンに渡した。ギルドンは、ファブルレーの説得を諦め、士気を高める別の手段を考えるようだ。			クラウドマッシュルームをギルドンに渡した。ギルドンは、ファブルレーの説得を諦め、士気を高める別の手段を考えるようだ。			雲海の騎兵と届かぬ熱意							
ファブルレーと話す			ファブルレーと話す			雲海の騎兵と届かぬ熱意							
クラウドマッシュルームを入手			クラウドマッシュルームを入手			雲海の騎兵と届かぬ熱意							
ギルドンにクラウドマッシュルームを渡す			ギルドンにクラウドマッシュルームを渡す			雲海の騎兵と届かぬ熱意							
もしや、あなたがフォルタン家の御客人か！？自分の名は、ギルドン！あなたの力を見込んで、お願いしたいことがあ～る！			もしや、あなたがフォルタン家の御客人か！？自分の名は、ギルドン！あなたの力を見込んで、お願いしたいことがあ～る！			雲海の騎兵と届かぬ熱意							
当地は、はっきり言ってしまえば左遷の地！兵の士気も相応に低く、だらけきってい～る！			当地は、はっきり言ってしまえば左遷の地！兵の士気も相応に低く、だらけきってい～る！			雲海の騎兵と届かぬ熱意							
栄光あるアインハルト家の騎兵が、その素晴らしい力を、ただ腐らせるだけとは嘆かわしい！自分は兵の士気をあげ、この地を生まれ変わらせたいの～だ！			栄光あるアインハルト家の騎兵が、その素晴らしい力を、ただ腐らせるだけとは嘆かわしい！自分は兵の士気をあげ、この地を生まれ変わらせたいの～だ！			雲海の騎兵と届かぬ熱意							
そこで、自分は貧相な食事の改善を考えた！食事と士気には、密接な関係があるといわれている！つまり、美味い物を食わせれば、士気も上がるはずであ～る！			そこで、自分は貧相な食事の改善を考えた！食事と士気には、密接な関係があるといわれている！つまり、美味い物を食わせれば、士気も上がるはずであ～る！			雲海の騎兵と届かぬ熱意							
しか～し！自分が補給係の「ファブルレー」殿に改善を頼んでも、一向に取りあってくれないの～だ！			しか～し！自分が補給係の「ファブルレー」殿に改善を頼んでも、一向に取りあってくれないの～だ！			雲海の騎兵と届かぬ熱意							
あなたから、食事の重要性について説得願えまいか！歴戦の強者であるあなたの言葉なら、彼も受け入れるはず！さあ、頼んだであ～る！			あなたから、食事の重要性について説得願えまいか！歴戦の強者であるあなたの言葉なら、彼も受け入れるはず！さあ、頼んだであ～る！			雲海の騎兵と届かぬ熱意							
あなたから、食事の重要性について説得願えまいか！歴戦の強者であるあなたの言葉なら、彼も受け入れるはず！さあ、頼んだ～ぞ！			あなたから、食事の重要性について説得願えまいか！歴戦の強者であるあなたの言葉なら、彼も受け入れるはず！さあ、頼んだ～ぞ！			雲海の騎兵と届かぬ熱意							
……はあ？　食事の素晴らしさだって？お前さん、ギルドンの奴に吹きこまれたな。			……はあ？　食事の素晴らしさだって？お前さん、ギルドンの奴に吹きこまれたな。			雲海の騎兵と届かぬ熱意							
