満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			満ちた玄関の探査隊の連絡員は、冒険者に話があるようだ。			ケテンラム、最後の冒険							
俺の方は、厳重に閉ざされたこの建物が気になって、難儀しながらも、どうにか開錠したところだ。			俺の方は、厳重に閉ざされたこの建物が気になって、難儀しながらも、どうにか開錠したところだ。			無人の町							
なに、開錠の技をどこで得たのか、だと……？			なに、開錠の技をどこで得たのか、だと……？			無人の町							
フッ、それを聞くのは野暮というもんだ。さっそく、中を確認してみようじゃないか。			フッ、それを聞くのは野暮というもんだ。さっそく、中を確認してみようじゃないか。			無人の町							
石棺か……？			石棺か……？			無人の町							
待て、安易に近づくな。魔法的な封印があるかもしれない。			待て、安易に近づくな。魔法的な封印があるかもしれない。			無人の町							
そもそも、蝋燭が燃え続けているのも、何かしら魔法の痕跡を感じる。慎重に近づいてみるぞ……。			そもそも、蝋燭が燃え続けているのも、何かしら魔法の痕跡を感じる。慎重に近づいてみるぞ……。			無人の町							
やはりな。この手の封印を解除するには、いくつか手順を踏む必要があるのが常だが……			やはりな。この手の封印を解除するには、いくつか手順を踏む必要があるのが常だが……			無人の町							
資格あるものだけが  手にすることができる――			資格あるものだけが  手にすることができる――			無人の町							
何と言う？			何と言う？			無人の町							
自分にも試させてくれ			自分にも試させてくれ			無人の町							
また声が聞こえた			また声が聞こえた			無人の町							
今回も俺には何も聞こえなかったが……お前ならば、この封印を突破できるかもしれん。試してみてくれ。			今回も俺には何も聞こえなかったが……お前ならば、この封印を突破できるかもしれん。試してみてくれ。			無人の町							
まったく、お前という奴は、この島と同じくらい不可思議だな……。			まったく、お前という奴は、この島と同じくらい不可思議だな……。			無人の町							
こ、こいつは、伝説の怪物トンベリ……！？			こ、こいつは、伝説の怪物トンベリ……！？			無人の町							
(-？？？？-)ん～、よく寝たぞい！			(-？？？？-)ん～、よく寝たぞい！			無人の町							
(-？？？？-)はて……お前さんたちは、誰じゃ？			(-？？？？-)はて……お前さんたちは、誰じゃ？			無人の町							
人語を喋れるとは……驚いたな。			人語を喋れるとは……驚いたな。			無人の町							
(-？？？？-)いきなりご挨拶じゃのう。……ま、この姿では驚くのも無理はないか。			(-？？？？-)いきなりご挨拶じゃのう。……ま、この姿では驚くのも無理はないか。			無人の町							
わしは博識の天才学者、アーカイブ様じゃぞい！ほれ、そっちも名乗らんかい！			わしは博識の天才学者、アーカイブ様じゃぞい！ほれ、そっちも名乗らんかい！			無人の町							
ほう、Forenameというのか。……探求心に満ちた、良い目をしておるな。			ほう、Forenameというのか。……探求心に満ちた、良い目をしておるな。			無人の町							
俺はリムサ・ロミンサ出身の探検家、ケテンラム。トライヨラ連王国の支援を受け、この島を探査しにきた。			俺はリムサ・ロミンサ出身の探検家、ケテンラム。トライヨラ連王国の支援を受け、この島を探査しにきた。			無人の町							
リムサ・ロミンサに、トライヨラ……！？			リムサ・ロミンサに、トライヨラ……！？			無人の町							
12の都市国家を巡り、そのすべてを知り尽くしたわしが、国名すら聞いたこともないとは……。いったい、いつどこに成立した国なんじゃ？			12の都市国家を巡り、そのすべてを知り尽くしたわしが、国名すら聞いたこともないとは……。いったい、いつどこに成立した国なんじゃ？			無人の町							
なんとまぁ、今が第七星暦じゃとは！身体が異形に変じる「トンベリ病」の蔓延を恐れて、孤島に移り住んで眠りについておったのじゃが……。			なんとまぁ、今が第七星暦じゃとは！身体が異形に変じる「トンベリ病」の蔓延を恐れて、孤島に移り住んで眠りについておったのじゃが……。			無人の町							
そういえば、第五星暦の末期に、そんな奇病が流行したという説があるらしい……。となると、1500年以上も眠ってたのか？			そういえば、第五星暦の末期に、そんな奇病が流行したという説があるらしい……。となると、1500年以上も眠ってたのか？			無人の町							
おぬしらの話を聞くに、ずいぶんと長い時間が経ってしまったようじゃ。そして、この島の探査とな……。			おぬしらの話を聞くに、ずいぶんと長い時間が経ってしまったようじゃ。そして、この島の探査とな……。			無人の町							
ふむ、戦勝記念に建てた噴水もずいぶんと古びてしまっとるのう。おぬしらの言葉に偽りはなかったか……。			ふむ、戦勝記念に建てた噴水もずいぶんと古びてしまっとるのう。おぬしらの言葉に偽りはなかったか……。			無人の町							
そして、この島全体を覆う不思議なエーテル。この術式は……ある種の結界か……？			そして、この島全体を覆う不思議なエーテル。この術式は……ある種の結界か……？			無人の町							
くっ、長らく眠りについていたせいか、頭がうまく働かんぞい。			くっ、長らく眠りについていたせいか、頭がうまく働かんぞい。			無人の町							
悔しいのう、かつては世界中で起きた戦闘の回数から、貴重な宝が収められた箱の数まで……なんでも答える「もの知りじいさん」だったこのわしが……！			悔しいのう、かつては世界中で起きた戦闘の回数から、貴重な宝が収められた箱の数まで……なんでも答える「もの知りじいさん」だったこのわしが……！			無人の町							
よし、決めた！おぬしらが、この島の謎を解かんとするのならば、わしも協力させてもらうぞい！			よし、決めた！おぬしらが、この島の謎を解かんとするのならば、わしも協力させてもらうぞい！			無人の町							
何と言う？			何と言う？			無人の町							
こちらこそ、よろしく頼む			こちらこそ、よろしく頼む			無人の町							
活動してれば、何か思い出せるかも			活動してれば、何か思い出せるかも			無人の町							
ひとまず、町に脅威となる存在はいないようだ。船で待機させている連中を下船させ、探査の拠点準備を指示してくる。			ひとまず、町に脅威となる存在はいないようだ。船で待機させている連中を下船させ、探査の拠点準備を指示してくる。			無人の町							
すぐに戻るから、引き続き、ここで「アーカイブ」と情報交換をしよう。			すぐに戻るから、引き続き、ここで「アーカイブ」と情報交換をしよう。			無人の町							
蜃気楼の町のアーカイブは、より詳しい状況を把握したいようだ。			蜃気楼の町のアーカイブは、より詳しい状況を把握したいようだ。			使えない使い魔							
アーカイブと話した。蜃気楼の町の「ジェッフロイ」と話そう。			アーカイブと話した。蜃気楼の町の「ジェッフロイ」と話そう。			使えない使い魔							
まずは島の南部から探査することになった。準備ができたら蜃気楼の町のジェッフロイに話しかけ、出発しよう。			まずは島の南部から探査することになった。準備ができたら蜃気楼の町のジェッフロイに話しかけ、出発しよう。			使えない使い魔							
ジェッフロイと話す			ジェッフロイと話す			使えない使い魔							
先遣隊が町の外の様子を見に行っている。探査の前線基地を築けそうな場所があれば、報せが入る手筈だ。			先遣隊が町の外の様子を見に行っている。探査の前線基地を築けそうな場所があれば、報せが入る手筈だ。			使えない使い魔							
さて、あらためて……おぬしらが、この島に来た経緯を教えてもらえるかのう？			さて、あらためて……おぬしらが、この島に来た経緯を教えてもらえるかのう？			使えない使い魔							
ほう、この島の周囲が「死の三角海域」と呼ばれており、多くの船が行方不明になっておると……。			ほう、この島の周囲が「死の三角海域」と呼ばれており、多くの船が行方不明になっておると……。			使えない使い魔							
たしか、沖に沈没船もあると言っておったな。船を捨て、島に上陸できた者たちがおってもよいはずじゃが、誰もわしを目覚めさせようとしなかったのじゃろうか？			たしか、沖に沈没船もあると言っておったな。船を捨て、島に上陸できた者たちがおってもよいはずじゃが、誰もわしを目覚めさせようとしなかったのじゃろうか？			使えない使い魔							
何と言う？			何と言う？			使えない使い魔							
姿を見て、すぐに棺を閉じたのでは？			姿を見て、すぐに棺を閉じたのでは？			使えない使い魔							
扉が頑丈に施錠されていたようだ			扉が頑丈に施錠されていたようだ			使えない使い魔							
自分にだけ、不思議な声が聞こえた			自分にだけ、不思議な声が聞こえた			使えない使い魔							
なんと、そんな可能性が……！			なんと、そんな可能性が……！			使えない使い魔							
いやいや、わしは寝起きが良い方じゃから、棺を開けられたらすぐに飛び起きてたはずじゃぞい！			いやいや、わしは寝起きが良い方じゃから、棺を開けられたらすぐに飛び起きてたはずじゃぞい！			使えない使い魔							
ふむ、扉は施錠されていたと。とはいえ、この大男に解錠できたのなら、ほかの船乗りにもできそうなものじゃが……。			ふむ、扉は施錠されていたと。とはいえ、この大男に解錠できたのなら、ほかの船乗りにもできそうなものじゃが……。			使えない使い魔							
何者かがおぬしを導いた、と？それはまた奇妙な話じゃが、いったい誰が……。			何者かがおぬしを導いた、と？それはまた奇妙な話じゃが、いったい誰が……。			使えない使い魔							
すまんが知ってのとおり、わしは眠っておったゆえ、導きの正体はとんとわからん。			すまんが知ってのとおり、わしは眠っておったゆえ、導きの正体はとんとわからん。			使えない使い魔							
しかし知的好奇心がくすぐられる状況だぞい！この謎、解かずにはおられまいて！			しかし知的好奇心がくすぐられる状況だぞい！この謎、解かずにはおられまいて！			使えない使い魔							
(-幽けきフェアリー-)あなた、知りたい、の……？			(-幽けきフェアリー-)あなた、知りたい、の……？			使えない使い魔							
んん？なんじゃ、こやつは？			んん？なんじゃ、こやつは？			使えない使い魔							
使い魔のようだが……ニームの伝承にあるフェアリーに見えるな。アーカイブ、お前が召喚したんじゃないのか？			使い魔のようだが……ニームの伝承にあるフェアリーに見えるな。アーカイブ、お前が召喚したんじゃないのか？			使えない使い魔							
いいや、わしは、こんなチンチクリン、呼んどらんぞい？			いいや、わしは、こんなチンチクリン、呼んどらんぞい？			使えない使い魔							
失礼なヒト……私はアイリス。あなたみたいな「もの知らず」に召喚されてない……。			失礼なヒト……私はアイリス。あなたみたいな「もの知らず」に召喚されてない……。			使えない使い魔							
な、何を言うか……！わしは誰あろう「もの知りじいさん」じゃぞ？			な、何を言うか……！わしは誰あろう「もの知りじいさん」じゃぞ？			使えない使い魔							
いいえ、あなた……何も、知らない。知識が使えないように封印されているから。			いいえ、あなた……何も、知らない。知識が使えないように封印されているから。			使えない使い魔							
この島に導かれた、そこのかわいいきれいなまるっこいしなやかなつよそうなりりしいモフモフのうつくしいヒトが、見て知ったものについてしか、語ることはできないの。			この島に導かれた、そこのかわいいきれいなまるっこいしなやかなつよそうなりりしいモフモフのうつくしいヒトが、見て知ったものについてしか、語ることはできないの。			使えない使い魔							
わしの知識が、封印されておる……？どうりで、知っておるはずの魔法さえ使えんわけだぞい。この腰痛を癒やそうと思ったのに、イタタタタ……。			わしの知識が、封印されておる……？どうりで、知っておるはずの魔法さえ使えんわけだぞい。この腰痛を癒やそうと思ったのに、イタタタタ……。			使えない使い魔							
ええい、話が妙な方向に進んでるぞ。アイリスよ、お前の主はどこにいる？			ええい、話が妙な方向に進んでるぞ。アイリスよ、お前の主はどこにいる？			使えない使い魔							
答えられないなら、質問を変えよう。主から、何を命じられてここにいる？			答えられないなら、質問を変えよう。主から、何を命じられてここにいる？			使えない使い魔							
……知らない。			……知らない。			使えない使い魔							
なんじゃ、お前も何も知らんのじゃないか！わしが「もの知らぬもの知りじいさん」なら、お前は「使えない使い魔」だぞい！			なんじゃ、お前も何も知らんのじゃないか！わしが「もの知らぬもの知りじいさん」なら、お前は「使えない使い魔」だぞい！			使えない使い魔							
じゃが、アイリスとかいう使い魔から、この島を覆う魔法と同じエーテルを感じたぞい。			じゃが、アイリスとかいう使い魔から、この島を覆う魔法と同じエーテルを感じたぞい。			使えない使い魔							
島全体を、妙な術式の結界が包みこんでおるようでな。多くの船が引き込まれ、外海に逃げることが叶わなかったのも、それゆえじゃろうて……。			島全体を、妙な術式の結界が包みこんでおるようでな。多くの船が引き込まれ、外海に逃げることが叶わなかったのも、それゆえじゃろうて……。			使えない使い魔							
つまり、これまで起きた多くの遭難事故は、人為的なものだったかもしれない、ということか……。			つまり、これまで起きた多くの遭難事故は、人為的なものだったかもしれない、ということか……。			使えない使い魔							
だとすれば、探査を進める際には、その主とやらの正体や目的についても探るべきだろう。導きの声との関係も気になるところだしな。			だとすれば、探査を進める際には、その主とやらの正体や目的についても探るべきだろう。導きの声との関係も気になるところだしな。			使えない使い魔							
さて、そろそろ頃合いだな……。拠点設営の進捗を確認するため、町の西口にいる「ジェッフロイ」のところに向かおう。			さて、そろそろ頃合いだな……。拠点設営の進捗を確認するため、町の西口にいる「ジェッフロイ」のところに向かおう。			使えない使い魔							
町の西口にいる「ジェッフロイ」のところに向かおう。拠点設営の進捗を確認したい。			町の西口にいる「ジェッフロイ」のところに向かおう。拠点設営の進捗を確認したい。			使えない使い魔							
なんじゃ、おぬし、腰痛治しの治癒魔法について聞きたいのか？それは「コシケア」という名の白魔法でな、数ある魔法の中でも、最高の発明と言われておった気がするぞい。			なんじゃ、おぬし、腰痛治しの治癒魔法について聞きたいのか？それは「コシケア」という名の白魔法でな、数ある魔法の中でも、最高の発明と言われておった気がするぞい。			使えない使い魔							
ふう……これを話せるようになったのも、おぬしが「魔法で腰痛を治そうとするわし」を見て知ったからか？先ほどまで、名前すら口にできなかったのじゃが……。			ふう……これを話せるようになったのも、おぬしが「魔法で腰痛を治そうとするわし」を見て知ったからか？先ほどまで、名前すら口にできなかったのじゃが……。			使えない使い魔							
よう、設営は着々と進んでるぜ。船から荷を降ろしつつ、すでに先遣隊が前線の偵察に出向いてる。			よう、設営は着々と進んでるぜ。船から荷を降ろしつつ、すでに先遣隊が前線の偵察に出向いてる。			使えない使い魔							
そしたら、島の南側を探査するのに、うってつけの場所を見つけたって報告があってな。向こうにも活動拠点を構築してるところだ。			そしたら、島の南側を探査するのに、うってつけの場所を見つけたって報告があってな。向こうにも活動拠点を構築してるところだ。			使えない使い魔							
あんたも出発するときは、俺にひと声かけてほしい。その先、どういう方針で探査を進めていくかは、現地でケテンラムの旦那と相談して決めてくれ。			あんたも出発するときは、俺にひと声かけてほしい。その先、どういう方針で探査を進めていくかは、現地でケテンラムの旦那と相談して決めてくれ。			使えない使い魔							
それから、後方支援の部隊がこの町に残って、様々な形であんたの探検をサポートするぜ。			それから、後方支援の部隊がこの町に残って、様々な形であんたの探検をサポートするぜ。			使えない使い魔							
特に今回は、凄腕の鍛冶師が助っ人として雇われているらしい。そんな奴に武器をこしらえてもらえば、探検も楽になるかもしれねぇな。			特に今回は、凄腕の鍛冶師が助っ人として雇われているらしい。そんな奴に武器をこしらえてもらえば、探検も楽になるかもしれねぇな。			使えない使い魔							
鍛冶場は、ここから向かって右手に設営されるはずだから、興味があったら立ち寄ってみるといい。			鍛冶場は、ここから向かって右手に設営されるはずだから、興味があったら立ち寄ってみるといい。			使えない使い魔							
さぁ、長くなっちまったが、俺からの説明はここまでだ。南の活動拠点に向かう準備ができたら、声をかけてくれ！			さぁ、長くなっちまったが、俺からの説明はここまでだ。南の活動拠点に向かう準備ができたら、声をかけてくれ！			使えない使い魔							
探査隊のベースキャンプのケテンラムは、辺りを見回している。			探査隊のベースキャンプのケテンラムは、辺りを見回している。			「サポートジョブ」の継承							
ケテンラムと話した。探査隊のベースキャンプのアーカイブと話そう。			ケテンラムと話した。探査隊のベースキャンプのアーカイブと話そう。			「サポートジョブ」の継承							
アーカイブから、古の知識が秘められた結晶を受け取った。試しに身に着けてみよう。			アーカイブから、古の知識が秘められた結晶を受け取った。試しに身に着けてみよう。			「サポートジョブ」の継承							
アーカイブと話す			アーカイブと話す			「サポートジョブ」の継承							
まずは、島の南側から探査を始めよう。準備ができたら「ジェッフロイ」に声をかけて出発だ。			まずは、島の南側から探査を始めよう。準備ができたら「ジェッフロイ」に声をかけて出発だ。			「サポートジョブ」の継承							
人が増えて賑やかになったのう。折を見て、おぬしらの国のことを教えてもらうとするぞい。			人が増えて賑やかになったのう。折を見て、おぬしらの国のことを教えてもらうとするぞい。			「サポートジョブ」の継承							
ぬぬぬ、先ほどチラっと見えた、あの輝きは……！？			ぬぬぬ、先ほどチラっと見えた、あの輝きは……！？			「サポートジョブ」の継承							
探査から戻ってきたら拠点が落ちてた、なんて嫌だろう？だから、周囲の安全と防壁の強度を確認してるところさ。終わるまで、まだ外には出ないでくれ。			探査から戻ってきたら拠点が落ちてた、なんて嫌だろう？だから、周囲の安全と防壁の強度を確認してるところさ。終わるまで、まだ外には出ないでくれ。			「サポートジョブ」の継承							
ほう、活動拠点としては、これ以上ない立地だな。古びてはいるが、エーテライトに似たものまであるとは……おそらく、島内のほかの場所と繋がっているんだろう。			ほう、活動拠点としては、これ以上ない立地だな。古びてはいるが、エーテライトに似たものまであるとは……おそらく、島内のほかの場所と繋がっているんだろう。			「サポートジョブ」の継承							
うまく活用すれば、探査が楽になることは間違いない。交感しておくのを忘れずにな。			うまく活用すれば、探査が楽になることは間違いない。交感しておくのを忘れずにな。			「サポートジョブ」の継承							
それから、先遣隊がここに到達したとき、拠点の設営がてら、周囲に落ちていた雑多な品を拾い集めたそうだ。さっそくアーカイブがその検分にあたっていたんだが……			それから、先遣隊がここに到達したとき、拠点の設営がてら、周囲に落ちていた雑多な品を拾い集めたそうだ。さっそくアーカイブがその検分にあたっていたんだが……			「サポートジョブ」の継承							
突然、それらを放り出して、瓦礫の山へと突っ走っていった。何かを見つけたのかもしれん、様子を見にいこう。			突然、それらを放り出して、瓦礫の山へと突っ走っていった。何かを見つけたのかもしれん、様子を見にいこう。			「サポートジョブ」の継承							
「アーカイブ」が何か見つけたのかもしれん。様子を見にいこう。			「アーカイブ」が何か見つけたのかもしれん。様子を見にいこう。			「サポートジョブ」の継承							
おお、良いところに来た！瓦礫の下から、とある「結晶」を見つけたんじゃが、それをおぬしに見せたくてな。			おお、良いところに来た！瓦礫の下から、とある「結晶」を見つけたんじゃが、それをおぬしに見せたくてな。			「サポートジョブ」の継承							
よしよし、予想通りじゃ！			よしよし、予想通りじゃ！			「サポートジョブ」の継承							
おぬしがその結晶を見たことで、それが何なのか、話すことができるようになったぞい。まったく知識の封印とは厄介じゃな……。			おぬしがその結晶を見たことで、それが何なのか、話すことができるようになったぞい。まったく知識の封印とは厄介じゃな……。			「サポートジョブ」の継承							
その結晶……ソウルシャードは、第五星暦のものでの。「魔道十二都市」と呼ばれた国々で編み出された、戦闘を支援(サポート)する魔法や戦技の知識が込められておる。			その結晶……ソウルシャードは、第五星暦のものでの。「魔道十二都市」と呼ばれた国々で編み出された、戦闘を支援(サポート)する魔法や戦技の知識が込められておる。			「サポートジョブ」の継承							
技術とは、時の流れとともに進歩していく。今ではより洗練されたものが主流となっておるとは思うが、一方で継承が途絶えたものもあるに違いない。			技術とは、時の流れとともに進歩していく。今ではより洗練されたものが主流となっておるとは思うが、一方で継承が途絶えたものもあるに違いない。			「サポートジョブ」の継承							
わしも、それらを使って戦えればよいのじゃが……アイリスのいう封印とやらのせいで扱えんでな。			わしも、それらを使って戦えればよいのじゃが……アイリスのいう封印とやらのせいで扱えんでな。			「サポートジョブ」の継承							
じゃが、導きを受けたおぬしであれば、結晶に秘められた知識を引き出し、扱えるやもしれん。ちょいと、そいつを身に着けてみてくれ。			じゃが、導きを受けたおぬしであれば、結晶に秘められた知識を引き出し、扱えるやもしれん。ちょいと、そいつを身に着けてみてくれ。			「サポートジョブ」の継承							
古の知識の結晶「ソウルシャード」を入手したことで、「サポートナイト」「サポートモンク」「サポート吟遊詩人」が、サポートジョブとして開放されました。			古の知識の結晶「ソウルシャード」を入手したことで、「サポートナイト」「サポートモンク」「サポート吟遊詩人」が、サポートジョブとして開放されました。			「サポートジョブ」の継承							
サポートジョブは、「三日月島」の探査中のみ表示される、専用のウィンドウ内から、ひとつを選んで設定できます。			サポートジョブは、「三日月島」の探査中のみ表示される、専用のウィンドウ内から、ひとつを選んで設定できます。			「サポートジョブ」の継承							
サポートジョブを設定することで、固有の「サポートアクション」を使用できるようになります。			サポートジョブを設定することで、固有の「サポートアクション」を使用できるようになります。			「サポートジョブ」の継承							
サポートアクションは、HUD上に表示された、「サポートアクションリング」を操作して実行します。			サポートアクションは、HUD上に表示された、「サポートアクションリング」を操作して実行します。			「サポートジョブ」の継承							
また、サポートアクションはそれぞれ、アクションリストからホットバーに登録することも可能です。			また、サポートアクションはそれぞれ、アクションリストからホットバーに登録することも可能です。			「サポートジョブ」の継承							
現状は、サポートジョブを設定していない「すっぴん」です。まずは専用ウィンドウから、好みのサポートジョブを設定し、サポートアクションを確認してみましょう！			現状は、サポートジョブを設定していない「すっぴん」です。まずは専用ウィンドウから、好みのサポートジョブを設定し、サポートアクションを確認してみましょう！			「サポートジョブ」の継承							
また「探査隊の案内係」か、蜃気楼の町の「ジェッフロイ」から、コンテンツに関する詳しい情報を確認できます。改めて確認したくなったら、彼らに話しかけましょう。			また「探査隊の案内係」か、蜃気楼の町の「ジェッフロイ」から、コンテンツに関する詳しい情報を確認できます。改めて確認したくなったら、彼らに話しかけましょう。			「サポートジョブ」の継承							
探査隊のベースキャンプのアーカイブは、冒険者にソウルシャードを身に着けてほしいようだ。			探査隊のベースキャンプのアーカイブは、冒険者にソウルシャードを身に着けてほしいようだ。			古の戦闘技術							
オファンゲイムと話す			オファンゲイムと話す			古の戦闘技術							
継承が絶えた古の戦闘技術か……。利用できれば、この島の探査にも役立つかもしれんな。			継承が絶えた古の戦闘技術か……。利用できれば、この島の探査にも役立つかもしれんな。			古の戦闘技術							
探査から戻ってきたら拠点が落ちてた、なんて嫌だろう？だから、周囲の安全と防壁の強度を確認してるところさ。終わるまで、まだ外には出ないでくれ。			探査から戻ってきたら拠点が落ちてた、なんて嫌だろう？だから、周囲の安全と防壁の強度を確認してるところさ。終わるまで、まだ外には出ないでくれ。			古の戦闘技術							
不思議な導きを受けたおぬしであれば、ソウルシャードに秘められた知識を引き出し、扱えるやもしれん。ぜひとも試してみてくれ。			不思議な導きを受けたおぬしであれば、ソウルシャードに秘められた知識を引き出し、扱えるやもしれん。ぜひとも試してみてくれ。			古の戦闘技術							
現状は、サポートジョブを設定していない「すっぴん」です。まずは専用ウィンドウから、好みのサポートジョブを設定し、サポートアクションを確認してみましょう！			現状は、サポートジョブを設定していない「すっぴん」です。まずは専用ウィンドウから、好みのサポートジョブを設定し、サポートアクションを確認してみましょう！			古の戦闘技術							
うむ、やはりおぬしには扱えるようじゃな！おそらく、特殊な結界に覆われた島内でしか使えぬのだろうが、経験を積めば、より多彩な技術を引き出せるようになるはずじゃ。			うむ、やはりおぬしには扱えるようじゃな！おそらく、特殊な結界に覆われた島内でしか使えぬのだろうが、経験を積めば、より多彩な技術を引き出せるようになるはずじゃ。			古の戦闘技術							
それに古の戦闘技術は、今授けたものだけではない。ほかにも多くのソウルシャードが島内に眠っておるはずだ。			それに古の戦闘技術は、今授けたものだけではない。ほかにも多くのソウルシャードが島内に眠っておるはずだ。			古の戦闘技術							
探査を進める中で新たなものを手に入れれば、支援知識(サポートジョブ)が増えて、戦術の幅が広がるはずだぞい。			探査を進める中で新たなものを手に入れれば、支援知識(サポートジョブ)が増えて、戦術の幅が広がるはずだぞい。			古の戦闘技術							
さて、わしからの助言はここまで。もう出発しても良さそうじゃが……「オファンゲイム」とやらに確認してみようかの。			さて、わしからの助言はここまで。もう出発しても良さそうじゃが……「オファンゲイム」とやらに確認してみようかの。			古の戦闘技術							
オファンゲイムが防壁の強度を確認している。不安があれば、補修作業を優先することになるが……			オファンゲイムが防壁の強度を確認している。不安があれば、補修作業を優先することになるが……			古の戦闘技術							
わしからの助言は以上じゃ。「オファンゲイム」のところに向かうぞい。			わしからの助言は以上じゃ。「オファンゲイム」のところに向かうぞい。			古の戦闘技術							
苔むしちゃいるが、防壁の強度に問題はないから、この出入口さえ守っていれば大丈夫だね。拠点の防衛は私たちに任せて、あんたは探査に出かけてくれ。			苔むしちゃいるが、防壁の強度に問題はないから、この出入口さえ守っていれば大丈夫だね。拠点の防衛は私たちに任せて、あんたは探査に出かけてくれ。			古の戦闘技術							
とはいえ探査と言われても、何のアテもなくては、どうすべきか迷いもするだろう。			とはいえ探査と言われても、何のアテもなくては、どうすべきか迷いもするだろう。			古の戦闘技術							
今後の方針について、少し相談させてくれ。			今後の方針について、少し相談させてくれ。			古の戦闘技術							
探査隊のベースキャンプのケテンラムは、探査の方針について考えがあるようだ。			探査隊のベースキャンプのケテンラムは、探査の方針について考えがあるようだ。			三日月島に棲む魔物							
クレセント・ガルラを倒して情報を集める			クレセント・ガルラを倒して情報を集める			三日月島に棲む魔物							
クレセント・フライングリザードを倒して情報を集める			クレセント・フライングリザードを倒して情報を集める			三日月島に棲む魔物							
クレセント・バンダースナッチを倒して情報を集める			クレセント・バンダースナッチを倒して情報を集める			三日月島に棲む魔物							
アーカイブと話す			アーカイブと話す			三日月島に棲む魔物							
その昔は、わしも多くの戦技や魔法を扱えたはずなんじゃ。いったい誰が、知識の封印などという厄介なものを……。			その昔は、わしも多くの戦技や魔法を扱えたはずなんじゃ。いったい誰が、知識の封印などという厄介なものを……。			三日月島に棲む魔物							
お前も、すでに感じているだろうが、三日月島に関しては、あまりにも謎が多すぎる。			お前も、すでに感じているだろうが、三日月島に関しては、あまりにも謎が多すぎる。			三日月島に棲む魔物							
導きの声、島全体を覆う結界、アーカイブにかけられた封印、アイリスを召喚した主の正体と、その目的……。そもそも絶海の孤島に、これだけの町を築けたこと自体が謎だ。			導きの声、島全体を覆う結界、アーカイブにかけられた封印、アイリスを召喚した主の正体と、その目的……。そもそも絶海の孤島に、これだけの町を築けたこと自体が謎だ。			三日月島に棲む魔物							
だが、湧き出る好奇心を抑え込んででも、先にやるべきことがある。			だが、湧き出る好奇心を抑え込んででも、先にやるべきことがある。			三日月島に棲む魔物							
それは安全の確保……。今回の探査隊は、お前を筆頭に俺が認めた精鋭揃いだが、ちょっとした油断で命を落とすことは十分にあり得る。			それは安全の確保……。今回の探査隊は、お前を筆頭に俺が認めた精鋭揃いだが、ちょっとした油断で命を落とすことは十分にあり得る。			三日月島に棲む魔物							
だから、周辺にどんな魔物が棲息しているのか、危険度を把握しながら、慎重に探査を進めていきたい。			だから、周辺にどんな魔物が棲息しているのか、危険度を把握しながら、慎重に探査を進めていきたい。			三日月島に棲む魔物							
まず、この拠点の付近にいる魔物を、そうだな……1体ずつ3種類討伐して、その情報を集めてくれ。古の戦闘技術の肩慣らしも兼ねてな。			まず、この拠点の付近にいる魔物を、そうだな……1体ずつ3種類討伐して、その情報を集めてくれ。古の戦闘技術の肩慣らしも兼ねてな。			三日月島に棲む魔物							
情報が集まったら、是非わしに報せてくれ。おぬしが見たものであれば、知識の封印も解けるからのう、なにか助言できることがあると思うぞい！			情報が集まったら、是非わしに報せてくれ。おぬしが見たものであれば、知識の封印も解けるからのう、なにか助言できることがあると思うぞい！			三日月島に棲む魔物							
今すぐ島を隅々まで探検したい気持ちだろうが、安全のため、周辺の魔物について先に知っておくべきだろう。この拠点の付近にいる魔物を1体ずつ、3種類ほど討伐してくれ。			今すぐ島を隅々まで探検したい気持ちだろうが、安全のため、周辺の魔物について先に知っておくべきだろう。この拠点の付近にいる魔物を1体ずつ、3種類ほど討伐してくれ。			三日月島に棲む魔物							
付近の魔物と戦い、情報を集めてきたら、わしに報せてくれ。もの知りじいさんの本領を発揮してやるぞい！			付近の魔物と戦い、情報を集めてきたら、わしに報せてくれ。もの知りじいさんの本領を発揮してやるぞい！			三日月島に棲む魔物							
未知の魔物とも、労せず渡り合えたみたいだな。お前の実力からすれば、当然といったところか。			未知の魔物とも、労せず渡り合えたみたいだな。お前の実力からすれば、当然といったところか。			三日月島に棲む魔物							
付近の魔物と戦い、情報を集めてきたら、わしに報せてくれ。もの知りじいさんの本領を発揮してやるぞい！			付近の魔物と戦い、情報を集めてきたら、わしに報せてくれ。もの知りじいさんの本領を発揮してやるぞい！			三日月島に棲む魔物							
ほほう、ガルラが何頭もおったのか？かの巨獣は縄張り意識が強く、めったに群れんはずじゃが、この島ゆえの特性か、それとも……。			ほほう、ガルラが何頭もおったのか？かの巨獣は縄張り意識が強く、めったに群れんはずじゃが、この島ゆえの特性か、それとも……。			三日月島に棲む魔物							
それに、本来なら樹上に好んで棲むフライングリザードに、山岳部の獰猛な肉食獣、バンダースナッチか……う～～～む。			それに、本来なら樹上に好んで棲むフライングリザードに、山岳部の獰猛な肉食獣、バンダースナッチか……う～～～む。			三日月島に棲む魔物							
いずれも本来は、こんな外洋の孤島に棲息していない種だな。となると、わざわざ外部から持ち込んだことになるが、なぜ、そんな手間をかけた？			いずれも本来は、こんな外洋の孤島に棲息していない種だな。となると、わざわざ外部から持ち込んだことになるが、なぜ、そんな手間をかけた？			三日月島に棲む魔物							
