双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
……その役目、私がやる。Forenameとジャックは、ギルドで待ってて。			……その役目、私がやる。Forenameとジャックは、ギルドで待ってて。			暗涙を拭う決意							
おい、ヴァ・ケビ！？　勝手に行くな！頼む、Forename。あいつを追って、手を貸してやってくれ。			おい、ヴァ・ケビ！？　勝手に行くな！頼む、Forename。あいつを追って、手を貸してやってくれ。			暗涙を拭う決意							
Forename、ヴァ・ケビに手を貸してやってくれ。			Forename、ヴァ・ケビに手を貸してやってくれ。			暗涙を拭う決意							
手を貸してくれるの……？ここは私が……ううん、やっぱりありがとう。勝手に飛び出して、ごめんなさい……。			手を貸してくれるの……？ここは私が……ううん、やっぱりありがとう。勝手に飛び出して、ごめんなさい……。			暗涙を拭う決意							
ジャックは、「断罪党」の急進派が相手でも戦うつもり。だけど私は、かくれて「銀の涙」を奪還したい……。			ジャックは、「断罪党」の急進派が相手でも戦うつもり。だけど私は、かくれて「銀の涙」を奪還したい……。			暗涙を拭う決意							
「銀の涙」を持ち出したのが双剣士だと気付かれなければ、「断罪党」に目をつけられずにすむでしょ……？騒ぎになるから、制裁は下さないつもり……。			「銀の涙」を持ち出したのが双剣士だと気付かれなければ、「断罪党」に目をつけられずにすむでしょ……？騒ぎになるから、制裁は下さないつもり……。			暗涙を拭う決意							
私にとって大事なのは、「掟」の番人としての役目より、双剣士ギルドのみんなを守ることだから……。捨てられた海賊崩れの私を、拾ってくれた恩のためにも……！			私にとって大事なのは、「掟」の番人としての役目より、双剣士ギルドのみんなを守ることだから……。捨てられた海賊崩れの私を、拾ってくれた恩のためにも……！			暗涙を拭う決意							
……もうすぐ「銀の涙」の商談がはじまるはず。準備ができたら、もう一度声をかけて……。			……もうすぐ「銀の涙」の商談がはじまるはず。準備ができたら、もう一度声をかけて……。			暗涙を拭う決意							
ありがとう……作戦を説明する……。聞いた話だと、商談にやってくるウルダハの豪商は、ここの地主……ゲゲルジュと旧知の仲なんだって。			ありがとう……作戦を説明する……。聞いた話だと、商談にやってくるウルダハの豪商は、ここの地主……ゲゲルジュと旧知の仲なんだって。			暗涙を拭う決意							
ゲゲルジュが、傭兵や踊り子を連れて遊びに行く間、コスタ・デル・ソルを借りきって、急進派と商談をするみたい……。			ゲゲルジュが、傭兵や踊り子を連れて遊びに行く間、コスタ・デル・ソルを借りきって、急進派と商談をするみたい……。			暗涙を拭う決意							
人払いのつもりだろうけど、私たちには好都合……。商談の開始を待って、こっそり「銀の涙」を奪おう。準備はいい……？			人払いのつもりだろうけど、私たちには好都合……。商談の開始を待って、こっそり「銀の涙」を奪おう。準備はいい……？			暗涙を拭う決意							
商談がはじまったみたい……。急進派の使者と、ウルダハの豪商は、南東の広場にいる。「銀の涙」も、そこにあるはずだけど……。			商談がはじまったみたい……。急進派の使者と、ウルダハの豪商は、南東の広場にいる。「銀の涙」も、そこにあるはずだけど……。			暗涙を拭う決意							
なんだか、様子がおかしい……。傭兵はゲゲルジュが連れて行ったはずなのに、人影がある……？			なんだか、様子がおかしい……。傭兵はゲゲルジュが連れて行ったはずなのに、人影がある……？			暗涙を拭う決意							
見慣れない服の男たちに、魔法人形……。そうか、相手の豪商が、ウルダハから護衛を連れてきたんだ……！			見慣れない服の男たちに、魔法人形……。そうか、相手の豪商が、ウルダハから護衛を連れてきたんだ……！			暗涙を拭う決意							
思った以上に、厳しい状況になったけど……どうにか騒ぎを起こさずに、「銀の涙」を奪還しないと……。			思った以上に、厳しい状況になったけど……どうにか騒ぎを起こさずに、「銀の涙」を奪還しないと……。			暗涙を拭う決意							
(-？？？？-)この状況だったら、まずは護衛の数を減らすべきだろ。目的の広場は、海の上の袋小路……かくれて近づくと、見つかったときのリスクが大きい。			(-？？？？-)この状況だったら、まずは護衛の数を減らすべきだろ。目的の広場は、海の上の袋小路……かくれて近づくと、見つかったときのリスクが大きい。			暗涙を拭う決意							
ジャック……どうして……！？今のは……その……私…………。			ジャック……どうして……！？今のは……その……私…………。			暗涙を拭う決意							
やめとけ、言い訳なんてらしくもない。お前の魂胆なんて、とっくにお見通しだ。			やめとけ、言い訳なんてらしくもない。お前の魂胆なんて、とっくにお見通しだ。			暗涙を拭う決意							
ったく……お前がそんな逃げ腰じゃ、できる仕事もできなくなんだろ！俺ひとりじゃ「断罪党」とはやれねぇんだよ。			ったく……お前がそんな逃げ腰じゃ、できる仕事もできなくなんだろ！俺ひとりじゃ「断罪党」とはやれねぇんだよ。			暗涙を拭う決意							
お前やペリム・ハウリムがいて、Forenameもいる。そして、俺たちには、勝つための技……双剣術がある！やり方を間違えなきゃ、どんな相手にも負けやしねぇ。			お前やペリム・ハウリムがいて、Forenameもいる。そして、俺たちには、勝つための技……双剣術がある！やり方を間違えなきゃ、どんな相手にも負けやしねぇ。			暗涙を拭う決意							
……信じろよ、ヴァ・ケビ！双剣士は、かくれて逃げるのだけが能じゃねぇ……そこから攻撃に転じて、勝利をぶんどるんだ！			……信じろよ、ヴァ・ケビ！双剣士は、かくれて逃げるのだけが能じゃねぇ……そこから攻撃に転じて、勝利をぶんどるんだ！			暗涙を拭う決意							
やっぱり……ジャックは引かないんだね。だけど、その無茶を叶えるのが、私たちだっていうなら……私も引かないことにする……どんな相手でも……！			やっぱり……ジャックは引かないんだね。だけど、その無茶を叶えるのが、私たちだっていうなら……私も引かないことにする……どんな相手でも……！			暗涙を拭う決意							
よし！　商談の現場に殴りこんで、「銀の涙」を奪還する！ヴァ・ケビは船着場に行って、万一の場合にそなえ、連中の退路を断ってくれ。			よし！　商談の現場に殴りこんで、「銀の涙」を奪還する！ヴァ・ケビは船着場に行って、万一の場合にそなえ、連中の退路を断ってくれ。			暗涙を拭う決意							
俺たちは二手に分かれて、護衛たちを倒しながら商談現場を目指すぞ。			俺たちは二手に分かれて、護衛たちを倒しながら商談現場を目指すぞ。			暗涙を拭う決意							
護衛の中でも、魔法人形は未知の相手だ……。厄介なことになる前に、「だまし討ち」をして倒しちまえ！			護衛の中でも、魔法人形は未知の相手だ……。厄介なことになる前に、「だまし討ち」をして倒しちまえ！			暗涙を拭う決意							
まずは「かくれ」て、気付かれないように相手に接近する……。そして、相手の背後から「だまし討ち」だ！予測できない強力な一撃を、うしろからお見舞いしてやれ。			まずは「かくれ」て、気付かれないように相手に接近する……。そして、相手の背後から「だまし討ち」だ！予測できない強力な一撃を、うしろからお見舞いしてやれ。			暗涙を拭う決意							
一団を倒し終わったら、再び「かくれ」て次の相手に接近し、「だまし討ち」をかます……いいな？			一団を倒し終わったら、再び「かくれ」て次の相手に接近し、「だまし討ち」をかます……いいな？			暗涙を拭う決意							
……それじゃ、俺は奥から行くから、お前は手前から頼む。イエロージャケットの連中が来る前に片づけるぞ！			……それじゃ、俺は奥から行くから、お前は手前から頼む。イエロージャケットの連中が来る前に片づけるぞ！			暗涙を拭う決意							
あわわわわ……！そ、双剣士！？　まさか、シーフかッ！			あわわわわ……！そ、双剣士！？　まさか、シーフかッ！			暗涙を拭う決意							
こ、ここを、何の場だと思っている！「断罪党」が仕切る、大事な商談の場だぞ！？今すぐ立ち去らなければ、私の仲間が黙っちゃいない！			こ、ここを、何の場だと思っている！「断罪党」が仕切る、大事な商談の場だぞ！？今すぐ立ち去らなければ、私の仲間が黙っちゃいない！			暗涙を拭う決意							
ハッ、安い脅しだな……急進派の海賊さんよ。悪いが、こっちは覚悟を決めてきてるんだ。			ハッ、安い脅しだな……急進派の海賊さんよ。悪いが、こっちは覚悟を決めてきてるんだ。			暗涙を拭う決意							
誰であろうが、掟破りには容赦しない。お前らが「闘犬一家」を使って奪った「秘宝」……「銀の涙」を奪い返しにきた。			誰であろうが、掟破りには容赦しない。お前らが「闘犬一家」を使って奪った「秘宝」……「銀の涙」を奪い返しにきた。			暗涙を拭う決意							
その、白銀のイヤリング……そいつが「銀の涙」だな？お買い上げいただいたところ悪いが、「掟」に従い、奪還させてもらうぜ！			その、白銀のイヤリング……そいつが「銀の涙」だな？お買い上げいただいたところ悪いが、「掟」に従い、奪還させてもらうぜ！			暗涙を拭う決意							
ま、待てぃ！このお方は、ウルダハでも最大級の商会、「東アルデナード商会」に通ずる超大物の商人だ！			ま、待てぃ！このお方は、ウルダハでも最大級の商会、「東アルデナード商会」に通ずる超大物の商人だ！			暗涙を拭う決意							
たとえお前らが「断罪党」を恐れずとも、このお方に手を出せば国際問題になる。メ、メルウィブ提督も、それは望まないだろう！？			たとえお前らが「断罪党」を恐れずとも、このお方に手を出せば国際問題になる。メ、メルウィブ提督も、それは望まないだろう！？			暗涙を拭う決意							
そ、そうですとも！　私は偉いッ！ゆ、ゆゆ、指一本でも触れたら、商会を通じて訴えますよ！			そ、そうですとも！　私は偉いッ！ゆ、ゆゆ、指一本でも触れたら、商会を通じて訴えますよ！			暗涙を拭う決意							
そもそも「銀の涙」は、かつて我が国の騎士が、魔獣を倒した証として、先代のナナシャ王妃に献上した品……。宝物庫から盗まれたのが、こうして奇跡的に見つかったのです！			そもそも「銀の涙」は、かつて我が国の騎士が、魔獣を倒した証として、先代のナナシャ王妃に献上した品……。宝物庫から盗まれたのが、こうして奇跡的に見つかったのです！			暗涙を拭う決意							
これはもう、好事家たちに高く売……い、いえ、ウルダハに返還すべきでしょう！？私の故郷を思う気持ちに免じて、見逃しなさい！			これはもう、好事家たちに高く売……い、いえ、ウルダハに返還すべきでしょう！？私の故郷を思う気持ちに免じて、見逃しなさい！			暗涙を拭う決意							
チッ……よくもまあぬけぬけと……。本気で正当な商談だと思ってるなら、正々堂々やりやがれ！			チッ……よくもまあぬけぬけと……。本気で正当な商談だと思ってるなら、正々堂々やりやがれ！			暗涙を拭う決意							
(-？？？？-)ええ、本当に……情けない弁明ですわね。それ以上の虚勢は、品格が疑われるだけですわよ？			(-？？？？-)ええ、本当に……情けない弁明ですわね。それ以上の虚勢は、品格が疑われるだけですわよ？			暗涙を拭う決意							
そもそも、そのイヤリングをウルダハに返還したいならば、わたくしたちにお任せくださればいいのです。政庁は、そのつもりで「銀の涙」を落札したのですから。			そもそも、そのイヤリングをウルダハに返還したいならば、わたくしたちにお任せくださればいいのです。政庁は、そのつもりで「銀の涙」を落札したのですから。			暗涙を拭う決意							
げっ……今更来たのかよ……！割り込みは、ご遠慮願いたいんだがな。			げっ……今更来たのかよ……！割り込みは、ご遠慮願いたいんだがな。			暗涙を拭う決意							
割り込みではなく、真打は遅れて登場するものですわよ。……相手がウルダハの豪商ときいて、手を打ってきましたの。			割り込みではなく、真打は遅れて登場するものですわよ。……相手がウルダハの豪商ときいて、手を打ってきましたの。			暗涙を拭う決意							
メルウィブ提督より直々に、捜査の令状をいただきました。手荒な真似はいたしませんので、違法な略奪品の回収に「協力」していただけませんか？			メルウィブ提督より直々に、捜査の令状をいただきました。手荒な真似はいたしませんので、違法な略奪品の回収に「協力」していただけませんか？			暗涙を拭う決意							
ここは、私有地である以前に、リムサ・ロミンサの領土です。ゲゲルジュ氏にご迷惑をおかけしないためにも、ご理解いただけると助かるのですが……？			ここは、私有地である以前に、リムサ・ロミンサの領土です。ゲゲルジュ氏にご迷惑をおかけしないためにも、ご理解いただけると助かるのですが……？			暗涙を拭う決意							
彼らは、イエロージャケットが連行します。……「銀の涙」は、わたくしがいただきですわ！			彼らは、イエロージャケットが連行します。……「銀の涙」は、わたくしがいただきですわ！			暗涙を拭う決意							
一度、「コスタ・デル・ソル」でヴァ・ケビと合流するぞ。			一度、「コスタ・デル・ソル」でヴァ・ケビと合流するぞ。			暗涙を拭う決意							
話、ジャックから聞いた……。メルウィブ提督は、ミリララに肩入れしたんじゃなくて、とにかく「銀の涙」を取り戻したかったんだと思う……。			話、ジャックから聞いた……。メルウィブ提督は、ミリララに肩入れしたんじゃなくて、とにかく「銀の涙」を取り戻したかったんだと思う……。			暗涙を拭う決意							
「銀の涙」がウルダハの宝物庫から盗まれた品なのは事実……。「身に着けたものに、神がかった器用さを与える」なんて噂があったせいで、盗賊という盗賊が狙ったんだって……。			「銀の涙」がウルダハの宝物庫から盗まれた品なのは事実……。「身に着けたものに、神がかった器用さを与える」なんて噂があったせいで、盗賊という盗賊が狙ったんだって……。			暗涙を拭う決意							
だー、くそっ！派手女に、してやられたぜ……。癪に障るが、こうなっちゃ手も足もでねぇ。			だー、くそっ！派手女に、してやられたぜ……。癪に障るが、こうなっちゃ手も足もでねぇ。			暗涙を拭う決意							
私、ペリム・ハウリムと合流して、情報を集める。まだ最後の「秘宝」が残ってるし……「断罪党」の急進派も、それは必死で守るだろうから……。			私、ペリム・ハウリムと合流して、情報を集める。まだ最後の「秘宝」が残ってるし……「断罪党」の急進派も、それは必死で守るだろうから……。			暗涙を拭う決意							
ああ、頼むぜ。…………ありがとな、ヴァ・ケビ。			ああ、頼むぜ。…………ありがとな、ヴァ・ケビ。			暗涙を拭う決意							
ここにいましたのね……。一応、貴方がたに報告をしに参りましたわ。			ここにいましたのね……。一応、貴方がたに報告をしに参りましたわ。			暗涙を拭う決意							
ウルダハの豪商にご理解いただき、「銀の涙」は、正式にわたくしたちが回収しました。急進派の会計士は、参考人として捕らえましたわ。			ウルダハの豪商にご理解いただき、「銀の涙」は、正式にわたくしたちが回収しました。急進派の会計士は、参考人として捕らえましたわ。			暗涙を拭う決意							
ヒュゥ！　「断罪党」の海賊を捕らえるなんて、イエロージャケットも、なかなか怖いもの知らずだな！			ヒュゥ！　「断罪党」の海賊を捕らえるなんて、イエロージャケットも、なかなか怖いもの知らずだな！			暗涙を拭う決意							
それに、お前自身にも驚きだぜ？ここにたどり着くために、爺から情報を買ったんだってな。そういう綺麗じゃないやり方は、毛嫌いしてると思ってた。			それに、お前自身にも驚きだぜ？ここにたどり着くために、爺から情報を買ったんだってな。そういう綺麗じゃないやり方は、毛嫌いしてると思ってた。			暗涙を拭う決意							
貴方がたに勝つためには、それくらいしますわ。彼らは暗部に生きる存在ですが、海賊ではありませんしね。			貴方がたに勝つためには、それくらいしますわ。彼らは暗部に生きる存在ですが、海賊ではありませんしね。			暗涙を拭う決意							
わたくしは、海賊の時代を完全に終わらせたい……。貴方がたにも、過去の遺物になってもらわないと困るんですの。			わたくしは、海賊の時代を完全に終わらせたい……。貴方がたにも、過去の遺物になってもらわないと困るんですの。			暗涙を拭う決意							
リムサ・ロミンサは、「強く、正しい」わたくしたちが守る！それが、海賊に殺された、かわいい妹たちへの誓い……。もう誰も、海賊に傷つけさせやしませんわ……！			リムサ・ロミンサは、「強く、正しい」わたくしたちが守る！それが、海賊に殺された、かわいい妹たちへの誓い……。もう誰も、海賊に傷つけさせやしませんわ……！			暗涙を拭う決意							
ほう……その意気込み、素直に感心するぜ。俺はお前と違って、「掟」に従って人を守るので精一杯だ。			ほう……その意気込み、素直に感心するぜ。俺はお前と違って、「掟」に従って人を守るので精一杯だ。			暗涙を拭う決意							
だが、だからこそ意地ってもんがある。どんな相手だろうが仕事はやり遂げるし、お前との勝負に負けるつもりもねぇよ。			だが、だからこそ意地ってもんがある。どんな相手だろうが仕事はやり遂げるし、お前との勝負に負けるつもりもねぇよ。			暗涙を拭う決意							
無様に負けるのが嫌なら、先に降参するこったな！今なら、「双剣士様ごめんなさい」って言うだけで許すぞっ！			無様に負けるのが嫌なら、先に降参するこったな！今なら、「双剣士様ごめんなさい」って言うだけで許すぞっ！			暗涙を拭う決意							
むきぃぃぃぃぃぃっ！だ、だだ、誰がそんなこと言うものですかっ！			むきぃぃぃぃぃぃっ！だ、だだ、誰がそんなこと言うものですかっ！			暗涙を拭う決意							
最後の「秘宝」もわたくしが手に入れて、双剣士ギルドなんて、バラッバラに解体してさしあげます！			最後の「秘宝」もわたくしが手に入れて、双剣士ギルドなんて、バラッバラに解体してさしあげます！			暗涙を拭う決意							
ハハハ……ククッ……！上等だ、それでこそ派手女だぜ。勝つ気があるなら、「銀の涙」はお前が身に着けときな！			ハハハ……ククッ……！上等だ、それでこそ派手女だぜ。勝つ気があるなら、「銀の涙」はお前が身に着けときな！			暗涙を拭う決意							
もし一瞬でも目を離したら、たとえコーラルタワーの金庫の中にしまおうが、俺たち双剣士が必ずいただく……覚えとけよ！			もし一瞬でも目を離したら、たとえコーラルタワーの金庫の中にしまおうが、俺たち双剣士が必ずいただく……覚えとけよ！			暗涙を拭う決意							
……それじゃ、俺たちはギルドへ戻ろうぜ。			……それじゃ、俺たちはギルドへ戻ろうぜ。			暗涙を拭う決意							
はぁ……お前も頑張ってくれたってのに、「銀の涙」をもってかれちまって、すまなかったな。			はぁ……お前も頑張ってくれたってのに、「銀の涙」をもってかれちまって、すまなかったな。			暗涙を拭う決意							
これで、奪還した「秘宝」の数は、1対1……。最後の「黒の棺」を、どちらが取るかで勝負が決まる。			これで、奪還した「秘宝」の数は、1対1……。最後の「黒の棺」を、どちらが取るかで勝負が決まる。			暗涙を拭う決意							
「断罪党」急進派の出方はわからねぇが、次こそは、連中と直接対決になる可能性が高い。……お前たちとなら勝てるって、頼りにしてるぜ。			「断罪党」急進派の出方はわからねぇが、次こそは、連中と直接対決になる可能性が高い。……お前たちとなら勝てるって、頼りにしてるぜ。			暗涙を拭う決意							
護衛たちを倒せ！			護衛たちを倒せ！			暗涙を拭う決意							
Forename、こっちに手ごわい奴がいる！手伝ってくれ！			Forename、こっちに手ごわい奴がいる！手伝ってくれ！			暗涙を拭う決意							
な、何者だ！　この商談は邪魔させんぞ……！ネズミはすべて追い払え！			な、何者だ！　この商談は邪魔させんぞ……！ネズミはすべて追い払え！			暗涙を拭う決意							
ぐっ……信じろって、言ったのによ…………。			ぐっ……信じろって、言ったのによ…………。			暗涙を拭う決意							
双剣士ギルドのジャックは、「秘宝」を奪還したいようだ。			双剣士ギルドのジャックは、「秘宝」を奪還したいようだ。			果てに消えた星							
双剣士ギルドのジャックたちとともに、海賊団「闘犬一家」に奪われた「秘宝」を探すことになった。輸送船の積み荷が見つかったという、中央ラノシアのラザグラン関門付近で「ペリム・ハウリム」と話そう。			双剣士ギルドのジャックたちとともに、海賊団「闘犬一家」に奪われた「秘宝」を探すことになった。輸送船の積み荷が見つかったという、中央ラノシアのラザグラン関門付近で「ペリム・ハウリム」と話そう。			果てに消えた星							
ペリム・ハウリムは、積み荷の検分が行われていることを突き止めていた。ラザグラン関門で積み荷を検分しているイエロージャケットから、「かくれる」を使って情報収集をしよう。			ペリム・ハウリムは、積み荷の検分が行われていることを突き止めていた。ラザグラン関門で積み荷を検分しているイエロージャケットから、「かくれる」を使って情報収集をしよう。			果てに消えた星							
かくれて情報収集をした。ラザグラン関門付近の「ペリム・ハウリム」に報告しよう。			かくれて情報収集をした。ラザグラン関門付近の「ペリム・ハウリム」に報告しよう。			果てに消えた星							
ペリム・ハウリムに集めた情報を伝えたところ、不可解な点があったようだ。真相を暴くため、中央ラノシアの開拓者の納屋で「根なしの闇商人」を探そう。			ペリム・ハウリムに集めた情報を伝えたところ、不可解な点があったようだ。真相を暴くため、中央ラノシアの開拓者の納屋で「根なしの闇商人」を探そう。			果てに消えた星							
根なしの闇商人を探し出し、護衛のキキルン族を退けた。開拓者の納屋の「根なしの闇商人」と話そう。			根なしの闇商人を探し出し、護衛のキキルン族を退けた。開拓者の納屋の「根なしの闇商人」と話そう。			果てに消えた星							
根なしの闇商人によって、「闘犬一家」が魔の海域に潜んでいることが判明した。双剣士ギルドの「ジャック」に報告しよう。			根なしの闇商人によって、「闘犬一家」が魔の海域に潜んでいることが判明した。双剣士ギルドの「ジャック」に報告しよう。			果てに消えた星							
ジャックに報告したところ、魔の海域に向かうことになった。低地ラノシアのモラビー造船廠で「ジャック」と合流し、「闘犬一家」を追おう。			ジャックに報告したところ、魔の海域に向かうことになった。低地ラノシアのモラビー造船廠で「ジャック」と合流し、「闘犬一家」を追おう。			果てに消えた星							
「闘犬一家」の船に乗り込み、秘宝「青の星」を奪還した。モラビー造船廠の「ジャック」と話そう。			「闘犬一家」の船に乗り込み、秘宝「青の星」を奪還した。モラビー造船廠の「ジャック」と話そう。			果てに消えた星							
ジャックと話し、やってきたミリララに「闘犬一家」を引き渡した。双剣士ギルドに戻り、「ジャック」と話そう。			ジャックと話し、やってきたミリララに「闘犬一家」を引き渡した。双剣士ギルドに戻り、「ジャック」と話そう。			果てに消えた星							
ジャックと話した。残りの「秘宝」を持つのは、「処刑人」なる存在らしい。ジャックは、その存在に心当たりがある様子だが……。どんな強敵が相手でも負けないように、腕を磨いていこう。※双剣士のレベルが25以上になると、ジャックから次の双剣士クエストを受注することができます。			ジャックと話した。残りの「秘宝」を持つのは、「処刑人」なる存在らしい。ジャックは、その存在に心当たりがある様子だが……。どんな強敵が相手でも負けないように、腕を磨いていこう。※双剣士のレベルが25以上になると、ジャックから次の双剣士クエストを受注することができます。			果てに消えた星							
ラザグラン関門付近のペリム・ハウリムと話す			ラザグラン関門付近のペリム・ハウリムと話す			果てに消えた星							
ラザグラン関門で「かくれる」を使い情報収集			ラザグラン関門で「かくれる」を使い情報収集			果てに消えた星							
ペリム・ハウリムに報告			ペリム・ハウリムに報告			果てに消えた星							
開拓者の納屋で根なしの闇商人を探す			開拓者の納屋で根なしの闇商人を探す			果てに消えた星							
根なしの闇商人と話す			根なしの闇商人と話す			果てに消えた星							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			果てに消えた星							
モラビー造船廠でジャックと合流し、闘犬一家を追う			モラビー造船廠でジャックと合流し、闘犬一家を追う			果てに消えた星							
モラビー造船廠のジャックと話す			モラビー造船廠のジャックと話す			果てに消えた星							
双剣士ギルドのジャックと話す			双剣士ギルドのジャックと話す			果てに消えた星							
おっ、しっかり腕を上げたようだな。こっちも、次の仕事をはじめる準備が整ったところだ。			おっ、しっかり腕を上げたようだな。こっちも、次の仕事をはじめる準備が整ったところだ。			果てに消えた星							
標的は、黒渦団の輸送船から奪われた、3つの「秘宝」……。イエロージャケットの派手女は奪還に乗り出したようだし、俺たちも、すぐに仕事をはじめようぜ！			標的は、黒渦団の輸送船から奪われた、3つの「秘宝」……。イエロージャケットの派手女は奪還に乗り出したようだし、俺たちも、すぐに仕事をはじめようぜ！			果てに消えた星							
この仕事は、俺とペリム・ハウリムとヴァ・ケビ、そしてForenameで進める。……さっそく、作戦会議といくか！			この仕事は、俺とペリム・ハウリムとヴァ・ケビ、そしてForenameで進める。……さっそく、作戦会議といくか！			果てに消えた星							
さて……ヴァ・ケビが遅れてるが、話をはじめるぞ。今回の仕事は、黒渦団の輸送船を襲った掟破りをシメて、「秘宝」を奪還することだ。			さて……ヴァ・ケビが遅れてるが、話をはじめるぞ。今回の仕事は、黒渦団の輸送船を襲った掟破りをシメて、「秘宝」を奪還することだ。			果てに消えた星							
イエロージャケットの派手女も同じ獲物を狙ってるが、双剣士ギルドの存続のためにも、この仕事で引けをとるわけにはいかねぇ……。			イエロージャケットの派手女も同じ獲物を狙ってるが、双剣士ギルドの存続のためにも、この仕事で引けをとるわけにはいかねぇ……。			果てに消えた星							
派手女より多くの「秘宝」を奪還し、「参りましたわ、さすが双剣士様」って言わせてやるぞ！			派手女より多くの「秘宝」を奪還し、「参りましたわ、さすが双剣士様」って言わせてやるぞ！			果てに消えた星							
おおっ、なんだかんだで、すごいやる気ですね！			おおっ、なんだかんだで、すごいやる気ですね！			果てに消えた星							
仕方ねぇだろ……。政庁にも勝負の中止を掛け合ってはみたが、連中め、事態が解決するなら何でも構わないときた。			仕方ねぇだろ……。政庁にも勝負の中止を掛け合ってはみたが、連中め、事態が解決するなら何でも構わないときた。			果てに消えた星							
だとしたら、結果で黙らせるだけだ。怖ぁ～い仕事は双剣士に任せりゃいいって、派手女に教えてやる！			だとしたら、結果で黙らせるだけだ。怖ぁ～い仕事は双剣士に任せりゃいいって、派手女に教えてやる！			果てに消えた星							
…………お人よしですねぇ。			…………お人よしですねぇ。			果てに消えた星							
あぁ！？　意味わかんねぇよ！それよりも、「秘宝」についてわかったことを報告しろ！			あぁ！？　意味わかんねぇよ！それよりも、「秘宝」についてわかったことを報告しろ！			果てに消えた星							
えーっとですね……今回の奪還対象となる3つの「秘宝」は、それぞれ「青の星」「銀の涙」「黒の棺」と呼ばれています。			えーっとですね……今回の奪還対象となる3つの「秘宝」は、それぞれ「青の星」「銀の涙」「黒の棺」と呼ばれています。			果てに消えた星							
ああ、どれも通称ですよ。「青の星」は、輝けるシリウスとまで称された、大粒のブルーダイヤモンド……。			ああ、どれも通称ですよ。「青の星」は、輝けるシリウスとまで称された、大粒のブルーダイヤモンド……。			果てに消えた星							
「銀の涙」は、かつてウルダハの王妃が所持していたという、いわくつきのイヤリング……。			「銀の涙」は、かつてウルダハの王妃が所持していたという、いわくつきのイヤリング……。			果てに消えた星							
そして、「黒の棺」は……よくわからないんですよねぇ。探ってはみましたが、正体が掴めませんでした。			そして、「黒の棺」は……よくわからないんですよねぇ。探ってはみましたが、正体が掴めませんでした。			果てに消えた星							
……何にせよ、これらの「秘宝」は、私掠船によってもたらされた公認の略奪品です。			……何にせよ、これらの「秘宝」は、私掠船によってもたらされた公認の略奪品です。			果てに消えた星							
略奪品は普通、各海賊がなじみの商人を通じて売却しますが、極端に高価だったり買い手の少ない品は、オークションにかけられます。			略奪品は普通、各海賊がなじみの商人を通じて売却しますが、極端に高価だったり買い手の少ない品は、オークションにかけられます。			果てに消えた星							
3つの「秘宝」も、オークションにかけられた品です。そして、リムサ・ロミンサ政庁が落札し、会場のエールポートから移送している際に……			3つの「秘宝」も、オークションにかけられた品です。そして、リムサ・ロミンサ政庁が落札し、会場のエールポートから移送している際に……			果てに消えた星							
輸送船が海賊に襲われ、積み荷が奪われたってわけだ……。			輸送船が海賊に襲われ、積み荷が奪われたってわけだ……。			果てに消えた星							
俺が生き残った船員に聞いたところによると、輸送船を襲撃したのは……海賊団「闘犬一家」らしい。			俺が生き残った船員に聞いたところによると、輸送船を襲撃したのは……海賊団「闘犬一家」らしい。			果てに消えた星							
襲撃後、「闘犬一家」は海賊船ごと行方をくらましてる。奪われた「秘宝」はおろか、連中が今どこにいるかすら、わかっていない状況だ。			襲撃後、「闘犬一家」は海賊船ごと行方をくらましてる。奪われた「秘宝」はおろか、連中が今どこにいるかすら、わかっていない状況だ。			果てに消えた星							
ジャック、遅れてごめん……。でも、緊急事態……！			ジャック、遅れてごめん……。でも、緊急事態……！			果てに消えた星							
例の輸送船から奪われた積み荷が、ラザグラン関門でやってる検問で見つかったらしい……！			例の輸送船から奪われた積み荷が、ラザグラン関門でやってる検問で見つかったらしい……！			果てに消えた星							
はぁっ！？　ラザグラン関門！？「闘犬一家」の連中、すでに上陸してたのか……？			はぁっ！？　ラザグラン関門！？「闘犬一家」の連中、すでに上陸してたのか……？			果てに消えた星							
それで、見つかった積み荷の中に、3つの「秘宝」はあったのかよ？			それで、見つかった積み荷の中に、3つの「秘宝」はあったのかよ？			果てに消えた星							
わからない……。でも、今さっきのことだから、まだ現地で検分してるかも。			わからない……。でも、今さっきのことだから、まだ現地で検分してるかも。			果てに消えた星							
となれば、行ってみるのが早いか。Forename、ペリム・ハウリム……頼めるな？			となれば、行ってみるのが早いか。Forename、ペリム・ハウリム……頼めるな？			果てに消えた星							
それじゃあ、中央ラノシアの「ラザグラン関門」前で合流しましょう。			それじゃあ、中央ラノシアの「ラザグラン関門」前で合流しましょう。			果てに消えた星							
「闘犬一家」について聞きたいの……？あれは、「猟犬同盟」って海賊団から分かれた一派……。			「闘犬一家」について聞きたいの……？あれは、「猟犬同盟」って海賊団から分かれた一派……。			果てに消えた星							
「猟犬同盟」は、とにかく構成員が多かった……。多分、数の上なら、どの海賊団にも負けてなかったと思う。			「猟犬同盟」は、とにかく構成員が多かった……。多分、数の上なら、どの海賊団にも負けてなかったと思う。			果てに消えた星							
