魔導船の設計技師は、知神の港で休憩をしているようだ。			魔導船の設計技師は、知神の港で休憩をしているようだ。			心を持たぬ者は思考する							
あいつと前みたいに遊べなくなっちゃったのは残念だけど……ラザハンが元気になってきたのはヴリトラ様のおかげだって、母ちゃんが言ってた。			あいつと前みたいに遊べなくなっちゃったのは残念だけど……ラザハンが元気になってきたのはヴリトラ様のおかげだって、母ちゃんが言ってた。			心を持たぬ者は思考する							
俺も早く一人前になって、ヴァルシャンを、ヴリトラ様を助けてあげるんだ！			俺も早く一人前になって、ヴァルシャンを、ヴリトラ様を助けてあげるんだ！			心を持たぬ者は思考する							
ヴリトラ……ミドガルズオルムの仔ですね。この者は、かの竜の指揮下に入り、貢献することを望んでいると。			ヴリトラ……ミドガルズオルムの仔ですね。この者は、かの竜の指揮下に入り、貢献することを望んでいると。			心を持たぬ者は思考する							
把握……すべてを理解しました。生き残っているラザハンの住民は、ヴリトラの血液を摂取した「眷属」であると推測します。			把握……すべてを理解しました。生き残っているラザハンの住民は、ヴリトラの血液を摂取した「眷属」であると推測します。			心を持たぬ者は思考する							
ドラゴン族は、我々の文明には及ばないものの、高い戦闘能力を有する……。終末の獣に対抗することも可能だったでしょう。			ドラゴン族は、我々の文明には及ばないものの、高い戦闘能力を有する……。終末の獣に対抗することも可能だったでしょう。			心を持たぬ者は思考する							
「恐怖」や「不安」と呼称される感情が、窮地において発生するものであるならば、眷属たる彼らがそれを呼び起こさずに済んだのも納得です。			「恐怖」や「不安」と呼称される感情が、窮地において発生するものであるならば、眷属たる彼らがそれを呼び起こさずに済んだのも納得です。			心を持たぬ者は思考する							
ケンゾク……？よくわかんないけど、俺、ヴリトラ様に血なんて流させてないよ！			ケンゾク……？よくわかんないけど、俺、ヴリトラ様に血なんて流させてないよ！			心を持たぬ者は思考する							
眷属ではない？では、獣に対抗する能力がなかったと……「恐怖」や「不安」を感じたというのですか？			眷属ではない？では、獣に対抗する能力がなかったと……「恐怖」や「不安」を感じたというのですか？			心を持たぬ者は思考する							
そ、そうだよ……だからずっと隠れてたんだ。姉ちゃん兄ちゃんに声をかけてもらう、少し前までさ。			そ、そうだよ……だからずっと隠れてたんだ。姉ちゃん兄ちゃんに声をかけてもらう、少し前までさ。			心を持たぬ者は思考する							
今でも、ヴァルシャンを見かけることはよくあるんだ。ヴリトラ様が、視察に使ってるんだって。			今でも、ヴァルシャンを見かけることはよくあるんだ。ヴリトラ様が、視察に使ってるんだって。			心を持たぬ者は思考する							
一度、話しかけてくれたことがあるんだけど……ヴァルシャンの顔なのに、大人みたいなこと言うから、なんだかすごくドキドキしちゃってさ……。			一度、話しかけてくれたことがあるんだけど……ヴァルシャンの顔なのに、大人みたいなこと言うから、なんだかすごくドキドキしちゃってさ……。			心を持たぬ者は思考する							
はぁ……。			はぁ……。			心を持たぬ者は思考する							
はぁ……あんた旅人さんか？ちょうどいいや、俺の話を聞いてくれよ。			はぁ……あんた旅人さんか？ちょうどいいや、俺の話を聞いてくれよ。			心を持たぬ者は思考する							
俺は先の終末騒動のとき、ラザハンを離れて月へ逃げることを選んだ。まあ、たどり着けなかったんだけどな。			俺は先の終末騒動のとき、ラザハンを離れて月へ逃げることを選んだ。まあ、たどり着けなかったんだけどな。			心を持たぬ者は思考する							
で、最近シャーレアンからこっちへ戻ってきたわけだが……ラザハンに残ることを選んだ妹と、どうもギクシャクしちまってるのさ。			で、最近シャーレアンからこっちへ戻ってきたわけだが……ラザハンに残ることを選んだ妹と、どうもギクシャクしちまってるのさ。			心を持たぬ者は思考する							
あいつときたら、俺が仕事の紹介を頼んだときも、「島の外で探したら？」ってな具合だ。こっちもカチーンときて、つい喧嘩腰になっちまう……。			あいつときたら、俺が仕事の紹介を頼んだときも、「島の外で探したら？」ってな具合だ。こっちもカチーンときて、つい喧嘩腰になっちまう……。			心を持たぬ者は思考する							
ガガ……要領を得ません。つまり、月への移住を選択したことで、親族から離反者とみなされている……という話でしょうか？			ガガ……要領を得ません。つまり、月への移住を選択したことで、親族から離反者とみなされている……という話でしょうか？			心を持たぬ者は思考する							
だとすれば、アナタの親族は誤った判断をしています。ラザハンの一般住民が有していた情報のかぎりでは、月への移住は合理的な選択だったはず。			だとすれば、アナタの親族は誤った判断をしています。ラザハンの一般住民が有していた情報のかぎりでは、月への移住は合理的な選択だったはず。			心を持たぬ者は思考する							
むしろ、解決法もないままでラザハンに残留する方が、理解に苦しむ選択です。思考回路の不良を疑います。			むしろ、解決法もないままでラザハンに残留する方が、理解に苦しむ選択です。思考回路の不良を疑います。			心を持たぬ者は思考する							
そうだそうだ！なんだかわからんが、もっと言ってやれ！正しいのは俺だーッ！			そうだそうだ！なんだかわからんが、もっと言ってやれ！正しいのは俺だーッ！			心を持たぬ者は思考する							
……ってなれりゃ、よかったんだけどなぁ。妹の気持ちもわかっちまうのが、つらいところだ。			……ってなれりゃ、よかったんだけどなぁ。妹の気持ちもわかっちまうのが、つらいところだ。			心を持たぬ者は思考する							
俺だって、月へ行くかどうかは悩みに悩んだ。家族と別れてまで逃げることが正解だったのかと聞かれると、当時も今も、自信がねぇよ……はぁ……。			俺だって、月へ行くかどうかは悩みに悩んだ。家族と別れてまで逃げることが正解だったのかと聞かれると、当時も今も、自信がねぇよ……はぁ……。			心を持たぬ者は思考する							
わかってるわかってる、次はあんたじゃなくて妹と話すさ。落ち着いて、とことん腹を割るつもりでな。愚痴を聞いてくれてありがとよ。			わかってるわかってる、次はあんたじゃなくて妹と話すさ。落ち着いて、とことん腹を割るつもりでな。愚痴を聞いてくれてありがとよ。			心を持たぬ者は思考する							
ガガ……聴取結果の整理が必要です。フラットな判断を下すために、当人たちから少し離れた地点での会話を要求します。			ガガ……聴取結果の整理が必要です。フラットな判断を下すために、当人たちから少し離れた地点での会話を要求します。			心を持たぬ者は思考する							
クエエ、クエクエェ……。			クエエ、クエクエェ……。			心を持たぬ者は思考する							
ガガ……アルファが、はぐれているようです。			ガガ……アルファが、はぐれているようです。			心を持たぬ者は思考する							
アルファを放っておくわけにはいかない。同行させてこよう。			アルファを放っておくわけにはいかない。同行させてこよう。			心を持たぬ者は思考する							
ガガ……一時停止……。Forename、ワタシはさっそく、思考と現実の乖離を検知しています。			ガガ……一時停止……。Forename、ワタシはさっそく、思考と現実の乖離を検知しています。			心を持たぬ者は思考する							
ワタシは住民たちの発言を聞き、最適な見解を示したはず。しかし、彼らはそれを否定しました。			ワタシは住民たちの発言を聞き、最適な見解を示したはず。しかし、彼らはそれを否定しました。			心を持たぬ者は思考する							
なぜ予想が外れたのか……同意を得られなかったのか……それを明らかにしなければ、「心強き者」について、正確に定義することができません。			なぜ予想が外れたのか……同意を得られなかったのか……それを明らかにしなければ、「心強き者」について、正確に定義することができません。			心を持たぬ者は思考する							
何と言う？			何と言う？			心を持たぬ者は思考する							
最適解との差にこそ、心があるのかも			最適解との差にこそ、心があるのかも			心を持たぬ者は思考する							
とりあえず、交流を続けてみよう			とりあえず、交流を続けてみよう			心を持たぬ者は思考する							
オメガには難しすぎたか……			オメガには難しすぎたか……			心を持たぬ者は思考する							
……なるほど。やはりワタシは、心を理解しかねているのですね。			……なるほど。やはりワタシは、心を理解しかねているのですね。			心を持たぬ者は思考する							
裏を返せば、学習の機会としては適切だということです。この調査を続行しましょう。			裏を返せば、学習の機会としては適切だということです。この調査を続行しましょう。			心を持たぬ者は思考する							
了解……アナタの方針に従います。サンプルの数を増やせば、ワタシでも理解可能な法則が見つかるかもしれません。			了解……アナタの方針に従います。サンプルの数を増やせば、ワタシでも理解可能な法則が見つかるかもしれません。			心を持たぬ者は思考する							
ガガ……その発言から推測するに、アナタは正解を完璧に把握しているのですね。汎銀河ベーシック共通語さえ習得していないのに。			ガガ……その発言から推測するに、アナタは正解を完璧に把握しているのですね。汎銀河ベーシック共通語さえ習得していないのに。			心を持たぬ者は思考する							
では、調査を続けますので、ワタシにもわかるようにレクチャーしてください。			では、調査を続けますので、ワタシにもわかるようにレクチャーしてください。			心を持たぬ者は思考する							
次に面会を希望するのは、偽神獣となったカルザールと近い境遇だった者です。彼と取引のあった、この街の商人を知っていますか？			次に面会を希望するのは、偽神獣となったカルザールと近い境遇だった者です。彼と取引のあった、この街の商人を知っていますか？			心を持たぬ者は思考する							
ガガ……ルヴェーダ製糸局の「ジナバナ」ですね。目標を設定、このまま向かいましょう。			ガガ……ルヴェーダ製糸局の「ジナバナ」ですね。目標を設定、このまま向かいましょう。			心を持たぬ者は思考する							
「ハンサ」について話す			「ハンサ」について話す			心を持たぬ者は思考する							
目標……ルヴェーダ製糸局にて「ジナバナ」と面会。似た境遇にありながら、カルザールは偽神獣へと転じ、ジナバナが生き延びた理由は何なのでしょうか？			目標……ルヴェーダ製糸局にて「ジナバナ」と面会。似た境遇にありながら、カルザールは偽神獣へと転じ、ジナバナが生き延びた理由は何なのでしょうか？			心を持たぬ者は思考する							
クェ～！　クエックエッ！			クェ～！　クエックエッ！			心を持たぬ者は思考する							
Forename、緊急停止です。柵の中へは、立ち入らないように。			Forename、緊急停止です。柵の中へは、立ち入らないように。			心を持たぬ者は思考する							
……大型の鳥類がいます。現在のボディになって以来、あれらはワタシの天敵です。食用には不適切だということを理解せず、猛然とつついてくる。			……大型の鳥類がいます。現在のボディになって以来、あれらはワタシの天敵です。食用には不適切だということを理解せず、猛然とつついてくる。			心を持たぬ者は思考する							
その点、アルファは分別がついているので心配ありません。もっとも、計画性に乏しいため補給不足となり、移動も困難な状態に陥っていることはありますが。			その点、アルファは分別がついているので心配ありません。もっとも、計画性に乏しいため補給不足となり、移動も困難な状態に陥っていることはありますが。			心を持たぬ者は思考する							
クエエ、クエクエエ……！？			クエエ、クエクエエ……！？			心を持たぬ者は思考する							
アルファは、オメガと畜産局のハンサを交互に見ている。どことなく心配そうだ。			アルファは、オメガと畜産局のハンサを交互に見ている。どことなく心配そうだ。			心を持たぬ者は思考する							
おや、あなたは……！			おや、あなたは……！			心を持たぬ者は思考する							
おや、あなたは……！終末の際には、荷の移動を助けていただいて、ありがとうございました。			おや、あなたは……！終末の際には、荷の移動を助けていただいて、ありがとうございました。			心を持たぬ者は思考する							
おかげで、ルヴェーダ製糸局は業務を再開しています。亡くなった仲間たちを偲びながら、復興と明るい未来のために、皆で尽力していくつもりです。			おかげで、ルヴェーダ製糸局は業務を再開しています。亡くなった仲間たちを偲びながら、復興と明るい未来のために、皆で尽力していくつもりです。			心を持たぬ者は思考する							
個体名ジナバナですね。アナタに質問したいことがあって来ました。			個体名ジナバナですね。アナタに質問したいことがあって来ました。			心を持たぬ者は思考する							
終末において、カルザールや一部の住民は獣に転じましたが、アナタはそれを免れました。両者の差はどこにあったと考えますか？			終末において、カルザールや一部の住民は獣に転じましたが、アナタはそれを免れました。両者の差はどこにあったと考えますか？			心を持たぬ者は思考する							
えっ！？それは……難しいことを聞きますね……。			えっ！？それは……難しいことを聞きますね……。			心を持たぬ者は思考する							
……実際のところ、私は自分が特別に勇敢だったとは思っていません。			……実際のところ、私は自分が特別に勇敢だったとは思っていません。			心を持たぬ者は思考する							
とにかく製糸局を護らなければと、精一杯で……だからこそ、努めて冷静でいられたのでしょう。			とにかく製糸局を護らなければと、精一杯で……だからこそ、努めて冷静でいられたのでしょう。			心を持たぬ者は思考する							
ですが、同じような責任感をカルザール氏も持っていたはず。彼の場合は、それがあったことで、かえって追い詰められてしまったのではないかと思います。			ですが、同じような責任感をカルザール氏も持っていたはず。彼の場合は、それがあったことで、かえって追い詰められてしまったのではないかと思います。			心を持たぬ者は思考する							
ジナバナとカルザールが同じ心を……。			ジナバナとカルザールが同じ心を……。			心を持たぬ者は思考する							
では、特定の心を発生させれば強くなれるわけではない……？作用に個体差があるのでしょうか……。			では、特定の心を発生させれば強くなれるわけではない……？作用に個体差があるのでしょうか……。			心を持たぬ者は思考する							
ときに、Forenameさん。このあと、少しだけお時間はありませんか？			ときに、Forenameさん。このあと、少しだけお時間はありませんか？			心を持たぬ者は思考する							
あなたに会っていただきたい人物がいるのです。商人仲間で、今は製糸局の仕事を手伝ってくれている、「ナシュヴァン」といいます。			あなたに会っていただきたい人物がいるのです。商人仲間で、今は製糸局の仕事を手伝ってくれている、「ナシュヴァン」といいます。			心を持たぬ者は思考する							
東側の正面玄関を出たところで、荷の整理をしているはずですので……よければ、お立ち寄りください。			東側の正面玄関を出たところで、荷の整理をしているはずですので……よければ、お立ち寄りください。			心を持たぬ者は思考する							
「サベネア織の衣装」について話す			「サベネア織の衣装」について話す			心を持たぬ者は思考する							
ガガ……ジナバナの発言を再検討中です。この間に個体名「ナシュヴァン」を捜索することを許可します。			ガガ……ジナバナの発言を再検討中です。この間に個体名「ナシュヴァン」を捜索することを許可します。			心を持たぬ者は思考する							
クエ、クエクエ……？			クエ、クエクエ……？			心を持たぬ者は思考する							
照合……ここはヒトの装備を生産する施設ですね。目的に応じて服を着替えるという行為は、ワタシたちが性能向上のために機体を変えるのと似ています。			照合……ここはヒトの装備を生産する施設ですね。目的に応じて服を着替えるという行為は、ワタシたちが性能向上のために機体を変えるのと似ています。			心を持たぬ者は思考する							
ワタシも当初は、オメガフレームではなく、標準型オミクロンフレームを用いていました。認識番号は、M-017……			ワタシも当初は、オメガフレームではなく、標準型オミクロンフレームを用いていました。認識番号は、M-017……			心を持たぬ者は思考する							
それが、アナタがたの文化における「本名」です。オミクロンの名は、重複を避けるために、天体の認識番号と一対になっています。			それが、アナタがたの文化における「本名」です。オミクロンの名は、重複を避けるために、天体の認識番号と一対になっています。			心を持たぬ者は思考する							
M-017が紐づく天体を、こちらの言葉に置換すると、「オメガ星雲」が適切でしょう。この「オメガ」は、オメガフレームの「オメガ」と同一です。			M-017が紐づく天体を、こちらの言葉に置換すると、「オメガ星雲」が適切でしょう。この「オメガ」は、オメガフレームの「オメガ」と同一です。			心を持たぬ者は思考する							
よって、ワタシはこの星でオメガを名乗りました。今はもう正規品のオメガフレームを用いていませんが、本名がオメガなのですから、呼称の変更は不要です。			よって、ワタシはこの星でオメガを名乗りました。今はもう正規品のオメガフレームを用いていませんが、本名がオメガなのですから、呼称の変更は不要です。			心を持たぬ者は思考する							
クエクエ、クエッヘン！			クエクエ、クエッヘン！			心を持たぬ者は思考する							
アルファは、何やら誇らしげに胸を張っている。どんな服よりもガーロンド社の制服がいい……ということかもしれない。			アルファは、何やら誇らしげに胸を張っている。どんな服よりもガーロンド社の制服がいい……ということかもしれない。			心を持たぬ者は思考する							
ナシュヴァンは、東側の正面玄関を出たところで、荷の整理をしているはずです。「暁」の方々に会いたがっていたので、是非お願いします。			ナシュヴァンは、東側の正面玄関を出たところで、荷の整理をしているはずです。「暁」の方々に会いたがっていたので、是非お願いします。			心を持たぬ者は思考する							
ナシュヴァンらしき男は、こちらに気づいていない。今のうちに、オメガとアルファを連れてこよう。			ナシュヴァンらしき男は、こちらに気づいていない。今のうちに、オメガとアルファを連れてこよう。			心を持たぬ者は思考する							
よし、こっちは数がそろってるな。質もいいし、カマラが喜びそうだ。			よし、こっちは数がそろってるな。質もいいし、カマラが喜びそうだ。			心を持たぬ者は思考する							
お前さん……！あのとき助けてくれた……「暁の血盟」にいた人じゃないか！？			お前さん……！あのとき助けてくれた……「暁の血盟」にいた人じゃないか！？			心を持たぬ者は思考する							
ああ、そうだ……間違えるわけがない……！			ああ、そうだ……間違えるわけがない……！			心を持たぬ者は思考する							
メーガドゥータ宮の前で、みんなが獣になっていったとき、お前さんたちのおかげで逃げ出せたんだから……！			メーガドゥータ宮の前で、みんなが獣になっていったとき、お前さんたちのおかげで逃げ出せたんだから……！			心を持たぬ者は思考する							
あのとき……うちの息子も獣になった……。それで、すぐ、デカい奴に踏みつぶされて……。			あのとき……うちの息子も獣になった……。それで、すぐ、デカい奴に踏みつぶされて……。			心を持たぬ者は思考する							
血が凍った心地だったよ……動けなくなっちまったんだ。アヒワーン様が助けに入ってくれたが、逃げることさえできずに、あの方を……目の前で……。			血が凍った心地だったよ……動けなくなっちまったんだ。アヒワーン様が助けに入ってくれたが、逃げることさえできずに、あの方を……目の前で……。			心を持たぬ者は思考する							
そのあとのことは、夢みたいに曖昧だ。ただ、お前さんの仲間がかけてくれた言葉を、まじないみたいに繰り返しながら逃げてたと思う。			そのあとのことは、夢みたいに曖昧だ。ただ、お前さんの仲間がかけてくれた言葉を、まじないみたいに繰り返しながら逃げてたと思う。			心を持たぬ者は思考する							
「しっかりしろ、ふたりのために逃げ延びるんだ！」ってな。			「しっかりしろ、ふたりのために逃げ延びるんだ！」ってな。			心を持たぬ者は思考する							
途中で獣にならずに済んだのは、頭が追いついていなかったからだろう。ちゃんと実感が湧いてきたのは、終末が去ったあとだった。			途中で獣にならずに済んだのは、頭が追いついていなかったからだろう。ちゃんと実感が湧いてきたのは、終末が去ったあとだった。			心を持たぬ者は思考する							
……言葉にならなかったよ。あまりに悲しくて、何より不甲斐なかった。			……言葉にならなかったよ。あまりに悲しくて、何より不甲斐なかった。			心を持たぬ者は思考する							
それで働く気力もなくしていたところに、旧知のジナバナが声をかけてくれて、手伝いを始めたんだ。おかげで生活はできているし……お前さんにも会えた。			それで働く気力もなくしていたところに、旧知のジナバナが声をかけてくれて、手伝いを始めたんだ。おかげで生活はできているし……お前さんにも会えた。			心を持たぬ者は思考する							
ありがとうよ、本当に。アヒワーン様と同じく、お前さんたちは命の恩人だ。お仲間にも、そう伝えておいてくれ。			ありがとうよ、本当に。アヒワーン様と同じく、お前さんたちは命の恩人だ。お仲間にも、そう伝えておいてくれ。			心を持たぬ者は思考する							
質問……「働く気力をなくした」との発言は、生命維持活動を放棄した、という意味で相違ありませんか？			質問……「働く気力をなくした」との発言は、生命維持活動を放棄した、という意味で相違ありませんか？			心を持たぬ者は思考する							
であれば、その状況から再起した理由は何だったのでしょうか。ジナバナから勧誘があったとしても、当人に働く意思がなければ、雇用には至らなかったはずです。			であれば、その状況から再起した理由は何だったのでしょうか。ジナバナから勧誘があったとしても、当人に働く意思がなければ、雇用には至らなかったはずです。			心を持たぬ者は思考する							
やはり、生命としての本能……生存と繁栄を、放棄できなかったからですか？			やはり、生命としての本能……生存と繁栄を、放棄できなかったからですか？			心を持たぬ者は思考する							
いまいち話が読めないが……本能だから生きてるのかって話なら、それは違う。そんなもんだけで、この苦しみを耐え抜けるものか。			いまいち話が読めないが……本能だから生きてるのかって話なら、それは違う。そんなもんだけで、この苦しみを耐え抜けるものか。			心を持たぬ者は思考する							
息子の最期を思い出さない日はない。どんなに怖かっただろう、痛かっただろうと思うだけで、叫びだしたくなる……。			息子の最期を思い出さない日はない。どんなに怖かっただろう、痛かっただろうと思うだけで、叫びだしたくなる……。			心を持たぬ者は思考する							
アヒワーン様が呑み込まれる姿だって、夢に見ては飛び起きるんだ。			アヒワーン様が呑み込まれる姿だって、夢に見ては飛び起きるんだ。			心を持たぬ者は思考する							
だがな……ジナバナに言われて顔を上げてみたら、周りはなんだかんだで、暮らしを続けてた。俺の息子や、アヒワーン様がいなくなってもだ。			だがな……ジナバナに言われて顔を上げてみたら、周りはなんだかんだで、暮らしを続けてた。俺の息子や、アヒワーン様がいなくなってもだ。			心を持たぬ者は思考する							
それがまた悲しくて、やりきれなくて……だからこそ……俺も生きて、息子たちのことを覚えておかなきゃと思った。			それがまた悲しくて、やりきれなくて……だからこそ……俺も生きて、息子たちのことを覚えておかなきゃと思った。			心を持たぬ者は思考する							
ああそうとも。悲しいから、俺は生きることにしたんだ。			ああそうとも。悲しいから、俺は生きることにしたんだ。			心を持たぬ者は思考する							
……さて、そろそろ仕事に戻るとしよう。これでクビになったら、笑い話にもならないからな。			……さて、そろそろ仕事に戻るとしよう。これでクビになったら、笑い話にもならないからな。			心を持たぬ者は思考する							
お前さんもどうか、これからも達者で。			お前さんもどうか、これからも達者で。			心を持たぬ者は思考する							
悲しみ……それは代表的な負の心であり、理想が実現しなかった際に生じるもの。そういった知識は得ています。			悲しみ……それは代表的な負の心であり、理想が実現しなかった際に生じるもの。そういった知識は得ています。			心を持たぬ者は思考する							
ですが、悲しいから再起したという彼の証言が、どういった理屈で結びついているのかわかりません。			ですが、悲しいから再起したという彼の証言が、どういった理屈で結びついているのかわかりません。			心を持たぬ者は思考する							
Forename、やはりワタシでは、心を観測しきれないのでしょうか。			Forename、やはりワタシでは、心を観測しきれないのでしょうか。			心を持たぬ者は思考する							
カーマ区の住民たちが、最適解に則さない言動をとること……ジナバナとカルザールが、似た心を持ちながら、別の結果に至ったことも……理解が及ばないままです。			カーマ区の住民たちが、最適解に則さない言動をとること……ジナバナとカルザールが、似た心を持ちながら、別の結果に至ったことも……理解が及ばないままです。			心を持たぬ者は思考する							
これでは、獣に転じた者とそうでない者の差がわかりません。心というものが、依然として掴めません。			これでは、獣に転じた者とそうでない者の差がわかりません。心というものが、依然として掴めません。			心を持たぬ者は思考する							
何と言う？			何と言う？			心を持たぬ者は思考する							
獣に転じた人と生き残りに、差はないのでは			獣に転じた人と生き残りに、差はないのでは			心を持たぬ者は思考する							
他人の心は、正しくわからないものだ			他人の心は、正しくわからないものだ			心を持たぬ者は思考する							
この件は切り上げて、次の調査に移ろう			この件は切り上げて、次の調査に移ろう			心を持たぬ者は思考する							
ガガ……両者に差はない……。つまり、獣に転じるかどうかは心の性質で決まるものではなく、環境的な要素……「状況」や「運」に因ると？			ガガ……両者に差はない……。つまり、獣に転じるかどうかは心の性質で決まるものではなく、環境的な要素……「状況」や「運」に因ると？			心を持たぬ者は思考する							
……なるほど、聴取内容を踏まえると納得のいく推論です。			……なるほど、聴取内容を踏まえると納得のいく推論です。			心を持たぬ者は思考する							
いいでしょう、ラザハンにおける疑問は、ひとまずアナタの発言をもって結論とします。			いいでしょう、ラザハンにおける疑問は、ひとまずアナタの発言をもって結論とします。			心を持たぬ者は思考する							
ですが、心についての不明点は、増えるばかりで解消していません。引き続き協力に期待します、Forename。			ですが、心についての不明点は、増えるばかりで解消していません。引き続き協力に期待します、Forename。			心を持たぬ者は思考する							
ガガ……心を持つヒト同士でも、ですか？予想以上に不可解なものなのですね。			ガガ……心を持つヒト同士でも、ですか？予想以上に不可解なものなのですね。			心を持たぬ者は思考する							
しかし、そうであるのなら、心を持たないワタシが理解し難いのも必然です。方針……結論を急がず、事例と思考を蓄積させましょう。			しかし、そうであるのなら、心を持たないワタシが理解し難いのも必然です。方針……結論を急がず、事例と思考を蓄積させましょう。			心を持たぬ者は思考する							
ラザハンでの解説は、ひとまず完了として構いません。引き続き、次の場所で、次の疑問に答えてください。さらなる働きに期待します、Forename。			ラザハンでの解説は、ひとまず完了として構いません。引き続き、次の場所で、次の疑問に答えてください。さらなる働きに期待します、Forename。			心を持たぬ者は思考する							
ガガ……解説役であるアナタがそう判断するのなら、従います。次の場所で、次の疑問について知るうちに、本件も理解可能になるかもしれません。			ガガ……解説役であるアナタがそう判断するのなら、従います。次の場所で、次の疑問について知るうちに、本件も理解可能になるかもしれません。			心を持たぬ者は思考する							
もとより、心の学習は困難だと認識しています。……だからこそ、ワタシはアナタに負けたのですから。根気よくつきあいなさい、Forename。			もとより、心の学習は困難だと認識しています。……だからこそ、ワタシはアナタに負けたのですから。根気よくつきあいなさい、Forename。			心を持たぬ者は思考する							
パクシャ通りのオメガは、次なる調査に向かいたいようだ。			パクシャ通りのオメガは、次なる調査に向かいたいようだ。			グッバイ・＊＊＊							
オメガから第二の疑問を提示され、ともにガレマルドにやってきた。キャンプ・ブロークングラスの「オメガ」と話し、同行させよう。			オメガから第二の疑問を提示され、ともにガレマルドにやってきた。キャンプ・ブロークングラスの「オメガ」と話し、同行させよう。			グッバイ・＊＊＊							
オメガとアルファを連れて聞き込みを始めた。ふたりを連れた状態で、キャンプ・ブロークングラスにいる、派遣団員および帝国民と話そう。※同行状態が解除された場合、キャンプ・ブロークングラスの「オメガ」か「アルファ」に話しかけることで同行を再開できます。			オメガとアルファを連れて聞き込みを始めた。ふたりを連れた状態で、キャンプ・ブロークングラスにいる、派遣団員および帝国民と話そう。※同行状態が解除された場合、キャンプ・ブロークングラスの「オメガ」か「アルファ」に話しかけることで同行を再開できます。			グッバイ・＊＊＊							
それぞれの立場の者から話を聞いた。キャンプ・ブロークングラスの指定地点で、同行している「オメガ」と話そう。			それぞれの立場の者から話を聞いた。キャンプ・ブロークングラスの指定地点で、同行している「オメガ」と話そう。			グッバイ・＊＊＊							
会話の途中で、オメガの動きが鈍くなった。キャンプ・ブロークングラスの「オメガ」をこすろう。			会話の途中で、オメガの動きが鈍くなった。キャンプ・ブロークングラスの「オメガ」をこすろう。			グッバイ・＊＊＊							
オメガが、にわかに復活した。ガレマルドの臣の褒賞で「オメガ」と話そう。			オメガが、にわかに復活した。ガレマルドの臣の褒賞で「オメガ」と話そう。			グッバイ・＊＊＊							
オメガは、墓参りに来ていたマニウスに質問をぶつけた。臣の褒賞の「オメガ」と話そう。			オメガは、墓参りに来ていたマニウスに質問をぶつけた。臣の褒賞の「オメガ」と話そう。			グッバイ・＊＊＊							
オメガから最後の疑問を提示され、ともに嘆きの海にやってきた。ベストウェイ・バローの「オメガ」と話そう。			オメガから最後の疑問を提示され、ともに嘆きの海にやってきた。ベストウェイ・バローの「オメガ」と話そう。			グッバイ・＊＊＊							
オメガは、グローウィングウェイに質問をぶつけまくった。ベストウェイ・バローの前で「オメガ」と話そう。			オメガは、グローウィングウェイに質問をぶつけまくった。ベストウェイ・バローの前で「オメガ」と話そう。			グッバイ・＊＊＊							
アルゴスに頼み込んで、オメガたちも運んでもらえるようにした。嘆きの海の監視者の館にいる「月の監視者」と話そう。			アルゴスに頼み込んで、オメガたちも運んでもらえるようにした。嘆きの海の監視者の館にいる「月の監視者」と話そう。			グッバイ・＊＊＊							
月の監視者も交えて、古代人たちについて話した。ラヴィリンソスのタウマゼインにいる「ビッグス」と話そう。			月の監視者も交えて、古代人たちについて話した。ラヴィリンソスのタウマゼインにいる「ビッグス」と話そう。			グッバイ・＊＊＊							
ビッグスとウェッジを見送りに行き、オメガから謎の通信の内容を聞いた。オールド・シャーレアンの知神の港にいる「オメガ」と話そう。			ビッグスとウェッジを見送りに行き、オメガから謎の通信の内容を聞いた。オールド・シャーレアンの知神の港にいる「オメガ」と話そう。			グッバイ・＊＊＊							
オメガたちは、開かれた世界へと飛び出していった。ふたり一緒なら、ずっと遠くの景色も見られることだろう。そうして手を取り合い、それぞれの答えを探しながら、この星の生命は営みを続けていく。いつか長い旅を終え、優しい海に迎えられるまで。			オメガたちは、開かれた世界へと飛び出していった。ふたり一緒なら、ずっと遠くの景色も見られることだろう。そうして手を取り合い、それぞれの答えを探しながら、この星の生命は営みを続けていく。いつか長い旅を終え、優しい海に迎えられるまで。			グッバイ・＊＊＊							
オメガと話して同行させる			オメガと話して同行させる			グッバイ・＊＊＊							
オメガとアルファを連れて派遣団員と話す			オメガとアルファを連れて派遣団員と話す			グッバイ・＊＊＊							
オメガとアルファを連れて帝国民と話す			オメガとアルファを連れて帝国民と話す			グッバイ・＊＊＊							
連れているオメガと指定地点で話す			連れているオメガと指定地点で話す			グッバイ・＊＊＊							
オメガをこする			オメガをこする			グッバイ・＊＊＊							
臣の褒賞のオメガと話す			臣の褒賞のオメガと話す			グッバイ・＊＊＊							
オメガと話す			オメガと話す			グッバイ・＊＊＊							
オメガと再度話す			オメガと再度話す			グッバイ・＊＊＊							
ベストウェイ・バロー前のオメガと話す			ベストウェイ・バロー前のオメガと話す			グッバイ・＊＊＊							
月の監視者と話す			月の監視者と話す			グッバイ・＊＊＊							
タウマゼインのビッグスと話す			タウマゼインのビッグスと話す			グッバイ・＊＊＊							
オメガと話す			オメガと話す			グッバイ・＊＊＊							
クエ、クク、クエッ！			クエ、クク、クエッ！			グッバイ・＊＊＊							
