選者殿のヒナゲシは、協力者を探しているようだ。			選者殿のヒナゲシは、協力者を探しているようだ。			甘い文化体験							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「霜雪を踏みしめて」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「霜雪を踏みしめて」を完了する必要があります。			それは青燐の光							
教授から、さっそく次のお仕事の依頼があるそうですよ！			教授から、さっそく次のお仕事の依頼があるそうですよ！			それは青燐の光							
さて、ぼくたちはラザハン様式の再現を通じて学んだ、その特徴について、まとめていくつもりなのだが……あなたには先行して、次の文化再現の準備に着手してもらいたい。			さて、ぼくたちはラザハン様式の再現を通じて学んだ、その特徴について、まとめていくつもりなのだが……あなたには先行して、次の文化再現の準備に着手してもらいたい。			それは青燐の光							
それで……どこの文化にするんですか～？			それで……どこの文化にするんですか～？			それは青燐の光							
次は……ガレマール帝国の文化にしようと思う。			次は……ガレマール帝国の文化にしようと思う。			それは青燐の光							
ええっ、帝国ですかぁ！？それはなんていうか、ちょっとビックリですね。理想の生活と結びつかないっていうか……。			ええっ、帝国ですかぁ！？それはなんていうか、ちょっとビックリですね。理想の生活と結びつかないっていうか……。			それは青燐の光							
ガレマール帝国は、その成立以来、世界各地に侵略の手を伸ばしてきた覇権主義国家だからね。きみが戸惑うのも、わからないではない。			ガレマール帝国は、その成立以来、世界各地に侵略の手を伸ばしてきた覇権主義国家だからね。きみが戸惑うのも、わからないではない。			それは青燐の光							
だが、そんな彼らとも融和し、ともに暮らしていく時代が来るかもしれない。			だが、そんな彼らとも融和し、ともに暮らしていく時代が来るかもしれない。			それは青燐の光							
そこで、ガレアンのようにエーテル放射を不得手とする民を、シャーレアンに迎え入れたときのことを想定し、準備しておきたいんだ。			そこで、ガレアンのようにエーテル放射を不得手とする民を、シャーレアンに迎え入れたときのことを想定し、準備しておきたいんだ。			それは青燐の光							
未来に受け継ぐ最良の生活を検討するにあたって、我々シャーレアン以外のことも、しっかり視野に入れてるなんて、さすが教授ですね！			未来に受け継ぐ最良の生活を検討するにあたって、我々シャーレアン以外のことも、しっかり視野に入れてるなんて、さすが教授ですね！			それは青燐の光							
そんなわけで、あなたに調達してきていただきたいのは、文化再現に不可欠、かつガレマルドのみで産する素材だ。			そんなわけで、あなたに調達してきていただきたいのは、文化再現に不可欠、かつガレマルドのみで産する素材だ。			それは青燐の光							
極寒の地「ガレマルド」に向かい、彼の地特有の鉱石や、耐寒性に優れた果実など、「ガレマール文化の必需品」の調達をお願いしたい！			極寒の地「ガレマルド」に向かい、彼の地特有の鉱石や、耐寒性に優れた果実など、「ガレマール文化の必需品」の調達をお願いしたい！			それは青燐の光							
「ガレマール文化の必需品」は、ガレマルドの管理官舎G棟付近で採集することができます。			「ガレマール文化の必需品」は、ガレマルドの管理官舎G棟付近で採集することができます。			それは青燐の光							
「ガレマール文化の必需品」は、ガレマルドのキャンプ・ブロークングラス付近で、採集することができます。			「ガレマール文化の必需品」は、ガレマルドのキャンプ・ブロークングラス付近で、採集することができます。			それは青燐の光							
ガレマール帝国は、すでに崩壊の危機に瀕しているとも聞く。なればこそ、その文化を保存し、継承する意義は大きい。採集には危険がともなうだろうけれど、やり遂げてほしい！			ガレマール帝国は、すでに崩壊の危機に瀕しているとも聞く。なればこそ、その文化を保存し、継承する意義は大きい。採集には危険がともなうだろうけれど、やり遂げてほしい！			それは青燐の光							
文化の再現は、ヌーメノン大書院所蔵の資料や、先達の研究論文を参考にしているんですけど、実際に体験してみて、初めてわかることも多いんですよ～！			文化の再現は、ヌーメノン大書院所蔵の資料や、先達の研究論文を参考にしているんですけど、実際に体験してみて、初めてわかることも多いんですよ～！			それは青燐の光							
ありがとうございます～！極寒の地で採取してきたことを想像するだけで、感謝の念も倍増ですよ～！			ありがとうございます～！極寒の地で採取してきたことを想像するだけで、感謝の念も倍増ですよ～！			それは青燐の光							
わぁ、これはとても品質が良いですね～！これなら、荒廃する以前のガレマルドの文化を、見事に再現することができそうな気がします～！			わぁ、これはとても品質が良いですね～！これなら、荒廃する以前のガレマルドの文化を、見事に再現することができそうな気がします～！			それは青燐の光							
採集してきて頂いた鉱石は、超硬アダマン鋼を始めとする合金を作るのに欠かせません。ガレマルドの魔導技術を支える素材なんですよ！			採集してきて頂いた鉱石は、超硬アダマン鋼を始めとする合金を作るのに欠かせません。ガレマルドの魔導技術を支える素材なんですよ！			それは青燐の光							
採集してきて頂いた果実は、耐寒性に優れた作物です。温暖な地域とは採れる食材も異なりますから、特有の食文化が花開いたんですね！			採集してきて頂いた果実は、耐寒性に優れた作物です。温暖な地域とは採れる食材も異なりますから、特有の食文化が花開いたんですね！			それは青燐の光							
納品した素材を用いて、文化の再現が行われた！			納品した素材を用いて、文化の再現が行われた！			それは青燐の光							
本格的な防寒着に、魔導技術を使った暖房設備……最高に暖かいですね～！これはシャーレアンでも重宝されますよ！			本格的な防寒着に、魔導技術を使った暖房設備……最高に暖かいですね～！これはシャーレアンでも重宝されますよ！			それは青燐の光							
ああ、でもこの暖房は研究のため、大学に特別に用意してもらったものでね。残念だけど、今はここだけの使用に留めてほしい。			ああ、でもこの暖房は研究のため、大学に特別に用意してもらったものでね。残念だけど、今はここだけの使用に留めてほしい。			それは青燐の光							
わかりました！……でも、さすがに屋内だと蒸れますね。			わかりました！……でも、さすがに屋内だと蒸れますね。			それは青燐の光							
では、魔導機器を用いて調理した、アツアツのガレアン料理は要らなかったかな？			では、魔導機器を用いて調理した、アツアツのガレアン料理は要らなかったかな？			それは青燐の光							
いえ、食べます！いただきます！			いえ、食べます！いただきます！			それは青燐の光							
魔導技術の中核を成す青燐機関……。自然現象を応用した風力や水力と違い、青燐水の備蓄さえあれば、いつ、どんな場所でも、安定してエネルギーを供給できる。			魔導技術の中核を成す青燐機関……。自然現象を応用した風力や水力と違い、青燐水の備蓄さえあれば、いつ、どんな場所でも、安定してエネルギーを供給できる。			それは青燐の光							
これを動力源とした機械は、手引書に従えば、子どもにだって扱うことができる。			これを動力源とした機械は、手引書に従えば、子どもにだって扱うことができる。			それは青燐の光							
大量生産による機械技術の普及により、生産力は向上を続け、浮いた時間と労力を、さらなる発明に向けて投入……。かくして帝国は、技術力を急速に高めたに違いない。			大量生産による機械技術の普及により、生産力は向上を続け、浮いた時間と労力を、さらなる発明に向けて投入……。かくして帝国は、技術力を急速に高めたに違いない。			それは青燐の光							
ただし、青燐水の枯渇も視野に入れておく必要がある。代替エネルギーを模索し、併用していくことも研究するべきだろう。			ただし、青燐水の枯渇も視野に入れておく必要がある。代替エネルギーを模索し、併用していくことも研究するべきだろう。			それは青燐の光							
そもそも、星のエネルギーを人類だけが独占し、使い切るわけにはいかない。環境に優しく、持続可能な生活をしなければね。			そもそも、星のエネルギーを人類だけが独占し、使い切るわけにはいかない。環境に優しく、持続可能な生活をしなければね。			それは青燐の光							
いや～、それにしても美味しそうです～！ラザハン文化の再現をした時にも思ったんですが、教授って、料理お上手なんですね！			いや～、それにしても美味しそうです～！ラザハン文化の再現をした時にも思ったんですが、教授って、料理お上手なんですね！			それは青燐の光							
いやぁ、レシピの通りに再現してみただけだよ。でも、そんなに喜んでもらえるなら、悪い気はしないな。			いやぁ、レシピの通りに再現してみただけだよ。でも、そんなに喜んでもらえるなら、悪い気はしないな。			それは青燐の光							
まだまだ試してみたい料理はたくさんあるし、きみさえ良ければ、これからは毎日ぼくが作ろう。			まだまだ試してみたい料理はたくさんあるし、きみさえ良ければ、これからは毎日ぼくが作ろう。			それは青燐の光							
ふぉ、ふぉおお。是非お願いしますー！			ふぉ、ふぉおお。是非お願いしますー！			それは青燐の光							
な、なんだか、教授との距離が、一気に近づいたような気がします……。			な、なんだか、教授との距離が、一気に近づいたような気がします……。			それは青燐の光							
この調子で接近を続けていけば、タンキン教授の研究が完遂する頃には……妄想が止まりません！冒険者さん、引き続き研究への協力をお願いしますよ～！			この調子で接近を続けていけば、タンキン教授の研究が完遂する頃には……妄想が止まりません！冒険者さん、引き続き研究への協力をお願いしますよ～！			それは青燐の光							
文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の応援者」と感じているようです！			文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の応援者」と感じているようです！			それは青燐の光							
「採掘師／園芸師」のいずれかがレベル85以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			「採掘師／園芸師」のいずれかがレベル85以上になると、選者殿の「ヒナゲシ」から、次のクエストが受注可能です。			それは青燐の光							
次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			それは青燐の光							
選者殿のヒナゲシは、研究に熱中しているようだ。			選者殿のヒナゲシは、研究に熱中しているようだ。			極限環境の女							
ヒナゲシから研究対象の採集を依頼された。「極限文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「極限文化の必需品」は、採掘師の場合は嘆きの海の霊土の剣付近で、園芸師の場合は嘆きの海のヘイムダル級観察艇の残骸付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ヒナゲシから研究対象の採集を依頼された。「極限文化の必需品」を6個、採集し、選者殿の「ヒナゲシ」へ納品しよう。「極限文化の必需品」は、採掘師の場合は嘆きの海の霊土の剣付近で、園芸師の場合は嘆きの海のヘイムダル級観察艇の残骸付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			極限環境の女							
ヒナゲシに「極限文化の必需品」を納品した。さらなる文化研究のため、準備が整い次第ふたたびヒナゲシに声をかけよう。			ヒナゲシに「極限文化の必需品」を納品した。さらなる文化研究のため、準備が整い次第ふたたびヒナゲシに声をかけよう。			極限環境の女							
霊土の剣付近で採集した極限文化の必需品をヒナゲシに納品ヘイムダル級観察艇の残骸付近で採集した極限文化の必需品をヒナゲシに納品採掘師または園芸師になり極限文化の必需品をヒナゲシに納品			霊土の剣付近で採集した極限文化の必需品をヒナゲシに納品ヘイムダル級観察艇の残骸付近で採集した極限文化の必需品をヒナゲシに納品採掘師または園芸師になり極限文化の必需品をヒナゲシに納品			極限環境の女							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「月を繰る者たち」を完了する必要があります。			極限環境の女							
次はいったい、どこの文化の再現をするんでしょうね～？体験してみたい文化なら、いくつもあるんですけど！			次はいったい、どこの文化の再現をするんでしょうね～？体験してみたい文化なら、いくつもあるんですけど！			極限環境の女							
さて、ぼくたちがガレマール文化についてまとめている間、あなたには次なる文化再現の準備に着手してもらいたい。			さて、ぼくたちがガレマール文化についてまとめている間、あなたには次なる文化再現の準備に着手してもらいたい。			極限環境の女							
それで、どの文化を再現するか、についてだが……。			それで、どの文化を再現するか、についてだが……。			極限環境の女							
暑い国に、寒い国。気候的に両極端な文化を体験した気がしますから、次はちょっと、目線を変える必要がありそうですねぇ。			暑い国に、寒い国。気候的に両極端な文化を体験した気がしますから、次はちょっと、目線を変える必要がありそうですねぇ。			極限環境の女							
うん、その思考は正しい。ガレマールの卓抜した技術は、過酷な自然環境をも乗り越えた。しかし、青燐水に依存しているのが最大の弱点だ。			うん、その思考は正しい。ガレマールの卓抜した技術は、過酷な自然環境をも乗り越えた。しかし、青燐水に依存しているのが最大の弱点だ。			極限環境の女							
もし、その青燐水が得られなかったら？草すら生えないような不毛の大地に追いやられたとき、人類はどのように生活していけば良いだろうか……？			もし、その青燐水が得られなかったら？草すら生えないような不毛の大地に追いやられたとき、人類はどのように生活していけば良いだろうか……？			極限環境の女							
そ、それは想像するだけで、過酷な体験ですね～……！というか、そもそも居住に適していない土地で、文化は育まれるんでしょうか？			そ、それは想像するだけで、過酷な体験ですね～……！というか、そもそも居住に適していない土地で、文化は育まれるんでしょうか？			極限環境の女							
そう、ぼくが頭を悩ませているのは、まさしくそこなんだ、ヒナゲシ君！			そう、ぼくが頭を悩ませているのは、まさしくそこなんだ、ヒナゲシ君！			極限環境の女							
ぼくは極限環境での文化創出について研究したい！だが、居住不可能な土地には、人類が暮らしていない……！つまり研究対象が見当たらないんだ！			ぼくは極限環境での文化創出について研究したい！だが、居住不可能な土地には、人類が暮らしていない……！つまり研究対象が見当たらないんだ！			極限環境の女							
居住不可能地域の暮らしから生まれる文化……。矛盾してますけど、なんだかとっても学術的な命題ですねぇ。			居住不可能地域の暮らしから生まれる文化……。矛盾してますけど、なんだかとっても学術的な命題ですねぇ。			極限環境の女							
多くの地域を旅してきたあなたなら、次の再現にふさわしい場所について、どこか心当たりがあったりしないだろうか？			多くの地域を旅してきたあなたなら、次の再現にふさわしい場所について、どこか心当たりがあったりしないだろうか？			極限環境の女							
何と言う？			何と言う？			極限環境の女							
嘆きの海では？			嘆きの海では？			極限環境の女							
月では？			月では？			極限環境の女							
月面……「嘆きの海」の集落だって！？いや、それはたしかに条件としては申し分ないが、仮に実在するとして、どうやって素材を採集するつもりだい？			月面……「嘆きの海」の集落だって！？いや、それはたしかに条件としては申し分ないが、仮に実在するとして、どうやって素材を採集するつもりだい？			極限環境の女							
本当に、月に行けると言うのかい？いやはや、冒険者というのはすごいものだね……！			本当に、月に行けると言うのかい？いやはや、冒険者というのはすごいものだね……！			極限環境の女							
さすが冒険者さん！ですが、私たちは月面での暮らしぶりに関する知識がありません。			さすが冒険者さん！ですが、私たちは月面での暮らしぶりに関する知識がありません。			極限環境の女							
「嘆きの海」に向かい、冒険者さんの判断で、月の文化再現に必要そうな素材を見繕ってきてください！「極限文化の必需品」の調達をお願いします～！			「嘆きの海」に向かい、冒険者さんの判断で、月の文化再現に必要そうな素材を見繕ってきてください！「極限文化の必需品」の調達をお願いします～！			極限環境の女							
「極限文化の必需品」は、嘆きの海の霊土の剣付近で採集することができます。			「極限文化の必需品」は、嘆きの海の霊土の剣付近で採集することができます。			極限環境の女							
「極限文化の必需品」は、嘆きの海のヘイムダル級観察艇の残骸付近で採集することができます。			「極限文化の必需品」は、嘆きの海のヘイムダル級観察艇の残骸付近で採集することができます。			極限環境の女							
まさか月の素材まで手に入れることができるとはね。冒険者の暮らしぶりについても、学んだ方が良い気がしてきたよ。			まさか月の素材まで手に入れることができるとはね。冒険者の暮らしぶりについても、学んだ方が良い気がしてきたよ。			極限環境の女							
月の素材って、どうやって保存すればいいんでしょう？貴重な試料を無駄にするわけにはいかないから、管理が大変です～！			月の素材って、どうやって保存すればいいんでしょう？貴重な試料を無駄にするわけにはいかないから、管理が大変です～！			極限環境の女							
すごい、本当に月に行けるんですね～！いつも目に見えてるのに、どこの国よりも遠いですから、なんだか不思議な気がします……！			すごい、本当に月に行けるんですね～！いつも目に見えてるのに、どこの国よりも遠いですから、なんだか不思議な気がします……！			極限環境の女							
すごい、本当に月に行けるんですね～！月のことはサッパリですけど、それでもこれは、一目で品質の良さがわかりますよ～！			すごい、本当に月に行けるんですね～！月のことはサッパリですけど、それでもこれは、一目で品質の良さがわかりますよ～！			極限環境の女							
……って、これニンジンですよね！？月の地表って、ニンジンが埋まってるんですか！？と、とにかく、ありがとうございます！			……って、これニンジンですよね！？月の地表って、ニンジンが埋まってるんですか！？と、とにかく、ありがとうございます！			極限環境の女							
……って、これニンジンですよね！？月って、ニンジンが収穫できるんですか！？と、とにかく、ありがとうございます！			……って、これニンジンですよね！？月って、ニンジンが収穫できるんですか！？と、とにかく、ありがとうございます！			極限環境の女							
納品した素材を用いて、文化の再現が行われた！			納品した素材を用いて、文化の再現が行われた！			極限環境の女							
あの、教授……これが本当に月の文化なんですか～！？なんか、大きくないですか！？			あの、教授……これが本当に月の文化なんですか～！？なんか、大きくないですか！？			極限環境の女							
もちろんだよ、ヒナゲシ君。情報の出処は明かせないが、ある信頼できる記録に従い、月における生活様式を再現してみたんだ。			もちろんだよ、ヒナゲシ君。情報の出処は明かせないが、ある信頼できる記録に従い、月における生活様式を再現してみたんだ。			極限環境の女							
そ、それはなんとなく察しましたけど、この格好になる必要あります～？			そ、それはなんとなく察しましたけど、この格好になる必要あります～？			極限環境の女							
服装については資料がなかったのでね。想像力で補う必要があったが……まぁ、気分の問題だよ。			服装については資料がなかったのでね。想像力で補う必要があったが……まぁ、気分の問題だよ。			極限環境の女							
もちろんだよ、ヒナゲシ君。嘆きの海に棲まう「レポリット」からの情報をたよりに、月における生活様式を再現してみたんだ。			もちろんだよ、ヒナゲシ君。嘆きの海に棲まう「レポリット」からの情報をたよりに、月における生活様式を再現してみたんだ。			極限環境の女							
それはわかりますけど、この格好になる必要あります～？			それはわかりますけど、この格好になる必要あります～？			極限環境の女							
その……なんだ……レポリットたちの気分を味わうには必要かなと思ってね……。			その……なんだ……レポリットたちの気分を味わうには必要かなと思ってね……。			極限環境の女							
それに大量のニンジン……。月には草すら生えてないと思ってましたから、野菜の栽培ができるというのは、嬉しい驚きなんですが……。			それに大量のニンジン……。月には草すら生えてないと思ってましたから、野菜の栽培ができるというのは、嬉しい驚きなんですが……。			極限環境の女							
ニンジンだけの食生活って、シャーレアンの食文化にも劣る気がしますねぇ……。そこまでして月で暮らす利点、あるんでしょうか？			ニンジンだけの食生活って、シャーレアンの食文化にも劣る気がしますねぇ……。そこまでして月で暮らす利点、あるんでしょうか？			極限環境の女							
利点がなくとも、移住せざるを得ない場合もある。それは人類の歴史が証明していることだよ。これまでも……そして、これからも、ね。			利点がなくとも、移住せざるを得ない場合もある。それは人類の歴史が証明していることだよ。これまでも……そして、これからも、ね。			極限環境の女							
教授、今回の再現はあまり楽しそうじゃないですねぇ。ひょっとして、ニンジンが嫌いだった、とか……？			教授、今回の再現はあまり楽しそうじゃないですねぇ。ひょっとして、ニンジンが嫌いだった、とか……？			極限環境の女							
私の恋がどうとか言ってる雰囲気じゃないかもですけど、引き続き協力をお願いします！			私の恋がどうとか言ってる雰囲気じゃないかもですけど、引き続き協力をお願いします！			極限環境の女							
文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の推進者」と感じているようです！			文化学部の貢献ランクが上昇しました！ヒナゲシはあなたの事を、「恋愛成就の推進者」と感じているようです！			極限環境の女							
また、「ヒナゲシ」から受注可能な、魔法大学取引のストーリークエストが発行されました！			また、「ヒナゲシ」から受注可能な、魔法大学取引のストーリークエストが発行されました！			極限環境の女							
選者殿のヒナゲシは、研究を楽しんでいるようだ。			選者殿のヒナゲシは、研究を楽しんでいるようだ。			ヒナゲシ君から							
第二波止場の指定地点で待機する			第二波止場の指定地点で待機する			ヒナゲシ君から							
タンキンと話す			タンキンと話す			ヒナゲシ君から							
ヒナゲシの目撃情報を探す			ヒナゲシの目撃情報を探す			ヒナゲシ君から							
指定地点で見渡す			指定地点で見渡す			ヒナゲシ君から							
タンキンにかんざし素材を納品			タンキンにかんざし素材を納品			ヒナゲシ君から							
タンキンと話す			タンキンと話す			ヒナゲシ君から							
選者殿のヒナゲシと話す			選者殿のヒナゲシと話す			ヒナゲシ君から							
第二波止場の指定地点で待機する			第二波止場の指定地点で待機する			ヒナゲシ君から							
タンキンと話す			タンキンと話す			ヒナゲシ君から							
ヒナゲシの目撃情報を探す			ヒナゲシの目撃情報を探す			ヒナゲシ君から							
指定地点で見渡す			指定地点で見渡す			ヒナゲシ君から							
獄之蓋の採掘場でかんざし素材を採掘異人街のタンキンにかんざし素材を納品オノコロ島付近の良木からかんざし素材を伐採採掘師または園芸師になりかんざし素材を採集採掘師または園芸師になり異人街のタンキンにかんざし素材を納品			獄之蓋の採掘場でかんざし素材を採掘異人街のタンキンにかんざし素材を納品オノコロ島付近の良木からかんざし素材を伐採採掘師または園芸師になりかんざし素材を採集採掘師または園芸師になり異人街のタンキンにかんざし素材を納品			ヒナゲシ君から							
タンキンと話す			タンキンと話す			ヒナゲシ君から							
選者殿のヒナゲシと話す			選者殿のヒナゲシと話す			ヒナゲシ君から							
月でも生活が成り立ちそうだとすると……次はどんな文化を研究するんでしょうね～？			月でも生活が成り立ちそうだとすると……次はどんな文化を研究するんでしょうね～？			ヒナゲシ君から							
いい報せがある。かねてより出していた渡航申請に許可が下りたよ。			いい報せがある。かねてより出していた渡航申請に許可が下りたよ。			ヒナゲシ君から							
次の文化は、ここで再現するのではなく、島を出て、現地の文化を実際に肌で感じてみよう！			次の文化は、ここで再現するのではなく、島を出て、現地の文化を実際に肌で感じてみよう！			ヒナゲシ君から							
わ～、本当ですか～！それで、いったいどこに行くんです？			わ～、本当ですか～！それで、いったいどこに行くんです？			ヒナゲシ君から							
遥か東方にある、ひんがしの国。その唯一の玄関口である、クガネに行こうと思う。			遥か東方にある、ひんがしの国。その唯一の玄関口である、クガネに行こうと思う。			ヒナゲシ君から							
クガネですか～、いいですねぇ！学ぶところ、たくさんありそうです！			クガネですか～、いいですねぇ！学ぶところ、たくさんありそうです！			ヒナゲシ君から							
申請が下りたといっても、長居はできない。滞在時間が限られている中、できるだけ効率よく回る必要があるんだが……。			申請が下りたといっても、長居はできない。滞在時間が限られている中、できるだけ効率よく回る必要があるんだが……。			ヒナゲシ君から							
あなたは、東方にも詳しかったりしないだろうか？			あなたは、東方にも詳しかったりしないだろうか？			ヒナゲシ君から							
おお、やはり……！それならどうか、現地での案内役をお願いできないだろうか？			おお、やはり……！それならどうか、現地での案内役をお願いできないだろうか？			ヒナゲシ君から							
ありがとう！			ありがとう！			ヒナゲシ君から							
クガネに渡航する際は「第二波止場」というところに着くようだ。ぼくらは到着までしばらく時間がかかるだろうから、そこで合流しよう。			クガネに渡航する際は「第二波止場」というところに着くようだ。ぼくらは到着までしばらく時間がかかるだろうから、そこで合流しよう。			ヒナゲシ君から							
ぼくらもエーテライトで移動できれば早いんだけどね。あなたは我々が到着するころを見計らって、現地で待っていてほしい。			ぼくらもエーテライトで移動できれば早いんだけどね。あなたは我々が到着するころを見計らって、現地で待っていてほしい。			ヒナゲシ君から							
教授と一緒に旅行だなんて……これ、すっごいチャンスじゃないですか？ドキドキしてきました～！			教授と一緒に旅行だなんて……これ、すっごいチャンスじゃないですか？ドキドキしてきました～！			ヒナゲシ君から							
しばらく後……。			しばらく後……。			ヒナゲシ君から							
新型エーテライトを使ってラザハン経由で来たんだが、乗り継ぎの途中で、衣装を貸し出していてね。せっかくだから着替えてみたんだ。			新型エーテライトを使ってラザハン経由で来たんだが、乗り継ぎの途中で、衣装を貸し出していてね。せっかくだから着替えてみたんだ。			ヒナゲシ君から							
こ、こここ、婚前旅行に来られるなんて、夢みたいです……！			こ、こここ、婚前旅行に来られるなんて、夢みたいです……！			ヒナゲシ君から							
さて、クガネ城は、と……。			さて、クガネ城は、と……。			ヒナゲシ君から							
ここからではよく見えないな。どこか眺めの良いところはないかな？			ここからではよく見えないな。どこか眺めの良いところはないかな？			ヒナゲシ君から							
何と言う？			何と言う？			ヒナゲシ君から							
潮風亭の屋根の上！			潮風亭の屋根の上！			ヒナゲシ君から							
この近くなら黄昏橋だ			この近くなら黄昏橋だ			ヒナゲシ君から							
待ってくれ、それは我々一般人にも登れるところなのかな？絶景には興味あるが、あの世の景色までは見たくないよ……。			待ってくれ、それは我々一般人にも登れるところなのかな？絶景には興味あるが、あの世の景色までは見たくないよ……。			ヒナゲシ君から							
この近くに「黄昏橋」というのがあるみたいだから、そこに行ってみよう。			この近くに「黄昏橋」というのがあるみたいだから、そこに行ってみよう。			ヒナゲシ君から							
「黄昏橋」か、素敵な名前だね。よし、そこに行ってみよう。			「黄昏橋」か、素敵な名前だね。よし、そこに行ってみよう。			ヒナゲシ君から							
あれがクガネ城……なんという威容だ。同じ島国でも、シャーレアンとはまるで違うね。			あれがクガネ城……なんという威容だ。同じ島国でも、シャーレアンとはまるで違うね。			ヒナゲシ君から							
クガネは、鎖国中のひんがしの国でも、唯一、異国の民に開かれた開港場……。			クガネは、鎖国中のひんがしの国でも、唯一、異国の民に開かれた開港場……。			ヒナゲシ君から							
諸国から見たひんがしの国は、このクガネがすべてのような印象を受けるが、意図的にそう仕向けられている可能性もある。			諸国から見たひんがしの国は、このクガネがすべてのような印象を受けるが、意図的にそう仕向けられている可能性もある。			ヒナゲシ君から							
目で見るだけでなく、実際に現地の人々に話を聞き、その実態を探る必要があるだろう。			目で見るだけでなく、実際に現地の人々に話を聞き、その実態を探る必要があるだろう。			ヒナゲシ君から							
また、終末の危機があってなお、この街は、平穏そのものに見える。			また、終末の危機があってなお、この街は、平穏そのものに見える。			ヒナゲシ君から							
それが諸外国から受け取る情報を、「お上」が操作して人々に伝えた結果なのか……。あるいは、独力で生き残る自信があったからなのか……。			それが諸外国から受け取る情報を、「お上」が操作して人々に伝えた結果なのか……。あるいは、独力で生き残る自信があったからなのか……。			ヒナゲシ君から							
最良の文化を検討するという、ぼくの研究のためにも興味深い実例と言えるだろう。はるばる海を渡って来た甲斐がありそうだよ。			最良の文化を検討するという、ぼくの研究のためにも興味深い実例と言えるだろう。はるばる海を渡って来た甲斐がありそうだよ。			ヒナゲシ君から							
私、ウミネコ茶屋に行ってみたいです！渋いお茶に、甘いお団子の組み合わせが絶品だとか。			私、ウミネコ茶屋に行ってみたいです！渋いお茶に、甘いお団子の組み合わせが絶品だとか。			ヒナゲシ君から							
ヒナゲシ君……文化の体験とはいえ、ぼくらは観光目的で来ているわけではないんだ。もう少し気を引き締めてくれ！			ヒナゲシ君……文化の体験とはいえ、ぼくらは観光目的で来ているわけではないんだ。もう少し気を引き締めてくれ！			ヒナゲシ君から							
す、すみません……。			す、すみません……。			ヒナゲシ君から							
あ、すまない……少し神経質になっていたみたいだ。ここが観光地としての側面があるのも間違いはないし、きみはきみの観点で、文化を体験してくれていい。			あ、すまない……少し神経質になっていたみたいだ。ここが観光地としての側面があるのも間違いはないし、きみはきみの観点で、文化を体験してくれていい。			ヒナゲシ君から							
……はい。			……はい。			ヒナゲシ君から							
次は第一波止場に行って、蔵の建築を眺めつつ、「小鍛冶屋」の見学をしよう。			次は第一波止場に行って、蔵の建築を眺めつつ、「小鍛冶屋」の見学をしよう。			ヒナゲシ君から							
おお、この熱気……！世界中の武具の中でも、随一の切れ味を誇ると言われるカタナは、こうして作られていたのだ……！			おお、この熱気……！世界中の武具の中でも、随一の切れ味を誇ると言われるカタナは、こうして作られていたのだ……！			ヒナゲシ君から							
おっと、私としたことが、ついつい童心に返ってしまった。これではヒナゲシ君のことを叱れないね。			おっと、私としたことが、ついつい童心に返ってしまった。これではヒナゲシ君のことを叱れないね。			ヒナゲシ君から							
……おや？ヒナゲシ君がいない？			……おや？ヒナゲシ君がいない？			ヒナゲシ君から							
なんてことだ……見学に夢中になってしまっていて、正直いつからいなくなっていたのかわからない。どこではぐれたのだろう？			なんてことだ……見学に夢中になってしまっていて、正直いつからいなくなっていたのかわからない。どこではぐれたのだろう？			ヒナゲシ君から							
ぼくは小金通りの方を探すので、あなたは「異人街」の方で彼女の姿を見かけた者がいないか、探してもらえないだろうか？			ぼくは小金通りの方を探すので、あなたは「異人街」の方で彼女の姿を見かけた者がいないか、探してもらえないだろうか？			ヒナゲシ君から							
迷子の女性を見かけなかったか、だと？			迷子の女性を見かけなかったか、だと？			ヒナゲシ君から							
このような場所に観光客が来るはずもなかろう。「クガネ城」の門前からなら、街が一望できる。そこから「見渡す」のがよかろう。			このような場所に観光客が来るはずもなかろう。「クガネ城」の門前からなら、街が一望できる。そこから「見渡す」のがよかろう。			ヒナゲシ君から							
では、見回り中ゆえ、御免。			では、見回り中ゆえ、御免。			ヒナゲシ君から							
ヒナゲシ君！			ヒナゲシ君！			ヒナゲシ君から							
あ、教授～！！それに冒険者さんも～！			あ、教授～！！それに冒険者さんも～！			ヒナゲシ君から							
