ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に頼みたいことがあるようだ。			神子の使いと忘れられた島							
さて、オスモンくんがあなたのお土産話を待ち構えてるから、た～っぷりと聞かせてあげて！			さて、オスモンくんがあなたのお土産話を待ち構えてるから、た～っぷりと聞かせてあげて！			神子の使いと忘れられた島							
それじゃ、お仕事おつかれさまでした～！			それじゃ、お仕事おつかれさまでした～！			神子の使いと忘れられた島							
メインコマンドの「コンテンツ情報」項目にある、「特殊ダンジョン探索」内に、「アロアロ島 探索記」が追加されました。			メインコマンドの「コンテンツ情報」項目にある、「特殊ダンジョン探索」内に、「アロアロ島 探索記」が追加されました。			神子の使いと忘れられた島							
ヴァリアントダンジョン「アロアロ島」コンプリート時、踏破したルートに応じて、探索記の項目が追加されていきます。			ヴァリアントダンジョン「アロアロ島」コンプリート時、踏破したルートに応じて、探索記の項目が追加されていきます。			神子の使いと忘れられた島							
ペリスタイルのシャロー・ムアーは、冒険者に渡したいものがあるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に渡したいものがあるようだ。			女王陛下と約束の鍵							
シャロー・ムアーと話した。モモディの手紙によると、ナナモの侍女から内密な依頼が来ているという。ウルダハのクイックサンド付近で、依頼主である「ココシュ」を探そう。			シャロー・ムアーと話した。モモディの手紙によると、ナナモの侍女から内密な依頼が来ているという。ウルダハのクイックサンド付近で、依頼主である「ココシュ」を探そう。			女王陛下と約束の鍵							
ココシュたちと話した。ナナモは、シラディハ水道で発見された扉の調査に同行してほしいという。中央ザナラーンのシラディハ遺跡前で、「復旧担当の不滅隊員」と話そう。			ココシュたちと話した。ナナモは、シラディハ水道で発見された扉の調査に同行してほしいという。中央ザナラーンのシラディハ遺跡前で、「復旧担当の不滅隊員」と話そう。			女王陛下と約束の鍵							
復旧担当の不滅隊員と話した。「シラディハ水道」を攻略しよう。※ヴァリアントダンジョンの専用ウィンドウから攻略に参加できます。※専用ウィンドウは、復旧担当の不滅隊員と話すか、メインコマンドの「コンテンツ情報」から「特殊ダンジョン探索」を選ぶと確認できます。			復旧担当の不滅隊員と話した。「シラディハ水道」を攻略しよう。※ヴァリアントダンジョンの専用ウィンドウから攻略に参加できます。※専用ウィンドウは、復旧担当の不滅隊員と話すか、メインコマンドの「コンテンツ情報」から「特殊ダンジョン探索」を選ぶと確認できます。			女王陛下と約束の鍵							
シラディハ水道を攻略した。シラディハ遺跡前で、「復旧担当の不滅隊員」と話そう。			シラディハ水道を攻略した。シラディハ遺跡前で、「復旧担当の不滅隊員」と話そう。			女王陛下と約束の鍵							
復旧担当の不滅隊員と話した。最初に待ち合わせた場所で、ココシュと合流することになった。クイックサンド付近で、「ココシュ」と話そう。			復旧担当の不滅隊員と話した。最初に待ち合わせた場所で、ココシュと合流することになった。クイックサンド付近で、「ココシュ」と話そう。			女王陛下と約束の鍵							
ココシュたちと話した。オールド・シャーレアンのペリスタイルで、「シャロー・ムアー」と話そう。			ココシュたちと話した。オールド・シャーレアンのペリスタイルで、「シャロー・ムアー」と話そう。			女王陛下と約束の鍵							
シャロー・ムアーと話した。シラディハ水道の探検はひとつの結末へと至ったが、いまだ謎は残されている。地下水道の先に何が眠っているのか、ナナモとともに調査を続けるのもいいだろう。			シャロー・ムアーと話した。シラディハ水道の探検はひとつの結末へと至ったが、いまだ謎は残されている。地下水道の先に何が眠っているのか、ナナモとともに調査を続けるのもいいだろう。			女王陛下と約束の鍵							
ウルダハでココシュを探す			ウルダハでココシュを探す			女王陛下と約束の鍵							
シラディハ遺跡の復旧担当の不滅隊員と話す			シラディハ遺跡の復旧担当の不滅隊員と話す			女王陛下と約束の鍵							
「シラディハ水道」を攻略			「シラディハ水道」を攻略			女王陛下と約束の鍵							
復旧担当の不滅隊員と話す			復旧担当の不滅隊員と話す			女王陛下と約束の鍵							
ウルダハのココシュと話す			ウルダハのココシュと話す			女王陛下と約束の鍵							
オールド・シャーレアンのシャロー・ムアーと話す			オールド・シャーレアンのシャロー・ムアーと話す			女王陛下と約束の鍵							
Forenameさん、今、ちょ～っと時間ある？			Forenameさん、今、ちょ～っと時間ある？			女王陛下と約束の鍵							
あるなら、ちょうどよかった！モモディさんから、あなた宛てのお手紙を預かってるの。返事はリンクパールでって頼まれてるから、確認お願い～！			あるなら、ちょうどよかった！モモディさんから、あなた宛てのお手紙を預かってるの。返事はリンクパールでって頼まれてるから、確認お願い～！			女王陛下と約束の鍵							
(-モモディからの手紙-)Forename、元気にしている？突然、手紙を送りつけたりして、ごめんなさいね。急ぎではないのだけど、あなたに名指しで依頼がきているのよ。			(-モモディからの手紙-)Forename、元気にしている？突然、手紙を送りつけたりして、ごめんなさいね。急ぎではないのだけど、あなたに名指しで依頼がきているのよ。			女王陛下と約束の鍵							
(-モモディからの手紙-)依頼主は、ナナモ陛下付きの侍女さん。詳しいことは、彼女から直接話したいようだから、あなたの都合がいいときに、ウルダハへ顔を出してもらえる？			(-モモディからの手紙-)依頼主は、ナナモ陛下付きの侍女さん。詳しいことは、彼女から直接話したいようだから、あなたの都合がいいときに、ウルダハへ顔を出してもらえる？			女王陛下と約束の鍵							
(-モモディからの手紙-)来れそうなら、シャロー・ムアーさんに頼んで私へ連絡して。すぐ話ができるように、侍女さんへ一報を入れておくから。それじゃ、待っているわね！			(-モモディからの手紙-)来れそうなら、シャロー・ムアーさんに頼んで私へ連絡して。すぐ話ができるように、侍女さんへ一報を入れておくから。それじゃ、待っているわね！			女王陛下と約束の鍵							
その様子だと、お仕事の依頼かな？			その様子だと、お仕事の依頼かな？			女王陛下と約束の鍵							
何と言う？			何と言う？			女王陛下と約束の鍵							
モモディに、ウルダハへ行くと連絡してほしい			モモディに、ウルダハへ行くと連絡してほしい			女王陛下と約束の鍵							
モモディの頼みは断れないなぁ……			モモディの頼みは断れないなぁ……			女王陛下と約束の鍵							
は～い、了解よ！すぐ連絡するから、ちょっと待っててね。			は～い、了解よ！すぐ連絡するから、ちょっと待っててね。			女王陛下と約束の鍵							
あはは！じゃあ、引き受けてくれるみたいって、モモディさんへ連絡しちゃうわね～！			あはは！じゃあ、引き受けてくれるみたいって、モモディさんへ連絡しちゃうわね～！			女王陛下と約束の鍵							
連絡完了～っと！依頼主の侍女さんとすぐ会えるように、手配しておくって！			連絡完了～っと！依頼主の侍女さんとすぐ会えるように、手配しておくって！			女王陛下と約束の鍵							
その人、「ココシュ」さんっていう名前で、桃色の髪に緑色の瞳が特徴の、ララフェル族の女性だそうよ！			その人、「ココシュ」さんっていう名前で、桃色の髪に緑色の瞳が特徴の、ララフェル族の女性だそうよ！			女王陛下と約束の鍵							
ウルダハに着いたら、クイックサンドの近くで探してみてね。それじゃあ、いってらっしゃ～い！			ウルダハに着いたら、クイックサンドの近くで探してみてね。それじゃあ、いってらっしゃ～い！			女王陛下と約束の鍵							
Surname様、お待ちしておりました。私がココシュでございます。			Surname様、お待ちしておりました。私がココシュでございます。			女王陛下と約束の鍵							
先にお伝えしておきたいのですが、実のところ、本当の依頼主は私ではないのです。			先にお伝えしておきたいのですが、実のところ、本当の依頼主は私ではないのです。			女王陛下と約束の鍵							
此度の件は、私の主……ナナモ様たってのご依頼です。			此度の件は、私の主……ナナモ様たってのご依頼です。			女王陛下と約束の鍵							
ひとまず、私からお伝えできることをご説明いたします。それを聞いたうえで、依頼を受けるかご判断ください。			ひとまず、私からお伝えできることをご説明いたします。それを聞いたうえで、依頼を受けるかご判断ください。			女王陛下と約束の鍵							
さっそくではございますがSurname様、ウルダハの「地下水道」を覚えていらっしゃるでしょうか。			さっそくではございますがSurname様、ウルダハの「地下水道」を覚えていらっしゃるでしょうか。			女王陛下と約束の鍵							
戦勝祝賀会の折に、皆様が脱出するために使われた、あの「シラディハ水道」のことです。お互い、思い出すだけでも気が滅入る話ですね。			戦勝祝賀会の折に、皆様が脱出するために使われた、あの「シラディハ水道」のことです。お互い、思い出すだけでも気が滅入る話ですね。			女王陛下と約束の鍵							
当時、シラディハ水道の一部が崩落する事態となり、不滅隊を中心に復旧作業を行ってきたのですが……			当時、シラディハ水道の一部が崩落する事態となり、不滅隊を中心に復旧作業を行ってきたのですが……			女王陛下と約束の鍵							
その際に、奇妙な力で封じられた「扉」が発見されたのです。			その際に、奇妙な力で封じられた「扉」が発見されたのです。			女王陛下と約束の鍵							
古めかしく用途も知れぬ扉なのですが、ナナモ様はたいそう興味を示されておいでで……ご自身の目で確認するため、現地へ赴きたいと仰るのです。			古めかしく用途も知れぬ扉なのですが、ナナモ様はたいそう興味を示されておいでで……ご自身の目で確認するため、現地へ赴きたいと仰るのです。			女王陛下と約束の鍵							
しかも、ナナモ様の安全を優先するピピン様たちと一緒では、気が済むまで調べられないゆえ、おひとりで行きたいと。そのようなこと、私どもが首を縦に振れるはずもございません。			しかも、ナナモ様の安全を優先するピピン様たちと一緒では、気が済むまで調べられないゆえ、おひとりで行きたいと。そのようなこと、私どもが首を縦に振れるはずもございません。			女王陛下と約束の鍵							
そこで、冒険者としての知見が深く、腕の立つあなた様に、ナナモ様の護衛をお願いしたい……というわけでございます。			そこで、冒険者としての知見が深く、腕の立つあなた様に、ナナモ様の護衛をお願いしたい……というわけでございます。			女王陛下と約束の鍵							
何と言う？			何と言う？			女王陛下と約束の鍵							
女王陛下のお願いとあらば！			女王陛下のお願いとあらば！			女王陛下と約束の鍵							
ちょっと心配だけど、善処します……			ちょっと心配だけど、善処します……			女王陛下と約束の鍵							
ありがとうございます、Surname様。さっそく、ナナモ様に報告してまいりますので、こちらでしばらくお待ちくださいませ。			ありがとうございます、Surname様。さっそく、ナナモ様に報告してまいりますので、こちらでしばらくお待ちくださいませ。			女王陛下と約束の鍵							
待たせたな、Forenameよ。きわめて私的な依頼に応じてくれたこと、深く感謝しておる。			待たせたな、Forenameよ。きわめて私的な依頼に応じてくれたこと、深く感謝しておる。			女王陛下と約束の鍵							
まあ、そなたの冒険心をいくらかは満たせそうな案件ゆえ、どうか気負わずに、協力してもらえたら嬉しい。			まあ、そなたの冒険心をいくらかは満たせそうな案件ゆえ、どうか気負わずに、協力してもらえたら嬉しい。			女王陛下と約束の鍵							
さて、おおよその話はココシュから聞いておるな？わらわからは、くだんの「扉」について少し話をさせてほしい。			さて、おおよその話はココシュから聞いておるな？わらわからは、くだんの「扉」について少し話をさせてほしい。			女王陛下と約束の鍵							
報告によると、その扉には花の模様が描かれているそうでな。不滅隊の調査では、模様の由来や意味を特定できなかったが、わらわにはひとつだけ、心当たりがある。			報告によると、その扉には花の模様が描かれているそうでな。不滅隊の調査では、模様の由来や意味を特定できなかったが、わらわにはひとつだけ、心当たりがある。			女王陛下と約束の鍵							
同じ装飾の施された「鍵」を、わらわは持っておるのじゃ。			同じ装飾の施された「鍵」を、わらわは持っておるのじゃ。			女王陛下と約束の鍵							
今は亡き父上と母上から賜った、最後の贈り物でな。わらわが大人になったら、その鍵が守る地へと共に行こう、と、手渡してくださったことを覚えておる。			今は亡き父上と母上から賜った、最後の贈り物でな。わらわが大人になったら、その鍵が守る地へと共に行こう、と、手渡してくださったことを覚えておる。			女王陛下と約束の鍵							
かの地で、わらわが何を選び、進んだ先で何を目にするのかを、父上と母上は楽しみにされているとも仰っていたが……おふたりは先立たれ、約束を果たす機会は終ぞ訪れなかった。			かの地で、わらわが何を選び、進んだ先で何を目にするのかを、父上と母上は楽しみにされているとも仰っていたが……おふたりは先立たれ、約束を果たす機会は終ぞ訪れなかった。			女王陛下と約束の鍵							
こうして、わらわは鍵の用途を知る術を失ったのだが、同じ模様の描かれた扉が、今になって見つかろうとは……。			こうして、わらわは鍵の用途を知る術を失ったのだが、同じ模様の描かれた扉が、今になって見つかろうとは……。			女王陛下と約束の鍵							
そのような場所、わらわが赴かずにはいられまい？			そのような場所、わらわが赴かずにはいられまい？			女王陛下と約束の鍵							
何と言う？			何と言う？			女王陛下と約束の鍵							
なんだかワクワクしてきた！			なんだかワクワクしてきた！			女王陛下と約束の鍵							
そんな場所に行くのは危険では……			そんな場所に行くのは危険では……			女王陛下と約束の鍵							
そうであろう、そうであろう……！さすがは稀代の冒険者、Forenameじゃ！			そうであろう、そうであろう……！さすがは稀代の冒険者、Forenameじゃ！			女王陛下と約束の鍵							
ほかでもない、そなたが同行してくれるのは本当に心強い。パパシャンとピピンには止められそうでな、何も話しておらぬゆえ、あやつらには頼めなくてのう。			ほかでもない、そなたが同行してくれるのは本当に心強い。パパシャンとピピンには止められそうでな、何も話しておらぬゆえ、あやつらには頼めなくてのう。			女王陛下と約束の鍵							
そなたの言い分は、もっともであろう。だが、父上と母上が関わっておられる場所ならば、放っておくわけにはいかぬのじゃ。			そなたの言い分は、もっともであろう。だが、父上と母上が関わっておられる場所ならば、放っておくわけにはいかぬのじゃ。			女王陛下と約束の鍵							
かといって、わらわ自身が調査に赴くと言ったところで、心配性のパパシャンとピピンが許すはずもなく……。それゆえ、そなたの協力が不可欠なのじゃ……どうか頼む。			かといって、わらわ自身が調査に赴くと言ったところで、心配性のパパシャンとピピンが許すはずもなく……。それゆえ、そなたの協力が不可欠なのじゃ……どうか頼む。			女王陛下と約束の鍵							
ただ、ココシュには、どうしても話を通しておく必要があった。			ただ、ココシュには、どうしても話を通しておく必要があった。			女王陛下と約束の鍵							
彼女は侍女であり、わらわの影武者も務めておるのでな。その補助をする者も含め、ごく少数にだけ伝えたのだが、護衛なしでは協力できぬと言われてしまってのう……。			彼女は侍女であり、わらわの影武者も務めておるのでな。その補助をする者も含め、ごく少数にだけ伝えたのだが、護衛なしでは協力できぬと言われてしまってのう……。			女王陛下と約束の鍵							
さながら、共犯にでもなってくれと頼むようですまぬが、そなたと探検をする、またとない機会でもある！頼りにしておるぞ。			さながら、共犯にでもなってくれと頼むようですまぬが、そなたと探検をする、またとない機会でもある！頼りにしておるぞ。			女王陛下と約束の鍵							
では、そなたは中央ザナラーンから現地へ向かってほしい！シラディハ遺跡におる「復旧担当の不滅隊員」に声をかければ、中へ通してもらえるよう手配はしておいた。			では、そなたは中央ザナラーンから現地へ向かってほしい！シラディハ遺跡におる「復旧担当の不滅隊員」に声をかければ、中へ通してもらえるよう手配はしておいた。			女王陛下と約束の鍵							
知ってのとおり、シラディハ水道は王宮に通じておるゆえ、誰かが立ち入る際には、安全性を考慮してこちらへ報告が来る。それにあわせて、わらわも隠し通路から向かうつもりじゃ。			知ってのとおり、シラディハ水道は王宮に通じておるゆえ、誰かが立ち入る際には、安全性を考慮してこちらへ報告が来る。それにあわせて、わらわも隠し通路から向かうつもりじゃ。			女王陛下と約束の鍵							
おたがい準備を整えて、のちほど現地で合流しよう！			おたがい準備を整えて、のちほど現地で合流しよう！			女王陛下と約束の鍵							
これはSurname殿！ココシュさんから、お話は伺っておりますよ！なんでも、極秘案件でシラディハ水道に入られたいとか……。			これはSurname殿！ココシュさんから、お話は伺っておりますよ！なんでも、極秘案件でシラディハ水道に入られたいとか……。			女王陛下と約束の鍵							
もしかして、水道が崩落した例の件について、何か気になることでも……？			もしかして、水道が崩落した例の件について、何か気になることでも……？			女王陛下と約束の鍵							
って、失礼いたしました。立ち入ったことを、お尋ねするべきではありませんよね。			って、失礼いたしました。立ち入ったことを、お尋ねするべきではありませんよね。			女王陛下と約束の鍵							
がれきの撤去は済んでおりますが、薄暗い場所ですから、どうか足元にはお気をつけください！			がれきの撤去は済んでおりますが、薄暗い場所ですから、どうか足元にはお気をつけください！			女王陛下と約束の鍵							
Surname殿、おつかれさまです！ご用はお済みでしょうか？			Surname殿、おつかれさまです！ご用はお済みでしょうか？			女王陛下と約束の鍵							
わかりました！では、作業員たちは中へ戻ってもらうことにいたします。			わかりました！では、作業員たちは中へ戻ってもらうことにいたします。			女王陛下と約束の鍵							
ああ、そうだ！			ああ、そうだ！			女王陛下と約束の鍵							
「ココシュ」さんから伝言を預かっていまして、クイックサンドのあたりで合流したいとのことです。ウルダハへお戻りの際に、立ち寄っていただければと思います！			「ココシュ」さんから伝言を預かっていまして、クイックサンドのあたりで合流したいとのことです。ウルダハへお戻りの際に、立ち寄っていただければと思います！			女王陛下と約束の鍵							
Surname様、おかえりなさいませ。			Surname様、おかえりなさいませ。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)……なんての。ふふ、わらわはココシュでなく、ナナモじゃ！			(-ナナモ・ウル・ナモ-)……なんての。ふふ、わらわはココシュでなく、ナナモじゃ！			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)わらわの私室に入ったココシュが、いつまでも出てこないというのも怪しかろう？			(-ナナモ・ウル・ナモ-)わらわの私室に入ったココシュが、いつまでも出てこないというのも怪しかろう？			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)そなたとは少し話がしたかったからな、ひとまずココシュのフリをして、部屋を出てきたというわけじゃ。			(-ナナモ・ウル・ナモ-)そなたとは少し話がしたかったからな、ひとまずココシュのフリをして、部屋を出てきたというわけじゃ。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)それにしても、なかなか大変な探検となったのう。好奇心の赴くままに現地へと足を運んだわけじゃが、結果として、思いがけぬ収穫につながったな……。			(-ナナモ・ウル・ナモ-)それにしても、なかなか大変な探検となったのう。好奇心の赴くままに現地へと足を運んだわけじゃが、結果として、思いがけぬ収穫につながったな……。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)父上と母上のことは、遠い思い出と割り切れたつもりだったが、どうやら、そう思い込んでいただけのようじゃ。			(-ナナモ・ウル・ナモ-)父上と母上のことは、遠い思い出と割り切れたつもりだったが、どうやら、そう思い込んでいただけのようじゃ。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)美しい花が咲き乱れるあの場所で、おふたりの痕跡に触れて……心の片隅で、今もなお悲しみにくれていた幼き日のわらわと、ようやく向き合えたように思う。			(-ナナモ・ウル・ナモ-)美しい花が咲き乱れるあの場所で、おふたりの痕跡に触れて……心の片隅で、今もなお悲しみにくれていた幼き日のわらわと、ようやく向き合えたように思う。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)表向きでは伏せられてきたことだが、ウルダハには、かつてアマルジャ族と手を組んだ歴史がある。あの拠点が設営されたのは、その当時のことであろう。			(-ナナモ・ウル・ナモ-)表向きでは伏せられてきたことだが、ウルダハには、かつてアマルジャ族と手を組んだ歴史がある。あの拠点が設営されたのは、その当時のことであろう。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)父上と母上が見せてくださった、かの地の存在を胸に、アマルジャ族との融和を、さらに推し進めてゆかねばな……。			(-ナナモ・ウル・ナモ-)父上と母上が見せてくださった、かの地の存在を胸に、アマルジャ族との融和を、さらに推し進めてゆかねばな……。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)ウルダハは、シラディハという犠牲の上に成り立っておる。あの王宮の遺構を訪れることで、改めて痛感させられた。			(-ナナモ・ウル・ナモ-)ウルダハは、シラディハという犠牲の上に成り立っておる。あの王宮の遺構を訪れることで、改めて痛感させられた。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)紡がれゆくは勝者の歴史なれど、葬り去られたものから目を背けるべきではない……父上はウルダハの王として、そう仰りたかったのやもしれぬな。			(-ナナモ・ウル・ナモ-)紡がれゆくは勝者の歴史なれど、葬り去られたものから目を背けるべきではない……父上はウルダハの王として、そう仰りたかったのやもしれぬな。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)シラディハ水道の奥地に保管庫が隠されていたこともそうだが、歴代の王がそれを管理していたとは、まったく驚いたのう。			(-ナナモ・ウル・ナモ-)シラディハ水道の奥地に保管庫が隠されていたこともそうだが、歴代の王がそれを管理していたとは、まったく驚いたのう。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)本来ならば、王位とともに受け継がれる場所なのやもしれぬが、先王である父上は「事故」で亡くなられたからな……。鍵を託し、手紙を遺すのが精一杯だったのであろう。			(-ナナモ・ウル・ナモ-)本来ならば、王位とともに受け継がれる場所なのやもしれぬが、先王である父上は「事故」で亡くなられたからな……。鍵を託し、手紙を遺すのが精一杯だったのであろう。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)それでも、ようやく手紙を受け取ることができた。おふたりが贈ってくださった想いを心の糧に、娘として、女王として、邁進せねばな……。			(-ナナモ・ウル・ナモ-)それでも、ようやく手紙を受け取ることができた。おふたりが贈ってくださった想いを心の糧に、娘として、女王として、邁進せねばな……。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)ひとまず保管庫については、状態の確認と保全から始めるかのう。そなたと見つけた場所だからな、調べ終えたあかつきには、「ココシュ」を通じて、報告の場を設けさせてほしい。			(-ナナモ・ウル・ナモ-)ひとまず保管庫については、状態の確認と保全から始めるかのう。そなたと見つけた場所だからな、調べ終えたあかつきには、「ココシュ」を通じて、報告の場を設けさせてほしい。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)それにしても……父上と母上は「何を選び進むのか」と仰っていたが、ほかにも重要な場所があるのかもしれぬな……。			(-ナナモ・ウル・ナモ-)それにしても……父上と母上は「何を選び進むのか」と仰っていたが、ほかにも重要な場所があるのかもしれぬな……。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)願わくは、この機会に隅々まで調べつくしてしまいたい。そなたさえよければ、また時間があるときにでも、調査へ同行してもらえると嬉しい。			(-ナナモ・ウル・ナモ-)願わくは、この機会に隅々まで調べつくしてしまいたい。そなたさえよければ、また時間があるときにでも、調査へ同行してもらえると嬉しい。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)さて、わらわはそろそろ政務に戻らねばならぬが、本物のココシュからも、そなたに礼を言いたいようでな。しばし、ここで待ってやってほしい。			(-ナナモ・ウル・ナモ-)さて、わらわはそろそろ政務に戻らねばならぬが、本物のココシュからも、そなたに礼を言いたいようでな。しばし、ここで待ってやってほしい。			女王陛下と約束の鍵							
(-ナナモ・ウル・ナモ-)では……またな、Forename。			(-ナナモ・ウル・ナモ-)では……またな、Forename。			女王陛下と約束の鍵							
お待たせいたしました。今度こそ、本物のココシュでございます。			お待たせいたしました。今度こそ、本物のココシュでございます。			女王陛下と約束の鍵							
お初にお目にかかります、キルフフと申します～。ココシュさんが「お勤め」の際に、手伝いをしている者です。			お初にお目にかかります、キルフフと申します～。ココシュさんが「お勤め」の際に、手伝いをしている者です。			女王陛下と約束の鍵							
私も協力者のひとりとして、あなた様にお礼を伝えるため、参りました～。			私も協力者のひとりとして、あなた様にお礼を伝えるため、参りました～。			女王陛下と約束の鍵							
この度は、ナナモ様に協力してくださって、本当にありがとうございました。			この度は、ナナモ様に協力してくださって、本当にありがとうございました。			女王陛下と約束の鍵							
ナナモ様に無茶を言われ、どうしたものかと悩みましたが、お顔を見るに、きっとこれでよかったのでしょう。			ナナモ様に無茶を言われ、どうしたものかと悩みましたが、お顔を見るに、きっとこれでよかったのでしょう。			女王陛下と約束の鍵							
Surname様、どうか今後とも、ナナモ陛下のお力になってくださると嬉しいです～。			Surname様、どうか今後とも、ナナモ陛下のお力になってくださると嬉しいです～。			女王陛下と約束の鍵							
この度の依頼、グリーナーズ・ギルドシップの方が、あなた様に取り次いでくださったとモモディ様から伺いました。			この度の依頼、グリーナーズ・ギルドシップの方が、あなた様に取り次いでくださったとモモディ様から伺いました。			女王陛下と約束の鍵							
オールド・シャーレアンに用事があるときで構いません。ご協力くださった「シャロー・ムアー」様に、依頼主が感謝していたとお伝えください。			オールド・シャーレアンに用事があるときで構いません。ご協力くださった「シャロー・ムアー」様に、依頼主が感謝していたとお伝えください。			女王陛下と約束の鍵							
ご協力くださった「シャロー・ムアー」様に、依頼主が感謝していたとお伝えください。			ご協力くださった「シャロー・ムアー」様に、依頼主が感謝していたとお伝えください。			女王陛下と約束の鍵							
Forenameさん、おっかえり～！モモディさんからも、お礼の連絡があったわ。			Forenameさん、おっかえり～！モモディさんからも、お礼の連絡があったわ。			女王陛下と約束の鍵							
侍女さんから、感謝の言葉を預かってきてくれたの？そっかそっか～役に立てたならよかった～！			侍女さんから、感謝の言葉を預かってきてくれたの？そっかそっか～役に立てたならよかった～！			女王陛下と約束の鍵							
あっと、そうそう！オスモンくんがず～っとソワソワしてるから、よかったら、ウルダハでの冒険話を聞かせてあげてね！			あっと、そうそう！オスモンくんがず～っとソワソワしてるから、よかったら、ウルダハでの冒険話を聞かせてあげてね！			女王陛下と約束の鍵							
ウルダハでのお仕事、おつかれさまでした～！			ウルダハでのお仕事、おつかれさまでした～！			女王陛下と約束の鍵							
メインコマンドの「コンテンツ情報」項目にある、「特殊ダンジョン探索」内に、「シラディハ水道 探索記」が追加されました。			メインコマンドの「コンテンツ情報」項目にある、「特殊ダンジョン探索」内に、「シラディハ水道 探索記」が追加されました。			女王陛下と約束の鍵							
ヴァリアントダンジョン「シラディハ水道」コンプリート時、踏破したルートに応じて、探索記の項目が追加されていきます。			ヴァリアントダンジョン「シラディハ水道」コンプリート時、踏破したルートに応じて、探索記の項目が追加されていきます。			女王陛下と約束の鍵							
ペリスタイルのシャロー・ムアーは、冒険者に話があるようだ。			ペリスタイルのシャロー・ムアーは、冒険者に話があるようだ。			紫洲六根山珍道中							
シャロー・ムアーと話した。ハンコックの手紙に書かれていた待ち合わせ場所へ向かうことになった。クガネの「指定地点」で待機し、ハンコックと合流しよう。			シャロー・ムアーと話した。ハンコックの手紙に書かれていた待ち合わせ場所へ向かうことになった。クガネの「指定地点」で待機し、ハンコックと合流しよう。			紫洲六根山珍道中							
ハンコックたちと合流した。クガネの望海泉付近で、「ツバキ」と話そう。			ハンコックたちと合流した。クガネの望海泉付近で、「ツバキ」と話そう。			紫洲六根山珍道中							
ツバキと話した。「六根山」を攻略しよう。※ヴァリアントダンジョンの専用ウィンドウから攻略に参加できます。※専用ウィンドウは、シシュウの大隼使いと話すか、メインコマンドの「コンテンツ情報」から「特殊ダンジョン探索」を選ぶと確認できます。			ツバキと話した。「六根山」を攻略しよう。※ヴァリアントダンジョンの専用ウィンドウから攻略に参加できます。※専用ウィンドウは、シシュウの大隼使いと話すか、メインコマンドの「コンテンツ情報」から「特殊ダンジョン探索」を選ぶと確認できます。			紫洲六根山珍道中							
六根山を攻略した。望海泉付近で、「ツバキ」と話そう。			六根山を攻略した。望海泉付近で、「ツバキ」と話そう。			紫洲六根山珍道中							
ツバキたちと話した。オールド・シャーレアンのペリスタイルで、「シャロー・ムアー」と話そう。			ツバキたちと話した。オールド・シャーレアンのペリスタイルで、「シャロー・ムアー」と話そう。			紫洲六根山珍道中							
シャロー・ムアーと話した。六根山の散策はひとつの結末へと至ったが、いまだ山中には怪異が蔓延っている。いわくつきの品を捜索しに、ハンコックと再び六根山を訪れるのもいいだろう。			シャロー・ムアーと話した。六根山の散策はひとつの結末へと至ったが、いまだ山中には怪異が蔓延っている。いわくつきの品を捜索しに、ハンコックと再び六根山を訪れるのもいいだろう。			紫洲六根山珍道中							
クガネの指定地点で待機			クガネの指定地点で待機			紫洲六根山珍道中							
ツバキと話す			ツバキと話す			紫洲六根山珍道中							
「六根山」を攻略			「六根山」を攻略			紫洲六根山珍道中							
ツバキと話す			ツバキと話す			紫洲六根山珍道中							
オールド・シャーレアンのシャロー・ムアーと話す			オールド・シャーレアンのシャロー・ムアーと話す			紫洲六根山珍道中							
Forenameさん！いいところに声をかけてくれて、助かったわ！			Forenameさん！いいところに声をかけてくれて、助かったわ！			紫洲六根山珍道中							
実は、あなた宛ての「変則依頼」が舞い込んできたところなの。その依頼主は誰かっていうと～……			実は、あなた宛ての「変則依頼」が舞い込んできたところなの。その依頼主は誰かっていうと～……			紫洲六根山珍道中							
驚くなかれ、あの有名な東アルデナード商会よ！			驚くなかれ、あの有名な東アルデナード商会よ！			紫洲六根山珍道中							
