ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ジュース店、立ち退きの危機							
栄養学や各部族の特徴について、多少の心得はあるわ。……とはいえ、今はその夢は諦めて、しがないジュース屋の主をしてるわけだけど。			栄養学や各部族の特徴について、多少の心得はあるわ。……とはいえ、今はその夢は諦めて、しがないジュース屋の主をしてるわけだけど。			疲労回復ジュースクラフト！							
何はともあれハレナルク、そのジュースを飲んだら感想を教えてちょうだい？			何はともあれハレナルク、そのジュースを飲んだら感想を教えてちょうだい？			疲労回復ジュースクラフト！							
フゴォ……フゴォ……飲みたい　早く　今すぐに……マスクにヨダレ　垂れそうに～……			フゴォ……フゴォ……飲みたい　早く　今すぐに……マスクにヨダレ　垂れそうに～……			疲労回復ジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「信頼できる配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「信頼できる配合職人」と感じているようです！			疲労回復ジュースクラフト！							
「錬金術師／調理師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シェーロジャ」から、次のクエストが受注可能です。			「錬金術師／調理師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シェーロジャ」から、次のクエストが受注可能です。			疲労回復ジュースクラフト！							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ティーンベク洞道を抜けて」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ティーンベク洞道を抜けて」を完了する必要があります。			疲労回復ジュースクラフト！							
ワチュメキメキ万貨街のシェーロジャは、ハレナルクの反応が気になるようだ。			ワチュメキメキ万貨街のシェーロジャは、ハレナルクの反応が気になるようだ。			力みなぎるジュースクラフト！							
シェーロジャからジュースの試作を依頼された。「ディープグリーンジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			シェーロジャからジュースの試作を依頼された。「ディープグリーンジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「230」以上で可能となりますが、「470」以上で納品した場合、より多くの報酬が得られます。			力みなぎるジュースクラフト！							
シェーロジャに「ディープグリーンジュース」を納品した。次の試作をどうするか、シェーロジャに聞いてみよう。			シェーロジャに「ディープグリーンジュース」を納品した。次の試作をどうするか、シェーロジャに聞いてみよう。			力みなぎるジュースクラフト！							
シェーロジャにディープグリーンジュースを納品			シェーロジャにディープグリーンジュースを納品			力みなぎるジュースクラフト！							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ティーンベク洞道を抜けて」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「ティーンベク洞道を抜けて」を完了する必要があります。			力みなぎるジュースクラフト！							
来てくれたのね。ハレナルクに渡したジュースの感想はまだかと、ずっと待っているのだけど……なかなか現れなくて。			来てくれたのね。ハレナルクに渡したジュースの感想はまだかと、ずっと待っているのだけど……なかなか現れなくて。			力みなぎるジュースクラフト！							
代わりになぜか、モブリン族の間で、ジュースのことが広まってて、お客さんが買いに来ているわ。これはいったい、何が起きているの……？			代わりになぜか、モブリン族の間で、ジュースのことが広まってて、お客さんが買いに来ているわ。これはいったい、何が起きているの……？			力みなぎるジュースクラフト！							
フゴォ……フゴォ……！Forename　シェーロジャ　ありがとう～！			フゴォ……フゴォ……！Forename　シェーロジャ　ありがとう～！			力みなぎるジュースクラフト！							
ハ……ハレナルク？どうしたの、悪いものでも飲んだ……？			ハ……ハレナルク？どうしたの、悪いものでも飲んだ……？			力みなぎるジュースクラフト！							
モブが飲んだ　シェーロジャのジュース！香りも味も　とてとて強い美味しいジュース　ありがとな～！			モブが飲んだ　シェーロジャのジュース！香りも味も　とてとて強い美味しいジュース　ありがとな～！			力みなぎるジュースクラフト！							
ジュースの効果で　疲労回復　足軽い！荷物しょっても　楽々歩ける～！			ジュースの効果で　疲労回復　足軽い！荷物しょっても　楽々歩ける～！			力みなぎるジュースクラフト！							
あとあと　モブの両親　肩と背中の　コリ取れた！みんな元気　ジュースで元気！だからモブが　いっぱい広めた～！			あとあと　モブの両親　肩と背中の　コリ取れた！みんな元気　ジュースで元気！だからモブが　いっぱい広めた～！			力みなぎるジュースクラフト！							
そう……広めたのは貴方だったのね。お客さんの中に、ハレナルクのご両親もいたとは……なんにせよ、喜んでくれたなら何よりだわ。			そう……広めたのは貴方だったのね。お客さんの中に、ハレナルクのご両親もいたとは……なんにせよ、喜んでくれたなら何よりだわ。			力みなぎるジュースクラフト！							
今までやる気　出なかった……自分の仕事で　誰かが喜ぶ　考えなかった……			今までやる気　出なかった……自分の仕事で　誰かが喜ぶ　考えなかった……			力みなぎるジュースクラフト！							
両親も　仕事仲間も　みんなみんな　喜んだ！これからもっと　喜ばせたいモブ～～～！！			両親も　仕事仲間も　みんなみんな　喜んだ！これからもっと　喜ばせたいモブ～～～！！			力みなぎるジュースクラフト！							
貴方の作ってくれた元気の出るジュース……効きすぎなぐらい、効いたみたいね！			貴方の作ってくれた元気の出るジュース……効きすぎなぐらい、効いたみたいね！			力みなぎるジュースクラフト！							
それじゃあこの調子で、試作品を作っていきましょうか！次はハヌハヌ族に向けたジュースを作るわ。			それじゃあこの調子で、試作品を作っていきましょうか！次はハヌハヌ族に向けたジュースを作るわ。			力みなぎるジュースクラフト！							
彼らはコザマル・カの地で、柔らかな葦を食べると聞くけれど……葦は果物ではないし、この店向きではないわね。			彼らはコザマル・カの地で、柔らかな葦を食べると聞くけれど……葦は果物ではないし、この店向きではないわね。			力みなぎるジュースクラフト！							
でもどうして、彼らは葦を好むのかしら……？各地を旅するForenameなら、ハヌハヌ族が葦を摂る理由を知ってる？			でもどうして、彼らは葦を好むのかしら……？各地を旅するForenameなら、ハヌハヌ族が葦を摂る理由を知ってる？			力みなぎるジュースクラフト！							
何と言う？			何と言う？			力みなぎるジュースクラフト！							
葦でエーテルを摂取してる			葦でエーテルを摂取してる			力みなぎるジュースクラフト！							
なんか元気になる			なんか元気になる			力みなぎるジュースクラフト！							
なんでだっけ……			なんでだっけ……			力みなぎるジュースクラフト！							
なるほど……ハヌハヌ族は、葦からエーテルを摂取しているのね！ならエーテル補充の効率が良い果物を探して、提案できればいいはずだけど……。			なるほど……ハヌハヌ族は、葦からエーテルを摂取しているのね！ならエーテル補充の効率が良い果物を探して、提案できればいいはずだけど……。			力みなぎるジュースクラフト！							
コザマル・カに行ったことはあるのね。私も考えてみるから、思い出せることを話してくれる？			コザマル・カに行ったことはあるのね。私も考えてみるから、思い出せることを話してくれる？			力みなぎるジュースクラフト！							
そうか……ハヌハヌ族は、葦からエーテルを摂取しているのね！ならエーテル補充の効率が良い果物を探して、提案できればいいはずだけど……。			そうか……ハヌハヌ族は、葦からエーテルを摂取しているのね！ならエーテル補充の効率が良い果物を探して、提案できればいいはずだけど……。			力みなぎるジュースクラフト！							
ヤクテル樹海　ひそかに出回る　バナナがあるモブ～ピカピカ光る　ジャティーカバナナ！知り合いハヌハヌ　こう言った　この味好み　ハヌハヌ好み！			ヤクテル樹海　ひそかに出回る　バナナがあるモブ～ピカピカ光る　ジャティーカバナナ！知り合いハヌハヌ　こう言った　この味好み　ハヌハヌ好み！			力みなぎるジュースクラフト！							
ああ、いいわね！たしか、ヤクテル樹海には濃いエーテルが満ちているから、そこで育つ果物も、たくさん力を含んでいるとか。			ああ、いいわね！たしか、ヤクテル樹海には濃いエーテルが満ちているから、そこで育つ果物も、たくさん力を含んでいるとか。			力みなぎるジュースクラフト！							
そんなジュースなら、ハヌハヌ族の身体にもいいはずよ。そして、たったの一杯で葦と同じぐらい満足してもらうために、できるだけエーテルの吸収率を高めたい……！			そんなジュースなら、ハヌハヌ族の身体にもいいはずよ。そして、たったの一杯で葦と同じぐらい満足してもらうために、できるだけエーテルの吸収率を高めたい……！			力みなぎるジュースクラフト！							
ほかの食材や錬金薬を混ぜ合わせれば、きっと実現できるわ！それでいて自然な風味の「ディープグリーンジュース」を作れたら、ハヌハヌ族も喜んでくれるはず……お願いできるかしら？			ほかの食材や錬金薬を混ぜ合わせれば、きっと実現できるわ！それでいて自然な風味の「ディープグリーンジュース」を作れたら、ハヌハヌ族も喜んでくれるはず……お願いできるかしら？			力みなぎるジュースクラフト！							
ジャティーカバナナを使って、エーテルを吸収しやすい、「ディープグリーンジュース」をお願いするわね。……初めて、みんなで意見を出しあえた気がする。			ジャティーカバナナを使って、エーテルを吸収しやすい、「ディープグリーンジュース」をお願いするわね。……初めて、みんなで意見を出しあえた気がする。			力みなぎるジュースクラフト！							
「ディープグリーンジュース」　力がみなぎる～ハヌハヌ　パワフル　楽しみモブ～			「ディープグリーンジュース」　力がみなぎる～ハヌハヌ　パワフル　楽しみモブ～			力みなぎるジュースクラフト！							
「ディープグリーンジュース」をありがとう。エーテルと栄養満点のジュース、きっと喜んでもらえるわ。			「ディープグリーンジュース」をありがとう。エーテルと栄養満点のジュース、きっと喜んでもらえるわ。			力みなぎるジュースクラフト！							
まあ！　なんて濃厚なの……！ハヌハヌ族の人たちも、間違いなく喜んでくれるわ！			まあ！　なんて濃厚なの……！ハヌハヌ族の人たちも、間違いなく喜んでくれるわ！			力みなぎるジュースクラフト！							
「ディープグリーンジュース」をありがとう。エーテルと栄養満点のジュース、きっと喜んでもらえるわ。数も揃ったし、試飲に協力してくれる方を呼んでくるわね……！			「ディープグリーンジュース」をありがとう。エーテルと栄養満点のジュース、きっと喜んでもらえるわ。数も揃ったし、試飲に協力してくれる方を呼んでくるわね……！			力みなぎるジュースクラフト！							
まあ！　なんて濃厚なの……！ハヌハヌ族の人たちも、間違いなく喜んでくれるわ！数も揃ったし、試飲に協力してくれる方を呼んでくるわね……！			まあ！　なんて濃厚なの……！ハヌハヌ族の人たちも、間違いなく喜んでくれるわ！数も揃ったし、試飲に協力してくれる方を呼んでくるわね……！			力みなぎるジュースクラフト！							
我々向きの、身体に良いジュースを作っていると聞いたぞ。これが、これが、ディープグリーンジュースか！			我々向きの、身体に良いジュースを作っていると聞いたぞ。これが、これが、ディープグリーンジュースか！			力みなぎるジュースクラフト！							
見事なジュースだが、効能はいかなるものか……！さっそく、いただこう！			見事なジュースだが、効能はいかなるものか……！さっそく、いただこう！			力みなぎるジュースクラフト！							
おお……なんと、濃厚な味わい！それに体の隅々まで力が行き渡るような……これはそう、まるで故郷の葦を口いっぱい頬張ったときの如く！			おお……なんと、濃厚な味わい！それに体の隅々まで力が行き渡るような……これはそう、まるで故郷の葦を口いっぱい頬張ったときの如く！			力みなぎるジュースクラフト！							
この活力みなぎるジュースを、ハヌハヌ族の仲間に広めよう！すぐに、すぐに、人気となることだろう……！！			この活力みなぎるジュースを、ハヌハヌ族の仲間に広めよう！すぐに、すぐに、人気となることだろう……！！			力みなぎるジュースクラフト！							
ハヌハヌ好みの　パワフルジュース　大成功～！Forename　素敵な材料　たくさん知ってる～！			ハヌハヌ好みの　パワフルジュース　大成功～！Forename　素敵な材料　たくさん知ってる～！			力みなぎるジュースクラフト！							
Forenameのおかげ　みんなのおかげ！3人いれば　無敵モブ～～～！！			Forenameのおかげ　みんなのおかげ！3人いれば　無敵モブ～～～！！			力みなぎるジュースクラフト！							
ハレナルクも今回意見を出してくれて、嬉しかったわ。私も昔の知識が刺激されて、ワクワクしている……この調子でやっていきましょう。			ハレナルクも今回意見を出してくれて、嬉しかったわ。私も昔の知識が刺激されて、ワクワクしている……この調子でやっていきましょう。			力みなぎるジュースクラフト！							
フゴォ……フゴォ……シェーロジャ　どうして　呪術医じゃない？頭いいのに　フシギ　フシギ……			フゴォ……フゴォ……シェーロジャ　どうして　呪術医じゃない？頭いいのに　フシギ　フシギ……			力みなぎるジュースクラフト！							
それは……私の力が足りなかったから……。			それは……私の力が足りなかったから……。			力みなぎるジュースクラフト！							
ごめんなさい、あまり人に話すようなことでもないの。本当に、私が情けないだけのことだから。			ごめんなさい、あまり人に話すようなことでもないの。本当に、私が情けないだけのことだから。			力みなぎるジュースクラフト！							
それよりも、次のジュースのことを考えましょう！次は難題よ……！			それよりも、次のジュースのことを考えましょう！次は難題よ……！			力みなぎるジュースクラフト！							
わかった　聞くのは　やめるモブ……フシギ　フシギ……			わかった　聞くのは　やめるモブ……フシギ　フシギ……			力みなぎるジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「かけがえのない配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「かけがえのない配合職人」と感じているようです！			力みなぎるジュースクラフト！							
また、「シェーロジャ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「シェーロジャ」から受注可能な、万貨街取引のストーリークエストが発行されました！			力みなぎるジュースクラフト！							
ワチュメキメキ万貨街のシェーロジャは、次なるジュースの試作を考えているようだ。			ワチュメキメキ万貨街のシェーロジャは、次なるジュースの試作を考えているようだ。			理想の飲料作り							
ペルペル族向けにジュースを作るため、彼らの暮らしぶりを調査しにいくことになった。オルコ・パチャのワチュン・ペロで「ハレナルク」と話そう。			ペルペル族向けにジュースを作るため、彼らの暮らしぶりを調査しにいくことになった。オルコ・パチャのワチュン・ペロで「ハレナルク」と話そう。			理想の飲料作り							
ハレナルクと話した。ワチュン・ペロの住人と話し、飲み物について情報を集めよう。			ハレナルクと話した。ワチュン・ペロの住人と話し、飲み物について情報を集めよう。			理想の飲料作り							
住人から情報を集めた。ワチュン・ペロの前に到着しているであろう「シェーロジャ」と話そう。			住人から情報を集めた。ワチュン・ペロの前に到着しているであろう「シェーロジャ」と話そう。			理想の飲料作り							
シェーロジャと話した。ワチュン・ペロの「ハレナルク」と話そう。			シェーロジャと話した。ワチュン・ペロの「ハレナルク」と話そう。			理想の飲料作り							
ハレナルクと話し、シェーロジャが夢を挫折した話を聞いた。ワチュン・ペロの「ハレナルク」と再度話そう。			ハレナルクと話し、シェーロジャが夢を挫折した話を聞いた。ワチュン・ペロの「ハレナルク」と再度話そう。			理想の飲料作り							
ハレナルクと再度話した。「ヨカ・ククルポッド」をもとに「ククルパルプジュース」を製作し、ワチュン・ペロにいる「シェーロジャ」に渡そう。※「ヨカ・ククルポッド」を失った場合は、再度ハレナルクと話しましょう。材料を入手し、再挑戦が可能になります。			ハレナルクと再度話した。「ヨカ・ククルポッド」をもとに「ククルパルプジュース」を製作し、ワチュン・ペロにいる「シェーロジャ」に渡そう。※「ヨカ・ククルポッド」を失った場合は、再度ハレナルクと話しましょう。材料を入手し、再挑戦が可能になります。			理想の飲料作り							
落ち込んだシェーロジャに「ククルパルプジュース」を渡して、励ますことができた。シェーロジャはペルペル族向きのジュースのヒントを得ることができたという。ワチュメキメキ万貨街に戻った「シェーロジャ」と話そう。			落ち込んだシェーロジャに「ククルパルプジュース」を渡して、励ますことができた。シェーロジャはペルペル族向きのジュースのヒントを得ることができたという。ワチュメキメキ万貨街に戻った「シェーロジャ」と話そう。			理想の飲料作り							
シェーロジャと話した。シェーロジャはこれまで以上にジュース作りへと励むようだった。			シェーロジャと話した。シェーロジャはこれまで以上にジュース作りへと励むようだった。			理想の飲料作り							
ワチュン・ペロのハレナルクと話す			ワチュン・ペロのハレナルクと話す			理想の飲料作り							
ワチュン・ペロで情報を集める			ワチュン・ペロで情報を集める			理想の飲料作り							
シェーロジャと話す			シェーロジャと話す			理想の飲料作り							
ハレナルクと話す			ハレナルクと話す			理想の飲料作り							
ハレナルクと再度話す			ハレナルクと再度話す			理想の飲料作り							
製作手帳 万貨街取引：ククルパルプジュースを製作シェーロジャにククルパルプジュースを渡す			製作手帳 万貨街取引：ククルパルプジュースを製作シェーロジャにククルパルプジュースを渡す			理想の飲料作り							
トライヨラのシェーロジャと話す			トライヨラのシェーロジャと話す			理想の飲料作り							
元気みなぎる　ハヌハヌジュース……とてとて喜び　モブも嬉しい～！			元気みなぎる　ハヌハヌジュース……とてとて喜び　モブも嬉しい～！			理想の飲料作り							
ここまで作ってきた新メニューは、どれも好評だわ。おかげさまで、売り上げの方も順調よ。			ここまで作ってきた新メニューは、どれも好評だわ。おかげさまで、売り上げの方も順調よ。			理想の飲料作り							
でも、実を言うと今までは挑めなかった難題があってね。そろそろ取り組んでみようかと思っているの。			でも、実を言うと今までは挑めなかった難題があってね。そろそろ取り組んでみようかと思っているの。			理想の飲料作り							
ペルペル族向けのジュースを作ってみたいのだけど……。彼らは「マテ茶」「コーヒー」「メスカル」を作っていて、ジュースよりもそちらを好む傾向があるのよ。			ペルペル族向けのジュースを作ってみたいのだけど……。彼らは「マテ茶」「コーヒー」「メスカル」を作っていて、ジュースよりもそちらを好む傾向があるのよ。			理想の飲料作り							
特にマテ茶なんて、健康に良いことで有名だわ。そのおかげか、ペルペル族が体調で悩むような話を、私は聞いたことがないわね。			特にマテ茶なんて、健康に良いことで有名だわ。そのおかげか、ペルペル族が体調で悩むような話を、私は聞いたことがないわね。			理想の飲料作り							
ペルペル族　飲み物　強ォ～いぞ……マテ茶とてとて　身体に良いモブ～			ペルペル族　飲み物　強ォ～いぞ……マテ茶とてとて　身体に良いモブ～			理想の飲料作り							
問題がないなら、それはそれで喜ばしいことね。だけど、もしペルペル族に密かな悩みがあるなら、寄り添って解決したいと思うの。			問題がないなら、それはそれで喜ばしいことね。だけど、もしペルペル族に密かな悩みがあるなら、寄り添って解決したいと思うの。			理想の飲料作り							
Forename、ハレナルク。遠出になって悪いけど、彼らの住まうオルコ・パチャまで、一緒に行ってもらえないかしら？			Forename、ハレナルク。遠出になって悪いけど、彼らの住まうオルコ・パチャまで、一緒に行ってもらえないかしら？			理想の飲料作り							
ペルペル族の　お悩み解決～シェーロジャジュース　評判良くする～！			ペルペル族の　お悩み解決～シェーロジャジュース　評判良くする～！			理想の飲料作り							
ありがとう！私は店じまいしてから向かうから、ふたりは先に、現地で聞き込みを頼めるかしら？			ありがとう！私は店じまいしてから向かうから、ふたりは先に、現地で聞き込みを頼めるかしら？			理想の飲料作り							
Forename……「ワチュン・ペロ」まで　向かうモブ～！			Forename……「ワチュン・ペロ」まで　向かうモブ～！			理想の飲料作り							
「ワチュン・ペロ」で、まずハレナルクと合流してくれる？提案しておいて、あとから向かう形になってしまって悪いわね。			「ワチュン・ペロ」で、まずハレナルクと合流してくれる？提案しておいて、あとから向かう形になってしまって悪いわね。			理想の飲料作り							
フゴォ……フゴォ……Forename　待ってたモブ～			フゴォ……フゴォ……Forename　待ってたモブ～			理想の飲料作り							
飲み物詳しい　ペルペル族……わかれて　探して　話聞く～			飲み物詳しい　ペルペル族……わかれて　探して　話聞く～			理想の飲料作り							
情報集めて　ここ戻る～その頃　シェーロジャ　追いつくはず～モブがまだなら　ふたりで話して～			情報集めて　ここ戻る～その頃　シェーロジャ　追いつくはず～モブがまだなら　ふたりで話して～			理想の飲料作り							
このペルペル　たらふく　飲んでる　メスカルを～情報収集　そっちはいかが？			このペルペル　たらふく　飲んでる　メスカルを～情報収集　そっちはいかが？			理想の飲料作り							
ういうい……おいしいなぁ、メスカルは。			ういうい……おいしいなぁ、メスカルは。			理想の飲料作り							
飲み物について聞きたいの？ういうい、いくらでも語っちゃうよ、コーヒーのこと。			飲み物について聞きたいの？ういうい、いくらでも語っちゃうよ、コーヒーのこと。			理想の飲料作り							
ペルペル族が栽培しているコーヒーの苗は、もともとヨカ・トラル南東の島でもらってきたものでね。			ペルペル族が栽培しているコーヒーの苗は、もともとヨカ・トラル南東の島でもらってきたものでね。			理想の飲料作り							
かの地でコーヒーを飲んだ仲間は、その香りと味の虜となり、さらに、頭がシャキッとして集中力が増す効果にも惹かれた。そして自分たちで栽培すべく、こっちに持ち帰ったってわけさ。			かの地でコーヒーを飲んだ仲間は、その香りと味の虜となり、さらに、頭がシャキッとして集中力が増す効果にも惹かれた。そして自分たちで栽培すべく、こっちに持ち帰ったってわけさ。			理想の飲料作り							
幸い、コーヒーはうまく育ってくれた。一方で、収穫した豆で淹れたコーヒーの味は、持ち帰ってきた元々の豆の味と大きく違ったんだ！			幸い、コーヒーはうまく育ってくれた。一方で、収穫した豆で淹れたコーヒーの味は、持ち帰ってきた元々の豆の味と大きく違ったんだ！			理想の飲料作り							
どうやら風土によってコーヒーの酸味や苦味、コクなんかが、けっこう変わるみたい。いつかはいろんな土地で育てて、味の違いを試してみたいね。			どうやら風土によってコーヒーの酸味や苦味、コクなんかが、けっこう変わるみたい。いつかはいろんな土地で育てて、味の違いを試してみたいね。			理想の飲料作り							
飲み物について聞きたいって？　もちろん構わないわ。健康にと～ってもいいのよ、マテ茶は！			飲み物について聞きたいって？　もちろん構わないわ。健康にと～ってもいいのよ、マテ茶は！			理想の飲料作り							
オルコ・パチャは標高が高く寒冷で、育つ作物が限られるの。そのせいでね、摂れる栄養が偏っていたのよ。			オルコ・パチャは標高が高く寒冷で、育つ作物が限られるの。そのせいでね、摂れる栄養が偏っていたのよ。			理想の飲料作り							
でも栄養たっぷりのマテ茶が栽培されて、飲むようになってから、みんな元気になったんだって！よく飲むんだよね～、私も！			でも栄養たっぷりのマテ茶が栽培されて、飲むようになってから、みんな元気になったんだって！よく飲むんだよね～、私も！			理想の飲料作り							
メスカルのことを聞きたいのか？もう知っているかもしれないが、アガベの樹液をもとに蒸留して作る酒だよ、メスカルは。			メスカルのことを聞きたいのか？もう知っているかもしれないが、アガベの樹液をもとに蒸留して作る酒だよ、メスカルは。			理想の飲料作り							
サカ・トラルでとある行商が蒸留の方法を学び、その洗練された方法がオルコ・パチャに広まった。それが今日の俺たちにまで伝わってるんだってさ。			サカ・トラルでとある行商が蒸留の方法を学び、その洗練された方法がオルコ・パチャに広まった。それが今日の俺たちにまで伝わってるんだってさ。			理想の飲料作り							
コーヒーは苦味を楽しまれてるだけじゃなくて、頭がシャキッとして、集中力が増すんだ。			コーヒーは苦味を楽しまれてるだけじゃなくて、頭がシャキッとして、集中力が増すんだ。			理想の飲料作り							
栄養たっぷりのマテ茶を飲むようになってからは、みんな元気になったんだって！			栄養たっぷりのマテ茶を飲むようになってからは、みんな元気になったんだって！			理想の飲料作り							
ここで作ってるお酒だ、メスカルは。アガベの樹液をもとに蒸留して作るんだよ。			ここで作ってるお酒だ、メスカルは。アガベの樹液をもとに蒸留して作るんだよ。			理想の飲料作り							
遅くなったけれど、今到着したところよ。Forename、何か情報は掴めた？			遅くなったけれど、今到着したところよ。Forename、何か情報は掴めた？			理想の飲料作り							
なるほど、興味深い内容ね。人気飲料の製法や歴史までは私も知らなかった。			なるほど、興味深い内容ね。人気飲料の製法や歴史までは私も知らなかった。			理想の飲料作り							
けれど、聞けば聞くほどわからなくなるわ。私たちがどんなジュースを作れば喜ばれるのか……。			けれど、聞けば聞くほどわからなくなるわ。私たちがどんなジュースを作れば喜ばれるのか……。			理想の飲料作り							
そういえば、ハレナルクはまだ聞き込みをしてるのよね。集落のどこかにいるでしょうから、合流して、話を聞いてみるとしましょう。			そういえば、ハレナルクはまだ聞き込みをしてるのよね。集落のどこかにいるでしょうから、合流して、話を聞いてみるとしましょう。			理想の飲料作り							
うい～……っく、ういうい～……。			うい～……っく、ういうい～……。			理想の飲料作り							
あら？この村人さんは……。			あら？この村人さんは……。			理想の飲料作り							
Forename　シェーロジャ？このペルペル　なんかヘロヘロ　助けたい～			Forename　シェーロジャ？このペルペル　なんかヘロヘロ　助けたい～			理想の飲料作り							
うい～……っく……。頭が～……ガンガン、する～……。			うい～……っく……。頭が～……ガンガン、する～……。			理想の飲料作り							
彼のこの症状は……なるほど。介抱してあげたいところだけど……。			彼のこの症状は……なるほど。介抱してあげたいところだけど……。			理想の飲料作り							
……いらない、よ～、介抱なんて。なんとかなるんだ、マテ茶さえあれば……。			……いらない、よ～、介抱なんて。なんとかなるんだ、マテ茶さえあれば……。			理想の飲料作り							
……少し待っていてもらえる？マテ茶より、今の彼に必要な飲み物をもらってくるから。			……少し待っていてもらえる？マテ茶より、今の彼に必要な飲み物をもらってくるから。			理想の飲料作り							
ああ、楽になった！今の冷たくてさわやかな飲み物はなんだったんだい？			ああ、楽になった！今の冷たくてさわやかな飲み物はなんだったんだい？			理想の飲料作り							
ただの水よ。そこの店で買ってきた、本当に普通の。			ただの水よ。そこの店で買ってきた、本当に普通の。			理想の飲料作り							
貴方、お酒の飲みすぎよ。そういうときは純粋な水分の方がいいの。いくらマテ茶でも、なんでも解決するわけじゃないから。			貴方、お酒の飲みすぎよ。そういうときは純粋な水分の方がいいの。いくらマテ茶でも、なんでも解決するわけじゃないから。			理想の飲料作り							
……ふむ……マテ茶で解決しない、か……。			……ふむ……マテ茶で解決しない、か……。			理想の飲料作り							
すごい、そこまで的確に看てくれたんだ！お医者さまみたいだったよ、まるで！			すごい、そこまで的確に看てくれたんだ！お医者さまみたいだったよ、まるで！			理想の飲料作り							
医者……とは、違うのだけれど……。			医者……とは、違うのだけれど……。			理想の飲料作り							
介抱　手際　カンペキだった……シェーロジャ　呪術医　なぜならない？気になる　気になる　どうしても……。			介抱　手際　カンペキだった……シェーロジャ　呪術医　なぜならない？気になる　気になる　どうしても……。			理想の飲料作り							
知識あって　腕も良い　これならお医者　なれるはず！もしや　力が足りないって　言ってたの……それと関係　あることか～？			知識あって　腕も良い　これならお医者　なれるはず！もしや　力が足りないって　言ってたの……それと関係　あることか～？			理想の飲料作り							
……足りない力って言うのは、知識のことじゃないの。			……足りない力って言うのは、知識のことじゃないの。			理想の飲料作り							
私は魔力が少なく、魔法を扱えなかった。本来、ブネワ族ならほぼ誰でも扱えるにもかかわらずね。			私は魔力が少なく、魔法を扱えなかった。本来、ブネワ族ならほぼ誰でも扱えるにもかかわらずね。			理想の飲料作り							
呪術医の治療術は、薬と魔法のふたつを組み合わせたもの。その片方を上手く扱えないんじゃ……気持ちだけでは、どうにもならなかったの。			呪術医の治療術は、薬と魔法のふたつを組み合わせたもの。その片方を上手く扱えないんじゃ……気持ちだけでは、どうにもならなかったの。			理想の飲料作り							
それがわかったとき、期待してくれていた家族は、目に見えてがっかりしていたわ……。魔力を持たないブネワ族なんて、落ちこぼれも良いところだもの。			それがわかったとき、期待してくれていた家族は、目に見えてがっかりしていたわ……。魔力を持たないブネワ族なんて、落ちこぼれも良いところだもの。			理想の飲料作り							
そんなの少しも　思わない　落ちこぼれなんて　思わない！シェーロジャ　飲み物　とっても素敵卑下する必要　ぜんぜんない！			そんなの少しも　思わない　落ちこぼれなんて　思わない！シェーロジャ　飲み物　とっても素敵卑下する必要　ぜんぜんない！			理想の飲料作り							
ありがとう……。ただ……私がブネワ族として半端者で、夢を叶えられなかったことは、変えられないことだから……。			ありがとう……。ただ……私がブネワ族として半端者で、夢を叶えられなかったことは、変えられないことだから……。			理想の飲料作り							
……ごめんなさい、昔を思い出したら気持ちが……。少し、ひとりにさせてほしい。			……ごめんなさい、昔を思い出したら気持ちが……。少し、ひとりにさせてほしい。			理想の飲料作り							
知らなかった　シェーロジャの夢……			知らなかった　シェーロジャの夢……			理想の飲料作り							
Forename　あっちでちょっと　お話ししようモブも反省　相談したい～			Forename　あっちでちょっと　お話ししようモブも反省　相談したい～			理想の飲料作り							
……ごめんなさい、少しひとりにさせてほしいの。			……ごめんなさい、少しひとりにさせてほしいの。			理想の飲料作り							
フゴォ……フゴォ……いらないこと　言ったモブ……おかげで　シェーロジャ　傷ついた……			フゴォ……フゴォ……いらないこと　言ったモブ……おかげで　シェーロジャ　傷ついた……			理想の飲料作り							
魔力なくても　お店はじめて　みんなのために頑張ってるそれって立派な　ことなのに～！			魔力なくても　お店はじめて　みんなのために頑張ってるそれって立派な　ことなのに～！			理想の飲料作り							
