ミーン工芸館の実録システムは、調子が悪そうだ。			ミーン工芸館の実録システムは、調子が悪そうだ。			実録データ001「熟練の新入り職人」							
けど、今こそ、このリュートを直すときだと思うの……。ハリッグ師匠が大好きだった、このクリスタリウムのために、弟子である私たちが、いつまでもいがみ合ったままではダメなんだ。			けど、今こそ、このリュートを直すときだと思うの……。ハリッグ師匠が大好きだった、このクリスタリウムのために、弟子である私たちが、いつまでもいがみ合ったままではダメなんだ。			実録データ002「工房を彩りし職人」							
師匠との思い出がたくさん詰まった、このリュートを直すことができれば、オーエルの心にも、きっと響くものがあると信じたい……。			師匠との思い出がたくさん詰まった、このリュートを直すことができれば、オーエルの心にも、きっと響くものがあると信じたい……。			実録データ002「工房を彩りし職人」							
Forenameさん。私個人からの依頼で申し訳ないけど……このリュートの修復に、あなたの力を貸してくれないかな……？			Forenameさん。私個人からの依頼で申し訳ないけど……このリュートの修復に、あなたの力を貸してくれないかな……？			実録データ002「工房を彩りし職人」							
よかったぁ……本当に心強いわ！それじゃあ、張り切って修復の準備に取り掛からないと！しばらくしたら、また私に声をかけてね！			よかったぁ……本当に心強いわ！それじゃあ、張り切って修復の準備に取り掛からないと！しばらくしたら、また私に声をかけてね！			実録データ002「工房を彩りし職人」							
次の納品依頼は「木工師／革細工師／裁縫師」の、いずれかがレベル78以上になると、ミーン工芸館の「トゥナ」から受注可能です。			次の納品依頼は「木工師／革細工師／裁縫師」の、いずれかがレベル78以上になると、ミーン工芸館の「トゥナ」から受注可能です。			実録データ002「工房を彩りし職人」							
ミーン工芸館のトゥナは、落ち込んでいるようだ。			ミーン工芸館のトゥナは、落ち込んでいるようだ。			実録データ003「絆を修復せし職人」							
トゥナと話した。リュートの修復は完了したものの、当時の音色を再現できないことに頭を悩ませていた。実録システムは、冒険者に何かを訴えている様子だが、音声の調子が悪く何を言っているか聞き取れない。ミーン工芸館の「実録システム」を調べてみよう。			トゥナと話した。リュートの修復は完了したものの、当時の音色を再現できないことに頭を悩ませていた。実録システムは、冒険者に何かを訴えている様子だが、音声の調子が悪く何を言っているか聞き取れない。ミーン工芸館の「実録システム」を調べてみよう。			実録データ003「絆を修復せし職人」							
実録システムを調べた。調子が悪そうな実録システムを叩いてみると、なんと正常起動に成功した。復調した実録システムによると、リュートの音色を再現するためには、オンド族が扱っているという特別な素材が必要だったのだ。「リュート調整部材の必需品」をもとに、「リュートの調整部材」を製作し、ミーン工芸館の「トゥナ」に納品しよう。※「リュート調整部材の必需品」を失った場合は、ミーン工芸館の実録システムに話しかけましょう。材料を入手し、再挑戦が可能になります。			実録システムを調べた。調子が悪そうな実録システムを叩いてみると、なんと正常起動に成功した。復調した実録システムによると、リュートの音色を再現するためには、オンド族が扱っているという特別な素材が必要だったのだ。「リュート調整部材の必需品」をもとに、「リュートの調整部材」を製作し、ミーン工芸館の「トゥナ」に納品しよう。※「リュート調整部材の必需品」を失った場合は、ミーン工芸館の実録システムに話しかけましょう。材料を入手し、再挑戦が可能になります。			実録データ003「絆を修復せし職人」							
トゥナに「リュートの調整部材」を渡した。リュートの調整に成功し、当時の音色を再現したトゥナは、冒険者に感謝した。ついにリュートをオーエルに披露する準備が整ったようだ。彷徨う階段亭の「トゥナ」と話そう。			トゥナに「リュートの調整部材」を渡した。リュートの調整に成功し、当時の音色を再現したトゥナは、冒険者に感謝した。ついにリュートをオーエルに披露する準備が整ったようだ。彷徨う階段亭の「トゥナ」と話そう。			実録データ003「絆を修復せし職人」							
トゥナと話した。あくまでも実用的な物資の製作にこだわっていたオーエルは、トゥナが奏でるリュートの音色を聞いて心を動かされた。さらに、トゥナの演奏を聞きに集まってきた「時の工房」の依頼主たちの話を聞くことで、保存修復の仕事が人々の心に希望をもたらす、大切な役割を持っていたことを認めた。思い出が詰まったリュートの修復に成功したことで、トゥナとオーエルの絆も修復することができたようだ。彷徨う階段亭の「トゥナ」と話そう。			トゥナと話した。あくまでも実用的な物資の製作にこだわっていたオーエルは、トゥナが奏でるリュートの音色を聞いて心を動かされた。さらに、トゥナの演奏を聞きに集まってきた「時の工房」の依頼主たちの話を聞くことで、保存修復の仕事が人々の心に希望をもたらす、大切な役割を持っていたことを認めた。思い出が詰まったリュートの修復に成功したことで、トゥナとオーエルの絆も修復することができたようだ。彷徨う階段亭の「トゥナ」と話そう。			実録データ003「絆を修復せし職人」							
トゥナと話した。自分のことを孤児だと思っていた彼女は、兄弟子であるオーエルと家族同然の絆で結ばれていたことに気付き、嬉しそうだ。ミーン工芸館に戻り「トゥナ」と話そう。			トゥナと話した。自分のことを孤児だと思っていた彼女は、兄弟子であるオーエルと家族同然の絆で結ばれていたことに気付き、嬉しそうだ。ミーン工芸館に戻り「トゥナ」と話そう。			実録データ003「絆を修復せし職人」							
トゥナと話した。「光の氾濫」でノルヴラントの人々は多くを失ってしまったが、彼女は保存修復の仕事を続けることで、物に込められた、かけがえのない思い出や絆を守り続けるのだという。冒険者の協力がなければ、その純粋な想いも成らなかったかもしれない。トゥナは心からの感謝の気持ちを冒険者に伝えた。保存修復師のトゥナと実録システム、一風変わったコンビに会いたくなった時は、ミーン工芸館を訪れてみるのもいいだろう。			トゥナと話した。「光の氾濫」でノルヴラントの人々は多くを失ってしまったが、彼女は保存修復の仕事を続けることで、物に込められた、かけがえのない思い出や絆を守り続けるのだという。冒険者の協力がなければ、その純粋な想いも成らなかったかもしれない。トゥナは心からの感謝の気持ちを冒険者に伝えた。保存修復師のトゥナと実録システム、一風変わったコンビに会いたくなった時は、ミーン工芸館を訪れてみるのもいいだろう。			実録データ003「絆を修復せし職人」							
ミーン工芸館の実録システムを調べる			ミーン工芸館の実録システムを調べる			実録データ003「絆を修復せし職人」							
製作手帳 ミーン工芸館取引：リュートの調整部材を製作トゥナにリュートの調整部材を納品			製作手帳 ミーン工芸館取引：リュートの調整部材を製作トゥナにリュートの調整部材を納品			実録データ003「絆を修復せし職人」							
彷徨う階段亭のトゥナと話す			彷徨う階段亭のトゥナと話す			実録データ003「絆を修復せし職人」							
彷徨う階段亭のトゥナと再び話す			彷徨う階段亭のトゥナと再び話す			実録データ003「絆を修復せし職人」							
ミーン工芸館のトゥナと話す			ミーン工芸館のトゥナと話す			実録データ003「絆を修復せし職人」							
はぁ……………………。あ……Forenameさん…………。調子は……どうかしら………………？			はぁ……………………。あ……Forenameさん…………。調子は……どうかしら………………？			実録データ003「絆を修復せし職人」							
うぅ、実は……リュートの修復自体は完了したはずなんだけど、音色が当時のものと全然違って……原因がわからないのよ……。あなたが作ってくれた素材に、間違いがないことは確かなんだけど。			うぅ、実は……リュートの修復自体は完了したはずなんだけど、音色が当時のものと全然違って……原因がわからないのよ……。あなたが作ってくれた素材に、間違いがないことは確かなんだけど。			実録データ003「絆を修復せし職人」							
楽器の修復はとても繊細で、板の歪みや細工の形状によっても、振動した弦から空気に伝わって響く音が全然違ってくるわ。ちゃんと狂いなく修復したはずなのに……。			楽器の修復はとても繊細で、板の歪みや細工の形状によっても、振動した弦から空気に伝わって響く音が全然違ってくるわ。ちゃんと狂いなく修復したはずなのに……。			実録データ003「絆を修復せし職人」							
耳がいいヴィース族の私じゃなくても、当時の音との違いはわかってしまうでしょうね……。いったい何がおかしいのかしら…………。			耳がいいヴィース族の私じゃなくても、当時の音との違いはわかってしまうでしょうね……。いったい何がおかしいのかしら…………。			実録データ003「絆を修復せし職人」							
ザ……ザザ…………！！！			ザ……ザザ…………！！！			実録データ003「絆を修復せし職人」							
いったい何がおかしいのかしら…………。			いったい何がおかしいのかしら…………。			実録データ003「絆を修復せし職人」							
ザ……ザザ……タタイ……！Forename……タタイテ！			ザ……ザザ……タタイ……！Forename……タタイテ！			実録データ003「絆を修復せし職人」							
実録システムは、調子が悪そうだ。トゥナは考えに耽っていて気付いていない……。			実録システムは、調子が悪そうだ。トゥナは考えに耽っていて気付いていない……。			実録データ003「絆を修復せし職人」							
どうする？			どうする？			実録データ003「絆を修復せし職人」							
スパーン！とたたく			スパーン！とたたく			実録データ003「絆を修復せし職人」							
愛でてみる			愛でてみる			実録データ003「絆を修復せし職人」							
謎のボタンを押してみる			謎のボタンを押してみる			実録データ003「絆を修復せし職人」							
ピピ……実録システム、正常起動……。Forename、いいビンタ！ありがトウー！			ピピ……実録システム、正常起動……。Forename、いいビンタ！ありがトウー！			実録データ003「絆を修復せし職人」							
ザザ……チガ……！ヤ……ヤメ……ザザ……タタイテ……！			ザザ……チガ……！ヤ……ヤメ……ザザ……タタイテ……！			実録データ003「絆を修復せし職人」							
ザザ……更新プログラムを構成しています。システムの電源を切らないでください。処理にしばらくかかります。			ザザ……更新プログラムを構成しています。システムの電源を切らないでください。処理にしばらくかかります。			実録データ003「絆を修復せし職人」							
ハリッグが最後に向かおうとした場所に、答えがアル！共鳴板用の素材を調達するタメ、コルシア島に向かおうとしていた……ピピ。			ハリッグが最後に向かおうとした場所に、答えがアル！共鳴板用の素材を調達するタメ、コルシア島に向かおうとしていた……ピピ。			実録データ003「絆を修復せし職人」							
コ……コルシア島？どうして、コルシア島に……？そこにリュートを修復するための素材があるの？			コ……コルシア島？どうして、コルシア島に……？そこにリュートを修復するための素材があるの？			実録データ003「絆を修復せし職人」							
ピピ……オンド族の商人と取引をするタメ。海底にアル素材が必要！			ピピ……オンド族の商人と取引をするタメ。海底にアル素材が必要！			実録データ003「絆を修復せし職人」							
オンド族……海底に棲んでいる獣人ね……。それなら、以前何かに使えると思って、オンド族の商人から買っておいた素材が使えるかもしれないわ！			オンド族……海底に棲んでいる獣人ね……。それなら、以前何かに使えると思って、オンド族の商人から買っておいた素材が使えるかもしれないわ！			実録データ003「絆を修復せし職人」							
実録システム！オンド族の素材と、リュートの適合性はどう？			実録システム！オンド族の素材と、リュートの適合性はどう？			実録データ003「絆を修復せし職人」							
照合中…………照合中…………。ピピ……問題ナシ！素材、バッチリ使エルー！			照合中…………照合中…………。ピピ……問題ナシ！素材、バッチリ使エルー！			実録データ003「絆を修復せし職人」							
よ、よかった……！あとは素材から調整に必要な部材を製作して、仕上げを完璧にこなせば、師匠のリュートは完成するはず……！			よ、よかった……！あとは素材から調整に必要な部材を製作して、仕上げを完璧にこなせば、師匠のリュートは完成するはず……！			実録データ003「絆を修復せし職人」							
Forenameさん、本当にごめんなさい。次こそ必ず成功させてみせる……だから……！「リュートの調整部材」の製作に、力を貸して……！			Forenameさん、本当にごめんなさい。次こそ必ず成功させてみせる……だから……！「リュートの調整部材」の製作に、力を貸して……！			実録データ003「絆を修復せし職人」							
材料が足りなくなった場合ハ、コレを使ッテ！			材料が足りなくなった場合ハ、コレを使ッテ！			実録データ003「絆を修復せし職人」							
イェーイ！強度、形状、全部カンペキ！			イェーイ！強度、形状、全部カンペキ！			実録データ003「絆を修復せし職人」							
結局最後まであなたに頼りっぱなしで情けないけど……「リュートの調整部材」の製作に、あなたの力を貸して……！			結局最後まであなたに頼りっぱなしで情けないけど……「リュートの調整部材」の製作に、あなたの力を貸して……！			実録データ003「絆を修復せし職人」							
ありがとう、Forenameさん！間違いない、この素材でリュートの修復を完成させられるはず……。今度こそ、完璧に仕上げてみせるから、どうか待っててね！			ありがとう、Forenameさん！間違いない、この素材でリュートの修復を完成させられるはず……。今度こそ、完璧に仕上げてみせるから、どうか待っててね！			実録データ003「絆を修復せし職人」							
ついに……ついに完成した……！これこそ、師匠が使っていた、当時のリュートよ……。			ついに……ついに完成した……！これこそ、師匠が使っていた、当時のリュートよ……。			実録データ003「絆を修復せし職人」							
ピピ……音色も見た目も当時と同ジ！ふたりとも、よくヤッタ！			ピピ……音色も見た目も当時と同ジ！ふたりとも、よくヤッタ！			実録データ003「絆を修復せし職人」							
……本当に、あなたには感謝してもしきれないわ。あなたの協力がなければ、修復することはできなかった。きっと、この手工科で、誰よりも優れた職人に違いないわ。			……本当に、あなたには感謝してもしきれないわ。あなたの協力がなければ、修復することはできなかった。きっと、この手工科で、誰よりも優れた職人に違いないわ。			実録データ003「絆を修復せし職人」							
私も早くあなたに追いつきたい…………そうだ！あなたが職人として大切にしていることがあれば、教えてほしいな。師から受けた教えとか、あなたの信条を！			私も早くあなたに追いつきたい…………そうだ！あなたが職人として大切にしていることがあれば、教えてほしいな。師から受けた教えとか、あなたの信条を！			実録データ003「絆を修復せし職人」							
何と言う？			何と言う？			実録データ003「絆を修復せし職人」							
命を粗末に扱わず、敬意を払うこと			命を粗末に扱わず、敬意を払うこと			実録データ003「絆を修復せし職人」							
文化を理解し、依頼主の幸せを願うこと			文化を理解し、依頼主の幸せを願うこと			実録データ003「絆を修復せし職人」							
素材の性質をよく知り、愛を注ぐこと			素材の性質をよく知り、愛を注ぐこと			実録データ003「絆を修復せし職人」							
なるほど……。素材から命をもらい受ける以上、真摯に向き合わなければいけない。決して無駄にすることなく、感謝の気持ちを忘れないと誓うわ。			なるほど……。素材から命をもらい受ける以上、真摯に向き合わなければいけない。決して無駄にすることなく、感謝の気持ちを忘れないと誓うわ。			実録データ003「絆を修復せし職人」							
なるほど……。依頼主が大切にしている文化を、きちんと理解することは大事だわ。そして、依頼主の幸せを願い、心を込めて作ることが大切なのね。			なるほど……。依頼主が大切にしている文化を、きちんと理解することは大事だわ。そして、依頼主の幸せを願い、心を込めて作ることが大切なのね。			実録データ003「絆を修復せし職人」							
なるほど……。一流の職人たるもの、素材の性質を知り尽くしている必要がある。素材に対して、愛を持って接することが肝要なのね。			なるほど……。一流の職人たるもの、素材の性質を知り尽くしている必要がある。素材に対して、愛を持って接することが肝要なのね。			実録データ003「絆を修復せし職人」							
ありがとう、Forenameさん。あなたからの言葉を胸に刻んで、精進を続けるわ。			ありがとう、Forenameさん。あなたからの言葉を胸に刻んで、精進を続けるわ。			実録データ003「絆を修復せし職人」							
さあ、これでやっと、このリュートを披露できる。問題は、どうやってオーエルを呼び出すか、だけど……。師匠がよくリュートを演奏していた酒場で話せたらな……。			さあ、これでやっと、このリュートを披露できる。問題は、どうやってオーエルを呼び出すか、だけど……。師匠がよくリュートを演奏していた酒場で話せたらな……。			実録データ003「絆を修復せし職人」							
リョーカイ！　酒場で待ってテ！ピピ……過去の実績から、オーエルの活動場所を予測……ピピピ……コッチダー！			リョーカイ！　酒場で待ってテ！ピピ……過去の実績から、オーエルの活動場所を予測……ピピピ……コッチダー！			実録データ003「絆を修復せし職人」							
あ、ちょっと！？			あ、ちょっと！？			実録データ003「絆を修復せし職人」							
まぁ、今回は実録システムに甘えちゃおうか……。			まぁ、今回は実録システムに甘えちゃおうか……。			実録データ003「絆を修復せし職人」							
Forenameさんも、「彷徨う階段亭」まで来て、見届けてほしいな。私もリュートを持って向かうわ！			Forenameさんも、「彷徨う階段亭」まで来て、見届けてほしいな。私もリュートを持って向かうわ！			実録データ003「絆を修復せし職人」							
オーエルたち、まだ来ていないみたいね。ううっ、そわそわするなぁ……。			オーエルたち、まだ来ていないみたいね。ううっ、そわそわするなぁ……。			実録データ003「絆を修復せし職人」							
おい、この玉っころ何とかしろ！無視してたら電流放ってきやがったぞ……！			おい、この玉っころ何とかしろ！無視してたら電流放ってきやがったぞ……！			実録データ003「絆を修復せし職人」							
チョットした、低圧電流！オーエルの反応に遅延が見られたタメ、ショックを与え……			チョットした、低圧電流！オーエルの反応に遅延が見られたタメ、ショックを与え……			実録データ003「絆を修復せし職人」							
ああっ！ご、ごめんね、急に呼び出したりして！どうしても見せたいものがあるの。			ああっ！ご、ごめんね、急に呼び出したりして！どうしても見せたいものがあるの。			実録データ003「絆を修復せし職人」							
それは……ハリッグ師匠の……。お前が直したのか？			それは……ハリッグ師匠の……。お前が直したのか？			実録データ003「絆を修復せし職人」							
私ひとりじゃ、到底できなかったわ。Forenameさんと実録システム、「時の工房」みんなで直したのよ！			私ひとりじゃ、到底できなかったわ。Forenameさんと実録システム、「時の工房」みんなで直したのよ！			実録データ003「絆を修復せし職人」							
繊細で丁寧な仕上がり……。歪みもなく、装飾の美しさも際立っている……。なるほど……いい仕事仲間を見付けたということか。			繊細で丁寧な仕上がり……。歪みもなく、装飾の美しさも際立っている……。なるほど……いい仕事仲間を見付けたということか。			実録データ003「絆を修復せし職人」							
だが、こんなものを直して、何になる？今のクリスタリウムに必要なものは、実用的な物資だ！……用が済んだなら、俺は仕事に戻るぞ。			だが、こんなものを直して、何になる？今のクリスタリウムに必要なものは、実用的な物資だ！……用が済んだなら、俺は仕事に戻るぞ。			実録データ003「絆を修復せし職人」							
懐かしい音に釣られて来てみれば、この音色は……あの時のリュートじゃないか！ハリッグさんが、昔この場所でよく演奏していた……。			懐かしい音に釣られて来てみれば、この音色は……あの時のリュートじゃないか！ハリッグさんが、昔この場所でよく演奏していた……。			実録データ003「絆を修復せし職人」							
ああ……懐かしいな……。罪喰いに両親や祖父を殺された絶望の中、俺たち兄弟は、この音色にずいぶん励まされたものだ……。			ああ……懐かしいな……。罪喰いに両親や祖父を殺された絶望の中、俺たち兄弟は、この音色にずいぶん励まされたものだ……。			実録データ003「絆を修復せし職人」							
アマロの世話で疲れ切ったとき、この音色を聴きながら、一族のみんなと語り明かした。また明日も笑って生きようと、前向きな気持ちになれた。			アマロの世話で疲れ切ったとき、この音色を聴きながら、一族のみんなと語り明かした。また明日も笑って生きようと、前向きな気持ちになれた。			実録データ003「絆を修復せし職人」							
あの頃の光景が蘇るわ……。この演奏を聴こうと酒場に通っているうちに夫と出会い、大切な娘が生まれたのよ……まさに希望だったの。			あの頃の光景が蘇るわ……。この演奏を聴こうと酒場に通っているうちに夫と出会い、大切な娘が生まれたのよ……まさに希望だったの。			実録データ003「絆を修復せし職人」							
……ねぇ、オーエル。師匠はきっと知っていたんだ。このリュートの音色が、人々の心に与える影響を。			……ねぇ、オーエル。師匠はきっと知っていたんだ。このリュートの音色が、人々の心に与える影響を。			実録データ003「絆を修復せし職人」							
だからこそ危険を承知で、修復用の素材を調達に行った。その結果、帰らぬ人となってしまったけど……。			だからこそ危険を承知で、修復用の素材を調達に行った。その結果、帰らぬ人となってしまったけど……。			実録データ003「絆を修復せし職人」							
それでも、このリュートは、絶望で満ちた人たちの心に「希望」をもたらし、生き残ったそれぞれの家族の「絆」を紡いでいたんだ！			それでも、このリュートは、絶望で満ちた人たちの心に「希望」をもたらし、生き残ったそれぞれの家族の「絆」を紡いでいたんだ！			実録データ003「絆を修復せし職人」							
ワタシのかつての主人、大魔道士ノア様も、そのリュートを作った際、「希望」の祈りを込めてイタ！アラグ帝国バンザイ！　アラグ帝国バンザイ！			ワタシのかつての主人、大魔道士ノア様も、そのリュートを作った際、「希望」の祈りを込めてイタ！アラグ帝国バンザイ！　アラグ帝国バンザイ！			実録データ003「絆を修復せし職人」							
ええっ！？あなた、このリュートを作った人のこと知ってたの？お、驚いた……そんな繋がりまであったなんて。			ええっ！？あなた、このリュートを作った人のこと知ってたの？お、驚いた……そんな繋がりまであったなんて。			実録データ003「絆を修復せし職人」							
まったく……お前らがやりたいことはわかった。それがクリスタリウムの人たちのためだということもな。			まったく……お前らがやりたいことはわかった。それがクリスタリウムの人たちのためだということもな。			実録データ003「絆を修復せし職人」							
トゥナ、知っていたか？……そのリュートを最後に壊したのは、俺だったんだ。			トゥナ、知っていたか？……そのリュートを最後に壊したのは、俺だったんだ。			実録データ003「絆を修復せし職人」							
ガキの頃、師匠がリュートを直すところを見るのが大好きだった。まるで魔法みたいに、ボロボロだった物が息を吹き返す様子を。で、リュートを良く見ようと思ったら、高所から落としちまった。			ガキの頃、師匠がリュートを直すところを見るのが大好きだった。まるで魔法みたいに、ボロボロだった物が息を吹き返す様子を。で、リュートを良く見ようと思ったら、高所から落としちまった。			実録データ003「絆を修復せし職人」							
師匠は、怒りもせず笑って言ったんだ。「泣くなオーエル。すぐ直してやるから待ってろ」って……。それっきり、師匠は帰ってこなかった。			師匠は、怒りもせず笑って言ったんだ。「泣くなオーエル。すぐ直してやるから待ってろ」って……。それっきり、師匠は帰ってこなかった。			実録データ003「絆を修復せし職人」							
リュートなんか無くたって、みんなが死ぬわけじゃない。師匠は無駄死にしたのかと思うと、悔やんでも悔やみきれなかった。			リュートなんか無くたって、みんなが死ぬわけじゃない。師匠は無駄死にしたのかと思うと、悔やんでも悔やみきれなかった。			実録データ003「絆を修復せし職人」							
それで、自分を責めるあまり、師匠を死に追いやった「修復」を憎み、実用品の製作に打ち込んだのね……。			それで、自分を責めるあまり、師匠を死に追いやった「修復」を憎み、実用品の製作に打ち込んだのね……。			実録データ003「絆を修復せし職人」							
ああ……だが、お前らのおかげでわかったよ。師匠のやっていたことは、無駄なんかじゃなかった……。ここのみんなが明日を生きるために、必要なことだったんだな。			ああ……だが、お前らのおかげでわかったよ。師匠のやっていたことは、無駄なんかじゃなかった……。ここのみんなが明日を生きるために、必要なことだったんだな。			実録データ003「絆を修復せし職人」							
感謝します、Forenameさん。あなたのおかげで、大切なことに気付くことができました。共に生きる仲間や家族との、絆の大切さを……。			感謝します、Forenameさん。あなたのおかげで、大切なことに気付くことができました。共に生きる仲間や家族との、絆の大切さを……。			実録データ003「絆を修復せし職人」							
……家族がいない私たちも、いつかこのリュートが絆を結んでくれるかな？			……家族がいない私たちも、いつかこのリュートが絆を結んでくれるかな？			実録データ003「絆を修復せし職人」							
おや、あなたたち、孤児だってこと気にしているみたいだけれど、お師匠さんの血を受け継いだ、立派な「家族」じゃないのさ！			おや、あなたたち、孤児だってこと気にしているみたいだけれど、お師匠さんの血を受け継いだ、立派な「家族」じゃないのさ！			実録データ003「絆を修復せし職人」							
オーエルさんが、トゥナちゃんの仕事に反対していたのだって、お師匠さんと同じ目に遭わないように心配していたんでしょう？お兄さんが妹を心配する姿そのものだわ！			オーエルさんが、トゥナちゃんの仕事に反対していたのだって、お師匠さんと同じ目に遭わないように心配していたんでしょう？お兄さんが妹を心配する姿そのものだわ！			実録データ003「絆を修復せし職人」							
チッ……お前ひとりで作れない部品やら何やらがあれば俺に言え。師匠みたいに全部ひとりでやろうとして死なれると、寝覚めが悪いからなッ！			チッ……お前ひとりで作れない部品やら何やらがあれば俺に言え。師匠みたいに全部ひとりでやろうとして死なれると、寝覚めが悪いからなッ！			実録データ003「絆を修復せし職人」							
ピピ……「オーエル」の個人情報を更新。家族の項目に、「トゥナ」を登録。アッテル？			ピピ……「オーエル」の個人情報を更新。家族の項目に、「トゥナ」を登録。アッテル？			実録データ003「絆を修復せし職人」							
家族……家族……。あはは、ちょっと照れるけど、なんだか暖かいな……。			家族……家族……。あはは、ちょっと照れるけど、なんだか暖かいな……。			実録データ003「絆を修復せし職人」							
Forenameさん、改めてお礼をさせてね。さあ、「ミーン工芸館」に戻りましょう！			Forenameさん、改めてお礼をさせてね。さあ、「ミーン工芸館」に戻りましょう！			実録データ003「絆を修復せし職人」							
Forename、協力感謝スル！またタタキにキテ！			Forename、協力感謝スル！またタタキにキテ！			実録データ003「絆を修復せし職人」							
あなたのおかげで、「時の工房」はこれからも続けられそうよ！短かったような、長かったような気がするけど、あなたには心から感謝しているわ……。			あなたのおかげで、「時の工房」はこれからも続けられそうよ！短かったような、長かったような気がするけど、あなたには心から感謝しているわ……。			実録データ003「絆を修復せし職人」							
ねぇ、Forenameさん。ハリッグ師匠にもさっきの演奏……届いたかな？			ねぇ、Forenameさん。ハリッグ師匠にもさっきの演奏……届いたかな？			実録データ003「絆を修復せし職人」							
ふふっ、Forenameさんが直してくれた、さまざまな「家族の絆」……これからも、大事に大事にしていくわ。もちろん、壊れるようなことがあったら……			ふふっ、Forenameさんが直してくれた、さまざまな「家族の絆」……これからも、大事に大事にしていくわ。もちろん、壊れるようなことがあったら……			実録データ003「絆を修復せし職人」							
タタイテ直ス！			タタイテ直ス！			実録データ003「絆を修復せし職人」							
もう、それは実録システムだけよ！			もう、それは実録システムだけよ！			実録データ003「絆を修復せし職人」							
あなたという大きな目標に向かって、これからも頑張っていくわ。いつかこの世界のみんなが、本当の故郷を取り戻せるその日まで、私は、物に込められた大切な思い出や、絆を修復し続ける……。			あなたという大きな目標に向かって、これからも頑張っていくわ。いつかこの世界のみんなが、本当の故郷を取り戻せるその日まで、私は、物に込められた大切な思い出や、絆を修復し続ける……。			実録データ003「絆を修復せし職人」							
それから、師匠のように、また酒場でリュートを弾こうと思うんだ！			それから、師匠のように、また酒場でリュートを弾こうと思うんだ！			実録データ003「絆を修復せし職人」							
Forenameさん、よかったら、また会いに来てね！クリスタリウムに、この工芸館に、来てくれてありがとう！			Forenameさん、よかったら、また会いに来てね！クリスタリウムに、この工芸館に、来てくれてありがとう！			実録データ003「絆を修復せし職人」							
手工科の貢献ランクが上昇しました！トゥナはあなたの事を、「絆の修復師」と感じているようです！			手工科の貢献ランクが上昇しました！トゥナはあなたの事を、「絆の修復師」と感じているようです！			実録データ003「絆を修復せし職人」							
また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			実録データ003「絆を修復せし職人」							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			実録データ003「絆を修復せし職人」							
メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			実録データ003「絆を修復せし職人」							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			実録データ003「絆を修復せし職人」							
「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			実録データ003「絆を修復せし職人」							
