槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
アルベリクと話す			アルベリクと話す			双竜の邂逅							
指定地点で竜の魔笛を吹いて魔物を討伐			指定地点で竜の魔笛を吹いて魔物を討伐			双竜の邂逅							
アルベリクに竜の魔笛、ドラゴン眷属の頭骨を渡す			アルベリクに竜の魔笛、ドラゴン眷属の頭骨を渡す			双竜の邂逅							
待っていた。エスティニアンから報せがあった。君と一緒に、「巨石の丘」まで来てほしいという。			待っていた。エスティニアンから報せがあった。君と一緒に、「巨石の丘」まで来てほしいという。			双竜の邂逅							
エスティニアンが何を考えているのかはわからん。だが……行かねばなるまい。エスティニアンに会い、奴の思惑を確かめなければ。			エスティニアンが何を考えているのかはわからん。だが……行かねばなるまい。エスティニアンに会い、奴の思惑を確かめなければ。			双竜の邂逅							
久しぶりだな。			久しぶりだな。			双竜の邂逅							
エスティニアン、「竜の眼」をイシュガルドへ戻せ。異変に気づいたドラゴン族どもが、目覚め始めている。邪竜まで目覚めれば、20年前と同じことが起こるぞ。			エスティニアン、「竜の眼」をイシュガルドへ戻せ。異変に気づいたドラゴン族どもが、目覚め始めている。邪竜まで目覚めれば、20年前と同じことが起こるぞ。			双竜の邂逅							
……もう、遅い。ニーズヘッグは、すでに目覚めてしまった……。			……もう、遅い。ニーズヘッグは、すでに目覚めてしまった……。			双竜の邂逅							
……なに！？　どういうことだ！？			……なに！？　どういうことだ！？			双竜の邂逅							
聞け、アルベリク。ニーズヘッグが目覚めたのは、「竜の眼」が持ち出されたからではない。			聞け、アルベリク。ニーズヘッグが目覚めたのは、「竜の眼」が持ち出されたからではない。			双竜の邂逅							
俺は、ニーズヘッグの目覚めを予感していた。俺の中の「竜の力」が告げたんだ。間もなく目覚める邪竜より皇都を守れ、と。			俺は、ニーズヘッグの目覚めを予感していた。俺の中の「竜の力」が告げたんだ。間もなく目覚める邪竜より皇都を守れ、と。			双竜の邂逅							
邪竜が20年前に負った傷は、深い憎悪として刻まれた。次に目覚めた時……邪竜は、真っ先に眼の置かれるイシュガルドを襲うだろう。			邪竜が20年前に負った傷は、深い憎悪として刻まれた。次に目覚めた時……邪竜は、真っ先に眼の置かれるイシュガルドを襲うだろう。			双竜の邂逅							
ならば……。「竜の眼」をイシュガルドから引き離せば、皇都に暮らす民が犠牲となることはないはずだ。			ならば……。「竜の眼」をイシュガルドから引き離せば、皇都に暮らす民が犠牲となることはないはずだ。			双竜の邂逅							
……囮になったというのか？いや……お前は、故郷「ファーンデール」の仇を……！？			……囮になったというのか？いや……お前は、故郷「ファーンデール」の仇を……！？			双竜の邂逅							
俺にとっては同じことだ。ニーズヘッグに滅ぼされた、家族、友、故郷……。すべての仇を討つために、俺は竜騎士になった。			俺にとっては同じことだ。ニーズヘッグに滅ぼされた、家族、友、故郷……。すべての仇を討つために、俺は竜騎士になった。			双竜の邂逅							
邪竜を一時的に退けたところで、次に目覚めた時には、また必ずやイシュガルドを襲う。怒りを強め、イシュガルドを憎み、滅ぼしに来る。			邪竜を一時的に退けたところで、次に目覚めた時には、また必ずやイシュガルドを襲う。怒りを強め、イシュガルドを憎み、滅ぼしに来る。			双竜の邂逅							
ならば俺は、この命に代えてもニーズヘッグの息の根を止めねばならない。			ならば俺は、この命に代えてもニーズヘッグの息の根を止めねばならない。			双竜の邂逅							
フン……「竜の眼」も気まぐれなものだな。同じ時代に「蒼の竜騎士」を、ふたりも生むとは……。まるで、自らを滅ぼしてくれと言わんばかり。			フン……「竜の眼」も気まぐれなものだな。同じ時代に「蒼の竜騎士」を、ふたりも生むとは……。まるで、自らを滅ぼしてくれと言わんばかり。			双竜の邂逅							
冒険者、お前の力が必要だ。邪竜を討つために、「竜の力」を貸してくれ。			冒険者、お前の力が必要だ。邪竜を討つために、「竜の力」を貸してくれ。			双竜の邂逅							
蒼の竜騎士が、ふたりといた時代はない……邪竜を倒すには、またとない好機なのだ。			蒼の竜騎士が、ふたりといた時代はない……邪竜を倒すには、またとない好機なのだ。			双竜の邂逅							
力を貸してくれるのなら、急ぎ、「蒼の竜騎士」に代々伝わる奥義の伝授を受けよ。だが、そのためには4つの「竜騎士の甲冑」が必要……。			力を貸してくれるのなら、急ぎ、「蒼の竜騎士」に代々伝わる奥義の伝授を受けよ。だが、そのためには4つの「竜騎士の甲冑」が必要……。			双竜の邂逅							
俺が纏うこの甲冑は、ドラゴンの生き血を使って作られ、「蒼の竜騎士」の身に宿る「竜の力」を高める。この「甲冑」の助けなしには、奥義は修得できんのだ。			俺が纏うこの甲冑は、ドラゴンの生き血を使って作られ、「蒼の竜騎士」の身に宿る「竜の力」を高める。この「甲冑」の助けなしには、奥義は修得できんのだ。			双竜の邂逅							
ただし、「甲冑」を手に入れるには、相応の試練を乗り越えなければならんがな……。			ただし、「甲冑」を手に入れるには、相応の試練を乗り越えなければならんがな……。			双竜の邂逅							
詳しい話は、帰ってから、じっくりと「アルベリク」に聞くことだな。……時は一刻を争うぞ。			詳しい話は、帰ってから、じっくりと「アルベリク」に聞くことだな。……時は一刻を争うぞ。			双竜の邂逅							
待て、エスティニアン、お前は……。			待て、エスティニアン、お前は……。			双竜の邂逅							
心配は要らない。お前の準備が整うまで、時間をかせぐ。			心配は要らない。お前の準備が整うまで、時間をかせぐ。			双竜の邂逅							
……待っているぞ。			……待っているぞ。			双竜の邂逅							
エスティニアン、お前は……。			エスティニアン、お前は……。			双竜の邂逅							
……ああ、すまない。少し考え事をしていた。			……ああ、すまない。少し考え事をしていた。			双竜の邂逅							
エスティニアンは、奥義を修得せよと言った。言われるまでもない……もとより私は君に「甲冑」を授け、奥義を伝授するつもりだったのだよ。			エスティニアンは、奥義を修得せよと言った。言われるまでもない……もとより私は君に「甲冑」を授け、奥義を伝授するつもりだったのだよ。			双竜の邂逅							
だが、「竜騎士の甲冑」は、ただの防具などではない。ドラゴンの生き血に漬けて、鍛え上げたミスリルにより、作られた代物だからな。			だが、「竜騎士の甲冑」は、ただの防具などではない。ドラゴンの生き血に漬けて、鍛え上げたミスリルにより、作られた代物だからな。			双竜の邂逅							
試練によって、その槍に誓う正義が証明された時、「竜騎士の証」と共鳴し、甲冑の封印が解かれるのだ。			試練によって、その槍に誓う正義が証明された時、「竜騎士の証」と共鳴し、甲冑の封印が解かれるのだ。			双竜の邂逅							
ゆえに、君には各地で試練を受けてもらう。試練を乗り越えることで、「竜騎士の証」を輝かせ、監督する神殿騎士より、「竜騎士の甲冑」を授かるがいい。			ゆえに、君には各地で試練を受けてもらう。試練を乗り越えることで、「竜騎士の証」を輝かせ、監督する神殿騎士より、「竜騎士の甲冑」を授かるがいい。			双竜の邂逅							
試練の地は「悪鬼の胃袋」。かの地に神殿騎士「ブルスモン」を手配しておく。詳細については、その者に尋ねてくれ。			試練の地は「悪鬼の胃袋」。かの地に神殿騎士「ブルスモン」を手配しておく。詳細については、その者に尋ねてくれ。			双竜の邂逅							
冒険者の分際で、「竜騎士の甲冑」が欲しいそうだな。果たして君に、その資格があるか試させてもらおう。さあ、現れる魔物を、その槍で倒すのだ！			冒険者の分際で、「竜騎士の甲冑」が欲しいそうだな。果たして君に、その資格があるか試させてもらおう。さあ、現れる魔物を、その槍で倒すのだ！			双竜の邂逅							
見事……槍に誓った君の正義が証明された。「竜騎士の甲冑」の封印も解けたぞ。さあ、受け取るがいい。			見事……槍に誓った君の正義が証明された。「竜騎士の甲冑」の封印も解けたぞ。さあ、受け取るがいい。			双竜の邂逅							
次なる試練の地は、この先だ。奥へと進み、神殿騎士「ウスティエヌ」に、試練に挑む旨を申し出よ。			次なる試練の地は、この先だ。奥へと進み、神殿騎士「ウスティエヌ」に、試練に挑む旨を申し出よ。			双竜の邂逅							
よそ者が、「竜騎士の甲冑」を入手しようなどと……我らを納得させる実力を見せられるかな？この魔物を討伐するのだ！			よそ者が、「竜騎士の甲冑」を入手しようなどと……我らを納得させる実力を見せられるかな？この魔物を討伐するのだ！			双竜の邂逅							
「竜の眼」に選ばれたのは、伊達ではないようだ。お前の槍に誓った正義に呼応して封印が解けた、この「竜騎士の甲冑」を受け取れ。			「竜の眼」に選ばれたのは、伊達ではないようだ。お前の槍に誓った正義に呼応して封印が解けた、この「竜騎士の甲冑」を受け取れ。			双竜の邂逅							
だが、次はどうかな……？さらに奥へと進み、神殿騎士「ブルスモン」に、次なる試練へ挑むと申し出よ。			だが、次はどうかな……？さらに奥へと進み、神殿騎士「ブルスモン」に、次なる試練へ挑むと申し出よ。			双竜の邂逅							
やはり、ここまで来たか。だが、次なる試練は、今まで以上に困難で危険だ。心して、かかるがいい！			やはり、ここまで来たか。だが、次なる試練は、今まで以上に困難で危険だ。心して、かかるがいい！			双竜の邂逅							
甲冑の封印は解けた、さあ、これを受け取るがいい。試練の地で得られる「竜騎士の甲冑」は、これですべてだ。			甲冑の封印は解けた、さあ、これを受け取るがいい。試練の地で得られる「竜騎士の甲冑」は、これですべてだ。			双竜の邂逅							
残る「竜騎士の甲冑」については、アドネール占星台にいる「アルベリク」から説明を受けよ。ニーズへッグの討伐……頼んだぞ。			残る「竜騎士の甲冑」については、アドネール占星台にいる「アルベリク」から説明を受けよ。ニーズへッグの討伐……頼んだぞ。			双竜の邂逅							
エスティニアンが指示した4つの「竜騎士の甲冑」……その4つ目を得るためには、ある墓に見守られながら、試練を乗り越える必要がある。			エスティニアンが指示した4つの「竜騎士の甲冑」……その4つ目を得るためには、ある墓に見守られながら、試練を乗り越える必要がある。			双竜の邂逅							
試練の地は、スチールヴィジルの北西。かの地にて、この「竜の魔笛」を吹き、試練の魔物を呼び寄せるのだ。			試練の地は、スチールヴィジルの北西。かの地にて、この「竜の魔笛」を吹き、試練の魔物を呼び寄せるのだ。			双竜の邂逅							
この魔物を討伐し、「ドラゴン眷属の頭骨」を手に入れ、私のところまで持ち帰るのだ。			この魔物を討伐し、「ドラゴン眷属の頭骨」を手に入れ、私のところまで持ち帰るのだ。			双竜の邂逅							
最後の試練を乗り越え、「ドラゴン眷属の頭骨」を持ち帰れたら、残る「竜騎士の甲冑」を手渡そう。			最後の試練を乗り越え、「ドラゴン眷属の頭骨」を持ち帰れたら、残る「竜騎士の甲冑」を手渡そう。			双竜の邂逅							
見事に「竜騎士の証」が輝いているな。……冒険者でありながら、「竜騎士の甲冑」をまとうにふさわしい存在であることが証明された。			見事に「竜騎士の証」が輝いているな。……冒険者でありながら、「竜騎士の甲冑」をまとうにふさわしい存在であることが証明された。			双竜の邂逅							
さあ、残る「竜騎士の甲冑」を授けよう。これで、君が奥義を修得する準備が整ったが……今一度、君に確認したい。			さあ、残る「竜騎士の甲冑」を授けよう。これで、君が奥義を修得する準備が整ったが……今一度、君に確認したい。			双竜の邂逅							
君は……邪竜ニーズヘッグを倒すため本当に、エスティニアンと共に戦う覚悟があるのか？その決意に揺るぎなければ、今一度、私に声をかけよ。			君は……邪竜ニーズヘッグを倒すため本当に、エスティニアンと共に戦う覚悟があるのか？その決意に揺るぎなければ、今一度、私に声をかけよ。			双竜の邂逅							
敵の気配を感じた！！			敵の気配を感じた！！			双竜の邂逅							
アルベリクは、冒険者の覚悟を確認したいようだ。			アルベリクは、冒険者の覚悟を確認したいようだ。			邪竜の声							
アルベリクから依頼を受けた。クルザス中央高地の「指定地点」で「竜の魔笛」を吹き、呼び寄せられた魔物を討伐しよう。			アルベリクから依頼を受けた。クルザス中央高地の「指定地点」で「竜の魔笛」を吹き、呼び寄せられた魔物を討伐しよう。			邪竜の声							
魔物を討伐した。クルザス中央高地のアドネール占星台にいる「アルベリク」に「竜の魔笛」を渡そう。			魔物を討伐した。クルザス中央高地のアドネール占星台にいる「アルベリク」に「竜の魔笛」を渡そう。			邪竜の声							
アルベリクに竜の魔笛を渡した。「蒼の竜騎士」に伝わる秘技を修得することができた。邪竜ニーズへッグとの戦いに備え、身に宿る「竜の力」を従えられるよう、鍛錬を積もう。※竜騎士のレベルが50以上になると、アルベリクから次の竜騎士クエストを受注することができます。			アルベリクに竜の魔笛を渡した。「蒼の竜騎士」に伝わる秘技を修得することができた。邪竜ニーズへッグとの戦いに備え、身に宿る「竜の力」を従えられるよう、鍛錬を積もう。※竜騎士のレベルが50以上になると、アルベリクから次の竜騎士クエストを受注することができます。			邪竜の声							
指定地点で竜の魔笛を吹いて魔物を討伐			指定地点で竜の魔笛を吹いて魔物を討伐			邪竜の声							
アルベリクに竜の魔笛を渡す			アルベリクに竜の魔笛を渡す			邪竜の声							
そうか……ニーズヘッグを倒すため本当に、エスティニアンと共に戦うつもりなのだな。			そうか……ニーズヘッグを倒すため本当に、エスティニアンと共に戦うつもりなのだな。			邪竜の声							
ならば、「蒼の竜騎士」に代々伝わる奥義を伝授するため、最後の試練を与えよう。だが、その前に……君に伝えておかねばならないことがある。			ならば、「蒼の竜騎士」に代々伝わる奥義を伝授するため、最後の試練を与えよう。だが、その前に……君に伝えておかねばならないことがある。			邪竜の声							
私は、かつて「蒼の竜騎士」だったと言ったな。そして、20年前の邪竜との戦いで「竜の力」を失った、と。			私は、かつて「蒼の竜騎士」だったと言ったな。そして、20年前の邪竜との戦いで「竜の力」を失った、と。			邪竜の声							
違うのだ……。私は「竜の力」を失ったのではない。……私は、自ら「竜の力」を捨てたのだ。			違うのだ……。私は「竜の力」を失ったのではない。……私は、自ら「竜の力」を捨てたのだ。			邪竜の声							
……20年前。眼窩に槍を突き刺した私を見る、邪竜の残る瞳……そこから、とてつもない感情が、私の内に流れこんだ。			……20年前。眼窩に槍を突き刺した私を見る、邪竜の残る瞳……そこから、とてつもない感情が、私の内に流れこんだ。			邪竜の声							
憎悪、悲しみ、そして憐れみ……そのように簡単な言葉にできぬ強い感情が、まるで己の感情かのごとく、私を飲み込んだのだ。			憎悪、悲しみ、そして憐れみ……そのように簡単な言葉にできぬ強い感情が、まるで己の感情かのごとく、私を飲み込んだのだ。			邪竜の声							
「蒼の竜騎士」に宿る「竜の力」は、ドラゴン族からの交信に共鳴しやすく、それを増幅する。			「蒼の竜騎士」に宿る「竜の力」は、ドラゴン族からの交信に共鳴しやすく、それを増幅する。			邪竜の声							
邪竜に魅入られぬためには、みずから「竜の力」を捨てるしかなかった。			邪竜に魅入られぬためには、みずから「竜の力」を捨てるしかなかった。			邪竜の声							
その結果……私は辛くも竜に魅入られずにすみ、深い傷を負ったニーズヘッグは、「ファーンデール」から退いた。			その結果……私は辛くも竜に魅入られずにすみ、深い傷を負ったニーズヘッグは、「ファーンデール」から退いた。			邪竜の声							
だが「竜の力」を捨てたことにより、他のドラゴン族の群れから、ファーンデールの人々を救うことは叶わなかった……。			だが「竜の力」を捨てたことにより、他のドラゴン族の群れから、ファーンデールの人々を救うことは叶わなかった……。			邪竜の声							
ただ、幼いエスティニアンを助け出すので精一杯だった……しかし、エスティニアンはまだ、この真実を知らない。			ただ、幼いエスティニアンを助け出すので精一杯だった……しかし、エスティニアンはまだ、この真実を知らない。			邪竜の声							
エスティニアンは言った。皇都を守ることも、邪竜に復讐を果たすことも同じだと……。			エスティニアンは言った。皇都を守ることも、邪竜に復讐を果たすことも同じだと……。			邪竜の声							
だが、「弱きを守る」正義の力と、「復讐を果たす」憎悪の力は、まったく異なる！			だが、「弱きを守る」正義の力と、「復讐を果たす」憎悪の力は、まったく異なる！			邪竜の声							
あやつの心は、陽炎のように揺れている。このままでは、エスティニアンが心配だ。			あやつの心は、陽炎のように揺れている。このままでは、エスティニアンが心配だ。			邪竜の声							
次にエスティニアンに会う時、伝えねばならない。邪竜と戦うならば、「竜の力」を捨てる覚悟も必要だと。			次にエスティニアンに会う時、伝えねばならない。邪竜と戦うならば、「竜の力」を捨てる覚悟も必要だと。			邪竜の声							
「竜の力」は、ドラゴン族の力。槍に誓った正義を見失えば、ドラゴン族に魅入られる……このことを、決して忘れるな。			「竜の力」は、ドラゴン族の力。槍に誓った正義を見失えば、ドラゴン族に魅入られる……このことを、決して忘れるな。			邪竜の声							
さあ、奥義修得の試練を伝えよう。試練の地は「神意の地」……そこで、この「竜の魔笛」を吹き、ドラゴン族の眷属を呼び寄せ、これを倒すのだ。			さあ、奥義修得の試練を伝えよう。試練の地は「神意の地」……そこで、この「竜の魔笛」を吹き、ドラゴン族の眷属を呼び寄せ、これを倒すのだ。			邪竜の声							
試練を乗り越え、誓った正義に相応しき強さと心の力を示せ。そうすれば「竜の力」に共鳴したクリスタルが、君に奥義をもたらすだろう。			試練を乗り越え、誓った正義に相応しき強さと心の力を示せ。そうすれば「竜の力」に共鳴したクリスタルが、君に奥義をもたらすだろう。			邪竜の声							
正義を貫くがために、正しき「竜の力」が目覚めんことを。			正義を貫くがために、正しき「竜の力」が目覚めんことを。			邪竜の声							
試練を乗り越え、誓った正義に相応しき強さと心の力を示せ。正義を貫くがために、正しき「竜の力」が目覚めんことを。			試練を乗り越え、誓った正義に相応しき強さと心の力を示せ。正義を貫くがために、正しき「竜の力」が目覚めんことを。			邪竜の声							
戻ったか、「竜騎士の証」が力強く輝いているな。これで「蒼の竜騎士」に伝わる秘技が扱えるだろう。私が教えられるすべてを伝えた。あとは、君自身との戦いだ。			戻ったか、「竜騎士の証」が力強く輝いているな。これで「蒼の竜騎士」に伝わる秘技が扱えるだろう。私が教えられるすべてを伝えた。あとは、君自身との戦いだ。			邪竜の声							
実は、「竜騎士の甲冑」は4つだけではない。あとひとつ、もっとも強き力を秘めた鎧があるのだ。これを、君に託したいのだが……			実は、「竜騎士の甲冑」は4つだけではない。あとひとつ、もっとも強き力を秘めた鎧があるのだ。これを、君に託したいのだが……			邪竜の声							
これを扱うには、竜の力を完全に我が物とせねばならん。かつて「蒼の竜騎士」であった時分の私でさえ、まともに扱うことは、ままならなかったのだ。			これを扱うには、竜の力を完全に我が物とせねばならん。かつて「蒼の竜騎士」であった時分の私でさえ、まともに扱うことは、ままならなかったのだ。			邪竜の声							
だが、君ならば、きっとその力を身につけることができよう。いや、そうでなければ困る。			だが、君ならば、きっとその力を身につけることができよう。いや、そうでなければ困る。			邪竜の声							
なぜなら、邪竜ニーズヘッグの力は、他のドラゴン族とは訳が違うためだ。心に潜む、僅かな弱ささえ命取りとなる。			なぜなら、邪竜ニーズヘッグの力は、他のドラゴン族とは訳が違うためだ。心に潜む、僅かな弱ささえ命取りとなる。			邪竜の声							
槍の腕を極め、身に宿る「竜の力」を従えるのだ。そして、その正義を槍に誓うことができたならば、再び、ここへ来てくれ。			槍の腕を極め、身に宿る「竜の力」を従えるのだ。そして、その正義を槍に誓うことができたならば、再び、ここへ来てくれ。			邪竜の声							
「蒼の竜騎士」Forename。……待っているぞ。			「蒼の竜騎士」Forename。……待っているぞ。			邪竜の声							
敵の気配を感じた！！			敵の気配を感じた！！			邪竜の声							
アルベリクは、神妙な面持ちで落ち着かないようだ。			アルベリクは、神妙な面持ちで落ち着かないようだ。			蒼の竜騎士							
アルベリクから依頼を受けた。クルザス中央高地の「スチールヴィジル」にて、エスティニアンと合流しよう。			アルベリクから依頼を受けた。クルザス中央高地の「スチールヴィジル」にて、エスティニアンと合流しよう。			蒼の竜騎士							
エスティニアンは、ニーズへッグの黒き光とともに消えてしまった。アドネール占星台に戻り、「アルベリク」と話そう。			エスティニアンは、ニーズへッグの黒き光とともに消えてしまった。アドネール占星台に戻り、「アルベリク」と話そう。			蒼の竜騎士							
アルベリクに報告した。エスティニアンとともに黒い光が消え去ると、ニーズヘッグの気配も消え、ドラゴン族どものざわめきも鎮まった。ひとまず、ドラゴン族の脅威を退けることができた。しかし、再度の襲来に備え、竜騎士として心も腕も磨いておこう。※以下の条件を満たすと、アドネール占星台のアルベリクから、新たなジョブクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			アルベリクに報告した。エスティニアンとともに黒い光が消え去ると、ニーズヘッグの気配も消え、ドラゴン族どものざわめきも鎮まった。ひとまず、ドラゴン族の脅威を退けることができた。しかし、再度の襲来に備え、竜騎士として心も腕も磨いておこう。※以下の条件を満たすと、アドネール占星台のアルベリクから、新たなジョブクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			蒼の竜騎士							
エスティニアンと合流			エスティニアンと合流			蒼の竜騎士							
アルベリクと話す			アルベリクと話す			蒼の竜騎士							
エスティニアンを倒せ！			エスティニアンを倒せ！			蒼の竜騎士							
エスティニアンから、報せがあった。邪竜ニーズヘッグと決着をつけるため、「スチールヴィジル」に、急ぎ来てくれという。			エスティニアンから、報せがあった。邪竜ニーズヘッグと決着をつけるため、「スチールヴィジル」に、急ぎ来てくれという。			蒼の竜騎士							
見たところ、君はまだ完全には竜の力を従えてはいない様子。だが、ニーズヘッグが目覚めたとなれば、逃げる訳にはいかん。やむを得ん、エスティニアンの元へ急ごう。			見たところ、君はまだ完全には竜の力を従えてはいない様子。だが、ニーズヘッグが目覚めたとなれば、逃げる訳にはいかん。やむを得ん、エスティニアンの元へ急ごう。			蒼の竜騎士							
それに、邪竜に挑む前に、彼に「ファーンデール」の真実を聞かせねばならん。……邪竜ニーズヘッグに魅入られないためにもな。			それに、邪竜に挑む前に、彼に「ファーンデール」の真実を聞かせねばならん。……邪竜ニーズヘッグに魅入られないためにもな。			蒼の竜騎士							
アルベリクよ……すべてを清算する時がきた。			アルベリクよ……すべてを清算する時がきた。			蒼の竜騎士							
お前は20年前、自ら「竜の力」を捨てた。邪竜ニーズヘッグと戦い、命を落とすことを恐れ、守れたはずの俺の故郷「ファーンデール」を見捨てた。			お前は20年前、自ら「竜の力」を捨てた。邪竜ニーズヘッグと戦い、命を落とすことを恐れ、守れたはずの俺の故郷「ファーンデール」を見捨てた。			蒼の竜騎士							
皮肉なものだな……。家族を、友を失って、イシュガルドに守るべきものなどない、この俺が「蒼の竜騎士」になるなど。			皮肉なものだな……。家族を、友を失って、イシュガルドに守るべきものなどない、この俺が「蒼の竜騎士」になるなど。			蒼の竜騎士							
だが、そのおかげで真実を知ることができた。「竜の眼」が、お前が自ら「竜の力」を捨てたことを教えてくれたのさ。			だが、そのおかげで真実を知ることができた。「竜の眼」が、お前が自ら「竜の力」を捨てたことを教えてくれたのさ。			蒼の竜騎士							
聞けば、俺が「竜の眼」を持ち去ったことを教皇庁の奴らに黙っていたらしいな。ハッ……罪滅ぼしのつもりか？			聞けば、俺が「竜の眼」を持ち去ったことを教皇庁の奴らに黙っていたらしいな。ハッ……罪滅ぼしのつもりか？			蒼の竜騎士							
まずはお前からだ、アルベリク！お前が守ろうとしたもの、すべてを踏みにじってやる！ニーズヘッグは、その後でゆっくり俺が殺してやる……。			まずはお前からだ、アルベリク！お前が守ろうとしたもの、すべてを踏みにじってやる！ニーズヘッグは、その後でゆっくり俺が殺してやる……。			蒼の竜騎士							
エスティニアン……駄目だ！槍に誓った心を思い出せ！			エスティニアン……駄目だ！槍に誓った心を思い出せ！			蒼の竜騎士							
「竜の眼」に魅入られるな！その力を、憎しみのために使ってはいけない！			「竜の眼」に魅入られるな！その力を、憎しみのために使ってはいけない！			蒼の竜騎士							
Forename……か。			Forename……か。			蒼の竜騎士							
……フン、俺と同じく「竜の眼」に選ばれたお前なら、この臆病者を捨て、共に邪竜と戦ってくれると思ったが。			……フン、俺と同じく「竜の眼」に選ばれたお前なら、この臆病者を捨て、共に邪竜と戦ってくれると思ったが。			蒼の竜騎士							
俺の見込み違いか？それとも……死に損ないに情がうつったか？			俺の見込み違いか？それとも……死に損ないに情がうつったか？			蒼の竜騎士							
いいだろう！どちらが「蒼の竜騎士」に相応しいか、教えてやる！			いいだろう！どちらが「蒼の竜騎士」に相応しいか、教えてやる！			蒼の竜騎士							
(-心に響く声-)……弱き者よ……力が欲しいか……。			(-心に響く声-)……弱き者よ……力が欲しいか……。			蒼の竜騎士							
(-心に響く声-)……その怒りを……憎しみを……力と欲するか……。			(-心に響く声-)……その怒りを……憎しみを……力と欲するか……。			蒼の竜騎士							
竜よ……帝竜ニーズヘッグよ……。			竜よ……帝竜ニーズヘッグよ……。			蒼の竜騎士							
何者にも屈せぬ牙を、爪を……竜の血を、我が身に授けよ……！			何者にも屈せぬ牙を、爪を……竜の血を、我が身に授けよ……！			蒼の竜騎士							
……Forename……！？い、いや……その姿は……まさか征竜将ハルドラスなのかッ！？			……Forename……！？い、いや……その姿は……まさか征竜将ハルドラスなのかッ！？			蒼の竜騎士							
エスティニアンは……？邪竜ニーズヘッグと共に行ってしまったのか……？			エスティニアンは……？邪竜ニーズヘッグと共に行ってしまったのか……？			蒼の竜騎士							
……アドネール占星台へ戻ろう、Forename。			……アドネール占星台へ戻ろう、Forename。			蒼の竜騎士							
あのとき……エスティニアンを飲み込んだ、黒い光が襲いかかって来た時……君の姿が、聖典に描かれた「征竜将ハルドラス」の姿に見えた。			あのとき……エスティニアンを飲み込んだ、黒い光が襲いかかって来た時……君の姿が、聖典に描かれた「征竜将ハルドラス」の姿に見えた。			蒼の竜騎士							
おかしなことを言っていると思うかもしれんな……。だが、見てくれ。君のクリスタルが、見たこともない輝きに満ちている。			おかしなことを言っていると思うかもしれんな……。だが、見てくれ。君のクリスタルが、見たこともない輝きに満ちている。			蒼の竜騎士							
どうやら君は……「征竜将ハルドラス」のみが使えたという、「蒼の竜騎士」の奥儀に目覚めたようだ。			どうやら君は……「征竜将ハルドラス」のみが使えたという、「蒼の竜騎士」の奥儀に目覚めたようだ。			蒼の竜騎士							
これで、君は最後の甲冑を身につけることができるはずだ。「征竜将ハルドラス」が纏い戦ったという……「蒼の竜騎士の鎧」を！			これで、君は最後の甲冑を身につけることができるはずだ。「征竜将ハルドラス」が纏い戦ったという……「蒼の竜騎士の鎧」を！			蒼の竜騎士							
Forename。君は、本当に不思議な人だ。……君は、もしや……。			Forename。君は、本当に不思議な人だ。……君は、もしや……。			蒼の竜騎士							
いや……すまない、忘れてくれ。その鎧はきっと、君の正義と勇気の心に対し、「征竜将ハルドラス」が授けてくれたのだろう。			いや……すまない、忘れてくれ。その鎧はきっと、君の正義と勇気の心に対し、「征竜将ハルドラス」が授けてくれたのだろう。			蒼の竜騎士							
黒い光が消え去ると同時に、ニーズヘッグの気配も消え、ドラゴン族どものざわめきも鎮まった。それが、君の目覚めに関係があるのかどうか……。			黒い光が消え去ると同時に、ニーズヘッグの気配も消え、ドラゴン族どものざわめきも鎮まった。それが、君の目覚めに関係があるのかどうか……。			蒼の竜騎士							
今の私にできることは、君の力がエスティニアンの心に届き……あやつが無事であってくれることを祈るのみ。			今の私にできることは、君の力がエスティニアンの心に届き……あやつが無事であってくれることを祈るのみ。			蒼の竜騎士							
どれほど憎まれたとしても、エスティニアンは弟子であり、我が子も同然だから……。			どれほど憎まれたとしても、エスティニアンは弟子であり、我が子も同然だから……。			蒼の竜騎士							
あの黒い光に触れたとき、私は……20年前に垣間見た感情のうねりと似て、しかし非なる言葉を聞いた。			あの黒い光に触れたとき、私は……20年前に垣間見た感情のうねりと似て、しかし非なる言葉を聞いた。			蒼の竜騎士							
イシュガルドとドラゴン族の間に横たわる、深く悲しい溝を嘆く声を……			イシュガルドとドラゴン族の間に横たわる、深く悲しい溝を嘆く声を……			蒼の竜騎士							
……冒険者の君にも、いつか語る時が来るかもしれない。君はどうか、その力を君の信じる正義のために、使ってくれ。			……冒険者の君にも、いつか語る時が来るかもしれない。君はどうか、その力を君の信じる正義のために、使ってくれ。			蒼の竜騎士							
「竜騎士」の物語が、ひとつの区切りを迎えました！次の「竜騎士」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			「竜騎士」の物語が、ひとつの区切りを迎えました！次の「竜騎士」のジョブクエストを開始するためには、以下の条件を満たす必要があります。			蒼の竜騎士							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			蒼の竜騎士							
