蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼に包まれし武具							
ゲロルトを問い詰めた。エーテルの伝導率を高める触媒を作るため、素材を集めてくることになった。「ロネークにかわ」について、トライヨラの商店を探してみよう。「ウトォーム隕鉄」について、ヤクテル樹海で稀少品を扱う商人を探してみよう。「人造ダークマターα」、「人造ダークマターβ」、「人造ダークマターγ」については、クラフターのレシピから製作してみよう。また、マーケットボードなどで購入することもできます。このクエストのコンプリートに必要な納品物を製作するためには、各クラスに対応する「秘伝書:第12巻」の修得が必要です。5つすべてを集めることができたら、蜃気楼の町の「ゲロルト」に渡そう。			ゲロルトを問い詰めた。エーテルの伝導率を高める触媒を作るため、素材を集めてくることになった。「ロネークにかわ」について、トライヨラの商店を探してみよう。「ウトォーム隕鉄」について、ヤクテル樹海で稀少品を扱う商人を探してみよう。「人造ダークマターα」、「人造ダークマターβ」、「人造ダークマターγ」については、クラフターのレシピから製作してみよう。また、マーケットボードなどで購入することもできます。このクエストのコンプリートに必要な納品物を製作するためには、各クラスに対応する「秘伝書:第12巻」の修得が必要です。5つすべてを集めることができたら、蜃気楼の町の「ゲロルト」に渡そう。			古の匠たちの技術							
ゲロルトにエーテル伝導率を高める触媒の素材を渡した。ドドックリによる精製が完了するまで、蜃気楼の町の「指定地点」で待とう。			ゲロルトにエーテル伝導率を高める触媒の素材を渡した。ドドックリによる精製が完了するまで、蜃気楼の町の「指定地点」で待とう。			古の匠たちの技術							
空の魔道球に触媒を塗布し、エーテルを溜めやすくなったようだ。次は、4つの魔道球が輝きを放つまでエーテルを溜めよう。			空の魔道球に触媒を塗布し、エーテルを溜めやすくなったようだ。次は、4つの魔道球が輝きを放つまでエーテルを溜めよう。			古の匠たちの技術							
ゲロルトに「問い詰める」をする			ゲロルトに「問い詰める」をする			古の匠たちの技術							
ゲロルトに指定の品を渡す			ゲロルトに指定の品を渡す			古の匠たちの技術							
ロネークにかわを入手			ロネークにかわを入手			古の匠たちの技術							
ウトォーム隕鉄を入手			ウトォーム隕鉄を入手			古の匠たちの技術							
人造ダークマターαを入手			人造ダークマターαを入手			古の匠たちの技術							
人造ダークマターβを入手			人造ダークマターβを入手			古の匠たちの技術							
人造ダークマターγを入手			人造ダークマターγを入手			古の匠たちの技術							
指定地点で待機			指定地点で待機			古の匠たちの技術							
おう、あんたか。実はよ、前線の探査隊が、新たに未知の鉱脈を発見したみたいなんだ。			おう、あんたか。実はよ、前線の探査隊が、新たに未知の鉱脈を発見したみたいなんだ。			古の匠たちの技術							
ゲロルトが言うには、そこで採れる素材を用いれば、ファントムウェポンをさらに強化できるかもしれないらしい。			ゲロルトが言うには、そこで採れる素材を用いれば、ファントムウェポンをさらに強化できるかもしれないらしい。			古の匠たちの技術							
しかし、まだ十分な量の素材が採れてなくてな。引き続き探査隊に採掘を行ってもらってる。			しかし、まだ十分な量の素材が採れてなくてな。引き続き探査隊に採掘を行ってもらってる。			古の匠たちの技術							
その間、俺たちは俺たちで、次の強化の方針について、明確なビジョンを固めておくべきだと思う。さもないと、幻のようにあやふやな仕上がりになるのがオチだ。			その間、俺たちは俺たちで、次の強化の方針について、明確なビジョンを固めておくべきだと思う。さもないと、幻のようにあやふやな仕上がりになるのがオチだ。			古の匠たちの技術							
だが、何か案があるのかとゲロルトを突っついても、口を開けば、酒、酒、酒でな……。あんたからもゲロルトを「問い詰めて」もらえると助かる。			だが、何か案があるのかとゲロルトを突っついても、口を開けば、酒、酒、酒でな……。あんたからもゲロルトを「問い詰めて」もらえると助かる。			古の匠たちの技術							
クエスト「古の匠たちの技術」は、ジャーナルからは破棄できません。破棄したい場合は、リディルセイルに話しかけてみましょう。			クエスト「古の匠たちの技術」は、ジャーナルからは破棄できません。破棄したい場合は、リディルセイルに話しかけてみましょう。			古の匠たちの技術							
ほかに急ぎの用事でもあるのか？それなら、こっちの話はなかったことにしてくれて構わねぇよ。			ほかに急ぎの用事でもあるのか？それなら、こっちの話はなかったことにしてくれて構わねぇよ。			古の匠たちの技術							
「古の匠たちの技術」を破棄しますか？			「古の匠たちの技術」を破棄しますか？			古の匠たちの技術							
次の武器強化の方針について、何か案があるのかと、あんたからもゲロルトを「問い詰めて」もらえると助かる。			次の武器強化の方針について、何か案があるのかと、あんたからもゲロルトを「問い詰めて」もらえると助かる。			古の匠たちの技術							
素材がなけりゃ、さすがのオレ様も商売あがったりだ。っつーわけで、酒を飲んでても文句言われる筋合いはねぇよな！			素材がなけりゃ、さすがのオレ様も商売あがったりだ。っつーわけで、酒を飲んでても文句言われる筋合いはねぇよな！			古の匠たちの技術							
素材が揃わないのを理由に、酒を飲もうとしているようだ。次の武器強化の方針について、何か考えはあるのか、ゲロルトを「問い詰め」てみよう。			素材が揃わないのを理由に、酒を飲もうとしているようだ。次の武器強化の方針について、何か考えはあるのか、ゲロルトを「問い詰め」てみよう。			古の匠たちの技術							
なンだ、ファントムウェポンの強化に関して、アイディアはあるのか、だと？			なンだ、ファントムウェポンの強化に関して、アイディアはあるのか、だと？			古の匠たちの技術							
オレ様を見くびってもらっちゃ困るぜ？酒を飲みながらでも、武器のことはしっかりと考えてあンだよ。			オレ様を見くびってもらっちゃ困るぜ？酒を飲みながらでも、武器のことはしっかりと考えてあンだよ。			古の匠たちの技術							
さらなる強化に関するナイスなアイディア。それは……			さらなる強化に関するナイスなアイディア。それは……			古の匠たちの技術							
……ぬああああああ！アイディアのイメージはあるンだが、あと一歩なンだよおお！！			……ぬああああああ！アイディアのイメージはあるンだが、あと一歩なンだよおお！！			古の匠たちの技術							
どういうわけか、いつもよりもぼんやりとしたイメージで……わかったぞ、これも幻って奴だな！？			どういうわけか、いつもよりもぼんやりとしたイメージで……わかったぞ、これも幻って奴だな！？			古の匠たちの技術							
酒ばかり飲んでいるからなんじゃないか……？			酒ばかり飲んでいるからなんじゃないか……？			古の匠たちの技術							
いや、本当にあと少しなンだよ。なにか手がかりさえあれば……			いや、本当にあと少しなンだよ。なにか手がかりさえあれば……			古の匠たちの技術							
そうだ、あの頭のいい奴！包丁の切れ味にこだわる、ちっこいのがいたろ。アイツだよ、アイツに相談してえ！			そうだ、あの頭のいい奴！包丁の切れ味にこだわる、ちっこいのがいたろ。アイツだよ、アイツに相談してえ！			古の匠たちの技術							
おお、たしかにアーカイブなら、俺たちの知らない特別な技術にも精通してそうだ。ちょっと呼んでこよう。			おお、たしかにアーカイブなら、俺たちの知らない特別な技術にも精通してそうだ。ちょっと呼んでこよう。			古の匠たちの技術							
……なるほど、武器のさらなる強化に関するアイディア、のう。			……なるほど、武器のさらなる強化に関するアイディア、のう。			古の匠たちの技術							
実は、おぬしらがファントムウェポンを創造したことで、またひとつ知識の封印が解かれ、とある石板を思い出したんじゃ。それには、第五星暦に存在した名工の技術が記されておったぞい。			実は、おぬしらがファントムウェポンを創造したことで、またひとつ知識の封印が解かれ、とある石板を思い出したんじゃ。それには、第五星暦に存在した名工の技術が記されておったぞい。			古の匠たちの技術							
かの時代においても稀有な「秘技」と呼ぶべき代物……。さらなる高みを望むのであれば、そういったものの修得も目指してみてはどうじゃ？			かの時代においても稀有な「秘技」と呼ぶべき代物……。さらなる高みを望むのであれば、そういったものの修得も目指してみてはどうじゃ？			古の匠たちの技術							
1500年以上も昔の、失われた職人技術か……。おもしれぇ、そいつをオレ様が身に付ければ、このイメージも形になるかもしれねえ！			1500年以上も昔の、失われた職人技術か……。おもしれぇ、そいつをオレ様が身に付ければ、このイメージも形になるかもしれねえ！			古の匠たちの技術							
それに加えてよ、オレ様がその秘技の、唯一の継承者になれるってわけだ。こいつはちょっと、燃えてきたぜ！			それに加えてよ、オレ様がその秘技の、唯一の継承者になれるってわけだ。こいつはちょっと、燃えてきたぜ！			古の匠たちの技術							
ほう、珍しくやる気を見せているじゃないか。			ほう、珍しくやる気を見せているじゃないか。			古の匠たちの技術							
当たり前よ！仕事の報酬は、すべてロウェナの懐に入る契約になってるが……			当たり前よ！仕事の報酬は、すべてロウェナの懐に入る契約になってるが……			古の匠たちの技術							
さすがの奴らも、身に付けた技術までは回収できねぇ。ざまぁみろだ！			さすがの奴らも、身に付けた技術までは回収できねぇ。ざまぁみろだ！			古の匠たちの技術							
それで、その石板にはどんな技術が記されてるんだ？			それで、その石板にはどんな技術が記されてるんだ？			古の匠たちの技術							
たとえば、高濃度のエーテルを蓄積させた魔道球を用い、その力を武具に込める「属性圧縮鍛造法」というのがあったのう。風、水、火、土、4属性の魔道球が必要なんじゃが。			たとえば、高濃度のエーテルを蓄積させた魔道球を用い、その力を武具に込める「属性圧縮鍛造法」というのがあったのう。風、水、火、土、4属性の魔道球が必要なんじゃが。			古の匠たちの技術							
探査隊の発掘品の中に、それらしき球がありましたよ。しかもちょうど4つ。ただ、魔力は欠片も残ってなかったようですが……。			探査隊の発掘品の中に、それらしき球がありましたよ。しかもちょうど4つ。ただ、魔力は欠片も残ってなかったようですが……。			古の匠たちの技術							
となると、再び輝きを放つまでエーテルを込め直さねばのう。本来ならエーテルの濃い場所に長年安置する必要があるが……わしは物知りゆえ、手早く終わる裏技も心得ておる。			となると、再び輝きを放つまでエーテルを込め直さねばのう。本来ならエーテルの濃い場所に長年安置する必要があるが……わしは物知りゆえ、手早く終わる裏技も心得ておる。			古の匠たちの技術							
それは、魔道球を携えて、激しい戦闘を繰り返すことじゃ！さすれば、場に霧散するエーテルを取り込み、通常よりはるかに短期間で溜められるぞい！			それは、魔道球を携えて、激しい戦闘を繰り返すことじゃ！さすれば、場に霧散するエーテルを取り込み、通常よりはるかに短期間で溜められるぞい！			古の匠たちの技術							
そういやテメェは、前にも似たようなことしてたンだっけか……なら話が早え、同じように戦いまくってこいや。			そういやテメェは、前にも似たようなことしてたンだっけか……なら話が早え、同じように戦いまくってこいや。			古の匠たちの技術							
おっと、その前によ……何年もかかるような魔力集めを短時間でやろうってンだ、まずは魔道球に加工を施しておいた方がいい。			おっと、その前によ……何年もかかるような魔力集めを短時間でやろうってンだ、まずは魔道球に加工を施しておいた方がいい。			古の匠たちの技術							
そういうことなら、オレにも策がある……何年もかかるような魔力集めを短時間でやろうってンだ、まずは魔道球に加工を施しておいた方がいい。			そういうことなら、オレにも策がある……何年もかかるような魔力集めを短時間でやろうってンだ、まずは魔道球に加工を施しておいた方がいい。			古の匠たちの技術							
その加工はこちらでやりましょう。エーテル伝導率の高い品々があれば可能です。			その加工はこちらでやりましょう。エーテル伝導率の高い品々があれば可能です。			古の匠たちの技術							
唯一の問題は、こんな島じゃそれらが手に入らないってことだな。エーテル伝導率の高い、液体金属や、にかわ液が欲しいところなンだが……。			唯一の問題は、こんな島じゃそれらが手に入らないってことだな。エーテル伝導率の高い、液体金属や、にかわ液が欲しいところなンだが……。			古の匠たちの技術							
それなら、トラル大陸で見つかるかもしれませんよ。馴染みのペルペル族商人から、そういった品の話を聞いたことがあるんです。			それなら、トラル大陸で見つかるかもしれませんよ。馴染みのペルペル族商人から、そういった品の話を聞いたことがあるんです。			古の匠たちの技術							
まず「ロネークにかわ」。これはトライヨラの雑貨屋で売ってるのを見かけました。少々高価ですが、お金さえ出せば普通に売ってもらえるはずです。			まず「ロネークにかわ」。これはトライヨラの雑貨屋で売ってるのを見かけました。少々高価ですが、お金さえ出せば普通に売ってもらえるはずです。			古の匠たちの技術							
もうひとつはヤクテル樹海で採れる「ウトォーム隕鉄」。それには、比較的低温で液状になる特殊金属が含まれているとか。稀少品ゆえ、交換には特殊な対価が必要かもしれません。			もうひとつはヤクテル樹海で採れる「ウトォーム隕鉄」。それには、比較的低温で液状になる特殊金属が含まれているとか。稀少品ゆえ、交換には特殊な対価が必要かもしれません。			古の匠たちの技術							
あとは精神感応物質……いわゆるダークマターってやつを3種。高純度の本物なんざ滅多に見つからねえし、似た性質のもンを、素材買って自作するか、職人に頼んで買うかでもするンだな。			あとは精神感応物質……いわゆるダークマターってやつを3種。高純度の本物なんざ滅多に見つからねえし、似た性質のもンを、素材買って自作するか、職人に頼んで買うかでもするンだな。			古の匠たちの技術							
ということは、計5種類ですか。いずれも冒険者さんなら、集めてこられるでしょう。全部揃ったら、ゲロルトに渡してください。			ということは、計5種類ですか。いずれも冒険者さんなら、集めてこられるでしょう。全部揃ったら、ゲロルトに渡してください。			古の匠たちの技術							
クエストの進行に必要なアイテムの入手先は、ジャーナルから確認することができます。			クエストの進行に必要なアイテムの入手先は、ジャーナルから確認することができます。			古の匠たちの技術							
ゲロルトめ、普段は酒のことしか考えちゃいねぇが、いざ仕事になると、途端に熟練の顔を見せやがる。奴のやる気が失せないうちに、品を揃えてきてくれ！			ゲロルトめ、普段は酒のことしか考えちゃいねぇが、いざ仕事になると、途端に熟練の顔を見せやがる。奴のやる気が失せないうちに、品を揃えてきてくれ！			古の匠たちの技術							
空っぽの魔道球にエーテルを溜めやすくする、特殊加工用の素材が必要だ。5種類、それぞれ1つずつ用意してくれ。			空っぽの魔道球にエーテルを溜めやすくする、特殊加工用の素材が必要だ。5種類、それぞれ1つずつ用意してくれ。			古の匠たちの技術							
クエストの進行に必要なアイテムの入手先は次のとおりです。「ロネークにかわ」は、トライヨラの商店。「ウトォーム隕鉄」は、ヤクテル樹海で稀少品を扱う店。			クエストの進行に必要なアイテムの入手先は次のとおりです。「ロネークにかわ」は、トライヨラの商店。「ウトォーム隕鉄」は、ヤクテル樹海で稀少品を扱う店。			古の匠たちの技術							
「人造ダークマターα」、「人造ダークマターβ」、「人造ダークマターγ」は、製作手帳のいずれかのクラスの秘伝書:第12巻から製作できます。			「人造ダークマターα」、「人造ダークマターβ」、「人造ダークマターγ」は、製作手帳のいずれかのクラスの秘伝書:第12巻から製作できます。			古の匠たちの技術							
アイテムの入手先はジャーナルからも確認できます。			アイテムの入手先はジャーナルからも確認できます。			古の匠たちの技術							
おう、コイツで間違いねぇな。よくもまぁ全部揃えてきたもンだ！			おう、コイツで間違いねぇな。よくもまぁ全部揃えてきたもンだ！			古の匠たちの技術							
加工は僕が引き受けましょう。少しお待ちください。			加工は僕が引き受けましょう。少しお待ちください。			古の匠たちの技術							
クエストを破棄します。本当によろしいですか？			クエストを破棄します。本当によろしいですか？			古の匠たちの技術							
クエストを破棄してしまうと、納品済のアイテムは戻ってきません。改めてクエストを進行する際は、アイテムを集め直して納品する必要があります。			クエストを破棄してしまうと、納品済のアイテムは戻ってきません。改めてクエストを進行する際は、アイテムを集め直して納品する必要があります。			古の匠たちの技術							
内容を確認しました。クエストを破棄します。			内容を確認しました。クエストを破棄します。			古の匠たちの技術							
あらためて、素材集めお疲れさん。それじゃ、ドドックリが触媒を精製してくれるのを待とう。			あらためて、素材集めお疲れさん。それじゃ、ドドックリが触媒を精製してくれるのを待とう。			古の匠たちの技術							
素材の入手にそこそこ手間がかかったかもしれねぇが、その分、お釣りが来るくらいの効果はあると思うぜ。			素材の入手にそこそこ手間がかかったかもしれねぇが、その分、お釣りが来るくらいの効果はあると思うぜ。			古の匠たちの技術							
よし、完成！これを魔道球に塗布して、と……。			よし、完成！これを魔道球に塗布して、と……。			古の匠たちの技術							
激しい戦いによって生じる属性エーテルを、霧散せず最高効率で溜めていけるよう、触媒を馴染ませました。これでエーテルが格段に溜まりやすくなるはずですよ！			激しい戦いによって生じる属性エーテルを、霧散せず最高効率で溜めていけるよう、触媒を馴染ませました。これでエーテルが格段に溜まりやすくなるはずですよ！			古の匠たちの技術							
喜ぶのはまだ早ぇ、こっからが本番だ。次はいよいよ、魔道球にエーテルを溜めていくことになる。気合入れていくぞ！			喜ぶのはまだ早ぇ、こっからが本番だ。次はいよいよ、魔道球にエーテルを溜めていくことになる。気合入れていくぞ！			古の匠たちの技術							
蜃気楼の町のリディルセイルは、石板の記述を反芻しているようだ。			蜃気楼の町のリディルセイルは、石板の記述を反芻しているようだ。			属性の力秘めし魔道球							
※本クエストは破棄禁止となります。　クエスト破棄を行いたい場合は、ゲロルトに話しかけて破棄を行いましょう。リディルセイルと話した。魔道球に4属性のエーテルを溜めるには、様々な戦いを経験する必要があるようだ。各属性に対応したコンテンツルーレットを攻略し、魔道球をエーテルで満たそう。翠色の魔道球は、コンテンツルーレット：ハイレベリング蒼色の魔道球は、コンテンツルーレット：アライアンスレイド緋色の魔道球は、コンテンツルーレット：討伐・討滅戦黄色の魔道球は、コンテンツルーレット：ノーマルレイド現在のエーテルの溜まり具合は、「マギスフィアボード」を用いることで視覚的に確認できます。			※本クエストは破棄禁止となります。　クエスト破棄を行いたい場合は、ゲロルトに話しかけて破棄を行いましょう。リディルセイルと話した。魔道球に4属性のエーテルを溜めるには、様々な戦いを経験する必要があるようだ。各属性に対応したコンテンツルーレットを攻略し、魔道球をエーテルで満たそう。翠色の魔道球は、コンテンツルーレット：ハイレベリング蒼色の魔道球は、コンテンツルーレット：アライアンスレイド緋色の魔道球は、コンテンツルーレット：討伐・討滅戦黄色の魔道球は、コンテンツルーレット：ノーマルレイド現在のエーテルの溜まり具合は、「マギスフィアボード」を用いることで視覚的に確認できます。			属性の力秘めし魔道球							
4属性のエーテルを溜めた魔道球をゲロルトに渡した。属性圧縮鍛造法を修得し、ゲロルトの職人としての能力が高まったようだ。次はいよいよ、ファントムウェポンの強化に挑もう。			4属性のエーテルを溜めた魔道球をゲロルトに渡した。属性圧縮鍛造法を修得し、ゲロルトの職人としての能力が高まったようだ。次はいよいよ、ファントムウェポンの強化に挑もう。			属性の力秘めし魔道球							
魔道球にエーテルを溜め蜃気楼の町のゲロルトと話す			魔道球にエーテルを溜め蜃気楼の町のゲロルトと話す			属性の力秘めし魔道球							
じいさんが持ってきた石板の記述を確認してみたが、「属性圧縮鍛造法」の準備はこれで問題ねぇ。あとは魔道球にエーテルを溜めるだけだ。			じいさんが持ってきた石板の記述を確認してみたが、「属性圧縮鍛造法」の準備はこれで問題ねぇ。あとは魔道球にエーテルを溜めるだけだ。			属性の力秘めし魔道球							
あらためて、素材集めご苦労さん。次はいよいよ、魔道球にエーテルを溜める工程だな。			あらためて、素材集めご苦労さん。次はいよいよ、魔道球にエーテルを溜める工程だな。			属性の力秘めし魔道球							
俺はアーカイブから石板を受け取って読んでたんだが、純度の高いエーテルは、戦いの中で凝縮されると書かれていた。前線の探査のついでに溜めてもらうのがいいか？			俺はアーカイブから石板を受け取って読んでたんだが、純度の高いエーテルは、戦いの中で凝縮されると書かれていた。前線の探査のついでに溜めてもらうのがいいか？			属性の力秘めし魔道球							
いや、この島ン中はエーテルの流れが不安定みてぇだから、魔道球のエーテル蓄積には向かねぇだろうな。よそをあたった方がいい。			いや、この島ン中はエーテルの流れが不安定みてぇだから、魔道球のエーテル蓄積には向かねぇだろうな。よそをあたった方がいい。			属性の力秘めし魔道球							
それこそ、ひとつの場所に定めず、運を天に任せるような気持ちで、あちこち転戦してみるンだな。			それこそ、ひとつの場所に定めず、運を天に任せるような気持ちで、あちこち転戦してみるンだな。			属性の力秘めし魔道球							
何と言う？			何と言う？			属性の力秘めし魔道球							
なんでも来い、だ			なんでも来い、だ			属性の力秘めし魔道球							
いろいろやってれば、自然に溜まる？			いろいろやってれば、自然に溜まる？			属性の力秘めし魔道球							
テメェには慣れたもンだったか？その前向きな気持ちも込めるつもりでやりゃあ、あっという間に終わることだろうよ。			テメェには慣れたもンだったか？その前向きな気持ちも込めるつもりでやりゃあ、あっという間に終わることだろうよ。			属性の力秘めし魔道球							
そうさ、テメェは冒険者だからな。いつもどおりの冒険をしてりゃ、いずれは溜まっていくだろうぜ！			そうさ、テメェは冒険者だからな。いつもどおりの冒険をしてりゃ、いずれは溜まっていくだろうぜ！			属性の力秘めし魔道球							
それじゃ、この魔道球を持っていきな。持ち運びしやすいよう、適当な円盤にくっ付けておいたぜ。名づけて「マギスフィアボード」ってところか。			それじゃ、この魔道球を持っていきな。持ち運びしやすいよう、適当な円盤にくっ付けておいたぜ。名づけて「マギスフィアボード」ってところか。			属性の力秘めし魔道球							
各魔道球にどれだけエーテルが溜まっているかは、直接そいつを手に取ってみれば、テメェの目にもわかるだろう。			各魔道球にどれだけエーテルが溜まっているかは、直接そいつを手に取ってみれば、テメェの目にもわかるだろう。			属性の力秘めし魔道球							
各種コンテンツルーレットを攻略することで、対応した属性のエーテルが魔道球に溜まっていきます。			各種コンテンツルーレットを攻略することで、対応した属性のエーテルが魔道球に溜まっていきます。			属性の力秘めし魔道球							
現在の進捗度は、イベントアイテム「マギスフィアボード」を使用することで、確認することができます。			現在の進捗度は、イベントアイテム「マギスフィアボード」を使用することで、確認することができます。			属性の力秘めし魔道球							
地球時間で1日に1度、より多くのエーテルが得られますので、積極的にコンテンツへ挑みましょう！			地球時間で1日に1度、より多くのエーテルが得られますので、積極的にコンテンツへ挑みましょう！			属性の力秘めし魔道球							
ただし、クエスト受注前にコンテンツルーレットを攻略済みで、当日分のボーナスを獲得済みの場合は得られません。ボーナスは毎日、[Reset]午後午前123456789101100時（地球時間）にリセットされます。			ただし、クエスト受注前にコンテンツルーレットを攻略済みで、当日分のボーナスを獲得済みの場合は得られません。ボーナスは毎日、[Reset]午後午前123456789101100時（地球時間）にリセットされます。			属性の力秘めし魔道球							
「コンテンツルーレット：ノーマルレイド」を開放するには、対象のコンテンツが2つ以上開放されている必要があります。			「コンテンツルーレット：ノーマルレイド」を開放するには、対象のコンテンツが2つ以上開放されている必要があります。			属性の力秘めし魔道球							
一例として、ソリューション・ナインのトゥルービューにいる、「ラングラーハットの男」から受注できるクエストを進めると、開放することができます。			一例として、ソリューション・ナインのトゥルービューにいる、「ラングラーハットの男」から受注できるクエストを進めると、開放することができます。			属性の力秘めし魔道球							
また、クエスト「属性の力秘めし魔道球」は、ジャーナルからは破棄できません。破棄したい場合は、ゲロルトに話しかけてみましょう。			また、クエスト「属性の力秘めし魔道球」は、ジャーナルからは破棄できません。破棄したい場合は、ゲロルトに話しかけてみましょう。			属性の力秘めし魔道球							
魔道球に効率よくエーテルを溜めるには、ひたすら様々な戦闘をこなすのが良いようだ。あんたなら、その方法にも心当たりあるんじゃないか？			魔道球に効率よくエーテルを溜めるには、ひたすら様々な戦闘をこなすのが良いようだ。あんたなら、その方法にも心当たりあるんじゃないか？			属性の力秘めし魔道球							
魔道球にエーテルを溜めるのをやめてぇのなら、こっちはそれでも構わねぇが……これまで溜めた分は、全部チャラになるから気をつけろよ。			魔道球にエーテルを溜めるのをやめてぇのなら、こっちはそれでも構わねぇが……これまで溜めた分は、全部チャラになるから気をつけろよ。			属性の力秘めし魔道球							
本クエストを破棄することができます。途中まで溜めていたエーテルはすべて消滅し、もとに戻すことはできません。			本クエストを破棄することができます。途中まで溜めていたエーテルはすべて消滅し、もとに戻すことはできません。			属性の力秘めし魔道球							
「属性の力秘めし魔道球」を破棄しますか？			「属性の力秘めし魔道球」を破棄しますか？			属性の力秘めし魔道球							
クエストを破棄します。本当によろしいですか？			クエストを破棄します。本当によろしいですか？			属性の力秘めし魔道球							
クエストを破棄してしまうと、途中まで溜めていたエーテルは消滅し、もとに戻すことはできません。改めてクエストを進行する際は、はじめから溜め直す必要があります。			クエストを破棄してしまうと、途中まで溜めていたエーテルは消滅し、もとに戻すことはできません。改めてクエストを進行する際は、はじめから溜め直す必要があります。			属性の力秘めし魔道球							
内容を確認しました。クエストを破棄します。			内容を確認しました。クエストを破棄します。			属性の力秘めし魔道球							
戦闘をこなし、4つの魔道球をエーテルで満たしてくるンだ。それぞれに今どれだけの量が溜まってるかは、魔道球を手に取ってみりゃわかるぜ。			戦闘をこなし、4つの魔道球をエーテルで満たしてくるンだ。それぞれに今どれだけの量が溜まってるかは、魔道球を手に取ってみりゃわかるぜ。			属性の力秘めし魔道球							
おっ、4つの魔道球に各属性のエーテルを溜めてきたのか！テメェには朝飯前だったようだな。			おっ、4つの魔道球に各属性のエーテルを溜めてきたのか！テメェには朝飯前だったようだな。			属性の力秘めし魔道球							
……いや、その顔を見ると結構大変だったか？なら、あらかじめエーテルを溜めやすくしておいた、オレ様の先見の明に感謝してくれよ。			……いや、その顔を見ると結構大変だったか？なら、あらかじめエーテルを溜めやすくしておいた、オレ様の先見の明に感謝してくれよ。			属性の力秘めし魔道球							
それに、この工程は一度だけで十分だ。魔道球があるかぎり、あとは何本でも武器を強化できるぜ。			それに、この工程は一度だけで十分だ。魔道球があるかぎり、あとは何本でも武器を強化できるぜ。			属性の力秘めし魔道球							
それより、ほれ、そいつを出してみろ。さっそく作業台に組み込ンでみるからよ。			それより、ほれ、そいつを出してみろ。さっそく作業台に組み込ンでみるからよ。			属性の力秘めし魔道球							
こいつはすげぇ！数多の戦いによって凝縮されたエーテルの輝きが、魔道球を通じて、工房に力をもたらしてやがる。			こいつはすげぇ！数多の戦いによって凝縮されたエーテルの輝きが、魔道球を通じて、工房に力をもたらしてやがる。			属性の力秘めし魔道球							
さすがは冒険者だぜ。よくもこれだけ大量のエーテルを蓄積させたもンだ。			さすがは冒険者だぜ。よくもこれだけ大量のエーテルを蓄積させたもンだ。			属性の力秘めし魔道球							
よし、それじゃさっそく、こいつから力を引き出してみるとすっか！			よし、それじゃさっそく、こいつから力を引き出してみるとすっか！			属性の力秘めし魔道球							
うおおおお！！！！			うおおおお！！！！			属性の力秘めし魔道球							
力が漲ってきやがった……これが属性圧縮鍛造法の恩恵か！			力が漲ってきやがった……これが属性圧縮鍛造法の恩恵か！			属性の力秘めし魔道球							
ファントムウェポンをさらに強化させる準備は整った！あとは、強化のために必要な、新たな素材を用意するだけだぜ！			ファントムウェポンをさらに強化させる準備は整った！あとは、強化のために必要な、新たな素材を用意するだけだぜ！			属性の力秘めし魔道球							
特殊ルール： クラス・ジョブ固定蜃気楼の町のリディルセイルは、ファントムウェポンの強化に取り掛かりたいようだ。			特殊ルール： クラス・ジョブ固定蜃気楼の町のリディルセイルは、ファントムウェポンの強化に取り掛かりたいようだ。			ファントムウェポンの強化							
※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。リディルセイルと話した。「上弦鉱石」を3個集めて、「ファントムウェポン」を所持した状態で、蜃気楼の町の「ドドックリ」に渡そう。「上弦鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			※本クエストには「 クラス・ジョブ固定」が、　設定されています。　受注時と同じクラス・ジョブでのみ進行できます。リディルセイルと話した。「上弦鉱石」を3個集めて、「ファントムウェポン」を所持した状態で、蜃気楼の町の「ドドックリ」に渡そう。「上弦鉱石」は、蜃気楼の町にいる「アーミナ」から交換できます。			ファントムウェポンの強化							
ドドックリに「上弦鉱石」を渡した。属性圧縮鍛造法の恩恵を受けて強化されたファントムウェポンを、さらに使いこなしていこう。			ドドックリに「上弦鉱石」を渡した。属性圧縮鍛造法の恩恵を受けて強化されたファントムウェポンを、さらに使いこなしていこう。			ファントムウェポンの強化							
