バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			バノック練兵所のガルフリッドは、冒険者に訓練兵の鍛錬につきあってほしいようだ。			背中を見て学べ							
ふむ、特訓を受けたいってのは、お前さんのチョコボだな？兄貴から連絡は受けているぜ。ほほう……こいつは確かに、良質なチョコボの臭いがする！			ふむ、特訓を受けたいってのは、お前さんのチョコボだな？兄貴から連絡は受けているぜ。ほほう……こいつは確かに、良質なチョコボの臭いがする！			マイチョコボ、大空へ！							
なら、さっそく訓練をはじめようじゃないか！一般のチョコボに空を飛ばせるには、眠っている、フライヤー種の血を呼び覚ます必要がある。			なら、さっそく訓練をはじめようじゃないか！一般のチョコボに空を飛ばせるには、眠っている、フライヤー種の血を呼び覚ます必要がある。			マイチョコボ、大空へ！							
そのためには、より先祖に近い、野生のチョコボと同様の経験をさせるのが手っ取り早い。			そのためには、より先祖に近い、野生のチョコボと同様の経験をさせるのが手っ取り早い。			マイチョコボ、大空へ！							
野生のチョコボなら「チョコボの森」にたくさんいるが、あの森のチョコボたちは、奴らの好物の果実に群がる虫と、毎日のように戦っているのさ。			野生のチョコボなら「チョコボの森」にたくさんいるが、あの森のチョコボたちは、奴らの好物の果実に群がる虫と、毎日のように戦っているのさ。			マイチョコボ、大空へ！							
そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			そこでだ……まずは、お前さんのチョコボも、その虫……「ドラヴァニアンビー・クラウド」と戦わせるんだ。野生の生態に近い経験が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
その顔、上手くいったようだな。お前さんのチョコボは、戦いの経験を積むと同時に、あの虫の羽音を聞いたはずだ。			その顔、上手くいったようだな。お前さんのチョコボは、戦いの経験を積むと同時に、あの虫の羽音を聞いたはずだ。			マイチョコボ、大空へ！							
音ってのは、深い記憶を呼び覚ますのに有効なんだ。出荷するチョコボの大半は、青年期の時に捕獲するから、あの羽音を聞いたのも初めてだろうぜ。			音ってのは、深い記憶を呼び覚ますのに有効なんだ。出荷するチョコボの大半は、青年期の時に捕獲するから、あの羽音を聞いたのも初めてだろうぜ。			マイチョコボ、大空へ！							
よし、次は、先祖が体感した風を感じさせる。とはいっても、一般のチョコボには、そう簡単にいかないからな。そこで、お前さんの出番だ。			よし、次は、先祖が体感した風を感じさせる。とはいっても、一般のチョコボには、そう簡単にいかないからな。そこで、お前さんの出番だ。			マイチョコボ、大空へ！							
今から教える場所に行き、そこの風を思いっきり感じてこい。そこで感じた風は、主人の臭いとともに、お前さんのチョコボに伝わるはずだ。			今から教える場所に行き、そこの風を思いっきり感じてこい。そこで感じた風は、主人の臭いとともに、お前さんのチョコボに伝わるはずだ。			マイチョコボ、大空へ！							
そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			そうだな、この「テイルフェザー」と、「ファルコンネスト」近くの高所がいいだろう。野生の生態に近い体感が、「先祖の血」の目覚めに繋がるぜ！			マイチョコボ、大空へ！							
高地ドラヴァニアに流れる風を感じた。Companionにも伝わるだろうか……。			高地ドラヴァニアに流れる風を感じた。Companionにも伝わるだろうか……。			マイチョコボ、大空へ！							
クルザス西部高地に流れる風を感じた。Companionにも伝わるだろうか……。			クルザス西部高地に流れる風を感じた。Companionにも伝わるだろうか……。			マイチョコボ、大空へ！							
よし、これで眠っていたフライヤー種の血も目覚める。お前さんのチョコボは、空を飛ぶ感覚を身につけたはずだぜ。			よし、これで眠っていたフライヤー種の血も目覚める。お前さんのチョコボは、空を飛ぶ感覚を身につけたはずだぜ。			マイチョコボ、大空へ！							
あとは、お前さん自身が風を詠めるようになれば……その風に、チョコボを乗せるだけだ！			あとは、お前さん自身が風を詠めるようになれば……その風に、チョコボを乗せるだけだ！			マイチョコボ、大空へ！							
風を詠むには、風脈を辿る必要があるのは知ってるな？さあ、しっかりと風を詠んで、お前さんのチョコボを大空に羽ばたかせてやってくれ！			風を詠むには、風脈を辿る必要があるのは知ってるな？さあ、しっかりと風を詠んで、お前さんのチョコボを大空に羽ばたかせてやってくれ！			マイチョコボ、大空へ！							
……それと、こいつを持っていきな。新たな世界に羽ばたく、Companionへの手向けだ！			……それと、こいつを持っていきな。新たな世界に羽ばたく、Companionへの手向けだ！			マイチョコボ、大空へ！							
Companionが飛べるようになりました！			Companionが飛べるようになりました！			マイチョコボ、大空へ！							
ふうむ……こいつは……お前さん、かなり腕の立つ職人と見た。その力量を生かせる仕事に、興味はねえかい？			ふうむ……こいつは……お前さん、かなり腕の立つ職人と見た。その力量を生かせる仕事に、興味はねえかい？			ギルドリーヴ開放「オールド・シャーレアン」							
俺たちはグリーナー。簡単に言えば、依頼を受けて、資料や標本や物資を集めてくる調達の専門家だ。			俺たちはグリーナー。簡単に言えば、依頼を受けて、資料や標本や物資を集めてくる調達の専門家だ。			ギルドリーヴ開放「オールド・シャーレアン」							
グリーナーの仕事には、連携も必要でな。だから、互助組織「グリーナーズ・ギルドシップ」を作り、それを介して、仕事や情報のやり取りをしているのさ。			グリーナーの仕事には、連携も必要でな。だから、互助組織「グリーナーズ・ギルドシップ」を作り、それを介して、仕事や情報のやり取りをしているのさ。			ギルドリーヴ開放「オールド・シャーレアン」							
中でも調達に職人技を求められる依頼を、腕利きに紹介する制度を「グリーナーリーヴ」と言うんだが……こいつをぜひ、お前さんに紹介したくてな。			中でも調達に職人技を求められる依頼を、腕利きに紹介する制度を「グリーナーリーヴ」と言うんだが……こいつをぜひ、お前さんに紹介したくてな。			ギルドリーヴ開放「オールド・シャーレアン」							
異国の者に声をかけるのが、不思議か？実はな、持ち込まれる依頼の件数が過去最高を記録していてな、議会公認のグリーナーだけじゃ、とうてい捌き切れねえのさ。			異国の者に声をかけるのが、不思議か？実はな、持ち込まれる依頼の件数が過去最高を記録していてな、議会公認のグリーナーだけじゃ、とうてい捌き切れねえのさ。			ギルドリーヴ開放「オールド・シャーレアン」							
もちろん相応の報酬も用意されてるからな、もしも興味があるってんなら、いつでも声をかけてくれ。個別の依頼についての詳しい説明をするからよ！			もちろん相応の報酬も用意されてるからな、もしも興味があるってんなら、いつでも声をかけてくれ。個別の依頼についての詳しい説明をするからよ！			ギルドリーヴ開放「オールド・シャーレアン」							
「グリーナーリーヴ」が開放されました！「グリッグ」から、製作稼業、採集稼業のリーヴを受注できます。			「グリーナーリーヴ」が開放されました！「グリッグ」から、製作稼業、採集稼業のリーヴを受注できます。			ギルドリーヴ開放「オールド・シャーレアン」							
どこかに腕の立つ職人はいねえもんか……。この際、シャーレアン人じゃなくても構わねえんだがな。			どこかに腕の立つ職人はいねえもんか……。この際、シャーレアン人じゃなくても構わねえんだがな。			ギルドリーヴ開放「オールド・シャーレアン」							
本クエストを進行するためには、いずれかのクラフターかギャザラーがレベル80以上かつ、現在のクラスが、クラフターかギャザラーである必要があります。			本クエストを進行するためには、いずれかのクラフターかギャザラーがレベル80以上かつ、現在のクラスが、クラフターかギャザラーである必要があります。			ギルドリーヴ開放「オールド・シャーレアン」							
まさか、まさか……！あなた様、腕に覚えのある職人でいらっしゃるのでは！？そのお力をトラルの民のため、お役立ていただけないでしょうか？			まさか、まさか……！あなた様、腕に覚えのある職人でいらっしゃるのでは！？そのお力をトラルの民のため、お役立ていただけないでしょうか？			ギルドリーヴ開放「トライヨラ」							
こちらは連王宮直下の行政機関、「理の院」の窓口でして、国民の皆さんから、暮らしへの声を広く受け付けているんです！そして、そして、職人の方々へのご依頼も！			こちらは連王宮直下の行政機関、「理の院」の窓口でして、国民の皆さんから、暮らしへの声を広く受け付けているんです！そして、そして、職人の方々へのご依頼も！			ギルドリーヴ開放「トライヨラ」							
トライヨラには建国以来、たくさんの部族が集まるようになって、年を追うごとに商取引も活発になってきました。ですが、部族ごとに商いのやりかたも様々で……。			トライヨラには建国以来、たくさんの部族が集まるようになって、年を追うごとに商取引も活発になってきました。ですが、部族ごとに商いのやりかたも様々で……。			ギルドリーヴ開放「トライヨラ」							
商習慣の違いからくる面倒事も、まだまだ多くございます。それらを解決すべく理王様が制定されたのが、その名も、その名も、「トライヨラリーヴ」！			商習慣の違いからくる面倒事も、まだまだ多くございます。それらを解決すべく理王様が制定されたのが、その名も、その名も、「トライヨラリーヴ」！			ギルドリーヴ開放「トライヨラ」							
この「理の院」の窓口では、諸部族の仲介役となり、お仕事と報酬を、リーヴにより適切に分配しているのです！			この「理の院」の窓口では、諸部族の仲介役となり、お仕事と報酬を、リーヴにより適切に分配しているのです！			ギルドリーヴ開放「トライヨラ」							
まぁまぁ、「リーヴ」をご存知なのですか？確かに外つ国の方ならば、お馴染みかもしれませんね。			まぁまぁ、「リーヴ」をご存知なのですか？確かに外つ国の方ならば、お馴染みかもしれませんね。			ギルドリーヴ開放「トライヨラ」							
こちらは、連王グルージャジャ様が持つふたつの頭のうち、知恵を司る、理王様が制定なさったもの。エオルゼアなる土地の「ギルドリーヴ」を参考にされたとか。			こちらは、連王グルージャジャ様が持つふたつの頭のうち、知恵を司る、理王様が制定なさったもの。エオルゼアなる土地の「ギルドリーヴ」を参考にされたとか。			ギルドリーヴ開放「トライヨラ」							
リーヴのプレートには、連王様が国を興すまでの旅路で、お仲間から学ばれた事柄が、刻まれているのです。皆で力を合わせ、この国を豊かにするのだという想いを込めて！			リーヴのプレートには、連王様が国を興すまでの旅路で、お仲間から学ばれた事柄が、刻まれているのです。皆で力を合わせ、この国を豊かにするのだという想いを込めて！			ギルドリーヴ開放「トライヨラ」							
もちろん、もちろん、外つ国の方のご協力も大歓迎ですよ！国民の皆さんからは、山程のご依頼が届いていますので、どうぞ、いつでもお声掛けください！			もちろん、もちろん、外つ国の方のご協力も大歓迎ですよ！国民の皆さんからは、山程のご依頼が届いていますので、どうぞ、いつでもお声掛けください！			ギルドリーヴ開放「トライヨラ」							
「トライヨラリーヴ」が開放されました！「マリハリ」から、製作稼業、採集稼業のリーヴを受注できます。			「トライヨラリーヴ」が開放されました！「マリハリ」から、製作稼業、採集稼業のリーヴを受注できます。			ギルドリーヴ開放「トライヨラ」							
困りました、困りました……手が足りませんねぇ。才能ある職人さんがいらっしゃれば、王都に来たばかりの方でも、お力を借りて、お仕事をお任せしたいのに～！			困りました、困りました……手が足りませんねぇ。才能ある職人さんがいらっしゃれば、王都に来たばかりの方でも、お力を借りて、お仕事をお任せしたいのに～！			ギルドリーヴ開放「トライヨラ」							
本クエストを進行するためには、いずれかのクラフターかギャザラーがレベル90以上かつ、現在のクラスが、クラフターかギャザラーである必要があります。			本クエストを進行するためには、いずれかのクラフターかギャザラーがレベル90以上かつ、現在のクラスが、クラフターかギャザラーである必要があります。			ギルドリーヴ開放「トライヨラ」							
イダはシルフ族に冒険者を認めさせたいようだ。			イダはシルフ族に冒険者を認めさせたいようだ。			挨拶は軽快に							
*本クエストは調整されました。一度破棄し、シルフの仮宿の「イダ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、シルフの仮宿の「イダ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			挨拶は軽快に							
シルフの仮宿の住民に踊りを見せて回った。戻って「イダ」に報告しよう。			シルフの仮宿の住民に踊りを見せて回った。戻って「イダ」に報告しよう。			挨拶は軽快に							
踊りを見せたことで、冒険者は少しだけ認められたようだ。			踊りを見せたことで、冒険者は少しだけ認められたようだ。			挨拶は軽快に							
*本クエストは調整されました。一度破棄し、シルフの仮宿のイダから再受注してください			*本クエストは調整されました。一度破棄し、シルフの仮宿のイダから再受注してください			挨拶は軽快に							
ねーねー、思ったんだけどさ。やっぱり信用の基本は「挨拶」からじゃないかな？言葉は通じるんだもの、あとは心だと思うんだよね！			ねーねー、思ったんだけどさ。やっぱり信用の基本は「挨拶」からじゃないかな？言葉は通じるんだもの、あとは心だと思うんだよね！			挨拶は軽快に							
手始めに、この「シルフの仮宿」のみんなに、シルフ族の挨拶をして回ってみるのはどう？			手始めに、この「シルフの仮宿」のみんなに、シルフ族の挨拶をして回ってみるのはどう？			挨拶は軽快に							
そーだ、神勇隊の人にも挨拶を見てもらおうよ。うちらがホンキだってところを、みんなにわかってもらうんだ！			そーだ、神勇隊の人にも挨拶を見てもらおうよ。うちらがホンキだってところを、みんなにわかってもらうんだ！			挨拶は軽快に							
あたぴは布のお手入れ中でふっち。……何でふっち？　興味があるでふっち？でも「挨拶」もできない「ヒト」には教えないでふっち。			あたぴは布のお手入れ中でふっち。……何でふっち？　興味があるでふっち？でも「挨拶」もできない「ヒト」には教えないでふっち。			挨拶は軽快に							
こちらこそ、よろぴくでふっち～。でも、布の作り方は内緒なのでふっち。……あたぴらにしかできない、秘密があるのでふっち……。			こちらこそ、よろぴくでふっち～。でも、布の作り方は内緒なのでふっち。……あたぴらにしかできない、秘密があるのでふっち……。			挨拶は軽快に							
……それは何でふっち？そんなことちても、布の作り方は教えないのでふっち。			……それは何でふっち？そんなことちても、布の作り方は教えないのでふっち。			挨拶は軽快に							
へぇ、シルフ族に「挨拶」しているのか。だったら、オレが採点してやろうか。見せてくれよ。			へぇ、シルフ族に「挨拶」しているのか。だったら、オレが採点してやろうか。見せてくれよ。			挨拶は軽快に							
うん、いい挨拶だな。満点だ。シルフ族は、だいたい陽気な性格だからな。心を許してくれれば話せるようになるさ。			うん、いい挨拶だな。満点だ。シルフ族は、だいたい陽気な性格だからな。心を許してくれれば話せるようになるさ。			挨拶は軽快に							
……ダメダメ、点はあげられないな。ただでさえ故郷を離れて、神経質になってるんだぜ？シルフ族の「挨拶」で安心させてあげるんだ。			……ダメダメ、点はあげられないな。ただでさえ故郷を離れて、神経質になってるんだぜ？シルフ族の「挨拶」で安心させてあげるんだ。			挨拶は軽快に							
これは、ごはんぢゃないでふっち。糸を染めているところなのでふっち。「挨拶」も糸も、綺麗なのがイチバンなのでふっち。			これは、ごはんぢゃないでふっち。糸を染めているところなのでふっち。「挨拶」も糸も、綺麗なのがイチバンなのでふっち。			挨拶は軽快に							
こちらこそ、よろちくでふっち～。いっしょにお鍋を見守るでふっち？グツグツ……グツグツ……楽しいで……ふっち……。			こちらこそ、よろちくでふっち～。いっしょにお鍋を見守るでふっち？グツグツ……グツグツ……楽しいで……ふっち……。			挨拶は軽快に							
……何でふっち？　糸が欲ちいのでふっち？「挨拶」もできない「ヒト」にはあげないでふっち。それともいっしょに煮込まれるでふっち？			……何でふっち？　糸が欲ちいのでふっち？「挨拶」もできない「ヒト」にはあげないでふっち。それともいっしょに煮込まれるでふっち？			挨拶は軽快に							
「ヒト」の言ってることは、よくわからないのでふっち。このまま寝ちゃいそう……ふっち……。……「挨拶」なら、わかるかもしれないでふっち……。			「ヒト」の言ってることは、よくわからないのでふっち。このまま寝ちゃいそう……ふっち……。……「挨拶」なら、わかるかもしれないでふっち……。			挨拶は軽快に							
挨拶は、わかったでふっち～。でも、眠いのは変わらない……ふっち……ぐぅ。			挨拶は、わかったでふっち～。でも、眠いのは変わらない……ふっち……ぐぅ。			挨拶は軽快に							
……それは……何なのでふっち？てっきり「挨拶」してくれるのかと思ったでふっち……。やっぱり、このまま寝ちゃいそう……ふっち……ぐぅ。			……それは……何なのでふっち？てっきり「挨拶」してくれるのかと思ったでふっち……。やっぱり、このまま寝ちゃいそう……ふっち……ぐぅ。			挨拶は軽快に							
なるほど、シルフ族と打ち解けるために、彼らの「挨拶」をして回っているのですね。私にも見せていただいてよろしいでしょうか？			なるほど、シルフ族と打ち解けるために、彼らの「挨拶」をして回っているのですね。私にも見せていただいてよろしいでしょうか？			挨拶は軽快に							
素敵な挨拶でございました。ですが、お気をつけくださいませ……。シルフ族の本拠地に住まうシルフにはそれすら通じません。			素敵な挨拶でございました。ですが、お気をつけくださいませ……。シルフ族の本拠地に住まうシルフにはそれすら通じません。			挨拶は軽快に							
……それは彼らの「挨拶」ではございません。いくら、直接危害を受けることはなくても、彼らの信用なくては、ここで過ごすことはできませんよ？			……それは彼らの「挨拶」ではございません。いくら、直接危害を受けることはなくても、彼らの信用なくては、ここで過ごすことはできませんよ？			挨拶は軽快に							
何かご用でふっち……？「挨拶」もちない知らない「ヒト」には深く関わるなって長ちゃまに言われてるでふっち……。			何かご用でふっち……？「挨拶」もちない知らない「ヒト」には深く関わるなって長ちゃまに言われてるでふっち……。			挨拶は軽快に							
こちらこそ、よろぴくでふっち～。仮の宿に来て不安だったけど、カヌ・エ・センナみたいに、優しいヒトもいて安心したのでふっち。			こちらこそ、よろぴくでふっち～。仮の宿に来て不安だったけど、カヌ・エ・センナみたいに、優しいヒトもいて安心したのでふっち。			挨拶は軽快に							
……何かのオマジナイでふっち？やっぱりここは落ち着かないでふっち……。ふつうに「挨拶」できる本当のおうちに帰りたいでふっち。			……何かのオマジナイでふっち？やっぱりここは落ち着かないでふっち……。ふつうに「挨拶」できる本当のおうちに帰りたいでふっち。			挨拶は軽快に							
ほう、シルフ族と友好を図ろうというのか。いい心がけだな。どれどれ、私にも「挨拶」を見せてもらえるかな。			ほう、シルフ族と友好を図ろうというのか。いい心がけだな。どれどれ、私にも「挨拶」を見せてもらえるかな。			挨拶は軽快に							
うむ、その心がけだ！だが気を付けろ、この先にいる凶暴化したシルフ族には、挨拶も言葉も通じないぞ。			うむ、その心がけだ！だが気を付けろ、この先にいる凶暴化したシルフ族には、挨拶も言葉も通じないぞ。			挨拶は軽快に							
おいおい、それは彼らの「挨拶」ではないぞ。友好を図るなら彼らの気持ちにならないといかん。さぁ、もう一度やってみるんだ。			おいおい、それは彼らの「挨拶」ではないぞ。友好を図るなら彼らの気持ちにならないといかん。さぁ、もう一度やってみるんだ。			挨拶は軽快に							
「ヒト」が何か用でふっち……？この先は悪い子シルフがいるのでふっち。……「挨拶」しない「ヒト」は悪い子ヒトでふっち？			「ヒト」が何か用でふっち……？この先は悪い子シルフがいるのでふっち。……「挨拶」しない「ヒト」は悪い子ヒトでふっち？			挨拶は軽快に							
こちらこそ、よろちくでふっち～。ふ～、良い子ヒトでよかったでふっち。			こちらこそ、よろちくでふっち～。ふ～、良い子ヒトでよかったでふっち。			挨拶は軽快に							
……それは何でふっち？ヒトのやることは、わからないのでふっち。やっぱり悪い子ヒトでふっち……？			……それは何でふっち？ヒトのやることは、わからないのでふっち。やっぱり悪い子ヒトでふっち……？			挨拶は軽快に							
おつかれさま！みんなの評判、良いみたいだね！なんだか、この集落の雰囲気も和らいできたみたいだよ！			おつかれさま！みんなの評判、良いみたいだね！なんだか、この集落の雰囲気も和らいできたみたいだよ！			挨拶は軽快に							
パパリモはシルフ族に冒険者を認めさせたいようだ。			パパリモはシルフ族に冒険者を認めさせたいようだ。			仮宿暮らしの困りごと							
*本クエストは調整されました。一度破棄し、シルフの仮宿の「パパリモ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、シルフの仮宿の「パパリモ」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			仮宿暮らしの困りごと							
不便な生活をしているシルフ族のために、「ジズ・ゴーリン」と「ガルナット」を5体倒そう。また、「ベニイロタケ」も5つ必要だ。			不便な生活をしているシルフ族のために、「ジズ・ゴーリン」と「ガルナット」を5体倒そう。また、「ベニイロタケ」も5つ必要だ。			仮宿暮らしの困りごと							
魔物を倒し、ベニイロタケを入手した。シルフの仮宿の「コムシオ」に報告しよう。			魔物を倒し、ベニイロタケを入手した。シルフの仮宿の「コムシオ」に報告しよう。			仮宿暮らしの困りごと							
魔物を討伐し、ベニイロタケを渡すとコムシオはとても喜んでいた。冒険者は少しだけ認められたようだ。			魔物を討伐し、ベニイロタケを渡すとコムシオはとても喜んでいた。冒険者は少しだけ認められたようだ。			仮宿暮らしの困りごと							
*本クエストは調整されました。一度破棄し、シルフの仮宿のパパリモから再受注してください			*本クエストは調整されました。一度破棄し、シルフの仮宿のパパリモから再受注してください			仮宿暮らしの困りごと							
Surname、君は冒険者だ。これまで困ってる人たちの依頼を解決してきた。依頼主は喜んでいたはずだ。			Surname、君は冒険者だ。これまで困ってる人たちの依頼を解決してきた。依頼主は喜んでいたはずだ。			仮宿暮らしの困りごと							
シルフ族も僕たちに言えないだけで、同じように困っていることがあると思うんだよ。			シルフ族も僕たちに言えないだけで、同じように困っていることがあると思うんだよ。			仮宿暮らしの困りごと							
特に、ここのシルフ族は、北東の「シルフ領」を追われ、この地を仮の宿としていて、さまざまな不便を強いられているらしい。			特に、ここのシルフ族は、北東の「シルフ領」を追われ、この地を仮の宿としていて、さまざまな不便を強いられているらしい。			仮宿暮らしの困りごと							
それを解決すれば、少しは信用を得ることができるんじゃないかな？			それを解決すれば、少しは信用を得ることができるんじゃないかな？			仮宿暮らしの困りごと							
グリダニアから来ているイメディアが、シルフ族から、何やら相談を受けているようなんだ。彼女に詳しい話を聞いてみてくれるかい？			グリダニアから来ているイメディアが、シルフ族から、何やら相談を受けているようなんだ。彼女に詳しい話を聞いてみてくれるかい？			仮宿暮らしの困りごと							
あら、冒険者さん。私に何か御用でしょうか？			あら、冒険者さん。私に何か御用でしょうか？			仮宿暮らしの困りごと							
……まぁ、シルフ族が困っていることを解決してきてくださるの？それはうれしいお言葉です。			……まぁ、シルフ族が困っていることを解決してきてくださるの？それはうれしいお言葉です。			仮宿暮らしの困りごと							
この地の周辺には、シルフ族に害をなす魔物がいるのです。そうですね……「ジズ・ゴーリン」と「ガルナット」を、それぞれ5匹ずつ退治していただけますか？			この地の周辺には、シルフ族に害をなす魔物がいるのです。そうですね……「ジズ・ゴーリン」と「ガルナット」を、それぞれ5匹ずつ退治していただけますか？			仮宿暮らしの困りごと							
もうひとつ、「ベニイロタケ」を5つほど、採ってきていただきたいのです。あれは、シルフ族が生活するうえで必要なものなのです。			もうひとつ、「ベニイロタケ」を5つほど、採ってきていただきたいのです。あれは、シルフ族が生活するうえで必要なものなのです。			仮宿暮らしの困りごと							
すべて終わりましたら「コムシオ」に伝えてください。きっと喜ぶと思います。では、よろしくお願いいたしますね。			すべて終わりましたら「コムシオ」に伝えてください。きっと喜ぶと思います。では、よろしくお願いいたしますね。			仮宿暮らしの困りごと							
（モンスターＡを討伐×５）			（モンスターＡを討伐×５）			仮宿暮らしの困りごと							
（モンスターＢを討伐×５）			（モンスターＢを討伐×５）			仮宿暮らしの困りごと							
（「植物系アイテム」を集める×５）			（「植物系アイテム」を集める×５）			仮宿暮らしの困りごと							
ままま、まだ居たのでふっち？いくらみんなに挨拶ちても、わたぴは信用しないでふっち。……ふえ？　またも、わたぴに届け物なのでふっち？			ままま、まだ居たのでふっち？いくらみんなに挨拶ちても、わたぴは信用しないでふっち。……ふえ？　またも、わたぴに届け物なのでふっち？			仮宿暮らしの困りごと							
これはこれは、ご丁寧にでふっち。……「ベニイロタケ」でふっち！？これで染め物が楽しめるのでふっち！			これはこれは、ご丁寧にでふっち。……「ベニイロタケ」でふっち！？これで染め物が楽しめるのでふっち！			仮宿暮らしの困りごと							
ええ？　わたぴらをいぢめる魔物も、やっつけてくれたのでふっち！？……なんと心優ちき「ヒト」なのでふっち。			ええ？　わたぴらをいぢめる魔物も、やっつけてくれたのでふっち！？……なんと心優ちき「ヒト」なのでふっち。			仮宿暮らしの困りごと							
……アナタたぴのことが、ようやく、わかってきた気がするでふっち。			……アナタたぴのことが、ようやく、わかってきた気がするでふっち。			仮宿暮らしの困りごと							
おや、君はもしやエオルゼア人か？しかも、その風体は……冒険者と見た！			おや、君はもしやエオルゼア人か？しかも、その風体は……冒険者と見た！			ギルドリーヴ開放「クガネ」							
やはりそうか！実は、冒険者ギルドの活動範囲を広げるため、本部からの指示で、ここクガネにリーヴ窓口を開設したんだ。			やはりそうか！実は、冒険者ギルドの活動範囲を広げるため、本部からの指示で、ここクガネにリーヴ窓口を開設したんだ。			ギルドリーヴ開放「クガネ」							
だが、まだまだ遠方で活動する冒険者が少なくてな。すでに仕事の方は、集まりつつあるから、よかったら、力を貸してくれよな！			だが、まだまだ遠方で活動する冒険者が少なくてな。すでに仕事の方は、集まりつつあるから、よかったら、力を貸してくれよな！			ギルドリーヴ開放「クガネ」							
クガネの「ギルドリーヴ」が開放されました！「ケルトレーング」から、製作稼業、採集稼業のリーヴを受注できます。			クガネの「ギルドリーヴ」が開放されました！「ケルトレーング」から、製作稼業、採集稼業のリーヴを受注できます。			ギルドリーヴ開放「クガネ」							
職人技を持つ冒険者が見つかるといいんだが……。			職人技を持つ冒険者が見つかるといいんだが……。			ギルドリーヴ開放「クガネ」							
本クエストを進行するためには、いずれかのクラフターかギャザラーがレベル60以上かつ、現在のクラスが、クラフターかギャザラーである必要があります。			本クエストを進行するためには、いずれかのクラフターかギャザラーがレベル60以上かつ、現在のクラスが、クラフターかギャザラーである必要があります。			ギルドリーヴ開放「クガネ」							
ようこそ、グリダニアが誇る「槍術士ギルド」へ。			ようこそ、グリダニアが誇る「槍術士ギルド」へ。			槍術士になるには？							
ここ「槍術士ギルド」は、長柄の得物を華麗に操る「槍術」の使い手が集い、互いに鍛錬を積む場所です。			ここ「槍術士ギルド」は、長柄の得物を華麗に操る「槍術」の使い手が集い、互いに鍛錬を積む場所です。			槍術士になるには？							
もしも槍術士になりたいのでしたら、我がギルドに所属し、指導を受けることをお勧めします。槍術士ギルドへの入門を希望されますか？			もしも槍術士になりたいのでしたら、我がギルドに所属し、指導を受けることをお勧めします。槍術士ギルドへの入門を希望されますか？			槍術士になるには？							
槍術士ギルドに入門したい？			槍術士ギルドに入門したい？			槍術士になるには？							
はい			はい			槍術士になるには？							
いいえ			いいえ			槍術士になるには？							
なるほど。ご自分の学んでいる術に集中されたい、と。ええ、それもまた冒険者の務めでしょう。			なるほど。ご自分の学んでいる術に集中されたい、と。ええ、それもまた冒険者の務めでしょう。			槍術士になるには？							
我がギルドへの用件はお済みになられたご様子。……お引き取りください。			我がギルドへの用件はお済みになられたご様子。……お引き取りください。			槍術士になるには？							
ご返答は嬉しいのですが……大変申し上げにくいのですが、あなたはまだ冒険者としての経験が不十分なご様子。			ご返答は嬉しいのですが……大変申し上げにくいのですが、あなたはまだ冒険者としての経験が不十分なご様子。			槍術士になるには？							
まずは今、学んでおられる術について、より造詣を深めることをお勧めいたします。我がギルドに所属するのはそれからでも遅くはないでしょう。			まずは今、学んでおられる術について、より造詣を深めることをお勧めいたします。我がギルドに所属するのはそれからでも遅くはないでしょう。			槍術士になるには？							
