小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
待ってくれィ！　オレたちは戦いにきたんじゃナイ！兄貴を……バッガモナンの兄貴を助けてほしいンだ！			待ってくれィ！　オレたちは戦いにきたんじゃナイ！兄貴を……バッガモナンの兄貴を助けてほしいンだ！			踊りたい、踊らなきゃ							
白々しい嘘を！！どうせここから逃げることはできないんだ！さぁ、諦めてアルマを放すんだ！			白々しい嘘を！！どうせここから逃げることはできないんだ！さぁ、諦めてアルマを放すんだ！			踊りたい、踊らなきゃ							
どういう意味だ？　説明するんだ！			どういう意味だ？　説明するんだ！			踊りたい、踊らなきゃ							
わかった！　大人しくするから、乱暴はやめてくれ……！それに手帳をアンタらに返すから！			わかった！　大人しくするから、乱暴はやめてくれ……！それに手帳をアンタらに返すから！			踊りたい、踊らなきゃ							
……なるほど、聖石ドゥマのせいだと言うのだな？			……なるほど、聖石ドゥマのせいだと言うのだな？			踊りたい、踊らなきゃ							
あのクリスタルは、いったい何なンだよォ！？			あのクリスタルは、いったい何なンだよォ！？			踊りたい、踊らなきゃ							
封印されたアルガスのエーテルを吐き出した聖石ドゥマが、その「容れ物」を満たすべく、バッガモナン氏に狙いを定めた……ということでしょう。			封印されたアルガスのエーテルを吐き出した聖石ドゥマが、その「容れ物」を満たすべく、バッガモナン氏に狙いを定めた……ということでしょう。			踊りたい、踊らなきゃ							
どういう意味だイ？？			どういう意味だイ？？			踊りたい、踊らなきゃ							
聖石と呼ばれるあのクリスタルは、常に誰かの、「特定」のエーテルを欲しがっているんです。ドゥマはバッガモナン氏の魂を食べようとしている……。			聖石と呼ばれるあのクリスタルは、常に誰かの、「特定」のエーテルを欲しがっているんです。ドゥマはバッガモナン氏の魂を食べようとしている……。			踊りたい、踊らなきゃ							
なんてこったイ……！			なんてこったイ……！			踊りたい、踊らなきゃ							
ひとつ教えてくれないか？バッガモナンの心の奥底に眠る願望ってヤツを……。おまえたちなら知っているのだろう？			ひとつ教えてくれないか？バッガモナンの心の奥底に眠る願望ってヤツを……。おまえたちなら知っているのだろう？			踊りたい、踊らなきゃ							
ほっときましょうよ、こんな連中！ラバナスタで父さんをひどい目に遭わせた盗賊ですよ！こんなトカゲなんてさっさと追い出すべきですよ！			ほっときましょうよ、こんな連中！ラバナスタで父さんをひどい目に遭わせた盗賊ですよ！こんなトカゲなんてさっさと追い出すべきですよ！			踊りたい、踊らなきゃ							
……バンガにトカゲは禁句クポ。			……バンガにトカゲは禁句クポ。			踊りたい、踊らなきゃ							
……昔のオレたちなら、侮辱には銃弾で返したモンだが、あの一件以来、誹られることを甘ンずるようになったのサ。			……昔のオレたちなら、侮辱には銃弾で返したモンだが、あの一件以来、誹られることを甘ンずるようになったのサ。			踊りたい、踊らなきゃ							
あの一件？			あの一件？			踊りたい、踊らなきゃ							
もう30年近く前の話になるカナ。オレたちがまだ若造だった頃の話サ。			もう30年近く前の話になるカナ。オレたちがまだ若造だった頃の話サ。			踊りたい、踊らなきゃ							
こう見えてもネ、アタイたちは、ダルマスカ王国の銃士隊に所属した銃士だったのヨ。だけど、ナルビナ城塞の陥落で……			こう見えてもネ、アタイたちは、ダルマスカ王国の銃士隊に所属した銃士だったのヨ。だけど、ナルビナ城塞の陥落で……			踊りたい、踊らなきゃ							
……第IV軍団が落とした難攻不落の城塞か。たしか、あの攻城戦での敗北が契機となって、ダルマスカ王国は滅亡への道を歩み始めたと記憶が。			……第IV軍団が落とした難攻不落の城塞か。たしか、あの攻城戦での敗北が契機となって、ダルマスカ王国は滅亡への道を歩み始めたと記憶が。			踊りたい、踊らなきゃ							
兄貴は銃士隊の隊長でな……。オレたちの小隊はナルビナの指揮官だったラスラ王子から、ひとつの任務を受けていた。			兄貴は銃士隊の隊長でな……。オレたちの小隊はナルビナの指揮官だったラスラ王子から、ひとつの任務を受けていた。			踊りたい、踊らなきゃ							
双子の妹であられるアーシェ王女を密かに城塞から逃がす、それがオレたちの任務だったンダ。だが、失敗した……。			双子の妹であられるアーシェ王女を密かに城塞から逃がす、それがオレたちの任務だったンダ。だが、失敗した……。			踊りたい、踊らなきゃ							
ガラムサイズ水路で王女様は亡くなる前にこう言ったンダ。オレたちに「生きてくれ」と……。			ガラムサイズ水路で王女様は亡くなる前にこう言ったンダ。オレたちに「生きてくれ」と……。			踊りたい、踊らなきゃ							
王を失い国を失ったとしても、民が生きているかぎり、ダルマスカの誇りは失われないとな。王女様は微笑みながら兄貴の腕の中で冷たくなったのサ。			王を失い国を失ったとしても、民が生きているかぎり、ダルマスカの誇りは失われないとな。王女様は微笑みながら兄貴の腕の中で冷たくなったのサ。			踊りたい、踊らなきゃ							
それ以来、兄貴もアタイたちもただのトカゲ。バンガの風上にも置けない、くそったれなトカゲなんだヨ。アハハハハハハハ。			それ以来、兄貴もアタイたちもただのトカゲ。バンガの風上にも置けない、くそったれなトカゲなんだヨ。アハハハハハハハ。			踊りたい、踊らなきゃ							
なるほど、バッガモナン氏の「切なる願い」とはすなわち、己の不甲斐なさを責め続ける自責の念と、祖国を滅亡に追いやった帝国に対する遺恨……ですね。			なるほど、バッガモナン氏の「切なる願い」とはすなわち、己の不甲斐なさを責め続ける自責の念と、祖国を滅亡に追いやった帝国に対する遺恨……ですね。			踊りたい、踊らなきゃ							
アルガス氏と差異があったとしても基本は同じ。聖石は似たエーテルを取り込もうとする傾向を持つという推測、やはり当たっているようですね。			アルガス氏と差異があったとしても基本は同じ。聖石は似たエーテルを取り込もうとする傾向を持つという推測、やはり当たっているようですね。			踊りたい、踊らなきゃ							
それはつまり……どういうことなンダ？			それはつまり……どういうことなンダ？			踊りたい、踊らなきゃ							
貴様たちも見ただろう？ラバナスタの深部……王都ルザリア遺跡に現れた、アルガスという名の異形の者を！			貴様たちも見ただろう？ラバナスタの深部……王都ルザリア遺跡に現れた、アルガスという名の異形の者を！			踊りたい、踊らなきゃ							
兄貴がああなっちまうってことカイ！？ふざけんな、テメェ！			兄貴がああなっちまうってことカイ！？ふざけんな、テメェ！			踊りたい、踊らなきゃ							
そうなる前に止めないと駄目だってことよ。もぅ、すぐにカッカするのはヤメテ～！			そうなる前に止めないと駄目だってことよ。もぅ、すぐにカッカするのはヤメテ～！			踊りたい、踊らなきゃ							
それで、バッガモナンさんがどこへ行ったのか、あなたたち、心当たりはないの？			それで、バッガモナンさんがどこへ行ったのか、あなたたち、心当たりはないの？			踊りたい、踊らなきゃ							
見てくれ、新たに書き込まれた文字が手帳に……！			見てくれ、新たに書き込まれた文字が手帳に……！			踊りたい、踊らなきゃ							
兄貴しか触ってネェからな、その手帳。書き込むとしたら兄貴に間違いネェゼ！			兄貴しか触ってネェからな、その手帳。書き込むとしたら兄貴に間違いネェゼ！			踊りたい、踊らなきゃ							
ダルマスカ語？　なんて書いてあるのよ？			ダルマスカ語？　なんて書いてあるのよ？			踊りたい、踊らなきゃ							
……リドルアナと書いてあるクポ。			……リドルアナと書いてあるクポ。			踊りたい、踊らなきゃ							
リドルアナ大灯台のことかい？なんだってあんなところへ？			リドルアナ大灯台のことかい？なんだってあんなところへ？			踊りたい、踊らなきゃ							
ラバナスタから遥か南、バルナード海の海上に、地獄へ続くと言われている巨大な穴「リドルアナ」があります。			ラバナスタから遥か南、バルナード海の海上に、地獄へ続くと言われている巨大な穴「リドルアナ」があります。			踊りたい、踊らなきゃ							
周囲の海水は巨大な瀑布となって穴に流れ込んでおり、その海水がどうなるのかは誰も知りません。			周囲の海水は巨大な瀑布となって穴に流れ込んでおり、その海水がどうなるのかは誰も知りません。			踊りたい、踊らなきゃ							
幾人もの勇気ある探検家が飛空艇を駆り、穴底を目指しましたが、瀑布が起こす乱気流と、落下する大量の海水の「圧」により、またたくまに墜落、帰還した者はひとりもいないそうです。			幾人もの勇気ある探検家が飛空艇を駆り、穴底を目指しましたが、瀑布が起こす乱気流と、落下する大量の海水の「圧」により、またたくまに墜落、帰還した者はひとりもいないそうです。			踊りたい、踊らなきゃ							
リドルアナ大灯台とはいったいどんな所なんでしょう？……って、貴女貴方に聞いても仕方ありませんよね。			リドルアナ大灯台とはいったいどんな所なんでしょう？……って、貴女貴方に聞いても仕方ありませんよね。			踊りたい、踊らなきゃ							
イヴァリースとリドルアナ大灯台にどんな関連性があるのか、正直なところ、私にはさっぱりだ。灯台へ向かう前にデュライ白書を調べてみようと思う。			イヴァリースとリドルアナ大灯台にどんな関連性があるのか、正直なところ、私にはさっぱりだ。灯台へ向かう前にデュライ白書を調べてみようと思う。			踊りたい、踊らなきゃ							
幸いにも彼らは私の手帳を返してくれたからね。ラムザと共に確認を進めてみるとしよう。			幸いにも彼らは私の手帳を返してくれたからね。ラムザと共に確認を進めてみるとしよう。			踊りたい、踊らなきゃ							
大道具部屋のジェノミス・レクセンテールは、ラムザを救出すべく考えを巡らせているようだ。			大道具部屋のジェノミス・レクセンテールは、ラムザを救出すべく考えを巡らせているようだ。			楽欲の僧院 オーボンヌ							
冒険者の過去視により、勇者ラムザとアルテマの因縁、そしてイヴァリース伝説の真実が明らかになった。「楽欲の僧院 オーボンヌ」を攻略し、聖天使アルテマを打ち破り、ラムザを救い出そう。 ※コンテンツファインダーから攻略に参加できます。			冒険者の過去視により、勇者ラムザとアルテマの因縁、そしてイヴァリース伝説の真実が明らかになった。「楽欲の僧院 オーボンヌ」を攻略し、聖天使アルテマを打ち破り、ラムザを救い出そう。 ※コンテンツファインダーから攻略に参加できます。			楽欲の僧院 オーボンヌ							
「楽欲の僧院 オーボンヌ」を攻略した。劇場艇プリマビスタの大道具部屋に戻ろう。			「楽欲の僧院 オーボンヌ」を攻略した。劇場艇プリマビスタの大道具部屋に戻ろう。			楽欲の僧院 オーボンヌ							
勇者ラムザは、冒険者に感謝の言葉を残し、光となって消えていった。大道具部屋の「ジェノミス・レクセンテール」と話そう。			勇者ラムザは、冒険者に感謝の言葉を残し、光となって消えていった。大道具部屋の「ジェノミス・レクセンテール」と話そう。			楽欲の僧院 オーボンヌ							
ジェノミスは、真の歴史を闇に葬った勇者ラムザと聖騎士ディリータの想いをくみ、真相を発表しないと宣言。そして、劇団マジェスティックは、新たな戯曲「真のゾディアックブレイブストーリー」上演に向け、稽古をはじめる。彼ら名もなき戦士の生きた証を、物語として後世へと残すために。クガネ・ランディング前の「リナ・ミュリラー」と話そう。			ジェノミスは、真の歴史を闇に葬った勇者ラムザと聖騎士ディリータの想いをくみ、真相を発表しないと宣言。そして、劇団マジェスティックは、新たな戯曲「真のゾディアックブレイブストーリー」上演に向け、稽古をはじめる。彼ら名もなき戦士の生きた証を、物語として後世へと残すために。クガネ・ランディング前の「リナ・ミュリラー」と話そう。			楽欲の僧院 オーボンヌ							
リナも独占取材が上手くいったことに満足そうだ。マジェスティックがクガネで公演を行う際には連絡をしてくれるそうだ。いつかの再会とラムザたちの晴れ舞台を未来への楽しみに、新たな冒険を続けていこう。			リナも独占取材が上手くいったことに満足そうだ。マジェスティックがクガネで公演を行う際には連絡をしてくれるそうだ。いつかの再会とラムザたちの晴れ舞台を未来への楽しみに、新たな冒険を続けていこう。			楽欲の僧院 オーボンヌ							
「楽欲の僧院 オーボンヌ」を攻略			「楽欲の僧院 オーボンヌ」を攻略			楽欲の僧院 オーボンヌ							
ジェノミス・レクセンテールと話す			ジェノミス・レクセンテールと話す			楽欲の僧院 オーボンヌ							
リナ・ミュリラーと話す			リナ・ミュリラーと話す			楽欲の僧院 オーボンヌ							
エエ？　そんなことがあったのカイ？オレも手助けするからサ、助けに行こうゼ！バッガモナン兄貴もそれを願ってるはずダ！			エエ？　そんなことがあったのカイ？オレも手助けするからサ、助けに行こうゼ！バッガモナン兄貴もそれを願ってるはずダ！			楽欲の僧院 オーボンヌ							
……そりゃ、ジェノミスとかいう髭のおっさんも心配だろうネェ。アタイの息子がそんなになったら、心配で心配で鱗が白くなり剥がれちまうヨ……ああ、嫌だネェ。			……そりゃ、ジェノミスとかいう髭のおっさんも心配だろうネェ。アタイの息子がそんなになったら、心配で心配で鱗が白くなり剥がれちまうヨ……ああ、嫌だネェ。			楽欲の僧院 オーボンヌ							
それにしても、まさかこんなことになろうとは……。とはいえ……なんとかラムザを救出する手立てを考えなければ。			それにしても、まさかこんなことになろうとは……。とはいえ……なんとかラムザを救出する手立てを考えなければ。			楽欲の僧院 オーボンヌ							
申し訳ございません……。私の設計が間違っていたのですね……。			申し訳ございません……。私の設計が間違っていたのですね……。			楽欲の僧院 オーボンヌ							
いや、少なくとも一度はアルマから「魔」を引き離したのだ。聖石オティスとやらを破壊することはできたのだから、貴殿はきっちりと仕事をこなしていたのだと思う……。			いや、少なくとも一度はアルマから「魔」を引き離したのだ。聖石オティスとやらを破壊することはできたのだから、貴殿はきっちりと仕事をこなしていたのだと思う……。			楽欲の僧院 オーボンヌ							
気になったのは、「魔」が語ったことだ。自らを召喚した者の末裔を憑代にすると……。ラムザ……貴殿ら親子の祖先があの「魔」を召喚……？			気になったのは、「魔」が語ったことだ。自らを召喚した者の末裔を憑代にすると……。ラムザ……貴殿ら親子の祖先があの「魔」を召喚……？			楽欲の僧院 オーボンヌ							
まさか！？　デュライ白書にそんな記述は存在しない！それどころか、そもそも聖天使アルテマは、イヴァリース時代の遙か昔から存在していたと記されている……。			まさか！？　デュライ白書にそんな記述は存在しない！それどころか、そもそも聖天使アルテマは、イヴァリース時代の遙か昔から存在していたと記されている……。			楽欲の僧院 オーボンヌ							
……とすると、あの「魔」を召喚した者とはいったい？			……とすると、あの「魔」を召喚した者とはいったい？			楽欲の僧院 オーボンヌ							
ああ！？			ああ！？			楽欲の僧院 オーボンヌ							
ネックレスが……クポ！？			ネックレスが……クポ！？			楽欲の僧院 オーボンヌ							
(-？？？？-)そんな……まさか……ラムザが死んだ……だと！？おまえは何を言ってるんだ、オーラン？嘘だと言ってくれ……？			(-？？？？-)そんな……まさか……ラムザが死んだ……だと！？おまえは何を言ってるんだ、オーラン？嘘だと言ってくれ……？			楽欲の僧院 オーボンヌ							
死んだのではありませぬ、ディリータ卿。肉体を捨て、エーテルとなって最後の願いを聖石に託したのです。			死んだのではありませぬ、ディリータ卿。肉体を捨て、エーテルとなって最後の願いを聖石に託したのです。			楽欲の僧院 オーボンヌ							
死んだのと同然ではないか！？　何故だ……？ようやく、このイヴァリースの戦乱が収まり平和になったのに。何故、ラムザが犠牲にならねばならんのだ……ッ！？			死んだのと同然ではないか！？　何故だ……？ようやく、このイヴァリースの戦乱が収まり平和になったのに。何故、ラムザが犠牲にならねばならんのだ……ッ！？			楽欲の僧院 オーボンヌ							
この国を平定した今、次に救わねばならないのは真の友・ラムザ！自分が今この立場にいられるのも、陰でラムザが暗躍する者どもを退治してくれたからだ！			この国を平定した今、次に救わねばならないのは真の友・ラムザ！自分が今この立場にいられるのも、陰でラムザが暗躍する者どもを退治してくれたからだ！			楽欲の僧院 オーボンヌ							
ラムザがいたからこそ、今の自分がいる……。常に助けられていたんだ……アイツに……。なのに……ッ！！			ラムザがいたからこそ、今の自分がいる……。常に助けられていたんだ……アイツに……。なのに……ッ！！			楽欲の僧院 オーボンヌ							
誰ぞ、誰ぞあれッ！！救出部隊を至急、編成するのだッ！！			誰ぞ、誰ぞあれッ！！救出部隊を至急、編成するのだッ！！			楽欲の僧院 オーボンヌ							
お待ちください、ディリータ卿！			お待ちください、ディリータ卿！			楽欲の僧院 オーボンヌ							
ゾディアックブレイブの始祖として名高い聖アジョラは、ハイデリンの堕天した使徒、ハイデリンを憎む者！			ゾディアックブレイブの始祖として名高い聖アジョラは、ハイデリンの堕天した使徒、ハイデリンを憎む者！			楽欲の僧院 オーボンヌ							
アジョラが召喚したあの禍々しき者を倒せるのはやはり「光の戦士」しかおりませぬ！			アジョラが召喚したあの禍々しき者を倒せるのはやはり「光の戦士」しかおりませぬ！			楽欲の僧院 オーボンヌ							
ですが、あの禍々しき者を、今の我々では倒すことはできませぬ！ハイデリンの使徒、光の戦士であるラムザですら敵わぬのですッ！			ですが、あの禍々しき者を、今の我々では倒すことはできませぬ！ハイデリンの使徒、光の戦士であるラムザですら敵わぬのですッ！			楽欲の僧院 オーボンヌ							
手をこまねいて、ここで、ただ見ていろと……。おまえはそう言うのかッ、オーラン！			手をこまねいて、ここで、ただ見ていろと……。おまえはそう言うのかッ、オーラン！			楽欲の僧院 オーボンヌ							
兄ラムザはこう申しておりました。「我を歴史から消せ」……と。			兄ラムザはこう申しておりました。「我を歴史から消せ」……と。			楽欲の僧院 オーボンヌ							
アルマ？　アルマ、きみは無事だったのか！……「歴史から消せ」？それはいったいどういう意味だ？			アルマ？　アルマ、きみは無事だったのか！……「歴史から消せ」？それはいったいどういう意味だ？			楽欲の僧院 オーボンヌ							
聖天使アルテマを討滅することのできなかった我々は、かつてのハイデリンの使徒がそうしたように奴を煉獄に封印した。そう……命をなげうって二重三重の封印を施した……。			聖天使アルテマを討滅することのできなかった我々は、かつてのハイデリンの使徒がそうしたように奴を煉獄に封印した。そう……命をなげうって二重三重の封印を施した……。			楽欲の僧院 オーボンヌ							
それがどういう意味なのか……ディリータ、おまえにだってわかるだろう？			それがどういう意味なのか……ディリータ、おまえにだってわかるだろう？			楽欲の僧院 オーボンヌ							
存在が残ってしまっては、再び、聖石を悪用しようとする者たちが、兄の足跡をたどり、いつかあの地へたどり着くだろうと……だからこそ、その存在を抹消して欲しいと。			存在が残ってしまっては、再び、聖石を悪用しようとする者たちが、兄の足跡をたどり、いつかあの地へたどり着くだろうと……だからこそ、その存在を抹消して欲しいと。			楽欲の僧院 オーボンヌ							
この言葉を貴方に伝えるため、私とオーランは……うしろ髪を引かれる思いで……ここに……ここに……。			この言葉を貴方に伝えるため、私とオーランは……うしろ髪を引かれる思いで……ここに……ここに……。			楽欲の僧院 オーボンヌ							
馬鹿な！　むしろラムザは英雄として讃えられるべきだ！再び「天騎士」としてこの国を共に支えるのはラムザしかいない！そうだろ？　アルマッ！　オーランッ！			馬鹿な！　むしろラムザは英雄として讃えられるべきだ！再び「天騎士」としてこの国を共に支えるのはラムザしかいない！そうだろ？　アルマッ！　オーランッ！			楽欲の僧院 オーボンヌ							
ラムザはもういない……いないんだ……。			ラムザはもういない……いないんだ……。			楽欲の僧院 オーボンヌ							
兄はハイデリンの使徒として……光の戦士として……次の使徒にその夢を託しました……。次世代の「力ある者」にすべてを託したのです……。			兄はハイデリンの使徒として……光の戦士として……次の使徒にその夢を託しました……。次世代の「力ある者」にすべてを託したのです……。			楽欲の僧院 オーボンヌ							
……王になれ、ディリータ。新たなイヴァリースの王になり、この地に永遠の平和を！			……王になれ、ディリータ。新たなイヴァリースの王になり、この地に永遠の平和を！			楽欲の僧院 オーボンヌ							
ま、待ってくれ……ラムザ……。オレにはおまえが必要だ！　行かないでくれ！…………頼むッ！			ま、待ってくれ……ラムザ……。オレにはおまえが必要だ！　行かないでくれ！…………頼むッ！			楽欲の僧院 オーボンヌ							
……あとは頼んだぞ。きみは「善き王」になれる！			……あとは頼んだぞ。きみは「善き王」になれる！			楽欲の僧院 オーボンヌ							
ラムザッ…………。			ラムザッ…………。			楽欲の僧院 オーボンヌ							
これでよいのだな。いつしか、この聖石がラムザのもとへ次世代の使徒を導く。			これでよいのだな。いつしか、この聖石がラムザのもとへ次世代の使徒を導く。			楽欲の僧院 オーボンヌ							
はい、彼の遺言どおりです、ディリータ卿。あとは…………。			はい、彼の遺言どおりです、ディリータ卿。あとは…………。			楽欲の僧院 オーボンヌ							
オーラン、オレは貴公まで失いたくはない。これは嘘偽りのない本心ぞ。思い直してはくれまいか……。			オーラン、オレは貴公まで失いたくはない。これは嘘偽りのない本心ぞ。思い直してはくれまいか……。			楽欲の僧院 オーボンヌ							
いけませぬ。法王庁と神殿騎士団はいずれこの私にたどり着くでしょう。後顧の憂いを絶たねばなりません。			いけませぬ。法王庁と神殿騎士団はいずれこの私にたどり着くでしょう。後顧の憂いを絶たねばなりません。			楽欲の僧院 オーボンヌ							
ここには私が目にした「真実」をしたためました。いつか、次世代の使徒の役に立つことでしょう。ですが、この書を今、愚者どもに委ねるわけにはいきません。			ここには私が目にした「真実」をしたためました。いつか、次世代の使徒の役に立つことでしょう。ですが、この書を今、愚者どもに委ねるわけにはいきません。			楽欲の僧院 オーボンヌ							
今ならばこの書は教会にとって、ただの「教会の不正を暴いた書」にしか見えないはずです。それ故、彼らはこの書を隠蔽し、自らの書庫に保管するはず……。			今ならばこの書は教会にとって、ただの「教会の不正を暴いた書」にしか見えないはずです。それ故、彼らはこの書を隠蔽し、自らの書庫に保管するはず……。			楽欲の僧院 オーボンヌ							
教会の書庫には何十万冊もの「禁書」が保管されています。ひとたび、そこに保管されたら、何人たりとも閲覧は不可能。世に出る時はすなわち、教会は尊厳を失い人心が離れた時……。			教会の書庫には何十万冊もの「禁書」が保管されています。ひとたび、そこに保管されたら、何人たりとも閲覧は不可能。世に出る時はすなわち、教会は尊厳を失い人心が離れた時……。			楽欲の僧院 オーボンヌ							
唯一残されたラムザに関する真実の書を、敵に預け、永遠に封印させるというのだな。だが、その代わり、オーラン……貴公は…………。			唯一残されたラムザに関する真実の書を、敵に預け、永遠に封印させるというのだな。だが、その代わり、オーラン……貴公は…………。			楽欲の僧院 オーボンヌ							
どうしたんです！？　大丈夫ですか？			どうしたんです！？　大丈夫ですか？			楽欲の僧院 オーボンヌ							
もしや……「超える力」が発動したのでは……？			もしや……「超える力」が発動したのでは……？			楽欲の僧院 オーボンヌ							
……なんということだ。我が祖先のオーラン・デュライと英雄王ディリータが、すべてを謀ったというのか……。			……なんということだ。我が祖先のオーラン・デュライと英雄王ディリータが、すべてを謀ったというのか……。			楽欲の僧院 オーボンヌ							
今の話が真実だとするならば、聖天使アルテマを召喚した者の末裔とは……			今の話が真実だとするならば、聖天使アルテマを召喚した者の末裔とは……			楽欲の僧院 オーボンヌ							
血脈ではなく、ハイデリンが認めた勇者……ということですか。なるほど、すべての辻褄は合いますね。			血脈ではなく、ハイデリンが認めた勇者……ということですか。なるほど、すべての辻褄は合いますね。			楽欲の僧院 オーボンヌ							
だとしたら、どうしてアルテマはラムザくんを？オティスに魅入られたアルマちゃんはわかるけど、どうしてラムザくんを？			だとしたら、どうしてアルテマはラムザくんを？オティスに魅入られたアルマちゃんはわかるけど、どうしてラムザくんを？			楽欲の僧院 オーボンヌ							
冒険者さんを……冒険者さんを呼び寄せる餌……。			冒険者さんを……冒険者さんを呼び寄せる餌……。			楽欲の僧院 オーボンヌ							
アルマちゃん、大丈夫！？			アルマちゃん、大丈夫！？			楽欲の僧院 オーボンヌ							
どうやら、私は浅はかだったようだ……。			どうやら、私は浅はかだったようだ……。			楽欲の僧院 オーボンヌ							
エオルゼア軍事同盟や東方連合の支援、そして東アルデナード商会の資金援助など駄目でもともと。それならそれでセカンドプランを実行すればよいだけのこと。			エオルゼア軍事同盟や東方連合の支援、そして東アルデナード商会の資金援助など駄目でもともと。それならそれでセカンドプランを実行すればよいだけのこと。			楽欲の僧院 オーボンヌ							
エオルゼア軍事同盟やドマの支援、そして東アルデナード商会の資金援助など駄目でもともと。それならそれでセカンドプランを実行すればよいだけのこと。			エオルゼア軍事同盟やドマの支援、そして東アルデナード商会の資金援助など駄目でもともと。それならそれでセカンドプランを実行すればよいだけのこと。			楽欲の僧院 オーボンヌ							
(-ブワジ-)あ、姐さん…………。			(-ブワジ-)あ、姐さん…………。			楽欲の僧院 オーボンヌ							
セカンドプラン……すなわち「聖石」を奪取し、ガレマール帝国との来るべき戦いに「兵器」として投入する。……フフ、我ながら甘すぎた計画のようだった。			セカンドプラン……すなわち「聖石」を奪取し、ガレマール帝国との来るべき戦いに「兵器」として投入する。……フフ、我ながら甘すぎた計画のようだった。			楽欲の僧院 オーボンヌ							
あ、貴女、そんなつもりで……！バッカじゃないのッ！！			あ、貴女、そんなつもりで……！バッカじゃないのッ！！			楽欲の僧院 オーボンヌ							
心は決まった。私が貴殿をオーボンヌ修道院へ……その深部へ案内しようぞ。			心は決まった。私が貴殿をオーボンヌ修道院へ……その深部へ案内しようぞ。			楽欲の僧院 オーボンヌ							
早とちりをしないで欲しい。私には、亡命ガレアン人の悲願なんぞ、どうでもよい。だが、こんな「危険」が彼の地にあるのだとしたら見過ごせん……。			早とちりをしないで欲しい。私には、亡命ガレアン人の悲願なんぞ、どうでもよい。だが、こんな「危険」が彼の地にあるのだとしたら見過ごせん……。			楽欲の僧院 オーボンヌ							
我が故郷・ゴルモア大密林のために……ひいてはダルマスカ王国のために……貴殿に課せられた使命が果たされるのを見届けようぞ。			我が故郷・ゴルモア大密林のために……ひいてはダルマスカ王国のために……貴殿に課せられた使命が果たされるのを見届けようぞ。			楽欲の僧院 オーボンヌ							
またもや、きみにすべてを委ねることになるとは……無力な自分を恥じるよ……。お願いだ、ラムザを……息子を助け出して欲しい……頼む……！			またもや、きみにすべてを委ねることになるとは……無力な自分を恥じるよ……。お願いだ、ラムザを……息子を助け出して欲しい……頼む……！			楽欲の僧院 オーボンヌ							
すみませんでした……すべては私のせいなんですね……。聖石に魅入られたのは父さんと兄さんだとばかり……。いつの間にか、私がそうなっていただなんて……。			すみませんでした……すべては私のせいなんですね……。聖石に魅入られたのは父さんと兄さんだとばかり……。いつの間にか、私がそうなっていただなんて……。			楽欲の僧院 オーボンヌ							
違いますよ、アルマさん。以前、ご説明したとおり、聖石に興味を持つのと、聖石自体が操るのとは別なんです！			違いますよ、アルマさん。以前、ご説明したとおり、聖石に興味を持つのと、聖石自体が操るのとは別なんです！			楽欲の僧院 オーボンヌ							
貴女の責任じゃないんです……。気にするのはもうやめにしましょう。			貴女の責任じゃないんです……。気にするのはもうやめにしましょう。			楽欲の僧院 オーボンヌ							
はい、それでも、兄さんは私を助けるために……。			はい、それでも、兄さんは私を助けるために……。			楽欲の僧院 オーボンヌ							
お願いです、兄さんを……兄さんを必ず助け出してください！これ以上、家族を失うのは嫌……！もう……誰かが死ぬのを見るのは嫌なんです……。			お願いです、兄さんを……兄さんを必ず助け出してください！これ以上、家族を失うのは嫌……！もう……誰かが死ぬのを見るのは嫌なんです……。			楽欲の僧院 オーボンヌ							
大丈夫クポッ！！			大丈夫クポッ！！			楽欲の僧院 オーボンヌ							
ありがとうございます……。助けてくださったんですね……。			ありがとうございます……。助けてくださったんですね……。			楽欲の僧院 オーボンヌ							
ありがとう、ハイデリンの使徒にして、我が兄弟よ……。よくぞ、我々の悲願を果たしてくれた。心から感謝する……。			ありがとう、ハイデリンの使徒にして、我が兄弟よ……。よくぞ、我々の悲願を果たしてくれた。心から感謝する……。			楽欲の僧院 オーボンヌ							
我がベオルブ家とデュライ家の血を受け継ぐ者よ……。聖石ヴァルゴに込めし我が望みを受け止めてくれて、本当にありがとう……皆が感謝している。			我がベオルブ家とデュライ家の血を受け継ぐ者よ……。聖石ヴァルゴに込めし我が望みを受け止めてくれて、本当にありがとう……皆が感謝している。			楽欲の僧院 オーボンヌ							
諦めずに夢を託した甲斐があったな……			諦めずに夢を託した甲斐があったな……			楽欲の僧院 オーボンヌ							
さぁ、みんな、行こうか。今こそ、ハイデリンのもとへ……母なるエーテルの海へ還るとしよう…………。			さぁ、みんな、行こうか。今こそ、ハイデリンのもとへ……母なるエーテルの海へ還るとしよう…………。			楽欲の僧院 オーボンヌ							
さらばだ、我が末裔よ、そして、我が同胞よ……！			さらばだ、我が末裔よ、そして、我が同胞よ……！			楽欲の僧院 オーボンヌ							
ディリータ、迎えに来てくれたのか……嬉しいよ。			ディリータ、迎えに来てくれたのか……嬉しいよ。			楽欲の僧院 オーボンヌ							
