ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			アポサカリーの調達役							
もしや、あなたが……？			もしや、あなたが……？			海山川を乗り越えて							
俺の姓、ガーイェウェスフは雲を示す号。里のために世界を流浪する、まさしく雲というわけだ。			俺の姓、ガーイェウェスフは雲を示す号。里のために世界を流浪する、まさしく雲というわけだ。			海山川を乗り越えて							
なら、シャトナ族について知りたいというのも……。			なら、シャトナ族について知りたいというのも……。			海山川を乗り越えて							
ああ、その暮らしぶりから、何か里に有益な学びが得られないかと思ってな。			ああ、その暮らしぶりから、何か里に有益な学びが得られないかと思ってな。			海山川を乗り越えて							
聞くところによれば、シャトナ族とヴィエラ族の生物的な特徴は等しい。多くの他種族より長命で、男女比に大きな偏りがある……。			聞くところによれば、シャトナ族とヴィエラ族の生物的な特徴は等しい。多くの他種族より長命で、男女比に大きな偏りがある……。			海山川を乗り越えて							
そういう者同士だからこそ、知りたいんだ。お前たちがこの大陸で、どんな風に生きてきたのかを。			そういう者同士だからこそ、知りたいんだ。お前たちがこの大陸で、どんな風に生きてきたのかを。			海山川を乗り越えて							
っと……俺の話ばかり、長々と悪かったな。地図も助かった、ありがとう。			っと……俺の話ばかり、長々と悪かったな。地図も助かった、ありがとう。			海山川を乗り越えて							
何と言う？			何と言う？			海山川を乗り越えて							
里を大事にしてるのが伝わってきた			里を大事にしてるのが伝わってきた			海山川を乗り越えて							
大変そうな役目だ……			大変そうな役目だ……			海山川を乗り越えて							
里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			海山川を乗り越えて							
確かに楽ではないが……里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			確かに楽ではないが……里のみんなは、俺にとって家族そのものだからな。あいつらのためなら、どんな困難だって乗り越えられる。			海山川を乗り越えて							
家族…………。			家族…………。			海山川を乗り越えて							
ああ、いえ……貴重なお話ありがとうございました。			ああ、いえ……貴重なお話ありがとうございました。			海山川を乗り越えて							
Forename、よければまた、手の空いたときにでも手伝いにきてくださいね。			Forename、よければまた、手の空いたときにでも手伝いにきてくださいね。			海山川を乗り越えて							
シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「夏の輝きのような職人」と感じているようです！			シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「夏の輝きのような職人」と感じているようです！			海山川を乗り越えて							
「園芸師／採掘師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			「園芸師／採掘師」のいずれかがレベル95以上になると、ワチュメキメキ万貨街の「シューニェ」から、次のクエストが受注可能です。			海山川を乗り越えて							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			海山川を乗り越えて							
ワチュメキメキ万貨街のシューニェは、順調に商いを続けているようだ。			ワチュメキメキ万貨街のシューニェは、順調に商いを続けているようだ。			自ずから然らしむ							
シューニェから、ワポタに頼まれた商品の調達を依頼された。「都市家屋の浄化用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「都市家屋の浄化用品」は、採掘師の場合シャーローニ荒野のウィダヨーナン台地付近で、園芸師の場合シャーローニ荒野のフーサタイ宿場町付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			シューニェから、ワポタに頼まれた商品の調達を依頼された。「都市家屋の浄化用品」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「都市家屋の浄化用品」は、採掘師の場合シャーローニ荒野のウィダヨーナン台地付近で、園芸師の場合シャーローニ荒野のフーサタイ宿場町付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			自ずから然らしむ							
シューニェに都市家屋の浄化用品を納品した。シャトナ族は古くから自然とともに暮らすことを良しとしており、都市部で暮らす者が増えた今も、その結びつきを大切にしているようだ。叱られるのを避けたがっているシューニェに代わり、ワポタに集めた品を届けに行こう。			シューニェに都市家屋の浄化用品を納品した。シャトナ族は古くから自然とともに暮らすことを良しとしており、都市部で暮らす者が増えた今も、その結びつきを大切にしているようだ。叱られるのを避けたがっているシューニェに代わり、ワポタに集めた品を届けに行こう。			自ずから然らしむ							
ウィダヨーナン台地付近で採集した都市家屋の浄化用品をシューニェに納品フーサタイ宿場町付近で採集した都市家屋の浄化用品をシューニェに納品採掘師または園芸師になり都市家屋の浄化用品をシューニェに納品			ウィダヨーナン台地付近で採集した都市家屋の浄化用品をシューニェに納品フーサタイ宿場町付近で採集した都市家屋の浄化用品をシューニェに納品採掘師または園芸師になり都市家屋の浄化用品をシューニェに納品			自ずから然らしむ							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			自ずから然らしむ							
里に危険を及ぼしかねない情報を掴んだときには、すぐに帰郷している。そうでない限りは、おおよそ2年に一度だな。			里に危険を及ぼしかねない情報を掴んだときには、すぐに帰郷している。そうでない限りは、おおよそ2年に一度だな。			自ずから然らしむ							
なにせ陸路も空路も、転送網だって整備されていない土地だ。頻繁に戻っていては、学ぶことに時間や労力を割けない……何より、旅費がかかりすぎる。			なにせ陸路も空路も、転送網だって整備されていない土地だ。頻繁に戻っていては、学ぶことに時間や労力を割けない……何より、旅費がかかりすぎる。			自ずから然らしむ							
ああ、いらっしゃい。また様子を見にきてくれたんですねぇ。			ああ、いらっしゃい。また様子を見にきてくれたんですねぇ。			自ずから然らしむ							
頼まれていた作業は終わったぞ。Forenameに何か依頼するなら、俺も手伝おう。			頼まれていた作業は終わったぞ。Forenameに何か依頼するなら、俺も手伝おう。			自ずから然らしむ							
店主としては、ありがたい申し出ですが……いい加減、休憩をとることも覚えてください。体力が無数(メキメキ)なんですか？			店主としては、ありがたい申し出ですが……いい加減、休憩をとることも覚えてください。体力が無数(メキメキ)なんですか？			自ずから然らしむ							
師匠たちに鍛えられてきたからな。旅を続けるのにも体力がいるし、やわな造りはしていない。			師匠たちに鍛えられてきたからな。旅を続けるのにも体力がいるし、やわな造りはしていない。			自ずから然らしむ							
頼もしいことで……。まあ、旅をしていれば体力がつくというのは、身に覚えのある話ですがねぇ。			頼もしいことで……。まあ、旅をしていれば体力がつくというのは、身に覚えのある話ですがねぇ。			自ずから然らしむ							
そうなのか？確かお前は、街からあまり出ないと……			そうなのか？確かお前は、街からあまり出ないと……			自ずから然らしむ							
(-？？？？-)あら、珍しく先客がいるわね。出直したほうがいいかしら？			(-？？？？-)あら、珍しく先客がいるわね。出直したほうがいいかしら？			自ずから然らしむ							
いらっしゃい、ワポタ。大丈夫ですよ、彼らはうちの従業員ですから。			いらっしゃい、ワポタ。大丈夫ですよ、彼らはうちの従業員ですから。			自ずから然らしむ							
なんですって……？あなた、新しい子を雇ったの？			なんですって……？あなた、新しい子を雇ったの？			自ずから然らしむ							
信じられない……！あの調達役が引退したら、いよいよ店じまいだと思ったのに！			信じられない……！あの調達役が引退したら、いよいよ店じまいだと思ったのに！			自ずから然らしむ							
シューニェ、あれからもうずいぶん月日が経ったわ。いったいいつまで、こうして街に引きこもっているつもり？			シューニェ、あれからもうずいぶん月日が経ったわ。いったいいつまで、こうして街に引きこもっているつもり？			自ずから然らしむ							
……それで、ご注文は？買い足すものがあったから、ここへ寄ったんでしょう？			……それで、ご注文は？買い足すものがあったから、ここへ寄ったんでしょう？			自ずから然らしむ							
はぁ…………。			はぁ…………。			自ずから然らしむ							
いつもの……家の浄化に使う品が切れそうなの。あとで、うちまで届けてちょうだい。			いつもの……家の浄化に使う品が切れそうなの。あとで、うちまで届けてちょうだい。			自ずから然らしむ							
……今のはワポタ、母親は違いますが私の姉にあたります。			……今のはワポタ、母親は違いますが私の姉にあたります。			自ずから然らしむ							
あなたたちヴィエラ族は、シャトナ族と同じ特徴を持っているんでしょう？なら、そちらにとっても珍しい話ではないはずですよ。			あなたたちヴィエラ族は、シャトナ族と同じ特徴を持っているんでしょう？なら、そちらにとっても珍しい話ではないはずですよ。			自ずから然らしむ							
シャトナ族にとっては……恐らく、ヴィエラ族にとっても珍しいことじゃありませんよ。			シャトナ族にとっては……恐らく、ヴィエラ族にとっても珍しいことじゃありませんよ。			自ずから然らしむ							
私たちは成長の過程で性別が明らかになりますが、その大半が女性となる。男性の数が、圧倒的に少ないんです。			私たちは成長の過程で性別が明らかになりますが、その大半が女性となる。男性の数が、圧倒的に少ないんです。			自ずから然らしむ							
都合、ほかの部族と違って、一対一で婚姻関係を結ぶという風習がない。異母兄弟はもちろん、異父兄弟もありふれている……。			都合、ほかの部族と違って、一対一で婚姻関係を結ぶという風習がない。異母兄弟はもちろん、異父兄弟もありふれている……。			自ずから然らしむ							
まあ、ワポタが私の何であれ、お客様には変わりありません。粛々と商いを進めましょうか。			まあ、ワポタが私の何であれ、お客様には変わりありません。粛々と商いを進めましょうか。			自ずから然らしむ							
ご所望の品は「都市家屋の浄化用品」でしたね。彼女にとっては、サカ・セージと、ニーケレピ川の清水がそれにあたります。			ご所望の品は「都市家屋の浄化用品」でしたね。彼女にとっては、サカ・セージと、ニーケレピ川の清水がそれにあたります。			自ずから然らしむ							
どちらもちょうど在庫が切れているので、シャーローニ荒野まで、採りにいってもらえますか？			どちらもちょうど在庫が切れているので、シャーローニ荒野まで、採りにいってもらえますか？			自ずから然らしむ							
俺も行こう。お前がやりにくい方を調達してくる。			俺も行こう。お前がやりにくい方を調達してくる。			自ずから然らしむ							
ワポタのことですみません……いろいろと……。シャーローニ荒野で「都市家屋の浄化用品」の調達、よろしくお願いします。			ワポタのことですみません……いろいろと……。シャーローニ荒野で「都市家屋の浄化用品」の調達、よろしくお願いします。			自ずから然らしむ							
ご苦労様です。ウヴロが帰ってきたら、彼の分と合わせて、ワポタに納品するものを確認しましょう。			ご苦労様です。ウヴロが帰ってきたら、彼の分と合わせて、ワポタに納品するものを確認しましょう。			自ずから然らしむ							
ああ、これは……。とても丁寧な仕事をしてくれたのだと、一目でわかります。			ああ、これは……。とても丁寧な仕事をしてくれたのだと、一目でわかります。			自ずから然らしむ							
ウヴロもじきに戻ってくるでしょうから、そのあとに改めて確認をさせてもらいますが……ひとまずこの素晴らしい成果に、お礼を言わせてください。			ウヴロもじきに戻ってくるでしょうから、そのあとに改めて確認をさせてもらいますが……ひとまずこの素晴らしい成果に、お礼を言わせてください。			自ずから然らしむ							
持ってきてもらったもので、質も量も申し分ありません。ふたりとも、ありがとうございました。			持ってきてもらったもので、質も量も申し分ありません。ふたりとも、ありがとうございました。			自ずから然らしむ							
しかし、家の浄化とはどういうことだ？それを使って虫を除けたり、掃除をしたりするのか……？			しかし、家の浄化とはどういうことだ？それを使って虫を除けたり、掃除をしたりするのか……？			自ずから然らしむ							
ふふ、そういう面もなくはないですが……もっと根本的な、シャトナ族の生き方に紐づいた文化ですよ。			ふふ、そういう面もなくはないですが……もっと根本的な、シャトナ族の生き方に紐づいた文化ですよ。			自ずから然らしむ							
シャトナ族は古くから、自然とともに生きることを、何より尊んできました。			シャトナ族は古くから、自然とともに生きることを、何より尊んできました。			自ずから然らしむ							
私たちは、生命の息吹を……とても大きな力の巡りを感じ取っているんです。大地や海、川や森、雨や風に太陽、そして種々の動物たちにも。			私たちは、生命の息吹を……とても大きな力の巡りを感じ取っているんです。大地や海、川や森、雨や風に太陽、そして種々の動物たちにも。			自ずから然らしむ							
それらと触れ合い、恵みを少しわけてもらうことで、自身も、その巡りの一部になれると考えられています。			それらと触れ合い、恵みを少しわけてもらうことで、自身も、その巡りの一部になれると考えられています。			自ずから然らしむ							
なので、暮らす場所も、できるだけ「あるがまま」が良しとされる。			なので、暮らす場所も、できるだけ「あるがまま」が良しとされる。			自ずから然らしむ							
開拓は最低限にして、洞窟に住んだり、ほかの部族が放棄した廃村なんかを再利用したりして、各地に小集落を作ってきたわけですねぇ。			開拓は最低限にして、洞窟に住んだり、ほかの部族が放棄した廃村なんかを再利用したりして、各地に小集落を作ってきたわけですねぇ。			自ずから然らしむ							
……もっとも、グルージャジャ様によって統一が果たされてからは、異部族との交流が盛んになって、価値観も多様化しています。			……もっとも、グルージャジャ様によって統一が果たされてからは、異部族との交流が盛んになって、価値観も多様化しています。			自ずから然らしむ							
都市部に住むことを忌避しなくなってきたし、そういった「時代の流れ」を受け入れることこそ、自然であると考える者もいる……。			都市部に住むことを忌避しなくなってきたし、そういった「時代の流れ」を受け入れることこそ、自然であると考える者もいる……。			自ずから然らしむ							
それでも、街の中……とくに屋内にいると、無性に息苦しさを感じるという人が、まだ少なからず存在しているんです。			それでも、街の中……とくに屋内にいると、無性に息苦しさを感じるという人が、まだ少なからず存在しているんです。			自ずから然らしむ							
なるほど……。だから家の中に自然の恵みを持ち込むんだな。大きな力の巡りから、取り残されてしまわないように。			なるほど……。だから家の中に自然の恵みを持ち込むんだな。大きな力の巡りから、取り残されてしまわないように。			自ずから然らしむ							
ご明察です。サカ・セージはシャーローニ荒野周辺に原生する植物で、人と大いなる力を強く結びつけ、清浄にするとされています。			ご明察です。サカ・セージはシャーローニ荒野周辺に原生する植物で、人と大いなる力を強く結びつけ、清浄にするとされています。			自ずから然らしむ							
一方でニーケレピ川は、トーリ湖をはじめ、複数の湖に流れ込む重要な河川です。その水は、生活に取り入れてきた恵みの代表と言えるでしょう。			一方でニーケレピ川は、トーリ湖をはじめ、複数の湖に流れ込む重要な河川です。その水は、生活に取り入れてきた恵みの代表と言えるでしょう。			自ずから然らしむ							
……ワポタは、長らくあの川の近くで暮らしていましたから。			……ワポタは、長らくあの川の近くで暮らしていましたから。			自ずから然らしむ							
子どもたちが独立したのを機にトライヨラに移ってきて、今は新たな家族と暮らしていますが……彼女にとっては何よりあれらが、自然との繋がりなんでしょう。			子どもたちが独立したのを機にトライヨラに移ってきて、今は新たな家族と暮らしていますが……彼女にとっては何よりあれらが、自然との繋がりなんでしょう。			自ずから然らしむ							
というわけで、おふたりが調達してくれた品を、ワポタの家に届けてあげなければ！			というわけで、おふたりが調達してくれた品を、ワポタの家に届けてあげなければ！			自ずから然らしむ							
ですが……私が行くと、また小言を言われそうですからねぇ。Forename、お駄賃は出しますので、お任せしてもいいですか？			ですが……私が行くと、また小言を言われそうですからねぇ。Forename、お駄賃は出しますので、お任せしてもいいですか？			自ずから然らしむ							
シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「秋の実りのような職人」と感じているようです！			シューニェズ・アポサカリーの貢献ランクが上昇しました！シューニェはあなたの事を、「秋の実りのような職人」と感じているようです！			自ずから然らしむ							
また、「シューニェ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「シューニェ」から受注可能な、万貨街取引のストーリークエストが発行されました！			自ずから然らしむ							
ワチュメキメキ万貨街のシューニェは、冒険者に届け物を頼もうとしている。			ワチュメキメキ万貨街のシューニェは、冒険者に届け物を頼もうとしている。			大きな巡りと、小さな人と							
シューニェから、ワポタに届ける商品を預かった。トライヨラの翼鏡の街にいる「ワポタ」に「ワポタ宛ての小包」を渡そう。			シューニェから、ワポタに届ける商品を預かった。トライヨラの翼鏡の街にいる「ワポタ」に「ワポタ宛ての小包」を渡そう。			大きな巡りと、小さな人と							
ワポタに商品を届けることができた。「アポサカリーの稀少商品」を採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーの稀少商品」は、採掘師の場合オルコ・パチャの涙浮かぶ星池付近で、園芸師の場合オルコ・パチャのラァー・トートーで採集できる。			ワポタに商品を届けることができた。「アポサカリーの稀少商品」を採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「アポサカリーの稀少商品」は、採掘師の場合オルコ・パチャの涙浮かぶ星池付近で、園芸師の場合オルコ・パチャのラァー・トートーで採集できる。			大きな巡りと、小さな人と							
頼まれた品をシューニェに渡し、ウヴロの誤解も解けた。シューニェは、50年前に家族を奪った事故の原因を、隕石だと推測しているらしい。しかし今日にいたるまで、それを断定する証拠が見つかっていないようだ……。憂いを浮かべるシューニェの様子を、また見にこよう。			頼まれた品をシューニェに渡し、ウヴロの誤解も解けた。シューニェは、50年前に家族を奪った事故の原因を、隕石だと推測しているらしい。しかし今日にいたるまで、それを断定する証拠が見つかっていないようだ……。憂いを浮かべるシューニェの様子を、また見にこよう。			大きな巡りと、小さな人と							
ワポタにワポタ宛ての小包を渡す			ワポタにワポタ宛ての小包を渡す			大きな巡りと、小さな人と							
涙浮かぶ星池付近でアポサカリーの稀少商品を採集ワチュメキメキ万貨街のシューニェにアポサカリーの稀少商品を納品ラァー・トートーでアポサカリーの稀少商品を採集採掘師または園芸師になりアポサカリーの稀少商品を採集採掘師または園芸師になりワチュメキメキ万貨街のシューニェにアポサカリーの稀少商品を納品			涙浮かぶ星池付近でアポサカリーの稀少商品を採集ワチュメキメキ万貨街のシューニェにアポサカリーの稀少商品を納品ラァー・トートーでアポサカリーの稀少商品を採集採掘師または園芸師になりアポサカリーの稀少商品を採集採掘師または園芸師になりワチュメキメキ万貨街のシューニェにアポサカリーの稀少商品を納品			大きな巡りと、小さな人と							
…………。			…………。			大きな巡りと、小さな人と							
ワポタに届ける商品をまとめました。こちらをお持ちください。			ワポタに届ける商品をまとめました。こちらをお持ちください。			大きな巡りと、小さな人と							
彼女は「翼鏡の街」……この街の居住区で暮らしています。地図に印もつけておきますので。			彼女は「翼鏡の街」……この街の居住区で暮らしています。地図に印もつけておきますので。			大きな巡りと、小さな人と							
シューニェ、休憩を取るべきだというなら、Forenameと一緒に行ってきていいか？邪魔にはならないようにする。			シューニェ、休憩を取るべきだというなら、Forenameと一緒に行ってきていいか？邪魔にはならないようにする。			大きな巡りと、小さな人と							
それは休憩にならない気がしますが……まあいいでしょう。ふたりで配達、頼みましたよ。			それは休憩にならない気がしますが……まあいいでしょう。ふたりで配達、頼みましたよ。			大きな巡りと、小さな人と							
急に悪いな。では、ワポタのもとへ向かおう。			急に悪いな。では、ワポタのもとへ向かおう。			大きな巡りと、小さな人と							
先ほどのワポタは怒っていましたが、普段の彼女は、朗らかで情に厚い人なんです。あなたたちのことも、悪いようには扱わないと思いますよ。			先ほどのワポタは怒っていましたが、普段の彼女は、朗らかで情に厚い人なんです。あなたたちのことも、悪いようには扱わないと思いますよ。			大きな巡りと、小さな人と							
ワポタを見つけたぞ。ひとまず商品を渡してしまおう。			ワポタを見つけたぞ。ひとまず商品を渡してしまおう。			大きな巡りと、小さな人と							
あなたたち……シューニェの店の、新しい従業員ね。もしかして、あの子にお使いを頼まれたのかしら？			あなたたち……シューニェの店の、新しい従業員ね。もしかして、あの子にお使いを頼まれたのかしら？			大きな巡りと、小さな人と							
……確かに、私が頼んだもので間違いないわ。			……確かに、私が頼んだもので間違いないわ。			大きな巡りと、小さな人と							
でも、これほど新鮮な状態のものは初めて。あなたたち、腕がいいのね。			でも、これほど新鮮な状態のものは初めて。あなたたち、腕がいいのね。			大きな巡りと、小さな人と							
ごめんなさい。さっきの態度は失礼だったって、自分でも反省してるわ。			ごめんなさい。さっきの態度は失礼だったって、自分でも反省してるわ。			大きな巡りと、小さな人と							
シューニェには、あとでお代を持っていきがてら謝っておく。……あの子のこと、これからも支えてやってね。			シューニェには、あとでお代を持っていきがてら謝っておく。……あの子のこと、これからも支えてやってね。			大きな巡りと、小さな人と							
あなたは、シューニェが店を畳むことを望んでいるようだった。いつまで街に引きこもっているつもりだ、とも言っていた。			あなたは、シューニェが店を畳むことを望んでいるようだった。いつまで街に引きこもっているつもりだ、とも言っていた。			大きな巡りと、小さな人と							
あれはどういう意味だったんだ？最近は、都市で暮らすシャトナ族も珍しくないと聞いたが……。			あれはどういう意味だったんだ？最近は、都市で暮らすシャトナ族も珍しくないと聞いたが……。			大きな巡りと、小さな人と							
そっか……どうも雰囲気が違うとは思ったけれど、あなた、シャトナ族ではないのね。			そっか……どうも雰囲気が違うとは思ったけれど、あなた、シャトナ族ではないのね。			大きな巡りと、小さな人と							
ああ、ふたりとも外から来た人ってわけ。			ああ、ふたりとも外から来た人ってわけ。			大きな巡りと、小さな人と							
シャトナ族は自然とともに生きることを尊び、その恵みが得やすい場所に、数名でまとまって暮らすわ。いわば、小集落ね。			シャトナ族は自然とともに生きることを尊び、その恵みが得やすい場所に、数名でまとまって暮らすわ。いわば、小集落ね。			大きな巡りと、小さな人と							
それを形成するのは女たち。一方で男たちは、集落から集落へと旅をするものなのよ。繋がりの培(つちか)い手としてね。			それを形成するのは女たち。一方で男たちは、集落から集落へと旅をするものなのよ。繋がりの培(つちか)い手としてね。			大きな巡りと、小さな人と							
私たちは親子関係を中心として「家族」をつくる……新たな子が生まれることで、その母親と父親も家族になったと考えるの。			私たちは親子関係を中心として「家族」をつくる……新たな子が生まれることで、その母親と父親も家族になったと考えるの。			大きな巡りと、小さな人と							
母親と子どもは、独立するまで一緒に暮らすわ。父親は旅を続けつつ、季節の廻りにあわせて、各地の家族のもとに顔を出す……。			母親と子どもは、独立するまで一緒に暮らすわ。父親は旅を続けつつ、季節の廻りにあわせて、各地の家族のもとに顔を出す……。			大きな巡りと、小さな人と							
大抵は「何、あんた来たの？」くらいの扱いだけどね、しばらく一緒に過ごしてやるのよ。			大抵は「何、あんた来たの？」くらいの扱いだけどね、しばらく一緒に過ごしてやるのよ。			大きな巡りと、小さな人と							
その間は、うんと話すわ。近況を伝えたり、ほかの土地の事情を聞いたり……いろいろ。			その間は、うんと話すわ。近況を伝えたり、ほかの土地の事情を聞いたり……いろいろ。			大きな巡りと、小さな人と							
シャトナ族は決まった本拠を持たないけれど、そうやって、まるでひとつの樹のように繋がってるってわけ。			シャトナ族は決まった本拠を持たないけれど、そうやって、まるでひとつの樹のように繋がってるってわけ。			大きな巡りと、小さな人と							
なるほど……。俺たちとは違ったやり方で、あなたたちもこの性質と向き合ってきたんだな。			なるほど……。俺たちとは違ったやり方で、あなたたちもこの性質と向き合ってきたんだな。			大きな巡りと、小さな人と							
とすると、シューニェも……？			とすると、シューニェも……？			大きな巡りと、小さな人と							
……あの子もかつては旅人だった。そして、北方の山岳地帯にある小さな集落で、初めて家族を持ったのよ。			……あの子もかつては旅人だった。そして、北方の山岳地帯にある小さな集落で、初めて家族を持ったのよ。			大きな巡りと、小さな人と							
けれど、ちょうどあの子が離れている時期に、集落は突如として壊滅……住民全員が亡くなった。			けれど、ちょうどあの子が離れている時期に、集落は突如として壊滅……住民全員が亡くなった。			大きな巡りと、小さな人と							
生存者がいないから、何が起きたのかはわからない。ただ、集落があったはずの土地は大きく抉れ、焼け焦げ、それは酷い有様だったそうよ……。			生存者がいないから、何が起きたのかはわからない。ただ、集落があったはずの土地は大きく抉れ、焼け焦げ、それは酷い有様だったそうよ……。			大きな巡りと、小さな人と							
以来、シューニェは旅をやめてしまった。事件から50年経った今も……独りでこの街に留まったままだわ。			以来、シューニェは旅をやめてしまった。事件から50年経った今も……独りでこの街に留まったままだわ。			大きな巡りと、小さな人と							
ごじゅう、ねん…………？			ごじゅう、ねん…………？			大きな巡りと、小さな人と							
待ってくれ……シューニェは、今いくつだ……？			待ってくれ……シューニェは、今いくつだ……？			大きな巡りと、小さな人と							
あの子はトライヨラが建国した直後に生まれたから……そろそろ80歳ってところじゃないかしら？			あの子はトライヨラが建国した直後に生まれたから……そろそろ80歳ってところじゃないかしら？			大きな巡りと、小さな人と							
やってしまった……！兄さんたちと違って圧がないから、てっきり同い年くらいかと……。			やってしまった……！兄さんたちと違って圧がないから、てっきり同い年くらいかと……。			大きな巡りと、小さな人と							
俺は年長者になんて失礼な態度を……そのうえ、許可もなくこんな、過去を探るような真似をして……			俺は年長者になんて失礼な態度を……そのうえ、許可もなくこんな、過去を探るような真似をして……			大きな巡りと、小さな人と							
吊るされる……謝罪をしなければ……吊るされる……ッ！			吊るされる……謝罪をしなければ……吊るされる……ッ！			大きな巡りと、小さな人と							
何と言う？			何と言う？			大きな巡りと、小さな人と							
とりあえず落ち着け			とりあえず落ち着け			大きな巡りと、小さな人と							
ウヴロは何歳？			ウヴロは何歳？			大きな巡りと、小さな人と							
落ち着けるものか、死活問題だッ！			落ち着けるものか、死活問題だッ！			大きな巡りと、小さな人と							
さんじゅうにさいだ、勘弁してくれ……！			さんじゅうにさいだ、勘弁してくれ……！			大きな巡りと、小さな人と							
お前だって、ヴィエラ族の男だろう！？ならわかるはずだ……師匠と兄弟子たちには逆らえない……年上への敬意を失すれば……死ぬ！			お前だって、ヴィエラ族の男だろう！？ならわかるはずだ……師匠と兄弟子たちには逆らえない……年上への敬意を失すれば……死ぬ！			大きな巡りと、小さな人と							
お前だって、知らないことはないだろう！？ヴィエラ族の男は、師匠と兄弟子たちに逆らえない……年上への敬意を失すれば……死ぬ！			お前だって、知らないことはないだろう！？ヴィエラ族の男は、師匠と兄弟子たちに逆らえない……年上への敬意を失すれば……死ぬ！			大きな巡りと、小さな人と							
お前には縁のない話だろうが、ヴィエラ族の男は、師匠と兄弟子たちに逆らえない……年上への敬意を失すれば……死ぬ！			お前には縁のない話だろうが、ヴィエラ族の男は、師匠と兄弟子たちに逆らえない……年上への敬意を失すれば……死ぬ！			大きな巡りと、小さな人と							
シューニェに誠意を見せなければ……！彼の好物など、教えてはもらえないだろうか！？			シューニェに誠意を見せなければ……！彼の好物など、教えてはもらえないだろうか！？			大きな巡りと、小さな人と							
あ、あの子は気にしないと思うけど……どうしてもって言うなら、店で売れるものを渡した方が喜ぶんじゃないかしら。			あ、あの子は気にしないと思うけど……どうしてもって言うなら、店で売れるものを渡した方が喜ぶんじゃないかしら。			大きな巡りと、小さな人と							
ペルペル族の知り合いから、オルコ・パチャの高地では、珍しい植物や鉱石が採れると聞いたことがあるわ。数十年に一度しか咲かない花や、模様入りの翠玉……。			ペルペル族の知り合いから、オルコ・パチャの高地では、珍しい植物や鉱石が採れると聞いたことがあるわ。数十年に一度しか咲かない花や、模様入りの翠玉……。			大きな巡りと、小さな人と							
つまり「アポサカリーの稀少商品」だな！承知した、すぐに急いで即刻調達してこよう。			つまり「アポサカリーの稀少商品」だな！承知した、すぐに急いで即刻調達してこよう。			大きな巡りと、小さな人と							
Forename、すまない……。すべては俺の不徳の致すところだが、この身ひとつの働きでは、不敬を埋め合わせることができないだろう。			Forename、すまない……。すべては俺の不徳の致すところだが、この身ひとつの働きでは、不敬を埋め合わせることができないだろう。			大きな巡りと、小さな人と							
どうか、調達に手を貸してはくれないか……！？			どうか、調達に手を貸してはくれないか……！？			大きな巡りと、小さな人と							
恩に着る！では、調達を済ませたのちに、また店で……！			恩に着る！では、調達を済ませたのちに、また店で……！			大きな巡りと、小さな人と							
よくわからないけど、若いわねぇ。シューニェも、あの勢いにつられて踏み出してくれないかしら。			よくわからないけど、若いわねぇ。シューニェも、あの勢いにつられて踏み出してくれないかしら。			大きな巡りと、小さな人と							
調達した商品は、シューニェに渡してくれ。……俺のことは気にするな、東方で学んだドゲザなる謝罪法を実践したところだ。			調達した商品は、シューニェに渡してくれ。……俺のことは気にするな、東方で学んだドゲザなる謝罪法を実践したところだ。			大きな巡りと、小さな人と							
……なるほど。つまりウヴロ、あなたはまた先走ったと？			……なるほど。つまりウヴロ、あなたはまた先走ったと？			大きな巡りと、小さな人と							
ああ、おかえりなさい。帰りが遅かった理由は、ウヴロから聞きましたよ。			ああ、おかえりなさい。帰りが遅かった理由は、ウヴロから聞きましたよ。			大きな巡りと、小さな人と							
