メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			メワヘイゾーンのコーナは、ロネークの世話に夢中のようだ。			王の家族							
その中から、「認証キー」のようなものを見つけた！認証装置のところまで戻ってみよう。			その中から、「認証キー」のようなものを見つけた！認証装置のところまで戻ってみよう。			放棄された施設にて							
ここを開ける鍵を手に入れたの？それじゃ、みんなを呼んでくるわ。			ここを開ける鍵を手に入れたの？それじゃ、みんなを呼んでくるわ。			放棄された施設にて							
奥の昇降機も動かせそうね。あれで上に向かいましょう。			奥の昇降機も動かせそうね。あれで上に向かいましょう。			放棄された施設にて							
ここが観測所か。			ここが観測所か。			放棄された施設にて							
当たり前だけどさ、ヴァリガルマンダを封印してた、カーリョーザー祭拝殿とはえらい違いだな。			当たり前だけどさ、ヴァリガルマンダを封印してた、カーリョーザー祭拝殿とはえらい違いだな。			放棄された施設にて							
ああ、どの機械も、まだ稼働中みたいだ。強大なトラルヴィドラールの封印に関係するものだし、非常時もシステムが落ちない仕組みになってるのかもな。			ああ、どの機械も、まだ稼働中みたいだ。強大なトラルヴィドラールの封印に関係するものだし、非常時もシステムが落ちない仕組みになってるのかもな。			放棄された施設にて							
ところどころ異常を報せる警告が出ているのは、きっと封印が解けてしまったからよね。幸い、被害が出る前に倒すことができたけれど。			ところどころ異常を報せる警告が出ているのは、きっと封印が解けてしまったからよね。幸い、被害が出る前に倒すことができたけれど。			放棄された施設にて							
ここにグルージャの母親の手がかりが、残ってればいいんだが……。			ここにグルージャの母親の手がかりが、残ってればいいんだが……。			放棄された施設にて							
この機械、僕にも操作できそう。シェールにいろいろ教わったから……！			この機械、僕にも操作できそう。シェールにいろいろ教わったから……！			放棄された施設にて							
うわあ……データがたくさん。なにがなんだか全然わからないや。			うわあ……データがたくさん。なにがなんだか全然わからないや。			放棄された施設にて							
Forenameが過去視の中で聞いた名前……「テーシャジャ」をキーワードにして、対象を絞り込めないか？			Forenameが過去視の中で聞いた名前……「テーシャジャ」をキーワードにして、対象を絞り込めないか？			放棄された施設にて							
あ、似たようなのがいっぱい出てきたよ。これ、みんな母さんに関係してるのかな……。			あ、似たようなのがいっぱい出てきたよ。これ、みんな母さんに関係してるのかな……。			放棄された施設にて							
『研究日誌　治験薬管理者テーシャジャ』……。			『研究日誌　治験薬管理者テーシャジャ』……。			放棄された施設にて							
やった、当たりみたい！			やった、当たりみたい！			放棄された施設にて							
物によっては暗号化されている可能性もあるし、これを全部調べるのは、ちょっと骨が折れそうね。			物によっては暗号化されている可能性もあるし、これを全部調べるのは、ちょっと骨が折れそうね。			放棄された施設にて							
データをバックルームに持ち帰り、シェールに分析してもらうのはどうだろうか？			データをバックルームに持ち帰り、シェールに分析してもらうのはどうだろうか？			放棄された施設にて							
ええ、それがよさそうね。			ええ、それがよさそうね。			放棄された施設にて							
わかった。記録媒体は持ってきてるから、移してみるね。			わかった。記録媒体は持ってきてるから、移してみるね。			放棄された施設にて							
よし、全部保存できたよ！			よし、全部保存できたよ！			放棄された施設にて							
みんな、僕のワガママにつきあって、ここまで連れてきてくれて、本当にありがとう！			みんな、僕のワガママにつきあって、ここまで連れてきてくれて、本当にありがとう！			放棄された施設にて							
気にすんなって。アタシもゾラージャ兄さんのことが知りたかったし、お互いに、いい冒険になったと思うぜ。			気にすんなって。アタシもゾラージャ兄さんのことが知りたかったし、お互いに、いい冒険になったと思うぜ。			放棄された施設にて							
ゾラージャ兄さんは、封印した獣のことを思い出して、あの集落を訪れたんだろうな。何としてでも力が欲しくて……。			ゾラージャ兄さんは、封印した獣のことを思い出して、あの集落を訪れたんだろうな。何としてでも力が欲しくて……。			放棄された施設にて							
キルーサさん、すぐに迎えに来てくれたね！オブリビオンって、やっぱりすごいなあ。			キルーサさん、すぐに迎えに来てくれたね！オブリビオンって、やっぱりすごいなあ。			放棄された施設にて							
それにしても、驚くべき施設だったね。アレクサンドリアにおける魂資源の利用……その一端を、改めて思い知った気分だよ。			それにしても、驚くべき施設だったね。アレクサンドリアにおける魂資源の利用……その一端を、改めて思い知った気分だよ。			放棄された施設にて							
トラルヴィドラールを見つけたときはびっくりしたけど、どうにか無事に帰ってこられたわね。			トラルヴィドラールを見つけたときはびっくりしたけど、どうにか無事に帰ってこられたわね。			放棄された施設にて							
ずっと放棄されていた施設から、記録を無事に持ち帰ることができたのは幸運ね。			ずっと放棄されていた施設から、記録を無事に持ち帰ることができたのは幸運ね。			放棄された施設にて							
みんな無事に帰ってこられて何よりだな。あの施設の状況に関しては、ガバメントにきちんと連絡しておいた方がいいだろう。			みんな無事に帰ってこられて何よりだな。あの施設の状況に関しては、ガバメントにきちんと連絡しておいた方がいいだろう。			放棄された施設にて							
ともあれ、今は持ち帰った記録の解析が最優先だ。バックルームにいるシェールに頼んでみよう。			ともあれ、今は持ち帰った記録の解析が最優先だ。バックルームにいるシェールに頼んでみよう。			放棄された施設にて							
あれだけの冒険についてこられるんだ。やっぱりこの子は……兄さんの子だよ。			あれだけの冒険についてこられるんだ。やっぱりこの子は……兄さんの子だよ。			放棄された施設にて							
記録媒体を持ってたのは、出かける前にシェールが渡してくれたからなんだ。研究施設に向かうなら、必ず役に立つからって。			記録媒体を持ってたのは、出かける前にシェールが渡してくれたからなんだ。研究施設に向かうなら、必ず役に立つからって。			放棄された施設にて							
今回の冒険で、私もこの過酷な環境を身をもって体験したが……おかげで、スフェーンがどれだけ人々の支えになっていたか、より深く理解できたように思うよ。			今回の冒険で、私もこの過酷な環境を身をもって体験したが……おかげで、スフェーンがどれだけ人々の支えになっていたか、より深く理解できたように思うよ。			放棄された施設にて							
葬儀はすっかり終わったみたいだけど……道すがら見た印象では、人々の様子は相変わらずのようね。			葬儀はすっかり終わったみたいだけど……道すがら見た印象では、人々の様子は相変わらずのようね。			放棄された施設にて							
今さらだけど、私たちも少しくらい、ドーム内の機械の扱い方を学んでみてもいいかもしれないわね。			今さらだけど、私たちも少しくらい、ドーム内の機械の扱い方を学んでみてもいいかもしれないわね。			放棄された施設にて							
シェールなら、きっと必要な情報を選別できるはずだ。			シェールなら、きっと必要な情報を選別できるはずだ。			放棄された施設にて							
グルージャの母親について、何かわかったのか？俺たちじゃ手がかりひとつ見つけられなかったってのに……まったくたいしたもんだよ、あんたらは。			グルージャの母親について、何かわかったのか？俺たちじゃ手がかりひとつ見つけられなかったってのに……まったくたいしたもんだよ、あんたらは。			放棄された施設にて							
お帰りなさい。記録媒体はグルージャから受け取りましたよ。			お帰りなさい。記録媒体はグルージャから受け取りましたよ。			放棄された施設にて							
ざっと見た感じ、データの量もさることながら、ファイルが暗号化されているのが厄介そうですね。解読のため、ちょっとお時間をください。			ざっと見た感じ、データの量もさることながら、ファイルが暗号化されているのが厄介そうですね。解読のため、ちょっとお時間をください。			放棄された施設にて							
では、私とアリゼーは少し失礼して、街の様子を見に行かせてもらっても？			では、私とアリゼーは少し失礼して、街の様子を見に行かせてもらっても？			放棄された施設にて							
国葬に参列していた人たちの不安そうな様子が、ちょっと気になってるのよ。なにをしてあげられる訳でもないんだけど……。			国葬に参列していた人たちの不安そうな様子が、ちょっと気になってるのよ。なにをしてあげられる訳でもないんだけど……。			放棄された施設にて							
わかりました。解読が完了したら、報せるように手配しておきます。			わかりました。解読が完了したら、報せるように手配しておきます。			放棄された施設にて							
ありがとう。それじゃ、またあとでね。			ありがとう。それじゃ、またあとでね。			放棄された施設にて							
バックルームのクルルは、冒険者に伝えたいことがあるようだ。			バックルームのクルルは、冒険者に伝えたいことがあるようだ。			過去より届いた輝き							
前回までの冒険録：アレクサンドリアからの招きを受けスフェーンの国葬を見届けた冒険者一行は、母親のことを知りたいと願うグルージャのため、マムージャ族女性の痕跡を探ることに。調査を経て、元勇連隊の呪術医「テーシャジャ」こそがグルージャの母親と知るのだった。その後エバーキープに戻った冒険者たちは、アレクサンドリアの民が魂のストックについて不安を抱いているのを目撃。あわや大騒動という状況になるが、そこに消滅したはずのスフェーンが姿を現す。国葬の記憶を失い、疑いもなく「スフェーン」を受け入れる人々……奇妙な光景は、冒険者一行に新たな波乱の到来を予感させるのだった。　　　　　　　　　　　　*　*　*クルルたちと話し、それぞれの状況を共有した。バックルームの奥にある仮眠室へ向かおう。			前回までの冒険録：アレクサンドリアからの招きを受けスフェーンの国葬を見届けた冒険者一行は、母親のことを知りたいと願うグルージャのため、マムージャ族女性の痕跡を探ることに。調査を経て、元勇連隊の呪術医「テーシャジャ」こそがグルージャの母親と知るのだった。その後エバーキープに戻った冒険者たちは、アレクサンドリアの民が魂のストックについて不安を抱いているのを目撃。あわや大騒動という状況になるが、そこに消滅したはずのスフェーンが姿を現す。国葬の記憶を失い、疑いもなく「スフェーン」を受け入れる人々……奇妙な光景は、冒険者一行に新たな波乱の到来を予感させるのだった。　　　　　　　　　　　　*　*　*クルルたちと話し、それぞれの状況を共有した。バックルームの奥にある仮眠室へ向かおう。			過去より届いた輝き							
バックルームの仮眠室へ向かおう。一度離れた場合は、「バックルーム」から再度向かえるようだ。			バックルームの仮眠室へ向かおう。一度離れた場合は、「バックルーム」から再度向かえるようだ。			過去より届いた輝き							
バックルームの仮眠室で、永久人ではないスフェーンと出会った。仮眠室で「スフェーン」と話そう。			バックルームの仮眠室で、永久人ではないスフェーンと出会った。仮眠室で「スフェーン」と話そう。			過去より届いた輝き							
スフェーンと話し、彼女の置かれている状況と現在のアレクサンドリアについて説明した。仮眠室で「スフェーン」と再度話そう。			スフェーンと話し、彼女の置かれている状況と現在のアレクサンドリアについて説明した。仮眠室で「スフェーン」と再度話そう。			過去より届いた輝き							
スフェーンと再度話した。置かれた状況に悩みながらも、彼女はアレクサンドリアの今を知ろうとしている。スフェーンを支えながら、今後の動き方を考えていこう。			スフェーンと再度話した。置かれた状況に悩みながらも、彼女はアレクサンドリアの今を知ろうとしている。スフェーンを支えながら、今後の動き方を考えていこう。			過去より届いた輝き							
仮眠室へ向かう			仮眠室へ向かう			過去より届いた輝き							
スフェーンと話す			スフェーンと話す			過去より届いた輝き							
スフェーンと再度話す			スフェーンと再度話す			過去より届いた輝き							
Forenameさん、いいところに！共有したいことがあるのだけれど、少し時間をもらえるかしら？			Forenameさん、いいところに！共有したいことがあるのだけれど、少し時間をもらえるかしら？			過去より届いた輝き							
ありがとう。ラマチもこちらへ向かっているはずだから、到着したら……			ありがとう。ラマチもこちらへ向かっているはずだから、到着したら……			過去より届いた輝き							
(-？？？？-)Forename！お前もこっちに来てたんだな。			(-？？？？-)Forename！お前もこっちに来てたんだな。			過去より届いた輝き							
噂をすればね！それじゃあ、さっそく各々の近況報告といきましょうか。			噂をすればね！それじゃあ、さっそく各々の近況報告といきましょうか。			過去より届いた輝き							
だったら、まずはアタシから話をさせてくれ。			だったら、まずはアタシから話をさせてくれ。			過去より届いた輝き							
いったんトライヨラへ戻って、コーナ兄さんと話をしてきた。グルージャの母親「テーシャジャ」が残した記録のことや、再び現れた「理王スフェーン」のことを……。			いったんトライヨラへ戻って、コーナ兄さんと話をしてきた。グルージャの母親「テーシャジャ」が残した記録のことや、再び現れた「理王スフェーン」のことを……。			過去より届いた輝き							
その上で相談して、状況が落ち着くまでの間は、アタシがドーム内に留まって様子を見ることにしたんだ。			その上で相談して、状況が落ち着くまでの間は、アタシがドーム内に留まって様子を見ることにしたんだ。			過去より届いた輝き							
ただ、王権を継承したグルージャの後見人であるのと同時に、アタシは隣国トライヨラを統べる武王だからな……。内政干渉と取られねぇよう気をつけるつもりさ。			ただ、王権を継承したグルージャの後見人であるのと同時に、アタシは隣国トライヨラを統べる武王だからな……。内政干渉と取られねぇよう気をつけるつもりさ。			過去より届いた輝き							
よし、オレたちがこれまでに調べたことも共有しておこう。理王スフェーンの動向を探っていたんだが、あれからも彼女は人々の前へ、頻繁に姿を現していた。			よし、オレたちがこれまでに調べたことも共有しておこう。理王スフェーンの動向を探っていたんだが、あれからも彼女は人々の前へ、頻繁に姿を現していた。			過去より届いた輝き							
とはいえ、やることといえば、民衆に対して永久人になろうって語りかけるのがせいぜいでさ。今になって現れた理由も含め、掴みきれていないのが実情だ。			とはいえ、やることといえば、民衆に対して永久人になろうって語りかけるのがせいぜいでさ。今になって現れた理由も含め、掴みきれていないのが実情だ。			過去より届いた輝き							
ちなみに「スフェーン様の死」に関する記憶改変は、レギュレーターを装着している奴にだけ起きてる。これは確定とみてよさそうだ。			ちなみに「スフェーン様の死」に関する記憶改変は、レギュレーターを装着している奴にだけ起きてる。これは確定とみてよさそうだ。			過去より届いた輝き							
死者の記憶を抽出する機能を、誰かが利用したんだろう。あいにくと犯人の特定まではできてないが、状況から考えれば、スフェーン様が疑わしくはあるな。			死者の記憶を抽出する機能を、誰かが利用したんだろう。あいにくと犯人の特定まではできてないが、状況から考えれば、スフェーン様が疑わしくはあるな。			過去より届いた輝き							
多くの人々にとっては、理王スフェーンが健在で、彼女の国葬も犠牲となった市民の追悼ということになっている。記憶改変をまぬがれた人たちは、認識の相違に困惑しているわ。			多くの人々にとっては、理王スフェーンが健在で、彼女の国葬も犠牲となった市民の追悼ということになっている。記憶改変をまぬがれた人たちは、認識の相違に困惑しているわ。			過去より届いた輝き							
ひとまず、俺は空の坑道に顔を出してくる。あっちの仲間とも連携して、情報収集を続けておこう。			ひとまず、俺は空の坑道に顔を出してくる。あっちの仲間とも連携して、情報収集を続けておこう。			過去より届いた輝き							
実はね、Forenameさんとラマチには、もうひとつ話しておきたいことがあるのよ。むしろ、そっちが本題というか……			実はね、Forenameさんとラマチには、もうひとつ話しておきたいことがあるのよ。むしろ、そっちが本題というか……			過去より届いた輝き							
ふたりに、会ってほしい人がいるの。			ふたりに、会ってほしい人がいるの。			過去より届いた輝き							
そりゃあ、いいけどよ……。いったい誰なんだ？			そりゃあ、いいけどよ……。いったい誰なんだ？			過去より届いた輝き							
今はここの仮眠室で、ヤ・シュトラたちに看病されている人でね……。詳しいことは、そっちで説明してもらえるはずよ。			今はここの仮眠室で、ヤ・シュトラたちに看病されている人でね……。詳しいことは、そっちで説明してもらえるはずよ。			過去より届いた輝き							
お見舞いをしたいから、僕もついていくね。			お見舞いをしたいから、僕もついていくね。			過去より届いた輝き							
仮眠室は奥の扉の先にあるんだ。廊下をまっすぐ進んだところだから、迷わないはずだよ。			仮眠室は奥の扉の先にあるんだ。廊下をまっすぐ進んだところだから、迷わないはずだよ。			過去より届いた輝き							
仮眠室には、奥の扉から向かえるわ。大勢で押しかけるとお邪魔になりそうだから、私たちは、スフェーンの動向を調べにいってくるつもりよ。			仮眠室には、奥の扉から向かえるわ。大勢で押しかけるとお邪魔になりそうだから、私たちは、スフェーンの動向を調べにいってくるつもりよ。			過去より届いた輝き							
アルフィノとエレンヴィルは、しばらく別行動だそうだ。ふたりとも、不安を抱える住民の話し相手になってくるってさ。			アルフィノとエレンヴィルは、しばらく別行動だそうだ。ふたりとも、不安を抱える住民の話し相手になってくるってさ。			過去より届いた輝き							
「仮眠室」へ移動しますか？			「仮眠室」へ移動しますか？			過去より届いた輝き							
永久人のスフェーンの、元になった人物か……。本人も望んでるなら、もう少し話をしてみようぜ。先のことを決めるのは、そのあとだ。			永久人のスフェーンの、元になった人物か……。本人も望んでるなら、もう少し話をしてみようぜ。先のことを決めるのは、そのあとだ。			過去より届いた輝き							
オーティスがいたら、どうしてたかな。僕にできることはなんだろう……。			オーティスがいたら、どうしてたかな。僕にできることはなんだろう……。			過去より届いた輝き							
遠い未来でひとり目覚めるだなんて、取り乱すのも当然よ。さっきの様子だと、本人の意思ではなさそうだったし、なおのことだわ……。			遠い未来でひとり目覚めるだなんて、取り乱すのも当然よ。さっきの様子だと、本人の意思ではなさそうだったし、なおのことだわ……。			過去より届いた輝き							
ひとまず治療が成功したのは何よりだったけれど、彼女にとってはここからが問題ね。			ひとまず治療が成功したのは何よりだったけれど、彼女にとってはここからが問題ね。			過去より届いた輝き							
メインターミナルの内部に、空間が見つかったんです。どうにも、彼女はそこで眠らされていたようで……こんな事態になるとは思いもしませんでしたよ。			メインターミナルの内部に、空間が見つかったんです。どうにも、彼女はそこで眠らされていたようで……こんな事態になるとは思いもしませんでしたよ。			過去より届いた輝き							
キミたちが……嘘をついている、ようには見えない……。だから、お願い……教えて……。私の、置かれてる状況……知りたいの……。			キミたちが……嘘をついている、ようには見えない……。だから、お願い……教えて……。私の、置かれてる状況……知りたいの……。			過去より届いた輝き							
あなたが望むなら、説明はする。			あなたが望むなら、説明はする。			過去より届いた輝き							
ただ、まだ無理のきく体調ではないわ。時間はかかるでしょうけれど、少しずつ話しましょう。			ただ、まだ無理のきく体調ではないわ。時間はかかるでしょうけれど、少しずつ話しましょう。			過去より届いた輝き							
皆も一緒の方が話が早そうね。とはいえ、出払っている全員を集めるとなると時間がかかるから、クルルとグ・ラハ・ティアだけでも、声をかけてみるわ。			皆も一緒の方が話が早そうね。とはいえ、出払っている全員を集めるとなると時間がかかるから、クルルとグ・ラハ・ティアだけでも、声をかけてみるわ。			過去より届いた輝き							
スフェーンが外を見たいって言うなら、とことん付き合ってやろうぜ。			スフェーンが外を見たいって言うなら、とことん付き合ってやろうぜ。			過去より届いた輝き							
今は王様じゃないから様づけしなくていいよって、スフェーンに言われたんだ。でも、慣れるまで時間がかかりそう。			今は王様じゃないから様づけしなくていいよって、スフェーンに言われたんだ。でも、慣れるまで時間がかかりそう。			過去より届いた輝き							
Forenameも、親身になってくれて本当にありがとう。			Forenameも、親身になってくれて本当にありがとう。			過去より届いた輝き							
ねえ……。キミの知ってる「スフェーン」も、やっぱり、永久人の私なんだよね……？			ねえ……。キミの知ってる「スフェーン」も、やっぱり、永久人の私なんだよね……？			過去より届いた輝き							
この状況を飲み込むには時間がかかりそうだけど、今はどんなことでも受け止めないと……。			この状況を飲み込むには時間がかかりそうだけど、今はどんなことでも受け止めないと……。			過去より届いた輝き							
モザイク・コーヒーのグ・ラハ・ティアは、調査の進め方を練っているようだ。			モザイク・コーヒーのグ・ラハ・ティアは、調査の進め方を練っているようだ。			グルージャの冒険							
グ・ラハ・ティアと話した。ヘリテージファウンドのアウトスカーツにいる住人から、マムージャ族の女性に関する情報を集めよう。			グ・ラハ・ティアと話した。ヘリテージファウンドのアウトスカーツにいる住人から、マムージャ族の女性に関する情報を集めよう。			グルージャの冒険							
アウトスカーツの住人から、手がかりとなりそうな話題を集めた。ソリューション・ナインのバックルームにいる「シェール」に、集めた話題を提示しよう。			アウトスカーツの住人から、手がかりとなりそうな話題を集めた。ソリューション・ナインのバックルームにいる「シェール」に、集めた話題を提示しよう。			グルージャの冒険							
皆で集めた情報から、ゾラージャの研究施設の場所を割り出した。ヘリテージファウンドのドリフトダウンズにいる「グルージャ」と話そう。			皆で集めた情報から、ゾラージャの研究施設の場所を割り出した。ヘリテージファウンドのドリフトダウンズにいる「グルージャ」と話そう。			グルージャの冒険							
グルージャと話した。母親に関する手がかりを集めるため、「廃地討究 ユウェヤーワータ」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			グルージャと話した。母親に関する手がかりを集めるため、「廃地討究 ユウェヤーワータ」を攻略しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			グルージャの冒険							
ユウェヤーワータの最奥にて、封印されていたトラルヴィドラールを討伐した。一度ユウェヤーワータから離れた場合は、「ドリフトダウンズ」から再度向かえるようだ。			ユウェヤーワータの最奥にて、封印されていたトラルヴィドラールを討伐した。一度ユウェヤーワータから離れた場合は、「ドリフトダウンズ」から再度向かえるようだ。			グルージャの冒険							
封印されていたトラルヴィドラールの過去を視て、ゾラージャにはテーシャジャという女性の部下がいたことが判明した。ユウェヤーワータの人魂管理室にいる「グルージャ」と話そう。			封印されていたトラルヴィドラールの過去を視て、ゾラージャにはテーシャジャという女性の部下がいたことが判明した。ユウェヤーワータの人魂管理室にいる「グルージャ」と話そう。			グルージャの冒険							
グルージャと話した。テーシャジャに関する手がかりを見つけるため、観測所のある上階を目指そう。			グルージャと話した。テーシャジャに関する手がかりを見つけるため、観測所のある上階を目指そう。			グルージャの冒険							
アウトスカーツで情報を集める			アウトスカーツで情報を集める			グルージャの冒険							
バックルームのシェールに話題を提示			バックルームのシェールに話題を提示			グルージャの冒険							
ドリフトダウンズのグルージャと話す			ドリフトダウンズのグルージャと話す			グルージャの冒険							
「廃地討究 ユウェヤーワータ」を攻略			「廃地討究 ユウェヤーワータ」を攻略			グルージャの冒険							
グルージャと話す			グルージャと話す			グルージャの冒険							
グルージャが決断した以上、とことん協力するぜ。なんたって、この子はアタシの家族なんだからな！			グルージャが決断した以上、とことん協力するぜ。なんたって、この子はアタシの家族なんだからな！			グルージャの冒険							
母さんを知ることは、父さんを知ることでもあるんだ……。僕、そんな風に考えたことなかったよ。			母さんを知ることは、父さんを知ることでもあるんだ……。僕、そんな風に考えたことなかったよ。			グルージャの冒険							
肉親でさえ、窺い知れない想いを秘めていることはあるし、その想いと行動が相反するように見えることだってある。だからこそ、知りたいと願うグルージャの気持ちはわかるよ。			肉親でさえ、窺い知れない想いを秘めていることはあるし、その想いと行動が相反するように見えることだってある。だからこそ、知りたいと願うグルージャの気持ちはわかるよ。			グルージャの冒険							
システムに記録が残ってなかったのなら、どこを調べたらいいのかしら……？			システムに記録が残ってなかったのなら、どこを調べたらいいのかしら……？			グルージャの冒険							
両親のことを知りたいと思ったのは、私も同じだったから……グルージャの気持ちはよくわかるわ。			両親のことを知りたいと思ったのは、私も同じだったから……グルージャの気持ちはよくわかるわ。			グルージャの冒険							
記憶からも記録からも消された母親か……。広範囲に聞き込みをするしかなさそうだから、手分けをしてあたろう。			記憶からも記録からも消された母親か……。広範囲に聞き込みをするしかなさそうだから、手分けをしてあたろう。			グルージャの冒険							
オレたちはソリューション・ナインを担当するから、あんたは外……アウトスカーツを頼めるか？何かわかったら、バックルームに集合しよう。			オレたちはソリューション・ナインを担当するから、あんたは外……アウトスカーツを頼めるか？何かわかったら、バックルームに集合しよう。			グルージャの冒険							
マムージャ族の女性を知らないかって？今も昔も、このあたりにマムージャ族は住んじゃいないよ。			マムージャ族の女性を知らないかって？今も昔も、このあたりにマムージャ族は住んじゃいないよ。			グルージャの冒険							
ああ、でもそういえば一度見かけたかな。障壁に閉じ込められる前……だいぶ昔のことだけどね。			ああ、でもそういえば一度見かけたかな。障壁に閉じ込められる前……だいぶ昔のことだけどね。			グルージャの冒険							
トラル勇連隊がこのあたりに行軍してきたことがあって、その一団の中に、マムージャ族の女性がいたのさ。作戦完了後は、みんなトライヨラに帰還したはずだよ。			トラル勇連隊がこのあたりに行軍してきたことがあって、その一団の中に、マムージャ族の女性がいたのさ。作戦完了後は、みんなトライヨラに帰還したはずだよ。			グルージャの冒険							
ただ、もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねえ。			ただ、もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねえ。			グルージャの冒険							
シャトナ族の女性との会話から、「マムージャ族の女性について」の話題を得た！			シャトナ族の女性との会話から、「マムージャ族の女性について」の話題を得た！			グルージャの冒険							
トラル勇連隊の中にマムージャ族の女性がいたのさ。もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねぇ。			トラル勇連隊の中にマムージャ族の女性がいたのさ。もしもこっちに滞在を続けてたりしたら……あたしたちと一緒で、障壁の中に閉じ込められてたかもねぇ。			グルージャの冒険							
ゾラージャに関わりのあるマムージャ族の女性？知らないねえ……。			ゾラージャに関わりのあるマムージャ族の女性？知らないねえ……。			グルージャの冒険							
何か知ってる奴がいるとすれば、エバーキープの北にあった集落の連中じゃないか？ユウェヤーワータってところさ。			何か知ってる奴がいるとすれば、エバーキープの北にあった集落の連中じゃないか？ユウェヤーワータってところさ。			グルージャの冒険							
昔、集落の危機をゾラージャに救われたとかで、住人の大半が熱狂的な信奉者になったんだ。首長の名は……たしかカニロッカだったかな。			昔、集落の危機をゾラージャに救われたとかで、住人の大半が熱狂的な信奉者になったんだ。首長の名は……たしかカニロッカだったかな。			グルージャの冒険							
トナワータ族の中年男性との会話から、「ゾラージャの信奉者について」の話題を得た！			トナワータ族の中年男性との会話から、「ゾラージャの信奉者について」の話題を得た！			グルージャの冒険							
マムージャ族の女性……？			マムージャ族の女性……？			グルージャの冒険							
ああ、グルージャの母親のことを調べてるのか。悪いけど、なんにも知らないよ。			ああ、グルージャの母親のことを調べてるのか。悪いけど、なんにも知らないよ。			グルージャの冒険							
ゾラージャ様のことなら、多少は……昔、親父から聞いた話なんだけどさ。			ゾラージャ様のことなら、多少は……昔、親父から聞いた話なんだけどさ。			グルージャの冒険							
この一帯が障壁に閉ざされるよりも前、トラルヴィドラールとかいう凶暴な魔物が現れたんだってよ。			この一帯が障壁に閉ざされるよりも前、トラルヴィドラールとかいう凶暴な魔物が現れたんだってよ。			グルージャの冒険							
で、そいつを倒すため、部下を大勢引き連れて現れたのがゾラージャ様だったって話。そんな時代から、この地に来てたんだなあ。			で、そいつを倒すため、部下を大勢引き連れて現れたのがゾラージャ様だったって話。そんな時代から、この地に来てたんだなあ。			グルージャの冒険							
トナワータ族の青年との会話から、「凶暴な魔物の討伐について」の話題を得た！			トナワータ族の青年との会話から、「凶暴な魔物の討伐について」の話題を得た！			グルージャの冒険							
昔、この一帯にトラルヴィドラールが現れたんだってよ。それで、そいつを倒すため、部下を大勢引き連れて、ゾラージャ様がやって来たって話だ。			昔、この一帯にトラルヴィドラールが現れたんだってよ。それで、そいつを倒すため、部下を大勢引き連れて、ゾラージャ様がやって来たって話だ。			グルージャの冒険							
すまねぇ、これといった情報は聞けなかった。アタシにも冒険者の勘ってやつがあればな……。			すまねぇ、これといった情報は聞けなかった。アタシにも冒険者の勘ってやつがあればな……。			グルージャの冒険							
おかえりなさい！母さんのことを調べてるって、シェールにも話しておいたよ。			おかえりなさい！母さんのことを調べてるって、シェールにも話しておいたよ。			グルージャの冒険							
母親に直接関わるような手がかりは得られなかったが、ゾラージャ王の動向に関して、少しわかったことがあるよ。			母親に直接関わるような手がかりは得られなかったが、ゾラージャ王の動向に関して、少しわかったことがあるよ。			グルージャの冒険							
ラマチは空振りだったみたいね。あなたの方はどうだった？			ラマチは空振りだったみたいね。あなたの方はどうだった？			グルージャの冒険							
もともと武王は人々の前にあまり姿を現さなかったそうだから、目撃談が多くないのは織り込み済みよ。だからこそ、彼がどこにいたのかが重要だと思うわ。			もともと武王は人々の前にあまり姿を現さなかったそうだから、目撃談が多くないのは織り込み済みよ。だからこそ、彼がどこにいたのかが重要だと思うわ。			グルージャの冒険							
ソリューション・ナインは本当に広いな……。転移装置も活用したのに、一部しか回ってこられなかったよ。			ソリューション・ナインは本当に広いな……。転移装置も活用したのに、一部しか回ってこられなかったよ。			グルージャの冒険							
事情は聞きましたよ。グルージャの母親については、以前にも調べたことがありますが、そのときは何ひとつ掴めませんでした。			事情は聞きましたよ。グルージャの母親については、以前にも調べたことがありますが、そのときは何ひとつ掴めませんでした。			グルージャの冒険							
あなた方が集めてきてくれた情報を加えて、何らかの糸口が見つかればいいんですが……。			あなた方が集めてきてくれた情報を加えて、何らかの糸口が見つかればいいんですが……。			グルージャの冒険							
ああ、いろいろ聞いてきてくださったみたいですね。それでは、持ち寄った情報をつきあわせて、改めて全員で整理してみましょう。			ああ、いろいろ聞いてきてくださったみたいですね。それでは、持ち寄った情報をつきあわせて、改めて全員で整理してみましょう。			グルージャの冒険							
