ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			ラールガーズリーチのアラミゴ解放軍の老闘士は、人を探しているようだ。			娘はどこへ							
解放軍への貢献の仕方は、戦うだけじゃないってことだな。私も酒保商人として、商いを通じて力になってみせるさ！それじゃ、協力ありがとうよ！			解放軍への貢献の仕方は、戦うだけじゃないってことだな。私も酒保商人として、商いを通じて力になってみせるさ！それじゃ、協力ありがとうよ！			カリスマ実演販売士							
静かな上に、命中精度も高いとなれば、帝国軍への奇襲にも役立ちそうだ。吹き矢の導入を検討してみよう。			静かな上に、命中精度も高いとなれば、帝国軍への奇襲にも役立ちそうだ。吹き矢の導入を検討してみよう。			カリスマ実演販売士							
ラールガーズリーチのメ・ナーゴは、冒険者の返事を待っているようだ。			ラールガーズリーチのメ・ナーゴは、冒険者の返事を待っているようだ。			遺された人々							
アラギリのメ・ナーゴと話す			アラギリのメ・ナーゴと話す			遺された人々							
アラミガン・クォーターのメ・ナーゴと話す			アラミガン・クォーターのメ・ナーゴと話す			遺された人々							
ピーリングストーンズのメ・ラツ・ヌンと話す			ピーリングストーンズのメ・ラツ・ヌンと話す			遺された人々							
ラールガーズリーチのメ・ナーゴと話す			ラールガーズリーチのメ・ナーゴと話す			遺された人々							
よかった、ご同行してもらえるようですね。まずは、メッフリッドの妻子のもとへ向かいましょう。			よかった、ご同行してもらえるようですね。まずは、メッフリッドの妻子のもとへ向かいましょう。			遺された人々							
彼女らは「アラギリ」に住んでいるとのことです。私は支度をしてから向かうので、現地で合流しましょう。			彼女らは「アラギリ」に住んでいるとのことです。私は支度をしてから向かうので、現地で合流しましょう。			遺された人々							
メッフリッドの妻子は、「アラギリ」に住んでいるとのことです。私は支度をしてから向かうので、現地で合流しましょう。			メッフリッドの妻子は、「アラギリ」に住んでいるとのことです。私は支度をしてから向かうので、現地で合流しましょう。			遺された人々							
いったい、何の用だい？店を抜け出してきてるんだ、手短に頼むよ。			いったい、何の用だい？店を抜け出してきてるんだ、手短に頼むよ。			遺された人々							
お姉さんお兄さん、だあれ？			お姉さんお兄さん、だあれ？			遺された人々							
Forenameさん、ご足労ありがとうございます。こちらがメッフリッドの奥様、ゲイラさんと、その娘さんです。さっそく、給付金をお渡ししたいと思います。			Forenameさん、ご足労ありがとうございます。こちらがメッフリッドの奥様、ゲイラさんと、その娘さんです。さっそく、給付金をお渡ししたいと思います。			遺された人々							
こちとらカツカツの生活なもんで、給付金をもらえるなんて願ったりだけど……。アタシがそれを受け取るわけにはいかないね。			こちとらカツカツの生活なもんで、給付金をもらえるなんて願ったりだけど……。アタシがそれを受け取るわけにはいかないね。			遺された人々							
なぜなら、メッフリッドとはとっくに離縁してるんだ。だから、アタシは遺族じゃないんだよ。			なぜなら、メッフリッドとはとっくに離縁してるんだ。だから、アタシは遺族じゃないんだよ。			遺された人々							
そ、そんな……なぜ、離縁されたのですか？			そ、そんな……なぜ、離縁されたのですか？			遺された人々							
ふん……アイツは自分が解放軍に参加すると、身内にも危険が及んでしまうからとか言ってたけどね。本当のところ、解放運動に妻子が邪魔だったからに違いないよ。			ふん……アイツは自分が解放軍に参加すると、身内にも危険が及んでしまうからとか言ってたけどね。本当のところ、解放運動に妻子が邪魔だったからに違いないよ。			遺された人々							
祖国のために戦うなんて聞こえはいいけど、アタシと娘はていよく捨てられたってことさ……。			祖国のために戦うなんて聞こえはいいけど、アタシと娘はていよく捨てられたってことさ……。			遺された人々							
メッフリッドは、断じてそんなつもりじゃなかったはず！今日はもうひとつ、お渡ししたい物がありました。これを受け取ってください。			メッフリッドは、断じてそんなつもりじゃなかったはず！今日はもうひとつ、お渡ししたい物がありました。これを受け取ってください。			遺された人々							
こ、これは……？			こ、これは……？			遺された人々							
メッフリッドのお守りです。こちらのForenameさんが、回収してくれました。			メッフリッドのお守りです。こちらのForenameさんが、回収してくれました。			遺された人々							
アラミゴ人のお守りといえば、壊神ラールガーの神符ですが、彼のお守りは、小さな木彫りの母子の像だった。きっと、ゲイラさんと娘さんを模したもの……。			アラミゴ人のお守りといえば、壊神ラールガーの神符ですが、彼のお守りは、小さな木彫りの母子の像だった。きっと、ゲイラさんと娘さんを模したもの……。			遺された人々							
メッフリッドは……亡くなるとき、最後まで……大事ぞうに……ぞのおばぼりを……うっ、うっ、うっ…………。			メッフリッドは……亡くなるとき、最後まで……大事ぞうに……ぞのおばぼりを……うっ、うっ、うっ…………。			遺された人々							
メッフリッド…………。			メッフリッド…………。			遺された人々							
す、すびばせんでした……。でも、これで真実はわかっていただけたはず……。給付金……娘さんのためにも、受け取ってくれますね？			す、すびばせんでした……。でも、これで真実はわかっていただけたはず……。給付金……娘さんのためにも、受け取ってくれますね？			遺された人々							
どうもありがとう……。すまないね、大事に使わせてもらうよ。			どうもありがとう……。すまないね、大事に使わせてもらうよ。			遺された人々							
グスッ……アラギリは、帝国兵相手に商売する街でした。だからこそメッフリッドは、ここに残る妻子を護るため、別れて他人になることを選んだようです。			グスッ……アラギリは、帝国兵相手に商売する街でした。だからこそメッフリッドは、ここに残る妻子を護るため、別れて他人になることを選んだようです。			遺された人々							
私たちにすら一切、家族の話をしなかった。仲間想いの彼は、家族想いでもあったんですね……。			私たちにすら一切、家族の話をしなかった。仲間想いの彼は、家族想いでもあったんですね……。			遺された人々							
さて、次はコンラッド隊長の奥様です。彼女は、隊長が解放軍に参加するとき、身の安全を考慮して、山奥の寒村に避難し、ひっそりと隠れ住んでいました。			さて、次はコンラッド隊長の奥様です。彼女は、隊長が解放軍に参加するとき、身の安全を考慮して、山奥の寒村に避難し、ひっそりと隠れ住んでいました。			遺された人々							
ですが、アラミゴが解放されたことで、ようやく出身地の「アラミガン・クォーター」に戻られたそうです。それでは、現地へ向かいましょう。			ですが、アラミゴが解放されたことで、ようやく出身地の「アラミガン・クォーター」に戻られたそうです。それでは、現地へ向かいましょう。			遺された人々							
コンラッド隊長の奥様は、「アラミガン・クォーター」にお住まいです。それでは、現地に向かいましょう。			コンラッド隊長の奥様は、「アラミガン・クォーター」にお住まいです。それでは、現地に向かいましょう。			遺された人々							
はじめまして、あなたがForenameさんですね。			はじめまして、あなたがForenameさんですね。			遺された人々							
Forenameさん、こちらがコンラッド隊長の奥様、グレーデさんです。さっそく、給付金をお渡ししましょう。			Forenameさん、こちらがコンラッド隊長の奥様、グレーデさんです。さっそく、給付金をお渡ししましょう。			遺された人々							
復興に向けて大変なときに、こんな年寄りを気にかけてくれて、どうもありがとう。			復興に向けて大変なときに、こんな年寄りを気にかけてくれて、どうもありがとう。			遺された人々							
あなたが、Forenameさんですね。夫の悲願であったアラミゴ解放を成し遂げてくれたこと、本当に感謝しています、どうもありがとうございました。			あなたが、Forenameさんですね。夫の悲願であったアラミゴ解放を成し遂げてくれたこと、本当に感謝しています、どうもありがとうございました。			遺された人々							
足を悪くされているのに、これ以上の立ち話は禁物です。お座りください、グレーデさん。			足を悪くされているのに、これ以上の立ち話は禁物です。お座りください、グレーデさん。			遺された人々							
ごめんなさいね、昔から足が弱くて戦うこともできなかったの。それでは、お言葉に甘えて失礼します。			ごめんなさいね、昔から足が弱くて戦うこともできなかったの。それでは、お言葉に甘えて失礼します。			遺された人々							
それにしても、ナーゴさん、本当に優しいのね。初めて会うというのに、ずっと昔から知り合いだったみたい。あの人ったら、会う度に必ずあなたの話をしていたんですもの。			それにしても、ナーゴさん、本当に優しいのね。初めて会うというのに、ずっと昔から知り合いだったみたい。あの人ったら、会う度に必ずあなたの話をしていたんですもの。			遺された人々							
私たち夫婦にはね、残念ながら子どもができなかったの。だから、夫はあなたのことを、実の娘のように感じていたみたい。			私たち夫婦にはね、残念ながら子どもができなかったの。だから、夫はあなたのことを、実の娘のように感じていたみたい。			遺された人々							
コンラッド隊長には本当によくしてもらいました。だから、その恩返しをしたかったんです。給付金のほかに、何か私にできることはありませんか？			コンラッド隊長には本当によくしてもらいました。だから、その恩返しをしたかったんです。給付金のほかに、何か私にできることはありませんか？			遺された人々							
いえいえ、もう充分ですよ。それに、最近とある若者が私の世話をしてくれているの。あら、噂をすれば……。			いえいえ、もう充分ですよ。それに、最近とある若者が私の世話をしてくれているの。あら、噂をすれば……。			遺された人々							
(-影のある若者-)グレーデさん、買い物を済ませてきました……。			(-影のある若者-)グレーデさん、買い物を済ませてきました……。			遺された人々							
あれ？あなたのその声……どこかで聞き覚えが……。			あれ？あなたのその声……どこかで聞き覚えが……。			遺された人々							
そうだ！　スペキュラ・インペラトリスで、コンラッド隊長が説得して投降してきた髑髏連隊の……！でも、タワーの崩壊で全滅したはずじゃ……！？			そうだ！　スペキュラ・インペラトリスで、コンラッド隊長が説得して投降してきた髑髏連隊の……！でも、タワーの崩壊で全滅したはずじゃ……！？			遺された人々							
あんた……耳がいいんだな……。そう、俺の名はフルドルフ、確かに髑髏連隊の一員だよ。			あんた……耳がいいんだな……。そう、俺の名はフルドルフ、確かに髑髏連隊の一員だよ。			遺された人々							
生き残ったのは、ただの偶然さ……。メインタワーの崩壊に巻き込まれ、気を失っていたんだが、瓦礫の合間にわずかな空間があって、奇跡的に助かったんだ。			生き残ったのは、ただの偶然さ……。メインタワーの崩壊に巻き込まれ、気を失っていたんだが、瓦礫の合間にわずかな空間があって、奇跡的に助かったんだ。			遺された人々							
じゃあ、なぜこんなところに……？			じゃあ、なぜこんなところに……？			遺された人々							
味方殺しの帝国軍に戻りたくはなく、かと言って、解放軍に捕まることも怖くて逃げ出したのさ……。その後は正体を隠して、難民のひとりとして過ごしていた。			味方殺しの帝国軍に戻りたくはなく、かと言って、解放軍に捕まることも怖くて逃げ出したのさ……。その後は正体を隠して、難民のひとりとして過ごしていた。			遺された人々							
だけど、ある時、噂で俺たちを説得してくれた解放軍の隊長が、スペキュラの戦いで死んでいたって話を耳にしてな……。			だけど、ある時、噂で俺たちを説得してくれた解放軍の隊長が、スペキュラの戦いで死んでいたって話を耳にしてな……。			遺された人々							
解放軍の重要人物の身内は、反乱分子狩りの対象だったから、グレーデさんの名前だけは覚えていた……。だから、正体を隠して近づいて、手伝いを申し出たんだ。			解放軍の重要人物の身内は、反乱分子狩りの対象だったから、グレーデさんの名前だけは覚えていた……。だから、正体を隠して近づいて、手伝いを申し出たんだ。			遺された人々							
罪滅ぼしってわけじゃない。だが、一度はあの隊長さんに身を預けると誓ったからな。こうして裁きの時が来るまでは、できることをしようと思ったんだ。			罪滅ぼしってわけじゃない。だが、一度はあの隊長さんに身を預けると誓ったからな。こうして裁きの時が来るまでは、できることをしようと思ったんだ。			遺された人々							
フフフ……正直な人だと思うでしょ？普段は仮面を付けていたのだから、嘘を突き通せばいいのに。この話、私を訪ねてきたときにも、自分からしてくれたのよ。			フフフ……正直な人だと思うでしょ？普段は仮面を付けていたのだから、嘘を突き通せばいいのに。この話、私を訪ねてきたときにも、自分からしてくれたのよ。			遺された人々							
私としても、夫が説得して生き残ったというなら、これも何かの縁だと思ってね……申し出を受け入れたの。			私としても、夫が説得して生き残ったというなら、これも何かの縁だと思ってね……申し出を受け入れたの。			遺された人々							
とはいえ、解放軍の闘士が現れた以上、ここまでだ。投降するよ……煮るなり焼くなり、好きにしてくれ……。			とはいえ、解放軍の闘士が現れた以上、ここまでだ。投降するよ……煮るなり焼くなり、好きにしてくれ……。			遺された人々							
……いいえ、あなたはこのまま、グレーデさんの助けになってあげてください。私も……あなたのことは口外しません。			……いいえ、あなたはこのまま、グレーデさんの助けになってあげてください。私も……あなたのことは口外しません。			遺された人々							
な、なぜ、そんな……！？			な、なぜ、そんな……！？			遺された人々							
私の友だちが、こう言ったんです。誰かが先に矛を収めなければ、戦いは終わらないって……。だから、復讐の連鎖は、ここで止めておきましょう。			私の友だちが、こう言ったんです。誰かが先に矛を収めなければ、戦いは終わらないって……。だから、復讐の連鎖は、ここで止めておきましょう。			遺された人々							
あ、ありがとう……。			あ、ありがとう……。			遺された人々							
私からもお礼を言うわ。ナーゴさん、見逃してくれてありがとう。			私からもお礼を言うわ。ナーゴさん、見逃してくれてありがとう。			遺された人々							
あのとき、コンラッド隊長が髑髏連隊を説得したことは、無駄じゃなかったんですね……。			あのとき、コンラッド隊長が髑髏連隊を説得したことは、無駄じゃなかったんですね……。			遺された人々							
うっ、うっ……うぅぅぅ！すびばぜん、なんだか泣けてぎぢゃいまじた……！			うっ、うっ……うぅぅぅ！すびばぜん、なんだか泣けてぎぢゃいまじた……！			遺された人々							
あらあら、泣かないでナーゴさん。夫は死んでしまったけれど、私には新しい家族ができたの。だから、悲しむのは、もうやめにしましょう。			あらあら、泣かないでナーゴさん。夫は死んでしまったけれど、私には新しい家族ができたの。だから、悲しむのは、もうやめにしましょう。			遺された人々							
ナーゴさん、あなたにも家族がいるのでしょう？だったら、戦いが終わった今こそ、心配をかけた家族……。特にご両親のことも気にかけてあげなさいな。			ナーゴさん、あなたにも家族がいるのでしょう？だったら、戦いが終わった今こそ、心配をかけた家族……。特にご両親のことも気にかけてあげなさいな。			遺された人々							
は、はい……。これからは、親孝行をしたいと思います。			は、はい……。これからは、親孝行をしたいと思います。			遺された人々							
すみません、帰りに寄り道してもいいですか？ここのところ忙しくて、里帰りもしていなかったので、「ピーリングストーンズ」に寄っていきたいんです。			すみません、帰りに寄り道してもいいですか？ここのところ忙しくて、里帰りもしていなかったので、「ピーリングストーンズ」に寄っていきたいんです。			遺された人々							
ありがとうございます。それでは、私の父である「メ・ラツ・ヌン」に会いにゆきましょう。			ありがとうございます。それでは、私の父である「メ・ラツ・ヌン」に会いにゆきましょう。			遺された人々							
ピーリングストーンズにいる私の父、「メ・ラツ・ヌン」に会いにゆきましょう。			ピーリングストーンズにいる私の父、「メ・ラツ・ヌン」に会いにゆきましょう。			遺された人々							
いただいた給付金の工面も、あなたが協力してくださったそうですね。本当に、感謝してもしきれません。			いただいた給付金の工面も、あなたが協力してくださったそうですね。本当に、感謝してもしきれません。			遺された人々							
フォルドラさんは捕まったそうだな。……今回は見逃してもらったけれど、俺もいつかは裁かれることを覚悟してるよ。			フォルドラさんは捕まったそうだな。……今回は見逃してもらったけれど、俺もいつかは裁かれることを覚悟してるよ。			遺された人々							
おお！　我がメ族の誇り、ナーゴではないか！解放者もいっしょとは、よく来てくれた！よし、さっそく宴の準備だ……。			おお！　我がメ族の誇り、ナーゴではないか！解放者もいっしょとは、よく来てくれた！よし、さっそく宴の準備だ……。			遺された人々							
ちょっと父さん、今日は用事ついでに寄っただけだから、すぐに戻らないといけないの。それに、メ族の誇りだなんてよしてよ……恥ずかしい。			ちょっと父さん、今日は用事ついでに寄っただけだから、すぐに戻らないといけないの。それに、メ族の誇りだなんてよしてよ……恥ずかしい。			遺された人々							
そうか、長居できぬとは残念だな。しかし、お前は悲願を成し遂げたのだ。我がメ族の誇りであることは、間違いないぞ。			そうか、長居できぬとは残念だな。しかし、お前は悲願を成し遂げたのだ。我がメ族の誇りであることは、間違いないぞ。			遺された人々							
(-？？？？-)そうだよ、解放軍で活躍したナーゴ姉さんはメ族の出世頭。ボクたち姉妹の憧れの的なんだから。			(-？？？？-)そうだよ、解放軍で活躍したナーゴ姉さんはメ族の出世頭。ボクたち姉妹の憧れの的なんだから。			遺された人々							
ベロジナ大橋の軍旗を、掛け替えた時の話なんて、まさに語りぐさってやつだよ。			ベロジナ大橋の軍旗を、掛け替えた時の話なんて、まさに語りぐさってやつだよ。			遺された人々							
あとは、料理さえできれば完璧なのにね～。			あとは、料理さえできれば完璧なのにね～。			遺された人々							
…………。			…………。			遺された人々							
あ、言い忘れるところだった。父さん、また矢が足りなくなってきてるんだ。でも、この辺りにはもう、矢に適した木が残ってないし……。			あ、言い忘れるところだった。父さん、また矢が足りなくなってきてるんだ。でも、この辺りにはもう、矢に適した木が残ってないし……。			遺された人々							
うむ、帝国軍が去ったとはいえ、その支配下の20年間で、この辺りも荒れてしまったからな……。足りない物資は、獲物を売って街で買うほかないだろう。			うむ、帝国軍が去ったとはいえ、その支配下の20年間で、この辺りも荒れてしまったからな……。足りない物資は、獲物を売って街で買うほかないだろう。			遺された人々							
そうだ！実は私、戦没者遺族のために、給付金を贈るという事業を始めたの。			そうだ！実は私、戦没者遺族のために、給付金を贈るという事業を始めたの。			遺された人々							
その資金を集めるために、商取引を始めたのだけど……。もしも不足している物資があるなら、私が集めてくるから、買い取ってもらえない？			その資金を集めるために、商取引を始めたのだけど……。もしも不足している物資があるなら、私が集めてくるから、買い取ってもらえない？			遺された人々							
ほう、ナーゴが商売を？確かに慣れぬ街で、粗悪品を掴まされるくらいなら、信頼できるお前から仕入れる方が、安心というものだ。			ほう、ナーゴが商売を？確かに慣れぬ街で、粗悪品を掴まされるくらいなら、信頼できるお前から仕入れる方が、安心というものだ。			遺された人々							
私としても取引先が増えるのは歓迎だもの。それじゃあ、今後ともごひいきくださいな！			私としても取引先が増えるのは歓迎だもの。それじゃあ、今後ともごひいきくださいな！			遺された人々							
Forenameさん、寄り道にまで付き合ってくださって、ありがとうございます。それでは、「ラールガーズリーチ」に戻りましょう。			Forenameさん、寄り道にまで付き合ってくださって、ありがとうございます。それでは、「ラールガーズリーチ」に戻りましょう。			遺された人々							
戦没者遺族のために事業とは、立派になったものだ。あとは、よきヌンとの出会いがあればいいのだが……。知り合いにヌン候補がいるなら、ぜひ教えてくれ。お前が縄張りを得てヌンとなる時は、ぜひ教えてくれ。			戦没者遺族のために事業とは、立派になったものだ。あとは、よきヌンとの出会いがあればいいのだが……。知り合いにヌン候補がいるなら、ぜひ教えてくれ。お前が縄張りを得てヌンとなる時は、ぜひ教えてくれ。			遺された人々							
母親としては、何よりも娘の生還が嬉しいのです。でも……これ以上望むのは贅沢というものでしょうか？			母親としては、何よりも娘の生還が嬉しいのです。でも……これ以上望むのは贅沢というものでしょうか？			遺された人々							
解放軍で活躍したナーゴ姉さんはメ族の出世頭。ボクたち姉妹の憧れの的なんだ。でも、昔から料理だけはてんでダメなんだよね～。			解放軍で活躍したナーゴ姉さんはメ族の出世頭。ボクたち姉妹の憧れの的なんだ。でも、昔から料理だけはてんでダメなんだよね～。			遺された人々							
Forenameさん、遠いところまで、ご足労ありがとうございました。さて、次の取引のお話をさせてください。			Forenameさん、遠いところまで、ご足労ありがとうございました。さて、次の取引のお話をさせてください。			遺された人々							
先ほど、私と父の会話を聞いていたかもしれませんが、次に取引をお願いしたい収集品は、「メ族の日用品」です。			先ほど、私と父の会話を聞いていたかもしれませんが、次に取引をお願いしたい収集品は、「メ族の日用品」です。			遺された人々							
取引先は身内でも、もちろん代金はしっかりもらって、給付金の資金にさせていただきますよ。			取引先は身内でも、もちろん代金はしっかりもらって、給付金の資金にさせていただきますよ。			遺された人々							
それでは、Forenameさん、「メ族の日用品」の納品、よろしくお願いします！			それでは、Forenameさん、「メ族の日用品」の納品、よろしくお願いします！			遺された人々							
ラールガーズリーチの人の好さそうな闘士は、冒険者に伝えたいことがあるようだ。			ラールガーズリーチの人の好さそうな闘士は、冒険者に伝えたいことがあるようだ。			心を映す鏡							
人の好さそうな闘士と話した。ラールガーズリーチの外、ストライプヒルズにいるという「傷だらけの偉丈夫」と話そう。			人の好さそうな闘士と話した。ラールガーズリーチの外、ストライプヒルズにいるという「傷だらけの偉丈夫」と話そう。			心を映す鏡							
傷だらけの偉丈夫から、悟りの円座という場所の存在を聞いた。かつて星導教のモンク僧たちは、強者との戦いへと赴く前に、悟りの円座へと立ち寄り、木人を相手に技のキレを確認したという。技の確認をしたくなったら、再び「傷だらけの偉丈夫」に声をかけよう。			傷だらけの偉丈夫から、悟りの円座という場所の存在を聞いた。かつて星導教のモンク僧たちは、強者との戦いへと赴く前に、悟りの円座へと立ち寄り、木人を相手に技のキレを確認したという。技の確認をしたくなったら、再び「傷だらけの偉丈夫」に声をかけよう。			心を映す鏡							
ストライプヒルズにいる傷だらけの偉丈夫と話す			ストライプヒルズにいる傷だらけの偉丈夫と話す			心を映す鏡							
Forenameさん、ちょっといいかい。アラミゴ奪還の立役者であるアンタと、会って話してみたいという奴がいるんだ。			Forenameさん、ちょっといいかい。アラミゴ奪還の立役者であるアンタと、会って話してみたいという奴がいるんだ。			心を映す鏡							
奴は、ギラバニア辺境地帯の「ストライプヒルズ」……ラールガーズリーチを出て、すぐの場所で待っているはず。気が向いたら、会ってやってほしい。			奴は、ギラバニア辺境地帯の「ストライプヒルズ」……ラールガーズリーチを出て、すぐの場所で待っているはず。気が向いたら、会ってやってほしい。			心を映す鏡							
解放軍に協力している冒険者だな？悲願の成就はお前なくしては果たせなかったと、皆が噂しているぞ。俺が、ひそかに心を寄せている子もな……。			解放軍に協力している冒険者だな？悲願の成就はお前なくしては果たせなかったと、皆が噂しているぞ。俺が、ひそかに心を寄せている子もな……。			心を映す鏡							
きっとお前は、これからも強敵へと挑み続けるんだろうな……。そして、不特定多数の者から、好意を向けられるに違いない……。うらやましすぎて、噛みしめた奥歯が砕けそうだよ……。			きっとお前は、これからも強敵へと挑み続けるんだろうな……。そして、不特定多数の者から、好意を向けられるに違いない……。うらやましすぎて、噛みしめた奥歯が砕けそうだよ……。			心を映す鏡							
……さておき、この先に「悟りの円座」と呼ばれる場所がある。かつて星導教のモンク僧たちは、強者との戦いへと赴く前に、必ず円座に立ち寄り、木人を相手に技のキレを確認したという。			……さておき、この先に「悟りの円座」と呼ばれる場所がある。かつて星導教のモンク僧たちは、強者との戦いへと赴く前に、必ず円座に立ち寄り、木人を相手に技のキレを確認したという。			心を映す鏡							
木人相手の修行で何が得られるかは、お前の想像力次第……ある高僧は、こう言った……木人とは、心を映す鏡である、と……。お前の心の中に映る宿敵を、木人に投影するんだ！			木人相手の修行で何が得られるかは、お前の想像力次第……ある高僧は、こう言った……木人とは、心を映す鏡である、と……。お前の心の中に映る宿敵を、木人に投影するんだ！			心を映す鏡							
見事、打ち倒せればそれでよし。もしも倒せぬならば、その相手に挑むには時期尚早ということだ。			見事、打ち倒せればそれでよし。もしも倒せぬならば、その相手に挑むには時期尚早ということだ。			心を映す鏡							
もしお前が、強敵との戦いに備え、「悟りの円座」で修行したいときは、声をかけてくれ。現地まで誘導しよう。			もしお前が、強敵との戦いに備え、「悟りの円座」で修行したいときは、声をかけてくれ。現地まで誘導しよう。			心を映す鏡							
……そして、お前が強敵を倒したときは、声高らかに宣言してくれ。俺が想いを寄せる、器量よしのあの子の耳にも届くように、勝利の影には、木人へと導いてくれた俺の存在があったとな！			……そして、お前が強敵を倒したときは、声高らかに宣言してくれ。俺が想いを寄せる、器量よしのあの子の耳にも届くように、勝利の影には、木人へと導いてくれた俺の存在があったとな！			心を映す鏡							
「木人討滅戦」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、「傷だらけの偉丈夫」に話しかけることで開始できます。			「木人討滅戦」に挑戦可能になりました。このコンテンツは、コンテンツファインダーからではなく、「傷だらけの偉丈夫」に話しかけることで開始できます。			心を映す鏡							
ソーニーは、冒険者のことを探しているようだ。			ソーニーは、冒険者のことを探しているようだ。			草木汚染 聖モシャーヌ植物園							
ソーニーと話した。聖モシャーヌ植物園で再び起きた問題を解決するため、冒険者に手を貸してほしいようだ。低地ドラヴァニアの聖モシャーヌ植物園前にいる「ソーニー」と合流しよう。			ソーニーと話した。聖モシャーヌ植物園で再び起きた問題を解決するため、冒険者に手を貸してほしいようだ。低地ドラヴァニアの聖モシャーヌ植物園前にいる「ソーニー」と合流しよう。			草木汚染 聖モシャーヌ植物園							
ミッドナイト・デューから、詳しい話を聞いた。植物園を探索するため、園内地下の魔物を退治してほしいそうだ。「草木汚染 聖モシャーヌ植物園(Hard)」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			ミッドナイト・デューから、詳しい話を聞いた。植物園を探索するため、園内地下の魔物を退治してほしいそうだ。「草木汚染 聖モシャーヌ植物園(Hard)」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			草木汚染 聖モシャーヌ植物園							
「草木汚染 聖モシャーヌ植物園(Hard)」を攻略し、魔物たちを退治した。聖モシャーヌ植物園前にいる「ソーニー」に報告しよう。			「草木汚染 聖モシャーヌ植物園(Hard)」を攻略し、魔物たちを退治した。聖モシャーヌ植物園前にいる「ソーニー」に報告しよう。			草木汚染 聖モシャーヌ植物園							
ソーニーに報告した。聖モシャーヌ植物園の泥は、かつて研究されていた菌床だった。イディルシャイアの農業に大いなる恵みをもたらすことだろう。			ソーニーに報告した。聖モシャーヌ植物園の泥は、かつて研究されていた菌床だった。イディルシャイアの農業に大いなる恵みをもたらすことだろう。			草木汚染 聖モシャーヌ植物園							
聖モシャーヌ植物園前のソーニーと話す			聖モシャーヌ植物園前のソーニーと話す			草木汚染 聖モシャーヌ植物園							
「草木汚染 聖モシャーヌ植物園(Hard)」を攻略			「草木汚染 聖モシャーヌ植物園(Hard)」を攻略			草木汚染 聖モシャーヌ植物園							
聖モシャーヌ植物園前のソーニーと話す			聖モシャーヌ植物園前のソーニーと話す			草木汚染 聖モシャーヌ植物園							
おお、冒険者！アンタがアラミゴの解放軍に協力してるって聞いて、はるばるイディルシャイアから探しに来たんだぜ！			おお、冒険者！アンタがアラミゴの解放軍に協力してるって聞いて、はるばるイディルシャイアから探しに来たんだぜ！			草木汚染 聖モシャーヌ植物園							
実は、魔物を掃除してもらった植物園で、また問題が発生しちまってな……。			実は、魔物を掃除してもらった植物園で、また問題が発生しちまってな……。			草木汚染 聖モシャーヌ植物園							
もしも、また力を貸してくれるのなら、低地ドラヴァニアの聖モシャーヌ植物園まで来てくれ。詳しい話は、現地でさせてもらうからよ！			もしも、また力を貸してくれるのなら、低地ドラヴァニアの聖モシャーヌ植物園まで来てくれ。詳しい話は、現地でさせてもらうからよ！			草木汚染 聖モシャーヌ植物園							
来てくれると信じていたぜ、冒険者！詳しい話は、ミッドナイト・デューにしてもらうから、彼女が来るまで、少し待ってくれるか？			来てくれると信じていたぜ、冒険者！詳しい話は、ミッドナイト・デューにしてもらうから、彼女が来るまで、少し待ってくれるか？			草木汚染 聖モシャーヌ植物園							
久しぶりだな、冒険者。忙しいところだろうに、わざわざすまないな。イディルシャイアを代表して、感謝させてもらうよ。			久しぶりだな、冒険者。忙しいところだろうに、わざわざすまないな。イディルシャイアを代表して、感謝させてもらうよ。			草木汚染 聖モシャーヌ植物園							
それで、さっそく本題なんだが……。この泥まみれのコロポックルを見てくれ、珍しいだろう。			それで、さっそく本題なんだが……。この泥まみれのコロポックルを見てくれ、珍しいだろう。			草木汚染 聖モシャーヌ植物園							
植物園から出てきたこいつを俺が最初に見つけたんだが、やけに元気なコロポックルでな。			植物園から出てきたこいつを俺が最初に見つけたんだが、やけに元気なコロポックルでな。			草木汚染 聖モシャーヌ植物園							
グリーングラブ菜園の園芸師、エドギスに調べてもらったんだが、どうやら元気の源は、この泥にあるらしい。			グリーングラブ菜園の園芸師、エドギスに調べてもらったんだが、どうやら元気の源は、この泥にあるらしい。			草木汚染 聖モシャーヌ植物園							
植物に活力を与える泥だなんて、なかなか有益そうだろう？そんなわけで、植物園を調べて泥の秘密を探ろうとしたんだが、これが上手くいかなくってね……。			植物に活力を与える泥だなんて、なかなか有益そうだろう？そんなわけで、植物園を調べて泥の秘密を探ろうとしたんだが、これが上手くいかなくってね……。			草木汚染 聖モシャーヌ植物園							
元気が出すぎて凶暴化した泥まみれの魔物どもが、植物園の地下に、あふれかえっていたのさ。			元気が出すぎて凶暴化した泥まみれの魔物どもが、植物園の地下に、あふれかえっていたのさ。			草木汚染 聖モシャーヌ植物園							
つまり、今回もまた魔物退治を依頼したいのさ！俺と園芸師のエドギスが安全に園内を探索できるよう、切り込み役を、よろしく頼むぜ！			つまり、今回もまた魔物退治を依頼したいのさ！俺と園芸師のエドギスが安全に園内を探索できるよう、切り込み役を、よろしく頼むぜ！			草木汚染 聖モシャーヌ植物園							
