漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
シベルと話す			シベルと話す			網倉危機一髪							
チュチュルンと話す			チュチュルンと話す			網倉危機一髪							
ワワラゴと話す			ワワラゴと話す			網倉危機一髪							
シシプにマズラヤマーリンを納品			シシプにマズラヤマーリンを納品			網倉危機一髪							
シシプに報告			シシプに報告			網倉危機一髪							
大変！　大変なの、Forename！まずいことになっちゃったわ！！禁漁よ、禁漁！			大変！　大変なの、Forename！まずいことになっちゃったわ！！禁漁よ、禁漁！			網倉危機一髪							
漁師ギルドが海に出てはいけなくなってしまったの。メルウィブ提督の意を受けた、エインザル・スラフィルシン大甲将の命令でね……。			漁師ギルドが海に出てはいけなくなってしまったの。メルウィブ提督の意を受けた、エインザル・スラフィルシン大甲将の命令でね……。			網倉危機一髪							
なんでも伝説の「大海蛇」が出たとか、出ないとか。ともかく危険だから、当面は禁漁しろっていうのよ。ああ、なんてことなの……。			なんでも伝説の「大海蛇」が出たとか、出ないとか。ともかく危険だから、当面は禁漁しろっていうのよ。ああ、なんてことなの……。			網倉危機一髪							
なんでこんなことになっちゃったのかしら……？あまりにも一方的で、状況がわからないの。詳しい人にイロイロ確かめないと。			なんでこんなことになっちゃったのかしら……？あまりにも一方的で、状況がわからないの。詳しい人にイロイロ確かめないと。			網倉危機一髪							
うーん……あっ、そうだ！シベルさんに話を聞いてみて。商会は黒渦団とも取引してるし、何か知っているかも。			うーん……あっ、そうだ！シベルさんに話を聞いてみて。商会は黒渦団とも取引してるし、何か知っているかも。			網倉危機一髪							
ああ、どうも……。なにやら大変なことになっているようですね。禁漁の連絡は、私のところにも来ています。			ああ、どうも……。なにやら大変なことになっているようですね。禁漁の連絡は、私のところにも来ています。			網倉危機一髪							
海神リムレーンによって封印された大海蛇。それが復活したとき、リムサ・ロミンサは滅ぶ……！船乗りの間で、まことしやかに語られている伝説です。			海神リムレーンによって封印された大海蛇。それが復活したとき、リムサ・ロミンサは滅ぶ……！船乗りの間で、まことしやかに語られている伝説です。			網倉危機一髪							
伝説は伝説、と割り切ることができればいいのですが、目撃証言もあるせいか、みんな浮き足だってます。治安維持のため、禁漁はやむを得ないのかもしれません。			伝説は伝説、と割り切ることができればいいのですが、目撃証言もあるせいか、みんな浮き足だってます。治安維持のため、禁漁はやむを得ないのかもしれません。			網倉危機一髪							
ですが、理解はできても商売人としては困ります。早く漁を再開できなければ、漁師も商人もじり貧です。			ですが、理解はできても商売人としては困ります。早く漁を再開できなければ、漁師も商人もじり貧です。			網倉危機一髪							
それなのに、黒渦団も今はまだ新造船の就航前で、本格的な調査ができないようでして……。このままでは、いつ禁漁が解けるかわかりません。			それなのに、黒渦団も今はまだ新造船の就航前で、本格的な調査ができないようでして……。このままでは、いつ禁漁が解けるかわかりません。			網倉危機一髪							
海の安全を証明できればいいのですが……。しかし、こればかりは我が商会でもなんとも。			海の安全を証明できればいいのですが……。しかし、こればかりは我が商会でもなんとも。			網倉危機一髪							
ただ、大海蛇の目撃者をつきとめました。漁師ギルドにチュチュルンさんという方がいますよね。彼が目撃者らしいのです……話を聞いてみては？			ただ、大海蛇の目撃者をつきとめました。漁師ギルドにチュチュルンさんという方がいますよね。彼が目撃者らしいのです……話を聞いてみては？			網倉危機一髪							
チュチュルン、見たっちゃ、でっかい、お魚っちゃ！みんな、みんな「大海蛇」、言ってるっちゃ！チュチュルン、ガクブルっちゃ。			チュチュルン、見たっちゃ、でっかい、お魚っちゃ！みんな、みんな「大海蛇」、言ってるっちゃ！チュチュルン、ガクブルっちゃ。			網倉危機一髪							
でも、チュチュルン、お魚、食べたいっちゃ。ギルドマスター、相談っちゃ。			でも、チュチュルン、お魚、食べたいっちゃ。ギルドマスター、相談っちゃ。			網倉危機一髪							
禁漁が解除されるには、やはり海の安全を証明するしか……。			禁漁が解除されるには、やはり海の安全を証明するしか……。			網倉危機一髪							
話は聞いておるよ、冒険者クン。しかし……「大海蛇」が出たという話はどうも信じられん。チュチュルンクンが、別の魚影を見間違えたんぢやろう。			話は聞いておるよ、冒険者クン。しかし……「大海蛇」が出たという話はどうも信じられん。チュチュルンクンが、別の魚影を見間違えたんぢやろう。			網倉危機一髪							
海の上では距離感が掴み辛いからのう……熟練の漁師でも、大きさを見誤ることはあるんぢやよ。ある程度以上でかい場合はとくに、のう。			海の上では距離感が掴み辛いからのう……熟練の漁師でも、大きさを見誤ることはあるんぢやよ。ある程度以上でかい場合はとくに、のう。			網倉危機一髪							
そしてこの時期、リムサ・ロミンサ近海には、非常にでっかいお魚さんが出現することがあってな……。でかさに驚き、冷静な判断ができんかったに違いない！			そしてこの時期、リムサ・ロミンサ近海には、非常にでっかいお魚さんが出現することがあってな……。でかさに驚き、冷静な判断ができんかったに違いない！			網倉危機一髪							
その名は「マズラヤマーリン」。東ラノシア「北ブラッドショア」の釣り場に出没する、そらもうチビってしまうほど、大きなお魚さんぢや。			その名は「マズラヤマーリン」。東ラノシア「北ブラッドショア」の釣り場に出没する、そらもうチビってしまうほど、大きなお魚さんぢや。			網倉危機一髪							
ぢやが、この魚のことを口で説明しただけでは、スラフィルシンの石頭はダメなのぢや。ここは……「マズラヤマーリン」を釣り上げるしかない！			ぢやが、この魚のことを口で説明しただけでは、スラフィルシンの石頭はダメなのぢや。ここは……「マズラヤマーリン」を釣り上げるしかない！			網倉危機一髪							
しかし、「マズラヤマーリン」は一筋縄ではいかぬ相手。かつてわしは一度だけ、戦ったことがあるのぢやが、釣り糸をぶち切り、逃げられてしまったのぢや。			しかし、「マズラヤマーリン」は一筋縄ではいかぬ相手。かつてわしは一度だけ、戦ったことがあるのぢやが、釣り糸をぶち切り、逃げられてしまったのぢや。			網倉危機一髪							
その上、巨体に似合わず奴は用心深い。……ぢやが案ずるなかれ、そんなお魚さんを釣り上げる、必殺の漁法がある……そう、「泳がせ釣り」ぢや！！			その上、巨体に似合わず奴は用心深い。……ぢやが案ずるなかれ、そんなお魚さんを釣り上げる、必殺の漁法がある……そう、「泳がせ釣り」ぢや！！			網倉危機一髪							
お魚さんの食物連鎖を利用するのぢや、冒険者クン！チミはまず、「ゴビーボール」を用意して、「ハーバーヘリング」を釣り上げたまえ。			お魚さんの食物連鎖を利用するのぢや、冒険者クン！チミはまず、「ゴビーボール」を用意して、「ハーバーヘリング」を釣り上げたまえ。			網倉危機一髪							
そして釣り上げた「ハーバーヘリング」を泳がせ、「オーガバラクーダ」を釣り上げ……そして！それを泳がせて「マズラヤマーリン」を釣るんぢや！			そして釣り上げた「ハーバーヘリング」を泳がせ、「オーガバラクーダ」を釣り上げ……そして！それを泳がせて「マズラヤマーリン」を釣るんぢや！			網倉危機一髪							
実を言えば、わしも再挑戦したいところぢやが……禁漁中に、ギルドマスターが堂々と釣りはできん。ここは冒険者クン、チミの出番ぢやよ！			実を言えば、わしも再挑戦したいところぢやが……禁漁中に、ギルドマスターが堂々と釣りはできん。ここは冒険者クン、チミの出番ぢやよ！			網倉危機一髪							
わしらは、全力でヒマそうに遊び回る！その間に「マズラヤマーリン」を釣り上げて、シシプちゃんに届けるのぢや！			わしらは、全力でヒマそうに遊び回る！その間に「マズラヤマーリン」を釣り上げて、シシプちゃんに届けるのぢや！			網倉危機一髪							
「マズラヤマーリン」が要るの！親分がいるって言うなら絶対いるはずだから……頑張って釣り上げてきてね！			「マズラヤマーリン」が要るの！親分がいるって言うなら絶対いるはずだから……頑張って釣り上げてきてね！			網倉危機一髪							
きた！これが「マズラヤマーリン」なの！？ちょ、ちょっと予想以上におっきいわね……！			きた！これが「マズラヤマーリン」なの！？ちょ、ちょっと予想以上におっきいわね……！			網倉危機一髪							
ともかく、これをスラフィルシン大甲将に見せないと。シベルさんに頼んで、段取りはもう済んでるの。商会のツテを使ってもらったのよ。			ともかく、これをスラフィルシン大甲将に見せないと。シベルさんに頼んで、段取りはもう済んでるの。商会のツテを使ってもらったのよ。			網倉危機一髪							
フッフフ……。臨検以外で商船に乗るのは、随分久しぶりだぜ。			フッフフ……。臨検以外で商船に乗るのは、随分久しぶりだぜ。			網倉危機一髪							
いい船持ってるじゃあねぇか、ブルゲール商会よ。なんか悪ィことして貯めた金だったりしねぇか？			いい船持ってるじゃあねぇか、ブルゲール商会よ。なんか悪ィことして貯めた金だったりしねぇか？			網倉危機一髪							
め、めっそうもない！閣下におかれましてはお忙しい中、お時間を割いていただけたことを大変感謝……。			め、めっそうもない！閣下におかれましてはお忙しい中、お時間を割いていただけたことを大変感謝……。			網倉危機一髪							
冗談だ、マジになるんじゃあないぜ。それにそういうのはいい、堅っ苦しいのは苦手だ。やるべきことをさっさとやろうぜ、なぁ。			冗談だ、マジになるんじゃあないぜ。それにそういうのはいい、堅っ苦しいのは苦手だ。やるべきことをさっさとやろうぜ、なぁ。			網倉危機一髪							
ひゃ、ひゃいっ！			ひゃ、ひゃいっ！			網倉危機一髪							
あの、スラフィルシンさん。「マズラヤマーリン」を見てください！			あの、スラフィルシンさん。「マズラヤマーリン」を見てください！			網倉危機一髪							
おうよ、そいつが「マズラヤマーリン」だな？でけぇ魚だぜ、こんなもん釣り上げるとは大したもんだ。			おうよ、そいつが「マズラヤマーリン」だな？でけぇ魚だぜ、こんなもん釣り上げるとは大したもんだ。			網倉危機一髪							
それで……お前さんたちゃ、そのマズラヤマーリンこそ、巷を騒がせる大海蛇騒ぎの元凶だって主張するわけだな？			それで……お前さんたちゃ、そのマズラヤマーリンこそ、巷を騒がせる大海蛇騒ぎの元凶だって主張するわけだな？			網倉危機一髪							
いかにも、そうぢや。他に理由なぞ考えられん、わかったらさっさと禁漁を解除するのぢや！			いかにも、そうぢや。他に理由なぞ考えられん、わかったらさっさと禁漁を解除するのぢや！			網倉危機一髪							
ちょっと親分！スラフィルシンさんに失礼でしょ！？			ちょっと親分！スラフィルシンさんに失礼でしょ！？			網倉危機一髪							
はっはっは、気にすんなお嬢ちゃん。ワワラゴの爺さんのことは昔から知ってる、この程度で腹立てたりはしねぇよ。			はっはっは、気にすんなお嬢ちゃん。ワワラゴの爺さんのことは昔から知ってる、この程度で腹立てたりはしねぇよ。			網倉危機一髪							
うむ……それで、どうなのぢや？禁漁を解除するのか、しないのか、はっきりせい！			うむ……それで、どうなのぢや？禁漁を解除するのか、しないのか、はっきりせい！			網倉危機一髪							
そうだなぁ……。			そうだなぁ……。			網倉危機一髪							
禁漁の解除を……。			禁漁の解除を……。			網倉危機一髪							
禁漁の解除を？			禁漁の解除を？			網倉危機一髪							
認めようじゃないか。手続きもあるが……まぁ明日までには布告させるぜ。			認めようじゃないか。手続きもあるが……まぁ明日までには布告させるぜ。			網倉危機一髪							
あ、あれ？それだけでしょうか、閣下？			あ、あれ？それだけでしょうか、閣下？			網倉危機一髪							
そうだが……どうかしたか？			そうだが……どうかしたか？			網倉危機一髪							
いえ、その……こんなものは証拠にならん、とか言われるかもしれないと思っていたもので。			いえ、その……こんなものは証拠にならん、とか言われるかもしれないと思っていたもので。			網倉危機一髪							
そんなことはないぜ、オレたち黒渦団が探していたものを、代わりに見つけ出してくれたようなものだ。大いに証拠になったとも、冒険者さまさまだ。			そんなことはないぜ、オレたち黒渦団が探していたものを、代わりに見つけ出してくれたようなものだ。大いに証拠になったとも、冒険者さまさまだ。			網倉危機一髪							
「大海蛇」の出没の陰に、サハギン族の関与を疑った我ら黒渦団は、極秘に調査していたんだが……この一件、実は誤解ってやつだったのさ。			「大海蛇」の出没の陰に、サハギン族の関与を疑った我ら黒渦団は、極秘に調査していたんだが……この一件、実は誤解ってやつだったのさ。			網倉危機一髪							
なんでも黒渦団の調べによれば、最初は単純に「でかい魚を見つけた」という話だったんだろ？お前さんたちのとこの、ギルド員が言うには。			なんでも黒渦団の調べによれば、最初は単純に「でかい魚を見つけた」という話だったんだろ？お前さんたちのとこの、ギルド員が言うには。			網倉危機一髪							
噂ってのは、ホント怖いよなぁ。人の口に上るうちに、「大海蛇のようにでかい」になって、最後にゃ「大海蛇を見つけた」になったらしい。			噂ってのは、ホント怖いよなぁ。人の口に上るうちに、「大海蛇のようにでかい」になって、最後にゃ「大海蛇を見つけた」になったらしい。			網倉危機一髪							
まったく人騒がせなこったぜ。噂ってのはそういうもんだから、しょうがねぇけどよ。			まったく人騒がせなこったぜ。噂ってのはそういうもんだから、しょうがねぇけどよ。			網倉危機一髪							
ええと……じゃあ何もしなくても、もしかして禁漁は解除されてたの？			ええと……じゃあ何もしなくても、もしかして禁漁は解除されてたの？			網倉危機一髪							
いいや、一度出した布告を撤回するにゃ理由がいる。冒険者が釣った「マズラヤマーリン」がなかったら、こんなに早く禁漁は解除できなかったさ。			いいや、一度出した布告を撤回するにゃ理由がいる。冒険者が釣った「マズラヤマーリン」がなかったら、こんなに早く禁漁は解除できなかったさ。			網倉危機一髪							
そうなんだ……Forenameには感謝しないとダメね。あ、そういえばひとつ、気になってることがあるのよ。どうして、噂が変化しちゃったのかしら？			そうなんだ……Forenameには感謝しないとダメね。あ、そういえばひとつ、気になってることがあるのよ。どうして、噂が変化しちゃったのかしら？			網倉危機一髪							
ううん……。もしかするとわしのせいかもしれんのぢや、それ。			ううん……。もしかするとわしのせいかもしれんのぢや、それ。			網倉危機一髪							
ど、どーゆーこと、親分？			ど、どーゆーこと、親分？			網倉危機一髪							
実はちょっと前、チュチュルンクンに、大きなお魚さんのことを知らないかって聞かれてのう。「大海蛇のようにでかいのがいる」と答えた気が……。			実はちょっと前、チュチュルンクンに、大きなお魚さんのことを知らないかって聞かれてのう。「大海蛇のようにでかいのがいる」と答えた気が……。			網倉危機一髪							
うぉっほん！ま、まぁ……今のは聞かなかったことにするぜ。とにもかくにも、協力ご苦労だった。			うぉっほん！ま、まぁ……今のは聞かなかったことにするぜ。とにもかくにも、協力ご苦労だった。			網倉危機一髪							
黒渦団を仕切る身として、感謝する。禁漁解除は、手続きが終わり次第ギルドに知らせよう。戻って連絡を待つといい。			黒渦団を仕切る身として、感謝する。禁漁解除は、手続きが終わり次第ギルドに知らせよう。戻って連絡を待つといい。			網倉危機一髪							
まったく……噂って怖いのね。噂ひとつで、危うく漁師ギルドが破産するところだったわ。			まったく……噂って怖いのね。噂ひとつで、危うく漁師ギルドが破産するところだったわ。			網倉危機一髪							
でも、もう大丈夫ね。スラフィルシン大甲将も保証してくれたし、明日っからは元通りの毎日よ。			でも、もう大丈夫ね。スラフィルシン大甲将も保証してくれたし、明日っからは元通りの毎日よ。			網倉危機一髪							
それもこれも、Forenameのおかげね。閣下も言ってたけど、あなたの釣ったお魚さんが、決め手になったわけじゃない？			それもこれも、Forenameのおかげね。閣下も言ってたけど、あなたの釣ったお魚さんが、決め手になったわけじゃない？			網倉危機一髪							
漁師ギルドにあなたが入ってくれて、本当によかった。あなたに目をつけたン・ンムリカのお手柄よね。			漁師ギルドにあなたが入ってくれて、本当によかった。あなたに目をつけたン・ンムリカのお手柄よね。			網倉危機一髪							
ちょっと前まで初心者だと思ったら、今では親分にも釣れなかったお魚さん、マズラヤマーリンを釣り上げちゃうんだもんね。			ちょっと前まで初心者だと思ったら、今では親分にも釣れなかったお魚さん、マズラヤマーリンを釣り上げちゃうんだもんね。			網倉危機一髪							
もう、名実ともにギルドいちの漁師はあなたね。でも親分はまだまだ若いつもりだから、きっと悔しがるなぁ……負けず嫌いだから、あれでもね。			もう、名実ともにギルドいちの漁師はあなたね。でも親分はまだまだ若いつもりだから、きっと悔しがるなぁ……負けず嫌いだから、あれでもね。			網倉危機一髪							
あなたと親分の二人で、ずーっとずーっと頑張って競い合って、漁師ギルドを盛り上げていってほしいな。			あなたと親分の二人で、ずーっとずーっと頑張って競い合って、漁師ギルドを盛り上げていってほしいな。			網倉危機一髪							
そうすれば、みんなももっと盛り上がるに違いないの。一番であるあなたの背中を、追いかけてね。			そうすれば、みんなももっと盛り上がるに違いないの。一番であるあなたの背中を、追いかけてね。			網倉危機一髪							
「漁師」の物語が、ひとつの区切りを迎えました！次の「漁師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「漁師」の物語が、ひとつの区切りを迎えました！次の「漁師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			網倉危機一髪							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			網倉危機一髪							
条件を満たし、漁師ギルドの、「シシプ」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、漁師ギルドの、「シシプ」に話しかけ、新たなクラスクエストを開始しましょう！			網倉危機一髪							
漁師ギルドのワワラゴのもとに、レイナから連絡が来たようだ。			漁師ギルドのワワラゴのもとに、レイナから連絡が来たようだ。			いざ、産卵地へ							
「海の流星」の産卵地は東方の紅玉海らしい。クガネに向かい、「レイナ」と合流しよう。			「海の流星」の産卵地は東方の紅玉海らしい。クガネに向かい、「レイナ」と合流しよう。			いざ、産卵地へ							
ゴォヴが「海の流星」と呼ぶ魚は、「春告魚」で合っているようだ。その行方を探すため、紅玉海の碧のタマミズに棲むコウジン族に話を聞きに行こう。			ゴォヴが「海の流星」と呼ぶ魚は、「春告魚」で合っているようだ。その行方を探すため、紅玉海の碧のタマミズに棲むコウジン族に話を聞きに行こう。			いざ、産卵地へ							
「海の流星」は、紅玉海の沖之岩近海ならまだ生息しているかもしれない。いったん、紅玉海のベッコウ島で「レイナ」と合流しよう。			「海の流星」は、紅玉海の沖之岩近海ならまだ生息しているかもしれない。いったん、紅玉海のベッコウ島で「レイナ」と合流しよう。			いざ、産卵地へ							
レイナは減少の原因を探るため、「海の流星」を捕獲したいらしい。「海の流星」改め、「春告魚の稚魚」を3匹釣り上げて、ベッコウ島の「レイナ」に納品しよう。春告魚の稚魚は、沖之岩近海で釣ることができるようだ。			レイナは減少の原因を探るため、「海の流星」を捕獲したいらしい。「海の流星」改め、「春告魚の稚魚」を3匹釣り上げて、ベッコウ島の「レイナ」に納品しよう。春告魚の稚魚は、沖之岩近海で釣ることができるようだ。			いざ、産卵地へ							
「春告魚の稚魚」をレイナに納品した。漁師ギルドの「ワワラゴ」に報告しよう。			「春告魚の稚魚」をレイナに納品した。漁師ギルドの「ワワラゴ」に報告しよう。			いざ、産卵地へ							
「海の流星」の正体が突き止められたことを、ワワラゴも喜んでくれた。しかし、ひとりだけ調査に加われないことは、やはり寂しいようだ。※漁師のレベルが68以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			「海の流星」の正体が突き止められたことを、ワワラゴも喜んでくれた。しかし、ひとりだけ調査に加われないことは、やはり寂しいようだ。※漁師のレベルが68以上になると、漁師ギルドのワワラゴから次の漁師クエストを受注することができます。			いざ、産卵地へ							
クガネのレイナと合流			クガネのレイナと合流			いざ、産卵地へ							
碧のタマミズでコウジン族と話す			碧のタマミズでコウジン族と話す			いざ、産卵地へ							
ベッコウ島でレイナと合流			ベッコウ島でレイナと合流			いざ、産卵地へ							
沖之岩近海で春告魚の稚魚を釣るレイナに春告魚の稚魚を納品			沖之岩近海で春告魚の稚魚を釣るレイナに春告魚の稚魚を納品			いざ、産卵地へ							
漁師ギルドのワワラゴに報告			漁師ギルドのワワラゴに報告			いざ、産卵地へ							
おお、ナイスタイミングぢやぞ！レイナちゃんから、熱～いメッセージが来たぞい。「海の流星」の産卵地が判明したそうぢや！！			おお、ナイスタイミングぢやぞ！レイナちゃんから、熱～いメッセージが来たぞい。「海の流星」の産卵地が判明したそうぢや！！			いざ、産卵地へ							
彼女の推測どおりぢやった。やはり、「海の流星」がラノシアに現れる季節に、特有の海流が、東から西へ流れを速めることが判明したらしい。			彼女の推測どおりぢやった。やはり、「海の流星」がラノシアに現れる季節に、特有の海流が、東から西へ流れを速めることが判明したらしい。			いざ、産卵地へ							
産卵後、「海の流星」はその海流に乗って、ラノシアまでの長旅をしているのぢやろう……。レイナちゃん曰く、産卵地は「紅玉海」だそうぢや！			産卵後、「海の流星」はその海流に乗って、ラノシアまでの長旅をしているのぢやろう……。レイナちゃん曰く、産卵地は「紅玉海」だそうぢや！			いざ、産卵地へ							
……というところまで、ゴォヴクンに説明したところ、「紅玉海にいるのだな！」と海に飛び込んでいきおった。紅玉海まで、いったいどれだけ距離があると思っておるのか……。			……というところまで、ゴォヴクンに説明したところ、「紅玉海にいるのだな！」と海に飛び込んでいきおった。紅玉海まで、いったいどれだけ距離があると思っておるのか……。			いざ、産卵地へ							
レイナちゃんも、急いで現地に向かうそうぢや。本来なら、ワシも一緒に紅玉海へ向かいたいのぢやが、いまだにシシプちゃんの監視が厳しくての……。			レイナちゃんも、急いで現地に向かうそうぢや。本来なら、ワシも一緒に紅玉海へ向かいたいのぢやが、いまだにシシプちゃんの監視が厳しくての……。			いざ、産卵地へ							
すまぬが、調査は「レイナ」ちゃんとふたりでお願いするぞい。彼女は、船でひんがしの国の港街「クガネ」に向かったでな。			すまぬが、調査は「レイナ」ちゃんとふたりでお願いするぞい。彼女は、船でひんがしの国の港街「クガネ」に向かったでな。			いざ、産卵地へ							
まずは「クガネ」で「レイナ」ちゃんと合流するのぢや。くぅ……ワシもレイナちゃんに会いたかったぞい……。			まずは「クガネ」で「レイナ」ちゃんと合流するのぢや。くぅ……ワシもレイナちゃんに会いたかったぞい……。			いざ、産卵地へ							
ようこそ、クガネへおいでませっ、な～んてね。待ってたよ、Forename！			ようこそ、クガネへおいでませっ、な～んてね。待ってたよ、Forename！			いざ、産卵地へ							
話は、ワワラゴさんから聞いただろう？ゴォヴも、泳ぎで到着するには、流石に時間がかかるだろうし、「海の流星」について、先に聞き込みしておいたよ。			話は、ワワラゴさんから聞いただろう？ゴォヴも、泳ぎで到着するには、流石に時間がかかるだろうし、「海の流星」について、先に聞き込みしておいたよ。			いざ、産卵地へ							
それによると、サハギン族が「海の流星」と呼ぶ魚は、この近海に棲む「春告魚(はるつげうお)」で間違いなさそうだ！春先に産卵期を迎えるため、そう呼ばれてるんだってさ！			それによると、サハギン族が「海の流星」と呼ぶ魚は、この近海に棲む「春告魚(はるつげうお)」で間違いなさそうだ！春先に産卵期を迎えるため、そう呼ばれてるんだってさ！			いざ、産卵地へ							
ただ、やっぱり最近その姿を見た漁師はいないらしくて……。これ以上の情報を知りたいなら、陸ではなく、海中に棲む者たちに聞いてみるといいそうだよ。			ただ、やっぱり最近その姿を見た漁師はいないらしくて……。これ以上の情報を知りたいなら、陸ではなく、海中に棲む者たちに聞いてみるといいそうだよ。			いざ、産卵地へ							
なんでも、紅玉海の海中には、「コウジン族」という、海棲種族がいるらしくてね。彼らの棲む「碧のタマミズ」で話を聞いてみよう！			なんでも、紅玉海の海中には、「コウジン族」という、海棲種族がいるらしくてね。彼らの棲む「碧のタマミズ」で話を聞いてみよう！			いざ、産卵地へ							
「海の流星」の産卵地である「紅玉海」なら、その正体や、減少の原因も調べられるはずぢや！			「海の流星」の産卵地である「紅玉海」なら、その正体や、減少の原因も調べられるはずぢや！			いざ、産卵地へ							
ゴォヴの奴、今度は釣り上げられたんじゃなくて、コウジン族が張っていた網にかかったらしいよ……。何やってんだか……。			ゴォヴの奴、今度は釣り上げられたんじゃなくて、コウジン族が張っていた網にかかったらしいよ……。何やってんだか……。			いざ、産卵地へ							
フ、フスィーッ！　なんだ、このしゃべる亀はぁぁぁーーー！！			フ、フスィーッ！　なんだ、このしゃべる亀はぁぁぁーーー！！			いざ、産卵地へ							
うわぁ～、しゃべる魚だよぉ～！　すっごいねぇ～！なんかデッカイのが、網の中でもがいてるとは思ったけど、こんな珍しいのが引っかかってたなんてぇ～！			うわぁ～、しゃべる魚だよぉ～！　すっごいねぇ～！なんかデッカイのが、網の中でもがいてるとは思ったけど、こんな珍しいのが引っかかってたなんてぇ～！			いざ、産卵地へ							
コイツがどこの誰なのか、すっごく気になるぅ～！君たち、このデッカイ魚のお知り合いなのぉ～？			コイツがどこの誰なのか、すっごく気になるぅ～！君たち、このデッカイ魚のお知り合いなのぉ～？			いざ、産卵地へ							
へぇ～、「海の流星」って魚を探しにきたんだぁ～！確かに、紅玉海で産卵して、西の海に旅立つ魚がいるよぉ～。でも、最近は姿を見てないなぁ～……。			へぇ～、「海の流星」って魚を探しにきたんだぁ～！確かに、紅玉海で産卵して、西の海に旅立つ魚がいるよぉ～。でも、最近は姿を見てないなぁ～……。			いざ、産卵地へ							
フスィーッ……なんということだ……。ラノシア海では姿を消そうとも、紅玉海でなら、「海の流星」も生きてくれていると信じて来たのに……！			フスィーッ……なんということだ……。ラノシア海では姿を消そうとも、紅玉海でなら、「海の流星」も生きてくれていると信じて来たのに……！			いざ、産卵地へ							
ん～？　君、面白いヤツだねぇ～。オレたちにとって、魚なんて日々のご飯でしかないよぉ～？ご飯がちょっと減るだけで、そんな悲しむなんてぇ～。			ん～？　君、面白いヤツだねぇ～。オレたちにとって、魚なんて日々のご飯でしかないよぉ～？ご飯がちょっと減るだけで、そんな悲しむなんてぇ～。			いざ、産卵地へ							
……たしかに、俺だって魚を獲って、喰らう。だが、ひとつの種がまるごと消えて構わないとは思えなかった。あの美しい姿を失いたくない……俺は、ただそれだけだ……。			……たしかに、俺だって魚を獲って、喰らう。だが、ひとつの種がまるごと消えて構わないとは思えなかった。あの美しい姿を失いたくない……俺は、ただそれだけだ……。			いざ、産卵地へ							
…………そんな考え方するヤツ、初めて見たぁ～。面白そうだからぁ～、オレも魚探しに協力するよぉ～。			…………そんな考え方するヤツ、初めて見たぁ～。面白そうだからぁ～、オレも魚探しに協力するよぉ～。			いざ、産卵地へ							
「海の流星」って呼んでるんだっけぇ～？その魚、数は減ったけど、沖之岩近海の方なら、まだ少しは、生き残ってるんじゃないかなぁ～。			「海の流星」って呼んでるんだっけぇ～？その魚、数は減ったけど、沖之岩近海の方なら、まだ少しは、生き残ってるんじゃないかなぁ～。			いざ、産卵地へ							
フスィーッ！　ほ、本当か！？その場所を探せば、「海の流星」がいるのだな！			フスィーッ！　ほ、本当か！？その場所を探せば、「海の流星」がいるのだな！			いざ、産卵地へ							
フスィーッ！　急いで、沖之岩近海なる場所へ向かうぞ！！なんとしても、「海の流星」を探し出すのだ！			フスィーッ！　急いで、沖之岩近海なる場所へ向かうぞ！！なんとしても、「海の流星」を探し出すのだ！			いざ、産卵地へ							
Forename、沖之岩近海に向かう前に、いったん、「ベッコウ島」辺りで話せないかい？「海の流星」をどう探すかについて、相談したいんだ。			Forename、沖之岩近海に向かう前に、いったん、「ベッコウ島」辺りで話せないかい？「海の流星」をどう探すかについて、相談したいんだ。			いざ、産卵地へ							
あの魚のこと、「海の流星」って呼んでるんだぁ～。あんまり美味しくないから、探したことないんだよね～。探すんなら、がんばって～。			あの魚のこと、「海の流星」って呼んでるんだぁ～。あんまり美味しくないから、探したことないんだよね～。探すんなら、がんばって～。			いざ、産卵地へ							
ゴォヴったら、気合充分だね……。さっそく、「海の流星」を探しに潜っていったよ。しばらくしたら戻ってくるようには言っといたけど。			ゴォヴったら、気合充分だね……。さっそく、「海の流星」を探しに潜っていったよ。しばらくしたら戻ってくるようには言っといたけど。			いざ、産卵地へ							
……さて、「海の流星」を探しに行く前に、あんたに、ひとつ頼みがあるんだ。			……さて、「海の流星」を探しに行く前に、あんたに、ひとつ頼みがあるんだ。			いざ、産卵地へ							
「海の流星」が減少をつづけている限り、結局、いつか絶滅してしまうのは避けられない……。探すだけじゃなく、減少の原因を探らなくちゃ。			「海の流星」が減少をつづけている限り、結局、いつか絶滅してしまうのは避けられない……。探すだけじゃなく、減少の原因を探らなくちゃ。			いざ、産卵地へ							
