アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			アラガーナの温厚なキキルン族は、護衛をしてくれる人を探しているようだ。			弱き者の底意地							
「トゥルーグリフィンの肉」、獲ってきてくれた？			「トゥルーグリフィンの肉」、獲ってきてくれた？			すんごいご馳走							
すごい！　こんなにたくさん！			すごい！　こんなにたくさん！			すんごいご馳走							
このお肉はね、おいしいだけじゃなくて、すごく栄養があるって、お母さんが言ってたんだ。滅多に食べられないから、妹もぜったいに喜ぶよ！			このお肉はね、おいしいだけじゃなくて、すごく栄養があるって、お母さんが言ってたんだ。滅多に食べられないから、妹もぜったいに喜ぶよ！			すんごいご馳走							
お父さんにも、食べさせてあげたいな……。お仕事で遠くに行ってるんだけど、最近はお手紙が来ないし、早く戻ってこないかなぁ。			お父さんにも、食べさせてあげたいな……。お仕事で遠くに行ってるんだけど、最近はお手紙が来ないし、早く戻ってこないかなぁ。			すんごいご馳走							
それまでに、お姉ちゃんお兄ちゃんみたいに強くなって、家族みんなに、いっぱいお肉を食べさせてあげるんだ！ありがとう、また遊びにきてね！			それまでに、お姉ちゃんお兄ちゃんみたいに強くなって、家族みんなに、いっぱいお肉を食べさせてあげるんだ！ありがとう、また遊びにきてね！			すんごいご馳走							
コールドハースのサガルは、外からやってきた冒険者に頼みがあるようだ。			コールドハースのサガルは、外からやってきた冒険者に頼みがあるようだ。			息子を探して							
サガルから、悩んでいる村の住人の話を聞いてほしいと頼まれた。コールドハースの「ベレータ」と話そう。			サガルから、悩んでいる村の住人の話を聞いてほしいと頼まれた。コールドハースの「ベレータ」と話そう。			息子を探して							
ベレータと話した。彼女から、帝国の強制徴募を嫌ってコールドハースを出ていった息子、エラートを探してほしいと頼まれた。ギラバニア山岳地帯のラジアタでエラートについて情報を集めよう。			ベレータと話した。彼女から、帝国の強制徴募を嫌ってコールドハースを出ていった息子、エラートを探してほしいと頼まれた。ギラバニア山岳地帯のラジアタでエラートについて情報を集めよう。			息子を探して							
ラジアタで情報を集めた。ラジアタの「ゴダフレ」と話そう。			ラジアタで情報を集めた。ラジアタの「ゴダフレ」と話そう。			息子を探して							
ゴダフレと話した。彼はエラートを匿い、スペキュラ・インペラトリスを越えてワイトロック方面へ逃がしたらしい。コールドハースの「ベレータ」に報告しよう。			ゴダフレと話した。彼はエラートを匿い、スペキュラ・インペラトリスを越えてワイトロック方面へ逃がしたらしい。コールドハースの「ベレータ」に報告しよう。			息子を探して							
ベレータに報告した。彼女はエラートが帝国から逃げ切れたことに安心したようだ。引き続き、エラートを捜索してみよう。			ベレータに報告した。彼女はエラートが帝国から逃げ切れたことに安心したようだ。引き続き、エラートを捜索してみよう。			息子を探して							
ベレータと話す			ベレータと話す			息子を探して							
ラジアタで情報を集める			ラジアタで情報を集める			息子を探して							
ゴダフレと話す			ゴダフレと話す			息子を探して							
ベレータに報告			ベレータに報告			息子を探して							
……あんた、ちょっと頼みがある。この村に住む「ベレータ」って者が、最近、何かに悩んでいるようなんだ。			……あんた、ちょっと頼みがある。この村に住む「ベレータ」って者が、最近、何かに悩んでいるようなんだ。			息子を探して							
村の者が尋ねてみても、はぐらかされてしまってな。だが、外から来た冒険者なら、打ち明けてくれるかもしれん。「ベレータ」から、話だけでも聞いてもらえないか。			村の者が尋ねてみても、はぐらかされてしまってな。だが、外から来た冒険者なら、打ち明けてくれるかもしれん。「ベレータ」から、話だけでも聞いてもらえないか。			息子を探して							
すまないが、「ベレータ」が何に悩んでいるか、彼女から、話だけでも聞いてもらえないか。			すまないが、「ベレータ」が何に悩んでいるか、彼女から、話だけでも聞いてもらえないか。			息子を探して							
おやまあ、ラウバーンさんといっしょにいた冒険者さんだね。こんな辺ぴな村へ、よく来てくれた！オバチャンに、なにかご用かい？			おやまあ、ラウバーンさんといっしょにいた冒険者さんだね。こんな辺ぴな村へ、よく来てくれた！オバチャンに、なにかご用かい？			息子を探して							
……そうかい、サガルさんが心配を。いろいろ考えていたが、そうだねえ、こうなったなら冒険者さんに、ひとつ頼んでいいかい？			……そうかい、サガルさんが心配を。いろいろ考えていたが、そうだねえ、こうなったなら冒険者さんに、ひとつ頼んでいいかい？			息子を探して							
オバチャンには、この集落を飛び出した、今年で20歳になる息子がいてね。その子を探してほしいんだよ。			オバチャンには、この集落を飛び出した、今年で20歳になる息子がいてね。その子を探してほしいんだよ。			息子を探して							
2年前のこと、帝国軍が強制徴募にやってきてね……。息子はそれを嫌がって逃げ出し、以降、音沙汰なし。いまはどこをほっつき歩いているのやら。			2年前のこと、帝国軍が強制徴募にやってきてね……。息子はそれを嫌がって逃げ出し、以降、音沙汰なし。いまはどこをほっつき歩いているのやら。			息子を探して							
でもこのあたりの帝国軍は、追い払われたって話でしょ。もうあの子を、捕まえようとする輩はいない。だからもう、帰ってきてもいいと思ってね……。			でもこのあたりの帝国軍は、追い払われたって話でしょ。もうあの子を、捕まえようとする輩はいない。だからもう、帰ってきてもいいと思ってね……。			息子を探して							
だけど、オバチャン、集落からロクに出たことない田舎者だから、息子を見つけられるとは、どうしても思えなくて……。そこで、冒険者さんの力を借りたいのさ。			だけど、オバチャン、集落からロクに出たことない田舎者だから、息子を見つけられるとは、どうしても思えなくて……。そこで、冒険者さんの力を借りたいのさ。			息子を探して							
おや、頼みを聞いてくれるのかい、ありがとう！それならまず、「ラジアタ」って集落を調べてみておくれ。息子が集落を飛び出したなら、まずはそこへ立ち寄ったはずさ。			おや、頼みを聞いてくれるのかい、ありがとう！それならまず、「ラジアタ」って集落を調べてみておくれ。息子が集落を飛び出したなら、まずはそこへ立ち寄ったはずさ。			息子を探して							
やってくる行商さんから聞いた話だけどね。どこへ行くにしても、帝国の施設を通らなきゃならないから、しばらくの間、「ラジアタ」に身を潜めていたはず……だそうだ。			やってくる行商さんから聞いた話だけどね。どこへ行くにしても、帝国の施設を通らなきゃならないから、しばらくの間、「ラジアタ」に身を潜めていたはず……だそうだ。			息子を探して							
そうそう、息子の名前はエラートだよ。金髪で、頬に古い傷跡が残ってるはずさ。よろしく頼んだからね、冒険者さん！			そうそう、息子の名前はエラートだよ。金髪で、頬に古い傷跡が残ってるはずさ。よろしく頼んだからね、冒険者さん！			息子を探して							
オバチャンの息子、エラートは、「ラジアタ」って集落に身を潜めていたはずさ。まずはそこを、調べてみておくれ。			オバチャンの息子、エラートは、「ラジアタ」って集落に身を潜めていたはずさ。まずはそこを、調べてみておくれ。			息子を探して							
……そうか、エラートの捜索を頼まれたか。それなら、俺からもあんたに頼む。ベレータのために、どうかあいつを探してやってくれ。			……そうか、エラートの捜索を頼まれたか。それなら、俺からもあんたに頼む。ベレータのために、どうかあいつを探してやってくれ。			息子を探して							
エラート……ごめんなさい、聞いたことのない名前です。ほかの方に聞いてくださいな。			エラート……ごめんなさい、聞いたことのない名前です。ほかの方に聞いてくださいな。			息子を探して							
頬に傷のある……エラート……。聞いたことあるような……ないような……。うーん……ごめん、思い出せないからほかの人に聞いてよ。			頬に傷のある……エラート……。聞いたことあるような……ないような……。うーん……ごめん、思い出せないからほかの人に聞いてよ。			息子を探して							
その名前、どこかで聞いたことがありますね……。確か……「ゴダフレ」さんが口にしていたかと。気になるのでしたら、彼に聞いてみるといいでしょう。			その名前、どこかで聞いたことがありますね……。確か……「ゴダフレ」さんが口にしていたかと。気になるのでしたら、彼に聞いてみるといいでしょう。			息子を探して							
エラート……やっぱり、聞いたことのない名前です。すみませんが、ほかの方に聞いてください。			エラート……やっぱり、聞いたことのない名前です。すみませんが、ほかの方に聞いてください。			息子を探して							
エラート……エラート……。なんか引っかかるんだけど、思い出せない！ごめんよ、ほかの人に聞いてくれ。			エラート……エラート……。なんか引っかかるんだけど、思い出せない！ごめんよ、ほかの人に聞いてくれ。			息子を探して							
「ゴダフレ」さんが、その名を口にしていたように覚えています。気になるなら、彼に聞いてみるといい。			「ゴダフレ」さんが、その名を口にしていたように覚えています。気になるなら、彼に聞いてみるといい。			息子を探して							
エラート……ああ、エラートの坊主かい！知ってるよ、懐かしいなあ……。2年くらい前、帝国軍から逃げてきたアイツを匿ったんだ。			エラート……ああ、エラートの坊主かい！知ってるよ、懐かしいなあ……。2年くらい前、帝国軍から逃げてきたアイツを匿ったんだ。			息子を探して							
俺には、帝国軍に徴兵された息子がいてな……。だからか、エラートのことを見捨てられなかった。今考えたら、ずいぶんと危ない橋を渡ったもんだ。			俺には、帝国軍に徴兵された息子がいてな……。だからか、エラートのことを見捨てられなかった。今考えたら、ずいぶんと危ない橋を渡ったもんだ。			息子を探して							
とはいえ、ずっと匿い続けているわけにもいかねぇ。いずれ帝国軍に見つかっちまうだろうからな。だから、スターク・ウォードの手を借りて逃がしてやったよ。			とはいえ、ずっと匿い続けているわけにもいかねぇ。いずれ帝国軍に見つかっちまうだろうからな。だから、スターク・ウォードの手を借りて逃がしてやったよ。			息子を探して							
あの女が帝国軍の命令で食材を運搬するとき、荷に紛れ込ませて、スペキュラの向こう側に送り出したのさ。それっきり、エラートとは会ってねぇ。			あの女が帝国軍の命令で食材を運搬するとき、荷に紛れ込ませて、スペキュラの向こう側に送り出したのさ。それっきり、エラートとは会ってねぇ。			息子を探して							
俺がアイツについて知ってるのは、この程度だ。あまり役に立たなくてすまねぇな。……ひとまず、このことだけでも、親御さんに伝えてくれ。			俺がアイツについて知ってるのは、この程度だ。あまり役に立たなくてすまねぇな。……ひとまず、このことだけでも、親御さんに伝えてくれ。			息子を探して							
エラートは、スペキュラの向こう側へ逃してやったよ。ひとまず、このことだけでも、親御さんに伝えてくれ。			エラートは、スペキュラの向こう側へ逃してやったよ。ひとまず、このことだけでも、親御さんに伝えてくれ。			息子を探して							
おやまあ、冒険者さん！ずいぶんと早いお戻りじゃない。もしかして、エラートの行方がわかったのかい？			おやまあ、冒険者さん！ずいぶんと早いお戻りじゃない。もしかして、エラートの行方がわかったのかい？			息子を探して							
そうかい、スペキュラの向こう側にねえ……。強制徴募からは、無事に逃げ切れたんだねえ……。			そうかい、スペキュラの向こう側にねえ……。強制徴募からは、無事に逃げ切れたんだねえ……。			息子を探して							
あの子のことが、こんなに早くわかるとは思わなかった。いやはや、オバチャン、一安心だよ。ありがとう、冒険者さん！			あの子のことが、こんなに早くわかるとは思わなかった。いやはや、オバチャン、一安心だよ。ありがとう、冒険者さん！			息子を探して							
コールドハースのサガルは、冒険者に人探しを頼みたいようだ。			コールドハースのサガルは、冒険者に人探しを頼みたいようだ。			寒村の若者たち							
ラジアタで親切な商人の話を聞く			ラジアタで親切な商人の話を聞く			寒村の若者たち							
アラギリでフラーンクを探す			アラギリでフラーンクを探す			寒村の若者たち							
サガルと話す			サガルと話す			寒村の若者たち							
あんた、冒険者だな？頼む、俺たちを助けてくれないか。			あんた、冒険者だな？頼む、俺たちを助けてくれないか。			寒村の若者たち							
この村を見てくれ……寂れていて何もないだろ？それでもなんとかやっていけたのは、ある親切な商人が、商品を安く流してくれてたからなんだ。			この村を見てくれ……寂れていて何もないだろ？それでもなんとかやっていけたのは、ある親切な商人が、商品を安く流してくれてたからなんだ。			寒村の若者たち							
だが最近、急に連絡が取れなくなっちまってね。帝国の徴兵のせいで、ここには若者がほとんどいないから、何かあったときのためにも、俺は外に出られない。			だが最近、急に連絡が取れなくなっちまってね。帝国の徴兵のせいで、ここには若者がほとんどいないから、何かあったときのためにも、俺は外に出られない。			寒村の若者たち							
その商人は、北の「ラジアタ」に、よく立ち寄ると言っていた。そこでなら何か聞けるかもしれん。俺に代わって探しだしてくれ、頼んだぞ。			その商人は、北の「ラジアタ」に、よく立ち寄ると言っていた。そこでなら何か聞けるかもしれん。俺に代わって探しだしてくれ、頼んだぞ。			寒村の若者たち							
親切な商人は、北の「ラジアタ」に、よく立ち寄ると言っていた。そこでなら何か聞けるかもしれん。俺に代わって探しだしてくれ、頼んだぞ。			親切な商人は、北の「ラジアタ」に、よく立ち寄ると言っていた。そこでなら何か聞けるかもしれん。俺に代わって探しだしてくれ、頼んだぞ。			寒村の若者たち							
コールドハースで商売をしていた商人を探してるって？確か帝国軍に協力していたアラミゴ人の商人だよな。そういや最近、見かけないな。			コールドハースで商売をしていた商人を探してるって？確か帝国軍に協力していたアラミゴ人の商人だよな。そういや最近、見かけないな。			寒村の若者たち							
そういや最近、見かけないな。			そういや最近、見かけないな。			寒村の若者たち							
確か「アラギリ」から来る「フラーンク」って商人が、コールドハースにも行ってるって言ってたな……。慈善事業、あるいは何か企んでるのかと訝ってたもんさ。			確か「アラギリ」から来る「フラーンク」って商人が、コールドハースにも行ってるって言ってたな……。慈善事業、あるいは何か企んでるのかと訝ってたもんさ。			寒村の若者たち							
確か「アラギリ」から来る「フラーンク」って商人が、コールドハースにも行ってるって言ってたな……。慈善事業、あるいは何か企んでるのかと訝ってたもんさ。			確か「アラギリ」から来る「フラーンク」って商人が、コールドハースにも行ってるって言ってたな……。慈善事業、あるいは何か企んでるのかと訝ってたもんさ。			寒村の若者たち							
コールドハース？あんな寂れた村で、商売になるとも思えませんけど。			コールドハース？あんな寂れた村で、商売になるとも思えませんけど。			寒村の若者たち							
コールドハースのような寂れた村で、商売になるとも思えませんけど。			コールドハースのような寂れた村で、商売になるとも思えませんけど。			寒村の若者たち							
コールドハースの村人が私を探しているって？……私は、あの村で育った男から金をもらって、タダ同然の値段で商品を売っていたんだ。			コールドハースの村人が私を探しているって？……私は、あの村で育った男から金をもらって、タダ同然の値段で商品を売っていたんだ。			寒村の若者たち							
彼は、自ら志願して、帝国軍の下働きをしていてな。強制労働施設で、同胞を見張る役目をしていたはずだ。給金のほとんどを俺に払っていたし、みすぼらしい格好だったよ。			彼は、自ら志願して、帝国軍の下働きをしていてな。強制労働施設で、同胞を見張る役目をしていたはずだ。給金のほとんどを俺に払っていたし、みすぼらしい格好だったよ。			寒村の若者たち							
裏切り者からの贈り物だと知られたら、村の者が受け取らないだろうからと、伏せるよう言われたのさ。だが、施設が解放軍の攻撃を受けて以降、連絡が取れなくてな。			裏切り者からの贈り物だと知られたら、村の者が受け取らないだろうからと、伏せるよう言われたのさ。だが、施設が解放軍の攻撃を受けて以降、連絡が取れなくてな。			寒村の若者たち							
そういえば、彼が欲していた「透き通ったアラック」が、ようやくひとつ手に入ったんだ。今まで儲けさせてもらった礼として、もっていってくれ。			そういえば、彼が欲していた「透き通ったアラック」が、ようやくひとつ手に入ったんだ。今まで儲けさせてもらった礼として、もっていってくれ。			寒村の若者たち							
この話をするかどうかは、任せる。だが、そうだな……俺はあの男が嫌いじゃなかったよ。だから、誰かに聞いて欲しかったのかもしれないな。			この話をするかどうかは、任せる。だが、そうだな……俺はあの男が嫌いじゃなかったよ。だから、誰かに聞いて欲しかったのかもしれないな。			寒村の若者たち							
ああ、冒険者さん。優しい商人には会えたかい？			ああ、冒険者さん。優しい商人には会えたかい？			寒村の若者たち							
商人は、早々に帝国に寝返った男からの依頼で来ていたって？強制労働施設で、同胞の見張り役って…………まさか……そんなはずは。			商人は、早々に帝国に寝返った男からの依頼で来ていたって？強制労働施設で、同胞の見張り役って…………まさか……そんなはずは。			寒村の若者たち							
この透き通ったアラックは……俺の好きな……。息子が小さい頃に、いつか一緒に飲もうって……。			この透き通ったアラックは……俺の好きな……。息子が小さい頃に、いつか一緒に飲もうって……。			寒村の若者たち							
受け取ってくれ……村からかき集めた金だ。冒険者さん、話してくれてありがとう。俺は……あいつを、誇りに思うよ。			受け取ってくれ……村からかき集めた金だ。冒険者さん、話してくれてありがとう。俺は……あいつを、誇りに思うよ。			寒村の若者たち							
スペキュラ・インペラトリス付近の金髪の少闘士は、冒険者に教えたいことがあるようだ。			スペキュラ・インペラトリス付近の金髪の少闘士は、冒険者に教えたいことがあるようだ。			解放軍を探して							
金髪の少闘士から、山岳地帯の事情にくわしい解放軍の闘士を教えてもらった。ギラバニア山岳地帯のワイトロックにいる「グントマル」と話そう。			金髪の少闘士から、山岳地帯の事情にくわしい解放軍の闘士を教えてもらった。ギラバニア山岳地帯のワイトロックにいる「グントマル」と話そう。			解放軍を探して							
グントマルと話した。彼によると、エラートの所属している部隊がアラミゴ方面へ移動中だそうだ。ギラバニア山岳地帯のカストルム・アバニア付近にいる「アラミゴ解放軍の闘士長」を探そう。			グントマルと話した。彼によると、エラートの所属している部隊がアラミゴ方面へ移動中だそうだ。ギラバニア山岳地帯のカストルム・アバニア付近にいる「アラミゴ解放軍の闘士長」を探そう。			解放軍を探して							
アラミゴ解放軍の闘士長と話した。彼は言いにくいことがあるようだ。カストルム・アバニア付近の「アラミゴ解放軍の闘士長」にエモート「問い詰める」をしよう。			アラミゴ解放軍の闘士長と話した。彼は言いにくいことがあるようだ。カストルム・アバニア付近の「アラミゴ解放軍の闘士長」にエモート「問い詰める」をしよう。			解放軍を探して							
アラミゴ解放軍の闘士長を問い詰めた。彼は、エラートが髑髏連隊に潜入していた工作員であると明かした。また、エラートが書いた手紙を届けて、彼が戦死したと伝えてくれと頼まれた。ギラバニア山岳地帯のコールドハースにいる「ベレータ」に「ベレータ宛の手紙」を渡そう。			アラミゴ解放軍の闘士長を問い詰めた。彼は、エラートが髑髏連隊に潜入していた工作員であると明かした。また、エラートが書いた手紙を届けて、彼が戦死したと伝えてくれと頼まれた。ギラバニア山岳地帯のコールドハースにいる「ベレータ」に「ベレータ宛の手紙」を渡そう。			解放軍を探して							
ベレータにベレータ宛の手紙を渡した。息子の訃報を聞いたベレータは、堪えきれない悲しみを冒険者に漏らすのだった……。			ベレータにベレータ宛の手紙を渡した。息子の訃報を聞いたベレータは、堪えきれない悲しみを冒険者に漏らすのだった……。			解放軍を探して							
グントマルと話す			グントマルと話す			解放軍を探して							
アラミゴ解放軍の闘士長を探す			アラミゴ解放軍の闘士長を探す			解放軍を探して							
アラミゴ解放軍の闘士長に「問い詰める」をする			アラミゴ解放軍の闘士長に「問い詰める」をする			解放軍を探して							
ベレータにベレータ宛の手紙を渡す			ベレータにベレータ宛の手紙を渡す			解放軍を探して							
エラートの坊主のことを、解放軍に聞きに行くつもりなら、「グントマル」って名の闘士に、話してみるといい。彼は山岳地帯の出身で、このあたりの事情にくわしいからな。			エラートの坊主のことを、解放軍に聞きに行くつもりなら、「グントマル」って名の闘士に、話してみるといい。彼は山岳地帯の出身で、このあたりの事情にくわしいからな。			解放軍を探して							
スペキュラ・インペラトリスを越えた後、北西へ向かってしばらく歩いたところに、「グントマル」はいるはずだ。			スペキュラ・インペラトリスを越えた後、北西へ向かってしばらく歩いたところに、「グントマル」はいるはずだ。			解放軍を探して							
エラートの坊主のことは、「グントマル」に尋ねるといい。彼なら、スペキュラ・インペラトリスを越えた後、北西へ向かってしばらく歩いたところにいるはずだ。			エラートの坊主のことは、「グントマル」に尋ねるといい。彼なら、スペキュラ・インペラトリスを越えた後、北西へ向かってしばらく歩いたところにいるはずだ。			解放軍を探して							
エラートはいったい、どこをほっつき歩いているのやら。冒険者さん、見つけたら思いっきり叱りつけとくれよ。この親不孝者め、ってね！			エラートはいったい、どこをほっつき歩いているのやら。冒険者さん、見つけたら思いっきり叱りつけとくれよ。この親不孝者め、ってね！			解放軍を探して							
……エラートという男を探しているだと？ああ、その男なら、確かにアラミゴ解放軍にいるぞ。同じ部隊というわけではないがな。			……エラートという男を探しているだと？ああ、その男なら、確かにアラミゴ解放軍にいるぞ。同じ部隊というわけではないがな。			解放軍を探して							
エラートが所属する部隊は、アラミゴ方面へ移動中だったはず。いまから追いかければ、カストルム・アバニア付近で、捕まえることができるだろうよ。			エラートが所属する部隊は、アラミゴ方面へ移動中だったはず。いまから追いかければ、カストルム・アバニア付近で、捕まえることができるだろうよ。			解放軍を探して							
エラートが所属する部隊は、アラミゴ方面へ移動中だったはず。いまから追いかければ、カストルム・アバニア付近で、捕まえることができるだろうよ。			エラートが所属する部隊は、アラミゴ方面へ移動中だったはず。いまから追いかければ、カストルム・アバニア付近で、捕まえることができるだろうよ。			解放軍を探して							
おや、貴殿は「暁」の冒険者殿。これはおつかれさまです。自分に何かご用ですかな？			おや、貴殿は「暁」の冒険者殿。これはおつかれさまです。自分に何かご用ですかな？			解放軍を探して							
……むぅ、エラートを探している、と。ご母堂の依頼ですか……それはまた……。なんともはや……。			……むぅ、エラートを探している、と。ご母堂の依頼ですか……それはまた……。なんともはや……。			解放軍を探して							
どうやら、言いにくいことがあるようだ……。口ごもる「アラミゴ解放軍の闘士長」を「問い詰め」てみよう。			どうやら、言いにくいことがあるようだ……。口ごもる「アラミゴ解放軍の闘士長」を「問い詰め」てみよう。			解放軍を探して							
ううむ……彼のことを言っていいものか……。しかし、冒険者殿には隠しきれぬだろうし……。			ううむ……彼のことを言っていいものか……。しかし、冒険者殿には隠しきれぬだろうし……。			解放軍を探して							
……そうですな、冒険者殿にはすべて、お教えしましょう。エラートは、1年前まで自分の部隊に所属していましたが、いまは指揮下から離れております。			……そうですな、冒険者殿にはすべて、お教えしましょう。エラートは、1年前まで自分の部隊に所属していましたが、いまは指揮下から離れております。			解放軍を探して							
帝国の市民権を持った、あるアラミゴ人商人の息子と、彼は容姿がよく似ておりましてね……。ですから、身分を偽り、帝国軍に潜入してもらったのです。			帝国の市民権を持った、あるアラミゴ人商人の息子と、彼は容姿がよく似ておりましてね……。ですから、身分を偽り、帝国軍に潜入してもらったのです。			解放軍を探して							
彼が配属されたのは……冒険者殿も、予想がつくと思います。そう、かの悪名高き、「髑髏連隊」……。憎き裏切り者たちの部隊ですよ。			彼が配属されたのは……冒険者殿も、予想がつくと思います。そう、かの悪名高き、「髑髏連隊」……。憎き裏切り者たちの部隊ですよ。			解放軍を探して							
彼は、多くの有益な情報を我々に流しつつ、表向きは髑髏連隊の一員として、解放軍と戦っていました。……おそらくは、あのスペキュラ・インペラトリスでも。			彼は、多くの有益な情報を我々に流しつつ、表向きは髑髏連隊の一員として、解放軍と戦っていました。……おそらくは、あのスペキュラ・インペラトリスでも。			解放軍を探して							
あの戦い以降、エラートとは連絡が取れなくなりました。つまりは、最悪の事態、ということでしょう。とても……残念です……。			あの戦い以降、エラートとは連絡が取れなくなりました。つまりは、最悪の事態、ということでしょう。とても……残念です……。			解放軍を探して							
……もしもの時にと預かっていた、ご母堂宛の手紙があります。状況が落ち着いたころ、お届けにあがろうと思っていましたが、冒険者殿から、調査結果として渡す方がよいでしょう。			……もしもの時にと預かっていた、ご母堂宛の手紙があります。状況が落ち着いたころ、お届けにあがろうと思っていましたが、冒険者殿から、調査結果として渡す方がよいでしょう。			解放軍を探して							
彼は、アラミゴの自由のために戦い、散っていった。解放軍一同、その生命を賭した献身に敬意を表する。そう、ご母堂にはお伝えください……では。			彼は、アラミゴの自由のために戦い、散っていった。解放軍一同、その生命を賭した献身に敬意を表する。そう、ご母堂にはお伝えください……では。			解放軍を探して							
ああ、待っていたよ、冒険者さん！エラートのことは、なにかわかったかい？……あの子の手紙だって？			ああ、待っていたよ、冒険者さん！エラートのことは、なにかわかったかい？……あの子の手紙だって？			解放軍を探して							
これが……ど、どうして、エラートが手紙を……？			これが……ど、どうして、エラートが手紙を……？			解放軍を探して							
あ、あの子が……戦死した……。そうかい……いいや、大丈夫だよ……。覚悟だけはしていたんだ……。			あ、あの子が……戦死した……。そうかい……いいや、大丈夫だよ……。覚悟だけはしていたんだ……。			解放軍を探して							
帝国に苛め殺されたんじゃなく、自分の誇りを胸に、死んだんだ……。それがわかって、本当によかった……。			帝国に苛め殺されたんじゃなく、自分の誇りを胸に、死んだんだ……。それがわかって、本当によかった……。			解放軍を探して							
でも、やっぱり、オバチャン……ちょっと、悲しいねえ……。冒険者さん……息子の手紙、ありがとうよ……。			でも、やっぱり、オバチャン……ちょっと、悲しいねえ……。冒険者さん……息子の手紙、ありがとうよ……。			解放軍を探して							
コールドハースのベレータは、引き続き冒険者にエラートの捜索をお願いしたいようだ。			コールドハースのベレータは、引き続き冒険者にエラートの捜索をお願いしたいようだ。			出身者を探して							
ベレータから、ワイトロック方面へ向かったエラートの捜索を頼まれた。ギラバニア山岳地帯のアラギリでエラートについて情報を集めよう。			ベレータから、ワイトロック方面へ向かったエラートの捜索を頼まれた。ギラバニア山岳地帯のアラギリでエラートについて情報を集めよう。			出身者を探して							
アラギリで情報を集めた。不滅隊にコールドハース出身者がいるらしい。詳しい話を聞くため、アラギリの「不滅隊の大闘士」と話そう。			アラギリで情報を集めた。不滅隊にコールドハース出身者がいるらしい。詳しい話を聞くため、アラギリの「不滅隊の大闘士」と話そう。			出身者を探して							
不滅隊の大闘士と話した。彼の部下であるコールドハース出身者は、任務に出ているらしい。ギラバニア山岳地帯のスペキュラ・インペラトリス付近にいる「金髪の少闘士」を探そう。			不滅隊の大闘士と話した。彼の部下であるコールドハース出身者は、任務に出ているらしい。ギラバニア山岳地帯のスペキュラ・インペラトリス付近にいる「金髪の少闘士」を探そう。			出身者を探して							
金髪の少闘士と話した。彼から話を聞くため、任務を手伝うことになった。スペキュラ・インペラトリス付近にある3箇所の「指定地点」で見渡し、「バーサーク・ビット」が現れたらを討伐しよう。			金髪の少闘士と話した。彼から話を聞くため、任務を手伝うことになった。スペキュラ・インペラトリス付近にある3箇所の「指定地点」で見渡し、「バーサーク・ビット」が現れたらを討伐しよう。			出身者を探して							
バーサーク・ビットを討伐した。スペキュラ・インペラトリス付近の「金髪の少闘士」に報告しよう。			バーサーク・ビットを討伐した。スペキュラ・インペラトリス付近の「金髪の少闘士」に報告しよう。			出身者を探して							
金髪の少闘士に報告した。彼はコールドハース出身者だが、エラートではなかった。話を聞くと、アラミゴ解放軍ならエラートの行き先がわかるかもしれないと言う。解放軍から話を聞いてみよう。			金髪の少闘士に報告した。彼はコールドハース出身者だが、エラートではなかった。話を聞くと、アラミゴ解放軍ならエラートの行き先がわかるかもしれないと言う。解放軍から話を聞いてみよう。			出身者を探して							
アラギリで情報を集める			アラギリで情報を集める			出身者を探して							
不滅隊の大闘士と話す			不滅隊の大闘士と話す			出身者を探して							
金髪の少闘士を探す			金髪の少闘士を探す			出身者を探して							
指定地点で見渡し、バーサーク・ビットが現れたら討伐			指定地点で見渡し、バーサーク・ビットが現れたら討伐			出身者を探して							
金髪の少闘士に報告			金髪の少闘士に報告			出身者を探して							
冒険者さん、手間を掛けて悪いんだけどね、引き続き息子の行方を調べてくれないかい？			冒険者さん、手間を掛けて悪いんだけどね、引き続き息子の行方を調べてくれないかい？			出身者を探して							
スペキュラの向こう側というと、たしか「アラギリ」って宿場街があったはずだよ。エラートは、たぶんそこへ向かったんじゃないかねえ。			スペキュラの向こう側というと、たしか「アラギリ」って宿場街があったはずだよ。エラートは、たぶんそこへ向かったんじゃないかねえ。			出身者を探して							
冒険者さん、同じように「アラギリ」へ行って、息子のことを調べておくれ。よろしく頼んだよ。			冒険者さん、同じように「アラギリ」へ行って、息子のことを調べておくれ。よろしく頼んだよ。			出身者を探して							
エラートはいったい、どこをほっつき歩いているのやら。冒険者さん、見つけたら思いっきり叱りつけとくれよ。この親不孝者め、ってね！			エラートはいったい、どこをほっつき歩いているのやら。冒険者さん、見つけたら思いっきり叱りつけとくれよ。この親不孝者め、ってね！			出身者を探して							
この街の料理は、さまざまな国の味を混ぜ合わせたような、独特の風味を持っていて非常に美味ですね。元宿場街ならではの味、といったところでしょうか。			この街の料理は、さまざまな国の味を混ぜ合わせたような、独特の風味を持っていて非常に美味ですね。元宿場街ならではの味、といったところでしょうか。			出身者を探して							
エラート……悪いが、記憶にないな。そもそも、帝国兵で賑わう2年前のアラギリに、その男がやってくるとは思えんがね。			エラート……悪いが、記憶にないな。そもそも、帝国兵で賑わう2年前のアラギリに、その男がやってくるとは思えんがね。			出身者を探して							
