カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			奇異なる地下迷宮							
君のおかげで、迷宮の捜査は以前より進んでいるけれど、現状、事件の黒幕については、何もわかっていなくてね……。今回発見された手記が、今のところ唯一の手がかりってわけさ。			君のおかげで、迷宮の捜査は以前より進んでいるけれど、現状、事件の黒幕については、何もわかっていなくてね……。今回発見された手記が、今のところ唯一の手がかりってわけさ。			死者とともに眠れ							
エ・ウナ様も精霊との対話が終わり次第向かうとのこと。君も「イソム・ハーの穴蔵」に向かい、手記を確認してほしい！「調査隊の隊士」には、既に話は通してあるからね。			エ・ウナ様も精霊との対話が終わり次第向かうとのこと。君も「イソム・ハーの穴蔵」に向かい、手記を確認してほしい！「調査隊の隊士」には、既に話は通してあるからね。			死者とともに眠れ							
迷宮を造り上げた黒幕が書いた手記が見つかったんだ。君も「イソム・ハーの穴蔵」に向かい、手記を見てみてほしい！件の手記は、「調査隊の隊士」が持っているよ。			迷宮を造り上げた黒幕が書いた手記が見つかったんだ。君も「イソム・ハーの穴蔵」に向かい、手記を見てみてほしい！件の手記は、「調査隊の隊士」が持っているよ。			死者とともに眠れ							
ご足労、ありがとうございます！これが件の手記なのですが……実は、弱り果てておりまして。			ご足労、ありがとうございます！これが件の手記なのですが……実は、弱り果てておりまして。			死者とともに眠れ							
どこか、私どもの知らない異国の言語で書かれているらしく、誰も、内容を読める者がいないのですよ。			どこか、私どもの知らない異国の言語で書かれているらしく、誰も、内容を読める者がいないのですよ。			死者とともに眠れ							
……異なるのは、国にあらず。その手記が纏う、只ならぬエーテル……。おそらくは、次元の壁を超えてもたらされた物だ。			……異なるのは、国にあらず。その手記が纏う、只ならぬエーテル……。おそらくは、次元の壁を超えてもたらされた物だ。			死者とともに眠れ							
Forename Surname……。カヌ・エ様より、うかがっておる。そなたは、他者の心の壁を超え、真実を見通す力を持つ、と。			Forename Surname……。カヌ・エ様より、うかがっておる。そなたは、他者の心の壁を超え、真実を見通す力を持つ、と。			死者とともに眠れ							
超える力は、自在に操れる性質のものではないと聞くが、直接ニバスと触れた今の君なら、あるいは……。さあ、真実を辿るため……この書に触れてみるがいい。			超える力は、自在に操れる性質のものではないと聞くが、直接ニバスと触れた今の君なら、あるいは……。さあ、真実を辿るため……この書に触れてみるがいい。			死者とともに眠れ							
おかしい……どうしても、魂が肉体へと定着しませンね。いや、むしろ肉体へ留まるのを、拒んですらいる……？			おかしい……どうしても、魂が肉体へと定着しませンね。いや、むしろ肉体へ留まるのを、拒んですらいる……？			死者とともに眠れ							
激しい想いを抱いた魂は、そのエーテル総量も膨大となる。彼女が抱える強き想いならば、魂をエーテル界へ還すことなく、この世界に、永遠に留まりつづけられるはずなのですが……。			激しい想いを抱いた魂は、そのエーテル総量も膨大となる。彼女が抱える強き想いならば、魂をエーテル界へ還すことなく、この世界に、永遠に留まりつづけられるはずなのですが……。			死者とともに眠れ							
うーむ、魂から、生への執着が感じられない……。まさかとは思いますが、彼女の魂が、自らの意思で、エーテル界へと還りたがっている、とでも……？			うーむ、魂から、生への執着が感じられない……。まさかとは思いますが、彼女の魂が、自らの意思で、エーテル界へと還りたがっている、とでも……？			死者とともに眠れ							
これほどに強く、愛する者への想いを抱きながら、あなたも、くだらぬ安息が望みだというのですか……？			これほどに強く、愛する者への想いを抱きながら、あなたも、くだらぬ安息が望みだというのですか……？			死者とともに眠れ							
ゴリアテの……かつて私を糾弾したあの男なら……。彼女の自我は、心の底では恋人の死を受け入れ、安らかな眠りを願っているのだ、とでも言うのでしょうね。			ゴリアテの……かつて私を糾弾したあの男なら……。彼女の自我は、心の底では恋人の死を受け入れ、安らかな眠りを願っているのだ、とでも言うのでしょうね。			死者とともに眠れ							
フ、フフフ……そんなはずはありませン。これほど強き想いを抱く彼女が、そんな陳腐な終焉を望むはずが！			フ、フフフ……そんなはずはありませン。これほど強き想いを抱く彼女が、そんな陳腐な終焉を望むはずが！			死者とともに眠れ							
死からの復活を、不老不死を！　真に望まぬ者などいはしない！それこそが、我が理想、人々の願いを叶える唯一の道なのだから！			死からの復活を、不老不死を！　真に望まぬ者などいはしない！それこそが、我が理想、人々の願いを叶える唯一の道なのだから！			死者とともに眠れ							
……どうやら、あなたの心を縛る相手が、別にいるようですね。愛する者への想い以外の、俗な感情を植えつけた相手が。			……どうやら、あなたの心を縛る相手が、別にいるようですね。愛する者への想い以外の、俗な感情を植えつけた相手が。			死者とともに眠れ							
……あの冒険者、でしょう？あなたの魂、エーテル波動からその存在をひしと感じますよ。ずいぶんと強く、彼女彼に憧れを抱いているようですねぇ。			……あの冒険者、でしょう？あなたの魂、エーテル波動からその存在をひしと感じますよ。ずいぶんと強く、彼女彼に憧れを抱いているようですねぇ。			死者とともに眠れ							
ならば、その余計な感情の元を、あなたが断ち切ることができれば、すべては解決する……！			ならば、その余計な感情の元を、あなたが断ち切ることができれば、すべては解決する……！			死者とともに眠れ							
さあ、エッダ、あなたを迷宮に解き放ちましょう。勝手に入り込んできた、侵入者どもの掃除も必要でしたしねぇ。あなた自身の手で、「魂」にかけた枷を破壊するのです！			さあ、エッダ、あなたを迷宮に解き放ちましょう。勝手に入り込んできた、侵入者どもの掃除も必要でしたしねぇ。あなた自身の手で、「魂」にかけた枷を破壊するのです！			死者とともに眠れ							
行きなさい……。件の冒険者も、この迷宮に挑もうとしているようだ……。あなたの「魂」を解き放つため、あの冒険者を殺すのです！			行きなさい……。件の冒険者も、この迷宮に挑もうとしているようだ……。あなたの「魂」を解き放つため、あの冒険者を殺すのです！			死者とともに眠れ							
……フフフ、もうすぐですよ。あなたと想い人の完全なる復活も、その先に待つ永遠も。			……フフフ、もうすぐですよ。あなたと想い人の完全なる復活も、その先に待つ永遠も。			死者とともに眠れ							
我が妻よ……死したるあなたとの再会も、きっと、もうすぐ……。			我が妻よ……死したるあなたとの再会も、きっと、もうすぐ……。			死者とともに眠れ							
よくぞ、戻ってきた……。この手記の持ち主の想いを見通せたのだな……？			よくぞ、戻ってきた……。この手記の持ち主の想いを見通せたのだな……？			死者とともに眠れ							
ニバス・オブデロード……彼の目的は、死者を復活させ、愛する者と再会を果たすことだったと……？			ニバス・オブデロード……彼の目的は、死者を復活させ、愛する者と再会を果たすことだったと……？			死者とともに眠れ							
さて、な……。その言葉がどこまで本心だったのかはわからんよ。			さて、な……。その言葉がどこまで本心だったのかはわからんよ。			死者とともに眠れ							
死者の完全なる復活など、本当に実現できるとも思えん。ただ、エッダなる娘の強い愛情につけこんで、面白半分に研究を行っていただけという可能性も大いにある。			死者の完全なる復活など、本当に実現できるとも思えん。ただ、エッダなる娘の強い愛情につけこんで、面白半分に研究を行っていただけという可能性も大いにある。			死者とともに眠れ							
それに、その想いが真のものであったとしてもだ……。眠りについていた死者の魂と肉体を、いたずらに弄び、森のエーテルを乱して、危機に陥れようとしていたのは事実。			それに、その想いが真のものであったとしてもだ……。眠りについていた死者の魂と肉体を、いたずらに弄び、森のエーテルを乱して、危機に陥れようとしていたのは事実。			死者とともに眠れ							
たとえ、その目的に、一片の是があろうと、無関係のものに犠牲を生み出すような手段をとった時点で、決して、その行いを認めるわけにはいかんよ……。			たとえ、その目的に、一片の是があろうと、無関係のものに犠牲を生み出すような手段をとった時点で、決して、その行いを認めるわけにはいかんよ……。			死者とともに眠れ							
……と、この森に生きる角尊としては、そう思うがな。			……と、この森に生きる角尊としては、そう思うがな。			死者とともに眠れ							
この手記から、私が感じ取れたのは、ただ、その目的を成そうという強い想いだけだ……。			この手記から、私が感じ取れたのは、ただ、その目的を成そうという強い想いだけだ……。			死者とともに眠れ							
直接に対峙したそなたから見て……ニバスなる魔術師は、どのような男であった？			直接に対峙したそなたから見て……ニバスなる魔術師は、どのような男であった？			死者とともに眠れ							
なんと答える？			なんと答える？			死者とともに眠れ							
死者の身体と魂を弄ぶ邪悪な魔術師だった			死者の身体と魂を弄ぶ邪悪な魔術師だった			死者とともに眠れ							
理想を口にするだけの哀れな人だった			理想を口にするだけの哀れな人だった			死者とともに眠れ							
答えない			答えない			死者とともに眠れ							
そうだな、選んだ手段が間違ったものであった以上、真意がどうであれ、その行為は「悪」と評されるべきだろう。			そうだな、選んだ手段が間違ったものであった以上、真意がどうであれ、その行為は「悪」と評されるべきだろう。			死者とともに眠れ							
そうか……。人としての領分を超えねばならぬ域に目的があった。そう考えると、確かに哀れな男なのかもしれんな……。			そうか……。人としての領分を超えねばならぬ域に目的があった。そう考えると、確かに哀れな男なのかもしれんな……。			死者とともに眠れ							
……そうだな、彼の想いの断片を見通したとて、そなたに尋ねるべきことではなかったかもしれんな。			……そうだな、彼の想いの断片を見通したとて、そなたに尋ねるべきことではなかったかもしれんな。			死者とともに眠れ							
ともあれ、我らに今できるのは、地下迷宮を、彼の墓標として封印するのみだ……。			ともあれ、我らに今できるのは、地下迷宮を、彼の墓標として封印するのみだ……。			死者とともに眠れ							
黒幕が倒れた以上、新たな悲劇は防げよう。森の精霊の力を借りて、入念に結界を貼るつもりでおる。迷宮の死者たちが、再び安らかに眠れるように、な……。			黒幕が倒れた以上、新たな悲劇は防げよう。森の精霊の力を借りて、入念に結界を貼るつもりでおる。迷宮の死者たちが、再び安らかに眠れるように、な……。			死者とともに眠れ							
