シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			凄腕の狩人							
それなら、海で起きた揉め事にも精通していそうだし、まずは彼らに、争いごとが起きてないか尋ねるとよさそうだね。さっそく「紅玉台場」へ向かおう！			それなら、海で起きた揉め事にも精通していそうだし、まずは彼らに、争いごとが起きてないか尋ねるとよさそうだね。さっそく「紅玉台場」へ向かおう！			海域を巡る争い							
あんたか。紅玉台場に何用だ……？			あんたか。紅玉台場に何用だ……？			海域を巡る争い							
紅玉海で争いごとが起きてないかだと？まさについこの間、ここで一触即発の事態になったばかりだ。			紅玉海で争いごとが起きてないかだと？まさについこの間、ここで一触即発の事態になったばかりだ。			海域を巡る争い							
何があったんだ……？			何があったんだ……？			海域を巡る争い							
海賊衆の小舟が、無許可で台場に接近してきたのだ。そのうえ、こちらに罵声を浴びせてきて、明らかに我らを挑発していたようだった。			海賊衆の小舟が、無許可で台場に接近してきたのだ。そのうえ、こちらに罵声を浴びせてきて、明らかに我らを挑発していたようだった。			海域を巡る争い							
これ以上近づくと大砲を撃つと警告したところ、小舟は慌てて去っていったので、そのときは事なきを得た。			これ以上近づくと大砲を撃つと警告したところ、小舟は慌てて去っていったので、そのときは事なきを得た。			海域を巡る争い							
だが、また同じ事態が発生したら、今度は間違いなく砲撃することになるだろう。そうなったら、大きな争いに発展しかねない……。			だが、また同じ事態が発生したら、今度は間違いなく砲撃することになるだろう。そうなったら、大きな争いに発展しかねない……。			海域を巡る争い							
このようなこと、今までなかったので、我ら防人もそれ以来、緊張を強いられているのだ。			このようなこと、今までなかったので、我ら防人もそれ以来、緊張を強いられているのだ。			海域を巡る争い							
そうか、情報をありがとう。			そうか、情報をありがとう。			海域を巡る争い							
ちょっと、あっちで話そうか……。			ちょっと、あっちで話そうか……。			海域を巡る争い							
さっきの話からすると、海賊衆という人たちは、この紅玉台場に近づいてはならない決まりがあるようだね。			さっきの話からすると、海賊衆という人たちは、この紅玉台場に近づいてはならない決まりがあるようだね。			海域を巡る争い							
だとしたら、小舟に乗って挑発してきた海賊衆は、争いを引き起こしたかったとしか思えない。			だとしたら、小舟に乗って挑発してきた海賊衆は、争いを引き起こしたかったとしか思えない。			海域を巡る争い							
ということは、その海賊衆が、祭器を盗んだ犯人が擬態していた可能性があるね。			ということは、その海賊衆が、祭器を盗んだ犯人が擬態していた可能性があるね。			海域を巡る争い							
もちろん、これは推測にすぎないから、証拠がない以上、台場の人に伝えてもきっと通じない。			もちろん、これは推測にすぎないから、証拠がない以上、台場の人に伝えてもきっと通じない。			海域を巡る争い							
だから、今度は海賊衆の人たちから、紅玉台場に近づいた者がいないか探ってみようよ。Forename、彼らの集落を知ってたりしない？			だから、今度は海賊衆の人たちから、紅玉台場に近づいた者がいないか探ってみようよ。Forename、彼らの集落を知ってたりしない？			海域を巡る争い							
あれが、「サカズキ島」という海賊衆の拠点なのか。さっそく、そこで聞き取りしよう！この距離だったら泳いだ方が早そうだね！			あれが、「サカズキ島」という海賊衆の拠点なのか。さっそく、そこで聞き取りしよう！この距離だったら泳いだ方が早そうだね！			海域を巡る争い							
また海賊衆の船が接近してきたら、今度は間違いなく砲撃することになるだろう。そうなったら、大きな争いに発展しかねない……。			また海賊衆の船が接近してきたら、今度は間違いなく砲撃することになるだろう。そうなったら、大きな争いに発展しかねない……。			海域を巡る争い							
小舟で紅玉台場に近づいた仲間を知らないか……？			小舟で紅玉台場に近づいた仲間を知らないか……？			海域を巡る争い							
なんだって？無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！			なんだって？無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！			海域を巡る争い							
大方、防人の連中が言いがかりをつけてるんじゃないか？きっとそうに違いねぇ……！			大方、防人の連中が言いがかりをつけてるんじゃないか？きっとそうに違いねぇ……！			海域を巡る争い							
紅玉台場の連中がそんなこと言ってんのか？こちとら、ひんがしの国の海域なんざ興味ないぜ！			紅玉台場の連中がそんなこと言ってんのか？こちとら、ひんがしの国の海域なんざ興味ないぜ！			海域を巡る争い							
防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			海域を巡る争い							
無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！大方、防人の連中が言いがかりをつけてるんだろうよ！			無許可で台場に近づくのは、海賊衆の間ではご法度だ。そんなことする奴がいるわけねぇ！大方、防人の連中が言いがかりをつけてるんだろうよ！			海域を巡る争い							
こちとら、ひんがしの国の海域なんか興味ないぜ！防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			こちとら、ひんがしの国の海域なんか興味ないぜ！防人の船こそ最近、海賊衆の海域に侵入したことがあったんだ！奴らは俺たちにケンカでも売ってんのか……！？			海域を巡る争い							
Forename、この人の話を聞いてよ。なんだか、マズイことになってるみたいだ……。			Forename、この人の話を聞いてよ。なんだか、マズイことになってるみたいだ……。			海域を巡る争い							
ああ、頼りになりそうな人がいてよかった……！			ああ、頼りになりそうな人がいてよかった……！			海域を巡る争い							
つい先ほど、ここに頭領のラショウさんが来たんですよ。いつも、タンスイさんを始めとした部下を連れているのに、そのときは珍しくひとりでね。			つい先ほど、ここに頭領のラショウさんが来たんですよ。いつも、タンスイさんを始めとした部下を連れているのに、そのときは珍しくひとりでね。			海域を巡る争い							
なんでも、火急の仕事だとサカズキ島の海賊衆数人に、ベッコウ島の南に集まるよう声をかけていたんです。			なんでも、火急の仕事だとサカズキ島の海賊衆数人に、ベッコウ島の南に集まるよう声をかけていたんです。			海域を巡る争い							
あたしも誘われたんですが、どうにも様子がおかしいもんで、何をする気か尋ねたら……なんと、紅玉台場に乗り込むと言うじゃありませんか！			あたしも誘われたんですが、どうにも様子がおかしいもんで、何をする気か尋ねたら……なんと、紅玉台場に乗り込むと言うじゃありませんか！			海域を巡る争い							
必死で止めようとしたんですが、頭領は聞く耳を持たず、臆病者は必要ないと言って去っていきました。			必死で止めようとしたんですが、頭領は聞く耳を持たず、臆病者は必要ないと言って去っていきました。			海域を巡る争い							
どうか、ベッコウ島の南に向かい、頭領や仲間たちを止めてやってくれませんか……！？			どうか、ベッコウ島の南に向かい、頭領や仲間たちを止めてやってくれませんか……！？			海域を巡る争い							
本来なら考えられないような行動……祭器を盗んだ犯人が、ラショウという人に擬態しているのは、間違いなさそうだね。そのベッコウ島は、どこにあるんだい？			本来なら考えられないような行動……祭器を盗んだ犯人が、ラショウという人に擬態しているのは、間違いなさそうだね。そのベッコウ島は、どこにあるんだい？			海域を巡る争い							
よし、急いで「ベッコウ島」の南に向かおう！			よし、急いで「ベッコウ島」の南に向かおう！			海域を巡る争い							
ベッコウ島に行ってないかだと？俺はずっとここにいるが、何かの間違いじゃないか……？			ベッコウ島に行ってないかだと？俺はずっとここにいるが、何かの間違いじゃないか……？			海域を巡る争い							
人の声が聞こえてきたよ。どうやら、この先に海賊衆がいるようだね……。			人の声が聞こえてきたよ。どうやら、この先に海賊衆がいるようだね……。			海域を巡る争い							
俺たちの海域を侵されて黙っちゃいられねぇ！海賊衆の面子を守るため、台場に乗り込んでやるぞ！			俺たちの海域を侵されて黙っちゃいられねぇ！海賊衆の面子を守るため、台場に乗り込んでやるぞ！			海域を巡る争い							
ほ、本気ですか！？そんなことしたら、大事になっちまいますよ！			ほ、本気ですか！？そんなことしたら、大事になっちまいますよ！			海域を巡る争い							
さっきから、頭領らしくない……いったい、どうしたっていうんです！？			さっきから、頭領らしくない……いったい、どうしたっていうんです！？			海域を巡る争い							
う、うるせぇ！テメェ、俺の言うことが聞けねぇってのかッ！？			う、うるせぇ！テメェ、俺の言うことが聞けねぇってのかッ！？			海域を巡る争い							
防人はこっちが海域を侵してると濡れ衣まで着せてきたんだ！舐めた真似した奴らをやっちまいましょう！			防人はこっちが海域を侵してると濡れ衣まで着せてきたんだ！舐めた真似した奴らをやっちまいましょう！			海域を巡る争い							
か、堅気がこんなところで何してる！？命が惜しかったらとっとと失せやがれッ……！			か、堅気がこんなところで何してる！？命が惜しかったらとっとと失せやがれッ……！			海域を巡る争い							
何と言う？			何と言う？			海域を巡る争い							
偽者だ！			偽者だ！			海域を巡る争い							
ラショウじゃない！			ラショウじゃない！			海域を巡る争い							
(-忍者風の男性-)あっさり見破られるとはな……まさか、海賊衆の頭領と付き合いでも？			(-忍者風の男性-)あっさり見破られるとはな……まさか、海賊衆の頭領と付き合いでも？			海域を巡る争い							
オマエの目的はなんだ！人を争わせてどうするつもりだ！？			オマエの目的はなんだ！人を争わせてどうするつもりだ！？			海域を巡る争い							
(-忍者風の男性-)目的だって？まあ、「自由の扉」は国家転覆を掲げてるが、俺のやりたいことはそんな大それたもんじゃない……。			(-忍者風の男性-)目的だって？まあ、「自由の扉」は国家転覆を掲げてるが、俺のやりたいことはそんな大それたもんじゃない……。			海域を巡る争い							
(-忍者風の男性-)強いて言えば、人の本性を暴いてやりたいのさ。普段は建前という擬態をしているが、その本性はみんな獣……			(-忍者風の男性-)強いて言えば、人の本性を暴いてやりたいのさ。普段は建前という擬態をしているが、その本性はみんな獣……			海域を巡る争い							
(-忍者風の男性-)ちょっと騙してやるだけで、途端に牙をむいて、醜い争いを始めるもんだ。それは、なかなか見ものだぞ。			(-忍者風の男性-)ちょっと騙してやるだけで、途端に牙をむいて、醜い争いを始めるもんだ。それは、なかなか見ものだぞ。			海域を巡る争い							
し、潮風のせいか、弓の弦の調子が悪いな……。			し、潮風のせいか、弓の弦の調子が悪いな……。			海域を巡る争い							
どんな者にでも擬態できるとは脅威ですね。筋違砦にいる頭領にもこのことを伝えて、海賊衆による紅玉海の警備を強化します。			どんな者にでも擬態できるとは脅威ですね。筋違砦にいる頭領にもこのことを伝えて、海賊衆による紅玉海の警備を強化します。			海域を巡る争い							
偽者だなんて知らず、防人に舐められてると思って、つい、頭に血が上っちまった。アタシたちを止めてくれて本当に助かったよ。			偽者だなんて知らず、防人に舐められてると思って、つい、頭に血が上っちまった。アタシたちを止めてくれて本当に助かったよ。			海域を巡る争い							
人の本性を暴いてやりたいだって？ふざけやがって……			人の本性を暴いてやりたいだって？ふざけやがって……			海域を巡る争い							
とにかく、クガネに戻るとしよう。			とにかく、クガネに戻るとしよう。			海域を巡る争い							
俺の偽者の暴挙を止めてくれたらしく、感謝する。紅玉海で二度と勝手な真似をさせないよう、警備を強化するから安心してくれ。			俺の偽者の暴挙を止めてくれたらしく、感謝する。紅玉海で二度と勝手な真似をさせないよう、警備を強化するから安心してくれ。			海域を巡る争い							
海賊衆から文が届いて、海域侵犯の騒ぎが偽者の仕業だと知った。とにかく、大事に至らなくてよかった。			海賊衆から文が届いて、海域侵犯の騒ぎが偽者の仕業だと知った。とにかく、大事に至らなくてよかった。			海域を巡る争い							
ちくしょう、あんなヤツに……			ちくしょう、あんなヤツに……			海域を巡る争い							
ああ、ゴメンよ。犯人の動機が、あまりにふざけたものだったから、怒りが収まらなくてさ……。			ああ、ゴメンよ。犯人の動機が、あまりにふざけたものだったから、怒りが収まらなくてさ……。			海域を巡る争い							
アイツが去っていった方角……。クガネではなく、紅玉海からまた別の地域へと向かったようだね。			アイツが去っていった方角……。クガネではなく、紅玉海からまた別の地域へと向かったようだね。			海域を巡る争い							
せっかく海賊衆とも知り合えたんだ。彼らにも協力を頼んで、付近の陸地にある集落で、不可解な「争いごと」が起きてないか調べてみるよ。			せっかく海賊衆とも知り合えたんだ。彼らにも協力を頼んで、付近の陸地にある集落で、不可解な「争いごと」が起きてないか調べてみるよ。			海域を巡る争い							
そ、それと弓の手入れも、しっかりしておこう……今度こそアイツを仕留めるから、どうか、また協力してほしい。			そ、それと弓の手入れも、しっかりしておこう……今度こそアイツを仕留めるから、どうか、また協力してほしい。			海域を巡る争い							
赤誠組屯所付近のイットカは、何やら情報を掴んだようだ。			赤誠組屯所付近のイットカは、何やら情報を掴んだようだ。			ふたりの偽者							
イットカと話した。祭器を盗んだ犯人はドマで活動を開始したようだ。犯人の手がかりとなる争いごとを探すため、ヤンサのナマイ村で情報を集めよう。			イットカと話した。祭器を盗んだ犯人はドマで活動を開始したようだ。犯人の手がかりとなる争いごとを探すため、ヤンサのナマイ村で情報を集めよう。			ふたりの偽者							
情報を集めたところ、特に争いごとはないようだ。ナマイ村の「イットカ」と話そう。			情報を集めたところ、特に争いごとはないようだ。ナマイ村の「イットカ」と話そう。			ふたりの偽者							
イットカと話したところ、素朴な農民が通りがかり、先ほど、冒険者を烈士庵に案内したはずだと語った。祭器を盗んだ犯人が冒険者に擬態している。そう睨んだイットカと共に、烈士庵に向かうことになった。ナマイ村北の泉にいる「イットカ」と話そう。			イットカと話したところ、素朴な農民が通りがかり、先ほど、冒険者を烈士庵に案内したはずだと語った。祭器を盗んだ犯人が冒険者に擬態している。そう睨んだイットカと共に、烈士庵に向かうことになった。ナマイ村北の泉にいる「イットカ」と話そう。			ふたりの偽者							
イットカと話して、烈士庵に向かった。そこでは、祭器を盗んだ犯人が冒険者に擬態して、烈士たちを扇動していた。正体を現した犯人は冒険者と共にいるイットカが偽者だと語った。イットカは鷹に擬態した犯人に矢を射るが、やはり外れて逃げられてしまう。烈士たちは今回の件をヒエンに伝え注意を促すという。中年の烈士から、犯人の名前はサミダレといって、ドマの忍者であり帝国の諜報員をしていたという情報を得る。赤誠組屯所付近に戻り「イットカ」と話そう。			イットカと話して、烈士庵に向かった。そこでは、祭器を盗んだ犯人が冒険者に擬態して、烈士たちを扇動していた。正体を現した犯人は冒険者と共にいるイットカが偽者だと語った。イットカは鷹に擬態した犯人に矢を射るが、やはり外れて逃げられてしまう。烈士たちは今回の件をヒエンに伝え注意を促すという。中年の烈士から、犯人の名前はサミダレといって、ドマの忍者であり帝国の諜報員をしていたという情報を得る。赤誠組屯所付近に戻り「イットカ」と話そう。			ふたりの偽者							
イットカと話した。彼女の本当の名はクイーキで、本物のイットカはサミダレに殺されていた。祭器はクイーキの不祥事のせいで、サミダレに奪われてしまい、それを挽回するため取り返しにきたのだという。クイーキは騙していたことを詫び、冒険者に改めて協力を求めてくる。イットカ改め、クイーキのもとに、また訪れてあげよう。※いずれかの近接物理DPSジョブのレベルが96以上になると、赤誠組屯所付近のクイーキから次の近接物理DPSロールクエストを受注することができます。			イットカと話した。彼女の本当の名はクイーキで、本物のイットカはサミダレに殺されていた。祭器はクイーキの不祥事のせいで、サミダレに奪われてしまい、それを挽回するため取り返しにきたのだという。クイーキは騙していたことを詫び、冒険者に改めて協力を求めてくる。イットカ改め、クイーキのもとに、また訪れてあげよう。※いずれかの近接物理DPSジョブのレベルが96以上になると、赤誠組屯所付近のクイーキから次の近接物理DPSロールクエストを受注することができます。			ふたりの偽者							
ナマイ村で情報を集める			ナマイ村で情報を集める			ふたりの偽者							
イットカと話す			イットカと話す			ふたりの偽者							
イットカと再度話す			イットカと再度話す			ふたりの偽者							
クガネのイットカと話す			クガネのイットカと話す			ふたりの偽者							
やあ、Forename！先日のことで、海賊衆の人たちと交流ができたおかげで、気になる情報を得たんだ！			やあ、Forename！先日のことで、海賊衆の人たちと交流ができたおかげで、気になる情報を得たんだ！			ふたりの偽者							
なんでも、紅玉海の向こうにあるドマっていう国で、殿様の偽者が出たっていうんだよ。			なんでも、紅玉海の向こうにあるドマっていう国で、殿様の偽者が出たっていうんだよ。			ふたりの偽者							
町人地って場所で騒ぎを起こそうとしていたところ、不審に思った側近によって、擬態を見破られたそうでね。鳥に化けて、どこかへ逃げていったらしい。			町人地って場所で騒ぎを起こそうとしていたところ、不審に思った側近によって、擬態を見破られたそうでね。鳥に化けて、どこかへ逃げていったらしい。			ふたりの偽者							
きっと祭器を盗んだ犯人に違いないよね！どうやら、アイツはドマで活動を始めたようだ。			きっと祭器を盗んだ犯人に違いないよね！どうやら、アイツはドマで活動を始めたようだ。			ふたりの偽者							
祭器を取り戻すため、さっそく向かいたいんだけど、殿様が住む町では失敗したわけだから、ほかの場所を狙うはず。キミ、どこか見当のつく集落はある……？			祭器を取り戻すため、さっそく向かいたいんだけど、殿様が住む町では失敗したわけだから、ほかの場所を狙うはず。キミ、どこか見当のつく集落はある……？			ふたりの偽者							
ヤンサ地方のナマイ村ってところがあるのか。Forenameは何でも知ってるんだね。			ヤンサ地方のナマイ村ってところがあるのか。Forenameは何でも知ってるんだね。			ふたりの偽者							
よし、その「ナマイ村」に向かい、争いごとが起こってないか、村人に尋ねてみよう！			よし、その「ナマイ村」に向かい、争いごとが起こってないか、村人に尋ねてみよう！			ふたりの偽者							
この村は自然と共生しているんだね。どこかアタシの集落に似たものを感じて落ち着くよ。			この村は自然と共生しているんだね。どこかアタシの集落に似たものを感じて落ち着くよ。			ふたりの偽者							
争いごとがないかだって？この村の住民は穏やかな人が多いから、特にないかなぁ……。			争いごとがないかだって？この村の住民は穏やかな人が多いから、特にないかなぁ……。			ふたりの偽者							
争いごとねぇ……あったあった、完熟した柿をめぐって彼女とケンカしたんだ。だって、僕の分まで勝手に食べてしまったんだよ。			争いごとねぇ……あったあった、完熟した柿をめぐって彼女とケンカしたんだ。だって、僕の分まで勝手に食べてしまったんだよ。			ふたりの偽者							
でもまあ、すぐに仲直りしたから大丈夫さ。え、聞きたいのはそういう話じゃなかった……？			でもまあ、すぐに仲直りしたから大丈夫さ。え、聞きたいのはそういう話じゃなかった……？			ふたりの偽者							
この村は争いとは無縁で、いたって平和よ。でも、ドマ町人地ではヒエン様の偽者騒ぎがあったそうだわ。			この村は争いとは無縁で、いたって平和よ。でも、ドマ町人地ではヒエン様の偽者騒ぎがあったそうだわ。			ふたりの偽者							
なんでも……ヒエン様が急にナグサに攻め込む、なんて言い出したらしいの。			なんでも……ヒエン様が急にナグサに攻め込む、なんて言い出したらしいの。			ふたりの偽者							
その言動の不自然さから、ユウギリさんがすぐに見破って、偽者は正体を現し慌てて逃げていったそうよ。			その言動の不自然さから、ユウギリさんがすぐに見破って、偽者は正体を現し慌てて逃げていったそうよ。			ふたりの偽者							
この村の住民は穏やかな人が多いから、争いごとなんて特にないよ……。			この村の住民は穏やかな人が多いから、争いごとなんて特にないよ……。			ふたりの偽者							
完熟した柿をめぐって彼女とケンカしたんだけど、聞きたいのはそういう話じゃなかったようだね……。			完熟した柿をめぐって彼女とケンカしたんだけど、聞きたいのはそういう話じゃなかったようだね……。			ふたりの偽者							
ドマ町人地であった偽者騒ぎだけど……ヒエン様が急にナグサに攻め込むとか言い出したらしく、ユウギリさんがすぐに見破って、偽者は逃げていったそうよ。			ドマ町人地であった偽者騒ぎだけど……ヒエン様が急にナグサに攻め込むとか言い出したらしく、ユウギリさんがすぐに見破って、偽者は逃げていったそうよ。			ふたりの偽者							
やあ、こっちは特に争いごとの情報はなかったけど、そっちはどうだった……？			やあ、こっちは特に争いごとの情報はなかったけど、そっちはどうだった……？			ふたりの偽者							
そうか、犯人はこの村にはいないみたいだね。だとすると、どうしたものか……			そうか、犯人はこの村にはいないみたいだね。だとすると、どうしたものか……			ふたりの偽者							
あれ、オメェさん、こんなところで何してんだ……？			あれ、オメェさん、こんなところで何してんだ……？			ふたりの偽者							
キミの知り合い……？			キミの知り合い……？			ふたりの偽者							
おいおい、さっき会ったばかりじゃねぇか。オメェさんが烈士庵の場所を知りたいって言うんで、オラが教えてやったろ？			おいおい、さっき会ったばかりじゃねぇか。オメェさんが烈士庵の場所を知りたいって言うんで、オラが教えてやったろ？			ふたりの偽者							
ははあ、どうやら迷っちまったようだな。しょうがねぇ、もう一度教えてやろう。			ははあ、どうやら迷っちまったようだな。しょうがねぇ、もう一度教えてやろう。			ふたりの偽者							
ナマイ村を下って北の方に、小さな泉があるんだ。そこから潜った先が烈士庵さ。			ナマイ村を下って北の方に、小さな泉があるんだ。そこから潜った先が烈士庵さ。			ふたりの偽者							
もしかして、犯人は今度はキミに……？さっそく、その烈士庵に向かおう！			もしかして、犯人は今度はキミに……？さっそく、その烈士庵に向かおう！			ふたりの偽者							
どうもありがとう、助かったよ！			どうもありがとう、助かったよ！			ふたりの偽者							
さっきの人は、この泉から潜った先が烈士庵だと言ってたね。故郷の森の湖ではよく泳いでいたから任せてよ。			さっきの人は、この泉から潜った先が烈士庵だと言ってたね。故郷の森の湖ではよく泳いでいたから任せてよ。			ふたりの偽者							
(-冒険者に擬態した犯人-)アジムステップの一大勢力であるオロニル族の族長が、密かにドマへの侵略を企てていることがわかった！			(-冒険者に擬態した犯人-)アジムステップの一大勢力であるオロニル族の族長が、密かにドマへの侵略を企てていることがわかった！			ふたりの偽者							
(-冒険者に擬態した犯人-)大きな戦となる前に、先手を打っておきたい。そこで、族長の暗殺に協力してほしい！			(-冒険者に擬態した犯人-)大きな戦となる前に、先手を打っておきたい。そこで、族長の暗殺に協力してほしい！			ふたりの偽者							
(-冒険者に擬態した犯人-)疑われてる？あいつの喋り方を、調べておくべきだったか……。			(-冒険者に擬態した犯人-)疑われてる？あいつの喋り方を、調べておくべきだったか……。			ふたりの偽者							
し、しかし、Forename殿、まずは、ヒエン様にお伺いを立てねば……			し、しかし、Forename殿、まずは、ヒエン様にお伺いを立てねば……			ふたりの偽者							
(-冒険者に擬態した犯人-)そのヒエンの偽者が出たばかり。化けていた者は、オロニル族の間者だったという。			(-冒険者に擬態した犯人-)そのヒエンの偽者が出たばかり。化けていた者は、オロニル族の間者だったという。			ふたりの偽者							
(-冒険者に擬態した犯人-)逃げた間者は、どこに紛れ込んでいるかわからない。だからこそ、君たちに頼んでいるのだ！			(-冒険者に擬態した犯人-)逃げた間者は、どこに紛れ込んでいるかわからない。だからこそ、君たちに頼んでいるのだ！			ふたりの偽者							
なるほど、先のヒエン様の偽者騒ぎも、オロニル族による侵略の一環だったということですね。			なるほど、先のヒエン様の偽者騒ぎも、オロニル族による侵略の一環だったということですね。			ふたりの偽者							
だが、ドマ解放にも尽力してくれた、あのアジムステップの民が、なぜいま侵略など……？			だが、ドマ解放にも尽力してくれた、あのアジムステップの民が、なぜいま侵略など……？			ふたりの偽者							
それに、Forename殿の雰囲気が、いつもと違うような……。			それに、Forename殿の雰囲気が、いつもと違うような……。			ふたりの偽者							
(-冒険者に擬態した犯人-)ドマに未曾有の危機が迫っているのだ！どうか、君たちの力を貸してくれ……！！			(-冒険者に擬態した犯人-)ドマに未曾有の危機が迫っているのだ！どうか、君たちの力を貸してくれ……！！			ふたりの偽者							
解放の立役者であるForename殿が、我らを頼ってくれているのですよ！一刻も早く協力しましょう！！			解放の立役者であるForename殿が、我らを頼ってくれているのですよ！一刻も早く協力しましょう！！			ふたりの偽者							
そ、そうだな……迷っている場合ではなかった。			そ、そうだな……迷っている場合ではなかった。			ふたりの偽者							
Forename殿と共に、我ら烈士がドマの危機のため立ち上がろうッ！			Forename殿と共に、我ら烈士がドマの危機のため立ち上がろうッ！			ふたりの偽者							
こ、これは、いったい……？			こ、これは、いったい……？			ふたりの偽者							
(-冒険者に擬態した犯人-)か、間者が化けた偽者だーーー！そいつを早くぶっ殺せ！！			(-冒険者に擬態した犯人-)か、間者が化けた偽者だーーー！そいつを早くぶっ殺せ！！			ふたりの偽者							
何と言う？			何と言う？			ふたりの偽者							
そっちこそ偽者だーーー！			そっちこそ偽者だーーー！			ふたりの偽者							
自分はそんなこと言わない！			自分はそんなこと言わない！			ふたりの偽者							
偽者めッ、こいつを喰らえ！			偽者めッ、こいつを喰らえ！			ふたりの偽者							
お、お前は……？			お、お前は……？			ふたりの偽者							
(-忍者風の男性-)やれやれ、しつこい奴らだ……。			(-忍者風の男性-)やれやれ、しつこい奴らだ……。			ふたりの偽者							
今度こそ、仕留めてやる！			今度こそ、仕留めてやる！			ふたりの偽者							
何と言う？			何と言う？			ふたりの偽者							
本当に凄腕の狩人？			本当に凄腕の狩人？			ふたりの偽者							
全然、当たらないね……			全然、当たらないね……			ふたりの偽者							
(-忍者風の男性-)くっくっく……			(-忍者風の男性-)くっくっく……			ふたりの偽者							
(-忍者風の男性-)あいつとは大違いだな。俺が殺してやった、イットカという狩人とは……。			(-忍者風の男性-)あいつとは大違いだな。俺が殺してやった、イットカという狩人とは……。			ふたりの偽者							
(-忍者風の男性-)おいおい……まさか、お前がイットカってことになってるのか？			(-忍者風の男性-)おいおい……まさか、お前がイットカってことになってるのか？			ふたりの偽者							
(-忍者風の男性-)だったら、俺と同じ偽者じゃないか。すべてはお前の失態が招いたことなのにな……。			(-忍者風の男性-)だったら、俺と同じ偽者じゃないか。すべてはお前の失態が招いたことなのにな……。			ふたりの偽者							
ゴメンよ、そのことについては後でしっかり話すから、いまは、みんなに事情を説明しよう。			ゴメンよ、そのことについては後でしっかり話すから、いまは、みんなに事情を説明しよう。			ふたりの偽者							
なるほど、擬態とは恐ろしい能力ですね。ヒエン様にもこの件をお伝えし、ドマ国内に注意を促しておきますッ！			なるほど、擬態とは恐ろしい能力ですね。ヒエン様にもこの件をお伝えし、ドマ国内に注意を促しておきますッ！			ふたりの偽者							
まさか、あなたに化けているなんて……すっかり信じてしまいましたよ。			まさか、あなたに化けているなんて……すっかり信じてしまいましたよ。			ふたりの偽者							
しかし、改めてお話ししてみると、先ほどの偽者とはまったく違いますね。いやはや、お恥ずかしい限りです。			しかし、改めてお話ししてみると、先ほどの偽者とはまったく違いますね。いやはや、お恥ずかしい限りです。			ふたりの偽者							
もし、ちょっとよろしいでしょうか？			もし、ちょっとよろしいでしょうか？			ふたりの偽者							
先ほど貴方に化けていた者について……実はその顔に見覚えがありましてね。あれは間違いない、私の幼馴染の「サミダレ」です。			先ほど貴方に化けていた者について……実はその顔に見覚えがありましてね。あれは間違いない、私の幼馴染の「サミダレ」です。			ふたりの偽者							
キミはソイツと知り合いなんだね？どうか、知ってることを教えてほしい……！			キミはソイツと知り合いなんだね？どうか、知ってることを教えてほしい……！			ふたりの偽者							
サミダレは元はドマの忍者であり、私たちは忍びの里で共に修行しました。そして、25年前の帝国侵攻時、ふたりして初陣に臨んだのです。			サミダレは元はドマの忍者であり、私たちは忍びの里で共に修行しました。そして、25年前の帝国侵攻時、ふたりして初陣に臨んだのです。			ふたりの偽者							
我々は祖国を守るべく、帝国の飛行型魔導アーマーを相手に、忍術をもって徹底抗戦しました。			我々は祖国を守るべく、帝国の飛行型魔導アーマーを相手に、忍術をもって徹底抗戦しました。			ふたりの偽者							
そんな我らの想いが通じたのか、ヤンサの守護者である瑞獣「玉藻御前」まで現れたものです。			そんな我らの想いが通じたのか、ヤンサの守護者である瑞獣「玉藻御前」まで現れたものです。			ふたりの偽者							
しかし、かの国の圧倒的な戦力には敵わず、あえなく敗北。占領の憂き目に遭うこととなりました。			しかし、かの国の圧倒的な戦力には敵わず、あえなく敗北。占領の憂き目に遭うこととなりました。			ふたりの偽者							
それから私は密かに独立運動に身を投じましたが、サミダレは帝国に諜報員として徴用されていったのです。			それから私は密かに独立運動に身を投じましたが、サミダレは帝国に諜報員として徴用されていったのです。			ふたりの偽者							
なんでも、敵地で噂を流したりして人を扇動し、内部抗争を起こす役回りで、多くの成果を上げていたとか。思えば昔からサミダレは謀略を巡らすことに長けていました。			なんでも、敵地で噂を流したりして人を扇動し、内部抗争を起こす役回りで、多くの成果を上げていたとか。思えば昔からサミダレは謀略を巡らすことに長けていました。			ふたりの偽者							
そんなサミダレも、先の捕虜交換でドマに復員したのですが……喜ぶこともなく、平和なドマは退屈などと申すではありませんか。挙句の果てに、こんな物騒なことを漏らしていました。			そんなサミダレも、先の捕虜交換でドマに復員したのですが……喜ぶこともなく、平和なドマは退屈などと申すではありませんか。挙句の果てに、こんな物騒なことを漏らしていました。			ふたりの偽者							
