宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
素晴らしい！ギギ殿は呑み込みが早いですなぁ。事件屋としての類まれな才能を感じますぞ！			素晴らしい！ギギ殿は呑み込みが早いですなぁ。事件屋としての類まれな才能を感じますぞ！			発揮された能力							
取り込み中のところ申し訳ないですが、その魔法人形は異端の疑いにより、没収させていただきます！大人しく引き渡していただきたい！			取り込み中のところ申し訳ないですが、その魔法人形は異端の疑いにより、没収させていただきます！大人しく引き渡していただきたい！			発揮された能力							
これは、キール殿とForename殿。ギギ殿が異端だなんて、おかしなことを言いますなぁ。そもそも、この子は人形ではなく、れっきとした男の子ですぞ。			これは、キール殿とForename殿。ギギ殿が異端だなんて、おかしなことを言いますなぁ。そもそも、この子は人形ではなく、れっきとした男の子ですぞ。			発揮された能力							
そうですよ、異端なんかじゃありません。でもでも、ギギさんは可愛い女の子ですからね～。			そうですよ、異端なんかじゃありません。でもでも、ギギさんは可愛い女の子ですからね～。			発揮された能力							
ナシュ、まだ言いますか？先ほどの力強いポーズを見たでしょう？どう見ても、ギギ殿は男の子に間違いありません。			ナシュ、まだ言いますか？先ほどの力強いポーズを見たでしょう？どう見ても、ギギ殿は男の子に間違いありません。			発揮された能力							
いえいえ、それは違いますよ～。ギギさんには、可愛らしいポーズだって似合います～。			いえいえ、それは違いますよ～。ギギさんには、可愛らしいポーズだって似合います～。			発揮された能力							
(-？？？？-)おやおや、なにやら賑やかだと思ったら……あなたたちでしたか。			(-？？？？-)おやおや、なにやら賑やかだと思ったら……あなたたちでしたか。			発揮された能力							
ちょうどよかった、エドモン様！良識ある貴方からも、彼らに真実を突きつけてやってください！			ちょうどよかった、エドモン様！良識ある貴方からも、彼らに真実を突きつけてやってください！			発揮された能力							
コレはどう見ても、魔法人形である……と！			コレはどう見ても、魔法人形である……と！			発揮された能力							
どう見ても、男の子でしょう？			どう見ても、男の子でしょう？			発揮された能力							
………………男の子ですな。			………………男の子ですな。			発揮された能力							
嗚呼、エドモン様まで！いったい、何をおっしゃるのやら……。			嗚呼、エドモン様まで！いったい、何をおっしゃるのやら……。			発揮された能力							
百歩譲って男の子でも、異端の恐れがある身元不明の者を、このまま皇都に入れておくわけにはいきません。こちらで勾留することにします！			百歩譲って男の子でも、異端の恐れがある身元不明の者を、このまま皇都に入れておくわけにはいきません。こちらで勾留することにします！			発揮された能力							
まあまあ、お待ちなさい。いったい、どういった事情なのでしょう？			まあまあ、お待ちなさい。いったい、どういった事情なのでしょう？			発揮された能力							
なるほど、記憶喪失の迷子ということですか。……それならば、身元が明らかになるまでの間、彼をヒルディブランド殿の養子として迎えるのはどうです？			なるほど、記憶喪失の迷子ということですか。……それならば、身元が明らかになるまでの間、彼をヒルディブランド殿の養子として迎えるのはどうです？			発揮された能力							
マンダヴィル家の者となれば、皇都での身元は、このエドモン・ド・フォルタンが保証しましょう。			マンダヴィル家の者となれば、皇都での身元は、このエドモン・ド・フォルタンが保証しましょう。			発揮された能力							
こ、この私が父親にっ？			こ、この私が父親にっ？			発揮された能力							
それは素晴らしいアイディアですな！よし、ギギは今から我が愛息子ですぞ！これからは、私のことを父上と呼ぶのです！			それは素晴らしいアイディアですな！よし、ギギは今から我が愛息子ですぞ！これからは、私のことを父上と呼ぶのです！			発揮された能力							
父上、父上ー！			父上、父上ー！			発揮された能力							
ヒルディブランド様がお父様になるなんて、素敵です～！			ヒルディブランド様がお父様になるなんて、素敵です～！			発揮された能力							
ギギ殿を知る者が見つからぬというのなら、彼に都市内の様々なものを見せてみてはいかがかな？何かのきっかけで、記憶が呼び覚まされるかもしれませんぞ。			ギギ殿を知る者が見つからぬというのなら、彼に都市内の様々なものを見せてみてはいかがかな？何かのきっかけで、記憶が呼び覚まされるかもしれませんぞ。			発揮された能力							
な、なんとも奇遇ですなぁ……それはまさに今、私が考えていたこと！では、さっそく都市内を回ってみますぞ！			な、なんとも奇遇ですなぁ……それはまさに今、私が考えていたこと！では、さっそく都市内を回ってみますぞ！			発揮された能力							
確かに、四大名家に連なるフォルタン家が後見人となれば、異端の疑いだけで勾留することは……不可能！ああ……なんでまた面倒なことに……。			確かに、四大名家に連なるフォルタン家が後見人となれば、異端の疑いだけで勾留することは……不可能！ああ……なんでまた面倒なことに……。			発揮された能力							
もうこうなったら、確固たる異端の証拠を掴むまで、どこまでも監視してやりましょう！			もうこうなったら、確固たる異端の証拠を掴むまで、どこまでも監視してやりましょう！			発揮された能力							
実は、ゴッドベルト殿から息子の様子を、それとなく見守ってもらえないかと、頼まれていたのだ。フフフ……なかなかに愉快な方々のようですな。			実は、ゴッドベルト殿から息子の様子を、それとなく見守ってもらえないかと、頼まれていたのだ。フフフ……なかなかに愉快な方々のようですな。			発揮された能力							
ふーむ、あの建物は、我がマンダヴィル邸に匹敵するかもしれませんな……。			ふーむ、あの建物は、我がマンダヴィル邸に匹敵するかもしれませんな……。			発揮された能力							
はぁ……勢いで来ちゃいましたけど、異端の証拠なんてどう掴めばいいのやら……。			はぁ……勢いで来ちゃいましたけど、異端の証拠なんてどう掴めばいいのやら……。			発揮された能力							
建物、立派です～！			建物、立派です～！			発揮された能力							
うーん……。			うーん……。			発揮された能力							
なんとも見事な建物ですな。きっと名門貴族、デュランゼーメルタンハルト家のお屋敷でしょう。			なんとも見事な建物ですな。きっと名門貴族、デュランゼーメルタンハルト家のお屋敷でしょう。			発揮された能力							
適当なこといわないでください……僕が所属する異端審問局も置かれている、神聖裁判所ですよ。			適当なこといわないでください……僕が所属する異端審問局も置かれている、神聖裁判所ですよ。			発揮された能力							
大体、デュランゼーメルタンハルト家ってなんですか？歴史ある四大名家を、ひとつにまとめないでください。			大体、デュランゼーメルタンハルト家ってなんですか？歴史ある四大名家を、ひとつにまとめないでください。			発揮された能力							
ギギさん、どうですか～？何か思い出しました～？			ギギさん、どうですか～？何か思い出しました～？			発揮された能力							
……なんにも思い出せないよ。			……なんにも思い出せないよ。			発揮された能力							
それでは、次は下層へ行ってみましょう。みんな大好きな、チョコボでも見れば、きっと何か思い出しますぞ！			それでは、次は下層へ行ってみましょう。みんな大好きな、チョコボでも見れば、きっと何か思い出しますぞ！			発揮された能力							
ハッハッハ、チョコボは可愛いですな。小さい頃は、よくチョコボを乗せて荒野を走ったものです。			ハッハッハ、チョコボは可愛いですな。小さい頃は、よくチョコボを乗せて荒野を走ったものです。			発揮された能力							
僕はいま、何をしているのでしょうか？だんだん、わからなくなってきました……。			僕はいま、何をしているのでしょうか？だんだん、わからなくなってきました……。			発揮された能力							
チョコボ、黄色いです～！			チョコボ、黄色いです～！			発揮された能力							
うーん……。			うーん……。			発揮された能力							
ふむ、勇ましいチョコボですな。ゴールドソーサーのチョコボレースで走れば、いい結果を出せることでしょう。			ふむ、勇ましいチョコボですな。ゴールドソーサーのチョコボレースで走れば、いい結果を出せることでしょう。			発揮された能力							
誇り高き神殿騎士団のチョコボを、俗な遊びに利用するなんて……そんな罪深いこと、僕は断固反対します。			誇り高き神殿騎士団のチョコボを、俗な遊びに利用するなんて……そんな罪深いこと、僕は断固反対します。			発揮された能力							
ギギさん、何か思い出しました～？			ギギさん、何か思い出しました～？			発揮された能力							
……なんにも。			……なんにも。			発揮された能力							
宝杖通りへ行ってみてはどうです？商店にはいろいろな品が並んでますから、何かきっかけとなる物があるかもしれませんよ……。			宝杖通りへ行ってみてはどうです？商店にはいろいろな品が並んでますから、何かきっかけとなる物があるかもしれませんよ……。			発揮された能力							
な、なにを協力しているんだ、僕は……。			な、なにを協力しているんだ、僕は……。			発揮された能力							
キール殿、有益な助言に感謝しますぞ！それでは、その「宝杖通り」とやらへ向かいましょう。			キール殿、有益な助言に感謝しますぞ！それでは、その「宝杖通り」とやらへ向かいましょう。			発揮された能力							
お父さん、お父さん！チョコボ欲しい、買って、買って～！			お父さん、お父さん！チョコボ欲しい、買って、買って～！			発揮された能力							
……なんか、変なのがこっち見てる～。			……なんか、変なのがこっち見てる～。			発揮された能力							
！！			！！			発揮された能力							
……ボクは……変……なの？			……ボクは……変……なの？			発揮された能力							
ふぅむ……ウルダハでは見かけないものばかりですな。			ふぅむ……ウルダハでは見かけないものばかりですな。			発揮された能力							
はぁ……あてどもなく調査することが、こんなにしんどいとは……。次々と異端者を捕縛していた、あの頃が懐かしいです。上司はめちゃくちゃ怖かったですけどね……。			はぁ……あてどもなく調査することが、こんなにしんどいとは……。次々と異端者を捕縛していた、あの頃が懐かしいです。上司はめちゃくちゃ怖かったですけどね……。			発揮された能力							
商品、いろいろあります～！			商品、いろいろあります～！			発揮された能力							
……ダメだ。ボク、なんにも思い出せないよ。			……ダメだ。ボク、なんにも思い出せないよ。			発揮された能力							
ハッハッハ、ギギよ。何も、焦ることはありませんぞ。こういうときこそ、こうして落ち着くのです。			ハッハッハ、ギギよ。何も、焦ることはありませんぞ。こういうときこそ、こうして落ち着くのです。			発揮された能力							
ハッ、壺が爆発した……？これは、新たな連続壺爆破事件の予感！			ハッ、壺が爆発した……？これは、新たな連続壺爆破事件の予感！			発揮された能力							
あなたが割ったんでしょう？まったく、どうするんですかこれ……。			あなたが割ったんでしょう？まったく、どうするんですかこれ……。			発揮された能力							
もちろん、弁償してもらうよ。その壺は由緒ある名品だから、ざっと1億ギルってとこかなぁ……。			もちろん、弁償してもらうよ。その壺は由緒ある名品だから、ざっと1億ギルってとこかなぁ……。			発揮された能力							
いッ、1億ギルゥゥゥ！？			いッ、1億ギルゥゥゥ！？			発揮された能力							
おお、戦神ハルオーネよ！なぜ我らを見捨てたもうたのか……。			おお、戦神ハルオーネよ！なぜ我らを見捨てたもうたのか……。			発揮された能力							
壺、ピカピカです～！			壺、ピカピカです～！			発揮された能力							
ききききき奇跡だっ！戦神ハルオーネは、我らを救いたもうた！			ききききき奇跡だっ！戦神ハルオーネは、我らを救いたもうた！			発揮された能力							
こ、これ……ボクがやったの？			こ、これ……ボクがやったの？			発揮された能力							
お見事でしたぞギギ！割れた壺を直してしまうとは、まるで、父上のようですな！			お見事でしたぞギギ！割れた壺を直してしまうとは、まるで、父上のようですな！			発揮された能力							
父上の父上？			父上の父上？			発揮された能力							
ヒルディブランド様のお父様……ゴッドベルト様です～。なんでも、ピカピカに直したり、作り変えたりできるんですよ～。			ヒルディブランド様のお父様……ゴッドベルト様です～。なんでも、ピカピカに直したり、作り変えたりできるんですよ～。			発揮された能力							
ギギさんを目覚めさせたのも、ゴッドベルト様なのです～。今は夫婦仲良く西部高地を旅行中ですよ～。			ギギさんを目覚めさせたのも、ゴッドベルト様なのです～。今は夫婦仲良く西部高地を旅行中ですよ～。			発揮された能力							
ちょっと待った！そんなことでこの奇跡を済ませていいんですか？その「魔法人形」には不思議な力があるようだ……。			ちょっと待った！そんなことでこの奇跡を済ませていいんですか？その「魔法人形」には不思議な力があるようだ……。			発揮された能力							
ね、ねえ、そこのアンタ……その「魔法人形」売ってくれないか？1億ギル……いや、2億ギル出すよ！			ね、ねえ、そこのアンタ……その「魔法人形」売ってくれないか？1億ギル……いや、2億ギル出すよ！			発揮された能力							
……魔法……人形。			……魔法……人形。			発揮された能力							
商人殿、ギギは「魔法人形」ではありませんぞ。ギギは私の愛息子、手放すことなどありえません。			商人殿、ギギは「魔法人形」ではありませんぞ。ギギは私の愛息子、手放すことなどありえません。			発揮された能力							
……父上、もういいんだ。ボクを勇気づけようとしてくれてありがとう。でもやっぱり、みんなの言うとおり、ボクは「魔法人形」だ。			……父上、もういいんだ。ボクを勇気づけようとしてくれてありがとう。でもやっぱり、みんなの言うとおり、ボクは「魔法人形」だ。			発揮された能力							
ハッハッハ、そんなわけありません。ギギは、私と同じ立派な男の子ですぞ！			ハッハッハ、そんなわけありません。ギギは、私と同じ立派な男の子ですぞ！			発揮された能力							
そうですよ～、ギギさんは、可愛い女の子ですから～。			そうですよ～、ギギさんは、可愛い女の子ですから～。			発揮された能力							
ボクはさっきから真剣に悩んでるのに！もういいよっ、たくさんだっ！			ボクはさっきから真剣に悩んでるのに！もういいよっ、たくさんだっ！			発揮された能力							
あの奇跡の力……異端の匂いがプンプンしやがります！一刻も早く、魔法人形を探し出さないと……。			あの奇跡の力……異端の匂いがプンプンしやがります！一刻も早く、魔法人形を探し出さないと……。			発揮された能力							
ギギさん、心配です～。			ギギさん、心配です～。			発揮された能力							
うーむ、ギギは難しい年頃のようですな……マンダヴィル流交渉術も、ここでは通用しません。父親としての実力が、今、試されている予感がしますぞ！			うーむ、ギギは難しい年頃のようですな……マンダヴィル流交渉術も、ここでは通用しません。父親としての実力が、今、試されている予感がしますぞ！			発揮された能力							
ギギさんの悩み、ちゃんと聞いてあげなきゃですね～。			ギギさんの悩み、ちゃんと聞いてあげなきゃですね～。			発揮された能力							
そういう問題じゃないと思いますが……ともかく、どこかへ行ってしまった魔法人形を探さないと、こちらも困りますよ……。			そういう問題じゃないと思いますが……ともかく、どこかへ行ってしまった魔法人形を探さないと、こちらも困りますよ……。			発揮された能力							
不浄の三塔のヒルディブランドは、皆に感謝しているようだ。			不浄の三塔のヒルディブランドは、皆に感謝しているようだ。			理想の毎日							
壮年騎士団からギギを取り戻すため、白亜の宮殿へ向かうことになった。ドラヴァニア雲海の白亜の宮殿へ向かった「ヒルディブランド」と合流しよう。			壮年騎士団からギギを取り戻すため、白亜の宮殿へ向かうことになった。ドラヴァニア雲海の白亜の宮殿へ向かった「ヒルディブランド」と合流しよう。			理想の毎日							
ヒルディブランドと合流した。彼は傷が痛むようで、冒険者はサラマンダー油を塗るよう頼まれた。白亜の宮殿の「ヒルディブランド」に「サラマンダー油」をかけよう。			ヒルディブランドと合流した。彼は傷が痛むようで、冒険者はサラマンダー油を塗るよう頼まれた。白亜の宮殿の「ヒルディブランド」に「サラマンダー油」をかけよう。			理想の毎日							
ヒルディブランドにサラマンダー油をかけた。「ヒルディブランド」に油を塗りこもう。			ヒルディブランドにサラマンダー油をかけた。「ヒルディブランド」に油を塗りこもう。			理想の毎日							
ヒルディブランドに油を塗りこんだ。ゴッドベルトから、ヒルディブランドにサラマンダヴィル油を塗るよう頼まれた。「ヒルディブランド」に「サラマンダヴィル油」をかけよう。			ヒルディブランドに油を塗りこんだ。ゴッドベルトから、ヒルディブランドにサラマンダヴィル油を塗るよう頼まれた。「ヒルディブランド」に「サラマンダヴィル油」をかけよう。			理想の毎日							
ヒルディブランドにサラマンダヴィル油をかけた。「ヒルディブランド」に油を塗りこもう。			ヒルディブランドにサラマンダヴィル油をかけた。「ヒルディブランド」に油を塗りこもう。			理想の毎日							
ヒルディブランドはもっと油を塗りこんでほしいようだ。再度「ヒルディブランド」に油を塗りこもう。			ヒルディブランドはもっと油を塗りこんでほしいようだ。再度「ヒルディブランド」に油を塗りこもう。			理想の毎日							
ヒルディブランドは熱くて燃えるようらしい。再度「ヒルディブランド」に油を塗りこもう。			ヒルディブランドは熱くて燃えるようらしい。再度「ヒルディブランド」に油を塗りこもう。			理想の毎日							
十分油を塗りこまれたヒルディブランドと、白亜の宮殿に乗り込んだ。若返った壮年騎士団の目的は、聖竜を倒してその眼を奪って力を得ることだった。ギギは、ヒルディブランドの必死の説得と、大魔導士クワンに捨てられたわけではないと知り、考えを改める。しかし、ドリスは宮殿の柱を爆破し、ヒルディブランドたちを下敷きにしようとする。ギギは、最後の力で柱を元通りにして皆を救う。壮年騎士団たちは老人に戻ってしまい、観念するのだった。そして、ギギは力尽きて動かなくなってしまう。ヒルディブランドは、ギギがどこかへ旅立ったと知らされ、ジュリアンによって空高く飛ばされてしまった。彼の献身的な父親ぶりと、ギギの時魔法によって、一連の事件は幕を閉じたようだ。白亜の宮殿の「キール」と話そう。			十分油を塗りこまれたヒルディブランドと、白亜の宮殿に乗り込んだ。若返った壮年騎士団の目的は、聖竜を倒してその眼を奪って力を得ることだった。ギギは、ヒルディブランドの必死の説得と、大魔導士クワンに捨てられたわけではないと知り、考えを改める。しかし、ドリスは宮殿の柱を爆破し、ヒルディブランドたちを下敷きにしようとする。ギギは、最後の力で柱を元通りにして皆を救う。壮年騎士団たちは老人に戻ってしまい、観念するのだった。そして、ギギは力尽きて動かなくなってしまう。ヒルディブランドは、ギギがどこかへ旅立ったと知らされ、ジュリアンによって空高く飛ばされてしまった。彼の献身的な父親ぶりと、ギギの時魔法によって、一連の事件は幕を閉じたようだ。白亜の宮殿の「キール」と話そう。			理想の毎日							
キールと話した。彼は落ち着いたところで、改めてお礼を言いたいという。イディルシャイアにいる「キール」と話そう。			キールと話した。彼は落ち着いたところで、改めてお礼を言いたいという。イディルシャイアにいる「キール」と話そう。			理想の毎日							
キールと話した。職を失った彼は、イディルシャイアで事件屋を始めるという。彼の再出発を祝福し、彼方へと飛び去った事件屋ヒルディブランドの無事を祈ろう……。※以下の条件を満たすと、クガネの小さな少年から、新たなサブクエストを受注することができます。1.「メインクエスト：紅蓮のリベレーター」の、　「紅蓮のリベレーター」を完了する。			キールと話した。職を失った彼は、イディルシャイアで事件屋を始めるという。彼の再出発を祝福し、彼方へと飛び去った事件屋ヒルディブランドの無事を祈ろう……。※以下の条件を満たすと、クガネの小さな少年から、新たなサブクエストを受注することができます。1.「メインクエスト：紅蓮のリベレーター」の、　「紅蓮のリベレーター」を完了する。			理想の毎日							
白亜の宮殿のヒルディブランドと話す			白亜の宮殿のヒルディブランドと話す			理想の毎日							
ヒルディブランドにサラマンダー油を使う			ヒルディブランドにサラマンダー油を使う			理想の毎日							
ヒルディブランドにサラマンダー油を塗る			ヒルディブランドにサラマンダー油を塗る			理想の毎日							
ヒルディブランドにサラマンダヴィル油を使う			ヒルディブランドにサラマンダヴィル油を使う			理想の毎日							
ヒルディブランドにサラマンダヴィル油を塗る			ヒルディブランドにサラマンダヴィル油を塗る			理想の毎日							
ヒルディブランドにサラマンダヴィル油を再度塗る			ヒルディブランドにサラマンダヴィル油を再度塗る			理想の毎日							
ヒルディブランドにサラマンダヴィル油を塗りまくる			ヒルディブランドにサラマンダヴィル油を塗りまくる			理想の毎日							
キールと話す			キールと話す			理想の毎日							
イディルシャイアのキールと話す			イディルシャイアのキールと話す			理想の毎日							
聖竜を討伐するだなんて……。いったい、何が目的なんだ……？			聖竜を討伐するだなんて……。いったい、何が目的なんだ……？			理想の毎日							
ヒルディブランド様、発見です～。			ヒルディブランド様、発見です～。			理想の毎日							
まったく、ヒルディちゃんときたら、調子いいんだから……。			まったく、ヒルディちゃんときたら、調子いいんだから……。			理想の毎日							
我が愛息子が父親として奮闘しているとは……。なんとも、感慨深いですな……。			我が愛息子が父親として奮闘しているとは……。なんとも、感慨深いですな……。			理想の毎日							
私、ヒルディブランドは、やはり、みなさんあっての事件屋ヒルディブランド！我が愛息子を取り返すため、ぜひとも協力していただきたい！			私、ヒルディブランドは、やはり、みなさんあっての事件屋ヒルディブランド！我が愛息子を取り返すため、ぜひとも協力していただきたい！			理想の毎日							
言われなくても、みなさん、そのつもりで来てますよ。			言われなくても、みなさん、そのつもりで来てますよ。			理想の毎日							
ナシュ、ヒルディブランド様の、新品のお洋服も用意してあります～。			ナシュ、ヒルディブランド様の、新品のお洋服も用意してあります～。			理想の毎日							
さすがは我が助手、ナシュ！道中でいつもの正装に着替えますぞ！			さすがは我が助手、ナシュ！道中でいつもの正装に着替えますぞ！			理想の毎日							
さあ、ギギを取り返すため、ドラヴァニア雲海の白亜の宮殿へ向かいましょう！			さあ、ギギを取り返すため、ドラヴァニア雲海の白亜の宮殿へ向かいましょう！			理想の毎日							
はぁ……ついに、ドラゴン族の本拠地にまで来てしまった。もう、なんでもござれですよ。			はぁ……ついに、ドラゴン族の本拠地にまで来てしまった。もう、なんでもござれですよ。			理想の毎日							
ヒルディブランド様、着替えました～。			ヒルディブランド様、着替えました～。			理想の毎日							
雲の上だなんて、なんだかお肌に悪そうだわ……。			雲の上だなんて、なんだかお肌に悪そうだわ……。			理想の毎日							
ホーウ、これが噂の白亜の宮殿ですか。なかなかどうして、素晴らしき意匠ですな！			ホーウ、これが噂の白亜の宮殿ですか。なかなかどうして、素晴らしき意匠ですな！			理想の毎日							
みなさん、揃いましたな。それでは、壮年騎士団との最後の戦いに……			みなさん、揃いましたな。それでは、壮年騎士団との最後の戦いに……			理想の毎日							
うう……先ほど、こっぴどくやられた傷が痛みますぞ……。このままでは、壮年騎士団の前で実力が出せません。こんなときに、アレがあれば……。			うう……先ほど、こっぴどくやられた傷が痛みますぞ……。このままでは、壮年騎士団の前で実力が出せません。こんなときに、アレがあれば……。			理想の毎日							
サラマンダー油なら、用意してあるわよ。ヒルディちゃん、久しぶりにママが塗ってあげようかしら？			サラマンダー油なら、用意してあるわよ。ヒルディちゃん、久しぶりにママが塗ってあげようかしら？			理想の毎日							
さすがはママ……じゃなくて、母上！しかし、ここはサラマンダー油塗りの達人、我が運命の友Forename殿に頼みたい！			さすがはママ……じゃなくて、母上！しかし、ここはサラマンダー油塗りの達人、我が運命の友Forename殿に頼みたい！			理想の毎日							
あら、恥ずかしがらなくてもいいじゃない。いつものようにママが塗ってあげるわよ……。			あら、恥ずかしがらなくてもいいじゃない。いつものようにママが塗ってあげるわよ……。			理想の毎日							
ママ、ここはForename殿に任せましょう。彼女彼は、本当にいいテクニックを持っていますぞ。このゴッドベルトが、うっかり寝オチしそうになるくらいね……。			ママ、ここはForename殿に任せましょう。彼女彼は、本当にいいテクニックを持っていますぞ。このゴッドベルトが、うっかり寝オチしそうになるくらいね……。			理想の毎日							
ママ、ここはForename殿に任せましょう。息子は、運命の友にこそ塗ってほしいようです。			ママ、ここはForename殿に任せましょう。息子は、運命の友にこそ塗ってほしいようです。			理想の毎日							
アンタが、そこまで言うのなら……。Forename、よろしく頼むわ。			アンタが、そこまで言うのなら……。Forename、よろしく頼むわ。			理想の毎日							
Forename殿、さっそく、それを私にバシャッとかけてくれませんか？			Forename殿、さっそく、それを私にバシャッとかけてくれませんか？			理想の毎日							
さぁさぁ、遠慮はいりませんぞ。バシャッとかけてください！			さぁさぁ、遠慮はいりませんぞ。バシャッとかけてください！			理想の毎日							
なんだか、悔しいわ。Forenameに息子をとられたみたい……。			なんだか、悔しいわ。Forenameに息子をとられたみたい……。			理想の毎日							
我がマンダヴィル家にとって、サラマンダー油は欠かせないものなのです。			我がマンダヴィル家にとって、サラマンダー油は欠かせないものなのです。			理想の毎日							
あ、あのう……早く行きませんか？			あ、あのう……早く行きませんか？			理想の毎日							
ヒルディブランド様、大丈夫ですか～？			ヒルディブランド様、大丈夫ですか～？			理想の毎日							
おお……生傷にしみますな……。さぁさぁ、乾かないうちに塗りこんでください！			おお……生傷にしみますな……。さぁさぁ、乾かないうちに塗りこんでください！			理想の毎日							
あぁぁぁぁぁーいたたたっっっっ！さ、さすがに付き合いも長くなると、容赦がないですな……。			あぁぁぁぁぁーいたたたっっっっ！さ、さすがに付き合いも長くなると、容赦がないですな……。			理想の毎日							
ハァハァ……さすがは油塗りの達人、全身に染み渡りましたぞ！さあ、壮年騎士団との最後の戦いに……			ハァハァ……さすがは油塗りの達人、全身に染み渡りましたぞ！さあ、壮年騎士団との最後の戦いに……			理想の毎日							
お待ちなさい、我が息子よ……。マンダヴィル家に伝わる、秘伝の油も塗っていきなさい。			お待ちなさい、我が息子よ……。マンダヴィル家に伝わる、秘伝の油も塗っていきなさい。			理想の毎日							
サラマンダー油を我が家の秘伝で濃縮し改良した、その名も「サラマンダヴィル油」！ここ一番の大舞台へ向かう息子への、私からのはなむけです！			サラマンダー油を我が家の秘伝で濃縮し改良した、その名も「サラマンダヴィル油」！ここ一番の大舞台へ向かう息子への、私からのはなむけです！			理想の毎日							
サ、サ、サ……サラマンダヴィル油！？			サ、サ、サ……サラマンダヴィル油！？			理想の毎日							
この油によって、筋肉の光沢をさらに増すことで、どんな攻撃にも耐えられる気になれること、請け合いですぞ。かつて、私が盗賊団を壊滅させたときも、この油を塗ったものです。			この油によって、筋肉の光沢をさらに増すことで、どんな攻撃にも耐えられる気になれること、請け合いですぞ。かつて、私が盗賊団を壊滅させたときも、この油を塗ったものです。			理想の毎日							
さあ、Forename殿、この油を、その手で我が息子に塗ってやってください！			さあ、Forename殿、この油を、その手で我が息子に塗ってやってください！			理想の毎日							
さぁさぁ、Forename殿、その油を私にバシャッとかけてください！			さぁさぁ、Forename殿、その油を私にバシャッとかけてください！			理想の毎日							
ヒルディブランド様、テカテカです～！			ヒルディブランド様、テカテカです～！			理想の毎日							
ぬおぉぉぉぉぉっ……こ、これはまた一段としみますな……。さぁさぁ、早く塗りこんでください！			ぬおぉぉぉぉぉっ……こ、これはまた一段としみますな……。さぁさぁ、早く塗りこんでください！			理想の毎日							
あぁぁぁぁぁーきくぅぅぅぅっ！これが、我が家の秘伝の油ですか……。さぁ、もっともっと、塗りこんでください！			あぁぁぁぁぁーきくぅぅぅぅっ！これが、我が家の秘伝の油ですか……。さぁ、もっともっと、塗りこんでください！			理想の毎日							
あついいぃぃぃぃぃぃっ、もえるようですぞぉぉぉぉぉぉっ！し、しかし……これを乗り越えてこその……マンダヴィル！			あついいぃぃぃぃぃぃっ、もえるようですぞぉぉぉぉぉぉっ！し、しかし……これを乗り越えてこその……マンダヴィル！			理想の毎日							
おぉぉぉぉぉっそこはッ………………たまりませんぞ！			おぉぉぉぉぉっそこはッ………………たまりませんぞ！			理想の毎日							
ハァハァ……恐るべしサラマンダヴィル油！身体が内側から燃えてくるようです！			ハァハァ……恐るべしサラマンダヴィル油！身体が内側から燃えてくるようです！			理想の毎日							
我が母上の油と、父上の油……。そして、我が運命の友の手によって、私はエオルゼア最強の事件屋となりました！			我が母上の油と、父上の油……。そして、我が運命の友の手によって、私はエオルゼア最強の事件屋となりました！			理想の毎日							
Forename殿、ありがとうございます！これでもう、壮年騎士団には負けませんぞ！さあ、白亜の宮殿に乗り込みましょう！			Forename殿、ありがとうございます！これでもう、壮年騎士団には負けませんぞ！さあ、白亜の宮殿に乗り込みましょう！			理想の毎日							
壮年騎士団のみなさん！今度こそ、ギギを返してもらいますぞ！			壮年騎士団のみなさん！今度こそ、ギギを返してもらいますぞ！			理想の毎日							
あんたもしつこいね。あたしたちは、聖竜を倒すのに忙しいんだよ。			あんたもしつこいね。あたしたちは、聖竜を倒すのに忙しいんだよ。			理想の毎日							
聖竜を倒すだなんて……。いったい、どういうつもりなんだ？			聖竜を倒すだなんて……。いったい、どういうつもりなんだ？			理想の毎日							
聖竜を倒せば、眷属たちも融和への道を捨てるだろうし、七大天竜の眼を奪えば、大きな力を得ることができるんだろう？そうすれば、若返ったあたしらは、ますます活躍できるのさ！			聖竜を倒せば、眷属たちも融和への道を捨てるだろうし、七大天竜の眼を奪えば、大きな力を得ることができるんだろう？そうすれば、若返ったあたしらは、ますます活躍できるのさ！			理想の毎日							
な、なんてことを……。また、同じ過ちを繰り返そうというのか？そんなこと……絶対に許されないぞ！			な、なんてことを……。また、同じ過ちを繰り返そうというのか？そんなこと……絶対に許されないぞ！			理想の毎日							
ふん、生意気な小童どもめ……。若返ったワシらの力を見せてやる。これで終わりだ……。			ふん、生意気な小童どもめ……。若返ったワシらの力を見せてやる。これで終わりだ……。			理想の毎日							
(-壮年騎士たち-)アルティメットエーーーンド！			(-壮年騎士たち-)アルティメットエーーーンド！			理想の毎日							
ママ……ここは息子に任せましょう。			ママ……ここは息子に任せましょう。			理想の毎日							
ギギ、目つきが怖くなろうとも、私の息子ですぞ。さあ、いっしょに家に帰りましょう。			ギギ、目つきが怖くなろうとも、私の息子ですぞ。さあ、いっしょに家に帰りましょう。			理想の毎日							
(-ビビ-)「ギギ」じゃない……ボクは「ビビ」だ！壮年騎士団のおかげで、記憶も能力も取り戻した……。			(-ビビ-)「ギギ」じゃない……ボクは「ビビ」だ！壮年騎士団のおかげで、記憶も能力も取り戻した……。			理想の毎日							
