流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			帝都の獣							
ところが、温暖かつ肥沃な土地を狙うコルヴォ人に侵略され、約800年前、寒冷地エブラーナに追いやられたのだという。			ところが、温暖かつ肥沃な土地を狙うコルヴォ人に侵略され、約800年前、寒冷地エブラーナに追いやられたのだという。			流浪の帰還者たち							
奪われた故郷を取り戻せ。帝国の初代皇帝ソルが掲げたスローガンは、多くの人々を戦争に駆り立て、そして実際に「奪還」が成された。			奪われた故郷を取り戻せ。帝国の初代皇帝ソルが掲げたスローガンは、多くの人々を戦争に駆り立て、そして実際に「奪還」が成された。			流浪の帰還者たち							
だが、考えてもみたまえ。ロクス・アモエヌスと呼ばれるようになるより前、さらに古い時代、かの地は誰のものであった？			だが、考えてもみたまえ。ロクス・アモエヌスと呼ばれるようになるより前、さらに古い時代、かの地は誰のものであった？			流浪の帰還者たち							
古代人は数えぬとしても、第三星暦には多民族国家であるアラグ帝国の支配下にあったのだ。決して有史以前から、ガレアン人が独占してきたわけではあるまい。			古代人は数えぬとしても、第三星暦には多民族国家であるアラグ帝国の支配下にあったのだ。決して有史以前から、ガレアン人が独占してきたわけではあるまい。			流浪の帰還者たち							
仮に、ガレアン人の祖先が、創世のときより、あの土地で暮らしてきたのだとしても、「先にいた」だけで、他民族すべてを排除して良い理由になるのか？			仮に、ガレアン人の祖先が、創世のときより、あの土地で暮らしてきたのだとしても、「先にいた」だけで、他民族すべてを排除して良い理由になるのか？			流浪の帰還者たち							
これが、我らシャーレアンが忌み嫌う、戦いの本質なのだ。いつの世も戦いは正義と語られるが、真の正義など存在しない。この野蛮なる負の連鎖を、断ち切らねば人は……			これが、我らシャーレアンが忌み嫌う、戦いの本質なのだ。いつの世も戦いは正義と語られるが、真の正義など存在しない。この野蛮なる負の連鎖を、断ち切らねば人は……			流浪の帰還者たち							
(-帰還者の叫び声-)ば、バケモノだーーー！			(-帰還者の叫び声-)ば、バケモノだーーー！			流浪の帰還者たち							
まさか、獣が！？急ぎ、向かおう……！			まさか、獣が！？急ぎ、向かおう……！			流浪の帰還者たち							
いったい、何があったというのだ……？			いったい、何があったというのだ……？			流浪の帰還者たち							
な、仲間の具合が悪そうだったんで、介抱してやろうとしたんだ……。			な、仲間の具合が悪そうだったんで、介抱してやろうとしたんだ……。			流浪の帰還者たち							
そ、そしたら、仲間が……バ、バ、バケモノになっちまったんだ……！			そ、そしたら、仲間が……バ、バ、バケモノになっちまったんだ……！			流浪の帰還者たち							
くっ、獣化が起こってしまったか……。それで、変異した仲間はどこへ？			くっ、獣化が起こってしまったか……。それで、変異した仲間はどこへ？			流浪の帰還者たち							
ひ、引き寄せられるように……塔の方に……。			ひ、引き寄せられるように……塔の方に……。			流浪の帰還者たち							
まだ、そう遠くへは行ってないはずだ。私は、この者らを落ち着かせるべく、ここに留まる。すまないが、あとを追って討伐を頼む！			まだ、そう遠くへは行ってないはずだ。私は、この者らを落ち着かせるべく、ここに留まる。すまないが、あとを追って討伐を頼む！			流浪の帰還者たち							
な、なんてこった……。わしらは、どうなってしまうんだ……？			な、なんてこった……。わしらは、どうなってしまうんだ……？			流浪の帰還者たち							
この者らのことは、私に任せてくれ。さらなる獣化を防ぐべく、心を落ち着かせてみせよう。			この者らのことは、私に任せてくれ。さらなる獣化を防ぐべく、心を落ち着かせてみせよう。			流浪の帰還者たち							
獣を討伐してくれたか、感謝する。			獣を討伐してくれたか、感謝する。			流浪の帰還者たち							
幸いなことに、さらなる獣化は発生していない。どうにか、残る帰還者たちの心を落ち着かせることができた。			幸いなことに、さらなる獣化は発生していない。どうにか、残る帰還者たちの心を落ち着かせることができた。			流浪の帰還者たち							
だが……その際、気になることを聞いてな……。獣化した犠牲者が、直前までこの鉱石ラジオに、聞き耳をたてていたというのだ。			だが……その際、気になることを聞いてな……。獣化した犠牲者が、直前までこの鉱石ラジオに、聞き耳をたてていたというのだ。			流浪の帰還者たち							
実際、ラジオを作動させると奇妙な音声が流れてくるのだよ。君も聴いてみてくれ。			実際、ラジオを作動させると奇妙な音声が流れてくるのだよ。君も聴いてみてくれ。			流浪の帰還者たち							
(-ラジオが拾った声-)テイ、コ……ハ……ホロビ……ッタ…………ウ、ニドト……サイケン、サレ……コト……ナイ……			(-ラジオが拾った声-)テイ、コ……ハ……ホロビ……ッタ…………ウ、ニドト……サイケン、サレ……コト……ナイ……			流浪の帰還者たち							
ノイズ混じりではあるが、男性らしき声で、「帝国は滅び去った、もう二度と再建されることはない」と、話しているようだ……。			ノイズ混じりではあるが、男性らしき声で、「帝国は滅び去った、もう二度と再建されることはない」と、話しているようだ……。			流浪の帰還者たち							
帝都は、この惨状だ。放送局が機能しているとも思えないが……			帝都は、この惨状だ。放送局が機能しているとも思えないが……			流浪の帰還者たち							
何と言う？			何と言う？			流浪の帰還者たち							
以前、アニマの声が流れてきたことがある			以前、アニマの声が流れてきたことがある			流浪の帰還者たち							
以前、バブイルの塔から放送されていたことがある			以前、バブイルの塔から放送されていたことがある			流浪の帰還者たち							
ほう、バブイルの塔から蛮神「アニマ」の声が、放送されていたことがある、と……。			ほう、バブイルの塔から蛮神「アニマ」の声が、放送されていたことがある、と……。			流浪の帰還者たち							
だが、アニマは討滅されたはず……。バブイルの塔に、放送を行う機能が残っていたとして、いったい誰が……？			だが、アニマは討滅されたはず……。バブイルの塔に、放送を行う機能が残っていたとして、いったい誰が……？			流浪の帰還者たち							
Forename殿、フルシュノ殿……！			Forename殿、フルシュノ殿……！			流浪の帰還者たち							
第IV市外駅での聞き込みを終えたところで、アイメリク卿とメルウィブ殿が到着されたと連絡があり、こちらに、お連れしました。			第IV市外駅での聞き込みを終えたところで、アイメリク卿とメルウィブ殿が到着されたと連絡があり、こちらに、お連れしました。			流浪の帰還者たち							
Forename、遅くなってすまない。こと偽神獣に関しては、討伐を経験した者が対策にあたるのが、最適と判断し、駆けつけさせてもらった。			Forename、遅くなってすまない。こと偽神獣に関しては、討伐を経験した者が対策にあたるのが、最適と判断し、駆けつけさせてもらった。			流浪の帰還者たち							
微力ながら、私も力を尽くさせてもらおう。……ところで、さっそくだが調査の方は？			微力ながら、私も力を尽くさせてもらおう。……ところで、さっそくだが調査の方は？			流浪の帰還者たち							
まさか盟主自ら、救援に駆けつけてくださるとは……。此度の協力、感謝いたします。			まさか盟主自ら、救援に駆けつけてくださるとは……。此度の協力、感謝いたします。			流浪の帰還者たち							
では、あらためて状況の整理を……			では、あらためて状況の整理を……			流浪の帰還者たち							
それで、これが件の鉱石ラジオというものか……。			それで、これが件の鉱石ラジオというものか……。			流浪の帰還者たち							
(-ラジオが拾った声-)テイ、コ……ハ……ホロビ……ッタ…………ウ、ニドト……サイケン、サレ……コト……ナイ……			(-ラジオが拾った声-)テイ、コ……ハ……ホロビ……ッタ…………ウ、ニドト……サイケン、サレ……コト……ナイ……			流浪の帰還者たち							
この音声を聴いたことで、祖国が滅んだことを再認識し、絶望を深めて獣化に至った、ということか。			この音声を聴いたことで、祖国が滅んだことを再認識し、絶望を深めて獣化に至った、ということか。			流浪の帰還者たち							
だが、いったい誰が、このような放送を？男性の声にも聞こえるが……			だが、いったい誰が、このような放送を？男性の声にも聞こえるが……			流浪の帰還者たち							
(-ラジオが拾った声-)エイ、エン……ハンエ……ワガ、ソコク、ニ……			(-ラジオが拾った声-)エイ、エン……ハンエ……ワガ、ソコク、ニ……			流浪の帰還者たち							
まってください……！いま、「永遠の繁栄を、我が祖国に」……そう言っていませんでしたか？			まってください……！いま、「永遠の繁栄を、我が祖国に」……そう言っていませんでしたか？			流浪の帰還者たち							
なにか思い当たる節でも？			なにか思い当たる節でも？			流浪の帰還者たち							
はい、自分は帝国属州の出身なのですが、これは、皇族ネルウァのモットーと同じフレーズなのです。演説の折、繰り返し口にするので、有名でした。			はい、自分は帝国属州の出身なのですが、これは、皇族ネルウァのモットーと同じフレーズなのです。演説の折、繰り返し口にするので、有名でした。			流浪の帰還者たち							
ネルウァといえば、ヴァリス帝が急逝したあと、新皇帝に名乗りを上げた皇族だったな。			ネルウァといえば、ヴァリス帝が急逝したあと、新皇帝に名乗りを上げた皇族だったな。			流浪の帰還者たち							
内戦が勃発して以来、行方不明となっていたはずだが、バブイルの塔に忍び込んで放送を……？			内戦が勃発して以来、行方不明となっていたはずだが、バブイルの塔に忍び込んで放送を……？			流浪の帰還者たち							
それはどうでしょうか。獣が巣喰う塔内で、安全に放送を続けられるとは思えません。むしろ……			それはどうでしょうか。獣が巣喰う塔内で、安全に放送を続けられるとは思えません。むしろ……			流浪の帰還者たち							
何と言う？			何と言う？			流浪の帰還者たち							
声の主は、偽神獣？			声の主は、偽神獣？			流浪の帰還者たち							
声の主は、やっぱりネルウァでは……			声の主は、やっぱりネルウァでは……			流浪の帰還者たち							
ああ、私もそう考えたところだ。かつて鉱石ラジオが蛮神「アニマ」の声を受信したように、塔内にいる偽神獣の声を拾っているのではないか。			ああ、私もそう考えたところだ。かつて鉱石ラジオが蛮神「アニマ」の声を受信したように、塔内にいる偽神獣の声を拾っているのではないか。			流浪の帰還者たち							
そして、その偽神獣の正体は、帝国という拠り所を失い、誰よりも絶望した男、ネルウァではないか、と……。			そして、その偽神獣の正体は、帝国という拠り所を失い、誰よりも絶望した男、ネルウァではないか、と……。			流浪の帰還者たち							
ある意味においては、そうかもしれない。私はこう考えているのだよ。			ある意味においては、そうかもしれない。私はこう考えているのだよ。			流浪の帰還者たち							
声の主は、塔内に潜む偽神獣であり、その正体は帝国という拠り所を失い、誰よりも絶望した男、ネルウァではないか、と……。			声の主は、塔内に潜む偽神獣であり、その正体は帝国という拠り所を失い、誰よりも絶望した男、ネルウァではないか、と……。			流浪の帰還者たち							
有り得る話だ。産卵地の喪失により、絶望して獣と化したサハギン族と、ロクス・アモエヌスを失ったガレアン人には似たところがある。			有り得る話だ。産卵地の喪失により、絶望して獣と化したサハギン族と、ロクス・アモエヌスを失ったガレアン人には似たところがある。			流浪の帰還者たち							
我が国における状況とも重なると感じた。イシュガルド正教と、覇権国家としての帝国のイデオロギー……どちらも、人々の心の拠り所であったという意味では同じだろう。			我が国における状況とも重なると感じた。イシュガルド正教と、覇権国家としての帝国のイデオロギー……どちらも、人々の心の拠り所であったという意味では同じだろう。			流浪の帰還者たち							
リムサ・ロミンサでは、島の一角を産卵地として提供するという、協定が絶望の緩和に繋がったのだが……			リムサ・ロミンサでは、島の一角を産卵地として提供するという、協定が絶望の緩和に繋がったのだが……			流浪の帰還者たち							
帝国の場合、それは難しいでしょうな。彼らがロクス・アモエヌスと呼ぶ土地は、コルヴォ人にとっても故郷。我ら異国の民が、その領有権に口を挟むことはできない。			帝国の場合、それは難しいでしょうな。彼らがロクス・アモエヌスと呼ぶ土地は、コルヴォ人にとっても故郷。我ら異国の民が、その領有権に口を挟むことはできない。			流浪の帰還者たち							
我らは公会議を開き、正教の改革に向けて動き出すことで、人々の精神的な支柱を再建することができた。その方法論は応用できないだろうか？			我らは公会議を開き、正教の改革に向けて動き出すことで、人々の精神的な支柱を再建することができた。その方法論は応用できないだろうか？			流浪の帰還者たち							
何と言う？			何と言う？			流浪の帰還者たち							
帝国という国家を再建すればいい			帝国という国家を再建すればいい			流浪の帰還者たち							
…………			…………			流浪の帰還者たち							
そうだな、それしかないだろう。ただし、その新国家は異国の民に強制されたものではなく、ガレアン人自身が主導するものでなければならない。			そうだな、それしかないだろう。ただし、その新国家は異国の民に強制されたものではなく、ガレアン人自身が主導するものでなければならない。			流浪の帰還者たち							
答えはひとつしかない、国の再建だ。ただし、その新国家は異国の民に強制されたものではなく、ガレアン人自身が主導するものでなければならない。			答えはひとつしかない、国の再建だ。ただし、その新国家は異国の民に強制されたものではなく、ガレアン人自身が主導するものでなければならない。			流浪の帰還者たち							
確かに、秩序が崩壊して混乱している彼らには、自分たちの国の再建こそ、大いなる希望となるだろう。			確かに、秩序が崩壊して混乱している彼らには、自分たちの国の再建こそ、大いなる希望となるだろう。			流浪の帰還者たち							
生活の基盤を取り戻す活動は、アルフィノ殿やアリゼー殿らが、熱心に取り組んでいると聞いた。それとは異なる方向での国家再建となると……			生活の基盤を取り戻す活動は、アルフィノ殿やアリゼー殿らが、熱心に取り組んでいると聞いた。それとは異なる方向での国家再建となると……			流浪の帰還者たち							
未来の国家の枠組みを示すこと。すなわち、暫定政権の樹立といったところですかな。			未来の国家の枠組みを示すこと。すなわち、暫定政権の樹立といったところですかな。			流浪の帰還者たち							
キャンプ・ブロークングラスに身を寄せている避難民の中には、元帝国元老院の議員もいると聞いたことがあります。彼らを交えれば、不可能ではないでしょう。			キャンプ・ブロークングラスに身を寄せている避難民の中には、元帝国元老院の議員もいると聞いたことがあります。彼らを交えれば、不可能ではないでしょう。			流浪の帰還者たち							
さっそく、帰還者たちを集めてまいります。情報を共有し、我々からの提案を伝えてみましょう！			さっそく、帰還者たちを集めてまいります。情報を共有し、我々からの提案を伝えてみましょう！			流浪の帰還者たち							
祖国を失った貴殿らの悲しみは察するに余りある。絶望に心を染め上げられるのも無理からぬことだ。			祖国を失った貴殿らの悲しみは察するに余りある。絶望に心を染め上げられるのも無理からぬことだ。			流浪の帰還者たち							
しかし、先ほども痛ましい獣化現象が起きたように、この状況を打開しなければ、悲劇は広まる一方だろう。			しかし、先ほども痛ましい獣化現象が起きたように、この状況を打開しなければ、悲劇は広まる一方だろう。			流浪の帰還者たち							
だが、これほどの難局を前に、ひとりで立ち上がれるものなどいようものか。同胞の結束と、秩序の回復が急務といえるだろう。			だが、これほどの難局を前に、ひとりで立ち上がれるものなどいようものか。同胞の結束と、秩序の回復が急務といえるだろう。			流浪の帰還者たち							
それも、異国の民からの押しつけではなく、ガレアン人自身が主導し、選択する道として……。			それも、異国の民からの押しつけではなく、ガレアン人自身が主導し、選択する道として……。			流浪の帰還者たち							
幸いにも元老院議員の中に、幾人かの生き残りがいるという。彼らを中心に有志を集め、暫定政権を樹立してはどうだろうか？もちろん、我らも協力を惜しまない。			幸いにも元老院議員の中に、幾人かの生き残りがいるという。彼らを中心に有志を集め、暫定政権を樹立してはどうだろうか？もちろん、我らも協力を惜しまない。			流浪の帰還者たち							
そ、それで本当に、ガレアン人の国が再建されるというなら……こちらは願ったりだが……。			そ、それで本当に、ガレアン人の国が再建されるというなら……こちらは願ったりだが……。			流浪の帰還者たち							
フン、騙されるものか。たとえ暫定政権が立てられたとて、瓦礫の山と化したガレマルドで、国の再建など土台無理な話だ。			フン、騙されるものか。たとえ暫定政権が立てられたとて、瓦礫の山と化したガレマルドで、国の再建など土台無理な話だ。			流浪の帰還者たち							
ロクス・アモエヌスという安住の地を追われ、本国もこの有様では、わしらのような老人はこの先、生きていくことすら難しい……。			ロクス・アモエヌスという安住の地を追われ、本国もこの有様では、わしらのような老人はこの先、生きていくことすら難しい……。			流浪の帰還者たち							
確かに、疲弊しきったガレアン人だけで、国を立て直すのは困難なことだろう。しかし、あなた方は決してひとりではない。			確かに、疲弊しきったガレアン人だけで、国を立て直すのは困難なことだろう。しかし、あなた方は決してひとりではない。			流浪の帰還者たち							
私の子どもたちは、第I軍団の者たちと協力し、ここ帝都で人々を助けるべく救援活動を開始している。			私の子どもたちは、第I軍団の者たちと協力し、ここ帝都で人々を助けるべく救援活動を開始している。			流浪の帰還者たち							
また、かつての属州民の中には、自らの技能を売り込むためにガレマルドに残る者もいるという。			また、かつての属州民の中には、自らの技能を売り込むためにガレマルドに残る者もいるという。			流浪の帰還者たち							
支配者として君臨しようというのではなく、同じ星に棲まう者として対等にあろうと心がけるのであれば、必ず、あなた方と手を取り合う者が出てくるはずだ。			支配者として君臨しようというのではなく、同じ星に棲まう者として対等にあろうと心がけるのであれば、必ず、あなた方と手を取り合う者が出てくるはずだ。			流浪の帰還者たち							
しかし、それでもなお立ち上がる力がないというのならば、我が国、シャーレアンへの移住を提案させてもらいたい。諸手を挙げて歓迎しよう。			しかし、それでもなお立ち上がる力がないというのならば、我が国、シャーレアンへの移住を提案させてもらいたい。諸手を挙げて歓迎しよう。			流浪の帰還者たち							
聞いたこともない蛮族の小国に逃れ、そこで媚びへつらいながら生きろというのか？			聞いたこともない蛮族の小国に逃れ、そこで媚びへつらいながら生きろというのか？			流浪の帰還者たち							
知らずとも仕方ない。我々は徹底的な非干渉を貫いてきたからな……。			知らずとも仕方ない。我々は徹底的な非干渉を貫いてきたからな……。			流浪の帰還者たち							
シャーレアンは北洋にある学術都市だ。もともと、多種多様な種族で構成されている国ゆえ、ガレアン人が溶け込むのも難しくはあるまい。			シャーレアンは北洋にある学術都市だ。もともと、多種多様な種族で構成されている国ゆえ、ガレアン人が溶け込むのも難しくはあるまい。			流浪の帰還者たち							
もちろん、媚びへつらう必要などない。市民のひとりとして受け入れることを保証しよう。			もちろん、媚びへつらう必要などない。市民のひとりとして受け入れることを保証しよう。			流浪の帰還者たち							
な、なぜ、縁もゆかりもないわしらに、そこまでするというのだ……？			な、なぜ、縁もゆかりもないわしらに、そこまでするというのだ……？			流浪の帰還者たち							
シャーレアンは「終末」に備えて星外脱出を計画してきた。その救済対象のリストは、かねてよりの友邦国の名から記され、ガレマール帝国は最下位に位置していた。			シャーレアンは「終末」に備えて星外脱出を計画してきた。その救済対象のリストは、かねてよりの友邦国の名から記され、ガレマール帝国は最下位に位置していた。			流浪の帰還者たち							
帝国軍によるアラミゴ侵攻の折、停戦交渉を求める我が国を、貴国は拒絶した。そうした経緯があってのことではあるが……			帝国軍によるアラミゴ侵攻の折、停戦交渉を求める我が国を、貴国は拒絶した。そうした経緯があってのことではあるが……			流浪の帰還者たち							
つまるところ、我々はあなた方を見捨てようとしていたのだ。			つまるところ、我々はあなた方を見捨てようとしていたのだ。			流浪の帰還者たち							
かつて、こう言った人がいた。			かつて、こう言った人がいた。			流浪の帰還者たち							
『助けられる人が目の前にいるときに、我が身を案じて助けぬというのは怠惰というもの。それでは到底、人として進歩的とはいえぬ』			『助けられる人が目の前にいるときに、我が身を案じて助けぬというのは怠惰というもの。それでは到底、人として進歩的とはいえぬ』			流浪の帰還者たち							
迫りくる終末の危機を前に、私が青臭い理想論だと断じて捨ててしまった言葉だ。			迫りくる終末の危機を前に、私が青臭い理想論だと断じて捨ててしまった言葉だ。			流浪の帰還者たち							
だが、ここにいるForename殿と、「暁」の驚くべき活躍によって、終末の要因が取り除かれた。ならば、いまこそ取り戻したいと思うのだ、青臭い理想論を……。			だが、ここにいるForename殿と、「暁」の驚くべき活躍によって、終末の要因が取り除かれた。ならば、いまこそ取り戻したいと思うのだ、青臭い理想論を……。			流浪の帰還者たち							
どの道、わしらにほかに生きる術はない。信じてみようじゃないか……。			どの道、わしらにほかに生きる術はない。信じてみようじゃないか……。			流浪の帰還者たち							
では、あなた方を、ひとまず、キャンプ・ブロークングラスにお招きしたい。温かい食事と寝床を用意させよう。			では、あなた方を、ひとまず、キャンプ・ブロークングラスにお招きしたい。温かい食事と寝床を用意させよう。			流浪の帰還者たち							
私とメルウィブ提督は、マキシマ殿らも含めて、暫定政権樹立に向けた支援のあり方について話してこよう。偽神獣討伐に向かう際に、また、な。			私とメルウィブ提督は、マキシマ殿らも含めて、暫定政権樹立に向けた支援のあり方について話してこよう。偽神獣討伐に向かう際に、また、な。			流浪の帰還者たち							
臣の褒賞のフルシュノは、次の行動に移りたいようだ。			臣の褒賞のフルシュノは、次の行動に移りたいようだ。			ガレアンの本質							
フルシュノと偽神獣の正体と思しき、ネルウァのことを調べることになった。ガレマルドのキャンプ・ブロークングラスの「派遣団の情報将校」と話そう。			フルシュノと偽神獣の正体と思しき、ネルウァのことを調べることになった。ガレマルドのキャンプ・ブロークングラスの「派遣団の情報将校」と話そう。			ガレアンの本質							
派遣団の情報将校と話し、ウェルギリアからネルウァのことを聞いた。そこへ、ロレンスたちがカヌ・エ・センナを連れてきた。カヌ・エ・センナによると、偽神獣の障壁はエーテルによるものの可能性があるというので、地脈を調べることになった。ガレマルドのウルバニッシマ区で「カヌ・エ・センナ」と話そう。			派遣団の情報将校と話し、ウェルギリアからネルウァのことを聞いた。そこへ、ロレンスたちがカヌ・エ・センナを連れてきた。カヌ・エ・センナによると、偽神獣の障壁はエーテルによるものの可能性があるというので、地脈を調べることになった。ガレマルドのウルバニッシマ区で「カヌ・エ・センナ」と話そう。			ガレアンの本質							
カヌ・エ・センナが地脈を調べて、バブイルの塔がエーテルを吸収していることがわかった。そこにネロが現れた。彼は塔で偽神獣に遭遇してから、冒険者たちを尾行していたようだ。ネロによると、ガレマルド北方にヴァリスの心臓が埋められていて、塔はそれを結節点として、エーテルを吸収しているという。ロレンスたちとウェルギリアが、心臓の回収に向かうことになった。フルシュノに通信が入り、若い帰還者たちがバブイルの塔に向かったというので、フルシュノと共に探して連れ戻すことになった。ウルバニッシマ区で「フルシュノ」と話そう。			カヌ・エ・センナが地脈を調べて、バブイルの塔がエーテルを吸収していることがわかった。そこにネロが現れた。彼は塔で偽神獣に遭遇してから、冒険者たちを尾行していたようだ。ネロによると、ガレマルド北方にヴァリスの心臓が埋められていて、塔はそれを結節点として、エーテルを吸収しているという。ロレンスたちとウェルギリアが、心臓の回収に向かうことになった。フルシュノに通信が入り、若い帰還者たちがバブイルの塔に向かったというので、フルシュノと共に探して連れ戻すことになった。ウルバニッシマ区で「フルシュノ」と話そう。			ガレアンの本質							
若い帰還者たちを探して連れ戻すため、フルシュノと同行して、ウルバニッシマ区の「探索地点」で見渡そう。※同行状態が解除された場合、再度「フルシュノ」に話しかけることで同行を再開できます。			若い帰還者たちを探して連れ戻すため、フルシュノと同行して、ウルバニッシマ区の「探索地点」で見渡そう。※同行状態が解除された場合、再度「フルシュノ」に話しかけることで同行を再開できます。			ガレアンの本質							
探索地点で見渡したが、若い帰還者たちは見当たらなかった。フルシュノと同行して、再度ウルバニッシマ区の「探索地点」で見渡そう。			探索地点で見渡したが、若い帰還者たちは見当たらなかった。フルシュノと同行して、再度ウルバニッシマ区の「探索地点」で見渡そう。			ガレアンの本質							
探索地点で見渡したところ、若者の叫び声が聞こえた。ウルバニッシマ区で若い帰還者を探そう。			探索地点で見渡したところ、若者の叫び声が聞こえた。ウルバニッシマ区で若い帰還者を探そう。			ガレアンの本質							
若い帰還者を探したところ、終末の獣に襲われていたので討伐した。ウルバニッシマ区の「若い帰還者」を救助しよう。			若い帰還者を探したところ、終末の獣に襲われていたので討伐した。ウルバニッシマ区の「若い帰還者」を救助しよう。			ガレアンの本質							
若い帰還者を救助した。居場所がないと嘆く若い帰還者たちに、フルシュノは月への移住を提案した。反発されたが、ネロが現れて彼らにガレアン人の本質を解き、説得することに成功するのだった。			若い帰還者を救助した。居場所がないと嘆く若い帰還者たちに、フルシュノは月への移住を提案した。反発されたが、ネロが現れて彼らにガレアン人の本質を解き、説得することに成功するのだった。			ガレアンの本質							
派遣団の情報将校と話す			派遣団の情報将校と話す			ガレアンの本質							
カヌ・エ・センナと話す			カヌ・エ・センナと話す			ガレアンの本質							
フルシュノと話して同行させる			フルシュノと話して同行させる			ガレアンの本質							
フルシュノを連れて探索地点で見渡す			フルシュノを連れて探索地点で見渡す			ガレアンの本質							
フルシュノを連れて探索地点で再度見渡す			フルシュノを連れて探索地点で再度見渡す			ガレアンの本質							
若い帰還者を探す			若い帰還者を探す			ガレアンの本質							
若い帰還者を救助する			若い帰還者を救助する			ガレアンの本質							
これにて、帰還者たちが抱える絶望への対策は、一歩前進したと考えていいだろう。			これにて、帰還者たちが抱える絶望への対策は、一歩前進したと考えていいだろう。			ガレアンの本質							
次は保留となっていたことを調べたい。偽神獣を護る障壁を、いかにして突破するかということだ。			次は保留となっていたことを調べたい。偽神獣を護る障壁を、いかにして突破するかということだ。			ガレアンの本質							
聞けば、偽神獣の行動は、変異する前の人格が抱いていた想いに影響されるという。ならば、正体を探ることは無意味ではあるまい。			聞けば、偽神獣の行動は、変異する前の人格が抱いていた想いに影響されるという。ならば、正体を探ることは無意味ではあるまい。			ガレアンの本質							
ここは、ネルウァと関係が深かった、第III軍団の者に話を聞くのがいいだろう。			ここは、ネルウァと関係が深かった、第III軍団の者に話を聞くのがいいだろう。			ガレアンの本質							
イルサバード派遣団に拘束された兵たちは、精神汚染の除去が行われた後も、負傷の治療のため、キャンプ・ブロークングラスに留め置かれていたはず。			イルサバード派遣団に拘束された兵たちは、精神汚染の除去が行われた後も、負傷の治療のため、キャンプ・ブロークングラスに留め置かれていたはず。			ガレアンの本質							
「派遣団の情報将校」に事情を伝え、取り次いでもらうことにしよう。			「派遣団の情報将校」に事情を伝え、取り次いでもらうことにしよう。			ガレアンの本質							
なるほど、事情はわかりました……。			なるほど、事情はわかりました……。			ガレアンの本質							
そういうことならば、第III軍団の軍団長、ウェルギリアに話を聞くといいでしょう。			そういうことならば、第III軍団の軍団長、ウェルギリアに話を聞くといいでしょう。			ガレアンの本質							
まだ怪我は完治していませんが、話を聞く程度なら問題ないはずです。彼女を連れてきますので、近くの天幕でお待ちください。			まだ怪我は完治していませんが、話を聞く程度なら問題ないはずです。彼女を連れてきますので、近くの天幕でお待ちください。			ガレアンの本質							
お前がエオルゼアの……			お前がエオルゼアの……			ガレアンの本質							
今更、敗軍の将に何のようだ？			今更、敗軍の将に何のようだ？			ガレアンの本質							
状況が状況だけに、本題から入らせてもらいたい。まず、私たちが調べた情報を共有しよう。			状況が状況だけに、本題から入らせてもらいたい。まず、私たちが調べた情報を共有しよう。			ガレアンの本質							
以上のような状況から、我々は偽神獣の正体が、行方不明のネルウァであるとの疑念を強めている。			以上のような状況から、我々は偽神獣の正体が、行方不明のネルウァであるとの疑念を強めている。			ガレアンの本質							
ネルウァ様が……。			ネルウァ様が……。			ガレアンの本質							
彼の最後を知るのは、ネルウァ派の筆頭格であった君のはず……。どうか、君が知っていることを話してもらいたい。			彼の最後を知るのは、ネルウァ派の筆頭格であった君のはず……。どうか、君が知っていることを話してもらいたい。			ガレアンの本質							
……わかった。と言っても、大したことを知っているわけではないがな。			……わかった。と言っても、大したことを知っているわけではないがな。			ガレアンの本質							
私がネルウァ様と最後に会ったのは、第I軍団との内戦が激化し始めた直後のことだ。場所は、我々が本営を置いていた元老院の地下室……。			私がネルウァ様と最後に会ったのは、第I軍団との内戦が激化し始めた直後のことだ。場所は、我々が本営を置いていた元老院の地下室……。			ガレアンの本質							
日がな一日、避難先の地下室に籠もり、取り憑かれたように、情報を求めてラジオにかじりついていた……。戦いの趨勢(すうせい)が気になっていたのだろう。			日がな一日、避難先の地下室に籠もり、取り憑かれたように、情報を求めてラジオにかじりついていた……。戦いの趨勢(すうせい)が気になっていたのだろう。			ガレアンの本質							
だが、残念ながら、私が知っているのはそこまでだ。その後、前線に出た私は、バブイルの塔から鳴った異音を聞いて、すぐに正気を失ってしまったからな……。			だが、残念ながら、私が知っているのはそこまでだ。その後、前線に出た私は、バブイルの塔から鳴った異音を聞いて、すぐに正気を失ってしまったからな……。			ガレアンの本質							
派遣団の者から聞いたが、鉱石ラジオがあれば、精神汚染を防げたのだろう？だとすれば、ネルウァ様は、その時点では無事だったはずだ。			派遣団の者から聞いたが、鉱石ラジオがあれば、精神汚染を防げたのだろう？だとすれば、ネルウァ様は、その時点では無事だったはずだ。			ガレアンの本質							
しかし、ネルウァ様は熱烈な愛国者であられた。それこそ、「永遠の繁栄を祖国に」という言葉を、モットーとして掲げるほどに。			しかし、ネルウァ様は熱烈な愛国者であられた。それこそ、「永遠の繁栄を祖国に」という言葉を、モットーとして掲げるほどに。			ガレアンの本質							
そんな愛国者が帝都の崩壊を目の当たりにすれば、誰よりも深く絶望したことだろう……。			そんな愛国者が帝都の崩壊を目の当たりにすれば、誰よりも深く絶望したことだろう……。			ガレアンの本質							
