特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
あの子にも、事情があるのだろうけど……。			あの子にも、事情があるのだろうけど……。			オグルは恩義に報いたい							
おかえり！そっちはどうだった？			おかえり！そっちはどうだった？			オグルは恩義に報いたい							
ふんふん……こっちは、子どもたちから気になる話を聞いたぞ。			ふんふん……こっちは、子どもたちから気になる話を聞いたぞ。			オグルは恩義に報いたい							
最近、知らない大人から、金になる仕事があるって声をかけられたんだと！窃盗事件との関係性に確証はないけど、怪しいだろ？			最近、知らない大人から、金になる仕事があるって声をかけられたんだと！窃盗事件との関係性に確証はないけど、怪しいだろ？			オグルは恩義に報いたい							
関係あるなら、子どもを捕まえるだけじゃダメだな。償うべきは、裏にいるその大人だ。居場所さえわかればなぁ……。			関係あるなら、子どもを捕まえるだけじゃダメだな。償うべきは、裏にいるその大人だ。居場所さえわかればなぁ……。			オグルは恩義に報いたい							
近頃の不況で、経済的に苦しい人は多いわ。その上、不気味な「塔」が現れたり、いろいろありすぎて、星戦士団も手一杯……。			近頃の不況で、経済的に苦しい人は多いわ。その上、不気味な「塔」が現れたり、いろいろありすぎて、星戦士団も手一杯……。			オグルは恩義に報いたい							
治安に影響が出るのも当然ね。ともかく、状況を探ってくれてありがとう。ひとまずこれで、お腹を膨らませてちょうだいな。			治安に影響が出るのも当然ね。ともかく、状況を探ってくれてありがとう。ひとまずこれで、お腹を膨らませてちょうだいな。			オグルは恩義に報いたい							
特殊ルール： レベルアジャストイェドリマンのオグルは、窃盗犯を捕まえたいようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、窃盗犯を捕まえたいようだ。			イェドリマンの大捕物							
※本クエストには「 レベルアジャスト」が、　設定されています。オグルと話した。彼女の作戦をもとに、窃盗犯を追跡することになった。サベネア島のイェドリマンの「指定地点」で待機し、様子を窺おう。			※本クエストには「 レベルアジャスト」が、　設定されています。オグルと話した。彼女の作戦をもとに、窃盗犯を追跡することになった。サベネア島のイェドリマンの「指定地点」で待機し、様子を窺おう。			イェドリマンの大捕物							
スリの少年が、オグルにスリを働いた。イェドリマンの「スリの少年」を尾行しよう。※尾行状態が解除された場合、再度「指定地点」に待機することで尾行に再挑戦できます。			スリの少年が、オグルにスリを働いた。イェドリマンの「スリの少年」を尾行しよう。※尾行状態が解除された場合、再度「指定地点」に待機することで尾行に再挑戦できます。			イェドリマンの大捕物							
スリの少年を尾行した。イェドリマン西で、「オグル」と合流しよう。			スリの少年を尾行した。イェドリマン西で、「オグル」と合流しよう。			イェドリマンの大捕物							
オグルと合流し、救助した。イェドリマンへ戻り、「カーンチャナ」に状況を報告しよう。			オグルと合流し、救助した。イェドリマンへ戻り、「カーンチャナ」に状況を報告しよう。			イェドリマンの大捕物							
カーンチャナに報告した。窃盗騒動は解決したが、オグルは再び無一文になってしまった。しかし、マタンガ族への恐怖を克服した彼女ならば、サベネア島で旅を続けられることだろう。			カーンチャナに報告した。窃盗騒動は解決したが、オグルは再び無一文になってしまった。しかし、マタンガ族への恐怖を克服した彼女ならば、サベネア島で旅を続けられることだろう。			イェドリマンの大捕物							
指定地点で待機			指定地点で待機			イェドリマンの大捕物							
指定地点で待機し、スリの少年を密かに尾行			指定地点で待機し、スリの少年を密かに尾行			イェドリマンの大捕物							
オグルと合流			オグルと合流			イェドリマンの大捕物							
カーンチャナに報告			カーンチャナに報告			イェドリマンの大捕物							
迷惑をかけちゃって、ごめんなさいねえ。			迷惑をかけちゃって、ごめんなさいねえ。			イェドリマンの大捕物							
よーし！それじゃあ、犯人を捕まえにいくぞ！			よーし！それじゃあ、犯人を捕まえにいくぞ！			イェドリマンの大捕物							
犯人の居場所がわからないのに、どうやって捕まえるのよ。			犯人の居場所がわからないのに、どうやって捕まえるのよ。			イェドリマンの大捕物							
盗みを働いた子どもの裏には、大人の親玉がいるらしい。収穫があれば、そいつのところへ向かうはずだろ？それなら、何かを盗ませて尾行すればいいんだ！			盗みを働いた子どもの裏には、大人の親玉がいるらしい。収穫があれば、そいつのところへ向かうはずだろ？それなら、何かを盗ませて尾行すればいいんだ！			イェドリマンの大捕物							
私はマヌケなカモ役を演じる。だから、尾行は姐さん兄さんに任せた！			私はマヌケなカモ役を演じる。だから、尾行は姐さん兄さんに任せた！			イェドリマンの大捕物							
尾行した先で親玉に接触できたら、イェドリマンの西へ追い込んでくれ。私が先回りしておくから、ふたりで挟み撃ちだ！			尾行した先で親玉に接触できたら、イェドリマンの西へ追い込んでくれ。私が先回りしておくから、ふたりで挟み撃ちだ！			イェドリマンの大捕物							
なるほどねえ。オグルったら、頭が回るじゃない。			なるほどねえ。オグルったら、頭が回るじゃない。			イェドリマンの大捕物							
ばあちゃんが言ってた。「大きな獲物を狩るには、餌を惜しむな」ってな！盗人を捕まえるのも、草原での狩りも似たようなもんだ！			ばあちゃんが言ってた。「大きな獲物を狩るには、餌を惜しむな」ってな！盗人を捕まえるのも、草原での狩りも似たようなもんだ！			イェドリマンの大捕物							
それじゃ、私はイェドリマン中央の広場で、無防備に突っ立ってるから、物陰で見張っていてくれ。遠目から盗んだのがわかるように、目立つものを用意しておく！			それじゃ、私はイェドリマン中央の広場で、無防備に突っ立ってるから、物陰で見張っていてくれ。遠目から盗んだのがわかるように、目立つものを用意しておく！			イェドリマンの大捕物							
気をつけていってらっしゃいね。			気をつけていってらっしゃいね。			イェドリマンの大捕物							
ほら、配置について！			ほら、配置について！			イェドリマンの大捕物							
尾行は任せた！			尾行は任せた！			イェドリマンの大捕物							
スリの少年と、親玉らしきアルカソーダラ族を見つけた！			スリの少年と、親玉らしきアルカソーダラ族を見つけた！			イェドリマンの大捕物							
よしよし、ちゃんと盗れるじゃねぇか。おめぇの取り分は、あとで渡して……			よしよし、ちゃんと盗れるじゃねぇか。おめぇの取り分は、あとで渡して……			イェドリマンの大捕物							
おい、ラカシール！尾行されてやがったな！！			おい、ラカシール！尾行されてやがったな！！			イェドリマンの大捕物							
てめぇ、家族に「仕事」がバレていいのか！？ずらかるぞ！			てめぇ、家族に「仕事」がバレていいのか！？ずらかるぞ！			イェドリマンの大捕物							
窃盗犯たちが、イェドリマン西へと走っていった。「オグル」と合流しよう。			窃盗犯たちが、イェドリマン西へと走っていった。「オグル」と合流しよう。			イェドリマンの大捕物							
気絶しているようだ。			気絶しているようだ。			イェドリマンの大捕物							
ううっ……。			ううっ……。			イェドリマンの大捕物							
不覚、不覚……もう大丈夫。姐さん兄さんの合流を待つつもりだったんだけど、子どもを人質に取ろうとしたもんでさ。			不覚、不覚……もう大丈夫。姐さん兄さんの合流を待つつもりだったんだけど、子どもを人質に取ろうとしたもんでさ。			イェドリマンの大捕物							
ばあちゃんが言ってたんだ。「弱きをくじく者を、許すなかれ」ってな。そんなわけで、タコ殴りにしちゃったんだけど……			ばあちゃんが言ってたんだ。「弱きをくじく者を、許すなかれ」ってな。そんなわけで、タコ殴りにしちゃったんだけど……			イェドリマンの大捕物							
とりあえず、この馬鹿マタンガは、星戦士団って連中に、突き出さないと！			とりあえず、この馬鹿マタンガは、星戦士団って連中に、突き出さないと！			イェドリマンの大捕物							
姉ちゃん……オレのことをかばったせいで、怪我させてごめん。それと、武器を盗んだことも……。			姉ちゃん……オレのことをかばったせいで、怪我させてごめん。それと、武器を盗んだことも……。			イェドリマンの大捕物							
よく言った、少年！盗みはよくないが、素直に罪を認めて偉いぞ！星戦士団への説明にも、協力してもらえると助かる。			よく言った、少年！盗みはよくないが、素直に罪を認めて偉いぞ！星戦士団への説明にも、協力してもらえると助かる。			イェドリマンの大捕物							
うん、わかったよ。			うん、わかったよ。			イェドリマンの大捕物							
私、星戦士団のところに行ってくるから、「カーンチャナ」への状況報告は頼んだ！			私、星戦士団のところに行ってくるから、「カーンチャナ」への状況報告は頼んだ！			イェドリマンの大捕物							
「カーンチャナ」への状況報告は頼んだ！			「カーンチャナ」への状況報告は頼んだ！			イェドリマンの大捕物							
オレ、ちゃんと事情を説明するよ……。			オレ、ちゃんと事情を説明するよ……。			イェドリマンの大捕物							
ああ、おかえりなさい！状況は、Forenameから聞いたわ。			ああ、おかえりなさい！状況は、Forenameから聞いたわ。			イェドリマンの大捕物							
犯人の聴取をちょっと聞いたんだけど、盗んだ金品は、まだため込んでいたみたいでさ。星戦士団が押収したら、正式に返却しにまわるって。			犯人の聴取をちょっと聞いたんだけど、盗んだ金品は、まだため込んでいたみたいでさ。星戦士団が押収したら、正式に返却しにまわるって。			イェドリマンの大捕物							
それはよかった……盗まれた装身具、私の思い出の品なの。星戦士団が対応してくれるんだったら、安心ね。			それはよかった……盗まれた装身具、私の思い出の品なの。星戦士団が対応してくれるんだったら、安心ね。			イェドリマンの大捕物							
あと、盗みをやってたラカシールって子は、事情聴取中だ。家族が仕事をなくして、お金に困ってたんだって。			あと、盗みをやってたラカシールって子は、事情聴取中だ。家族が仕事をなくして、お金に困ってたんだって。			イェドリマンの大捕物							
ちゃんと反省していたから、盗られたお金はあげることにしたんだ。星戦士団からの報奨金も、私のぶんはな！			ちゃんと反省していたから、盗られたお金はあげることにしたんだ。星戦士団からの報奨金も、私のぶんはな！			イェドリマンの大捕物							
「子にまさる宝はなし」って、ばあちゃんも言ってたし！子どもは大事にしないとな～。			「子にまさる宝はなし」って、ばあちゃんも言ってたし！子どもは大事にしないとな～。			イェドリマンの大捕物							
何と言う？			何と言う？			イェドリマンの大捕物							
船賃はもういいの？			船賃はもういいの？			イェドリマンの大捕物							
また無一文冒険者に……			また無一文冒険者に……			イェドリマンの大捕物							
いいの、いいの！アルカソーダラ族にも慣れてきたし、急ぐ理由もなくなった！しばらくはサベネア島で旅をして、のんびり稼ぐことにするよ。			いいの、いいの！アルカソーダラ族にも慣れてきたし、急ぐ理由もなくなった！しばらくはサベネア島で旅をして、のんびり稼ぐことにするよ。			イェドリマンの大捕物							
ここからは、姐さん兄さんを頼らずに、ひとりでがんばってみる。Forename、長々と世話になったな！			ここからは、姐さん兄さんを頼らずに、ひとりでがんばってみる。Forename、長々と世話になったな！			イェドリマンの大捕物							
ってわけでさ！カーンチャナ、新しい仕事ない？			ってわけでさ！カーンチャナ、新しい仕事ない？			イェドリマンの大捕物							
ふふふ、そんなオグルにいい仕事があるわ。私も依頼人に用事があるから、一緒に行きましょう。			ふふふ、そんなオグルにいい仕事があるわ。私も依頼人に用事があるから、一緒に行きましょう。			イェドリマンの大捕物							
この報奨金は、Forenameの取り分だ！お互い、冒険者としていい旅しような！			この報奨金は、Forenameの取り分だ！お互い、冒険者としていい旅しような！			イェドリマンの大捕物							
スリの少年の「尾行」に、再挑戦しますか？			スリの少年の「尾行」に、再挑戦しますか？			イェドリマンの大捕物							
特殊ルール： レベルアジャストパーラカの里のイェザーンは、冒険者に頼みがあるようだ。			特殊ルール： レベルアジャストパーラカの里のイェザーンは、冒険者に頼みがあるようだ。			森へ吹き込む草原の風							
※本クエストには「 レベルアジャスト」が、　設定されています。イェザーンと話した。避難民の流入による物資不足を解消したいという。サベネア島のイェドリマンにいる「カーンチャナ」と話そう。			※本クエストには「 レベルアジャスト」が、　設定されています。イェザーンと話した。避難民の流入による物資不足を解消したいという。サベネア島のイェドリマンにいる「カーンチャナ」と話そう。			森へ吹き込む草原の風							
カーンチャナと話した。イェドリマン付近で「オグル」と話そう。			カーンチャナと話した。イェドリマン付近で「オグル」と話そう。			森へ吹き込む草原の風							
オグルと話した。サベネア島のデミールの遺烈郷北東で「オグル」と合流しよう。			オグルと話した。サベネア島のデミールの遺烈郷北東で「オグル」と合流しよう。			森へ吹き込む草原の風							
オグルと合流し、現れた魔物を討伐した。デミールの遺烈郷北東で「オグル」と話そう。			オグルと合流し、現れた魔物を討伐した。デミールの遺烈郷北東で「オグル」と話そう。			森へ吹き込む草原の風							
オグルと話した。サベネア島のパーラカの里北で「オグル」と再度話そう。			オグルと話した。サベネア島のパーラカの里北で「オグル」と再度話そう。			森へ吹き込む草原の風							
オグルと再度話した。パーラカの里にいる「イェザーン」と話そう。			オグルと再度話した。パーラカの里にいる「イェザーン」と話そう。			森へ吹き込む草原の風							
イェザーンと話した。パーラカの里にいる「オグル」と話そう。			イェザーンと話した。パーラカの里にいる「オグル」と話そう。			森へ吹き込む草原の風							
オグルと話した。パーラカの里にいる「イェザーン」と話そう。			オグルと話した。パーラカの里にいる「イェザーン」と話そう。			森へ吹き込む草原の風							
イェザーンと話した。オグルの来訪は、期せずしてイェザーンたちの背中を後押ししたようだ。彼らが力をあわせれば、どんな困難でも乗り越えていけるだろう。			イェザーンと話した。オグルの来訪は、期せずしてイェザーンたちの背中を後押ししたようだ。彼らが力をあわせれば、どんな困難でも乗り越えていけるだろう。			森へ吹き込む草原の風							
カーンチャナと話す			カーンチャナと話す			森へ吹き込む草原の風							
オグルと話す			オグルと話す			森へ吹き込む草原の風							
オグルと合流			オグルと合流			森へ吹き込む草原の風							
オグルと話す			オグルと話す			森へ吹き込む草原の風							
オグルと再度話す			オグルと再度話す			森へ吹き込む草原の風							
イェザーンと話す			イェザーンと話す			森へ吹き込む草原の風							
オグルと話す			オグルと話す			森へ吹き込む草原の風							
イェザーンと話す			イェザーンと話す			森へ吹き込む草原の風							
よう、Forename。お前さんに、ちっと相談したいことがあるんだわ。里の連中の話を聞いてたら、いろいろ問題が見つかってよ……。			よう、Forename。お前さんに、ちっと相談したいことがあるんだわ。里の連中の話を聞いてたら、いろいろ問題が見つかってよ……。			森へ吹き込む草原の風							
ひとつは、日用品の不足。昨今の騒動で、一時的とはいえ物流が停滞したうえに、避難民が里へ流入したもんだから、そりゃそうだって話だ。			ひとつは、日用品の不足。昨今の騒動で、一時的とはいえ物流が停滞したうえに、避難民が里へ流入したもんだから、そりゃそうだって話だ。			森へ吹き込む草原の風							
イェドリマンの商人にあたろうって話も出たんだが、正式な手順で申し入れると、手続きに時間がかかっちまう。それを待てるほど、物資の余裕はなくてよ……。			イェドリマンの商人にあたろうって話も出たんだが、正式な手順で申し入れると、手続きに時間がかかっちまう。それを待てるほど、物資の余裕はなくてよ……。			森へ吹き込む草原の風							
それともうひとつは、人手不足。例の混乱で、負傷しちまったヤツが多いんだわ。森を護る守護者の数も足りなくてな……。			それともうひとつは、人手不足。例の混乱で、負傷しちまったヤツが多いんだわ。森を護る守護者の数も足りなくてな……。			森へ吹き込む草原の風							
星戦士団が里を守っちゃくれてるが、連中の被害も甚大だ、人手の余裕はないしよ。			星戦士団が里を守っちゃくれてるが、連中の被害も甚大だ、人手の余裕はないしよ。			森へ吹き込む草原の風							
お前さんも、ずっとここにいるわけにはいかないっしょ？同じぐらいフットワークの軽いヤツが他にいると、正直ありがたいんだけどねぇ。			お前さんも、ずっとここにいるわけにはいかないっしょ？同じぐらいフットワークの軽いヤツが他にいると、正直ありがたいんだけどねぇ。			森へ吹き込む草原の風							
俺は遺烈郷にこもりっきりだったし、里の連中もここを離れないから、ツテは少ない。というわけでよ、お前さん、何か心当たりはないもんかね？			俺は遺烈郷にこもりっきりだったし、里の連中もここを離れないから、ツテは少ない。というわけでよ、お前さん、何か心当たりはないもんかね？			森へ吹き込む草原の風							
何と言う？			何と言う？			森へ吹き込む草原の風							
腕のいい冒険者に心当たりがある			腕のいい冒険者に心当たりがある			森へ吹き込む草原の風							
商人を斡旋してくれそうな知人がいる			商人を斡旋してくれそうな知人がいる			森へ吹き込む草原の風							
へえ、仕事の斡旋人をやっているカーンチャナと、そこで働いている冒険者のオグルか……。そのツテ、頼らせてくれ。			へえ、仕事の斡旋人をやっているカーンチャナと、そこで働いている冒険者のオグルか……。そのツテ、頼らせてくれ。			森へ吹き込む草原の風							
俺は、赤子たちとパサリーンの様子を見たり、里の連中に薬を調合してやったりで、ここを動けなくてよ。			俺は、赤子たちとパサリーンの様子を見たり、里の連中に薬を調合してやったりで、ここを動けなくてよ。			森へ吹き込む草原の風							
丸投げすんのは本当に申し訳ないんだが、お前さんに、その知り合いへ当たってもらいたいんだわ。			丸投げすんのは本当に申し訳ないんだが、お前さんに、その知り合いへ当たってもらいたいんだわ。			森へ吹き込む草原の風							
何から何まで、ありがとな。また面倒かけちまうが、イェドリマンに向かって、その「カーンチャナ」って人に、話を持ちかけてみてくれや。			何から何まで、ありがとな。また面倒かけちまうが、イェドリマンに向かって、その「カーンチャナ」って人に、話を持ちかけてみてくれや。			森へ吹き込む草原の風							
また面倒かけちまうが、イェドリマンに向かって、その「カーンチャナ」って人に、話を持ちかけてみてくれや。			また面倒かけちまうが、イェドリマンに向かって、その「カーンチャナ」って人に、話を持ちかけてみてくれや。			森へ吹き込む草原の風							
お、Forenameだ！やっほー！			お、Forenameだ！やっほー！			森へ吹き込む草原の風							
あ、このあいだの……。			あ、このあいだの……。			森へ吹き込む草原の風							
あらあら、Forename！よく来たわねえ。			あらあら、Forename！よく来たわねえ。			森へ吹き込む草原の風							
なあ、聞いてくれよ！ラカシールの勧誘に成功したんだ！今は冒険者のイロハを教えつつ、一緒に仕事しててさ。			なあ、聞いてくれよ！ラカシールの勧誘に成功したんだ！今は冒険者のイロハを教えつつ、一緒に仕事しててさ。			森へ吹き込む草原の風							
ふふ、近況報告はこのくらいにして……何か用があるんでしょう？			ふふ、近況報告はこのくらいにして……何か用があるんでしょう？			森へ吹き込む草原の風							
なるほど、パーラカの里がそんなことに……。かなり厳しい状況のようね。			なるほど、パーラカの里がそんなことに……。かなり厳しい状況のようね。			森へ吹き込む草原の風							
わかったわ、任せてちょうだい……！不況のあおりで商品を抱え込んでいる商人たちに言えば、ふたつ返事で物資を調達できるはずよ。			わかったわ、任せてちょうだい……！不況のあおりで商品を抱え込んでいる商人たちに言えば、ふたつ返事で物資を調達できるはずよ。			森へ吹き込む草原の風							
だから、パーラカの里の人に伝えて。同じラザハンの民として、協力は惜しまないってね。私は斡旋人だもの、商人との繋ぎならお安いご用よ！			だから、パーラカの里の人に伝えて。同じラザハンの民として、協力は惜しまないってね。私は斡旋人だもの、商人との繋ぎならお安いご用よ！			森へ吹き込む草原の風							
人手が必要なら、私が行くぞ！			人手が必要なら、私が行くぞ！			森へ吹き込む草原の風							
商人から日用品を受け取って里まで運ぶから、護衛は頼んだ！イェドリマンの入口で、待ち合わせな！			商人から日用品を受け取って里まで運ぶから、護衛は頼んだ！イェドリマンの入口で、待ち合わせな！			森へ吹き込む草原の風							
姉ちゃん！待って、オレも行く！			姉ちゃん！待って、オレも行く！			森へ吹き込む草原の風							
ふふ、なんだか本当の姉弟みたいよねえ。			ふふ、なんだか本当の姉弟みたいよねえ。			森へ吹き込む草原の風							
姉ちゃんの行動力、すごいなぁ……。			姉ちゃんの行動力、すごいなぁ……。			森へ吹き込む草原の風							
見てくれよ、この荷物を！商人が、行商用のカバンと外套を貸してくれたんだ！あいつら商品がさばけるって、大喜びしてたぞ！			見てくれよ、この荷物を！商人が、行商用のカバンと外套を貸してくれたんだ！あいつら商品がさばけるって、大喜びしてたぞ！			森へ吹き込む草原の風							
あっ、それから……置いていくつもりだったんだけど、ラカシールが、自分も行くって聞かなくてさ～！			あっ、それから……置いていくつもりだったんだけど、ラカシールが、自分も行くって聞かなくてさ～！			森へ吹き込む草原の風							
「善行を積まんとする者の道を塞ぐことなかれ」って、ばあちゃんも言ってたし、連れていくことにした。私ともども、護衛よろしく！			「善行を積まんとする者の道を塞ぐことなかれ」って、ばあちゃんも言ってたし、連れていくことにした。私ともども、護衛よろしく！			森へ吹き込む草原の風							
もちろん、物資はこれだけじゃないぞ。残りはまとめて荷車に積み込んで、星戦士団の護衛付きで、パーラカの里に送る算段になってるからな！			もちろん、物資はこれだけじゃないぞ。残りはまとめて荷車に積み込んで、星戦士団の護衛付きで、パーラカの里に送る算段になってるからな！			森へ吹き込む草原の風							
ってわけで、さっそく出発だ！			ってわけで、さっそく出発だ！			森へ吹き込む草原の風							
うわ、魔物！			うわ、魔物！			森へ吹き込む草原の風							
ごめん、あいつ倒すの頼んだ！			ごめん、あいつ倒すの頼んだ！			森へ吹き込む草原の風							
び、びっくりした……！			び、びっくりした……！			森へ吹き込む草原の風							
いやあ、助かった！			いやあ、助かった！			森へ吹き込む草原の風							
Forename、強い！姉ちゃんより強いんじゃ……。			Forename、強い！姉ちゃんより強いんじゃ……。			森へ吹き込む草原の風							
うるさ～い！私は伸びしろのある、将来有望な冒険者なんだってーの！			うるさ～い！私は伸びしろのある、将来有望な冒険者なんだってーの！			森へ吹き込む草原の風							
ほらほら、里までまだあるし、どんどん進むぞ！			ほらほら、里までまだあるし、どんどん進むぞ！			森へ吹き込む草原の風							
ちょ、姉ちゃん！荷物忘れていかないでよ！			ちょ、姉ちゃん！荷物忘れていかないでよ！			森へ吹き込む草原の風							
姉ちゃんたちが、やっつけてくれた！			姉ちゃんたちが、やっつけてくれた！			森へ吹き込む草原の風							
まさか、ここであなたに会うとはね。			まさか、ここであなたに会うとはね。			森へ吹き込む草原の風							
ふっふーん！見ろ、今度こそちゃんと倒したぞ！ま、助っ人が来てくれたおかげなんだけどさ。			ふっふーん！見ろ、今度こそちゃんと倒したぞ！ま、助っ人が来てくれたおかげなんだけどさ。			森へ吹き込む草原の風							
ああ、この人たち、イェザーンが言っていた、あなたのツテ？姉さんと狩りに出たときみたいに、呼吸が合って驚いたわ。			ああ、この人たち、イェザーンが言っていた、あなたのツテ？姉さんと狩りに出たときみたいに、呼吸が合って驚いたわ。			森へ吹き込む草原の風							
めっちゃ強いアルカソーダラ族の子と遭遇して、私、元気出てきた！			めっちゃ強いアルカソーダラ族の子と遭遇して、私、元気出てきた！			森へ吹き込む草原の風							
オレはヘトヘトなのに、姉ちゃん、そういうところすげーよな……。			オレはヘトヘトなのに、姉ちゃん、そういうところすげーよな……。			森へ吹き込む草原の風							
狩りは終わったところだし、パーラカの里まで一緒に行きましょう。			狩りは終わったところだし、パーラカの里まで一緒に行きましょう。			森へ吹き込む草原の風							
里についたら「イェザーン」に声をかけてあげて。あなたが戻るのを待っているから。			里についたら「イェザーン」に声をかけてあげて。あなたが戻るのを待っているから。			森へ吹き込む草原の風							
エーテライト、発見！知ってるぞ、新天地のエーテライトは交感が大事！……再会の市で交感を忘れてたのは、ここだけの秘密な？			エーテライト、発見！知ってるぞ、新天地のエーテライトは交感が大事！……再会の市で交感を忘れてたのは、ここだけの秘密な？			森へ吹き込む草原の風							
オレ、パーラカの里に来るの初めてなんだ。			オレ、パーラカの里に来るの初めてなんだ。			森へ吹き込む草原の風							
おつかれさん。ふたりのことは、シュウーラから聞いたわ。当人は、食料用に狩った獲物を捌きに行っちまったけどよ。			おつかれさん。ふたりのことは、シュウーラから聞いたわ。当人は、食料用に狩った獲物を捌きに行っちまったけどよ。			森へ吹き込む草原の風							
シュウーラと、手合わせする約束をしたんだ～！今から楽しみだなぁ！			シュウーラと、手合わせする約束をしたんだ～！今から楽しみだなぁ！			森へ吹き込む草原の風							
はは、オグルみたいなヤツがいてくれると、あいつも張り合いがあるってもんだろうよ。			はは、オグルみたいなヤツがいてくれると、あいつも張り合いがあるってもんだろうよ。			森へ吹き込む草原の風							
さらに物資を送ってくれるっていうし、その商人と、紹介してくれたカーンチャナにも、あとで礼をしないとだわ。			さらに物資を送ってくれるっていうし、その商人と、紹介してくれたカーンチャナにも、あとで礼をしないとだわ。			森へ吹き込む草原の風							
何と言う？			何と言う？			森へ吹き込む草原の風							
ラザハンの民同士、協力は惜しまないと言っていた			ラザハンの民同士、協力は惜しまないと言っていた			森へ吹き込む草原の風							
斡旋人だから、商人との繋ぎは任せろって			斡旋人だから、商人との繋ぎは任せろって			森へ吹き込む草原の風							
そいつは心強いね。			そいつは心強いね。			森へ吹き込む草原の風							
姉ちゃん、さっき拾ったもの！里の人に届けるんだろ？			姉ちゃん、さっき拾ったもの！里の人に届けるんだろ？			森へ吹き込む草原の風							
あ、そうだった！			あ、そうだった！			森へ吹き込む草原の風							
シュウーラと倒した魔物が持ってたものを、回収したんだ。これ、持ち主が誰かわかるか？			シュウーラと倒した魔物が持ってたものを、回収したんだ。これ、持ち主が誰かわかるか？			森へ吹き込む草原の風							
まさか、こいつは……！ああ、これは友人夫婦の手記だ！あいにくと、例の騒動で死んじまったんだが……。			まさか、こいつは……！ああ、これは友人夫婦の手記だ！あいにくと、例の騒動で死んじまったんだが……。			森へ吹き込む草原の風							
……そうか、そりゃつらい話だな。			……そうか、そりゃつらい話だな。			森へ吹き込む草原の風							
だが、希望はある。幸いにも、ふたりの子どもは無事なんだ。			だが、希望はある。幸いにも、ふたりの子どもは無事なんだ。			森へ吹き込む草原の風							
俺が引き取って育ててるんだが……この手記から、実の親のことを教えてやるさ。			俺が引き取って育ててるんだが……この手記から、実の親のことを教えてやるさ。			森へ吹き込む草原の風							
「人生とは出会いと別れの連続、　だからこそ思い出は糧となり、　今日を生きるお前の血となり肉となる」			「人生とは出会いと別れの連続、　だからこそ思い出は糧となり、　今日を生きるお前の血となり肉となる」			森へ吹き込む草原の風							
「お前が見送った人もまた、　新たな明日へと旅立つお前を見送り、　歩み続ける姿を、いつまでも見守っている」			「お前が見送った人もまた、　新たな明日へと旅立つお前を見送り、　歩み続ける姿を、いつまでも見守っている」			森へ吹き込む草原の風							
ばあちゃんの言葉のなかでも、私が一番好きな言葉さ。思い出は大事だぞ、人生の宝物ってやつだからな！			ばあちゃんの言葉のなかでも、私が一番好きな言葉さ。思い出は大事だぞ、人生の宝物ってやつだからな！			森へ吹き込む草原の風							
へえ……神獣様の訓えみたいだ。			へえ……神獣様の訓えみたいだ。			森へ吹き込む草原の風							
うちのばあちゃん、イイこと言うんだよなぁ！孫の私は、ばあちゃんの受け売りしかできないけどな！			うちのばあちゃん、イイこと言うんだよなぁ！孫の私は、ばあちゃんの受け売りしかできないけどな！			森へ吹き込む草原の風							
「オグル」が、お前さんと話したいってよ。声かけてやってくれや。			「オグル」が、お前さんと話したいってよ。声かけてやってくれや。			森へ吹き込む草原の風							
姉ちゃんのばあちゃん、かっこいいよな！			姉ちゃんのばあちゃん、かっこいいよな！			森へ吹き込む草原の風							
前に言ったよな、「恩人には最大限報いるべし」ってさ。Forenameも恩人だからと思って来たんだけど、結局、いいご縁を引っ張ってもらった感じだな。			前に言ったよな、「恩人には最大限報いるべし」ってさ。Forenameも恩人だからと思って来たんだけど、結局、いいご縁を引っ張ってもらった感じだな。			森へ吹き込む草原の風							
せっかくだし、シュウーラと手合わせして、ラカシールと一緒に仕事もして、腕を磨かないとな！			せっかくだし、シュウーラと手合わせして、ラカシールと一緒に仕事もして、腕を磨かないとな！			森へ吹き込む草原の風							
いっそあれか、踊り子もやってみるか？赤誠組の素敵なお姉さんを見て、槍から刀に持ち替えたけど、あの投擲武器も、楽しそうなんだよなあ。			いっそあれか、踊り子もやってみるか？赤誠組の素敵なお姉さんを見て、槍から刀に持ち替えたけど、あの投擲武器も、楽しそうなんだよなあ。			森へ吹き込む草原の風							
マタンガ族も平気になったし、ここでいろいろ挑戦してみる！だからさ、冒険者としてもっと成長できたら、いつか私と勝負してくれよな～！			マタンガ族も平気になったし、ここでいろいろ挑戦してみる！だからさ、冒険者としてもっと成長できたら、いつか私と勝負してくれよな～！			森へ吹き込む草原の風							
姉ちゃん、危なっかしいところあるけど、オレがちゃんと見張っておくから、心配しないで。			姉ちゃん、危なっかしいところあるけど、オレがちゃんと見張っておくから、心配しないで。			森へ吹き込む草原の風							
言ったなぁ？ちゃーんと私を見習って精進しろよ、少年！			言ったなぁ？ちゃーんと私を見習って精進しろよ、少年！			森へ吹き込む草原の風							
