蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
マエリを探す			マエリを探す			皇都の未来を担うため							
デュランデル伯爵と話す			デュランデル伯爵と話す			皇都の未来を担うため							
じゃあさっそく、Forenameさんの用意してくれたもので、患者さんの機能回復訓練の説明をするわね。			じゃあさっそく、Forenameさんの用意してくれたもので、患者さんの機能回復訓練の説明をするわね。			皇都の未来を担うため							
はーい！よろしくお願いします！			はーい！よろしくお願いします！			皇都の未来を担うため							
(-？？？？-)伯父上！！			(-？？？？-)伯父上！！			皇都の未来を担うため							
ロナンタンではないか！どうしてここに？			ロナンタンではないか！どうしてここに？			皇都の未来を担うため							
僕は、伯父上を連れ戻しにきたんです！商談からおかえりになってからというもの、社交界からとおのき、市井ばかりに顔を出していらっしゃる。			僕は、伯父上を連れ戻しにきたんです！商談からおかえりになってからというもの、社交界からとおのき、市井ばかりに顔を出していらっしゃる。			皇都の未来を担うため							
いまだって、こんな街の片隅の病院で、庶民のように働いていらっしゃるなんて……。それでは、貴族の権威がそこなわれてしまいます！			いまだって、こんな街の片隅の病院で、庶民のように働いていらっしゃるなんて……。それでは、貴族の権威がそこなわれてしまいます！			皇都の未来を担うため							
以前は家督を継ぐためにと、たくさん勉学や狩猟を指導してくださったのに……。			以前は家督を継ぐためにと、たくさん勉学や狩猟を指導してくださったのに……。			皇都の未来を担うため							
最近の伯父上は、おかしいです！前のほうがずっと、かっこよかった！早く前の伯父上に戻ってくださいッ！			最近の伯父上は、おかしいです！前のほうがずっと、かっこよかった！早く前の伯父上に戻ってくださいッ！			皇都の未来を担うため							
…………その、騒がしくしてすまなかった。続けてくれ。			…………その、騒がしくしてすまなかった。続けてくれ。			皇都の未来を担うため							
いいんですか？あの子はその……シャルルマンさんの甥っ子さんでしょう？			いいんですか？あの子はその……シャルルマンさんの甥っ子さんでしょう？			皇都の未来を担うため							
家のことは家で解決するのが妥当というもの。そなたたちに迷惑はかけたくないゆえ、あやつには帰ってから話を……			家のことは家で解決するのが妥当というもの。そなたたちに迷惑はかけたくないゆえ、あやつには帰ってから話を……			皇都の未来を担うため							
でも、あの子とっても寂しそうだったよ。放っておけないから、マエリいってくる！			でも、あの子とっても寂しそうだったよ。放っておけないから、マエリいってくる！			皇都の未来を担うため							
お姉ちゃんお兄ちゃんもきて！			お姉ちゃんお兄ちゃんもきて！			皇都の未来を担うため							
お姉ちゃんお兄ちゃんが持ってきてくれたものが、患者さんたちの訓練に使われるんだね！			お姉ちゃんお兄ちゃんが持ってきてくれたものが、患者さんたちの訓練に使われるんだね！			皇都の未来を担うため							
イシュガルドを代表する四大名家ともなると、庶民にはわからない苦労もあるのでしょうね……。			イシュガルドを代表する四大名家ともなると、庶民にはわからない苦労もあるのでしょうね……。			皇都の未来を担うため							
お姉ちゃんお兄ちゃん、はやかったね！ロナンタンくん、すぐ見つかってよかった！			お姉ちゃんお兄ちゃん、はやかったね！ロナンタンくん、すぐ見つかってよかった！			皇都の未来を担うため							
へ、平民が気やすく僕の名前を呼ぶな！			へ、平民が気やすく僕の名前を呼ぶな！			皇都の未来を担うため							
もう！平民とか貴族とか、これからはそんなの関係ない時代になるって、おじさんだって言ってたよ！			もう！平民とか貴族とか、これからはそんなの関係ない時代になるって、おじさんだって言ってたよ！			皇都の未来を担うため							
そんなことより、おじさんと仲直りしなきゃだめだよ。本当はおじさんのこと、大好きなんでしょう？			そんなことより、おじさんと仲直りしなきゃだめだよ。本当はおじさんのこと、大好きなんでしょう？			皇都の未来を担うため							
お前にそんなこと言われる筋合いない！			お前にそんなこと言われる筋合いない！			皇都の未来を担うため							
けど、そうだけど……。伯父上は、戦争で死んじゃった父上の代わりに、すごく良くしてくれて、だから……。			けど、そうだけど……。伯父上は、戦争で死んじゃった父上の代わりに、すごく良くしてくれて、だから……。			皇都の未来を担うため							
せっかく、大事にできる家族がいるんだもん。「ルーシュマンド記念病院」に戻って、もういっかい、ちゃんとお話ししよ？			せっかく、大事にできる家族がいるんだもん。「ルーシュマンド記念病院」に戻って、もういっかい、ちゃんとお話ししよ？			皇都の未来を担うため							
もう、わかったよ！戻ればいいんだろ、戻れば！			もう、わかったよ！戻ればいいんだろ、戻れば！			皇都の未来を担うため							
家族はみんな仲良しがいちばんだよね！			家族はみんな仲良しがいちばんだよね！			皇都の未来を担うため							
…………。			…………。			皇都の未来を担うため							
ロナンタンくんは見つかった？			ロナンタンくんは見つかった？			皇都の未来を担うため							
Forename殿、マエリ殿。すまない、身内のことで手数をかけた。			Forename殿、マエリ殿。すまない、身内のことで手数をかけた。			皇都の未来を担うため							
伯父上！英雄はともかく、平民にまで頭を下げるなんて！僕たちは、栄えある建国十二騎士の子孫なんですよ！？			伯父上！英雄はともかく、平民にまで頭を下げるなんて！僕たちは、栄えある建国十二騎士の子孫なんですよ！？			皇都の未来を担うため							
ロナンタン、歴史を重んじ祖先を敬う気持ちは大事だ。しかし、血筋を理由に、平民を見下して良いわけではない。			ロナンタン、歴史を重んじ祖先を敬う気持ちは大事だ。しかし、血筋を理由に、平民を見下して良いわけではない。			皇都の未来を担うため							
それに、お前も聞いているはずだ。平民たちもまた、野に下った十二騎士の血を受け継いでいた、と。貴族も平民も、等しくイシュガルドの民なのだよ。			それに、お前も聞いているはずだ。平民たちもまた、野に下った十二騎士の血を受け継いでいた、と。貴族も平民も、等しくイシュガルドの民なのだよ。			皇都の未来を担うため							
新しい価値観を受け入れがたい気持ちはわかる。だが、己の血筋だけを誇りとできる時代は終わったのだ。			新しい価値観を受け入れがたい気持ちはわかる。だが、己の血筋だけを誇りとできる時代は終わったのだ。			皇都の未来を担うため							
これからは、今まで以上に「行い」が、その人物の価値を左右することになろう。			これからは、今まで以上に「行い」が、その人物の価値を左右することになろう。			皇都の未来を担うため							
そうだな……たとえ話をしよう。お前は、訓練でへとへとになったあとは、何を望む？			そうだな……たとえ話をしよう。お前は、訓練でへとへとになったあとは、何を望む？			皇都の未来を担うため							
ゆっくりと休みたいです。そこに、甘いお茶やお菓子があると、嬉しい……です。			ゆっくりと休みたいです。そこに、甘いお茶やお菓子があると、嬉しい……です。			皇都の未来を担うため							
うむ、それがいまイシュガルドの民が望んでいることだ。戦争が終結したいま、人々は休息と安定した生活を求めている。			うむ、それがいまイシュガルドの民が望んでいることだ。戦争が終結したいま、人々は休息と安定した生活を求めている。			皇都の未来を担うため							
みなが菓子を欲するとき、口を開けて待っているだけの者と、率先して茶や菓子を用立て、みなに振る舞う者、お前ならどちらについていきたいと思う？			みなが菓子を欲するとき、口を開けて待っているだけの者と、率先して茶や菓子を用立て、みなに振る舞う者、お前ならどちらについていきたいと思う？			皇都の未来を担うため							
それは……お茶やお菓子をふるまってくれる人です。			それは……お茶やお菓子をふるまってくれる人です。			皇都の未来を担うため							
ああ、それがまさに、ここにいるマエリ殿だ。誰にでもわけへだてなく、常に患者のためを考えている。			ああ、それがまさに、ここにいるマエリ殿だ。誰にでもわけへだてなく、常に患者のためを考えている。			皇都の未来を担うため							
私は彼女の行いを見習って、みなに茶や菓子を振る舞う者になれるよう、学んでいるのだ。			私は彼女の行いを見習って、みなに茶や菓子を振る舞う者になれるよう、学んでいるのだ。			皇都の未来を担うため							
さすれば、ゆくゆく家督を継ぐお前に、その姿勢を教えてやれるだろう？			さすれば、ゆくゆく家督を継ぐお前に、その姿勢を教えてやれるだろう？			皇都の未来を担うため							
僕の、ため……？			僕の、ため……？			皇都の未来を担うため							
話の流れで思いついたのだが……機能回復訓練は、心身ともにつらい訓練と聞いた。			話の流れで思いついたのだが……機能回復訓練は、心身ともにつらい訓練と聞いた。			皇都の未来を担うため							
それならば、例えば茶や菓子を振る舞ったりして、少しでもこの病院の患者に楽しみを提供できないだろうか？			それならば、例えば茶や菓子を振る舞ったりして、少しでもこの病院の患者に楽しみを提供できないだろうか？			皇都の未来を担うため							
それじゃあ、みんなでお茶会だね！孤児院でやったとき、とっても楽しかった！			それじゃあ、みんなでお茶会だね！孤児院でやったとき、とっても楽しかった！			皇都の未来を担うため							
お茶会なら、患者さんの身体にも負担が少なさそうね。いいわ、ぜひやりましょう！			お茶会なら、患者さんの身体にも負担が少なさそうね。いいわ、ぜひやりましょう！			皇都の未来を担うため							
ではForenameさんには、「記念病院の茶会用品」の準備を手伝ってもらおうかしら。			ではForenameさんには、「記念病院の茶会用品」の準備を手伝ってもらおうかしら。			皇都の未来を担うため							
ロナンタンくんも、一緒にお手伝いしようよ！ねっ！			ロナンタンくんも、一緒にお手伝いしようよ！ねっ！			皇都の未来を担うため							
モリレットさん、ロナンタンくんは奉仕職員さんじゃないけど、一緒に準備していいですか？			モリレットさん、ロナンタンくんは奉仕職員さんじゃないけど、一緒に準備していいですか？			皇都の未来を担うため							
ええ、もちろん。ルーシュマンド記念病院では、患者さんのことを思って働ける人を、いつでも歓迎しているわ。			ええ、もちろん。ルーシュマンド記念病院では、患者さんのことを思って働ける人を、いつでも歓迎しているわ。			皇都の未来を担うため							
フェザーフォール商業区のシャルルマン・ド・デュランデル伯爵は、冒険者に相談したいことがあるようだ。			フェザーフォール商業区のシャルルマン・ド・デュランデル伯爵は、冒険者に相談したいことがあるようだ。			雲霧へ吹き込む変革の風							
シャルルマン・ド・デュランデル伯爵は、雲霧街の未来について語った。イシュガルドの雲霧街にいるらしい「セスティヴァル」という男に飛空艇技術の指導官になってもらうため、「鐘紋の手紙」を渡そう。			シャルルマン・ド・デュランデル伯爵は、雲霧街の未来について語った。イシュガルドの雲霧街にいるらしい「セスティヴァル」という男に飛空艇技術の指導官になってもらうため、「鐘紋の手紙」を渡そう。			雲霧へ吹き込む変革の風							
セスティヴァルに鐘紋の手紙を渡し、彼は指導官になることを承諾してくれた。手紙に書いてあるという雲霧街の片隅に向かった「セスティヴァル」と話そう。			セスティヴァルに鐘紋の手紙を渡し、彼は指導官になることを承諾してくれた。手紙に書いてあるという雲霧街の片隅に向かった「セスティヴァル」と話そう。			雲霧へ吹き込む変革の風							
セスティヴァル、シャルルマン・ド・デュランデル伯爵、そしてエドモン・ド・フォルタンと話した。ここから始まる雲霧街の復興を見守っていこう。			セスティヴァル、シャルルマン・ド・デュランデル伯爵、そしてエドモン・ド・フォルタンと話した。ここから始まる雲霧街の復興を見守っていこう。			雲霧へ吹き込む変革の風							
セスティヴァルに鐘紋の手紙を渡す			セスティヴァルに鐘紋の手紙を渡す			雲霧へ吹き込む変革の風							
セスティヴァルと話す			セスティヴァルと話す			雲霧へ吹き込む変革の風							
おお、英雄殿、恩に着るぞ。そなたの他にもうひとり、話を聞いてもらいたい者がいるのだ。到着まで、しばし待ってもらえるだろうか。			おお、英雄殿、恩に着るぞ。そなたの他にもうひとり、話を聞いてもらいたい者がいるのだ。到着まで、しばし待ってもらえるだろうか。			雲霧へ吹き込む変革の風							
伯爵閣下より報せを受け、ホワイトブリムを離れてみれば……まさか、かようなところで貴公に会えるとは！息災であったか？			伯爵閣下より報せを受け、ホワイトブリムを離れてみれば……まさか、かようなところで貴公に会えるとは！息災であったか？			雲霧へ吹き込む変革の風							
そうか、卿(けい)は英雄殿と面識があったか。この者には、私も世話になったのだ。諸国との商談へと赴くフランセル卿に同行してくれてな。			そうか、卿(けい)は英雄殿と面識があったか。この者には、私も世話になったのだ。諸国との商談へと赴くフランセル卿に同行してくれてな。			雲霧へ吹き込む変革の風							
そして諸国を巡り、新たな貴族の在り方を考えるきっかけになったのは、この者のおかげなのだ。			そして諸国を巡り、新たな貴族の在り方を考えるきっかけになったのは、この者のおかげなのだ。			雲霧へ吹き込む変革の風							
これまで、我らデュランデル家にとって「貴族の義務」とは……星を読み、竜との戦いの先頭に立って民を守ることであった。そうであろう？			これまで、我らデュランデル家にとって「貴族の義務」とは……星を読み、竜との戦いの先頭に立って民を守ることであった。そうであろう？			雲霧へ吹き込む変革の風							
だが、竜詩戦争が終わったいま、その役割も変わりゆくのが必然。			だが、竜詩戦争が終わったいま、その役割も変わりゆくのが必然。			雲霧へ吹き込む変革の風							
これからは国の内側へ目を向け、皇都の発展と市民の豊かな生活のために尽力するのが、新たな「貴族の義務」であると思うのだ。			これからは国の内側へ目を向け、皇都の発展と市民の豊かな生活のために尽力するのが、新たな「貴族の義務」であると思うのだ。			雲霧へ吹き込む変革の風							
閣下……心なしか顔つきが晴れやかになられましたな。デュランデル家に仕える騎士としても、無論、そのお考えを支持いたします。			閣下……心なしか顔つきが晴れやかになられましたな。デュランデル家に仕える騎士としても、無論、そのお考えを支持いたします。			雲霧へ吹き込む変革の風							
戦争が終結したおかげで、騎士たちにも余裕ができております。人手が必要でしたら、なんなりと。			戦争が終結したおかげで、騎士たちにも余裕ができております。人手が必要でしたら、なんなりと。			雲霧へ吹き込む変革の風							
それは助かる。彼らには復興の遅れている雲霧街での作業を、頼みたいと思っていたのだ。			それは助かる。彼らには復興の遅れている雲霧街での作業を、頼みたいと思っていたのだ。			雲霧へ吹き込む変革の風							
それとだ、市民の豊かな生活のために、物流の促進が必要だと学んだ。経済の活性化にも直結するゆえな。			それとだ、市民の豊かな生活のために、物流の促進が必要だと学んだ。経済の活性化にも直結するゆえな。			雲霧へ吹き込む変革の風							
そこで、我が家の騎兵団が保有する飛空艇を、物資の輸送に転用したいと考えておるのだ。			そこで、我が家の騎兵団が保有する飛空艇を、物資の輸送に転用したいと考えておるのだ。			雲霧へ吹き込む変革の風							
我らは主に兵員輸送のために、飛空艇を利用してきた。山々のそびえるクルザスでは大いに役立つゆえな。			我らは主に兵員輸送のために、飛空艇を利用してきた。山々のそびえるクルザスでは大いに役立つゆえな。			雲霧へ吹き込む変革の風							
ストーンヴィジル奪還作戦では、貴公も要塞に突入時に、我が騎士団の飛空艇に乗ったはずだな。あのように、かねてより我らは兵員輸送に飛空艇を用いてきたのだ。			ストーンヴィジル奪還作戦では、貴公も要塞に突入時に、我が騎士団の飛空艇に乗ったはずだな。あのように、かねてより我らは兵員輸送に飛空艇を用いてきたのだ。			雲霧へ吹き込む変革の風							
だが、飛空艇の運用には、飛空士や多くの整備士が必要だ。そこで、希望する者を呼び集め、人材の育成を図りたい。新たな雇用を生みだすためにもな。			だが、飛空艇の運用には、飛空士や多くの整備士が必要だ。そこで、希望する者を呼び集め、人材の育成を図りたい。新たな雇用を生みだすためにもな。			雲霧へ吹き込む変革の風							
そのために、指導者にふさわしい者に心当たりがないか、ドリユモン卿に訊ねたく、呼びつけさせてもらったのだ。			そのために、指導者にふさわしい者に心当たりがないか、ドリユモン卿に訊ねたく、呼びつけさせてもらったのだ。			雲霧へ吹き込む変革の風							
それならば……かつて我が騎兵団で飛空士として活躍し、仲間内でも、その腕前を認められていた者がおります。			それならば……かつて我が騎兵団で飛空士として活躍し、仲間内でも、その腕前を認められていた者がおります。			雲霧へ吹き込む変革の風							
それならば……件のストーンヴィジル奪還作戦にも飛空士として参加し、仲間内でも、その腕前を認められていた者がおります。			それならば……件のストーンヴィジル奪還作戦にも飛空士として参加し、仲間内でも、その腕前を認められていた者がおります。			雲霧へ吹き込む変革の風							
セスティヴァルという金髪の青年ですが……その者は負傷して退役した後、音信不通となっております。雲霧街で似た男を見た、との噂を伝え聞いたのが最後です。			セスティヴァルという金髪の青年ですが……その者は負傷して退役した後、音信不通となっております。雲霧街で似た男を見た、との噂を伝え聞いたのが最後です。			雲霧へ吹き込む変革の風							
ふむ、戦果に気をとられるあまり、負傷兵の保障は形式的なものになってしまっていたが……それも改めねばならぬな。			ふむ、戦果に気をとられるあまり、負傷兵の保障は形式的なものになってしまっていたが……それも改めねばならぬな。			雲霧へ吹き込む変革の風							
英雄殿、すまんが……雲霧街で「セスティヴァル」という青年を探して、この「鐘紋の手紙」を渡してもらえないだろうか？			英雄殿、すまんが……雲霧街で「セスティヴァル」という青年を探して、この「鐘紋の手紙」を渡してもらえないだろうか？			雲霧へ吹き込む変革の風							
その……貴殿が行ったほうが角が立たぬことも、商談の場では多々あったことを学んだから、な。			その……貴殿が行ったほうが角が立たぬことも、商談の場では多々あったことを学んだから、な。			雲霧へ吹き込む変革の風							
それに、私はこの計画を進めるにあたり、もうひとり、声をかけたい者がいるゆえ……どうか、このとおりだ。			それに、私はこの計画を進めるにあたり、もうひとり、声をかけたい者がいるゆえ……どうか、このとおりだ。			雲霧へ吹き込む変革の風							
では、私は皇都復興の人員を確保するため、ホワイトブリムに戻り、兵たちの再編に着手しましょう。			では、私は皇都復興の人員を確保するため、ホワイトブリムに戻り、兵たちの再編に着手しましょう。			雲霧へ吹き込む変革の風							
ああ、頼むぞ。			ああ、頼むぞ。			雲霧へ吹き込む変革の風							
では私も皇都に向かわねば。英雄殿も「鐘紋の手紙」の件、よろしく頼んだぞ。			では私も皇都に向かわねば。英雄殿も「鐘紋の手紙」の件、よろしく頼んだぞ。			雲霧へ吹き込む変革の風							
あ、あなたは英雄様！？ええ、セスティヴァルは自分ですが……？			あ、あなたは英雄様！？ええ、セスティヴァルは自分ですが……？			雲霧へ吹き込む変革の風							
新規の飛空士養成所で指導してほしいと？負傷して飛べなくなったことに絶望して退役し、この街でくすぶっていた、この自分に……？			新規の飛空士養成所で指導してほしいと？負傷して飛べなくなったことに絶望して退役し、この街でくすぶっていた、この自分に……？			雲霧へ吹き込む変革の風							
いや…………でも、はい。引き受けさせてもらいますよ。			いや…………でも、はい。引き受けさせてもらいますよ。			雲霧へ吹き込む変革の風							
だって、ほかならぬあなたが、この手紙を持ってきてくれたんですから。			だって、ほかならぬあなたが、この手紙を持ってきてくれたんですから。			雲霧へ吹き込む変革の風							
あなたのことは、ホワイトブリムで見かけたことがありました。冒険者だからと邪険にされても、我々に協力してくれて……信頼を勝ち取っていった姿に、感銘を受けていたんです。			あなたのことは、ホワイトブリムで見かけたことがありました。冒険者だからと邪険にされても、我々に協力してくれて……信頼を勝ち取っていった姿に、感銘を受けていたんです。			雲霧へ吹き込む変革の風							
ストーンヴィジル奪還作戦で、あなたを自分の操縦する飛空艇で無事に送り届けたことは……自分にとって小さな誇りなんです。			ストーンヴィジル奪還作戦で、あなたを自分の操縦する飛空艇で無事に送り届けたことは……自分にとって小さな誇りなんです。			雲霧へ吹き込む変革の風							
「承諾してくれるなら、　飛空士養成所の予定地まで来てほしい」と、手紙にありました。			「承諾してくれるなら、　飛空士養成所の予定地まで来てほしい」と、手紙にありました。			雲霧へ吹き込む変革の風							
英雄殿もよかったら、一緒に来てくれませんか？どうやらこの「雲霧街」に、その施設をつくるみたいです。			英雄殿もよかったら、一緒に来てくれませんか？どうやらこの「雲霧街」に、その施設をつくるみたいです。			雲霧へ吹き込む変革の風							
この先みたいですよ。さあ、行きましょう。			この先みたいですよ。さあ、行きましょう。			雲霧へ吹き込む変革の風							
そうか、きてくれたか。感謝する、セスティヴァル殿。			そうか、きてくれたか。感謝する、セスティヴァル殿。			雲霧へ吹き込む変革の風							
フランセル卿の尽力により、フェザーフォール商業区に三国の商会を誘致した。そのため今後、飛空艇での物資輸送が重要となるであろう。			フランセル卿の尽力により、フェザーフォール商業区に三国の商会を誘致した。そのため今後、飛空艇での物資輸送が重要となるであろう。			雲霧へ吹き込む変革の風							
そこで市民たちに飛空艇に関する職能を伝授すれば、物流は活発となり、新たな雇用も生まれる。そのために、貴殿の力が必要なのだ。			そこで市民たちに飛空艇に関する職能を伝授すれば、物流は活発となり、新たな雇用も生まれる。そのために、貴殿の力が必要なのだ。			雲霧へ吹き込む変革の風							
デュランデル伯爵閣下……。負傷して退役したのちも、こうして気にかけてくださったこと、感謝いたします。			デュランデル伯爵閣下……。負傷して退役したのちも、こうして気にかけてくださったこと、感謝いたします。			雲霧へ吹き込む変革の風							
操縦士を養成し、飛空艇が大いに活用されることは、自分の新たな生きがいになるでしょう。ぜひ、引き受けさせてください。			操縦士を養成し、飛空艇が大いに活用されることは、自分の新たな生きがいになるでしょう。ぜひ、引き受けさせてください。			雲霧へ吹き込む変革の風							
そして……養成所の運営や飛空艇の維持には、多額の資金が必要となる。それ故、貴殿には資金の援助を頼みたい。			そして……養成所の運営や飛空艇の維持には、多額の資金が必要となる。それ故、貴殿には資金の援助を頼みたい。			雲霧へ吹き込む変革の風							
家督を譲った私の一存で決められることではないが……必ずやアルトアレールに伝え、協議しよう。			家督を譲った私の一存で決められることではないが……必ずやアルトアレールに伝え、協議しよう。			雲霧へ吹き込む変革の風							
それにしても、我が家を訪れ、ここではできない話だからと呼びだされたときは、いったい何事かと思ったが……			それにしても、我が家を訪れ、ここではできない話だからと呼びだされたときは、いったい何事かと思ったが……			雲霧へ吹き込む変革の風							
竜詩戦争が終結してもなお、皇都にこれほどまでに協力してくれる英雄殿を前にしては、隠居したのだからと、断ることもできまい。			竜詩戦争が終結してもなお、皇都にこれほどまでに協力してくれる英雄殿を前にしては、隠居したのだからと、断ることもできまい。			雲霧へ吹き込む変革の風							
それを見越してのことであったのだろう？抜け目ない交渉術は健在のようだな、シャルルマンよ。			それを見越してのことであったのだろう？抜け目ない交渉術は健在のようだな、シャルルマンよ。			雲霧へ吹き込む変革の風							
皇都の鎖国政策で意見を違える前は、度々そうやって言葉巧みに、協力させられてきたものよな。まるで、若かりし頃に戻ったようだ。			皇都の鎖国政策で意見を違える前は、度々そうやって言葉巧みに、協力させられてきたものよな。まるで、若かりし頃に戻ったようだ。			雲霧へ吹き込む変革の風							
ふん……デュランデル家とフォルタン家は、同じ四大貴族であり、長年に亘って競い合ってきた間柄だ。その上、歳の近い跡取り同士となれば、利用し合って当然であろう。			ふん……デュランデル家とフォルタン家は、同じ四大貴族であり、長年に亘って競い合ってきた間柄だ。その上、歳の近い跡取り同士となれば、利用し合って当然であろう。			雲霧へ吹き込む変革の風							
ここに来てお前ひとりを、のうのうと隠居生活させるつもりはないぞ、エドモン。			ここに来てお前ひとりを、のうのうと隠居生活させるつもりはないぞ、エドモン。			雲霧へ吹き込む変革の風							
我々はこれからも貴族としての義務を果たす。この新しき時代のイシュガルドでな！			我々はこれからも貴族としての義務を果たす。この新しき時代のイシュガルドでな！			雲霧へ吹き込む変革の風							
冒険者の協力によって、イシュガルドの人々の意識が高まり、雲霧街の復興事業が正式に開始されました！			冒険者の協力によって、イシュガルドの人々の意識が高まり、雲霧街の復興事業が正式に開始されました！			雲霧へ吹き込む変革の風							
聖ロエル広場のエル・トゥは、ドラゴンたちに料理を届けにいくようだ。			聖ロエル広場のエル・トゥは、ドラゴンたちに料理を届けにいくようだ。			竜と人のいっぽ							
アルヴィデと話す			アルヴィデと話す			竜と人のいっぽ							
白亜の宮殿でエル・トゥを探す			白亜の宮殿でエル・トゥを探す			竜と人のいっぽ							
幼気な子竜にドラゴン用のハンマーを渡す			幼気な子竜にドラゴン用のハンマーを渡す			竜と人のいっぽ							
聖ロエル広場のエル・トゥと話す			聖ロエル広場のエル・トゥと話す			竜と人のいっぽ							
さあ！　じゃあエイユウと、アルヴィデ師匠がお手伝いちてくれた、特製の「ドラゴンおもてなし料理」を届けてくるでちよ。			さあ！　じゃあエイユウと、アルヴィデ師匠がお手伝いちてくれた、特製の「ドラゴンおもてなし料理」を届けてくるでちよ。			竜と人のいっぽ							
ドラヴァニア雲海の小さき翼たちも、最近はあたくちが来るのを、心待ちにしてるのでち。ええ、そうに決まっていまちゅの！			ドラヴァニア雲海の小さき翼たちも、最近はあたくちが来るのを、心待ちにしてるのでち。ええ、そうに決まっていまちゅの！			竜と人のいっぽ							
うん、いってらっしゃいー！			うん、いってらっしゃいー！			竜と人のいっぽ							
……………………うぅぅ。身体が熱くて、痛い、でち……。でも、でも、みんなに認めてもらわなくちゃ……！			……………………うぅぅ。身体が熱くて、痛い、でち……。でも、でも、みんなに認めてもらわなくちゃ……！			竜と人のいっぽ							
エル・トゥ？			エル・トゥ？			竜と人のいっぽ							
な、なんでもないでちよ！いってきまちゅのー！			な、なんでもないでちよ！いってきまちゅのー！			竜と人のいっぽ							
いつもこれくらいの時間には戻ってくるのに、エル・トゥ遅いね、英雄様……。			いつもこれくらいの時間には戻ってくるのに、エル・トゥ遅いね、英雄様……。			竜と人のいっぽ							
なにか、事情があるのかな……？さっきも、ちょっと様子がおかしかったし……。			なにか、事情があるのかな……？さっきも、ちょっと様子がおかしかったし……。			竜と人のいっぽ							
そうだ「アルヴィデ」さんなら、なにか知っているかも！英雄様お願いです、聞いてきてもらえませんか？難しい事情だったら、僕じゃわからないかもしれないから……！			そうだ「アルヴィデ」さんなら、なにか知っているかも！英雄様お願いです、聞いてきてもらえませんか？難しい事情だったら、僕じゃわからないかもしれないから……！			竜と人のいっぽ							
僕は、エル・トゥと入れ違いにならないように、ここで待ってます！			僕は、エル・トゥと入れ違いにならないように、ここで待ってます！			竜と人のいっぽ							
クエスト進行中はお得意様取引が行えなくなります。再開するためには、クエスト「竜と人のいっぽ」の、コンプリートが必要になりますので、ご注意ください。			クエスト進行中はお得意様取引が行えなくなります。再開するためには、クエスト「竜と人のいっぽ」の、コンプリートが必要になりますので、ご注意ください。			竜と人のいっぽ							
僕にも、なにかできることは……。			僕にも、なにかできることは……。			竜と人のいっぽ							
やあ英雄殿、どうしたんだい？			やあ英雄殿、どうしたんだい？			竜と人のいっぽ							
おチビちゃんなら、料理を受け取ってからは、顔を出していないけど……まだ戻ってこないのか？			おチビちゃんなら、料理を受け取ってからは、顔を出していないけど……まだ戻ってこないのか？			竜と人のいっぽ							
熱心にがんばってるご褒美に、特注の道具を作ってあげたってのに……。いったい、どこをほっつき歩い……飛んでんだ？			熱心にがんばってるご褒美に、特注の道具を作ってあげたってのに……。いったい、どこをほっつき歩い……飛んでんだ？			竜と人のいっぽ							
まぁ、おチビちゃんだってドラゴンだもんな。俺たちじゃわからない決まりごとなんかがあって、思うように帰ってこられないこともあるのかな？			まぁ、おチビちゃんだってドラゴンだもんな。俺たちじゃわからない決まりごとなんかがあって、思うように帰ってこられないこともあるのかな？			竜と人のいっぽ							
英雄殿、エル・トゥを探すなら、このドラゴン用のハンマーを持っていってくれないか？これを見せれば、きっとすぐに飛びついて帰ってくるさ。			英雄殿、エル・トゥを探すなら、このドラゴン用のハンマーを持っていってくれないか？これを見せれば、きっとすぐに飛びついて帰ってくるさ。			竜と人のいっぽ							
仲がいいドラゴネットたちがいるのは、ドラヴァニア雲海の「白亜の宮殿」って言ってたな。行ってみてくれるかい？			仲がいいドラゴネットたちがいるのは、ドラヴァニア雲海の「白亜の宮殿」って言ってたな。行ってみてくれるかい？			竜と人のいっぽ							
ドラヴァニア雲海の「白亜の宮殿」なんて、一介の職人なんかには危なすぎるからさ。頼むね、英雄殿。			ドラヴァニア雲海の「白亜の宮殿」なんて、一介の職人なんかには危なすぎるからさ。頼むね、英雄殿。			竜と人のいっぽ							
わっ、ヒトだ！しかもニーズヘッグ様を倒した「エイユウ」でしょ！？			わっ、ヒトだ！しかもニーズヘッグ様を倒した「エイユウ」でしょ！？			竜と人のいっぽ							
ボク、エル・トゥからたくさんお話を聞いてるんだ！あの子の「ものづくり」のお師匠さん、なんでしょ？			ボク、エル・トゥからたくさんお話を聞いてるんだ！あの子の「ものづくり」のお師匠さん、なんでしょ？			竜と人のいっぽ							
そっか、エル・トゥを探しにきたんだね？ちょうど、仲間のところへ来てるよ。「リョウリ」ってすごく美味しい食べ物、配ってくれた！			そっか、エル・トゥを探しにきたんだね？ちょうど、仲間のところへ来てるよ。「リョウリ」ってすごく美味しい食べ物、配ってくれた！			竜と人のいっぽ							
でもなぁ～。今はあの子、ヒトには会えないと思う。その……ちょっと大変なことになってるから……。			でもなぁ～。今はあの子、ヒトには会えないと思う。その……ちょっと大変なことになってるから……。			竜と人のいっぽ							
でも、渡しにきたっていうその「ドラゴン用のハンマー」、よかったらボクが渡してきてあげようか。			でも、渡しにきたっていうその「ドラゴン用のハンマー」、よかったらボクが渡してきてあげようか。			竜と人のいっぽ							
