忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
ここは、リエルにとって、思い出ぶかい場所、なんだって。			ここは、リエルにとって、思い出ぶかい場所、なんだって。			あと三度、遥かな憧憬							
ここでね、モグッチたちが教えてくれたの。暗黒騎士の極意は「愛」なんだって。			ここでね、モグッチたちが教えてくれたの。暗黒騎士の極意は「愛」なんだって。			あと三度、遥かな憧憬							
あい……？			あい……？			あと三度、遥かな憧憬							
……私も、本当はよくわからないんだ。ただ、帰り道に、シドゥルグの背中を見ていて思ったの。			……私も、本当はよくわからないんだ。ただ、帰り道に、シドゥルグの背中を見ていて思ったの。			あと三度、遥かな憧憬							
シドゥルグは家族をなくして、師匠さんをなくして、フレイも……私のせいでなくした。そんなあの人に、もう何もなくさせちゃだめなんだって。			シドゥルグは家族をなくして、師匠さんをなくして、フレイも……私のせいでなくした。そんなあの人に、もう何もなくさせちゃだめなんだって。			あと三度、遥かな憧憬							
だから、私は生きようって決めた。……そういう気持ちが力になるっていうのは、暗黒騎士じゃなくても、ちょっとわかるんだ。			だから、私は生きようって決めた。……そういう気持ちが力になるっていうのは、暗黒騎士じゃなくても、ちょっとわかるんだ。			あと三度、遥かな憧憬							
……うん、それなら、ぼくにもわかる。リエルの想いに、手を、かしてあげられるかもしれない。			……うん、それなら、ぼくにもわかる。リエルの想いに、手を、かしてあげられるかもしれない。			あと三度、遥かな憧憬							
ここにいたか。まったく、面倒をかけてくれるな……！			ここにいたか。まったく、面倒をかけてくれるな……！			あと三度、遥かな憧憬							
ねえ、シドゥルグ……。いなくなったひとたちに、会いたいと、おもう？			ねえ、シドゥルグ……。いなくなったひとたちに、会いたいと、おもう？			あと三度、遥かな憧憬							
なんだ、藪から棒に。俺なんぞを指針にしたところで、お前の悩みは解決せんぞ。まあ、師からは、もっと学びたかったと思うこともあるが……。			なんだ、藪から棒に。俺なんぞを指針にしたところで、お前の悩みは解決せんぞ。まあ、師からは、もっと学びたかったと思うこともあるが……。			あと三度、遥かな憧憬							
……いや、待て。お前まさか…………ッ！			……いや、待て。お前まさか…………ッ！			あと三度、遥かな憧憬							
(-？？？？-)ほう、まっさきに私を挙げるとは。今さら可愛げでも出てきたか？……シドゥルグ。			(-？？？？-)ほう、まっさきに私を挙げるとは。今さら可愛げでも出てきたか？……シドゥルグ。			あと三度、遥かな憧憬							
師匠…………！？			師匠…………！？			あと三度、遥かな憧憬							
……お初にお目にかかる。そこの小僧とフレイの、暗黒騎士としての師にあたる……名を、オンパーニュという。			……お初にお目にかかる。そこの小僧とフレイの、暗黒騎士としての師にあたる……名を、オンパーニュという。			あと三度、遥かな憧憬							
お前に会えて光栄だ、Forename。シドゥルグが、常、お前に私の影をみているものでな……。			お前に会えて光栄だ、Forename。シドゥルグが、常、お前に私の影をみているものでな……。			あと三度、遥かな憧憬							
いや、なに……もうずいぶん昔の話になるが、私も「英雄」と呼ばれたことがあったのだ。お前の功績と比べると、笑えるほど薄っぺらい英雄だがね。			いや、なに……もうずいぶん昔の話になるが、私も「英雄」と呼ばれたことがあったのだ。お前の功績と比べると、笑えるほど薄っぺらい英雄だがね。			あと三度、遥かな憧憬							
当時の私は、暗黒の力とは無縁の神殿騎士だった。仲間を率いて竜と戦い、武功をあげているうちに、我が隊は、多くの戦場に駆り出されるようになっていてね。			当時の私は、暗黒の力とは無縁の神殿騎士だった。仲間を率いて竜と戦い、武功をあげているうちに、我が隊は、多くの戦場に駆り出されるようになっていてね。			あと三度、遥かな憧憬							
順調なようで……地獄だったよ。仲間を失いたくない一心で剣を振るえば、それが新たな勲章となり、より苛烈な戦場に送られたのだから。			順調なようで……地獄だったよ。仲間を失いたくない一心で剣を振るえば、それが新たな勲章となり、より苛烈な戦場に送られたのだから。			あと三度、遥かな憧憬							
……そのうちに、ひとり、またひとりと、仲間たちは命を散らしていった。			……そのうちに、ひとり、またひとりと、仲間たちは命を散らしていった。			あと三度、遥かな憧憬							
私は怯えたよ。もう何も失いたくない……。失うくらいなら、最初から愛着など持ちたくないとね。			私は怯えたよ。もう何も失いたくない……。失うくらいなら、最初から愛着など持ちたくないとね。			あと三度、遥かな憧憬							
私の神殿騎士としての……英雄としての剣は、そうして折れたのだ。			私の神殿騎士としての……英雄としての剣は、そうして折れたのだ。			あと三度、遥かな憧憬							
……その昔話について、俺はずっと疑問を抱いていた。			……その昔話について、俺はずっと疑問を抱いていた。			あと三度、遥かな憧憬							
あんたは神殿騎士をやめて、そのまま戦いから身を引くこともできたはずだ。なのに、なぜ暗黒騎士になった……俺やフレイを拾ったんだ？			あんたは神殿騎士をやめて、そのまま戦いから身を引くこともできたはずだ。なのに、なぜ暗黒騎士になった……俺やフレイを拾ったんだ？			あと三度、遥かな憧憬							
ああ、昔にも一度、それを聞かれたな。答えたところで、歴戦のつわものにしか理解できまいと、そのときは返したはずだが……。			ああ、昔にも一度、それを聞かれたな。答えたところで、歴戦のつわものにしか理解できまいと、そのときは返したはずだが……。			あと三度、遥かな憧憬							
さて、今のお前は、答えるに値する者か……。剣をもって、証明してもらおう。			さて、今のお前は、答えるに値する者か……。剣をもって、証明してもらおう。			あと三度、遥かな憧憬							
……あんた、やっぱりそれしかないのかよ。			……あんた、やっぱりそれしかないのかよ。			あと三度、遥かな憧憬							
責めてくれるな。この私は、お前の想いが実体となったものだぞ？			責めてくれるな。この私は、お前の想いが実体となったものだぞ？			あと三度、遥かな憧憬							
これこそが私らしいと心の底で思っているのは、ほかでもない、お前だよ……我が弟子シドゥルグ。			これこそが私らしいと心の底で思っているのは、ほかでもない、お前だよ……我が弟子シドゥルグ。			あと三度、遥かな憧憬							
さあ、戦える者、全員で挑んでこい！お前たちの大事なものを、冥土の土産にいただこう。暗黒騎士として、護り抜いてみせよ！			さあ、戦える者、全員で挑んでこい！お前たちの大事なものを、冥土の土産にいただこう。暗黒騎士として、護り抜いてみせよ！			あと三度、遥かな憧憬							
私の負けだ……。覚悟のある、実によい暗黒騎士だな。			私の負けだ……。覚悟のある、実によい暗黒騎士だな。			あと三度、遥かな憧憬							
お前もだ、シドゥルグ。弟子の成長ぶりに、ついはしゃいでしまったが……よくぞ、その境地に至ったものだ。			お前もだ、シドゥルグ。弟子の成長ぶりに、ついはしゃいでしまったが……よくぞ、その境地に至ったものだ。			あと三度、遥かな憧憬							
…………やめろ。これだけやられたあとだと、嫌味にしか聞こえん。			…………やめろ。これだけやられたあとだと、嫌味にしか聞こえん。			あと三度、遥かな憧憬							
いや、褒めるさ。……立派になったな、我が愛弟子よ。			いや、褒めるさ。……立派になったな、我が愛弟子よ。			あと三度、遥かな憧憬							
さて、負けたからには、惜しみなく問いに答えよう。			さて、負けたからには、惜しみなく問いに答えよう。			あと三度、遥かな憧憬							
私は確かに過去、戦うことに絶望し、仲間への贖罪と、世の中への怒りから暗黒剣を手に取った。			私は確かに過去、戦うことに絶望し、仲間への贖罪と、世の中への怒りから暗黒剣を手に取った。			あと三度、遥かな憧憬							
……しかし、幾人かを救い、彼らをそれぞれの人生に送り出したとき、思ったのだ。			……しかし、幾人かを救い、彼らをそれぞれの人生に送り出したとき、思ったのだ。			あと三度、遥かな憧憬							
生きるからこそ、別れは不可避。どれほど愛し、護り抜いたとしても、いずれは何らかの形で別れる日がくる。			生きるからこそ、別れは不可避。どれほど愛し、護り抜いたとしても、いずれは何らかの形で別れる日がくる。			あと三度、遥かな憧憬							
その摂理を受け入れ、ゆえにこそ、今、手の内にある愛のために剣を振るう……そう決めた私の人生は、悲しみも多かったが、よいものだった。			その摂理を受け入れ、ゆえにこそ、今、手の内にある愛のために剣を振るう……そう決めた私の人生は、悲しみも多かったが、よいものだった。			あと三度、遥かな憧憬							
……さて、当世の英雄よ。こんなことを語った男が、未練がましく残るものではない。あとの始末は、任せてもよいかね？			……さて、当世の英雄よ。こんなことを語った男が、未練がましく残るものではない。あとの始末は、任せてもよいかね？			あと三度、遥かな憧憬							
……ありがとう。礼にもならないが、孫弟子にもあたるお前に、先達として助言をさせてもらおうか。			……ありがとう。礼にもならないが、孫弟子にもあたるお前に、先達として助言をさせてもらおうか。			あと三度、遥かな憧憬							
英雄であるお前は、これからも多くのために戦い、同じだけ多くの別れを迎えるだろう。			英雄であるお前は、これからも多くのために戦い、同じだけ多くの別れを迎えるだろう。			あと三度、遥かな憧憬							
その別れを大いに恐れ、悲しむがいい。それは、暗黒騎士として生きるお前の力になるのだから。			その別れを大いに恐れ、悲しむがいい。それは、暗黒騎士として生きるお前の力になるのだから。			あと三度、遥かな憧憬							
また、もっともつらいときにこそ、別れた者を思い出せ。そして自覚するのだ……自分は今、彼らの生きた先に立っているのだと。			また、もっともつらいときにこそ、別れた者を思い出せ。そして自覚するのだ……自分は今、彼らの生きた先に立っているのだと。			あと三度、遥かな憧憬							
……そのときに抱く想いもまた、お前の力になろう。お前はきっと、誰より強い暗黒騎士になれるよ。			……そのときに抱く想いもまた、お前の力になろう。お前はきっと、誰より強い暗黒騎士になれるよ。			あと三度、遥かな憧憬							
ではな、シドゥルグ。お前が護ると決めたものを、必ず護り抜けよ。			ではな、シドゥルグ。お前が護ると決めたものを、必ず護り抜けよ。			あと三度、遥かな憧憬							
……言われるまでもない。			……言われるまでもない。			あと三度、遥かな憧憬							
戦いになるなんて……そんな……。			戦いになるなんて……そんな……。			あと三度、遥かな憧憬							
っ……師匠を頼む……。「ソウルイーター」で、還してやってくれ。			っ……師匠を頼む……。「ソウルイーター」で、還してやってくれ。			あと三度、遥かな憧憬							
シドゥルグもForenameも、ひどい怪我……。ごめんなさい……でも……護ってくれて、ありがとう。			シドゥルグもForenameも、ひどい怪我……。ごめんなさい……でも……護ってくれて、ありがとう。			あと三度、遥かな憧憬							
黒い靄が、渦巻いている……。			黒い靄が、渦巻いている……。			あと三度、遥かな憧憬							
ソウルイーターで、暗黒の靄を吸収した。暗黒騎士のソウルクリスタルに、エーテルが戻っていく……。			ソウルイーターで、暗黒の靄を吸収した。暗黒騎士のソウルクリスタルに、エーテルが戻っていく……。			あと三度、遥かな憧憬							
無事、お前にエーテルが戻ったか……。すまない……感謝する……。			無事、お前にエーテルが戻ったか……。すまない……感謝する……。			あと三度、遥かな憧憬							
……おい、ミスト。よくも断りもなく、勝手な真似をしてくれたな。			……おい、ミスト。よくも断りもなく、勝手な真似をしてくれたな。			あと三度、遥かな憧憬							
ご、ごめんなさい……。戦いになる、なんて、おもってなくて……ぼく、また失敗した……。			ご、ごめんなさい……。戦いになる、なんて、おもってなくて……ぼく、また失敗した……。			あと三度、遥かな憧憬							
いや…………。手痛い被害はこうむったが、悪い記憶にはならんだろう……。			いや…………。手痛い被害はこうむったが、悪い記憶にはならんだろう……。			あと三度、遥かな憧憬							
ただし、いきなりやらかすのは今回かぎりにしろ。自分のことになって実感したが、想いの中の人物なんぞ、下手をしたら酷い怪物だ……。			ただし、いきなりやらかすのは今回かぎりにしろ。自分のことになって実感したが、想いの中の人物なんぞ、下手をしたら酷い怪物だ……。			あと三度、遥かな憧憬							
俺は結局……あの人が俺に負けるとは、思えなかった。そうである以上、斬りあって膝をつくのは、絶対に俺の方だ。…………クッ。			俺は結局……あの人が俺に負けるとは、思えなかった。そうである以上、斬りあって膝をつくのは、絶対に俺の方だ。…………クッ。			あと三度、遥かな憧憬							
シドゥルグの傷、かなり深いみたい……。先に「モグモグホーム」に戻って、手当てしてみる……！			シドゥルグの傷、かなり深いみたい……。先に「モグモグホーム」に戻って、手当てしてみる……！			あと三度、遥かな憧憬							
シドゥルグ、けが、いたそう……。だけど、師匠さんと会えたことは、よろこんで、くれたのかな……？			シドゥルグ、けが、いたそう……。だけど、師匠さんと会えたことは、よろこんで、くれたのかな……？			あと三度、遥かな憧憬							
そっか……うれしいな……！師匠さんは、別れをうけいれろって、いったけど……やっぱり、一緒にいられたほうが、幸せだ。			そっか……うれしいな……！師匠さんは、別れをうけいれろって、いったけど……やっぱり、一緒にいられたほうが、幸せだ。			あと三度、遥かな憧憬							
Forename、ぼく、次もがんばるね……！			Forename、ぼく、次もがんばるね……！			あと三度、遥かな憧憬							
シドゥルグにとって、師匠さんがどれだけ強かったか……手当てしてると、よくわかるよ……。			シドゥルグにとって、師匠さんがどれだけ強かったか……手当てしてると、よくわかるよ……。			あと三度、遥かな憧憬							
シドゥルグ、平気かな……？			シドゥルグ、平気かな……？			あと三度、遥かな憧憬							
今度はモグッチたちのせいじゃないくぽ～！			今度はモグッチたちのせいじゃないくぽ～！			あと三度、遥かな憧憬							
ッ…………。すまん、だいぶ手ひどくやられた……。傷を癒すのに、しばし時間がいりそうだ……。			ッ…………。すまん、だいぶ手ひどくやられた……。傷を癒すのに、しばし時間がいりそうだ……。			あと三度、遥かな憧憬							
お前のソウルクリスタルにエーテルが戻ったならよかったが、俺が次も力を貸せるかは、怪しいものだ……。			お前のソウルクリスタルにエーテルが戻ったならよかったが、俺が次も力を貸せるかは、怪しいものだ……。			あと三度、遥かな憧憬							
ミストの「ちから」は、あと2回……。どうしたものか……。			ミストの「ちから」は、あと2回……。どうしたものか……。			あと三度、遥かな憧憬							
雲霧街のフレイは、暗黒騎士となった冒険者に伝えたいことがあるようだ。			雲霧街のフレイは、暗黒騎士となった冒険者に伝えたいことがあるようだ。			暗黒は揺らめく							
フレイから、暗黒騎士の歴史について聞いた。雲霧街で、先ほど聞こえた悲鳴の主を探そう。			フレイから、暗黒騎士の歴史について聞いた。雲霧街で、先ほど聞こえた悲鳴の主を探そう。			暗黒は揺らめく							
悲鳴を上げたのは、孫娘を神殿騎士に連行された、貧しい身なりの老婆だった。雲霧街の「フレイ」と話そう。			悲鳴を上げたのは、孫娘を神殿騎士に連行された、貧しい身なりの老婆だった。雲霧街の「フレイ」と話そう。			暗黒は揺らめく							
フレイは、神殿騎士たちの行き先を推理した。戦いの準備を整え、イシュガルド上層の東側にいる「フレイ」と話そう。			フレイは、神殿騎士たちの行き先を推理した。戦いの準備を整え、イシュガルド上層の東側にいる「フレイ」と話そう。			暗黒は揺らめく							
フレイと合流し、「暗黒」の力について聞いた。付近で、娘を連行した神殿騎士を探そう。			フレイと合流し、「暗黒」の力について聞いた。付近で、娘を連行した神殿騎士を探そう。			暗黒は揺らめく							
無頼の神殿騎士の一団を発見し、戦いの末、連行された娘を救出した。神聖裁判所前の「貧しい身なりの娘」と話そう。			無頼の神殿騎士の一団を発見し、戦いの末、連行された娘を救出した。神聖裁判所前の「貧しい身なりの娘」と話そう。			暗黒は揺らめく							
貧しい身なりの娘から感謝された。神聖裁判所前の「フレイ」と話そう。			貧しい身なりの娘から感謝された。神聖裁判所前の「フレイ」と話そう。			暗黒は揺らめく							
フレイと話した。「暗黒」の力を使いこなし、暗黒騎士として最初の一歩を踏み出した冒険者。茨の道を進み続ける覚悟があるならば、力をつけて、再度フレイを訪ねよう。※暗黒騎士のレベルが35以上になると、雲霧街のフレイから次の暗黒騎士クエストを受注することができます。			フレイと話した。「暗黒」の力を使いこなし、暗黒騎士として最初の一歩を踏み出した冒険者。茨の道を進み続ける覚悟があるならば、力をつけて、再度フレイを訪ねよう。※暗黒騎士のレベルが35以上になると、雲霧街のフレイから次の暗黒騎士クエストを受注することができます。			暗黒は揺らめく							
悲鳴の主を探す			悲鳴の主を探す			暗黒は揺らめく							
フレイと話す			フレイと話す			暗黒は揺らめく							
上層のフレイと話す			上層のフレイと話す			暗黒は揺らめく							
娘を連れた神殿騎士を探す			娘を連れた神殿騎士を探す			暗黒は揺らめく							
貧しい身なりの娘と話す			貧しい身なりの娘と話す			暗黒は揺らめく							
フレイと話す			フレイと話す			暗黒は揺らめく							
神殿騎士を倒し、娘を救え！			神殿騎士を倒し、娘を救え！			暗黒は揺らめく							
暗黒の力			暗黒の力			暗黒は揺らめく							
君は……Forenameというのですね。ひとまず、「暗黒騎士」と呼べそうです……。己の内に芽生えた力の数々を、感じ取っていると思います。			君は……Forenameというのですね。ひとまず、「暗黒騎士」と呼べそうです……。己の内に芽生えた力の数々を、感じ取っていると思います。			暗黒は揺らめく							
その力は強い……しかし、犠牲を強いる力です。弱き者の前に立ちはだかるのは、往々にして、力を持つ者。「正義」と呼ばれる人々に刃向うのは、容易ではないのです。			その力は強い……しかし、犠牲を強いる力です。弱き者の前に立ちはだかるのは、往々にして、力を持つ者。「正義」と呼ばれる人々に刃向うのは、容易ではないのです。			暗黒は揺らめく							
歴代の「暗黒騎士」も、茨の道を歩んできました。最初のひとりは、貧民の子を弄んだ聖職者を斬ったことで、「暗黒」に堕ちたと糾弾された騎士だった……。			歴代の「暗黒騎士」も、茨の道を歩んできました。最初のひとりは、貧民の子を弄んだ聖職者を斬ったことで、「暗黒」に堕ちたと糾弾された騎士だった……。			暗黒は揺らめく							
その生き様に共感した者が、新たな「暗黒騎士」を名乗り、たとえば無辜の友を護るため、幾百の兵を相手に戦った……と、記憶にあります。			その生き様に共感した者が、新たな「暗黒騎士」を名乗り、たとえば無辜の友を護るため、幾百の兵を相手に戦った……と、記憶にあります。			暗黒は揺らめく							
君が継いだソウルクリスタルは、そういった「暗黒騎士」たちから、巡り巡って託されたもの。彼らの遺志が、君が力を御すための支えとなるはずです。			君が継いだソウルクリスタルは、そういった「暗黒騎士」たちから、巡り巡って託されたもの。彼らの遺志が、君が力を御すための支えとなるはずです。			暗黒は揺らめく							
……さて、話はこれくらいにしましょうか。歴史はどうあれ、君自身の意志なくしては、本当の暗黒騎士には成り得ない。			……さて、話はこれくらいにしましょうか。歴史はどうあれ、君自身の意志なくしては、本当の暗黒騎士には成り得ない。			暗黒は揺らめく							
それを確認するためにも、君が護るべき最初のひとりを探しましょう。先の悲鳴は確か、雲霧街の東から……そう遠くはないはずです。			それを確認するためにも、君が護るべき最初のひとりを探しましょう。先の悲鳴は確か、雲霧街の東から……そう遠くはないはずです。			暗黒は揺らめく							
どうやら、現場はここみたいですね。話を聞いてみてはどうですか？			どうやら、現場はここみたいですね。話を聞いてみてはどうですか？			暗黒は揺らめく							
ああ、そこのお方……！お願いします、どうか力を貸してください！私の孫娘が、神殿騎士様に連れていかれたのです！			ああ、そこのお方……！お願いします、どうか力を貸してください！私の孫娘が、神殿騎士様に連れていかれたのです！			暗黒は揺らめく							
あの子は、見回りの神殿騎士様が私にぶつかったのを見て、代わりに咎めてくれただけ……。悪事と呼ばれるようなことは、何ひとつしておりません。			あの子は、見回りの神殿騎士様が私にぶつかったのを見て、代わりに咎めてくれただけ……。悪事と呼ばれるようなことは、何ひとつしておりません。			暗黒は揺らめく							
それなのに、正教への謀反と見なして連行だなんて……！ああ、どうか……孫娘を、お助けください！			それなのに、正教への謀反と見なして連行だなんて……！ああ、どうか……孫娘を、お助けください！			暗黒は揺らめく							
(-雲霧街の住人-)ばあさん、残念だが諦めな……。神殿騎士に盾をついちゃ、この皇都では生きてけねぇ。娘さんが「多少の我慢」をすりゃ、命だけは助かるだろうさ。			(-雲霧街の住人-)ばあさん、残念だが諦めな……。神殿騎士に盾をついちゃ、この皇都では生きてけねぇ。娘さんが「多少の我慢」をすりゃ、命だけは助かるだろうさ。			暗黒は揺らめく							
(-雲霧街の住人-)新任の総長様は話がわかるって噂だが、その目が届かないところには、権力を笠に着た、ろくでもねぇヤツがいるんだよ。			(-雲霧街の住人-)新任の総長様は話がわかるって噂だが、その目が届かないところには、権力を笠に着た、ろくでもねぇヤツがいるんだよ。			暗黒は揺らめく							
(-雲霧街の住人-)奴ら、嫌疑なんて、いくらでもでっち上げるぜ。まともにつっかかったら、今度はてめぇの首が飛ぶってもんだ。			(-雲霧街の住人-)奴ら、嫌疑なんて、いくらでもでっち上げるぜ。まともにつっかかったら、今度はてめぇの首が飛ぶってもんだ。			暗黒は揺らめく							
そんな……っ！わ、私の首なら差し出します！ですから、どうか孫娘を……！			そんな……っ！わ、私の首なら差し出します！ですから、どうか孫娘を……！			暗黒は揺らめく							
なるほど……。また、正義が悪を孕んだというわけですか。			なるほど……。また、正義が悪を孕んだというわけですか。			暗黒は揺らめく							
……けれど、「暗黒騎士」の素質を問うにはいい機会だ。Forename、君はその手を差し伸べますか？彼らを護り、救うことを、心から望みますか？			……けれど、「暗黒騎士」の素質を問うにはいい機会だ。Forename、君はその手を差し伸べますか？彼らを護り、救うことを、心から望みますか？			暗黒は揺らめく							
望むのなら、禁忌を侵すことを厭わず進め。絶対多数の正義を敵にすることを、恐れるな。それこそ、君が足を踏み入れた、暗黒騎士の道なのですから。			望むのなら、禁忌を侵すことを厭わず進め。絶対多数の正義を敵にすることを、恐れるな。それこそ、君が足を踏み入れた、暗黒騎士の道なのですから。			暗黒は揺らめく							
……さすがです。だったら僕は、君に証を託した者として、ただひとりの共犯者となりましょう。			……さすがです。だったら僕は、君に証を託した者として、ただひとりの共犯者となりましょう。			暗黒は揺らめく							
というわけで、孫娘さんの救出、僕らが承りました。過度な期待は困りますが……くれぐれも早まらず、その首を繋げて待っていてください。			というわけで、孫娘さんの救出、僕らが承りました。過度な期待は困りますが……くれぐれも早まらず、その首を繋げて待っていてください。			暗黒は揺らめく							
ああ、戦神様……！ありがとうございますっ……！			ああ、戦神様……！ありがとうございますっ……！			暗黒は揺らめく							
うぅ……突き飛ばされたときに、腰を痛めてしまって……。でも、この方がついていてくださるので大丈夫です。孫娘のこと、どうかよろしくお願いします……！			うぅ……突き飛ばされたときに、腰を痛めてしまって……。でも、この方がついていてくださるので大丈夫です。孫娘のこと、どうかよろしくお願いします……！			暗黒は揺らめく							
さて……。記憶によると、嫌疑をかけられた市民が連行されるのは、神殿騎士団本部か、神聖裁判所のどちらかです。			さて……。記憶によると、嫌疑をかけられた市民が連行されるのは、神殿騎士団本部か、神聖裁判所のどちらかです。			暗黒は揺らめく							
神殿騎士団総長の死角をついて事を進めたいのなら、本部に連行することは避けるはず。とすると、行き先は神聖裁判所……上層を移動中か。			神殿騎士団総長の死角をついて事を進めたいのなら、本部に連行することは避けるはず。とすると、行き先は神聖裁判所……上層を移動中か。			暗黒は揺らめく							
十中八九、穏便にはすみません。お互いに戦いの準備を整えてから、そこの上層への階段を上がったところで合流しましょう。			十中八九、穏便にはすみません。お互いに戦いの準備を整えてから、そこの上層への階段を上がったところで合流しましょう。			暗黒は揺らめく							
準備をする際には、「暗黒騎士」が、弱き者を「護る」存在だということをお忘れなく。			準備をする際には、「暗黒騎士」が、弱き者を「護る」存在だということをお忘れなく。			暗黒は揺らめく							
その信念があるからこそ、「暗黒騎士」は逃げも隠れもしない。むしろ敵の目を引き付けて圧倒し、襲いくる障害を、技を駆使して受け止めるのです。			その信念があるからこそ、「暗黒騎士」は逃げも隠れもしない。むしろ敵の目を引き付けて圧倒し、襲いくる障害を、技を駆使して受け止めるのです。			暗黒は揺らめく							
その戦い方を考慮して、今できることを確認し、装備を整えるといいでしょう。……それでは、また後ほど。			その戦い方を考慮して、今できることを確認し、装備を整えるといいでしょう。……それでは、また後ほど。			暗黒は揺らめく							
暗黒騎士、レベル30までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			暗黒騎士、レベル30までのアクションを修得済みです。メインコマンドの「アクションリスト」から、使用できるアクションを確認してみましょう。			暗黒は揺らめく							
Forename、準備が整ったようですね。僕の方も……どうにか。ここからは、幻術で君の補佐にまわろうと思います。			Forename、準備が整ったようですね。僕の方も……どうにか。ここからは、幻術で君の補佐にまわろうと思います。			暗黒は揺らめく							
この傷ついた体では、ろくに両手剣を扱えませんし……今は、君に暗黒騎士の力を身につけてもらう方が大事です。記憶をたどったら、幻術の覚えがあって幸いでした。			この傷ついた体では、ろくに両手剣を扱えませんし……今は、君に暗黒騎士の力を身につけてもらう方が大事です。記憶をたどったら、幻術の覚えがあって幸いでした。			暗黒は揺らめく							
その、暗黒騎士の力……すなわち「暗黒」の力について、今のうちに話しておきます。			その、暗黒騎士の力……すなわち「暗黒」の力について、今のうちに話しておきます。			暗黒は揺らめく							
「暗黒」の力は、強大な力をあたえてくれるものですが、とてもリスクが大きい力とも言えるでしょう。			「暗黒」の力は、強大な力をあたえてくれるものですが、とてもリスクが大きい力とも言えるでしょう。			暗黒は揺らめく							
なぜなら、心の闇の部分にある、恐怖や憤怒といった「負の感情」を力の源とするからです。			なぜなら、心の闇の部分にある、恐怖や憤怒といった「負の感情」を力の源とするからです。			暗黒は揺らめく							
怒りに我を失う……なんて言いますが、そんな風に感情に歯止めが利かなくなれば、飽和した力が逆流し、たちまち身を滅ぼしてしまう……。			怒りに我を失う……なんて言いますが、そんな風に感情に歯止めが利かなくなれば、飽和した力が逆流し、たちまち身を滅ぼしてしまう……。			暗黒は揺らめく							
これから、君が「暗黒騎士」として強くなりたいなら……そして、生き続けたいと望むなら……己の「負の感情」と向き合い、制御するのが最初の課題です。			これから、君が「暗黒騎士」として強くなりたいなら……そして、生き続けたいと望むなら……己の「負の感情」と向き合い、制御するのが最初の課題です。			暗黒は揺らめく							
君が頷いてくれると、なんだか少し嬉しいですね。……ああ、いや、こちらの話ですが。			君が頷いてくれると、なんだか少し嬉しいですね。……ああ、いや、こちらの話ですが。			暗黒は揺らめく							
さあ、拐われた娘さんを探さないと！ここから神聖裁判所まで、それらしき連中を見落とさないように進みましょう。			さあ、拐われた娘さんを探さないと！ここから神聖裁判所まで、それらしき連中を見落とさないように進みましょう。			暗黒は揺らめく							
さあ、拐われた娘さんを探さないと！ここから神聖裁判所まで、それらしき連中を見落とさないように進みましょう。			さあ、拐われた娘さんを探さないと！ここから神聖裁判所まで、それらしき連中を見落とさないように進みましょう。			暗黒は揺らめく							
あ、あなたは……？お願い、この人たちの説得を手伝って！			あ、あなたは……？お願い、この人たちの説得を手伝って！			暗黒は揺らめく							
おい、さっさと歩けと言っているだろう！抵抗を続ければ、罪状が増えるだけだぞ。			おい、さっさと歩けと言っているだろう！抵抗を続ければ、罪状が増えるだけだぞ。			暗黒は揺らめく							
い、嫌よ！　帰して！私は何も間違ったことをしてない……。そっちが、おばあちゃんを突き飛ばしたのが悪いんじゃない！			い、嫌よ！　帰して！私は何も間違ったことをしてない……。そっちが、おばあちゃんを突き飛ばしたのが悪いんじゃない！			暗黒は揺らめく							
言い分は、神聖裁判所で聞いてやる。思う存分、じっくりとな……。			言い分は、神聖裁判所で聞いてやる。思う存分、じっくりとな……。			暗黒は揺らめく							
「神聖」が聞いてあきれますね。こういう下衆がいるから、僕らの苦労は終わらないんだ。			「神聖」が聞いてあきれますね。こういう下衆がいるから、僕らの苦労は終わらないんだ。			暗黒は揺らめく							
チッ……。何者か知らんが、公務の邪魔は許さんぞ。			チッ……。何者か知らんが、公務の邪魔は許さんぞ。			暗黒は揺らめく							
あいにく、許しは求めていませんので。……力ずくでも、そちらの娘さんを返していただきます。			あいにく、許しは求めていませんので。……力ずくでも、そちらの娘さんを返していただきます。			暗黒は揺らめく							
我ら神殿騎士に逆らうとは、血迷ったか……。			我ら神殿騎士に逆らうとは、血迷ったか……。			暗黒は揺らめく							
おい、娘……。今すぐ抵抗をやめて、私についてくるんだ。お前の祖母にまで嫌疑をかけたくなかったらな。			おい、娘……。今すぐ抵抗をやめて、私についてくるんだ。お前の祖母にまで嫌疑をかけたくなかったらな。			暗黒は揺らめく							
ほかの者は、後ほど神聖裁判所で合流だ。その不届き者を捕え、必ずや連行してこい！			ほかの者は、後ほど神聖裁判所で合流だ。その不届き者を捕え、必ずや連行してこい！			暗黒は揺らめく							
おつかれさまでした。君には、いろいろと言いたいことがありますが……まずは、娘さんを安心させてあげてください。			おつかれさまでした。君には、いろいろと言いたいことがありますが……まずは、娘さんを安心させてあげてください。			暗黒は揺らめく							
あ、あのっ……！助けてくださって、本当にありがとうございました！			あ、あのっ……！助けてくださって、本当にありがとうございました！			暗黒は揺らめく							
