フォルタン家の執事は、ぼんやりとしている。			フォルタン家の執事は、ぼんやりとしている。			追憶行							
ジャントゥローと話した。彼によると、邪竜を失っても、人に恨みを持つドラゴン族は消えていないようだ。そして、聖竜の眷属との交流が本格化すれば、街道を警備する必要があるため、聖フィネア連隊が、その担い手となるという。次は、高地ドラヴァニアのテイルフェザーにいる「マルスシャン」と話そう。			ジャントゥローと話した。彼によると、邪竜を失っても、人に恨みを持つドラゴン族は消えていないようだ。そして、聖竜の眷属との交流が本格化すれば、街道を警備する必要があるため、聖フィネア連隊が、その担い手となるという。次は、高地ドラヴァニアのテイルフェザーにいる「マルスシャン」と話そう。			雪踏みしめて							
マルスシャンと話した。イゼルの思い出話をした彼は、亡き彼女の想いが、冒険者に受け継がれていると信じているのだった。この先も、追憶の旅を続けよう。			マルスシャンと話した。イゼルの思い出話をした彼は、亡き彼女の想いが、冒険者に受け継がれていると信じているのだった。この先も、追憶の旅を続けよう。			雪踏みしめて							
ウルダハのスウィフト大闘佐に東方軟膏を渡す			ウルダハのスウィフト大闘佐に東方軟膏を渡す			雪踏みしめて							
ゴルガニュ牧場のデュランデル家の騎兵と話す			ゴルガニュ牧場のデュランデル家の騎兵と話す			雪踏みしめて							
投降してきた異端者と話す			投降してきた異端者と話す			雪踏みしめて							
ジャントゥローと話す			ジャントゥローと話す			雪踏みしめて							
テイルフェザーのマルスシャンと話す			テイルフェザーのマルスシャンと話す			雪踏みしめて							
Forenameさん、これからも追憶の旅を続けるのですよね？でしたら、ひとつ頼まれ事をして頂けませんか？			Forenameさん、これからも追憶の旅を続けるのですよね？でしたら、ひとつ頼まれ事をして頂けませんか？			雪踏みしめて							
ラウバーン局長に手製の「東方軟膏」を届けてほしいのです。古傷となって痛まぬように、たとえ傷が塞がっていても、必ず毎日塗るようにとお伝えください。			ラウバーン局長に手製の「東方軟膏」を届けてほしいのです。古傷となって痛まぬように、たとえ傷が塞がっていても、必ず毎日塗るようにとお伝えください。			雪踏みしめて							
不滅隊作戦本部にいる「スウィフト大闘佐」に声をかければ、取り次いでもらえるはずですので、よろしくお願いしますね。			不滅隊作戦本部にいる「スウィフト大闘佐」に声をかければ、取り次いでもらえるはずですので、よろしくお願いしますね。			雪踏みしめて							
傷が塞がったと油断し、治療を怠れば、やがて古傷となって痛みが残り、尾を引きます。東方での戦いで経験があるのですよ……。			傷が塞がったと油断し、治療を怠れば、やがて古傷となって痛みが残り、尾を引きます。東方での戦いで経験があるのですよ……。			雪踏みしめて							
む、私に何用かな？			む、私に何用かな？			雪踏みしめて							
ほう、この「東方軟膏」をラウバーン局長に……。なるほど、ヒギリ殿からの使いか……了解した。局長をお呼びするゆえ、少々待っていてくれ。			ほう、この「東方軟膏」をラウバーン局長に……。なるほど、ヒギリ殿からの使いか……了解した。局長をお呼びするゆえ、少々待っていてくれ。			雪踏みしめて							
おぉ、Forename。ヒギリ殿手製の「東方軟膏」を持ってきてくれたとか。わざわざすまないな……。			おぉ、Forename。ヒギリ殿手製の「東方軟膏」を持ってきてくれたとか。わざわざすまないな……。			雪踏みしめて							
むっ……必ず毎日塗るようにと、ヒギリ殿が申していたと？さすがはドマの忍……吾輩が治療を怠りがちだと察知し、貴様を送り込んでくるとは、何と言う深淵な策！			むっ……必ず毎日塗るようにと、ヒギリ殿が申していたと？さすがはドマの忍……吾輩が治療を怠りがちだと察知し、貴様を送り込んでくるとは、何と言う深淵な策！			雪踏みしめて							
一騎打ちで勝利した貴様の言葉であれば、敗者たる吾輩としては、無下にはできんではないか……。			一騎打ちで勝利した貴様の言葉であれば、敗者たる吾輩としては、無下にはできんではないか……。			雪踏みしめて							
……しかし、貴様には、世話になってばかりだな。イルベルドに囚われた吾輩を救ってくれたことも……改めて礼を述べさせてもらいたい。			……しかし、貴様には、世話になってばかりだな。イルベルドに囚われた吾輩を救ってくれたことも……改めて礼を述べさせてもらいたい。			雪踏みしめて							
まさか、イルベルドがあれほどの怨念を、心の内に秘めていたとは……己の甘さを痛感させられたぞ。			まさか、イルベルドがあれほどの怨念を、心の内に秘めていたとは……己の甘さを痛感させられたぞ。			雪踏みしめて							
後にロロリトから聞いた話では、当初はイルベルドも、吾輩に期待していたそうだ。解放軍の先頭に立ってくれるのではないかとな…･･。			後にロロリトから聞いた話では、当初はイルベルドも、吾輩に期待していたそうだ。解放軍の先頭に立ってくれるのではないかとな…･･。			雪踏みしめて							
だが、砂蠍衆となった吾輩は、ウルダハの内政問題に取り組んだ。難民と化した同胞たちを救いたいとの想いもあったが、ヤツには腰抜けに見えたことだろう。			だが、砂蠍衆となった吾輩は、ウルダハの内政問題に取り組んだ。難民と化した同胞たちを救いたいとの想いもあったが、ヤツには腰抜けに見えたことだろう。			雪踏みしめて							
イルベルドの期待は裏切られ、ヤツは吾輩を恨むようになった。富と名声と権力を得た「アラミゴの猛牛」がいる限り、難民たちは戦うことなく、ウルダハでの成功を夢見てしまう。			イルベルドの期待は裏切られ、ヤツは吾輩を恨むようになった。富と名声と権力を得た「アラミゴの猛牛」がいる限り、難民たちは戦うことなく、ウルダハでの成功を夢見てしまう。			雪踏みしめて							
夢があるから、人は苦境に耐えることができる。では、夢がなくなったとしたらどうなる？			夢があるから、人は苦境に耐えることができる。では、夢がなくなったとしたらどうなる？			雪踏みしめて							
吾輩を殺し、難民たちにウルダハでの生活を諦めさせ、共和派から得た軍資金を使って武装させる……。絶望に裏打ちされた軍の創設……それがヤツの狙いだったのだ。			吾輩を殺し、難民たちにウルダハでの生活を諦めさせ、共和派から得た軍資金を使って武装させる……。絶望に裏打ちされた軍の創設……それがヤツの狙いだったのだ。			雪踏みしめて							
すまない、Forename……。吾輩の不甲斐なさが、イルベルドを歪んだ復讐鬼に変え、貴様たち「暁の血盟」を巻き込んでしまった……。			すまない、Forename……。吾輩の不甲斐なさが、イルベルドを歪んだ復讐鬼に変え、貴様たち「暁の血盟」を巻き込んでしまった……。			雪踏みしめて							
ただ謝罪の言葉を口にするだけでは意味はない。ウルダハの民とアラミゴの民、その両方を救うため、全力を尽くすと、貴様に誓わせてくれ！			ただ謝罪の言葉を口にするだけでは意味はない。ウルダハの民とアラミゴの民、その両方を救うため、全力を尽くすと、貴様に誓わせてくれ！			雪踏みしめて							
ラウバーンとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はクルザス西部高地のゴルガニュ牧場にいる「デュランデル家の騎兵」を訪ねよう。			ラウバーンとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はクルザス西部高地のゴルガニュ牧場にいる「デュランデル家の騎兵」を訪ねよう。			雪踏みしめて							
こ、これは英雄殿！このような辺ぴな場所に来られるとは……。			こ、これは英雄殿！このような辺ぴな場所に来られるとは……。			雪踏みしめて							
過去を巡る旅……ですか。なるほど、そういうことでしたら、良いタイミングで来られたかもしれません。			過去を巡る旅……ですか。なるほど、そういうことでしたら、良いタイミングで来られたかもしれません。			雪踏みしめて							
あなたに縁のある人物……氷の巫女に従っていた者たちが、我々に投降を申し出てきたところなのです。地下室にいますので、よければ会っていってください。			あなたに縁のある人物……氷の巫女に従っていた者たちが、我々に投降を申し出てきたところなのです。地下室にいますので、よければ会っていってください。			雪踏みしめて							
投降を申し出てきた異端者たちは、牧場の地下にて同僚の騎兵と交渉中です。よければ会っていってやってください。			投降を申し出てきた異端者たちは、牧場の地下にて同僚の騎兵と交渉中です。よければ会っていってやってください。			雪踏みしめて							
お、お前は……！？驚いたな、アクアファー円形劇場で戦ったお前が、こんなところに来るなんて……。			お、お前は……！？驚いたな、アクアファー円形劇場で戦ったお前が、こんなところに来るなんて……。			雪踏みしめて							
そうか……過去を忘れぬよう各地を巡っていると……。あのときは、すまなかったな……。対話を申し出るお前らに対し、問答無用で刃を向けてしまった。			そうか……過去を忘れぬよう各地を巡っていると……。あのときは、すまなかったな……。対話を申し出るお前らに対し、問答無用で刃を向けてしまった。			雪踏みしめて							
「真実」については、氷の巫女様から聞いたよ。竜詩戦争の発端も、正教の欺瞞も、そしてシヴァの真相も……。聖女と崇めた我々の信仰心が、氷神シヴァを創った事実もな。			「真実」については、氷の巫女様から聞いたよ。竜詩戦争の発端も、正教の欺瞞も、そしてシヴァの真相も……。聖女と崇めた我々の信仰心が、氷神シヴァを創った事実もな。			雪踏みしめて							
蛮神召喚に関わった我らは、すでに氷神シヴァの力によって、魂をねじ曲げられてしまったのかもしれない……。			蛮神召喚に関わった我らは、すでに氷神シヴァの力によって、魂をねじ曲げられてしまったのかもしれない……。			雪踏みしめて							
争いを止め、投降を考えるようになったことすら、氷神シヴァの影響なのではないかと疑ってしまうほどさ……。だが、たとえそうだったとしても構わない……罪は償うつもりだ。			争いを止め、投降を考えるようになったことすら、氷神シヴァの影響なのではないかと疑ってしまうほどさ……。だが、たとえそうだったとしても構わない……罪は償うつもりだ。			雪踏みしめて							
おい、お前たち……そろそろ皇都に向けて出発するぞ！			おい、お前たち……そろそろ皇都に向けて出発するぞ！			雪踏みしめて							
さ、最後に一言だけ……ありがとう。我らは、盲信することで、彼女に責任を押しつけてしまった。氷の巫女様の「仲間」になってくれたこと、感謝する……。			さ、最後に一言だけ……ありがとう。我らは、盲信することで、彼女に責任を押しつけてしまった。氷の巫女様の「仲間」になってくれたこと、感謝する……。			雪踏みしめて							
異端者たちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は聖フィネア連隊の露営地の「ジャントゥロー」を訪ねよう。			異端者たちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は聖フィネア連隊の露営地の「ジャントゥロー」を訪ねよう。			雪踏みしめて							
……あっ、お前、この野郎！よくも邪竜の野郎をブチ倒しやがったな！お陰でドラゴン族の勢いはガタ落ちよ！			……あっ、お前、この野郎！よくも邪竜の野郎をブチ倒しやがったな！お陰でドラゴン族の勢いはガタ落ちよ！			雪踏みしめて							
その上、聖竜の眷属だか何だかと友好関係を結んだせいで、どいつを狩ったらいいのか、わかりゃしねぇ！これじゃあ、商売あがったりってモンだぜ！			その上、聖竜の眷属だか何だかと友好関係を結んだせいで、どいつを狩ったらいいのか、わかりゃしねぇ！これじゃあ、商売あがったりってモンだぜ！			雪踏みしめて							
……なーんてな！そんなこと言うわけねぇだろ！　ガハハハハ！お前は、本当に……本当にスゲェ偉業を成し遂げたんだ！			……なーんてな！そんなこと言うわけねぇだろ！　ガハハハハ！お前は、本当に……本当にスゲェ偉業を成し遂げたんだ！			雪踏みしめて							
だが、邪竜を失って勢いが衰えたとはいえ、人に怨みを持つドラゴンがすべて消え去ったわけじゃない。			だが、邪竜を失って勢いが衰えたとはいえ、人に怨みを持つドラゴンがすべて消え去ったわけじゃない。			雪踏みしめて							
それに聖竜の眷属との交流が本格化すれば、ドラヴァニア方面への街道を、誰かが警備せにゃならん。俺たちの連隊が、その担い手になってやるさ。			それに聖竜の眷属との交流が本格化すれば、ドラヴァニア方面への街道を、誰かが警備せにゃならん。俺たちの連隊が、その担い手になってやるさ。			雪踏みしめて							
ド派手なドラゴン狩りで、一気に爵位持ちなんて、チャンスは減るが、食い扶持を稼ぐ道はあるってこったな。……だからよ、誇りに思ってるぜ！　ドラゴン狩りの同志よ！			ド派手なドラゴン狩りで、一気に爵位持ちなんて、チャンスは減るが、食い扶持を稼ぐ道はあるってこったな。……だからよ、誇りに思ってるぜ！　ドラゴン狩りの同志よ！			雪踏みしめて							
ジャントゥローとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は高地ドラヴァニアのテイルフェザーにいる「マルスシャン」を訪ねよう。			ジャントゥローとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は高地ドラヴァニアのテイルフェザーにいる「マルスシャン」を訪ねよう。			雪踏みしめて							
しっかし、俺が生きている間に、邪竜ニーズヘッグが狩られるなんてなぁ……。想像すらしたことがなかったぜ。			しっかし、俺が生きている間に、邪竜ニーズヘッグが狩られるなんてなぁ……。想像すらしたことがなかったぜ。			雪踏みしめて							
おう、どうしたんだ？またグナース族がらみで問題でも抱えてるのか？			おう、どうしたんだ？またグナース族がらみで問題でも抱えてるのか？			雪踏みしめて							
そうか、過去の記憶を辿る旅を……。なんだか思い出しちまうな、イゼルのことをよ……。			そうか、過去の記憶を辿る旅を……。なんだか思い出しちまうな、イゼルのことをよ……。			雪踏みしめて							
5年前、森の外で倒れてるあいつを見つけた時は、驚いたもんさ。連れ帰って介抱し、目覚めたまでは良かったんだが、しばらくは、黙って空ばかりを見つめていてな。			5年前、森の外で倒れてるあいつを見つけた時は、驚いたもんさ。連れ帰って介抱し、目覚めたまでは良かったんだが、しばらくは、黙って空ばかりを見つめていてな。			雪踏みしめて							
家族を失った悲しみは、簡単には癒えはしなかったが、それでも年月が流れるにつれ、笑顔を見せるようになったんだ。			家族を失った悲しみは、簡単には癒えはしなかったが、それでも年月が流れるにつれ、笑顔を見せるようになったんだ。			雪踏みしめて							
だが、数年経ったある日、「やらなければならない事がある」と言い出して、突然、テイルフェザーを去ってな……。			だが、数年経ったある日、「やらなければならない事がある」と言い出して、突然、テイルフェザーを去ってな……。			雪踏みしめて							
その後、しばらくして「氷の巫女」の噂を聞くようになった。今にして思えば、悲しみの中で、じっと静かに人と竜の関係を、考え続けていたんだろうな……。			その後、しばらくして「氷の巫女」の噂を聞くようになった。今にして思えば、悲しみの中で、じっと静かに人と竜の関係を、考え続けていたんだろうな……。			雪踏みしめて							
彼女が選んだ道が正しかったのかどうか、俺にはわからん。ただ、イゼルの想いは、お前さんに受け継がれている。俺は勝手に、そう信じているんだ。			彼女が選んだ道が正しかったのかどうか、俺にはわからん。ただ、イゼルの想いは、お前さんに受け継がれている。俺は勝手に、そう信じているんだ。			雪踏みしめて							
テイルフェザーのマルスシャンは、しんみりとしている。			テイルフェザーのマルスシャンは、しんみりとしている。			旅の果て							
マルスシャンから、グナース族に会っていくことを提案された。高地ドラヴァニアのヴァスの塚にいる「ストーリーテラー」と話そう。			マルスシャンから、グナース族に会っていくことを提案された。高地ドラヴァニアのヴァスの塚にいる「ストーリーテラー」と話そう。			旅の果て							
ストーリーテラーと話した。彼の話によると、冒険者の武神討伐を待つ間、アルフィノは魔法の訓練をし、エスティニアンがその相手をしていたようだ。次は、高地ドラヴァニアの不浄の三塔にいる「ヴィゾーヴニル」と話そう。			ストーリーテラーと話した。彼の話によると、冒険者の武神討伐を待つ間、アルフィノは魔法の訓練をし、エスティニアンがその相手をしていたようだ。次は、高地ドラヴァニアの不浄の三塔にいる「ヴィゾーヴニル」と話そう。			旅の果て							
ヴィゾーヴニルと話した。彼女によると、ドラゴン族は、詩によって記憶を語り継ぐという。イゼルと冒険者たちが、争いと憎しみを断つために旅をしたことも、竜詩によって伝えられていくようだ。次は、ドラヴァニア雲海のモグモグホームにいる「モグリン」と話そう。			ヴィゾーヴニルと話した。彼女によると、ドラゴン族は、詩によって記憶を語り継ぐという。イゼルと冒険者たちが、争いと憎しみを断つために旅をしたことも、竜詩によって伝えられていくようだ。次は、ドラヴァニア雲海のモグモグホームにいる「モグリン」と話そう。			旅の果て							
モグリンと話したところ、ちょうど、カヌ・エと、クポロ・コップが来ていた。カヌ・エは、竜詩戦争で散っていったすべての人と竜に対して哀悼の意を捧げ、冒険者もそれに倣った。次は、ドラヴァニア雲海のフォーアームズにある「指定地点」で焚火をしよう。			モグリンと話したところ、ちょうど、カヌ・エと、クポロ・コップが来ていた。カヌ・エは、竜詩戦争で散っていったすべての人と竜に対して哀悼の意を捧げ、冒険者もそれに倣った。次は、ドラヴァニア雲海のフォーアームズにある「指定地点」で焚火をしよう。			旅の果て							
フォーアームズで焚火をした。冒険者が、エスティニアンの思いやりや、アルフィノの焚き火、イゼルの作ったシチュー、モグタンの寝息を思い出したとき、聖竜の詩（うた）が聞こえた気がした。次は、ウルダハのロイヤル・プロムナードにある「指定地点」で思いを馳せよう。			フォーアームズで焚火をした。冒険者が、エスティニアンの思いやりや、アルフィノの焚き火、イゼルの作ったシチュー、モグタンの寝息を思い出したとき、聖竜の詩（うた）が聞こえた気がした。次は、ウルダハのロイヤル・プロムナードにある「指定地点」で思いを馳せよう。			旅の果て							
ロイヤル・プロムナードで思いを馳せていたところ、変装して王宮を抜けだしたナナモと出会った。冒険者は彼女から、ウルダハの動乱に巻き込んだことへの詫びとともに、助けたことへの礼をいわれた。ナナモ曰く、事を謀ったロロリトが詫びとして、全資産の半分と、テレジ・アデレジの権益を差し出してきたという。彼女は、その大金を難民対策に投じると決意したようだ。ナナモから、彼女を探す近衛騎士の足止めを頼まれた。ロイヤル・プロムナードにいる「銀冑団の近衛騎士」と話そう。			ロイヤル・プロムナードで思いを馳せていたところ、変装して王宮を抜けだしたナナモと出会った。冒険者は彼女から、ウルダハの動乱に巻き込んだことへの詫びとともに、助けたことへの礼をいわれた。ナナモ曰く、事を謀ったロロリトが詫びとして、全資産の半分と、テレジ・アデレジの権益を差し出してきたという。彼女は、その大金を難民対策に投じると決意したようだ。ナナモから、彼女を探す近衛騎士の足止めを頼まれた。ロイヤル・プロムナードにいる「銀冑団の近衛騎士」と話そう。			旅の果て							
銀冑団の近衛騎士と話した。ナナモに頼まれた、近衛騎士の足止めをしつつ、この先も、追憶の旅を続けよう。			銀冑団の近衛騎士と話した。ナナモに頼まれた、近衛騎士の足止めをしつつ、この先も、追憶の旅を続けよう。			旅の果て							
ストーリーテラーと話す			ストーリーテラーと話す			旅の果て							
ヴィゾーヴニルと話す			ヴィゾーヴニルと話す			旅の果て							
モグモグホームのモグリンと話す			モグモグホームのモグリンと話す			旅の果て							
指定地点で焚火をする			指定地点で焚火をする			旅の果て							
ウルダハの指定地点で思いを馳せる			ウルダハの指定地点で思いを馳せる			旅の果て							
銀冑団の近衛騎士と話す			銀冑団の近衛騎士と話す			旅の果て							
す、すまねぇな……急に湿っぽくなってよ。お前さんの旅路を、いつまでも足止めするわけにもいかん。何だったら、グナース族の連中に会っていったらどうだ？			す、すまねぇな……急に湿っぽくなってよ。お前さんの旅路を、いつまでも足止めするわけにもいかん。何だったら、グナース族の連中に会っていったらどうだ？			旅の果て							
「人喰い妖花の蜜」に「七天樹の実」……それから「幼体ナンカの肉」を手土産にすれば十分だろう。			「人喰い妖花の蜜」に「七天樹の実」……それから「幼体ナンカの肉」を手土産にすれば十分だろう。			旅の果て							
…………冗談だ、冗談。連中と交流してきたお前さんなら、手土産なんかなくても、歓迎してくれることだろうよ！			…………冗談だ、冗談。連中と交流してきたお前さんなら、手土産なんかなくても、歓迎してくれることだろうよ！			旅の果て							
ところでお前たち、あのとき、どうやって「七天樹の実」を採ったんだ？高いところになる実だから、結構、苦労しただろう？			ところでお前たち、あのとき、どうやって「七天樹の実」を採ったんだ？高いところになる実だから、結構、苦労しただろう？			旅の果て							
シシシシシ……気前のいい狩人よ、よく来たな。今日は、どんな話をしに来たというのだ？			シシシシシ……気前のいい狩人よ、よく来たな。今日は、どんな話をしに来たというのだ？			旅の果て							
ほう、過去を語らうために来たというのか。確かに我らは、精神が連結された「繋がりし者たち」と異なり、個が過去を思い起こさねば、記憶は消え去ってしまう。			ほう、過去を語らうために来たというのか。確かに我らは、精神が連結された「繋がりし者たち」と異なり、個が過去を思い起こさねば、記憶は消え去ってしまう。			旅の果て							
消してはならぬ、大切な記憶は、文字を使って記しておかねばなるまい。ゆえに我らはヒストリアンに、しっかりと書き記させているぞ？			消してはならぬ、大切な記憶は、文字を使って記しておかねばなるまい。ゆえに我らはヒストリアンに、しっかりと書き記させているぞ？			旅の果て							
狩人の一行が訪れたこと……蛮神を狩りに出かけたこと……それを待つ間、小さなヒトが魔法の研鑽を積んでいたこと……竜を狩る狩人が、その相手をしていたこと……。			狩人の一行が訪れたこと……蛮神を狩りに出かけたこと……それを待つ間、小さなヒトが魔法の研鑽を積んでいたこと……竜を狩る狩人が、その相手をしていたこと……。			旅の果て							
「ヴァスの塚」にとって、驚きに満ちた記憶……。これがヒストリアンのいう「レキシ」というものなのだろうな。			「ヴァスの塚」にとって、驚きに満ちた記憶……。これがヒストリアンのいう「レキシ」というものなのだろうな。			旅の果て							
ストーリーテラーとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は不浄の三塔の「ヴィゾーヴニル」を訪ねよう。			ストーリーテラーとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は不浄の三塔の「ヴィゾーヴニル」を訪ねよう。			旅の果て							
そういえば、あの小さきヒトが呼び出した「赤い獣」……。アレを食べたらどのような味がするのかと、ウマソウがしきりに気にしておったな。			そういえば、あの小さきヒトが呼び出した「赤い獣」……。アレを食べたらどのような味がするのかと、ウマソウがしきりに気にしておったな。			旅の果て							
おうや、猛きヒトの子ではないか……。また顔を見せてくれたのか、歓迎するぞ？			おうや、猛きヒトの子ではないか……。また顔を見せてくれたのか、歓迎するぞ？			旅の果て							
ほう……過去を巡る旅を続けていると……。なるほど、ヒトとは、そのようにして記憶を辿るのだな。			ほう……過去を巡る旅を続けていると……。なるほど、ヒトとは、そのようにして記憶を辿るのだな。			旅の果て							
我ら竜は、ヒトと異なり文字は持たぬ。その代わりとして、詩によって記憶を語り継ぐのだ。			我ら竜は、ヒトと異なり文字は持たぬ。その代わりとして、詩によって記憶を語り継ぐのだ。			旅の果て							
我が友イゼルとお前たちが、争いと憎しみの輪廻を断つために、旅をしたこともまた、吾輩が竜詩によって伝えていくことになるだろう。			我が友イゼルとお前たちが、争いと憎しみの輪廻を断つために、旅をしたこともまた、吾輩が竜詩によって伝えていくことになるだろう。			旅の果て							
ヴィゾーヴニルとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はドラヴァニア雲海のモグモグホームにいる「モグリン」を訪ねよう。			ヴィゾーヴニルとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次はドラヴァニア雲海のモグモグホームにいる「モグリン」を訪ねよう。			旅の果て							
千年の長きに渡る竜と人の戦を、我らが「竜詩戦争」と呼ぶのもそのためだ。竜詩によって伝えねばならぬ戦争であったからな……。			千年の長きに渡る竜と人の戦を、我らが「竜詩戦争」と呼ぶのもそのためだ。竜詩によって伝えねばならぬ戦争であったからな……。			旅の果て							
シ……シブい名前のForenameよ。おぬしの来訪を、心より歓迎するくぽ……。ほ、本当くぽよ？			シ……シブい名前のForenameよ。おぬしの来訪を、心より歓迎するくぽ……。ほ、本当くぽよ？			旅の果て							
ホッ……また試練の戦いを挑まれるのかとビクビクしてたくぽ。過去を巡る旅……そういうことなら、本当に歓迎するくぽ。			ホッ……また試練の戦いを挑まれるのかとビクビクしてたくぽ。過去を巡る旅……そういうことなら、本当に歓迎するくぽ。			旅の果て							
実はちょうど、カヌ・エ殿とクポロ・コップが、雲海のモーグリ族との交流のため、遊びにきているくぽ！誰か、呼んでくるくぽ～！			実はちょうど、カヌ・エ殿とクポロ・コップが、雲海のモーグリ族との交流のため、遊びにきているくぽ！誰か、呼んでくるくぽ～！			旅の果て							
Forename殿……ご無沙汰しております。思わぬところでの再会となりましたね。			Forename殿……ご無沙汰しております。思わぬところでの再会となりましたね。			旅の果て							
モグも再会できて、嬉しいクポ！			モグも再会できて、嬉しいクポ！			旅の果て							
聞きましたよ、この旅のことを……。未来に向かって歩むため、振り返って過去を偲ぶ……とても素敵な試みですね。			聞きましたよ、この旅のことを……。未来に向かって歩むため、振り返って過去を偲ぶ……とても素敵な試みですね。			旅の果て							
それから、アルフィノ殿からの連絡を受けたのですが、エスティニアン殿の顛末を伺いましたよ？無事に助け出せたようで、本当に安心しました。			それから、アルフィノ殿からの連絡を受けたのですが、エスティニアン殿の顛末を伺いましたよ？無事に助け出せたようで、本当に安心しました。			旅の果て							
あの竜騎士は、殺しても死なない奴だと思ってたくぽ。それでも邪竜様の怨みの深さを思えば、奇跡的なことくぽ……。			あの竜騎士は、殺しても死なない奴だと思ってたくぽ。それでも邪竜様の怨みの深さを思えば、奇跡的なことくぽ……。			旅の果て							
えぇ、今はただ千年に渡る戦で、散っていったすべての人と竜に対して、哀悼の意を捧げましょう。			えぇ、今はただ千年に渡る戦で、散っていったすべての人と竜に対して、哀悼の意を捧げましょう。			旅の果て							
それでは、モグリン様……そろそろ私たちは、お暇させていただこうと思います。			それでは、モグリン様……そろそろ私たちは、お暇させていただこうと思います。			旅の果て							
Forename殿、貴方の旅にクリスタルの導きがあらんことを……。			Forename殿、貴方の旅にクリスタルの導きがあらんことを……。			旅の果て							
さよならクポ～！			さよならクポ～！			旅の果て							
モグリンたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は「白亜の宮殿」前の広場を訪れよう。			モグリンたちとの語らいで、かつての冒険を思い出した。さらに記憶を辿るために、次は「白亜の宮殿」前の広場を訪れよう。			旅の果て							
またいつでも、モグモグホームに立ち寄ってほしいくぽ。心の底から歓迎させてもらうくぽ！			またいつでも、モグモグホームに立ち寄ってほしいくぽ。心の底から歓迎させてもらうくぽ！			旅の果て							
雲海に吹く風は、今日も冷たい。エスティニアンの思いやり、アルフィノが灯した焚き火の温かさ、イゼルの作ったシチューの味、モグタンの寝息……思い出が蘇る。			雲海に吹く風は、今日も冷たい。エスティニアンの思いやり、アルフィノが灯した焚き火の温かさ、イゼルの作ったシチューの味、モグタンの寝息……思い出が蘇る。			旅の果て							
微かに風に乗って、聖竜の詩(うた)が聞こえた気がした。さらに記憶を辿るために、次はウルダハの「ロイヤル・プロムナード」を訪れよう。			微かに風に乗って、聖竜の詩(うた)が聞こえた気がした。さらに記憶を辿るために、次はウルダハの「ロイヤル・プロムナード」を訪れよう。			旅の果て							
(-？？？？-)おい……おぬし……おぬしのことだ……。			(-？？？？-)おい……おぬし……おぬしのことだ……。			旅の果て							
(-？？？？-)ふふふ……わたくしの正体がわかったようじゃな？ここにいると、追っ手に捕まってしまう。少し移動するぞ？			(-？？？？-)ふふふ……わたくしの正体がわかったようじゃな？ここにいると、追っ手に捕まってしまう。少し移動するぞ？			旅の果て							
(-ナナモ-)銀冑団を出し抜いて、王宮を抜けだしたところで、お主の姿を見つけたものだから驚いたぞ。いったい何をしておったのじゃ？			(-ナナモ-)銀冑団を出し抜いて、王宮を抜けだしたところで、お主の姿を見つけたものだから驚いたぞ。いったい何をしておったのじゃ？			旅の果て							
(-ナナモ-)そうか……記憶を巡る旅を……だが、良かった……。お主に直接、話しておきたいことがあったのだ。			(-ナナモ-)そうか……記憶を巡る旅を……だが、良かった……。お主に直接、話しておきたいことがあったのだ。			旅の果て							
(-ナナモ-)ウルダハの動乱に巻き込んでしまったことへの詫びも、助けてくれたことへの礼も、今の今までできていなかったな……。すまない……そして……ありがとう。			(-ナナモ-)ウルダハの動乱に巻き込んでしまったことへの詫びも、助けてくれたことへの礼も、今の今までできていなかったな……。すまない……そして……ありがとう。			旅の果て							
(-ナナモ-)昏睡状態から目覚めた後、すべての事実をパパシャンから聞いた。その後、ロロリトを呼び出して、奴自身から本音を聞きもした。			(-ナナモ-)昏睡状態から目覚めた後、すべての事実をパパシャンから聞いた。その後、ロロリトを呼び出して、奴自身から本音を聞きもした。			旅の果て							
(-ナナモ-)ロロリト……あれはつかみ所のない恐ろしい男よな。だが、あの守銭奴が詫びと言いつつ、全資産の半分と、テレジ・アデレジの権益すべてを差し出してきた。			(-ナナモ-)ロロリト……あれはつかみ所のない恐ろしい男よな。だが、あの守銭奴が詫びと言いつつ、全資産の半分と、テレジ・アデレジの権益すべてを差し出してきた。			旅の果て							
(-ナナモ-)ウルダハのため、どう使うのかと妾を試すようにな……。さまざまな用途が考えられたが、妾は大いに悩んだ末に、この大金を、難民対策に投じると決めたのじゃ。			(-ナナモ-)ウルダハのため、どう使うのかと妾を試すようにな……。さまざまな用途が考えられたが、妾は大いに悩んだ末に、この大金を、難民対策に投じると決めたのじゃ。			旅の果て							
