ミーン工芸館のフリスリックは、協力者を探しているようだ。			ミーン工芸館のフリスリックは、協力者を探しているようだ。			孤独な漁師							
フリスリックと話した。漁業科の確執は解消され、漁師たちはフリスリックに協力してくれることとなったようだ。そのきっかけとなり、孤独だったフリスリックを支えたことを感謝された。クリスタリウムの栄養失調問題は、いずれ解消されていくことだろう。			フリスリックと話した。漁業科の確執は解消され、漁師たちはフリスリックに協力してくれることとなったようだ。そのきっかけとなり、孤独だったフリスリックを支えたことを感謝された。クリスタリウムの栄養失調問題は、いずれ解消されていくことだろう。			水晶患いの治療法							
スティルタイド付近のフリスリックと話す			スティルタイド付近のフリスリックと話す			水晶患いの治療法							
老齢の漁師と話す			老齢の漁師と話す			水晶患いの治療法							
ノルヴラント大陸斜面でプロスペロイールを釣るプロスペロイールをミーン工芸館のフリスリックに納品			ノルヴラント大陸斜面でプロスペロイールを釣るプロスペロイールをミーン工芸館のフリスリックに納品			水晶患いの治療法							
スパジャイリクス医療館のフリスリックと話す			スパジャイリクス医療館のフリスリックと話す			水晶患いの治療法							
ミーン工芸館のフリスリックと話す			ミーン工芸館のフリスリックと話す			水晶患いの治療法							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「海底で待つは」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「海底で待つは」を完了する必要があります。			水晶患いの治療法							
ああ、Forename……！せっかく来てくれたのに申し訳ないけど……水晶患いについては、まだ解決法は見つかっていないんだ。			ああ、Forename……！せっかく来てくれたのに申し訳ないけど……水晶患いについては、まだ解決法は見つかっていないんだ。			水晶患いの治療法							
なにせ水晶患いは、クリスタリウム特有の病気だから……。当然、「光の氾濫」以前の文献には、記載されていなくて……。			なにせ水晶患いは、クリスタリウム特有の病気だから……。当然、「光の氾濫」以前の文献には、記載されていなくて……。			水晶患いの治療法							
でも、少し進展もあるよ。昔の医術書に、水晶患いとよく似た症例の病気について、記述があるのを見つけたんだ……！			でも、少し進展もあるよ。昔の医術書に、水晶患いとよく似た症例の病気について、記述があるのを見つけたんだ……！			水晶患いの治療法							
その病気の名は「贅沢病」……ヒュリエルさんや水晶患いの患者さんの症状と、驚くほど状況が似ているんだ。			その病気の名は「贅沢病」……ヒュリエルさんや水晶患いの患者さんの症状と、驚くほど状況が似ているんだ。			水晶患いの治療法							
ただ、クリスタリウムでは贅沢なんてできないはずだから、本当に同一なのか判断できなくて……。			ただ、クリスタリウムでは贅沢なんてできないはずだから、本当に同一なのか判断できなくて……。			水晶患いの治療法							
このご時世に贅沢なんて……ユールモアの連中くらいしか、できなさそうなもんだがね。			このご時世に贅沢なんて……ユールモアの連中くらいしか、できなさそうなもんだがね。			水晶患いの治療法							
そっか、ユールモア……！もしかして、あの街になら今も贅沢病が……！			そっか、ユールモア……！もしかして、あの街になら今も贅沢病が……！			水晶患いの治療法							
たしかにそうだが、俺たちが知りたいのは、あくまでも病に効く魚介類のことだ。ユールモアの富豪どもが、漁に詳しいとも思えんぞ？			たしかにそうだが、俺たちが知りたいのは、あくまでも病に効く魚介類のことだ。ユールモアの富豪どもが、漁に詳しいとも思えんぞ？			水晶患いの治療法							
それなら、近隣の漁村で「贅沢病」について調べましょう！効く魚があるなら、ユールモアに売り込むため獲っているかも！ロブさん、少しの間だけここを任せていいかな？			それなら、近隣の漁村で「贅沢病」について調べましょう！効く魚があるなら、ユールモアに売り込むため獲っているかも！ロブさん、少しの間だけここを任せていいかな？			水晶患いの治療法							
ああ、もちろんだとも。			ああ、もちろんだとも。			水晶患いの治療法							
Forename、僕たちはコルシア島の「スティルタイド」に行ってみよう！万にひとつの可能性でもあるなら、賭けてみたいんだ！			Forename、僕たちはコルシア島の「スティルタイド」に行ってみよう！万にひとつの可能性でもあるなら、賭けてみたいんだ！			水晶患いの治療法							
フリスリックのやつ、赤の他人のためにあそこまで……。いや、あいつは元々そういうやつだったな……。			フリスリックのやつ、赤の他人のためにあそこまで……。いや、あいつは元々そういうやつだったな……。			水晶患いの治療法							
Forename、フリスリックを追って「スティルタイド」へ向かってくれ。あいつのことは頼んだ。			Forename、フリスリックを追って「スティルタイド」へ向かってくれ。あいつのことは頼んだ。			水晶患いの治療法							
あんた……あそこにいる、見慣れないロンゾの兄ちゃんの知り合いか？あの兄ちゃん、なにが楽しいのか、ずっと海を見てるぜ。			あんた……あそこにいる、見慣れないロンゾの兄ちゃんの知り合いか？あの兄ちゃん、なにが楽しいのか、ずっと海を見てるぜ。			水晶患いの治療法							
Forename、見て！やっぱり海って、広いねぇ！「光の氾濫」の前は、もっともっと広かったらしいよ。			Forename、見て！やっぱり海って、広いねぇ！「光の氾濫」の前は、もっともっと広かったらしいよ。			水晶患いの治療法							
でも今じゃ、あの水平線の先は、白い水が満たされてるだけなんだって。			でも今じゃ、あの水平線の先は、白い水が満たされてるだけなんだって。			水晶患いの治療法							
魚もきっと、もっとたくさんいたんだろうね。僕が見つけた「食事療法」の本には、見たことも聞いたこともない魚についても、書いてあったよ。			魚もきっと、もっとたくさんいたんだろうね。僕が見つけた「食事療法」の本には、見たことも聞いたこともない魚についても、書いてあったよ。			水晶患いの治療法							
…………って、感傷的になってる場合じゃなかったね！あそこに「老齢の漁師」さんがいるから、贅沢病についてなにか知っているか、聞いてみようか。			…………って、感傷的になってる場合じゃなかったね！あそこに「老齢の漁師」さんがいるから、贅沢病についてなにか知っているか、聞いてみようか。			水晶患いの治療法							
Forename、あそこに「老齢の漁師」さんがいるから、贅沢病についてなにか知っているか聞いてみよう？			Forename、あそこに「老齢の漁師」さんがいるから、贅沢病についてなにか知っているか聞いてみよう？			水晶患いの治療法							
あんたら、ここいらのもんじゃねぇな？こんな辺ぴな場所に……なんの用だ？			あんたら、ここいらのもんじゃねぇな？こんな辺ぴな場所に……なんの用だ？			水晶患いの治療法							
あの、僕たち「贅沢病」について知りたくて……おじいさんは、なにかご存知ですか？			あの、僕たち「贅沢病」について知りたくて……おじいさんは、なにかご存知ですか？			水晶患いの治療法							
贅沢病か。別に、ここいらじゃ珍しいもんでもねぇよ。ユールモアの貴人たちがよくかかる病だ。			贅沢病か。別に、ここいらじゃ珍しいもんでもねぇよ。ユールモアの貴人たちがよくかかる病だ。			水晶患いの治療法							
あいつら、メオルのほかにも、道楽で飲み食いしてたからな……。偏食になって、具合が悪くなるんだ。			あいつら、メオルのほかにも、道楽で飲み食いしてたからな……。偏食になって、具合が悪くなるんだ。			水晶患いの治療法							
贅沢病には、昔からプロスペロイールがいいって言われてんだ。たまーに網にかかると、貴人どもがえらく喜んで、いい金出して買っていってくれるぜ。			贅沢病には、昔からプロスペロイールがいいって言われてんだ。たまーに網にかかると、貴人どもがえらく喜んで、いい金出して買っていってくれるぜ。			水晶患いの治療法							
なるほどそうか……！贅沢病も水晶患いも、偏食による栄養失調が原因だったんだ！おじいさん、その魚はどこで獲れますか……！？			なるほどそうか……！贅沢病も水晶患いも、偏食による栄養失調が原因だったんだ！おじいさん、その魚はどこで獲れますか……！？			水晶患いの治療法							
どこでって……狙って獲れるもんじゃねえぞ？普段は深海にいる魚でな、餌を追ってくるんだか知らないが、海面近くに上がってきたのが偶然、網に入ってるってだけよ。			どこでって……狙って獲れるもんじゃねえぞ？普段は深海にいる魚でな、餌を追ってくるんだか知らないが、海面近くに上がってきたのが偶然、網に入ってるってだけよ。			水晶患いの治療法							
あとは最近、若いもんがオンド族と交易を始めて……その交易品に入ってる時もあるな。ま、それもごくたまにだがね。			あとは最近、若いもんがオンド族と交易を始めて……その交易品に入ってる時もあるな。ま、それもごくたまにだがね。			水晶患いの治療法							
そのオンド族もこのまえ来たばっかりだから、しばらくは顔を出さないと思うが……。			そのオンド族もこのまえ来たばっかりだから、しばらくは顔を出さないと思うが……。			水晶患いの治療法							
そんな……。ど、どうすれば……。			そんな……。ど、どうすれば……。			水晶患いの治療法							
何と伝える？			何と伝える？			水晶患いの治療法							
自分に任せろ			自分に任せろ			水晶患いの治療法							
気合で釣りあげてみせる			気合で釣りあげてみせる			水晶患いの治療法							
自分は深海へ行くことができる			自分は深海へ行くことができる			水晶患いの治療法							
Forename、かっこいい……！君がいうなら、なんだか大丈夫な気がしてきたよ……！じゃあ、お願いしてもいいかな……！			Forename、かっこいい……！君がいうなら、なんだか大丈夫な気がしてきたよ……！じゃあ、お願いしてもいいかな……！			水晶患いの治療法							
こ、心強い言葉だね……！じゃあ、君にお願いしてもいいのかな……！？			こ、心強い言葉だね……！じゃあ、君にお願いしてもいいのかな……！？			水晶患いの治療法							
そうなの……！？深海にまで行けるなんて……君は本当にすごいな。じゃあ、君にお願いしてもいいかい……！？			そうなの……！？深海にまで行けるなんて……君は本当にすごいな。じゃあ、君にお願いしてもいいかい……！？			水晶患いの治療法							
ありがとう……！じゃあ僕はここでは役に立てないから……先に戻って、効果的な調理法を調べておくよ。			ありがとう……！じゃあ僕はここでは役に立てないから……先に戻って、効果的な調理法を調べておくよ。			水晶患いの治療法							
「プロスペロイール」が釣れたら、ミーン工芸館の僕のところまで持ってきてね！そして、調理してヒュリエルさんに渡そう！			「プロスペロイール」が釣れたら、ミーン工芸館の僕のところまで持ってきてね！そして、調理してヒュリエルさんに渡そう！			水晶患いの治療法							
「プロスペロイール」を釣りに、海へでるなら、十分に気をつけるんだぞ。「光の氾濫」を生き延びた深海生物たちは、手強いからな。			「プロスペロイール」を釣りに、海へでるなら、十分に気をつけるんだぞ。「光の氾濫」を生き延びた深海生物たちは、手強いからな。			水晶患いの治療法							
そうだ、「モエビ」がなんとかって、オンド族が言ってた気がするな。それを餌に使ってみるといいかもしれん。			そうだ、「モエビ」がなんとかって、オンド族が言ってた気がするな。それを餌に使ってみるといいかもしれん。			水晶患いの治療法							
若いもんが元気で熱意あるのはいいことだ。頑張れよ、お若いの。			若いもんが元気で熱意あるのはいいことだ。頑張れよ、お若いの。			水晶患いの治療法							
おじいさんも、ありがとうございました！また漁の話を聞かせてください！			おじいさんも、ありがとうございました！また漁の話を聞かせてください！			水晶患いの治療法							
どうやら「プロスペロイール」は、テンペストに生息しているようだ……。「ノルヴラント大陸斜面」で、釣ることができるかもしれない。			どうやら「プロスペロイール」は、テンペストに生息しているようだ……。「ノルヴラント大陸斜面」で、釣ることができるかもしれない。			水晶患いの治療法							
「プロスペロイール」を釣りに、海へでるなら、十分に気をつけるんだぞ。「光の氾濫」を生き延びた深海生物たちは、手強いからな。			「プロスペロイール」を釣りに、海へでるなら、十分に気をつけるんだぞ。「光の氾濫」を生き延びた深海生物たちは、手強いからな。			水晶患いの治療法							
話は聞いている、もう「プロスペロイール」が釣れたのか？「フリスリック」が待っているだろうから、さっそく渡してやってくれ。			話は聞いている、もう「プロスペロイール」が釣れたのか？「フリスリック」が待っているだろうから、さっそく渡してやってくれ。			水晶患いの治療法							
Forename、おかえりなさい！「プロスペロイール」は獲れた？			Forename、おかえりなさい！「プロスペロイール」は獲れた？			水晶患いの治療法							
うわあ！　立派なプロスペロイールだね！！丸々と太ってるし、栄養価も高そうだ……！さっそく調理して、ヒュリエルさんに食べてもらわないと！			うわあ！　立派なプロスペロイールだね！！丸々と太ってるし、栄養価も高そうだ……！さっそく調理して、ヒュリエルさんに食べてもらわないと！			水晶患いの治療法							
じゃあ俺が先にヒュリエルのところへ行って、料理が届くことを伝えてこよう。あの子の喜ぶ顔を見るのが、楽しみだ。			じゃあ俺が先にヒュリエルのところへ行って、料理が届くことを伝えてこよう。あの子の喜ぶ顔を見るのが、楽しみだ。			水晶患いの治療法							
調理のほうは僕にまかせて！栄養の吸収がいい調理法も調べたし、僕はこう見えて、けっこう料理できるんだよ。			調理のほうは僕にまかせて！栄養の吸収がいい調理法も調べたし、僕はこう見えて、けっこう料理できるんだよ。			水晶患いの治療法							
すぐに調理して、ヒュリエルさんのいる、「スパジャイリクス医療館」に向かうから、君も来てくれる？			すぐに調理して、ヒュリエルさんのいる、「スパジャイリクス医療館」に向かうから、君も来てくれる？			水晶患いの治療法							
少し前にフリスリックがふるまってくれたんだが……彼の料理の腕は、かなりのものだぞ。ヒュリエルにも早く食べてもらいたいもんだ。			少し前にフリスリックがふるまってくれたんだが……彼の料理の腕は、かなりのものだぞ。ヒュリエルにも早く食べてもらいたいもんだ。			水晶患いの治療法							
漁師さん、あなたのお話はいつもロブさんから聞いています。私の病気を治すために、魚を獲ってきてくださって……本当に、ありがとうございます。			漁師さん、あなたのお話はいつもロブさんから聞いています。私の病気を治すために、魚を獲ってきてくださって……本当に、ありがとうございます。			水晶患いの治療法							
さあ、さっそくヒュリエルさんに、プロスペロイールを食べてもらおう！			さあ、さっそくヒュリエルさんに、プロスペロイールを食べてもらおう！			水晶患いの治療法							
ヒュリエル、味はどうだった？			ヒュリエル、味はどうだった？			水晶患いの治療法							
ええ、とても美味しいお魚のソテーだったわ。本当に、これを食べると水晶患いが治るの？ちょっと信じられないけど……。			ええ、とても美味しいお魚のソテーだったわ。本当に、これを食べると水晶患いが治るの？ちょっと信じられないけど……。			水晶患いの治療法							
栄養価が高いので、味も濃厚に感じられるのかもしれませんね。これからも食べ続けていくことが、大事ですが……水晶患いも、きっと良くなるはずです……！			栄養価が高いので、味も濃厚に感じられるのかもしれませんね。これからも食べ続けていくことが、大事ですが……水晶患いも、きっと良くなるはずです……！			水晶患いの治療法							
そうなのね。いままでずっと、治らないって言われてたのに……すごいわ、ありがとう……！			そうなのね。いままでずっと、治らないって言われてたのに……すごいわ、ありがとう……！			水晶患いの治療法							
おい、お前らそこでなにをしてる！うちの娘に近づくんじゃねぇ！			おい、お前らそこでなにをしてる！うちの娘に近づくんじゃねぇ！			水晶患いの治療法							
ちょっとお父さん、そんな言い方はよしてよ。同じ漁業科の人たちなんでしょう？			ちょっとお父さん、そんな言い方はよしてよ。同じ漁業科の人たちなんでしょう？			水晶患いの治療法							
この人たち、水晶患いに効くって魚を、調理して持ってきてくれたのよ。			この人たち、水晶患いに効くって魚を、調理して持ってきてくれたのよ。			水晶患いの治療法							
なんだと？いままでどんなに高い薬を使っても治らなかったのに、そんなものがあるはずが……			なんだと？いままでどんなに高い薬を使っても治らなかったのに、そんなものがあるはずが……			水晶患いの治療法							
それが、あるんだ。かなり有効だと思われるものを、Forenameたちが、見つけてくれた。			それが、あるんだ。かなり有効だと思われるものを、Forenameたちが、見つけてくれた。			水晶患いの治療法							
博物陳列館には、水晶患いによく似た症状について、書かれた文献がありました。その病はどうやら、栄養の偏りによって発症するようです。			博物陳列館には、水晶患いによく似た症状について、書かれた文献がありました。その病はどうやら、栄養の偏りによって発症するようです。			水晶患いの治療法							
その対策に、いまでもユールモアでは、プロスペロイールを食べるのだと、教えてもらいました。コルシア島の漁師や、オンド族の古くからの知恵だとか。			その対策に、いまでもユールモアでは、プロスペロイールを食べるのだと、教えてもらいました。コルシア島の漁師や、オンド族の古くからの知恵だとか。			水晶患いの治療法							
そ、それで治るのか……？ほんとうに……？			そ、それで治るのか……？ほんとうに……？			水晶患いの治療法							
はい、クリスタリウムの食料事情を考えると、栄養が偏っていることは否めません。おそらく同じ病気なので、治るはずです。			はい、クリスタリウムの食料事情を考えると、栄養が偏っていることは否めません。おそらく同じ病気なので、治るはずです。			水晶患いの治療法							
これからも、プロスペロイールはたくさん必要になります。今回はForenameが獲ってくれましたが、ずっと彼女彼に頼るわけにはいかない。			これからも、プロスペロイールはたくさん必要になります。今回はForenameが獲ってくれましたが、ずっと彼女彼に頼るわけにはいかない。			水晶患いの治療法							
ヒュリエルさんだけじゃなくて、すべての水晶患いの患者さんを救うためには、自分たちで、この魚の漁法を確立していかないと……。			ヒュリエルさんだけじゃなくて、すべての水晶患いの患者さんを救うためには、自分たちで、この魚の漁法を確立していかないと……。			水晶患いの治療法							
だから、どうか協力してください。マーヴィルさんたちの力が、必要なんです。			だから、どうか協力してください。マーヴィルさんたちの力が、必要なんです。			水晶患いの治療法							
さんざんお前たちを蔑ろにした俺に、頭を……さげないでくれ……。ましてや、うちの娘の病気を治すために…………。			さんざんお前たちを蔑ろにした俺に、頭を……さげないでくれ……。ましてや、うちの娘の病気を治すために…………。			水晶患いの治療法							
クリスタリウムの人たちに栄養満点の魚を届けるのが、僕たち漁業科の使命だと思っています。そのためだったら僕は、なんでもしますよ。			クリスタリウムの人たちに栄養満点の魚を届けるのが、僕たち漁業科の使命だと思っています。そのためだったら僕は、なんでもしますよ。			水晶患いの治療法							
ううっ……すまない、恩に着る…………！ぜひ、ぜひ協力させてくれ……！			ううっ……すまない、恩に着る…………！ぜひ、ぜひ協力させてくれ……！			水晶患いの治療法							
ああ、ヒュリエル！本当に良かった……！お前が早く元気になるように、頑張らないとな……！			ああ、ヒュリエル！本当に良かった……！お前が早く元気になるように、頑張らないとな……！			水晶患いの治療法							
親子水入らずを、邪魔しちゃ悪いから……僕は先に、「ミーン工芸館」の漁業科へ戻ってるよ。君にも改めてお礼がしたいから、あとできて。			親子水入らずを、邪魔しちゃ悪いから……僕は先に、「ミーン工芸館」の漁業科へ戻ってるよ。君にも改めてお礼がしたいから、あとできて。			水晶患いの治療法							
お父さんったら……。			お父さんったら……。			水晶患いの治療法							
もう少しだけ、ヒュリエルのそばにいさせてくれ……。			もう少しだけ、ヒュリエルのそばにいさせてくれ……。			水晶患いの治療法							
今後は漁業科で協力しあいながら、プロスペロイールを獲れるように頑張らないとな……。			今後は漁業科で協力しあいながら、プロスペロイールを獲れるように頑張らないとな……。			水晶患いの治療法							
マーヴィルさんと和解できて……本当に良かった。ヒュリエルさんのことを気にかけてくれたロブさんや、プロスペロイールを獲ってきてくれた君のおかげだね。			マーヴィルさんと和解できて……本当に良かった。ヒュリエルさんのことを気にかけてくれたロブさんや、プロスペロイールを獲ってきてくれた君のおかげだね。			水晶患いの治療法							
これからは、クリスタリウムの人たちを、もっともっと元気にできるよ……！			これからは、クリスタリウムの人たちを、もっともっと元気にできるよ……！			水晶患いの治療法							
あれ、マーヴィルさん……！ヒュリエルさんのそばにいなくて、いいんですか……？			あれ、マーヴィルさん……！ヒュリエルさんのそばにいなくて、いいんですか……？			水晶患いの治療法							
あ、ああ……。俺がついてたって、病気が治るわけじゃねえし……			あ、ああ……。俺がついてたって、病気が治るわけじゃねえし……			水晶患いの治療法							
いままであんたらに迷惑かけた分、早く手伝ってやれと、ヒュリエルに医療館を追い出されちまったから……。			いままであんたらに迷惑かけた分、早く手伝ってやれと、ヒュリエルに医療館を追い出されちまったから……。			水晶患いの治療法							
あははっ、すごいな！ヒュリエルさんは、病気でも気丈な方なんですね。きっと、すぐに元気になりますよ！			あははっ、すごいな！ヒュリエルさんは、病気でも気丈な方なんですね。きっと、すぐに元気になりますよ！			水晶患いの治療法							
では、よければ……ロブさんのお手伝いをお願いできますか？			では、よければ……ロブさんのお手伝いをお願いできますか？			水晶患いの治療法							
お、おう！任せておけ！			お、おう！任せておけ！			水晶患いの治療法							
ロブさんやマーヴィルさん、ほかの漁師の人たちも、みんな手伝ってくれるようになるなんて……。今でも信じられないや……。			ロブさんやマーヴィルさん、ほかの漁師の人たちも、みんな手伝ってくれるようになるなんて……。今でも信じられないや……。			水晶患いの治療法							
僕ひとりじゃ、絶対にできなかった……。君が漁業科に来ていなかったら、とっくに心が挫けていただろうな……。			僕ひとりじゃ、絶対にできなかった……。君が漁業科に来ていなかったら、とっくに心が挫けていただろうな……。			水晶患いの治療法							
Forename、君には、いくら感謝してもしきれないよ。孤立していた僕を見捨てないでいてくれて、ありがとう。			Forename、君には、いくら感謝してもしきれないよ。孤立していた僕を見捨てないでいてくれて、ありがとう。			水晶患いの治療法							
ここは、僕は、もう大丈夫。君を待っている人は、いっぱいいるだろうから、次はその人たちを助けてあげてね。			ここは、僕は、もう大丈夫。君を待っている人は、いっぱいいるだろうから、次はその人たちを助けてあげてね。			水晶患いの治療法							
でも、用事がなくても、たまに君が顔を見せにきてくれたら嬉しいな！			でも、用事がなくても、たまに君が顔を見せにきてくれたら嬉しいな！			水晶患いの治療法							
漁業科一同、いつでも君を歓迎するよ。待ってるね！			漁業科一同、いつでも君を歓迎するよ。待ってるね！			水晶患いの治療法							
漁業科の貢献ランクが上昇しました！フリスリックはあなたの事を、「漁業科改善の立役者」と感じているようです！			漁業科の貢献ランクが上昇しました！フリスリックはあなたの事を、「漁業科改善の立役者」と感じているようです！			水晶患いの治療法							
また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			水晶患いの治療法							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			水晶患いの治療法							
メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			水晶患いの治療法							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			水晶患いの治療法							
「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			水晶患いの治療法							
