ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			幻魚術と訳あり鮮魚店							
「ヨカフイプレコ」なら、ハヌの水辺付近で、「ミツバチ」を餌にすれば釣れるはずだぁな。頼むぜ、Forename！			「ヨカフイプレコ」なら、ハヌの水辺付近で、「ミツバチ」を餌にすれば釣れるはずだぁな。頼むぜ、Forename！			幻魚術のためのカチコチ怪魚							
硬い魚の幻影を撃ち出せるようになったら、幻魚術しか使えない僕でも、集落のみんなの役に立てる可能性が広がる気がします。			硬い魚の幻影を撃ち出せるようになったら、幻魚術しか使えない僕でも、集落のみんなの役に立てる可能性が広がる気がします。			幻魚術のためのカチコチ怪魚							
魔物を狩るだけじゃなく、邪魔な岩を砕いたり、粘土を叩いてこねたりとか……！			魔物を狩るだけじゃなく、邪魔な岩を砕いたり、粘土を叩いてこねたりとか……！			幻魚術のためのカチコチ怪魚							
ふむ、ふむ、たまんねぇな！これこそ俺が故郷でよく見かけてた、「ヨカフイプレコ」だぜ！			ふむ、ふむ、たまんねぇな！これこそ俺が故郷でよく見かけてた、「ヨカフイプレコ」だぜ！			幻魚術のためのカチコチ怪魚							
なんと、なんと、おったまげた！こんなにでかくて硬い「ヨカフイプレコ」は、初めて見たぜ！			なんと、なんと、おったまげた！こんなにでかくて硬い「ヨカフイプレコ」は、初めて見たぜ！			幻魚術のためのカチコチ怪魚							
どうだ、どうだ、パシェニネ！Forenameが獲った「ヨカフイプレコ」は！			どうだ、どうだ、パシェニネ！Forenameが獲った「ヨカフイプレコ」は！			幻魚術のためのカチコチ怪魚							
故郷のオック・ハヌでも、「爪も嘴も通らない」って言われているほどの魚だ！			故郷のオック・ハヌでも、「爪も嘴も通らない」って言われているほどの魚だ！			幻魚術のためのカチコチ怪魚							
ええ、本当に岩のように硬い魚なんですね！捌くのにはノミがいりそうなので、さっそく用意して調理してきます！			ええ、本当に岩のように硬い魚なんですね！捌くのにはノミがいりそうなので、さっそく用意して調理してきます！			幻魚術のためのカチコチ怪魚							
お待たせしました！いただいた魚はどれも大きく身も詰まっていて、幻魚術の習得には十分すぎる量です。			お待たせしました！いただいた魚はどれも大きく身も詰まっていて、幻魚術の習得には十分すぎる量です。			幻魚術のためのカチコチ怪魚							
なので、内側のプリップリで柔らかい部分は、おふたりもよければ……！			なので、内側のプリップリで柔らかい部分は、おふたりもよければ……！			幻魚術のためのカチコチ怪魚							
どうです？　まるで獣肉のように味が濃いでしょう？しかも硬い外皮のおかげで、じっくり揚げ焼きにすると旨味を閉じ込められるんです。			どうです？　まるで獣肉のように味が濃いでしょう？しかも硬い外皮のおかげで、じっくり揚げ焼きにすると旨味を閉じ込められるんです。			幻魚術のためのカチコチ怪魚							
なるほど、なるほど、塩振って焼く以外にもいろいろあるんだなぁ。			なるほど、なるほど、塩振って焼く以外にもいろいろあるんだなぁ。			幻魚術のためのカチコチ怪魚							
(-？？？？-)へぇー、美味しそう！			(-？？？？-)へぇー、美味しそう！			幻魚術のためのカチコチ怪魚							
失礼、お買い物をしていたらいい匂いがして、つい。お話を聞くに、とっても美味しそうなお魚なんだけど、売ってもらえたりはするのかしら？			失礼、お買い物をしていたらいい匂いがして、つい。お話を聞くに、とっても美味しそうなお魚なんだけど、売ってもらえたりはするのかしら？			幻魚術のためのカチコチ怪魚							
うーん、これはパシェニネのために仕入れてもらって、こいつに売っちまったもんだからなぁ……。			うーん、これはパシェニネのために仕入れてもらって、こいつに売っちまったもんだからなぁ……。			幻魚術のためのカチコチ怪魚							
僕は十分な量をいただけましたし、調理前の魚も残っていますからお譲りしますよ！よければ、調理法もお教えしましょう。			僕は十分な量をいただけましたし、調理前の魚も残っていますからお譲りしますよ！よければ、調理法もお教えしましょう。			幻魚術のためのカチコチ怪魚							
いやはや、いやはや、ありがてぇもんだ。まさか本当に、お客から怪魚を求められるとは！			いやはや、いやはや、ありがてぇもんだ。まさか本当に、お客から怪魚を求められるとは！			幻魚術のためのカチコチ怪魚							
パシェニネにも頑張ってほしいし、俺も、怪魚の売り方をもっと学ばせてもらわねぇとな！			パシェニネにも頑張ってほしいし、俺も、怪魚の売り方をもっと学ばせてもらわねぇとな！			幻魚術のためのカチコチ怪魚							
Forename、引き続き、引き続き、どうかよろしく頼むぜ！			Forename、引き続き、引き続き、どうかよろしく頼むぜ！			幻魚術のためのカチコチ怪魚							
魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「頼れる怪魚ハンター」と感じているようです！			魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「頼れる怪魚ハンター」と感じているようです！			幻魚術のためのカチコチ怪魚							
「漁師」がレベル95以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から、次のクエストが受注可能です。			「漁師」がレベル95以上になると、ワチュメキメキ万貨街の「ドヌハヌ」から、次のクエストが受注可能です。			幻魚術のためのカチコチ怪魚							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「最強のトラルヴィドラール」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「最強のトラルヴィドラール」を完了する必要があります。			幻魚術のためのカチコチ怪魚							
ワチュメキメキ万貨街のドヌハヌは、意気揚々と魚を検討している。			ワチュメキメキ万貨街のドヌハヌは、意気揚々と魚を検討している。			幻魚術のための巨大怪魚							
パシェニネは試練のために、次は巨大な魚が必要らしい。「ピラルク・コォー」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「ピラルク・コォー」はオルコ・パチャのカーヴァーフー湖で、「ミツバチ」を釣り餌にすると釣ることができる。※納品は、収集価値「433」以上で可能となりますが、「1017」以上で納品した場合、より多くの報酬が得られます。			パシェニネは試練のために、次は巨大な魚が必要らしい。「ピラルク・コォー」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「ピラルク・コォー」はオルコ・パチャのカーヴァーフー湖で、「ミツバチ」を釣り餌にすると釣ることができる。※納品は、収集価値「433」以上で可能となりますが、「1017」以上で納品した場合、より多くの報酬が得られます。			幻魚術のための巨大怪魚							
ドヌハヌに「ピラルク・コォー」を納品した。いよいよ試練に挑むパシェニネを見守ろう。			ドヌハヌに「ピラルク・コォー」を納品した。いよいよ試練に挑むパシェニネを見守ろう。			幻魚術のための巨大怪魚							
カーヴァーフー湖で釣りあげたピラルク・コォーをドヌハヌに納品			カーヴァーフー湖で釣りあげたピラルク・コォーをドヌハヌに納品			幻魚術のための巨大怪魚							
いらっしゃいませー！……って、Forenameさんでしたか！			いらっしゃいませー！……って、Forenameさんでしたか！			幻魚術のための巨大怪魚							
「魚道楽ドヌハヌ」にお世話になってるので、店番くらいはお手伝いできるように、挨拶を心がけてて……！			「魚道楽ドヌハヌ」にお世話になってるので、店番くらいはお手伝いできるように、挨拶を心がけてて……！			幻魚術のための巨大怪魚							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「最強のトラルヴィドラール」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「最強のトラルヴィドラール」を完了する必要があります。			幻魚術のための巨大怪魚							
来たな、来たな、Forename！お前さんに聞いてほしいことがあってよ！			来たな、来たな、Forename！お前さんに聞いてほしいことがあってよ！			幻魚術のための巨大怪魚							
なんと、店の売れ行きが伸びてるんだ！どうやら、この前ヨカフイプレコを買ってくれたお客が、怪魚が美味しいって噂を、広めてくれたみたいでよ！			なんと、店の売れ行きが伸びてるんだ！どうやら、この前ヨカフイプレコを買ってくれたお客が、怪魚が美味しいって噂を、広めてくれたみたいでよ！			幻魚術のための巨大怪魚							
おふたりのおかげで順調に「幻魚術」を習得できていますし、お店の繁盛にも貢献できているなら、僕も嬉しいです。			おふたりのおかげで順調に「幻魚術」を習得できていますし、お店の繁盛にも貢献できているなら、僕も嬉しいです。			幻魚術のための巨大怪魚							
一人前のワラキ族として認められることは僕個人の夢ですが、その過程で学んだ調理法が、思わぬことで役立てるなんて！			一人前のワラキ族として認められることは僕個人の夢ですが、その過程で学んだ調理法が、思わぬことで役立てるなんて！			幻魚術のための巨大怪魚							
それで、それで、お前さんは次にどんな魚がほしい？試練のためにはまだまだ必要なんだろ？			それで、それで、お前さんは次にどんな魚がほしい？試練のためにはまだまだ必要なんだろ？			幻魚術のための巨大怪魚							
はい、「怪力自慢の巨大鰐(ワニ)」にも力負けしないような、とびきり大きな体の魚がほしいです！			はい、「怪力自慢の巨大鰐(ワニ)」にも力負けしないような、とびきり大きな体の魚がほしいです！			幻魚術のための巨大怪魚							
そこの魚みたいな！			そこの魚みたいな！			幻魚術のための巨大怪魚							
なるほど、なるほど、「ピラルク・コォー」かぁ。いいところに目をつけてるじゃねぇか！			なるほど、なるほど、「ピラルク・コォー」かぁ。いいところに目をつけてるじゃねぇか！			幻魚術のための巨大怪魚							
こいつは、オルコ・パチャに生息していてな。巨大な体躯とそこから繰り出されるパワーは尋常じゃない。			こいつは、オルコ・パチャに生息していてな。巨大な体躯とそこから繰り出されるパワーは尋常じゃない。			幻魚術のための巨大怪魚							
小柄なペルペル族たちの間では、強すぎる引きがあったら、竿を捨てろって言われるくらいだ。釣り人の方が引きずり込まれちまうからな。			小柄なペルペル族たちの間では、強すぎる引きがあったら、竿を捨てろって言われるくらいだ。釣り人の方が引きずり込まれちまうからな。			幻魚術のための巨大怪魚							
デカくて食いでがあるから、怪魚の中では買い手がつくほうだ。しかし、しかし、生け簀にいるこいつは商品じゃねぇから、パシェニネにはもっと立派なやつを売ってやりてぇなぁ。			デカくて食いでがあるから、怪魚の中では買い手がつくほうだ。しかし、しかし、生け簀にいるこいつは商品じゃねぇから、パシェニネにはもっと立派なやつを売ってやりてぇなぁ。			幻魚術のための巨大怪魚							
こいつを納品してくれた漁師によれば、たしかカーヴァーフー湖周辺で、「ミツバチ」を使えば釣れるらしい。			こいつを納品してくれた漁師によれば、たしかカーヴァーフー湖周辺で、「ミツバチ」を使えば釣れるらしい。			幻魚術のための巨大怪魚							
Forename、お前さんの腕を信じてるぜ。とにかく、とにかく、デカくてパワー自慢の、「ピラルク・コォー」を釣りあげてくれ！			Forename、お前さんの腕を信じてるぜ。とにかく、とにかく、デカくてパワー自慢の、「ピラルク・コォー」を釣りあげてくれ！			幻魚術のための巨大怪魚							
いやはや、いやはや、デッカい魚ってロマンだよなぁ！「ピラルク・コォー」を釣るときは、カーヴァーフー湖周辺で「ミツバチ」を使うといいぞ！			いやはや、いやはや、デッカい魚ってロマンだよなぁ！「ピラルク・コォー」を釣るときは、カーヴァーフー湖周辺で「ミツバチ」を使うといいぞ！			幻魚術のための巨大怪魚							
生け簀に入ってる魚は売り物じゃなくて、鮮魚店としての看板代わりに、ドヌハヌさんが飼っているんだって聞きました！			生け簀に入ってる魚は売り物じゃなくて、鮮魚店としての看板代わりに、ドヌハヌさんが飼っているんだって聞きました！			幻魚術のための巨大怪魚							
おぉー！　いいじゃねぇか！そうそう、「ピラルク・コォー」ってのは、これくらいデカくないと迫力が出ないぜ！			おぉー！　いいじゃねぇか！そうそう、「ピラルク・コォー」ってのは、これくらいデカくないと迫力が出ないぜ！			幻魚術のための巨大怪魚							
かぁー！　最高だなぁ！こんなに迫力ある「ピラルク・コォー」に、お目にかかれる日が来るとはよ！			かぁー！　最高だなぁ！こんなに迫力ある「ピラルク・コォー」に、お目にかかれる日が来るとはよ！			幻魚術のための巨大怪魚							
あまりに、あまりに、獲ってきてくれた魚が立派で驚いてるが、それよりも……			あまりに、あまりに、獲ってきてくれた魚が立派で驚いてるが、それよりも……			幻魚術のための巨大怪魚							
お前さん、この量を全部食うのか……？			お前さん、この量を全部食うのか……？			幻魚術のための巨大怪魚							
はい……！僕にとっては、魚を食べきることも修行のひとつです。			はい……！僕にとっては、魚を食べきることも修行のひとつです。			幻魚術のための巨大怪魚							
幻魚術の習得のためには、魚を余すところなく、食べる必要がありますからね。特に、この魚は大きいことこそが特性ですし。			幻魚術の習得のためには、魚を余すところなく、食べる必要がありますからね。特に、この魚は大きいことこそが特性ですし。			幻魚術のための巨大怪魚							
この種の魚は淡白な味のようですから、香草をまぶしたりソースをかけたり、味を変えて食べられますね。特に頭の部分は脂が乗ってるから、美味しそうです！			この種の魚は淡白な味のようですから、香草をまぶしたりソースをかけたり、味を変えて食べられますね。特に頭の部分は脂が乗ってるから、美味しそうです！			幻魚術のための巨大怪魚							
はぁー……すげぇなぁ。お前さんの「幻魚術」への熱意と、調理法へのこだわりは、本当に強いもんだな……。			はぁー……すげぇなぁ。お前さんの「幻魚術」への熱意と、調理法へのこだわりは、本当に強いもんだな……。			幻魚術のための巨大怪魚							
じゃあ、その前向きな姿勢を見習って……俺も店で売るときには、飽きずに食える調理法を、客に紹介させてもらうぜ！			じゃあ、その前向きな姿勢を見習って……俺も店で売るときには、飽きずに食える調理法を、客に紹介させてもらうぜ！			幻魚術のための巨大怪魚							
ペルペル族たちにとっても、ただ危ねぇ魚ってだけじゃなく、食いでのある美味い魚でもあるって思ってもらいてぇしよ。			ペルペル族たちにとっても、ただ危ねぇ魚ってだけじゃなく、食いでのある美味い魚でもあるって思ってもらいてぇしよ。			幻魚術のための巨大怪魚							
はい、美味しくいただくことも、命への礼だと思ってます。			はい、美味しくいただくことも、命への礼だと思ってます。			幻魚術のための巨大怪魚							
捌くのにも食べるのにも時間がかかりそうなので、調理場をしばらくお借りしないと……！			捌くのにも食べるのにも時間がかかりそうなので、調理場をしばらくお借りしないと……！			幻魚術のための巨大怪魚							
そしてこの魚を食べきったら、いよいよ試練の狩りに挑もうと思います！			そしてこの魚を食べきったら、いよいよ試練の狩りに挑もうと思います！			幻魚術のための巨大怪魚							
魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「ビッグな怪魚ハンター」と感じているようです！			魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「ビッグな怪魚ハンター」と感じているようです！			幻魚術のための巨大怪魚							
また、「ドヌハヌ」から受注可能な、万貨街取引のストーリークエストが発行されました！			また、「ドヌハヌ」から受注可能な、万貨街取引のストーリークエストが発行されました！			幻魚術のための巨大怪魚							
このストーリークエストを進行するためには、「メインクエスト：黄金のレガシー」の、「友の試練」を完了する必要があります。			このストーリークエストを進行するためには、「メインクエスト：黄金のレガシー」の、「友の試練」を完了する必要があります。			幻魚術のための巨大怪魚							
ワチュメキメキ万貨街のドヌハヌは、パシェニネを温かい目で見ている。			ワチュメキメキ万貨街のドヌハヌは、パシェニネを温かい目で見ている。			幻魚術の成果							
パシェニネは、試練に挑むべくコザマル・カへと向かった。コザマル・カのウユー・ウブ付近の「指定地点」で待機しよう。			パシェニネは、試練に挑むべくコザマル・カへと向かった。コザマル・カのウユー・ウブ付近の「指定地点」で待機しよう。			幻魚術の成果							
パシェニネは、試練の成果を見せてくれた。最後の試練に挑むために魚を獲ろうと勇む「ドヌハヌ」を、ヤクテル樹海のジャティーカ央森で探そう。			パシェニネは、試練の成果を見せてくれた。最後の試練に挑むために魚を獲ろうと勇む「ドヌハヌ」を、ヤクテル樹海のジャティーカ央森で探そう。			幻魚術の成果							
ドヌハヌは怪魚に挑み、怪我をしてしまった。彼の代わりに「セノーテシャーク」を捕獲してドヌハヌへ納品しよう。「セノーテシャーク」はヤクテル樹海の辛水のセノーテで、「ミツバチ」を釣り餌にすると釣ることができる。			ドヌハヌは怪魚に挑み、怪我をしてしまった。彼の代わりに「セノーテシャーク」を捕獲してドヌハヌへ納品しよう。「セノーテシャーク」はヤクテル樹海の辛水のセノーテで、「ミツバチ」を釣り餌にすると釣ることができる。			幻魚術の成果							
ドヌハヌに「セノーテシャーク」を渡した。トライヨラのワチュメキメキ万貨街へと戻り、「ドヌハヌ」と話そう。			ドヌハヌに「セノーテシャーク」を渡した。トライヨラのワチュメキメキ万貨街へと戻り、「ドヌハヌ」と話そう。			幻魚術の成果							
ドヌハヌと話した。セノーテシャークを習得し、最後の試練に挑むというパシェニネの行く末を見守ろう。			ドヌハヌと話した。セノーテシャークを習得し、最後の試練に挑むというパシェニネの行く末を見守ろう。			幻魚術の成果							
ウユー・ウブの指定地点で待機			ウユー・ウブの指定地点で待機			幻魚術の成果							
辛水のセノーテ付近でドヌハヌを探す			辛水のセノーテ付近でドヌハヌを探す			幻魚術の成果							
辛水のセノーテ付近でセノーテシャークを釣る辛水のセノーテ付近のドヌハヌにセノーテシャークを納品			辛水のセノーテ付近でセノーテシャークを釣る辛水のセノーテ付近のドヌハヌにセノーテシャークを納品			幻魚術の成果							
トライヨラのドヌハヌと話す			トライヨラのドヌハヌと話す			幻魚術の成果							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「友の試練」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「友の試練」を完了する必要があります。			幻魚術の成果							
ピラルク・コォー、ごちそうさまでした……！さすがにお腹がいっぱいです……！			ピラルク・コォー、ごちそうさまでした……！さすがにお腹がいっぱいです……！			幻魚術の成果							
さて、ピラルク・コォーも食べ終わったことだし、そろそろ試練へ向かうのか？			さて、ピラルク・コォーも食べ終わったことだし、そろそろ試練へ向かうのか？			幻魚術の成果							
はい、魔物と対峙するのは緊張しますが……一人前のワラキ族として認められるために、試練へ挑みます！			はい、魔物と対峙するのは緊張しますが……一人前のワラキ族として認められるために、試練へ挑みます！			幻魚術の成果							
ドヌハヌさんの怪魚の知識と、Forenameさんの技術のおかげで……たくさんの魚を出せるようになりましたから！			ドヌハヌさんの怪魚の知識と、Forenameさんの技術のおかげで……たくさんの魚を出せるようになりましたから！			幻魚術の成果							
試練には同胞を呼んで証人となってもらう予定ですが、お世話になったおふたりには別途、僕の「幻魚術」の成果を見てほしいんです。			試練には同胞を呼んで証人となってもらう予定ですが、お世話になったおふたりには別途、僕の「幻魚術」の成果を見てほしいんです。			幻魚術の成果							
とはいえ、3箇所の狩場をまわらなくてはいけませんから……すべての試練が終わったら、その証明に倒した魔物を運びます！			とはいえ、3箇所の狩場をまわらなくてはいけませんから……すべての試練が終わったら、その証明に倒した魔物を運びます！			幻魚術の成果							
なのでよければ、コザマル・カの「ウユー・ウブ」で、待っていてもらえませんか？			なのでよければ、コザマル・カの「ウユー・ウブ」で、待っていてもらえませんか？			幻魚術の成果							
もちろん、もちろん、行かせてもらおう。とはいえ、店を一時的に閉めなくちゃならんから、Forename、お前さんは先に向かっててくれな。			もちろん、もちろん、行かせてもらおう。とはいえ、店を一時的に閉めなくちゃならんから、Forename、お前さんは先に向かっててくれな。			幻魚術の成果							
お前さんは「ウユー・ウブ」へ、先に向かっててくれな。			お前さんは「ウユー・ウブ」へ、先に向かっててくれな。			幻魚術の成果							
パシェニネはまだみたいだな。			パシェニネはまだみたいだな。			幻魚術の成果							
しかし、しかし、そうだよなぁ。いくつもの魔物を狩らなくちゃいけないんだから、時間もかかるわなぁ……。			しかし、しかし、そうだよなぁ。いくつもの魔物を狩らなくちゃいけないんだから、時間もかかるわなぁ……。			幻魚術の成果							
お待たせしました！			お待たせしました！			幻魚術の成果							
大蛙はキングパファーで、大亀はヨカフイプレコで、そして巨大鰐はピラルク・コォーで仕留めました！			大蛙はキングパファーで、大亀はヨカフイプレコで、そして巨大鰐はピラルク・コォーで仕留めました！			幻魚術の成果							
同胞にも、証人になってもらいました。試練として立ちはだかってくれた魔物たちの亡骸は、集落で丁重に弔うのがならわしなんです。			同胞にも、証人になってもらいました。試練として立ちはだかってくれた魔物たちの亡骸は、集落で丁重に弔うのがならわしなんです。			幻魚術の成果							
ということは……いよいよ、いよいよ、お前さんは故郷へ帰るのか？			ということは……いよいよ、いよいよ、お前さんは故郷へ帰るのか？			幻魚術の成果							
いいえ、これだけではまだ、一人前のワラキ族としては認められないでしょう。			いいえ、これだけではまだ、一人前のワラキ族としては認められないでしょう。			幻魚術の成果							
今回、僕に与えられた試練の中でも最強の存在、「獣に擬態した巨大肉食樹」を狩らないと！			今回、僕に与えられた試練の中でも最強の存在、「獣に擬態した巨大肉食樹」を狩らないと！			幻魚術の成果							
でも、今まで戦った魔物とは、比べ物にならない強さと聞いています……。			でも、今まで戦った魔物とは、比べ物にならない強さと聞いています……。			幻魚術の成果							
「幻魚術」しか扱えない僕が、本当に倒すことができるのか……。			「幻魚術」しか扱えない僕が、本当に倒すことができるのか……。			幻魚術の成果							
くよくよするんじゃねぇ！			くよくよするんじゃねぇ！			幻魚術の成果							
ワラキ族が使う魔法のことは、てんでわからねぇが、お前さんが自分にできることを頑張ってるのは、よく知ってる！そんなに、不安ならもっと強い魚を準備してやる！			ワラキ族が使う魔法のことは、てんでわからねぇが、お前さんが自分にできることを頑張ってるのは、よく知ってる！そんなに、不安ならもっと強い魚を準備してやる！			幻魚術の成果							
ヤクテル樹海のジャティーカ央森のセノーテに、本来いるはずがない、やばい魚が迷い込んでるらしい。最近、シュバラール族の商人からそう聞いたところだしよ！			ヤクテル樹海のジャティーカ央森のセノーテに、本来いるはずがない、やばい魚が迷い込んでるらしい。最近、シュバラール族の商人からそう聞いたところだしよ！			幻魚術の成果							
実は、実は、俺だって、漁師をやっていたこともあるんだぜ。一匹くらい、お前さんを頼らずに釣ってみせてやるよ！			実は、実は、俺だって、漁師をやっていたこともあるんだぜ。一匹くらい、お前さんを頼らずに釣ってみせてやるよ！			幻魚術の成果							
えっ、でもやばい魚なんて危ないんじゃ……！ええと、どうしよ……！			えっ、でもやばい魚なんて危ないんじゃ……！ええと、どうしよ……！			幻魚術の成果							
すみません、僕はドヌハヌさんを追いかけます！			すみません、僕はドヌハヌさんを追いかけます！			幻魚術の成果							
パシェニネは確かに魔法の習得が不得手ですが、幻魚術だけで試練を乗り越えようとする、気概のある子です。			パシェニネは確かに魔法の習得が不得手ですが、幻魚術だけで試練を乗り越えようとする、気概のある子です。			幻魚術の成果							
一時は自分を恥じていたこともあったようですが……自信がついてきたように見えるのはきっと、貴方たちのおかげですね。			一時は自分を恥じていたこともあったようですが……自信がついてきたように見えるのはきっと、貴方たちのおかげですね。			幻魚術の成果							
ここにある亡骸は、私にお任せください。ヤクテル樹海の「ジャティーカ央森」へ向かうと言っていたので、どうか、貴方にはふたりを追いかけていただきたく。			ここにある亡骸は、私にお任せください。ヤクテル樹海の「ジャティーカ央森」へ向かうと言っていたので、どうか、貴方にはふたりを追いかけていただきたく。			幻魚術の成果							
魔物たちは、私が自分たちの集落に持ち帰ります。パシェニネには、帰ってきたあとに弔いをしてもらいましょう。			魔物たちは、私が自分たちの集落に持ち帰ります。パシェニネには、帰ってきたあとに弔いをしてもらいましょう。			幻魚術の成果							
貴方はふたりを追いかけてください。向かったのはヤクテル樹海の「ジャティーカ央森」でしたよね？			貴方はふたりを追いかけてください。向かったのはヤクテル樹海の「ジャティーカ央森」でしたよね？			幻魚術の成果							
ドヌハヌさん、大丈夫ですか！？			ドヌハヌさん、大丈夫ですか！？			幻魚術の成果							
うー、いてて……。すまんな、来てもらって。			うー、いてて……。すまんな、来てもらって。			幻魚術の成果							
情けねぇ、情けねぇ、引きに負けて、釣り糸が切れた反動でひっくり返っちまってな。			情けねぇ、情けねぇ、引きに負けて、釣り糸が切れた反動でひっくり返っちまってな。			幻魚術の成果							
だが、だが、竿にかかったのは、間違いなく「セノーテシャーク」だ。本来は海にいる魚だが、地下水脈を辿ってきちまったんだろう。			だが、だが、竿にかかったのは、間違いなく「セノーテシャーク」だ。本来は海にいる魚だが、地下水脈を辿ってきちまったんだろう。			幻魚術の成果							
気も立ってるみてぇだったし、野放しにはしておけねぇ。ここらのやつのためにも、パシェニネのためにも、Forename、どうか釣りあげてくれ……！			気も立ってるみてぇだったし、野放しにはしておけねぇ。ここらのやつのためにも、パシェニネのためにも、Forename、どうか釣りあげてくれ……！			幻魚術の成果							
「セノーテシャーク」は、まだこの「辛水のセノーテ」に居座っているに違いない……！「ミツバチ」に食いつくはずだから、頼む……！			「セノーテシャーク」は、まだこの「辛水のセノーテ」に居座っているに違いない……！「ミツバチ」に食いつくはずだから、頼む……！			幻魚術の成果							
ドヌハヌさんの付き添いと治療は任せてください。もとはと言えば、僕のせいですから……！			ドヌハヌさんの付き添いと治療は任せてください。もとはと言えば、僕のせいですから……！			幻魚術の成果							
「セノーテシャーク」は、まだこの辛水のセノーテに居座っているに違いない……！「ミツバチ」に食いつくはずだから、頼む……！			「セノーテシャーク」は、まだこの辛水のセノーテに居座っているに違いない……！「ミツバチ」に食いつくはずだから、頼む……！			幻魚術の成果							
Forename、戻ってきたか！どうだった……！？			Forename、戻ってきたか！どうだった……！？			幻魚術の成果							
俺の竿にかかったときも、尋常じゃない引きだったが……まさか、まさか、こんな大物だったか！			俺の竿にかかったときも、尋常じゃない引きだったが……まさか、まさか、こんな大物だったか！			幻魚術の成果							
それを本当に釣りあげちまうとは……。さすが、Forenameだな！			それを本当に釣りあげちまうとは……。さすが、Forenameだな！			幻魚術の成果							
Forenameさん、ドヌハヌさん……！こんなにすごい魚を、本当にありがとうございます……！			Forenameさん、ドヌハヌさん……！こんなにすごい魚を、本当にありがとうございます……！			幻魚術の成果							
ああ、本来は外洋にいて、狙って釣るのも難しい大魚だが……こいつならきっと役に立ってくれるだろうさ。			ああ、本来は外洋にいて、狙って釣るのも難しい大魚だが……こいつならきっと役に立ってくれるだろうさ。			幻魚術の成果							
ひとまず、ひとまず、魚を持ってワチュメキメキ万貨街の、うちの店へ戻ろうや。パシェニネが看てくれたとはいえ、まだ本調子じゃねぇしよ。			ひとまず、ひとまず、魚を持ってワチュメキメキ万貨街の、うちの店へ戻ろうや。パシェニネが看てくれたとはいえ、まだ本調子じゃねぇしよ。			幻魚術の成果							
あんなに大きな魚を釣りあげられるなんて……！いつもは釣ったものを持ってきていただくばかりですが、あなたの釣り技術のすごさを、改めて目の当たりにしました！			あんなに大きな魚を釣りあげられるなんて……！いつもは釣ったものを持ってきていただくばかりですが、あなたの釣り技術のすごさを、改めて目の当たりにしました！			幻魚術の成果							
やっと、やっと、戻ってこられたぜ。でもこれで、またパシェニネが試練に挑めるだろ。			やっと、やっと、戻ってこられたぜ。でもこれで、またパシェニネが試練に挑めるだろ。			幻魚術の成果							
海で暮らし、狩りをするセノーテシャークは、巨体とスピードを両立させるしなやかな身体を持ってる。お前さんの力強い味方になるはずだ。			海で暮らし、狩りをするセノーテシャークは、巨体とスピードを両立させるしなやかな身体を持ってる。お前さんの力強い味方になるはずだ。			幻魚術の成果							
ただ、臭みが出やすいから、さっさと食っちまって、「獣に擬態した巨大肉食樹」とやらに挑むのがいいんじゃないか？			ただ、臭みが出やすいから、さっさと食っちまって、「獣に擬態した巨大肉食樹」とやらに挑むのがいいんじゃないか？			幻魚術の成果							
ありがたい申し出ですが、ひとつだけ……。試練に向かう前にどうしても、ドヌハヌさんに聞いてみたかったことがあるんです。			ありがたい申し出ですが、ひとつだけ……。試練に向かう前にどうしても、ドヌハヌさんに聞いてみたかったことがあるんです。			幻魚術の成果							
このお店は、いろんな特性をもった怪魚を扱ってくれている、僕にとっては、願ったり叶ったりなお店です。			このお店は、いろんな特性をもった怪魚を扱ってくれている、僕にとっては、願ったり叶ったりなお店です。			幻魚術の成果							
それだけでもありがたいのに、どうして、怪我をするまで……こんなにも、よくしてくれるんですか？			それだけでもありがたいのに、どうして、怪我をするまで……こんなにも、よくしてくれるんですか？			幻魚術の成果							
そいつは、そいつは、答えるのが小っ恥ずかしい質問だなぁ。Forenameには少し話したが……			そいつは、そいつは、答えるのが小っ恥ずかしい質問だなぁ。Forenameには少し話したが……			幻魚術の成果							
