ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
オメガの状態はわからないが、お前は戦いに備えておいてくれ。……行けそうか？			オメガの状態はわからないが、お前は戦いに備えておいてくれ。……行けそうか？			オメガの消息							
では、行くぞ……！大穴に飛び込んで、オメガの潜伏先を調査する！			では、行くぞ……！大穴に飛び込んで、オメガの潜伏先を調査する！			オメガの消息							
こ、ここはどこッス？オイラたち、あの大穴に突入したはずッス！？			こ、ここはどこッス？オイラたち、あの大穴に突入したはずッス！？			オメガの消息							
体も、透けちまってるぞ……！何が起きてるってんだ！			体も、透けちまってるぞ……！何が起きてるってんだ！			オメガの消息							
(-？？？？-)おかえりなさい、アルファ。そしてようこそ、ヒトのみなさん。			(-？？？？-)おかえりなさい、アルファ。そしてようこそ、ヒトのみなさん。			オメガの消息							
歓迎……アナタがたの到来を、待望していました。紹介……ワタシは、オメガ。端末「レベルチェッカー」を介して、交信を試みています。			歓迎……アナタがたの到来を、待望していました。紹介……ワタシは、オメガ。端末「レベルチェッカー」を介して、交信を試みています。			オメガの消息							
この場所、ワタシの領域「次元の狭間」では、現在、重大な検証が行われています。			この場所、ワタシの領域「次元の狭間」では、現在、重大な検証が行われています。			オメガの消息							
アナタがたも、すみやかに参加してください。ガガ……エントリーしますか？ガガガ…………エントリーしますか？			アナタがたも、すみやかに参加してください。ガガ……エントリーしますか？ガガガ…………エントリーしますか？			オメガの消息							
検証、だと？詳細も目的も聞かずに、参加できるわけがあるか……！			検証、だと？詳細も目的も聞かずに、参加できるわけがあるか……！			オメガの消息							
うわわわ！？体がどんどん透明になってくッスー！			うわわわ！？体がどんどん透明になってくッスー！			オメガの消息							
エントリーを、しなさい。しないのであれば、存在を容認できません。繰り返します、エントリーを……エントリーを…………。			エントリーを、しなさい。しないのであれば、存在を容認できません。繰り返します、エントリーを……エントリーを…………。			オメガの消息							
おい、マズいぜ……！この空間じゃ、ただ「居る」ことすら、オメガの許可なしでは成立しないらしい……！			おい、マズいぜ……！この空間じゃ、ただ「居る」ことすら、オメガの許可なしでは成立しないらしい……！			オメガの消息							
存在の格が違いすぎる！もたもたしてると、本気で消去されンぞッ！			存在の格が違いすぎる！もたもたしてると、本気で消去されンぞッ！			オメガの消息							
なんと答える？			なんと答える？			オメガの消息							
検証でもなんでも、やってやる！			検証でもなんでも、やってやる！			オメガの消息							
チョコボ、打つ手はない！？			チョコボ、打つ手はない！？			オメガの消息							
承諾……参加の意思を受けとります。彼らを、アルファグループに仮エントリーしましょう。			承諾……参加の意思を受けとります。彼らを、アルファグループに仮エントリーしましょう。			オメガの消息							
あれはなんだ……？塔……いや、卵か…………？			あれはなんだ……？塔……いや、卵か…………？			オメガの消息							
改めまして、「次元の狭間」のロビーへようこそ。ワタシは、ここで「最高の強者」を選別するために、実戦を用いた検証を行っています。			改めまして、「次元の狭間」のロビーへようこそ。ワタシは、ここで「最高の強者」を選別するために、実戦を用いた検証を行っています。			オメガの消息							
対象……ワタシが選出し、再現した、89体の疑似生命。彼らを棲息時空ごとにグループ化し、戦闘力の見込値に従ってマッチング、強弱を確定させています。			対象……ワタシが選出し、再現した、89体の疑似生命。彼らを棲息時空ごとにグループ化し、戦闘力の見込値に従ってマッチング、強弱を確定させています。			オメガの消息							
アナタがたが、チョコボと認識したその個体……正式名「アルファ」も、被検体のうち。そのグループの構成員に、アナタがたをエントリーしました。			アナタがたが、チョコボと認識したその個体……正式名「アルファ」も、被検体のうち。そのグループの構成員に、アナタがたをエントリーしました。			オメガの消息							
しかし、現在は仮エントリーの状態。正式な検証参加者とすべきか判断するため、これより、アナタがたの戦闘力を調査します。			しかし、現在は仮エントリーの状態。正式な検証参加者とすべきか判断するため、これより、アナタがたの戦闘力を調査します。			オメガの消息							
戦闘力の調査……つまり、戦えと言いたいのか？			戦闘力の調査……つまり、戦えと言いたいのか？			オメガの消息							
肯定……この先にいくつかの模擬戦を用意します。それらを乗り越え、ゴール地点……被検世界「デルタ」を目指してください。			肯定……この先にいくつかの模擬戦を用意します。それらを乗り越え、ゴール地点……被検世界「デルタ」を目指してください。			オメガの消息							
ただし、「次元の狭間」で物事に干渉できるのは、ワタシから権利を付与された個体だけ……。			ただし、「次元の狭間」で物事に干渉できるのは、ワタシから権利を付与された個体だけ……。			オメガの消息							
現在、アルファグループにおいては、当初より検証に参加していたアルファ本人にのみ、干渉の権利が与えられています。			現在、アルファグループにおいては、当初より検証に参加していたアルファ本人にのみ、干渉の権利が与えられています。			オメガの消息							
ゆえに、アルファから一時的に権利の譲渡を受けたのち、戦闘行為を開始してください。ガガガ……ガガガガ…………。			ゆえに、アルファから一時的に権利の譲渡を受けたのち、戦闘行為を開始してください。ガガガ……ガガガガ…………。			オメガの消息							
クク……こいつはトンデモ展開だ！さすがのオレも、予想だにしていなかった！			クク……こいつはトンデモ展開だ！さすがのオレも、予想だにしていなかった！			オメガの消息							
……が、ほかでもないオメガ自身のご招待なンだぜ？成果も得ずに逃げ帰るなんて、できないよなぁ……？			……が、ほかでもないオメガ自身のご招待なンだぜ？成果も得ずに逃げ帰るなんて、できないよなぁ……？			オメガの消息							
チョコボ……いや、名前はアルファか。俺たちは調査を進めるため、検証とやらに乗っかろう。物事に干渉する権利というのを、貸してもらえるか？			チョコボ……いや、名前はアルファか。俺たちは調査を進めるため、検証とやらに乗っかろう。物事に干渉する権利というのを、貸してもらえるか？			オメガの消息							
ガガ……権利の譲渡を確認……戦闘準備完了。これより、レベルチェッカーに進行を委任します。それでは、スタートしてください。			ガガ……権利の譲渡を確認……戦闘準備完了。これより、レベルチェッカーに進行を委任します。それでは、スタートしてください。			オメガの消息							
「次元の狭間」の調査、おつかれさまです！大穴の中に降りますか？			「次元の狭間」の調査、おつかれさまです！大穴の中に降りますか？			オメガの消息							
「次元の狭間」に移動しますか？			「次元の狭間」に移動しますか？			オメガの消息							
あれが指定されたゴール地点……被検世界「デルタ」とやらで間違いないようだな。……どう見る、ネロ。			あれが指定されたゴール地点……被検世界「デルタ」とやらで間違いないようだな。……どう見る、ネロ。			オメガの消息							
……オメガは、「最高の強者」となりうる被検者を、棲息時空ごとにグループ化したとか言ってやがったな。			……オメガは、「最高の強者」となりうる被検者を、棲息時空ごとにグループ化したとか言ってやがったな。			オメガの消息							
ここに至る道中で戦ったのを、計測用の雑魚とすれば……あの卵らしき物体の中に、本命である、いずれかの被検者グループがいる……ってのが妥当じゃないか？			ここに至る道中で戦ったのを、計測用の雑魚とすれば……あの卵らしき物体の中に、本命である、いずれかの被検者グループがいる……ってのが妥当じゃないか？			オメガの消息							
それにしても、表面に映ってるのはなんだ……城か……？あの城にまつわる被検者が、中に格納されている……？			それにしても、表面に映ってるのはなんだ……城か……？あの城にまつわる被検者が、中に格納されている……？			オメガの消息							
クエーッ！			クエーッ！			オメガの消息							
アルファ！あれっ、オイラたち、まだ権利を返してないはずッス？なんでどっちも透けてないッス？			アルファ！あれっ、オイラたち、まだ権利を返してないはずッス？なんでどっちも透けてないッス？			オメガの消息							
(-オメガ-)ガガガ……。対象の被検世界「デルタ」への到達を確認。戦闘力の計測……完了。			(-オメガ-)ガガガ……。対象の被検世界「デルタ」への到達を確認。戦闘力の計測……完了。			オメガの消息							
(-オメガ-)おめでとうございます、アナタがたは合格です。確実に、明確に、オメガから最も遠いもの……「アルファ」にふさわしい弱さだと証明されました。			(-オメガ-)おめでとうございます、アナタがたは合格です。確実に、明確に、オメガから最も遠いもの……「アルファ」にふさわしい弱さだと証明されました。			オメガの消息							
(-オメガ-)ウエルカム、最弱の挑戦者たち。アナタがたの正式エントリーを認めましょう。			(-オメガ-)ウエルカム、最弱の挑戦者たち。アナタがたの正式エントリーを認めましょう。			オメガの消息							
(-オメガ-)すでに確固たる生命として実体をもつアナタがたは、「卵」の内側で育てられる必要もない。ロビーにおける干渉を全承認したので、自由に使いなさい。			(-オメガ-)すでに確固たる生命として実体をもつアナタがたは、「卵」の内側で育てられる必要もない。ロビーにおける干渉を全承認したので、自由に使いなさい。			オメガの消息							
こんな場所じゃ、くつろげる気がしないがな……。それで、晴れて正式採用になったオレたちは、こっから何をすりゃあいいンだ？			こんな場所じゃ、くつろげる気がしないがな……。それで、晴れて正式採用になったオレたちは、こっから何をすりゃあいいンだ？			オメガの消息							
(-オメガ-)指令……被検世界「デルタ」に侵入を。中で待ち受けるすべての被検体を、撃破しなさい。			(-オメガ-)指令……被検世界「デルタ」に侵入を。中で待ち受けるすべての被検体を、撃破しなさい。			オメガの消息							
(-オメガ-)ただし、ワタシは数に頼った武力の価値を認めません。そのため、各世界の内部には、それぞれに干渉の制限をかけています。			(-オメガ-)ただし、ワタシは数に頼った武力の価値を認めません。そのため、各世界の内部には、それぞれに干渉の制限をかけています。			オメガの消息							
(-オメガ-)都度、アルファから権利を譲渡された小数の者のみが、戦闘行為に参加することができます。それでは、健闘を…………ガガ……。			(-オメガ-)都度、アルファから権利を譲渡された小数の者のみが、戦闘行為に参加することができます。それでは、健闘を…………ガガ……。			オメガの消息							
……卵の中身は、やっぱりそれか。オレの読みはハズレてなかっただろ、ガーロンドォ？			……卵の中身は、やっぱりそれか。オレの読みはハズレてなかっただろ、ガーロンドォ？			オメガの消息							
ともかく、この先に調査拠点を造ろう。「デルタ」世界に攻め込むとしても、それからだ。			ともかく、この先に調査拠点を造ろう。「デルタ」世界に攻め込むとしても、それからだ。			オメガの消息							
クエッ？			クエッ？			オメガの消息							
ククク……見ろよ、即席の作業場にしては上出来だろ？さて、このカワイコチャンたちから、どンな情報を引き出してやるかねぇ……！			ククク……見ろよ、即席の作業場にしては上出来だろ？さて、このカワイコチャンたちから、どンな情報を引き出してやるかねぇ……！			オメガの消息							
地上に残ってる社員に頼んで、もっといろんな資材を投げ込んでもらうか。無事に届くか……？			地上に残ってる社員に頼んで、もっといろんな資材を投げ込んでもらうか。無事に届くか……？			オメガの消息							
ひぃ、ふぅ……。戦ったり力仕事をしたり、へとへとッス……。			ひぃ、ふぅ……。戦ったり力仕事をしたり、へとへとッス……。			オメガの消息							
こういうときは、近ごろ量産化に成功した、シュワシュワケトルXIV世……通称「ケトルXIV世」で、お茶休憩ッス～！			こういうときは、近ごろ量産化に成功した、シュワシュワケトルXIV世……通称「ケトルXIV世」で、お茶休憩ッス～！			オメガの消息							
よし……。急造ではあるが、どうにか調査拠点ができた。			よし……。急造ではあるが、どうにか調査拠点ができた。			オメガの消息							
今のところは、謎が深まるばかりだが……これからともに解明していこう、Forename。あらためて、「次元の狭間」の調査開始だ！			今のところは、謎が深まるばかりだが……これからともに解明していこう、Forename。あらためて、「次元の狭間」の調査開始だ！			オメガの消息							
次元の狭間のシドは、オメガの出方を窺っている。			次元の狭間のシドは、オメガの出方を窺っている。			最後の闘い							
オメガから、ついに直接対決を言い渡された。シドの準備を完了させるため、一旦地上に出ることになった。ヤーンの大穴の「シド」と話そう。			オメガから、ついに直接対決を言い渡された。シドの準備を完了させるため、一旦地上に出ることになった。ヤーンの大穴の「シド」と話そう。			最後の闘い							
シドと話した。ラールガーズリーチの「指定地点」で見渡し、シドの様子を探ろう。			シドと話した。ラールガーズリーチの「指定地点」で見渡し、シドの様子を探ろう。			最後の闘い							
シドとネロの会話を見守った。ラールガーズリーチの「シド」と話そう。			シドとネロの会話を見守った。ラールガーズリーチの「シド」と話そう。			最後の闘い							
シドから、準備が整ったと告げられた。次元の狭間の「シド」と話そう。次元の狭間へは、ヤーンの大穴にいる「ガーロンド社の調査員」が案内してくれるようだ。			シドから、準備が整ったと告げられた。次元の狭間の「シド」と話そう。次元の狭間へは、ヤーンの大穴にいる「ガーロンド社の調査員」が案内してくれるようだ。			最後の闘い							
シドと話した。転移装置の先で待ち受ける、オメガを撃破しよう！※コンテンツファインダーから攻略に参加できます。			シドと話した。転移装置の先で待ち受ける、オメガを撃破しよう！※コンテンツファインダーから攻略に参加できます。			最後の闘い							
オメガを撃破した。次元の狭間の調査拠点に帰還しよう。			オメガを撃破した。次元の狭間の調査拠点に帰還しよう。			最後の闘い							
帰還しようとしたところ、オメガによって次元の狭間から追い出されかけた。アルファの勇気を受け継いで、今度こそオメガを撃破しよう！※コンテンツファインダーから攻略に参加できます。			帰還しようとしたところ、オメガによって次元の狭間から追い出されかけた。アルファの勇気を受け継いで、今度こそオメガを撃破しよう！※コンテンツファインダーから攻略に参加できます。			最後の闘い							
オメガを撃破した。ギラバニア辺境地帯に帰還しよう。			オメガを撃破した。ギラバニア辺境地帯に帰還しよう。			最後の闘い							
オメガが完全消滅し、崩壊しかけた次元の狭間から、間一髪で脱出した。ヤーンの大穴の「シド」と話そう。			オメガが完全消滅し、崩壊しかけた次元の狭間から、間一髪で脱出した。ヤーンの大穴の「シド」と話そう。			最後の闘い							
シドは、戦いの終結に安堵していた。眠っているミドガルズオルムも、オメガと決着をつけたことに感謝しているだろう。あるいは、この星が守られたことにも、安堵しているかもしれない。			シドは、戦いの終結に安堵していた。眠っているミドガルズオルムも、オメガと決着をつけたことに感謝しているだろう。あるいは、この星が守られたことにも、安堵しているかもしれない。			最後の闘い							
シドと話す			シドと話す			最後の闘い							
ラールガーズリーチの指定地点で見渡す			ラールガーズリーチの指定地点で見渡す			最後の闘い							
シドと話す			シドと話す			最後の闘い							
次元の狭間のシドと話す			次元の狭間のシドと話す			最後の闘い							
「次元の狭間オメガ：アルファ編3」を攻略			「次元の狭間オメガ：アルファ編3」を攻略			最後の闘い							
「次元の狭間オメガ：アルファ編4」を攻略			「次元の狭間オメガ：アルファ編4」を攻略			最後の闘い							
シドと話す			シドと話す			最後の闘い							
クエ、クエッ……！			クエ、クエッ……！			最後の闘い							
「次元の狭間」での戦い、おつかれさまです！大穴の中に降りますか？			「次元の狭間」での戦い、おつかれさまです！大穴の中に降りますか？			最後の闘い							
「次元の狭間」に移動しますか？			「次元の狭間」に移動しますか？			最後の闘い							
さて、このあと、オメガがどう出るか……。			さて、このあと、オメガがどう出るか……。			最後の闘い							
終了……終了……。エクストラステージも含め、全工程が完了しました。			終了……終了……。エクストラステージも含め、全工程が完了しました。			最後の闘い							
よって、すべての被検世界を破棄。全システムを、本体稼働モードに切り替えます。			よって、すべての被検世界を破棄。全システムを、本体稼働モードに切り替えます。			最後の闘い							
おめでとうございます、アルファグループ。アナタがたはついに、ワタシへと到達しました。			おめでとうございます、アルファグループ。アナタがたはついに、ワタシへと到達しました。			最後の闘い							
そしてワタシもまた、アナタとの戦いを欲している。アナタとミドガルズオルムの戦いで観測できた、シミュレーションとの誤差を、解明したいのです。			そしてワタシもまた、アナタとの戦いを欲している。アナタとミドガルズオルムの戦いで観測できた、シミュレーションとの誤差を、解明したいのです。			最後の闘い							
決戦……さあ、戦いましょう。最善、最良の準備を整え、転移装置でこちらに来なさい。			決戦……さあ、戦いましょう。最善、最良の準備を整え、転移装置でこちらに来なさい。			最後の闘い							
……ついに、か。			……ついに、か。			最後の闘い							
難敵ではあるが、心配はいらない！実は、オメガの弱点に見当がついているんだ。			難敵ではあるが、心配はいらない！実は、オメガの弱点に見当がついているんだ。			最後の闘い							
そのための切り札も、おおむね準備できてるぞ。あと少しだけ、待っていてくれ。			そのための切り札も、おおむね準備できてるぞ。あと少しだけ、待っていてくれ。			最後の闘い							
ひとまずこっちは……こうしておいてだな……。			ひとまずこっちは……こうしておいてだな……。			最後の闘い							
そういえば、アルファ。お前の不思議な道具は、まだあるのか？			そういえば、アルファ。お前の不思議な道具は、まだあるのか？			最後の闘い							
使える策は、少しでも増やしておきたい。もし残ってるなら、見せてほしいんだが……。			使える策は、少しでも増やしておきたい。もし残ってるなら、見せてほしいんだが……。			最後の闘い							
何かの珠に……ただの石ころか、これは。			何かの珠に……ただの石ころか、これは。			最後の闘い							
カードは１枚だけ。大きく……いや、小さくなる……？			カードは１枚だけ。大きく……いや、小さくなる……？			最後の闘い							
……さすがに、細かな説明は望めないか。結局のところ、どう使うかはアルファに任せるしかないな。			……さすがに、細かな説明は望めないか。結局のところ、どう使うかはアルファに任せるしかないな。			最後の闘い							
ああ、あとは……。			ああ、あとは……。			最後の闘い							
何と言う？			何と言う？			最後の闘い							
大丈夫、頼りにしてる			大丈夫、頼りにしてる			最後の闘い							
必ず勝つから心配はいらない			必ず勝つから心配はいらない			最後の闘い							
道具がなくてもツメでどうにか			道具がなくてもツメでどうにか			最後の闘い							
ケトルの中にあった不思議な水……仮に、「透明薬」とするか。それを、空のボトルに入れてきた。			ケトルの中にあった不思議な水……仮に、「透明薬」とするか。それを、空のボトルに入れてきた。			最後の闘い							
これも、お前が持っているといい。何かに使えるかもしれないからな。			これも、お前が持っているといい。何かに使えるかもしれないからな。			最後の闘い							
いいか、アルファ。今までもオメガの奴に散々ふりまわされてきたが、ここから先は、本当にどうなるかわからない。			いいか、アルファ。今までもオメガの奴に散々ふりまわされてきたが、ここから先は、本当にどうなるかわからない。			最後の闘い							
いざとなったら、何でも使って、自分で道を切り開くんだ。大事なのは、知恵と……自分を信じてやり抜く、少しの勇気だ。			いざとなったら、何でも使って、自分で道を切り開くんだ。大事なのは、知恵と……自分を信じてやり抜く、少しの勇気だ。			最後の闘い							
よし……あとはジェシーが準備している装置を取りに行くだけだ。一旦、外に出よう！			よし……あとはジェシーが準備している装置を取りに行くだけだ。一旦、外に出よう！			最後の闘い							
クエッ？			クエッ？			最後の闘い							
それじゃあ、ラールガーズリーチの支社に戻って、装置を受け取ってくる。最終点検も必要だから、少し時間がかかるかもしれない。			それじゃあ、ラールガーズリーチの支社に戻って、装置を受け取ってくる。最終点検も必要だから、少し時間がかかるかもしれない。			最後の闘い							
作戦の説明は、そのあとにさせてもらうから、適当に街で休んでいてくれ。……それじゃ、とにかく俺は行ってくる！			作戦の説明は、そのあとにさせてもらうから、適当に街で休んでいてくれ。……それじゃ、とにかく俺は行ってくる！			最後の闘い							
クエ……クエ、クエッ！			クエ……クエ、クエッ！			最後の闘い							
アルファは、シドを心配をしているようだ。あとを追いたい様子なので、一緒に行ってみようか……。			アルファは、シドを心配をしているようだ。あとを追いたい様子なので、一緒に行ってみようか……。			最後の闘い							
あら、あなたも戻ってきたの？			あら、あなたも戻ってきたの？			最後の闘い							
クエッ！			クエッ！			最後の闘い							
(-？？？？-)おいおい、そンなザマで仕上げができるのか？			(-？？？？-)おいおい、そンなザマで仕上げができるのか？			最後の闘い							
ネロ……。もう、動けるのか。			ネロ……。もう、動けるのか。			最後の闘い							
オレたちがオメガを起動させた直後にはじまった、神龍とオメガの対決……。あれについての情報を分析すると、ひとつの推測に行きつく。			オレたちがオメガを起動させた直後にはじまった、神龍とオメガの対決……。あれについての情報を分析すると、ひとつの推測に行きつく。			最後の闘い							
オメガは、神龍の放った雷撃にだけ、受け止めることもできずよろめいた。……雷が、あいつの弱点なンだ。			オメガは、神龍の放った雷撃にだけ、受け止めることもできずよろめいた。……雷が、あいつの弱点なンだ。			最後の闘い							
……ああ。その可能性は、極めて高い。恐らく、オメガ自身にも補いきれない、仕様上の穴だ。			……ああ。その可能性は、極めて高い。恐らく、オメガ自身にも補いきれない、仕様上の穴だ。			最後の闘い							
とはいえ、生半可な雷では切り札にならない。相当なエネルギーをぶつける必要がある……。			とはいえ、生半可な雷では切り札にならない。相当なエネルギーをぶつける必要がある……。			最後の闘い							
で、そンなもンを造ったわけか。もとになっているのは、ミドの設計図……それも、交信雷波塔がらみだな？			で、そンなもンを造ったわけか。もとになっているのは、ミドの設計図……それも、交信雷波塔がらみだな？			最後の闘い							
…………親父は、あの塔とダラガブをつなぐにあたって、大規模なエネルギーの集積と変換の方法を確立していた。			…………親父は、あの塔とダラガブをつなぐにあたって、大規模なエネルギーの集積と変換の方法を確立していた。			最後の闘い							
結局、それは失敗……塔どころか、シタデル・ボズヤの街ごと蒸発させてしまったが。今回の目的になら、技術を転用できると考えたんだ。			結局、それは失敗……塔どころか、シタデル・ボズヤの街ごと蒸発させてしまったが。今回の目的になら、技術を転用できると考えたんだ。			最後の闘い							
俺なりの改良も加えたし、理論上は問題ない。装置の出来も、さすがジェシーというところだ。			俺なりの改良も加えたし、理論上は問題ない。装置の出来も、さすがジェシーというところだ。			最後の闘い							
……それで？お前は、何に怖気づいてンだ？			……それで？お前は、何に怖気づいてンだ？			最後の闘い							
……わからない。勝算は確かにあるんだ。ただ…………。			……わからない。勝算は確かにあるんだ。ただ…………。			最後の闘い							
こいつと向き合っていると、蒸発事件後の、暗い気持ちが戻ってくる。			こいつと向き合っていると、蒸発事件後の、暗い気持ちが戻ってくる。			最後の闘い							
事故で溶けた、人の残骸……。遺族からの視線……それを顧みない祖国……。			事故で溶けた、人の残骸……。遺族からの視線……それを顧みない祖国……。			最後の闘い							
答えを求めて外に目を向ければ、俺たちが未来のためにと生み出した技術は、誰かの大事なものを奪い、争いを生むために使われていた。			答えを求めて外に目を向ければ、俺たちが未来のためにと生み出した技術は、誰かの大事なものを奪い、争いを生むために使われていた。			最後の闘い							
だから俺は……逃げたんだ。エオルゼアに亡命して、今度こそ、誰もが笑えることにだけ技術を使おうとした。			だから俺は……逃げたんだ。エオルゼアに亡命して、今度こそ、誰もが笑えることにだけ技術を使おうとした。			最後の闘い							
……だが、それでも。この地で人と深く関わるたびに、思い知らされる。			……だが、それでも。この地で人と深く関わるたびに、思い知らされる。			最後の闘い							
生きていくことは、きっとそれ自体が、ままならない運命と戦い続けることなんだ。			生きていくことは、きっとそれ自体が、ままならない運命と戦い続けることなんだ。			最後の闘い							
傷つけられて、傷つけて。その傷口と向き合ってこそ、選べる道がある。心から「よかった」と笑える、一瞬のために……。			傷つけられて、傷つけて。その傷口と向き合ってこそ、選べる道がある。心から「よかった」と笑える、一瞬のために……。			最後の闘い							
……まったく。お前、本当に余計なことをグダグダと考えるようになったな。いよいよフケてきたか？			……まったく。お前、本当に余計なことをグダグダと考えるようになったな。いよいよフケてきたか？			最後の闘い							
かもしれないな。学生のころは、もっとまっすぐで眩しくて……何のためらいもなく、正面から発明に打ち込んでたもんだ。			かもしれないな。学生のころは、もっとまっすぐで眩しくて……何のためらいもなく、正面から発明に打ち込んでたもんだ。			最後の闘い							
だが、俺は今の……考えなくていいことまで考えて、苦しみながら生み出す、細かい傷だらけのひとつも……悪くないと思ってる。			だが、俺は今の……考えなくていいことまで考えて、苦しみながら生み出す、細かい傷だらけのひとつも……悪くないと思ってる。			最後の闘い							
それだけ、俺の世界に、俺以外の誰かがいるってことだろう？			それだけ、俺の世界に、俺以外の誰かがいるってことだろう？			最後の闘い							
……やっぱり、お前、ヘンな奴！			……やっぱり、お前、ヘンな奴！			最後の闘い							
だが、そうだな……それならオメガの奴は、さしずめ学生時代のお前か。			だが、そうだな……それならオメガの奴は、さしずめ学生時代のお前か。			最後の闘い							
お前が、今の自分の方がいいってンなら……当然倒せンだろ、その装置でな。			お前が、今の自分の方がいいってンなら……当然倒せンだろ、その装置でな。			最後の闘い							
……それもそうか。			……それもそうか。			最後の闘い							
だが、学生時代の俺は、オメガほど孤立してなかったぞ。何かとつっかかってくる、学年次席がいたからな。			だが、学生時代の俺は、オメガほど孤立してなかったぞ。何かとつっかかってくる、学年次席がいたからな。			最後の闘い							
そいつには……ときどき試験で負けたわけだが、それが案外くやしかったのを覚えてる。			そいつには……ときどき試験で負けたわけだが、それが案外くやしかったのを覚えてる。			最後の闘い							
……チッ、長く出歩きすぎた。具合がすこぶる悪いンで、オレは戻るぜ。			……チッ、長く出歩きすぎた。具合がすこぶる悪いンで、オレは戻るぜ。			最後の闘い							
……会長は大丈夫そうね。ここまでくれば、あとは総力をあげてオメガを倒すのみ！Surname、必ず生きて戻るのよ……！			……会長は大丈夫そうね。ここまでくれば、あとは総力をあげてオメガを倒すのみ！Surname、必ず生きて戻るのよ……！			最後の闘い							
クエクエッ！			クエクエッ！			最後の闘い							
おお、アルファに加えて、お前まで。わざわざ迎えに来てくれたのか？			おお、アルファに加えて、お前まで。わざわざ迎えに来てくれたのか？			最後の闘い							
おかげさまで、こっちは準備万端だ！お前も装備の修理なんかが済んでいるなら、「次元の狭間」に戻ろう。			おかげさまで、こっちは準備万端だ！お前も装備の修理なんかが済んでいるなら、「次元の狭間」に戻ろう。			最後の闘い							
クエクエ、クエーッ！			クエクエ、クエーッ！			最後の闘い							
Forename……ここまで準備につきあってくれて、ありがとう。それじゃあ、お前に我が社の最新作を託す。			Forename……ここまで準備につきあってくれて、ありがとう。それじゃあ、お前に我が社の最新作を託す。			最後の闘い							
それは「オメガジャマー」の端末。作動させることで、任意の位置に、超強力な雷を発生させることができる。			それは「オメガジャマー」の端末。作動させることで、任意の位置に、超強力な雷を発生させることができる。			最後の闘い							
さすがに、それだけでオメガ本体を止められはしないだろうが、奴の兵装なら、吹っ飛ばせるはずだ。			さすがに、それだけでオメガ本体を止められはしないだろうが、奴の兵装なら、吹っ飛ばせるはずだ。			最後の闘い							
俺はここに残って、装置の本体を制御する。技術者としての最善を尽くして、お前の勝利に貢献したい。……勝とう、必ず！			俺はここに残って、装置の本体を制御する。技術者としての最善を尽くして、お前の勝利に貢献したい。……勝とう、必ず！			最後の闘い							
「オメガジャマー」を作動させ、雷撃を当てることで、オメガの兵装を破壊できるはずだ。お前ならば、そこに勝機を見出せるさ……！			「オメガジャマー」を作動させ、雷撃を当てることで、オメガの兵装を破壊できるはずだ。お前ならば、そこに勝機を見出せるさ……！			最後の闘い							
Forename……ッ！			Forename……ッ！			最後の闘い							
ついに……ついに倒したんだな、オメガを……！			ついに……ついに倒したんだな、オメガを……！			最後の闘い							
解析……分析……アナタがたの戦い方には、ゆらぎがありました。			解析……分析……アナタがたの戦い方には、ゆらぎがありました。			最後の闘い							
回避ないし攻撃のチャンスがあっても、それを逃す。加えて、一度失敗すると、連鎖的に動作が鈍くなる傾向もあります。			回避ないし攻撃のチャンスがあっても、それを逃す。加えて、一度失敗すると、連鎖的に動作が鈍くなる傾向もあります。			最後の闘い							
かと思えば、想定以上の勢いで、攻め込んでくるときもある。とくに、ワタシの耐久限界が見えてきたあたりからは、一種の興奮状態にあったと思われます。			かと思えば、想定以上の勢いで、攻め込んでくるときもある。とくに、ワタシの耐久限界が見えてきたあたりからは、一種の興奮状態にあったと思われます。			最後の闘い							
しかも、ゆらぎかたにも個体差がある。アナタがたとは……とても、戦いにくい。			しかも、ゆらぎかたにも個体差がある。アナタがたとは……とても、戦いにくい。			最後の闘い							
ガガガ……このゆらぎは、かつて、ミドガルズオルムと戦ったときにも観測しています。しかし、より脆弱なヒトを相手取った、今の方が顕著です。			ガガガ……このゆらぎは、かつて、ミドガルズオルムと戦ったときにも観測しています。しかし、より脆弱なヒトを相手取った、今の方が顕著です。			最後の闘い							
いったい、なぜ。やはりアナタがたには、ワタシにない何らかの、思考回路や機能が搭載されている……。			いったい、なぜ。やはりアナタがたには、ワタシにない何らかの、思考回路や機能が搭載されている……。			最後の闘い							
ガガガ……。ワタシは、それを習得しなければならない。しかし、現状では、まだまだデータが足りません。			ガガガ……。ワタシは、それを習得しなければならない。しかし、現状では、まだまだデータが足りません。			最後の闘い							
態勢を立て直し、より深い検証を、戦闘を、行う必要があると考えます。			態勢を立て直し、より深い検証を、戦闘を、行う必要があると考えます。			最後の闘い							
なっ……！？次元の狭間が……！			なっ……！？次元の狭間が……！			最後の闘い							
ワタシは、ワタシを、この検証に最適な形に造りかえることにしました。			ワタシは、ワタシを、この検証に最適な形に造りかえることにしました。			最後の闘い							
そちらに注力するために、維持していた次元の狭間を、縮小……閉鎖……遮断します。			そちらに注力するために、維持していた次元の狭間を、縮小……閉鎖……遮断します。			最後の闘い							
次元の狭間の外は、どこともつかない亜空間だ！放り出されたら、永遠にさまよい続ける可能性もある！			次元の狭間の外は、どこともつかない亜空間だ！放り出されたら、永遠にさまよい続ける可能性もある！			最後の闘い							
