調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			調理師ギルドのリングサスは、冒険者に紹介したい人がいるようだ。			元冒険者の調理師							
……メニューにない物も作ってくれる？　そりゃ助かるよ。実は、アタイはスイーツってやつが苦手なんだ。			……メニューにない物も作ってくれる？　そりゃ助かるよ。実は、アタイはスイーツってやつが苦手なんだ。			あま～いレシピ							
そんな、アタイにも堅気の彼氏ができたんだけど、その人が大の甘党でよぉ……。			そんな、アタイにも堅気の彼氏ができたんだけど、その人が大の甘党でよぉ……。			あま～いレシピ							
今度、デートすることになってさ、その前になんとか、苦手な甘い物を克服しておきたくて特訓に来たんだ……。まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			今度、デートすることになってさ、その前になんとか、苦手な甘い物を克服しておきたくて特訓に来たんだ……。まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			あま～いレシピ							
まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			まずはお手柔らかに、甘さを抑えたスイーツを頼めるかい？			あま～いレシピ							
……なんと！スイーツ嫌いなんて、私には考えられない！きっと、食わず嫌いに違いありません。			……なんと！スイーツ嫌いなんて、私には考えられない！きっと、食わず嫌いに違いありません。			あま～いレシピ							
甘味を抑えるだなんてヒヨってないで、ここはあえて、徹底的に甘いスイーツを出して、甘ったれた根性を、叩き直してやりましょう！			甘味を抑えるだなんてヒヨってないで、ここはあえて、徹底的に甘いスイーツを出して、甘ったれた根性を、叩き直してやりましょう！			あま～いレシピ							
山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			あま～いレシピ							
山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			山のような生クリームに、これでもかと粉砂糖を降らせた、甘味テンコ盛りの「ソーム・アル・オ・マロン」にしましょう。トドメは、濃厚なミルクの「イシュガルドティー」です！			あま～いレシピ							
う……うへぇ……。勘弁してくれよ、どう見ても甘味たっぷりじゃないか～！			う……うへぇ……。勘弁してくれよ、どう見ても甘味たっぷりじゃないか～！			あま～いレシピ							
彼氏とのデートを成功させたくないんですか！？ギルドいちの調理師さんが作ったんですよ！騙されたと思って、食べてみてください。			彼氏とのデートを成功させたくないんですか！？ギルドいちの調理師さんが作ったんですよ！騙されたと思って、食べてみてください。			あま～いレシピ							
……ううう、もう騙されてるよ。			……ううう、もう騙されてるよ。			あま～いレシピ							
いやぁ、美味かったよ！外を包むマロンクリームが、思いの外さっぱりしてたもんで、勢いよく、内側の生クリームの山に突っ込んじまった！			いやぁ、美味かったよ！外を包むマロンクリームが、思いの外さっぱりしてたもんで、勢いよく、内側の生クリームの山に突っ込んじまった！			あま～いレシピ							
ところがどうだい、これが甘味だけじゃなくコクがある！海には慣れたアタイだけど、甘味の山にはしてやられたよ！甘い紅茶もガブ飲みさ……もうデートも怖くない、恩に着るよ！			ところがどうだい、これが甘味だけじゃなくコクがある！海には慣れたアタイだけど、甘味の山にはしてやられたよ！甘い紅茶もガブ飲みさ……もうデートも怖くない、恩に着るよ！			あま～いレシピ							
大好評でしたね、さすがです！外側のマロンクリームの甘さを抑えることで、お客様の先入観を取り除き、見事に甘味の魅力を伝えましたね！			大好評でしたね、さすがです！外側のマロンクリームの甘さを抑えることで、お客様の先入観を取り除き、見事に甘味の魅力を伝えましたね！			あま～いレシピ							
……実は、私も昔は紅血聖女団の一員だったんです。でも、船酔いが治らず船を下り、ここの給仕になりました。夢破れた当時の私は、本当にやる気がなくて……。			……実は、私も昔は紅血聖女団の一員だったんです。でも、船酔いが治らず船を下り、ここの給仕になりました。夢破れた当時の私は、本当にやる気がなくて……。			あま～いレシピ							
そんなとき、あのハ・マシャの料理を初めて食べたのです。あまりの美味しさに、私は感動しました……。そのおかげで、この仕事も好きになれたんです。			そんなとき、あのハ・マシャの料理を初めて食べたのです。あまりの美味しさに、私は感動しました……。そのおかげで、この仕事も好きになれたんです。			あま～いレシピ							
ハ・マシャもあの頃は一生懸命でした……。でもでも、あの野郎ったら、どんどんつけ上がりやがって、すっかり変わっちまったんです！			ハ・マシャもあの頃は一生懸命でした……。でもでも、あの野郎ったら、どんどんつけ上がりやがって、すっかり変わっちまったんです！			あま～いレシピ							
……たまに口汚くなるのも、海賊時代の名残なので、大目に見ていただけると幸いです。それでは、また、お待ちしております！			……たまに口汚くなるのも、海賊時代の名残なので、大目に見ていただけると幸いです。それでは、また、お待ちしております！			あま～いレシピ							
調理師ギルドのリングサスは、メルウィブ提督からの依頼を冒険者に任せたいようだ。			調理師ギルドのリングサスは、メルウィブ提督からの依頼を冒険者に任せたいようだ。			食通ロロリトの逆襲							
リングサスから依頼を受けた。リムサ・ロミンサの調理師ギルドにいる「ダイビング・ダヴ」と話そう。			リングサスから依頼を受けた。リムサ・ロミンサの調理師ギルドにいる「ダイビング・ダヴ」と話そう。			食通ロロリトの逆襲							
ダイビング・ダヴと話した。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」と話そう。			ダイビング・ダヴと話した。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」と話そう。			食通ロロリトの逆襲							
ラティシャと話した。リムサ・ロミンサにいるウルダハからの旅行者や商人たちと、メルヴァン税関公社の「ルブ・エポカン」と話し、ナナモ女王の好物の情報を集めよう。			ラティシャと話した。リムサ・ロミンサにいるウルダハからの旅行者や商人たちと、メルヴァン税関公社の「ルブ・エポカン」と話し、ナナモ女王の好物の情報を集めよう。			食通ロロリトの逆襲							
ナナモ女王の好物の情報を集めた。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」と話そう。			ナナモ女王の好物の情報を集めた。リムサ・ロミンサの調理師ギルドにいる「ラティシャ」と話そう。			食通ロロリトの逆襲							
ラティシャと話した。リムサ・ロミンサのブルワークホールにいる「ザントヘール甲軍曹」に「エフトステーキ」「ビーフシチュー」「猟師風エフトキッシュ」「ガレット・デ・ロワ」を1皿ずつ納品しよう。			ラティシャと話した。リムサ・ロミンサのブルワークホールにいる「ザントヘール甲軍曹」に「エフトステーキ」「ビーフシチュー」「猟師風エフトキッシュ」「ガレット・デ・ロワ」を1皿ずつ納品しよう。			食通ロロリトの逆襲							
ザントヘール甲軍曹にエフトステーキ、ビーフシチュー、猟師風エフトキッシュ、ガレット・デ・ロワを納品した。リムサ・ロミンサの調理師ギルドにいる「リングサス」に報告しよう。			ザントヘール甲軍曹にエフトステーキ、ビーフシチュー、猟師風エフトキッシュ、ガレット・デ・ロワを納品した。リムサ・ロミンサの調理師ギルドにいる「リングサス」に報告しよう。			食通ロロリトの逆襲							
リングサスに報告した。晩餐会で、ナナモ女王は、冒険者の料理に満足したようだった。また彼女のおかげでロロリトの陰謀が露呈し、彼はふたたび面目を失うこととなった。リングサスはそんな冒険者の功績を大絶賛し、今や名声では自分を超えたと語る。だが、料理の腕では負けていないと、負けん気がもたげているようだ。名声に増長せず、腕を磨き続けよう。※以下の条件を満たすと、調理師ギルドのリングサスから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			リングサスに報告した。晩餐会で、ナナモ女王は、冒険者の料理に満足したようだった。また彼女のおかげでロロリトの陰謀が露呈し、彼はふたたび面目を失うこととなった。リングサスはそんな冒険者の功績を大絶賛し、今や名声では自分を超えたと語る。だが、料理の腕では負けていないと、負けん気がもたげているようだ。名声に増長せず、腕を磨き続けよう。※以下の条件を満たすと、調理師ギルドのリングサスから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			食通ロロリトの逆襲							
ダイビング・ダヴと話す			ダイビング・ダヴと話す			食通ロロリトの逆襲							
ラティシャと話す			ラティシャと話す			食通ロロリトの逆襲							
リムサ・ロミンサを訪れているウルダハの商人に話を聞く			リムサ・ロミンサを訪れているウルダハの商人に話を聞く			食通ロロリトの逆襲							
リムサ・ロミンサを訪れているウルダハの兵士に話を聞く			リムサ・ロミンサを訪れているウルダハの兵士に話を聞く			食通ロロリトの逆襲							
リムサ・ロミンサを訪れているウルダハの旅行者に話を聞く			リムサ・ロミンサを訪れているウルダハの旅行者に話を聞く			食通ロロリトの逆襲							
メルヴァン税関公社のルブ・エポカンと話す			メルヴァン税関公社のルブ・エポカンと話す			食通ロロリトの逆襲							
調理師ギルドのラティシャと話す			調理師ギルドのラティシャと話す			食通ロロリトの逆襲							
ザントヘール甲軍曹に依頼品を見せる			ザントヘール甲軍曹に依頼品を見せる			食通ロロリトの逆襲							
リングサスと話す			リングサスと話す			食通ロロリトの逆襲							
おう、とんでもない依頼が来やがったぜぇ。メルウィブ提督が催す、次の晩餐会の主賓はウルダハの女王「ナナモ・ウル・ナモ」陛下だ！！			おう、とんでもない依頼が来やがったぜぇ。メルウィブ提督が催す、次の晩餐会の主賓はウルダハの女王「ナナモ・ウル・ナモ」陛下だ！！			食通ロロリトの逆襲							
なんでも非公式でリムサ・ロミンサに来るらしいが、お前さんの噂を、聞いていたらしくてな。女王陛下から直々のご指名らしいぜ。			なんでも非公式でリムサ・ロミンサに来るらしいが、お前さんの噂を、聞いていたらしくてな。女王陛下から直々のご指名らしいぜ。			食通ロロリトの逆襲							
特にメニューの指定はねぇ。お前さんが腕をふるった「美味しい料理」が食べたいそうだ。			特にメニューの指定はねぇ。お前さんが腕をふるった「美味しい料理」が食べたいそうだ。			食通ロロリトの逆襲							
こいつぁとんでもねぇ名誉だぜ！だが……しくじれば、評価も海底に沈んじまうぞ。……お前のすべてをかけて、調理してこい！			こいつぁとんでもねぇ名誉だぜ！だが……しくじれば、評価も海底に沈んじまうぞ。……お前のすべてをかけて、調理してこい！			食通ロロリトの逆襲							
調理師ギルドも全面的にバックアップするぜ！まずは、ウチの「ダイビング・ダヴ」と話してみろ。ウルダハ出身だから、知恵を貸してくれるだろう。			調理師ギルドも全面的にバックアップするぜ！まずは、ウチの「ダイビング・ダヴ」と話してみろ。ウルダハ出身だから、知恵を貸してくれるだろう。			食通ロロリトの逆襲							
ナナモ様か……故郷じゃ、あたいのような下々の者が女王陛下のお姿を見かける機会なんて、なかったね。力になれそうもないが、これだけは忠告しとくさね。			ナナモ様か……故郷じゃ、あたいのような下々の者が女王陛下のお姿を見かける機会なんて、なかったね。力になれそうもないが、これだけは忠告しとくさね。			食通ロロリトの逆襲							
あんたが前にやり込めたロロリトを覚えているかい？あいつは砂蠍衆……女王にすら意見できる立場でね。実は今回の訪問も、あいつが仕切ってるって噂なんだ。			あんたが前にやり込めたロロリトを覚えているかい？あいつは砂蠍衆……女王にすら意見できる立場でね。実は今回の訪問も、あいつが仕切ってるって噂なんだ。			食通ロロリトの逆襲							
きっと女王の前で、あんたに恥をかかせようって魂胆だろ。料理が口に合わなかった……なんてことになれば、あんたも、この店の面目も丸潰れだろう？			きっと女王の前で、あんたに恥をかかせようって魂胆だろ。料理が口に合わなかった……なんてことになれば、あんたも、この店の面目も丸潰れだろう？			食通ロロリトの逆襲							
まずは、女王の好みを十分に調べあげな！これはギルドの危機だ……「ラティシャ」に聞いてみな。すでに手を打っているかもしれないよ。			まずは、女王の好みを十分に調べあげな！これはギルドの危機だ……「ラティシャ」に聞いてみな。すでに手を打っているかもしれないよ。			食通ロロリトの逆襲							
そろそろ来ると思っていました。調理はできませんが、私も調理師ギルドの一員です。あなたに協力させてください。			そろそろ来ると思っていました。調理はできませんが、私も調理師ギルドの一員です。あなたに協力させてください。			食通ロロリトの逆襲							
とはいえ、困った事態になりました。ロロリト会長の差し金で、女王陛下の好みが隠されています。あなたの料理なら問題ないとの一点張りで……。			とはいえ、困った事態になりました。ロロリト会長の差し金で、女王陛下の好みが隠されています。あなたの料理なら問題ないとの一点張りで……。			食通ロロリトの逆襲							
早急に、情報を集めなくては。都市内で、ウルダハの商人や冒険者から話をきいてみてください。			早急に、情報を集めなくては。都市内で、ウルダハの商人や冒険者から話をきいてみてください。			食通ロロリトの逆襲							
それから私の古巣、「メルヴァン税関公社」に赴き、「ルブ・エポカン」に相談するとよいでしょう。食材の流通に詳しいので、ヒントが掴めるかもしれません。			それから私の古巣、「メルヴァン税関公社」に赴き、「ルブ・エポカン」に相談するとよいでしょう。食材の流通に詳しいので、ヒントが掴めるかもしれません。			食通ロロリトの逆襲							
あぁ、確かに俺はウルダハの出だ。なに、ナナモ陛下の好物を知らないかだと？			あぁ、確かに俺はウルダハの出だ。なに、ナナモ陛下の好物を知らないかだと？			食通ロロリトの逆襲							
ウルダハの市場で、「女王陛下の御用達」という触れ込みで、「ビーフシチュー」用の肉が売っていたのを見たことがある。本当に「御用達」かどうかは怪しいもんだがな。			ウルダハの市場で、「女王陛下の御用達」という触れ込みで、「ビーフシチュー」用の肉が売っていたのを見たことがある。本当に「御用達」かどうかは怪しいもんだがな。			食通ロロリトの逆襲							
だが、ウルダハ商人たちは目端が利く。きっと舞踏会やら何やらで、陛下の好みを聞きつけ、商品の売り込みに利用したのだと思うぞ？			だが、ウルダハ商人たちは目端が利く。きっと舞踏会やら何やらで、陛下の好みを聞きつけ、商品の売り込みに利用したのだと思うぞ？			食通ロロリトの逆襲							
ナナモ陛下ですか……いささかお若い方ですな。政事を担うには、いかがなものかとも思います。はて、あの方の好物が知りたいですと？			ナナモ陛下ですか……いささかお若い方ですな。政事を担うには、いかがなものかとも思います。はて、あの方の好物が知りたいですと？			食通ロロリトの逆襲							
ううむ、そういえば国元で「菓子といえばガレット・デ・ロワじゃのう」とおっしゃり、あの菓子が売り切れたことがありましたね……。			ううむ、そういえば国元で「菓子といえばガレット・デ・ロワじゃのう」とおっしゃり、あの菓子が売り切れたことがありましたね……。			食通ロロリトの逆襲							
ナナモ陛下のお食事の好みについて、ですか？それなら経済誌「ミスリルアイ」で読んだことがあります。			ナナモ陛下のお食事の好みについて、ですか？それなら経済誌「ミスリルアイ」で読んだことがあります。			食通ロロリトの逆襲							
グリダニアを訪問した折、地元猟師の食べていた料理に興味を持たれ、わざわざ作らせたんだとか。えっと、「猟師風エフトキッシュ」でしたでしょうか？			グリダニアを訪問した折、地元猟師の食べていた料理に興味を持たれ、わざわざ作らせたんだとか。えっと、「猟師風エフトキッシュ」でしたでしょうか？			食通ロロリトの逆襲							
ああ、あなたが例の件の調理師ですか。ラティシャから聞いてます。			ああ、あなたが例の件の調理師ですか。ラティシャから聞いてます。			食通ロロリトの逆襲							
今週から、突然、エフトの尾肉という食材が、リムサ・ロミンサの市場から姿を消しました。東アルデナード商会が買い占めているようです。			今週から、突然、エフトの尾肉という食材が、リムサ・ロミンサの市場から姿を消しました。東アルデナード商会が買い占めているようです。			食通ロロリトの逆襲							
同商会の会長は、ロロリト氏……。彼が買い占めを指示したのであれば、何らかの意図が隠されていると見るべきでしょうね。			同商会の会長は、ロロリト氏……。彼が買い占めを指示したのであれば、何らかの意図が隠されていると見るべきでしょうね。			食通ロロリトの逆襲							
たとえば、ここリムサ・ロミンサで、「エフトステーキ」を作らせないようにしている、とか。それが何故かは、あなたの方が詳しいのでは？			たとえば、ここリムサ・ロミンサで、「エフトステーキ」を作らせないようにしている、とか。それが何故かは、あなたの方が詳しいのでは？			食通ロロリトの逆襲							
その顔を見ると収穫はあったようですが……なにか問題でもあったのでしょうか？			その顔を見ると収穫はあったようですが……なにか問題でもあったのでしょうか？			食通ロロリトの逆襲							
「エフトステーキ」に「ビーフシチュー」、さらに「猟師風エフトキッシュ」と「ガレット・デ・ロワ」……意見が割れていましたか。			「エフトステーキ」に「ビーフシチュー」、さらに「猟師風エフトキッシュ」と「ガレット・デ・ロワ」……意見が割れていましたか。			食通ロロリトの逆襲							
では、4皿を全部作ってはどうでしょう？女王陛下には、全ての料理に、少しずつ手を付けてもらうのです。			では、4皿を全部作ってはどうでしょう？女王陛下には、全ての料理に、少しずつ手を付けてもらうのです。			食通ロロリトの逆襲							
そうと決まれば、さっそく料理の支度にかかってください。ここからがForenameさんの腕の見せ所ですよ。			そうと決まれば、さっそく料理の支度にかかってください。ここからがForenameさんの腕の見せ所ですよ。			食通ロロリトの逆襲							
完成したら、ブルワークホールにいる、黒渦団の「ザントヘール甲軍曹」へ料理を見せてください。晩餐会の会場へ案内してもらえます。			完成したら、ブルワークホールにいる、黒渦団の「ザントヘール甲軍曹」へ料理を見せてください。晩餐会の会場へ案内してもらえます。			食通ロロリトの逆襲							
お主が、Forenameだな？晩餐会の料理は完成したのか？			お主が、Forenameだな？晩餐会の料理は完成したのか？			食通ロロリトの逆襲							
「エフトステーキ」「ビーフシチュー」、「猟師風エフトキッシュ」「ガレット・デ・ロワ」……以上の4皿を用意すると聞いている、急げよ。			「エフトステーキ」「ビーフシチュー」、「猟師風エフトキッシュ」「ガレット・デ・ロワ」……以上の4皿を用意すると聞いている、急げよ。			食通ロロリトの逆襲							
料理が出来あがったようだな。この「アドミラルリフト」で、晩餐会の会場へ運ぼう。			料理が出来あがったようだな。この「アドミラルリフト」で、晩餐会の会場へ運ぼう。			食通ロロリトの逆襲							
むふぅ～、美味よのう！わらわにグゥーブーほどの胃袋があれば、もっと食べられるものを……もうお腹がいっぱいじゃ。			むふぅ～、美味よのう！わらわにグゥーブーほどの胃袋があれば、もっと食べられるものを……もうお腹がいっぱいじゃ。			食通ロロリトの逆襲							
ナナモ様、お気に召したようで何よりでございます。このロロリトめも恐悦至極。			ナナモ様、お気に召したようで何よりでございます。このロロリトめも恐悦至極。			食通ロロリトの逆襲							
リムサ・ロミンサには腕のいい調理師がいる……お主の進言、嘘ではなかったようじゃの。実に見事、わらわは満足じゃ。			リムサ・ロミンサには腕のいい調理師がいる……お主の進言、嘘ではなかったようじゃの。実に見事、わらわは満足じゃ。			食通ロロリトの逆襲							
非公式の訪問とはいえ久方ぶりの他国。ラウバーンの元を離れるのは不安じゃったが、このような料理を食せたのは僥倖。			非公式の訪問とはいえ久方ぶりの他国。ラウバーンの元を離れるのは不安じゃったが、このような料理を食せたのは僥倖。			食通ロロリトの逆襲							
……そちが、こたびの料理を用意したのじゃな？そちに十二神の祝福を、今宵は至福のひと時であった。			……そちが、こたびの料理を用意したのじゃな？そちに十二神の祝福を、今宵は至福のひと時であった。			食通ロロリトの逆襲							
くっ……なんということだ。まさか、あの調理師めがここまで女王の好みを調べ上げるとは……誤算だった。			くっ……なんということだ。まさか、あの調理師めがここまで女王の好みを調べ上げるとは……誤算だった。			食通ロロリトの逆襲							
女王の前で、恥をかかせてやるはずが……ええい、いまいましい！これでは女王を喜ばせただけではないか！			女王の前で、恥をかかせてやるはずが……ええい、いまいましい！これでは女王を喜ばせただけではないか！			食通ロロリトの逆襲							
なにか言うたか、ロロリトよ？			なにか言うたか、ロロリトよ？			食通ロロリトの逆襲							
い、いえ……ただの独り言にございます。			い、いえ……ただの独り言にございます。			食通ロロリトの逆襲							
そうか、ならばよい。			そうか、ならばよい。			食通ロロリトの逆襲							
……さて調理師よ、名を聞いておこう。そちに褒美を取らせるゆえ、後ほどギルドで受け取るがよい。			……さて調理師よ、名を聞いておこう。そちに褒美を取らせるゆえ、後ほどギルドで受け取るがよい。			食通ロロリトの逆襲							
……なんじゃと？わらわがお主を指名して調理を任せたというのか？はて、今宵の招待は全てロロリトに任せていたのじゃが。			……なんじゃと？わらわがお主を指名して調理を任せたというのか？はて、今宵の招待は全てロロリトに任せていたのじゃが。			食通ロロリトの逆襲							
おうおう、お前さん、やりやがったな！女王陛下からのお褒めの言葉だぞ？そんなもん、俺だってもらったことがねぇ！			おうおう、お前さん、やりやがったな！女王陛下からのお褒めの言葉だぞ？そんなもん、俺だってもらったことがねぇ！			食通ロロリトの逆襲							
もっとも、俺も提督から感謝の言葉をもらったぜ。いい調理師を育ててくれたってな。俺なんて心構えを教えたぐらいなのに。			もっとも、俺も提督から感謝の言葉をもらったぜ。いい調理師を育ててくれたってな。俺なんて心構えを教えたぐらいなのに。			食通ロロリトの逆襲							
調理師として俺以上の名声を手に入れたな。俺からお前に教えることは、もう何もねぇ。			調理師として俺以上の名声を手に入れたな。俺からお前に教えることは、もう何もねぇ。			食通ロロリトの逆襲							
だが、料理への情熱なら負けるつもりはないぜ？こいつがありゃ、どんな困難だって、乗り越えちまう。そして、どんな料理もうまくする、最高のスパイスだ。			だが、料理への情熱なら負けるつもりはないぜ？こいつがありゃ、どんな困難だって、乗り越えちまう。そして、どんな料理もうまくする、最高のスパイスだ。			食通ロロリトの逆襲							
この情熱の炎で、お前だけの料理を追求して、たくさんの人を幸せにしてやってくれ。			この情熱の炎で、お前だけの料理を追求して、たくさんの人を幸せにしてやってくれ。			食通ロロリトの逆襲							
かといって、これから先も増長すんなよ。腕を落としたら、いつでも鍛え直してやるからな！			かといって、これから先も増長すんなよ。腕を落としたら、いつでも鍛え直してやるからな！			食通ロロリトの逆襲							
「調理師」の物語が、ひとつの区切りを迎えました！次の「調理師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			「調理師」の物語が、ひとつの区切りを迎えました！次の「調理師」のクラスクエストを開始するためには、以下の条件を満たす必要があります。			食通ロロリトの逆襲							
1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			食通ロロリトの逆襲							
条件を満たし、調理師ギルドの、「リングサス」に話しかけ、新たなクラスクエストを開始しましょう！			条件を満たし、調理師ギルドの、「リングサス」に話しかけ、新たなクラスクエストを開始しましょう！			食通ロロリトの逆襲							
ロウェナ記念会館のラルフは、耳よりな情報を得たようだ。			ロウェナ記念会館のラルフは、耳よりな情報を得たようだ。			素材にこだわるレシピ							
ラルフは、ドマ出身のお年寄りが求める、うどんを作るという。うどんの出汁になる魚の乾物を得るため、リムサ・ロミンサへ行くことになった。リムサ・ロミンサの調理師ギルドにいる「リングサス」と話そう。			ラルフは、ドマ出身のお年寄りが求める、うどんを作るという。うどんの出汁になる魚の乾物を得るため、リムサ・ロミンサへ行くことになった。リムサ・ロミンサの調理師ギルドにいる「リングサス」と話そう。			素材にこだわるレシピ							
リングサスによると、三大海賊の「百鬼夜行」の積み荷に、魚の乾物があるかもしれないという。リムサ・ロミンサの薬舗「セブンスセージ」にいる「カルヴァラン」と話そう。			リングサスによると、三大海賊の「百鬼夜行」の積み荷に、魚の乾物があるかもしれないという。リムサ・ロミンサの薬舗「セブンスセージ」にいる「カルヴァラン」と話そう。			素材にこだわるレシピ							
カルヴァランによると、魚の乾物は「紅血聖女団」の船に譲ったという。リムサ・ロミンサの永遠の乙女亭にいる「ローズウェン」と話そう。			カルヴァランによると、魚の乾物は「紅血聖女団」の船に譲ったという。リムサ・ロミンサの永遠の乙女亭にいる「ローズウェン」と話そう。			素材にこだわるレシピ							
ローズウェンと話したところ、魚の乾物は捨てたというが、メルココが倉庫に保管していたようだ。ロウェナ記念会館へ戻った「ラルフ」と話そう。			ローズウェンと話したところ、魚の乾物は捨てたというが、メルココが倉庫に保管していたようだ。ロウェナ記念会館へ戻った「ラルフ」と話そう。			素材にこだわるレシピ							
ラルフと話した。彼からうどんつゆを作るよう頼まれた。ラルフからもらった「つゆの材料」をもとに「ドマ風うどんつゆ」を製作し、ロウェナ記念会館の「ラルフ」に納品しよう。※「つゆの材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			ラルフと話した。彼からうどんつゆを作るよう頼まれた。ラルフからもらった「つゆの材料」をもとに「ドマ風うどんつゆ」を製作し、ロウェナ記念会館の「ラルフ」に納品しよう。※「つゆの材料」を失った場合は、ロウェナ記念会館にいるポピンに話しかけましょう。材料を入手し、再挑戦が可能になります。			素材にこだわるレシピ							
ドマ風うどんつゆをラルフに納品した。ドマ出身のお年寄りに食べてもらい好評だったが、アンズの父ウンザンが現れ、ラルフの作った麺を咎められた。ロウェナ記念会館のラルフと話そう。			ドマ風うどんつゆをラルフに納品した。ドマ出身のお年寄りに食べてもらい好評だったが、アンズの父ウンザンが現れ、ラルフの作った麺を咎められた。ロウェナ記念会館のラルフと話そう。			素材にこだわるレシピ							
ラルフと話した。彼はアンズとの結婚をウンザンに反対されていて、調理師として認めてもらうことで、結婚を許してもらおうとしているようだ。さらなる東方料理に挑戦するため、切磋琢磨を続けよう。※調理師のレベルが68以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			ラルフと話した。彼はアンズとの結婚をウンザンに反対されていて、調理師として認めてもらうことで、結婚を許してもらおうとしているようだ。さらなる東方料理に挑戦するため、切磋琢磨を続けよう。※調理師のレベルが68以上になると、レヴナンツトールのラルフから次の調理師クエストを受注することができます。			素材にこだわるレシピ							
調理師ギルドのリングサスと話す			調理師ギルドのリングサスと話す			素材にこだわるレシピ							
カルヴァランと話す			カルヴァランと話す			素材にこだわるレシピ							
ローズウェンと話す			ローズウェンと話す			素材にこだわるレシピ							
レヴナンツトールのラルフと話す			レヴナンツトールのラルフと話す			素材にこだわるレシピ							
製作手帳 クラスクエスト：ドマ風うどんつゆを製作ラルフにドマ風うどんつゆを納品			製作手帳 クラスクエスト：ドマ風うどんつゆを製作ラルフにドマ風うどんつゆを納品			素材にこだわるレシピ							
ラルフと話す			ラルフと話す			素材にこだわるレシピ							
よう、Forenameさん。おかげで、おにぎりの評判は上々だぞ！働くドマの民からの注文が、ひっきりなしさ。			よう、Forenameさん。おかげで、おにぎりの評判は上々だぞ！働くドマの民からの注文が、ひっきりなしさ。			素材にこだわるレシピ							
それで、次の新メニューの話なんだが、耳よりな情報があってな。ドマ出身のお年寄りが、エオルゼアの脂っこい料理で、よく、お腹を壊してしまうというんだ。			それで、次の新メニューの話なんだが、耳よりな情報があってな。ドマ出身のお年寄りが、エオルゼアの脂っこい料理で、よく、お腹を壊してしまうというんだ。			素材にこだわるレシピ							
そこで求められたのが、東方料理の「うどん」というもの。さっぱりしていて消化にいい、スープに漬けた麺料理だそうだ。今回はそれを作って、お年寄りに振舞おうと思う。			そこで求められたのが、東方料理の「うどん」というもの。さっぱりしていて消化にいい、スープに漬けた麺料理だそうだ。今回はそれを作って、お年寄りに振舞おうと思う。			素材にこだわるレシピ							
なんでも、決め手はスープとなる「出汁」らしい。魚の乾物から煮出した出汁は、東方料理の基本にもなるようだ。			なんでも、決め手はスープとなる「出汁」らしい。魚の乾物から煮出した出汁は、東方料理の基本にもなるようだ。			素材にこだわるレシピ							
素材の味を活かす大切さは、前回学んだからな。今回は材料となる魚の乾物にも、こだわりたいと思う。ということで、魚介の産地、リムサ・ロミンサに出かけよう！			素材の味を活かす大切さは、前回学んだからな。今回は材料となる魚の乾物にも、こだわりたいと思う。ということで、魚介の産地、リムサ・ロミンサに出かけよう！			素材にこだわるレシピ							
向こうに着いたら、まずはレストラン「ビスマルク」の、「リングサス」さんに相談してみようぜ。			向こうに着いたら、まずはレストラン「ビスマルク」の、「リングサス」さんに相談してみようぜ。			素材にこだわるレシピ							
さあ、「リングサス」さんに、出汁の材料となる、魚の乾物の相談をしてみようぜ。			さあ、「リングサス」さんに、出汁の材料となる、魚の乾物の相談をしてみようぜ。			素材にこだわるレシピ							
なるほど、東方料理の出汁を取るための乾物か……。それなら、本場の乾物を使うのが一番だろう。			なるほど、東方料理の出汁を取るための乾物か……。それなら、本場の乾物を使うのが一番だろう。			素材にこだわるレシピ							
