トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
よーし、ここからは私がセコンドとして、精一杯アンタをサポートするよ！			よーし、ここからは私がセコンドとして、精一杯アンタをサポートするよ！			トライテールの姉妹							
アルカディア・ソサエティの控室にいるヤーナは、次の相手を紹介したいようだ。			アルカディア・ソサエティの控室にいるヤーナは、次の相手を紹介したいようだ。			爆ぜる悪意							
ヤーナから3人目の相手の紹介を受けた。爆ぜる悪意「ブルートボンバー」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			ヤーナから3人目の相手の紹介を受けた。爆ぜる悪意「ブルートボンバー」に挑戦しよう。※コンテンツファインダーから攻略に参加できます。			爆ぜる悪意							
ブルートボンバーに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ブルートボンバーに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			爆ぜる悪意							
ヤーナと話し、冒険者は初戴冠セレモニーに出ることになった。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。			ヤーナと話し、冒険者は初戴冠セレモニーに出ることになった。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。			爆ぜる悪意							
ヤーナと話し、初戴冠セレモニーに出たところ、失踪していたヤーナの姉、ユトロープが突如乱入して冒険者に宣戦布告した。アルカディアのオーナーのひと声で特別試合が決まるのだった。			ヤーナと話し、初戴冠セレモニーに出たところ、失踪していたヤーナの姉、ユトロープが突如乱入して冒険者に宣戦布告した。アルカディアのオーナーのひと声で特別試合が決まるのだった。			爆ぜる悪意							
「至天の座アルカディア：ライトヘビー級3」を攻略			「至天の座アルカディア：ライトヘビー級3」を攻略			爆ぜる悪意							
ヤーナと話す			ヤーナと話す			爆ぜる悪意							
ヤーナと再度話す			ヤーナと再度話す			爆ぜる悪意							
いよいよ、ライトヘビー級の現王者との闘いだね。しっかり気合入れていこう！			いよいよ、ライトヘビー級の現王者との闘いだね。しっかり気合入れていこう！			爆ぜる悪意							
それじゃあ、私から次の相手を紹介しよう。モニターを見て。			それじゃあ、私から次の相手を紹介しよう。モニターを見て。			爆ぜる悪意							
コイツがライトヘビー級の現王者、爆ぜる悪意「ブルートボンバー」！			コイツがライトヘビー級の現王者、爆ぜる悪意「ブルートボンバー」！			爆ぜる悪意							
炎の魔物「ボムキング」の魂を注入し、手当たり次第に爆発を起こしてくるんだけど……本当にヤバいのはそこじゃない。			炎の魔物「ボムキング」の魂を注入し、手当たり次第に爆発を起こしてくるんだけど……本当にヤバいのはそこじゃない。			爆ぜる悪意							
ブルートボンバーはルールを無視した、卑怯千万、極悪非道なラフファイトで有名でね。コイツに病院送りにされた闘士は数知れないんだ。			ブルートボンバーはルールを無視した、卑怯千万、極悪非道なラフファイトで有名でね。コイツに病院送りにされた闘士は数知れないんだ。			爆ぜる悪意							
でも、私を倒したアンタなら、そんな反則野郎になんか決して負けないはず！			でも、私を倒したアンタなら、そんな反則野郎になんか決して負けないはず！			爆ぜる悪意							
さあ、ブルートボンバーをぶっ飛ばして、ライトヘビー級王者になってやろうぜ！			さあ、ブルートボンバーをぶっ飛ばして、ライトヘビー級王者になってやろうぜ！			爆ぜる悪意							
反則野郎のブルートボンバーをぶっ飛ばして、ライトヘビー級王者になってやろうぜ！			反則野郎のブルートボンバーをぶっ飛ばして、ライトヘビー級王者になってやろうぜ！			爆ぜる悪意							
やってくれたね！アンタに負けた私だけど、自分のことのように嬉しいよ！！			やってくれたね！アンタに負けた私だけど、自分のことのように嬉しいよ！！			爆ぜる悪意							
魔物の魂も使わずに、そこまでやれるなんて本当に驚いた。人は生身のままで強くなれるもんなんだね。			魔物の魂も使わずに、そこまでやれるなんて本当に驚いた。人は生身のままで強くなれるもんなんだね。			爆ぜる悪意							
これで、Forenameは、ライトヘビー級の新たな王者になったわけだ、おめでとう！			これで、Forenameは、ライトヘビー級の新たな王者になったわけだ、おめでとう！			爆ぜる悪意							
これから、新王者の初戴冠セレモニーがあるんだ。みんなに注目される場だから、しっかり着飾って、また私に声をかけてくれ！			これから、新王者の初戴冠セレモニーがあるんだ。みんなに注目される場だから、しっかり着飾って、また私に声をかけてくれ！			爆ぜる悪意							
準備はいいみたいだね。それじゃあ、アンタの晴れの舞台に向かおう！			準備はいいみたいだね。それじゃあ、アンタの晴れの舞台に向かおう！			爆ぜる悪意							
親愛なる皆さん！今宵は見事にライトヘビー級王者となった、新たなスターの初戴冠セレモニーを開催します……！			親愛なる皆さん！今宵は見事にライトヘビー級王者となった、新たなスターの初戴冠セレモニーを開催します……！			爆ぜる悪意							
それでは、主役に登場してもらいましょう……			それでは、主役に登場してもらいましょう……			爆ぜる悪意							
外から来たゲームチェンジャー！生身の挑戦者、Forename～～～！			外から来たゲームチェンジャー！生身の挑戦者、Forename～～～！			爆ぜる悪意							
(-聞き覚えのある野太い声-)ちょっと待ったぁ～～～っ！			(-聞き覚えのある野太い声-)ちょっと待ったぁ～～～っ！			爆ぜる悪意							
(-聞き覚えのある野太い声-)お前が勝ったなんて、俺様は絶対に認めねぇからなっ……！			(-聞き覚えのある野太い声-)お前が勝ったなんて、俺様は絶対に認めねぇからなっ……！			爆ぜる悪意							
おっとォ～！ここで、ブルートボンバーの乱入だァ！なにやら、不満があるようだがァ～～～！？			おっとォ～！ここで、ブルートボンバーの乱入だァ！なにやら、不満があるようだがァ～～～！？			爆ぜる悪意							
大体、複数でかかってくるなんて卑怯だぞっ！ここで、一対一で勝負しなおしだぁ～！			大体、複数でかかってくるなんて卑怯だぞっ！ここで、一対一で勝負しなおしだぁ～！			爆ぜる悪意							
卑怯なのはどっちだ！一対一なら、そっちも生身で闘いやがれ！			卑怯なのはどっちだ！一対一なら、そっちも生身で闘いやがれ！			爆ぜる悪意							
(-ブルートボンバー-)うるせぇ！俺様こそがルールだぁ～～～！！			(-ブルートボンバー-)うるせぇ！俺様こそがルールだぁ～～～！！			爆ぜる悪意							
こ、これはいったい、何が起こったというのかァ～～～！？			こ、これはいったい、何が起こったというのかァ～～～！？			爆ぜる悪意							
ね、姉さんッ……！？			ね、姉さんッ……！？			爆ぜる悪意							
な、な、なんとォ～～～！行方知れずになっていた人気ヘビー級闘士、ウィケッドサンダーの登場だァ～～～！			な、な、なんとォ～～～！行方知れずになっていた人気ヘビー級闘士、ウィケッドサンダーの登場だァ～～～！			爆ぜる悪意							
お前の魂を……もらいうける！			お前の魂を……もらいうける！			爆ぜる悪意							
お～っと、帰ってきたウィケッドサンダー！突如、挑戦者に宣戦布告だァ～～～！			お～っと、帰ってきたウィケッドサンダー！突如、挑戦者に宣戦布告だァ～～～！			爆ぜる悪意							
しかしながら、失踪した彼女の闘士資格は抹消済みッ！熱い試合が見たいのはやまやまですが、さすがにワタシの一存では……			しかしながら、失踪した彼女の闘士資格は抹消済みッ！熱い試合が見たいのはやまやまですが、さすがにワタシの一存では……			爆ぜる悪意							
(-低くかすれた声-)おもしろいではないか……			(-低くかすれた声-)おもしろいではないか……			爆ぜる悪意							
こ、この声は……アルカディアのオーナーだァ！			こ、この声は……アルカディアのオーナーだァ！			爆ぜる悪意							
(-アルカディアのオーナー-)乱入戦を許可しよう！ウィケッドサンダー用のリングの再現と、挑戦者の準備ができ次第、特別試合開始だ……。			(-アルカディアのオーナー-)乱入戦を許可しよう！ウィケッドサンダー用のリングの再現と、挑戦者の準備ができ次第、特別試合開始だ……。			爆ぜる悪意							
オーナーの鶴の一声で、急遽特別試合が決まったァ～～～！次世代魔女と、生身の挑戦者の対決……これは見ものだぞォ～～～！			オーナーの鶴の一声で、急遽特別試合が決まったァ～～～！次世代魔女と、生身の挑戦者の対決……これは見ものだぞォ～～～！			爆ぜる悪意							
アルカディア・ソサエティの控室にいるヤーナは、驚き戸惑っているようだ。			アルカディア・ソサエティの控室にいるヤーナは、驚き戸惑っているようだ。			次世代魔女							
ヤーナから改めてウィケッドサンダーの紹介を受けた。次世代魔女「ウィケッドサンダー」と勝負しよう。※コンテンツファインダーから攻略に参加できます。			ヤーナから改めてウィケッドサンダーの紹介を受けた。次世代魔女「ウィケッドサンダー」と勝負しよう。※コンテンツファインダーから攻略に参加できます。			次世代魔女							
ウィケッドサンダーに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			ウィケッドサンダーに勝利した。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			次世代魔女							
ヤーナは去ったユトロープのことが気になるようだが、次の階級の試合まで時間が空くので、ジムに戻ることになった。ソリューション・ナインのジム・トライテール前にいる「ヤーナ」と話そう。			ヤーナは去ったユトロープのことが気になるようだが、次の階級の試合まで時間が空くので、ジムに戻ることになった。ソリューション・ナインのジム・トライテール前にいる「ヤーナ」と話そう。			次世代魔女							
ジム・トライテールに戻ったところ、ユトロープが現れた。彼女は魂蝕症という病に冒されていて、余命も僅かだという。それも、魔物の魂を注入してきたことが原因だそうだ。アルカディア・ソサエティは闘士たちが魂蝕症を発症し、死亡していたことを巧妙に隠していたのだった。冒険者はアルカディア・ソサエティに保管された魂を解放するためにも、アルカディアで統一王者を目指すことになった。ジム・トライテール前にいる「ヤーナ」と話そう。			ジム・トライテールに戻ったところ、ユトロープが現れた。彼女は魂蝕症という病に冒されていて、余命も僅かだという。それも、魔物の魂を注入してきたことが原因だそうだ。アルカディア・ソサエティは闘士たちが魂蝕症を発症し、死亡していたことを巧妙に隠していたのだった。冒険者はアルカディア・ソサエティに保管された魂を解放するためにも、アルカディアで統一王者を目指すことになった。ジム・トライテール前にいる「ヤーナ」と話そう。			次世代魔女							
ヤーナと話したところ、ガブロが現れ取材を求められた。次なる階級、クルーザー級の試合が始まる頃合いまで、ガブロの取材を受けてみるのもいいかもしれない。			ヤーナと話したところ、ガブロが現れ取材を求められた。次なる階級、クルーザー級の試合が始まる頃合いまで、ガブロの取材を受けてみるのもいいかもしれない。			次世代魔女							
「至天の座アルカディア：ライトヘビー級4」を攻略			「至天の座アルカディア：ライトヘビー級4」を攻略			次世代魔女							
ヤーナと話す			ヤーナと話す			次世代魔女							
ジム・トライテール前のヤーナと話す			ジム・トライテール前のヤーナと話す			次世代魔女							
ヤーナと再度話す			ヤーナと再度話す			次世代魔女							
姉さん……なんでまた、こんなときに……？			姉さん……なんでまた、こんなときに……？			次世代魔女							
ごめん、あまりに突然、失踪していたユトロープが現れたものだから……。			ごめん、あまりに突然、失踪していたユトロープが現れたものだから……。			次世代魔女							
せっかくのセレモニーがこんなことになるなんてね。でも、特別試合が決まってしまった以上、ウィケッドサンダーと闘うしかない。			せっかくのセレモニーがこんなことになるなんてね。でも、特別試合が決まってしまった以上、ウィケッドサンダーと闘うしかない。			次世代魔女							
元々、ヘビー級の闘士だった姉さんは、はっきり言って、これまでの相手とは格が違う。			元々、ヘビー級の闘士だった姉さんは、はっきり言って、これまでの相手とは格が違う。			次世代魔女							
でも、破竹の勢いで勝ち進んできたアンタだ。その実力なら、勝てる可能性もゼロじゃないはず！			でも、破竹の勢いで勝ち進んできたアンタだ。その実力なら、勝てる可能性もゼロじゃないはず！			次世代魔女							
ウィケッドサンダーの闘い方は、ジムでネユニが話したとおり。雷馬の魂を注入し、エレクトロープ製の装備に雷の力を溜めて、変幻自在に攻撃を繰り出してくる。			ウィケッドサンダーの闘い方は、ジムでネユニが話したとおり。雷馬の魂を注入し、エレクトロープ製の装備に雷の力を溜めて、変幻自在に攻撃を繰り出してくる。			次世代魔女							
専用のリングは、空想の巨大都市を模してて、その力を存分に発揮できるような構造になってるんだ。あまりに激しい闘いになるから、客席すらないんだよ。			専用のリングは、空想の巨大都市を模してて、その力を存分に発揮できるような構造になってるんだ。あまりに激しい闘いになるから、客席すらないんだよ。			次世代魔女							
相手は実の姉さんだけど、私はアンタのセコンド。当然、Forenameを精一杯応援してるから、どうかウィケッドサンダーに負けないでくれ！			相手は実の姉さんだけど、私はアンタのセコンド。当然、Forenameを精一杯応援してるから、どうかウィケッドサンダーに負けないでくれ！			次世代魔女							
ウィケッドサンダーは、これまでの相手とは格が違う。厳しい闘いになるだろうけど、Forename、どうか姉さんに負けないでくれ！			ウィケッドサンダーは、これまでの相手とは格が違う。厳しい闘いになるだろうけど、Forename、どうか姉さんに負けないでくれ！			次世代魔女							
よかった、無事みたいだね。本当にウィケッドサンダーに勝つなんて……アンタの実力は、ライトヘビー級どころじゃなかったってことか。			よかった、無事みたいだね。本当にウィケッドサンダーに勝つなんて……アンタの実力は、ライトヘビー級どころじゃなかったってことか。			次世代魔女							
姉さんはどこかへ消えてしまったし、次の階級の試合まで、しばらく時間も空く。ひとまず、ジム・トライテールに戻るとしようか。			姉さんはどこかへ消えてしまったし、次の階級の試合まで、しばらく時間も空く。ひとまず、ジム・トライテールに戻るとしようか。			次世代魔女							
ネユニも中継で見て驚いてるはず。さあ、ジムに入ろう。			ネユニも中継で見て驚いてるはず。さあ、ジムに入ろう。			次世代魔女							
Forenameさんが無事でよかったですが、まさか、ユト姉が現れるなんて……			Forenameさんが無事でよかったですが、まさか、ユト姉が現れるなんて……			次世代魔女							
なんで、あなたがここにいるの……？			なんで、あなたがここにいるの……？			次世代魔女							
ま、いいわ。ここには、闘いに来たわけじゃない、妹たちに話があっただけ。			ま、いいわ。ここには、闘いに来たわけじゃない、妹たちに話があっただけ。			次世代魔女							
私も姉さんには聞きたいことがいっぱいある。ねえ、なんで急にいなくなって……いままで何をしていたの？			私も姉さんには聞きたいことがいっぱいある。ねえ、なんで急にいなくなって……いままで何をしていたの？			次世代魔女							
全部これから話すけど……まずはヤーナ、死にたくなければ、いますぐ闘士をやめなさい。			全部これから話すけど……まずはヤーナ、死にたくなければ、いますぐ闘士をやめなさい。			次世代魔女							
ど、どういうこと……？			ど、どういうこと……？			次世代魔女							
そのままの意味よ。肉体が変異するほどの魂の注入を繰り返すと、自己の魂が蝕まれる病、「魂蝕症(こんしょくしょう)」を発症するの。			そのままの意味よ。肉体が変異するほどの魂の注入を繰り返すと、自己の魂が蝕まれる病、「魂蝕症(こんしょくしょう)」を発症するの。			次世代魔女							
そして、いずれは魂が腐り果てて死に至る。私もすでに病に冒され、余命もわずかしか残されていない……。			そして、いずれは魂が腐り果てて死に至る。私もすでに病に冒され、余命もわずかしか残されていない……。			次世代魔女							
ま、まさか……身体に負荷がかかるからこそ、引退制度があるはずでしょ！なのに、どうして……！？			ま、まさか……身体に負荷がかかるからこそ、引退制度があるはずでしょ！なのに、どうして……！？			次世代魔女							
ヤーナ、あなたは引退した闘士と会ったことはある？絶対にないはずよ。			ヤーナ、あなたは引退した闘士と会ったことはある？絶対にないはずよ。			次世代魔女							
彼らは高層にある高級居住区に移住したと言われてるけど、実際には、魂蝕症の犠牲になっている。引退制度そのものが、死を隠すための手段だったのよ。			彼らは高層にある高級居住区に移住したと言われてるけど、実際には、魂蝕症の犠牲になっている。引退制度そのものが、死を隠すための手段だったのよ。			次世代魔女							
で、でも、私は引退した闘士たちのことを覚えている！死んだのなら、忘れてるはずじゃないか！？			で、でも、私は引退した闘士たちのことを覚えている！死んだのなら、忘れてるはずじゃないか！？			次世代魔女							
引退した闘士たちは移住だと騙されて、アルカディアが運営する施設に連行されていたのよ。そこでレギュレーターを外され、死ぬまで監禁されていたの。			引退した闘士たちは移住だと騙されて、アルカディアが運営する施設に連行されていたのよ。そこでレギュレーターを外され、死ぬまで監禁されていたの。			次世代魔女							
レギュレーターがなければ、エバーキープの基幹システムは死を検知できないから、死者の記憶が雲の上に預けられることもないというわけ。			レギュレーターがなければ、エバーキープの基幹システムは死を検知できないから、死者の記憶が雲の上に預けられることもないというわけ。			次世代魔女							
私は発症前に、身体の異変に気づいてね……。引退した先輩闘士に相談しようと思って行方を調べるうちに、忍び込んだオーナー室で、不都合な真実を知ってしまったのよ。			私は発症前に、身体の異変に気づいてね……。引退した先輩闘士に相談しようと思って行方を調べるうちに、忍び込んだオーナー室で、不都合な真実を知ってしまったのよ。			次世代魔女							
このままじゃ殺される。そう思ってアルカディアから姿を消し、身を隠しながら、魂蝕症の治療法を探っていたの。			このままじゃ殺される。そう思ってアルカディアから姿を消し、身を隠しながら、魂蝕症の治療法を探っていたの。			次世代魔女							
そ、それは見つかったの……？			そ、それは見つかったの……？			次世代魔女							
魂蝕症を治す唯一の方法は、理論上、「人の魂」を注入することだとわかったわ。それも普通の魂じゃなく、並外れて濃い魂を……。			魂蝕症を治す唯一の方法は、理論上、「人の魂」を注入することだとわかったわ。それも普通の魂じゃなく、並外れて濃い魂を……。			次世代魔女							
その持ち主こそ、あなただった。恨みはないわ、でも私が生きる道はほかにない……。			その持ち主こそ、あなただった。恨みはないわ、でも私が生きる道はほかにない……。			次世代魔女							
乱入してみせたのも、街中で奇襲して騒ぎになるよりも、むしろ確実に魂を奪えると思ったから……。			乱入してみせたのも、街中で奇襲して騒ぎになるよりも、むしろ確実に魂を奪えると思ったから……。			次世代魔女							
オーナーの性格なら、盛り上がる試合は逃さないだろうとね。誤算だったのは予想以上に、私の身体が弱っていたこと……そうじゃなければ、負けなかったはずよ。			オーナーの性格なら、盛り上がる試合は逃さないだろうとね。誤算だったのは予想以上に、私の身体が弱っていたこと……そうじゃなければ、負けなかったはずよ。			次世代魔女							
でも、次は必ずその魂をもらい受ける！			でも、次は必ずその魂をもらい受ける！			次世代魔女							
待ってくれ、姉さん！いくら生きるためでも、人の魂を奪おうなんて……絶対に間違ってるよ！！			待ってくれ、姉さん！いくら生きるためでも、人の魂を奪おうなんて……絶対に間違ってるよ！！			次世代魔女							
あなたにわかるの！？病に蝕まれ、生きながらに魂が腐る恐怖が……！			あなたにわかるの！？病に蝕まれ、生きながらに魂が腐る恐怖が……！			次世代魔女							
邪魔するよ。お姉さんが現れたことでキミが動揺してないか、心配で来てみたんだけど、大変なことを聞いてしまったな……。			邪魔するよ。お姉さんが現れたことでキミが動揺してないか、心配で来てみたんだけど、大変なことを聞いてしまったな……。			次世代魔女							
アンタも知らなかったのか？アルカディアの運営に関わってたのに……。			アンタも知らなかったのか？アルカディアの運営に関わってたのに……。			次世代魔女							
ああ、知っていたら、嬉々として実況なんかできないよ。死が回避できているから、試合を楽しんでいられたんだ。			ああ、知っていたら、嬉々として実況なんかできないよ。死が回避できているから、試合を楽しんでいられたんだ。			次世代魔女							
姉さんのことはショックだし、仲間である、ほかの闘士たちにも死んでほしくない。この真実を公表して、アルカディアを閉鎖させよう……！			姉さんのことはショックだし、仲間である、ほかの闘士たちにも死んでほしくない。この真実を公表して、アルカディアを閉鎖させよう……！			次世代魔女							
それはかえって危険だ！ウチのオーナーは興行の邪魔をする者には容赦しない……！			それはかえって危険だ！ウチのオーナーは興行の邪魔をする者には容赦しない……！			次世代魔女							
真実を公表したり、闘士たちを逃がそうとしたりしたら、それこそ彼らも無事じゃ済まないはずだ！ユトロープが黙っていたのも、それがわかっていたのだろう。			真実を公表したり、闘士たちを逃がそうとしたりしたら、それこそ彼らも無事じゃ済まないはずだ！ユトロープが黙っていたのも、それがわかっていたのだろう。			次世代魔女							
たしかに……姉さんも、独りで真相を探っていたような口ぶりだった……。			たしかに……姉さんも、独りで真相を探っていたような口ぶりだった……。			次世代魔女							
まあ、そういう冷徹なオーナーだからこそ、魂蝕症のことを、平然と隠していられたのだろうが……。とにかく、今やるべきことはひとつ！			まあ、そういう冷徹なオーナーだからこそ、魂蝕症のことを、平然と隠していられたのだろうが……。とにかく、今やるべきことはひとつ！			次世代魔女							
ズバリ、Forename！キミがアルカディアの頂点、至天の座に上り詰め、統一王者になることだ！			ズバリ、Forename！キミがアルカディアの頂点、至天の座に上り詰め、統一王者になることだ！			次世代魔女							
統一王者は、アルカディアが保管するすべての魂を、自由に用いる権利が与えられる。つまり、すべての魂を解放することができるのだよ！			統一王者は、アルカディアが保管するすべての魂を、自由に用いる権利が与えられる。つまり、すべての魂を解放することができるのだよ！			次世代魔女							
そうすれば、闘士たちはもう魔物の魂が使えなくなり、魂蝕症になることもないだろう？ライトヘビー級を制したキミなら、それができるはずだ……！			そうすれば、闘士たちはもう魔物の魂が使えなくなり、魂蝕症になることもないだろう？ライトヘビー級を制したキミなら、それができるはずだ……！			次世代魔女							
何と言う？			何と言う？			次世代魔女							
望むところだ！			望むところだ！			次世代魔女							
どのみち、そのつもりだった			どのみち、そのつもりだった			次世代魔女							
報酬がもらえればいい……			報酬がもらえればいい……			次世代魔女							
なかなか頼もしいじゃないか……。それでは慌ただしいが、ここらで失礼させてもらうよ。あまり長居すると、私まで怪しまれかねない。			なかなか頼もしいじゃないか……。それでは慌ただしいが、ここらで失礼させてもらうよ。あまり長居すると、私まで怪しまれかねない。			次世代魔女							
負けた私は、しばらく試合に出ることはできない。だから、闘いをアンタに託す形になってしまうけれど、引き続きセコンドとして、全力でサポートするつもりだ。			負けた私は、しばらく試合に出ることはできない。だから、闘いをアンタに託す形になってしまうけれど、引き続きセコンドとして、全力でサポートするつもりだ。			次世代魔女							
もちろん、その傍らで、ネユニと一緒に魂蝕症の治療法についても探ってみるよ。アンタを犠牲にせず、姉さんを救う方法を見つけたいからね。			もちろん、その傍らで、ネユニと一緒に魂蝕症の治療法についても探ってみるよ。アンタを犠牲にせず、姉さんを救う方法を見つけたいからね。			次世代魔女							
はあ……正直、まだ事態が飲み込めない。			はあ……正直、まだ事態が飲み込めない。			次世代魔女							
妹の手前、強がってみせたけど、本当は不安で仕方がないんだ。でも、この状況にアンタがいてくれて心強いよ。			妹の手前、強がってみせたけど、本当は不安で仕方がないんだ。でも、この状況にアンタがいてくれて心強いよ。			次世代魔女							
もう、ただの闘技ショーじゃなくなってしまったけど……クルーザー級の試合が始まる頃合いに、またここに来てくれ。			もう、ただの闘技ショーじゃなくなってしまったけど……クルーザー級の試合が始まる頃合いに、またここに来てくれ。			次世代魔女							
(-？？？？-)初戴冠、おめでとう！ライトヘビー級、新王者のキミをぜひ取材させてほしい……！			(-？？？？-)初戴冠、おめでとう！ライトヘビー級、新王者のキミをぜひ取材させてほしい……！			次世代魔女							
やあ、また会ったね……僕の名は「ガブロ」。絵で語られる物語、漫画というものを描いている者さ。			やあ、また会ったね……僕の名は「ガブロ」。絵で語られる物語、漫画というものを描いている者さ。			次世代魔女							
主にアルカディアの闘技を題材にしていてね。ぜひとも、生身の挑戦者、Forenameの闘いを、取り上げたいと考えている。			主にアルカディアの闘技を題材にしていてね。ぜひとも、生身の挑戦者、Forenameの闘いを、取り上げたいと考えている。			次世代魔女							
ただ、取材にあたって少し準備をしておきたい……。それが終わり次第にはなるが、よければ、時間があるときに訪ねてきてくれ。			ただ、取材にあたって少し準備をしておきたい……。それが終わり次第にはなるが、よければ、時間があるときに訪ねてきてくれ。			次世代魔女							
僕はすぐそこで待っているから、時間があるときにでも、声をかけてくれ！			僕はすぐそこで待っているから、時間があるときにでも、声をかけてくれ！			次世代魔女							
ガブロの漫画は、ソリューション・ナインで大人気なんだ。取り上げられるのは、アンタもスター闘士になった証拠……せっかくだし、取材を受けてみるといいよ。			ガブロの漫画は、ソリューション・ナインで大人気なんだ。取り上げられるのは、アンタもスター闘士になった証拠……せっかくだし、取材を受けてみるといいよ。			次世代魔女							
ジム・トライテール前のヤーナは、冒険者に話したいことがあるようだ。			ジム・トライテール前のヤーナは、冒険者に話したいことがあるようだ。			魂を蝕む病							
前回までの冒険録：メテムから誘われ、冒険者は闘技ショー「アルカディア」の挑戦者となる。初戦で破った闘士、ブラックキャットことヤーナをセコンドにすえて勝ち進み、冒険者はライトヘビー級の王座を奪取した。しかしその初戴冠式に、謎の失踪を遂げていたヘビー級闘士ウィケッドサンダーが乱入、ヤーナの姉でもある彼女は冒険者に挑戦するが、これを冒険者は見事に退ける。そして、彼女から聞かされたのは驚くべき真実だった。引退したとされる闘士たちが、魔物の魂を注入し続けることで「魂蝕症」という病を発症し、病死していたというのだ。冒険者は皆を救うためにも、統一王者を目指すことになるのだった。　　　　　　　　　　　　*　*　*ヤーナは魂蝕症の件で話したいことがあるという。ジム・トライテールの「ヤーナ」と話そう。			前回までの冒険録：メテムから誘われ、冒険者は闘技ショー「アルカディア」の挑戦者となる。初戦で破った闘士、ブラックキャットことヤーナをセコンドにすえて勝ち進み、冒険者はライトヘビー級の王座を奪取した。しかしその初戴冠式に、謎の失踪を遂げていたヘビー級闘士ウィケッドサンダーが乱入、ヤーナの姉でもある彼女は冒険者に挑戦するが、これを冒険者は見事に退ける。そして、彼女から聞かされたのは驚くべき真実だった。引退したとされる闘士たちが、魔物の魂を注入し続けることで「魂蝕症」という病を発症し、病死していたというのだ。冒険者は皆を救うためにも、統一王者を目指すことになるのだった。　　　　　　　　　　　　*　*　*ヤーナは魂蝕症の件で話したいことがあるという。ジム・トライテールの「ヤーナ」と話そう。			魂を蝕む病							
ヤーナと話したところ、魂蝕症のことを闘士たちに伝えたいという。まずは、ハニー・Ｂ・ラブリーに伝えるため、彼女を呼び出すことになった。ジム・トライテールの「指定地点」で待機しよう。			ヤーナと話したところ、魂蝕症のことを闘士たちに伝えたいという。まずは、ハニー・Ｂ・ラブリーに伝えるため、彼女を呼び出すことになった。ジム・トライテールの「指定地点」で待機しよう。			魂を蝕む病							
ハニー・Ｂ・ラブリーに魂蝕症のことを伝え、彼女は引退を決意した。次にブルートボンバーにも伝えるため、ソリューション・ナインの9-11居住殻に向かい「ヤーナ」と話そう。			ハニー・Ｂ・ラブリーに魂蝕症のことを伝え、彼女は引退を決意した。次にブルートボンバーにも伝えるため、ソリューション・ナインの9-11居住殻に向かい「ヤーナ」と話そう。			魂を蝕む病							
ブルートボンバーに魂蝕症のことを伝えたが、彼はすでに発症してしまっていた。ジム・トライテールに戻り「ヤーナ」と話そう。			ブルートボンバーに魂蝕症のことを伝えたが、彼はすでに発症してしまっていた。ジム・トライテールに戻り「ヤーナ」と話そう。			魂を蝕む病							
メテムからクルーザー級の試合が始まると連絡がきた。ソリューション・ナインのアルカディア・ソサエティ前にいる、「アルカディアの係員」と話そう。			メテムからクルーザー級の試合が始まると連絡がきた。ソリューション・ナインのアルカディア・ソサエティ前にいる、「アルカディアの係員」と話そう。			魂を蝕む病							
アルカディアの係員に、アルカディア・ソサエティの控室に案内された。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			アルカディアの係員に、アルカディア・ソサエティの控室に案内された。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			魂を蝕む病							
クルーザー級の闘士たちと顔を合わせた。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。			クルーザー級の闘士たちと顔を合わせた。アルカディア・ソサエティの控室にいる「ヤーナ」と話そう。			魂を蝕む病							
クルーザー級の試合に臨むことになった。しっかり気合を入れて、またヤーナに声をかけよう。			クルーザー級の試合に臨むことになった。しっかり気合を入れて、またヤーナに声をかけよう。			魂を蝕む病							
ジム・トライテールのヤーナと話す			ジム・トライテールのヤーナと話す			魂を蝕む病							
指定地点で待機			指定地点で待機			魂を蝕む病							
ヤーナと話す			ヤーナと話す			魂を蝕む病							
ジム・トライテールのヤーナと話す			ジム・トライテールのヤーナと話す			魂を蝕む病							
アルカディア・ソサエティ前のアルカディアの係員と話す			アルカディア・ソサエティ前のアルカディアの係員と話す			魂を蝕む病							
ヤーナと話す			ヤーナと話す			魂を蝕む病							
やあ、Forename。ちょうどいいところに来てくれた。			やあ、Forename。ちょうどいいところに来てくれた。			魂を蝕む病							
