ミーン工芸館のイオラは、何かに悩んでいるようだ。			ミーン工芸館のイオラは、何かに悩んでいるようだ。			若き経営者、イオラ							
取り返したい物があるんだろ？			取り返したい物があるんだろ？			新たな顧客はン・モゥ族							
あー……うん、でもいいんだ。今、私がやるべきことは、なくした思い出を探すことじゃない。黒鉄工房の儲けを増やして、みんなの居場所を守ることだから。			あー……うん、でもいいんだ。今、私がやるべきことは、なくした思い出を探すことじゃない。黒鉄工房の儲けを増やして、みんなの居場所を守ることだから。			新たな顧客はン・モゥ族							
あんな小娘に、今までひとりで頑張らせてきて、今度は守ってもらうなんて……アタイは自分が情けないよ。			あんな小娘に、今までひとりで頑張らせてきて、今度は守ってもらうなんて……アタイは自分が情けないよ。			新たな顧客はン・モゥ族							
そうだな。少しでもイオラの気持ちに応えられるよう、オレたちもできることをしなければ。			そうだな。少しでもイオラの気持ちに応えられるよう、オレたちもできることをしなければ。			新たな顧客はン・モゥ族							
さて、次の商品開発の話だけど……多分、これが成功すれば、黒鉄工房はかつての勢いを取り戻すことができると思う。			さて、次の商品開発の話だけど……多分、これが成功すれば、黒鉄工房はかつての勢いを取り戻すことができると思う。			新たな顧客はン・モゥ族							
取引相手もすでに決まっているんだけど、いろいろと準備が必要だから、また声をかけてくれる？			取引相手もすでに決まっているんだけど、いろいろと準備が必要だから、また声をかけてくれる？			新たな顧客はン・モゥ族							
次の納品依頼は、「鍛冶師／甲冑師／彫金師」のいずれかがレベル78以上になると、ミーン工芸館の「イオラ」から受注可能です。			次の納品依頼は、「鍛冶師／甲冑師／彫金師」のいずれかがレベル78以上になると、ミーン工芸館の「イオラ」から受注可能です。			新たな顧客はン・モゥ族							
「金属製の香炉」が完成したら、イオラさんに渡してください。			「金属製の香炉」が完成したら、イオラさんに渡してください。			新たな顧客はン・モゥ族							
材料が足りなくなったら用意いたしますので、Forenameさんは開発に専念してください。			材料が足りなくなったら用意いたしますので、Forenameさんは開発に専念してください。			新たな顧客はン・モゥ族							
イオラは、冒険者に感謝の気持ちを伝えたいようだ。			イオラは、冒険者に感謝の気持ちを伝えたいようだ。			黒鉄工房							
イオラと話した。これまで開発した新商品のおかげで、しばらくは黒鉄工房の経営を続けていけるという。クリスタリウムの彷徨う階段亭にいる「エイスモン」と話そう。			イオラと話した。これまで開発した新商品のおかげで、しばらくは黒鉄工房の経営を続けていけるという。クリスタリウムの彷徨う階段亭にいる「エイスモン」と話そう。			黒鉄工房							
エイスモンと話した。エイスモン、コラーナ、スー・レンドの三人は、イオラのために形見の指輪を取り戻そうとしたが、失敗に終わったという。しかし、ニイ＝マーンには、指輪を取り戻すための妙案があるようだ。「精巧な指輪の材料」をもとに「精巧な指輪」を製作し、彷徨う階段亭の「エイスモン」に納品しよう。※「精巧な指輪の材料」を失った場合は、ニイ＝マーンの使い魔に話しかけましょう。材料を入手し、再挑戦が可能になります。			エイスモンと話した。エイスモン、コラーナ、スー・レンドの三人は、イオラのために形見の指輪を取り戻そうとしたが、失敗に終わったという。しかし、ニイ＝マーンには、指輪を取り戻すための妙案があるようだ。「精巧な指輪の材料」をもとに「精巧な指輪」を製作し、彷徨う階段亭の「エイスモン」に納品しよう。※「精巧な指輪の材料」を失った場合は、ニイ＝マーンの使い魔に話しかけましょう。材料を入手し、再挑戦が可能になります。			黒鉄工房							
エイスモンに精巧な指輪を渡した。ムジカ・ユニバーサリスにいる「ワルデン」と話そう。			エイスモンに精巧な指輪を渡した。ムジカ・ユニバーサリスにいる「ワルデン」と話そう。			黒鉄工房							
ワルデンと話した。始めは形見の指輪を返すことを拒んでいたワルデンだったが、ニイ＝マーンに言われて造った指輪を代わりに渡すと、あっさりと形見の指輪を返還した。彷徨う階段亭の「エイスモン」と話そう。			ワルデンと話した。始めは形見の指輪を返すことを拒んでいたワルデンだったが、ニイ＝マーンに言われて造った指輪を代わりに渡すと、あっさりと形見の指輪を返還した。彷徨う階段亭の「エイスモン」と話そう。			黒鉄工房							
エイスモンと話した。これまで黒鉄工房が取引を行った顧客を呼んで、慰労会を開いた。その最中、エイスモンら三人の職人は、ワルデンから取り返した指輪をイオラに贈った。イオラは、指輪を取り戻すために奮闘してくれた三人の職人と冒険者の厚意に涙を流し、父を失って独りになっても、自分のことを想ってくれる家族がいることに気づいたようだ。ミーン工芸館の「イオラ」と話そう。			エイスモンと話した。これまで黒鉄工房が取引を行った顧客を呼んで、慰労会を開いた。その最中、エイスモンら三人の職人は、ワルデンから取り返した指輪をイオラに贈った。イオラは、指輪を取り戻すために奮闘してくれた三人の職人と冒険者の厚意に涙を流し、父を失って独りになっても、自分のことを想ってくれる家族がいることに気づいたようだ。ミーン工芸館の「イオラ」と話そう。			黒鉄工房							
イオラは冒険者に誓った。これからは、自分たちの力だけで工房を守り続けてみせると。一風変わった連中の集まりだが、この三人と一緒ならば、どんな苦難も乗り越えてみせると。騒がしい黒鉄工房の面々を思い出した時は、再びこの場所を訪れよう。			イオラは冒険者に誓った。これからは、自分たちの力だけで工房を守り続けてみせると。一風変わった連中の集まりだが、この三人と一緒ならば、どんな苦難も乗り越えてみせると。騒がしい黒鉄工房の面々を思い出した時は、再びこの場所を訪れよう。			黒鉄工房							
彷徨う階段亭のエイスモンと話す			彷徨う階段亭のエイスモンと話す			黒鉄工房							
製作手帳 ミーン工芸館取引：精巧な指輪を製作エイスモンに精巧な指輪を納品			製作手帳 ミーン工芸館取引：精巧な指輪を製作エイスモンに精巧な指輪を納品			黒鉄工房							
ワルデンと話す			ワルデンと話す			黒鉄工房							
彷徨う階段亭のエイスモンと話す			彷徨う階段亭のエイスモンと話す			黒鉄工房							
ミーン工芸館のイオラと話す			ミーン工芸館のイオラと話す			黒鉄工房							
前回の新商品開発の収支を計算してみたら、しばらくの間は、問題なく黒鉄工房を維持していけそうだよ。Forenameちゃん君、本当にありがとう。			前回の新商品開発の収支を計算してみたら、しばらくの間は、問題なく黒鉄工房を維持していけそうだよ。Forenameちゃん君、本当にありがとう。			黒鉄工房							
キミには何かお礼をしないとね……っと、そういえばエイスモン君がキミを探していたよ。何でも、相談したいことがあるとか。			キミには何かお礼をしないとね……っと、そういえばエイスモン君がキミを探していたよ。何でも、相談したいことがあるとか。			黒鉄工房							
どうやら、お世話になったキミや取引先の獣人たちを集めて、慰労会を開こうとコソコソ計画してるみたい。その準備を手伝ってもらおうってハラなんじゃない？			どうやら、お世話になったキミや取引先の獣人たちを集めて、慰労会を開こうとコソコソ計画してるみたい。その準備を手伝ってもらおうってハラなんじゃない？			黒鉄工房							
ガッハッハ！経営者の私を出し抜こうなんて、甘いわ！職人たちのやることなんて、ぜ～んぶ、お見通しだからね！			ガッハッハ！経営者の私を出し抜こうなんて、甘いわ！職人たちのやることなんて、ぜ～んぶ、お見通しだからね！			黒鉄工房							
そうそう、エイスモン君は「彷徨う階段亭」にいると思うよ。気が向いたら、話を聞いてやって。			そうそう、エイスモン君は「彷徨う階段亭」にいると思うよ。気が向いたら、話を聞いてやって。			黒鉄工房							
Forenameさん、探しましたよ。実は折り入って相談したいことがありまして……。			Forenameさん、探しましたよ。実は折り入って相談したいことがありまして……。			黒鉄工房							
なんと言う？			なんと言う？			黒鉄工房							
慰労会のことか？			慰労会のことか？			黒鉄工房							
イオラから聞いている			イオラから聞いている			黒鉄工房							
ええっ！？なんで慰労会のことがイオラさんにバレてるんですか！？			ええっ！？なんで慰労会のことがイオラさんにバレてるんですか！？			黒鉄工房							
あの子、頭は空っぽだけど勘だけはいいからねえ……。どうする、一発ブン殴って記憶を奪うかい？			あの子、頭は空っぽだけど勘だけはいいからねえ……。どうする、一発ブン殴って記憶を奪うかい？			黒鉄工房							
お前だけには「頭が空っぽ」なんて言われたくないだろうな。			お前だけには「頭が空っぽ」なんて言われたくないだろうな。			黒鉄工房							
そんなことより、エイスモンが相談したいのは慰労会のことだけではないだろう？			そんなことより、エイスモンが相談したいのは慰労会のことだけではないだろう？			黒鉄工房							
ええ、実は……慰労会の場で、イオラさんが喜ぶ贈り物を渡そうと計画していたんですが、肝心の品を手に入れることに失敗してしまいまして……。			ええ、実は……慰労会の場で、イオラさんが喜ぶ贈り物を渡そうと計画していたんですが、肝心の品を手に入れることに失敗してしまいまして……。			黒鉄工房							
最近、アタイら3人は、身を粉にして働いて金を貯めてたんだ。イオラの親父さんが、借金のカタに奪われちまった指輪を、金貸しから取り戻すためにね。			最近、アタイら3人は、身を粉にして働いて金を貯めてたんだ。イオラの親父さんが、借金のカタに奪われちまった指輪を、金貸しから取り戻すためにね。			黒鉄工房							
オレたちは、ようやく貯まった資金を手に、クリスタリウムで悪名高い金貸し、ワルデンのもとを訪ねた。			オレたちは、ようやく貯まった資金を手に、クリスタリウムで悪名高い金貸し、ワルデンのもとを訪ねた。			黒鉄工房							
だが、必要なだけの金を渡しても、ヤツは利子が足りないと難癖をつけて、指輪を渡そうとしなかった。			だが、必要なだけの金を渡しても、ヤツは利子が足りないと難癖をつけて、指輪を渡そうとしなかった。			黒鉄工房							
本来ならば、あなたを巻き込むのは筋違いかもしれませんが……あなたの知恵をお借りしたいのです。			本来ならば、あなたを巻き込むのは筋違いかもしれませんが……あなたの知恵をお借りしたいのです。			黒鉄工房							
やあ、早く着きすぎてしまった。慰労会などという場は、久々ゆえ……気持ちが逸(はや)ってしまったよ。			やあ、早く着きすぎてしまった。慰労会などという場は、久々ゆえ……気持ちが逸(はや)ってしまったよ。			黒鉄工房							
ところで、面白い話をしていたようだね。私にも詳しく聞かせてくれないかい？			ところで、面白い話をしていたようだね。私にも詳しく聞かせてくれないかい？			黒鉄工房							
なるほど、正当な対価を受け取っておきながら、肝心の品を渡そうとしないとは……。			なるほど、正当な対価を受け取っておきながら、肝心の品を渡そうとしないとは……。			黒鉄工房							
均衡を重んじるン・モゥ族にとって、頼みごとの対価は多すぎても少なすぎてもいけない。そのような悪人には、ひとつお仕置きをしてやらねば……。			均衡を重んじるン・モゥ族にとって、頼みごとの対価は多すぎても少なすぎてもいけない。そのような悪人には、ひとつお仕置きをしてやらねば……。			黒鉄工房							
だけど、指輪はいつもワルデンが持ち歩いているし、もう衛兵団に捕まる覚悟で、ヤツを殺して奪うぐらいしか……。			だけど、指輪はいつもワルデンが持ち歩いているし、もう衛兵団に捕まる覚悟で、ヤツを殺して奪うぐらいしか……。			黒鉄工房							
バカを言うな。そんなことをすればイオラは悲しむ……よな？いや、わからんな……あいつも大概イカれたやつだからな……。			バカを言うな。そんなことをすればイオラは悲しむ……よな？いや、わからんな……あいつも大概イカれたやつだからな……。			黒鉄工房							
フフフ。そんなことをせずとも、私に良いアイデアがある。			フフフ。そんなことをせずとも、私に良いアイデアがある。			黒鉄工房							
Forenameよ、君の出番だ。私が渡す材料で「精巧な指輪」を造り、エイスモンに渡してやってくれ。			Forenameよ、君の出番だ。私が渡す材料で「精巧な指輪」を造り、エイスモンに渡してやってくれ。			黒鉄工房							
なあに、何が起こるかは、すぐにわかるさ。今は何も言わずに私のことを信じてほしい。			なあに、何が起こるかは、すぐにわかるさ。今は何も言わずに私のことを信じてほしい。			黒鉄工房							
エイスモン君は「彷徨う階段亭」にいると思うよ。気が向いたら、話を聞いてやって。			エイスモン君は「彷徨う階段亭」にいると思うよ。気が向いたら、話を聞いてやって。			黒鉄工房							
ったく、どうすりゃいいのさ。			ったく、どうすりゃいいのさ。			黒鉄工房							
厄介なことになったな……。			厄介なことになったな……。			黒鉄工房							
「精巧な指輪」が用意できましたら、僕に渡してください。			「精巧な指輪」が用意できましたら、僕に渡してください。			黒鉄工房							
Forenameさん、ありがとうございます。さすが、素晴らしい出来ですね。			Forenameさん、ありがとうございます。さすが、素晴らしい出来ですね。			黒鉄工房							
それで、ニイ＝マーンさん。この指輪を使って何をしようというんです？			それで、ニイ＝マーンさん。この指輪を使って何をしようというんです？			黒鉄工房							
その指輪の材料には、ちょっとした「おまじない」をかけてある。きっとワルデンは指輪を気に入り、君たちが欲しがっている物を差し出すはずさ。			その指輪の材料には、ちょっとした「おまじない」をかけてある。きっとワルデンは指輪を気に入り、君たちが欲しがっている物を差し出すはずさ。			黒鉄工房							
そんな簡単にいくのかねえ？			そんな簡単にいくのかねえ？			黒鉄工房							
だが、ニイ＝マーンを信じるしかない。			だが、ニイ＝マーンを信じるしかない。			黒鉄工房							
では、これを持ってワルデンに会ってみます。Forenameさんも、一緒に来てください。ヤツは、よく「ムジカ・ユニバーサリス」にいるようです。			では、これを持ってワルデンに会ってみます。Forenameさんも、一緒に来てください。ヤツは、よく「ムジカ・ユニバーサリス」にいるようです。			黒鉄工房							
エイスモン君には会えたの？			エイスモン君には会えたの？			黒鉄工房							
材料が足りなければ、私に声をかけてくれ。いくらでも用意しよう。			材料が足りなければ、私に声をかけてくれ。いくらでも用意しよう。			黒鉄工房							
なあに、何が起こるかは、すぐにわかるさ。今は何も言わずに私のことを信じてほしい。			なあに、何が起こるかは、すぐにわかるさ。今は何も言わずに私のことを信じてほしい。			黒鉄工房							
いったい何をしようってんだい？			いったい何をしようってんだい？			黒鉄工房							
取引の均衡を重んじるン・モゥ族が、嘘を言うとは思えない。きっとオレたちには思いつかぬ妙案があるのだろう。			取引の均衡を重んじるン・モゥ族が、嘘を言うとは思えない。きっとオレたちには思いつかぬ妙案があるのだろう。			黒鉄工房							
ぬ？なんじゃ貴様ら、ワシに何か用でもあるのか？			ぬ？なんじゃ貴様ら、ワシに何か用でもあるのか？			黒鉄工房							
イオラさんのお父上から買い取った指輪を返してもらいに来ました。すでに正当な料金はお支払いしたはずです。			イオラさんのお父上から買い取った指輪を返してもらいに来ました。すでに正当な料金はお支払いしたはずです。			黒鉄工房							
またそのことか！前にも言ったであろう、利子を支払ってもらわにゃ、指輪を渡すわけにはいかぬとな！			またそのことか！前にも言ったであろう、利子を支払ってもらわにゃ、指輪を渡すわけにはいかぬとな！			黒鉄工房							
利子は払えませんが、代わりの指輪を持ってきました。こちらと交換という形ではいかがでしょうか？			利子は払えませんが、代わりの指輪を持ってきました。こちらと交換という形ではいかがでしょうか？			黒鉄工房							
何を勝手なことを！金が用意できぬのなら、返すわけにはいかぬ！			何を勝手なことを！金が用意できぬのなら、返すわけにはいかぬ！			黒鉄工房							
まあまあ、そう言わずに、手に取ってみるだけでも構いませんので……。			まあまあ、そう言わずに、手に取ってみるだけでも構いませんので……。			黒鉄工房							
な、な、なんじゃこれは！？この世界にも、まだこんなにも美しい指輪があったとは！！			な、な、なんじゃこれは！？この世界にも、まだこんなにも美しい指輪があったとは！！			黒鉄工房							
黒鉄工房でも指折りの職人が造った指輪です。お気に召していただけるかと。			黒鉄工房でも指折りの職人が造った指輪です。お気に召していただけるかと。			黒鉄工房							
このような逸品は、なかなかお目にかかることができぬ。良いじゃろう、あの娘の父親から回収した指輪を返してやろう。			このような逸品は、なかなかお目にかかることができぬ。良いじゃろう、あの娘の父親から回収した指輪を返してやろう。			黒鉄工房							
確かに、受け取りましたよ。			確かに、受け取りましたよ。			黒鉄工房							
グフフフフフ！そのような指輪など、もはやどうでもよいわい！ワシにはこれがあるからのう！			グフフフフフ！そのような指輪など、もはやどうでもよいわい！ワシにはこれがあるからのう！			黒鉄工房							
なんだか、拍子抜けするぐらい上手くいきましたね。いったい、ニイ＝マーンさんはどんなおまじないをかけたんだろう。			なんだか、拍子抜けするぐらい上手くいきましたね。いったい、ニイ＝マーンさんはどんなおまじないをかけたんだろう。			黒鉄工房							
ともかく、「彷徨う階段亭」に戻りましょう。慰労会の準備をしなければ。			ともかく、「彷徨う階段亭」に戻りましょう。慰労会の準備をしなければ。			黒鉄工房							
私が言ったとおりの指輪を造ったようだね。それがあれば、事は上手く運ぶだろう。			私が言ったとおりの指輪を造ったようだね。それがあれば、事は上手く運ぶだろう。			黒鉄工房							
彼がワルデンさんです。怒鳴られたりしなければいいんですが……。うう、緊張します……。			彼がワルデンさんです。怒鳴られたりしなければいいんですが……。うう、緊張します……。			黒鉄工房							
ともあれ、イオラさんの大切な指輪を取り戻すことができました。これで、心おきなく慰労会を始めることができます！			ともあれ、イオラさんの大切な指輪を取り戻すことができました。これで、心おきなく慰労会を始めることができます！			黒鉄工房							
あとは、招待した獣人の方々が到着される前に、準備を終わらせなければ！			あとは、招待した獣人の方々が到着される前に、準備を終わらせなければ！			黒鉄工房							
イオラさん、実は僕たちからお渡ししたい品があるんです。			イオラさん、実は僕たちからお渡ししたい品があるんです。			黒鉄工房							
ほほぉ～。もしや花束でも渡そうっていうんじゃないでしょうね？			ほほぉ～。もしや花束でも渡そうっていうんじゃないでしょうね？			黒鉄工房							
ハッ、そんなモンもらって喜ぶクチかい？			ハッ、そんなモンもらって喜ぶクチかい？			黒鉄工房							
……まったくだ。			……まったくだ。			黒鉄工房							
ガッハッハ！どうせもらうなら、花なんかよりお金がいいわね！			ガッハッハ！どうせもらうなら、花なんかよりお金がいいわね！			黒鉄工房							
残念ながらお金でもないんですけど……これ、受け取ってもらえますか。			残念ながらお金でもないんですけど……これ、受け取ってもらえますか。			黒鉄工房							
あらぁ、指輪なんか取りだして……もしかして、プロポーズでもしようっての？いくら私が可愛いからって……			あらぁ、指輪なんか取りだして……もしかして、プロポーズでもしようっての？いくら私が可愛いからって……			黒鉄工房							
ちょっとまって、これ、親父の……形見の指輪……！？いったい、どうやって……。			ちょっとまって、これ、親父の……形見の指輪……！？いったい、どうやって……。			黒鉄工房							
アタイらは黒鉄工房を守るために何もできなかった。けど、せめてアンタにとって大事な物だけは取り戻したかった。			アタイらは黒鉄工房を守るために何もできなかった。けど、せめてアンタにとって大事な物だけは取り戻したかった。			黒鉄工房							
お前が黒鉄工房を立て直したおかげで、ワルデンから指輪を買い戻すだけの金を稼ぐことができた。Forenameの協力も大きかったがな。			お前が黒鉄工房を立て直したおかげで、ワルデンから指輪を買い戻すだけの金を稼ぐことができた。Forenameの協力も大きかったがな。			黒鉄工房							
みんな……ありがとね。親父が死んでから、ひとりきりになったと思ってたけど、私には、まだ家族がいたんだ。			みんな……ありがとね。親父が死んでから、ひとりきりになったと思ってたけど、私には、まだ家族がいたんだ。			黒鉄工房							
フフフ。ああしていると、イオラも年相応の娘にしか見えないね。			フフフ。ああしていると、イオラも年相応の娘にしか見えないね。			黒鉄工房							
ハハハ、確かに……そういえば、ワルデンに渡した指輪にかけた「おまじない」って何だったんです？ずいぶんあっさりと受け取ってくれましたが……。			ハハハ、確かに……そういえば、ワルデンに渡した指輪にかけた「おまじない」って何だったんです？ずいぶんあっさりと受け取ってくれましたが……。			黒鉄工房							
実は、奴が指輪を受け取った理由と、おまじないは無関係でね……ワルデンが大喜びで指輪の交換に応じたのは、ひとえにForenameの技術力のおかげさ。			実は、奴が指輪を受け取った理由と、おまじないは無関係でね……ワルデンが大喜びで指輪の交換に応じたのは、ひとえにForenameの技術力のおかげさ。			黒鉄工房							
私があの指輪にかけたのは、金運が悪くなるおまじないだよ。公正な取引を破る輩には、破滅を与えなければ。			私があの指輪にかけたのは、金運が悪くなるおまじないだよ。公正な取引を破る輩には、破滅を与えなければ。			黒鉄工房							
フフフ……心配しないで。君たちのような正直者をまじないにかけることはないよ。これからも良い関係でいようじゃないか。			フフフ……心配しないで。君たちのような正直者をまじないにかけることはないよ。これからも良い関係でいようじゃないか。			黒鉄工房							
どうだい、私の言ったとおりになっただろう？			どうだい、私の言ったとおりになっただろう？			黒鉄工房							
指輪を取り戻したらしいねえ。どんなまじないを使ったのか知らないが、やるじゃないか。			指輪を取り戻したらしいねえ。どんなまじないを使ったのか知らないが、やるじゃないか。			黒鉄工房							
指輪が戻ってきて、少しは先代に報いることができただろうか。			指輪が戻ってきて、少しは先代に報いることができただろうか。			黒鉄工房							
おかえり、Forenameちゃん君。いやぁ～、久々のどんちゃん騒ぎだったから、ちょっと疲れたよ。			おかえり、Forenameちゃん君。いやぁ～、久々のどんちゃん騒ぎだったから、ちょっと疲れたよ。			黒鉄工房							
僕も、まともな料理を食べたのは久しぶりでした。			僕も、まともな料理を食べたのは久しぶりでした。			黒鉄工房							
うぅ～……頭が痛い……。酒を飲み始めてからの記憶もないし……。			うぅ～……頭が痛い……。酒を飲み始めてからの記憶もないし……。			黒鉄工房							
ならば教えてやろう。お前は酔ってズン族に喧嘩を挑み、暴れて酒場の備品を破壊した。後日、酒場から大量の請求書が届くだろう。			ならば教えてやろう。お前は酔ってズン族に喧嘩を挑み、暴れて酒場の備品を破壊した。後日、酒場から大量の請求書が届くだろう。			黒鉄工房							
いや、キミも見てないで止めてよ……本当にこいつらを呼び戻して正解だったのかな……。			いや、キミも見てないで止めてよ……本当にこいつらを呼び戻して正解だったのかな……。			黒鉄工房							
まあ、この指輪がここにあるってことは、そういうことか……。まさか、キミたちからこんな贈り物がもらえるなんてね。			まあ、この指輪がここにあるってことは、そういうことか……。まさか、キミたちからこんな贈り物がもらえるなんてね。			黒鉄工房							
Forenameさんと、ニイ＝マーンさんの協力あってこそです。			Forenameさんと、ニイ＝マーンさんの協力あってこそです。			黒鉄工房							
ありがとう、Forenameちゃん君。思えば、キミはずっと私たちを助けてくれたね。			ありがとう、Forenameちゃん君。思えば、キミはずっと私たちを助けてくれたね。			黒鉄工房							
これからは、自分たちの力で黒鉄工房を守っていってみせるよ。ちょっと変わった連中だけど、この3人と一緒なら、どんなことでも乗り越えていける気がする。			これからは、自分たちの力で黒鉄工房を守っていってみせるよ。ちょっと変わった連中だけど、この3人と一緒なら、どんなことでも乗り越えていける気がする。			黒鉄工房							
私たちはいつでもここにいるから、もし寂しくなった時は訪ねてきてね！			私たちはいつでもここにいるから、もし寂しくなった時は訪ねてきてね！			黒鉄工房							
それじゃ、ここまで手伝ってくれた報酬を受け取って！本当にありがとう、Forenameちゃん君！			それじゃ、ここまで手伝ってくれた報酬を受け取って！本当にありがとう、Forenameちゃん君！			黒鉄工房							
頭がぐわんぐわんする……飲み過ぎたみたいだ……ウッ……出そう……！！！			頭がぐわんぐわんする……飲み過ぎたみたいだ……ウッ……出そう……！！！			黒鉄工房							
コラーナの吐瀉物で服が汚れてしまった……。替えを何着も持っていて良かった……。			コラーナの吐瀉物で服が汚れてしまった……。替えを何着も持っていて良かった……。			黒鉄工房							
イオラさんのような方でも涙を流すことがあるんですね……。			イオラさんのような方でも涙を流すことがあるんですね……。			黒鉄工房							
錬鉄科の貢献ランクが上昇しました！イオラはあなたの事を、「黒鉄工房の救世主」と感じているようです！			錬鉄科の貢献ランクが上昇しました！イオラはあなたの事を、「黒鉄工房の救世主」と感じているようです！			黒鉄工房							
また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			また、ミーン工芸館は他にも、腕のいい職人の助けを必要としている人がいるようです。声をかけて、話を聞いてみましょう。			黒鉄工房							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			黒鉄工房							
メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			メインクエスト「漆黒のヴィランズ」を完了してから、再びミーン工芸館を訪れてみましょう。			黒鉄工房							
また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			また、これにて、すべての科の取引が完了しました！そんなあなたに、ミーン工芸館長「カットリス」は、依頼したいことがあるようです。			黒鉄工房							
「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			「ミーン工芸館」の総合受付にいる彼女から、話を聞いてみましょう。			黒鉄工房							
