ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			事件屋の行方							
UFOの手がかりを探したところ、ヒルディブランドの居場所がわかった。カニロッカ技研の「ハルディボイルド」と話そう。			UFOの手がかりを探したところ、ヒルディブランドの居場所がわかった。カニロッカ技研の「ハルディボイルド」と話そう。			実直な探偵							
ヒルディブランドを発見し、彼は華麗に復活した。ハルディボイルドは新たな事件の匂いがするというが……。			ヒルディブランドを発見し、彼は華麗に復活した。ハルディボイルドは新たな事件の匂いがするというが……。			実直な探偵							
ハルディボイルドと話す			ハルディボイルドと話す			実直な探偵							
ハルディボイルドと話して同行させる			ハルディボイルドと話して同行させる			実直な探偵							
ハルディボイルドを連れてレジデンシャルセクターの中高年者にUFOの挿絵を見せて情報を集める			ハルディボイルドを連れてレジデンシャルセクターの中高年者にUFOの挿絵を見せて情報を集める			実直な探偵							
ハルディボイルドを連れてシャトナ族の男性にUFOの挿絵を見せて情報を集める			ハルディボイルドを連れてシャトナ族の男性にUFOの挿絵を見せて情報を集める			実直な探偵							
ハルディボイルドを連れてナシュ・マカラッカと話す			ハルディボイルドを連れてナシュ・マカラッカと話す			実直な探偵							
ドリフトダウンズのヒューネ族の拾得人と話す			ドリフトダウンズのヒューネ族の拾得人と話す			実直な探偵							
ユウェヤーワータのハルディボイルドと話す			ユウェヤーワータのハルディボイルドと話す			実直な探偵							
UFOの手がかりを探す			UFOの手がかりを探す			実直な探偵							
ハルディボイルドと話す			ハルディボイルドと話す			実直な探偵							
本クエストを進行するためには、「メインクエスト：黄金のレガシー 完結編」の、「未知との邂逅」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー 完結編」の、「未知との邂逅」を完了する必要があります。			実直な探偵							
冒険者さん、またナシュのお手伝いに来てくれたんですか～？いまのところ、ハルディボイルドさんから連絡は……			冒険者さん、またナシュのお手伝いに来てくれたんですか～？いまのところ、ハルディボイルドさんから連絡は……			実直な探偵							
(-？？？？-)待たせたな……。			(-？？？？-)待たせたな……。			実直な探偵							
あれから、フィルディグランドとやらを探して、キープ内を隈なく回った。			あれから、フィルディグランドとやらを探して、キープ内を隈なく回った。			実直な探偵							
ヒルディブランド様です～。			ヒルディブランド様です～。			実直な探偵							
ともかく……俺に似ているという、その男は見つからなかったんだ。			ともかく……俺に似ているという、その男は見つからなかったんだ。			実直な探偵							
そんな～。			そんな～。			実直な探偵							
そうがっかりするな、俺は受けた依頼は必ずこなす。			そうがっかりするな、俺は受けた依頼は必ずこなす。			実直な探偵							
行き詰まったときには、最初から洗い直すのが捜査の基本だ。あらためて、アンタらがここまで来た経緯を、詳しく教えてくれるか？			行き詰まったときには、最初から洗い直すのが捜査の基本だ。あらためて、アンタらがここまで来た経緯を、詳しく教えてくれるか？			実直な探偵							
奴を拐った未確認飛行物体を追った結果、この辺りに墜落した可能性が極めて高いと判明した、と……。			奴を拐った未確認飛行物体を追った結果、この辺りに墜落した可能性が極めて高いと判明した、と……。			実直な探偵							
しかも、アンタたち「外」の連中の視点では、ドームの出現に巻き込まれ、30年が経過したことになるわけか。なんとも奇妙な話だぜ。			しかも、アンタたち「外」の連中の視点では、ドームの出現に巻き込まれ、30年が経過したことになるわけか。なんとも奇妙な話だぜ。			実直な探偵							
だが、俺は依頼人の言葉は信じる主義だ。ヒルディブランド本人は見つからなかったが、飛行物体の目撃情報なら掴めるかもしれない。			だが、俺は依頼人の言葉は信じる主義だ。ヒルディブランド本人は見つからなかったが、飛行物体の目撃情報なら掴めるかもしれない。			実直な探偵							
アンタらと同じ「外」出身の中高年に、過去に空飛ぶ円盤を見たことがないか聞いてみるか。居住殻の前の公園で、くつろいでる連中に尋ねて回るぞ。			アンタらと同じ「外」出身の中高年に、過去に空飛ぶ円盤を見たことがないか聞いてみるか。居住殻の前の公園で、くつろいでる連中に尋ねて回るぞ。			実直な探偵							
公園、のどかです～。			公園、のどかです～。			実直な探偵							
よし、見込みどおり中高年者の姿があるな。それじゃあ、手分けして……			よし、見込みどおり中高年者の姿があるな。それじゃあ、手分けして……			実直な探偵							
そうだ、前にお渡しした「UFOの挿絵」があります。今回もこれを見せれば、話が早いはずです～。			そうだ、前にお渡しした「UFOの挿絵」があります。今回もこれを見せれば、話が早いはずです～。			実直な探偵							
ナシュがヒルディブランド様の似顔絵を描き足しておいたので、それも手がかりになるかもしれませんよ～。			ナシュがヒルディブランド様の似顔絵を描き足しておいたので、それも手がかりになるかもしれませんよ～。			実直な探偵							
ただ、ナシュの分と合わせて2枚しかないんです。どうか、Forenameさんは、ハルディボイルドさんと一緒に聞き込みしてください～。			ただ、ナシュの分と合わせて2枚しかないんです。どうか、Forenameさんは、ハルディボイルドさんと一緒に聞き込みしてください～。			実直な探偵							
なにせ、30年前のことだから、飛行物体を思い出してもらうには挿絵が役立ちそうだ。……似顔絵の方はともかくとしてな。			なにせ、30年前のことだから、飛行物体を思い出してもらうには挿絵が役立ちそうだ。……似顔絵の方はともかくとしてな。			実直な探偵							
Forenameといったか、準備ができたら、俺に声をかけてくれ。			Forenameといったか、準備ができたら、俺に声をかけてくれ。			実直な探偵							
雑誌『オカルトファン』から切り抜いた、UFOの挿絵だ。ナシュが描いたヒルディブランドの似顔絵が追加されている。			雑誌『オカルトファン』から切り抜いた、UFOの挿絵だ。ナシュが描いたヒルディブランドの似顔絵が追加されている。			実直な探偵							
その何とも言えない似顔絵が、ヒルディブランドか……。俺に似てるとは思えんが、これだけじゃ判断できんな。			その何とも言えない似顔絵が、ヒルディブランドか……。俺に似てるとは思えんが、これだけじゃ判断できんな。			実直な探偵							
え～と、30年前なんですけど、こんなUFOを見かけてませんか～？			え～と、30年前なんですけど、こんなUFOを見かけてませんか～？			実直な探偵							
ねえ、知ってます……？			ねえ、知ってます……？			実直な探偵							
いつも変わらないけど、いい天気ね。			いつも変わらないけど、いい天気ね。			実直な探偵							
近頃の若いもんは……			近頃の若いもんは……			実直な探偵							
それでは、飛行物体の挿絵を見せて目撃証言を募るとしよう。対象は「外」出身のヒューネ族やヘイザ・アロ族、そして、シャトナ族の中高年者たちだ。			それでは、飛行物体の挿絵を見せて目撃証言を募るとしよう。対象は「外」出身のヒューネ族やヘイザ・アロ族、そして、シャトナ族の中高年者たちだ。			実直な探偵							
何をする？			何をする？			実直な探偵							
話す			話す			実直な探偵							
同行状態を解除する			同行状態を解除する			実直な探偵							
キャンセル			キャンセル			実直な探偵							
ヒルディブランドという男が、もしも本当に俺に似ているというのなら……どんなタフガイなのか、会うのが楽しみだぜ。			ヒルディブランドという男が、もしも本当に俺に似ているというのなら……どんなタフガイなのか、会うのが楽しみだぜ。			実直な探偵							
「自動販売機」について話す			「自動販売機」について話す			実直な探偵							
自動販売機が気になるのか……？コーヒーやエナジードリンクなんかが買えるが、そんな嗜好品は、俺にとっては無用の長物だ。			自動販売機が気になるのか……？コーヒーやエナジードリンクなんかが買えるが、そんな嗜好品は、俺にとっては無用の長物だ。			実直な探偵							
都会の闇に身体を溶かす、孤独に愛されたタフガイには、ゆで卵が……それも固ゆでの卵がお似合いなのさ。			都会の闇に身体を溶かす、孤独に愛されたタフガイには、ゆで卵が……それも固ゆでの卵がお似合いなのさ。			実直な探偵							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			実直な探偵							
なんだ、ここにきて急用だってのか？仕方がない、さっきの場所で待ってるぜ。			なんだ、ここにきて急用だってのか？仕方がない、さっきの場所で待ってるぜ。			実直な探偵							
よし、飛行物体の挿絵を見せて目撃証言を募ろう。対象は「外」出身のヒューネ族やヘイザ・アロ族、そして、シャトナ族の中高年者たちだ。			よし、飛行物体の挿絵を見せて目撃証言を募ろう。対象は「外」出身のヒューネ族やヘイザ・アロ族、そして、シャトナ族の中高年者たちだ。			実直な探偵							
よし、9-14居住殻の方に向かったシャトナ族の男に、飛行物体の挿絵を見せてみよう。			よし、9-14居住殻の方に向かったシャトナ族の男に、飛行物体の挿絵を見せてみよう。			実直な探偵							
よし、ナシュといったか、彼女のもとに向かおう。			よし、ナシュといったか、彼女のもとに向かおう。			実直な探偵							
このクエストを進行させるには、ハルディボイルドが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ハルディボイルドが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			実直な探偵							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			実直な探偵							
私に何か……？			私に何か……？			実直な探偵							
悪いけど、見覚えがありません。30年も前ともなると、私はまだ小さな子どもでしたから。			悪いけど、見覚えがありません。30年も前ともなると、私はまだ小さな子どもでしたから。			実直な探偵							
ところで、その顔の絵は子どもが描いたのですか？とってもかわいいですね。			ところで、その顔の絵は子どもが描いたのですか？とってもかわいいですね。			実直な探偵							
おや、どうかしたかい？			おや、どうかしたかい？			実直な探偵							
これを、30年前に見てないかだって？とてもじゃないが、そんな昔のこと覚えてるわけないよ。			これを、30年前に見てないかだって？とてもじゃないが、そんな昔のこと覚えてるわけないよ。			実直な探偵							
それにしても、その似顔絵はあんたそっくりだね。よく特徴をとらえてるよ。			それにしても、その似顔絵はあんたそっくりだね。よく特徴をとらえてるよ。			実直な探偵							
この腑抜けた顔が、俺に似てるってのか？おいおい、冗談だろ勘弁してくれよ……。			この腑抜けた顔が、俺に似てるってのか？おいおい、冗談だろ勘弁してくれよ……。			実直な探偵							
何じゃ、わしに用か？			何じゃ、わしに用か？			実直な探偵							
うーん、知らんなぁ。30年前というと、わしもまだまだ青春……でもないか。			うーん、知らんなぁ。30年前というと、わしもまだまだ青春……でもないか。			実直な探偵							
おや、よく見たらアンタ、前に盗まれた「フサフサトニック」を、取り返してくれた探偵さんじゃな？今でも感謝しとるぞい！			おや、よく見たらアンタ、前に盗まれた「フサフサトニック」を、取り返してくれた探偵さんじゃな？今でも感謝しとるぞい！			実直な探偵							
元気そうで何よりだ。トニックの効果のほどはともかくな……。			元気そうで何よりだ。トニックの効果のほどはともかくな……。			実直な探偵							
生えるかどうかが問題じゃない、40年以上愛用しとる品だけに、つけんと落ち着かんのじゃ。今回は力になれんで、すまんかったのう。			生えるかどうかが問題じゃない、40年以上愛用しとる品だけに、つけんと落ち着かんのじゃ。今回は力になれんで、すまんかったのう。			実直な探偵							
40年以上もキープ製のトニックを……そうか、アンタは俺と同じくアレクサンドリア出身だったか。だったら、例の飛行物体を見てなくて当然だ……邪魔したな。			40年以上もキープ製のトニックを……そうか、アンタは俺と同じくアレクサンドリア出身だったか。だったら、例の飛行物体を見てなくて当然だ……邪魔したな。			実直な探偵							
やはり、30年前の目撃証言ともなると、なかなか難しいな。だが、ここは粘りどころだ。			やはり、30年前の目撃証言ともなると、なかなか難しいな。だが、ここは粘りどころだ。			実直な探偵							
さっき、9-14居住殻の方に、シャトナ族の男が向かっていった。長寿の彼らは見た目で年齢がわかりにくいが、声をかけてみて損はないだろう。			さっき、9-14居住殻の方に、シャトナ族の男が向かっていった。長寿の彼らは見た目で年齢がわかりにくいが、声をかけてみて損はないだろう。			実直な探偵							
すみませんが、その絵には見覚えがありません。ほかを当たってください。			すみませんが、その絵には見覚えがありません。ほかを当たってください。			実直な探偵							
30年前に見かけたものなんて、とてもじゃないが、覚えてるわけないよ。			30年前に見かけたものなんて、とてもじゃないが、覚えてるわけないよ。			実直な探偵							
あんたの探し物も、探偵さんなら、きっとすぐに見つけてくれるはずじゃ。			あんたの探し物も、探偵さんなら、きっとすぐに見つけてくれるはずじゃ。			実直な探偵							
やあ、なんだい……？			やあ、なんだい……？			実直な探偵							
えーと……この似顔絵じゃあ、ちょっとわからないかな……。			えーと……この似顔絵じゃあ、ちょっとわからないかな……。			実直な探偵							
いや、そっちは気にしないでくれ。聞きたいのは、この空飛ぶ円盤の目撃情報だ。			いや、そっちは気にしないでくれ。聞きたいのは、この空飛ぶ円盤の目撃情報だ。			実直な探偵							
ああ、それなら見覚えがあるよ。あの頃は、まだ輝く太陽の下で今とは違う暮らしをしていてね。			ああ、それなら見覚えがあるよ。あの頃は、まだ輝く太陽の下で今とは違う暮らしをしていてね。			実直な探偵							
たしか、狩りで獲物を追っていたときに見かけたんだ。当時は、空を飛ぶ機械なんて見慣れてなかったから、よく覚えているよ。			たしか、狩りで獲物を追っていたときに見かけたんだ。当時は、空を飛ぶ機械なんて見慣れてなかったから、よく覚えているよ。			実直な探偵							
そいつは、どこへ飛んでいったかわかるか？			そいつは、どこへ飛んでいったかわかるか？			実直な探偵							
北にあるユウェヤーワータって集落の方に墜ちていったよ。探しに行こうか迷ったけど、ほどなく障壁が出現して、それどころじゃなくなったんだ。			北にあるユウェヤーワータって集落の方に墜ちていったよ。探しに行こうか迷ったけど、ほどなく障壁が出現して、それどころじゃなくなったんだ。			実直な探偵							
ビンゴだな。ナシュといったか、彼女にも共有してやろう。			ビンゴだな。ナシュといったか、彼女にも共有してやろう。			実直な探偵							
その円盤みたいな機械は、北にあるユウェヤーワータって集落の方に墜ちていったよ。ほどなく障壁が出現して、それどころじゃなくなったんだ。			その円盤みたいな機械は、北にあるユウェヤーワータって集落の方に墜ちていったよ。ほどなく障壁が出現して、それどころじゃなくなったんだ。			実直な探偵							
UFOの目撃情報、さっぱり聞けませんでした～。そちらはどうでしょう～？			UFOの目撃情報、さっぱり聞けませんでした～。そちらはどうでしょう～？			実直な探偵							
ふむふむ、ユウェヤーワータって集落の辺りに墜落したんですね。そこに行ったことのある方、いたりしますか～？			ふむふむ、ユウェヤーワータって集落の辺りに墜落したんですね。そこに行ったことのある方、いたりしますか～？			実直な探偵							
なに、研究施設になっていただと？そんな場所に、謎の飛行物体が墜落したのだとしたら、軍に回収されていても、おかしくはないな。			なに、研究施設になっていただと？そんな場所に、謎の飛行物体が墜落したのだとしたら、軍に回収されていても、おかしくはないな。			実直な探偵							
だが、現地に赴こうにも湖を渡る手段がない。どうしたものか……。			だが、現地に赴こうにも湖を渡る手段がない。どうしたものか……。			実直な探偵							
何と言う？			何と言う？			実直な探偵							
拾得人に頼めばいい			拾得人に頼めばいい			実直な探偵							
ホバーカーゴで向かえる			ホバーカーゴで向かえる			実直な探偵							
拾得人だって？そうか、あの連中ならホバーカーゴを持っているはずだな。知り合いがいるから、そいつに連絡して頼んでみよう。			拾得人だって？そうか、あの連中ならホバーカーゴを持っているはずだな。知り合いがいるから、そいつに連絡して頼んでみよう。			実直な探偵							
そうか、ホバーカーゴって手があったか。だったら、知り合いの拾得人が持っているはずだから、そいつに連絡して頼んでみよう。			そうか、ホバーカーゴって手があったか。だったら、知り合いの拾得人が持っているはずだから、そいつに連絡して頼んでみよう。			実直な探偵							
よし、事情を話したら、ホバーカーゴを出してくれることになった。			よし、事情を話したら、ホバーカーゴを出してくれることになった。			実直な探偵							
しかし、ユウェヤーワータなんて集落、俺も知らなかった。そんな場所に訪れたことがあるようだが……アンタはいったい何者なんだ？			しかし、ユウェヤーワータなんて集落、俺も知らなかった。そんな場所に訪れたことがあるようだが……アンタはいったい何者なんだ？			実直な探偵							
何と言う？			何と言う？			実直な探偵							
冒険者Forenameだ			冒険者Forenameだ			実直な探偵							
ヒルディブランドのファンだ			ヒルディブランドのファンだ			実直な探偵							
よくわからんが、冒険するのが仕事ってことか？とにかく、只者じゃないようだな。			よくわからんが、冒険するのが仕事ってことか？とにかく、只者じゃないようだな。			実直な探偵							
ヒルディブランドって奴は、そんなにも魅力的な男なのか？とにかく、アンタともども只者じゃないようだな。			ヒルディブランドって奴は、そんなにも魅力的な男なのか？とにかく、アンタともども只者じゃないようだな。			実直な探偵							
さて、さっそくだが捜査に向かおう。ドリフトダウンズにいる「ヒューネ族の拾得人」に声をかければ、ホバーカーゴを出してくれる手筈になっているからな。			さて、さっそくだが捜査に向かおう。ドリフトダウンズにいる「ヒューネ族の拾得人」に声をかければ、ホバーカーゴを出してくれる手筈になっているからな。			実直な探偵							
ナシュのお薬の出番も近いですね～。			ナシュのお薬の出番も近いですね～。			実直な探偵							
お薬ってのは、爆弾のことだな？悪いが、俺の前でそんな危険な物は使わせないぜ……。			お薬ってのは、爆弾のことだな？悪いが、俺の前でそんな危険な物は使わせないぜ……。			実直な探偵							
彼女が知り合いの拾得人だ。ヘリテージファウンドの事情に通じているから、前にキープ外で捜査したときに、世話になったのさ。			彼女が知り合いの拾得人だ。ヘリテージファウンドの事情に通じているから、前にキープ外で捜査したときに、世話になったのさ。			実直な探偵							
湖、大きいです～。			湖、大きいです～。			実直な探偵							
ハルディボイルドさんからお話は伺っています。それでは、準備がよろしければ、ユウェヤーワータまでホバーカーゴを出しましょう。			ハルディボイルドさんからお話は伺っています。それでは、準備がよろしければ、ユウェヤーワータまでホバーカーゴを出しましょう。			実直な探偵							
「ユウェヤーワータ」へ移動しますか？			「ユウェヤーワータ」へ移動しますか？			実直な探偵							
もう一度、ユウェヤーワータへ向かうのでしたら、ホバーカーゴを出しましょう。			もう一度、ユウェヤーワータへ向かうのでしたら、ホバーカーゴを出しましょう。			実直な探偵							
「ユウェヤーワータ」へ移動しますか？			「ユウェヤーワータ」へ移動しますか？			実直な探偵							
研究施設、暗いです～。			研究施設、暗いです～。			実直な探偵							
ずいぶんと荒れてはいるが、魔物の類はいないようだ……。手分けをして、飛行物体の手がかりを探そう。何かわかったら、俺に共有してくれ。			ずいぶんと荒れてはいるが、魔物の類はいないようだ……。手分けをして、飛行物体の手がかりを探そう。何かわかったら、俺に共有してくれ。			実直な探偵							
この中には、ヒルディブランド様はいないみたいです～。それにしても、ハルディボイルドさんが見当たりませんが、どこ行ったんでしょう？			この中には、ヒルディブランド様はいないみたいです～。それにしても、ハルディボイルドさんが見当たりませんが、どこ行ったんでしょう？			実直な探偵							
キャビネットには、様々な書類が収められている。その中に、「重要機密1」と書かれた書類があった。			キャビネットには、様々な書類が収められている。その中に、「重要機密1」と書かれた書類があった。			実直な探偵							
(-『重要機密1』-)ある地元出身者の証言によれば、ユウェヤーワータ付近で回収された所属不明機は、彼らが障壁内に取り込まれる直前に、飛来したものだという。			(-『重要機密1』-)ある地元出身者の証言によれば、ユウェヤーワータ付近で回収された所属不明機は、彼らが障壁内に取り込まれる直前に、飛来したものだという。			実直な探偵							
(-『重要機密1』-)この証言を裏付けるように、件の残骸からは、エレクトロープが一切見つかっていない。我々とは異なる技術によって製造されたことは確かなようだ。			(-『重要機密1』-)この証言を裏付けるように、件の残骸からは、エレクトロープが一切見つかっていない。我々とは異なる技術によって製造されたことは確かなようだ。			実直な探偵							
(-『重要機密1』-)驚くのはこれだけではない。墜落によって全壊した機体の中から、かすり傷ひとつないヒューネ族の男性が回収されているのだ。			(-『重要機密1』-)驚くのはこれだけではない。墜落によって全壊した機体の中から、かすり傷ひとつないヒューネ族の男性が回収されているのだ。			実直な探偵							
散らばった書類の中に、「重要機密2」と書かれた書類があった。			散らばった書類の中に、「重要機密2」と書かれた書類があった。			実直な探偵							
(-『重要機密2』-)残骸から回収された男は、明らかに異常である。肉体は無傷で、間違いなく魂は定着しているのだが、意識がなく眠り続けているのだ。			(-『重要機密2』-)残骸から回収された男は、明らかに異常である。肉体は無傷で、間違いなく魂は定着しているのだが、意識がなく眠り続けているのだ。			実直な探偵							
(-『重要機密2』-)いや、まるで時が静止したかのように反応がないと言うべきか。男を覚醒させるため、雷気ショック、熱湯風呂、往復ビンタなど、あらゆる手段を講じたが、すべてが失敗に終わった。			(-『重要機密2』-)いや、まるで時が静止したかのように反応がないと言うべきか。男を覚醒させるため、雷気ショック、熱湯風呂、往復ビンタなど、あらゆる手段を講じたが、すべてが失敗に終わった。			実直な探偵							
(-『重要機密2』-)この異様なまでの肉体の頑強さは、生来のものなのか、未知の技術によるものなのか。研究者として興味が尽きない。			(-『重要機密2』-)この異様なまでの肉体の頑強さは、生来のものなのか、未知の技術によるものなのか。研究者として興味が尽きない。			実直な探偵							
置かれた書類には「重要機密3」と書かれていた。			置かれた書類には「重要機密3」と書かれていた。			実直な探偵							
(-『重要機密3』-)例の男の利用価値は極めて高い。あの頑強さの秘密を解き明かすことができれば、魔物の魂を注入するというリスクを取る必要がなくなるのだ。			(-『重要機密3』-)例の男の利用価値は極めて高い。あの頑強さの秘密を解き明かすことができれば、魔物の魂を注入するというリスクを取る必要がなくなるのだ。			実直な探偵							
(-『重要機密3』-)このまま解剖すべきだという意見もあったが、彼が持つであろう飛翔体に関する知識も失われてしまう。			(-『重要機密3』-)このまま解剖すべきだという意見もあったが、彼が持つであろう飛翔体に関する知識も失われてしまう。			実直な探偵							
(-『重要機密3』-)ひとまず、男に関する調査は一時中止とし、第51区画のカプセルにて、保存する決定が下された。いつの日か覚醒し、未知の技術が解明されることを期待したい。			(-『重要機密3』-)ひとまず、男に関する調査は一時中止とし、第51区画のカプセルにて、保存する決定が下された。いつの日か覚醒し、未知の技術が解明されることを期待したい。			実直な探偵							
何か見つかりました～？			何か見つかりました～？			実直な探偵							
よう、別件でちょっと気になる情報を見つけたもんでな。認証キーを探し出して、ほかの階を探ってたんだ。			よう、別件でちょっと気になる情報を見つけたもんでな。認証キーを探し出して、ほかの階を探ってたんだ。			実直な探偵							
だから、すまないんだが、飛行物体の手がかりは得られてない。そっちは何かわかったか？			だから、すまないんだが、飛行物体の手がかりは得られてない。そっちは何かわかったか？			実直な探偵							
ヒルディブランドが第51区画に保管されていると……そこなら、俺が見つけた認証キーで行けそうだ。ナシュとかいう彼女も呼んで、さっそく向かうとしよう。			ヒルディブランドが第51区画に保管されていると……そこなら、俺が見つけた認証キーで行けそうだ。ナシュとかいう彼女も呼んで、さっそく向かうとしよう。			実直な探偵							
ヒルディブランド様、発見です～！			ヒルディブランド様、発見です～！			実直な探偵							
おいおい、勘弁してくれ。こんなふざけた顔をした男と、俺のどこが似てるってんだ？			おいおい、勘弁してくれ。こんなふざけた顔をした男と、俺のどこが似てるってんだ？			実直な探偵							
まあいい、ひとまず発見できたってことだな。こういうときは、固ゆで卵で一服したいところだが……			まあいい、ひとまず発見できたってことだな。こういうときは、固ゆで卵で一服したいところだが……			実直な探偵							
これを、ハルディボイルドさんに……。			これを、ハルディボイルドさんに……。			実直な探偵							
何と言う？			何と言う？			実直な探偵							
彼女からだ			彼女からだ			実直な探偵							
贈り物だ			贈り物だ			実直な探偵							
…………			…………			実直な探偵							
悪いな。			悪いな。			実直な探偵							
フッ、人からの親切は無下にできないタチでね……。			フッ、人からの親切は無下にできないタチでね……。			実直な探偵							
コイツの出番のようだな。			コイツの出番のようだな。			実直な探偵							
そのように物騒なものは必要ありません。ここは私が紳士的に解決しましょう！			そのように物騒なものは必要ありません。ここは私が紳士的に解決しましょう！			実直な探偵							
皆さん！さあ、私とご一緒に～！			皆さん！さあ、私とご一緒に～！			実直な探偵							
素晴らしい！では皆さん、常に紳士的であることをお忘れなく！			素晴らしい！では皆さん、常に紳士的であることをお忘れなく！			実直な探偵							
ずいぶんと長く寝ていた気がしますが……			ずいぶんと長く寝ていた気がしますが……			実直な探偵							
ヒルディブランド、ここに復活ですぞ！			ヒルディブランド、ここに復活ですぞ！			実直な探偵							
ところで、そのお方はもしかして……私のファン？			ところで、そのお方はもしかして……私のファン？			実直な探偵							
ヒルディブランド様にそっくりな、探偵ハルディボイルドさんです～。			ヒルディブランド様にそっくりな、探偵ハルディボイルドさんです～。			実直な探偵							
ナシュ、全然似てませんぞ。私はこの方より、ずっと紳士的です。			ナシュ、全然似てませんぞ。私はこの方より、ずっと紳士的です。			実直な探偵							
ああ、まったく違う。俺はコイツより、ずっとタフガイだからな。			ああ、まったく違う。俺はコイツより、ずっとタフガイだからな。			実直な探偵							
そうですか～？見た目はそっくりなんですけどね～。			そうですか～？見た目はそっくりなんですけどね～。			実直な探偵							
それにしても妙だな。30年間も眠っていたにしては若すぎるように見えるし、生ける屍を説得したことといい、いったい何者なんだ？			それにしても妙だな。30年間も眠っていたにしては若すぎるように見えるし、生ける屍を説得したことといい、いったい何者なんだ？			実直な探偵							
ヒルディブランド様は、変わった体質なんです～。それに、ゾンビーさんたちと心が通じ合うんですよ～。			ヒルディブランド様は、変わった体質なんです～。それに、ゾンビーさんたちと心が通じ合うんですよ～。			実直な探偵							
まったく、無茶苦茶な奴だな……。ともかく、人探しの依頼はこれで完了だ。			まったく、無茶苦茶な奴だな……。ともかく、人探しの依頼はこれで完了だ。			実直な探偵							
さっきも言ったが、俺はこの施設で気になる情報を見つけてな。新たな事件の匂いがプンプンしてきやがった……少し追わせてもらうぜ。			さっきも言ったが、俺はこの施設で気になる情報を見つけてな。新たな事件の匂いがプンプンしてきやがった……少し追わせてもらうぜ。			実直な探偵							
事件ならば、この事件屋ヒルディブランドにお任せください！			事件ならば、この事件屋ヒルディブランドにお任せください！			実直な探偵							
事件屋……前にも聞いたが、なんだそいつは？			事件屋……前にも聞いたが、なんだそいつは？			実直な探偵							
もちろん、事件を解決する人ですよ～！			もちろん、事件を解決する人ですよ～！			実直な探偵							
ほう、同業者ってことか。だが、アンタみたいな紳士気取りに務まるのか……？			ほう、同業者ってことか。だが、アンタみたいな紳士気取りに務まるのか……？			実直な探偵							
あなたこそ、タフガイだかドブガイだか知りませんが、事件解決までエスコートできるのでしょうか……？			あなたこそ、タフガイだかドブガイだか知りませんが、事件解決までエスコートできるのでしょうか……？			実直な探偵							
もしかして、彼女はコイツの助手か……？			もしかして、彼女はコイツの助手か……？			実直な探偵							
そのとおりです～！			そのとおりです～！			実直な探偵							
俺にもかつて助手がいてな……			俺にもかつて助手がいてな……			実直な探偵							
いや、なんでもない。それよりも、今は新たな事件について向き合うとき……。			いや、なんでもない。それよりも、今は新たな事件について向き合うとき……。			実直な探偵							
さっそく事件屋とやらの手腕を見せてもらうとするか。場所を変えて話をしよう。			さっそく事件屋とやらの手腕を見せてもらうとするか。場所を変えて話をしよう。			実直な探偵							
カニロッカ技研のハルディボイルドは、新たな事件について話したいようだ。			カニロッカ技研のハルディボイルドは、新たな事件について話したいようだ。			はなたれた魔物							
ハルディボイルドから、「魔物化犯罪者脱走事件」について聞き、魔物や犯罪者のデータを復元することになった。ソリューション・ナインのレクリエーションゾーンにいる「ハルディボイルド」と話そう。			ハルディボイルドから、「魔物化犯罪者脱走事件」について聞き、魔物や犯罪者のデータを復元することになった。ソリューション・ナインのレクリエーションゾーンにいる「ハルディボイルド」と話そう。			はなたれた魔物							
データを復元したところ、連続窃盗犯の魂がアイクロプスに移されていることがわかった。ハルディボイルドは窃盗犯がエレクトロープを狙うと推理した。ヘリテージファウンドのエレクトロープ採石場にいる「採石場の職員」と話そう。			データを復元したところ、連続窃盗犯の魂がアイクロプスに移されていることがわかった。ハルディボイルドは窃盗犯がエレクトロープを狙うと推理した。ヘリテージファウンドのエレクトロープ採石場にいる「採石場の職員」と話そう。			はなたれた魔物							
採石場の職員と話したところ、おとり捜査をすることになり、窃盗犯のアイクロプスをおびき出すことができたが、逃げられてしまった。ヘリテージファウンドの旧アレクサンドリア城下町にいる「ヒルディブランド」と話そう。			採石場の職員と話したところ、おとり捜査をすることになり、窃盗犯のアイクロプスをおびき出すことができたが、逃げられてしまった。ヘリテージファウンドの旧アレクサンドリア城下町にいる「ヒルディブランド」と話そう。			はなたれた魔物							
手分けして、窃盗犯のアイクロプスを探すことになった。旧アレクサンドリア城下町で、「窃盗犯のアイクロプス」を探そう。			手分けして、窃盗犯のアイクロプスを探すことになった。旧アレクサンドリア城下町で、「窃盗犯のアイクロプス」を探そう。			はなたれた魔物							
窃盗犯のアイクロプスを見つけたが、逃げられてしまった。旧アレクサンドリア城下町にいる「ナシュ・マカラッカ」と話そう			窃盗犯のアイクロプスを見つけたが、逃げられてしまった。旧アレクサンドリア城下町にいる「ナシュ・マカラッカ」と話そう			はなたれた魔物							
