採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
あっ、すみません、余計な愚痴でした！採掘の依頼はしばらくの間、大丈夫だと思います！また、折を見てきていただけると、助かります！			あっ、すみません、余計な愚痴でした！採掘の依頼はしばらくの間、大丈夫だと思います！また、折を見てきていただけると、助かります！			物理か魔法か							
忘れられた騎士亭のハイムリックは、初任務を冒険者に伝えたいようだ。			忘れられた騎士亭のハイムリックは、初任務を冒険者に伝えたいようだ。			戦い、そして生き様							
傭兵団に命じられたのは、クルザス西部高地での資源調査だった。クルザス西部高地のブラックアイアン・ブリッジで「ハイムリック」と合流しよう。			傭兵団に命じられたのは、クルザス西部高地での資源調査だった。クルザス西部高地のブラックアイアン・ブリッジで「ハイムリック」と合流しよう。			戦い、そして生き様							
傭兵たちが周囲を警戒する中、冒険者は精霊銀鉱の試掘を行うことになった。ブラックアイアン・ブリッジの「ハイムリック」に「精霊銀鉱」を10個納品しよう。精霊銀鉱は、リバーズミートの北方、ゴルガニュ牧草地付近の採掘場で採掘できる。			傭兵たちが周囲を警戒する中、冒険者は精霊銀鉱の試掘を行うことになった。ブラックアイアン・ブリッジの「ハイムリック」に「精霊銀鉱」を10個納品しよう。精霊銀鉱は、リバーズミートの北方、ゴルガニュ牧草地付近の採掘場で採掘できる。			戦い、そして生き様							
精霊銀鉱を、ハイムリックに納品した。負傷者は出たが、冒険者の参加した任務は無事に終わりそうだ。忘れられた騎士亭の「ハイムリック」に報告しよう。			精霊銀鉱を、ハイムリックに納品した。負傷者は出たが、冒険者の参加した任務は無事に終わりそうだ。忘れられた騎士亭の「ハイムリック」に報告しよう。			戦い、そして生き様							
ハイムリックと話した。次に待つ任務でより高い技術を要求されてもいいよう、腕を磨いておこう。※採掘師のレベルが55以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			ハイムリックと話した。次に待つ任務でより高い技術を要求されてもいいよう、腕を磨いておこう。※採掘師のレベルが55以上になると、忘れられた騎士亭のハイムリックから次の採掘師クエストを受注することができます。			戦い、そして生き様							
ブラックアイアン・ブリッジでハイムリックと合流			ブラックアイアン・ブリッジでハイムリックと合流			戦い、そして生き様							
精霊銀鉱を採掘ブラックアイアン・ブリッジのハイムリックに精霊銀鉱を納品			精霊銀鉱を採掘ブラックアイアン・ブリッジのハイムリックに精霊銀鉱を納品			戦い、そして生き様							
イシュガルドのハイムリックと話す			イシュガルドのハイムリックと話す			戦い、そして生き様							
我が隊に先生を迎えて、初の任務が下ったぞ！クルザス西部高地での資源調査だ。どうか、よろしく頼む！			我が隊に先生を迎えて、初の任務が下ったぞ！クルザス西部高地での資源調査だ。どうか、よろしく頼む！			戦い、そして生き様							
任地となる場所では、以前の調査で、「精霊銀鉱」が見つかっている。先生に腕をふるってもらい、埋蔵量推定の材料としたい。			任地となる場所では、以前の調査で、「精霊銀鉱」が見つかっている。先生に腕をふるってもらい、埋蔵量推定の材料としたい。			戦い、そして生き様							
さて、任務の手はずだが……。クルザス西部高地で合流後、すぐに調査を開始する。「ブラックアイアン・ブリッジ」南西で落ち合おう。			さて、任務の手はずだが……。クルザス西部高地で合流後、すぐに調査を開始する。「ブラックアイアン・ブリッジ」南西で落ち合おう。			戦い、そして生き様							
さて、任務の手はずだが……。クルザス西部高地で合流後、すぐに調査を開始する。「ブラックアイアン・ブリッジ」南西で落ち合おう。			さて、任務の手はずだが……。クルザス西部高地で合流後、すぐに調査を開始する。「ブラックアイアン・ブリッジ」南西で落ち合おう。			戦い、そして生き様							
ヘヘッ、先生！よろしくな！			ヘヘッ、先生！よろしくな！			戦い、そして生き様							
……あんたが「先生」か？			……あんたが「先生」か？			戦い、そして生き様							
よーし、先生のご到着だ！全員、傾注！			よーし、先生のご到着だ！全員、傾注！			戦い、そして生き様							
ひなチョコは、試掘地周辺の魔物などの脅威を調べろ！剛力は、想定されうる資源の搬出ルートと、そのリスクの分析。くれぐれも周囲の警戒を怠るな……特にひなチョコ、お前はな！			ひなチョコは、試掘地周辺の魔物などの脅威を調べろ！剛力は、想定されうる資源の搬出ルートと、そのリスクの分析。くれぐれも周囲の警戒を怠るな……特にひなチョコ、お前はな！			戦い、そして生き様							
先生はリバーズミートの北方、ゴルガニュ牧草地周辺の地域にて、「精霊銀鉱」を10個ほど試掘。完了したら、この場所まで届けてくれ！			先生はリバーズミートの北方、ゴルガニュ牧草地周辺の地域にて、「精霊銀鉱」を10個ほど試掘。完了したら、この場所まで届けてくれ！			戦い、そして生き様							
今回の調査記録から、鉱脈の有無、および鉱石の品質を確認し、資源地たりうるかの判断材料とする。……では、任務開始！			今回の調査記録から、鉱脈の有無、および鉱石の品質を確認し、資源地たりうるかの判断材料とする。……では、任務開始！			戦い、そして生き様							
先生、頼んだっすよ！オレら全員の給金が、先生の試掘結果にかかってるんすから！			先生、頼んだっすよ！オレら全員の給金が、先生の試掘結果にかかってるんすから！			戦い、そして生き様							
……おう。			……おう。			戦い、そして生き様							
リバーズミートの北方、ゴルガニュ牧草地周辺で試掘した、「精霊銀鉱」10個をオレに届けてもらえれば、任務は完了だ！			リバーズミートの北方、ゴルガニュ牧草地周辺で試掘した、「精霊銀鉱」10個をオレに届けてもらえれば、任務は完了だ！			戦い、そして生き様							
無事に試掘を終えたようだな！さすがの手際というべきか。はるばる、ウルダハから招聘した甲斐があったよ！			無事に試掘を終えたようだな！さすがの手際というべきか。はるばる、ウルダハから招聘した甲斐があったよ！			戦い、そして生き様							
隊長、試掘地周辺の魔物に襲われ、負傷者が！命に別状はありませんが……。			隊長、試掘地周辺の魔物に襲われ、負傷者が！命に別状はありませんが……。			戦い、そして生き様							
……ふむ、リバーズミートに最寄りの拠点があるが、最近あそこは物騒だ……。剛力、怪我人をファルコンネストまで運べるか？			……ふむ、リバーズミートに最寄りの拠点があるが、最近あそこは物騒だ……。剛力、怪我人をファルコンネストまで運べるか？			戦い、そして生き様							
思ったより、危険な仕事だろう？大部隊であれば簡単な仕事だが、何せこの寡兵だ。今回はこの程度で済んだが、時には死者だって出る……。			思ったより、危険な仕事だろう？大部隊であれば簡単な仕事だが、何せこの寡兵だ。今回はこの程度で済んだが、時には死者だって出る……。			戦い、そして生き様							
イシュガルドでは、教皇庁直属の神殿騎士団を除けば、どの騎兵団も、四大名家という貴族たちが率い、常に、その武名と功名を争っている。			イシュガルドでは、教皇庁直属の神殿騎士団を除けば、どの騎兵団も、四大名家という貴族たちが率い、常に、その武名と功名を争っている。			戦い、そして生き様							
騎士たちは、ドラゴン族相手の派手な戦には行きたがるが、オレたちがやってるような、兵站にかかわる地味で辛い任務は、誰もやりたがらず、おたがいに押しつけあってるのが現状だ。			騎士たちは、ドラゴン族相手の派手な戦には行きたがるが、オレたちがやってるような、兵站にかかわる地味で辛い任務は、誰もやりたがらず、おたがいに押しつけあってるのが現状だ。			戦い、そして生き様							
実際、この任務もな……フォルタン家の旦那がどうにも困っていたもので、オレのほうから申し出て、引き受けたというのが真実さ。			実際、この任務もな……フォルタン家の旦那がどうにも困っていたもので、オレのほうから申し出て、引き受けたというのが真実さ。			戦い、そして生き様							
……ってことは、貴族たちの内輪揉めのせいで、俺たちは負傷者を出したってコトっすか！？			……ってことは、貴族たちの内輪揉めのせいで、俺たちは負傷者を出したってコトっすか！？			戦い、そして生き様							
ああそうだ、だが引き受けたのはオレの判断だ。ここで恩を売っときゃ、話のわかる旦那から、おいしい任務もまわしてもらえるからな。			ああそうだ、だが引き受けたのはオレの判断だ。ここで恩を売っときゃ、話のわかる旦那から、おいしい任務もまわしてもらえるからな。			戦い、そして生き様							
……わかるか、オレたちゃ危ない橋を渡ってでも、隊をまわさなきゃなんない立場なんだ。せめて負傷したヤツにゃ、傷病手当をはずんでもらうつもりだが。			……わかるか、オレたちゃ危ない橋を渡ってでも、隊をまわさなきゃなんない立場なんだ。せめて負傷したヤツにゃ、傷病手当をはずんでもらうつもりだが。			戦い、そして生き様							
はぁ……薄々感づいてたっすけど、傭兵稼業って、割に合わない仕事っすね。			はぁ……薄々感づいてたっすけど、傭兵稼業って、割に合わない仕事っすね。			戦い、そして生き様							
ほかの仕事をやれるヤツは、そっちをやればいい。ウチの隊の連中は、流れ流れてここに行きついた、不器用なヤツらばかりだ。			ほかの仕事をやれるヤツは、そっちをやればいい。ウチの隊の連中は、流れ流れてここに行きついた、不器用なヤツらばかりだ。			戦い、そして生き様							
罪で故郷を追われ、戻る場所を失くしたヤツ。恋人に死なれて、新しい生き方を探してるヤツ。……ただ、ひとつだけ採らない条件がある。			罪で故郷を追われ、戻る場所を失くしたヤツ。恋人に死なれて、新しい生き方を探してるヤツ。……ただ、ひとつだけ採らない条件がある。			戦い、そして生き様							
それは、「死に場所を求めてるヤツ」だ！ほかの連中の迷惑だからな……。……ひなチョコ、お前はどうだ？			それは、「死に場所を求めてるヤツ」だ！ほかの連中の迷惑だからな……。……ひなチョコ、お前はどうだ？			戦い、そして生き様							
うーん……オレは手柄を立てて、名を上げたいだけっす！			うーん……オレは手柄を立てて、名を上げたいだけっす！			戦い、そして生き様							
はっ、そりゃ働く場所を間違えたな！ま、今日みたいにやることやってりゃ、クビにはせんよ。			はっ、そりゃ働く場所を間違えたな！ま、今日みたいにやることやってりゃ、クビにはせんよ。			戦い、そして生き様							
さて、任務は完了だ……！皇都に戻って、熱いスープにありつこうぜ！			さて、任務は完了だ……！皇都に戻って、熱いスープにありつこうぜ！			戦い、そして生き様							
先生、初任務、おつかれさん。負傷者も軽傷だったみたいでな、次の任務から復帰できるそうだ！			先生、初任務、おつかれさん。負傷者も軽傷だったみたいでな、次の任務から復帰できるそうだ！			戦い、そして生き様							
先生をはじめ、オレは隊員にゃ恵まれてる。イマイチ頼りない、ひなチョコですら、若いころのオレより、よっぽど優秀だからな！			先生をはじめ、オレは隊員にゃ恵まれてる。イマイチ頼りない、ひなチョコですら、若いころのオレより、よっぽど優秀だからな！			戦い、そして生き様							
次もまた、キッツイ任務がくるぞ。それまで、鋭気を養っておいてくれ！			次もまた、キッツイ任務がくるぞ。それまで、鋭気を養っておいてくれ！			戦い、そして生き様							
採掘師として、心・技ともに新たなる高みに到達し、「ストーンウィスパラーV」を修得しました！			採掘師として、心・技ともに新たなる高みに到達し、「ストーンウィスパラーV」を修得しました！			戦い、そして生き様							
採掘師ギルドのアダルベルタは何やら慌てているようだ。			採掘師ギルドのアダルベルタは何やら慌てているようだ。			深淵に光差す日							
アダルベルタから依頼を受けた。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			アダルベルタから依頼を受けた。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			深淵に光差す日							
ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「ディープ・キャニオン」と話をしよう。			ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「ディープ・キャニオン」と話をしよう。			深淵に光差す日							
ディープ・キャニオンと話した。ウルダハの採掘師ギルドにいる「アダルベルタ」と話をしよう。			ディープ・キャニオンと話した。ウルダハの採掘師ギルドにいる「アダルベルタ」と話をしよう。			深淵に光差す日							
アダルベルタと話した。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			アダルベルタと話した。ウルダハの採掘師ギルドにいる「ワイド・ガリー」と話をしよう。			深淵に光差す日							
ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「アダルベルタ」に「闇鉄鉱」を3個納品しよう。「闇鉄鉱」は、クルザス中央高地の「ドラゴンヘッド」に出没する、「未知の採掘場」から採掘できるようだ。対象の「未知の採掘場」は、エオルゼア時間1:00頃から一定時間出没し、スキル「トゥルー・オブ・ミネラル」使用時にナビマップに表示される。			ワイド・ガリーと話した。ウルダハの採掘師ギルドにいる「アダルベルタ」に「闇鉄鉱」を3個納品しよう。「闇鉄鉱」は、クルザス中央高地の「ドラゴンヘッド」に出没する、「未知の採掘場」から採掘できるようだ。対象の「未知の採掘場」は、エオルゼア時間1:00頃から一定時間出没し、スキル「トゥルー・オブ・ミネラル」使用時にナビマップに表示される。			深淵に光差す日							
アダルベルタに闇鉄鉱を納品した。ウルダハの採掘師ギルドにいる「アダルベルタ」に報告しよう。			アダルベルタに闇鉄鉱を納品した。ウルダハの採掘師ギルドにいる「アダルベルタ」に報告しよう。			深淵に光差す日							
アダルベルタに報告した。彼女はディープ・キャニオンのために、困難な採掘をしてくれた冒険者に感謝し、冒険者の成長をたたえた。アダルベルタは、採掘師としての冒険者の名が、エオルゼアにとどろく日を楽しみにしているようだ。一日でも早くその日を迎えるために、採掘師として仕事に励もう。※以下の条件を満たすと、採掘師ギルドのアダルベルタから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			アダルベルタに報告した。彼女はディープ・キャニオンのために、困難な採掘をしてくれた冒険者に感謝し、冒険者の成長をたたえた。アダルベルタは、採掘師としての冒険者の名が、エオルゼアにとどろく日を楽しみにしているようだ。一日でも早くその日を迎えるために、採掘師として仕事に励もう。※以下の条件を満たすと、採掘師ギルドのアダルベルタから、新たなクラスクエストを受注することができます。1.「メインクエスト：第七星暦ストーリー」の、　「希望の灯火」を完了する。			深淵に光差す日							
ワイド・ガリーと話す			ワイド・ガリーと話す			深淵に光差す日							
ディープ・キャニオンと話す			ディープ・キャニオンと話す			深淵に光差す日							
アダルベルタと話す			アダルベルタと話す			深淵に光差す日							
ワイド・ガリーと話す			ワイド・ガリーと話す			深淵に光差す日							
アダルベルタに闇鉄鉱を納品			アダルベルタに闇鉄鉱を納品			深淵に光差す日							
アダルベルタに報告			アダルベルタに報告			深淵に光差す日							
大変よ、ワイド・ガリーが父親ディープ・キャニオンの不正を告発したの！ディープ・キャニオンは苦しい立場に追いこまれた……。			大変よ、ワイド・ガリーが父親ディープ・キャニオンの不正を告発したの！ディープ・キャニオンは苦しい立場に追いこまれた……。			深淵に光差す日							
……ねえ、あたしの頼みを聞いてくれない？ディープ・キャニオンが、あたしを恨んでるのは知ってる。でも……あの人は、あたしにとって大切な先輩なの！			……ねえ、あたしの頼みを聞いてくれない？ディープ・キャニオンが、あたしを恨んでるのは知ってる。でも……あの人は、あたしにとって大切な先輩なの！			深淵に光差す日							
あたしを恨んで道を踏みはずしたなら、彼を助けたい。……だから、ワイド・ガリーから話を聞いてきて。実の父を告発した理由を。			あたしを恨んで道を踏みはずしたなら、彼を助けたい。……だから、ワイド・ガリーから話を聞いてきて。実の父を告発した理由を。			深淵に光差す日							
ギルドマスターに頼まれて、事情聴取か？そういうことなら、お前にだけは話そう。			ギルドマスターに頼まれて、事情聴取か？そういうことなら、お前にだけは話そう。			深淵に光差す日							
親父は、危険な依頼を採掘師ギルドに押し付け、嫌がらせしてきた。事情があるにせよ、もはや、俺も見過ごせない。			親父は、危険な依頼を採掘師ギルドに押し付け、嫌がらせしてきた。事情があるにせよ、もはや、俺も見過ごせない。			深淵に光差す日							
迷惑をかけた、多くの人に申し訳なくてな……。落とし前をつけねば、と思った。だから俺は、告発するしかなかったのだ。			迷惑をかけた、多くの人に申し訳なくてな……。落とし前をつけねば、と思った。だから俺は、告発するしかなかったのだ。			深淵に光差す日							
……親父にも、親父なりの言い分はあるはず。親父なら採掘師ギルドの入口にいるだろう。本人から、直接、話を聞くがいい。			……親父にも、親父なりの言い分はあるはず。親父なら採掘師ギルドの入口にいるだろう。本人から、直接、話を聞くがいい。			深淵に光差す日							
君か……久しぶりだな、こうして話をするのは。だが、申し開きをすることなど何もない。全ては事実、息子の告発どおりだ。			君か……久しぶりだな、こうして話をするのは。だが、申し開きをすることなど何もない。全ては事実、息子の告発どおりだ。			深淵に光差す日							
だが、私はそれが間違っていたとは思わない。……私には、確固たる目的があったからな。			だが、私はそれが間違っていたとは思わない。……私には、確固たる目的があったからな。			深淵に光差す日							
かつて、あの女は先代のギルドマスターと共謀して、この私を追い落とした……その復讐こそが目的！			かつて、あの女は先代のギルドマスターと共謀して、この私を追い落とした……その復讐こそが目的！			深淵に光差す日							
私からギルドマスターの座を盗んだアダルベルタに復讐する、それだけを考えて生きてきた……！そのために、息子をギルドへ送り込んだ。			私からギルドマスターの座を盗んだアダルベルタに復讐する、それだけを考えて生きてきた……！そのために、息子をギルドへ送り込んだ。			深淵に光差す日							
しかし、君がギルドに現れたせいで、計画は崩れた。息子では君に勝てない……だから、私は焦ったのだ。私の話が嘘だと思うなら、「アダルベルタ」に確認するがいい。			しかし、君がギルドに現れたせいで、計画は崩れた。息子では君に勝てない……だから、私は焦ったのだ。私の話が嘘だと思うなら、「アダルベルタ」に確認するがいい。			深淵に光差す日							
査問会で、親父は激しく糾弾されるだろう。砂蠍衆のひとりで、アマジナ鉱山協会の総裁であるフィルガイスが姿を現すからな。			査問会で、親父は激しく糾弾されるだろう。砂蠍衆のひとりで、アマジナ鉱山協会の総裁であるフィルガイスが姿を現すからな。			深淵に光差す日							
加えて、鉱山社社長の名代として、社長の息子ポポックリとセセルッカも出席するらしい。そうそうたる顔ぶれが、そろうというわけだ……。			加えて、鉱山社社長の名代として、社長の息子ポポックリとセセルッカも出席するらしい。そうそうたる顔ぶれが、そろうというわけだ……。			深淵に光差す日							
あたしが、ギルドマスターの座を盗んだですって！？そんな誤解で、彼は人生を棒にふろうとしているの！？			あたしが、ギルドマスターの座を盗んだですって！？そんな誤解で、彼は人生を棒にふろうとしているの！？			深淵に光差す日							
あたしは、アラミゴ出身の日陰者だからギルドマスターを継がないと言ったんだけど先代はアラミゴ人だからこそ、継がせたいと言ってきたの。			あたしは、アラミゴ出身の日陰者だからギルドマスターを継がないと言ったんだけど先代はアラミゴ人だからこそ、継がせたいと言ってきたの。			深淵に光差す日							
それを、あたしが策略でギルドマスターの座を奪い取ったのだと誤解して、あたしに対して怒っていたのね。			それを、あたしが策略でギルドマスターの座を奪い取ったのだと誤解して、あたしに対して怒っていたのね。			深淵に光差す日							
……お願い、キミの力を貸して。彼の査問会が迫っているわ。彼が誤解で破滅する前に、真実を知らせなきゃ！			……お願い、キミの力を貸して。彼の査問会が迫っているわ。彼が誤解で破滅する前に、真実を知らせなきゃ！			深淵に光差す日							
もう一度「ワイド・ガリー」に、詳しい話を聞いて。息子の彼なら、査問会の切り抜け方を知っているかもしれないから。			もう一度「ワイド・ガリー」に、詳しい話を聞いて。息子の彼なら、査問会の切り抜け方を知っているかもしれないから。			深淵に光差す日							
父を助けたいと……アダルベルタは言ってくれたのか。俺だって、実の父の破滅は望まない！だが、どうすれば親父を助けられるんだ……？			父を助けたいと……アダルベルタは言ってくれたのか。俺だって、実の父の破滅は望まない！だが、どうすれば親父を助けられるんだ……？			深淵に光差す日							
……結局、アマジナ鉱山社にとっての親父の罪とは、鉱山社とギルドとの信頼関係を破壊したこと。			……結局、アマジナ鉱山社にとっての親父の罪とは、鉱山社とギルドとの信頼関係を破壊したこと。			深淵に光差す日							
ゆえに親父は査問会から、試練を出された。「闇鉄鉱」と呼ばれる珍しい鉱物を、ギルドに命じて、掘らせることができるかってな。			ゆえに親父は査問会から、試練を出された。「闇鉄鉱」と呼ばれる珍しい鉱物を、ギルドに命じて、掘らせることができるかってな。			深淵に光差す日							
味方がいない親父は、手ぶらで査問会に出る羽目に……だが、査問会で「闇鉄鉱」を突きつけられれば、親父の立場は逆転できるかもしれん！			味方がいない親父は、手ぶらで査問会に出る羽目に……だが、査問会で「闇鉄鉱」を突きつけられれば、親父の立場は逆転できるかもしれん！			深淵に光差す日							
「闇鉄鉱」が3個でもあれば……っ！だが、採掘場はクルザス全域に及び、採掘は極めて難しい。俺の腕では無理だ。			「闇鉄鉱」が3個でもあれば……っ！だが、採掘場はクルザス全域に及び、採掘は極めて難しい。俺の腕では無理だ。			深淵に光差す日							
クルザスにあるという、「未知の採掘場」でその「闇鉄鉱」を採掘するためには、日没から日の出まで待ち続けるほどの忍耐が必要だと聞く。			クルザスにあるという、「未知の採掘場」でその「闇鉄鉱」を採掘するためには、日没から日の出まで待ち続けるほどの忍耐が必要だと聞く。			深淵に光差す日							
その苦難に耐えきれる者が、採掘師のスキル「トゥルー・オブ・ミネラル」を使うことで、初めて見つけられるのだそうだ……。			その苦難に耐えきれる者が、採掘師のスキル「トゥルー・オブ・ミネラル」を使うことで、初めて見つけられるのだそうだ……。			深淵に光差す日							
これは、お前ほどの腕がないとできない。「アダルベルタ」には、俺から話をつけておくからお前は「闇鉄鉱」を集めたら、彼女に届けるんだ！			これは、お前ほどの腕がないとできない。「アダルベルタ」には、俺から話をつけておくからお前は「闇鉄鉱」を集めたら、彼女に届けるんだ！			深淵に光差す日							
「闇鉄鉱」は、「未知の採掘場」から採掘できます。未知の採掘場は、エオルゼア時間1:00頃から、しばらくの間、クルザス中央高地の「ドラゴンヘッド」に出没します。			「闇鉄鉱」は、「未知の採掘場」から採掘できます。未知の採掘場は、エオルゼア時間1:00頃から、しばらくの間、クルザス中央高地の「ドラゴンヘッド」に出没します。			深淵に光差す日							
話は聞いたわ、Forename。「闇鉄鉱」を3個でしょう、急いで！			話は聞いたわ、Forename。「闇鉄鉱」を3個でしょう、急いで！			深淵に光差す日							
いい、ワイド・ガリーの言葉を思い出して！「闇鉄鉱」は「未知の採掘場」から採掘できる！			いい、ワイド・ガリーの言葉を思い出して！「闇鉄鉱」は「未知の採掘場」から採掘できる！			深淵に光差す日							
入手するには日没から日の出まで待つ忍耐と……スキル「トゥルー・オブ・ミネラル」が必要よ！			入手するには日没から日の出まで待つ忍耐と……スキル「トゥルー・オブ・ミネラル」が必要よ！			深淵に光差す日							
なんとか間に合ったわ！ワイド・ガリーは、すでに査問会へ向かってる。あたしたちも、急いで後を追いましょう！			なんとか間に合ったわ！ワイド・ガリーは、すでに査問会へ向かってる。あたしたちも、急いで後を追いましょう！			深淵に光差す日							
ギルドに「闇鉄鉱」を掘らせることは、できたか？あんたの私怨が、ギルドとの関係を崩したんだ。それを修復できなきゃ、あんたは終わりだぜ？			ギルドに「闇鉄鉱」を掘らせることは、できたか？あんたの私怨が、ギルドとの関係を崩したんだ。それを修復できなきゃ、あんたは終わりだぜ？			深淵に光差す日							
そ、それは……。			そ、それは……。			深淵に光差す日							
「闇鉄鉱」ならあります！ギルドのForenameが掘ったものです！			「闇鉄鉱」ならあります！ギルドのForenameが掘ったものです！			深淵に光差す日							
こっ、この吸い込まれるような闇色は……本物の「闇鉄鉱」だよ、兄さん！「ヴォイドの魔鉄」とも呼ばれる正真正銘の本物だ！			こっ、この吸い込まれるような闇色は……本物の「闇鉄鉱」だよ、兄さん！「ヴォイドの魔鉄」とも呼ばれる正真正銘の本物だ！			深淵に光差す日							
ああ……実に見事な「闇鉄鉱」だ。さすがは噂のForenameだな。若手随一の採掘師って言われるだけはある。			ああ……実に見事な「闇鉄鉱」だ。さすがは噂のForenameだな。若手随一の採掘師って言われるだけはある。			深淵に光差す日							
だけど解せないな。どうして、この場に「闇鉄鉱」を持ってきたんだ？			だけど解せないな。どうして、この場に「闇鉄鉱」を持ってきたんだ？			深淵に光差す日							
そうだよ、なんでギルドマスターが助けるんだ！？あんたは恨まれてるんだろ、この男に！？			そうだよ、なんでギルドマスターが助けるんだ！？あんたは恨まれてるんだろ、この男に！？			深淵に光差す日							
……何のつもりだ、アダルベルタッ！？私に情けをかけているとでも言うのかッ！？			……何のつもりだ、アダルベルタッ！？私に情けをかけているとでも言うのかッ！？			深淵に光差す日							
情けじゃない！あなたの誤解を……解きたかったのよ！			情けじゃない！あなたの誤解を……解きたかったのよ！			深淵に光差す日							
誤解……だと？			誤解……だと？			深淵に光差す日							
……あたしは本来、あなたとの勝負から……ギルドマスターの継承争いから降りるつもりだった！			……あたしは本来、あなたとの勝負から……ギルドマスターの継承争いから降りるつもりだった！			深淵に光差す日							
あの日……あたしは辞退することを告げに、先代ギルドマスターの元を訪れたのよ。あなたは、それを目撃したの！			あの日……あたしは辞退することを告げに、先代ギルドマスターの元を訪れたのよ。あなたは、それを目撃したの！			深淵に光差す日							
な……そんな話、信じられるか！			な……そんな話、信じられるか！			深淵に光差す日							
本当にあなたを裏切っていたのなら、「闇鉄鉱」をForenameに掘らせたりしない！			本当にあなたを裏切っていたのなら、「闇鉄鉱」をForenameに掘らせたりしない！			深淵に光差す日							
だが……だが……！本当だとしたら、今さらそれはないじゃないか！私は一体、何のために……！			だが……だが……！本当だとしたら、今さらそれはないじゃないか！私は一体、何のために……！			深淵に光差す日							
あんたは結局……自分の負けを認められなかったんだ。だから、「ギルドマスターを見かけた」ことを不正に結びつけ、敗北の理由として決め付けた。			あんたは結局……自分の負けを認められなかったんだ。だから、「ギルドマスターを見かけた」ことを不正に結びつけ、敗北の理由として決め付けた。			深淵に光差す日							
親父、あんたがギルドマスターに勝てなかったのは……敗北を素直に認められない、器量の狭さが理由だ。			親父、あんたがギルドマスターに勝てなかったのは……敗北を素直に認められない、器量の狭さが理由だ。			深淵に光差す日							
認めよう、親父……あんたの敗北を。そしてもう一回、今日からやり直そう、全部を。			認めよう、親父……あんたの敗北を。そしてもう一回、今日からやり直そう、全部を。			深淵に光差す日							
やれるはずだよ、ディープ・キャニオンなら。あなたの才覚は、このあたしが一番よく知っている。			やれるはずだよ、ディープ・キャニオンなら。あなたの才覚は、このあたしが一番よく知っている。			深淵に光差す日							
そして、あなたがやり直したいのなら……採掘師ギルドを代表して、今後の全面協力を約束するわ。			そして、あなたがやり直したいのなら……採掘師ギルドを代表して、今後の全面協力を約束するわ。			深淵に光差す日							
……全面協力だって？それでいいのかよ、アダルベルタ？			……全面協力だって？それでいいのかよ、アダルベルタ？			深淵に光差す日							
これ以上、遺恨は残さない。採掘師ギルドは今後も変わりなく、アマジナ鉱山社と付き合っていくつもりよ。			これ以上、遺恨は残さない。採掘師ギルドは今後も変わりなく、アマジナ鉱山社と付き合っていくつもりよ。			深淵に光差す日							
なにせ最大の被害者である彼女彼が、「闇鉄鉱」を採掘するために働いてくれたんだもの。あたしや他の連中が蒸し返す権利なんてない。			なにせ最大の被害者である彼女彼が、「闇鉄鉱」を採掘するために働いてくれたんだもの。あたしや他の連中が蒸し返す権利なんてない。			深淵に光差す日							
なるほど、じゃああんた個人はどうだ？あんたらの因縁、水に流せるのか？			なるほど、じゃああんた個人はどうだ？あんたらの因縁、水に流せるのか？			深淵に光差す日							
できるわよ。元より、あたしはこだわってはいないわ。			できるわよ。元より、あたしはこだわってはいないわ。			深淵に光差す日							
アダルベルタ、お前……！			アダルベルタ、お前……！			深淵に光差す日							
わかった、あんたがそこまで言うなら、今回だけは、全てをなかったことにする。それでいいか、セセルッカ？			わかった、あんたがそこまで言うなら、今回だけは、全てをなかったことにする。それでいいか、セセルッカ？			深淵に光差す日							
……兄さんの決定なら、異論はないよ。			……兄さんの決定なら、異論はないよ。			深淵に光差す日							
決まりだな、ではディープ・キャニオン……罪は、今後も職務に励むことで償うこと！これにて査問会を閉会だ！			決まりだな、ではディープ・キャニオン……罪は、今後も職務に励むことで償うこと！これにて査問会を閉会だ！			深淵に光差す日							
終わったわね……ご苦労さま、Forename。今回の一件について少し話すことがあるから、ここを出たらギルドまで来てくれるかしら？			終わったわね……ご苦労さま、Forename。今回の一件について少し話すことがあるから、ここを出たらギルドまで来てくれるかしら？			深淵に光差す日							
……あらためて言うわね。ありがとう、キミのおかげで万事上手くいったわ。			……あらためて言うわね。ありがとう、キミのおかげで万事上手くいったわ。			深淵に光差す日							
彼には貸しを作った格好だけど、正直言って、返してもらえなくてもいいのよ。			彼には貸しを作った格好だけど、正直言って、返してもらえなくてもいいのよ。			深淵に光差す日							
